hsk_key	source_word	simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
4661:清洗	清洗	清洗	oprati; očistiti	Molim vas, dobro operite voće.	oprati; očistiti	Prosimo, sadje dobro operite.	nuplauti; išvalyti	Prašome gerai nuplauti vaisius.	mazgāt; notīrīt	Lūdzu, kārtīgi nomazgājiet augļus.	pesema; puhastama	Palun peske puuviljad puhtaks.	þvo; hreinsa	Vinsamlegast þvoðu ávextina vel.
4668:求	求	求	moliti; tražiti	Molio je nastavnika za još jednu priliku.	prositi; iskati	Učitelja je prosil za še eno priložnost.	prašyti; siekti	Jis paprašė mokytojo dar vienos galimybės.	lūgt; meklēt	Viņš lūdza skolotājam vēl vienu iespēju.	paluma; otsima	Ta palus õpetajalt veel üht võimalust.	biðja um; leita	Hann bað kennarann um eitt tækifæri í viðbót.
4669:求婚	求婚	求婚	zaprositi brak	Zaprosio je devojku na obali mora.	zaprositi	Zaprosil je dekle ob morju.	pirštis	Jis pasipiršo merginai prie jūros.	bildināt	Viņš bildināja draudzeni pie jūras.	abieluettepanekut tegema	Ta tegi mere ääres tüdrukule abieluettepaneku.	biðja um hönd	Hann bað kærustunnar sinnar við sjóinn.
4670:求救	求救	求救	zvati u pomoć	Posada je preko radija pozvala u pomoć.	klicati na pomoč	Posadka je po radiu klicala na pomoč.	šauktis pagalbos	Įgula per radiją šaukėsi pagalbos.	lūgt palīdzību	Apkalpe pa radio lūdza palīdzību.	abi kutsuma	Meeskond kutsus raadio teel abi.	kalla eftir hjálp	Áhöfnin kallaði eftir hjálp í gegnum talstöð.
4671:求职	求职	求职	tražiti posao	Ona traži posao preko interneta.	iskati službo	Na spletu išče službo.	ieškoti darbo	Ji ieško darbo internetu.	meklēt darbu	Viņa meklē darbu internetā.	tööd otsima	Ta otsib internetis tööd.	leita að vinnu	Hún leitar að vinnu á netinu.
4672:求助	求助	求助	zatražiti pomoć	Kada naiđeš na teškoće, možeš zatražiti pomoć od nastavnika.	poiskati pomoč	Ko naletiš na težave, lahko poiščeš pomoč pri učitelju.	kreiptis pagalbos	Susidūręs su sunkumais gali kreiptis pagalbos į mokytoją.	vērsties pēc palīdzības	Saskaroties ar grūtībām, vari vērsties pēc palīdzības pie skolotāja.	abi otsima	Raskuste korral võid õpetajalt abi otsida.	leita hjálpar	Þegar þú lendir í erfiðleikum geturðu leitað hjálpar hjá kennaranum.
4675:曲	曲	曲	melodija; muzičko delo	On ume da odsvira jednu klasičnu melodiju.	melodija; skladba	Zna zaigrati klasično skladbo.	melodija; kūrinys	Jis moka pagroti klasikinę melodiją.	melodija; skaņdarbs	Viņš prot nospēlēt klasisku skaņdarbu.	viis; muusikapala	Ta oskab mängida üht klassikalist viisi.	lag; tónverk	Hann kann að spila klassískt lag.
4677:取代	取代	取代	zameniti	Nova tehnologija može zameniti stare metode.	nadomestiti	Nova tehnologija lahko nadomesti stare metode.	pakeisti	Naujos technologijos gali pakeisti senus metodus.	aizstāt	Jaunās tehnoloģijas var aizstāt vecās metodes.	asendama	Uus tehnoloogia võib vanad meetodid asendada.	koma í staðinn fyrir	Ný tækni getur komið í stað gamalla aðferða.
4680:全程	全程	全程	ceo tok; cela ruta	Ceo tok takmičenja biće prenošen uživo.	celoten potek; celotna pot	Celotno tekmovanje bo prenašano v živo.	visas procesas; visa kelionė	Visos varžybos bus transliuojamos tiesiogiai.	viss process; viss ceļš	Visas sacensības tiks pārraidītas tiešraidē.	kogu protsess; terve teekond	Kogu võistlust kantakse otse üle.	allt ferlið; öll leiðin	Öll keppnin verður sýnd í beinni útsendingu.
4682:券	券	券	kupon; vaučer	Imam jedan kupon za bioskop.	kupon; vavčer	Imam kupon za kino.	kuponas; čekis	Turiu kino kuponą.	kupons; vaučers	Man ir kino kupons.	kupong; vautšer	Mul on kinopiletikupong.	miði; afsláttarmiði	Ég á bíómiða.
4686:燃料	燃料	燃料	gorivo	Ovo vozilo koristi čisto gorivo.	gorivo	To vozilo uporablja čisto gorivo.	kuras	Ši transporto priemonė naudoja švarų kurą.	degviela	Šis transportlīdzeklis izmanto tīru degvielu.	kütus	See sõiduk kasutab puhast kütust.	eldsneyti	Þetta ökutæki notar hreint eldsneyti.
4688:热点	热点	热点	aktuelna tema; žarište	Zaštita životne sredine je glavna tema današnje rasprave.	aktualna tema; žarišče	Varstvo okolja je aktualna tema današnje razprave.	aktuali tema; karštasis taškas	Aplinkosauga yra aktuali šiandienos diskusijos tema.	aktuāla tēma; karstais punkts	Vides aizsardzība ir šodienas diskusijas aktuālā tēma.	kuum teema; tulipunkt	Keskkonnakaitse on tänase arutelu kuum teema.	heitt umræðuefni; brennidepill	Umhverfisvernd er heitt umræðuefni dagsins.
4689:热度	热度	热度	popularnost; nivo interesovanja	Ova serija je veoma popularna.	priljubljenost; stopnja zanimanja	Ta serija je zelo priljubljena.	populiarumas; susidomėjimo lygis	Šis serialas labai populiarus.	popularitāte; intereses līmenis	Šis seriāls ir ļoti populārs.	populaarsus; huvitase	See sari on väga populaarne.	vinsældir; áhugastig	Þessi þáttaröð er mjög vinsæl.
4691:热水器	热水器	热水器	bojler; grejač vode	Bojler u kupatilu se pokvario.	grelnik vode	Grelnik vode v kopalnici se je pokvaril.	vandens šildytuvas	Vandens šildytuvas vonioje sugedo.	ūdens sildītājs	Ūdens sildītājs vannasistabā ir salūzis.	veesoojendi	Vannitoa veesoojendi läks katki.	vatnshitari	Vatnshitarinn á baðherberginu bilaði.
4692:热线	热线	热线	dežurna telefonska linija	Dežurna linija korisničke službe radi dvadeset četiri sata.	dežurna telefonska linija	Telefonska linija za podporo strankam je odprta štiriindvajset ur na dan.	karštoji linija	Klientų aptarnavimo karštoji linija veikia visą parą.	karstā līnija	Klientu apkalpošanas karstā līnija darbojas visu diennakti.	infotelefon	Klienditeeninduse infotelefon on avatud ööpäev läbi.	þjónustusími	Þjónustusími viðskiptavina er opinn allan sólarhringinn.
4693:热议	热议	热议	žustro raspravljati	Ova stvar je izazvala žustru raspravu na internetu.	živahno razpravljati	Ta zadeva je na spletu sprožila živahno razpravo.	karštai diskutuoti	Šis įvykis sukėlė karštas diskusijas internete.	karsti apspriest	Šis jautājums izraisīja karstas diskusijas internetā.	tuliselt arutama	See asi tekitas internetis tulise arutelu.	ræða heitt	Þetta mál vakti heitar umræður á netinu.
4694:人工智能	人工智能	人工智能	veštačka inteligencija	Veštačka inteligencija menja mnoge industrije.	umetna inteligenca	Umetna inteligenca spreminja številne panoge.	dirbtinis intelektas	Dirbtinis intelektas keičia daugelį pramonės šakų.	mākslīgais intelekts	Mākslīgais intelekts maina daudzas nozares.	tehisintellekt	Tehisintellekt muudab paljusid tööstusharusid.	gervigreind	Gervigreind er að breyta mörgum atvinnugreinum.
4696:人均	人均	人均	po osobi; po glavi	Prosečan prihod po osobi u ovom gradu se povećao.	na osebo; povprečno	Dohodek na osebo se je v tem mestu povečal.	vienam gyventojui; vienam asmeniui	Šio miesto pajamos vienam gyventojui padidėjo.	uz vienu cilvēku	Šajā pilsētā ienākumi uz vienu cilvēku ir pieauguši.	inimese kohta	Selles linnas on sissetulek inimese kohta kasvanud.	á mann; á hvern einstakling	Tekjur á mann í þessari borg hafa hækkað.
4697:人山人海	人山人海	人山人海	ogromna gužva	Na festivalskom trgu bila je ogromna gužva.	nepregledna množica	Na prazničnem trgu je bila nepregledna množica.	minios žmonių	Šventės aikštėje buvo minios žmonių.	cilvēku jūra	Svētku laukumā bija cilvēku jūra.	rahvamass	Festivaliväljak oli rahvast täis.	mannhaf	Hátíðartorgið var fullt af fólki.
4701:人行道	人行道	人行道	trotoar	Pešaci treba da hodaju trotoarom.	pločnik	Pešci morajo hoditi po pločniku.	šaligatvis	Pėstieji turėtų eiti šaligatviu.	ietve	Gājējiem jāiet pa ietvi.	kõnnitee	Jalakäijad peaksid kõndima kõnniteel.	gangstétt	Gangandi vegfarendur ættu að ganga á gangstéttinni.
4703:认错	认错	认错	priznati grešku; izviniti se	Sam je priznao grešku i izvinio se.	priznati napako; opravičiti se	Sam je priznal napako in se opravičil.	pripažinti klaidą; atsiprašyti	Jis pats pripažino klaidą ir atsiprašė.	atzīt kļūdu; atvainoties	Viņš pats atzina kļūdu un atvainojās.	viga tunnistama; vabandama	Ta tunnistas ise oma viga ja vabandas.	viðurkenna mistök; biðjast afsökunar	Hann viðurkenndi sjálfur mistökin og baðst afsökunar.
4706:认同	认同	认同	složiti se; poistovetiti se	Slažem se sa tvojim mišljenjem.	strinjati se; poistovetiti se	Strinjam se s tvojim pogledom.	sutikti; tapatintis	Aš sutinku su tavo požiūriu.	piekrist; identificēties	Es piekrītu tavam viedoklim.	nõustuma; samastuma	Ma nõustun sinu arvamusega.	sammála; samsama sig	Ég er sammála skoðun þinni.
4707:认知	认知	认知	spoznati; kognicija	Moramo ponovo sagledati ovaj problem.	spoznati; kognicija	To vprašanje moramo ponovno razumeti.	suprasti; pažinimas	Turime iš naujo suprasti šį klausimą.	izzināt; uztvere	Mums no jauna jāizprot šis jautājums.	tunnetama; mõistmine	Me peame seda küsimust uuesti mõistma.	skilja; vitsmunir	Við þurfum að skilja þetta mál upp á nýtt.
4709:日后	日后	日后	ubuduće; kasnije	Ako bude prilike, možemo se ponovo videti kasnije.	v prihodnje; kasneje	Če bo priložnost, se lahko spet srečamo v prihodnje.	ateityje; vėliau	Ateityje, jei bus galimybė, galėsime vėl susitikti.	turpmāk; nākotnē	Ja būs iespēja, nākotnē varēsim atkal satikties.	tulevikus; hiljem	Kui võimalus tekib, võime tulevikus uuesti kohtuda.	í framtíðinni; síðar	Við getum hist aftur síðar ef tækifæri gefst.
4710:日前	日前	日前	pre neki dan; nedavno	Kompanija je pre neki dan objavila obaveštenje.	pred dnevi; nedavno	Podjetje je pred dnevi objavilo obvestilo.	prieš kelias dienas; neseniai	Įmonė prieš kelias dienas paskelbė pranešimą.	pirms dažām dienām; nesen	Uzņēmums pirms dažām dienām publicēja paziņojumu.	mõni päev tagasi; hiljuti	Ettevõte avaldas mõni päev tagasi teate.	fyrir nokkrum dögum; nýlega	Fyrirtækið gaf út tilkynningu fyrir nokkrum dögum.
4711:日夜	日夜	日夜	dan i noć	Radnici dan i noć popravljaju put.	dan in noč	Delavci dan in noč popravljajo cesto.	diena ir naktis	Darbininkai dieną ir naktį taiso kelią.	diena un nakts	Strādnieki dienu un nakti labo ceļu.	päev ja öö	Töölised parandavad teed päeval ja öösel.	dag og nótt	Verkamennirnir gera við veginn dag og nótt.
4713:融合	融合	融合	spojiti se; stopiti se	Tradicionalna kultura i moderan dizajn stapaju se zajedno.	združiti se; zliti se	Tradicionalna kultura in sodobno oblikovanje se združujeta.	susilieti; jungtis	Tradicinė kultūra ir šiuolaikinis dizainas susilieja.	saplūst; apvienoties	Tradicionālā kultūra un modernais dizains saplūst kopā.	sulanduma; ühinema	Traditsiooniline kultuur ja moodne disain sulanduvad kokku.	renna saman; sameinast	Hefðbundin menning og nútímahönnun renna saman.
4715:容量	容量	容量	kapacitet	Ovaj tvrdi disk ima veliki kapacitet.	zmogljivost; kapaciteta	Ta trdi disk ima veliko zmogljivost.	talpa	Šis kietasis diskas turi didelę talpą.	ietilpība	Šim cietajam diskam ir liela ietilpība.	maht	Sellel kõvakettal on suur maht.	rýmd	Þessi harði diskur hefur mikla rýmd.
4716:融入	融入	融入	uklopiti se; integrisati se	Novi zaposleni se brzo uklopio u tim.	vključiti se	Novi zaposleni se je hitro vključil v ekipo.	įsilieti; integruotis	Naujas darbuotojas greitai įsiliejo į komandą.	iekļauties	Jaunais darbinieks ātri iekļāvās komandā.	sulanduma; lõimuma	Uus töötaja sulandus kiiresti meeskonda.	falla inn í; aðlagast	Nýi starfsmaðurinn aðlagaðist fljótt teyminu.
4718:柔软	柔软	柔软	mekan	Ovaj peškir je veoma mekan.	mehek	Ta brisača je zelo mehka.	minkštas	Šis rankšluostis labai minkštas.	mīksts	Šis dvielis ir ļoti mīksts.	pehme	See rätik on väga pehme.	mjúkur	Þetta handklæði er mjög mjúkt.
4719:入境	入境	入境	ući u zemlju	Putnici moraju pokazati pasoš pri ulasku u zemlju.	vstopiti v državo	Potniki morajo ob vstopu v državo pokazati potni list.	įvažiuoti į šalį	Keliautojai įvažiuodami į šalį turi parodyti pasą.	ieceļot valstī	Ceļotājiem, ieceļojot valstī, jāuzrāda pase.	riiki sisenema	Reisijad peavad riiki sisenedes passi näitama.	koma inn í land	Ferðamenn þurfa að sýna vegabréf þegar þeir koma inn í landið.
4720:入门	入门	入门	početni nivo; početi	Ova knjiga je pogodna za početak učenja kineskog.	začetna raven; začeti	Ta knjiga je primerna za začetnike kitajščine.	pradmenys; pradėti	Ši knyga tinka pradedantiems mokytis kinų kalbos.	iesācēju līmenis; sākt	Šī grāmata ir piemērota ķīniešu valodas iesācējiem.	algaja tase; algust tegema	See raamat sobib hiina keele alustamiseks.	byrjendastig; byrja	Þessi bók hentar þeim sem eru að byrja í kínversku.
4721:入选	入选	入选	biti izabran	Njen rad je izabran za izložbu.	biti izbran	Njeno delo je bilo izbrano za razstavo.	būti atrinktam	Jos darbas buvo atrinktas parodai.	tikt izvēlētam	Viņas darbs tika izvēlēts izstādei.	valituks osutuma	Tema töö valiti näitusele.	vera valinn	Verk hennar var valið á sýninguna.
4723:撒	撒	撒	posuti; rasuti	Kuvar je posuo supu seckanim mladim lukom.	posuti; potresti	Kuhar je juho posul s sesekljano mlado čebulo.	barstyti; pabarstyti	Virėjas sriubą pabarstė smulkintais svogūnų laiškais.	kaisīt	Pavārs uz zupas uzkaisīja sasmalcinātus lociņus.	puistama	Kokk puistas supile hakitud rohelist sibulat.	strá; dreifa	Matreiðslumaðurinn stráði söxuðum vorlauk yfir súpuna.
4724:塞	塞	塞	ugurati; začepiti	Ugurao je odeću u kofer.	stlačiti; zamašiti	Oblačila je stlačil v kovček.	kimšti; užkišti	Jis sugrūdo drabužius į lagaminą.	iebāzt; aizbāzt	Viņš sabāza drēbes koferī.	toppima; ummistama	Ta toppis riided kohvrisse.	troða; stífla	Hann tróð fötunum í ferðatöskuna.
4725:赛事	赛事	赛事	takmičenje; sportski događaj	Ovo takmičenje privuklo je mnogo gledalaca.	športni dogodek; tekmovanje	Ta športni dogodek je pritegnil veliko gledalcev.	sporto renginys; varžybos	Šios varžybos pritraukė daug žiūrovų.	sporta sacensības; pasākums	Šīs sacensības piesaistīja daudz skatītāju.	spordivõistlus; võistlus	See võistlus meelitas palju pealtvaatajaid.	íþróttaviðburður; keppni	Þessi keppni laðaði að marga áhorfendur.
4726:散	散	散	rasuti se; razleteti se	Papiri su se rasuli po celom podu.	razsuti se; razleteti se	Papirji so se razsuli po vseh tleh.	išsibarstyti; iširti	Popieriai išsibarstė po visas grindis.	izklīst; izbirt	Papīri izbira pa visu grīdu.	laiali minema; pudenema	Paberid läksid üle põranda laiali.	dreifast; losna í sundur	Blöðin dreifðust um allt gólfið.
4728:散	散	散	razići se; raspustiti se	Posle završetka sastanka svi su se razišli.	raziti se; razpustiti se	Po koncu sestanka so se vsi razšli.	išsiskirstyti	Pasibaigus susitikimui visi išsiskirstė.	izklīst; šķirties	Pēc sapulces beigām visi izklīda.	laiali minema	Pärast koosoleku lõppu läksid kõik laiali.	dreifast; leysast upp	Eftir að fundinum lauk dreifðust allir.
4732:扫描	扫描	扫描	skenirati	Molim vas, skenirajte QR kod za plaćanje.	skenirati	Prosimo, skenirajte QR-kodo za plačilo.	nuskaityti	Prašome nuskaityti QR kodą, kad sumokėtumėte.	skenēt	Lūdzu, noskenējiet QR kodu, lai samaksātu.	skannima	Palun skannige maksmiseks QR-kood.	skanna	Vinsamlegast skannaðu QR-kóðann til að borga.
4735:鲨鱼	鲨鱼	鲨鱼	ajkula	U moru ima jedna ajkula.	morski pes	V morju je morski pes.	ryklys	Jūroje yra ryklys.	haizivs	Jūrā ir haizivs.	hai	Meres on hai.	hákarl	Það er hákarl í sjónum.
4737:山顶	山顶	山顶	vrh planine	Konačno smo se popeli na vrh planine.	vrh gore	Končno smo se povzpeli na vrh gore.	kalno viršūnė	Pagaliau užkopėme į kalno viršūnę.	kalna virsotne	Mēs beidzot uzkāpām kalna virsotnē.	mäetipp	Lõpuks ronisime mäetippu.	fjallstindur	Við klifruðum loksins upp á fjallstindinn.
4738:山峰	山峰	山峰	planinski vrh	Daleki planinski vrh prekriven je snegom.	gorski vrh	Oddaljeni gorski vrh je prekrit s snegom.	kalno viršūnė	Tolima kalno viršūnė padengta sniegu.	kalna smaile	Tālā kalna smaile ir klāta ar sniegu.	mäetipp	Kauge mäetipp on lumega kaetud.	fjallstindur	Fjarlægi fjallstindurinn er hulinn snjó.
4739:山坡	山坡	山坡	padina	Ovce pasu travu na padini.	pobočje	Ovce se pasejo na pobočju.	kalno šlaitas	Avys ganosi ant kalno šlaito.	kalna nogāze	Aitas ganās kalna nogāzē.	mäenõlv	Lambad söövad mäenõlval rohtu.	hlíð	Sauðirnir bíta gras í hlíðinni.
4740:闪	闪	闪	bljesnuti; izbeći	Na nebu je bljesnula svetlost.	zasvetiti; izmakniti se	Na nebu je zasvetil blisk svetlobe.	blykstelėti; išvengti	Danguje blykstelėjo šviesa.	uzplaiksnīt; izvairīties	Debesīs uzplaiksnīja gaisma.	välgatama; kõrvale põikama	Taevas välgatas valgus.	blikka; víkja undan	Ljós leiftraði á himninum.
4742:扇	扇	扇	brojna reč za vrata ili prozor	Otvorio je jedan prozor.	števnik za vrata ali okna	Odprl je eno okno.	skaitiklis durims ar langams	Jis atidarė vieną langą.	skaitītājvārds durvīm vai logiem	Viņš atvēra vienu logu.	loendussõna ustele või akendele	Ta avas ühe akna.	töluorð fyrir hurðir eða glugga	Hann opnaði einn glugga.
4744:伤口	伤口	伤口	rana	Ranu treba previjati svakog dana.	rana	Rano je treba vsak dan prevezati.	žaizda	Žaizdą reikia kasdien perrišti.	brūce	Brūce jāpārsien katru dienu.	haav	Haava tuleb iga päev siduda.	sár	Sárið þarf að binda um á hverjum degi.
4745:伤亡	伤亡	伤亡	žrtve; povređeni i poginuli	Nesreća je izazvala više povređenih i poginulih.	žrtve; poškodovani in mrtvi	Nesreča je povzročila več žrtev.	aukos; sužeistieji ir žuvusieji	Avarija pareikalavo kelių aukų.	cietušie un bojāgājušie	Negadījumā bija vairāki cietušie un bojāgājušie.	ohvrid; vigastatud ja hukkunud	Õnnetus põhjustas mitu ohvrit.	mannfall; særðir og látnir	Slysið olli nokkrum mannföllum.
4746:伤员	伤员	伤员	povređena osoba	Medicinsko osoblje zbrinjava povređene.	poškodovanec	Medicinsko osebje zdravi poškodovance.	sužeistasis	Medikai gydo sužeistuosius.	ievainotais	Medicīnas darbinieki ārstē ievainotos.	vigastatu	Meditsiinitöötajad ravivad vigastatuid.	særður einstaklingur	Heilbrigðisstarfsfólk sinnir hinum særðu.
4750:上市	上市	上市	izaći na tržište; izaći na berzu	Ovaj novi model automobila izlazi na tržište sledećeg meseca.	priti na trg; iti na borzo	Ta novi model avtomobila pride na trg naslednji mesec.	pasirodyti rinkoje; tapti viešai prekiaujamu	Šis naujas automobilio modelis rinkoje pasirodys kitą mėnesį.	nonākt tirgū; kļūt publiski tirgotam	Šis jaunais auto modelis nonāks tirgū nākamajā mēnesī.	turule tulema; börsile minema	See uus automudel tuleb turule järgmisel kuul.	koma á markað; fara á hlutabréfamarkað	Þessi nýja bílgerð kemur á markað í næsta mánuði.
4751:上述	上述	上述	gore navedeni	Gore navedene probleme treba brzo rešiti.	zgoraj omenjeni	Zgoraj omenjene težave je treba hitro rešiti.	aukščiau minėtas	Aukščiau minėtas problemas reikia greitai išspręsti.	iepriekš minētais	Iepriekš minētās problēmas jāatrisina pēc iespējas ātrāk.	eespool mainitud	Eespool mainitud probleemid tuleb kiiresti lahendada.	ofangreindur	Ofangreind vandamál þarf að leysa fljótt.
4752:上台	上台	上台	izaći na scenu; doći na vlast	Publika je aplaudirala kada je glumac izašao na scenu.	stopiti na oder; priti na oblast	Občinstvo je zaploskalo, ko je igralec stopil na oder.	išeiti į sceną; ateiti į valdžią	Žiūrovai plojo, kai aktorius išėjo į sceną.	uzkāpt uz skatuves; nākt pie varas	Skatītāji aplaudēja, kad aktieris uzkāpa uz skatuves.	lavale minema; võimule tulema	Publik aplodeeris, kui näitleja lavale tuli.	fara á svið; komast til valda	Áhorfendur klöppuðu þegar leikarinn fór á svið.
4753:上旬	上旬	上旬	prvih deset dana meseca	Sastanak je zakazan za početak juna.	prvih deset dni v mesecu	Sestanek je načrtovan za prvo tretjino junija.	pirmosios dešimt mėnesio dienų	Susitikimas numatytas birželio pradžioje.	mēneša pirmā dekāde	Sapulce paredzēta jūnija sākumā.	kuu esimene kolmandik	Koosolek on planeeritud juuni algusesse.	fyrstu tíu dagar mánaðar	Fundurinn er áætlaður í byrjun júní.
4754:少儿	少儿	少儿	deca	Ovaj program je pogodan za decu.	otroci	Ta program je primeren za otroke.	vaikai	Ši laida tinkama vaikams žiūrėti.	bērni	Šis raidījums ir piemērots bērniem.	lapsed	See saade sobib lastele vaatamiseks.	börn	Þessi þáttur hentar börnum.
4756:社	社	社	društvo; klub	Pridružio se školskom književnom klubu.	društvo; klub	Pridružil se je šolskemu literarnemu društvu.	draugija; klubas	Jis prisijungė prie mokyklos literatūros klubo.	biedrība; klubs	Viņš pievienojās skolas literatūras pulciņam.	selts; klubi	Ta liitus kooli kirjandusringiga.	félag; klúbbur	Hann gekk í bókmenntafélag skólans.
4757:射	射	射	pucati; gađati	Sportista je pogodio metu hicem.	streljati	Športnik je zadel tarčo.	šauti; taikyti	Sportininkas pataikė į taikinį.	šaut; trāpīt	Sportists trāpīja mērķī.	laskma	Sportlane tabas sihtmärki.	skjóta	Íþróttamaðurinn hitti markið með skoti.
4760:摄像	摄像	摄像	snimati video	Osoblje trenutno snima video.	snemati video	Osebje trenutno snema video.	filmuoti	Darbuotojai filmuoja vaizdo įrašą.	filmēt	Darbinieki pašlaik filmē.	videot salvestama	Töötajad salvestavad praegu videot.	taka upp myndband	Starfsfólkið er að taka upp myndband.
4762:摄像头	摄像头	摄像头	kamera	Na ulazu je postavljena kamera.	kamera	Pri vhodu je bila nameščena kamera.	kamera	Prie įėjimo įrengta kamera.	kamera	Pie ieejas ir uzstādīta kamera.	kaamera	Sissepääsu juurde paigaldati kaamera.	myndavél	Myndavél var sett upp við innganginn.
4763:身心	身心	身心	telo i um	Vežbanje koristi zdravlju tela i uma.	telo in um	Vadba koristi telesnemu in duševnemu zdravju.	kūnas ir protas	Mankšta naudinga kūno ir psichikos sveikatai.	ķermenis un prāts	Fiziskās aktivitātes nāk par labu ķermeņa un prāta veselībai.	keha ja vaim	Liikumine on kasulik keha ja vaimu tervisele.	líkami og hugur	Hreyfing gagnast heilsu líkama og hugar.
4764:深夜	深夜	深夜	duboka noć	U dubokoj noći ulica je veoma tiha.	pozna noč	Pozno ponoči je ulica zelo tiha.	gili naktis	Gilią naktį gatvė labai tyli.	vēla nakts	Vēlā naktī iela ir ļoti klusa.	hilisöö	Hilisöösel on tänav väga vaikne.	seint um nótt	Gatan er mjög hljóðlát seint um nótt.
4765:神	神	神	bog; duh	Stari ljudi su verovali da u planinama ima duhova.	bog; duh	Stari ljudje so verjeli, da so v gorah duhovi.	dievas; dvasia	Senovės žmonės tikėjo, kad kalnuose gyvena dvasios.	dievs; gars	Senie cilvēki ticēja, ka kalnos ir gari.	jumal; vaim	Muistsed inimesed uskusid, et mägedes on vaimud.	guð; andi	Fornmenn trúðu því að andar væru í fjöllunum.
4770:生成	生成	生成	generisati; stvoriti	Sistem će automatski generisati izveštaj.	ustvariti; generirati	Sistem bo samodejno ustvaril poročilo.	sugeneruoti; sukurti	Sistema automatiškai sugeneruos ataskaitą.	ģenerēt; izveidot	Sistēma automātiski ģenerēs ziņojumu.	genereerima; looma	Süsteem genereerib aruande automaatselt.	búa til; mynda	Kerfið býr sjálfkrafa til skýrslu.
4772:生命力	生命力	生命力	životna snaga; vitalnost	Ova biljka ima veoma jaku životnu snagu.	življenjska moč; vitalnost	Ta rastlina ima zelo močno življenjsko moč.	gyvybingumas	Šis augalas labai gyvybingas.	dzīvotspēja; vitalitāte	Šim augam ir ļoti spēcīga dzīvotspēja.	elujõud	Sellel taimel on tugev elujõud.	lífskraftur	Þessi planta hefur mikinn lífskraft.
4774:升学	升学	升学	nastaviti školovanje; upisati viši stepen	Mnogi učenici se pripremaju za nastavak školovanja.	nadaljevati šolanje; vpisati se naprej	Veliko učencev se pripravlja na nadaljevanje šolanja.	tęsti mokslus aukštesnėje mokykloje	Daugelis mokinių ruošiasi tęsti mokslus aukštesnėje mokykloje.	turpināt mācības augstākā skolā	Daudzi skolēni gatavojas turpināt mācības augstākā skolā.	edasi õppima	Paljud õpilased valmistuvad edasi õppima.	fara í framhaldsskóla eða háskóla	Margir nemendur undirbúa sig fyrir frekara nám.
4775:剩余	剩余	剩余	preostali	Nema još mnogo preostalih karata.	preostali	Preostalih vstopnic ni več veliko.	likęs	Likusių bilietų jau nedaug.	atlikušais	Atlikušo biļešu vairs nav daudz.	järelejäänud	Järelejäänud pileteid pole enam palju.	eftirstandandi	Það eru ekki margir miðar eftir.
4776:诗词	诗词	诗词	klasična poezija	Deda voli da čita drevnu klasičnu poeziju.	klasična poezija	Dedek rad bere starodavno klasično poezijo.	klasikinė poezija	Senelis mėgsta skaityti senovinę klasikinę poeziją.	klasiskā dzeja	Vectēvam patīk lasīt seno klasisko dzeju.	klassikaline luule	Vanaisale meeldib lugeda vana klassikalist luulet.	klassísk ljóð	Afi hefur gaman af að lesa forn klassísk ljóð.
4777:湿度	湿度	湿度	vlažnost	Danas je vlažnost vazduha veoma visoka.	vlažnost	Danes je vlažnost zraka zelo visoka.	drėgmė	Šiandien oro drėgmė labai didelė.	mitrums	Šodien gaisa mitrums ir ļoti augsts.	niiskus	Täna on õhuniiskus väga kõrge.	rakastig	Rakastig loftsins er hátt í dag.
4778:师父	师父	师父	majstor; učitelj	On uči stolariju od majstora.	mojster; mentor	Od mojstra se uči mizarstva.	meistras; mokytojas	Jis mokosi staliaus amato iš meistro.	meistars; skolotājs	Viņš mācās galdniecību pie meistara.	meister; juhendaja	Ta õpib meistri käest puutööd.	meistari; leiðbeinandi	Hann lærði trésmíði hjá meistara sínum.
4779:诗歌	诗歌	诗歌	pesma; poezija	Ova pesma izražava čežnju za zavičajem.	pesem; poezija	Ta pesem izraža hrepenenje po domu.	poezija; eilėraštis	Šis eilėraštis išreiškia namų ilgesį.	dzejolis; dzeja	Šis dzejolis pauž ilgas pēc dzimtenes.	luuletus; luule	See luuletus väljendab koduigatsust.	ljóð; ljóðlist	Þetta ljóð lýsir heimþrá.
4781:识	识	识	poznavati; prepoznati	On ne poznaje mnogo pisanih znakova.	poznati; prepoznati	Ne pozna veliko pisnih znakov.	pažinti; atpažinti	Jis pažįsta nedaug rašytinių ženklų.	pazīt; atpazīt	Viņš nepazīst daudz rakstzīmju.	tundma; ära tundma	Ta ei tunne palju kirjamärke.	þekkja; bera kennsl á	Hann þekkir ekki mörg ritmerki.
4789:实时	实时	实时	u realnom vremenu	Sistem ažurira podatke u realnom vremenu.	v realnem času	Sistem posodablja podatke v realnem času.	realiuoju laiku	Sistema duomenis atnaujina realiuoju laiku.	reāllaikā	Sistēma atjaunina datus reāllaikā.	reaalajas	Süsteem uuendab andmeid reaalajas.	í rauntíma	Kerfið uppfærir gögn í rauntíma.
