simplified	IT	example_IT
墨水儿	l'inchiostro	L'inchiostro nella penna sta quasi finendo.
莫名其妙	inspiegabile	La sua reazione è sembrata inspiegabile.
默默	in silenzio	Lei ha aiutato molte persone in silenzio.
谋求	cercare di ottenere	L'azienda sta cercando di ottenere nuove opportunità di sviluppo.
模样	l'aspetto	Il suo aspetto ora è cambiato molto.
母语	la lingua madre	I bambini imparano la lingua madre fin da piccoli.
沐浴	essere immerso	Il villaggio al mattino era immerso nella luce del sole.
目睹	assistere a	Molte persone hanno assistito all'incidente.
目光	lo sguardo	Gli sguardi di tutti erano concentrati sul palco.
拿手	la specialità	Il pesce brasato è la sua specialità.
纳闷儿	essere perplesso	Continuavo a essere perplesso sul perché fosse in ritardo.
耐用	resistente	Questo paio di scarpe è molto resistente.
南辕北辙	andare contro lo scopo	Il suo metodo va contro lo scopo.
难得	raro	Questa è una rara opportunità.
难堪	imbarazzante	Questa domanda lo ha messo in imbarazzo.
难能可贵	raro e lodevole	Restare onesti sotto pressione è raro e lodevole.
恼火	irritato	L'attrezzatura si è rotta di nuovo e lui era molto irritato.
内涵	la connotazione	Questa parola ha ricche connotazioni culturali.
内幕	il retroscena	Il giornalista ha cercato di indagare sul retroscena dell'evento.
内在	intrinseco	Lui dà più valore alle qualità interiori di una persona.
能量	l'energia	Questa colazione mi dà molta energia.
拟定	stendere	La segretaria sta stendendo l'ordine del giorno della riunione.
逆行	andare contromano	Quell'auto andava contromano in una strada a senso unico.
年度	annuale	L'azienda ha pubblicato il rapporto annuale.
捏	pizzicare	Lei pizzicò delicatamente la guancia del bambino.
凝固	solidificarsi	Dopo il raffreddamento, la cera si solidifica lentamente.
凝聚	unire	Un obiettivo comune può unire le forze del team.
凝视	fissare	Lui fissava le luci in lontananza.
拧	pizzicare	Lui mi ha pizzicato una volta con la mano.
宁肯	preferire	Lei preferirebbe fallire piuttosto che rinunciare ai suoi principi.
宁愿	preferire	Preferirei camminare piuttosto che aspettare l'autobus.
扭转	capovolgere	La nuova politica ha capovolto la situazione di perdita.
纽扣儿	il bottone	Questa camicia ha perso un bottone.
农历	il calendario lunare	La Festa di primavera si celebra secondo il calendario lunare.
浓厚	forte	Lui ha un forte interesse per la storia.
奴隶	lo schiavo	Nella società antica esisteva il sistema degli schiavi.
挪	spostare	Per favore sposta un po' la sedia di lato.
虐待	maltrattare	La legge vieta di maltrattare i bambini.
哦	oh	Oh, finalmente ho capito.
殴打	picchiare	La polizia ha arrestato la persona che ha picchiato un passante.
偶像	l'idolo	Lei considera quello scrittore il suo idolo.
呕吐	vomitare	Lui ha iniziato a vomitare dopo aver mangiato cibo andato a male.
趴	stare sdraiato a pancia in giù	Il gattino dormiva sdraiato sul davanzale.
徘徊	indugiare	Lui ha indugiato a lungo davanti alla porta.
排斥	respingere	Il nuovo materiale respinge l'umidità.
排除	escludere	Il medico ha prima escluso una malattia grave.
排放	le emissioni	Le fabbriche devono ridurre le emissioni di gas di scarico.
排练	provare	Gli attori stanno provando il nuovo spettacolo.
派别	la fazione	All'interno di questa organizzazione ci sono fazioni diverse.
派遣	inviare	L'azienda ha inviato ingegneri sul posto.
攀登	scalare	Loro hanno in programma di scalare la montagna innevata domani.
盘旋	girare in cerchio	L'aereo girava in cerchio sopra l'aeroporto.
判决	la sentenza	Il tribunale ha annunciato oggi la sentenza.
畔	la riva	I bambini passeggiavano sulla riva del lago.
庞大	enorme	Questo progetto richiede fondi enormi.
抛弃	abbandonare	Lui non vuole abbandonare il proprio sogno.
泡沫	la schiuma	Nel bicchiere c'è molta schiuma bianca.
培育	coltivare	La scuola si impegna a coltivare il senso di responsabilità degli studenti.
配备	dotare	La nuova auto è dotata di un sistema di sicurezza.
配偶	il coniuge	Il modulo di domanda richiede le informazioni sul coniuge.
配套	di supporto	Il quartiere dispone di strutture di supporto complete.
盆地	il bacino	Questo bacino è molto caldo in estate.
烹饪	la cucina	La cucina richiede pazienza ed esperienza.
捧	tenere con entrambe le mani	Lei teneva un mazzo di fiori con entrambe le mani.
劈	spaccare	L'operaio spaccava la legna con un'ascia.
批发	vendere all'ingrosso	Questo negozio vende soprattutto frutta all'ingrosso.
批判	criticare	L'articolo ha criticato questa idea sbagliata.
疲惫	esausto	Dopo il lungo viaggio erano tutti esausti.
疲倦	stanco	Il lavoro continuo lo ha fatto sentire stanco.
皮革	la pelle	Questa borsa è fatta di pelle.
屁股	il sedere	Dopo essere caduto, al bambino faceva male il sedere.
譬如	per esempio	Per esempio, possiamo prima fare un piccolo test.
偏差	la deviazione	Nei risultati dell'esperimento c'è una deviazione evidente.
偏见	il pregiudizio	Dovremmo evitare i pregiudizi etnici.
偏僻	remoto	Questo villaggio si trova in una posizione molto remota.
偏偏	proprio	Quanto più ero ansioso, tanto più l'auto andava proprio più piano.
片断	il frammento	Nel film ci sono diversi frammenti splendidi.
片刻	un momento	Per favore aspettami qui un momento.
漂浮	galleggiare	Le foglie cadute galleggiavano sull'acqua.
飘扬	sventolare	La bandiera nazionale sventolava nel vento.
撇	mettere da parte	Lui ha messo da parte il vecchio piano.
拼搏	lottare	I giovani devono lottare per i propri ideali.
拼命	con tutte le forze	Lui inseguì il gruppo davanti con tutte le forze.
贫乏	povero di contenuto	Il contenuto di questo articolo è piuttosto povero.
贫困	povero	Il governo aiuta le famiglie povere.
频繁	frequente	Di recente qui gli incidenti stradali sono frequenti.
频率	la frequenza	La frequenza di questo suono è molto alta.
品尝	assaggiare	Gli ospiti stanno assaggiando la cucina locale.
品德	il carattere morale	La scuola dà importanza all'educazione del carattere morale degli studenti.
品质	la qualità	La qualità dei prodotti di questa azienda è stabile.
品种	la varietà	Al mercato ci sono molte varietà di frutta.
屏幕	lo schermo	Per favore abbassa la luminosità dello schermo.
屏障	la barriera	La foresta è una barriera importante contro il vento.
平凡	ordinario	Lui ha lavorato per molti anni in una posizione ordinaria.
平面	il piano	Il designer ha disegnato la pianta della casa.
平坦	pianeggiante	Questa strada è molto pianeggiante.
平行	parallelo	Queste due linee sono parallele tra loro.
平庸	mediocre	Lui non si accontenta di vivere una vita mediocre.
平原	la pianura	Il treno ha attraversato una vasta pianura.
评估	valutare	Gli esperti stanno valutando i rischi del progetto.
评论	commentare	I lettori possono commentare sotto l'articolo.
坡	la salita	L'auto salì lentamente sulla salita.
泼	spruzzare	Non spruzzare l'acqua sul pavimento.
颇	piuttosto	Questo risultato è piuttosto sorprendente.
破例	fare un'eccezione	Il direttore ha fatto un'eccezione e ha approvato la sua domanda.
迫不及待	non vedere l'ora	I bambini non vedevano l'ora di aprire i regali.
迫害	perseguitare	Nella storia molte persone hanno subito persecuzioni.
魄力	l'audacia	I leader hanno bisogno dell'audacia di prendere decisioni.
扑	gettarsi	Il bambino si gettò improvvisamente tra le braccia della madre.
铺	stendere	Gli operai stanno stendendo un nuovo tappeto.
普及	diffondersi	Internet si è già diffuso nelle città.
朴实	semplice	Il suo linguaggio è semplice e sincero.
朴素	sobrio	Lei ama uno stile di vita sobrio.
瀑布	la cascata	I turisti stavano accanto alla cascata a scattare foto.
凄凉	desolato	Il villaggio di montagna sembrava molto desolato in inverno.
期望	l'aspettativa	I genitori hanno grandi aspettative per i figli.
期限	la scadenza	La scadenza per l'iscrizione è questo venerdì.
欺负	bullizzare	I bambini più grandi non dovrebbero bullizzare i più piccoli.
欺骗	ingannare	La pubblicità falsa ha ingannato i consumatori.
奇妙	meraviglioso	La natura ha molti fenomeni meravigliosi.
旗袍	il qipao	Lei indossava un qipao rosso per partecipare alla festa serale.
旗帜	la bandiera	Nella piazza sventolavano bandiere vivaci.
歧视	la discriminazione	La legge vieta ogni forma di discriminazione.
齐全	completo	Questo negozio ha una gamma completa di strumenti.
齐心协力	lavorare insieme	Tutti hanno lavorato insieme per completare il compito.
乞丐	il mendicante	Sul ciglio della strada sedeva un vecchio mendicante.
企图	tentare	Lui ha tentato di nascondere la vera situazione.
启程	partire	La delegazione partirà domani all'alba.
启蒙	l'introduzione	Questo libro è adatto alla lettura introduttiva per bambini.
启事	l'avviso	All'ingresso della scuola era affisso un avviso di assunzione.
启示	l'insegnamento	Questo fallimento ci ha dato un insegnamento importante.
岂有此理	assurdo	Questo tipo di tassa è davvero assurdo.
起草	redigere	L'avvocato sta redigendo il contratto.
起初	all'inizio	All'inizio lui non credeva a questa notizia.
起伏	salire e scendere	La strada di montagna sale e scende con il terreno.
起哄	fare confusione	Gli studenti non dovrebbero fare confusione in classe.
起码	almeno	Dovresti almeno avvisarmi in anticipo.
起源	avere origine	Questa festa ha origine nell'antichità.
器材	l'attrezzatura	Il laboratorio ha bisogno di nuove attrezzature didattiche.
器官	l'organo	Il cuore è un organo importante del corpo umano.
气概	lo spirito	Questa poesia mostra spirito eroico.
气功	il qigong	Il nonno pratica qigong ogni mattina.
气魄	l'imponenza	Questo ponte ha grande imponenza.
气色	il colorito	Dopo il riposo, il suo colorito era molto migliore.
气势	lo slancio	La squadra ha avuto un forte slancio fin dall'inizio.
气味	l'odore	In cucina c'era odore di pane tostato.
气象	il tempo	Il tempo sull'altopiano cambia rapidamente.
气压	la pressione atmosferica	Un calo della pressione atmosferica può portare pioggia.
气质	il temperamento	Lei ha un temperamento tranquillo.
迄今为止	finora	Finora l'esperimento è proceduto senza problemi.
掐	cogliere	Lei colse un piccolo fiore.
恰当	appropriato	La tua risposta è molto appropriata.
恰到好处	al punto giusto	La dolcezza di questo piatto è al punto giusto.
恰巧	per caso	Quando sono arrivato alla stazione, per caso ha iniziato a piovere.
洽谈	discutere	Le due parti stanno discutendo i dettagli della collaborazione.
千方百计	con ogni mezzo	Loro hanno cercato con ogni mezzo una soluzione.
牵	tenere per mano	La madre teneva per mano il bambino mentre attraversavano la strada.
牵扯	coinvolgere	Questa faccenda coinvolge molti dipartimenti.
牵制	contenere	La difesa avversaria ha contenuto l'attacco.
签署	firmare	Le due aziende hanno firmato un accordo.
谦逊	modesto	Lui è rimasto modesto dopo il successo.
迁就	accontentare	I genitori non possono sempre accontentare i figli.
迁徙	migrare	Gli uccelli migratori migrano ogni anno secondo le stagioni.
前景	le prospettive	Questo settore ha buone prospettive.
前提	la premessa	La fiducia è la premessa della collaborazione.
潜力	il potenziale	Questo studente ha un grande potenziale.
潜水	immergersi	Loro sono andati al mare per imparare a immergersi.
潜移默化	in modo impercettibile	L'ambiente familiare può influenzare i bambini in modo impercettibile.
谴责	condannare	La comunità internazionale ha condannato gli atti di violenza.
抢劫	rapinare	La polizia ha catturato il sospetto che ha rapinato la banca.
强制	imporre	La nuova norma impone agli automobilisti di allacciare la cintura.
强迫	costringere	Non costringere i bambini a fare cose che non amano.
抢救	soccorrere	I medici stanno soccorrendo l'operaio ferito.
桥梁	il ponte	La lingua è un ponte per lo scambio culturale.
窍门	il trucco	Ci sono alcuni trucchi per imparare la pronuncia.
翘	sollevare	Lui ha sollevato un piede sulla sedia.
切实	pratico	Abbiamo bisogno di un piano pratico e realizzabile.
锲而不舍	perseverare	Lui ha studiato questo problema con perseveranza.
亲密	stretto	Loro hanno sempre mantenuto un rapporto stretto.
亲热	cordiale	L'anziano salutò cordialmente gli ospiti.
侵犯	violare	Questo comportamento ha violato la privacy personale.
侵略	l'invasione	Il popolo si oppone a ogni forma di invasione.
钦佩	ammirare	Ammiro molto il suo coraggio.
勤俭	laborioso e frugale	La nonna ha gestito la casa in modo laborioso e frugale per tutta la vita.
勤劳	operoso	Le persone operose riescono sempre a creare opportunità.
倾听	ascoltare attentamente	L'insegnante ha ascoltato attentamente le opinioni degli studenti.
倾向	tendere	I giovani consumatori tendono a fare acquisti online.
倾斜	inclinarsi	Dopo la forte pioggia, il muro ha iniziato a inclinarsi.
清澈	limpido	Il torrente in montagna è molto limpido.
清晨	il mattino presto	L'aria del mattino presto è particolarmente fresca.
清除	rimuovere	Gli operai hanno rimosso la neve dalla strada.
清洁	pulito	L'ospedale deve mantenere pulito l'ambiente.
清理	riordinare	Nel fine settimana abbiamo riordinato il magazzino.
清晰	chiaro	Questa foto è molto chiara.
清醒	lucido	Dopo aver bevuto caffè, lui è diventato molto più lucido.
清真	halal	Nelle vicinanze c'è un ristorante halal.
情报	l'informazione riservata	Il giornalista ha ottenuto informazioni riservate importanti.
情节	la trama	La trama del romanzo è molto tesa.
情理	il buon senso	La sua richiesta non è conforme al buon senso.
情形	la situazione	La situazione sul posto era più complessa del previsto.
晴朗	sereno	Il cielo oggi è particolarmente sereno.
请柬	l'invito scritto	Loro hanno inviato inviti scritti per il matrimonio a parenti e amici.
请教	consultare	Vorrei consultarla su una questione.
请示	chiedere istruzioni	Questa faccenda deve prima essere sottoposta al responsabile per istruzioni.
请帖	l'invito	Sul tavolo c'era un invito di compleanno.
丘陵	le colline	Questa zona ha molte colline.
区分	distinguere	Il bambino sa già distinguere la destra dalla sinistra.
区域	la zona	In questa zona è vietato parcheggiare.
屈服	cedere	Lui non ha ceduto alla pressione.
曲折	complicato	Loro hanno attraversato trattative complicate.
驱逐	espellere	La polizia ha espulso i disturbatori.
渠道	il canale	L'azienda vende prodotti attraverso un nuovo canale.
取缔	vietare	Il governo ha vietato il mercato illegale.
曲子	il brano	La melodia di questo brano è molto bella.
趣味	l'interesse	Questo gioco è molto interessante.
圈套	la trappola	Lui è quasi caduto nella trappola del truffatore.
全局	il quadro generale	I leader devono considerare gli interessi del quadro generale.
全力以赴	impegnarsi al massimo	Ci impegneremo al massimo per completare il compito.
拳头	il pugno	Lui strinse il pugno e si preparò alla gara.
权衡	valutare	Dobbiamo valutare costi ed effetti.
权威	l'autorità	Questo professore è un'autorità nel settore.
犬	il cane	Questo tipo di cane è adatto a fare la guardia alla casa.
缺口	la fessura	C'è una piccola fessura nel muro.
缺席	l'assenza	Lui è stato assente alla riunione per malattia.
缺陷	il difetto	Questo progetto ha un difetto evidente.
瘸	zoppo	La sua gamba sinistra è un po' zoppa.
确保	garantire	Assicurati che la porta sia chiusa a chiave.
确立	stabilire	L'azienda ha stabilito nuovi obiettivi di sviluppo.
确切	esatto	Non conosco l'orario esatto.
确信	essere sicuro	Sono sicuro che arriverà in orario.
群众	le masse	Le masse sostengono molto la nuova politica.
染	tingere	Lei si è tinta i capelli di nero.
嚷	gridare	Non gridare forte nel corridoio.
让步	la concessione	Entrambe le parti hanno fatto alcune concessioni.
饶恕	perdonare	Alla fine lei ha scelto di perdonare l'altra persona.
扰乱	disturbare	Il rumore ha disturbato l'ordine della classe.
惹祸	causare guai	Fare battute a caso può facilmente causare guai.
热泪盈眶	avere gli occhi pieni di lacrime	Sentendo la buona notizia, lei aveva gli occhi pieni di lacrime.
热门	popolare	L'intelligenza artificiale è un tema popolare.
人道	umanitario	L'operazione di soccorso ha riflesso uno spirito umanitario.
人格	la dignità personale	Insultare gli altri danneggia la dignità personale.
人工	artificiale	Questo fiume è stato scavato artificialmente.
人家	gli altri	Non confrontarti sempre con gli altri.
人间	il mondo umano	La primavera riempie il mondo umano di vitalità.
人士	la persona	Alla tavola rotonda hanno partecipato persone di vari settori.
人为	umano	Questo incidente è stato causato da fattori umani.
人性	la natura umana	Questo film discute la natura umana.
人质	l'ostaggio	La polizia ha salvato con successo l'ostaggio.
仁慈	benevolo	Questo medico è molto benevolo con i pazienti.
忍耐	la pazienza	Fare una lunga fila richiede un po' di pazienza.
忍受	sopportare	Non riesco a sopportare il rumore qui.
任命	nominare	Il consiglio di amministrazione l'ha nominata direttrice.
任性	capriccioso	Un bambino troppo capriccioso può influire sulla crescita.
任意	arbitrario	Per favore non modificare i dati arbitrariamente.
任重道远	avere un compito lungo e difficile	La riforma dell'istruzione ha un compito lungo e difficile.
认定	stabilire	La polizia ha stabilito che si trattava di un incidente.
认可	il riconoscimento	Il suo piano ha ottenuto il riconoscimento di tutti.
仍旧	ancora	Dopo molti anni, lui viveva ancora qui.
日新月异	cambiare rapidamente	La tecnologia si sviluppa rapidamente giorno dopo giorno.
日益	sempre più	I problemi ambientali stanno diventando sempre più gravi.
容貌	l'aspetto	Gli anni hanno cambiato il suo aspetto.
容纳	ospitare	Questa sala può ospitare cinquecento persone.
容器	il contenitore	Per favore versa il liquido in un contenitore di vetro.
容忍	tollerare	L'azienda non può tollerare comportamenti fraudolenti.
溶解	sciogliersi	Il sale si scioglie nell'acqua.
荣幸	essere onorato	Sono onorato di partecipare alla riunione.
荣誉	l'onore	Questa medaglia rappresenta il massimo onore.
融化	sciogliersi	La luce del sole ha fatto sciogliere lentamente il ghiaccio e la neve.
融洽	armonioso	I rapporti tra colleghi sono molto armoniosi.
揉	massaggiare	La mamma mi ha massaggiato delicatamente le spalle.
柔和	soffice	La luce è soffice e non abbaglia.
儒家	il confucianesimo	Il pensiero confuciano ha influenzato la cultura dell'Asia orientale.
弱点	il punto debole	La disattenzione è il suo principale punto debole.
若干	diversi	La riunione ha avanzato diversi suggerimenti.
撒谎	mentire	I bambini non dovrebbero mentire.
散文	la prosa	Lei ama leggere prosa moderna.
散布	diffondere	Qualcuno ha diffuso voci online.
散发	emanare	Il giardino emanava un profumo fresco.
丧失	perdere	Lui non ha perso la fiducia.
骚扰	molestare	Per favore non molestare gli altri passeggeri.
嫂子	la cognata	La cucina di mia cognata è deliziosa.
刹车	frenare	L'autista ha frenato all'improvviso.
啥	che cosa	Che cosa hai appena detto?
筛选	filtrare	Il sistema filtrerà automaticamente i curriculum.
山脉	la catena montuosa	Questa catena montuosa è molto lunga.
闪烁	lampeggiare	Le luci in lontananza continuavano a lampeggiare.
擅长	essere bravo a	Lui è bravo a gestire problemi complessi.
擅自	senza permesso	I dipendenti non possono lasciare il posto senza permesso.
伤脑筋	rompicapo	Questo problema è davvero un rompicapo.
商标	il marchio	L'azienda ha registrato un nuovo marchio.
上级	il superiore	Lui ha riferito la situazione ai superiori.
上进	motivato a migliorare	Lei è sempre stata motivata a migliorare.
上任	entrare in carica	Il nuovo direttore entrerà in carica la prossima settimana.
上瘾	diventare dipendente	Molte persone diventano dipendenti dai video brevi.
上游	il corso superiore	L'inquinamento viene dal corso superiore del fiume.
尚且	persino	Persino gli adulti possono sbagliare.
捎	portare	Per favore porta un messaggio da parte mia.
梢	la cima del ramo	L'uccello si è fermato sulla cima dell'albero.
哨	la sentinella	All'ingresso c'è una sentinella.
奢侈	lussuoso	Questo tipo di consumo è troppo lussuoso.
舌头	la lingua	Lui si è scottato la lingua.
摄氏度	il grado Celsius	Oggi la temperatura è di trenta gradi Celsius.
涉及	coinvolgere	Il rapporto coinvolge diversi dipartimenti.
社区	la comunità	La comunità ha organizzato una conferenza sulla salute.
设立	istituire	La scuola ha istituito una borsa di studio.
设想	l'idea	Questa idea deve ancora essere discussa.
设置	impostare	Per favore reimposta la password.
呻吟	gemere	Il paziente gemeva a bassa voce.
深奥	profondo	Il contenuto di questo libro è molto profondo.
深沉	profondo	La sua voce era bassa e profonda.
深情厚谊	la profonda amicizia	I popoli dei due paesi hanno stretto una profonda amicizia.
申报	dichiarare	I passeggeri devono dichiarare gli oggetti in modo veritiero.
绅士	il gentiluomo	Lui si comporta come un gentiluomo.
神经	il nervo	Lo stress può influire sul sistema nervoso.
神奇	magico	Il paesaggio qui è davvero magico.
神气	energico	Oggi lui sembrava particolarmente energico.
神圣	sacro	Questo è un dovere sacro.
神态	l'espressione	La sua espressione era molto calma.
神仙	l'immortale	La leggenda dice che gli immortali vivono nelle montagne.
审查	esaminare	La piattaforma esaminerà i contenuti pubblicati.
审理	esaminare in giudizio	Il tribunale sta esaminando questo caso.
审美	il gusto estetico	Il suo gusto estetico è molto particolare.
审判	il processo	Il processo pubblico ha attirato l'attenzione dei media.
慎重	prudente	Questa decisione deve essere presa con prudenza.
渗透	penetrare	L'acqua piovana è penetrata lentamente nel terreno.
声明	la dichiarazione	L'azienda ha pubblicato una dichiarazione ufficiale.
声势	lo slancio	Questa campagna pubblicitaria ha grande slancio.
声誉	la reputazione	La qualità del prodotto influisce sulla reputazione del marchio.
牲畜	il bestiame	I pastori hanno ricondotto il bestiame al pascolo.
生存	sopravvivere	Gli animali selvatici hanno bisogno di spazio per sopravvivere.
生机	la vitalità	La pioggia primaverile riempie la terra di vitalità.
生理	la fisiologia	Il sonno influisce sullo stato fisiologico di una persona.
生疏	arrugginito	Dopo anni senza pratica, il suo pianoforte è un po' arrugginito.
生态	l'ecologia	La protezione delle foreste riguarda l'equilibrio ecologico.
生物	l'organismo	Nell'oceano ci sono molti organismi insoliti.
生效	entrare in vigore	La nuova norma entrerà ufficialmente in vigore domani.
生肖	il segno zodiacale cinese	Qual è il tuo segno zodiacale cinese?
生锈	arrugginirsi	La catena della bicicletta è già arrugginita.
生育	la fertilità	L'ospedale offre servizi di consulenza sulla fertilità.
省会	il capoluogo di provincia	Chengdu è da tempo il capoluogo della provincia del Sichuan.
盛产	produrre in abbondanza	Questo luogo produce tè di alta qualità in abbondanza.
盛开	essere in piena fioritura	I ciliegi nel parco sono in piena fioritura.
盛情	la calorosa ospitalità	Ringraziamo il padrone di casa per la calorosa ospitalità.
盛行	essere diffuso	Questo stile un tempo era molto diffuso.
胜负	l'esito	L'ultimo minuto della partita ha deciso l'esito.
失事	avere un incidente	La causa dell'incidente aereo è ancora sotto indagine.
失误	l'errore	Un piccolo errore ha causato il ritardo del progetto.
失踪	scomparso	La polizia sta cercando il bambino scomparso.
尸体	il cadavere	La squadra di soccorso ha trovato il cadavere della vittima.
师范	pedagogico	Lei si è laureata in un'università pedagogica.
施加	esercitare	I genitori non dovrebbero esercitare troppa pressione.
施展	mettere a frutto	Alla fine lui ha avuto l'occasione di mettere a frutto il suo talento.
十足	pieno	Lui ha piena fiducia nel risultato.
实惠	conveniente	I prezzi di questo negozio sono molto convenienti.
实力	la forza	La forza complessiva della squadra è molto alta.
实施	attuare	Il governo ha iniziato ad attuare il nuovo piano.
实事求是	cercare la verità dai fatti	Nella ricerca bisogna cercare la verità dai fatti.
实行	praticare	L'azienda pratica un sistema di lavoro flessibile.
实质	l'essenza	L'essenza del problema non è cambiata.
拾	raccogliere	Lui si chinò a raccogliere la chiave a terra.
时常	spesso	Il nonno parla spesso delle cose della sua giovinezza.
时而	a tratti	Il tempo è a tratti sereno e a tratti nuvoloso.
时光	il tempo	I bei momenti sembrano sempre brevi.
时机	il momento	Adesso non è un buon momento per negoziare.
时事	l'attualità	Gli studenti discutono ogni settimana di attualità internazionale.
石油	il petrolio	Il prezzo del petrolio è salito di nuovo.
识别	riconoscere	Il sistema può riconoscere volti diversi.
使命	la missione	Proteggere l'ambiente è una missione comune.
世代	le generazioni	Questo mestiere è stato tramandato in famiglia per generazioni.
事故	l'incidente	Questo incidente non ha causato vittime.
事迹	le gesta	Le sue gesta eroiche si sono diffuse ampiamente.
事件	l'evento	Questo evento ha attirato l'attenzione della società.
事态	la situazione	Il governo sta controllando lo sviluppo della situazione.
事务	gli affari	Lei è responsabile degli affari quotidiani dell'azienda.
事项	la questione	Per favore conferma le questioni importanti nel contratto.
事业	la carriera	Lui considera l'istruzione la sua carriera di una vita.
势必	inevitabilmente	L'aumento dei costi influenzerà inevitabilmente i prezzi.
势力	l'influenza	L'influenza commerciale locale è molto forte.
是非	le dispute	Lui non vuole essere coinvolto nelle dispute d'ufficio.
示范	la dimostrazione	L'insegnante ha prima fatto una dimostrazione.
示威	la manifestazione	In centro si è svolta una manifestazione pacifica.
示意	fare segno	Il direttore fece segno a tutti di stare in silenzio.
视力	la vista	Guardare gli schermi a lungo può influire sulla vista.
视频	il video	Per favore mandami il video.
视线	la linea di vista	La nebbia fitta ha bloccato la linea di vista dell'autista.
视野	l'orizzonte	Viaggiare può ampliare l'orizzonte.
试图	cercare di	Lui ha cercato di spiegare la propria decisione.
试验	l'esperimento	Gli scienziati hanno condotto molti esperimenti.
适宜	adatto	Il clima qui è adatto ad abitarci.
逝世	morire	Questo scrittore è morto l'anno scorso.
释放	rilasciare	Il tribunale ha deciso di rilasciare l'imputato.
收藏	collezionare	Lui ha collezionato molti vecchi francobolli.
收缩	contrarsi	L'aria fredda può far contrarre il metallo.
收益	il rendimento	Il rendimento dell'investimento è stato superiore alle attese.
收音机	la radio	La nonna ascolta la radio ogni giorno.
守护	proteggere	I medici proteggono la vita dei pazienti.
手法	la tecnica	La tecnica di ripresa del regista è molto particolare.
手势	il gesto	Lui ha usato un gesto per mostrare accordo.
手艺	l'abilità artigianale	L'abilità artigianale di questo maestro è molto buona.
首饰	i gioielli	Lei indossava semplici gioielli d'argento.
首要	principale	La sicurezza è il compito principale.
受罪	soffrire	Il paziente ha sofferto molto dopo l'operazione.
授予	conferire	La scuola gli ha conferito una laurea honoris causa.
书法	la calligrafia	Lui pratica calligrafia fin da piccolo.
书记	il segretario	Il segretario del villaggio ha presieduto la riunione.
书籍	i libri	La biblioteca possiede una grande quantità di libri.
书面	scritto	Per favore fornisci una prova scritta.
疏忽	la negligenza	Questo errore è derivato da negligenza nel lavoro.
疏远	allontanarsi	Il malinteso ha fatto allontanare gradualmente le due persone.
舒畅	sereno	Dopo la passeggiata mi sono sentito molto sereno.
数额	l'importo	L'importo del risarcimento non è ancora stato stabilito.
束	il mazzo	Lei ha comprato un mazzo di fiori.
束缚	limitare	Le idee tradizionali hanno limitato le sue scelte.
树立	stabilire	L'azienda deve stabilire una buona immagine.
竖	mettere in verticale	Per favore metti il cartello in verticale.
耍	giocare	Non giocare con il telefono durante l'orario di lavoro.
衰老	l'invecchiamento	L'esercizio può rallentare l'invecchiamento.
衰退	la recessione	La recessione economica ha influenzato l'occupazione.
率领	guidare	Il capitano ha guidato la squadra in avanti.
涮火锅	mangiare hot pot	In inverno a tutti piace mangiare hot pot.
双胞胎	i gemelli	Loro sono una coppia di gemelli.
爽快	franco	Lei ha risposto in modo molto franco.
水利	la gestione delle acque	Questa regione dà importanza alla costruzione di opere per la gestione delle acque.
水龙头	il rubinetto	Il rubinetto della cucina perde acqua.
水泥	il cemento	Gli operai hanno trasportato il cemento al cantiere.
瞬间	l'istante	Le luci si sono spente tutte in un istante.
司法	giudiziario	L'indipendenza giudiziaria richiede garanzie istituzionali.
司令	il comandante	Il comandante ha dato l'ordine di ritirarsi.
思念	sentire la mancanza	Lei sente spesso la mancanza della sua città natale.
思索	riflettere	Lui abbassò la testa e rifletté a lungo.
思维	il pensiero	Questo allenamento può migliorare il pensiero logico.
斯文	raffinato	Lui parla in modo raffinato e gentile.
私自	senza permesso	Gli studenti non possono lasciare la scuola senza permesso.
死亡	la morte	L'incidente ha causato diverse morti.
四肢	gli arti	Prima di fare esercizio bisogna muovere gli arti.
寺庙	il tempio	Sulla montagna c'è un tempio antico.
肆无忌惮	senza scrupoli	Lui ha infranto le regole senza scrupoli.
饲养	allevare	La fattoria alleva molte mucche da latte.
耸	scrollare	Lui, dopo aver ascoltato, ha solo scrollato le spalle.
艘	il classificatore per navi	Nel porto sono attraccate tre navi merci.
苏醒	riprendere conoscenza	Il paziente ha finalmente ripreso conoscenza.
俗话	il proverbio	Come dice il proverbio, la pratica rende perfetti.
塑造	plasmare	L'ambiente può plasmare il carattere di una persona.
素食	il cibo vegetariano	Questo ristorante offre cibo vegetariano.
素质	la qualità di base	Il personale di servizio ha una qualità molto alta.
诉讼	la causa legale	Le due parti hanno deciso di risolvere la questione tramite una causa legale.
算数	valere	Dovresti mantenere la parola data.
随即	subito	Dopo la fine della riunione, lui se ne andò subito.
随意	a piacimento	Per favore non modificare le impostazioni a piacimento.
岁月	gli anni	Gli anni trascorsi hanno cambiato il suo aspetto.
隧道	il tunnel	Il treno ha attraversato un lungo tunnel.
损坏	danneggiare	La forte pioggia ha danneggiato la strada.
索取	richiedere	I clienti possono richiedere campioni gratuitamente.
索性	semplicemente	La pioggia era troppo forte, quindi semplicemente non siamo usciti.
塌	crollare	Il tetto della vecchia casa è crollato.
踏实	tranquillo	Dopo aver completato il compito, mi sono sentito tranquillo.
