simplified	TE	example_TE
延伸	విస్తరించడం	రోడ్డు ఉత్తర దిశగా విస్తరిస్తుంది.
延续	కొనసాగడం	ఈ సంప్రదాయం వందేళ్లుగా కొనసాగుతోంది.
沿海	తీరప్రాంత	తీరప్రాంత నగరాల్లో వాణిజ్యం అభివృద్ధి చెందింది.
炎热	తీవ్ర వేడి	తీవ్ర వేడి వాతావరణం మనుషులను అలసటకు గురిచేస్తుంది.
言论	వ్యాఖ్యలు; అభిప్రాయ వ్యక్తీకరణ	ప్రజలు అతని వ్యాఖ్యలను గమనిస్తున్నారు.
掩盖	దాచిపెట్టడం	అతడు తప్పును దాచిపెట్టడానికి ప్రయత్నించాడు.
掩护	రక్షణగా కవర్ ఇవ్వడం	వెనక్కి వెళ్లడాన్ని కవర్ చేయడం సహచరుల బాధ్యత.
掩饰	దాచడం; కప్పిపుచ్చడం	ఆమె తన ఆందోళనను దాచడానికి ప్రయత్నించింది.
演变	మారుతూ అభివృద్ధి చెందడం	నగర నిర్మాణం నిరంతరం మారుతూ ఉంది.
演习	అభ్యాస విన్యాసం	పాఠశాల అగ్నిమాపక విన్యాసం నిర్వహించింది.
演绎	తార్కికంగా నిరూపించడం	గురువు ఈ సిద్ధాంతాన్ని తార్కికంగా నిరూపించాడు.
演奏	వాద్యాన్ని వాయించడం; సంగీతం ప్రదర్శించడం	బ్యాండ్ శాస్త్రీయ సంగీతాన్ని వాయిస్తోంది.
眼光	దూరదృష్టి; చూపు	అతనికి పెట్టుబడులపై మంచి దూరదృష్టి ఉంది.
眼色	కళ్లతో సంకేతం	ఆమె సహోద్యోగికి కళ్లతో సంకేతం ఇచ్చింది.
眼神	కళ్ల భావం	అతని కళ్లలో చాలా దృఢత కనిపించింది.
厌恶	అసహ్యించుకోవడం	అతడు మోసపూరిత ప్రవర్తనను అసహ్యించుకుంటాడు.
验收	పూర్తి తనిఖీ చేసి స్వీకరించడం	పని పూర్తైన తర్వాత స్వీకరణ తనిఖీ అవసరం.
验证	నిర్ధారించడం; ధృవీకరించడం	ప్రయోగం ఆ ఊహను నిర్ధారించింది.
氧气	ఆక్సిజన్	రోగికి ఆక్సిజన్ పీల్చడం అవసరం.
样品	నమూనా	కస్టమర్ ఉత్పత్తి నమూనాలను అందుకున్నాడు.
摇摆	ఊగడం; డోలాయమానమవడం	చిన్న పడవ గాలి అలల్లో ఊగింది.
摇滚	రాక్ సంగీతం	యువకులు రాక్ సంగీతాన్ని ఇష్టపడతారు.
谣言	వదంతి	నిర్ధారణ కాని వదంతులను వ్యాప్తి చేయవద్దు.
遥控	దూర నియంత్రణ	అతడు ఫోన్‌తో ఎయిర్ కండిషనర్‌ను దూరంగా నియంత్రించాడు.
遥远	దూరమైన	ఆ గ్రామం నగరానికి చాలా దూరంగా ఉంది.
耀眼	కళ్లను మిరుమిట్లు గొలిపే	సూర్యకాంతి కళ్లను మిరుమిట్లు గొలిపింది.
要点	ప్రధాన అంశం	దయచేసి సమావేశ ప్రధాన అంశాలను నమోదు చేయండి.
要命	అత్యంత; ప్రాణాంతకంగా	ఈ కొండదారి అత్యంత ప్రమాదకరంగా ఉంది.
要素	ముఖ్య ఘటకం	నమ్మకం సహకారానికి ఒక ముఖ్య ఘటకం.
野蛮	క్రూరమైన; అసభ్యమైన	అతడు క్రూరమైన చట్ట అమలుకు వ్యతిరేకంగా ఉన్నాడు.
野心	ఆకాంక్ష; అధికాసక్తి	అతని రాజకీయ ఆకాంక్ష స్పష్టంగా కనిపిస్తోంది.
液体	ద్రవం	ఈ ద్రవానికి రంగు లేదు.
一流	మొదటి తరగతి; అగ్రశ్రేణి	ఈ ఆసుపత్రి పరికరాలు అగ్రశ్రేణిలో ఉన్నాయి.
一如既往	మునుపటిలాగే ఎప్పటిలాగే	అతడు మునుపటిలాగే మాకు మద్దతు ఇస్తున్నాడు.
依旧	ఇప్పటికీ; మునుపటిలాగే	వర్షం ఆగింది, కానీ వీధి ఇప్పటికీ తడిగా ఉంది.
依据	ఆధారం; ఆధారంగా	తీర్పు చట్టం ఆధారంగా ఉండాలి.
依靠	ఆధారపడడం	వారు వ్యవసాయంపై ఆధారపడి జీవిస్తున్నారు.
依赖	అతిగా ఆధారపడడం	పిల్లలు తల్లిదండ్రులపై అతిగా ఆధారపడకూడదు.
依托	ఆధారంగా అభివృద్ధి చెందడం	ప్రాజెక్టు స్థానిక వనరుల ఆధారంగా అభివృద్ధి చెందుతోంది.
衣裳	బట్టలు	ఆమె శుభ్రమైన బట్టలు మార్చుకుంది.
一度	ఒకప్పుడు; కొంతకాలం	కంపెనీ ఒకప్పుడు దివాళా ప్రమాదాన్ని ఎదుర్కొంది.
一贯	ఎల్లప్పుడూ స్థిరమైన	అతడు ఎల్లప్పుడూ వృథాకు వ్యతిరేకంగా ఉన్నాడు.
一目了然	ఒక్క చూపులో స్పష్టమైన	పట్టికలోని విషయం ఒక్క చూపులో స్పష్టంగా ఉంది.
一向	ఎప్పటినుంచో; ఎల్లప్పుడూ	ఆమె ఎప్పటినుంచో సమయపాలన పాటిస్తుంది.
仪器	పరికరం; యంత్రాంగం	ప్రయోగశాల కొత్త పరికరాలను కొనుగోలు చేసింది.
仪式	కార్యక్రమం; వేడుక	పట్టభద్రుల వేడుక రేపు జరుగుతుంది.
疑惑	సందేహం; అయోమయం	విద్యార్థికి సమాధానం గురించి సందేహం కలిగింది.
遗产	వారసత్వం; సంపద	ఈ ప్రాచీన నగరం సాంస్కృతిక వారసత్వం.
遗传	వంశపారంపర్యం; వారసత్వంగా సంక్రమించడం	ఈ వ్యాధి వారసత్వంగా రావచ్చు.
遗留	మిగిలిపోయిన; వారసత్వంగా వదిలిన	చరిత్ర నుంచి మిగిలిన సమస్యలు పరిష్కరించాలి.
遗失	కోల్పోవడం	ప్రయాణికుడు పాస్‌పోర్టును కోల్పోయాడు.
以便	చేయడానికి వీలుగా	దయచేసి సంప్రదించడానికి వీలుగా ఫోన్ నంబర్ వదిలి పెట్టండి.
以免	తప్పించుకోవడానికి	ఆలస్యాన్ని తప్పించుకోవడానికి ముందుగానే బయలుదేరండి.
以往	గతంలో; మునుపటి	గత అనుభవం పరిశీలించదగ్గది.
以至	ఇంతవరకు; ఆ మేరకు	పరిధి సమాజం నుంచి మొత్తం నగరానికి విస్తరించింది.
以致	దాంతో; ఫలితంగా	భారీ వర్షం కొనసాగడంతో రహదారులు మూసుకుపోయాయి.
一帆风顺	సాఫీగా సాగడం	వ్యాపారం ప్రారంభించడం ఎప్పుడూ సాఫీగా సాగదు.
一举两得	ఒక పనితో రెండు లాభాలు	సైకిల్‌పై పనికి వెళ్లడం ఒక పనితో రెండు లాభాలు ఇస్తుంది.
一丝不苟	అత్యంత శ్రద్ధగా; నిర్లక్ష్యం లేకుండా	ఇంజినీరు వైర్లను అత్యంత శ్రద్ధగా తనిఖీ చేశాడు.
亦	కూడా	అతడూ ఈ ప్రణాళికకు అంగీకరించాడు.
异常	అసాధారణం	వ్యవస్థలో అసాధారణ పరిస్థితి ఏర్పడింది.
意料	అంచనా	ఫలితం పూర్తిగా అంచనాకు విరుద్ధంగా వచ్చింది.
意识	అవగాహన; గ్రహించడం	సమస్య తీవ్రతను అతడు క్రమంగా గ్రహించాడు.
意图	ఉద్దేశం	పోలీసులు అతని ఉద్దేశాన్ని గుర్తించారు.
意味着	అర్థం కావడం; సూచించడం	నిశ్శబ్దం అంగీకారమని అర్థం కాదు.
意向	సహకార సంకల్పం; ఉద్దేశం	రెండు పక్షాలు సహకార సంకల్పాన్ని వ్యక్తం చేశాయి.
意志	సంకల్పశక్తి	కష్టాలు మనిషి సంకల్పశక్తిని పరీక్షిస్తాయి.
毅力	పట్టుదల	విజయానికి దీర్ఘకాల పట్టుదల అవసరం.
毅然	దృఢంగా; సంకోచం లేకుండా	ఆమె దృఢంగా కంపెనీని విడిచిపోయింది.
翼	రెక్క	విమాన రెక్కను తనిఖీ చేశారు.
阴谋	కుట్ర	వారు ఈ కుట్రను బయటపెట్టారు.
音响	ధ్వని వ్యవస్థ; శబ్ద ప్రభావం	హాలులో ధ్వని ప్రభావం చాలా బాగుంది.
引导	దారి చూపడం; మార్గనిర్దేశం చేయడం	గురువు విద్యార్థులను ఆలోచించేందుకు మార్గనిర్దేశం చేశాడు.
引擎	ఇంజిన్	కారు ఇంజిన్ అకస్మాత్తుగా ఆగిపోయింది.
引用	ఉటంకించడం	వ్యాసం విస్తృతమైన సమాచారాన్ని ఉటంకించింది.
隐蔽	దాచుకోవడం; గోప్యమైన	సైనికులు అడవిలో దాక్కొన్నారు.
隐患	దాగి ఉన్న ప్రమాదం	పాత వైర్లలో భద్రతా ప్రమాదం దాగి ఉంది.
隐瞒	దాచిపెట్టడం	అతడు నిజాన్ని దాచిపెట్టలేదు.
隐私	గోప్యత	కంపెనీ వినియోగదారుల గోప్యతను కాపాడాలి.
隐约	మసకగా; అస్పష్టంగా	దూరం నుంచి పాట మసకగా వినిపించింది.
饮食	ఆహారపానీయాలు	ఆరోగ్యకరమైన ఆహారపానీయాలు కోలుకోవడానికి సహాయపడతాయి.
婴儿	శిశువు	శిశువు ప్రశాంతంగా నిద్రపోతోంది.
英明	జ్ఞానవంతమైన	నాయకుడు జ్ఞానవంతమైన నిర్ణయం తీసుకున్నాడు.
英勇	వీరమైన; ధైర్యమైన	అగ్నిమాపక సిబ్బంది ధైర్యంగా పిల్లవాడిని రక్షించాడు.
盈利	లాభం పొందడం	కంపెనీ ఈ సంవత్సరం లాభం పొందడం ప్రారంభించింది.
迎面	ఎదురుగా; ముఖంపైకి	చల్లని గాలి ఎదురుగా వీచింది.
应酬	సామాజిక విందులు; మర్యాదపూర్వక సంబంధాలు	అతనికి ఈ రాత్రి చాలా సామాజిక కార్యక్రమాలు ఉన్నాయి.
应邀	ఆహ్వానంపై	నిపుణుడు ఆహ్వానంపై వేదికలో పాల్గొన్నాడు.
庸俗	అసభ్యమైన; నీచమైన	ఈ ప్రకటనలోని విషయం చాలా అసభ్యంగా ఉంది.
拥护	మద్దతు ఇవ్వడం	అందరూ కొత్త విధానానికి మద్దతు ఇస్తున్నారు.
拥有	కలిగి ఉండడం	అతనికి విస్తృతమైన అనుభవం ఉంది.
勇于	ధైర్యంగా చేయడానికి సిద్ధంగా ఉండడం	యువకులు ధైర్యంగా ప్రయత్నించాలి.
永恒	శాశ్వతమైన	ప్రేమ ఎప్పటికీ మారకుండా ఉండేది కాదు.
涌现	పెద్ద సంఖ్యలో వెలుగులోకి రావడం	ప్రతి ప్రాంతంలోనూ ఉత్తమ ఉపాధ్యాయులు వెలుగులోకి వస్తున్నారు.
踊跃	ఉత్సాహంగా పాల్గొనడం	నివాసులు కార్యక్రమానికి ఉత్సాహంగా నమోదు చేసుకున్నారు.
用户	వినియోగదారు	వినియోగదారు తన పాస్‌వర్డ్‌ను మార్చుకోవచ్చు.
优胜劣汰	బలవంతులే నిలిచే పోటీ విధానం	మార్కెట్ పోటీ బలవంతులే నిలిచే విధానాన్ని చూపిస్తుంది.
优先	ప్రాధాన్యం	వృద్ధులకు ముందుగా సేవ అందించవచ్చు.
优异	అత్యుత్తమమైన	ఆమె అత్యుత్తమ ఫలితాలు సాధించింది.
优越	మెరుగైన; శ్రేష్ఠమైన	ఈ ప్రదేశానికి శ్రేష్ఠమైన భౌగోళిక స్థానం ఉంది.
忧郁	విషాదభరితమైన; మనోవేదనగల	అతని ముఖాభినయం విషాదంగా కనిపించింది.
油腻	నూనె ఎక్కువగా ఉన్న	ఈ వంటకం చాలా నూనెగా ఉంది.
油漆	రంగు పూయడం; పెయింట్	కార్మికులు తలుపుకు రంగు పూస్తున్నారు.
犹如	లాగా; వంటి	సరస్సు ఉపరితలం అద్దంలాగా ఉంది.
有条不紊	క్రమబద్ధంగా	సమావేశం క్రమబద్ధంగా సాగింది.
幼稚	పిల్లల మాదిరి; అమాయకమైన	ఈ ఆలోచన కొంచెం పిల్లల మాదిరిగా ఉంది.
诱惑	ప్రలోభపెట్టడం; ప్రలోభం	ఆ ప్రకటన వినియోగ ప్రలోభాలతో నిండి ఉంది.
愚蠢	మూర్ఖమైన	ఈ నిర్ణయం చాలా మూర్ఖమైనది.
愚昧	అజ్ఞానమైన	అజ్ఞాన భావనలు పురోగతిని అడ్డుకుంటాయి.
渔民	మత్స్యకారులు	మత్స్యకారులు తెల్లవారుజామున చేపలు పట్టడానికి సముద్రానికి వెళ్తారు.
舆论	ప్రజాభిప్రాయం	ప్రజాభిప్రాయం ఆ కేసుపై పెద్ద ప్రభావం చూపింది.
与日俱增	రోజురోజుకు పెరగడం	పర్యాటకుల సంఖ్య రోజురోజుకు పెరుగుతోంది.
宇宙	విశ్వం	మానవజాతి విశ్వాన్ని నిరంతరం అన్వేషిస్తోంది.
羽绒服	డౌన్ జాకెట్	శీతాకాలంలో డౌన్ జాకెట్ ధరించాలి.
寓言	నీతి కథ	ఈ నీతి కథకు మంచి విద్యా విలువ ఉంది.
愈	క్రమంగా; కోలుకోవడం	వ్యాధి పరిస్థితి క్రమంగా మెరుగుపడుతోంది.
欲望	కోరిక; ఆశ	అతడు కొనుగోలు కోరికను అదుపులో పెట్టుకున్నాడు.
熨	ఇస్త్రీ చేయడం	ఆమె చొక్కాను ఇస్త్రీ చేసి మృదువుగా చేసింది.
玉	జేడ్ రాయి	ఈ జేడ్ రాయి రంగు మృదువుగా మెరుస్తోంది.
预料	అంచనా వేయడం; అంచనా	పరిస్థితి అభివృద్ధి అంచనాను మించింది.
预期	ఆశించినది; అంచనా	అమ్మకాలు అంచనాకంటే తక్కువగా ఉన్నాయి.
预算	బడ్జెట్	ప్రాజెక్టు బడ్జెట్‌ను సవరించాలి.
预先	ముందుగానే	దయచేసి పదార్థాలను ముందుగానే సిద్ధం చేయండి.
预言	భవిష్యవాణి; ముందుగా చెప్పడం	అతని భవిష్యవాణి నిజం కాలేదు.
预兆	సూచన; ముందస్తు సంకేతం	నొప్పి వ్యాధికి ముందస్తు సంకేతం కావచ్చు.
冤枉	అన్యాయంగా నిందించడం	నిర్దోషిని అన్యాయంగా నిందించవద్దు.
元首	రాష్ట్రాధిపతి	రెండు దేశాల రాష్ట్రాధిపతులు చర్చలు జరిపారు.
元素	మూలకం	ఆక్సిజన్ ఒక రసాయన మూలకం.
元宵节	దీపాల పండుగ	దీపాల పండుగలో ప్రజలు దీపాల అలంకరణను చూస్తారు.
原告	వాది	వాది కొత్త ఆధారాలను సమర్పించాడు.
原理	సూత్రం; సిద్ధాంతం	గురువు యంత్రం సూత్రాన్ని వివరించాడు.
原始	మూలమైన; ప్రాచీనమైన	వారు అసలు రికార్డులను భద్రపరిచారు.
原先	మునుపటి; అసలు	మునుపటి ప్రణాళిక ఇప్పటికే మారిపోయింది.
园林	తోటలు; ఉద్యానవనం	సుజౌ తోటలు చాలా ప్రసిద్ధి గాంచాయి.
圆满	సంపూర్ణంగా విజయవంతమైన	సమావేశం సంపూర్ణ విజయాన్ని సాధించింది.
源泉	మూలం; ఉద్భవస్థానం	ప్రయోగం జ్ఞానానికి మూలం.
缘故	కారణం	ఆరోగ్య కారణంతో అతడు రాజీనామా చేశాడు.
约束	పరిమితం చేయడం; నియంత్రించడం	వ్యవస్థ ఉద్యోగుల ప్రవర్తనను నియంత్రిస్తుంది.
乐谱	సంగీత స్వరలిపి	ఆమె సంగీత స్వరలిపిని శ్రద్ధగా చదివింది.
岳母	అత్తగారు	అతడు వారాంతంలో అత్తగారిని చూడడానికి వెళ్లాడు.
孕育	పోషించడం; పెంచి వెలికితీయడం	నేల కొత్త జీవాన్ని పోషిస్తుంది.
蕴藏	దాచుకొని ఉండడం; కలిగి ఉండడం	పర్వత ప్రాంతంలో సమృద్ధిగా ఖనిజ సంపద దాగి ఉంది.
运算	గణిత చర్య	విద్యార్థులు గణిత చర్యలను సాధన చేస్తున్నారు.
运行	నడుస్తుండడం; పనిచేయడం	వ్యవస్థ స్థిరంగా నడుస్తోంది.
酝酿	ఆలోచించి సిద్ధం చేయడం	రెండు పక్షాలు కొత్త ప్రణాళికను ఆలోచిస్తున్నాయి.
杂技	కళాబాజీ	పిల్లలు కళాబాజీ ప్రదర్శనలు చూడటం ఇష్టపడతారు.
杂交	సంకరజాతి; సంకర కలయిక	శాస్త్రవేత్తలు సంకర వరిని అధ్యయనం చేస్తున్నారు.
砸	పగలగొట్టడం; బలంగా పడటం	కప్పు నేలపై పడి పగిలింది.
咋	ఎలా; ఎందుకు	నువ్వు ఇంకా ఎలా తిరిగి రాలేదు?
栽培	సాగు చేయడం; పెంచడం	తోటమాలి అనేక పూలను పెంచాడు.
灾难	విపత్తు	విపత్తు తర్వాత నగరం పునర్నిర్మాణం ప్రారంభించింది.
宰	జంతువును వధించడం	పండుగ సమయంలో గ్రామస్తులు గొర్రెను వధిస్తారు.
再接再厉	మరింత పట్టుదలగా కొనసాగడం	బహుమతి గెలిచిన తర్వాత బృందం మరింత పట్టుదలగా కొనసాగింది.
在意	పట్టించుకోవడం	ఆమె ఇతరుల అభిప్రాయాలను చాలా పట్టించుకుంటుంది.
攒	సేకరించడం; పొదుపు చేయడం	అతడు కంప్యూటర్ కొనడానికి డబ్బు పొదుపు చేస్తున్నాడు.
暂且	ఇప్పటికి; తాత్కాలికంగా	ఈ సమస్యను ఇప్పటికి పక్కన పెట్టండి.
赞叹	ఆశ్చర్యంగా ప్రశంసించడం	ప్రేక్షకులు నటుడి ప్రదర్శనను ప్రశంసించారు.
赞助	ప్రాయోజకత్వం చేయడం	కంపెనీ ఈ పోటీకి ప్రాయోజకత్వం చేసింది.
糟蹋	వృథా చేయడం; పాడు చేయడం	ఈ తాజా ఆహారాన్ని వృథా చేయవద్దు.
遭受	అనుభవించడం; నష్టపోవడం	వ్యవసాయ భూమి తీవ్రమైన కరువుతో నష్టపోయింది.
遭殃	విపత్తులో పడడం	వంతెన కూలడంతో సమీప నివాసులు ఇబ్బంది పడ్డారు.
遭遇	ఎదుర్కోవడం	వారు మార్గమధ్యంలో మంచు తుఫానును ఎదుర్కొన్నారు.
噪音	శబ్ద కాలుష్యం; గోల	నిర్మాణ శబ్దం విశ్రాంతిని ప్రభావితం చేస్తుంది.
造型	ఆకృతి; రూపకల్పన	ఈ కారు ఆకృతి చాలా ప్రత్యేకంగా ఉంది.
责怪	నిందించడం	దయచేసి పిల్లవాడిని అర్థం లేకుండా నిందించవద్దు.
贼	దొంగ	పోలీసులు ఆ దొంగను పట్టుకున్నారు.
增添	చేర్చడం; పెంచడం	తాజా పూలు గదికి రంగును చేర్చాయి.
赠送	బహుమతిగా ఇవ్వడం	దుకాణం చిన్న బహుమతులు ఇస్తోంది.
扎	సూది పెట్టడం; గుచ్చడం	నర్స్ అతనికి ఒక సూది పెట్టింది.
扎实	దృఢమైన; పటిష్ఠమైన	అతని వ్యాకరణ పునాది చాలా పటిష్ఠంగా ఉంది.
渣	మిగులు; అవశేషం	కప్పు అడుగున కాఫీ మిగులు ఉంది.
眨	కన్ను కొట్టడం	ఆమె తన కళ్లను కొట్టింది.
诈骗	మోసం చేయడం	పోలీసులు టెలికాం మోసం కేసును ఛేదించారు.
摘要	సారాంశం	వ్యాస సారాంశం చాలా స్పష్టంగా రాయబడింది.
债券	బాండ్; రుణపత్రం	పెట్టుబడిదారులు ప్రభుత్వ రుణపత్రాలు కొనుగోలు చేస్తారు.
沾光	ఇతరుల వల్ల లాభపడడం	నేను కూడా స్నేహితుడి వల్ల కొంత లాభపడ్డాను.
瞻仰	గౌరవంగా దర్శించడం	పర్యాటకులు వీరుల స్మారకాన్ని గౌరవంగా దర్శించారు.
展示	ప్రదర్శించడం	కంపెనీ తాజా ఉత్పత్తిని ప్రదర్శించింది.
展望	భవిష్యత్తును చూడడం; దృశ్యకోణం	నివేదిక భవిష్యత్తు ధోరణులను పరిశీలించింది.
展现	చూపించడం; బయటపడడం	ఆ కృతి గ్రామీణ జీవితాన్ని చూపించింది.
崭新	కొత్తకొత్తగా ఉన్న	అతడు పూర్తిగా కొత్త సైకిల్ కొనుగోలు చేశాడు.
斩钉截铁	దృఢంగా; సందేహం లేకుండా	ఆమె సందేహం లేకుండా తిరస్కరించింది.
占据	ఆక్రమించడం	ప్రకటన మొత్తం పేజీని ఆక్రమించింది.
占领	ఆక్రమించుకోవడం	సైన్యం కొండ మార్గాన్ని ఆక్రమించింది.
战斗	పోరాటం; యుద్ధం చేయడం	పోరాటం మూడు గంటలు కొనసాగింది.
战略	వ్యూహం	కంపెనీ అభివృద్ధి వ్యూహాన్ని సవరించింది.
战术	తంత్రం	కోచ్ మ్యాచ్ తంత్రాన్ని మార్చాడు.
战役	సైనిక దండయాత్ర; యుద్ధ కార్యాచరణ	ఈ యుద్ధ కార్యాచరణ పరిస్థితిని మార్చింది.
章程	నియమావళి	సంఘం కొత్త నియమావళిని ఆమోదించింది.
帐篷	గుడారం	వారు సరస్సు పక్కన గుడారం వేశారు.
障碍	అడ్డంకి	భాషా అడ్డంకి సంభాషణను ప్రభావితం చేస్తుంది.
招标	టెండర్లు ఆహ్వానించడం	ఇంజినీరింగ్ ప్రాజెక్టు బహిరంగంగా టెండర్లు ఆహ్వానించింది.
招收	చేర్చుకోవడం; నియమించుకోవడం	పాఠశాల ఈ సంవత్సరం కొత్త విద్యార్థులను చేర్చుకుంటోంది.
朝气蓬勃	యువశక్తితో నిండిన	యువ బృందం ఉత్సాహంతో నిండింది.
着迷	ముగ్ధుడవడం; మక్కువ పడడం	పిల్లవాడు ఖగోళ శాస్త్రంపై మక్కువ చూపుతున్నాడు.
沼泽	చెరువు మడుగు; బురద నేల	అన్వేషణ బృందం బురద నేలను దాటింది.
照样	మామూలుగానే	వర్షం పడినా శిక్షణ మామూలుగానే కొనసాగింది.
照耀	ప్రకాశించడం	సూర్యకాంతి చౌరస్తాను ప్రకాశింపజేసింది.
折腾	తిప్పలు పెట్టడం; పదేపదే తడబడడం	ఈ పాత కంప్యూటర్‌తో ఇక తిప్పలు పెట్టుకోవద్దు.
遮挡	అడ్డుపడడం; కప్పివేయడం	కొమ్మలు కిటికీకి అడ్డుపడ్డాయి.
折	మడవడం; విరగడం	అతడు కాగితాన్ని విమానంలా మడిచాడు.
折磨	హింసించడం; బాధ పెట్టడం	దీర్ఘకాల నిద్రలేమి ఆమెను బాధిస్తోంది.
侦探	డిటెక్టివ్	డిటెక్టివ్ కీలక ఆధారాన్ని కనుగొన్నాడు.
斟酌	జాగ్రత్తగా పరిశీలించడం	దయచేసి పదప్రయోగాన్ని జాగ్రత్తగా పరిశీలించండి.
珍贵	విలువైన	ఈ ఫోటోలు చాలా విలువైనవి.
珍稀	అరుదైన; విలువైన	అరుదైన వన్యప్రాణులను రక్షించాలి.
珍珠	ముత్యం	ఆమె ముత్యాల చెవిపోగులు ధరించింది.
真理	సత్యం	ప్రయోగం సత్యాన్ని పరీక్షిస్తుంది.
真相	నిజం; వాస్తవాలు	వార్తాహరి నిజాన్ని తెలుసుకోవడానికి కష్టపడ్డాడు.
真挚	నిజాయితీగల; హృదయపూర్వకమైన	ఆమె హృదయపూర్వక కృతజ్ఞత తెలిపింది.
枕头	దిండు	ఈ దిండు చాలా ఎత్తుగా ఉంది.
振奋	ఉత్సాహపరచడం	మంచి వార్త అందరినీ ఉత్సాహపరిచింది.
振兴	పునరుజ్జీవింపజేయడం	ప్రభుత్వం గ్రామీణ పునరుజ్జీవనాన్ని ప్రోత్సహిస్తోంది.
镇定	స్థిమితంగా ఉన్న	అత్యవసర సమయంలో అతడు స్థిమితంగా ఉన్నాడు.
镇静	శాంతంగా ఉండడం	నర్స్ రోగిని శాంతంగా ఉండమంది.
阵地	స్థానం; యుద్ధ స్థానం	సైనికులు స్థానాన్ని కాపాడారు.
阵容	జట్టు వరుస; లైనప్	జట్టు ప్రారంభ కూర్పును ప్రకటించింది.
震撼	కదిలించివేయడం; తీవ్ర ప్రభావం చూపడం	ఈ సినిమా చాలా తీవ్రంగా ప్రభావితం చేసింది.
震惊	ఆశ్చర్యంతో కుదిపివేయడం	ఆ వార్త దేశమంతటినీ కుదిపేసింది.
争端	వివాదం	రెండు పక్షాలు సరిహద్దు వివాదాన్ని పరిష్కరించడానికి ప్రయత్నించాయి.
争夺	పోటీపడడం; కోసం పోరాడడం	రెండు కంపెనీలు మార్కెట్ వాటా కోసం పోటీ పడుతున్నాయి.
争气	గౌరవం తెచ్చేందుకు కష్టపడడం	అతడు కుటుంబానికి గౌరవం తెచ్చేందుకు కష్టపడి చదువుతున్నాడు.
争先恐后	ముందుకు దూసుకుపోవడం	పర్యాటకులు బస్సులో ఎక్కడానికి ముందుకు దూసుకుపోయారు.
争议	వివాదం	ఈ నిర్ణయం వివాదానికి దారితీసింది.
征服	జయించడం	పర్వతారోహకుడు శిఖరాన్ని జయించాడు.
征收	పన్ను విధించడం; వసూలు చేయడం	ప్రభుత్వం చట్టప్రకారం పన్నులు వసూలు చేస్తుంది.
挣扎	పోరాడుతూ తంటాలు పడడం	చిన్న పక్షి వలలో తంటాలు పడింది.
正月	చంద్రమాన మొదటి నెల	మొదటి చంద్రమాసంలో బంధువులు పరస్పరం శుభాకాంక్షలు తెలుపుకుంటారు.
蒸发	ఆవిరైపోవడం	తేమ త్వరగా ఆవిరైపోయింది.
整顿	పునర్వ్యవస్థీకరించడం	కంపెనీ నిర్వహణను పునర్వ్యవస్థీకరించడం ప్రారంభించింది.
政策	విధానం	కొత్త విధానం చిన్న వ్యాపారాలకు మద్దతు ఇస్తుంది.
政权	రాజకీయ అధికార వ్యవస్థ	యుద్ధం స్థానిక అధికార వ్యవస్థను మార్చింది.
正当	న్యాయమైన; సముచితమైన	అతడు న్యాయమైన డిమాండ్ చేశాడు.
正负	ధన మరియు ఋణ	పరికరం ధన-ఋణ లోపాన్ని చూపిస్తోంది.
正规	నియమబద్ధమైన; ప్రామాణికమైన	పిల్లవాడు నియమబద్ధ పాఠశాలలో చదవడం ప్రారంభించాడు.
正经	గంభీరమైన; సక్రమమైన	అతడు చివరకు గంభీరంగా మాట్లాడడం ప్రారంభించాడు.
正气	ధర్మబలం; సత్స్ఫూర్తి	సమాజం సత్స్ఫూర్తిని ప్రోత్సహించాలి.
正义	న్యాయం	న్యాయవాది న్యాయం కోసం వాదించాడు.
正宗	అసలైన; సంప్రదాయమైన	ఈ దుకాణం అసలైన సిచువాన్ వంటకాలు అమ్ముతుంది.
症状	లక్షణం	జ్వరం సాధారణ లక్షణం.
证实	ధృవీకరించడం	దర్యాప్తు అతని మాటలను ధృవీకరించింది.
证书	సర్టిఫికేట్; ధృవపత్రం	ఆమె వృత్తిపరమైన ధృవపత్రం పొందింది.
郑重	గంభీరమైన; అధికారికమైన	అతడు బాధ్యత తీసుకుంటానని గంభీరంగా వాగ్దానం చేశాడు.
之际	సమయంలో; సందర్భంలో	వసంత పండుగ రాబోతున్న సమయంలో అందరూ బిజీగా ఉన్నారు.
支撑	ఆధారం ఇవ్వడం; మద్దతు ఇవ్వడం	స్తంభాలు పైకప్పుకు మద్దతు ఇస్తున్నాయి.
支出	ఖర్చు	కుటుంబ ఖర్చులు స్పష్టంగా పెరిగాయి.
支流	ఉపనది	ఈ నది యాంగ్‌జీ నదికి ఉపనది.
支配	ఆధిపత్యం చేయడం; ప్రభావితం చేయడం	భావోద్వేగాలు తీర్పును ప్రభావితం చేయకూడదు.
支援	సహాయం అందించడం; మద్దతు ఇవ్వడం	వివిధ ప్రాంతాల వైద్యులు సహాయం అందించడానికి వచ్చారు.
支柱	ఆధార స్తంభం	తయారీ రంగం స్థానిక ఆర్థిక వ్యవస్థకు ఆధార స్తంభం.
枝	కొమ్మ	ఆమె పూల కొమ్మను విరిచింది.
知觉	చేతన; స్పృహ	గాయపడిన వ్యక్తికి క్రమంగా స్పృహ వచ్చింది.
