simplified	HI	example_HI
优美	सुंदर; मनोहर	यहाँ का वातावरण बहुत सुंदर है।
优势	लाभ; बढ़त	उसका लाभ यह है कि उसे बहुत अनुभव है।
悠久	दीर्घ; बहुत पुराना	चीन का इतिहास बहुत पुराना है।
油炸	तेल में तला हुआ	मैं तेल में तला हुआ खाना बहुत कम खाता हूँ।
游览	घूमना; दर्शन करना	हम कल निषिद्ध नगर देखने जाएँगे।
犹豫	हिचकिचाना	वह थोड़ी देर हिचकिचाकर ही बोला।
有利	लाभदायक; अनुकूल	यह शर्त हमारे लिए अनुकूल है।
幼儿园	बालवाड़ी	बच्चा अगले साल बालवाड़ी जाएगा।
娱乐	मनोरंजन	फ़िल्म देखना एक तरह का मनोरंजन है।
与其	की बजाय	शिकायत करने की बजाय काम करना बेहतर है।
语气	लहजा; स्वर	उसके बोलने का लहजा बहुत कोमल है।
玉米	मक्का	रात के खाने में मक्के का सूप है।
预报	पूर्वानुमान	मौसम पूर्वानुमान कहता है कि कल बारिश होगी।
预订	पहले से बुक करना	मैंने होटल पहले ही बुक कर लिया है।
预防	रोकथाम करना	बार-बार हाथ धोने से सर्दी से बचाव हो सकता है।
元旦	नववर्ष दिवस	नववर्ष दिवस पर हमें एक दिन की छुट्टी है।
原料	कच्चा माल; सामग्री	ब्रेड की मुख्य सामग्री मैदा है।
原则	सिद्धांत	मनुष्य को सिद्धांतों वाला होना चाहिए।
员工	कर्मचारी	कंपनी में तीन सौ कर्मचारी हैं।
圆	गोल	चाँद बड़ा और गोल है।
愿望	इच्छा; कामना	उसकी इच्छा दुनिया घूमने की है।
乐器	वाद्ययंत्र	वह कई तरह के वाद्ययंत्र बजा सकती है।
晕	चक्कर आना	नाव में बैठते समय मुझे थोड़ा चक्कर आता है।
运气	किस्मत	आज मेरी किस्मत अच्छी है।
运输	परिवहन	इन सामानों को रेल परिवहन की ज़रूरत है।
运用	प्रयोग करना; इस्तेमाल करना	कृपया इन शब्दों का लचीले ढंग से प्रयोग करें।
灾害	आपदा	बाढ़ एक तरह की प्राकृतिक आपदा है।
再三	बार-बार	शिक्षक ने हमें बार-बार दोहराने की याद दिलाई।
在乎	परवाह करना	वह दोस्तों की राय की बहुत परवाह करता है।
在于	में निहित होना	सफलता डटे रहने में निहित है।
赞成	समर्थन करना; सहमत होना	मैं तुम्हारे सुझाव से सहमत हूँ।
赞美	प्रशंसा करना	सबने उसके साहस की प्रशंसा की।
糟糕	बहुत खराब	आज का मौसम सचमुच बहुत खराब है।
造成	कारण बनना	तेज़ बारिश से यातायात जाम हो गया।
则	तो; तब	मेहनत करोगे तो प्रगति होगी।
责备	दोष देना; डाँटना	शिक्षक ने उसे दोष नहीं दिया।
摘	तोड़ना	उसने बगीचे में एक फूल तोड़ा।
窄	संकरी; तंग	यह सड़क बहुत संकरी है।
粘贴	चिपकाना	कृपया तस्वीर यहाँ चिपका दें।
展开	शुरू होना; फैलाना	चर्चा जल्दी ही शुरू हो गई।
展览	प्रदर्शनी	संग्रहालय में एक नई प्रदर्शनी है।
占	घेरना; जगह लेना	यह मेज़ जगह घेरती है।
战争	युद्ध	युद्ध लोगों के लिए दुख लाता है।
掌握	महारत हासिल करना	उसने बुनियादी व्याकरण में महारत हासिल कर ली है।
涨	बढ़ना	हाल में किराया फिर बढ़ गया है।
长辈	बुज़ुर्ग; वरिष्ठ परिजन	नए साल पर बुज़ुर्गों का हाल पूछना चाहिए।
账户	खाता	कृपया अपना बैंक खाता जाँचें।
招待	मेहमाननवाज़ी करना; स्वागत करना	मेज़बान ने मेहमानों का गर्मजोशी से स्वागत किया।
着火	आग लगना	रसोई में अचानक आग लग गई।
着凉	ठंड लगना	ठंड है, ठंड मत लगने देना।
召开	आयोजित करना; बुलाना	स्कूल कल बैठक आयोजित करेगा।
照常	हमेशा की तरह	दुकान कल हमेशा की तरह खुलेगी।
哲学	दर्शनशास्त्र	उसने विश्वविद्यालय में दर्शनशास्त्र पढ़ा।
珍惜	क़द्र करना; संजोना	हमें समय की क़द्र करनी चाहिए।
真实	सच्चा; वास्तविक	यह कहानी सच्ची है।
针对	को ध्यान में रखकर; लक्षित	यह सुझाव नए छात्रों को ध्यान में रखकर दिया गया है।
诊断	निदान	डॉक्टर ने जल्दी ही निदान कर दिया।
振动	कंपन करना	फ़ोन मेज़ पर कंपन कर रहा है।
阵	थोड़ी देर; झोंका	बाहर थोड़ी देर बारिश हुई।
争论	बहस करना; विवाद करना	उन्होंने इस मुद्दे पर बहुत देर तक बहस की।
争取	प्रयास कर पाना; हासिल करने की कोशिश करना	हमें अधिक अवसर पाने की कोशिश करनी चाहिए।
征求	राय माँगना	शिक्षक ने सबकी राय माँगी।
挣	छूटने के लिए संघर्ष करना	छोटी चिड़िया रस्सी से छूट गई।
睁	आँख खोलना	कृपया आँखें थोड़ा और बड़ी खोलिए।
整个	पूरा; समूचा	पूरा शहर बहुत शांत है।
整齐	साफ़-सुथरा; व्यवस्थित	किताबें बहुत व्यवस्थित रखी हैं।
整体	समग्र; पूरा	हमें समग्र प्रभाव पर विचार करना चाहिए।
政府	सरकार	सरकार ने नई सूचना जारी की।
政治	राजनीति	उसे राजनीति में बहुत रुचि है।
正	सही; ठीक	यह उत्तर सही है।
证件	पहचान पत्र; दस्तावेज़	कृपया अपना पहचान पत्र दिखाइए।
证据	सबूत; प्रमाण	पुलिस को नया सबूत मिला।
支	कलम जैसी चीज़ों का वर्गसूचक	मेज़ पर एक कलम है।
支票	चेक	उसने चेक से भुगतान किया।
执照	लाइसेंस	गाड़ी चलाने के लिए ड्राइविंग लाइसेंस चाहिए।
直	सीधा	इस सड़क पर सीधे आगे जाइए।
指导	मार्गदर्शन करना	शिक्षक ने शोध-पत्र लिखने में हमारा मार्गदर्शन किया।
指挥	निर्देशन करना; कमान संभालना	वह इस कार्रवाई का निर्देशन करने के लिए ज़िम्मेदार है।
制定	बनाना; तैयार करना	कंपनी ने नई योजना तैयार की।
制度	प्रणाली; नियम-व्यवस्था	स्कूल में सख़्त नियम-व्यवस्था है।
制造	निर्माण करना	यह कारखाना मशीनें बनाता है।
制作	बनाना; तैयार करना	वह जन्मदिन का केक बना रही है।
志愿者	स्वयंसेवक	कई स्वयंसेवक गतिविधि में शामिल हुए।
智慧	बुद्धिमत्ता; ज्ञान	इस बुज़ुर्ग व्यक्ति में बहुत बुद्धिमत्ता है।
治疗	इलाज करना	डॉक्टर मरीज का इलाज कर रहा है।
秩序	व्यवस्था; अनुशासन	कृपया सब लोग व्यवस्था बनाए रखें।
至今	आज तक; अब तक	यह समस्या आज तक हल नहीं हुई।
至于	जहाँ तक बात है	जहाँ तक खर्च की बात है, हम कल चर्चा करेंगे।
中介	एजेंसी; बिचौलिया	उसने एजेंसी के ज़रिए मकान किराए पर लिया।
中心	केंद्र	अस्पताल शहर के केंद्र में है।
中旬	महीने का मध्य भाग	बैठक मई के मध्य में रखी गई है।
种类	प्रकार; किस्म	यहाँ फलों की बहुत किस्में हैं।
重大	महत्वपूर्ण; बड़ा	यह एक महत्वपूर्ण निर्णय है।
重量	वज़न	इस डिब्बे का वज़न कितना है?
周到	विचारशील; पूरा ध्यान रखने वाला	उसकी सेवा बहुत विचारशील है।
猪	सूअर	खेत में बहुत से सूअर पाले गए हैं।
竹子	बाँस	पांडा बाँस खाना पसंद करते हैं।
逐步	क्रमशः; धीरे-धीरे	योजना क्रमशः लागू की जाएगी।
逐渐	धीरे-धीरे	मौसम धीरे-धीरे ठंडा हो गया।
主持	संचालन करना	वह आज की बैठक का संचालन कर रही है।
主动	स्वेच्छा से; पहल करके	उसने पहल करके सहपाठी की मदद की।
主观	व्यक्तिपरक	यह मूल्यांकन थोड़ा व्यक्तिपरक है।
主人	मेज़बान; मालिक	मेज़बान ने हमारा गर्मजोशी से स्वागत किया।
主任	निदेशक; प्रभारी	निदेशक कार्यालय में हैं।
主题	विषय	आज की चर्चा का विषय पर्यावरण संरक्षण है।
主席	अध्यक्ष	अध्यक्ष ने बैठक शुरू होने की घोषणा की।
主张	समर्थन करना; राय रखना	वह पहले यातायात की समस्या हल करने का पक्षधर है।
煮	उबालना; पकाना	माँ नूडल्स पका रही हैं।
注册	पंजीकरण करना	नए उपयोगकर्ताओं को पहले पंजीकरण करना होगा।
祝福	शुभकामना; आशीर्वाद	दोस्तों ने शुभकामनाएँ भेजीं।
抓	पकड़ना	बच्चे ने माँ का हाथ पकड़ लिया।
抓紧	अच्छी तरह उपयोग करना; कसकर पकड़ना	हमें समय का अच्छा उपयोग करना चाहिए।
专家	विशेषज्ञ	विशेषज्ञ ने सुझाव दिए।
专心	ध्यान लगाकर	कक्षा में ध्यान लगाकर सुनना चाहिए।
转变	बदलाव	उसके रवैये में बदलाव आया।
转告	संदेश पहुँचा देना	कृपया उसे बता देना कि कल बैठक है।
装	डालना; पैक करना	कृपया किताबें बैग में डाल दें।
装饰	सजाना	उन्होंने फूलों से कमरे को सजाया।
装修	मरम्मत और सजावट करना	नए घर की मरम्मत और सजावट हो रही है।
撞	टकराना	चौराहे पर दो गाड़ियाँ टकरा गईं।
状况	स्थिति	वर्तमान स्थिति काफ़ी स्थिर है।
状态	हालत; अवस्था	आज उसकी हालत अच्छी है।
追	पीछा करना	बच्चा पीछे से छोटे कुत्ते का पीछा कर रहा है।
追求	पीछा करना; पाने की कोशिश करना	वह हमेशा अपने सपने को पाने की कोशिश करता रहा है।
咨询	सलाह लेना	तुम किसी विशेषज्ञ डॉक्टर से सलाह ले सकते हो।
姿势	मुद्रा	कृपया सही मुद्रा बनाए रखें।
资格	योग्यता; पात्रता	उसे प्रतियोगिता में भाग लेने की पात्रता है।
资金	धन; पूँजी	परियोजना को अधिक धन की ज़रूरत है।
资料	सामग्री; जानकारी	कृपया सामग्री मुझे भेज दें।
资源	संसाधन	पानी एक महत्वपूर्ण प्राकृतिक संसाधन है।
紫	बैंगनी	उसे बैंगनी रंग पसंद है।
字母	अक्षर	अंग्रेज़ी में छब्बीस अक्षर होते हैं।
字幕	उपशीर्षक	इस फ़िल्म में चीनी उपशीर्षक हैं।
自从	जब से	स्नातक होने के बाद से वह बहुत कम वापस आता है।
自动	स्वचालित	यह दरवाज़ा अपने आप खुलता है।
自豪	गर्व	मुझे अपनी प्रगति पर गर्व है।
自觉	स्वेच्छा से; स्वयं प्रेरित होकर	उसने स्वेच्छा से गृहकार्य पूरा किया।
自私	स्वार्थी	मनुष्य को बहुत स्वार्थी नहीं होना चाहिए।
自由	स्वतंत्रता	हर व्यक्ति स्वतंत्रता की क़द्र करता है।
自愿	स्वेच्छा से	वे स्वेच्छा से गतिविधि में शामिल हुए।
综合	समग्र रूप से; मिलाकर	हमें विभिन्न कारकों पर समग्र रूप से विचार करना चाहिए।
总裁	मुख्य कार्यकारी	मुख्य कार्यकारी ने आज भाषण दिया।
总共	कुल मिलाकर	इस यात्रा में कुल मिलाकर तीन हज़ार युआन खर्च हुए।
总理	प्रधानमंत्री	प्रधानमंत्री बैठक में शामिल हुए।
总算	आख़िरकार	समस्या आख़िरकार हल हो गई।
总统	राष्ट्रपति	राष्ट्रपति ने टेलीविज़न पर भाषण दिया।
总之	संक्षेप में; कुल मिलाकर	संक्षेप में, हमें समय पर पूरा करना होगा।
组	समूह	शिक्षक ने हमें तीन समूहों में बाँट दिया।
组成	से बना होना; गठित होना	पानी हाइड्रोजन और ऑक्सीजन से बना होता है।
组合	संयोजन	यह रंग संयोजन अच्छा दिखता है।
组织	आयोजित करना; संगठन	स्कूल ने एक यात्रा आयोजित की।
阻止	रोकना	पुलिस ने खतरनाक व्यवहार को रोक दिया।
最初	शुरुआत में	शुरुआत में मैं ठीक से नहीं समझा।
醉	नशे में	उसने ज़्यादा पी ली है और वह थोड़ा नशे में है।
尊敬	सम्मान करना	छात्र सभी शिक्षक का सम्मान करते हैं।
遵守	पालन करना	हमें यातायात नियमों का पालन करना चाहिए।
作品	कृति; रचना	यह चित्र उसकी कृति है।
作为	के रूप में	शिक्षक के रूप में वह बहुत धैर्यवान है।
作文	निबंध	शिक्षक ने हमें एक निबंध लिखने को कहा।
