simplified	KN	example_KN
文凭	ಪದವಿ ಪ್ರಮಾಣಪತ್ರ	ಈ ಕೆಲಸಕ್ಕೆ ವಿಶ್ವವಿದ್ಯಾಲಯದ ಪದವಿ ಪ್ರಮಾಣಪತ್ರ ಬೇಕು.
文物	ಸಾಂಸ್ಕೃತಿಕ ಅವಶೇಷ	ಸಂಗ್ರಹಾಲಯ ಅಮೂಲ್ಯ ಸಾಂಸ್ಕೃತಿಕ ಅವಶೇಷಗಳನ್ನು ಪ್ರದರ್ಶಿಸಿತು.
文献	ಸಾಹಿತ್ಯ ದಾಖಲೆ	ಪ್ರಬಂಧ ಅನೇಕ ಸಾಹಿತ್ಯ ದಾಖಲೆಗಳನ್ನು ಉಲ್ಲೇಖಿಸಿದೆ.
文雅	ನಯವಾದ	ಅವಳ ವರ್ತನೆ ತುಂಬ ನಯವಾಗಿದೆ.
文艺	ಸಾಹಿತ್ಯಕಲೆ	ಈ ನಗರದಲ್ಲಿ ಸಾಹಿತ್ಯಕಲೆಯ ವಾತಾವರಣ ಗಟ್ಟಿಯಾಗಿದೆ.
问世	ಹೊರಬರುವುದು	ಈ ಮೊಬೈಲ್ ಮಾದರಿ ಬೇಗ ಹೊರಬರಲಿದೆ.
窝	ಗೂಡು	ಮರದಲ್ಲಿ ಹಕ್ಕಿಯ ಗೂಡು ಇದೆ.
乌黑	ಕಡುಕಪ್ಪು	ಅವಳಿಗೆ ಕಡುಕಪ್ಪು ಉದ್ದ ಕೂದಲು ಇದೆ.
污蔑	ಅಪವಾದ ಮಾಡುವುದು	ಅವನು ಸ್ಪರ್ಧಿಯ ಮೇಲೆ ಅಪವಾದ ಮಾಡಿಲ್ಲವೆಂದು ನಿರಾಕರಿಸಿದನು.
诬陷	ಸುಳ್ಳಾಗಿ ಸಿಲುಕಿಸುವುದು	ಸಾಕ್ಷ್ಯ ಅವನನ್ನು ಸುಳ್ಳಾಗಿ ಸಿಲುಕಿಸಲಾಗಿದೆ ಎಂದು ತೋರಿಸುತ್ತದೆ.
无比	ಅತ್ಯಂತ	ಸುದ್ದಿ ಕೇಳಿ ಅವನು ಅತ್ಯಂತ ಉತ್ಸಾಹಗೊಂಡನು.
无偿	ಉಚಿತ	ಸ್ವಯಂಸೇವಕರು ಉಚಿತ ಸೇವೆ ಒದಗಿಸುತ್ತಾರೆ.
无耻	ನಾಚಿಕೆಯಿಲ್ಲದ	ಈ ರೀತಿಯ ಮೋಸದ ವರ್ತನೆ ತುಂಬ ನಾಚಿಕೆಯಿಲ್ಲದ್ದು.
无动于衷	ನಿರ್ಲಕ್ಷ್ಯವಾಗಿರುವ	ಟೀಕೆಯನ್ನು ಎದುರಿಸಿದರೂ ಅವನು ನಿರ್ಲಕ್ಷ್ಯವಾಗಿಯೇ ಉಳಿದನು.
无非	ಇಷ್ಟೇ ಹೊರತು	ಅವನು ಇದನ್ನು ಹಣ ಉಳಿಸಲು ಇಷ್ಟೇ ಹೊರತು ಬೇರೆ ಕಾರಣಕ್ಕೆ ಮಾಡಲಿಲ್ಲ.
无辜	ನಿರಪರಾಧಿ	ನ್ಯಾಯಾಲಯ ಅವನು ನಿರಪರಾಧಿ ಎಂದು ತೀರ್ಮಾನಿಸಿತು.
无精打采	ಉತ್ಸಾಹವಿಲ್ಲದ	ಇಂದು ಅವನು ಉತ್ಸಾಹವಿಲ್ಲದಂತೆ ಕಾಣುತ್ತಾನೆ.
无赖	ದುರುಳ	ಗ್ರಾಮಸ್ಥರು ಆ ದುರುಳನೊಂದಿಗೆ ವ್ಯವಹರಿಸಲು ಬಯಸುವುದಿಲ್ಲ.
无理取闹	ಕಾರಣವಿಲ್ಲದೆ ಗದ್ದಲ ಮಾಡುವುದು	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಕಾರಣವಿಲ್ಲದೆ ಗದ್ದಲ ಮಾಡಬೇಡಿ.
无能为力	ಏನೂ ಮಾಡಲಾಗದ	ಪ್ರವಾಹದ ಮುಂದೆ ಗ್ರಾಮಸ್ಥರು ಏನೂ ಮಾಡಲಾಗದ ಸ್ಥಿತಿಯಲ್ಲಿದ್ದರು.
无穷无尽	ಅಂತ್ಯವಿಲ್ಲದ	ಮರುಭೂಮಿ ಅಂತ್ಯವಿಲ್ಲದಂತೆ ಕಾಣಿಸಿತು.
无微不至	ಅತಿ ಜಾಗರೂಕ ಕಾಳಜಿ	ನರ್ಸ್ ರೋಗಿಯನ್ನು ಅತಿ ಜಾಗರೂಕ ಕಾಳಜಿಯಿಂದ ನೋಡಿಕೊಂಡಳು.
无忧无虑	ಚಿಂತೆಯಿಲ್ಲದ	ಮಕ್ಕಳು ಹುಲ್ಲಿನ ಮೇಲೆ ಚಿಂತೆಯಿಲ್ಲದೆ ಆಡಿದರು.
无知	ಅಜ್ಞಾನ	ಅಜ್ಞಾನ ಕಲಿಕೆಯನ್ನು ನಿರಾಕರಿಸುವ ಕಾರಣವಲ್ಲ.
侮辱	ಅವಮಾನಿಸುವುದು	ಅವನ ಮಾತುಗಳು ಇನ್ನೊಬ್ಬರನ್ನು ಅವಮಾನಿಸಿದವು.
武器	ಆಯುಧ	ಈ ಆಯುಧಗಳನ್ನು ಒಂದೇ ಸ್ಥಳದಲ್ಲಿ ಸುರಕ್ಷಿತವಾಗಿ ಇಡಲಾಗಿದೆ.
武侠	ಯೋಧ ವೀರಕಥೆ	ಅವನು ಬಾಲ್ಯದಿಂದ ಯೋಧ ವೀರಕಥೆಯ ಕಾದಂಬರಿಗಳನ್ನು ಓದಲು ಇಷ್ಟಪಡುತ್ತಾನೆ.
武装	ಶಸ್ತ್ರಸಜ್ಜುಗೊಳಿಸುವುದು	ಗಡಿ ಪ್ರದೇಶದಲ್ಲಿ ಶಸ್ತ್ರಸಜ್ಜಿತ ಗಸ್ತು ಬಲಪಡಿಸಲಾಯಿತು.
舞蹈	ನೃತ್ಯ	ಈ ನೃತ್ಯದಲ್ಲಿ ಬಲವಾದ ಜನಾಂಗೀಯ ಲಕ್ಷಣಗಳಿವೆ.
务必	ಖಂಡಿತವಾಗಿ	ದಯವಿಟ್ಟು ಸಮಯಕ್ಕೆ ಖಂಡಿತವಾಗಿ ಬನ್ನಿ.
物美价廉	ಉತ್ತಮವೂ ಕಡಿಮೆ ಬೆಲೆಯೂ	ಈ ಅಂಗಡಿಯ ವಸ್ತುಗಳು ಉತ್ತಮವೂ ಕಡಿಮೆ ಬೆಲೆಯೂ ಆಗಿವೆ.
物业	ಆಸ್ತಿ ನಿರ್ವಹಣೆ	ವಸತಿ ಸಮುದಾಯದ ದುರಸ್ತಿಗೆ ಆಸ್ತಿ ನಿರ್ವಹಣೆ ಜವಾಬ್ದಾರಿಯಾಗಿದೆ.
物资	ಸರಕು ಸಾಮಗ್ರಿ	ರಕ್ಷಣಾ ಸರಕು ಸಾಮಗ್ರಿಗಳು ಈಗಾಗಲೇ ವಿಪತ್ತು ಪ್ರದೇಶಕ್ಕೆ ತಲುಪಿವೆ.
误差	ದೋಷ ಪ್ರಮಾಣ	ಮಾಪನ ಫಲಿತಾಂಶದಲ್ಲಿ ಸ್ವಲ್ಪ ದೋಷ ಪ್ರಮಾಣ ಇದೆ.
误解	ತಪ್ಪು ಅರ್ಥ	ಸಂವಹನದ ಮೂಲಕ ಎರಡು ಪಕ್ಷಗಳು ತಪ್ಪು ಅರ್ಥವನ್ನು ನಿವಾರಿಸಿದವು.
夕阳	ಅಸ್ತಮಯ ಸೂರ್ಯ	ಅಸ್ತಮಯ ಸೂರ್ಯ ಆಕಾಶವನ್ನು ಬಂಗಾರದ ಬಣ್ಣಕ್ಕೆ ತಿರುಗಿಸಿತು.
昔日	ಹಿಂದಿನ ಕಾಲದ	ಹಿಂದಿನ ಕಾಲದ ಹಳ್ಳಿ ನಗರವಾಗಿ ಬದಲಾಯಿತು.
溪	ಚಿಕ್ಕ ಹೊಳೆ	ಒಂದು ಚಿಕ್ಕ ಹೊಳೆ ಬೆಟ್ಟಗಳ ಮಧ್ಯೆ ಹರಿಯುತ್ತದೆ.
熄灭	ಆರಿಸುವುದು	ದಯವಿಟ್ಟು ಮೆಣಬತ್ತಿಯನ್ನು ಆರಿಸಿ.
牺牲	ತ್ಯಾಗ	ಇತರರನ್ನು ಉಳಿಸಲು ಅವರು ತ್ಯಾಗ ಮಾಡಿದರು.
膝盖	ಮೊಣಕಾಲು	ಅವನ ಮೊಣಕಾಲಿಗೆ ಗಾಯವಾಯಿತು.
习俗	ಸಂಪ್ರದಾಯ	ವಸಂತ ಹಬ್ಬಕ್ಕೆ ಅನೇಕ ಸಂಪ್ರದಾಯಗಳಿವೆ.
媳妇	ಹೆಂಡತಿ	ಅವನ ಹೆಂಡತಿ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.
袭击	ದಾಳಿ	ಚಂಡಮಾರುತ ಕರಾವಳಿ ನಗರಕ್ಕೆ ದಾಳಿ ಮಾಡಿತು.
喜闻乐见	ಜನರಿಗೆ ಇಷ್ಟವಾಗುವ	ಈ ರೀತಿಯ ಕಾರ್ಯಕ್ರಮ ಜನರಿಗೆ ಇಷ್ಟವಾಗುತ್ತದೆ.
喜悦	ಸಂತೋಷ	ಅವಳ ಮುಖದಲ್ಲಿ ಸಂತೋಷದ ನಗು ಮೂಡಿತು.
系列	ಸರಣಿ	ಕಂಪನಿ ಹೊಸ ಉತ್ಪನ್ನಗಳ ಸರಣಿಯನ್ನು ಬಿಡುಗಡೆಮಾಡಿತು.
细菌	ಜೀವಾಣು	ಹೆಚ್ಚಿನ ತಾಪಮಾನ ಜೀವಾಣುಗಳನ್ನು ಕೊಲ್ಲಬಹುದು.
细胞	ಕೋಶ	ಮಾನವ ದೇಹ ಅನೇಕ ಕೋಶಗಳಿಂದ ನಿರ್ಮಿತವಾಗಿದೆ.
细致	ಸೂಕ್ಷ್ಮ	ಅವಳ ಗಮನಿಸುವಿಕೆ ತುಂಬ ಸೂಕ್ಷ್ಮವಾಗಿದೆ.
峡谷	ಕಣಿವೆ	ನದಿ ಆಳವಾದ ಕಣಿವೆಯ ಮೂಲಕ ಹರಿಯುತ್ತದೆ.
狭隘	ಸಂಕುಚಿತ	ಈ ಸಂಕುಚಿತ ದೃಷ್ಟಿಕೋನ ಬದಲಾಗಬೇಕು.
狭窄	ಇಳಿದ	ಈ ದಾರಿ ತುಂಬ ಇಳಿದಿದೆ.
霞	ಸಂಜೆ ಕೆಂಪು ಮೋಡ	ಸಂಜೆ ಕೆಂಪು ಮೋಡ ಆಕಾಶವನ್ನು ಕೆಂಪುಗೊಳಿಸಿತು.
下属	ಅಧೀನಸ್ಥ	ಮ್ಯಾನೇಜರ್ ಅಧೀನಸ್ಥರ ಅಭಿಪ್ರಾಯಗಳನ್ನು ಜಾಗರೂಕತೆಯಿಂದ ಕೇಳಿದರು.
先进	ಮುಂದುವರಿದ	ಕಾರ್ಖಾನೆ ಮುಂದುವರಿದ ಉಪಕರಣಗಳನ್ನು ಅಳವಡಿಸಿಕೊಂಡಿತು.
先前	ಹಿಂದಿನ	ಹಿಂದಿನ ಯೋಜನೆ ಈಗಾಗಲೇ ಬದಲಾಗಿದೆ.
掀起	ಎಬ್ಬಿಸುವುದು	ಈ ಪುಸ್ತಕ ಚರ್ಚೆಯ ಅಲೆ ಎಬ್ಬಿಸಿತು.
纤维	ನಾರು	ಈ ಬಟ್ಟೆಯಲ್ಲಿ ಸ್ವಾಭಾವಿಕ ನಾರು ಇದೆ.
鲜明	ಸ್ಪಷ್ಟ	ಅವನ ನಿಲುವು ತುಂಬ ಸ್ಪಷ್ಟವಾಗಿದೆ.
嫌	ಇಷ್ಟಪಡದಿರುವುದು	ಕೊಠಡಿ ತುಂಬ ಚಿಕ್ಕದು ಎಂದು ಅವಳು ಇಷ್ಟಪಡಲಿಲ್ಲ.
嫌疑	ಅನುಮಾನ	ಈ ವ್ಯಕ್ತಿಯ ಮೇಲೆ ದೊಡ್ಡ ಅನುಮಾನ ಇದೆ.
弦	ತಂತಿ	ಗಿಟಾರದ ಒಂದು ತಂತಿ ತುಂಡಾಯಿತು.
衔接	ಜೋಡಣೆ	ಎರಡು ಪಠ್ಯಕ್ರಮಗಳ ವಿಷಯ ಚೆನ್ನಾಗಿ ಜೋಡಣೆಯಾಗುತ್ತದೆ.
贤惠	ಗುಣವಂತ	ಅವಳನ್ನು ಗುಣವಂತಳೂ ಸಮರ್ಥಳೂ ಎಂದು ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ.
闲话	ಹಿಂಬದಿ ಮಾತು	ಇತರರ ಬಗ್ಗೆ ಹಿಂಬದಿ ಮಾತು ಆಡಬೇಡಿ.
显著	ಗಮನಾರ್ಹ	ಚಿಕಿತ್ಸೆಯ ಪರಿಣಾಮ ತುಂಬ ಗಮನಾರ್ಹವಾಗಿದೆ.
宪法	ಸಂವಿಧಾನ	ಸಂವಿಧಾನ ನಾಗರಿಕರ ಮೂಲಭೂತ ಹಕ್ಕುಗಳನ್ನು ಖಚಿತಪಡಿಸುತ್ತದೆ.
现场	ಘಟನೆ ಸ್ಥಳ	ವರದಿಗಾರರು ಈಗಾಗಲೇ ಅಪಘಾತದ ಘಟನೆ ಸ್ಥಳಕ್ಕೆ ಬಂದಿದ್ದಾರೆ.
现成	ಸಿದ್ಧ	ಅಡಿಗೆಯಲ್ಲೇ ಸಿದ್ಧ ಆಹಾರ ಇದೆ.
现状	ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ	ನಾವು ಉದ್ಯಮದ ಪ್ರಸ್ತುತ ಸ್ಥಿತಿಯನ್ನು ತಿಳಿಯಬೇಕು.
线索	ಸುಳಿವು	ಪೊಲೀಸರಿಗೆ ಹೊಸ ಸುಳಿವು ಸಿಕ್ಕಿತು.
陷害	ಸುಳ್ಳಾಗಿ ಸಿಲುಕಿಸುವುದು	ಯಾರೋ ತನ್ನನ್ನು ಸುಳ್ಳಾಗಿ ಸಿಲುಕಿಸಿದ್ದಾರೆ ಎಂದು ಅವನು ಹೇಳಿದನು.
陷阱	ಬಲೆ	ಬೇಟೆಗಾರ ಒಂದು ಬಲೆ ಇಟ್ಟನು.
陷入	ಸಿಲುಕುವುದು	ಕಂಪನಿ ಹಣಕಾಸಿನ ಕಷ್ಟದಲ್ಲಿ ಸಿಲುಕಿತು.
馅儿	ಒಳಪೂರಣ	ಈ ಬಾವೋಜಿಯ ಒಳಪೂರಣ ತುಂಬ ಚೆನ್ನಾಗಿ ವಾಸನೆ ಕೊಡುತ್ತದೆ.
乡镇	ಹಳ್ಳಿ ಪಟ್ಟಣ	ಹಳ್ಳಿ ಪಟ್ಟಣದ ಶಾಲೆಗಳ ಪರಿಸ್ಥಿತಿ ಸುಧಾರಿಸುತ್ತಿದೆ.
相差	ವ್ಯತ್ಯಾಸವಿರುವುದು	ಎರಡು ಸ್ಥಳಗಳ ತಾಪಮಾನದಲ್ಲಿ ಹತ್ತು ಡಿಗ್ರಿ ವ್ಯತ್ಯಾಸವಿದೆ.
相等	ಸಮಾನ	ಎರಡು ತ್ರಿಭುಜಗಳ ವಿಸ್ತೀರ್ಣ ಸಮಾನವಾಗಿದೆ.
相辅相成	ಪರಸ್ಪರ ಪೂರಕ	ಸಿದ್ಧಾಂತ ಮತ್ತು ಅಭ್ಯಾಸ ಪರಸ್ಪರ ಪೂರಕ.
相应	ಅನುಗುಣ	ಕಂಪನಿ ಅನುಗುಣ ಕ್ರಮಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.
镶嵌	ಜಡಿಸುವುದು	ಉಂಗುರದಲ್ಲಿ ಒಂದು ರತ್ನವನ್ನು ಜಡಿಸಲಾಗಿದೆ.
响亮	ಘನವಾದ	ಅವನ ಉತ್ತರ ಘನವಾಗಿಯೂ ಸ್ಪಷ್ಟವಾಗಿಯೂ ಇತ್ತು.
响应	ಪ್ರತಿಕ್ರಿಯಿಸುವುದು	ಬಹಳ ಮಂದಿ ಪರಿಸರ ರಕ್ಷಣಾ ಪ್ರಸ್ತಾಪಕ್ಕೆ ಪ್ರತಿಕ್ರಿಯಿಸಿದರು.
想方设法	ಎಲ್ಲ ಉಪಾಯ ಹುಡುಕುವುದು	ಅವರು ವೆಚ್ಚ ಕಡಿಮೆ ಮಾಡಲು ಎಲ್ಲ ಉಪಾಯಗಳನ್ನು ಹುಡುಕಿದರು.
向导	ಮಾರ್ಗದರ್ಶಕ	ಸ್ಥಳೀಯ ಮಾರ್ಗದರ್ಶಕ ನಮ್ಮನ್ನು ಬೆಟ್ಟಗಳೊಳಗೆ ಕರೆದುಕೊಂಡು ಹೋದನು.
向来	ಸದಾ	ಅವನು ಸದಾ ವಿಶ್ವಾಸಾರ್ಹತೆಯನ್ನು ಮಹತ್ವ ಕೊಡುತ್ತಾನೆ.
向往	ಹಂಬಲಿಸುವುದು	ಅವಳು ಶಾಂತ ಜೀವನವನ್ನು ಹಂಬಲಿಸುತ್ತಾಳೆ.
巷	ಗಲ್ಲಿ	ಹಳೆಯ ಗಲ್ಲಿಯಲ್ಲಿ ಅನೇಕ ಸಣ್ಣ ಅಂಗಡಿಗಳು ತೆರೆದಿವೆ.
相声	ಹಾಸ್ಯ ಸಂಭಾಷಣೆ	ತಾತ ಪರಂಪರೆಯ ಹಾಸ್ಯ ಸಂಭಾಷಣೆ ಕೇಳಲು ಇಷ್ಟಪಡುತ್ತಾರೆ.
消除	ನಿವಾರಿಸುವುದು	ಸಂವಹನ ತಪ್ಪು ಅರ್ಥಗಳನ್ನು ನಿವಾರಿಸಬಹುದು.
消毒	ಸೋಂಕುನಾಶ ಮಾಡುವುದು	ವೈದ್ಯರು ಗಾಯಕ್ಕೆ ಸೋಂಕುನಾಶ ಮಾಡಿದರು.
消防	ಅಗ್ನಿಶಾಮಕ	ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ಬೇಗ ಸ್ಥಳಕ್ಕೆ ಬಂದರು.
消耗	ಖರ್ಚಾಗುವುದು	ದೀರ್ಘ ಪ್ರಯಾಣ ಬಹಳ ದೇಹಶಕ್ತಿಯನ್ನು ಖರ್ಚುಮಾಡುತ್ತದೆ.
消灭	ನಿರ್ಮೂಲಿಸುವುದು	ಕಾರ್ಮಿಕರು ಕೀಟಗಳನ್ನು ನಿರ್ಮೂಲಿಸುತ್ತಿದ್ದಾರೆ.
潇洒	ನಿರಾಳ ಸೊಗಸಾದ	ಅವನ ನಡೆಯು ನಿರಾಳ ಸೊಗಸಾಗಿದೆ.
销毁	ನಾಶಪಡಿಸುವುದು	ಸೀಮಾಶುಲ್ಕ ಇಲಾಖೆ ನಕಲಿ ವಸ್ತುಗಳನ್ನು ನಾಶಪಡಿಸಿತು.
小心翼翼	ಅತ್ಯಂತ ಎಚ್ಚರಿಕೆಯಿಂದ	ಅವಳು ಪೆಟ್ಟಿಗೆಯನ್ನು ಅತ್ಯಂತ ಎಚ್ಚರಿಕೆಯಿಂದ ತೆರೆದಳು.
效益	ಪ್ರಯೋಜನ	ಹೊಸ ಉಪಕರಣ ಉತ್ಪಾದನಾ ಪ್ರಯೋಜನವನ್ನು ಹೆಚ್ಚಿಸಿತು.
肖像	ಭಾವಚಿತ್ರ	ಅವನ ಭಾವಚಿತ್ರ ಗೋಡೆಯ ಮೇಲೆ ತೂಗುತ್ತಿದೆ.
协会	ಸಂಘ	ಈ ಸಂಘ ಯುವ ಉದ್ಯಮಿಗಳಿಗೆ ಸಹಾಯಮಾಡುತ್ತದೆ.
协商	ಮಾತುಕತೆ	ಎರಡು ಪಕ್ಷಗಳೂ ಮಾತುಕತೆಯನ್ನು ಮುಂದುವರಿಸಲು ಸಿದ್ಧವಾಗಿವೆ.
协调	ಸಮನ್ವಯಗೊಳಿಸುವುದು	ಯೋಜನಾ ಮ್ಯಾನೇಜರ್ ಸಂಪನ್ಮೂಲಗಳನ್ನು ಸಮನ್ವಯಗೊಳಿಸುತ್ತಾರೆ.
协议	ಒಪ್ಪಂದ	ಎರಡು ಪಕ್ಷಗಳು ಸಹಕಾರ ಒಪ್ಪಂದಕ್ಕೆ ಸಹಿ ಹಾಕಿದವು.
协助	ಸಹಾಯಮಾಡುವುದು	ಸ್ವಯಂಸೇವಕರು ವೃದ್ಧರಿಗೆ ರಸ್ತೆ ದಾಟಲು ಸಹಾಯಮಾಡಿದರು.
携带	ತೆಗೆದುಕೊಂಡು ಹೋಗುವುದು	ಪ್ರಯಾಣಿಕರು ಅಪಾಯಕಾರಿ ವಸ್ತುಗಳನ್ನು ತೆಗೆದುಕೊಂಡು ಹೋಗಬಾರದು.
屑	ಚೂರುಗಳು	ಮೇಜಿನ ಮೇಲೆ ಬಹಳ ಮರದ ಚೂರುಗಳಿವೆ.
泄露	ಸೋರಿಕೆ ಮಾಡುವುದು	ಉದ್ಯೋಗಿಗಳು ಗ್ರಾಹಕರ ಮಾಹಿತಿಯನ್ನು ಸೋರಿಕೆ ಮಾಡಬಾರದು.
泄气	ಮನಸ್ಸು ಕುಗ್ಗುವುದು	ವಿಫಲವಾದ ನಂತರ ಮನಸ್ಸು ಕುಗ್ಗಿಸಿಕೊಳ್ಳಬೇಡಿ.
谢绝	ಸೌಜನ್ಯದಿಂದ ನಿರಾಕರಿಸುವುದು	ಹೋಟೆಲ್ ಹೊರಗಿನ ಆಹಾರವನ್ನು ಸೌಜನ್ಯದಿಂದ ನಿರಾಕರಿಸುತ್ತದೆ.
心得	ಅನುಭವದಿಂದ ಕಲಿತದ್ದು	ಅವಳು ಓದಿನಿಂದ ಕಲಿತದ್ದನ್ನು ಹಂಚಿಕೊಂಡಳು.
心甘情愿	ಮನಪೂರ್ವಕವಾಗಿ	ಅವನು ಸಂಪೂರ್ಣ ಮನಪೂರ್ವಕವಾಗಿ ಉಳಿದು ಸಹಾಯ ಮಾಡಿದನು.
心灵	ಮನಸ್ಸು	ಸಂಗೀತ ಅವಳ ಮನಸ್ಸಿಗೆ ಸಾಂತ್ವನ ನೀಡಿತು.
心态	ಮನೋಭಾವ	ಸಕಾರಾತ್ಮಕ ಮನೋಭಾವ ಕಾಪಾಡುವುದು ಮುಖ್ಯ.
心疼	ಕನಿಕರದಿಂದ ನೋವುಪಡುವುದು	ಗಾಯಗೊಂಡ ಮಗುವನ್ನು ನೋಡಿ ತಾಯಿಗೆ ಕನಿಕರದಿಂದ ನೋವಾಯಿತು.
心血	ಪರಿಶ್ರಮ	ಈ ಪುಸ್ತಕದಲ್ಲಿ ಲೇಖಕರ ಅಪಾರ ಪರಿಶ್ರಮ ಇದೆ.
心眼儿	ಸಣ್ಣಮನಸ್ಸು	ಅವನು ಸ್ವಲ್ಪ ಸಣ್ಣಮನಸ್ಸಿನವನು.
新陈代谢	ಚಯಾಪಚಯ	ವ್ಯಾಯಾಮ ಚಯಾಪಚಯವನ್ನು ಉತ್ತೇಜಿಸಬಹುದು.
新郎	ವರ	ವರ ಬಾಗಿಲಲ್ಲಿ ಅತಿಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸಿದನು.
新娘	ವಧು	ವಧು ಬಿಳಿ ಮದುವೆ ಉಡುಪು ಧರಿಸಿದ್ದಳು.
新颖	ನವೀನ	ಈ ವಿನ್ಯಾಸ ತುಂಬ ನವೀನವಾಗಿದೆ.
欣慰	ಮನಸ್ಸಿಗೆ ತೃಪ್ತಿ ಆಗುವುದು	ಮಗುವಿನ ಪ್ರಗತಿಯನ್ನು ನೋಡಿ ಅವಳಿಗೆ ಮನಸ್ಸಿಗೆ ತೃಪ್ತಿ ಆಯಿತು.
欣欣向荣	ಸಮೃದ್ಧವಾಗಿ ಬೆಳೆಯುತ್ತಿರುವ	ಆ ಪಟ್ಟಣದ ಪ್ರವಾಸೋದ್ಯಮ ಸಮೃದ್ಧವಾಗಿ ಬೆಳೆಯುತ್ತಿದೆ.
薪水	ಸಂಬಳ	ಅವನ ಸಂಬಳ ಕುಟುಂಬವನ್ನು ಪಾಲಿಸಲು ಸಾಕಾಗಿದೆ.
辛勤	ಶ್ರಮಶೀಲ	ರೈತರು ಬೆಳೆ ಬೆಳೆಯಲು ಶ್ರಮಶೀಲವಾಗಿ ಕೆಲಸಮಾಡುತ್ತಾರೆ.
信赖	ನಂಬಿಕೆ ಇಡುವುದು	ಗ್ರಾಹಕರು ಈ ಕಂಪನಿಯ ಮೇಲೆ ಬಹಳ ನಂಬಿಕೆ ಇಡುತ್ತಾರೆ.
信念	ದೃಢ ನಂಬಿಕೆ	ದೃಢ ನಂಬಿಕೆ ಅವನಿಗೆ ಬೆಂಬಲವಾಯಿತು.
信仰	ಧಾರ್ಮಿಕ ನಂಬಿಕೆ	ಅವಳು ಬೇರೆ ಬೇರೆ ಧಾರ್ಮಿಕ ನಂಬಿಕೆಗಳನ್ನು ಗೌರವಿಸುತ್ತಾಳೆ.
信誉	ಖ್ಯಾತಿ	ಕಂಪನಿ ತನ್ನ ಖ್ಯಾತಿಯನ್ನು ಕಾಪಾಡಬೇಕು.
兴高采烈	ಉಲ್ಲಾಸದಿಂದ	ಮಕ್ಕಳು ಉಲ್ಲಾಸದಿಂದ ತರಗತಿಗೆ ಓಡಿದರು.
兴隆	ಚೇತರಿಕೆಯಿಂದಿರುವ	ಈ ಹಳೆಯ ಅಂಗಡಿಯ ವ್ಯಾಪಾರ ಚೇತರಿಕೆಯಿಂದಿದೆ.
兴旺	ಸಮೃದ್ಧ	ಮಾರುಕಟ್ಟೆ ಆರ್ಥಿಕತೆ ದಿನದಿಂದ ದಿನಕ್ಕೆ ಸಮೃದ್ಧವಾಗುತ್ತಿದೆ.
腥	ಮೀನಿನ ವಾಸನೆಯ	ಈ ಮೀನು ಸ್ವಲ್ಪ ಮೀನಿನ ವಾಸನೆ ಕೊಡುತ್ತದೆ.
刑事	ಅಪರಾಧ ಸಂಬಂಧಿ	ಪೊಲೀಸರು ಅಪರಾಧ ಸಂಬಂಧಿ ಪ್ರಕರಣವನ್ನು ತನಿಖೆ ಮಾಡುತ್ತಿದ್ದಾರೆ.
形态	ರೂಪ	ಸಸ್ಯದ ರೂಪ ಪರಿಸರದೊಂದಿಗೆ ಬದಲಾಗುತ್ತದೆ.
行政	ಆಡಳಿತಾತ್ಮಕ	ಆಡಳಿತಾತ್ಮಕ ವಿಭಾಗ ಅರ್ಜಿಗಳನ್ನು ನೋಡಿಕೊಳ್ಳುತ್ತದೆ.
兴致勃勃	ತುಂಬ ಆಸಕ್ತಿಯಿಂದ	ಎಲ್ಲರೂ ಯೋಜನೆಯನ್ನು ತುಂಬ ಆಸಕ್ತಿಯಿಂದ ಚರ್ಚಿಸಿದರು.
性感	ಲೈಂಗಿಕ ಆಕರ್ಷಕ	ಈ ಸಂಜೆ ಉಡುಪು ಲೈಂಗಿಕ ಆಕರ್ಷಕವಾಗಿ ಕಾಣುತ್ತದೆ.
性命	ಜೀವ	ವೈದ್ಯರು ಅವನ ಜೀವವನ್ನು ಉಳಿಸಿದರು.
性能	ಕಾರ್ಯಕ್ಷಮತೆ	ಈ ಕಂಪ್ಯೂಟರಿನ ಕಾರ್ಯಕ್ಷಮತೆ ಉತ್ತಮವಾಗಿದೆ.
凶恶	ಕ್ರೂರ	ಈ ನಾಯಿ ತುಂಬ ಕ್ರೂರವಾಗಿ ಕಾಣುತ್ತದೆ.
凶手	ಹಂತಕ	ಪೊಲೀಸರು ಕೊನೆಗೂ ಹಂತಕನನ್ನು ಹಿಡಿದರು.
汹涌	ಪ್ರಚಂಡವಾಗಿ ಅಪ್ಪಳಿಸುವ	ಪ್ರಚಂಡ ಅಲೆಗಳು ಕರಾವಳಿಗೆ ಅಪ್ಪಳಿಸಿದವು.
