simplified	BN	example_BN
统统	সবকিছু	এই পুরনো নথি সবকিছু আর্কাইভ করতে হবে।
统治	শাসন করা	এই রাজবংশ তিনশো বছর শাসন করেছে।
投机	জল্পনা করে লাভ করা	সে জল্পনা করে এক অঙ্ক টাকা উপার্জন করেছে।
投票	ভোট দেওয়া	বাসিন্দারা কাল ভোটে অংশ নেবেন।
投诉	অভিযোগ করা	গ্রাহক মঞ্চে ব্যবসায়ীর বিরুদ্ধে অভিযোগ করেছেন।
投降	আত্মসমর্পণ করা	শত্রু বাহিনী শেষ পর্যন্ত আত্মসমর্পণ বেছে নিয়েছে।
投掷	নিক্ষেপ করা	ক্রীড়াবিদ বর্শা নিক্ষেপের অনুশীলন করেছে।
透露	প্রকাশ করা	সে সভার বিস্তারিত প্রকাশ করেনি।
秃	টাক পড়া	কম বয়সেই তার টাক পড়েছে।
突破	বড় অগ্রগতি	গবেষণায় বড় অগ্রগতি হয়েছে।
图案	নকশা	এই কাপড়ের নকশা খুব সুন্দর।
徒弟	শাগরেদ	গুরু শাগরেদকে ঘড়ি মেরামত শেখাচ্ছেন।
涂抹	লেপে দেওয়া	দয়া করে ক্ষতের চারপাশে মলম লেপে দিন।
途径	উপায়	তথ্য পাওয়ার গুরুত্বপূর্ণ উপায় হলো ইন্টারনেট।
土壤	মাটি	উর্বর মাটি সবজি চাষের জন্য উপযোগী।
团结	ঐক্যবদ্ধ হওয়া	দলকে ঐক্যবদ্ধ হয়ে সহযোগিতা করতে হবে।
团体	সংগঠন	এই সংগঠন নিয়মিত কার্যক্রম আয়োজন করে।
团圆	পুনর্মিলন	বসন্ত উৎসব পরিবার পুনর্মিলনের দিন।
推测	অনুমান করা	বিশেষজ্ঞরা অনুমান করছেন দাম আরও বাড়বে।
推翻	উচ্ছেদ করা	জনগণ পুরনো ব্যবস্থা উচ্ছেদ করেছে।
推理	যুক্তিতর্কভিত্তিক বিশ্লেষণ	এই উপন্যাস যুক্তিতর্কভিত্তিক ঘটনায় ভরা।
推论	অনুমিত সিদ্ধান্ত	এই অনুমিত সিদ্ধান্তের জন্য এখনও প্রমাণ দরকার।
推销	বাজারজাত করা	সে নতুন পণ্য বাজারজাত করার দায়িত্বে।
吞吞吐吐	তোতলাতে তোতলাতে বলা	প্রশ্নের উত্তর দিতে গিয়ে সে তোতলাতে তোতলাতে বলল।
托运	লাগেজ জমা দেওয়া	যাত্রীরা কাউন্টারে লাগেজ জমা দিতে পারেন।
拖延	দেরি করা	আর অর্থপ্রদানের সময় দেরি কোরো না।
脱离	বিচ্ছিন্ন হওয়া	তত্ত্ব বাস্তবতা থেকে বিচ্ছিন্ন হতে পারে না।
妥当	যথাযথ	এই ব্যবস্থা খুব যথাযথ।
妥善	ভালোভাবে	দয়া করে গুরুত্বপূর্ণ নথি ভালোভাবে সংরক্ষণ করুন।
妥协	সমঝোতা	দুই পক্ষ শেষ পর্যন্ত সমঝোতায় পৌঁছেছে।
椭圆	ডিম্বাকৃতি	পৃথিবীর কক্ষপথ ডিম্বাকৃতির কাছাকাছি।
唾弃	ঘৃণাভরে প্রত্যাখ্যান করা	সমাজ এই ধরনের প্রতারণা ঘৃণাভরে প্রত্যাখ্যান করে।
哇	ওহ	ওহ, এই সেতুটি সত্যিই মহিমান্বিত।
挖掘	খনন করা	প্রত্নতাত্ত্বিক দল প্রাচীন সমাধি খনন করছে।
娃娃	পুতুল	ছোট মেয়েটি একটি পুতুল ধরে আছে।
瓦解	ভেঙে পড়া	অভ্যন্তরীণ দ্বন্দ্ব জোটটিকে ভেঙে দিয়েছে।
歪曲	বিকৃত করা	প্রতিবেদনে সত্য বিকৃত করা উচিত নয়।
外表	বাহ্যিক চেহারা	শুধু বাহ্যিক চেহারা দেখে মানুষ বিচার কোরো না।
外行	অবিশেষজ্ঞ	আইনের ব্যাপারে আমি সম্পূর্ণ অবিশেষজ্ঞ।
外界	বাইরের জগৎ	কোম্পানি বাইরের সমালোচনার জবাব খুব কম দেয়।
外向	মিশুক	তার স্বভাব মিশুক, বন্ধু অনেক।
丸	বড়ি	চিকিৎসক তাকে কয়েকটি বড়ি লিখে দিয়েছেন।
完备	সম্পূর্ণ	এই উপকরণসম্ভার খুব সম্পূর্ণ।
完毕	শেষ হওয়া	সভা ইতিমধ্যে শেষ হয়েছে।
玩弄	খেলা করা	অন্য মানুষের অনুভূতি নিয়ে খেলা কোরো না।
玩意儿	জিনিসপত্র	সে জানতে চাইল এটি কী নতুন জিনিসপত্র।
顽固	একগুঁয়ে	তার মনোভাব খুব একগুঁয়ে।
顽强	অদম্য	আহত ব্যক্তি খুব অদম্য মনোবল দেখিয়েছেন।
惋惜	আফসোস করা	সবাই ব্যর্থতার জন্য আফসোস করেছে।
挽回	পুনরুদ্ধার করা	সে কোম্পানির ক্ষতি পুনরুদ্ধারের চেষ্টা করেছে।
挽救	রক্ষা করা	চিকিৎসক সফলভাবে রোগীর জীবন রক্ষা করেছেন।
万分	অত্যন্ত	তোমার সাহায্যের জন্য আমি অত্যন্ত কৃতজ্ঞ।
往常	স্বাভাবিকের চেয়ে	আজ স্বাভাবিকের চেয়ে বেশি গরম।
往事	অতীত ঘটনা	বৃদ্ধ মানুষটি প্রায়ই অতীত ঘটনা স্মরণ করেন।
妄想	অলীক আশা করা	সে এক রাতেই ধনী হওয়ার অলীক আশা করে।
危机	সংকট	কোম্পানি গুরুতর সংকটের মুখে আছে।
威风	প্রভাবশালী	জেনারেল ঘোড়ায় চড়ে খুব প্রভাবশালী দেখাচ্ছিলেন।
威力	প্রচণ্ড ক্ষমতা	এই অস্ত্রের প্রচণ্ড ক্ষমতা আছে।
威望	প্রতিপত্তি	গ্রামে তার অনেক প্রতিপত্তি আছে।
威信	বিশ্বাসযোগ্য মর্যাদা	নেতাদের সরকারের বিশ্বাসযোগ্য মর্যাদা রক্ষা করতে হবে।
微不足道	তুচ্ছ	এই সামান্য ক্ষতি তুচ্ছ।
微观	ক্ষুদ্রস্তরীয়	এই কোর্স ক্ষুদ্রস্তরীয় অর্থনীতি পরিচয় করায়।
为难	অসুবিধায় ফেলা	পরিচারককে আর অসুবিধায় ফেলো না।
为期	মেয়াদকাল	প্রশিক্ষণের মেয়াদকাল তিন মাস।
唯独	শুধু বাদে	সবাই এসেছে, শুধু সে বাদে।
维持	বজায় রাখা	পুলিশ ঘটনাস্থলের শৃঙ্খলা বজায় রেখেছে।
维护	সুরক্ষা করা	আমাদের বৈধ অধিকার সুরক্ষা করতে হবে।
维生素	ভিটামিন	ফলে প্রচুর ভিটামিন থাকে।
违背	লঙ্ঘন করা	এই সিদ্ধান্ত চুক্তির চেতনা লঙ্ঘন করেছে।
伪造	জাল করা	কেউ তার স্বাক্ষর জাল করেছে।
委托	ভার দেওয়া	গ্রাহক আইনজীবীকে মামলা সামলানোর ভার দিয়েছেন।
委员	কমিটির সদস্য	প্রতিটি কমিটির সদস্য মতামত দিয়েছেন।
卫星	উপগ্রহ	উপগ্রহ নির্ধারিত কক্ষপথে প্রবেশ করেছে।
喂	খাওয়ানো	শিশুটি ছোট বিড়ালকে খাওয়াচ্ছে।
慰问	সমবেদনা জানানো	নেতারা হাসপাতালে আহতদের সমবেদনা জানাতে গেলেন।
未免	কিছুটা	এই দাবি কিছুটা বেশি।
畏惧	ভয় করা	সে কখনও অসুবিধাকে ভয় করে না।
蔚蓝	আকাশী নীল	আকাশ আকাশী নীল রঙ ধারণ করেছে।
温带	নাতিশীতোষ্ণ অঞ্চল	এই উদ্ভিদ নাতিশীতোষ্ণ জলবায়ুর জন্য উপযোগী।
温和	মধ্যপন্থী	তার নীতিগত অবস্থান তুলনামূলকভাবে মধ্যপন্থী।
文凭	ডিপ্লোমা	এই চাকরির জন্য বিশ্ববিদ্যালয় ডিপ্লোমা দরকার।
文物	সাংস্কৃতিক নিদর্শন	জাদুঘর মূল্যবান সাংস্কৃতিক নিদর্শন প্রদর্শন করেছে।
文献	সাহিত্যসূত্র	প্রবন্ধে প্রচুর সাহিত্যসূত্র উদ্ধৃত হয়েছে।
文雅	মার্জিত	তার আচরণ মার্জিত।
文艺	সাহিত্য ও শিল্প	এই শহরে সাহিত্য ও শিল্পের আবহ ঘন।
问世	প্রকাশে আসা	এই ফোন মডেল শিগগির প্রকাশে আসবে।
窝	বাসা	গাছে একটি পাখির বাসা আছে।
乌黑	ঘন কালো	তার ঘন কালো লম্বা চুল আছে।
污蔑	কলঙ্ক রটানো	সে প্রতিদ্বন্দ্বীর বিরুদ্ধে কলঙ্ক রটানোর কথা অস্বীকার করেছে।
诬陷	ফাঁসানো	প্রমাণে দেখা যায় তাকে ফাঁসানো হয়েছে।
无比	অতুলনীয়ভাবে	খবর শুনে সে অতুলনীয়ভাবে উত্তেজিত হলো।
无偿	বিনামূল্যে	স্বেচ্ছাসেবকেরা বিনামূল্যে পরিষেবা দেন।
无耻	নির্লজ্জ	এই ধরনের প্রতারণা খুব নির্লজ্জ।
无动于衷	নির্লিপ্ত থাকা	সমালোচনার মুখে সে নির্লিপ্ত রইল।
无非	শুধু এইটুকু	সে এভাবে করেছে শুধু টাকা বাঁচানোর জন্য।
无辜	নির্দোষ	আদালত নির্ধারণ করেছে যে সে নির্দোষ।
无精打采	নিস্তেজ	আজ তাকে নিস্তেজ দেখাচ্ছে।
无赖	দুর্বৃত্ত	গ্রামবাসীরা ওই দুর্বৃত্তের সঙ্গে মেলামেশা করতে চায় না।
无理取闹	অকারণে ঝামেলা করা	দয়া করে এখানে অকারণে ঝামেলা করবেন না।
无能为力	অসহায়	বন্যার মুখে গ্রামবাসীরা অসহায় ছিল।
无穷无尽	অন্তহীন	মরুভূমি অন্তহীন মনে হচ্ছিল।
无微不至	খুঁটিনাটি যত্নসহকারে	নার্স রোগীর খুঁটিনাটি যত্নসহকারে দেখাশোনা করেছেন।
无忧无虑	নিরুদ্বেগ	শিশুরা ঘাসের ওপর নিরুদ্বেগভাবে খেলছিল।
无知	অজ্ঞতা	অজ্ঞতা শেখা প্রত্যাখ্যানের কারণ হতে পারে না।
侮辱	অপমান করা	তার কথা অপর পক্ষকে অপমান করেছে।
武器	অস্ত্র	এই অস্ত্রগুলো একসঙ্গে সংরক্ষিত আছে।
武侠	যোদ্ধা-রোমাঞ্চ ধারা	সে ছোটবেলা থেকে যোদ্ধা-রোমাঞ্চ উপন্যাস পড়তে পছন্দ করে।
武装	সশস্ত্র	সীমান্ত এলাকায় সশস্ত্র টহল জোরদার হয়েছে।
舞蹈	নৃত্য	এই নৃত্যে জাতিগত বৈশিষ্ট্য প্রবল।
务必	অবশ্যই	দয়া করে অবশ্যই সময়মতো পৌঁছান।
物美价廉	ভালো মান সস্তা দাম	এই দোকানের পণ্য ভালো মানের এবং সস্তা দামে।
物业	সম্পত্তি ব্যবস্থাপনা	সম্পত্তি ব্যবস্থাপনা আবাসিক এলাকার মেরামতের দায়িত্বে।
物资	সরবরাহসামগ্রী	উদ্ধার সরবরাহসামগ্রী ইতিমধ্যে দুর্যোগ এলাকায় পৌঁছেছে।
误差	পরিমাপভুল	পরিমাপের ফলে সামান্য পরিমাপভুল আছে।
误解	ভুল বোঝাবুঝি	দুই পক্ষ যোগাযোগের মাধ্যমে ভুল বোঝাবুঝি দূর করেছে।
夕阳	অস্তসূর্য	অস্তসূর্য আকাশকে সোনালি করে দিল।
昔日	আগেকার দিনের	আগেকার দিনের ছোট গ্রাম শহরে পরিণত হয়েছে।
溪	ছোট ঝরনা	ছোট ঝরনাটি পাহাড়ের ফাঁক দিয়ে বয়ে যায়।
熄灭	নিভিয়ে দেওয়া	দয়া করে মোমবাতি নিভিয়ে দিন।
牺牲	ত্যাগ	মানুষ বাঁচাতে তারা ত্যাগ স্বীকার করেছে।
膝盖	হাঁটু	তার হাঁটুতে আঘাত লেগেছে।
习俗	রীতিনীতি	বসন্ত উৎসবে অনেক ঐতিহ্যবাহী রীতিনীতি আছে।
媳妇	স্ত্রী	তার স্ত্রী হাসপাতালে কাজ করেন।
袭击	আক্রমণ করা	ঝড় উপকূলীয় শহরকে আক্রমণ করেছে।
喜闻乐见	সবার প্রিয়	এই ধরনের অনুষ্ঠান দর্শকদের সবার প্রিয়।
喜悦	আনন্দ	তার মুখে আনন্দের হাসি ফুটল।
系列	সিরিজ	কোম্পানি নতুন পণ্যের একটি সিরিজ চালু করেছে।
细菌	জীবাণু	উচ্চ তাপমাত্রা জীবাণু মেরে ফেলতে পারে।
细胞	কোষ	মানবদেহ অসংখ্য কোষ দিয়ে গঠিত।
细致	সূক্ষ্ম যত্নশীল	তার পর্যবেক্ষণ খুব সূক্ষ্ম যত্নশীল।
峡谷	গিরিখাত	নদী গভীর গিরিখাত পেরিয়ে যায়।
狭隘	সংকীর্ণমনস্ক	এই সংকীর্ণমনস্ক দৃষ্টিভঙ্গি বদলাতে হবে।
狭窄	সরু	এই ছোট পথটি খুব সরু।
霞	রাঙা আভা	সন্ধ্যার রাঙা আভা আকাশ লাল করে দিল।
下属	অধীনস্থ	ব্যবস্থাপক মন দিয়ে অধীনস্থদের মতামত শুনলেন।
先进	উন্নত	কারখানা উন্নত সরঞ্জাম ব্যবহার করেছে।
先前	আগের	আগের পরিকল্পনা ইতিমধ্যে বদলে গেছে।
掀起	তোলপাড় সৃষ্টি করা	এই বই আলোচনার ঢেউ তোলপাড় সৃষ্টি করেছে।
纤维	তন্তু	এই কাপড়ে প্রাকৃতিক তন্তু আছে।
鲜明	স্পষ্ট	তার অবস্থান খুব স্পষ্ট।
嫌	অপছন্দ করা	সে ঘরটি খুব ছোট বলে অপছন্দ করে।
嫌疑	সন্দেহ	এই ব্যক্তির ওপর গুরুতর সন্দেহ আছে।
弦	তার	গিটারের একটি তার ছিঁড়ে গেছে।
衔接	সংযুক্ত হওয়া	দুটি কোর্সের বিষয়বস্তু ভালোভাবে সংযুক্ত হয়েছে।
贤惠	সুশীলা ও দক্ষ	তাকে সুশীলা ও দক্ষ মনে করা হয়।
闲话	পরনিন্দা	পেছনে অন্যের পরনিন্দা কোরো না।
显著	উল্লেখযোগ্য	চিকিৎসার ফল খুব উল্লেখযোগ্য।
宪法	সংবিধান	সংবিধান নাগরিকের মৌলিক অধিকার রক্ষা করে।
现场	ঘটনাস্থল	সাংবাদিকেরা ইতিমধ্যে দুর্ঘটনাস্থলে পৌঁছেছেন।
现成	প্রস্তুত	রান্নাঘরে প্রস্তুত খাবার আছে।
现状	বর্তমান অবস্থা	আমাদের শিল্পের বর্তমান অবস্থা বুঝতে হবে।
线索	সূত্র	পুলিশ নতুন সূত্র পেয়েছে।
陷害	ফাঁসানো	সে দাবি করেছে কেউ তাকে ফাঁসিয়েছে।
陷阱	ফাঁদ	শিকারি একটি ফাঁদ পেতেছে।
陷入	জড়িয়ে পড়া	কোম্পানি আর্থিক সংকটে জড়িয়ে পড়েছে।
馅儿	পুর	এই বানটির পুর খুব সুগন্ধি।
乡镇	উপজেলা শহর	উপজেলা শহরের স্কুলের অবস্থা উন্নত হচ্ছে।
相差	পার্থক্য থাকা	দুই জায়গার তাপমাত্রায় দশ ডিগ্রি পার্থক্য আছে।
相等	সমান	দুটি ত্রিভুজের ক্ষেত্রফল সমান।
相辅相成	পরস্পরকে সম্পূরক করা	তত্ত্ব ও অনুশীলন পরস্পরকে সম্পূরক করে।
相应	সংশ্লিষ্ট	কোম্পানি সংশ্লিষ্ট ব্যবস্থা নেবে।
镶嵌	জুড়ে বসানো	আংটিতে একটি রত্ন জুড়ে বসানো আছে।
响亮	জোরালো স্পষ্ট	তার উত্তরের শব্দ জোরালো স্পষ্ট ছিল।
响应	সাড়া দেওয়া	অনেকে পরিবেশ উদ্যোগে সাড়া দিয়েছেন।
想方设法	সব উপায় ভাবা	তারা খরচ কমাতে সব উপায় ভেবেছে।
向导	পথপ্রদর্শক	স্থানীয় পথপ্রদর্শক আমাদের পাহাড়ে নিয়ে গেলেন।
向来	সবসময়	সে সবসময় বিশ্বাসযোগ্যতাকে গুরুত্ব দেয়।
向往	আকাঙ্ক্ষা করা	সে শান্ত জীবন আকাঙ্ক্ষা করে।
巷	গলি	পুরনো গলিতে অনেক ছোট দোকান খুলেছে।
相声	হাস্যরসাত্মক সংলাপশিল্প	দাদু ঐতিহ্যবাহী হাস্যরসাত্মক সংলাপশিল্প শুনতে পছন্দ করেন।
消除	দূর করা	যোগাযোগ ভুল বোঝাবুঝি দূর করতে পারে।
消毒	জীবাণুমুক্ত করা	চিকিৎসক ক্ষত জীবাণুমুক্ত করলেন।
消防	অগ্নিনির্বাপণ	অগ্নিনির্বাপণ কর্মীরা দ্রুত ঘটনাস্থলে পৌঁছালেন।
消耗	ব্যয় করা	দীর্ঘ ভ্রমণে অনেক শারীরিক শক্তি ব্যয় হয়।
消灭	নির্মূল করা	কর্মীরা পোকামাকড় নির্মূল করছেন।
潇洒	স্বচ্ছন্দ রুচিশীল	তার হাঁটার ভঙ্গি খুব স্বচ্ছন্দ রুচিশীল।
销毁	ধ্বংস করা	শুল্ক বিভাগ নকল পণ্য ধ্বংস করেছে।
小心翼翼	খুব সাবধানে	সে খুব সাবধানে বাক্সটি খুলল।
效益	কার্যকারিতা	নতুন যন্ত্র উৎপাদনের কার্যকারিতা বাড়িয়েছে।
肖像	প্রতিকৃতি	দেয়ালে তার প্রতিকৃতি ঝুলছে।
协会	সমিতি	এই সমিতি তরুণ উদ্যোক্তাদের সাহায্য করে।
协商	আলোচনা-পরামর্শ করা	দুই পক্ষ আলোচনা-পরামর্শ চালিয়ে যেতে রাজি।
协调	সমন্বয় করা	প্রকল্প ব্যবস্থাপক সম্পদ সমন্বয়ের দায়িত্বে।
协议	চুক্তি	দুই পক্ষ সহযোগিতা চুক্তিতে স্বাক্ষর করেছে।
协助	সহায়তা করা	স্বেচ্ছাসেবকেরা বৃদ্ধদের রাস্তা পার হতে সহায়তা করেছেন।
携带	বহন করা	যাত্রীরা বিপজ্জনক বস্তু বহন করতে পারবেন না।
屑	কুচি	টেবিলে অনেক কাঠের কুচি আছে।
泄露	ফাঁস করা	কর্মচারীরা গ্রাহকের তথ্য ফাঁস করতে পারবেন না।
泄气	হতাশ হওয়া	ব্যর্থতার পর হতাশ হয়ো না।
谢绝	ভদ্রভাবে প্রত্যাখ্যান করা	হোটেল বাইরের খাবার ভদ্রভাবে প্রত্যাখ্যান করে।
心得	অভিজ্ঞতালব্ধ উপলব্ধি	সে পড়াশোনার অভিজ্ঞতালব্ধ উপলব্ধি ভাগ করেছে।
心甘情愿	স্বেচ্ছায় খুশিমনে	সে স্বেচ্ছায় খুশিমনে থেকে সাহায্য করেছে।
心灵	মন	সঙ্গীত তার মনকে সান্ত্বনা দিয়েছে।
心态	মানসিকতা	ইতিবাচক মানসিকতা বজায় রাখা গুরুত্বপূর্ণ।
心疼	মায়ায় কষ্ট পাওয়া	মা আহত শিশুর জন্য মায়ায় কষ্ট পেলেন।
心血	পরিশ্রমী যত্ন	এই বইয়ে লেখকের পরিশ্রমী যত্ন জমা আছে।
心眼儿	ছোটমনের ভাব	তার মধ্যে একটু ছোটমনের ভাব আছে।
新陈代谢	বিপাক	ব্যায়াম বিপাক বাড়াতে পারে।
新郎	বর	বর দরজায় অতিথিদের অভ্যর্থনা করছিল।
新娘	কনে	কনে সাদা বিয়ের পোশাক পরেছিল।
新颖	নতুনত্বপূর্ণ	এই নকশা খুব নতুনত্বপূর্ণ।
欣慰	সন্তুষ্টি পাওয়া	শিশুর অগ্রগতি দেখে সে সন্তুষ্টি পেল।
欣欣向荣	সমৃদ্ধিশীল	ছোট শহরের পর্যটন শিল্প সমৃদ্ধিশীল।
薪水	বেতন	তার বেতন পরিবার চালানোর জন্য যথেষ্ট।
辛勤	পরিশ্রমী	কৃষকেরা পরিশ্রম করে ফসল ফলান।
信赖	ভরসা করা	গ্রাহকেরা এই কোম্পানির ওপর খুব ভরসা করেন।
信念	বিশ্বাস	দৃঢ় বিশ্বাস তাকে সমর্থন করেছে।
信仰	আস্থা	সে ভিন্ন ভিন্ন আস্থাকে সম্মান করে।
信誉	সুনাম ও বিশ্বাস	প্রতিষ্ঠানকে সুনাম ও বিশ্বাস রক্ষা করতে হবে।
兴高采烈	আনন্দে উৎফুল্ল	শিশুরা আনন্দে উৎফুল্ল হয়ে শ্রেণিকক্ষে দৌড়ে ঢুকল।
兴隆	সমৃদ্ধ	এই পুরনো দোকানের ব্যবসা সমৃদ্ধ।
兴旺	উন্নতিশীল	বাজার অর্থনীতি ক্রমে উন্নতিশীল হচ্ছে।
腥	কাঁচা মাছের গন্ধযুক্ত	এই মাছটি একটু কাঁচা মাছের গন্ধযুক্ত।
刑事	ফৌজদারি	পুলিশ ফৌজদারি মামলা তদন্ত করছে।
形态	রূপ	উদ্ভিদের রূপ পরিবেশের সঙ্গে বদলায়।
行政	প্রশাসনিক	প্রশাসনিক বিভাগ আবেদন সামলায়।
兴致勃勃	উৎসাহভরে	সবাই উৎসাহভরে পরিকল্পনা আলোচনা করেছে।
性感	আকর্ষণীয়	এই সন্ধ্যার পোশাকটি বেশ আকর্ষণীয় দেখায়।
性命	জীবন	চিকিৎসক তার জীবন বাঁচিয়েছেন।
性能	কার্যক্ষমতা	এই কম্পিউটারের কার্যক্ষমতা ভালো।
凶恶	হিংস্র	এই কুকুরটিকে খুব হিংস্র দেখায়।
凶手	খুনি	পুলিশ শেষ পর্যন্ত খুনিকে ধরেছে।
汹涌	উত্তাল	উত্তাল ঢেউ তীরে আছড়ে পড়ছিল।
胸怀	উদার মন	তার উদার মন আছে।
胸膛	বুক	সৈনিক বুক সোজা করল।
雄厚	প্রচুর শক্তিশালী	কোম্পানির প্রচুর শক্তিশালী অর্থসম্পদ আছে।
雄伟	মহিমান্বিত	এই সেতুটি খুব মহিমান্বিত।
修复	মেরামত করা	প্রকৌশলীরা ব্যবস্থা মেরামত করছেন।
修建	নির্মাণ করা	সরকার নতুন বিমানবন্দর নির্মাণের পরিকল্পনা করছে।
修养	আত্মশিক্ষিত শালীনতা	ভালো আত্মশিক্ষিত শালীনতা খুঁটিনাটিতে প্রকাশ পায়।
羞耻	লজ্জা	মিথ্যা বলার পর সে লজ্জা অনুভব করল।
嗅觉	ঘ্রাণশক্তি	কুকুরের ঘ্রাণশক্তি খুব তীক্ষ্ণ।
绣	সূচিকর্ম করা	দিদিমা ফুলের সূচিকর্ম করতে পারেন।
虚假	মিথ্যা	ওয়েবসাইট মিথ্যা খবর প্রকাশ করেছে।
虚荣	দেখনদারি অহং	দেখনদারি অহং তাকে অতিরিক্ত টাকা খরচ করিয়েছে।
虚伪	ভণ্ডামিপূর্ণ	সে ভণ্ডামিপূর্ণ সৌজন্য পছন্দ করে না।
需求	চাহিদা	বাজারের চাহিদা বাড়ছে।
须知	জরুরি নির্দেশনা	দয়া করে আগে নিবন্ধনের জরুরি নির্দেশনা পড়ুন।
许可	অনুমতি	অনুমতি ছাড়া প্রবেশ করা যাবে না।
序言	ভূমিকা	লেখক ভূমিকায় পটভূমি ব্যাখ্যা করেছেন।
畜牧	পশুপালন	তৃণভূমি পশুপালন উন্নয়নের জন্য উপযোগী।
酗酒	অতিরিক্ত মদ্যপান	দীর্ঘদিন অতিরিক্ত মদ্যপান স্বাস্থ্য নষ্ট করে।
喧哗	কোলাহল করা	গ্রন্থাগারে কোলাহল করা নিষিদ্ধ।
宣誓	শপথ নেওয়া	নতুন সদস্যরা সভায় শপথ নিয়েছেন।
宣扬	প্রচার করা	স্কুল সততা ও বিশ্বাসযোগ্যতা প্রচার করে।
悬挂	ঝুলে থাকা	দেয়ালে একটি ছবি ঝুলে আছে।
悬念	রহস্যময় অপেক্ষা	চলচ্চিত্রের শেষ রহস্যময় অপেক্ষা রেখে যায়।
悬殊	বড় ব্যবধান	দুই দলের শক্তির ব্যবধান বড়।
悬崖峭壁	খাড়া পাহাড়ি প্রাচীর	পাহাড়ি রাস্তার পাশে খাড়া পাহাড়ি প্রাচীর।
旋律	সুর	এই গানের সুর সুন্দর।
旋转	ঘোরা	বাতাসে বায়ুচাকা ঘুরছে।
选拔	বাছাই করা	স্কুল খেলোয়াড় বাছাই করছে।
选举	নির্বাচন	গ্রামে নির্বাচন অনুষ্ঠিত হয়েছে।
选手	প্রতিযোগী	এই প্রতিযোগীর পারফরম্যান্স স্থিতিশীল।
炫耀	দেখানো বাহাদুরি করা	সে সবসময় সম্পদ দেখানো বাহাদুরি করতে ভালোবাসে।
削	কেটে কমানো	কোম্পানি কিছু খরচ কেটে কমিয়েছে।
削弱	দুর্বল করা	ক্লান্তি বিচারশক্তি দুর্বল করে।
学说	তত্ত্ব	এই তত্ত্বের প্রভাব বড়।
学位	ডিগ্রি	সে স্নাতকোত্তর ডিগ্রি পেয়েছে।
雪上加霜	বিপদের ওপর আরও বিপদ	চাকরি হারিয়ে আবার অসুস্থ হওয়া বিপদের ওপর আরও বিপদ।
血压	রক্তচাপ	চিকিৎসক তাকে রক্তচাপ নিয়ন্ত্রণ করতে মনে করালেন।
熏陶	প্রভাবিত লালন	সে ছোটবেলা থেকে সঙ্গীতের প্রভাবে লালিত হয়েছে।
寻觅	খুঁজে বেড়ানো	তারা চারদিকে উপযুক্ত বাড়ি খুঁজে বেড়াচ্ছে।
巡逻	টহল দেওয়া	পুলিশ রাতে রাস্তায় টহল দেয়।
循环	চক্রাকারে চলা	জল ব্যবস্থার মধ্যে চক্রাকারে চলে।
循序渐进	ধাপে ধাপে এগোনো	ভাষা শেখায় ধাপে ধাপে এগোতে হয়।
压迫	নিপীড়ন করা	পুরনো ব্যবস্থা সাধারণ মানুষকে নিপীড়ন করত।
压岁钱	নববর্ষের উপহার টাকা	শিশুটি নববর্ষের উপহার টাকা পেয়েছে।
压缩	সংকুচিত করা	সফটওয়্যার ছবির আকার সংকুচিত করতে পারে।
压抑	দমন করা	সে অন্তরের রাগ দমন করার চেষ্টা করল।
压榨	চেপে রস বের করা	যন্ত্রটি আখের রস চেপে বের করছে।
压制	চেপে রাখা	ওষুধ ব্যথা চেপে রাখতে পারে।
鸦雀无声	একেবারে নীরব	শিক্ষক ঢোকার পর শ্রেণিকক্ষ একেবারে নীরব।
亚军	দ্বিতীয় স্থান	সে প্রতিযোগিতায় দ্বিতীয় স্থান পেয়েছে।
淹没	ডুবিয়ে দেওয়া	বন্যা নিচু গ্রাম ডুবিয়ে দিয়েছে।
烟花爆竹	আতশবাজি ও পটকা	উৎসবের সময় আতশবাজি ও পটকা নিষিদ্ধ।
严峻	কঠোর গুরুতর	কর্মসংস্থানের অবস্থা এখনও কঠোর গুরুতর।
严寒	তীব্র শীত	তীব্র শীতের আবহাওয়া যান চলাচলে প্রভাব ফেলে।
严禁	কঠোরভাবে নিষিদ্ধ	এখানে ধূমপান কঠোরভাবে নিষিদ্ধ।
严厉	কঠোর	শিক্ষক তাকে কঠোরভাবে সমালোচনা করেছেন।
严密	কড়া	গুদামে কড়া নজরদারি আছে।
岩石	পাথর	সমুদ্রতীরের পাথর খুব শক্ত।
延期	পিছিয়ে দেওয়া	সভা আগামী সপ্তাহে পিছিয়ে দেওয়া হয়েছে।
延伸	প্রসারিত হওয়া	রাস্তা উত্তর দিকে প্রসারিত হয়েছে।
延续	চলতে থাকা	এই ঐতিহ্য একশো বছর ধরে চলছে।
沿海	উপকূলীয়	উপকূলীয় শহরগুলোর বাণিজ্য উন্নত।
炎热	প্রচণ্ড গরম	প্রচণ্ড গরম আবহাওয়া মানুষকে ক্লান্ত করে।
言论	মন্তব্য	জনসাধারণ তার মন্তব্যের দিকে মনোযোগ দেয়।
掩盖	ঢেকে রাখা	সে ভুল ঢেকে রাখার চেষ্টা করেছিল।
掩护	আড়াল দিয়ে সহায়তা করা	সহযোদ্ধারা প্রত্যাহারের সময় আড়াল দিয়ে সহায়তার দায়িত্বে ছিল।
