simplified	SL	example_SL
劈	sekati	Delavec je s sekiro sekal drva.
批发	veleprodaja	Ta trgovina se ukvarja predvsem z veleprodajo sadja.
批判	kritizirati	Članek je kritiziral to napačno stališče.
疲惫	izčrpan	Po dolgem potovanju so bili vsi izčrpani.
疲倦	utrujen	Neprekinjeno delo ga je utrudilo.
皮革	usnje	Ta torba je izdelana iz usnja.
屁股	zadnjica	Otroka je po padcu bolela zadnjica.
譬如	na primer	Na primer, najprej lahko naredimo majhen test.
偏差	odstopanje	V rezultatih poskusa je očitno odstopanje.
偏见	predsodek	Izogibati bi se morali etničnim predsodkom.
偏僻	odročen	Ta vas leži na zelo odročnem kraju.
偏偏	ravno; proti pričakovanjem	Bolj ko sem bil zaskrbljen, počasneje je ravno takrat vozil avto.
片断	odlomek	V filmu je nekaj odličnih odlomkov.
片刻	trenutek	Prosim, počakaj me tukaj trenutek.
漂浮	plavati	Odpadlo listje je plavalo na vodi.
飘扬	vihreti	Državna zastava je vihrala v vetru.
撇	zavreči	Stari načrt je odložil na stran.
拼搏	boriti se	Mladi bi se morali boriti za svoje ideale.
拼命	na vso moč	Na vso moč je dohiteval ekipo pred seboj.
贫乏	skromen; pomanjkljiv	Vsebina tega članka je precej skromna.
贫困	reven	Vlada pomaga revnim družinam.
频繁	pogost	V zadnjem času so tu prometne nesreče pogoste.
频率	frekvenca	Frekvenca tega zvoka je zelo visoka.
品尝	okušati	Gostje okušajo lokalno hrano.
品德	moralni značaj	Šola ceni moralno vzgojo učencev.
品质	kakovost	Kakovost izdelkov tega podjetja je stabilna.
品种	sorta	Na tržnici je veliko sort sadja.
屏幕	zaslon	Prosim, znižaj svetlost zaslona.
屏障	pregrada; zaščita	Gozd je pomembna zaščita pred vetrom.
平凡	navaden	Več let je delal na navadnem delovnem mestu.
平面	tloris; ravnina	Oblikovalec je narisal tloris hiše.
平坦	raven	Ta cesta je zelo ravna.
平行	vzporeden	Ti dve črti sta med seboj vzporedni.
平庸	povprečen	Noče se zadovoljiti s povprečnim življenjem.
平原	ravnina	Vlak je prečkal obsežno ravnino.
评估	oceniti	Strokovnjaki ocenjujejo tveganja projekta.
评论	komentirati	Bralci lahko komentirajo pod člankom.
坡	pobočje	Avto je počasi zapeljal po pobočju navzgor.
泼	politi	Ne polij vode po tleh.
颇	precej	Ta rezultat je precej presenetljiv.
破例	narediti izjemo	Vodja je naredil izjemo in odobril njegovo prošnjo.
迫不及待	komaj čakati	Otroci so komaj čakali, da odprejo darila.
迫害	preganjati	V zgodovini je veliko ljudi trpelo preganjanje.
魄力	odločnost	Voditelji potrebujejo odločnost pri sprejemanju odločitev.
扑	vreči se	Otroka se je nenadoma vrgla mami v naročje.
铺	položiti	Delavci polagajo novo preprogo.
普及	razširiti se	Internet se je v mestih že razširil.
朴实	preprost; iskren	Njegov jezik je preprost in iskren.
朴素	preprost	Rada ima preprost življenjski slog.
瀑布	slap	Turisti so stali ob slapu in se fotografirali.
凄凉	pust	Gorska vas je pozimi delovala zelo pusto.
期望	pričakovanje	Starši imajo do otrok velika pričakovanja.
期限	rok	Rok za prijavo je ta petek.
欺负	ustrahovati	Starejši otroci ne bi smeli ustrahovati mlajših otrok.
欺骗	prevarati	Lažni oglas je prevaral potrošnike.
奇妙	čudovit	Narava ima veliko čudovitih pojavov.
旗袍	qipao	Na večerno zabavo je oblekla rdeč qipao.
旗帜	zastava	Na trgu so vihrale živobarvne zastave.
歧视	diskriminirati	Zakon prepoveduje vsako obliko diskriminacije.
齐全	popoln; celovit	Ta trgovina ima popoln izbor orodja.
齐心协力	skupaj si prizadevati	Vsi so skupaj sodelovali in dokončali nalogo.
乞丐	berač	Ob cesti je sedel star berač.
企图	poskus; poskušati	Poskušal je prikriti resnično stanje.
启程	odpraviti se	Delegacija se bo jutri zgodaj zjutraj odpravila na pot.
启蒙	uvoden	Ta knjiga je primerna za uvodno branje za otroke.
启事	obvestilo	Pri šolskih vratih je bilo nalepljeno obvestilo o zaposlovanju.
启示	pouk; spoznanje	Ta neuspeh nam je dal pomemben pouk.
岂有此理	nesmiseln; absurden	Takšna pristojbina je res absurdna.
起草	sestaviti; osnutek	Odvetnik sestavlja pogodbo.
起初	sprva	Sprva tej novici ni verjel.
起伏	vzponi in padci	Gorska cesta se dviga in spušča glede na teren.
起哄	povzročati nered	Učenci naj med poukom ne povzročajo nereda.
起码	vsaj	Vsaj vnaprej bi me moral obvestiti.
起源	izvor	Ta praznik izvira iz davnih časov.
器材	oprema	Laboratorij potrebuje novo učno opremo.
器官	organ	Srce je pomemben organ človeškega telesa.
气概	duh; značaj	Ta pesem izraža junaški duh.
气功	qigong	Dedek vsako jutro vadi qigong.
气魄	impozantnost	Ta most ima impozanten slog.
气色	poltenost; videz	Po počitku je bil videti veliko bolje.
气势	zagon; moč	Ekipa je že od začetka imela močan zagon.
气味	vonj	V kuhinji je bil vonj po opečenem kruhu.
气象	vreme; meteorologija	Vreme na tej planoti se hitro spreminja.
气压	zračni tlak	Padec zračnega tlaka lahko prinese dež.
气质	temperament	Ima miren temperament.
迄今为止	doslej	Doslej je poskus potekal gladko.
掐	odtrgati; uščipniti	Odtrgala je majhno cvetlico.
恰当	ustrezen	Tvoj odgovor je zelo ustrezen.
恰到好处	ravno prav	Sladkost te jedi je ravno pravšnja.
恰巧	naključno	Ko sem prišel na postajo, je naključno začelo deževati.
洽谈	pogajati se	Obe strani se pogajata o podrobnostih sodelovanja.
千方百计	na vse mogoče načine	Na vse mogoče načine so iskali rešitev.
牵	voditi; držati za roko	Mama je otroka držala za roko, ko sta prečkala cesto.
牵扯	vključevati	Ta zadeva vključuje veliko oddelkov.
牵制	zadrževati; omejevati	Nasprotnikova obramba je zadržala napad.
签署	podpisati	Podjetji sta podpisali sporazum.
谦逊	skromen	Po uspehu je ostal skromen.
迁就	popustiti; prilagajati se	Starši se ne morejo vedno prilagajati otrokom.
迁徙	seliti se	Ptice selivke se vsako leto selijo glede na letne čase.
前景	obeti	Ta panoga ima dobre obete.
前提	predpogoj	Zaupanje je predpogoj za sodelovanje.
潜力	potencial	Ta učenec ima velik potencial.
潜水	potapljanje	Šli so na morje, da bi se učili potapljanja.
潜移默化	neopazno vplivati	Družinsko okolje lahko neopazno vpliva na otroke.
谴责	obsoditi	Mednarodna skupnost je obsodila nasilje.
抢劫	oropati	Policija je ujela osumljenca, ki je oropal banko.
强制	prisiliti	Novo pravilo prisili voznike, da si pripnejo varnostni pas.
强迫	siliti	Ne sili otrok, da delajo stvari, ki jih ne marajo.
抢救	reševati	Zdravniki rešujejo poškodovanega delavca.
桥梁	most	Jezik je most kulturne izmenjave.
窍门	trik	Pri učenju izgovorjave obstaja nekaj trikov.
翘	dvigniti	Eno nogo je dvignil na stol.
切实	praktičen; izvedljiv	Potrebujemo praktičen in izvedljiv načrt.
锲而不舍	vztrajnost	To vprašanje je preučeval z vztrajnostjo.
亲密	tesen; blizek	Vedno sta ohranjala tesen odnos.
亲热	srčen	Starec je goste srčno pozdravil.
侵犯	kršiti	Takšno ravnanje je kršilo osebno zasebnost.
侵略	invazija	Ljudje nasprotujejo vsaki obliki invazije.
钦佩	občudovati	Zelo občudujem njen pogum.
勤俭	marljiv in varčen	Babica je vse življenje marljivo in varčno vodila gospodinjstvo.
勤劳	marljiv	Marljivi ljudje lahko vedno ustvarijo priložnosti.
倾听	pozorno poslušati	Učitelj je pozorno poslušal mnenja učencev.
倾向	nagnjenost; biti nagnjen	Mladi potrošniki so nagnjeni k spletnemu nakupovanju.
倾斜	nagniti se	Po močnem dežju se je zid začel nagibati.
清澈	bister	Gorski potok je zelo bister.
清晨	zgodnje jutro	Zrak zgodaj zjutraj je posebej svež.
清除	odstraniti	Delavci so odstranili sneg s ceste.
清洁	čist	Bolnišnice morajo ohranjati okolje čisto.
清理	pospraviti; očistiti	Čez vikend smo pospravili skladišče.
清晰	jasen	Ta fotografija je zelo jasna.
清醒	buden; trezen	Po kavi je postal veliko bolj buden.
清真	halal	V bližini je halal restavracija.
情报	obveščevalni podatek	Novinar je dobil pomembne obveščevalne podatke.
情节	zaplet	Zaplet romana je zelo napet.
情理	razum	Njegova zahteva ni razumna.
情形	situacija	Situacija na kraju je bila bolj zapletena, kot so pričakovali.
晴朗	jasen	Danes je nebo posebej jasno.
请柬	vabilo	Sorodnikom in prijateljem so poslali poročna vabila.
请教	posvetovati se	Rad bi se z vami posvetoval o nekem vprašanju.
请示	zaprositi za navodila	O tej zadevi je treba najprej zaprositi vodjo za navodila.
请帖	vabilo	Na mizi je ležalo rojstnodnevno vabilo.
丘陵	gričevje	Na tem območju je veliko gričevja.
区分	razlikovati	Otrok že zna razlikovati levo in desno.
区域	območje	Na tem območju je parkiranje prepovedano.
屈服	podleči	Ni podlegel pritisku.
曲折	zapleten	Šli so skozi zapletena pogajanja.
驱逐	izgnati	Policija je izgnala izgrednike.
渠道	kanal	Podjetje prodaja izdelke prek novega kanala.
取缔	prepovedati	Vlada je prepovedala nezakonito tržnico.
曲子	melodija	Melodija te skladbe je zelo lepa.
趣味	zanimivost	Ta igra je zelo zanimiva.
圈套	past	Skoraj je padel v past prevaranta.
全局	celota	Voditelji morajo upoštevati interese celote.
全力以赴	dati vse od sebe	Dali bomo vse od sebe, da dokončamo nalogo.
拳头	pest	Stisnil je pest in se pripravil na tekmo.
权衡	pretehtati	Pretehtati moramo stroške in učinek.
权威	avtoriteta	Ta profesor je avtoriteta na tem področju.
犬	pes	Ta vrsta psa je primerna za varovanje doma.
缺口	vrzel; razpoka	V steni je majhna vrzel.
缺席	odsotnost	Zaradi bolezni je bil odsoten s sestanka.
缺陷	napaka; pomanjkljivost	Ta zasnova ima očitno pomanjkljivost.
瘸	šepav	Njegova leva noga je malo šepava.
确保	zagotoviti	Prosim, poskrbi, da so vrata zaklenjena.
确立	vzpostaviti	Podjetje je vzpostavilo nove razvojne cilje.
确切	natančen	Ne poznam natančnega časa.
确信	biti prepričan	Prepričan sem, da bo prišel pravočasno.
群众	množice	Množice podpirajo novo politiko.
染	barvati	Lase si je pobarvala na črno.
嚷	vpiti	Ne vpij glasno na hodniku.
让步	popustitev	Obe strani sta naredili nekaj popustitev.
饶恕	odpustiti	Na koncu se je odločila odpustiti drugi osebi.
扰乱	motiti	Hrup je zmotil red v razredu.
惹祸	povzročiti težave	Nepremišljene šale lahko zlahka povzročijo težave.
热泪盈眶	oči polne solz	Ko je slišala dobro novico, so se ji oči napolnile s solzami.
热门	priljubljen	Umetna inteligenca je priljubljena tema.
人道	humanitaren	Reševalna akcija je odražala humanitarnega duha.
人格	dostojanstvo	Žaljenje drugih škoduje osebnemu dostojanstvu.
人工	umeten	Ta reka je bila umetno izkopana.
人家	drugi ljudje	Ne primerjaj se vedno z drugimi ljudmi.
人间	človeški svet	Pomlad napolni človeški svet z življenjem.
人士	oseba; predstavnik	Foruma so se udeležili ljudje iz vseh krogov.
人为	človeški; umeten	To nesrečo so povzročili človeški dejavniki.
人性	človeška narava	Ta film obravnava človeško naravo.
人质	talec	Policija je uspešno rešila talca.
仁慈	dobrosrčen	Ta zdravnik je zelo dobrosrčen do pacientov.
忍耐	potrpežljivost	Čakanje v dolgi vrsti zahteva nekaj potrpežljivosti.
忍受	prenašati	Ne morem prenašati tukajšnjega hrupa.
任命	imenovati	Upravni odbor jo je imenoval za direktorico.
任性	samovoljen	Preveč samovoljen otrok lahko vpliva na svoj razvoj.
任意	poljubno	Prosim, ne spreminjaj podatkov poljubno.
任重道远	dolga in težka naloga	Reforma izobraževanja je dolga in težka naloga.
认定	ugotoviti	Policija je ugotovila, da je šlo za nesrečo.
认可	priznanje; odobritev	Njegov načrt je dobil odobritev vseh.
仍旧	še vedno	Po mnogih letih je še vedno živel tukaj.
日新月异	hitro se spreminjati	Tehnologija se iz dneva v dan hitro spreminja.
日益	vse bolj	Okoljski problemi postajajo vse resnejši.
容貌	videz	Leta so spremenila njegov videz.
容纳	sprejeti	Ta dvorana lahko sprejme petsto ljudi.
容器	posoda	Prosim, nalij tekočino v stekleno posodo.
容忍	tolerirati	Podjetje ne more tolerirati goljufije.
溶解	raztopiti	Sol se raztopi v vodi.
荣幸	počastitev; čast	V čast mi je udeležiti se sestanka.
荣誉	čast	Ta medalja predstavlja najvišjo čast.
融化	stopiti	Sonce je počasi stopilo led in sneg.
融洽	skladen	Odnosi med sodelavci so zelo skladni.
揉	drgniti; masirati	Mama mi je nežno masirala ramena.
柔和	mehak; nežen	Svetloba je mehka in ne bode v oči.
儒家	konfucianizem	Konfucijanska misel je vplivala na vzhodnoazijsko kulturo.
弱点	slabost	Nepazljivost je njegova glavna slabost.
若干	nekaj	Na sestanku so predstavili nekaj predlogov.
撒谎	lagati	Otroci ne bi smeli lagati.
散文	proza	Rada bere moderno prozo.
散布	širiti	Nekdo je po spletu širil govorice.
散发	oddajati	Vrt oddaja svež vonj.
丧失	izgubiti	Ni izgubil zaupanja.
骚扰	nadlegovati	Prosim, ne nadlegujte drugih potnikov.
嫂子	snaha; svakinja	Jedi moje svakinje so zelo okusne.
刹车	zavirati	Voznik je nenadoma zavrl.
啥	kaj	Kaj si pravkar rekel?
筛选	filtrirati	Sistem bo samodejno filtriral življenjepise.
山脉	gorovje	To gorovje je zelo dolgo.
闪烁	utripati	Luči v daljavi so nenehno utripale.
擅长	biti dober v	Dober je v reševanju zapletenih problemov.
擅自	brez dovoljenja	Zaposleni ne smejo brez dovoljenja zapustiti delovnega mesta.
伤脑筋	težaven	Ta problem je res težaven.
商标	blagovna znamka	Podjetje je registriralo novo blagovno znamko.
上级	nadrejeni	O položaju je poročal nadrejenim.
上进	prizadeven	Vedno je bila zelo prizadevna.
上任	nastopiti funkcijo	Novi direktor bo funkcijo nastopil naslednji teden.
上瘾	postati zasvojen	Veliko ljudi postane zasvojenih s kratkimi videi.
上游	zgornji tok	Onesnaženje prihaja iz zgornjega toka reke.
尚且	celo	Celo odrasli lahko delajo napake.
捎	prenesti sporočilo	Prosim, prenesi mi sporočilo.
梢	vrh veje	Ptica je sedela na vrhu drevesa.
哨	straža; piščalka	Pri vratih je stražar.
奢侈	razkošen; potraten	Takšna poraba je preveč potratna.
舌头	jezik	Opekel si je jezik.
摄氏度	stopinja Celzija	Današnja temperatura je trideset stopinj Celzija.
涉及	vključevati	Poročilo vključuje več oddelkov.
社区	skupnost	Skupnost je organizirala zdravstveno predavanje.
设立	ustanoviti	Šola je ustanovila štipendijo.
设想	zamisel	O tej zamisli je treba še razpravljati.
设置	nastaviti	Prosim, ponovno nastavi geslo.
呻吟	ječati	Bolnik je tiho ječal.
深奥	globok; težko razumljiv	Vsebina te knjige je zelo globoka.
深沉	globok	Njegov glas je bil nizek in globok.
深情厚谊	globoko prijateljstvo	Ljudje obeh držav so spletli globoko prijateljstvo.
申报	prijaviti	Potniki morajo predmete prijaviti po resnici.
绅士	gospod	Obnaša se kot gospod.
神经	živec	Stres lahko vpliva na živčni sistem.
神奇	čudežen	Pokrajina tukaj je zelo čudežna.
神气	živahen; ponosen	Danes je bil videti posebej živahen.
神圣	svet	To je sveta dolžnost.
神态	izraz	Njen izraz je bil zelo miren.
神仙	nesmrtnik	Legenda pravi, da v gorah živijo nesmrtniki.
审查	pregledati; cenzurirati	Platforma pregleduje objavljene vsebine.
审理	obravnavati primer	Sodišče trenutno obravnava ta primer.
审美	estetski okus	Njegov estetski okus je zelo poseben.
审判	sojenje	Javno sojenje je pritegnilo pozornost medijev.
慎重	previden	To odločitev je treba sprejeti previdno.
渗透	pronicati	Deževnica je počasi pronicala v zemljo.
声明	izjava	Podjetje je izdalo uradno izjavo.
声势	zagon; razmah	Ta oglaševalska kampanja ima velik razmah.
声誉	ugled	Kakovost izdelkov vpliva na ugled blagovne znamke.
牲畜	živina	Pastirji so živino pregnali nazaj na pašnik.
生存	preživeti	Divje živali potrebujejo prostor za preživetje.
生机	vitalnost	Pomladni dež napolni zemljo z vitalnostjo.
生理	fiziologija	Spanje vpliva na človekovo fiziološko stanje.
生疏	zarjavel; nevešč	Po mnogih letih brez vaje je njegovo igranje klavirja nekoliko zarjavelo.
生态	ekologija	Varovanje gozdov je povezano z ekološkim ravnovesjem.
生物	organizem	V oceanu je veliko nenavadnih organizmov.
生效	začeti veljati	Novi predpis začne uradno veljati jutri.
生肖	kitajsko zodiakalno znamenje	Katero je tvoje kitajsko zodiakalno znamenje?
生锈	rjaveti	Veriga kolesa je že zarjavela.
生育	rodnost; plodnost	Bolnišnica ponuja svetovanje o plodnosti.
省会	glavno mesto province	Chengdu je že dolgo glavno mesto province Sečuan.
盛产	proizvajati v izobilju	Ta kraj v izobilju proizvaja kakovosten čaj.
盛开	cveteti	Češnje v parku so v polnem razcvetu.
盛情	topla gostoljubnost	Zahvaljujemo se gostitelju za toplo gostoljubnost.
盛行	biti razširjen	Ta slog je bil nekoč zelo razširjen.
胜负	izid; zmaga ali poraz	Zadnja minuta tekme je odločila izid.
失事	doživeti nesrečo	Vzrok letalske nesreče je še vedno v preiskavi.
失误	napaka	Majhna napaka je povzročila zamudo projekta.
失踪	pogrešan	Policija išče pogrešanega otroka.
尸体	truplo	Reševalna ekipa je našla truplo žrtve.
师范	pedagoški	Diplomirala je na pedagoški univerzi.
施加	izvajati pritisk	Starši ne bi smeli izvajati prevelikega pritiska.
施展	pokazati; uporabiti	Končno je dobil priložnost pokazati svoj talent.
十足	poln; popoln	V rezultat je popolnoma prepričan.
实惠	ugoden	Cene v tej trgovini so zelo ugodne.
实力	moč	Ekipa ima zelo veliko skupno moč.
实施	izvajati	Vlada je začela izvajati nov načrt.
实事求是	iskati resnico v dejstvih	Pri raziskovanju je treba iskati resnico v dejstvih.
实行	uveljaviti	Podjetje je uveljavilo prilagodljiv delovni čas.
实质	bistvo	Bistvo problema se ni spremenilo.
拾	pobrati	Sklonil se je in pobral ključ s tal.
时常	pogosto	Dedek pogosto pripoveduje zgodbe iz mladosti.
时而	občasno	Vreme je občasno sončno in občasno oblačno.
时光	čas	Lepi časi se vedno zdijo kratki.
时机	priložnost; pravi trenutek	Zdaj ni pravi trenutek za pogajanja.
时事	aktualni dogodki	Študenti vsak teden razpravljajo o mednarodnih aktualnih dogodkih.
石油	nafta	Cene nafte so znova zrasle.
识别	prepoznati	Sistem lahko prepozna različne obraze.
使命	poslanstvo	Varovanje okolja je skupno poslanstvo.
世代	generacije	Ta obrt se v družini prenaša iz generacije v generacijo.
事故	nesreča	V tej nesreči ni bilo žrtev.
事迹	dejanje; dosežek	Njegova junaška dejanja so se široko razširila.
事件	dogodek; incident	Ta incident je pritegnil družbeno pozornost.
事态	razmere	Vlada nadzoruje razvoj razmer.
事务	zadeve; opravila	Ona je odgovorna za vsakodnevne zadeve podjetja.
事项	postavka; zadeva	Prosim, potrdi pomembne postavke v pogodbi.
事业	kariera; življenjsko delo	Izobraževanje obravnava kot svojo življenjsko kariero.
势必	neizogibno	Naraščajoči stroški bodo neizogibno vplivali na cene.
势力	vpliv	Lokalni poslovni vpliv je zelo močan.
是非	spori; prav in narobe	Ne želi se vpletati v pisarniške spore.
示范	pokazati; prikaz	Učitelj je najprej naredil prikaz.
示威	demonstracija	V središču mesta je potekala mirna demonstracija.
示意	nakazati	Vodja je vsem nakazal, naj bodo tiho.
视力	vid	Dolgotrajno gledanje v zaslon lahko vpliva na vid.
视频	video	Prosim, pošlji mi video.
视线	vidna linija	Gosta megla je vozniku zakrila vidno linijo.
视野	obzorje; vidno polje	Potovanja lahko razširijo obzorje.
试图	poskušati	Poskušal je pojasniti svojo odločitev.
试验	poskus	Znanstveniki so izvedli veliko poskusov.
适宜	primeren	Tukajšnje podnebje je primerno za bivanje.
逝世	umreti; preminiti	Ta pisatelj je lani preminil.
释放	izpustiti	Sodišče se je odločilo izpustiti obtoženca.
收藏	zbirati	Zbral je veliko starih znamk.
收缩	krčiti se	Hladen zrak lahko povzroči krčenje kovine.
收益	donos	Naložbeni donosi so bili višji od pričakovanj.
收音机	radio	Babica vsak dan posluša radio.
守护	varovati	Zdravniki varujejo življenja bolnikov.
手法	tehnika	Režiserjeva tehnika snemanja je zelo posebna.
手势	kretnja	S kretnjo je pokazal strinjanje.
手艺	obrtniška spretnost	Ta mojster ima zelo dobro obrtniško spretnost.
首饰	nakit	Nosila je preprost srebrn nakit.
首要	najpomembnejši	Varnost je najpomembnejša naloga.
受罪	trpeti	Bolnik je po operaciji zelo trpel.
授予	podeliti	Šola mu je podelila častni naziv.
书法	kaligrafija	Od otroštva vadi kaligrafijo.
书记	sekretar	Vaški sekretar je vodil sestanek.
书籍	knjige	Knjižnica hrani veliko število knjig.
书面	pisen	Prosim, predloži pisno dokazilo.
疏忽	malomarnost	Ta napaka je nastala zaradi malomarnosti pri delu.
疏远	oddaljiti se	Nesporazum je povzročil, da sta se postopoma oddaljila.
舒畅	sproščen in vesel	Po sprehodu sem se počutil sproščeno in veselo.
数额	znesek	Znesek odškodnine še ni določen.
束	šop; zvezati	Kupila je šop svežega cvetja.
束缚	omejevati	Tradicionalni pogledi so omejevali njegove izbire.
树立	vzpostaviti	Podjetje mora vzpostaviti dobro podobo.
竖	postaviti pokonci	Prosim, postavi tablo pokonci.
耍	igrati se	Ne igraj se s telefonom med delovnim časom.
衰老	staranje	Telovadba lahko upočasni staranje.
衰退	upadati	Gospodarska recesija je vplivala na zaposlenost.
率领	voditi	Kapetan je vodil ekipo naprej.
涮火锅	jesti kitajski vroči lonec	Pozimi vsi radi jedo kitajski vroči lonec.
双胞胎	dvojčka	Sta par dvojčkov.
爽快	odkrit; neposreden	Odgovorila je zelo neposredno.
水利	vodno gospodarstvo	Ta regija veliko pozornosti namenja gradnji vodnega gospodarstva.
水龙头	vodovodna pipa	Vodovodna pipa v kuhinji pušča.
水泥	cement	Delavci so cement prepeljali na gradbišče.
瞬间	trenutek	Luči so v trenutku vse ugasnile.
司法	sodstvo	Neodvisnost sodstva potrebuje institucionalno zaščito.
司令	poveljnik	Poveljnik je izdal ukaz za umik.
思念	pogrešati	Pogosto pogreša domači kraj.
思索	poglobljeno razmišljati	Spustil je glavo in dolgo poglobljeno razmišljal.
思维	mišljenje	Ta vadba lahko izboljša logično mišljenje.
斯文	uglajen	Govori zelo uglajeno.
私自	brez dovoljenja	Učenci ne smejo brez dovoljenja zapustiti šole.
死亡	smrt	Nesreča je povzročila več smrti.
四肢	okončine	Pred vadbo je treba razgibati okončine.
寺庙	tempelj	Na gori stoji star tempelj.
肆无忌惮	brez zadržkov	Brez zadržkov je kršil pravila.
饲养	rejiti	Kmetija redi veliko krav molznic.
耸	skomigniti	Ko je to slišal, je samo skomignil z rameni.
艘	števnik za ladje	V pristanišču so zasidrane tri tovorne ladje.
苏醒	priti k zavesti	Bolnik je končno prišel k zavesti.
俗话	pregovor	Pregovor pravi, da vaja dela mojstra.
塑造	oblikovati	Okolje lahko oblikuje človekov značaj.
素食	vegetarijanska hrana	Ta restavracija ponuja vegetarijansko hrano.
素质	kakovost	Osebje za storitve je zelo kakovostno.
诉讼	tožba	Obe strani sta se odločili zadevo rešiti s tožbo.
算数	držati besedo	Kar si rekel, mora držati.
随即	takoj	Po koncu sestanka je takoj odšel.
随意	poljubno	Prosim, ne spreminjaj nastavitev poljubno.
岁月	leta; minevanje časa	Minevanje let je spremenilo njegov videz.
隧道	predor	Vlak je peljal skozi dolg predor.
损坏	poškodovati	Naliv je poškodoval cesto.
索取	zahtevati; zaprositi	Stranke lahko brezplačno zaprosijo za vzorce.
索性	preprosto	Dež je bil premočan, zato preprosto nismo šli ven.
塌	podreti se	Streha stare hiše se je podrla.
踏实	pomirjen; prizemljen	Po opravljeni nalogi sem bil v srcu pomirjen.
塔	stolp	V središču mesta stoji visok stolp.
台风	tajfun	Pričakujejo, da bo tajfun jutri dosegel obalo.
太空	vesolje	Človeštvo že dolgo raziskuje vesolje.
泰斗	vodilna avtoriteta	Je vodilna avtoriteta v jezikoslovju.
摊	stojnica	Na tržnici je postavila stojnico s sadjem.
瘫痪	paraliza	Prometna nesreča mu je povzročila paralizo spodnjih okončin.
贪婪	pohlep	Pohlep lahko uniči človeka.
贪污	korupcija	Uradnika preiskujejo zaradi korupcije.
弹性	elastičnost	Ta material je zelo elastičen.
坦白	priznati	Končno je priznal resnico.
叹气	vzdihniti	Ko je slišal rezultat, si ni mogel pomagati, da ne bi vzdihnil.
探测	zaznati; raziskati	Naprava lahko zazna podtalnico.
探索	raziskovati	Znanstveniki še naprej raziskujejo vesolje.
探讨	razpravljati	Strokovnjaki so razpravljali o reformnem načrtu.
探望	obiskati	Ob koncu tedna sem šel v bolnišnico obiskat prijatelja.
倘若	če	Če bo deževalo, bo dogodek prestavljen.
掏	vzeti ven	Iz žepa je vzel ključ.
滔滔不绝	govoriti brez prestanka	Ko začne govoriti o zgodovini, govori brez prestanka.
淘汰	izločiti	Ta ekipa je bila izločena predčasno.
陶瓷	keramika	Jingdezhen je znan po keramiki.
陶醉	biti očaran	Občinstvo je bilo očarano nad glasbo.
讨好	prilizovati se	Ni se hotel namenoma prilizovati nadrejenemu.
特长	posebna spretnost	Slikanje je njena posebna spretnost.
特定	določen	Prosim, oddaj prijavo v določenem času.
特意	posebej	Posebej sem prišel, da se ti zahvalim.
提拔	napredovati	Podjetje jo je napredovalo v vodjo oddelka.
提炼	pridobivati; rafinirati	Tovarna iz rude pridobiva kovino.
提示	opomniti; pozvati	Sistem te bo pozval k vnosu gesla.
提议	predlagati	Predlagala je, da jutri nadaljujemo razpravo.
题材	tematika	Tematika tega filma je sveža.
体裁	zvrst	Romani in pesmi so različne zvrsti.
体积	prostornina	Ta škatla ima veliko prostornino.
体谅	razumeti	Prosim, pokaži razumevanje za njegove težave.
体面	dostojen	Želi si najti dostojno službo.
体系	sistem	Podjetje je vzpostavilo celovit sistem usposabljanja.
天才	genij	Tega otroka imajo za glasbenega genija.
天赋	nadarjenost	Ima nadarjenost za učenje jezikov.
天伦之乐	družinska sreča	Starejši človek uživa v družinski sreči.
天然气	zemeljski plin	Mestni prebivalci za kuhanje uporabljajo zemeljski plin.
天生	po naravi	Po naravi je zelo optimističen.
天堂	raj	Ta kraj je kot raj na zemlji.
天文	astronomija	Od otroštva ima rad astronomijo.
田径	atletika	Šola je priredila atletsko tekmovanje.
田野	polje	Spomladanska polja so vsa zelena.
舔	lizati	Kužek je polizal gospodarjevo roko.
挑剔	izbirčen	Pri hrani je zelo izbirčna.
条款	klavzula	Klavzule pogodbe je treba skrbno prebrati.
条理	urejenost	Njegov govor je bil zelo urejen.
条约	pogodba	Državi sta podpisali mirovno pogodbo.
调和	usklajevati	Ti dve barvi se dobro usklajujeta.
调剂	uravnotežiti	Šport lahko uravnoteži napeto življenje.
调节	uravnavati	Klimatska naprava lahko uravnava notranjo temperaturo.
调解	posredovati	Osebje skupnosti je pomagalo posredovati v sporu med stranema.
调料	začimba	V juho je treba dodati malo začimb.
挑拨	ščuvati	Ne ščuvaj odnosov med sodelavci.
挑衅	provokacija	Takšne besede imajo očitno provokacijo.
跳跃	skakati	Športnik je trikrat zapored skočil.
亭子	paviljon	Ob jezeru stoji majhen paviljon.
停泊	biti privezan	Ribiške ladje so privezane v zalivu.
停顿	premor	Med govorom je za trenutek naredil premor.
停滞	zastoj	Projekt je zastal zaradi pomanjkanja sredstev.
挺拔	visok in pokončen	Bori rastejo visoki in pokončni.
通货膨胀	inflacija	Inflacija je zvišala življenjske stroške.
通缉	iskati s tiralico	Policija išče tega osumljenca s tiralico.
通俗	dostopen; vsakdanji	Jezik te knjige je zelo dostopen.
通讯	komunikacije	Sodobna komunikacijska tehnologija se hitro razvija.
通用	univerzalen	Ta vrsta polnilca je precej univerzalna.
同胞	rojak	Tudi rojaki v tujini spremljajo razvoj domačega kraja.
同志	tovariš	Starejši tovariš je delil delovne izkušnje.
