simplified	MY	example_MY
无数	မရေမတွက်နိုင်သော	ညကောင်းကင်တွင် မရေမတွက်နိုင်သော ကြယ်များရှိသည်။
无所谓	ဘာမှမဖြစ်ပါ; အရေးမကြီးပါ	သင် ဘာစားချင်သည်ဖြစ်စေ အရေးမကြီးပါ။
武术	ကိုယ်ခံပညာ	သူသည် ငယ်ငယ်ကတည်းက ကိုယ်ခံပညာကို သင်ယူခဲ့သည်။
勿	မလုပ်ရ	ကျေးဇူးပြု၍ ဒီနေရာတွင် ဆေးလိပ်မသောက်ရပါ။
物理	ရူပဗေဒ	ရူပဗေဒအတန်းသည် အလွန်စိတ်ဝင်စားစရာကောင်းသည်။
物质	ပစ္စည်းဓာတ်	ရေသည် အရေးကြီးသော ပစ္စည်းဓာတ်တစ်မျိုး ဖြစ်သည်။
雾	မြူ	မနက်ပိုင်းတွင် မြူထူထပ်ခဲ့သည်။
吸取	သင်ခန်းစာယူသည်	ကျွန်ုပ်တို့ ဒီသင်ခန်းစာမှ သင်ခန်းစာယူသင့်သည်။
吸收	စုပ်ယူသည်	အပင်များသည် ရေကို စုပ်ယူသည်။
戏剧	ပြဇာတ်	သူသည် ရိုးရာပြဇာတ် ကြည့်ရတာကို နှစ်သက်သည်။
系	ဌာန	သူမသည် တရုတ်ဘာသာဌာနတွင် ပညာသင်ယူသည်။
系统	စနစ်	ဒီစနစ်သည် တည်ငြိမ်စွာ လည်ပတ်သည်။
细节	အသေးစိတ်	ကျေးဇူးပြု၍ ဒီအသေးစိတ်များကို ဂရုပြုပါ။
瞎	ကန်းကန်း; အလွတ်သဘော	အလွတ်သဘော မခန့်မှန်းပါနှင့်၊ အချက်အလက်များကို အရင်ကြည့်ပါ။
下载	ဒေါင်းလုဒ်လုပ်သည်	ကျွန်တော် ဒီဆော့ဝဲကို ဒေါင်းလုဒ်လုပ်ခဲ့သည်။
吓	လန့်စေသည်	ရုတ်တရက်ထွက်လာသော အသံက ကျွန်တော့်ကို လန့်စေခဲ့သည်။
夏令营	နွေရာသီစခန်း	ကလေးသည် တရုတ်ဘာသာ နွေရာသီစခန်းကို တက်ခဲ့သည်။
鲜艳	တောက်ပသော	ဒီစကတ်၏ အရောင်သည် အလွန်တောက်ပသည်။
显得	ပုံပေါက်စေသည်	ဒီအဝတ်အစားက သူ့ကို အလွန်နုပျိုပုံပေါက်စေသည်။
显然	သိသာထင်ရှားစွာ	သိသာထင်ရှားစွာ သူသည် ရလဒ်ကို သိပြီးသားဖြစ်သည်။
显示	ပြသသည်	ဖန်သားပြင်က မှားယွင်းသော အချိန်ကို ပြနေသည်။
县	ခရိုင်	ဒီခရိုင်တွင် လက်ဖက်စိုက်ခင်းများ အများကြီးရှိသည်။
现代	ခေတ်သစ်	ခေတ်သစ်ဘဝသည် အင်တာနက်နှင့် မကင်းနိုင်ပါ။
现实	အမှန်တကယ်အခြေအနေ	ကျွန်ုပ်တို့ အမှန်တကယ်အခြေအနေကို ရင်ဆိုင်ရမည်။
现象	ဖြစ်စဉ်	ဒီဖြစ်စဉ်သည် အလွန်တွေ့ရများသည်။
限制	ကန့်သတ်သည်	ဒီနေရာတွင် ယာဉ်ဝင်ရောက်မှုကို ကန့်သတ်ထားသည်။
相处	ပေါင်းသင်းဆက်ဆံသည်	သူတို့သည် အလွန်ကောင်းစွာ ပေါင်းသင်းဆက်ဆံကြသည်။
相当	အတော်လေး	ဒီစာအုပ်က အတော်လေး စိတ်ဝင်စားစရာကောင်းသည်။
相对	နှိုင်းယှဉ်လျှင်	ဒီနေရာ၏ စျေးနှုန်းများသည် နှိုင်းယှဉ်လျှင် စျေးသက်သာသည်။
相关	သက်ဆိုင်သော	ကျေးဇူးပြု၍ သက်ဆိုင်သော အချက်အလက်များ ပေးပါ။
相似	ဆင်တူသော	ဒီစာလုံးနှစ်လုံး၏ အဓိပ္ပာယ်များသည် အလွန်ဆင်တူသည်။
香肠	ဝက်အူချောင်း	မနက်စာအတွက် ကြက်ဥနှင့် ဝက်အူချောင်း ရှိသည်။
享受	ခံစားပျော်ရွှင်သည်	သူတို့သည် အားလပ်ရက်ကို ခံစားပျော်ရွှင်နေကြသည်။
想念	လွမ်းဆွတ်သည်	ကျွန်တော် မိသားစုကို အလွန်လွမ်းဆွတ်သည်။
想象	စိတ်ကူးသည်	ကျွန်တော် ထိုသို့သော ဘဝကို စိတ်ကူးမရပါ။
象棋	တရုတ်စစ်တုရင်	အဘိုးသည် တရုတ်စစ်တုရင် ကစားရတာကို နှစ်သက်သည်။
象征	သင်္ကေတပြုသည်	အဖြူရောင်သည် မကြာခဏ ဖြူစင်မှုကို သင်္ကေတပြုသည်။
项	အချက်; ခု	ဒီတာဝန်သည် အလွန်အရေးကြီးသည်။
项链	လည်ဆွဲ	သူမသည် ငွေရောင်လည်ဆွဲတစ်ခု ဝတ်ထားသည်။
项目	စီမံကိန်း	ဒီစီမံကိန်းသည် သုံးလလိုအပ်သည်။
消费	စားသုံးမှု	အားလပ်ရက်အတွင်း စားသုံးမှု တိုးလာသည်။
消化	ချေဖျက်သည်	အစာစားပြီးနောက် လမ်းလျှောက်ခြင်းသည် အစာချေဖျက်မှုကို ကူညီသည်။
消极	အနုတ်လက္ခဏာဆန်သော	ပြဿနာများကို အနုတ်လက္ခဏာဆန်သော သဘောထားဖြင့် မကြည့်ပါနှင့်။
消失	ပျောက်ကွယ်သည်	နေသည် တောင်နောက်ကွယ်တွင် ဖြည်းဖြည်းချင်း ပျောက်ကွယ်သွားသည်။
销售	ရောင်းချသည်	ဒီကုမ္ပဏီသည် အီလက်ထရွန်းနစ်ပစ္စည်းများ ရောင်းချသည်။
小麦	ဂျုံ	မြောက်ပိုင်းတွင် ဂျုံ အများကြီး စိုက်ပျိုးသည်။
小气	ကပ်စေးနဲသော	ဒီလောက် ကပ်စေးမနဲပါနှင့်။
孝顺	မိဘကိုရိုသေပြုစုသော	သူသည် မိဘများအပေါ် အလွန်ရိုသေပြုစုသည်။
效率	ထိရောက်မှု	ဒီလိုလုပ်ခြင်းက ထိရောက်မှုကို မြှင့်တင်နိုင်သည်။
歇	ခဏနားသည်	ကျွန်ုပ်တို့ အရင် ခဏနားကြရအောင်။
斜	စောင်းသော	ဒီလမ်းသည် နည်းနည်းစောင်းနေသည်။
写作	ရေးသားခြင်း	ရေးသားခြင်းသည် ရေရှည်လေ့ကျင့်မှု လိုအပ်သည်။
心理	စိတ်ပိုင်းဆိုင်ရာ	စာမေးပွဲမတိုင်မီ သင်၏ စိတ်ပိုင်းအခြေအနေကို ညှိရန် လိုသည်။
心脏	နှလုံး	နှလုံးကျန်းမာရေးသည် အလွန်အရေးကြီးသည်။
欣赏	ကြည့်ရှုခံစားသည်	ကျွန်ုပ်တို့ လှပသော ရှုခင်းကို ကြည့်ရှုခံစားခဲ့ကြသည်။
信号	အချက်ပြလှိုင်း	ဒီနေရာတွင် မိုဘိုင်းဖုန်းအချက်ပြလှိုင်း မကောင်းပါ။
信任	ယုံကြည်မှု	မိတ်ဆွေများအကြား ယုံကြည်မှု လိုအပ်သည်။
形成	ဖြစ်ပေါ်လာသည်	ကောင်းသော အကျင့်များသည် ဖြည်းဖြည်းချင်း ဖြစ်ပေါ်လာရန် လိုသည်။
形容	ဖော်ပြသည်	ဒီခံစားချက်ကို ဘယ်လိုဖော်ပြရမည် မသိပါ။
形势	အခြေအနေ	လက်ရှိအခြေအနေသည် အတော်လေး ရှုပ်ထွေးသည်။
形式	ပုံစံ	အစည်းအဝေးသည် အွန်လိုင်းပုံစံဖြင့် ပြုလုပ်နိုင်သည်။
形象	ပုံရိပ်	သူ၏ လူထုပုံရိပ်သည် အလွန်ကောင်းသည်။
形状	ပုံသဏ္ဍာန်	ဒီသေတ္တာ၏ ပုံသဏ္ဍာန်သည် အလွန်ထူးခြားသည်။
行动	လုပ်ဆောင်မှု	ကျွန်ုပ်တို့ ချက်ချင်းလုပ်ဆောင်မှုယူရန် လိုသည်။
行人	လမ်းသွားလမ်းလာ	လမ်းဖြတ်ကူးသောအခါ လမ်းသွားလမ်းလာများကို ဂရုစိုက်ပါ။
行为	အပြုအမူ	ဒီလိုအပြုအမူသည် မယဉ်ကျေးပါ။
幸亏	ကံကောင်းစွာ	ကံကောင်းစွာ သင် ကျွန်တော့်ကို သတိပေးခဲ့သည်။
幸运	ကံကောင်းသော	သူသည် အလုပ်တစ်ခု ရှာတွေ့နိုင်၍ ကံကောင်းခဲ့သည်။
性质	သဘောသဘာဝ	ဒီပြဿနာ၏ သဘောသဘာဝသည် အလွန်လေးနက်သည်။
兄弟	ညီအစ်ကို	ညီအစ်ကိုနှစ်ယောက်၏ ဆက်ဆံရေး ကောင်းသည်။
胸	ရင်ဘတ်	သူ့ရင်ဘတ် နည်းနည်းတင်းနေသည်။
休闲	အပန်းဖြေ	စနေတနင်္ဂနွေသည် အပန်းဖြေရန် ကောင်းသောအချိန် ဖြစ်သည်။
修改	ပြင်ဆင်သည်	ကျေးဇူးပြု၍ ဒီဆောင်းပါးကို ပြင်ဆင်ပါ။
虚心	နှိမ့်ချသော	ကျွန်ုပ်တို့ အကြံပြုချက်များကို နှိမ့်ချစွာ နားထောင်သင့်သည်။
叙述	ပြန်ပြောပြသည်	သူသည် ဖြစ်ပျက်ခဲ့သော အရာကို ရှင်းလင်းစွာ ပြန်ပြောပြခဲ့သည်။
宣布	ကြေညာသည်	ကျောင်းသည် စည်းမျဉ်းအသစ်များကို ကြေညာခဲ့သည်။
宣传	ပညာပေးဖြန့်ဝေသည်	သူတို့သည် ပတ်ဝန်းကျင်ထိန်းသိမ်းရေးအသိပညာကို ပညာပေးဖြန့်ဝေနေကြသည်။
学历	ပညာအရည်အချင်း	ဒီအလုပ်သည် ဘွဲ့ကြိုပညာအရည်အချင်း လိုအပ်သည်။
学术	ပညာရပ်ဆိုင်ရာ	ဒီအစည်းအဝေးသည် ပညာရပ်ဆိုင်ရာ ပြဿနာများကို ဆွေးနွေးသည်။
学问	ပညာဗဟုသုတ	သူသည် ပညာဗဟုသုတ အလွန်ကြွယ်ဝသည်။
血	သွေး	သူ့လက်မှ သွေးနည်းနည်း ထွက်လာသည်။
寻找	ရှာဖွေသည်	ကျွန်ုပ်တို့ နည်းလမ်းအသစ်တစ်ခုကို ရှာဖွေနေကြသည်။
询问	မေးမြန်းသည်	သူသည် စာမေးပွဲအချိန်ကို ဆရာထံ မေးမြန်းခဲ့သည်။
训练	လေ့ကျင့်သည်	အားကစားသမားသည် နေ့တိုင်း လေ့ကျင့်သည်။
迅速	မြန်ဆန်သော	သတင်းသည် မြန်မြန်ဆန်ဆန် ပျံ့နှံ့သွားသည်။
押金	အာမခံငွေ	နေရာငှားရာတွင် အာမခံငွေ ပေးရန် လိုသည်။
牙齿	သွား	ကျေးဇူးပြု၍ သင်၏ သွားများကို နေ့တိုင်း ကောင်းကောင်းဂရုစိုက်ပါ။
严肃	တည်ကြည်သော	ဆရာ၏ မျက်နှာထားသည် အလွန်တည်ကြည်သည်။
延长	တိုးချဲ့သည်; ရှည်စေသည်	အစည်းအဝေးကို နာရီဝက် တိုးချဲ့ခဲ့သည်။
演讲	မိန့်ခွန်း	သူသည် မနက်ဖြန် မိန့်ခွန်းအတွက် ပြင်ဆင်နေသည်။
宴会	ဧည့်ခံပွဲ	သူတို့သည် ဧည့်ခံပွဲတစ်ခုကို တက်ရောက်ခဲ့ကြသည်။
阳台	လသာဆောင်	လသာဆောင်ပေါ်မှာ ပန်းအိုးအနည်းငယ်ရှိသည်။
痒	ယားသည်	ကျွန်တော့် လက်မောင်း နည်းနည်းယားနေသည်။
样式	ပုံစံ	ဒီပုံစံသည် အလွန်ခေတ်စားနေသည်။
腰	ခါး	အချိန်ကြာကြာ ထိုင်လျှင် ခါးနာနိုင်သည်။
摇	လှုပ်သည်	လေက သစ်ကိုင်းများကို ဟိုဘက်ဒီဘက် လှုပ်စေခဲ့သည်။
咬	ကိုက်သည်	ဒီခွေးသည် လူကို မကိုက်ပါ။
要不	မဟုတ်ရင်; ဒါဆို	ဒါဆို ကျွန်ုပ်တို့ မနက်ဖြန် ထပ်သွားရင် ဘယ်လိုလဲ။
业务	လုပ်ငန်း	ကုမ္ပဏီ၏ လုပ်ငန်း တိုးတက်နေသည်။
业余	အားလပ်ချိန်	သူသည် အားလပ်ချိန်တွင် ဓာတ်ပုံပညာကို သင်ယူသည်။
夜	ည	ညဘက်တွင် လမ်းသည် အလွန်တိတ်ဆိတ်သည်။
依然	ဆက်လက်၍; ယခင်အတိုင်း	သူသည် ယခင်အတိုင်း ပေကျင်းတွင် နေထိုင်နေဆဲ ဖြစ်သည်။
一辈子	တစ်သက်တာ	သူမသည် တစ်သက်တာလုံး ဂီတကို ချစ်မြတ်နိုးခဲ့သည်။
一旦	တစ်ခါဖြစ်လျှင်; ပြီးသည်နှင့်	ဆုံးဖြတ်ပြီးသည်နှင့် ဆက်လက်ကြိုးစားသင့်သည်။
一律	အားလုံးတပြေးညီ	အစည်းအဝေးအတွင်း ဖုန်းအားလုံးကို ပိတ်ထားရမည်။
一再	ထပ်ခါတလဲလဲ	သူသည် လုံခြုံရေးကို ဂရုပြုရန် ကျွန်ုပ်တို့ကို ထပ်ခါတလဲလဲ သတိပေးခဲ့သည်။
一致	တစ်ညီတစ်ညွတ်တည်း	လူတိုင်း၏ အမြင်များသည် လုံးဝတစ်ညီတစ်ညွတ်တည်း ဖြစ်သည်။
疑问	သံသယမေးခွန်း	ဒီအဖြေနှင့်ပတ်သက်၍ ကျွန်တော့်မှာ သံသယမေးခွန်းတစ်ခုရှိသည်။
移动	ရွှေ့သည်	ကျေးဇူးပြု၍ စားပွဲကို နည်းနည်းရွှေ့ပါ။
移民	နိုင်ငံပြောင်းရွှေ့နေထိုင်သည်	သူတို့သည် ပြည်ပသို့ နိုင်ငံပြောင်းရွှေ့နေထိုင်ရန် စီစဉ်နေကြသည်။
遗憾	ဝမ်းနည်းစရာ; စိတ်မကောင်းခြင်း	သင့်ကို မတွေ့နိုင်ခဲ့တာ စိတ်မကောင်းပါ။
乙	ဘီဘက်; ဒုတိယဘက်	စာချုပ်တွင် ဘီဘက်သည် ငွေပေးချေရန် တာဝန်ရှိသည်။
以及	နှင့်; ထို့အပြင်	ကျွန်တော် စာအုပ်များနှင့် စာရေးကိရိယာများ ဝယ်ခဲ့သည်။
以来	မှစ၍	ဘွဲ့ရပြီးမှစ၍ သူသည် ပေကျင်းတွင် အလုပ်လုပ်နေသည်။
义务	တာဝန်	ပတ်ဝန်းကျင်ကို ကာကွယ်ခြင်းသည် လူတိုင်း၏ တာဝန် ဖြစ်သည်။
亿	ကုဋေ; သန်းတစ်ရာ	ဒီနိုင်ငံ၏ လူဦးရေသည် တစ်ဘီလီယံကျော်ရှိသည်။
意外	မမျှော်လင့်ထားသော	ဒီတစ်ခါ နောက်ကျခြင်းသည် လုံးဝ မမျှော်လင့်ထားသောအရာ ဖြစ်သည်။
意义	အဓိပ္ပာယ်	ဒီအခမ်းအနားသည် အလွန်အဓိပ္ပာယ်ရှိသည်။
议论	ဆွေးနွေးပြောဆိုသည်	လူတိုင်း ဒီကိစ္စကို ဆွေးနွေးပြောဆိုနေကြသည်။
因而	ထို့ကြောင့်	သူသည် ကြိုးစားလေ့လာသောကြောင့် ထို့ကြောင့် အမှတ်များ ကောင်းသည်။
因素	အကြောင်းရင်း	ရာသီဥတုသည် အရေးကြီးသော အကြောင်းရင်းတစ်ခု ဖြစ်သည်။
银	ငွေ	သူမသည် ငွေလက်ကောက်တစ်ခု ဝတ်ထားသည်။
印刷	ပုံနှိပ်ခြင်း	ဒီစာအုပ်ကို အလွန်ရှင်းလင်းစွာ ပုံနှိပ်ထားသည်။
英俊	ချောမောသော	သူသည် အလွန်ချောမောသည်။
英雄	သူရဲကောင်း	မီးသတ်သမားများသည် တကယ့်သူရဲကောင်းများ ဖြစ်ကြသည်။
营养	အာဟာရ	မနက်စာတွင် လုံလောက်သော အာဟာရ ရှိသင့်သည်။
营业	လုပ်ငန်းဖွင့်သည်	ဒီဆိုင်သည် ကိုးနာရီတွင် လုပ်ငန်းစတင်ဖွင့်သည်။
迎接	ကြိုဆိုသည်	ကျွန်ုပ်တို့ ဧည့်သည်များကို ကြိုဆိုရန် လေဆိပ်သို့ သွားခဲ့သည်။
影子	အရိပ်	သူ၏ အရိပ်သည် လမ်းမီးအောက်တွင် ရှိသည်။
应付	ကိုင်တွယ်ဖြေရှင်းသည်	သူသည် ဒီပြဿနာကို ကိုင်တွယ်ဖြေရှင်းနိုင်သည်။
应用	အသုံးချသည်	ဒီနည်းလမ်းကို သင်ကြားရေးတွင် အသုံးချနိုင်သည်။
硬	မာသော	ဒီကုလားထိုင်သည် အလွန်မာသည်။
硬件	ဟာ့ဒ်ဝဲ	ဒီကွန်ပျူတာ၏ ဟာ့ဒ်ဝဲ ကောင်းသည်။
拥抱	ဖက်သည်	ကလေးသည် အမေကို ဖက်ရန် ပြေးလာသည်။
拥挤	ကျပ်သိပ်သော	မနက်အလုပ်သွားချိန်တွင် မြေအောက်ရထား အလွန်ကျပ်သိပ်သည်။
勇气	သတ္တိ	သူသည် မိမိအမှားကို ဝန်ခံရန် သတ္တိရှိသည်။
用功	ကြိုးစားလေ့လာသည်	သူမသည် အလွန်ကြိုးစားလေ့လာသည်။
用途	အသုံးပြုရာ	ဒီပစ္စည်းတွင် အသုံးပြုရာများစွာ ရှိသည်။
优惠	လျှော့စျေး; အထူးအခွင့်အရေး	ဒီဆိုင်မှာ ဒီနေ့ လျှော့စျေးရှိသည်။
优美	လှပသော	ဒီနေရာ၏ ပတ်ဝန်းကျင်သည် အလွန်လှပသည်။
优势	အားသာချက်	သူ၏ အားသာချက်မှာ အတွေ့အကြုံကြွယ်ဝခြင်း ဖြစ်သည်။
悠久	ရှည်လျားသော	တရုတ်နိုင်ငံတွင် ရှည်လျားသော သမိုင်းရှိသည်။
油炸	ဆီကြော်သော	ကျွန်တော် ဆီကြော်အစားအစာကို ရှားရှားပါးပါး စားသည်။
游览	လှည့်လည်ကြည့်ရှုသည်	ကျွန်ုပ်တို့ မနက်ဖြန် တားမြစ်နန်းတော်ကို လှည့်လည်ကြည့်ရှုမည်။
犹豫	တွေဝေသည်	သူသည် မဖြေမီ ခဏတာ တွေဝေခဲ့သည်။
有利	အကျိုးရှိသော	ဒီအခြေအနေသည် ကျွန်ုပ်တို့အတွက် အကျိုးရှိသည်။
幼儿园	မူကြိုကျောင်း	ကလေးသည် နောက်နှစ် မူကြိုကျောင်း တက်မည်။
娱乐	ဖျော်ဖြေရေး	ရုပ်ရှင်ကြည့်ခြင်းသည် ဖျော်ဖြေရေးတစ်မျိုး ဖြစ်သည်။
与其	ထက်; အစား	ညည်းညူနေမည့်အစား လုပ်ဆောင်ခြင်းက ပိုကောင်းသည်။
语气	လေသံ	သူ၏ စကားပြောလေသံသည် အလွန်နူးညံ့သည်။
玉米	ပြောင်းဖူး	ညစာအတွက် ပြောင်းဖူးဟင်းချို ရှိသည်။
预报	ခန့်မှန်းချက်	မိုးလေဝသခန့်မှန်းချက်က မနက်ဖြန် မိုးရွာမည်ဟု ဆိုသည်။
预订	ကြိုတင်မှာယူသည်	ကျွန်တော် ဟိုတယ်ကို ကြိုတင်မှာယူပြီးပြီ။
预防	ကာကွယ်သည်	လက်ကို မကြာခဏ ဆေးခြင်းသည် အအေးမိခြင်းကို ကာကွယ်နိုင်သည်။
元旦	နှစ်သစ်ကူးနေ့	နှစ်သစ်ကူးနေ့တွင် ကျွန်ုပ်တို့ တစ်ရက် အနားရသည်။
原料	ကုန်ကြမ်း	ပေါင်မုန့်၏ အဓိကကုန်ကြမ်းမှာ ဂျုံမှုန့် ဖြစ်သည်။
原则	မူ	လူတစ်ယောက်တွင် မူများ ရှိသင့်သည်။
员工	ဝန်ထမ်း	ကုမ္ပဏီတွင် ဝန်ထမ်း သုံးရာရှိသည်။
圆	ဝိုင်းသော	လသည် ကြီးပြီး ဝိုင်းနေသည်။
愿望	ဆန္ဒ	သူ၏ ဆန္ဒမှာ ကမ္ဘာတစ်ဝှမ်း ခရီးသွားရန် ဖြစ်သည်။
乐器	တူရိယာ	သူမသည် တူရိယာအမျိုးမျိုးကို တီးနိုင်သည်။
晕	မူးဝေသည်	လှေစီးသောအခါ ကျွန်တော် နည်းနည်းမူးဝေသည်။
运气	ကံ	ဒီနေ့ ကျွန်တော့်ကံ ကောင်းသည်။
运输	သယ်ယူပို့ဆောင်ရေး	ဒီကုန်ပစ္စည်းများသည် ရထားသယ်ယူပို့ဆောင်ရေး လိုအပ်သည်။
运用	အသုံးပြုသည်	ကျေးဇူးပြု၍ ဒီစကားလုံးများကို လိုက်လျောညီထွေ အသုံးပြုပါ။
灾害	ဘေးအန္တရာယ်	ရေကြီးခြင်းသည် သဘာဝဘေးအန္တရာယ်တစ်မျိုး ဖြစ်သည်။
再三	ထပ်ခါထပ်ခါ	ဆရာသည် ပြန်လည်လေ့လာရန် ကျွန်ုပ်တို့ကို ထပ်ခါထပ်ခါ သတိပေးခဲ့သည်။
在乎	အလေးထားသည်	သူသည် မိတ်ဆွေများ၏ အမြင်များကို အလွန်အလေးထားသည်။
在于	တွင်တည်သည်	အောင်မြင်မှုသည် ဇွဲရှိမှုတွင် တည်သည်။
赞成	သဘောတူသည်	သင်၏ အကြံပြုချက်ကို ကျွန်တော် သဘောတူသည်။
赞美	ချီးကျူးသည်	လူတိုင်း သူမ၏ သတ္တိကို ချီးကျူးကြသည်။
糟糕	ဆိုးရွားသော	ဒီနေ့ ရာသီဥတုက တကယ်ဆိုးရွားသည်။
造成	ဖြစ်စေသည်	မိုးကြီးခြင်းက ယာဉ်ကြောပိတ်ဆို့မှု ဖြစ်စေခဲ့သည်။
则	လျှင်	ကြိုးစားလျှင် တိုးတက်မှု ရှိလိမ့်မည်။
责备	အပြစ်တင်သည်	ဆရာသည် သူ့ကို အပြစ်မတင်ခဲ့ပါ။
摘	ခူးသည်	သူမသည် ဥယျာဉ်ထဲမှာ ပန်းတစ်ပွင့် ခူးခဲ့သည်။
窄	ကျဉ်းသော	ဒီလမ်းသည် အလွန်ကျဉ်းသည်။
粘贴	ကပ်သည်	ကျေးဇူးပြု၍ ဓာတ်ပုံကို ဒီနေရာတွင် ကပ်ပါ။
展开	စတင်ဖွင့်လှစ်သည်	ဆွေးနွေးမှုသည် မြန်မြန်စတင်ခဲ့သည်။
展览	ပြပွဲ	ပြတိုက်တွင် ပြပွဲအသစ်တစ်ခု ရှိသည်။
占	နေရာယူသည်	ဒီစားပွဲသည် နေရာယူသည်။
战争	စစ်ပွဲ	စစ်ပွဲသည် လူများကို ဒုက္ခပေးသည်။
掌握	ကျွမ်းကျင်ပိုင်နိုင်သည်	သူသည် အခြေခံသဒ္ဒါကို ကျွမ်းကျင်ပိုင်နိုင်ပြီးပြီ။
涨	တက်သည်	မကြာသေးမီက အိမ်ငှားခ ထပ်တက်သွားသည်။
长辈	လူကြီးမိဘ	နှစ်သစ်ကူးအချိန်တွင် လူကြီးမိဘများကို နှုတ်ဆက်သင့်သည်။
账户	အကောင့်	ကျေးဇူးပြု၍ သင်၏ ဘဏ်အကောင့်ကို စစ်ဆေးပါ။
招待	ဧည့်ခံသည်	အိမ်ရှင်သည် ဧည့်သည်များကို နွေးထွေးစွာ ဧည့်ခံခဲ့သည်။
着火	မီးလောင်သည်	မီးဖိုချောင်တွင် ရုတ်တရက် မီးလောင်သွားသည်။
着凉	အအေးမိသည်	ရာသီဥတုအေးသည်၊ အအေးမမိပါစေနှင့်။
召开	ကျင်းပသည်	ကျောင်းသည် မနက်ဖြန် အစည်းအဝေး ကျင်းပမည်။
照常	ပုံမှန်အတိုင်း	ဆိုင်သည် မနက်ဖြန် ပုံမှန်အတိုင်း ဖွင့်မည်။
哲学	ဒဿနိကဗေဒ	သူသည် တက္ကသိုလ်တွင် ဒဿနိကဗေဒကို လေ့လာခဲ့သည်။
珍惜	တန်ဖိုးထားသည်	ကျွန်ုပ်တို့ အချိန်ကို တန်ဖိုးထားသင့်သည်။
真实	အမှန်တကယ်ဖြစ်သော	ဒီပုံပြင်သည် အမှန်တကယ်ဖြစ်သည်။
针对	ရည်ရွယ်၍	ဒီအကြံပြုချက်သည် ကျောင်းသားအသစ်များအတွက် ရည်ရွယ်သည်။
诊断	ရောဂါရှာဖွေသတ်မှတ်ခြင်း	ဆရာဝန်သည် လျင်မြန်စွာ ရောဂါရှာဖွေသတ်မှတ်ခဲ့သည်။
振动	တုန်ခါသည်	ဖုန်းသည် စားပွဲပေါ်တွင် တုန်ခါနေသည်။
阵	ခဏတဖြုတ်	အပြင်မှာ ခဏတဖြုတ် မိုးရွာသွားသည်။
争论	ငြင်းခုံသည်	သူတို့သည် ဒီပြဿနာအကြောင်း အချိန်ကြာကြာ ငြင်းခုံခဲ့ကြသည်။
争取	ကြိုးစားရယူသည်	ကျွန်ုပ်တို့ အခွင့်အလမ်းများ ပိုရရန် ကြိုးစားရယူသင့်သည်။
征求	တောင်းခံသည်	ဆရာသည် လူတိုင်းထံမှ အမြင်များ တောင်းခံခဲ့သည်။
挣	ရုန်းထွက်သည်; ဝင်ငွေရသည်	ငှက်သည် ကြိုးမှ ရုန်းထွက်သွားသည်။
睁	ဖွင့်သည်	ကျေးဇူးပြု၍ မျက်လုံးကို နည်းနည်းပိုကျယ်အောင် ဖွင့်ပါ။
整个	တစ်ခုလုံး	မြို့တစ်ခုလုံး အလွန်တိတ်ဆိတ်သည်။
整齐	သပ်ရပ်သော	စာအုပ်များကို အလွန်သပ်ရပ်စွာ စီထားသည်။
整体	အလုံးစုံ	ကျွန်ုပ်တို့ အလုံးစုံသက်ရောက်မှုကို စဉ်းစားရန် လိုသည်။
政府	အစိုးရ	အစိုးရသည် အသိပေးချက်အသစ်တစ်ခု ထုတ်ပြန်ခဲ့သည်။
政治	နိုင်ငံရေး	သူသည် နိုင်ငံရေးကို အလွန်စိတ်ဝင်စားသည်။
正	မှန်သော	ဒီအဖြေသည် မှန်သည်။
证件	အထောက်အထားစာရွက်စာတမ်း	ကျေးဇူးပြု၍ သင်၏ အထောက်အထားစာရွက်စာတမ်းကို ပြပါ။
证据	သက်သေ	ရဲများသည် သက်သေအသစ်ကို တွေ့ရှိခဲ့သည်။
支	ချောင်း; ခု	စားပွဲပေါ်မှာ ဘောပင်တစ်ချောင်းရှိသည်။
支票	ချက်လက်မှတ်	သူသည် ချက်လက်မှတ်ဖြင့် ငွေပေးခဲ့သည်။
执照	လိုင်စင်	ကားမောင်းရန် ယာဉ်မောင်းလိုင်စင် လိုအပ်သည်။
直	တည့်တည့်	ဒီလမ်းအတိုင်း တည့်တည့်သွားပါ။
指导	လမ်းညွှန်သည်	ဆရာသည် စာတမ်းရေးရာတွင် ကျွန်ုပ်တို့ကို လမ်းညွှန်ခဲ့သည်။
指挥	ညွှန်ကြားသည်	သူသည် ဒီလုပ်ဆောင်မှုကို ညွှန်ကြားရန် တာဝန်ရှိသည်။
制定	ရေးဆွဲသည်	ကုမ္ပဏီသည် အစီအစဉ်အသစ်တစ်ခု ရေးဆွဲခဲ့သည်။
制度	စနစ်	ကျောင်းတွင် တင်းကျပ်သော စနစ်ရှိသည်။
制造	ထုတ်လုပ်သည်	ဒီစက်ရုံသည် စက်များ ထုတ်လုပ်သည်။
制作	ပြုလုပ်သည်	သူမသည် မွေးနေ့ကိတ်မုန့် ပြုလုပ်နေသည်။
志愿者	စေတနာ့ဝန်ထမ်း	စေတနာ့ဝန်ထမ်းများစွာသည် အခမ်းအနားတွင် ပါဝင်ခဲ့ကြသည်။
智慧	ဉာဏ်ပညာ	ဒီအသက်ကြီးသူတွင် ကြီးမားသော ဉာဏ်ပညာရှိသည်။
