simplified	ES-419	example_ES-419
威风	imponente; majestuoso	El general se veía muy imponente montado a caballo.
威力	poder; fuerza	Esta arma tiene una fuerza enorme.
威望	prestigio	Él tiene mucho prestigio en la aldea.
威信	autoridad; credibilidad	Los líderes deben mantener la credibilidad del gobierno.
微不足道	insignificante	Esta pérdida es insignificante.
微观	microscópico; microeconómico	Este curso presenta economía microeconómica.
为难	poner en apuros; dificultar	No pongas más en apuros al mesero.
为期	durar; con duración de	La capacitación dura tres meses.
唯独	solo; únicamente	Todos llegaron, solo él no vino.
维持	mantener; preservar	La policía mantiene el orden en el lugar.
维护	defender; proteger	Debemos proteger nuestros derechos legales.
维生素	vitamina	La fruta contiene muchas vitaminas.
违背	violar; contradecir	Esta decisión contradice el espíritu del contrato.
伪造	falsificar; imitar	Alguien falsificó su firma.
委托	encargar; confiar	El cliente encargó el caso a un abogado.
委员	miembro del comité	Cada miembro del comité expresó su opinión.
卫星	satélite	El satélite entró en la órbita prevista.
喂	alimentar	El niño está alimentando al gatito.
慰问	visitar para consolar; expresar apoyo	El dirigente fue al hospital a expresar apoyo a los heridos.
未免	demasiado; un poco excesivo	Esta exigencia es demasiado alta.
畏惧	temer; tener miedo	Él nunca teme las dificultades.
蔚蓝	azul intenso; azul celeste	El cielo mostraba un color azul intenso.
温带	zona templada	Esta planta es adecuada para climas de zona templada.
温和	moderado; suave	Su postura política es bastante moderada.
文凭	título; diploma	Este trabajo exige un título universitario.
文物	reliquia cultural	El museo exhibió reliquias culturales valiosas.
文献	bibliografía; documento académico	El artículo cita mucha bibliografía.
文雅	elegante; refinado	Ella tiene modales elegantes.
文艺	literatura y arte	Esta ciudad tiene un ambiente literario y artístico muy fuerte.
问世	publicarse; salir al mercado	Este celular saldrá pronto al mercado.
窝	nido; refugio	Hay un nido de pájaros en el árbol.
乌黑	negro brillante	Ella tiene una larga cabellera negra y brillante.
污蔑	calumniar; difamar	Él negó haber calumniado a su competidor.
诬陷	incriminar; acusar falsamente	Las pruebas muestran que fue acusado falsamente.
无比	incomparablemente; sumamente	Al oír la noticia, se sintió sumamente emocionado.
无偿	gratuito; sin pago	Los voluntarios ofrecen servicios gratuitos.
无耻	desvergonzado	Este engaño es realmente desvergonzado.
无动于衷	indiferente	Frente a las críticas, él permaneció indiferente.
无非	no es más que; simplemente	Él lo hizo simplemente para ahorrar dinero.
无辜	inocente	El tribunal determinó que era inocente.
无精打采	desanimado; sin energía	Hoy parece muy desanimado.
无赖	matón; canalla	Los aldeanos no querían tratar con aquel canalla.
无理取闹	armar lío sin razón	Por favor, no armes lío sin razón aquí.
无能为力	no poder hacer nada; impotente	Ante la inundación, los aldeanos no podían hacer nada.
无穷无尽	interminable; sin fin	El desierto parecía interminable.
无微不至	meticuloso; con todo detalle	La enfermera cuidó al paciente con todo detalle.
无忧无虑	sin preocupaciones	Los niños jugaban sin preocupaciones en el pasto.
无知	ignorancia	La ignorancia no es una razón para rechazar el aprendizaje.
侮辱	insultar; humillar	Sus palabras humillaron a la otra parte.
武器	arma; armamento	Estas armas se guardan de forma centralizada.
武侠	caballería marcial; artes marciales heroicas	Desde pequeño le gustan las novelas de artes marciales heroicas.
武装	armar; patrulla armada	La zona fronteriza reforzó las patrullas armadas.
舞蹈	danza; baile	Esta danza tiene rasgos nacionales muy marcados.
务必	asegurarse de; sin falta	Por favor, asegúrate de llegar a tiempo.
物美价廉	buena calidad y buen precio	Los productos de esta tienda tienen buena calidad y buen precio.
物业	administración de propiedades; gestión inmobiliaria	La administración de la comunidad se encarga de las reparaciones.
物资	suministros; materiales	Los suministros de rescate ya llegaron a la zona afectada.
误差	error; margen de error	El resultado de la medición tiene un pequeño margen de error.
误解	malentendido; malinterpretar	Las dos partes eliminaron el malentendido mediante la comunicación.
夕阳	atardecer; sol poniente	El atardecer tiñó el cielo de dorado.
昔日	antiguo; de otros tiempos	El pequeño pueblo de otros tiempos se convirtió en una ciudad.
溪	arroyo	El arroyo fluía entre las montañas.
熄灭	apagar; extinguirse	Por favor, apaga la vela.
牺牲	sacrificio; sacrificarse	Ellos hicieron un sacrificio para salvar a otros.
膝盖	rodilla	Él se lesionó la rodilla.
习俗	costumbre; tradición	La Fiesta de Primavera tiene muchas costumbres tradicionales.
媳妇	nuera; esposa joven	Su esposa trabaja en el hospital.
袭击	atacar; ataque	La tormenta atacó las ciudades costeras.
喜闻乐见	muy popular; del gusto del público	Este tipo de programa es muy popular entre los espectadores.
喜悦	alegría; gozo	En su rostro apareció una sonrisa de alegría.
系列	serie	La empresa lanzó una serie de nuevos productos.
细菌	bacteria; germen	La alta temperatura puede matar bacterias.
细胞	célula	El cuerpo humano está formado por innumerables células.
细致	detallado; cuidadoso	Su observación fue muy detallada.
峡谷	cañón; desfiladero	El río atraviesa un profundo cañón.
狭隘	estrecho; limitado	Este punto de vista limitado debe cambiar.
狭窄	estrecho	Este sendero es muy estrecho.
霞	nubes rojizas	El resplandor del atardecer tiñó el cielo de rojo.
下属	subordinado	El gerente escuchó atentamente las opiniones de sus subordinados.
先进	avanzado	La fábrica adoptó equipos avanzados.
先前	anterior; previamente	El plan anterior ya cambió.
掀起	levantar; desencadenar	Este libro desencadenó una ola de debate.
纤维	fibra	Esta tela contiene fibras naturales.
鲜明	claro; definido	Su postura es muy clara.
嫌	disgustar; considerar demasiado	Ella considera que la habitación es demasiado pequeña.
嫌疑	sospecha	Este hombre tiene una sospecha importante.
弦	cuerda	Se rompió una cuerda de la guitarra.
衔接	conectar; enlazar	Los contenidos de los dos cursos están bien conectados.
贤惠	virtuosa; capaz	Ella es considerada virtuosa y capaz.
闲话	chisme; comentario ocioso	No hables a espaldas de los demás.
显著	notable; significativo	El efecto del tratamiento fue muy significativo.
宪法	constitución	La constitución protege los derechos básicos de los ciudadanos.
现场	lugar de los hechos; escena	El periodista ya llegó al lugar del accidente.
现成	preparado; disponible	En la cocina hay comida ya preparada.
现状	situación actual	Necesitamos entender la situación actual del sector.
线索	pista; indicio	La policía encontró nuevas pistas.
陷害	incriminar; tender una trampa	Él afirma que alguien intentó incriminarlo.
陷阱	trampa	El cazador colocó una trampa.
陷入	caer en; quedar atrapado	La empresa cayó en dificultades financieras.
馅儿	relleno	El relleno de este bollo es muy aromático.
乡镇	pueblo; municipio rural	Las condiciones de las escuelas de los pueblos están mejorando.
相差	diferir; diferencia	La temperatura de los dos lugares difiere en diez grados.
相等	igual; equivalente	Las áreas de los dos triángulos son iguales.
相辅相成	complementarse	La teoría y la práctica se complementan.
相应	correspondiente; adecuado	La empresa tomará las medidas correspondientes.
镶嵌	incrustar; engastar	El anillo tiene una piedra preciosa engastada.
响亮	fuerte y claro	Su respuesta sonó fuerte y clara.
响应	responder; sumarse	Muchas personas respondieron a la iniciativa ambiental.
想方设法	buscar todos los medios	Ellos buscaron todos los medios para reducir costos.
向导	guía	Un guía local nos llevó a la montaña.
向来	siempre; desde siempre	Él siempre ha valorado la credibilidad.
向往	anhelar; aspirar a	Ella anhela una vida tranquila.
巷	callejón	En el viejo callejón abrieron muchas tiendas pequeñas.
相声	diálogo cómico tradicional	A mi abuelo le gusta escuchar diálogos cómicos tradicionales.
消除	eliminar; quitar	La comunicación puede eliminar malentendidos.
消毒	desinfectar; esterilizar	El médico desinfectó la herida.
消防	extinción de incendios; control de incendios	Los bomberos llegaron rápidamente al lugar.
消耗	consumir; gastar	Un viaje largo consume mucha energía física.
消灭	eliminar; exterminar	Los trabajadores están eliminando plagas.
潇洒	desenvuelto; elegante y libre	Él camina de una manera muy desenvuelta.
销毁	destruir; eliminar	La aduana destruyó los productos falsificados.
小心翼翼	con mucho cuidado; cautelosamente	Ella abrió la caja con mucho cuidado.
效益	beneficio; eficiencia	El nuevo equipo mejoró la eficiencia de producción.
肖像	retrato	Su retrato cuelga en la pared.
协会	asociación; sociedad	Esta asociación ayuda a jóvenes emprendedores.
协商	consultar; negociar	Ambas partes están dispuestas a seguir negociando.
协调	coordinar; armonizar	El gerente del proyecto se encarga de coordinar los recursos.
协议	acuerdo; pacto; protocolo	Las dos partes firmaron un acuerdo de cooperación.
协助	ayudar; asistir	Los voluntarios ayudaron a los ancianos a cruzar la calle.
携带	llevar; portar	Los pasajeros no pueden llevar artículos peligrosos.
屑	migaja; viruta	Hay muchas virutas de madera sobre la mesa.
泄露	filtrar; revelar	Los empleados no deben filtrar información de los clientes.
泄气	desanimarse; perder el ánimo	No te desanimes después de fracasar.
谢绝	rechazar cortésmente	El hotel rechaza cortésmente comida de fuera.
心得	experiencia adquirida; aprendizaje	Ella compartió lo aprendido durante sus estudios.
心甘情愿	de buena gana; completamente dispuesto	Él se quedó a ayudar de buena gana.
心灵	alma; espíritu	La música consoló su espíritu.
心态	actitud; mentalidad	Mantener una mentalidad positiva es muy importante.
心疼	sentir pena por; dolerle a uno	Ella sintió mucha pena por el niño herido.
心血	esfuerzo meticuloso; dedicación	Este libro reúne la dedicación del autor.
心眼儿	mentalidad; mezquindad	Él es un poco mezquino.
新陈代谢	metabolismo	El ejercicio puede estimular el metabolismo.
新郎	novio; esposo	El novio recibió a los invitados en la puerta.
新娘	novia; esposa	La novia llevaba un vestido de boda blanco.
新颖	novedoso; original	Este diseño es muy original.
欣慰	sentirse satisfecho; sentirse aliviado	Ver el progreso del niño la dejó muy satisfecha.
欣欣向荣	próspero; floreciente	El turismo del pueblo está prosperando.
薪水	salario; sueldo	Su salario es suficiente para mantener a la familia.
辛勤	trabajador; laborioso	Los agricultores trabajan duro para cultivar los campos.
信赖	confiar en; tener confianza	Los clientes confían mucho en esta empresa.
信念	creencia; convicción	Una firme convicción lo sostuvo.
信仰	fe; creencia	Ella respeta distintas creencias.
信誉	reputación; prestigio	Una empresa debe proteger su reputación.
兴高采烈	muy animado; eufórico	Los niños entraron corriendo al aula muy animados.
兴隆	próspero; floreciente	Este viejo negocio tiene ventas prósperas.
兴旺	próspero; prosperar	La economía de mercado se vuelve cada vez más próspera.
腥	olor a pescado; con sabor a pescado	Este pescado huele un poco fuerte.
刑事	penal; criminal	La policía está investigando un caso penal.
形态	forma; patrón	La forma de una planta cambia con el entorno.
行政	administración; administrativo	El departamento administrativo procesa las solicitudes.
兴致勃勃	con gran interés; entusiasmado	Todos hablaron del plan con gran interés.
性感	sensual; atractivo	Este vestido de noche se ve muy sensual.
性命	vida	El médico le salvó la vida.
性能	rendimiento; desempeño	Esta computadora tiene buen rendimiento.
凶恶	feroz; cruel	Este perro parece muy feroz.
凶手	asesino; agresor	La policía finalmente atrapó al asesino.
汹涌	turbulento; embravecido	Las olas embravecidas golpeaban la orilla.
胸怀	mente amplia; amplitud de miras	Él tiene una mente amplia.
胸膛	pecho	El soldado sacó pecho.
雄厚	fuerte y sólido; abundante	La empresa cuenta con abundantes recursos financieros.
雄伟	magnífico; imponente	Este puente es muy imponente.
修复	reparar; restaurar	Los ingenieros están reparando el sistema.
修建	construir	El gobierno planea construir un nuevo aeropuerto.
修养	cultivo personal; formación	La buena formación se ve en los detalles.
羞耻	vergüenza	Sintió vergüenza después de mentir.
嗅觉	olfato	El olfato de un perro es muy agudo.
绣	bordar	La abuela sabe bordar flores.
虚假	falso; engañoso	El sitio web publicó información falsa.
虚荣	vanidad	La vanidad hizo que gastara demasiado dinero.
虚伪	hipócrita; falso	A ella no le gustan las cortesías hipócritas.
需求	demanda; necesidad	La demanda del mercado está aumentando.
须知	instrucciones; información necesaria	Lee primero las instrucciones de inscripción.
许可	permitir; permiso	No se puede entrar sin permiso.
序言	prólogo; prefacio	El autor explica el contexto en el prólogo.
畜牧	cría de animales; ganadería	La pradera es adecuada para desarrollar la ganadería.
酗酒	beber en exceso; alcoholismo	Beber en exceso durante mucho tiempo daña la salud.
喧哗	ruido; alboroto	Está prohibido hacer ruido en la biblioteca.
宣誓	jurar; prestar juramento	Los nuevos miembros prestaron juramento en la reunión.
宣扬	promover; difundir	La escuela promueve la honestidad y la confianza.
悬挂	colgar; suspender	Hay un cuadro colgado en la pared.
悬念	suspenso; incertidumbre	El final de la película deja suspenso.
悬殊	gran diferencia; disparidad	La diferencia de fuerza entre los dos equipos es enorme.
悬崖峭壁	acantilados escarpados	Junto al camino de montaña hay acantilados escarpados.
旋律	melodía; ritmo	Esta canción tiene una melodía hermosa.
旋转	girar; rotar	El molino de viento gira con el viento.
选拔	seleccionar a los mejores	La escuela está seleccionando atletas.
选举	elección; elegir	En el pueblo se celebraron elecciones.
选手	concursante; atleta	Este concursante tuvo un desempeño estable.
炫耀	presumir; alardear	A él siempre le gusta presumir de su riqueza.
削	recortar; reducir	La empresa recortó algunos gastos.
削弱	debilitar	La fatiga debilita el juicio.
学说	teoría; doctrina	Esta teoría tiene gran influencia.
学位	título académico	Ella obtuvo una maestría.
雪上加霜	empeorar las cosas; una desgracia tras otra	Perder el trabajo y enfermarse empeoró mucho la situación.
血压	presión arterial	El médico le recordó que controlara la presión arterial.
熏陶	influencia formativa; educar por influencia	Ella recibió influencia musical desde pequeña.
寻觅	buscar	Ellos buscaron por todas partes una vivienda adecuada.
巡逻	patrullar	La policía patrulla las calles por la noche.
循环	circular; ciclo	El agua circula dentro del sistema.
循序渐进	paso a paso; de forma gradual	El aprendizaje de idiomas debe avanzar paso a paso.
压迫	oprimir; reprimir	El viejo sistema oprimía a la gente común.
压岁钱	dinero de Año Nuevo para niños	El niño recibió dinero de Año Nuevo.
压缩	comprimir; compresión	El software puede comprimir el tamaño de las imágenes.
压抑	reprimir; opresivo	Él intentó reprimir su ira interior.
压榨	exprimir; explotar	La máquina está exprimiendo jugo de caña de azúcar.
压制	suprimir; contener	La medicina puede contener el dolor.
鸦雀无声	silencio absoluto	Cuando entró el profesor, el aula quedó en silencio absoluto.
亚军	subcampeón; segundo lugar	Ella obtuvo el segundo lugar en la competencia.
淹没	inundar; sumergir	La inundación sumergió los pueblos bajos.
烟花爆竹	fuegos artificiales y petardos	Durante la fiesta está prohibido encender fuegos artificiales y petardos.
严峻	severo; grave	La situación del empleo sigue siendo grave.
严寒	frío intenso; invierno riguroso	El frío intenso afecta el transporte.
严禁	prohibir estrictamente	Aquí está estrictamente prohibido fumar.
严厉	severo; estricto	El profesor lo criticó severamente.
严密	estricto; hermético	El almacén tiene vigilancia estricta.
岩石	roca	Las rocas junto al mar son muy duras.
延期	posponer; aplazar	La reunión se pospuso hasta la próxima semana.
延伸	extenderse	La carretera se extiende hacia el norte.
延续	continuar; perdurar	Esta tradición ha continuado durante cien años.
沿海	costero	Las ciudades costeras tienen comercio desarrollado.
炎热	caluroso; muy caliente	El clima caluroso cansa a la gente.
言论	declaración; opinión pública	El público presta atención a sus declaraciones.
掩盖	encubrir; ocultar	Él intentó encubrir el error.
掩护	cubrir; proteger	Los compañeros se encargaron de cubrir la retirada.
掩饰	disimular; ocultar	Ella intentó disimular su nerviosismo.
演变	evolucionar; desarrollarse	La estructura de la ciudad sigue evolucionando.
演习	simulacro; ejercicio	La escuela realizó un simulacro de incendio.
演绎	deducir; inferir	El profesor dedujo este teorema.
演奏	tocar música; interpretar	La banda está interpretando música clásica.
眼光	visión; criterio	Él tiene buen criterio para invertir.
眼色	mirada de aviso; señal con los ojos	Ella le hizo una señal con la mirada a su colega.
眼神	mirada; expresión de los ojos	Su mirada era muy firme.
厌恶	odiar; sentir aversión	Él odia las conductas engañosas.
验收	inspección de aceptación; verificar y aceptar	Después de terminar la obra se necesita una inspección de aceptación.
验证	verificar; comprobar	El experimento comprobó la hipótesis.
氧气	oxígeno	El paciente necesita respirar oxígeno.
样品	muestra; espécimen	El cliente recibió muestras del producto.
摇摆	balancearse; oscilar	La pequeña embarcación se balanceaba entre el viento y las olas.
摇滚	rock; rock and roll	A los jóvenes les gusta la música rock.
谣言	rumor	No difundas rumores no verificados.
遥控	control remoto; controlar a distancia	Él usó el teléfono para controlar a distancia el aire acondicionado.
遥远	lejano; remoto	Ese pueblo está muy lejos de la ciudad.
耀眼	deslumbrante	La luz del sol era deslumbrante.
要点	punto clave; aspecto esencial	Por favor, anota los puntos clave de la reunión.
要命	extremadamente; mortal	Este camino de montaña es extremadamente peligroso.
要素	elemento esencial; factor clave	La confianza es un elemento importante de la cooperación.
野蛮	brutal; incivilizado	Él se opone a la aplicación brutal de la ley.
野心	ambición	Su ambición política es evidente.
液体	líquido	Este líquido no tiene color.
一流	de primera clase; excelente	Este hospital tiene equipos de primera clase.
一如既往	como siempre; igual que antes	Él nos apoya como siempre.
依旧	todavía; como antes	La lluvia paró, pero la calle seguía húmeda.
依据	base; de acuerdo con	La sentencia debe basarse en la ley.
依靠	depender de; apoyarse en	Ellos dependen de la agricultura para vivir.
依赖	depender de	Los niños no deben depender demasiado de sus padres.
依托	apoyarse en; basarse en	El proyecto se desarrolla apoyándose en los recursos locales.
衣裳	ropa	Ella se puso ropa limpia.
一度	una vez; durante un tiempo	La empresa una vez enfrentó la quiebra.
一贯	constante; coherente	Él siempre se ha opuesto al desperdicio.
一目了然	claro a primera vista	El contenido de la tabla es claro a primera vista.
一向	siempre; desde siempre	Ella siempre ha sido puntual.
仪器	instrumento; aparato	El laboratorio compró nuevos instrumentos.
仪式	ceremonia	La ceremonia de graduación se celebrará mañana.
疑惑	duda; confusión	El estudiante se sintió confundido por la respuesta.
遗产	patrimonio; herencia	Esta ciudad antigua es patrimonio cultural.
遗传	herencia genética; heredarse	Esta enfermedad puede ser hereditaria.
遗留	legado; quedar pendiente	Los problemas heredados de la historia deben resolverse.
遗失	perder; extraviar	El viajero perdió el pasaporte.
以便	para que; a fin de	Deja tu número de teléfono para que podamos contactarte.
以免	para evitar; para no	Sal más temprano para evitar llegar tarde.
以往	en el pasado; anteriormente	La experiencia pasada merece tomarse como referencia.
以至	hasta; e incluso	El alcance se amplió a la comunidad e incluso a toda la ciudad.
以致	de modo que; causando que	La lluvia intensa continuó, de modo que las carreteras quedaron cortadas.
一帆风顺	ir viento en popa; sin contratiempos	Emprender un negocio no siempre puede ir viento en popa.
一举两得	lograr dos objetivos a la vez	Ir al trabajo en bicicleta permite lograr dos objetivos a la vez.
一丝不苟	meticuloso; escrupuloso	El ingeniero revisó el cableado de manera meticulosa.
亦	también	Él también estuvo de acuerdo con este plan.
异常	anormal; excepcional	En el sistema apareció una situación anormal.
意料	expectativa; prever	El resultado fue completamente inesperado.
意识	conciencia; darse cuenta de	Él poco a poco se dio cuenta de la gravedad del problema.
意图	intención; propósito	La policía descubrió su intención.
意味着	significar; implicar	El silencio no significa acuerdo.
意向	intención; disposición	Ambas partes expresaron intención de cooperar.
意志	voluntad; determinación	Las dificultades ponen a prueba la voluntad de una persona.
毅力	perseverancia; fuerza de voluntad	El éxito requiere perseverancia a largo plazo.
毅然	resueltamente; sin vacilar	Ella dejó la empresa resueltamente.
翼	ala	El ala del avión fue inspeccionada.
阴谋	conspiración; complot	Ellos revelaron la conspiración.
音响	equipo de sonido; acústica	La sala tiene buena acústica.
引导	guiar; orientar	El profesor guió a los estudiantes a pensar.
引擎	motor	El motor del auto se apagó de repente.
引用	citar; referirse a	El artículo citó una gran cantidad de materiales.
隐蔽	ocultar; encubierto	Los soldados se ocultaron en el bosque.
隐患	riesgo oculto; peligro latente	Los cables viejos presentan riesgos de seguridad ocultos.
隐瞒	ocultar; encubrir	Él no ocultó la verdad.
隐私	privacidad	La empresa debe proteger la privacidad de los usuarios.
隐约	vago; tenue	A lo lejos se oía vagamente una canción.
饮食	alimentación; comida y bebida	Una alimentación saludable ayuda a recuperarse.
婴儿	bebé; lactante	El bebé está durmiendo tranquilamente.
英明	sabio; brillante	El líder tomó una decisión sabia.
英勇	valiente; heroico	El bombero rescató al niño valientemente.
盈利	beneficio; obtener ganancias	La empresa empezó a obtener ganancias este año.
迎面	de frente; directamente	Un viento frío sopló de frente.
应酬	compromiso social; trato social	Él tiene muchos compromisos sociales esta noche.
应邀	por invitación	El experto asistió al foro por invitación.
庸俗	vulgar; ordinario	El contenido de este anuncio es muy vulgar.
拥护	apoyar; respaldar	Todos apoyan la nueva política.
拥有	tener; poseer	Él tiene mucha experiencia.
勇于	atreverse a; tener valor para	Los jóvenes deben atreverse a intentar.
永恒	eterno; permanente	El amor no es eternamente inmutable.
涌现	aparecer en gran número; surgir	En todas partes están surgiendo maestros excelentes.
踊跃	entusiasta; participar activamente	Los residentes se inscribieron con entusiasmo en la actividad.
用户	usuario; consumidor	Los usuarios pueden cambiar sus contraseñas.
优胜劣汰	supervivencia del más apto	La competencia del mercado refleja la supervivencia del más apto.
优先	prioridad; primero	Las personas mayores pueden ser atendidas primero.
优异	excelente; sobresaliente	Ella obtuvo resultados excelentes.
优越	superior; ventajoso	Este lugar tiene una ubicación ventajosa.
忧郁	melancólico; deprimido	Su expresión parecía melancólica.
油腻	grasiento; aceitoso	Este plato es demasiado grasiento.
油漆	pintura; pintar	Los trabajadores están pintando la puerta.
犹如	como; semejante a	La superficie del lago es como un espejo.
有条不紊	ordenado; metódico	La reunión avanzó de manera ordenada.
幼稚	infantil; ingenuo	Esta idea es un poco ingenua.
诱惑	tentación; atraer	El anuncio está lleno de tentaciones de consumo.
愚蠢	tonto; estúpido	Esta decisión es extremadamente tonta.
愚昧	ignorante	Las ideas ignorantes obstaculizan el progreso.
渔民	pescador	Los pescadores salen al mar al amanecer para pescar.
舆论	opinión pública	La opinión pública tiene gran influencia en el caso.
与日俱增	aumentar día a día	El número de turistas aumenta día a día.
宇宙	universo; cosmos	La humanidad sigue explorando el universo.
羽绒服	chaqueta de plumas	En invierno hace falta llevar chaqueta de plumas.
寓言	fábula	Esta fábula tiene mucho valor educativo.
愈	recuperarse; cuanto más	La condición mejora cada vez más.
欲望	deseo; apetito	Él controló su deseo de comprar.
熨	planchar	Ella planchó la camisa hasta dejarla lisa.
玉	jade	Esta pieza de jade tiene un color suave.
预料	prever; expectativa	El desarrollo de los acontecimientos superó las expectativas.
预期	previsto; expectativa	Las ventas estuvieron por debajo de lo previsto.
预算	presupuesto	El presupuesto del proyecto necesita ajustes.
预先	de antemano; previamente	Prepara los materiales de antemano.
预言	predicción; profecía	Su predicción no se hizo realidad.
预兆	presagio; señal de advertencia	El dolor puede ser una señal de advertencia de enfermedad.
冤枉	injusticia; acusar injustamente	No acuses injustamente a una persona inocente.
元首	jefe de Estado	Los jefes de Estado de los dos países celebraron conversaciones.
元素	elemento; elemento químico	El oxígeno es un elemento químico.
元宵节	Fiesta de los Faroles	Durante la Fiesta de los Faroles la gente contempla faroles decorativos.
原告	demandante; parte actora	El demandante presentó nuevas pruebas.
原理	principio; teoría	El profesor explicó el principio de la máquina.
原始	original; primitivo	Ellos conservaron los registros originales.
原先	original; anterior	El plan original ya cambió.
园林	jardines; jardín paisajístico	Los jardines de Suzhou son muy famosos.
圆满	satisfactorio; completo	La reunión logró un éxito completo.
源泉	fuente; manantial	La práctica es la fuente del conocimiento.
缘故	razón; causa	Él renunció por razones de salud.
约束	restringir; limitar	El sistema restringe la conducta de los empleados.
乐谱	partitura	Ella leyó cuidadosamente la partitura.
岳母	suegra	Él fue a visitar a su suegra el fin de semana.
孕育	gestar; nutrir	La tierra nutre nueva vida.
蕴藏	contener; albergar	La zona montañosa contiene ricos recursos minerales.
运算	operación; cálculo	Los estudiantes practican operaciones matemáticas.
运行	funcionar; operar	El sistema está funcionando de forma estable.
酝酿	fermentar; estar gestándose	Ambas partes están considerando un nuevo plan.
杂技	acrobacia	A los niños les gusta ver espectáculos de acrobacia.
杂交	híbrido; cruce	Los científicos estudian el arroz híbrido.
砸	romper; estrellar	La taza cayó al suelo y se rompió.
咋	cómo; por qué	¿Cómo es que todavía no has vuelto?
栽培	cultivar	El jardinero cultivó muchas flores.
灾难	desastre; catástrofe	Después del desastre la ciudad empezó a reconstruirse.
宰	sacrificar; engañar	Durante la fiesta los aldeanos sacrifican ovejas.
再接再厉	seguir esforzándose	Después de ganar el premio, el equipo siguió esforzándose.
在意	importarle a uno; preocuparse	Ella se preocupa mucho por las opiniones de los demás.
攒	ahorrar; acumular	Él ahorra dinero para comprar una computadora.
暂且	por ahora; temporalmente	Dejemos este asunto de lado por ahora.
赞叹	admirar; elogiar	El público admiró la actuación del actor.
赞助	patrocinar; apoyar	La empresa patrocinó esta competencia.
糟蹋	desperdiciar; arruinar	No desperdicies estos alimentos frescos.
遭受	sufrir; padecer	Los campos sufrieron una sequía grave.
遭殃	sufrir una desgracia	Cuando el puente se derrumbó, los residentes cercanos sufrieron.
遭遇	encontrarse con; sufrir	Ellos se encontraron con una tormenta de nieve en el camino.
噪音	ruido	El ruido de la construcción afecta el descanso.
造型	forma; diseño	Este modelo de auto tiene un diseño muy distintivo.
责怪	culpar; reprochar	Por favor, no culpes siempre al niño.
贼	ladrón	La policía atrapó a ese ladrón.
增添	añadir; aumentar	Las flores frescas añaden color a la habitación.
赠送	regalar; dar como obsequio	La tienda regala pequeños obsequios.
扎	pinchar; clavar	La enfermera le puso una inyección.
扎实	sólido; firme	Su base gramatical es muy sólida.
渣	residuo; poso	Quedaron posos de café en el fondo de la taza.
眨	parpadear	Ella parpadeó.
诈骗	fraude; estafar	La policía resolvió un caso de fraude telefónico.
摘要	resumen; abstract	El resumen del artículo está escrito con claridad.
债券	bono; obligación	Los inversores compran bonos del gobierno.
沾光	beneficiarse por asociación	Yo también me beneficié gracias a mi amigo.
瞻仰	rendir homenaje; admirar	Los turistas rindieron homenaje al monumento a los héroes.
展示	mostrar; exhibir	La empresa mostró sus productos más recientes.
展望	perspectiva; mirar hacia el futuro	El informe mira hacia las tendencias futuras.
展现	mostrar; revelar	La obra muestra la vida rural.
崭新	totalmente nuevo	Él compró una bicicleta totalmente nueva.
斩钉截铁	resuelto; categórico	Ella lo rechazó de manera categórica.
占据	ocupar	El anuncio ocupó toda la página.
占领	ocupar; tomar	El ejército ocupó el paso de montaña.
战斗	batalla; combatir	La batalla duró tres horas.
战略	estrategia	La empresa ajustó su estrategia de desarrollo.
战术	táctica	El entrenador cambió la táctica del partido.
战役	campaña militar	Esta campaña cambió la situación.
章程	reglamento; estatutos	La asociación aprobó un nuevo reglamento.
帐篷	tienda de campaña	Ellos montaron tiendas de campaña junto al lago.
障碍	barrera; obstáculo	Las barreras lingüísticas afectan la comunicación.
招标	convocar licitación	El proyecto de ingeniería convocó una licitación pública.
招收	reclutar; admitir	La escuela admite nuevos estudiantes este año.
朝气蓬勃	lleno de energía juvenil	El equipo joven está lleno de energía.
着迷	estar fascinado	El niño está fascinado por la astronomía.
沼泽	pantano; ciénaga	La expedición cruzó el pantano.
照样	como siempre; de todos modos	Llovió, pero el entrenamiento continuó como siempre.
照耀	iluminar; brillar	La luz del sol ilumina la plaza.
折腾	trastear; marear	No sigas trasteando con esta computadora vieja.
遮挡	bloquear; cubrir	Las ramas bloquearon la ventana.
折	doblar; romper	Él dobló el papel en forma de avión.
折磨	tormentar	El insomnio prolongado la atormenta.
侦探	detective	El detective encontró una pista clave.
斟酌	considerar cuidadosamente	Por favor, considera cuidadosamente la redacción.
珍贵	valioso; precioso	Estas fotos son muy valiosas.
珍稀	raro y precioso	Protejamos los animales silvestres raros.
珍珠	perla	Ella lleva pendientes de perlas.
真理	verdad	La práctica pone a prueba la verdad.
真相	verdad; hechos reales	El periodista se esforzó por averiguar la verdad.
真挚	sincero; sinceridad	Ella expresó un agradecimiento sincero.
枕头	almohada	Esta almohada es demasiado alta.
振奋	levantar el ánimo; inspirar	La buena noticia levantó el ánimo de todos.
振兴	revitalizar; reactivar	El gobierno impulsa la revitalización rural.
镇定	calmado; sereno	En la emergencia él mantuvo la calma.
镇静	calma; tranquilo	La enfermera le pidió al paciente que se mantuviera tranquilo.
阵地	posición; frente	Los soldados mantuvieron la posición.
阵容	alineación; formación	El equipo anunció la alineación titular.
震撼	impactante; conmover	Esta película es muy impactante.
