simplified	BG	example_BG
压制	потискам; ограничавам	Лекарството може да потисне болката.
鸦雀无声	пълна тишина	След като учителят влезе, в класната стая настъпи пълна тишина.
亚军	второ място; подгласник	Тя спечели второ място в състезанието.
淹没	заливам; потапям	Наводнението заля ниското село.
烟花爆竹	фойерверки и пиратки	По време на празника фойерверките и пиратките са забранени.
严峻	суров; сериозен	Ситуацията със заетостта остава сериозна.
严寒	силен студ	Силният студ влияе на транспорта.
严禁	строго забранявам	Тук пушенето е строго забранено.
严厉	строг; суров	Учителят го разкритикува строго.
严密	строг; плътен	Складът има строг контрол.
岩石	скала	Скалите край морето са много твърди.
延期	отлагам; удължавам	Срещата беше отложена за следващата седмица.
延伸	простирам се; удължавам	Пътят се простира на север.
延续	продължавам; трая	Тази традиция продължава сто години.
沿海	крайбрежен	Крайбрежните градове имат развита търговия.
炎热	горещ; зноен	Горещото време уморява хората.
言论	изказване; мнение	Обществеността обръща внимание на изказванията му.
掩盖	прикривам	Той се опита да прикрие грешката.
掩护	прикривам; защитавам	Съотборниците отговаряха за прикриването на оттеглянето.
掩饰	прикривам; замазвам	Тя се стараеше да прикрие напрежението си.
演变	развивам се; еволюирам	Градската структура непрекъснато се развива.
演习	учение; тренировка	Училището проведе противопожарно учение.
演绎	извеждам; дедуцирам	Учителят изведе тази теорема.
演奏	свиря; изпълнявам музика	Оркестърът изпълнява класическа музика.
眼光	поглед; далновидност	Той има добър усет за инвестиции.
眼色	поглед като сигнал	Тя даде знак с очи на колегата си.
眼神	израз на очите; поглед	Погледът му беше много решителен.
厌恶	мразя; отвращавам се	Той мрази измамното поведение.
验收	приемам след проверка	След завършване проектът трябва да мине приемателна проверка.
验证	проверявам и потвърждавам	Експериментът потвърди хипотезата.
氧气	кислород	Пациентът трябва да диша кислород.
样品	образец; мостра	Клиентът получи мостри на продукта.
摇摆	клатя се; колебая се	Малката лодка се клатеше във вятъра и вълните.
摇滚	рок музика	Младите хора харесват рок музика.
谣言	слух	Не разпространявайте непотвърдени слухове.
遥控	дистанционно управление	Той управлява климатика дистанционно с телефона си.
遥远	далечен	Онова село е много далече от града.
耀眼	ослепителен	Слънчевата светлина беше ослепителна.
要点	основен пункт	Моля, запишете основните точки от срещата.
要命	смъртоносен; изключително	Тази планинска пътека е изключително опасна.
要素	ключов елемент	Доверието е важен елемент на сътрудничеството.
野蛮	варварски; груб	Той се противопоставя на грубото прилагане на закона.
野心	амбиция	Политическата му амбиция е очевидна.
液体	течност	Тази течност няма цвят.
一流	първокласен	Тази болница има първокласно оборудване.
一如既往	както винаги	Той ни подкрепя както винаги.
依旧	все още; както преди	Дъждът спря, но улицата все още беше влажна.
依据	основание; според	Присъдата трябва да се основава на закона.
依靠	разчитам на	Те разчитат на земеделие за препитание.
依赖	завися от	Децата не бива прекалено да зависят от родителите си.
依托	опирам се на; разчитам на	Проектът се развива, като разчита на местните ресурси.
衣裳	дрехи	Тя се преоблече в чисти дрехи.
一度	по едно време	Компанията по едно време беше изправена пред фалит.
一贯	последователен; винаги	Той винаги последователно се е противопоставял на разхищението.
一目了然	ясен от пръв поглед	Съдържанието на таблицата е ясно от пръв поглед.
一向	винаги; през цялото време	Тя винаги е точна.
仪器	уред; апарат	Лабораторията купи нови уреди.
仪式	церемония	Церемонията по дипломиране ще се проведе утре.
疑惑	съмнение; объркване	Ученикът беше объркан от отговора.
遗产	наследство	Този древен град е културно наследство.
遗传	наследственост; унаследявам	Тази болест може да се предава по наследство.
遗留	оставен в наследство; остатъчен	Проблемите, останали от историята, трябва да се решат.
遗失	изгубвам	Пътникът изгуби паспорта си.
以便	за да; с цел	Моля, оставете телефон, за да можем да се свържем.
以免	за да се избегне	Тръгнете по-рано, за да не закъснеете.
以往	в миналото; предишен	Предишният опит заслужава да се вземе предвид.
以至	дори до; чак до	Обхватът се разшири до квартала и дори до целия град.
以致	така че; в резултат на което	Проливният дъжд продължи, така че пътищата бяха прекъснати.
一帆风顺	гладко; безпроблемно	Предприемачеството не може винаги да върви гладко.
一举两得	постигам две цели наведнъж	Да ходиш на работа с колело постига две цели наведнъж.
一丝不苟	изключително педантичен	Инженерът провери окабеляването изключително педантично.
亦	също	Той също се съгласи с този план.
异常	ненормален; изключение	В системата възникна ненормална ситуация.
意料	очакване; предвиждам	Резултатът беше напълно неочакван.
意识	съзнание; осъзнавам	Той постепенно осъзна сериозността на проблема.
意图	намерение	Полицията прозря намерението му.
意味着	означава	Мълчанието не означава съгласие.
意向	намерение; склонност	Двете страни изразиха намерение за сътрудничество.
意志	воля	Трудностите изпитват човешката воля.
毅力	упоритост; постоянство	Успехът изисква дългосрочна упоритост.
毅然	решително	Тя решително напусна компанията.
翼	крило	Крилото на самолета беше проверено.
阴谋	заговор	Те разкриха този заговор.
音响	озвучаване; акустика	В дневната има добра акустика.
引导	насочвам; водя	Учителят насочва учениците да мислят.
引擎	двигател	Двигателят на колата внезапно изгасна.
引用	цитирам	Статията цитира голямо количество материали.
隐蔽	скривам; прикрит	Войниците се скриха в гората.
隐患	скрита опасност	Старите кабели крият риск за безопасността.
隐瞒	скривам истината	Той не скри истината.
隐私	лична неприкосновеност; поверителност	Компанията трябва да защитава поверителността на потребителите.
隐约	смътен; неясен	Отдалеч смътно се чуваше песен.
饮食	храна и напитки; хранене	Здравословното хранене помага за възстановяването.
婴儿	бебе	Бебето спи спокойно.
英明	мъдър	Ръководителят взе мъдро решение.
英勇	храбър	Пожарникарят храбро спаси детето.
盈利	печалба; печеля	Компанията започна да печели тази година.
迎面	насреща; право в лицето	Студен вятър духаше насреща.
应酬	социални ангажименти	Тази вечер той има много социални ангажименти.
应邀	по покана	Експертът участва във форума по покана.
庸俗	пошъл; вулгарен	Съдържанието на тази реклама е много пошло.
拥护	подкрепям	Всички подкрепят новата политика.
拥有	притежавам	Той притежава богат опит.
勇于	осмелявам се	Младите хора трябва да се осмеляват да опитват.
永恒	вечен	Любовта не е вечно неизменна.
涌现	появявам се масово	Навсякъде се появяват отлични учители.
踊跃	ентусиазиран; с желание	Жителите ентусиазирано се записаха за дейността.
用户	потребител	Потребителите могат да променят паролите си.
优胜劣汰	оцеляване на най-добрите	Пазарната конкуренция отразява оцеляването на най-добрите.
优先	приоритет; с предимство	Възрастните хора могат да бъдат обслужени с предимство.
优异	отличен	Тя постигна отлични резултати.
优越	превъзходен; благоприятен	Това място има благоприятно географско положение.
忧郁	меланхоличен; потиснат	Изражението му изглеждаше меланхолично.
油腻	мазен	Това ястие е прекалено мазно.
油漆	боя; боядисвам	Работниците боядисват вратата.
犹如	сякаш; като	Повърхността на езерото е като огледало.
有条不紊	подредено и методично	Срещата протече подредено и методично.
幼稚	детински; наивен	Тази идея е малко наивна.
诱惑	изкушение; примамвам	Рекламата е пълна с потребителски изкушения.
愚蠢	глупав	Това решение е изключително глупаво.
愚昧	невеж; необразован	Невежите възгледи пречат на напредъка.
渔民	рибар	Рибарите излизат в морето на разсъмване да ловят риба.
舆论	обществено мнение	Общественото мнение има голямо влияние върху делото.
与日俱增	расте с всеки изминал ден	Броят на туристите расте с всеки изминал ден.
宇宙	вселена	Човечеството непрекъснато изследва вселената.
羽绒服	пухено яке	През зимата трябва да носиш пухено яке.
寓言	басня	Тази басня има голяма възпитателна стойност.
愈	оздравявам; все повече	Състоянието става все по-добро.
欲望	желание; стремеж	Той овладя желанието си да пазарува.
熨	гладя	Тя изглади ризата.
玉	нефрит	Този нефрит има топъл цвят.
预料	предвиждам; очакване	Развитието на събитията надмина очакванията.
预期	очакван; очакване	Продажбите бяха под очакванията.
预算	бюджет	Бюджетът на проекта трябва да се коригира.
预先	предварително	Моля, подгответе материалите предварително.
预言	предсказвам; пророчество	Предсказанието му не се сбъдна.
预兆	предзнаменование; предупредителен знак	Болката може да е предупредителен знак за болест.
冤枉	обвинявам несправедливо; несправедливост	Не обвинявайте несправедливо невинен човек.
元首	държавен глава	Държавните глави на двете страни проведоха разговори.
元素	елемент	Кислородът е химичен елемент.
元宵节	Празник на фенерите	По време на Празника на фенерите хората гледат фенери.
原告	ищец	Ищецът представи нови доказателства.
原理	принцип	Учителят обясни принципа на машината.
原始	първоначален; примитивен	Те запазиха първоначалните записи.
原先	първоначален; предишен	Първоначалният план вече е променен.
园林	градина; парк	Градините в Суджоу са много известни.
圆满	успешен; удовлетворителен	Срещата завърши с пълен успех.
源泉	източник	Практиката е източник на знание.
缘故	причина	Той подаде оставка по здравословни причини.
约束	ограничавам	Системата ограничава поведението на служителите.
乐谱	ноти; партитура	Тя внимателно прочете нотите.
岳母	тъща	През уикенда той отиде да види тъща си.
孕育	пораждам; отглеждам	Почвата поражда нов живот.
蕴藏	съдържам; крия в себе си	Планинският район съдържа богати минерални ресурси.
运算	изчисление; операция	Учениците упражняват математически операции.
运行	работя; функционирам	Системата работи стабилно.
酝酿	обмислям; зрее	Двете страни обмислят нов план.
杂技	акробатика	Децата обичат да гледат акробатични представления.
杂交	хибрид; кръстосване	Учените изследват хибриден ориз.
砸	разбивам; удрям	Чашата падна на пода и се счупи.
咋	как; защо	Как така още не си се върнал?
栽培	отглеждам; култивирам	Градинарят отгледа много цветя.
灾难	бедствие	След бедствието градът започна възстановяване.
宰	коля добитък; мамя клиенти	По празниците селяните колят овце.
再接再厉	продължавам усилията	След наградата екипът продължи усилията си.
在意	интересувам се; държа на	Тя много държи на мнението на другите.
攒	събирам; трупам	Той събира пари, за да купи компютър.
暂且	засега; временно	Засега оставете този въпрос настрана.
赞叹	възхищавам се	Публиката се възхити на изпълнението на актьора.
赞助	спонсорирам; подкрепям	Компанията спонсорира това състезание.
糟蹋	пилея; съсипвам	Не пилейте тази прясна храна.
遭受	понасям; претърпявам	Земеделските земи претърпяха тежка суша.
遭殃	пострадвам от беда	Когато мостът се срути, близките жители пострадаха.
遭遇	сблъсквам се с; преживявам	По пътя те се сблъскаха със снежна буря.
噪音	шум	Строителният шум пречи на почивката.
造型	форма; дизайн	Този модел кола има много отличителна форма.
责怪	обвинявам; укорявам	Моля, не обвинявайте детето безкрайно.
贼	крадец	Полицията залови онзи крадец.
增添	добавям; увеличавам	Свежите цветя добавят цвят към стаята.
赠送	подарявам	Магазинът подарява малки подаръци.
扎	бода; забивам	Медицинската сестра му постави инжекция.
扎实	солиден; стабилен	Основата му по граматика е солидна.
渣	утайка; остатък	На дъното на чашата остана утайка от кафе.
眨	мигам	Тя примигна с очи.
诈骗	измамвам; мошеничество	Полицията разкри случай на телефонна измама.
摘要	резюме; абстракт	Резюмето на статията е написано ясно.
债券	облигация	Инвеститорите купуват държавни облигации.
沾光	печеля покрай някого	И аз спечелих покрай приятеля си.
瞻仰	отдавам почит	Туристите отдават почит пред паметника на героите.
展示	показвам; излагам	Компанията показа най-новия си продукт.
展望	перспектива; гледам напред	Докладът разглежда бъдещите тенденции.
展现	показвам; разкривам	Творбата показва селския живот.
崭新	съвсем нов	Той купи съвсем нов велосипед.
斩钉截铁	решително и категорично	Тя отказа решително и категорично.
占据	заемам	Рекламата зае цялата страница.
占领	окупирам; завземам	Войската завзе планинския проход.
战斗	битка; сражавам се	Битката продължи три часа.
战略	стратегия	Компанията промени стратегията си за развитие.
战术	тактика	Треньорът промени тактиката за мача.
战役	военна кампания; битка	Тази кампания промени обстановката.
章程	устав; правила	Асоциацията прие нов устав.
帐篷	палатка	Те разпънаха палатки край езерото.
障碍	препятствие; бариера	Езиковите бариери влияят на общуването.
招标	обявявам търг	Инженерният проект обяви открит търг.
招收	набирам; приемам	Училището тази година приема нови ученици.
朝气蓬勃	пълен с жизнена енергия	Младежкият екип е пълен с енергия.
着迷	очарован; запленен	Детето е запленено от астрономията.
沼泽	блато	Експедицията прекоси блатото.
照样	както обикновено	Заваля, но тренировката продължи както обикновено.
照耀	осветявам; сияя	Слънчевата светлина осветява площада.
折腾	измъчвам; занимавам се безкрайно	Не се занимавайте повече с този стар компютър.
遮挡	заслонявам; закривам	Клоните закриваха прозореца.
折	сгъвам; чупя	Той сгъна хартията на самолет.
折磨	измъчвам	Дългото безсъние я измъчва.
侦探	детектив	Детективът откри ключова улика.
斟酌	обмислям внимателно	Моля, обмислете внимателно формулировката.
珍贵	ценен	Тези снимки са много ценни.
珍稀	рядък и ценен	Защитавайте редките диви животни.
珍珠	перла	Тя носи перлени обеци.
真理	истина	Практиката проверява истината.
真相	истината; действителните факти	Журналистът се постара да установи истината.
真挚	искрен	Тя изрази искрена благодарност.
枕头	възглавница	Тази възглавница е твърде висока.
振奋	ободрявам; вдъхновявам	Добрата новина ободри всички.
振兴	съживявам; възраждам	Правителството насърчава възраждането на селата.
镇定	спокоен; хладнокръвен	В критичния момент той остана спокоен.
镇静	спокоен; успокоявам се	Медицинската сестра каза на пациента да остане спокоен.
阵地	позиция; фронт	Войниците удържаха позицията.
阵容	състав; подредба	Отборът обяви стартовия състав.
震撼	разтърсвам; потресаващ	Този филм е изключително въздействащ.
震惊	шокирам	Новината шокира цялата страна.
争端	спор; конфликт	Двете страни се опитаха да решат граничния спор.
争夺	боря се за; съревновавам се	Двете компании се борят за пазарен дял.
争气	старая се да оправдая очакванията	Той учи усърдно, за да накара семейството си да се гордее.
争先恐后	надпреварвам се	Туристите се надпреварваха да се качат в автобуса.
争议	спор; противоречие	Това решение предизвика спор.
征服	завладявам; покорявам	Алпинистът покори върха.
征收	налагам; събирам данъци	Правителството събира данъци според закона.
挣扎	боря се; мъча се	Птицата се бореше в мрежата.
正月	първи лунен месец	През първия лунен месец роднините си ходят на гости.
蒸发	изпарявам се	Влагата бързо се изпари.
整顿	реорганизирам; подреждам	Компанията започна да реорганизира управлението си.
政策	политика	Новата политика подкрепя малките предприятия.
政权	режим; политическа власт	Войната промени местния режим.
正当	законен; оправдан	Той постави оправдано искане.
正负	положителен и отрицателен	Уредът показва положителна и отрицателна грешка.
正规	редовен; стандартен	Детето влезе да учи в редовно училище.
正经	сериозен; приличен	Накрая той започна да говори сериозно.
正气	праведност; здрав обществен дух	Обществото трябва да насърчава праведността.
正义	справедливост	Адвокатът защитаваше справедливостта.
正宗	автентичен; традиционен	Този ресторант продава автентична съчуанска кухня.
症状	симптом	Температурата е често срещан симптом.
证实	потвърждавам	Разследването потвърди думите му.
证书	сертификат	Тя получи професионален сертификат.
郑重	тържествен; сериозен	Той тържествено обеща, че ще поеме отговорност.
之际	по време на; при настъпването на	С наближаването на Празника на пролетта всички са заети.
支撑	подпирам; поддържам	Колоните поддържат покрива.
支出	разход	Семейните разходи се увеличиха забележимо.
支流	приток	Тази река е приток на Яндзъ.
支配	доминирам; разпределям	Емоциите не трябва да доминират преценката.
支援	подкрепям; оказвам помощ	Лекари от много места дойдоха да окажат помощ.
支柱	стълб; опора	Производството е стълб на местната икономика.
枝	клонка	Тя откъсна клонка с цвете.
知觉	съзнание; усещане	Раненият постепенно възвърна съзнание.
知足常乐	който е доволен, е щастлив	Старецът често казва, че доволството носи щастие.
脂肪	мазнина	Ядките съдържат полезни мазнини.
侄子	племенник	Племенникът ми тази година тръгна в начално училище.
值班	дежуря	Медицинската сестра е дежурна тази вечер.
执行	изпълнявам	Съдът изпълни решението.
执着	упорит; отдаден	Той е много отдаден на идеалите си.
殖民地	колония	Този остров някога е бил колония.
直播	излъчване на живо	Мачът тази вечер ще се излъчва на живо в интернет.
直径	диаметър	Диаметърът на този кръг е десет сантиметра.
职能	функция; роля	Функциите на отдела трябва да се преразпределят.
职位	длъжност	Тя кандидатства за управленска длъжност.
职务	служебна позиция; длъжност	Неговата длъжност е ръководител на проекта.
指标	показател; цел	Продажбената цел вече е изпълнена.
指定	назначавам; определям	Учителят го посочи да отговори на въпроса.
指甲	нокът	Тя си изряза ноктите късо.
指令	команда; инструкция	Компютърът получи нова команда.
指南针	компас	Алпинистът носеше компас.
指示	указание; инструктирам	Мениджърът даде ясни указания.
指望	разчитам на; надежда	Не разчитай други да го завършат вместо теб.
指责	обвинявам; критикувам	Обществеността критикува компанията, че замърсява околната среда.
制裁	санкция; наказвам	Международната общност наложи икономически санкции.
制服	униформа; покорявам	Охранителят носеше тъмносиня униформа.
制约	ограничавам	Недостигът на средства ограничава развитието.
制止	спирам; пресичам	Полицията навреме спря конфликта.
志气	амбиция; решимост	Младите хора трябва да имат амбиция.
智力	интелект	Игрите могат да тренират интелекта.
智能	умен; интелигентен	Умните устройства стават все по-разпространени.
智商	коефициент на интелигентност	Коефициентът на интелигентност не може да определя всичко.
治安	обществен ред	Общественият ред в квартала ясно се подобри.
治理	управлявам; регулирам	Правителството засили управлението на реките.
滞留	задържам се; блокиран съм	Пътниците останаха блокирани на летището заради силния сняг.
致辞	произнасям реч	Директорът произнесе реч на церемонията.
致力	посвещавам усилия	Екипът е посветен на технологични иновации.
致使	причинявам	Грешките в управлението причиниха забавяне на проекта.
中断	прекъсвам	Проливният дъжд причини прекъсване на комуникациите.
中立	неутрален	Тази страна запазва неутрална позиция.
中央	централен; център	Фонтанът се намира в центъра на площада.
忠诚	лоялен; предан	Служителите са лоялни към компанията.
忠实	верен	Той е верен читател на този вестник.
终点	крайна точка; финал	Финалът е точно отпред.
终究	в крайна сметка	Проблемът в крайна сметка ще бъде решен.
终身	цял живот; пожизнен	Той реши цял живот да се занимава с образование.
终止	прекратявам	Договорът се прекратява в края на следващия месец.
衷心	искрен; от сърце	Искрено ти благодаря за помощта.
种子	семе	Земеделците засяха нови семена.
种族	раса; етнос	Законът забранява расовата дискриминация.
肿瘤	тумор	Лекарят откри доброкачествен тумор.
众所周知	както всички знаят	Както всички знаят, водата е важна.
种植	засаждам; отглеждам	Това място е подходящо за отглеждане на грозде.
重心	център на тежестта; фокус	Фокусът на работата се насочи към услугите.
周边	около; периферия	Движението около училището е натоварено.
周密	подробен; внимателен	Те изготвиха подробен план.
周年	годишнина	Компанията отпразнува десетата си годишнина.
周期	цикъл; период	Цикълът за обновяване на продукта се съкрати.
周折	усложнения; перипетии	Уреждането на процедурите премина през немалко усложнения.
周转	оборот; осигуряване на средства	Компанията има трудности с паричния оборот.
州	щат; област	Той живее в Калифорния в Съединените щати.
粥	каша	Пациентът сутринта яде каша.
舟	лодка	Малката лодка бавно се приближи до брега.
昼夜	денонощно; ден и нощ	Работниците ремонтираха пътя денонощно.
皱纹	бръчка	По лицето на баба има много бръчки.
株	растение; стъбло	В двора бяха засадени три дървета.
诸位	уважаеми всички	Благодаря на всички, че дойдохте днес.
逐年	година след година	Оперативните разходи растат година след година.
主办	организирам; домакинствам	Училището организира фестивал на изкуствата.
主导	водя; определям	Пазарното търсене определя дизайна на продукта.
主管	ръководител; отговарящ	Ръководителят отговаря за одобряването на бюджета.
主流	основно течение; мейнстрийм	Екологичните идеи станаха мейнстрийм.
主权	суверенитет	Националният суверенитет трябва да бъде уважаван.
主义	учение; идеология	Той изучава различни политически идеологии.
嘱咐	заръчвам	Майка му многократно му заръча да вземе чадър.
拄	подпирам се на	Старецът ходи, подпирайки се на бастун.
住宅	жилище; жилищен район	Тази зона е предимно жилищна.
助理	асистент	Асистентът подреди материалите за срещата.
助手	помощник	Роботът е помощник в лабораторията.
注射	инжекция; инжектирам	Лекарят инжектира лекарство на пациента.
注视	гледам втренчено	Тя гледаше втренчено към далечината.
注释	бележка; пояснение	До текста има подробни бележки.
注重	обръщам внимание на; наблягам	Компанията набляга на качеството на продукта.
著作	произведение; труд	Този труд има далечно влияние.
铸造	лея метал	Фабриката лее големи части.
驻扎	разполагам войски	Войските са разположени на границата.
拽	влача; дърпам	Той влачи кутията в стаята.
专长	специалност; силна област	Анализът на данни е нейната специалност.
专程	специално пътуване	Той дойде специално, за да посети учителя.
专利	патент	Компанията кандидатства за нов патент.
专题	специална тема	Телевизията излъчи специална програма за опазване на околната среда.
砖	тухла	Работниците докараха количка с тухли.
转达	предавам; съобщавам	Моля, предайте благодарностите ми.
转让	прехвърлям	Той реши да прехвърли магазина.
转移	премествам; прехвърлям	Медицинската сестра премести ранените.
转折	обрат; поврат	В историята настъпи голям обрат.
传记	биография	Тя пише биография на баща си.
庄稼	посеви	Дъждът напои посевите.
庄严	тържествен	Атмосферата на церемонията беше тържествена.
庄重	достоен; тържествен	Той носеше достоен официален костюм.
装备	оборудване; екипирам	Екипът е снабден със съвременно оборудване.
装卸	товаря и разтоварвам	Докерите отговарят за товаренето и разтоварването на стоки.
壮观	впечатляващ; величествен	Гледката към водопада е много впечатляваща.
壮丽	великолепен; величествен	Тук има величествени планини и реки.
壮烈	героичен	Героят загина героично.
幢	сграда; класификатор за къщи	На ъгъла има стара къща.
追悼	възпоменание; траур	Хората участваха във възпоменателната церемония.
追究	разследвам; търся отговорност	Компанията ще потърси отговорност.
坠	падам; спускам се	Листата паднаха от клоните.
准则	принцип; критерий	Честността е принцип на сътрудничеството.
卓越	изключителен	Тя постигна изключителни постижения.
琢磨	обмислям	Той многократно обмисляше този въпрос.
着手	започвам работа по	Екипът утре ще започне разследването.
着想	мисля за; съобразявам се с	Родителите винаги мислят за нуждите на децата си.
着重	наблягам	Докладът набляга на анализа на разходите.
姿态	поза; отношение	Тя запази скромно отношение.
滋润	овлажнявам	Пролетният дъжд овлажни земята.
滋味	вкус; усещане	Усещането от провала е трудно за понасяне.
资本	капитал	За започване на бизнес е нужен известен капитал.
资产	активи; имущество	Активите на компанията продължават да растат.
资深	старши; опитен	Опитен адвокат пое този случай.
资助	финансирам; подпомагам	Фондацията подпомага финансово бедни ученици.
子弹	куршум	Куршумът удари стената.
自卑	чувство за малоценност	Той вече не се чувства малоценен.
自发	спонтанен	Жителите спонтанно почистиха улицата.
自力更生	разчитам на собствените си сили	Селяните настояват да разчитат на собствените си сили.
自满	самодоволен	След успех човек не бива да става самодоволен.
自主	самостоятелен; автономен	Учениците трябва да развият способност за самостоятелно учене.
宗教	религия	Той изучава световните религии.
宗旨	цел; принцип	Целта на организацията е да служи на общността.
棕色	кафяв	Тя купи кафяви кожени обувки.
踪迹	следа	Полицията откри следи от заподозрения.
总而言之	накратко	Накратко, планът е осъществим.
总和	сума; сбор	Печалбата е разликата между общите приходи и разходите.
纵横	кръстосан; надлъж и нашир	Реките се кръстосват из равнината.
走廊	коридор	Децата се наредиха на опашка в коридора.
走漏	изтичам; разкривам се	Новината не бива да изтече.
走私	контрабандирам	Митницата залови контрабандни стоки.
揍	набивам	Той беше набит от няколко пияни мъже.
租赁	наемам; давам под наем	Компанията нае нов офис.
足以	достатъчен да	Тези доказателства са достатъчни да обяснят проблема.
祖父	дядо по бащина линия	Дядо обича да разказва стари истории.
祖国	родина	Той дълбоко обича родината си.
祖先	предци	Те почитат своите предци.
阻碍	преча; възпрепятствам	Недостигът на средства пречи на напредъка на проекта.
阻拦	спирам; възпирам	Охраната спря непознати да влязат.
阻挠	умишлено преча	Някой умишлено пречеше на разследването.
钻研	задълбочено изучавам	Тя задълбочено изучава древна литература.
