simplified	TL	example_TL
总裁	punong ehekutibo	Nagbigay ng talumpati ang punong ehekutibo ngayon.
总共	kabuuan; lahat-lahat	Kabuuang tatlong libong yuan ang nagastos sa biyaheng ito.
总理	punong ministro	Dumalo sa pulong ang punong ministro.
总算	sa wakas	Sa wakas, nalutas ang problema.
总统	pangulo	Nagbigay ng talumpati sa telebisyon ang pangulo.
总之	sa madaling salita	Sa madaling salita, kailangan nating matapos sa oras.
组	grupo	Hinati kami ng guro sa tatlong grupo.
组成	buuin	Ang tubig ay binubuo ng hidroheno at oksiheno.
组合	kombinasyon	Maganda ang kombinasyong ito ng kulay.
组织	organisahin	Inorganisa ng paaralan ang isang biyahe.
阻止	pigilan	Pinigilan ng pulis ang mapanganib na kilos.
最初	noong una	Noong una, hindi ko gaanong naintindihan.
醉	lasing	Marami siyang nainom at medyo lasing siya.
尊敬	igalang	Iginagalang ng mga estudyante ang guro.
遵守	sundin	Dapat nating sundin ang mga patakaran sa trapiko.
作品	likha; gawa	Ang kuwadro na ito ay likha niya.
作为	bilang	Bilang guro, napakatiyaga niya.
作文	sanaysay	Pinasulat kami ng guro ng isang sanaysay.
