simplified	HI	example_HI
透露	प्रकट करना	उसने बैठक के विवरण प्रकट नहीं किए।
秃	गंजा	वह कम उम्र में ही गंजा हो गया।
突破	बड़ी सफलता	शोध में बड़ी सफलता मिली।
图案	नमूना	इस कपड़े का नमूना बहुत सुंदर है।
徒弟	शागिर्द	गुरु शागिर्द को घड़ी ठीक करना सिखा रहा है।
涂抹	लगाना	कृपया मरहम को घाव के आसपास लगाएँ।
途径	मार्ग	इंटरनेट सूचना पाने का महत्वपूर्ण मार्ग है।
土壤	मिट्टी	उपजाऊ मिट्टी सब्ज़ियाँ उगाने के लिए उपयुक्त है।
团结	एकजुट होना	टीम को एकजुट होकर सहयोग करना होगा।
团体	समूह	यह समूह नियमित रूप से गतिविधियाँ आयोजित करता है।
团圆	मिलन	वसंत उत्सव परिवार के मिलन का दिन है।
推测	अनुमान लगाना	विशेषज्ञ अनुमान लगाते हैं कि कीमत और बढ़ेगी।
推翻	उखाड़ फेंकना	लोगों ने पुरानी व्यवस्था को उखाड़ फेंका।
推理	तर्क-विचार	इस उपन्यास में तर्क-विचार से भरे प्रसंग हैं।
推论	निष्कर्ष	इस निष्कर्ष को अभी प्रमाण का समर्थन चाहिए।
推销	बेचना	वह नए उत्पाद बेचने के लिए ज़िम्मेदार है।
吞吞吐吐	हकलाते हुए बोलना	प्रश्न का उत्तर देते समय वह हकलाते हुए बोला।
托运	चेक-इन सामान भेजना	यात्री काउंटर पर सामान चेक-इन करा सकते हैं।
拖延	टालना	भुगतान का समय और मत टालो।
脱离	अलग होना	सिद्धांत वास्तविकता से अलग नहीं हो सकता।
妥当	उचित	यह व्यवस्था बहुत उचित है।
妥善	ठीक से	कृपया महत्वपूर्ण दस्तावेज़ ठीक से सुरक्षित रखें।
妥协	समझौता	दोनों पक्ष अंततः समझौते पर पहुँचे।
椭圆	दीर्घवृत्त	पृथ्वी की कक्षा दीर्घवृत्त के निकट है।
唾弃	तिरस्कार करना	समाज इस तरह की धोखाधड़ी का तिरस्कार करता है।
哇	वाह	वाह, यह पुल सचमुच भव्य है।
挖掘	खोदना	पुरातत्व दल प्राचीन कब्र खोद रहा है।
娃娃	गुड़िया	छोटी लड़की ने एक गुड़िया पकड़ी हुई थी।
瓦解	विघटित होना	आंतरिक विरोधाभासों ने गठबंधन को विघटित कर दिया।
歪曲	तोड़-मरोड़ना	रिपोर्ट को तथ्यों को तोड़-मरोड़ना नहीं चाहिए।
外表	बाहरी रूप	केवल बाहरी रूप से व्यक्ति का निर्णय मत करो।
外行	अनाड़ी	कानून के मामले में मैं पूरी तरह अनाड़ी हूँ।
外界	बाहरी दुनिया	कंपनी बाहरी दुनिया की आलोचना पर कम जवाब देती है।
外向	बहिर्मुखी	उसका स्वभाव बहिर्मुखी है और उसके कई दोस्त हैं।
丸	गोली	डॉक्टर ने उसे कुछ गोलियाँ दीं।
完备	पूर्ण	यह सामग्री बहुत पूर्ण है।
完毕	समाप्त	बैठक समाप्त हो चुकी है।
玩弄	खिलवाड़ करना	दूसरों की भावनाओं से खिलवाड़ मत करो।
玩意儿	चीज़	यह कौन सी नई चीज़ है।
顽固	हठी	उसका रवैया बहुत हठी है।
顽强	दृढ़	घायल व्यक्ति ने बहुत दृढ़ता दिखाई।
惋惜	अफ़सोस करना	असफलता पर सबको अफ़सोस हुआ।
挽回	वापस पाना	उसने कंपनी का नुकसान वापस पाने की कोशिश की।
挽救	बचाना	डॉक्टरों ने रोगी का जीवन सफलतापूर्वक बचाया।
万分	अत्यंत	मैं आपकी मदद के लिए अत्यंत आभारी हूँ।
往常	सामान्य दिनों की तुलना में	आज सामान्य दिनों की तुलना में अधिक गर्मी है।
往事	बीती बातें	बुज़ुर्ग अक्सर बीती बातें याद करते हैं।
妄想	भ्रम पालना	वह एक रात में अमीर बनने का भ्रम पालता है।
危机	संकट	कंपनी गंभीर संकट का सामना कर रही है।
威风	रोबदार	जनरल घोड़े पर बहुत रोबदार लग रहा था।
威力	शक्ति	इस हथियार की शक्ति बहुत बड़ी है।
威望	प्रतिष्ठा	गाँव में उसकी बहुत प्रतिष्ठा है।
威信	विश्वसनीय प्रतिष्ठा	नेता को सरकार की विश्वसनीय प्रतिष्ठा बनाए रखनी चाहिए।
微不足道	नगण्य	यह नुकसान नगण्य है।
微观	सूक्ष्म	यह पाठ्यक्रम सूक्ष्म अर्थशास्त्र का परिचय देता है।
为难	मुश्किल में डालना	सेवक को और मुश्किल में मत डालो।
为期	अवधि होना	प्रशिक्षण की अवधि तीन महीने है।
唯独	केवल	सब आ गए, केवल वह नहीं आया।
维持	बनाए रखना	पुलिस घटनास्थल की व्यवस्था बनाए रख रही है।
维护	रक्षा करना	हमें वैध अधिकारों की रक्षा करनी चाहिए।
维生素	विटामिन	फलों में विटामिन प्रचुर मात्रा में होते हैं।
违背	उल्लंघन करना	यह निर्णय अनुबंध की भावना का उल्लंघन करता है।
伪造	जाली बनाना	किसी ने उसके हस्ताक्षर जाली बनाए।
委托	सौंपना	ग्राहक ने वकील को मामला सँभालने के लिए सौंपा।
委员	समिति सदस्य	हर समिति सदस्य ने अपनी राय व्यक्त की।
卫星	उपग्रह	उपग्रह निर्धारित कक्षा में प्रवेश कर गया।
喂	खिलाना	बच्चा छोटी बिल्ली को खाना खिला रहा है।
慰问	सांत्वना भेंट करना	नेता अस्पताल में घायलों से सांत्वना भेंट करने गए।
未免	कुछ ज़्यादा ही	यह माँग कुछ ज़्यादा ही ऊँची है।
畏惧	डरना	वह कठिनाइयों से कभी नहीं डरता।
蔚蓝	गहरा नीला	आकाश गहरे नीले रंग का दिखाई दिया।
温带	समशीतोष्ण क्षेत्र	यह पौधा समशीतोष्ण जलवायु के लिए उपयुक्त है।
温和	मध्यम	उसका नीतिगत रुख अपेक्षाकृत मध्यम है।
文凭	डिग्री प्रमाणपत्र	इस नौकरी के लिए विश्वविद्यालय डिग्री प्रमाणपत्र चाहिए।
文物	सांस्कृतिक अवशेष	संग्रहालय ने मूल्यवान सांस्कृतिक अवशेष प्रदर्शित किए।
文献	साहित्य-स्रोत	शोधपत्र ने बहुत से साहित्य-स्रोत उद्धृत किए।
文雅	शालीन	उसका आचरण शालीन है।
文艺	साहित्यिक-कला	इस शहर का साहित्यिक-कला वातावरण गहरा है।
问世	बाज़ार में आना	यह मोबाइल फ़ोन जल्द बाज़ार में आएगा।
窝	घोंसला	पेड़ पर एक पक्षी का घोंसला है।
乌黑	घना काला	उसके लंबे बाल घने काले हैं।
污蔑	बदनाम करना	उसने प्रतिद्वंद्वी को बदनाम करने से इनकार किया।
诬陷	झूठा फँसाना	सबूत दिखाते हैं कि उसे झूठा फँसाया गया था।
无比	बेहद	खबर सुनकर वह बेहद उत्साहित हुआ।
无偿	निःशुल्क	स्वयंसेवकों ने निःशुल्क सेवा दी।
无耻	निर्लज्ज	इस तरह की धोखाधड़ी बेहद निर्लज्ज है।
无动于衷	उदासीन रहना	आलोचना के सामने वह उदासीन रहा।
无非	बस इतना ही	उसने ऐसा बस पैसा बचाने के लिए किया।
无辜	निर्दोष	अदालत ने माना कि वह निर्दोष है।
无精打采	मुरझाया हुआ	वह आज मुरझाया हुआ लग रहा है।
无赖	गुंडा	गाँव वाले उस गुंडे से मेलजोल नहीं रखना चाहते।
无理取闹	बेवजह हंगामा करना	कृपया यहाँ बेवजह हंगामा न करें।
无能为力	कुछ न कर पाना	बाढ़ के सामने गाँव वाले कुछ न कर सके।
无穷无尽	अंतहीन	रेगिस्तान अंतहीन दिखाई देता था।
无微不至	बहुत बारीक देखभाल वाला	नर्स ने रोगी की बहुत बारीक देखभाल की।
无忧无虑	निश्चिंत	बच्चे घास पर निश्चिंत होकर खेल रहे थे।
无知	अज्ञानता	अज्ञानता सीखने से इनकार करने का कारण नहीं है।
侮辱	अपमान करना	उसकी बातों ने दूसरे पक्ष का अपमान किया।
武器	हथियार	इन हथियारों को एक साथ सुरक्षित रखा गया।
武侠	वीर-युद्ध कथा	उसे बचपन से वीर-युद्ध उपन्यास पढ़ना पसंद है।
武装	सशस्त्र	सीमा क्षेत्र में सशस्त्र गश्त बढ़ा दी गई।
舞蹈	नृत्य	इस नृत्य में जातीय विशेषता स्पष्ट है।
务必	अवश्य	कृपया अवश्य समय पर पहुँचें।
物美价廉	अच्छा और सस्ता	इस दुकान का सामान अच्छा और सस्ता है।
物业	संपत्ति प्रबंधन	संपत्ति प्रबंधन आवासीय परिसर की मरम्मत देखता है।
物资	सामग्री	राहत सामग्री आपदा क्षेत्र में पहुँच चुकी है।
误差	त्रुटि	माप के परिणाम में हल्की त्रुटि है।
误解	गलतफहमी	दोनों पक्षों ने बातचीत से गलतफहमी दूर की।
夕阳	ढलता सूरज	ढलते सूरज ने आकाश को सुनहरा कर दिया।
昔日	पुराने दिनों का	पुराने दिनों का छोटा गाँव शहर बन गया।
溪	छोटी धारा	छोटी धारा पहाड़ों के बीच से बहती है।
熄灭	बुझाना	कृपया मोमबत्ती बुझा दें।
牺牲	बलिदान	उन्होंने लोगों को बचाने के लिए बलिदान दिया।
膝盖	घुटना	उसका घुटना घायल हो गया।
习俗	रीति-रिवाज	वसंतोत्सव में कई पारंपरिक रीति-रिवाज होते हैं।
媳妇	बहू	उसकी बहू अस्पताल में काम करती है।
袭击	हमला करना	तूफान ने तटीय शहर पर हमला किया।
喜闻乐见	लोकप्रिय	इस तरह का कार्यक्रम दर्शकों में लोकप्रिय है।
喜悦	हर्ष	उसके चेहरे पर हर्ष की मुस्कान दिखाई दी।
系列	श्रृंखला	कंपनी ने नए उत्पादों की श्रृंखला जारी की।
细菌	जीवाणु	तेज़ गर्मी जीवाणुओं को मार सकती है।
细胞	कोशिका	मानव शरीर अनगिनत कोशिकाओं से बना है।
细致	सूक्ष्म	उसका निरीक्षण बहुत सूक्ष्म था।
峡谷	घाटी	नदी गहरी घाटी से होकर गुजरी।
狭隘	संकीर्ण	इस संकीर्ण दृष्टिकोण को बदलना होगा।
狭窄	तंग	यह छोटी सड़क बहुत तंग है।
霞	लाली	संध्या की लाली ने आकाश को लाल कर दिया।
下属	अधीनस्थ	प्रबंधक ने अधीनस्थों की राय ध्यान से सुनी।
先进	उन्नत	कारखाने ने उन्नत उपकरण अपनाए।
先前	पहले का	पहले की योजना बदल चुकी है।
掀起	उभारना	इस किताब ने चर्चा की लहर उभारी।
纤维	रेशा	इस कपड़े में प्राकृतिक रेशा है।
鲜明	स्पष्ट	उसका रुख बहुत स्पष्ट है।
嫌	नापसंद करना	उसे कमरा बहुत छोटा लगा और नापसंद हुआ।
嫌疑	संदेह	इस आदमी पर गंभीर संदेह है।
弦	तार	गिटार का एक तार टूट गया।
衔接	जोड़ना	दोनों पाठ्यक्रमों की सामग्री अच्छी तरह जुड़ी है।
贤惠	सुशील	उसे सुशील और सक्षम माना जाता है।
闲话	चुगली	दूसरों की पीठ पीछे चुगली मत करो।
显著	महत्वपूर्ण	इलाज का प्रभाव बहुत महत्वपूर्ण है।
宪法	संविधान	संविधान नागरिकों के मूल अधिकारों की रक्षा करता है।
现场	घटनास्थल	पत्रकार दुर्घटना के घटनास्थल पर पहुँच चुके हैं।
现成	तैयार	रसोई में तैयार खाना है।
现状	वर्तमान स्थिति	हमें उद्योग की वर्तमान स्थिति समझनी होगी।
线索	सुराग	पुलिस को नया सुराग मिला।
陷害	फँसाना	उसने कहा कि किसी ने उसे फँसाया है।
陷阱	जाल	शिकारी ने एक जाल लगाया।
陷入	फँस जाना	कंपनी धन संकट में फँस गई।
馅儿	भरावन	इस बन की भरावन बहुत सुगंधित है।
乡镇	कस्बा	कस्बों के स्कूलों की स्थिति सुधर रही है।
相差	अंतर होना	दोनों जगहों के तापमान में दस डिग्री का अंतर है।
相等	बराबर होना	दोनों त्रिभुजों का क्षेत्रफल बराबर है।
相辅相成	एक-दूसरे को पूरक होना	सिद्धांत और व्यवहार एक-दूसरे को पूरक हैं।
相应	उचित	कंपनी उचित कदम उठाएगी।
镶嵌	जड़ना	अंगूठी में एक रत्न जड़ा हुआ है।
响亮	गूँजदार	उसका उत्तर गूँजदार आवाज़ में था।
响应	समर्थन में आगे आना	बहुत से लोग पर्यावरण पहल के समर्थन में आगे आए।
想方设法	हर उपाय सोचना	उन्होंने लागत घटाने के लिए हर उपाय सोचा।
向导	मार्गदर्शक	स्थानीय मार्गदर्शक हमें पहाड़ में ले गया।
向来	हमेशा से	वह हमेशा से साख को महत्व देता है।
向往	लालसा रखना	वह शांत जीवन की लालसा रखती है।
巷	गली	पुरानी गली में कई छोटी दुकानें खुल गईं।
相声	हास्य संवाद	दादाजी पारंपरिक हास्य संवाद सुनना पसंद करते हैं।
消除	दूर करना	बातचीत गलतफहमी दूर कर सकती है।
消毒	कीटाणुरहित करना	डॉक्टर ने घाव को कीटाणुरहित किया।
消防	अग्निशमन	अग्निशमन कर्मी जल्दी घटनास्थल पर पहुँचे।
消耗	खर्च करना	लंबी यात्रा बहुत शारीरिक शक्ति खर्च करती है।
消灭	नष्ट करना	कर्मचारी कीटों को नष्ट कर रहे हैं।
潇洒	आत्मविश्वासी और बेफिक्र	उसका चलने का अंदाज़ आत्मविश्वासी और बेफिक्र था।
销毁	नष्ट कर देना	सीमा शुल्क ने नकली सामान नष्ट कर दिया।
小心翼翼	बहुत सावधानी से	उसने बहुत सावधानी से डिब्बा खोला।
效益	लाभकारी परिणाम	नई मशीनों ने उत्पादन के लाभकारी परिणाम बढ़ाए।
肖像	चित्र	दीवार पर उसका चित्र टँगा है।
协会	संघ	यह संघ युवा उद्यमियों की मदद करता है।
协商	परामर्श करना	दोनों पक्ष आगे परामर्श करना चाहते हैं।
协调	समन्वय करना	परियोजना प्रबंधक संसाधनों का समन्वय करता है।
协议	समझौता	दोनों पक्षों ने सहयोग समझौते पर हस्ताक्षर किए।
协助	सहायता करना	स्वयंसेवकों ने वृद्धों को सड़क पार करने में सहायता की।
携带	साथ ले जाना	यात्री खतरनाक वस्तुएँ साथ नहीं ले जा सकते।
屑	बुरादा	मेज़ पर बहुत सा लकड़ी का बुरादा है।
泄露	लीक करना	कर्मचारी ग्राहक जानकारी लीक नहीं कर सकते।
泄气	हिम्मत हारना	असफलता के बाद हिम्मत मत हारो।
谢绝	विनम्रता से मना करना	होटल बाहर का खाना लाने से विनम्रता से मना करता है।
心得	अनुभव से सीखी बात	उसने पढ़ाई से जुड़ी अपनी अनुभव-सीखी बातें साझा कीं।
心甘情愿	खुशी-खुशी राज़ी	वह खुशी-खुशी मदद के लिए रुक गया।
心灵	मन	संगीत ने उसके मन को सुकून दिया।
心态	मानसिकता	सकारात्मक मानसिकता बनाए रखना बहुत महत्वपूर्ण है।
心疼	तरस आना	माँ को घायल बच्चे पर बहुत तरस आया।
心血	मेहनत और लगन	इस किताब में लेखक की मेहनत और लगन लगी है।
心眼儿	छोटी सोच	उसकी सोच थोड़ी छोटी है।
新陈代谢	चयापचय	व्यायाम चयापचय को बढ़ा सकता है।
新郎	दूल्हा	दूल्हा दरवाज़े पर मेहमानों का स्वागत कर रहा था।
新娘	दुल्हन	दुल्हन ने सफेद विवाह पोशाक पहनी थी।
新颖	नया और अनोखा	यह डिज़ाइन बहुत नया और अनोखा है।
欣慰	संतोष होना	बच्चे की प्रगति देखकर उसे संतोष हुआ।
欣欣向荣	फलना-फूलना	छोटे कस्बे का पर्यटन फल-फूल रहा है।
薪水	वेतन	उसका वेतन परिवार पालने के लिए पर्याप्त है।
辛勤	मेहनती	किसान मेहनत से फसल उगाते हैं।
信赖	भरोसा करना	ग्राहक इस कंपनी पर बहुत भरोसा करते हैं।
信念	विश्वास	मजबूत विश्वास ने उसे सहारा दिया।
信仰	आस्था	वह अलग-अलग आस्थाओं का सम्मान करती है।
信誉	प्रतिष्ठा	उद्यम को अपनी प्रतिष्ठा बनाए रखनी चाहिए।
兴高采烈	बहुत प्रसन्न	बच्चे बहुत प्रसन्न होकर कक्षा में दौड़े।
兴隆	फलता-फूलता	इस पुरानी दुकान का कारोबार फलता-फूलता है।
兴旺	समृद्ध	बाज़ार अर्थव्यवस्था और समृद्ध हो रही है।
腥	मछली जैसी गंध वाला	इस मछली में थोड़ी मछली जैसी गंध है।
刑事	आपराधिक	पुलिस आपराधिक मामले की जाँच कर रही है।
形态	रूप	पौधे का रूप वातावरण के साथ बदलता है।
行政	प्रशासनिक	प्रशासनिक विभाग आवेदन सँभालता है।
兴致勃勃	उत्साह से भरा	सब लोग उत्साह से योजना पर चर्चा कर रहे थे।
性感	आकर्षक	यह पोशाक बहुत आकर्षक लगती है।
性命	प्राण	डॉक्टर ने उसके प्राण बचाए।
性能	प्रदर्शन क्षमता	इस कंप्यूटर की प्रदर्शन क्षमता अच्छी है।
凶恶	क्रूर	यह कुत्ता बहुत क्रूर दिखाई देता है।
凶手	हत्यारा	पुलिस ने आखिरकार हत्यारे को पकड़ लिया।
汹涌	उफनता हुआ	समुद्री लहरें उफनती हुई तट से टकराईं।
胸怀	दिलदारी	उसमें बहुत व्यापक दिलदारी है।
胸膛	सीना	सिपाही ने सीना तान लिया।
雄厚	मजबूत	कंपनी के पास मजबूत पूँजी है।
雄伟	भव्य	यह पुल बहुत भव्य है।
修复	मरम्मत करना	अभियंता प्रणाली की मरम्मत कर रहे हैं।
修建	निर्माण करना	सरकार नया हवाई अड्डा बनाने की योजना बना रही है।
修养	संस्कार	अच्छे संस्कार विवरणों में दिखते हैं।
羞耻	शर्म	झूठ बोलने के बाद उसे शर्म महसूस हुई।
嗅觉	घ्राण शक्ति	कुत्ते की घ्राण शक्ति बहुत तेज होती है।
绣	कढ़ाई करना	दादी फूलों की कढ़ाई कर सकती हैं।
虚假	झूठा	वेबसाइट ने झूठी खबर प्रकाशित की।
虚荣	दिखावे की चाह	दिखावे की चाह ने उससे बहुत खर्च करवाया।
虚伪	कपटी	उसे कपटी शिष्टाचार पसंद नहीं है।
需求	माँग	बाज़ार की माँग बढ़ रही है।
须知	ज़रूरी जानकारी	कृपया पहले पंजीकरण की ज़रूरी जानकारी पढ़ें।
许可	अनुमति	बिना अनुमति भीतर नहीं जा सकते।
序言	भूमिका	लेखक ने भूमिका में पृष्ठभूमि समझाई।
畜牧	पशुपालन	घास का मैदान पशुपालन के विकास के लिए उपयुक्त है।
酗酒	अत्यधिक शराब पीना	लंबे समय तक अत्यधिक शराब पीना स्वास्थ्य को नुकसान पहुँचाता है।
喧哗	शोर मचाना	पुस्तकालय में शोर मचाना मना है।
宣誓	शपथ लेना	नए सदस्यों ने बैठक में शपथ ली।
宣扬	प्रचार करना	स्कूल ईमानदारी और भरोसे का प्रचार करता है।
悬挂	लटकाना	दीवार पर एक चित्र लटका हुआ है।
悬念	रहस्य	फ़िल्म के अंत में रहस्य बचा रहा।
悬殊	बहुत बड़ा अंतर	दोनों टीमों की ताकत में बहुत बड़ा अंतर है।
悬崖峭壁	खड़ी चट्टान	पहाड़ी रास्ते के बगल में खड़ी चट्टान थी।
旋律	धुन	इस गीत की धुन सुंदर है।
旋转	घूमना	पवनचक्की हवा में घूम रही है।
选拔	चयन करना	स्कूल खिलाड़ियों का चयन कर रहा है।
选举	चुनाव	गाँव में चुनाव हुआ।
选手	प्रतियोगी	इस प्रतियोगी का प्रदर्शन स्थिर है।
炫耀	दिखावा करना	वह हमेशा धन का दिखावा करना पसंद करता है।
削	काटना	कंपनी ने कुछ खर्च काट दिए।
削弱	कमज़ोर करना	थकान निर्णय क्षमता को कमज़ोर कर देती है।
学说	सिद्धांत	इस सिद्धांत का प्रभाव बहुत बड़ा है।
学位	उपाधि	उसने स्नातकोत्तर उपाधि प्राप्त की।
雪上加霜	मुसीबत पर मुसीबत	नौकरी छूटना और बीमार पड़ना मुसीबत पर मुसीबत था।
血压	रक्तचाप	डॉक्टर ने उसे रक्तचाप नियंत्रित रखने को कहा।
熏陶	संस्कारित प्रभाव	वह बचपन से संगीत के संस्कारित प्रभाव में रही।
寻觅	खोजना	वे हर जगह उपयुक्त मकान खोज रहे थे।
巡逻	गश्त करना	पुलिस रात में सड़क पर गश्त करती है।
循环	चक्र में घूमना	पानी प्रणाली में चक्र में घूमता है।
循序渐进	क्रमिक रूप से आगे बढ़ना	भाषा सीखने में क्रमिक रूप से आगे बढ़ना चाहिए।
压迫	दमन करना	पुरानी व्यवस्था आम लोगों का दमन करती थी।
压岁钱	नववर्ष धन	बच्चों को नववर्ष धन मिला।
压缩	संपीड़ित करना	सॉफ़्टवेयर चित्र का आकार संपीड़ित कर सकता है।
压抑	दबाना	उसने भीतर के गुस्से को दबाने की कोशिश की।
压榨	निचोड़ना	मशीन गन्ने का रस निचोड़ रही है।
压制	दबाना	दवा दर्द को दबा सकती है।
鸦雀无声	पूर्ण सन्नाटा	शिक्षक के आते ही कक्षा में पूर्ण सन्नाटा छा गया।
亚军	उपविजेता	वह प्रतियोगिता में उपविजेता बनी।
淹没	डुबो देना	बाढ़ ने निचले गाँवों को डुबो दिया।
烟花爆竹	आतिशबाज़ी और पटाखे	त्योहार के दौरान आतिशबाज़ी और पटाखे चलाना मना है।
严峻	गंभीर	रोज़गार की स्थिति अब भी गंभीर है।
严寒	कड़ाके की ठंड	कड़ाके की ठंड ने यातायात को प्रभावित किया।
严禁	सख्त मनाही	यहाँ धूम्रपान की सख्त मनाही है।
严厉	कड़ा	शिक्षक ने उसे कड़ी आलोचना की।
严密	कड़ा और व्यवस्थित	गोदाम में कड़ी और व्यवस्थित निगरानी है।
岩石	चट्टान	समुद्र किनारे की चट्टान बहुत कठोर है।
延期	स्थगित करना	बैठक अगले सप्ताह तक स्थगित कर दी गई।
延伸	फैलना	सड़क उत्तर की ओर फैलती है।
延续	जारी रहना	यह परंपरा सौ वर्षों से जारी है।
沿海	तटीय	तटीय शहरों में व्यापार विकसित है।
炎热	भीषण गर्म	भीषण गर्म मौसम लोगों को थका देता है।
言论	बयान	जनता उसके बयानों पर ध्यान देती है।
掩盖	छिपाना	उसने गलती छिपाने की कोशिश की।
掩护	आड़ देना	साथी ने पीछे हटने में आड़ दी।
掩饰	छिपाकर दिखाना	उसने घबराहट छिपाने की बहुत कोशिश की।
演变	विकसित होकर बदलना	शहर की रचना लगातार विकसित होकर बदल रही है।
演习	अभ्यास	स्कूल ने अग्निशमन अभ्यास आयोजित किया।
演绎	व्याख्यात्मक प्रदर्शन करना	शिक्षक ने इस प्रमेय की व्याख्या करके दिखाया।
演奏	वादन करना	बैंड शास्त्रीय संगीत का वादन कर रहा है।
眼光	दृष्टि	उसकी निवेश दृष्टि अच्छी है।
眼色	इशारा	उसने सहकर्मी को आँखों से इशारा किया।
眼神	नज़र	उसकी नज़र बहुत दृढ़ थी।
厌恶	घृणा करना	वह धोखाधड़ी से घृणा करता है।
验收	स्वीकृति-जाँच करना	काम पूरा होने के बाद स्वीकृति-जाँच करनी होगी।
验证	सत्यापित करना	प्रयोग ने परिकल्पना सत्यापित की।
氧气	ऑक्सीजन	रोगी को ऑक्सीजन लेने की ज़रूरत है।
样品	नमूना	ग्राहक को उत्पाद का नमूना मिला।
摇摆	डोलना	छोटी नाव हवा और लहरों में डोल रही थी।
摇滚	रॉक संगीत	युवाओं को रॉक संगीत पसंद है।
谣言	अफवाह	असत्यापित अफवाह न फैलाएँ।
遥控	दूर से नियंत्रित करना	उसने फ़ोन से वातानुकूलन दूर से नियंत्रित किया।
遥远	दूरस्थ	वह गाँव शहर से बहुत दूरस्थ है।
耀眼	चमकदार	धूप इतनी चमकदार थी कि आँखें चौंधिया गईं।
要点	मुख्य बिंदु	कृपया बैठक के मुख्य बिंदु लिख लें।
要命	जानलेवा	यह पहाड़ी रास्ता जानलेवा ख़तरनाक है।
要素	तत्व	भरोसा सहयोग का महत्वपूर्ण तत्व है।
野蛮	बर्बर	वह बर्बर कानून-प्रयोग का विरोध करता है।
野心	महत्त्वाकांक्षा	उसकी राजनीतिक महत्त्वाकांक्षा स्पष्ट है।
液体	द्रव	यह द्रव रंगहीन है।
一流	उच्चतम दर्जे का	इस अस्पताल के उपकरण उच्चतम दर्जे के हैं।
一如既往	हमेशा की तरह	वह हमेशा की तरह हमारा समर्थन करता है।
依旧	अब भी	बारिश रुक गई, पर सड़क अब भी गीली है।
依据	आधार	फ़ैसला कानून के आधार पर होना चाहिए।
依靠	सहारे जीना	वे कृषि के सहारे जीवन बिताते हैं।
依赖	निर्भर रहना	बच्चों को माता-पिता पर अत्यधिक निर्भर नहीं रहना चाहिए।
依托	आधार बनाकर विकसित होना	परियोजना स्थानीय संसाधनों के आधार पर विकसित होती है।
衣裳	कपड़े	उसने साफ कपड़े पहन लिए।
一度	एक समय	कंपनी एक समय दिवालियेपन के कगार पर थी।
一贯	लगातार	वह लगातार अपव्यय का विरोध करता रहा है।
一目了然	एक नज़र में स्पष्ट	तालिका की सामग्री एक नज़र में स्पष्ट है।
一向	हमेशा	वह हमेशा समय की पाबंद रही है।
仪器	उपकरण	प्रयोगशाला ने नए उपकरण खरीदे।
仪式	समारोह	स्नातक समारोह कल होगा।
疑惑	संदेह	छात्र को उत्तर पर संदेह हुआ।
遗产	विरासत	यह प्राचीन शहर सांस्कृतिक विरासत है।
遗传	वंशानुगत होना	यह बीमारी वंशानुगत हो सकती है।
遗留	छूट जाना	इतिहास से छूटे मुद्दे हल करने होंगे।
遗失	खो देना	यात्री ने पासपोर्ट खो दिया।
以便	ताकि	कृपया फ़ोन नंबर छोड़ दें ताकि संपर्क किया जा सके।
以免	ताकि न हो	जल्दी निकलो ताकि देर न हो।
以往	पहले का	पहले का अनुभव संदर्भ के योग्य है।
以至	यहाँ तक कि	दायरा समुदाय तक, यहाँ तक कि पूरे शहर तक फैल गया।
以致	जिससे	लगातार भारी बारिश हुई, जिससे सड़क बंद हो गई।
一帆风顺	सब कुछ सुचारु होना	व्यवसाय शुरू करना हमेशा सुचारु नहीं हो सकता।
一举两得	एक काम से दो लाभ	साइकिल से दफ़्तर जाना एक काम से दो लाभ देता है।
一丝不苟	बिल्कुल सावधान	अभियंता ने तारों की बिल्कुल सावधानी से जाँच की।
亦	भी	वह भी इस योजना से सहमत है।
异常	असामान्य	प्रणाली में असामान्य स्थिति आई।
意料	अनुमान	परिणाम पूरी तरह अनुमान से बाहर था।
意识	समझना	वह धीरे-धीरे समस्या की गंभीरता समझने लगा।
意图	मंशा	पुलिस ने उसकी मंशा समझ ली।
意味着	मतलब होना	चुप्पी का मतलब सहमति नहीं है।
意向	रुझान	दोनों पक्षों ने सहयोग का रुझान व्यक्त किया।
意志	इच्छाशक्ति	कठिनाइयाँ मनुष्य की इच्छाशक्ति की परीक्षा लेती हैं।
毅力	लगन	सफलता के लिए लंबी लगन चाहिए।
毅然	दृढ़तापूर्वक	वह दृढ़तापूर्वक कंपनी छोड़ गई।
翼	पंख	विमान के पंख की जाँच की गई।
