simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
却	jednak; ale	Mam wiele do powiedzenia, ale gdy się denerwuję, nie mogę mówić.	maar; toch	Ik heb veel te zeggen, maar als ik nerveus word, kan ik niets zeggen.	men; ändå	Jag har mycket att säga, men när jag blir nervös kan jag inte säga det.	men; likevel	Jeg har mye å si, men når jeg blir nervøs, får jeg ikke sagt det.
确实	rzeczywiście; naprawdę	Ta metoda rzeczywiście jest dobra.	inderdaad; werkelijk	Deze methode is inderdaad goed.	verkligen; faktiskt	Den här metoden är verkligen bra.	virkelig; faktisk	Denne metoden er faktisk god.
然而	jednak	Spędziłem dużo czasu na czytaniu tej książki, jednak nadal jej nie skończyłem.	echter; maar	Ik heb veel tijd besteed aan het lezen van dit boek, maar ik heb het nog steeds niet uit.	dock; men	Jag lade mycket tid på att läsa den här boken, men jag har fortfarande inte läst ut den.	imidlertid; men	Jeg brukte mye tid på å lese denne boken, men jeg er fortsatt ikke ferdig.
热闹	tętniący życiem; gwarny	Ta ulica jest bardzo tętniąca życiem.	levendig; druk	De straat is erg levendig.	livlig; stimmig	Gatan är mycket livlig.	livlig; travel	Gaten er veldig livlig.
任何	jakikolwiek; każdy	Mama rozumie mnie lepiej niż ktokolwiek.	elke; ieder	Mama begrijpt me beter dan wie dan ook.	vilken som helst; någon	Mamma förstår mig bättre än någon annan.	hvilken som helst; noen	Mamma forstår meg bedre enn noen andre.
任务	zadanie; misja	Osiemdziesiąt procent zadania jest ukończone.	de taak; de opdracht	Tachtig procent van de taak is voltooid.	en uppgift; ett uppdrag	Åttio procent av uppgiften är färdig.	en oppgave; et oppdrag	Åtti prosent av oppgaven er fullført.
扔	rzucać; wyrzucać	Proszę wyrzucić śmieci do kosza.	gooien; weggooien	Gooi het afval alstublieft in de vuilnisbak.	kasta; slänga	Släng skräpet i soptunnan, tack.	kaste; kaste bort	Vennligst kast søppelet i søppelbøtten.
仍然	nadal; wciąż	Dzisiaj nadal jest ładna pogoda.	nog steeds; toch	Het is vandaag nog steeds mooi weer.	fortfarande; ännu	Det är fortfarande fint väder idag.	fortsatt; fremdeles	Det er fortsatt fint vær i dag.
日记	dziennik; pamiętnik	Córka wyrobiła sobie nawyk codziennego pisania dziennika.	het dagboek	De dochter heeft de gewoonte ontwikkeld om elke dag in haar dagboek te schrijven.	en dagbok	Dottern har fått vanan att skriva dagbok varje dag.	en dagbok	Datteren har fått en vane med å skrive dagbok hver dag.
入口	wejście	Czekam na ciebie przy wejściu do budynku.	de ingang	Ik wacht op je bij de ingang van het gebouw.	en ingång	Jag väntar på dig vid ingången till byggnaden.	en inngang	Jeg venter på deg ved inngangen til bygningen.
散步	spacerować; iść na spacer	Szczeniak cały czas szedł za mną, gdy spacerowałem.	wandelen; een wandeling maken	De puppy bleef me volgen toen ik aan het wandelen was.	promenera; ta en promenad	Valpen följde efter mig hela tiden när jag promenerade.	spasere; gå en tur	Valpen fortsatte å følge etter meg da jeg gikk tur.
森林	las	Ten las jest bardzo duży.	het bos	Dit bos is erg groot.	en skog	Den här skogen är mycket stor.	en skog	Denne skogen er veldig stor.
沙发	sofa	Proszę usiąść na chwilę na sofie, pójdę nalać panu/pani filiżankę herbaty.	de bank; de sofa	Gaat u alstublieft even op de bank zitten, dan schenk ik een kop thee voor u in.	en soffa	Sätt dig gärna i soffan en stund, så går jag och häller upp en kopp te åt dig.	en sofa	Vennligst sitt litt i sofaen, så skal jeg helle opp en kopp te til deg.
伤心	być smutnym; boleć nad czymś	Po usłyszeniu tej wiadomości byłem bardzo smutny.	verdrietig zijn; gekwetst zijn	Na het horen van dit nieuws was ik erg verdrietig.	vara ledsen; bli sårad	Efter att ha hört nyheten blev jag mycket ledsen.	være lei seg; bli såret	Etter å ha hørt nyheten ble jeg veldig lei meg.
商量	omówić; naradzić się	Przyszedłeś w samą porę, omówmy to.	overleggen; bespreken	Je komt precies op tijd, laten we het even bespreken.	diskutera; rådgöra	Du kom precis i rätt tid, låt oss diskutera det.	diskutere; rådføre seg	Du kom akkurat i tide, la oss diskutere det.
稍微	trochę; nieco	Wystarczy odrobina niedbałości, żeby popełnić błąd.	een beetje; enigszins	Een beetje onzorgvuldigheid kan al tot fouten leiden.	lite; en aning	Lite slarv kan leda till misstag.	litt; en smule	Litt uforsiktighet kan føre til feil.
勺子	łyżka; łyżeczka	Przepraszam, upuściłem łyżkę na podłogę.	de lepel	Sorry, ik heb de lepel op de grond laten vallen.	en sked	Ursäkta, jag tappade skeden på golvet.	en skje	Beklager, jeg mistet skjeen på gulvet.
社会	społeczeństwo	Wszyscy bardzo interesują się tymi problemami społecznymi.	de samenleving; de maatschappij	Iedereen maakt zich grote zorgen over deze maatschappelijke problemen.	ett samhälle	Alla bryr sig mycket om de här samhällsproblemen.	et samfunn	Alle er veldig opptatt av disse samfunnsproblemene.
深	głęboki; późny; dogłębny	Łączy nas głęboka przyjaźń.	diep; laat; diepgaand	Er is een diepe vriendschap tussen ons.	djup; sen; ingående	Det finns en djup vänskap mellan oss.	dyp; sen; inngående	Det er et dypt vennskap mellom oss.
申请	złożyć wniosek; wniosek	Złożyłem w banku wniosek o kartę kredytową.	aanvragen; de aanvraag	Ik heb bij de bank een creditcard aangevraagd.	ansöka; en ansökan	Jag ansökte om ett kreditkort hos banken.	søke om; en søknad	Jeg søkte om et kredittkort i banken.
甚至	nawet; do tego stopnia	Wszyscy bawili się tak dobrze, że nawet zapomnieli o czasie.	zelfs; zozeer dat	Iedereen had zoveel plezier dat ze zelfs de tijd vergaten.	till och med; så mycket att	Alla hade så roligt att de till och med glömde tiden.	til og med; så mye at	Alle hadde det så gøy at de til og med glemte tiden.
生活	życie; żyć	W życiu zawsze pojawiają się jakieś kłopoty.	het leven; leven	In het leven kom je altijd wel problemen tegen.	ett liv; leva	I livet stöter man alltid på en del bekymmer.	et liv; å leve	I livet møter man alltid noen bekymringer.
生命	życie	Uważał sztukę za ważniejszą niż własne życie.	het leven	Hij vond kunst belangrijker dan zijn eigen leven.	ett liv	Han såg konsten som viktigare än sitt eget liv.	et liv	Han så på kunsten som viktigere enn sitt eget liv.
生意	biznes; interesy	Jego biznes staje się coraz większy.	de zaak; het bedrijf	Zijn zaak wordt steeds groter.	en affärsverksamhet; affärer	Hans affärer blir större och större.	en forretning; virksomhet	Forretningen hans blir større og større.
省	prowincja	Pochodzę z prowincji Shandong.	de provincie	Ik kom uit de provincie Shandong.	en provins	Jag kommer från provinsen Shandong.	en provins	Jeg kommer fra Shandong-provinsen.
剩	pozostać; zostać	Zostały tylko dwa jabłka.	overblijven; over zijn	Er zijn nog maar twee appels over.	återstå; bli kvar	Det finns bara två äpplen kvar.	gjenstå; være igjen	Det er bare to epler igjen.
失败	przegrać; ponieść porażkę	Chociaż doświadczyłem wielu porażek, nigdy się nie poddaję.	mislukken; verliezen; de mislukking	Hoewel ik veel mislukkingen heb meegemaakt, geef ik nooit op.	misslyckas; förlora; ett misslyckande	Även om jag har upplevt många misslyckanden ger jag aldrig upp.	mislykkes; tape; et nederlag	Selv om jeg har opplevd mange nederlag, gir jeg aldri opp.
失望	rozczarowany; stracić nadzieję	Jestem nim bardzo rozczarowany.	teleurgesteld; de hoop verliezen	Ik ben erg teleurgesteld in hem.	besviken; förlora hoppet	Jag är mycket besviken på honom.	skuffet; miste håpet	Jeg er veldig skuffet over ham.
师傅	mistrz; fachowiec; grzeczny zwrot do pracownika	Przepraszam, jak dojść do kina?	de vakman; beleefde aanspreekvorm	Meneer, mag ik vragen hoe ik bij de bioscoop kom?	en mästare; yrkesperson; artigt tilltal	Ursäkta, hur kommer jag till biografen?	en fagperson; høflig tiltale	Unnskyld, hvordan kommer jeg meg til kinoen?
十分	bardzo; wyjątkowo	Ona robi wszystko bardzo starannie.	zeer; heel	Zij doet dingen zeer zorgvuldig.	mycket; ytterst	Hon gör saker mycket noggrant.	svært; veldig	Hun gjør ting svært nøye.
实际	rzeczywisty; praktyczny; rzeczywistość	Użył praktycznego przykładu, żeby wyjaśnić ten problem.	werkelijk; praktisch; de werkelijkheid	Hij gebruikte een praktisch voorbeeld om dit probleem uit te leggen.	faktisk; praktisk; verklighet	Han använde ett praktiskt exempel för att förklara problemet.	faktisk; praktisk; virkelighet	Han brukte et praktisk eksempel for å forklare dette problemet.
实在	naprawdę; rzeczywiście; szczerze	Jestem naprawdę zbyt zmęczony.	echt; werkelijk; eerlijk gezegd	Ik ben echt te moe.	verkligen; faktiskt; ärligt talat	Jag är verkligen för trött.	virkelig; faktisk; ærlig talt	Jeg er virkelig altfor sliten.
使	sprawić; spowodować; umożliwić	Jego słowa bardzo mnie poruszyły.	doen; veroorzaken; mogelijk maken	Zijn woorden hebben me erg geraakt.	få; orsaka; möjliggöra	Hans ord gjorde mig mycket rörd.	få; forårsake; gjøre mulig	Ordene hans rørte meg veldig.
使用	używać; stosować	Chińczycy zwykle używają pałeczek do jedzenia.	gebruiken	Chinese mensen gebruiken meestal eetstokjes om te eten.	använda	Kineser använder vanligtvis ätpinnar när de äter.	bruke	Kinesere bruker vanligvis spisepinner når de spiser.
世纪	wiek; stulecie	Teraz jest XXI wiek.	de eeuw	Het is nu de 21e eeuw.	ett århundrade	Nu är det tjugoförsta århundradet.	et århundre	Nå er det det 21. århundret.
是否	czy; czy też nie	Nie jestem jeszcze pewien, czy on może przyjść.	of; al dan niet	Ik weet nog niet goed of hij kan komen.	om; huruvida	Jag är ännu inte helt säker på om han kan komma.	om; hvorvidt	Jeg er fortsatt ikke helt sikker på om han kan komme.
适合	pasować; nadawać się do czegoś	Zielone ubrania raczej mi nie pasują.	passen; geschikt zijn	Groene kleding staat me niet echt.	passa; vara lämplig	Gröna kläder passar mig inte särskilt bra.	passe; være egnet	Grønne klær kler meg egentlig ikke.
适应	przystosować się; przywyknąć	Czy potrafisz przystosować się do północnego klimatu?	zich aanpassen aan; wennen aan	Kun je je aanpassen aan het noordelijke klimaat?	anpassa sig till; vänja sig vid	Kan du anpassa dig till det nordliga klimatet?	tilpasse seg; venne seg til	Kan du tilpasse deg klimaet i nord?
收	otrzymać; przyjąć; zebrać	Otrzymałem twój list.	ontvangen; aannemen; verzamelen	Ik heb je brief ontvangen.	ta emot; samla in	Jag har fått ditt brev.	motta; ta imot; samle	Jeg har fått brevet ditt.
收入	dochód; przychód	Jego dochód jest wyższy niż wcześniej.	het inkomen; de opbrengst	Zijn inkomen is hoger dan vroeger.	en inkomst; intäkter	Hans inkomst är högre än tidigare.	en inntekt; inntekter	Inntekten hans er høyere enn før.
收拾	posprzątać; uporządkować; spakować	Pakuję bagaż.	opruimen; inpakken	Ik ben mijn bagage aan het inpakken.	städa; packa	Jag håller på att packa mitt bagage.	rydde; pakke	Jeg holder på å pakke bagasjen min.
首都	stolica	Stolicą Chin jest Pekin.	de hoofdstad	De hoofdstad van China is Beijing.	en huvudstad	Kinas huvudstad är Beijing.	en hovedstad	Kinas hovedstad er Beijing.
首先	przede wszystkim; najpierw	Najpierw trzeba dobrze odpocząć, a potem można dobrze pracować.	eerst; allereerst	Eerst moet je goed uitrusten, daarna kun je goed werken.	först; först och främst	Först måste man vila ordentligt, sedan kan man arbeta bra.	først; først og fremst	Først må man hvile godt, deretter kan man arbeide godt.
受不了	nie móc znieść; nie do wytrzymania	Jest zbyt gorąco, nie mogę tego znieść.	niet kunnen verdragen; onuitstaanbaar	Het weer is te heet, ik kan er niet tegen.	inte stå ut; outhärdlig	Det är för varmt, jag står inte ut.	ikke holde ut; uutholdelig	Været er for varmt, jeg holder det ikke ut.
受到	otrzymać; doznać; zostać poddanym	Jego powieść została dobrze przyjęta przez czytelników.	ontvangen; ondervinden; krijgen	Zijn roman werd goed ontvangen door de lezers.	få; ta emot; utsättas för	Hans roman blev väl mottagen av läsarna.	få; motta; bli utsatt for	Romanen hans ble godt mottatt av leserne.
售货员	sprzedawca; sprzedawczyni	Pracuję jako sprzedawca w centrum handlowym.	de verkoper; de verkoopster	Ik werk als verkoper in een winkelcentrum.	en försäljare; ett butiksbiträde	Jag arbetar som försäljare i ett köpcentrum.	en selger; en butikkansatt	Jeg jobber som selger på et kjøpesenter.
输	przegrać	Przegraliśmy ten mecz.	verliezen	We hebben deze wedstrijd verloren.	förlora	Vi förlorade den här matchen.	tape	Vi tapte denne kampen.
熟悉	znać dobrze; być zaznajomionym	Znam ich wszystkich bardzo dobrze.	bekend zijn met; goed kennen	Ik ken hen allemaal goed.	vara bekant med; känna väl	Jag känner dem alla mycket väl.	være kjent med; kjenne godt	Jeg kjenner dem alle godt.
数量	ilość; liczba	Liczba zapisujących się osób jest duża.	de hoeveelheid; het aantal	Het aantal mensen dat zich aanmeldt is groot.	en mängd; ett antal	Antalet personer som anmäler sig är stort.	en mengde; et antall	Antallet personer som melder seg på, er stort.
数字	cyfra; liczba	Proszę zapisać liczby wyraźnie.	het cijfer; het getal	Schrijf de cijfers alstublieft duidelijk op.	en siffra; ett tal	Skriv siffrorna tydligt, tack.	et tall; et siffer	Vennligst skriv tallene tydelig.
帅	przystojny; szykowny	On jest dziś bardzo elegancko ubrany.	knap; stijlvol	Hij is vandaag erg stijlvol gekleed.	snygg; stilig	Han är mycket stiligt klädd idag.	kjekk; stilig	Han er veldig stilig kledd i dag.
顺便	przy okazji; po drodze	W drodze z pracy do domu przy okazji kupiłem trochę warzyw.	meteen; en passant	Op weg naar huis van mijn werk heb ik meteen wat groenten gekocht.	i förbifarten; samtidigt	På vägen hem från jobbet köpte jag lite grönsaker samtidigt.	i samme slengen; samtidig	På vei hjem fra jobb kjøpte jeg noen grønnsaker i samme slengen.
顺利	gładko; pomyślnie	Mecz przebiegł bardzo sprawnie.	vlot; soepel	De wedstrijd verliep heel vlot.	smiedig; utan problem	Matchen gick mycket smidigt.	greit; problemfritt	Kampen gikk veldig greit.
顺序	kolejność; porządek	Proszę nie pomieszać kolejności.	de volgorde; de orde	Haal de volgorde alstublieft niet door elkaar.	en ordning; en följd	Blanda inte ihop ordningen, tack.	en rekkefølge; orden	Vennligst ikke rot til rekkefølgen.
说明	wyjaśnić; objaśnienie	Wyjaśnił wszystkim powód tej sprawy.	uitleggen; de uitleg	Hij legde de reden hiervoor aan iedereen uit.	förklara; en förklaring	Han förklarade orsaken till detta för alla.	forklare; en forklaring	Han forklarte årsaken til dette for alle.
硕士	magisterium; stopień magistra	Studiuję na uczelni na studiach magisterskich.	de master; de mastergraad	Ik studeer aan de universiteit voor een master.	en masterexamen; en masterstudent	Jag läser till master på universitetet.	en mastergrad; en masterstudent	Jeg tar en mastergrad ved universitetet.
死	umrzeć; martwy	To drzewo już obumarło.	doodgaan; dood	Deze boom is al dood.	dö; död	Det här trädet är redan dött.	dø; død	Dette treet er dødt allerede.
塑料袋	torba plastikowa; reklamówka	Aby chronić środowisko, proszę nie używać plastikowych toreb.	de plastic zak	Gebruik alstublieft geen plastic zakken om het milieu te beschermen.	en plastpåse	För att skydda miljön, använd inte plastpåsar.	en plastpose	For å beskytte miljøet, vennligst ikke bruk plastposer.
速度	prędkość	Jego prędkość biegu jest naprawdę duża!	de snelheid	Hij loopt echt snel!	en hastighet	Han springer verkligen snabbt!	en hastighet	Han løper virkelig fort!
酸	kwaśny; cierpki	Winogrona, które kupiłeś, są trochę kwaśne.	zuur; wrang	De druiven die je hebt gekocht zijn een beetje zuur.	sur; syrlig	Druvorna du köpte är lite sura.	sur; syrlig	Druene du kjøpte, er litt sure.
随便	dowolnie; jak kto chce	Proszę, siadajcie, gdzie chcecie.	willekeurig; zoals men wil	Ga alstublieft zitten waar u wilt.	som man vill; var som helst	Var snälla och sitt var ni vill.	som man vil; hvor som helst	Vær så snill, sitt hvor dere vil.
随着	wraz z; w miarę	Wraz z rozwojem gospodarki życie ludzi znacznie się poprawiło.	met; naarmate	Met de ontwikkeling van de economie is het leven van mensen sterk verbeterd.	med; i takt med	I takt med den ekonomiska utvecklingen har människors liv förbättrats mycket.	med; etter hvert som	Med den økonomiske utviklingen har folks liv blitt mye bedre.
孙子	wnuk	Dziadek bardzo lubi swojego wnuka.	de kleinzoon	Opa houdt heel veel van zijn kleinzoon.	en sonson	Farfar tycker mycket om sitt barnbarn.	et barnebarn; en sønnesønn	Bestefar er veldig glad i barnebarnet sitt.
所有	wszystko; wszyscy; posiadać	Wszyscy uważali, że to była jego wina.	alle; alles; bezitten	Iedereen vond dat hij ongelijk had.	alla; allting; äga	Alla tyckte att han hade fel.	alle; alt; eie	Alle mente at han tok feil.
台	liczebnik klasyfikujący do urządzeń; platforma	Ten komputer został niedawno kupiony.	het telwoord voor apparaten; het platform	Deze computer is pas gekocht.	ett räkneord för apparater; en plattform	Den här datorn är nyköpt.	et telleord for apparater; en plattform	Denne datamaskinen er nykjøpt.
抬	podnieść; nieść razem	Wnieśli biurko do sali lekcyjnej.	optillen; dragen	Zij droegen de tafel het klaslokaal in.	lyfta; bära	De bar skrivbordet in i klassrummet.	løfte; bære	De bar pulten inn i klasserommet.
态度	postawa; nastawienie; sposób bycia	Pracownik obsługi ma bardzo dobrą postawę wobec klientów.	de houding; de instelling	De houding van de medewerker tegenover klanten is erg goed.	en attityd; ett bemötande	Servicepersonalens bemötande mot kunderna är mycket bra.	en holdning; en innstilling	Servicearbeiderens holdning til kundene er veldig god.
弹钢琴	grać na pianinie	Zacząłem uczyć się grać na pianinie, gdy miałem cztery lata.	pianospelen	Ik begon piano te leren spelen toen ik vier was.	spela piano	Jag började lära mig spela piano när jag var fyra år.	spille piano	Jeg begynte å lære å spille piano da jeg var fire år.
谈	rozmawiać; omawiać	Chcę porozmawiać z tobą o jeszcze jednej sprawie.	praten; bespreken	Ik wil nog met je praten over iets anders.	prata; diskutera	Jag vill prata med dig om en sak till.	snakke; diskutere	Jeg vil snakke med deg om en annen ting.
汤	zupa; bulion	Zupa nie jest słona, dodajmy jeszcze trochę soli.	de soep; de bouillon	De soep is niet zout, laten we nog wat zout toevoegen.	en soppa; en buljong	Soppan är inte salt, låt oss lägga i lite mer salt.	en suppe; en buljong	Suppen er ikke salt, la oss tilsette litt mer salt.
糖	cukier; cukierek	Mam ochotę zjeść cukierka.	de suiker; het snoepje	Ik wil graag een snoepje eten.	socker; en karamell	Jag vill äta en karamell.	sukker; godteri	Jeg har lyst på litt godteri.
躺	leżeć; położyć się	Zasnęła, leżąc w łóżku.	liggen; gaan liggen	Zij viel in slaap terwijl ze in bed lag.	ligga; lägga sig	Hon somnade när hon låg i sängen.	ligge; legge seg	Hun sovnet mens hun lå i sengen.
趟	liczebnik dla podróży; raz	W zeszłym miesiącu pojechałem raz do Pekinu.	keer; rit	Vorige maand ben ik een keer naar Beijing gegaan.	en gång; en resa	Förra månaden åkte jag en gång till Beijing.	en tur; en gang	Forrige måned dro jeg en tur til Beijing.
讨论	dyskutować; omówić	Zróbmy spotkanie i omówmy to.	bespreken; discussiëren	Laten we vergaderen om het te bespreken.	diskutera; gå igenom	Vi håller ett möte och diskuterar det.	diskutere; drøfte	La oss ha et møte og diskutere det.
讨厌	nie lubić; irytujący	Ta pogoda jest naprawdę irytująca.	vervelend; een hekel hebben aan	Dit weer is echt vervelend.	irriterande; ogilla	Det här vädret är verkligen irriterande.	irriterende; mislike	Dette været er virkelig irriterende.
特点	cecha; właściwość	Cechą tej restauracji jest to, że jedzenie jest bardzo świeże.	het kenmerk; de eigenschap	Het kenmerk van dit restaurant is dat het eten erg vers is.	ett kännetecken; en egenskap	Det som kännetecknar den här restaurangen är att maten är mycket färsk.	et kjennetegn; en egenskap	Kjennetegnet ved denne restauranten er at maten er veldig fersk.
提	podnieść; nieść	Proszę podnieść tę torbę.	optillen; dragen	Til deze tas alstublieft op.	lyfta; bära	Var snäll och lyft upp den här väskan.	løfte; bære	Vennligst løft opp denne vesken.
提供	zapewnić; dostarczyć	Biblioteka zapewniła wszystkim spokojne miejsce do czytania.	aanbieden; verschaffen	De bibliotheek biedt iedereen een rustige leesomgeving.	erbjuda; tillhandahålla	Biblioteket erbjuder alla en lugn läsmiljö.	tilby; gi	Biblioteket tilbyr alle et stille lesemiljø.
提前	przed czasem; przyspieszyć	Wykonaliśmy zadanie przed terminem.	vooraf; vervroegen	We hebben de taak eerder dan gepland voltooid.	i förväg; tidigarelägga	Vi slutförde uppgiften före tidsplanen.	på forhånd; fremskynde	Vi fullførte oppgaven før planen.
提醒	przypomnieć; ostrzec	Już mu przypominałem, ale i tak zapomniał.	herinneren; waarschuwen	Ik heb hem al herinnerd, maar hij is het toch vergeten.	påminna; varna	Jag har redan påmint honom, men han glömde ändå.	minne om; advare	Jeg har allerede minnet ham på det, men han glemte det likevel.
填空	uzupełnić lukę	To jest zadanie z uzupełnianiem luk.	de lege plek invullen	Dit is een invulvraag.	fylla i en lucka	Det här är en fyll-i-luckan-fråga.	fylle ut et tomrom	Dette er en utfyllingsoppgave.
条件	warunek; kryterium	Ona bardzo dobrze spełnia nasze kryteria rekrutacyjne.	de voorwaarde; het criterium	Zij voldoet heel goed aan onze wervingscriteria.	ett villkor; ett kriterium	Hon uppfyller våra rekryteringskriterier mycket väl.	en betingelse; et kriterium	Hun oppfyller rekrutteringskriteriene våre veldig godt.
停	zatrzymać się; zaparkować	Samochód się zatrzymał.	stoppen; parkeren	De auto kwam tot stilstand.	stanna; parkera	Bilen stannade.	stoppe; parkere	Bilen stoppet.
挺	całkiem; dość	Ta książka jest całkiem dobra.	best; tamelijk	Dit boek is best goed.	ganska; rätt	Den här boken är ganska bra.	ganske; nokså	Denne boken er ganske bra.
通过	zdać; przejść; za pomocą	Zdałem już egzamin.	slagen voor; passeren	Ik ben al geslaagd voor het examen.	klara; passera	Jag har redan klarat provet.	bestå; passere	Jeg har allerede bestått eksamen.
通知	powiadomić; zawiadomienie	Proszę powiadomić wszystkich, żeby przyszli na spotkanie.	informeren; de kennisgeving	Informeer iedereen alstublieft dat ze naar de vergadering moeten komen.	meddela; ett meddelande	Meddela alla att de ska komma till mötet.	informere; en beskjed	Vennligst informer alle om å komme til møtet.
同情	współczuć; współczucie	Bardzo mu współczuję.	meeleven; de sympathie	Ik heb veel medelijden met hem.	känna medlidande; sympati	Jag känner mycket sympati för honom.	ha medfølelse; sympati	Jeg har stor medfølelse med ham.
同时	jednocześnie; w tym samym czasie	On słucha muzyki i jednocześnie odrabia lekcje.	tegelijkertijd	Hij luistert naar muziek terwijl hij huiswerk maakt.	samtidigt	Han lyssnar på musik samtidigt som han gör läxorna.	samtidig	Han hører på musikk samtidig som han gjør lekser.
推	pchać	Mój samochód się zepsuł, czy możesz mi pomóc go popchnąć?	duwen	Mijn auto is kapot, kun je hem even voor me duwen?	skjuta på	Min bil är trasig, kan du hjälpa mig att skjuta på den?	dytte	Bilen min er ødelagt, kan du hjelpe meg å dytte den?
推迟	opóźnić; przełożyć	Godzina odlotu samolotu została opóźniona o dwadzieścia minut.	uitstellen; vertragen	De vertrektijd van het vliegtuig is twintig minuten vertraagd.	skjuta upp; försena	Planets avgångstid sköts upp med tjugo minuter.	utsette; forsinke	Avgangstiden for flyet ble utsatt med tjue minutter.
脱	zdjąć; uwolnić się	W pokoju jest ciepło, zdejmij płaszcz.	uittrekken; ontsnappen	De kamer is warm, trek je jas maar uit.	ta av; komma loss	Rummet är varmt, ta av dig rocken.	ta av; komme seg løs	Rommet er varmt, ta av deg frakken.
袜子	skarpetki; pończochy	Wyprałem skarpetki do czysta.	de sokken	Ik heb mijn sokken schoongewassen.	strumpor	Jag har tvättat mina strumpor rena.	sokker	Jeg har vasket sokkene mine rene.
完全	całkowicie; zupełnie	Twój osąd jest całkowicie poprawny.	volledig; helemaal	Je oordeel is helemaal juist.	helt; fullständigt	Din bedömning är helt korrekt.	helt; fullstendig	Vurderingen din er helt riktig.
往往	często; zwykle	W niedziele on często chodzi do parku na spacer.	vaak; meestal	Op zondag gaat hij vaak in het park wandelen.	ofta; vanligtvis	På söndagar går han ofta till parken för att promenera.	ofte; vanligvis	På søndager går han ofte en tur i parken.
网球	tenis	Dopiero niedawno zacząłem uczyć się grać w tenisa.	tennis	Ik ben pas onlangs begonnen met tennissen.	tennis	Jag började nyligen lära mig spela tennis.	tennis	Jeg begynte først nylig å lære å spille tennis.
网站	strona internetowa	Na tej stronie jest dużo materiałów po chińsku.	de website	Er staat veel Chinees materiaal op deze website.	en webbplats	Det finns mycket kinesiskt material på den här webbplatsen.	et nettsted	Det finnes mye kinesisk materiale på dette nettstedet.
危险	niebezpieczeństwo; niebezpieczny	Samotna wspinaczka po górach nocą jest niebezpieczna.	het gevaar; gevaarlijk	Alleen 's avonds een berg beklimmen is gevaarlijk.	en fara; farlig	Att bestiga ett berg ensam på kvällen är farligt.	en fare; farlig	Å klatre i fjellet alene om kvelden er farlig.
卫生间	toaleta; łazienka	Przepraszam, gdzie jest toaleta?	het toilet; de badkamer	Pardon, waar is het toilet?	en toalett; ett badrum	Ursäkta, var är toaletten?	et toalett; et bad	Vennligst, hvor er toalettet?
味道	smak; zapach; posmak	Bułeczki w tej restauracji smakują bardzo dobrze.	de smaak; de geur	De broodjes in dit restaurant smaken erg goed.	en smak; en lukt	Bullarna på den här restaurangen smakar mycket gott.	en smak; en lukt	Bollene på denne restauranten smaker veldig godt.
温度	temperatura	Gdy zaczyna się zima, temperatura jest coraz niższa.	de temperatuur	Als de winter begint, wordt de temperatuur steeds lager.	en temperatur	När vintern kommer blir temperaturen lägre och lägre.	en temperatur	Når vinteren kommer, blir temperaturen lavere og lavere.
文章	artykuł; esej	Najważniejszą częścią artykułu jest trzeci akapit.	het artikel; het essay	Het belangrijkste deel van het artikel is de derde alinea.	en artikel; en uppsats	Den viktigaste delen av artikeln är tredje stycket.	en artikkel; et essay	Den viktigste delen av artikkelen er tredje avsnitt.
污染	zanieczyszczenie	Zanieczyszczenie środowiska staje się teraz coraz poważniejsze.	de vervuiling; de besmetting	Milieuvervuiling wordt tegenwoordig steeds ernstiger.	en förorening	Miljöföroreningar blir nu allt allvarligare.	en forurensning	Miljøforurensning blir stadig mer alvorlig nå.
无	bez; nie mieć	Jego słowa są bezpodstawne.	zonder; geen	Zijn woorden zijn ongegrond.	utan; sakna	Hans ord är ogrundade.	uten; mangle	Ordene hans er grunnløse.
无聊	nudny; znudzony	Ten program jest trochę nudny.	saai; verveeld	Dit programma is een beetje saai.	tråkig; uttråkad	Det här programmet är lite tråkigt.	kjedelig; lei	Dette programmet er litt kjedelig.
无论	bez względu na; niezależnie od	Bez względu na to, jak wyjaśniam, on nie rozumie.	ongeacht; hoe dan ook	Hoe ik het ook uitleg, hij begrijpt het niet.	oavsett; hur än	Oavsett hur jag förklarar det förstår han inte.	uansett; uavhengig av	Uansett hvordan jeg forklarer det, forstår han det ikke.
误会	źle zrozumieć; nieporozumienie	Przepraszam, źle cię zrozumiałem.	verkeerd begrijpen; het misverstand	Sorry, ik heb je verkeerd begrepen.	missförstå; ett missförstånd	Förlåt, jag missförstod dig.	misforstå; en misforståelse	Beklager, jeg misforsto deg.
吸引	przyciągać	Ten film jest bardzo wciągający.	aantrekken; boeien	Deze film is erg boeiend.	locka; attrahera	Den här filmen är mycket fängslande.	tiltrekke; engasjere	Denne filmen er veldig engasjerende.
西红柿	pomidor	Kupiłem kilka pomidorów.	de tomaat	Ik heb wat tomaten gekocht.	en tomat	Jag köpte några tomater.	en tomat	Jeg kjøpte noen tomater.
咸	słony	Dodałeś za dużo soli, danie jest trochę słone.	zout	Er zit te veel zout in, het gerecht is een beetje zout.	salt	Det är för mycket salt i, maten är lite salt.	salt	Det er for mye salt i, maten er litt salt.
