simplified	ML	example_ML
天文	ജ്യോതിശാസ്ത്രം	അവൻ രാത്രിയിൽ ജ്യോതിശാസ്ത്രം പഠിക്കുന്നു.
田径	ട്രാക്ക് ആൻഡ് ഫീൽഡ്	സ്കൂൾ ട്രാക്ക് ആൻഡ് ഫീൽഡ് മത്സരങ്ങൾ നടത്തി.
田野	വയൽപ്രദേശം	വസന്തത്തിൽ വയൽപ്രദേശം പച്ചയായി മാറി.
舔	നക്കുക	നായ പാത്രത്തിലെ വെള്ളം നക്കി.
挑剔	കുറ്റം കണ്ടെത്തുന്ന	അവൾ ഭക്ഷണത്തിൽ വളരെ കുറ്റം കണ്ടെത്തുന്നവളാണ്.
条款	വ്യവസ്ഥ	കരാറിലെ ഓരോ വ്യവസ്ഥയും ശ്രദ്ധിച്ച് വായിക്കണം.
条理	ക്രമം	അവന്റെ പ്രസംഗത്തിൽ നല്ല ക്രമമുണ്ട്.
条约	ഉടമ്പടി	രണ്ട് രാജ്യങ്ങളും സമാധാന ഉടമ്പടിയിൽ ഒപ്പിട്ടു.
调和	സമന്വയിപ്പിക്കുക	അവൾ വ്യത്യസ്ത അഭിപ്രായങ്ങൾ സമന്വയിപ്പിച്ചു.
调剂	സമതുലിതമാക്കുക	വിശ്രമവും ജോലിയും സമതുലിതമാക്കണം.
调节	നിയന്ത്രിച്ച് ക്രമപ്പെടുത്തുക	യന്ത്രം താപനില നിയന്ത്രിച്ച് ക്രമപ്പെടുത്തുന്നു.
调解	മധ്യസ്ഥത നടത്തുക	അധ്യാപകൻ രണ്ട് വിദ്യാർത്ഥികൾക്കിടയിൽ മധ്യസ്ഥത നടത്തി.
调料	മസാല	കറിയിൽ കുറച്ച് മസാല ചേർക്കൂ.
挑拨	ഭിന്നത ഉണ്ടാക്കാൻ പ്രേരിപ്പിക്കുക	തെറ്റായ വാക്കുകൾ സുഹൃത്തുക്കൾക്കിടയിൽ ഭിന്നത ഉണ്ടാക്കാൻ പ്രേരിപ്പിക്കും.
挑衅	പ്രകോപിപ്പിക്കുക	അവന്റെ കഠിന വാക്കുകൾ കൂട്ടത്തെ പ്രകോപിപ്പിച്ചു.
跳跃	ചാടുക	കുട്ടി കല്ലിന് മുകളിൽ നിന്ന് ചാടി.
亭子	മണ്ഡപം	തോട്ടത്തിന്റെ നടുവിൽ ചെറിയ മണ്ഡപമുണ്ട്.
停泊	നങ്കൂരമിടുക	കപ്പൽ തുറമുഖത്ത് നങ്കൂരമിട്ടു.
停顿	ഇടവേള	പ്രസംഗത്തിൽ ചെറിയ ഇടവേള ഉണ്ടായി.
停滞	മന്ദഗതിയിൽ നിൽക്കുക	നിക്ഷേപക്കുറവ് പദ്ധതി മന്ദഗതിയിൽ നിർത്തി.
挺拔	ഉയരവും നേരായും	മൈതാനത്തിലെ മരങ്ങൾ ഉയരവും നേരായും നിൽക്കുന്നു.
通货膨胀	ദ്രവ്യപ്പെരുപ്പം	ദ്രവ്യപ്പെരുപ്പം ജീവിതച്ചെലവ് ഉയർത്തി.
通缉	തിരയപ്പെടുന്ന കുറ്റവാളിയായി പ്രഖ്യാപിക്കുക	പോലീസ് പ്രതിയെ തിരയപ്പെടുന്ന കുറ്റവാളിയായി പ്രഖ്യാപിച്ചു.
通俗	സാധാരണക്കാർക്ക് മനസ്സിലാകുന്ന	അധ്യാപകൻ വിഷയം സാധാരണക്കാർക്ക് മനസ്സിലാകുന്ന ഭാഷയിൽ പറഞ്ഞു.
通讯	വാർത്താവിനിമയം	മഴ കാരണം ഗ്രാമത്തിലെ വാർത്താവിനിമയം തടസ്സപ്പെട്ടു.
通用	പൊതുവായി ഉപയോഗിക്കാവുന്ന	ഈ ടിക്കറ്റ് പല ബസ്സുകളിലും പൊതുവായി ഉപയോഗിക്കാം.
同胞	സഹപൗരൻ	പ്രതിസന്ധിയിൽ സഹപൗരന്മാർ തമ്മിൽ സഹായിച്ചു.
同志	സഖാവ്	പഴയ പ്രസംഗത്തിൽ അവൻ എല്ലാവരെയും സഖാവ് എന്നു വിളിച്ചു.
童话	കുട്ടികളുടെ കഥ	അമ്മ കുട്ടിക്ക് ഉറങ്ങാൻ മുമ്പ് കുട്ടികളുടെ കഥ പറഞ്ഞു.
铜	താമ്രം	ഈ പഴയ പാത്രം താമ്രത്തിൽ നിന്നാണ് നിർമ്മിച്ചത്.
统筹兼顾	സമഗ്രമായി ആസൂത്രണം ചെയ്ത് എല്ലാം പരിഗണിക്കുക	നഗരവികസനം സമഗ്രമായി ആസൂത്രണം ചെയ്ത് എല്ലാം പരിഗണിക്കണം.
统计	സ്ഥിതിവിവരക്കണക്ക്	സർവേയിലെ സ്ഥിതിവിവരക്കണക്ക് ഇന്ന് പ്രസിദ്ധീകരിച്ചു.
统统	മുഴുവനും	അവൻ പഴയ രേഖകൾ മുഴുവനും പരിശോധിച്ചു.
统治	ഭരിക്കുക	ആ രാജാവ് രാജ്യം വർഷങ്ങളോളം ഭരിച്ചു.
投机	അവസരവാദ നിക്ഷേപം	അവസരവാദ നിക്ഷേപം വലിയ അപകടം ഉണ്ടാക്കാം.
投票	വോട്ട് ചെയ്യുക	ഗ്രാമവാസികൾ പുതിയ സമിതിക്ക് വോട്ട് ചെയ്തു.
投诉	പരാതി നൽകുക	ഉപഭോക്താവ് സേവനത്തെക്കുറിച്ച് പരാതി നൽകി.
投降	കീഴടങ്ങുക	സൈന്യം അവസാനം കീഴടങ്ങി.
投掷	എറിഞ്ഞിടുക	കളിക്കാരൻ പന്ത് ദൂരെ എറിഞ്ഞു.
透露	വെളിപ്പെടുത്തുക	അവൾ പദ്ധതിയുടെ വിവരങ്ങൾ നേരത്തെ വെളിപ്പെടുത്തിയില്ല.
秃	കഷണ്ടിയുള്ള	കഷണ്ടിയുള്ള വൃദ്ധൻ തൊപ്പി ധരിച്ചു.
突破	മുന്നേറ്റം നേടുക	ശാസ്ത്രജ്ഞർ ഗവേഷണത്തിൽ വലിയ മുന്നേറ്റം നേടി.
图案	രൂപകൽപ്പന	തുണിയിലെ രൂപകൽപ്പന വളരെ സൂക്ഷ്മമാണ്.
徒弟	ശിഷ്യൻ	ഗുരു തന്റെ ശിഷ്യന് തൊഴിൽ പഠിപ്പിച്ചു.
涂抹	തേച്ചുപൂശുക	കുട്ടി മതിലിൽ നിറം തേച്ചുപൂശി.
途径	മാർഗം	പ്രശ്നം പരിഹരിക്കാൻ പല മാർഗങ്ങൾ ഉണ്ട്.
土壤	മണ്ണ്	ഈ മണ്ണ് നെൽ കൃഷിക്ക് അനുയോജ്യമാണ്.
团结	ഐക്യം പുലർത്തുക	പ്രതിസന്ധിയിൽ എല്ലാവരും ഐക്യം പുലർത്തി.
团体	സംഘടന	ഈ സംഘടന കുട്ടികളുടെ വിദ്യാഭ്യാസത്തിന് സഹായിക്കുന്നു.
团圆	കുടുംബസംഗമം	പെരുന്നാളിൽ എല്ലാവരും വീട്ടിൽ കുടുംബസംഗമം നടത്തി.
推测	അനുമാനിക്കുക	ലഭ്യമായ തെളിവുകൾ കണ്ട് പോലീസ് കാരണം അനുമാനിച്ചു.
推翻	അട്ടിമറിക്കുക	ജനങ്ങൾ പഴയ ഭരണത്തെ അട്ടിമറിച്ചു.
推理	തർക്കചിന്ത	ഗൂഢാലോചന കണ്ടെത്താൻ അവൻ തർക്കചിന്ത ഉപയോഗിച്ചു.
推论	നിഗമനം	ഡാറ്റയിൽ നിന്ന് ഗവേഷകർ പുതിയ നിഗമനം എടുത്തു.
推销	വിപണനം ചെയ്യുക	അവൾ പുതിയ ഉൽപ്പന്നം ഉപഭോക്താക്കളോട് വിപണനം ചെയ്തു.
吞吞吐吐	തടഞ്ഞുതടഞ്ഞ് സംസാരിക്കുക	സത്യം പറയുമ്പോൾ അവൻ തടഞ്ഞുതടഞ്ഞ് സംസാരിച്ചു.
托运	ചരക്ക് അയക്കുക	യാത്രക്കാരൻ വലിയ ബാഗ് ചരക്കായി അയച്ചു.
拖延	വൈകിപ്പിക്കുക	പ്രശ്നം പരിഹരിക്കുന്നത് ഇനി വൈകിപ്പിക്കരുത്.
脱离	വേർപെടുക	അവൻ പഴയ സംഘത്തിൽ നിന്ന് വേർപ്പെട്ടു.
妥当	യോജിച്ചും തയ്യാറായും	എല്ലാ ക്രമീകരണങ്ങളും യോജിച്ചും തയ്യാറായും ഉണ്ടായിരുന്നു.
妥善	ശരിയായ രീതിയിൽ	പ്രശ്നം ശരിയായ രീതിയിൽ കൈകാര്യം ചെയ്തു.
妥协	ഒത്തുതീർപ്പ് ചെയ്യുക	രണ്ട് പക്ഷങ്ങളും ഒത്തുതീർപ്പ് ചെയ്തു.
椭圆	അണ്ഡാകാരം	മേശയുടെ മുകളിൽ അണ്ഡാകാര രൂപമുണ്ട്.
唾弃	തിരസ്കരിക്കുക	ജനങ്ങൾ അഴിമതിയെ തുറന്ന് തിരസ്കരിച്ചു.
哇	വിസ്മയസൂചക ശബ്ദം	അവൻ സമ്മാനം കണ്ടപ്പോൾ വിസ്മയസൂചക ശബ്ദം പുറപ്പെട്ടു.
挖掘	കുഴിച്ചെടുക്കുക	പുരാവസ്തു സംഘം പഴയ പാത്രങ്ങൾ കുഴിച്ചെടുത്തു.
娃娃	കുഞ്ഞുപാവ	കുട്ടി ചെറിയ കുഞ്ഞുപാവ കൈയിൽ പിടിച്ചു.
瓦解	തകർന്നുവീഴുക	അവിശ്വാസം കാരണം കൂട്ടായ്മ തകർന്നുവീണു.
歪曲	വക്രീകരിക്കുക	അവൻ എന്റെ വാക്കുകൾ മനപ്പൂർവ്വം വക്രീകരിച്ചു.
外表	ബാഹ്യരൂപം	ബാഹ്യരൂപം മാത്രം നോക്കി തീരുമാനം എടുക്കരുത്.
外行	അറിയാത്തവൻ	ഈ മേഖലയിലെ കാര്യങ്ങളിൽ ഞാൻ അറിയാത്തവനാണ്.
外界	പുറലോകം	കുന്നിന് അപ്പുറമുള്ള ഗ്രാമം പുറലോകത്തോട് കുറച്ച് മാത്രം ബന്ധപ്പെട്ടു.
外向	പുറമുഖ സ്വഭാവമുള്ള	അവൾ പുറമുഖ സ്വഭാവമുള്ള കുട്ടിയാണ്.
丸	ഗുളിക	വൈദ്യൻ ചെറിയ ഗുളിക നൽകി.
完备	സമ്പൂർണ്ണമായ	റിപ്പോർട്ട് സമ്പൂർണ്ണമായ വിവരങ്ങളോടെ തയ്യാറായി.
完毕	പൂർത്തിയാകുക	പരീക്ഷ ഉച്ചയ്ക്ക് മുമ്പ് പൂർത്തിയായി.
玩弄	കളിയാക്കിനടത്തുക	മറ്റുള്ളവരുടെ വികാരങ്ങളെ കളിയാക്കിനടത്തരുത്.
玩意儿	സാധനം	ഇത് എന്ത് സാധനമാണെന്ന് കുട്ടി ചോദിച്ചു.
顽固	പിടിവാശിയുള്ള	പിടിവാശിയുള്ള അഭിപ്രായം മാറ്റാൻ അവൻ തയ്യാറായില്ല.
顽强	അടക്കാനാവാത്ത	അടക്കാനാവാത്ത മനസ്സോടെ അവൾ വീണ്ടും ശ്രമിച്ചു.
惋惜	ഖേദിക്കുക	ഇത്ര നല്ല അവസരം നഷ്ടമായതിൽ എല്ലാവരും ഖേദിച്ചു.
挽回	തിരികെ നേടുക	സത്യസന്ധമായ ക്ഷമാപണം വിശ്വാസം തിരികെ നേടാൻ സഹായിച്ചു.
挽救	രക്ഷിക്കുക	ഡോക്ടർമാർ രോഗിയുടെ ജീവൻ രക്ഷിച്ചു.
万分	അത്യന്തം	നിങ്ങളുടെ സഹായത്തിന് ഞാൻ അത്യന്തം നന്ദിയുണ്ട്.
往常	പതിവുപോലെ	അവൻ പതിവുപോലെ രാവിലെ നടക്കാൻ പോയി.
往事	പഴയ സംഭവങ്ങൾ	മുത്തശ്ശൻ പഴയ സംഭവങ്ങൾ സ്നേഹത്തോടെ ഓർത്തു.
妄想	വ്യർത്ഥമായ മോഹം	പരിശ്രമമില്ലാതെ വിജയം നേടുമെന്നത് വ്യർത്ഥമായ മോഹമാണ്.
危机	പ്രതിസന്ധി	കമ്പനി വലിയ സാമ്പത്തിക പ്രതിസന്ധിയിലായി.
威风	ഭയങ്കര പ്രൗഢി	രാജാവിന്റെ വരവിൽ ഭയങ്കര പ്രൗഢി ഉണ്ടായിരുന്നു.
威力	പ്രബല ശക്തി	പുതിയ യന്ത്രത്തിന്റെ പ്രബല ശക്തി എല്ലാവരെയും അമ്പരിപ്പിച്ചു.
威望	പ്രതിഷ്ഠ	ഗ്രാമത്തിൽ അധ്യാപകന്റെ പ്രതിഷ്ഠ വളരെ ഉയർന്നതാണ്.
威信	വിശ്വാസ്യതയും പ്രതിഷ്ഠയും	നേതാവിന്റെ വിശ്വാസ്യതയും പ്രതിഷ്ഠയും ജനങ്ങളിൽ ശക്തമാണ്.
微不足道	അത്യന്തം ചെറുതായ	ഈ പിശക് മൊത്തത്തിൽ അത്യന്തം ചെറുതാണ്.
微观	സൂക്ഷ്മതലത്തിലുള്ള	ശാസ്ത്രജ്ഞർ സൂക്ഷ്മതലത്തിലുള്ള ഘടന പഠിച്ചു.
为难	പ്രയാസത്തിലാക്കുക	അവന്റെ അഭ്യർത്ഥന എന്നെ പ്രയാസത്തിലാക്കി.
为期	നീണ്ടുനിൽക്കുന്ന കാലയളവ്	പരിശീലനം മൂന്ന് ദിവസം നീണ്ടുനിൽക്കും.
唯独	മാത്രം	എല്ലാവരും സമ്മതിച്ചു, അവൻ മാത്രം മിണ്ടാതെ നിന്നു.
维持	നിലനിർത്തുക	ശാന്തി നിലനിർത്താൻ പോലീസ് റോഡിൽ നിന്നു.
维护	സംരക്ഷിക്കുക	നിയമം പൗരന്മാരുടെ അവകാശങ്ങൾ സംരക്ഷിക്കുന്നു.
维生素	വിറ്റാമിൻ	പഴങ്ങളിൽ പല വിറ്റാമിനുകളും ഉണ്ട്.
违背	ലംഘിക്കുക	വാഗ്ദാനം ലംഘിക്കുന്നത് വിശ്വാസം തകർക്കും.
伪造	കൃത്രിമമായി ഉണ്ടാക്കുക	അവൻ രേഖ കൃത്രിമമായി ഉണ്ടാക്കി.
委托	ചുമതല ഏൽപ്പിക്കുക	കുടുംബം അഭിഭാഷകനോട് കേസ് ചുമതല ഏൽപ്പിച്ചു.
委员	സമിതിയംഗം	സമിതിയംഗം പുതിയ നിർദ്ദേശം അവതരിപ്പിച്ചു.
卫星	ഉപഗ്രഹം	ഉപഗ്രഹം ഭൂമിയുടെ ചിത്രങ്ങൾ അയച്ചു.
喂	ഹലോ	ഹലോ, നിങ്ങള്‍ക്ക് എന്റെ ശബ്ദം കേൾക്കുമോ?
慰问	ആശ്വാസം അറിയിക്കുക	അധികാരികൾ ദുരിതബാധിതരെ കാണാൻ പോയി ആശ്വാസം അറിയിച്ചു.
未免	അല്പം അധികമായി	അവന്റെ പ്രതികരണം അല്പം അധികമായി തോന്നി.
畏惧	ഭയപ്പെടുക	അവൾ പരാജയത്തെ ഭയപ്പെട്ടില്ല.
蔚蓝	ആഴമുള്ള നീല	കടൽ ആഴമുള്ള നീല നിറത്തിൽ തിളങ്ങി.
温带	മിതോഷ്ണമേഖല	ഈ രാജ്യം മിതോഷ്ണമേഖലയിലാണ്.
温和	മൃദുവായ	അവന്റെ മൃദുവായ സ്വഭാവം എല്ലാവർക്കും ഇഷ്ടമാണ്.
文凭	ഡിപ്ലോമ	പരിശീലനം കഴിഞ്ഞ് അവൾ ഡിപ്ലോമ നേടി.
文物	സാംസ്കാരിക അവശിഷ്ടം	മ്യൂസിയത്തിൽ വിലപ്പെട്ട സാംസ്കാരിക അവശിഷ്ടം സൂക്ഷിച്ചിട്ടുണ്ട്.
文献	രേഖാസാഹിത്യം	ഗവേഷകൻ പഴയ രേഖാസാഹിത്യം പരിശോധിച്ചു.
文雅	മനോഹരവും സംസ്കാരമുള്ളതുമായ	അവളുടെ സംസാരശൈലി മനോഹരവും സംസ്കാരമുള്ളതുമാണ്.
文艺	സാഹിത്യകല	സ്കൂളിൽ സാഹിത്യകല പരിപാടി നടന്നു.
问世	പ്രസിദ്ധീകരിക്കപ്പെടുക	പുതിയ പുസ്തകം അടുത്ത മാസം പ്രസിദ്ധീകരിക്കും.
窝	കൂട്	പക്ഷി മരത്തിൽ ചെറിയ കൂട് ഉണ്ടാക്കി.
乌黑	കടുംകറുപ്പ്	അവളുടെ മുടി കടുംകറുപ്പാണ്.
污蔑	അപകീർത്തിപ്പെടുത്തുക	തെറ്റായ ആരോപണം അവനെ അപകീർത്തിപ്പെടുത്തി.
诬陷	കള്ളക്കുറ്റം ചുമത്തുക	അവൻ നിരപരാധിയോട് കള്ളക്കുറ്റം ചുമത്തി.
无比	തുലനയില്ലാത്ത	അവരുടെ സന്തോഷം തുലനയില്ലാത്തതായിരുന്നു.
无偿	സൗജന്യമായ	ഡോക്ടർമാർ സൗജന്യമായ ചികിത്സ നൽകി.
无耻	ലജ്ജയില്ലാത്ത	അത് ലജ്ജയില്ലാത്ത തട്ടിപ്പായിരുന്നു.
无动于衷	അലക്ഷ്യമായി നിൽക്കുക	മറ്റുള്ളവരുടെ വേദന കണ്ടും അവൻ അലക്ഷ്യമായി നിന്നു.
无非	മാത്രം	അവൻ ചോദിച്ചത് അല്പം സഹായം മാത്രം.
无辜	നിരപരാധി	നിരപരാധിയായ ആളെ ശിക്ഷിക്കരുത്.
无精打采	ഉത്സാഹമില്ലാത്ത	രോഗത്തിന് ശേഷം കുട്ടി ഉത്സാഹമില്ലാതെ ഇരുന്നു.
无赖	ദുഷ്ടൻ	ആ ദുഷ്ടൻ ആളുകളെ ഭീഷണിപ്പെടുത്തി.
无理取闹	കാരണമില്ലാതെ കലഹിക്കുക	അവൻ കാരണമില്ലാതെ കലഹിച്ചു.
无能为力	ഒന്നും ചെയ്യാൻ കഴിയാത്ത	വെള്ളപ്പൊക്കത്തിന്റെ മുന്നിൽ ഗ്രാമവാസികൾക്ക് ഒന്നും ചെയ്യാൻ കഴിഞ്ഞില്ല.
无穷无尽	അവസാനമില്ലാത്ത	കടലിന്റെ കാഴ്ച അവസാനമില്ലാത്തതുപോലെ തോന്നി.
无微不至	അതി സൂക്ഷ്മമായി പരിപാലിക്കുന്ന	അമ്മയുടെ പരിചരണം അതി സൂക്ഷ്മമായി പരിപാലിക്കുന്നതായിരുന്നു.
无忧无虑	ചിന്തകളില്ലാത്ത	കുട്ടികൾ ചിന്തകളില്ലാതെ കളിച്ചു.
无知	അറിവില്ലായ്മ	അറിവില്ലായ്മ പല തെറ്റുകൾക്കും കാരണമാകും.
侮辱	അപമാനിക്കുക	മറ്റുള്ളവരെ അപമാനിക്കുന്ന വാക്കുകൾ ഉപയോഗിക്കരുത്.
武器	ആയുധം	സൈനികൻ ആയുധം സുരക്ഷിതമായി സൂക്ഷിച്ചു.
武侠	ആയോധനവീരകഥ	അവൻ പഴയ ആയോധനവീരകഥ വായിച്ചു.
武装	സായുധമാക്കുക	അതിർത്തിയിൽ സേനയെ സായുധമാക്കി.
舞蹈	നൃത്തം	അവളുടെ നൃത്തം കാണികളെ ആകർഷിച്ചു.
务必	തീർച്ചയായും	ദയവായി നാളെ തീർച്ചയായും എത്തുക.
物美价廉	നല്ലതും വിലകുറഞ്ഞതും	ഈ കടയിലെ സാധനങ്ങൾ നല്ലതും വിലകുറഞ്ഞതുമാണ്.
物业	സ്ഥാവരസ്വത്ത്	അവൻ നഗരത്തിലെ സ്ഥാവരസ്വത്ത് നിയന്ത്രിക്കുന്നു.
物资	സാധനസമ്പത്ത്	ദുരന്തപ്രദേശത്തേക്ക് ഭക്ഷണസാധനങ്ങൾ അയച്ചു.
误差	പിശക് വ്യത്യാസം	അളവിൽ ചെറിയ പിശക് വ്യത്യാസം ഉണ്ടായിരുന്നു.
误解	തെറ്റിദ്ധരിക്കുക	ഞാൻ പറഞ്ഞത് നീ തെറ്റിദ്ധരിച്ചു.
夕阳	സന്ധ്യാസൂര്യൻ	സന്ധ്യാസൂര്യൻ കടലിൽ ചുവപ്പായി മറഞ്ഞു.
昔日	പഴയകാലത്തെ	പഴയകാലത്തെ സുഹൃത്തുകൾ വീണ്ടും കണ്ടുമുട്ടി.
溪	ചെറുതോട്	മലയിറക്കത്തിൽ ചെറുതോട് ഒഴുകുന്നു.
熄灭	അണയുക	കാറ്റിൽ വിളക്ക് പെട്ടെന്ന് അണഞ്ഞു.
牺牲	ത്യാഗം ചെയ്യുക	സ്വാതന്ത്ര്യത്തിനായി പലരും ജീവൻ ത്യാഗം ചെയ്തു.
膝盖	മുട്ട്	വീണപ്പോൾ അവന്റെ മുട്ട് പരിക്കേറ്റു.
习俗	ആചാരം	ഈ ഗ്രാമത്തിൽ പഴയ ആചാരം ഇന്നും നിലനിൽക്കുന്നു.
媳妇	മരുമകൾ	മരുമകൾ കുടുംബത്തോടൊപ്പം ഉത്സവം ആഘോഷിച്ചു.
袭击	ആക്രമണം നടത്തുക	കള്ളന്മാർ രാത്രി കടയിൽ ആക്രമണം നടത്തി.
喜闻乐见	എല്ലാവർക്കും ഇഷ്ടപ്പെടുന്ന	ഈ പരിപാടി കുട്ടികൾക്കും മുതിർന്നവർക്കും ഇഷ്ടപ്പെടുന്നതാണ്.
喜悦	ആനന്ദം	വിജയവാർത്ത കേട്ട് എല്ലാവർക്കും ആനന്ദം തോന്നി.
系列	പരമ്പര	ഈ പുസ്തകപരമ്പരയിൽ പത്ത് ഭാഗങ്ങളുണ്ട്.
细菌	ബാക്ടീരിയ	അശുദ്ധജലത്തിൽ ബാക്ടീരിയ വളരും.
细胞	കോശം	ശരീരം അനേകം കോശങ്ങളാൽ നിർമ്മിതമാണ്.
细致	സൂക്ഷ്മമായ	അവൾ സൂക്ഷ്മമായ രീതിയിൽ ജോലി ചെയ്തു.
峡谷	ഗിരികന്ദരം	നദി ആഴമുള്ള ഗിരികന്ദരത്തിലൂടെ ഒഴുകുന്നു.
狭隘	ഇടുങ്ങിയ	ഇടുങ്ങിയ ചിന്ത വളർച്ചയെ തടയും.
狭窄	വളരെ ഇടുങ്ങിയ	വളരെ ഇടുങ്ങിയ വഴിയിലൂടെ കാർ കടന്നുപോയി.
霞	സന്ധ്യാമേഘചുവപ്പ്	സന്ധ്യാമേഘചുവപ്പ് ആകാശം അലങ്കരിച്ചു.
下属	കീഴുദ്യോഗസ്ഥൻ	മേലധികാരി കീഴുദ്യോഗസ്ഥന്റെ അഭിപ്രായം കേട്ടു.
先进	മുന്നേറ്റമുള്ള	മുന്നേറ്റമുള്ള സാങ്കേതികത ഉൽപ്പാദനം കൂട്ടി.
先前	മുമ്പത്തെ	മുമ്പത്തെ പദ്ധതി പിന്നീട് മാറ്റി.
掀起	എഴുന്നേൽപ്പിക്കുക	ഈ വാർത്ത വലിയ ചർച്ച എഴുന്നേൽപ്പിച്ചു.
纤维	നാർ	ഈ തുണി പ്രകൃതിദത്ത നാരുകളിൽ നിന്നാണ് ഉണ്ടാക്കിയത്.
鲜明	വ്യക്തവും തെളിമയുള്ളതുമായ	അവന്റെ നിലപാട് വ്യക്തവും തെളിമയുള്ളതുമാണ്.
嫌	ഇഷ്ടമില്ലാതെ കാണുക	അവൾ ചെറിയ മുറിയെ ഇഷ്ടമില്ലാതെ കണ്ടില്ല.
嫌疑	സംശയം	പോലീസിന് അവനിലേക്കു സംശയം തിരിഞ്ഞു.
弦	തന്ത്രി	വീണയുടെ തന്ത്രി പൊട്ടിപ്പോയി.
衔接	ബന്ധിപ്പിക്കുക	രണ്ടു ഭാഗങ്ങളും നന്നായി ബന്ധിപ്പിക്കണം.
贤惠	സ്നേഹവും വിവേകവുമുള്ള	അവൾ സ്നേഹവും വിവേകവുമുള്ള വീട്ടമ്മയാണ്.
闲话	അനൗപചാരിക സംഭാഷണം	ചായക്കിടെ അവർ അനൗപചാരിക സംഭാഷണം നടത്തി.
显著	ഗണ്യമായ	പുതിയ ചികിത്സ ഗണ്യമായ ഫലം നൽകി.
宪法	ഭരണഘടന	ഭരണഘടന പൗരാവകാശങ്ങൾ സംരക്ഷിക്കുന്നു.
现场	സംഭവസ്ഥലം	പോലീസ് ഉടൻ സംഭവസ്ഥലത്ത് എത്തി.
现成	തയ്യാറായ	കടയിൽ തയ്യാറായ ഭക്ഷണം ലഭിക്കുന്നു.
现状	നിലവിലെ സ്ഥിതി	നിലവിലെ സ്ഥിതി മനസ്സിലാക്കി തീരുമാനിക്കണം.
线索	സൂചന	പോലീസിന് കേസിൽ പുതിയ സൂചന ലഭിച്ചു.
陷害	കള്ളക്കേസിൽ കുടുക്കുക	അവനെ ശത്രുക്കൾ കള്ളക്കേസിൽ കുടുക്കി.
陷阱	കുടുക്ക്	വേട്ടക്കാരൻ കാട്ടിൽ കുടുക്ക് വെച്ചു.
陷入	കുരുങ്ങിപ്പോകുക	കമ്പനി സാമ്പത്തിക പ്രതിസന്ധിയിൽ കുരുങ്ങിപ്പോയി.
馅儿	പൂരണം	പലഹാരത്തിന്റെ പൂരണം മധുരമായിരുന്നു.
乡镇	ഗ്രാമപഞ്ചായത്ത് പ്രദേശം	ഗ്രാമപഞ്ചായത്ത് പ്രദേശത്ത് പുതിയ ആശുപത്രി തുറന്നു.
相差	വ്യത്യാസമുണ്ടാകുക	രണ്ട് കണക്കുകൾക്കിടയിൽ ചെറിയ വ്യത്യാസമുണ്ട്.
相等	തുല്യം	ഈ രണ്ട് രേഖകളുടെ നീളം തുല്യമാണ്.
相辅相成	പരസ്പരം പൂരിപ്പിക്കുക	വിദ്യയും അനുഭവവും പരസ്പരം പൂരിപ്പിക്കുന്നു.
相应	അതനുസരിച്ചുള്ള	പ്രശ്നത്തിന് അതനുസരിച്ചുള്ള നടപടി വേണം.
镶嵌	പതിപ്പിക്കുക	മുത്തുകൾ വെള്ളി പെട്ടിയിൽ പതിപ്പിച്ചു.
响亮	മുഴങ്ങുന്ന	അവന്റെ ശബ്ദം മുഴങ്ങുന്നതും വ്യക്തവുമായിരുന്നു.
响应	പ്രതികരിക്കുക	ജനങ്ങൾ സഹായവിളിക്ക് വേഗം പ്രതികരിച്ചു.
想方设法	എല്ലാ മാർഗവും കണ്ടെത്താൻ ശ്രമിക്കുക	അവൾ കുട്ടികളെ സഹായിക്കാൻ എല്ലാ മാർഗവും കണ്ടെത്താൻ ശ്രമിച്ചു.
向导	വഴികാട്ടി	വഴികാട്ടി ഞങ്ങളെ കാട്ടിലൂടെ കൊണ്ടുപോയി.
向来	എപ്പോഴും	അവൻ എപ്പോഴും സമയത്ത് എത്തും.
向往	ആകാംക്ഷയോടെ മോഹിക്കുക	കുട്ടിക്കാലം മുതൽ അവൾ കടൽ കാണാൻ ആകാംക്ഷയോടെ മോഹിച്ചു.
巷	ഇടവഴി	പഴയ നഗരത്തിലെ ഇടവഴി വളരെ ഇടുങ്ങിയതാണ്.
相声	ഹാസ്യസംഭാഷണം	വേദിയിൽ രണ്ടു കലാകാരൻമാർ ഹാസ്യസംഭാഷണം അവതരിപ്പിച്ചു.
消除	നീക്കം ചെയ്യുക	വ്യായാമം സമ്മർദ്ദം നീക്കം ചെയ്യാൻ സഹായിക്കും.
消毒	അണുവിമുക്തമാക്കുക	ഡോക്ടർ ഉപകരണങ്ങൾ അണുവിമുക്തമാക്കി.
消防	അഗ്നിശമന	അഗ്നിശമന സംഘം ഉടൻ സ്ഥലത്തെത്തി.
消耗	ചെലവഴിക്കുക	ഈ യന്ത്രം വളരെ വൈദ്യുതി ചെലവഴിക്കുന്നു.
消灭	നശിപ്പിക്കുക	കീടങ്ങളെ നശിപ്പിക്കാൻ കർഷകൻ മരുന്ന് തളിച്ചു.
潇洒	സ്വതന്ത്രവും ആത്മവിശ്വാസമുള്ളതുമായ	അവന്റെ നടപ്പ് സ്വതന്ത്രവും ആത്മവിശ്വാസമുള്ളതുമായിരുന്നു.
