simplified	NE	example_NE
椭圆	दीर्घवृत्त	पृथ्वीको कक्षा दीर्घवृत्तजस्तै छ।
唾弃	तिरस्कार गर्नु	समाजले यस्तो ठगीलाई तिरस्कार गर्छ।
哇	आहा	आहा, यो पुल साँच्चै भव्य छ।
挖掘	उत्खनन गर्नु	पुरातत्व टोली पुरानो चिहान उत्खनन गर्दै छ।
娃娃	पुतली	सानी केटीले एउटा पुतली अँगालेकी छ।
瓦解	विघटन हुनु	आन्तरिक विवादले गठबन्धन विघटन गरायो।
歪曲	बङ्ग्याउनु	समाचारले तथ्य बङ्ग्याउनु हुँदैन।
外表	बाहिरी रूप	बाहिरी रूप हेरेर मात्र मानिसलाई नआँक्नुहोस्।
外行	अनभिज्ञ व्यक्ति	कानुनबारे म पूर्ण रूपमा अनभिज्ञ व्यक्ति हुँ।
外界	बाहिरी पक्ष	कम्पनीले बाहिरी पक्षको आलोचनामा विरलै प्रतिक्रिया दिन्छ।
外向	मिलनसार	उसको स्वभाव मिलनसार छ, साथी धेरै छन्।
丸	गोली	डाक्टरले उसलाई केही गोली दिए।
完备	पूर्ण	यी सामग्रीहरू निकै पूर्ण छन्।
完毕	समाप्त हुनु	बैठक समाप्त भइसकेको छ।
玩弄	खेलवाड गर्नु	अरूका भावनासँग खेलवाड नगर्नुहोस्।
玩意儿	चिजबिज	यो कस्तो नयाँ चिजबिज हो?
顽固	अटेरी	उसको रवैया धेरै अटेरी छ।
顽强	दृढ	घाइतेले निकै दृढ मनोबल देखायो।
惋惜	दुःख मान्नु	सबैले असफलताप्रति दुःख माने।
挽回	क्षति पूर्ति गर्नु	उसले कम्पनीको क्षति पूर्ति गर्न प्रयास गर्यो।
挽救	बचाउनु	डाक्टरहरूले बिरामीको जीवन सफलतापूर्वक बचाए।
万分	अत्यन्त	तपाईंको सहयोगप्रति म अत्यन्त कृतज्ञ छु।
往常	सधैँको जस्तो	आज सधैँभन्दा बढी गर्मी छ।
往事	विगतका घटना	वृद्धले प्रायः विगतका घटना सम्झन्छन्।
妄想	व्यर्थ कल्पना गर्नु	उसले एकै रात धनी हुने व्यर्थ कल्पना गर्छ।
危机	संकट	कम्पनी गम्भीर संकटमा परेको छ।
威风	रौब	घोडामा सवार सेनापति निकै रौबिलो देखिन्थे।
威力	शक्ति	यो हतियारको शक्ति धेरै ठूलो छ।
威望	प्रतिष्ठा	गाउँमा उनको ठूलो प्रतिष्ठा छ।
威信	जनविश्वास	नेतृत्वले सरकारको जनविश्वास जोगाउनुपर्छ।
微不足道	नगण्य	यो क्षति नगण्य छ।
微观	सूक्ष्म	यो पाठ्यक्रमले सूक्ष्म अर्थशास्त्र परिचय गराउँछ।
为难	अप्ठ्यारो पार्नु	सेवकलाई अझ अप्ठ्यारो नपार्नुहोस्।
为期	अवधि तोकिएको	तालिम तीन महिनाका लागि अवधि तोकिएको छ।
唯独	केवल	सबै आइपुगे, केवल ऊ आएन।
维持	कायम राख्नु	प्रहरीले घटनास्थलको व्यवस्था कायम राख्यो।
维护	संरक्षण गर्नु	हामीले वैध अधिकारको संरक्षण गर्नुपर्छ।
维生素	भिटामिन	फलफूलमा प्रशस्त भिटामिन हुन्छ।
违背	उल्लङ्घन गर्नु	यो निर्णयले सम्झौताको भावना उल्लङ्घन गर्यो।
伪造	किर्ते गर्नु	कसैले उनको हस्ताक्षर किर्ते गर्यो।
委托	जिम्मा दिनु	ग्राहकले मुद्दा सम्हाल्न वकिललाई जिम्मा दियो।
委员	समिति सदस्य	हरेक समिति सदस्यले आफ्नो विचार राखे।
卫星	उपग्रह	उपग्रह निर्धारित कक्षामा प्रवेश गर्यो।
喂	खुवाउनु	बच्चाले सानो बिरालोलाई खुवाइरहेको छ।
慰问	सान्त्वना दिनु	नेता अस्पतालमा घाइतेहरूलाई सान्त्वना दिन गए।
未免	अलि बढी	यो माग अलि बढी नै छ।
畏惧	डराउनु	ऊ कठिनाइसँग कहिल्यै डराउँदैन।
蔚蓝	गाढा निलो	आकाश गाढा निलो रंगमा देखियो।
温带	समशीतोष्ण कटिबन्ध	यो बिरुवा समशीतोष्ण कटिबन्धको मौसममा राम्रो हुन्छ।
温和	सौम्य	उसको नीतिगत अडान तुलनात्मक रूपमा सौम्य छ।
文凭	शैक्षिक प्रमाणपत्र	यो कामका लागि विश्वविद्यालयको शैक्षिक प्रमाणपत्र चाहिन्छ।
文物	सांस्कृतिक अवशेष	संग्रहालयले बहुमूल्य सांस्कृतिक अवशेष प्रदर्शन गर्यो।
文献	सन्दर्भ सामग्री	शोधपत्रले धेरै सन्दर्भ सामग्री उद्धृत गर्यो।
文雅	शिष्ट	उसको चालचलन शिष्ट छ।
文艺	साहित्य र कला	यो सहरमा साहित्य र कलाको वातावरण गाढा छ।
问世	बजारमा आउनु	यो मोबाइल फोन छिट्टै बजारमा आउँदै छ।
窝	गुँड	रूखमा एउटा गुँड छ।
乌黑	गाढा कालो	उसको कपाल गाढा कालो छ।
污蔑	झूटा आरोप लगाउनु	उसले प्रतिस्पर्धीमाथि झूटा आरोप लगाएको कुरा अस्वीकार गर्यो।
诬陷	फसाउनु	प्रमाणले ऊ फसाइएको देखायो।
无比	अत्यन्त	समाचार सुनेर ऊ अत्यन्त उत्साहित भयो।
无偿	निःशुल्क	स्वयंसेवकहरूले निःशुल्क सेवा दिए।
无耻	निर्लज्ज	यस्तो ठगी व्यवहार निकै निर्लज्ज छ।
无动于衷	उदासीन	आलोचना सुन्दा पनि ऊ उदासीन रह्यो।
无非	केवल	उसले यसो गर्नु केवल पैसा बचाउनका लागि हो।
无辜	निर्दोष	अदालतले उसलाई निर्दोष ठहर गर्यो।
无精打采	सुस्त र निरुत्साहित	ऊ आज सुस्त र निरुत्साहित देखिन्छ।
无赖	बदमास	गाउँलेहरू त्यो बदमाससँग संगत गर्न चाहँदैनन्।
无理取闹	बिनाकारण हंगामा गर्नु	कृपया यहाँ बिनाकारण हंगामा नगर्नुहोस्।
无能为力	असहाय हुनु	बाढीको अगाडि गाउँलेहरू असहाय भए।
无穷无尽	अन्तहीन	मरुभूमि अन्तहीनजस्तो देखिन्छ।
无微不至	अत्यन्त सूक्ष्म हेरचाह	नर्सले बिरामीको अत्यन्त सूक्ष्म हेरचाह गरिन्।
无忧无虑	चिन्तामुक्त	बालबालिका घाँसमा चिन्तामुक्त भएर खेले।
无知	अज्ञान	अज्ञान सिकाइ अस्वीकार गर्ने कारण होइन।
侮辱	अपमान गर्नु	उसका शब्दले अर्का पक्षको अपमान गर्यो।
武器	हतियार	यी हतियारहरू एकै ठाउँमा सुरक्षित राखिए।
武侠	युद्धकला वीरकथा	उसलाई सानैदेखि युद्धकला वीरकथा पढ्न मन पर्थ्यो।
武装	सशस्त्र	सीमा क्षेत्रमा सशस्त्र गस्ती बढाइएको छ।
舞蹈	नृत्य	यो नृत्यमा जातीय विशेषता प्रबल छ।
务必	अनिवार्य रूपमा	कृपया अनिवार्य रूपमा समयमै आइपुग्नुहोस्।
物美价廉	गुणस्तरीय र सस्तो	यो पसलका सामान गुणस्तरीय र सस्ता छन्।
物业	सम्पत्ति व्यवस्थापन	सम्पत्ति व्यवस्थापनले आवास क्षेत्रको मर्मत हेर्छ।
物资	आपूर्ति सामग्री	राहत आपूर्ति सामग्री विपद् क्षेत्रमा पुगिसकेको छ।
误差	त्रुटि	मापन परिणाममा सानो त्रुटि छ।
误解	गलतफहमी	दुवै पक्षले संवादबाट गलतफहमी हटाए।
夕阳	अस्ताउँदो सूर्य	अस्ताउँदो सूर्यले आकाश सुनौलो बनायो।
昔日	विगतका दिन	विगतको सानो गाउँ सहरमा परिणत भयो।
溪	सानो खोला	सानो खोला पहाडबीच बग्छ।
熄灭	निभाउनु	कृपया मैनबत्ती निभाउनुहोस्।
牺牲	बलिदान	उनीहरूले मानिस बचाउन बलिदान दिए।
膝盖	घुँडा	उसको घुँडामा चोट लागेको छ।
习俗	रीतिरिवाज	वसन्त पर्वमा धेरै परम्परागत रीतिरिवाज छन्।
媳妇	पत्नी वा बुहारी	उसकी पत्नी अस्पतालमा काम गर्छिन्।
袭击	आक्रमण गर्नु	आँधीले तटीय सहरमा आक्रमण गर्यो।
喜闻乐见	सबैले मन पराउने	यस्तो कार्यक्रम दर्शकहरूले सबैले मन पराउने खालको छ।
喜悦	हर्ष	उसको अनुहारमा हर्षको मुस्कान देखियो।
系列	शृङ्खला	कम्पनीले नयाँ उत्पादनहरूको शृङ्खला ल्यायो।
细菌	जीवाणु	उच्च तापले जीवाणु मार्न सक्छ।
细胞	कोषिका	मानव शरीर असंख्य कोषिकाबाट बनेको छ।
细致	सूक्ष्म र सावधान	उसको अवलोकन अत्यन्त सूक्ष्म र सावधान छ।
峡谷	घाटी	नदी गहिरो घाटी हुँदै बग्छ।
狭隘	संकीर्ण	यस्तो संकीर्ण दृष्टिकोण बदल्नुपर्छ।
狭窄	साँघुरो	यो सानो बाटो निकै साँघुरो छ।
霞	लालिमा	साँझको लालिमाले आकाश रातो बनायो।
下属	अधीनस्थ कर्मचारी	प्रबन्धकले अधीनस्थ कर्मचारीका विचार ध्यानपूर्वक सुने।
先进	उन्नत	कारखानाले उन्नत उपकरण प्रयोग गर्यो।
先前	पहिलेको	पहिलेको योजना परिवर्तन भइसकेको छ।
掀起	लहर उठाउनु	यो किताबले बहसको लहर उठायो।
纤维	रेशा	यो कपडामा प्राकृतिक रेशा छ।
鲜明	स्पष्ट	उसको अडान निकै स्पष्ट छ।
嫌	मन नपराउनु	उसलाई कोठा धेरै सानो लागेर मन परेन।
嫌疑	शंका	यो पुरुषमाथि गम्भीर शंका छ।
弦	तार	गितारको एउटा तार चुँडियो।
衔接	जोडिनु	दुई पाठ्यक्रमका सामग्री राम्रोसँग जोडिएका छन्।
贤惠	सुशील र सक्षम	उनी सुशील र सक्षम मानिन्छिन्।
闲话	चुगली	अरूको पछाडि चुगली नगर्नुहोस्।
显著	उल्लेखनीय	उपचारको प्रभाव निकै उल्लेखनीय छ।
宪法	संविधान	संविधानले नागरिकका आधारभूत अधिकार सुनिश्चित गर्छ।
现场	घटनास्थल	पत्रकार दुर्घटनास्थलमा पुगिसकेका छन्।
现成	तयार	भान्सामा तयार खाना छ।
现状	वर्तमान अवस्था	हामीले उद्योगको वर्तमान अवस्था बुझ्नुपर्छ।
线索	सुराक	प्रहरीले नयाँ सुराक भेट्टायो।
陷害	फसाउनु	उसले आफूलाई कसैले फसाएको दाबी गर्यो।
陷阱	पासो	शिकारीले एउटा पासो थाप्यो।
陷入	फस्नु	कम्पनी पैसाको संकटमा फस्यो।
馅儿	भराइ	यो बाओजीको भराइ निकै बास्नादार छ।
乡镇	गाउँपालिका	गाउँपालिकाका विद्यालयहरूको अवस्था सुधारिँदै छ।
相差	फरक हुनु	दुई ठाउँको तापक्रम दश डिग्री फरक छ।
相等	बराबर	दुई त्रिभुजको क्षेत्रफल बराबर छ।
相辅相成	एकअर्कालाई पूरक हुनु	सिद्धान्त र अभ्यास एकअर्कालाई पूरक हुन्छन्।
相应	अनुरूप	कम्पनीले अनुरूप उपाय अपनाउनेछ।
镶嵌	जडान गर्नु	औँठीमा एउटा रत्न जडान गरिएको छ।
响亮	प्रस्ट र चर्को	उसको उत्तरको आवाज प्रस्ट र चर्को थियो।
响应	साथ दिनु	धेरै मानिसले वातावरणीय पहललाई साथ दिए।
想方设法	हरसम्भव उपाय खोज्नु	उनीहरूले लागत घटाउन हरसम्भव उपाय खोजे।
向导	मार्गदर्शक	स्थानीय मार्गदर्शकले हामीलाई पहाडतिर लगे।
向来	सधैँदेखि	ऊ सधैँदेखि विश्वासलाई महत्त्व दिन्छ।
向往	आकांक्षा गर्नु	उनी शान्त जीवनको आकांक्षा गर्छिन्।
巷	गल्ली	पुरानो गल्लीमा धेरै साना पसल खुलेका छन्।
相声	हास्य संवाद	हजुरबुबालाई परम्परागत हास्य संवाद सुन्न मन पर्छ।
消除	हटाउनु	संवादले गलतफहमी हटाउन सक्छ।
消毒	कीटाणुरहित गर्नु	डाक्टरले घाउ कीटाणुरहित गरे।
消防	अग्नि नियन्त्रण	अग्नि नियन्त्रणकर्मीहरू छिट्टै घटनास्थल पुगे।
消耗	खपत गर्नु	लामो यात्राले धेरै शारीरिक शक्ति खपत गर्छ।
消灭	नष्ट गर्नु	कर्मचारीहरूले कीरा नष्ट गरिरहेका छन्।
潇洒	आत्मविश्वासी र सहज	उसको हिँडाइ आत्मविश्वासी र सहज देखिन्छ।
销毁	नष्ट पार्नु	भन्सारले नक्कली सामान नष्ट पार्यो।
小心翼翼	अत्यन्त सावधानीपूर्वक	उनले बाकस अत्यन्त सावधानीपूर्वक खोलिन्।
效益	कार्यक्षमता	नयाँ उपकरणले उत्पादन कार्यक्षमता बढायो।
肖像	चित्र	भित्तामा उसको चित्र टाँगिएको छ।
协会	संघ	यो संघले युवा उद्यमीहरूलाई सहयोग गर्छ।
协商	वार्ता गर्नु	दुवै पक्ष वार्ता जारी राख्न इच्छुक छन्।
协调	समन्वय गर्नु	परियोजना प्रबन्धकले स्रोतसाधन समन्वय गर्छन्।
协议	सम्झौता	दुवै पक्षले सहकार्य सम्झौता हस्ताक्षर गरे।
协助	सहयोग गर्नु	स्वयंसेवकले वृद्धलाई बाटो काट्न सहयोग गरे।
携带	साथमा बोक्नु	यात्रीहरूले खतरनाक वस्तु साथमा बोक्न पाउँदैनन्।
屑	टुक्रा	टेबलमा धेरै काठका टुक्रा छन्।
泄露	गोप्य कुरा चुहाउनु	कर्मचारीले ग्राहकको सूचना चुहाउन पाउँदैनन्।
泄气	हिम्मत हार्नु	असफलतापछि हिम्मत नहार्नुहोस्।
谢绝	विनम्रतापूर्वक अस्वीकार गर्नु	होटलले बाहिरबाट ल्याएको खाना विनम्रतापूर्वक अस्वीकार गर्छ।
心得	सिकेको अनुभव	उनले आफ्नो अध्ययनबाट सिकेको अनुभव बाँडिन्।
心甘情愿	स्वेच्छाले	ऊ स्वेच्छाले बसेर सहयोग गर्न तयार भयो।
心灵	मन	संगीतले उनको मनलाई सान्त्वना दियो।
心态	मानसिकता	सकारात्मक मानसिकता राख्नु धेरै महत्त्वपूर्ण छ।
心疼	माया लाग्नु	आमालाई घाइते बच्चाको धेरै माया लाग्यो।
心血	मेहनत र लगाव	यो किताबमा लेखकको धेरै मेहनत र लगाव छ।
心眼儿	सानो मन	उसको मन अलि सानो छ।
新陈代谢	चयापचय	व्यायामले चयापचय बढाउन सक्छ।
新郎	दुलहा	दुलहाले ढोकामा पाहुनालाई स्वागत गर्यो।
新娘	दुलही	दुलहीले सेतो विवाह पोसाक लगाएकी थिइन्।
新颖	नौलो	यो डिजाइन धेरै नौलो छ।
欣慰	सन्तोष लाग्नु	बच्चाको प्रगति देखेर उनलाई सन्तोष लाग्यो।
欣欣向荣	फस्टाउँदै गएको	सानो सहरको पर्यटन उद्योग फस्टाउँदै गएको छ।
薪水	तलब	उसको तलब परिवार पाल्न पर्याप्त छ।
辛勤	परिश्रमी	किसानले परिश्रमपूर्वक बाली लगाउँछन्।
信赖	विश्वास गर्नु	ग्राहकहरूले यो कम्पनीलाई धेरै विश्वास गर्छन्।
信念	दृढ विश्वास	दृढ विश्वासले उसलाई साथ दिइरहेको छ।
信仰	आस्था	उनी फरक आस्थाको सम्मान गर्छिन्।
信誉	प्रतिष्ठा	उद्यमले आफ्नो प्रतिष्ठा जोगाउनुपर्छ।
兴高采烈	हर्षित	बालबालिका हर्षित भएर कक्षामा दौडे।
兴隆	समृद्ध	यो पुरानो पसलको व्यापार समृद्ध छ।
兴旺	फस्टाउनु	बजार अर्थतन्त्र झन् फस्टाउँदै छ।
腥	माछाको गन्ध लाग्ने	यो माछामा अलि माछाको गन्ध छ।
刑事	फौजदारी	प्रहरीले फौजदारी मुद्दा अनुसन्धान गर्दै छ।
形态	रूपाकार	बिरुवाको रूपाकार वातावरणअनुसार बदलिन्छ।
行政	प्रशासनिक	प्रशासनिक विभागले आवेदन प्रक्रिया गर्छ।
兴致勃勃	उत्साहपूर्वक	सबैले उत्साहपूर्वक योजना छलफल गरे।
性感	यौन आकर्षक	यो औपचारिक पोसाक निकै यौन आकर्षक देखिन्छ।
性命	जीवन	डाक्टरले उसको जीवन बचाए।
性能	कार्यक्षमता	यो कम्प्युटरको कार्यक्षमता राम्रो छ।
凶恶	क्रूर	यो कुकुर क्रूर देखिन्छ।
凶手	हत्यारा	प्रहरीले अन्ततः हत्यारालाई समात्यो।
汹涌	उर्लँदो	समुद्री छाल उर्लँदै किनारमा ठोक्कियो।
胸怀	विशाल मन	उसको मन धेरै विशाल छ।
胸膛	छाती	सैनिकले छाती तानेर उभियो।
雄厚	प्रचुर	कम्पनीसँग प्रचुर पूँजी छ।
雄伟	भव्य	यो ठूलो पुल अत्यन्त भव्य छ।
修复	मर्मत गर्नु	इन्जिनियरले प्रणाली मर्मत गरिरहेका छन्।
修建	निर्माण गर्नु	सरकारले नयाँ विमानस्थल निर्माण गर्ने योजना बनाएको छ।
修养	संस्कार	राम्रो संस्कार साना कुरामा देखिन्छ।
羞耻	लाज	झूट बोलेपछि उसलाई लाज लाग्यो।
嗅觉	घ्राण शक्ति	कुकुरको घ्राण शक्ति धेरै संवेदनशील हुन्छ।
绣	कढाइ गर्नु	हजुरआमाले फूल कढाइ गर्न जान्नुहुन्छ।
虚假	झूटो	वेबसाइटले झूटो समाचार प्रकाशित गर्यो।
虚荣	आडम्बरप्रियता	आडम्बरप्रियताले उसलाई अत्यधिक पैसा खर्च गरायो।
虚伪	पाखण्डी	उनी पाखण्डी शिष्टाचार मन पराउँदिनन्।
需求	माग	बजारको माग बढिरहेको छ।
须知	जान्नुपर्ने सूचना	कृपया पहिले दर्तासम्बन्धी जान्नुपर्ने सूचना पढ्नुहोस्।
许可	अनुमति	अनुमति बिना भित्र जान मिल्दैन।
序言	भूमिका	लेखकले भूमिकामा पृष्ठभूमि बताए।
畜牧	पशुपालन	घाँसेमैदान पशुपालन विकासका लागि उपयुक्त छ।
酗酒	अत्यधिक मद्यपान	दीर्घकालीन अत्यधिक मद्यपानले स्वास्थ्य बिगार्छ।
喧哗	होहल्ला	पुस्तकालयमा होहल्ला गर्न निषेध छ।
宣誓	शपथ लिनु	नयाँ सदस्यहरूले बैठकमा शपथ लिए।
宣扬	प्रचार गर्नु	विद्यालयले इमानदारी र विश्वासको प्रचार गर्छ।
悬挂	झुन्ड्याउनु	भित्तामा एउटा चित्र झुन्ड्याइएको छ।
悬念	कौतूहल	चलचित्रको अन्त्यले कौतूहल बाँकी राख्यो।
悬殊	ठूलो अन्तर	दुई टोलीको क्षमता बीच ठूलो अन्तर छ।
悬崖峭壁	ठाडो चट्टानी भीर	पहाडी बाटो छेउमा ठाडो चट्टानी भीर छ।
旋律	धुन	यो गीतको धुन सुन्दर छ।
旋转	घुम्नु	हावामा पवनचक्की घुमिरहेको छ।
选拔	छनोट गर्नु	विद्यालयले खेलाडी छनोट गरिरहेको छ।
选举	निर्वाचन	गाउँमा निर्वाचन भयो।
选手	प्रतियोगी	यो प्रतियोगीको प्रदर्शन स्थिर छ।
炫耀	धाक देखाउनु	ऊ सधैँ धनको धाक देखाउन मन पराउँछ।
削	कटौती गर्नु	कम्पनीले केही खर्च कटौती गर्यो।
削弱	कमजोर पार्नु	थकानले निर्णय क्षमता कमजोर पार्छ।
学说	सिद्धान्त	यो सिद्धान्तको प्रभाव ठूलो छ।
学位	शैक्षिक उपाधि	उनले स्नातकोत्तर शैक्षिक उपाधि प्राप्त गरिन्।
雪上加霜	झन् बिगार्नु	जागिर गुम्नु र बिरामी पर्नुले अवस्था झन् बिगार्यो।
血压	रक्तचाप	डाक्टरले उनलाई रक्तचाप नियन्त्रण गर्न सम्झाए।
熏陶	प्रभावमा हुर्कनु	उनी सानैदेखि संगीतको प्रभावमा हुर्किइन्।
寻觅	खोजी गर्नु	उनीहरूले उपयुक्त घर खोज्दै चारैतिर गए।
巡逻	गस्ती गर्नु	प्रहरी राति सडकमा गस्ती गर्छन्।
循环	चक्रमा चल्नु	पानी प्रणालीभित्र चक्रमा चल्छ।
循序渐进	क्रमिक रूपमा अघि बढ्नु	भाषा सिकाइ क्रमिक रूपमा अघि बढ्नुपर्छ।
压迫	दमन गर्नु	पुरानो व्यवस्थाले साधारण जनतालाई दमन गर्यो।
压岁钱	नयाँ वर्षको उपहार पैसा	बच्चाले नयाँ वर्षको उपहार पैसा पायो।
压缩	संकुचन गर्नु	सफ्टवेयरले चित्रको आकार संकुचन गर्न सक्छ।
压抑	दबाउनु	उसले मनभित्रको रिस दबाउन प्रयास गर्यो।
压榨	निचोर्नु	मेसिनले उखुको रस निचोरिरहेको छ।
压制	दबाउनु	औषधिले दुखाइ दबाउन सक्छ।
鸦雀无声	पूर्ण मौन	शिक्षक आएपछि कक्षा पूर्ण मौन भयो।
亚军	उपविजेता	उनले प्रतियोगितामा उपविजेता स्थान पाइन्।
淹没	डुबाउनु	बाढीले होचा गाउँहरू डुबायो।
烟花爆竹	आतसबाजी र पटाका	चाडपर्वमा आतसबाजी र पटाका पड्काउन निषेध छ।
严峻	गम्भीर	रोजगारी अवस्था अझै गम्भीर छ।
严寒	कडा जाडो	कडा जाडोले यातायात प्रभावित गर्यो।
严禁	कडाइका साथ निषेध गर्नु	यहाँ धूम्रपान कडाइका साथ निषेध छ।
严厉	कठोर	शिक्षकले उसलाई कठोर रूपमा आलोचना गरे।
严密	कडा	गोदाममा कडा निगरानी छ।
岩石	चट्टान	समुद्र किनारका चट्टान धेरै कडा छन्।
延期	स्थगित गर्नु	बैठक अर्को सातासम्म स्थगित भयो।
延伸	विस्तार हुनु	सडक उत्तरतिर विस्तार हुन्छ।
延续	जारी रहनु	यो परम्परा सय वर्षदेखि जारी छ।
沿海	तटीय	तटीय सहरहरूको व्यापार विकसित छ।
炎热	तीव्र गर्मी	तीव्र गर्मीले मानिसलाई थकित बनाउँछ।
言论	अभिव्यक्ति	सार्वजनिकले उनको अभिव्यक्तिमा चासो राख्छ।
掩盖	ढाकछोप गर्नु	उसले गल्ती ढाकछोप गर्ने प्रयास गर्यो।
掩护	आवरण दिनु	टोलीसाथीले फिर्ता हुन आवरण दिए।
掩饰	ढाकछोप गर्नु	उनले आफ्नो तनाव ढाकछोप गर्न प्रयास गरिन्।
演变	विकासक्रममा बदलिनु	सहरको संरचना निरन्तर विकासक्रममा बदलिँदै छ।
演习	अभ्यास	विद्यालयले आगलागी नियन्त्रण अभ्यास आयोजना गर्यो।
演绎	व्याख्या गरेर देखाउनु	शिक्षकले यो प्रमेय व्याख्या गरेर देखाए।
演奏	वादन गर्नु	ब्यान्डले शास्त्रीय संगीत वादन गरिरहेको छ।
眼光	दृष्टि	उसको लगानी दृष्टि राम्रो छ।
眼色	आँखाको संकेत	उनले सहकर्मीलाई आँखाको संकेत दिइन्।
眼神	आँखाको भाव	उसको आँखाको भाव निकै दृढ थियो।
厌恶	घृणा गर्नु	ऊ ठगी व्यवहारलाई घृणा गर्छ।
验收	निरीक्षण गरी स्वीकार्नु	निर्माण सकिएपछि निरीक्षण गरी स्वीकार्नुपर्छ।
验证	प्रमाणित गर्नु	प्रयोगले परिकल्पना प्रमाणित गर्यो।
氧气	अक्सिजन	बिरामीलाई अक्सिजन चाहिन्छ।
样品	नमुना	ग्राहकले उत्पादनको नमुना पाए।
摇摆	डोल्नु	सानो डुङ्गा हावाहुरीमा डोल्यो।
摇滚	रक संगीत	युवाहरूलाई रक संगीत मन पर्छ।
谣言	अफवाह	अप्रमाणित अफवाह नफैलाउनुहोस्।
遥控	टाढाबाट नियन्त्रण गर्नु	उसले मोबाइलबाट एअर कन्डिसनर टाढाबाट नियन्त्रण गर्यो।
遥远	धेरै टाढा	त्यो गाउँ सहरबाट धेरै टाढा छ।
耀眼	चकाचौंध पार्ने	घामको उज्यालो चकाचौंध पार्ने थियो।
要点	मुख्य बुँदा	कृपया बैठकका मुख्य बुँदा टिप्नुहोस्।
要命	अत्यन्त खतरनाक	यो पहाडी बाटो अत्यन्त खतरनाक छ।
要素	मुख्य तत्व	विश्वास सहकार्यको मुख्य तत्व हो।
野蛮	असभ्य	ऊ असभ्य कानुन कार्यान्वयनको विरोध गर्छ।
野心	महत्त्वाकांक्षा	उसको राजनीतिक महत्त्वाकांक्षा स्पष्ट छ।
液体	तरल पदार्थ	यो तरल पदार्थ रंगहीन छ।
一流	उत्कृष्ट	यो अस्पतालका उपकरण उत्कृष्ट छन्।
一如既往	पहिलेजस्तै	उसले पहिलेजस्तै हामीलाई समर्थन गर्यो।
依旧	अझै पनि	पानी रोकियो, तर सडक अझै पनि ओसिलो छ।
依据	आधार	फैसला कानुनको आधारमा हुनुपर्छ।
依靠	भर पर्नु	उनीहरू कृषिमा भर परेर बाँचिरहेका छन्।
依赖	निर्भर हुनु	बालबालिकाले आमाबाबुमा अत्यधिक निर्भर हुनु हुँदैन।
依托	आधार मानेर भर पर्नु	परियोजना स्थानीय स्रोतलाई आधार मानेर विकास हुन्छ।
衣裳	लुगा	उनले सफा लुगा फेरिन्।
一度	एक समय	कम्पनी एक समय दिवालिया हुने अवस्थामा पुगेको थियो।
一贯	सधैँदेखि	ऊ सधैँदेखि अपव्ययको विरोध गर्छ।
一目了然	एकै नजरमा स्पष्ट	तालिकाको सामग्री एकै नजरमा स्पष्ट छ।
一向	सधैँ	उनी सधैँ समयपालक छिन्।
仪器	उपकरण	प्रयोगशालाले नयाँ उपकरण किन्यो।
仪式	समारोह	दीक्षान्त समारोह भोलि हुन्छ।
疑惑	अन्योल	विद्यार्थी उत्तरबारे अन्योलमा परे।
遗产	सम्पदा	यो प्राचीन सहर सांस्कृतिक सम्पदा हो।
遗传	वंशानुगत हुनु	यो रोग वंशानुगत हुन सक्छ।
遗留	छोडेर जानु	इतिहासले छोडेका समस्या समाधान गर्नुपर्छ।
遗失	हराउनु	यात्रीको राहदानी हरायो।
以便	सजिलो होस् भनेर	सम्पर्क गर्न सजिलो होस् भनेर फोन नम्बर छोड्नुहोस्।
以免	जोगिनका लागि	ढिला हुनबाट जोगिनका लागि चाँडै निस्कनुहोस्।
以往	विगत	विगतको अनुभव सन्दर्भयोग्य छ।
以至	यहाँसम्म कि	दायरा समुदायसम्म, यहाँसम्म कि सम्पूर्ण सहरसम्म फैलियो।
以致	फलस्वरूप	लगातार वर्षाका कारण फलस्वरूप सडक बन्द भयो।
一帆风顺	सजिलै अघि बढ्नु	उद्यम सधैँ सजिलै अघि बढ्न सक्दैन।
一举两得	एकै कामले दुई फाइदा	साइकल चढेर काममा जाँदा एकै कामले दुई फाइदा हुन्छ।
一丝不苟	अत्यन्त सावधानीपूर्वक	इन्जिनियरले तार अत्यन्त सावधानीपूर्वक जाँचे।
亦	पनि	ऊ पनि यो योजनामा सहमत भयो।
异常	असामान्य	प्रणालीमा असामान्य अवस्था देखा पर्यो।
意料	अपेक्षा	नतिजा पूर्ण रूपमा अपेक्षाभन्दा बाहिर थियो।
意识	सचेतना	ऊ बिस्तारै समस्याको गम्भीरताबारे सचेत भयो।
意图	मनसाय	प्रहरीले उसको मनसाय बुझ्यो।
意味着	अर्थ लाग्नु	मौनताले सहमति अर्थ लगाउँदैन।
意向	आशय	दुवै पक्षले सहकार्यको आशय व्यक्त गरे।
意志	इच्छाशक्ति	कठिनाइले मानिसको इच्छाशक्ति जाँच्छ।
毅力	लगनशीलता	सफलताका लागि लामो समयको लगनशीलता चाहिन्छ।
毅然	दृढतापूर्वक	उनी दृढतापूर्वक कम्पनीबाट निस्किइन्।
翼	पखेटा	विमानको पखेटा जाँच गरियो।
阴谋	षड्यन्त्र	उनीहरूले यो षड्यन्त्र उजागर गरे।
音响	ध्वनि प्रणाली	बैठक कोठाको ध्वनि प्रणाली राम्रो छ।
