simplified	SK	example_SK
气功	čchi-kung	Starý otec každé ráno cvičí čchi-kung
气魄	majestátnosť	Tento most má majestátny štýl
气色	výzor	Po odpočinku vyzeral jeho výzor oveľa lepšie
气势	rozmach	Tím mal od začiatku silný rozmach
气味	vôňa	V kuchyni bola vôňa toastu
气象	počasie	Počasie na tejto plošine sa rýchlo mení
气压	tlak vzduchu	Pokles tlaku vzduchu môže priniesť dážď
气质	povaha	Má pokojnú povahu
迄今为止	doteraz	Doteraz experiment postupoval hladko
掐	odtrhnúť	Odtrhla malý kvet
恰当	vhodný	Tvoja odpoveď je veľmi vhodná
恰到好处	akurát	Sladkosť tohto jedla je akurát
恰巧	náhodou	Práve keď som prišiel na stanicu, začalo pršať
洽谈	rokovať	Obe strany rokujú o detailoch spolupráce
千方百计	všetkými spôsobmi	Všetkými spôsobmi sa snažili nájsť riešenie
牵	viesť	Matka viedla dieťa za ruku pri prechádzaní cez cestu
牵扯	zahŕňať	Táto vec zahŕňa mnoho oddelení
牵制	obmedzovať	Obrana súpera obmedzila útok
签署	podpísať	Obe firmy podpísali dohodu
谦逊	skromný	Po úspechu zostal skromný
迁就	prispôsobovať sa	Rodičia sa nemôžu vždy prispôsobovať deťom
迁徙	migrovať	Sťahovavé vtáky migrujú každý rok podľa ročných období
前景	vyhliadky	Toto odvetvie má dobré vyhliadky
前提	predpoklad	Dôvera je predpokladom spolupráce
潜力	potenciál	Tento študent má veľký potenciál
潜水	potápanie	Išli k moru učiť sa potápanie
潜移默化	nebadateľne ovplyvniť	Rodinné prostredie môže deti nebadateľne ovplyvniť
谴责	odsúdiť	Medzinárodné spoločenstvo odsúdilo násilie
抢劫	olúpiť	Polícia chytila podozrivého, ktorý olúpil banku
强制	nútiť	Nové pravidlo núti vodičov používať bezpečnostné pásy
强迫	nútiť	Nenúťte deti robiť veci, ktoré nemajú rady
抢救	zachraňovať	Lekári zachraňujú zraneného robotníka
桥梁	most	Jazyk je mostom kultúrnej výmeny
窍门	trik	Pri učení výslovnosti existujú určité triky
翘	zdvihnúť	Zdvihol jednu nohu na stoličku
切实	praktický	Potrebujeme praktický a uskutočniteľný plán
锲而不舍	vytrvalo	Študoval tento problém vytrvalo
亲密	blízky	Vždy si udržiavali blízky vzťah
亲热	srdečný	Starý človek srdečne privítal hostí
侵犯	porušiť	Toto správanie porušilo osobné súkromie
侵略	invázia	Ľudia odmietajú akúkoľvek formu invázie
钦佩	obdivovať	Veľmi obdivujem jej odvahu
勤俭	pracovitý a šetrný	Stará mama celý život viedla domácnosť pracovito a šetrne
勤劳	pracovitý	Pracovití ľudia si vždy dokážu vytvoriť príležitosti
倾听	pozorne počúvať	Učiteľ pozorne počúval názory študentov
倾向	mať sklon	Mladí spotrebitelia majú sklon nakupovať online
倾斜	nakloniť sa	Po silnom daždi sa múr začal nakláňať
清澈	čistý	Horský potok je veľmi čistý
清晨	skoré ráno	V skorom ráne je vzduch mimoriadne svieži
清除	odstrániť	Robotníci odstránili sneh z cesty
清洁	čistý	Nemocnice musia udržiavať prostredie čisté
清理	upratať	Cez víkend sme upratali sklad
清晰	jasný	Táto fotografia je veľmi jasná
清醒	bdelý	Po káve bol oveľa bdelejší
清真	halal	Neďaleko je halal reštaurácia
情报	spravodajská informácia	Reportér získal dôležité spravodajské informácie
情节	dej	Dej románu je veľmi napínavý
情理	rozum	Jeho požiadavka je proti rozumu
情形	situácia	Situácia na mieste bola zložitejšia, než sa čakalo
晴朗	jasný	Dnešná obloha je mimoriadne jasná
请柬	pozvánka	Poslali príbuzným a priateľom svadobné pozvánky
请教	poradiť sa	Rád by som sa s tebou poradil o jednej otázke
请示	požiadať o pokyny	Túto vec treba najprv nahlásiť vedúcemu a požiadať o pokyny
请帖	pozvánka	Na stole ležala narodeninová pozvánka
丘陵	pahorky	V tejto oblasti je veľa pahorkov
区分	rozlíšiť	Dieťa už vie rozlíšiť ľavú a pravú stranu
区域	oblasť	V tejto oblasti je parkovanie zakázané
屈服	podľahnúť	Nepodľahol tlaku
曲折	zložitý	Prešli zložitými rokovaniami
驱逐	vyhnať	Polícia vyhnala výtržníkov
渠道	kanál	Firma predáva výrobky cez nový kanál
取缔	zakázať	Vláda zakázala nelegálny trh
曲子	melódia	Melódia tejto skladby je krásna
趣味	zaujímavosť	Táto hra je veľmi zaujímavá
圈套	pasca	Takmer padol do pasce podvodníka
全局	celok	Lídri musia zohľadniť záujmy celku
全力以赴	vynaložiť všetko úsilie	Vynaložíme všetko úsilie na dokončenie úlohy
拳头	päsť	Zovrel päsť a pripravil sa na zápas
权衡	zvážiť	Musíme zvážiť náklady a účinok
权威	autorita	Tento profesor je autoritou v odbore
犬	pes	Tento druh psa je vhodný na stráženie domu
缺口	medzera	V múre je malá medzera
缺席	neprítomnosť	Pre chorobu bol na schôdzi neprítomný
缺陷	chyba	Tento dizajn má zjavnú chybu
瘸	krívať	Na ľavú nohu trochu kríva
确保	zabezpečiť	Prosím zabezpeč, aby boli dvere zamknuté
确立	stanoviť	Firma stanovila nové rozvojové ciele
确切	presný	Nepoznám presný čas
确信	byť presvedčený	Som presvedčený, že príde načas
群众	ľudia	Ľudia podporujú novú politiku
染	farbiť	Zafarbila si vlasy načierno
嚷	kričať	Nekrič nahlas na chodbe
让步	ústupok	Obe strany urobili určité ústupky
饶恕	odpustiť	Nakoniec sa rozhodla druhému človeku odpustiť
扰乱	narušiť	Hluk narušil poriadok v triede
惹祸	spôsobiť problémy	Neopatrné vtipy môžu ľahko spôsobiť problémy
热泪盈眶	oči plné sĺz	Keď počula dobrú správu, oči sa jej naplnili slzami
热门	populárny	Umelá inteligencia je populárna téma
人道	humanitárny	Záchranná akcia odrážala humanitárneho ducha
人格	dôstojnosť	Urážanie iných poškodzuje osobnú dôstojnosť
人工	umelý	Táto rieka bola vykopaná umelo
人家	iní ľudia	Neporovnávaj sa stále s inými ľuďmi
人间	ľudský svet	Jar napĺňa ľudský svet životom
人士	osobnosť	Na fóre sa zúčastnili osobnosti zo všetkých kruhov
人为	ľudský	Túto nehodu spôsobili ľudské faktory
人性	ľudská povaha	Tento film rozoberá ľudskú povahu
人质	rukojemník	Polícia úspešne zachránila rukojemníka
仁慈	láskavý	Tento lekár je k pacientom veľmi láskavý
忍耐	trpezlivosť	Čakanie v dlhom rade si vyžaduje trochu trpezlivosti
忍受	znášať	Nedokážem znášať tunajší hluk
任命	vymenovať	Správna rada ju vymenovala za manažérku
任性	svojvoľný	Príliš svojvoľné dieťa môže ovplyvniť svoj vývoj
任意	ľubovoľne	Prosím neupravujte údaje ľubovoľne
任重道远	ťažká a dlhá úloha	Reforma vzdelávania je ťažká a dlhá úloha
认定	určiť	Polícia určila, že išlo o nehodu
认可	uznanie	Jeho plán získal uznanie všetkých
仍旧	stále	Po mnohých rokoch tu stále býval
日新月异	rýchlo sa meniť	Technológia sa zo dňa na deň rýchlo mení
日益	čoraz viac	Environmentálne problémy sú čoraz vážnejšie
容貌	vzhľad	Roky zmenili jeho vzhľad
容纳	pojať	Táto sála pojme päťsto ľudí
容器	nádoba	Prosím nalejte tekutinu do sklenenej nádoby
容忍	tolerovať	Firma nemôže tolerovať podvod
溶解	rozpustiť	Soľ sa rozpúšťa vo vode
荣幸	pocta	Je mi cťou zúčastniť sa na schôdzi
荣誉	česť	Táto medaila predstavuje najvyššiu česť
融化	roztopiť	Slnko pomaly roztopilo ľad a sneh
融洽	harmonický	Vzťahy medzi kolegami sú veľmi harmonické
揉	masírovať	Mama mi jemne masírovala plecia
柔和	jemný	Svetlo je jemné a neoslňuje
儒家	konfucianizmus	Konfuciánske myslenie ovplyvnilo východoázijskú kultúru
弱点	slabina	Neopatrnosť je jeho hlavná slabina
若干	niekoľko	Schôdza predložila niekoľko návrhov
撒谎	klamať	Deti by nemali klamať
散文	próza	Rada číta modernú prózu
散布	šíriť	Niekto šíril klebety na internete
散发	vydávať	Záhrada vydáva sviežu vôňu
丧失	stratiť	Nestratil dôveru
骚扰	obťažovať	Prosím neobťažujte ostatných cestujúcich
嫂子	švagriná	Jedlo mojej švagrinej je výborné
刹车	brzdiť	Vodič náhle zabrzdil
啥	čo	Čo si práve povedal
筛选	filtrovať	Systém automaticky vyfiltruje životopisy
山脉	pohorie	Toto pohorie je veľmi dlhé
闪烁	blikať	Svetlá v diaľke neustále blikajú
擅长	byť dobrý v	Je dobrý v riešení zložitých problémov
擅自	bez dovolenia	Zamestnanci nesmú bez dovolenia opustiť svoje pracovné miesta
伤脑筋	nepríjemný	Tento problém je naozaj nepríjemný
商标	ochranná známka	Firma zaregistrovala novú ochrannú známku
上级	nadriadení	Oznámil situáciu svojim nadriadeným
上进	snažiť sa zlepšovať	Vždy sa snažila zlepšovať
上任	nastúpiť do funkcie	Nový manažér nastúpi do funkcie budúci týždeň
上瘾	stať sa závislým	Mnohí ľudia sa stanú závislými od krátkych videí
上游	horný tok	Znečistenie pochádza z horného toku rieky
尚且	dokonca	Dokonca aj dospelí môžu robiť chyby
捎	odkázať	Prosím odkáž mu za mňa správu
梢	konár	Vták zastal na vrcholci stromu
哨	stráž	Pri bráne je stráž
奢侈	márnotratný	Tento druh výdavkov je príliš márnotratný
舌头	jazyk	Popálil si jazyk
摄氏度	stupeň Celzia	Dnešná teplota je tridsať stupňov Celzia
涉及	týkať sa	Správa sa týka niekoľkých oddelení
社区	komunita	Komunita zorganizovala prednášku o zdraví
设立	zriadiť	Škola zriadila štipendium
设想	myšlienka	Táto myšlienka si ešte vyžaduje diskusiu
设置	nastaviť	Prosím znovu nastavte heslo
呻吟	stonať	Pacient ticho stonal
深奥	hlboký	Obsah tejto knihy je veľmi hlboký
深沉	hlboký	Jeho hlas bol tichý a hlboký
深情厚谊	hlboké priateľstvo	Ľudia oboch krajín vytvorili hlboké priateľstvo
申报	priznať	Cestujúci musia pravdivo priznať predmety
绅士	džentlmen	Správa sa ako džentlmen
神经	nerv	Stres môže ovplyvniť nervový systém
神奇	zázračný	Tunajšia scenéria je veľmi zázračná
神气	energický	Dnes vyzeral mimoriadne energicky
神圣	posvätný	Je to posvätná povinnosť
神态	výraz	Jej výraz bol veľmi pokojný
神仙	nesmrteľný	Legenda hovorí, že v horách žijú nesmrteľní
审查	preskúmať	Platforma preskúmava zverejnený obsah
审理	prerokovať	Súd prerokúva tento prípad
审美	vkus	Jeho estetický vkus je veľmi osobitý
审判	súdny proces	Verejný súdny proces pritiahol pozornosť médií
慎重	opatrný	Toto rozhodnutie treba urobiť opatrne
渗透	presakovať	Dažďová voda pomaly presakovala do pôdy
声明	vyhlásenie	Firma vydala oficiálne vyhlásenie
声势	rozmach	Táto propagačná kampaň má silný rozmach
声誉	povesť	Kvalita výrobkov ovplyvňuje povesť značky
牲畜	dobytok	Pastieri zahnali dobytok späť na pastvinu
生存	prežiť	Divé zvieratá potrebujú priestor na prežitie
生机	životná sila	Jarný dážď napĺňa zem životnou silou
生理	fyziológia	Spánok ovplyvňuje fyziologický stav človeka
生疏	nevycvičený	Po rokoch bez cvičenia hrá na klavíri trochu nevycvičene
生态	ekológia	Ochrana lesov súvisí s ekologickou rovnováhou
生物	organizmus	V oceáne je mnoho nezvyčajných organizmov
生效	nadobudnúť účinnosť	Nové nariadenie zajtra oficiálne nadobudne účinnosť
生肖	čínske znamenie	Aké je tvoje čínske znamenie
生锈	hrdzavieť	Reťaz bicykla už zhrdzavela
生育	plodnosť	Nemocnica poskytuje poradenstvo v oblasti plodnosti
省会	hlavné mesto provincie	Čcheng-tu je už dlho hlavným mestom provincie S'-čchuan
盛产	hojne produkovať	Toto miesto hojne produkuje kvalitný čaj
盛开	kvitnúť	Čerešne v parku sú v plnom kvete
盛情	pohostinnosť	Ďakujeme hostiteľovi za srdečnú pohostinnosť
盛行	byť populárny	Tento štýl bol kedysi veľmi populárny
胜负	výsledok	Posledná minúta zápasu rozhodla o výsledku
失事	havária	Príčina leteckej havárie sa stále vyšetruje
失误	chyba	Malá chyba spôsobila oneskorenie projektu
失踪	nezvestný	Polícia hľadá nezvestné dieťa
尸体	telo	Záchranný tím našiel telo obete
师范	pedagogický	Vyštudovala pedagogickú univerzitu
施加	vyvíjať	Rodičia by nemali vyvíjať nadmerný tlak
施展	uplatniť	Konečne mal príležitosť uplatniť svoj talent
十足	úplný	Má úplnú dôveru vo výsledok
实惠	výhodný	Ceny v tomto obchode sú veľmi výhodné
实力	sila	Celková sila tímu je veľmi veľká
实施	realizovať	Vláda začala realizovať nový plán
实事求是	hľadať pravdu vo faktoch	Výskum by mal hľadať pravdu vo faktoch
实行	zaviesť	Firma zaviedla pružný pracovný systém
实质	podstata	Podstata problému sa nezmenila
拾	zdvihnúť	Zohol sa, aby zdvihol kľúč zo zeme
时常	často	Starý otec často rozpráva o veciach z mladosti
时而	občas	Počasie je občas slnečné a občas zamračené
时光	čas	Dobré časy sa vždy zdajú krátke
时机	príležitosť	Teraz nie je dobrá príležitosť na rokovania
时事	aktuálne udalosti	Študenti každý týždeň diskutujú o medzinárodných aktuálnych udalostiach
石油	ropa	Ceny ropy opäť vzrástli
识别	rozpoznať	Systém dokáže rozpoznať rôzne tváre
使命	poslanie	Ochrana životného prostredia je spoločné poslanie
世代	generácia	Toto remeslo sa v rodine odovzdáva po generácie
事故	nehoda	Táto nehoda nespôsobila žiadne obete
事迹	skutky	Jeho hrdinské skutky sa široko rozšírili
事件	udalosť	Táto udalosť pritiahla pozornosť verejnosti
事态	situácia	Vláda kontroluje vývoj situácie
事务	záležitosti	Je zodpovedná za každodenné záležitosti firmy
事项	položka	Prosím potvrďte dôležité položky v zmluve
事业	kariéra	Vzdelávanie považuje za svoju celoživotnú kariéru
势必	nevyhnutne	Rastúce náklady nevyhnutne ovplyvnia ceny
势力	vplyv	Miestny obchodný vplyv je silný
是非	spory	Nechce sa zapájať do kancelárskych sporov
示范	ukázať	Učiteľ najprv ukázal príklad
示威	demonštrácia	V centre mesta sa konala pokojná demonštrácia
示意	naznačiť	Manažér naznačil všetkým, aby boli ticho
视力	zrak	Dlhé pozeranie na obrazovky môže ovplyvniť zrak
视频	video	Prosím pošli mi video
视线	výhľad	Hustá hmla zablokovala vodičovi výhľad
视野	obzor	Cestovanie môže rozšíriť obzor
试图	pokúsiť sa	Pokúsil sa vysvetliť svoje rozhodnutie
试验	experiment	Vedci uskutočnili mnoho experimentov
适宜	vhodný	Tunajšia klíma je vhodná na bývanie
逝世	zomrieť	Tento spisovateľ zomrel minulý rok
释放	prepustiť	Súd rozhodol prepustiť obžalovaného
收藏	zbierať	Zbieral mnoho starých známok
收缩	sťahovať sa	Studený vzduch môže spôsobiť, že sa kov sťahuje
收益	výnos	Výnosy z investície boli vyššie, než sa očakávalo
收音机	rádio	Stará mama počúva rádio každý deň
守护	chrániť	Lekári chránia životy pacientov
手法	technika	Režisérova filmová technika je veľmi osobitá
手势	gesto	Gestom ukázal súhlas
手艺	remeselná zručnosť	Remeselná zručnosť tohto majstra je veľmi dobrá
首饰	šperk	Mala na sebe jednoduché strieborné šperky
首要	najdôležitejší	Bezpečnosť je najdôležitejšia priorita
受罪	trpieť	Pacient po operácii veľa trpel
授予	udeliť	Škola mu udelila čestný titul
书法	kaligrafia	Od detstva cvičí kaligrafiu
书记	tajomník	Dedinský stranícky tajomník predsedal schôdzi
书籍	knihy	Knižnica má veľké množstvo kníh
书面	písomný	Prosím poskytnite písomný dôkaz
疏忽	nedbanlivosť	Táto chyba vznikla z pracovnej nedbanlivosti
疏远	odcudziť sa	Nedorozumenie spôsobilo, že sa tí dvaja postupne odcudzili
舒畅	uvoľnený	Po prechádzke som sa cítil veľmi uvoľnene a šťastne
数额	suma	Suma odškodnenia ešte nebola určená
束	zväzok	Kúpila zväzok kvetov
束缚	obmedzovať	Tradičné predstavy obmedzovali jeho voľby
树立	vytvoriť	Firma si musí vytvoriť dobrý imidž
竖	postaviť	Prosím postavte značku zvislo
耍	hrať sa	Nehraj sa s telefónom počas pracovného času
衰老	starnúť	Cvičenie môže spomaliť starnutie
衰退	úpadok	Hospodársky úpadok ovplyvnil zamestnanosť
率领	viesť	Kapitán viedol tím vpred
涮火锅	jesť hot pot	V zime všetci radi jedia hot pot
双胞胎	dvojčatá	Sú to dvojčatá
爽快	úprimný	Odpovedala veľmi úprimne
水利	vodné hospodárstvo	Tento región si cení výstavbu vodného hospodárstva
水龙头	kohútik	Kuchynský kohútik tečie
水泥	cement	Robotníci dopravili cement na stavenisko
瞬间	okamih	Svetlá v okamihu všetky zhasli
司法	súdnictvo	Nezávislosť súdnictva si vyžaduje inštitucionálnu ochranu
司令	veliteľ	Veliteľ vydal rozkaz na ústup
思念	chýbať	Často jej chýba rodné mesto
思索	premýšľať	Sklonil hlavu a dlho premýšľal
思维	myslenie	Tento tréning môže zlepšiť logické myslenie
斯文	kultivovaný	Hovorí kultivovane a jemne
私自	bez povolenia	Študenti nesmú bez povolenia opustiť školu
死亡	úmrtie	Nehoda spôsobila niekoľko úmrtí
四肢	končatiny	Pred cvičením by si mal rozhýbať končatiny
寺庙	chrám	Na hore je starý chrám
肆无忌惮	bez zábran	Porušoval pravidlá bez zábran
饲养	chovať	Farma chová mnoho dojníc
耸	pokrčiť plecami	Keď to počul, len pokrčil plecami
艘	kus	V prístave kotvia tri nákladné lode
苏醒	prebrať sa	Pacient sa konečne prebral
俗话	príslovie	Ako hovorí príslovie, cvik robí majstra
塑造	formovať	Prostredie môže formovať charakter človeka
素食	vegetariánske jedlo	Táto reštaurácia ponúka vegetariánske jedlá
素质	kvalita	Obslužný personál má vysokú kvalitu
诉讼	súdny spor	Obe strany sa rozhodli vyriešiť to súdnym sporom
算数	dodržať slovo	Mal by si dodržať slovo
随即	okamžite	Po skončení schôdze okamžite odišiel
随意	ľubovoľne	Prosím nemeňte nastavenia ľubovoľne
岁月	roky	Plynúce roky zmenili jeho vzhľad
隧道	tunel	Vlak prešiel dlhým tunelom
损坏	poškodiť	Silný dážď poškodil cestu
索取	vyžiadať	Zákazníci si môžu bezplatne vyžiadať vzorky
索性	jednoducho	Dážď bol príliš silný, tak sme jednoducho nešli von
塌	zrútiť sa	Strecha starého domu sa zrútila
踏实	pokojný	Po dokončení úlohy som sa cítil pokojne
塔	veža	V centre mesta je vysoká veža
台风	tajfún	Očakáva sa, že tajfún zajtra dorazí na pevninu
太空	vesmír	Ľudstvo vždy skúmalo vesmír
泰斗	autorita	Je vedúcou autoritou v lingvistike
摊	stánok	Na trhu si postavila stánok s ovocím
瘫痪	ochrnutie	Dopravná nehoda mu spôsobila ochrnutie dolných končatín
贪婪	chamtivosť	Chamtivosť môže človeka zničiť
贪污	korupcia	Úradníka vyšetrovali pre korupciu
弹性	pružnosť	Tento materiál má veľkú pružnosť
坦白	priznať sa	Nakoniec sa priznal k pravde
叹气	vzdychnúť	Keď počul výsledok, nemohol si nepovzdychnúť
探测	zistiť	Zariadenie dokáže zistiť podzemnú vodu
探索	skúmať	Vedci ďalej skúmajú vesmír
探讨	diskutovať	Odborníci diskutovali o pláne reformy
探望	navštíviť	Cez víkend som šiel do nemocnice navštíviť priateľa
倘若	ak	Ak bude pršať, podujatie sa odloží
掏	vytiahnuť	Vytiahol kľúč z vrecka
滔滔不绝	hovoriť bez prestania	Keď začne hovoriť o histórii, hovorí bez prestania
淘汰	vyradiť	Tento tím bol vyradený skoro
陶瓷	keramika	Ťing-te-čen je známy keramikou
陶醉	očariť	Hudba očarila publikum
讨好	zaliečať sa	Nechce sa zámerne zaliečať šéfovi
特长	silná stránka	Maľovanie je jej silná stránka
特定	konkrétny	Prosím podajte žiadosť v konkrétnom čase
特意	osobitne	Prišiel som osobitne, aby som ti poďakoval
提拔	povýšiť	Firma ju povýšila na vedúcu oddelenia
提炼	extrahovať	Továreň extrahuje kov z rudy
提示	výzva	Systém zobrazí výzvu na zadanie hesla
提议	navrhnúť	Navrhla pokračovať v diskusii zajtra
题材	téma	Téma tohto filmu je svieža
体裁	žáner	Romány a básne sú rôzne žánre
体积	objem	Táto škatuľa má veľký objem
体谅	mať pochopenie	Prosím maj pochopenie pre jeho ťažkosti
体面	dôstojný	Chce si nájsť dôstojnú prácu
体系	systém	Firma vybudovala kompletný školiaci systém
天才	génius	Toto dieťa sa považuje za hudobného génia
天赋	talent	Má talent na učenie jazykov
天伦之乐	rodinné šťastie	Starý človek si užíva rodinné šťastie
天然气	zemný plyn	Obyvatelia mesta používajú na varenie zemný plyn
天生	prirodzene	Je prirodzene optimistický
天堂	raj	Toto miesto je ako raj na zemi
天文	astronómia	Astronómia sa mu páči od detstva
田径	atletika	Škola usporiadala atletickú súťaž
田野	pole	Jarné polia sú celé zelené
舔	lízať	Šteniatko lízalo ruku svojho majiteľa
挑剔	vyberavý	Je veľmi vyberavá v jedle
条款	ustanovenie	Ustanovenia zmluvy treba čítať pozorne
条理	poriadok	Jeho prejav bol veľmi usporiadaný
条约	zmluva	Obe krajiny podpísali mierovú zmluvu
调和	ladiť	Tieto dve farby spolu dobre ladia
调剂	vyvážiť	Cvičenie môže vyvážiť stresujúci život
调节	regulovať	Klimatizácia môže regulovať vnútornú teplotu
调解	sprostredkovať	Pracovníci komunity pomohli sprostredkovať spor medzi oboma stranami
调料	korenie	Do polievky treba pridať trochu korenia
挑拨	rozvracať	Nerozvracaj vzťahy medzi kolegami
挑衅	provokácia	Takáto poznámka má zjavný nádych provokácie
跳跃	skákať	Športovec skočil trikrát za sebou
亭子	pavilón	Pri jazere je malý pavilón
停泊	kotviť	Rybárske lode kotvia v prístave
停顿	pauza	Pri rozprávaní urobil krátku pauzu
停滞	zastaviť sa	Projekt sa zastavil pre nedostatok financií
挺拔	vysoký a rovný	Borovice rastú vysoko a rovno
通货膨胀	inflácia	Inflácia zvýšila životné náklady
通缉	vyhlásiť pátranie	Polícia vyhlásila po tomto podozrivom pátranie
通俗	prístupný	Jazyk tejto knihy je veľmi prístupný
通讯	komunikácia	Moderná komunikačná technológia sa rýchlo rozvíja
通用	univerzálny	Tento typ nabíjačky je pomerne univerzálny
同胞	krajania	Krajania v zahraničí sa tiež zaujímajú o rozvoj rodného kraja
同志	súdruh	Starší súdruh sa podelil o pracovné skúsenosti
童话	rozprávka	Dieťa rado počúva rozprávky pred spaním
铜	meď	Táto socha je vyrobená z medi
统筹兼顾	koordinovane zohľadniť	Mestské plánovanie by malo koordinovane zohľadniť všetky záujmy
统计	spočítať	Musíme spočítať počet registrácií
统统	všetko	Všetky tieto staré dokumenty treba archivovať
统治	vládnuť	Táto dynastia vládla tristo rokov
投机	špekulácia	Zarobil peniaze špekuláciou
投票	hlasovanie	Obyvatelia sa zajtra zúčastnia hlasovania
投诉	sťažnosť	Zákazník podal na platforme sťažnosť na obchodníka
投降	vzdať sa	Nepriateľská armáda sa nakoniec rozhodla vzdať
投掷	hádzať	Športovec trénoval hod oštepom
透露	prezradiť	Neprezradil podrobnosti schôdze
秃	plešatý	Oplešivel už v mladom veku
突破	prielom	Výskum dosiahol významný prielom
图案	vzor	Vzor na tejto látke je veľmi pekný
徒弟	učeň	Majster učí učňa opravovať hodinky
涂抹	naniesť	Prosím naneste masť okolo rany
途径	kanál	Internet je dôležitý kanál získavania informácií
土壤	pôda	Úrodná pôda je vhodná na pestovanie zeleniny
团结	zjednotiť sa	Tím sa musí zjednotiť a spolupracovať
团体	skupina	Táto skupina pravidelne organizuje aktivity
团圆	opätovné stretnutie	Sviatok jari je časom rodinného opätovného stretnutia
推测	odhadovať	Odborníci odhadujú, že ceny budú ďalej rásť
推翻	zvrhnúť	Ľudia zvrhli starý systém
推理	dedukcia	Tento román je plný deduktívnych zápletiek
推论	záver	Tento záver ešte potrebuje dôkazy
推销	predávať	Je zodpovedný za predaj nového výrobku
吞吞吐吐	zajakávať sa	Pri odpovedi sa zajakával
托运	odbaviť	Cestujúci si môžu odbaviť batožinu pri pulte
拖延	odkladať	Neodkladaj už čas platby
脱离	oddeliť sa	Teória sa nemôže oddeliť od reality
妥当	vhodný	Toto usporiadanie je veľmi vhodné
妥善	riadne	Prosím riadne uschovajte dôležité dokumenty
妥协	kompromis	Obe strany nakoniec dosiahli kompromis
椭圆	elipsa	Obežná dráha Zeme je blízka elipse
唾弃	zavrhovať	Spoločnosť zavrhuje takýto podvod
哇	jé	Jé, tento most je naozaj veľkolepý
挖掘	vykopávať	Archeologický tím vykopáva starú hrobku
娃娃	bábika	Dievčatko drží bábiku
瓦解	rozpadnúť sa	Vnútorné konflikty spôsobili rozpad aliancie
歪曲	prekrútiť	Správy by nemali prekrúcať fakty
外表	vzhľad	Nesúď ľudí iba podľa vzhľadu
外行	laik	V otázkach práva som úplný laik
外界	vonkajší svet	Firma zriedka reaguje na kritiku z vonkajšieho sveta
外向	spoločenský	Má spoločenskú povahu a veľa priateľov
丸	tabletka	Lekár mu predpísal niekoľko tabletiek
完备	úplný	Tento súbor materiálov je veľmi úplný
完毕	skončiť	Schôdza sa už skončila
玩弄	zahrávať sa	Nezahrávaj sa s citmi iných ľudí
玩意儿	vec	Čo je to za novú vec
顽固	tvrdohlavý	Jeho postoj je veľmi tvrdohlavý
顽强	húževnatý	Zranený človek prejavil veľkú húževnatosť
惋惜	ľutovať	Všetci ľutovali neúspech
挽回	zachrániť	Usilovne pracoval, aby zachránil straty firmy
挽救	zachrániť	Lekár úspešne zachránil pacientovi život
万分	mimoriadne	Som ti mimoriadne vďačný za pomoc
往常	zvyčajne	Dnes je teplejšie než zvyčajne
往事	minulosť	Starý človek často spomína na minulosť
妄想	márne snívať	Márne sníva o tom, že cez noc zbohatne
危机	kríza	Firma čelí vážnej kríze
威风	impozantný	Generál vyzeral na koni impozantne
威力	sila	Tento druh zbrane má veľkú silu
威望	prestíž	V dedine má veľkú prestíž
威信	dôveryhodnosť	Lídri musia udržiavať dôveryhodnosť vlády
微不足道	bezvýznamný	Táto malá strata je bezvýznamná
微观	mikroekonómia	Tento kurz predstavuje mikroekonómiu
为难	sťažovať	Nesťažuj situáciu čašníkovi
为期	trvať	Školenie trvá tri mesiace
唯独	iba	Všetci prišli, iba on nie
维持	udržiavať	Polícia udržiavala poriadok na mieste
维护	chrániť	Musíme chrániť svoje zákonné práva a záujmy
维生素	vitamín	Ovocie obsahuje veľa vitamínov
违背	porušiť	Toto rozhodnutie porušuje ducha zmluvy
伪造	falšovať	Niekto sfalšoval jeho podpis
委托	poveriť	Klient poveril právnika vybavením prípadu
委员	člen výboru	Každý člen výboru vyjadril názor
卫星	satelit	Satelit vstúpil na plánovanú obežnú dráhu
喂	kŕmiť	Dieťa kŕmi mačiatko
慰问	vyjadriť sústrasť	Vedúci išli do nemocnice vyjadriť sústrasť zraneným
未免	až príliš	Táto požiadavka je až príliš vysoká
畏惧	báť sa	Nikdy sa nebojí ťažkostí
蔚蓝	azúrový	Obloha mala azúrovú farbu
温带	mierne pásmo	Táto rastlina je vhodná do mierneho podnebia
温和	umiernený	Jeho politický postoj je pomerne umiernený
文凭	diplom	Táto práca vyžaduje univerzitný diplom
文物	kultúrna pamiatka	Múzeum vystavilo vzácne kultúrne pamiatky
文献	literatúra	Článok citoval veľké množstvo literatúry
文雅	elegantný	Správa sa elegantne
文艺	literatúra a umenie	Toto mesto má silnú literárno-umeleckú atmosféru
问世	vyjsť	Tento model telefónu čoskoro vyjde
窝	hniezdo	Na strome je vtáčie hniezdo
乌黑	čierny	Má dlhé čierne vlasy
污蔑	ohováranie	Poprel, že by ohováral konkurenta
诬陷	krivé obvinenie	Dôkazy ukazujú, že bol krivo obvinený
无比	nesmierny	Keď počul tú správu, cítil nesmierne vzrušenie
无偿	bezplatný	Dobrovoľníci poskytujú služby bezplatne
无耻	nehanebný	Takéto podvádzanie je veľmi nehanebné
无动于衷	ľahostajný	Zoči-voči kritike zostal ľahostajný
无非	iba	Urobil to iba preto, aby ušetril peniaze
