simplified	LO	example_LO
妄想	ຄິດເພີ້ຝັນ	ຢ່າຄິດເພີ້ຝັນວ່າຈະສຳເລັດໂດຍບໍ່ພະຍາຍາມ.
危机	ວິກິດ	ບໍລິສັດກຳລັງເຜີຊີນກັບວິກິດການເງິນ.
威风	ສະງ່າຜ່າເຜີຍ	ນາຍພົນເດີນເຂົ້າມາຢ່າງສະງ່າຜ່າເຜີຍ.
威力	ພະລັງອຳນາດ	ພາຍຸລູກນີ້ມີພະລັງອຳນາດຮຸນແຮງ.
威望	ບາລະມີ	ອາຈານຜູ້ນີ້ມີບາລະມີສູງໃນວົງການວິຊາການ.
威信	ຄວາມເຊື່ອຖື	ຜູ້ນຳຕ້ອງຮັກສາຄວາມເຊື່ອຖືຂອງຕົນ.
微不足道	ນ້ອຍຈົນບໍ່ຄວນເວົ້າເຖິງ	ຄວາມຜິດນີ້ນ້ອຍຈົນບໍ່ຄວນເວົ້າເຖິງ.
微观	ຈຸລະທັດ	ການວິເຄາະຈຸລະທັດຊ່ວຍໃຫ້ເຫັນລາຍລະອຽດ.
为难	ລຳບາກໃຈ	ຄຳຂໍນີ້ເຮັດໃຫ້ຂ້ອຍລຳບາກໃຈ.
为期	ມີໄລຍະເວລາ	ການຝຶກອົບຮົມນີ້ມີໄລຍະເວລາສອງອາທິດ.
唯独	ມີແຕ່	ທຸກຄົນມາຮອດແລ້ວ ມີແຕ່ລາວທີ່ຍັງບໍ່ມາ.
维持	ຮັກສາໃຫ້ຄົງຢູ່	ພວກເຮົາຕ້ອງຮັກສາໃຫ້ລະບຽບຄົງຢູ່.
维护	ປົກປ້ອງຮັກສາ	ທຸກຄົນຄວນປົກປ້ອງຮັກສາສິດຂອງຕົນ.
维生素	ວິຕາມິນ	ຜັກແລະໝາກໄມ້ມີວິຕາມິນຫຼາຍ.
违背	ຝ່າຝືນ	ການກະທຳນີ້ຝ່າຝືນກົດລະບຽບ.
伪造	ປອມແປງ	ລາວຖືກຈັບເພາະປອມແປງເອກະສານ.
委托	ມອບໝາຍ	ລູກຄ້າມອບໝາຍໃຫ້ທະນາຍຄວາມຈັດການຄະດີ.
委员	ກຳມະການ	ກຳມະການທຸກຄົນເຂົ້າຮ່ວມການປະຊຸມ.
卫星	ດາວທຽມ	ດາວທຽມຖືກສົ່ງຂຶ້ນສູ່ອະວະກາດ.
喂	ໂຫຼ	ໂຫຼ ເຈົ້າໄດ້ຍິນຂ້ອຍບໍ.
慰问	ຢ້ຽມຢາມປອບໃຈ	ຜູ້ນຳໄປຢ້ຽມຢາມປອບໃຈຄອບຄົວຜູ້ປະສົບໄພ.
未免	ອອກຈະ	ຄຳເວົ້ານີ້ອອກຈະຮຸນແຮງເກີນໄປ.
畏惧	ຢ້ານກົວ	ເຂົາບໍ່ຢ້ານກົວຄວາມລຳບາກ.
蔚蓝	ຟ້າຄາມສົດໃສ	ທະເລສາບມີສີຟ້າຄາມສົດໃສ.
温带	ເຂດອົບອຸ່ນ	ພືດຊະນິດນີ້ເຕີບໂຕໃນເຂດອົບອຸ່ນ.
温和	ອ່ອນໂຍນ	ລາວມີນິໄສອ່ອນໂຍນແລະເປັນມິດ.
文凭	ໃບປະກາດ	ນາງໄດ້ຮັບໃບປະກາດຈາກມະຫາວິທະຍາໄລ.
文物	ວັດຖຸບູຮານ	ພິພິທະພັນເກັບຮັກສາວັດຖຸບູຮານຈຳນວນຫຼາຍ.
文献	ເອກະສານອ້າງອີງ	ນັກວິຈັຍອ່ານເອກະສານອ້າງອີງຫຼາຍສະບັບ.
文雅	ສຸພາບສະຫງ່າ	ຄຳເວົ້າຂອງນາງສຸພາບສະຫງ່າ.
文艺	ວັນນະສິນ	ລາວມັກກິດຈະກຳວັນນະສິນຕັ້ງແຕ່ນ້ອຍ.
问世	ເປີດຕົວສູ່ໂລກ	ຜົນງານໃໝ່ຂອງນັກຂຽນເປີດຕົວສູ່ໂລກແລ້ວ.
窝	ຮັງ	ນົກກຳລັງສ້າງຮັງເທິງຕົ້ນໄມ້.
乌黑	ດຳຂວັບ	ຜົມຂອງນາງດຳຂວັບແລະເງົາງາມ.
污蔑	ໃສ່ຮ້າຍ	ລາວປະຕິເສດວ່າຕົນບໍ່ໄດ້ໃສ່ຮ້າຍໃຜ.
诬陷	ປ້າຍຄວາມຜິດ	ຢ່າປ້າຍຄວາມຜິດໃຫ້ຄົນບໍລິສຸດ.
无比	ຢ່າງຫາທີ່ສຸດບໍ່ໄດ້	ເມື່ອໄດ້ຍິນຂ່າວ ລາວຮູ້ສຶກຕື່ນເຕັ້ນຢ່າງຫາທີ່ສຸດບໍ່ໄດ້.
无偿	ບໍ່ຄິດຄ່າຕອບແທນ	ອາສາສະໝັກໃຫ້ບໍລິການໂດຍບໍ່ຄິດຄ່າຕອບແທນ.
无耻	ໄຮ້ຢາງອາຍ	ພຶດຕິກຳຫຼອກລວງແບບນີ້ໄຮ້ຢາງອາຍຫຼາຍ.
无动于衷	ບໍ່ສະທົກສະທ້ານ	ເມື່ອເຜີຊີນກັບຄຳວິຈານ ລາວບໍ່ສະທົກສະທ້ານ.
无非	ບໍ່ມີຫຍັງນອກຈາກ	ລາວເຮັດແບບນີ້ກໍບໍ່ມີຫຍັງນອກຈາກຢາກປະຢັດເງິນ.
无辜	ບໍລິສຸດ	ສານຕັດສິນວ່າລາວເປັນຄົນບໍລິສຸດ.
无精打采	ບໍ່ມີຊີວິດຊີວາ	ມື້ນີ້ລາວເບິ່ງບໍ່ມີຊີວິດຊີວາ.
无赖	ຄົນພານ	ຊາວບ້ານບໍ່ຢາກຄົບຫາກັບຄົນພານຄົນນັ້ນ.
无理取闹	ກໍ່ເລື່ອງໂດຍບໍ່ມີເຫດຜົນ	ກະລຸນາຢ່າກໍ່ເລື່ອງໂດຍບໍ່ມີເຫດຜົນຢູ່ທີ່ນີ້.
无能为力	ບໍ່ມີກຳລັງຈະຊ່ວຍໄດ້	ເມື່ອເຜີຊີນນ້ຳຖ້ວມ ຊາວບ້ານບໍ່ມີກຳລັງຈະຊ່ວຍໄດ້.
无穷无尽	ບໍ່ມີທີ່ສິ້ນສຸດ	ທະເລຊາຍເບິ່ງຄືບໍ່ມີທີ່ສິ້ນສຸດ.
无微不至	ເອົາໃຈໃສ່ທຸກລາຍລະອຽດ	ພະຍາບານເອົາໃຈໃສ່ຄົນເຈັບທຸກລາຍລະອຽດ.
无忧无虑	ບໍ່ມີກັງວົນ	ເດັກນ້ອຍຫຼິ້ນຢູ່ທົ່ງຫຍ້າຢ່າງບໍ່ມີກັງວົນ.
无知	ບໍ່ຮູ້	ຄວາມບໍ່ຮູ້ບໍ່ແມ່ນເຫດຜົນທີ່ຈະປະຕິເສດການຮຽນ.
侮辱	ດູຖູກ	ຄຳເວົ້າຂອງລາວດູຖູກອີກຝ່າຍ.
武器	ອາວຸດ	ອາວຸດເຫຼົ່ານີ້ຖືກເກັບຮັກສາແບບລວມສູນ.
武侠	ຈອມຍຸດ	ລາວມັກອ່ານນິຍາຍຈອມຍຸດຕັ້ງແຕ່ນ້ອຍ.
武装	ຕິດອາວຸດ	ເຂດຊາຍແດນເພີ່ມການລາດຕະເວນຕິດອາວຸດ.
舞蹈	ການເຕັ້ນລຳ	ການເຕັ້ນລຳຊຸດນີ້ມີເອກະລັກຊາດຫຼາຍ.
务必	ຈົ່ງໃຫ້ແນ່ນອນ	ກະລຸນາຈົ່ງໃຫ້ແນ່ນອນວ່າມາຮອດຕາມເວລາ.
物美价廉	ຄຸນນະພາບດີລາຄາຖືກ	ສິນຄ້າໃນຮ້ານນີ້ຄຸນນະພາບດີລາຄາຖືກ.
物业	ຝ່າຍບໍລິຫານອາຄານ	ຝ່າຍບໍລິຫານອາຄານຮັບຜິດຊອບການສ້ອມແປງໃນຊຸມຊົນ.
物资	ສິ່ງຂອງອຸປະໂພກ	ສິ່ງຂອງອຸປະໂພກເພື່ອກູ້ໄພຖືກສົ່ງເຖິງເຂດປະສົບໄພແລ້ວ.
误差	ຄ່າຄາດເຄື່ອນ	ຜົນການວັດແທກມີຄ່າຄາດເຄື່ອນເລັກນ້ອຍ.
误解	ຄວາມເຂົ້າໃຈຜິດ	ທັງສອງຝ່າຍລົບລ້າງຄວາມເຂົ້າໃຈຜິດຜ່ານການສື່ສານ.
夕阳	ຕາເວັນຍາມແລງ	ຕາເວັນຍາມແລງຍ້ອມທ້ອງຟ້າເປັນສີທອງ.
昔日	ໃນອະດີດ	ບ້ານນ້ອຍໃນອະດີດກາຍເປັນເມືອງແລ້ວ.
溪	ລຳຫ້ວຍ	ລຳຫ້ວຍນ້ອຍໄຫຼຜ່ານພູ.
熄灭	ດັບ	ກະລຸນາດັບທຽນໄຂ.
牺牲	ການເສຍສະຫຼະ	ພວກເຂົາເສຍສະຫຼະຕົນເພື່ອຊ່ວຍຄົນ.
膝盖	ຫົວເຂົ່າ	ຫົວເຂົ່າຂອງລາວບາດເຈັບ.
习俗	ປະເພນີ	ວັນປີໃໝ່ຈີນມີປະເພນີດັ້ງເດີມຫຼາຍຢ່າງ.
媳妇	ພັນລະຍາ	ພັນລະຍາຂອງລາວເຮັດວຽກຢູ່ໂຮງໝໍ.
袭击	ໂຈມຕີ	ພາຍຸຝົນໂຈມຕີເມືອງຕາມຊາຍຝັ່ງ.
喜闻乐见	ເປັນທີ່ມັກແລະຍອມຮັບ	ລາຍການແບບນີ້ເປັນທີ່ມັກແລະຍອມຮັບຂອງຜູ້ຊົມ.
喜悦	ຄວາມປິຕິ	ໃບໜ້າຂອງນາງປາກົດຮອຍຍິ້ມແຫ່ງຄວາມປິຕິ.
系列	ຊຸດ	ບໍລິສັດເປີດຕົວສິນຄ້າໃໝ່ເປັນຊຸດ.
细菌	ແບັກທີເຣຍ	ຄວາມຮ້ອນສູງສາມາດຂ້າແບັກທີເຣຍໄດ້.
细胞	ເຊວ	ຮ່າງກາຍມະນຸດປະກອບດ້ວຍເຊວນັບບໍ່ຖ້ວນ.
细致	ລະອຽດຖີ່ຖ້ວນ	ການສັງເກດຂອງນາງລະອຽດຖີ່ຖ້ວນຫຼາຍ.
峡谷	ຮ່ອມພູ	ນ້ຳແມ່ນໄຫຼຜ່ານຮ່ອມພູເລິກ.
狭隘	ຄັບແຄບ	ທັດສະນະຄັບແຄບແບບນີ້ຕ້ອງປ່ຽນແປງ.
狭窄	ແຄບ	ທາງນ້ອຍເສັ້ນນີ້ແຄບຫຼາຍ.
霞	ແສງເມກຍາມແລງ	ແສງເມກຍາມແລງຍ້ອມທ້ອງຟ້າເປັນສີແດງ.
下属	ຜູ້ໃຕ້ບັງຄັບບັນຊາ	ຜູ້ຈັດການຟັງຄວາມເຫັນຂອງຜູ້ໃຕ້ບັງຄັບບັນຊາຢ່າງຕັ້ງໃຈ.
先进	ທັນສະໄໝ	ໂຮງງານໃຊ້ອຸປະກອນທັນສະໄໝ.
先前	ກ່ອນໜ້ານີ້	ແຜນການກ່ອນໜ້ານີ້ຖືກປ່ຽນແປງແລ້ວ.
掀起	ກໍ່ໃຫ້ເກີດ	ປຶ້ມເຫຼັ້ມນີ້ກໍ່ໃຫ້ເກີດກະແສຖົກຖຽງ.
纤维	ເສັ້ນໃຍ	ຜ້າຊະນິດນີ້ມີເສັ້ນໃຍທຳມະຊາດ.
鲜明	ຊັດເຈນ	ຈຸດຢືນຂອງລາວຊັດເຈນຫຼາຍ.
嫌	ບໍ່ພໍໃຈ	ນາງບໍ່ພໍໃຈວ່າຫ້ອງນ້ອຍເກີນໄປ.
嫌疑	ຂໍ້ສົງໄສ	ຜູ້ຊາຍຄົນນີ້ມີຂໍ້ສົງໄສສຳຄັນ.
弦	ສາຍເຄື່ອງດົນຕີ	ສາຍເຄື່ອງດົນຕີຂອງກີຕ້າຂາດໜຶ່ງສາຍ.
衔接	ເຊື່ອມຕໍ່	ເນື້ອຫາຂອງສອງຫຼັກສູດເຊື່ອມຕໍ່ກັນດີ.
贤惠	ຮູ້ຈັກດູແລແລະຂະຫຍັນ	ນາງຖືກມອງວ່າຮູ້ຈັກດູແລແລະຂະຫຍັນ.
闲话	ຄຳນິນທາ	ຢ່າເວົ້າຄຳນິນທາຄົນອື່ນລັບຫຼັງ.
显著	ເດັ່ນຊັດ	ຜົນການຮັກສາເດັ່ນຊັດຫຼາຍ.
宪法	ລັດຖະທຳມະນູນ	ລັດຖະທຳມະນູນຮັບປະກັນສິດພື້ນຖານຂອງພົນລະເມືອງ.
现场	ສະຖານທີ່ເກີດເຫດ	ນັກຂ່າວໄປຮອດສະຖານທີ່ເກີດເຫດແລ້ວ.
现成	ມີພ້ອມແລ້ວ	ໃນຫ້ອງຄົວມີອາຫານທີ່ມີພ້ອມແລ້ວ.
现状	ສະພາບປັດຈຸບັນ	ພວກເຮົາຕ້ອງເຂົ້າໃຈສະພາບປັດຈຸບັນຂອງອຸດສາຫະກຳ.
线索	ເບາະແສ	ຕຳຫຼວດພົບເບາະແສໃໝ່.
陷害	ກໍ່ຄວາມຜິດໃສ່	ລາວອ້າງວ່າມີຄົນກໍ່ຄວາມຜິດໃສ່ຕົນ.
陷阱	ກັບດັກ	ນາຍພານຕັ້ງກັບດັກໄວ້ອັນໜຶ່ງ.
陷入	ຕົກຢູ່ໃນ	ບໍລິສັດຕົກຢູ່ໃນຄວາມລຳບາກດ້ານເງິນທຶນ.
馅儿	ໄສ້ອາຫານ	ໄສ້ຂອງຊາລາເປົານີ້ຫອມຫຼາຍ.
乡镇	ເມືອງນ້ອຍແລະຕຳບົນ	ເງື່ອນໄຂໂຮງຮຽນໃນເມືອງນ້ອຍແລະຕຳບົນກຳລັງດີຂຶ້ນ.
相差	ແຕກຕ່າງກັນ	ອຸນຫະພູມຂອງສອງບ່ອນແຕກຕ່າງກັນສິບອົງສາ.
相等	ເທົ່າກັນ	ພື້ນທີ່ຂອງສາມຫຼ່ຽມສອງອັນເທົ່າກັນ.
相辅相成	ເສີມກັນແລະກັນ	ທິດສະດີແລະການປະຕິບັດເສີມກັນແລະກັນ.
相应	ທີ່ສອດຄ່ອງ	ບໍລິສັດຈະໃຊ້ມາດຕະການທີ່ສອດຄ່ອງ.
镶嵌	ຝັງປະດັບ	ແຫວນວົງນີ້ຝັງປະດັບດ້ວຍອັນມະນີໜຶ່ງເມັດ.
响亮	ດັງກ້ອງ	ສຽງຕອບຂອງລາວດັງກ້ອງ.
响应	ຕອບສະໜອງ	ຫຼາຍຄົນຕອບສະໜອງຂໍ້ລິເລີ່ມດ້ານສິ່ງແວດລ້ອມ.
想方设法	ຄິດຫາທຸກວິທີ	ພວກເຂົາຄິດຫາທຸກວິທີເພື່ອຫຼຸດຕົ້ນທຶນ.
向导	ຜູ້ນຳທາງ	ຜູ້ນຳທາງທ້ອງຖິ່ນພາພວກເຮົາເຂົ້າພູ.
向来	ໂດຍຕະຫຼອດ	ລາວໃຫ້ຄວາມສຳຄັນກັບຄວາມນ່າເຊື່ອຖືໂດຍຕະຫຼອດ.
向往	ປາຖະໜາ	ນາງປາຖະໜາຊີວິດທີ່ສະຫງົບ.
巷	ຕອກ	ໃນຕອກເກົ່າມີຮ້ານນ້ອຍຫຼາຍຮ້ານ.
相声	ການຕະຫຼົກຄູ່	ປູ່ມັກຟັງການຕະຫຼົກຄູ່ແບບດັ້ງເດີມ.
消除	ລົບລ້າງ	ການສື່ສານສາມາດລົບລ້າງຄວາມເຂົ້າໃຈຜິດ.
消毒	ຂ້າເຊື້ອ	ໝໍຂ້າເຊື້ອບາດແຜ.
消防	ດັບເພີງ	ພະນັກງານດັບເພີງຮີບໄປຮອດສະຖານທີ່.
消耗	ໃຊ້ໝົດໄປ	ການເດີນທາງໄກໃຊ້ພະລັງງານໝົດໄປຫຼາຍ.
消灭	ກຳຈັດ	ພະນັກງານກຳລັງກຳຈັດແມງໄມ້.
潇洒	ສະຫງ່າມີສະໄຕ	ທ່າທາງເດີນຂອງລາວສະຫງ່າມີສະໄຕ.
销毁	ທຳລາຍຖິ້ມ	ດ່ານພາສີທຳລາຍຖິ້ມສິນຄ້າປອມ.
小心翼翼	ຢ່າງລະມັດລະວັງຫຼາຍ	ນາງເປີດກ່ອງຢ່າງລະມັດລະວັງຫຼາຍ.
效益	ຜົນປະໂຫຍດ	ອຸປະກອນໃໝ່ເພີ່ມຜົນປະໂຫຍດການຜະລິດ.
肖像	ຮູບຄົນ	ຢູ່ຝາມີຮູບຄົນຂອງລາວແຂວນຢູ່.
协会	ສະມາຄົມ	ສະມາຄົມນີ້ຊ່ວຍຜູ້ປະກອບການໜຸ່ມ.
协商	ເຈລະຈາປຶກສາ	ທັງສອງຝ່າຍຍິນດີເຈລະຈາປຶກສາຕໍ່.
协调	ປະສານງານ	ຜູ້ຈັດການໂຄງການຮັບຜິດຊອບປະສານງານຊັບພະຍາກອນ.
协议	ຂໍ້ຕົກລົງ	ທັງສອງຝ່າຍລົງນາມໃນຂໍ້ຕົກລົງຮ່ວມມື.
协助	ຊ່ວຍເຫຼືອ	ອາສາສະໝັກຊ່ວຍເຫຼືອຜູ້ເຖົ້າຂ້າມຖະໜົນ.
携带	ນຳຕິດຕົວ	ຜູ້ໂດຍສານຫ້າມນຳສິ່ງອັນຕະລາຍຕິດຕົວ.
屑	ເສດ	ເທິງໂຕະມີເສດໄມ້ຫຼາຍ.
泄露	ຮົ່ວໄຫຼ	ພະນັກງານຫ້າມຮົ່ວໄຫຼຂໍ້ມູນລູກຄ້າ.
泄气	ໝົດກຳລັງໃຈ	ຫຼັງຈາກລົ້ມເຫຼວຢ່າໝົດກຳລັງໃຈ.
谢绝	ປະຕິເສດຢ່າງສຸພາບ	ໂຮງແຮມປະຕິເສດອາຫານຈາກຂ້າງນອກຢ່າງສຸພາບ.
心得	ບົດຮຽນທີ່ໄດ້ຮັບ	ນາງແບ່ງປັນບົດຮຽນທີ່ໄດ້ຮັບຈາກການຮຽນ.
心甘情愿	ເຕັມໃຈ	ລາວເຕັມໃຈຢູ່ຕໍ່ເພື່ອຊ່ວຍວຽກ.
心灵	ຈິດໃຈ	ດົນຕີປອບໂຍນຈິດໃຈຂອງນາງ.
心态	ສະພາບຈິດໃຈ	ການຮັກສາສະພາບຈິດໃຈໃນແງ່ບວກສຳຄັນຫຼາຍ.
心疼	ສົງສານຈັບໃຈ	ແມ່ສົງສານຈັບໃຈລູກທີ່ບາດເຈັບ.
心血	ແຮງກາຍແຮງໃຈ	ປຶ້ມເຫຼັ້ມນີ້ລວມແຮງກາຍແຮງໃຈຂອງຜູ້ຂຽນ.
心眼儿	ໃຈແຄບ	ລາວອອກຈະໃຈແຄບໜ່ອຍ.
新陈代谢	ການເຜົາຜານໃນຮ່າງກາຍ	ການອອກກຳລັງກາຍຊ່ວຍກະຕຸ້ນການເຜົາຜານໃນຮ່າງກາຍ.
新郎	ເຈົ້າບ່າວ	ເຈົ້າບ່າວຕ້ອນຮັບແຂກຢູ່ປະຕູ.
新娘	ເຈົ້າສາວ	ເຈົ້າສາວໃສ່ຊຸດແຕ່ງງານສີຂາວ.
新颖	ໃໝ່ແປກ	ການອອກແບບນີ້ໃໝ່ແປກຫຼາຍ.
欣慰	ອຸ່ນໃຈ	ເມື່ອເຫັນລູກກ້າວໜ້າ ນາງຮູ້ສຶກອຸ່ນໃຈ.
欣欣向荣	ເຈີຣິນຮຸ່ງເຮືອງ	ການທ່ອງທ່ຽວໃນເມືອງນ້ອຍເຈີຣິນຮຸ່ງເຮືອງ.
薪水	ເງິນເດືອນ	ເງິນເດືອນຂອງລາວພໍລ້ຽງຄອບຄົວ.
辛勤	ຂະຫຍັນອົດທົນ	ຊາວນາຂະຫຍັນອົດທົນປູກພືດ.
信赖	ໄວ້ວາງໃຈ	ລູກຄ້າໄວ້ວາງໃຈບໍລິສັດນີ້ຫຼາຍ.
信念	ຄວາມເຊື່ອໝັ້ນ	ຄວາມເຊື່ອໝັ້ນອັນແນ່ວແນ່ຊ່ວຍພະຍຸງລາວ.
信仰	ຄວາມເຊື່ອຖື	ນາງເຄົາລົບຄວາມເຊື່ອຖືທີ່ແຕກຕ່າງ.
信誉	ຊື່ສຽງຄວາມນ່າເຊື່ອຖື	ທຸລະກິດຕ້ອງຮັກສາຊື່ສຽງຄວາມນ່າເຊື່ອຖື.
兴高采烈	ດີໃຈຢ່າງສຸດຂີດ	ເດັກນ້ອຍວິ່ງເຂົ້າຫ້ອງຮຽນຢ່າງດີໃຈສຸດຂີດ.
兴隆	ຮຸ່ງເຮືອງ	ຮ້ານເກົ່າແຫ່ງນີ້ຄ້າຂາຍຮຸ່ງເຮືອງ.
兴旺	ເຕີບໂຕຮຸ່ງເຮືອງ	ເສດຖະກິດຕະຫຼາດຍິ່ງເຕີບໂຕຮຸ່ງເຮືອງ.
腥	ມີກິ່ນຄາວ	ປາໂຕນີ້ມີກິ່ນຄາວໜ່ອຍ.
刑事	ອາຍາ	ຕຳຫຼວດກຳລັງສືບສວນຄະດີອາຍາ.
形态	ຮູບຮ່າງລັກສະນະ	ຮູບຮ່າງລັກສະນະຂອງພືດປ່ຽນໄປຕາມສິ່ງແວດລ້ອມ.
行政	ບໍລິຫານ	ພະແນກບໍລິຫານຈັດການໃບຄຳຮ້ອງ.
兴致勃勃	ຢ່າງມີຄວາມສົນໃຈຫຼາຍ	ທຸກຄົນຖົກຖຽງແຜນການຢ່າງມີຄວາມສົນໃຈຫຼາຍ.
性感	ດຶງດູດທາງເພດ	ຊຸດລາຕີນນີ້ເບິ່ງດຶງດູດທາງເພດ.
性命	ຊີວິດ	ໝໍຊ່ວຍຊີວິດຂອງລາວໄວ້.
性能	ສະມັດຖະນະ	ຄອມພິວເຕີເຄື່ອງນີ້ມີສະມັດຖະນະດີ.
凶恶	ໂຫດຮ້າຍ	ໝາໂຕນີ້ເບິ່ງໂຫດຮ້າຍຫຼາຍ.
凶手	ຄົນຮ້າຍ	ຕຳຫຼວດຈັບຄົນຮ້າຍໄດ້ໃນທີ່ສຸດ.
汹涌	ປັ່ນປ່ວນຮຸນແຮງ	ຄື້ນທະເລປັ່ນປ່ວນຮຸນແຮງຊັດເຂົ້າຝັ່ງ.
胸怀	ຈິດໃຈກວ້າງຂວາງ	ລາວມີຈິດໃຈກວ້າງຂວາງ.
胸膛	ໜ້າເອິກ	ທະຫານຍືດໜ້າເອິກຂຶ້ນ.
雄厚	ໜາແໜ້ນແຂງແຮງ	ບໍລິສັດມີເງິນທຶນໜາແໜ້ນແຂງແຮງ.
雄伟	ຍິ່ງໃຫຍ່ສະງ່າງາມ	ຂົວແຫ່ງນີ້ຍິ່ງໃຫຍ່ສະງ່າງາມຫຼາຍ.
修复	ສ້ອມແປງຟື້ນຟູ	ວິສະວະກອນກຳລັງສ້ອມແປງຟື້ນຟູລະບົບ.
修建	ກໍ່ສ້າງ	ລັດຖະບານວາງແຜນກໍ່ສ້າງສະໜາມບິນໃໝ່.
修养	ການອົບຮົມຈິດໃຈ	ການອົບຮົມຈິດໃຈທີ່ດີສະທ້ອນອອກໃນລາຍລະອຽດ.
羞耻	ຄວາມອັບອາຍ	ຫຼັງຈາກເວົ້າຕົວະ ລາວຮູ້ສຶກອັບອາຍ.
嗅觉	ປະສາດດົມກິ່ນ	ປະສາດດົມກິ່ນຂອງໝາໄວຫຼາຍ.
绣	ປັກລາຍ	ຍ່າຮູ້ຈັກປັກລາຍດອກໄມ້.
虚假	ປອມແປງ	ເວັບໄຊປະກາດຂ່າວປອມແປງ.
虚荣	ຄວາມຫຼົງໃນໜ້າຕາ	ຄວາມຫຼົງໃນໜ້າຕາເຮັດໃຫ້ລາວໃຊ້ເງິນເກີນ.
虚伪	ຈອມປອມ	ນາງບໍ່ມັກຄຳທັກທາຍທີ່ຈອມປອມ.
需求	ຄວາມຕ້ອງການ	ຄວາມຕ້ອງການໃນຕະຫຼາດກຳລັງເພີ່ມຂຶ້ນ.
须知	ຂໍ້ຄວນຮູ້	ກະລຸນາອ່ານຂໍ້ຄວນຮູ້ກ່ອນສະໝັກ.
许可	ການອະນຸຍາດ	ຖ້າບໍ່ມີການອະນຸຍາດຈະເຂົ້າໄປບໍ່ໄດ້.
序言	ຄຳນຳ	ຜູ້ຂຽນອະທິບາຍພື້ນຫຼັງໃນຄຳນຳ.
畜牧	ການລ້ຽງສັດ	ທົ່ງຫຍ້າເໝາະກັບການພັດທະນາການລ້ຽງສັດ.
酗酒	ດື່ມເຫຼົ້າເກີນຂອບເຂດ	ການດື່ມເຫຼົ້າເກີນຂອບເຂດເປັນເວລາດົນຈະທຳລາຍສຸຂະພາບ.
喧哗	ສົ່ງສຽງດັງ	ຫ້ອງສະໝຸດຫ້າມສົ່ງສຽງດັງ.
宣誓	ສາບານຕົນ	ສະມາຊິກໃໝ່ສາບານຕົນໃນກອງປະຊຸມ.
宣扬	ເຜີຍແຜ່ສົ່ງເສີມ	ໂຮງຮຽນເຜີຍແຜ່ສົ່ງເສີມຄວາມຊື່ສັດຮັກສາຄຳເວົ້າ.
悬挂	ແຂວນ	ຢູ່ຝາມີຮູບແຕ້ມແຂວນຢູ່.
悬念	ຄວາມລຸ້ນລະທຶກ	ຕອນຈົບຂອງຮູບເງົາປະໄວ້ຄວາມລຸ້ນລະທຶກ.
悬殊	ແຕກຕ່າງກັນຫຼາຍ	ກຳລັງຂອງສອງທີມແຕກຕ່າງກັນຫຼາຍ.
悬崖峭壁	ໜ້າຜາຊັນ	ຂ້າງທາງພູແມ່ນໜ້າຜາຊັນ.
旋律	ທຳນອງ	ທຳນອງຂອງເພງນີ້ໄພເພາະຫຼາຍ.
旋转	ໝຸນ	ກັງຫັນລົມໝຸນຢູ່ໃນລົມ.
选拔	ຄັດເລືອກ	ໂຮງຮຽນກຳລັງຄັດເລືອກນັກກິລາ.
选举	ການເລືອກຕັ້ງ	ໃນບ້ານຈັດການເລືອກຕັ້ງ.
选手	ຜູ້ແຂ່ງຂັນ	ຜູ້ແຂ່ງຂັນຄົນນີ້ສະແດງຜົນງານໄດ້ສະໝ່ຳສະເໝີ.
炫耀	ອວດ	ລາວມັກອວດຄວາມຮັ່ງມີຢູ່ເລື້ອຍ.
削	ຕັດຫຼຸດ	ບໍລິສັດຕັດຫຼຸດຄ່າໃຊ້ຈ່າຍບາງຢ່າງ.
削弱	ເຮັດໃຫ້ອ່ອນລົງ	ຄວາມເມື່ອຍລ້າຈະເຮັດໃຫ້ການຕັດສິນໃຈອ່ອນລົງ.
学说	ທິດສະດີ	ທິດສະດີນີ້ມີອິດທິພົນຫຼາຍ.
学位	ປະລິນຍາ	ນາງໄດ້ຮັບປະລິນຍາໂທ.
雪上加霜	ເຮັດໃຫ້ແຍ່ລົງກວ່າເກົ່າ	ຕົກວຽກແລ້ວຍັງປ່ວຍ ນີ້ເຮັດໃຫ້ແຍ່ລົງກວ່າເກົ່າແທ້.
血压	ຄວາມດັນເລືອດ	ໝໍເຕືອນລາວໃຫ້ຄວບຄຸມຄວາມດັນເລືອດ.
熏陶	ອົບຮົມຊຶມຊັບ	ນາງໄດ້ຮັບການອົບຮົມຊຶມຊັບດ້ານດົນຕີຕັ້ງແຕ່ນ້ອຍ.
寻觅	ຊອກຫາ	ພວກເຂົາຊອກຫາເຮືອນເຊົ່າທີ່ເໝາະສົມທົ່ວທຸກບ່ອນ.
巡逻	ລາດຕະເວນ	ຕຳຫຼວດລາດຕະເວນຕາມຖະໜົນໃນຕອນກາງຄືນ.
循环	ໝຸນວຽນ	ນ້ຳໝຸນວຽນຢູ່ໃນລະບົບ.
循序渐进	ຄ່ອຍໆກ້າວໜ້າຕາມລຳດັບ	ການຮຽນພາສາຕ້ອງຄ່ອຍໆກ້າວໜ້າຕາມລຳດັບ.
压迫	ກົດຂີ່	ລະບົບເກົ່າກົດຂີ່ປະຊາຊົນທົ່ວໄປ.
