simplified	NE	example_NE
营养	पोषण	बिहानको खाजामा पर्याप्त पोषण हुनुपर्छ।
营业	व्यवसाय सुरु गर्नु	यो पसल नौ बजे व्यवसाय सुरु गर्छ।
迎接	स्वागत गर्नु	हामी पाहुनालाई स्वागत गर्न विमानस्थल गयौं।
影子	छाया	सडक बत्तीमुनि उनको छाया छ।
应付	सम्हाल्नु	उनी यो समस्या सम्हाल्न सक्छन्।
应用	प्रयोग गर्नु	यो तरिका शिक्षणमा प्रयोग गर्न सकिन्छ।
硬	कडा	यो कुर्सी धेरै कडा छ।
硬件	हार्डवेयर	यो कम्प्युटरको हार्डवेयर राम्रो छ।
拥抱	अँगालो हाल्नु	बच्चा आमालाई अँगालो हाल्न दौडेर आयो।
拥挤	भीडभाड हुनु	बिहानको व्यस्त समयमा मेट्रो धेरै भीडभाड हुन्छ।
勇气	साहस	उनमा आफ्नो गल्ती स्वीकार्ने साहस छ।
用功	मेहनत गरेर पढ्नु	उनी धेरै मेहनत गरेर पढ्छिन्।
用途	प्रयोग	यो सामग्रीका धेरै प्रयोग छन्।
优惠	छुट	यो पसलमा आज छुट छ।
优美	सुन्दर	यहाँको वातावरण धेरै सुन्दर छ।
优势	फाइदा	उनको फाइदा समृद्ध अनुभव हो।
悠久	लामो	चीनको इतिहास लामो छ।
油炸	तेलमा तारेको	म तेलमा तारेको खाना विरलै खान्छु।
游览	भ्रमण गर्नु	हामी भोलि निषेधित शहर भ्रमण गर्नेछौं।
犹豫	हिचकिचाउनु	उत्तर दिनुअघि उनी केही बेर हिचकिचाए।
有利	फाइदाजनक	यो अवस्था हाम्रो लागि फाइदाजनक छ।
幼儿园	बालवाडी	बच्चा अर्को वर्ष बालवाडी जानेछ।
娱乐	मनोरञ्जन	चलचित्र हेर्नु एक प्रकारको मनोरञ्जन हो।
与其	भन्दा राम्रो	गुनासो गर्नुभन्दा कार्य गर्नु राम्रो।
语气	लहजा	उनको बोल्ने लहजा धेरै कोमल छ।
玉米	मकै	बेलुकाको खानामा मकैको सुप छ।
预报	पूर्वानुमान	मौसम पूर्वानुमानले भोलि पानी पर्छ भन्छ।
预订	बुक गर्नु	मैले होटल पहिले नै बुक गरिसकेको छु।
预防	रोकथाम गर्नु	बारम्बार हात धुँदा रुघाखोकी रोकथाम गर्न सकिन्छ।
元旦	नयाँ वर्षको दिन	नयाँ वर्षको दिन हामीलाई एक दिन बिदा हुन्छ।
原料	कच्चा पदार्थ	रोटीको मुख्य कच्चा पदार्थ पीठो हो।
原则	सिद्धान्त	मानिससँग सिद्धान्त हुनुपर्छ।
员工	कर्मचारी	कम्पनीमा तीन सय कर्मचारी छन्।
圆	गोलो	चन्द्रमा ठूलो र गोलो छ।
愿望	इच्छा	उनको इच्छा संसार घुम्नु हो।
乐器	वाद्ययन्त्र	उनी केही वाद्ययन्त्र बजाउन सक्छिन्।
晕	चक्कर आउनु	डुंगा चढ्दा मलाई अलि चक्कर आउँछ।
运气	भाग्य	आज मेरो भाग्य राम्रो छ।
运输	ढुवानी	यी सामान रेलमार्फत ढुवानी गर्नुपर्छ।
运用	प्रयोग गर्नु	कृपया यी शब्दहरू लचिलो रूपमा प्रयोग गर।
灾害	विपत्ति	बाढी एक प्रकारको प्राकृतिक विपत्ति हो।
再三	बारम्बार	शिक्षकले हामीलाई पुनरावलोकन गर्न बारम्बार सम्झाउनुभयो।
在乎	मतलब राख्नु	उनी साथीहरूको विचारलाई धेरै मतलब राख्छन्।
在于	निहित हुनु	सफलता दृढतामा निहित हुन्छ।
赞成	सहमत हुनु	म तिम्रो सुझावसँग सहमत छु।
赞美	प्रशंसा गर्नु	सबैले उनको साहसको प्रशंसा गरे।
糟糕	नराम्रो	आजको मौसम साँच्चै नराम्रो छ।
造成	निम्त्याउनु	भारी वर्षाले ट्राफिक जाम निम्त्यायो।
则	भने	मेहनत गरे भने प्रगति हुन्छ।
责备	दोष दिनु	शिक्षकले उनलाई दोष दिनुभएन।
摘	टिप्नु	उनले बगैंचामा एउटा फूल टिपिन्।
窄	साँघुरो	यो बाटो धेरै साँघुरो छ।
粘贴	टाँस्नु	कृपया फोटो यहाँ टाँस।
展开	सुरु हुनु	छलफल चाँडै सुरु भयो।
展览	प्रदर्शनी	संग्रहालयमा नयाँ प्रदर्शनी छ।
占	ठाउँ लिनु	यो टेबलले ठाउँ लिन्छ।
战争	युद्ध	युद्धले मानिसहरूलाई पीडा दिन्छ।
掌握	निपुण हुनु	उनी आधारभूत व्याकरणमा निपुण भइसकेका छन्।
涨	बढ्नु	हालसालै भाडा फेरि बढेको छ।
长辈	ज्येष्ठ	नयाँ वर्षमा ज्येष्ठहरूलाई अभिवादन गर्नुपर्छ।
账户	खाता	कृपया आफ्नो बैंक खाता जाँच गर।
招待	स्वागत गर्नु	मेजबानले पाहुनालाई न्यानो स्वागत गरे।
着火	आगो लाग्नु	भान्सामा अचानक आगो लाग्यो।
着凉	चिसो लाग्नु	चिसो छ, चिसो नलागोस्।
召开	बैठक बोलाउनु	विद्यालयले भोलि बैठक बोलाउनेछ।
照常	सामान्य रूपमा	पसल भोलि सामान्य रूपमा खुल्नेछ।
哲学	दर्शनशास्त्र	उनले विश्वविद्यालयमा दर्शनशास्त्र पढे।
珍惜	कदर गर्नु	हामीले समयको कदर गर्नुपर्छ।
真实	साँचो	यो कथा साँचो हो।
针对	लक्षित हुनु	यो सुझाव नयाँ विद्यार्थीहरूलाई लक्षित छ।
诊断	निदान	डाक्टरले चाँडै निदान गरे।
振动	कम्पन	फोन टेबलमा कम्पन गरिरहेको छ।
阵	क्षणिक झरी	बाहिर एकछिन पानी पर्यो।
争论	बहस गर्नु	उनीहरूले यो विषयमा लामो समय बहस गरे।
争取	प्रयास गर्नु	हामीले थप अवसर पाउन प्रयास गर्नुपर्छ।
征求	राय माग्नु	शिक्षकले सबैको राय माग्नुभयो।
挣	छुट्न संघर्ष गर्नु	चरा डोरीबाट छुट्न संघर्ष गर्यो।
睁	आँखा खोल्नु	कृपया आँखा अलि ठूलो खोल।
整个	सम्पूर्ण	सम्पूर्ण शहर धेरै शान्त छ।
整齐	सफा मिलेको	किताबहरू धेरै सफा मिलाएर राखिएका छन्।
整体	समग्र	हामीले समग्र प्रभाव विचार गर्नुपर्छ।
政府	सरकार	सरकारले नयाँ सूचना जारी गर्यो।
政治	राजनीति	उनी राजनीतिमा धेरै रुचि राख्छन्।
正	सही	यो उत्तर सही छ।
证件	पहिचान कागजात	कृपया आफ्नो पहिचान कागजात देखाऊ।
证据	प्रमाण	प्रहरीले नयाँ प्रमाण फेला पार्यो।
支	वटा	टेबलमा एउटा कलम छ।
支票	चेक	उनले चेकबाट पैसा तिरे।
执照	अनुमतिपत्र	गाडी चलाउन चालक अनुमतिपत्र चाहिन्छ।
直	सिधा	यो बाटोमा सिधा अगाडि जाऊ।
指导	मार्गदर्शन गर्नु	शिक्षकले हामीलाई शोधपत्र लेख्न मार्गदर्शन गर्नुभयो।
指挥	निर्देशन गर्नु	उनी यो कार्य सञ्चालनको निर्देशन गर्ने जिम्मामा छन्।
制定	बनाउनु	कम्पनीले नयाँ योजना बनायो।
制度	प्रणाली	विद्यालयमा कडा प्रणाली छ।
制造	निर्माण गर्नु	यो कारखानाले मेसिन निर्माण गर्छ।
制作	बनाउनु	उनी जन्मदिनको केक बनाउँदैछिन्।
志愿者	स्वयंसेवक	धेरै स्वयंसेवक कार्यक्रममा सहभागी भए।
智慧	बुद्धि	यो वृद्ध व्यक्तिसँग धेरै बुद्धि छ।
治疗	उपचार गर्नु	डाक्टरले बिरामीको उपचार गरिरहेका छन्।
秩序	व्यवस्था	कृपया व्यवस्था कायम राख।
至今	अहिलेसम्म	यो समस्या अहिलेसम्म समाधान भएको छैन।
至于	जहाँसम्म	जहाँसम्म खर्चको कुरा छ, हामी भोलि छलफल गर्नेछौं।
中介	दलाल संस्था	उनले दलाल संस्थामार्फत अपार्टमेन्ट भाडामा लिए।
中心	केन्द्र	अस्पताल शहरको केन्द्रमा छ।
中旬	महिनाको मध्य भाग	बैठक मे महिनाको मध्य भागमा तय गरिएको छ।
种类	प्रकार	यहाँ फलफूलका धेरै प्रकार छन्।
重大	महत्वपूर्ण	यो महत्वपूर्ण निर्णय हो।
重量	तौल	यो बाकसको तौल कति हो?
周到	विचारशील	उनको सेवा धेरै विचारशील छ।
猪	सुँगुर	फार्ममा धेरै सुँगुर छन्।
竹子	बाँस	पान्डा बाँस खान मन पराउँछन्।
逐步	चरणबद्ध रूपमा	योजना चरणबद्ध रूपमा लागू हुनेछ।
逐渐	बिस्तारै	मौसम बिस्तारै चिसो भयो।
主持	सञ्चालन गर्नु	उनी आजको बैठक सञ्चालन गर्दैछिन्।
主动	पहल गर्नु	उनले सहपाठीलाई मद्दत गर्न पहल गरे।
主观	व्यक्तिपरक	यो मूल्याङ्कन अलि व्यक्तिपरक छ।
主人	मेजबान	मेजबानले हामीलाई न्यानो स्वागत गरे।
主任	निर्देशक	निर्देशक कार्यालयमा छन्।
主题	विषय	आजको छलफलको विषय वातावरण संरक्षण हो।
主席	अध्यक्ष	अध्यक्षले बैठक सुरु भएको घोषणा गरे।
主张	धारणा राख्नु	उनी पहिला यातायात समस्या समाधान गर्नुपर्छ भन्ने धारणा राख्छन्।
煮	पकाउनु	आमा नूडल्स पकाउँदै हुनुहुन्छ।
注册	दर्ता गर्नु	नयाँ प्रयोगकर्ताले पहिले दर्ता गर्नुपर्छ।
祝福	आशीर्वाद	साथीहरूले आशीर्वाद पठाए।
抓	समात्नु	बच्चाले आमाको हात समात्यो।
抓紧	सदुपयोग गर्नु	हामीले समयको राम्रो सदुपयोग गर्नुपर्छ।
专家	विशेषज्ञ	विशेषज्ञले सुझाव दिए।
专心	ध्यान लगाउनु	तिमीले कक्षामा ध्यान लगाएर सुन्नुपर्छ।
转变	परिवर्तन हुनु	उनको दृष्टिकोण परिवर्तन भयो।
转告	सन्देश पुर्याउनु	कृपया उनलाई भोलि बैठक छ भनेर सन्देश पुर्याऊ।
装	राख्नु	कृपया किताबहरू झोलामा राख।
装饰	सजाउनु	उनीहरूले फूलले कोठा सजाए।
装修	नवीकरण गर्नु	नयाँ घर नवीकरण हुँदैछ।
撞	ठोक्किनु	दुईवटा गाडी चोकमा ठोक्किए।
状况	अवस्था	हालको अवस्था तुलनात्मक रूपमा स्थिर छ।
状态	स्थिति	आज उनको स्थिति राम्रो छ।
追	लखेट्नु	बच्चा पछाडिबाट कुकुरको बच्चालाई लखेट्दैछ।
追求	पछ्याउनु	उनी सधैं आफ्नो सपना पछ्याउँदै आएका छन्।
咨询	परामर्श गर्नु	तिमी विशेषज्ञ डाक्टरसँग परामर्श गर्न सक्छौ।
姿势	मुद्रा	कृपया सही मुद्रा कायम राख।
资格	योग्यता	उनी प्रतियोगितामा सहभागी हुने योग्यता राख्छन्।
资金	कोष	परियोजनालाई थप कोष चाहिन्छ।
资料	सामग्री	कृपया मलाई सामग्री पठाऊ।
资源	स्रोत	पानी महत्वपूर्ण प्राकृतिक स्रोत हो।
紫	बैजनी	उनी बैजनी रङ्ग मन पराउँछिन्।
字母	अक्षर	अंग्रेजीमा छब्बीस अक्षर हुन्छन्।
字幕	उपशीर्षक	यो चलचित्रमा चिनियाँ उपशीर्षक छ।
自从	देखि	स्नातक भएदेखि उनी विरलै फर्किन्छन्।
自动	स्वचालित	यो ढोका स्वचालित रूपमा खुल्छ।
自豪	गर्व	म आफ्नो प्रगतिप्रति गर्व महसुस गर्छु।
自觉	स्वेच्छाले	उनले गृहकार्य स्वेच्छाले पूरा गरे।
自私	स्वार्थी	मानिस धेरै स्वार्थी हुनु हुँदैन।
自由	स्वतन्त्रता	सबैले स्वतन्त्रतालाई कदर गर्छन्।
自愿	स्वेच्छाले	उनीहरू कार्यक्रममा स्वेच्छाले सहभागी भए।
综合	समग्र रूपमा	हामीले विभिन्न कारकलाई समग्र रूपमा विचार गर्नुपर्छ।
总裁	प्रमुख कार्यकारी	प्रमुख कार्यकारीले आज भाषण दिए।
总共	कुल	यो यात्रामा कुल तीन हजार युआन खर्च भयो।
总理	प्रधानमन्त्री	प्रधानमन्त्री बैठकमा सहभागी भए।
总算	अन्ततः	यो समस्या अन्ततः समाधान भयो।
总统	राष्ट्रपति	राष्ट्रपतिले टेलिभिजनमार्फत भाषण दिए।
总之	छोटकरीमा	छोटकरीमा, हामीले समयमै पूरा गर्नुपर्छ।
组	समूह बनाउनु	शिक्षकले हामीलाई तीन समूहमा बाँड्नुभयो।
组成	बन्नु	पानी हाइड्रोजन र अक्सिजनबाट बनेको हुन्छ।
组合	संयोजन	यो रङ्ग संयोजन राम्रो देखिन्छ।
组织	आयोजना गर्नु	विद्यालयले भ्रमण आयोजना गर्यो।
阻止	रोक्नु	प्रहरीले खतरनाक व्यवहार रोक्यो।
最初	सुरुमा	सुरुमा मैले राम्ररी बुझिनँ।
醉	मातेको	उनी धेरै पिएर अलि मातेका छन्।
尊敬	सम्मान गर्नु	विद्यार्थीहरू सबै शिक्षकलाई सम्मान गर्छन्।
遵守	पालना गर्नु	हामीले ट्राफिक नियम पालना गर्नुपर्छ।
作品	कृति	यो चित्र उनको कृति हो।
作为	को रूपमा	शिक्षकको रूपमा उनी धेरै धैर्यवान छन्।
作文	निबन्ध	शिक्षकले हामीलाई निबन्ध लेख्न भन्नुभयो।
