simplified	HY	example_HY
信赖	վստահել; վստահություն ունենալ	Հաճախորդները շատ են վստահում այս ընկերությանը։
信念	համոզմունք; հավատ	Ամուր համոզմունքը նրան աջակցեց։
信仰	հավատք; համոզմունք	Նա հարգում է տարբեր հավատքները։
信誉	հեղինակություն; համբավ	Ընկերությունը պետք է պաշտպանի իր հեղինակությունը։
兴高采烈	բարձր տրամադրությամբ; ուրախ ոգևորված	Երեխաները բարձր տրամադրությամբ վազեցին դասարան։
兴隆	բարգավաճ; հաջողակ	Այս հին խանութի գործը բարգավաճ է։
兴旺	բարգավաճել; զարգանալ	Շուկայական տնտեսությունը գնալով ավելի է զարգանում։
腥	ձկան հոտով; հում հոտով	Այս ձուկը մի փոքր ձկան հոտ ունի։
刑事	քրեական	Ոստիկանությունը քննում է քրեական գործ։
形态	ձև; կառուցվածք	Բույսի ձևը փոխվում է միջավայրի հետ։
行政	վարչական; վարչարարություն	Վարչական բաժինը մշակում է դիմումները։
兴致勃勃	մեծ հետաքրքրությամբ; խանդավառ	Բոլորը մեծ հետաքրքրությամբ քննարկեցին ծրագիրը։
性感	գայթակղիչ; սեքսուալ	Այս երեկոյան զգեստը շատ գայթակղիչ է երևում։
性命	կյանք	Բժիշկը փրկեց նրա կյանքը։
性能	կատարողականություն; գործառույթ	Այս համակարգիչը լավ կատարողականություն ունի։
凶恶	վայրագ; կատաղի	Այս շունը շատ կատաղի է երևում։
凶手	մարդասպան; հարձակվող	Ոստիկանությունը վերջապես բռնեց մարդասպանին։
汹涌	փոթորկալից; ալեկոծ	Ալեկոծ ալիքները հարվածում էին ափին։
胸怀	լայնախոհություն; կուրծք	Նա լայնախոհ մարդ է։
胸膛	կուրծք	Զինվորը առաջ պարզեց կուրծքը։
雄厚	հզոր; հարուստ պաշարներով	Ընկերությունը հզոր ֆինանսական ռեսուրսներ ունի։
雄伟	վեհաշուք; հոյակապ	Այս կամուրջը շատ հոյակապ է։
修复	վերականգնում; նորոգում	Ճարտարագետները վերականգնում են համակարգը։
修建	կառուցել	Կառավարությունը ծրագրում է նոր օդանավակայան կառուցել։
修养	դաստիարակվածություն; ինքնակատարելագործում	Լավ դաստիարակվածությունը երևում է մանրուքներում։
羞耻	ամոթ	Սուտ խոսելուց հետո նա ամոթ զգաց։
嗅觉	հոտառություն	Շան հոտառությունը շատ սուր է։
绣	ասեղնագործել	Տատիկը կարողանում է ծաղիկներ ասեղնագործել։
虚假	կեղծ; անիրական	Կայքը կեղծ տեղեկություն հրապարակեց։
虚荣	սնափառություն	Սնափառությունը ստիպեց նրան չափազանց շատ ծախսել։
虚伪	կեղծավոր; անկեղծ չլինող	Նա չի սիրում կեղծավոր քաղաքավարությունը։
需求	պահանջարկ; կարիք	Շուկայի պահանջարկը աճում է։
须知	անհրաժեշտ տեղեկություններ; կանոններ	Խնդրում ենք նախ կարդալ գրանցման կանոնները։
许可	թույլտվություն; թույլ տալ	Առանց թույլտվության չեք կարող ներս մտնել։
序言	նախաբան	Հեղինակը նախաբանում բացատրում է ստեղծման հիմքը։
畜牧	անասնապահություն; անասուններ պահել	Մարգագետինը հարմար է անասնապահությունը զարգացնելու համար։
酗酒	ալկոհոլի չարաշահում; հարբեցողություն	Երկարատև հարբեցողությունը վնասում է առողջությանը։
喧哗	աղմուկ; աղմկել	Գրադարանում աղմկելն արգելված է։
宣誓	երդվել; երդում տալ	Նոր անդամները ժողովում երդում տվեցին։
宣扬	քարոզել; հանրայնացնել	Դպրոցը քարոզում է ազնվություն և վստահելիություն։
悬挂	կախել; կախված լինել	Նկարը կախված է պատից։
悬念	լարված սպասում; անհանգստություն	Ֆիլմի ավարտը լարված սպասում է թողնում։
悬殊	մեծ տարբերություն; խիստ անհավասարություն	Երկու թիմերի ուժերի տարբերությունը շատ մեծ է։
悬崖峭壁	զառիթափ ժայռեր; անդունդի պատեր	Լեռնային ճանապարհի կողքին զառիթափ ժայռեր են։
旋律	մեղեդի; ռիթմ	Այս երգի մեղեդին գեղեցիկ է։
旋转	պտտվել; պտտել	Հողմաղացը քամուց պտտվում է։
选拔	ընտրել լավագույններին; ընտրություն կատարել	Դպրոցը ընտրում է մարզիկներին։
选举	ընտրություն; ընտրել	Գյուղում ընտրություն անցկացվեց։
选手	մասնակից; մրցակից; մարզիկ	Այս մասնակիցը կայուն ելույթ ունեցավ։
炫耀	պարծենալ; ցուցադրել	Նա միշտ սիրում է իր հարստությամբ պարծենալ։
削	կրճատել; շերտել	Ընկերությունը կրճատեց որոշ ծախսեր։
削弱	թուլացնել	Հոգնածությունը թուլացնում է դատողությունը։
学说	ուսմունք; տեսություն	Այս տեսությունը մեծ ազդեցություն ունի։
学位	գիտական աստիճան	Նա ստացել է մագիստրոսի աստիճան։
雪上加霜	վատը ավելի վատթարացնել	Աշխատանքը կորցնելը, հետո հիվանդանալը վիճակը ավելի վատթարացրեց։
血压	արյան ճնշում	Բժիշկը հիշեցրեց նրան վերահսկել արյան ճնշումը։
熏陶	բարերար ազդեցություն; դաստիարակչական ներգործություն	Նա մանկուց երաժշտության ազդեցության տակ էր։
寻觅	որոնել; փնտրել	Նրանք ամենուր հարմար բնակարան էին փնտրում։
巡逻	պարեկություն անել	Գիշերը ոստիկանները պարեկություն են անում փողոցներում։
循环	շրջանառվել; ցիկլ	Ջուրը շրջանառվում է համակարգում։
循序渐进	աստիճանաբար առաջանալ; քայլ առ քայլ	Լեզու սովորելը պետք է քայլ առ քայլ առաջ գնա։
压迫	ճնշել; կեղեքել	Հին համակարգը կեղեքում էր սովորական մարդկանց։
压岁钱	ամանորյա նվեր-փող երեխաներին	Երեխան ամանորյա նվեր-փող ստացավ։
压缩	սեղմել; խտացնել	Ծրագիրը կարող է սեղմել պատկերի չափը։
压抑	զսպել; ճնշված	Նա փորձում էր զսպել ներքին զայրույթը։
压榨	ճզմել; քամել; շահագործել	Մեքենան քամում է շաքարեղեգի հյութը։
压制	ճնշել; զսպել	Դեղը կարող է զսպել ցավը։
鸦雀无声	լիակատար լռություն	Ուսուցչի ներս մտնելուց հետո դասարանում լիակատար լռություն տիրեց։
亚军	երկրորդ տեղ; փոխչեմպիոն	Նա մրցույթում երկրորդ տեղը գրավեց։
淹没	ջրի տակ առնել; խորտակել	Ջրհեղեղը ջրի տակ առավ ցածրադիր գյուղը։
烟花爆竹	հրավառություն և ճայթուկներ	Տոնի ընթացքում հրավառությունն ու ճայթուկները արգելված են։
严峻	խիստ; ծանր	Զբաղվածության իրավիճակը մնում է ծանր։
严寒	սաստիկ ցուրտ; խիստ ձմեռ	Սաստիկ ցուրտը ազդում է տրանսպորտի վրա։
严禁	խստորեն արգելել	Այստեղ ծխելը խստորեն արգելված է։
严厉	խիստ; կտրուկ	Ուսուցիչը նրան խիստ քննադատեց։
严密	խիստ; ամուր; մանրակրկիտ	Պահեստը խիստ հսկողություն ունի։
岩石	ժայռ; քարատեսակ	Ծովի մոտի ժայռերը շատ ամուր են։
延期	հետաձգել; երկարաձգել	Ժողովը հետաձգվեց մինչև հաջորդ շաբաթ։
延伸	ձգվել; տարածվել	Ճանապարհը ձգվում է դեպի հյուսիս։
延续	շարունակվել; տևել	Այս ավանդույթը շարունակվել է հարյուր տարի։
沿海	առափնյա; ծովափնյա	Առափնյա քաղաքներում առևտուրը զարգացել է։
炎热	շոգ; տապ	Շոգ եղանակը հոգնեցնում է մարդկանց։
言论	արտահայտած կարծիք; խոսք	Հանրությունը ուշադրություն է դարձնում նրա խոսքին։
掩盖	թաքցնել; ծածկել	Նա փորձեց թաքցնել սխալը։
掩护	ծածկել; պաշտպանական աջակցություն տալ	Թիմակիցները պատասխանատու էին նահանջը ծածկելու համար։
掩饰	քողարկել; թաքցնել	Նա ջանում էր թաքցնել իր նյարդայնությունը։
演变	զարգանալ; կերպարանափոխվել	Քաղաքի հատակագիծը շարունակ փոխվում է։
演习	վարժանք; ուսումնական փորձ	Դպրոցում հրդեհային վարժանք անցկացվեց։
演绎	հետևեցնել; արտածել	Ուսուցիչը արտածեց այս թեորեմը։
演奏	նվագել; կատարում անել	Նվագախումբը կատարում է դասական երաժշտություն։
眼光	տեսլական; գնահատող հայացք	Նա ներդրման լավ տեսլական ունի։
眼色	աչքով նշան; հայացքի ազդանշան	Նա գործընկերոջը հայացքով նշան տվեց։
眼神	աչքերի արտահայտություն; հայացք	Նրա աչքերի արտահայտությունը շատ վճռական էր։
厌恶	զզվել; ատել	Նա զզվում է խաբեբայական վարքից։
验收	ընդունման ստուգում; ստուգել և ընդունել	Ավարտից հետո նախագիծը ընդունման ստուգման կարիք ունի։
验证	հաստատել; ստուգել	Փորձը հաստատեց վարկածը։
氧气	թթվածին	Հիվանդին անհրաժեշտ է թթվածին շնչել։
样品	նմուշ	Հաճախորդը ապրանքի նմուշներ ստացավ։
摇摆	օրորվել; տատանվել	Փոքր նավակը քամու և ալիքների մեջ օրորվում էր։
摇滚	ռոք երաժշտություն	Երիտասարդները սիրում են ռոք երաժշտություն։
谣言	լուր; ասեկոսե	Մի տարածեք չստուգված լուրեր։
遥控	հեռակառավարում; հեռակառավարել	Նա հեռախոսով հեռակառավարեց օդորակիչը։
遥远	հեռավոր	Այդ գյուղը քաղաքից հեռու է։
耀眼	շլացնող	Արևի լույսը շլացնող էր։
要点	հիմնական կետ; էություն	Խնդրում ենք գրանցել ժողովի հիմնական կետերը։
要命	մահացու; չափազանց	Այս լեռնային ճանապարհը չափազանց վտանգավոր է։
要素	տարր; կարևոր գործոն	Վստահությունը համագործակցության կարևոր տարր է։
野蛮	վայրենի; կոպիտ	Նա դեմ է վայրենի ուժի կիրառմանը։
野心	հավակնություն; մեծամիտ ձգտում	Նրա քաղաքական հավակնությունը ակնհայտ է։
液体	հեղուկ	Այս հեղուկը գույն չունի։
一流	առաջին կարգի; լավագույն	Այս հիվանդանոցը առաջին կարգի սարքավորում ունի։
一如既往	ինչպես միշտ; նախկինի պես	Նա ինչպես միշտ աջակցում է մեզ։
依旧	առաջվա պես; դեռ	Անձրևը դադարեց, բայց փողոցը դեռ թաց էր։
依据	հիմք; համաձայն	Վճիռը պետք է հիմնված լինի օրենքի վրա։
依靠	ապավինել; կախված լինել	Նրանք ապրուստի համար ապավինում են գյուղատնտեսությանը։
依赖	կախված լինել; ապավինել	Երեխաները չպետք է չափազանց կախված լինեն ծնողներից։
依托	հենվել; ապավինել	Նախագիծը զարգանում է տեղական ռեսուրսների վրա հենվելով։
衣裳	հագուստ	Նա հագավ մաքուր հագուստ։
一度	մի ժամանակ; ժամանակավորապես	Ընկերությունը մի ժամանակ սնանկության առաջ էր։
一贯	մշտապես; հետևողական	Նա մշտապես դեմ է եղել վատնումին։
一目了然	մի հայացքից պարզ	Աղյուսակի բովանդակությունը մի հայացքից պարզ է։
一向	միշտ; մշտապես	Նա միշտ ճշտապահ է եղել։
仪器	սարք; գործիք	Լաբորատորիան նոր սարքեր գնեց։
仪式	արարողություն	Ավարտական արարողությունը կանցկացվի վաղը։
疑惑	կասկած; շփոթություն	Ուսանողը շփոթվեց պատասխանից։
遗产	ժառանգություն	Այս հին քաղաքը մշակութային ժառանգություն է։
遗传	ժառանգականություն; ժառանգվել	Այս հիվանդությունը կարող է ժառանգվել։
遗留	մնացած; ժառանգված խնդիր	Պատմությունից ժառանգված խնդիրները պետք է լուծվեն։
遗失	կորցնել; կորսված	Ճանապարհորդը կորցրեց անձնագիրը։
以便	որպեսզի; նպատակով	Խնդրում ենք թողնել հեռախոսահամար, որպեսզի կապվենք ձեզ հետ։
以免	որպեսզի չ; խուսափելու համար	Ավելի շուտ դուրս եկեք, որպեսզի չուշանաք։
以往	նախկինում; անցյալում	Նախկին փորձը արժե հաշվի առնել։
以至	մինչև անգամ; այդ աստիճան	Շրջանակը ընդլայնվեց մինչև համայնք և նույնիսկ ամբողջ քաղաք։
以致	այնպես որ; ինչի հետևանքով	Հորդառատ անձրևը շարունակվեց, ինչի հետևանքով ճանապարհները փակվեցին։
一帆风顺	հարթ ընթացք; առանց խոչընդոտների	Բիզնես սկսելն միշտ հարթ ընթացք չի ունենում։
一举两得	մեկ քայլով երկու օգուտ	Աշխատանքի հեծանվով գնալը մեկ քայլով երկու օգուտ է տալիս։
一丝不苟	չափազանց մանրակրկիտ; անթերի	Ճարտարագետը չափազանց մանրակրկիտ ստուգեց լարերը։
亦	նույնպես; նաև	Նա նույնպես համաձայնեց այս ծրագրին։
异常	անսովոր; արտասովոր	Համակարգում արտասովոր իրավիճակ առաջացավ։
意料	սպասում; կանխատեսել	Արդյունքը բոլորովին անսպասելի էր։
意识	գիտակցություն; գիտակցել	Նա աստիճանաբար գիտակցեց, որ խնդիրը լուրջ է։
意图	մտադրություն; նպատակ	Ոստիկանությունը հասկացավ նրա մտադրությունը։
意味着	նշանակել; ենթադրել	Լռությունը համաձայնություն չի նշանակում։
意向	մտադրություն; տրամադրվածություն	Երկու կողմերն էլ համագործակցության մտադրություն հայտնեցին։
意志	կամք; վճռականություն	Դժվարությունները փորձության են ենթարկում մարդու կամքը։
毅力	համառություն; կամքի ուժ	Հաջողությունը պահանջում է երկարատև համառություն։
毅然	վճռականորեն; առանց վարանելու	Նա վճռականորեն հեռացավ ընկերությունից։
翼	թև	Օդանավի թևը ստուգվեց։
阴谋	դավադրություն; խարդավանք	Նրանք բացահայտեցին դավադրությունը։
音响	ձայնային համակարգ; ակուստիկա	Հյուրասենյակում լավ ակուստիկա կա։
引导	ուղղորդել; առաջնորդել	Ուսուցիչը ուղղորդեց ուսանողներին մտածել։
引擎	շարժիչ	Մեքենայի շարժիչը հանկարծ կանգ առավ։
引用	մեջբերել; վկայակոչել	Հոդվածը մեծ քանակի նյութեր էր վկայակոչել։
隐蔽	թաքնված; թաքցնել	Զինվորները թաքնվեցին անտառում։
隐患	թաքնված վտանգ; անվտանգության ռիսկ	Հին լարերը թաքնված անվտանգության ռիսկ ունեն։
隐瞒	թաքցնել; ճշմարտությունը քողարկել	Նա ճշմարտությունը չթաքցրեց։
隐私	գաղտնիություն; անձնական տվյալներ	Ընկերությունը պետք է պաշտպանի օգտատերերի գաղտնիությունը։
隐约	աղոտ; անորոշ	Հեռվից աղոտ երգ էր լսվում։
饮食	սնունդ; սննդակարգ	Առողջ սննդակարգը օգնում է ապաքինմանը։
婴儿	նորածին; երեխա	Նորածինը հանգիստ քնած է։
英明	իմաստուն; հեռատես	Առաջնորդը իմաստուն որոշում ընդունեց։
英勇	քաջ; խիզախ	Հրշեջը խիզախորեն փրկեց երեխային։
盈利	շահույթ ստանալ; շահույթ	Ընկերությունը այս տարի սկսեց շահույթ ստանալ։
迎面	դիմացից; ուղիղ դեմքին	Սառը քամին փչեց ուղիղ մեր դեմքին։
应酬	սոցիալական պարտականություններ; հյուրասիրական հանդիպում	Այս երեկո նա շատ սոցիալական հանդիպումներ ունի։
应邀	հրավերով; հրավերի համաձայն	Փորձագետը հրավերով մասնակցեց ֆորումին։
庸俗	գռեհիկ; անճաշակ	Այս գովազդի բովանդակությունը գռեհիկ է։
拥护	աջակցել; պաշտպանել	Բոլորը աջակցում են նոր քաղաքականությանը։
拥有	ունենալ; տիրապետել	Նա հարուստ փորձ ունի։
勇于	համարձակվել; քաջություն ունենալ	Երիտասարդները պետք է համարձակվեն փորձել։
永恒	հավերժական; մշտական	Սերը հավերժ անփոփոխ չէ։
涌现	ի հայտ գալ; զանգվածաբար հայտնվել	Ամենուր գերազանց ուսուցիչներ են ի հայտ գալիս։
踊跃	ակտիվորեն; խանդավառությամբ	Բնակիչները խանդավառությամբ գրանցվեցին միջոցառմանը։
用户	օգտատեր; սպառող	Օգտատերերը կարող են փոխել իրենց գաղտնաբառերը։
优胜劣汰	ուժեղների գոյատևում; թույլերի դուրսմղում	Շուկայի մրցակցությունը արտացոլում է ուժեղների գոյատևումը։
优先	առաջնահերթություն; առաջնահերթ	Տարեցներին կարող են սպասարկել առաջնահերթ։
优异	գերազանց; աչքի ընկնող	Նա գերազանց արդյունքներ ստացավ։
优越	գերազանց; առավելություն ունեցող	Այս վայրը գերազանց դիրք ունի։
忧郁	մելամաղձոտ; տխրամած	Նրա դեմքի արտահայտությունը մելամաղձոտ էր։
油腻	յուղոտ; ծանր	Այս ուտեստը չափազանց յուղոտ է։
油漆	ներկ; ներկել	Աշխատողները ներկում են դուռը։
犹如	նման; կարծես	Լճի մակերեսը հայելու նման է։
有条不紊	կարգավորված; կազմակերպված	Ժողովը կազմակերպված ընթացավ։
幼稚	մանկամիտ; միամիտ	Այս գաղափարը մի փոքր միամիտ է։
诱惑	գայթակղություն; գայթակղել	Գովազդը լի է սպառողական գայթակղություններով։
愚蠢	հիմար; անմիտ	Այս որոշումը չափազանց հիմար է։
愚昧	տգետ; անուս	Տգետ գաղափարները խանգարում են առաջընթացին։
渔民	ձկնորս	Ձկնորսները լուսաբացին դուրս են գալիս ծով ձուկ որսալու։
舆论	հասարակական կարծիք	Հասարակական կարծիքը մեծ ազդեցություն ունի այս գործի վրա։
与日俱增	օրեցօր աճել; շարունակաբար ավելանալ	Զբոսաշրջիկների թիվը օրեցօր աճում է։
宇宙	տիեզերք	Մարդկությունը շարունակում է ուսումնասիրել տիեզերքը։
羽绒服	փետուրե բաճկոն	Ձմռանը պետք է փետուրե բաճկոն հագնել։
寓言	առակ	Այս առակը շատ ուսանելի է։
愈	լավանալ; ապաքինվել; որքան... այնքան	Վիճակը գնալով լավանում է։
欲望	ցանկություն; տենչ	Նա զսպեց գնումներ անելու ցանկությունը։
熨	արդուկել; հարթեցնել	Նա վերնաշապիկը հարթ արդուկեց։
玉	նեֆրիտ	Այս նեֆրիտի կտորը տաք երանգ ունի։
预料	կանխատեսել; սպասել	Իրադարձությունների զարգացումը գերազանցեց սպասումները։
预期	ակնկալիք; սպասված	Վաճառքը սպասվածից ցածր էր։
预算	բյուջե	Նախագծի բյուջեն ճշգրտման կարիք ունի։
预先	նախապես	Խնդրում ենք նյութերը նախապես պատրաստել։
预言	կանխագուշակել; մարգարեություն	Նրա կանխատեսումը չիրականացավ։
预兆	նախանշան; նշան	Ցավը կարող է հիվանդության նախանշան լինել։
冤枉	անարդար մեղադրել; անարդարություն	Մի մեղադրեք անմեղ մարդուն։
元首	պետության ղեկավար	Երկու երկրների պետությունների ղեկավարները բանակցեցին։
元素	տարր; քիմիական տարր	Թթվածինը քիմիական տարր է։
元宵节	Լապտերների տոն	Լապտերների տոնին մարդիկ լապտերներ են դիտում։
原告	հայցվոր	Հայցվորը նոր ապացույց ներկայացրեց։
原理	սկզբունք; տեսություն	Ուսուցիչը բացատրեց մեքենայի աշխատանքի սկզբունքը։
原始	սկզբնական; նախնական	Նրանք պահեցին սկզբնական գրառումները։
原先	նախկին; սկզբնական	Սկզբնական ծրագիրը արդեն փոխվել է։
园林	այգի; պարտեզային լանդշաֆտ	Սուչժոուի այգիները շատ հայտնի են։
圆满	լիակատար; հաջող	Ժողովը լիակատար հաջողության հասավ։
源泉	աղբյուր; ակունք	Գործնական փորձը գիտելիքի աղբյուրն է։
缘故	պատճառ	Նա հրաժարական տվեց առողջական պատճառներով։
约束	սահմանափակել; զսպել	Համակարգը սահմանափակում է աշխատակիցների վարքը։
乐谱	նոտագրություն; երաժշտական պարտիտուր	Նա ուշադիր կարդաց նոտագրությունը։
岳母	զոքանչ	Նա հանգստյան օրերին այցելեց զոքանչին։
孕育	սնել; ծնել; բեղմնավորել	Հողը սնուցում է նոր կյանքը։
蕴藏	պարունակել; իր մեջ պահել	Լեռնային տարածքը հարուստ հանքային ռեսուրսներ է պարունակում։
运算	գործողություն; հաշվարկ	Ուսանողները վարժվում են մաթեմատիկական գործողություններում։
运行	աշխատել; գործարկել	Համակարգը կայուն աշխատում է։
酝酿	խմորվել; մտքում հասունացնել; քննարկել	Երկու կողմերն էլ նոր ծրագիր են քննարկում։
杂技	ակրոբատիկա	Երեխաները սիրում են ակրոբատիկա դիտել։
杂交	հիբրիդ; խաչասեր	Գիտնականները ուսումնասիրում են հիբրիդային բրինձը։
砸	ջարդել; փշրվել; ձախողվել	Բաժակը հատակին ընկավ ու փշրվեց։
咋	ինչպե՞ս; ինչու՞	Ինչպե՞ս է, որ դեռ չես վերադարձել։
栽培	աճեցնել; մշակել	Այգեպանը շատ ծաղիկներ աճեցրեց։
灾难	աղետ; կործանում	Աղետից հետո քաղաքը սկսեց վերակառուցվել։
宰	մորթել; խաբել հաճախորդին	Տոնի ժամանակ գյուղացիները ոչխար են մորթում։
再接再厉	շարունակել ջանքերը; չթուլանալ	Մրցանակ շահելուց հետո թիմը չթուլացրեց ջանքերը։
在意	կարևորել; մտահոգվել	Նա շատ է կարևորում ուրիշների կարծիքը։
攒	կուտակել; խնայել	Նա գումար է խնայում համակարգիչ գնելու համար։
暂且	առայժմ; ժամանակավորապես	Այս հարցը առայժմ մի կողմ դրեք։
赞叹	հիանալ; գովել	Հանդիսատեսը հիացավ դերասանի ելույթով։
赞助	հովանավորել; աջակցել	Ընկերությունը հովանավորեց այս մրցույթը։
糟蹋	վատնել; փչացնել	Մի վատնեք այս թարմ սնունդը։
遭受	տուժել; ենթարկվել	Դաշտերը ծանր երաշտից տուժեցին։
遭殃	աղետի ենթարկվել; տուժել	Կամուրջի փլուզման ժամանակ մոտակա բնակիչները տուժեցին։
遭遇	հանդիպել; բախվել	Ճանապարհին նրանք ձնաբքի հանդիպեցին։
噪音	աղմուկ	Շինարարության աղմուկը խանգարում է հանգստին։
造型	ձևավորում; արտաքին տեսք	Այս մեքենայի մոդելի ձևը շատ առանձնահատուկ է։
责怪	մեղադրել; հանդիմանել	Խնդրում եմ կուրորեն մի մեղադրեք երեխային։
贼	գող; խորամանկ	Ոստիկանությունը բռնեց այդ գողին։
增添	ավելացնել; հարստացնել	Թարմ ծաղիկները գույն են ավելացնում սենյակին։
赠送	նվիրել; նվեր տալ	Խանութը փոքր նվերներ է տալիս։
扎	խոցել; սրսկել	Բուժքույրը նրան սրսկում արեց։
扎实	ամուր; հիմնավոր	Նրա քերականական հիմքը ամուր է։
渣	նստվածք; տականք	Բաժակի հատակին սուրճի նստվածք մնաց։
眨	թարթել	Նա աչքերը թարթեց։
诈骗	խարդախություն անել; խաբել	Ոստիկանությունը բացահայտեց հեռախոսային խարդախության գործ։
摘要	ամփոփագիր; համառոտագիր	Հոդվածի ամփոփագիրը հստակ է գրված։
债券	պարտատոմս	Ներդրողները պետական պարտատոմսեր են գնում։
沾光	մեկի շնորհիվ օգուտ ստանալ	Ես էլ ընկերոջս շնորհիվ օգուտ ստացա։
瞻仰	խոնարհվել; հարգանքի տուրք մատուցել	Զբոսաշրջիկները հարգանքի տուրք են մատուցում հերոսների հուշարձանին։
展示	ցուցադրել; ներկայացնել	Ընկերությունը ցուցադրեց իր նորագույն արտադրանքը։
展望	հեռանկար; կանխատեսել ապագան	Զեկույցը դիտարկում է ապագա միտումները։
展现	ի ցույց դնել; ներկայացնել	Ստեղծագործությունը ներկայացնում է գյուղական կյանքը։
崭新	լրիվ նոր; բոլորովին նոր	Նա բոլորովին նոր հեծանիվ գնեց։
斩钉截铁	վճռական; անվարան	Նա վճռականորեն մերժեց։
占据	զբաղեցնել; գրավել	Գովազդը զբաղեցրեց ամբողջ էջը։
占领	գրավել; զբաղեցնել	Բանակը գրավեց լեռնանցքը։
战斗	կռվել; մարտնչել	Մարտը տևեց երեք ժամ։
战略	ռազմավարություն	Ընկերությունը փոխեց զարգացման ռազմավարությունը։
战术	մարտավարություն	Մարզիչը փոխեց խաղի մարտավարությունը։
战役	ռազմարշավ; ռազմական գործողություն	Այս ռազմարշավը փոխեց իրավիճակը։
章程	կանոնադրություն; կանոններ	Միությունը ընդունեց նոր կանոնադրություն։
帐篷	վրան	Նրանք լճի մոտ վրաններ խփեցին։
障碍	խոչընդոտ; արգելք	Լեզվական խոչընդոտները ազդում են հաղորդակցության վրա։
招标	մրցույթ հայտարարել; հայտեր ընդունել	Շինարարական նախագիծը բաց մրցույթ հայտարարեց։
招收	հավաքագրել; ընդունել	Դպրոցը այս տարի նոր ուսանողներ է ընդունում։
朝气蓬勃	կենսուրախ; եռանդուն	Երիտասարդ թիմը լի է եռանդով։
着迷	հմայվել; տարվել	Երեխան տարված է աստղագիտությամբ։
沼泽	ճահիճ	Արշավախումբը անցավ ճահիճը։
照样	սովորականի պես; նույն կերպ	Անձրև եկավ, բայց մարզումը սովորականի պես շարունակվեց։
照耀	լուսավորել; շողալ	Արևի լույսը լուսավորում է հրապարակը։
折腾	չարչարել; անտեղի խառնել	Դադարիր չարչարել այս հին համակարգիչը։
遮挡	ծածկել; արգելափակել	Ճյուղերը փակել էին պատուհանը։
折	կոտրել; ծալել	Նա թուղթը ծալեց ինքնաթիռի ձևով։
折磨	տանջել; չարչարել	Երկարատև անքնությունը նրան տանջում է։
侦探	հետախույզ; դետեկտիվ	Դետեկտիվը գտավ կարևոր հետք։
斟酌	ծանրութեթև անել; մտածել	Խնդրում ենք բառերը ուշադիր ծանրութեթև անել։
珍贵	թանկարժեք; արժեքավոր	Այս լուսանկարները շատ արժեքավոր են։
珍稀	հազվագյուտ; թանկարժեք	Պաշտպանեք հազվագյուտ վայրի կենդանիներին։
珍珠	մարգարիտ	Նա մարգարտե ականջօղեր է կրում։
真理	ճշմարտություն	Գործնական փորձը ստուգում է ճշմարտությունը։
真相	իրականություն; ճշմարտություն	Լրագրողը ջանում էր պարզել ճշմարտությունը։
真挚	անկեղծ; սրտանց	Նա սրտանց շնորհակալություն հայտնեց։
枕头	բարձ	Այս բարձը չափազանց բարձր է։
振奋	ոգևորել; ոգեշնչել	Լավ լուրը բոլորին ոգևորեց։
振兴	վերակենդանացնել; աշխուժացնել	Կառավարությունը խթանում է գյուղերի վերակենդանացումը։
镇定	հանգիստ; սառնասիրտ	Արտակարգ իրավիճակում նա հանգիստ մնաց։
镇静	հանգիստ; հանդարտ	Բուժքույրը հիվանդին ասաց հանգիստ մնալ։
阵地	դիրք; դիրքապահ գիծ	Զինվորները պահեցին դիրքը։
阵容	կազմ; մարտակարգ	Թիմը հայտարարեց մեկնարկային կազմը։
震撼	ցնցել; հուզել	Այս ֆիլմը չափազանց ազդեցիկ է։
震惊	ցնցել; ապշեցնել	Լուրը ցնցեց ամբողջ երկիրը։
争端	վեճ; հակամարտություն	Երկու կողմերը փորձեցին լուծել սահմանային վեճը։
争夺	պայքարել; մրցակցել	Երկու ընկերությունները մրցում են շուկայի բաժնի համար։
争气	ջանալ; պատիվ բերել	Նա ջանասիրաբար սովորում է, որ ընտանիքին պատիվ բերի։
争先恐后	իրարից առաջ ընկնել	Զբոսաշրջիկները իրարից առաջ ընկնելով շտապեցին ավտոբուս նստել։
争议	վեճ; հակասություն	Այս որոշումը վեճ առաջացրեց։
征服	նվաճել; ենթարկել	Լեռնագնացը նվաճեց գագաթը։
征收	գանձել; հարկադրել	Կառավարությունը օրենքի համաձայն հարկեր է գանձում։
挣扎	պայքարել; մաքառել	Թռչունը մաքառում էր ցանցի մեջ։
正月	լուսնային տարվա առաջին ամիս	Լուսնային տարվա առաջին ամսին հարազատները այցելում են միմյանց։
蒸发	գոլորշիանալ	Խոնավությունը արագ գոլորշիացավ։
整顿	կարգի բերել; վերակազմակերպել	Ընկերությունը սկսեց վերակազմակերպել կառավարումը։
政策	քաղաքականություն	Նոր քաղաքականությունը աջակցում է փոքր բիզնեսին։
政权	քաղաքական իշխանություն; վարչակարգ	Պատերազմը փոխեց տեղական վարչակարգը։
正当	արդարացի; օրինական	Նա օրինական պահանջ ներկայացրեց։
正负	դրական և բացասական	Սարքը ցույց է տալիս դրական և բացասական սխալը։
正规	կանոնավոր; ստանդարտ	Երեխան ընդունվեց սովորական դպրոց սովորելու։
正经	պատշաճ; լուրջ	Նա վերջապես սկսեց լուրջ խոսել։
