simplified	KA	example_KA
无赖	ავაზაკი	სოფლელებს იმ ავაზაკთან ურთიერთობა არ სურთ.
无理取闹	უმიზეზოდ ჩხუბი	გთხოვთ, აქ უმიზეზოდ ნუ იჩხუბებთ.
无能为力	უძლური	წყალდიდობის წინაშე სოფლის მცხოვრებლები უძლურები იყვნენ.
无穷无尽	უსასრულო	უდაბნო უსასრულოდ ჩანდა.
无微不至	უაღრესად მზრუნველი	ექთანი პაციენტს უაღრესად მზრუნველად უვლიდა.
无忧无虑	უზრუნველი	ბავშვები ბალახზე უზრუნველი თამაშობდნენ.
无知	უცოდინრობა	უცოდინრობა სწავლის უარყოფის მიზეზი არ არის.
侮辱	შეურაცხყოფა	მისმა სიტყვებმა მეორე მხარე შეურაცხყო.
武器	იარაღი	ეს იარაღები ერთიანად ინახება.
武侠	საბრძოლო ხელოვნების გმირობა	მას ბავშვობიდან უყვარდა საბრძოლო ხელოვნების რომანების კითხვა.
武装	შეიარაღებული	საზღვრისპირა რაიონში შეიარაღებული პატრული გაძლიერდა.
舞蹈	ცეკვა	ამ ცეკვას ძლიერი ეთნიკური თავისებურება აქვს.
务必	აუცილებლად	გთხოვთ, აუცილებლად დროზე მოხვიდეთ.
物美价廉	ხარისხიანი და იაფი	ამ მაღაზიის საქონელი ხარისხიანი და იაფია.
物业	უძრავი ქონების მართვა	საცხოვრებელი კომპლექსის შეკეთებაზე უძრავი ქონების მართვაა პასუხისმგებელი.
物资	მარაგი	სამაშველო მარაგი უკვე სტიქიის ზონაში მიიტანეს.
误差	ცდომილება	გაზომვის შედეგში მცირე ცდომილებაა.
误解	გაუგებრობა	მხარეებმა კომუნიკაციით გაუგებრობა გააქრეს.
夕阳	მზის ჩასვლა	მზის ჩასვლამ ცა ოქროსფრად შეღება.
昔日	წარსული	წარსულის პატარა სოფელი ქალაქად იქცა.
溪	ნაკადული	პატარა ნაკადული მთებს შორის მიედინება.
熄灭	ჩაქრობა	გთხოვთ, სანთელი ჩააქროთ.
牺牲	მსხვერპლი	მათ ადამიანების გადასარჩენად მსხვერპლი გაიღეს.
膝盖	მუხლი	მას მუხლი დაუზიანდა.
习俗	ჩვეულება	გაზაფხულის დღესასწაულს ბევრი ტრადიციული ჩვეულება აქვს.
媳妇	ცოლი	მისი ცოლი საავადმყოფოში მუშაობს.
袭击	თავდასხმა	ქარიშხალი სანაპირო ქალაქს დაატყდა თავს.
喜闻乐见	საყვარელი	ასეთი პროგრამა მაყურებლისთვის საყვარელია.
喜悦	სიხარული	მის სახეზე სიხარულის ღიმილი გამოჩნდა.
系列	სერია	კომპანიამ ახალი პროდუქტების სერია გამოუშვა.
细菌	ბაქტერია	მაღალ ტემპერატურას ბაქტერიების მოკვლა შეუძლია.
细胞	უჯრედი	ადამიანის სხეული უთვალავი უჯრედისგან შედგება.
细致	დეტალური	მისი დაკვირვება ძალიან დეტალურია.
峡谷	კანიონი	მდინარე ღრმა კანიონში გადის.
狭隘	ვიწრო	ეს ვიწრო შეხედულება უნდა შეიცვალოს.
狭窄	ვიწრო	ეს ბილიკი ძალიან ვიწროა.
霞	საღამოს ნათება	საღამოს ნათებამ ცა წითლად შეღება.
下属	ქვეშევრდომი	მენეჯერმა ქვეშევრდომების აზრი ყურადღებით მოისმინა.
先进	მოწინავე	ქარხანამ მოწინავე მოწყობილობა გამოიყენა.
先前	წინა	წინა გეგმა უკვე შეიცვალა.
掀起	წამოწყება	ამ წიგნმა განხილვების ტალღა წამოიწყო.
纤维	ბოჭკო	ეს ქსოვილი ბუნებრივ ბოჭკოს შეიცავს.
鲜明	მკვეთრი	მისი პოზიცია ძალიან მკვეთრია.
嫌	არმოწონება	მას არ მოსწონს, რომ ოთახი ძალიან პატარაა.
嫌疑	ეჭვი	ამ კაცზე სერიოზული ეჭვი არსებობს.
弦	სიმი	გიტარის ერთი სიმი გაწყდა.
衔接	დაკავშირება	ორი კურსის შინაარსი კარგად არის დაკავშირებული.
贤惠	კეთილგონიერი	მას კეთილგონიერ და საქმიან ადამიანად მიიჩნევენ.
闲话	ჭორი	სხვის ზურგს უკან ჭორებს ნუ იტყვი.
显著	მნიშვნელოვანი	მკურნალობის ეფექტი ძალიან მნიშვნელოვანია.
宪法	კონსტიტუცია	კონსტიტუცია მოქალაქეთა ძირითად უფლებებს იცავს.
现场	შემთხვევის ადგილი	ჟურნალისტები უკვე შემთხვევის ადგილზე მივიდნენ.
现成	მზა	სამზარეულოში მზა საჭმელია.
现状	მიმდინარე მდგომარეობა	ჩვენ ინდუსტრიის მიმდინარე მდგომარეობა უნდა გავიგოთ.
线索	კვალი	პოლიციამ ახალი კვალი იპოვა.
陷害	ჩაწყობა	მან განაცხადა, რომ ვიღაცამ საქმე ჩაუწყო.
陷阱	მახე	მონადირემ მახე დადგა.
陷入	ჩავარდნა	კომპანია ფინანსურ სირთულეში ჩავარდა.
馅儿	შიგთავსი	ამ ბაოძის შიგთავსი ძალიან სურნელოვანია.
乡镇	დაბა	დაბის სკოლებში პირობები უმჯობესდება.
相差	განსხვავება	ორი ადგილის ტემპერატურა ათი გრადუსით განსხვავდება.
相等	ტოლი	ორი სამკუთხედის ფართობი ტოლია.
相辅相成	ურთიერთშემავსებელი	თეორია და პრაქტიკა ურთიერთშემავსებელია.
相应	შესაბამისი	კომპანია შესაბამის ზომებს მიიღებს.
镶嵌	ჩასმა	ბეჭედში ერთი ძვირფასი ქვაა ჩასმული.
响亮	ხმამაღალი	მისი პასუხი ხმამაღალი და მკაფიო იყო.
响应	გამოხმაურება	ბევრი ადამიანი გარემოსდაცვით ინიციატივას გამოეხმაურა.
想方设法	ყველა ხერხის ძებნა	ისინი ხარჯების შესამცირებლად ყველა ხერხს ეძებდნენ.
向导	გიდი	ადგილობრივმა გიდმა მთაში შეგვიყვანა.
向来	ყოველთვის	ის ყოველთვის დიდ მნიშვნელობას ანიჭებდა ნდობას.
向往	მონატრება	მას მშვიდი ცხოვრება ენატრება.
巷	ჩიხი	ძველ ჩიხში ბევრი პატარა მაღაზია გაიხსნა.
相声	სიანშენი	ბაბუას ტრადიციული სიანშენის მოსმენა უყვარს.
消除	აღმოფხვრა	კომუნიკაციას გაუგებრობის აღმოფხვრა შეუძლია.
消毒	დეზინფექცია	ექიმმა ჭრილობას დეზინფექცია გაუკეთა.
消防	სახანძრო საქმე	მეხანძრეები სწრაფად მივიდნენ შემთხვევის ადგილზე.
消耗	ხარჯვა	შორეული მგზავრობა ბევრ ფიზიკურ ძალას ხარჯავს.
消灭	განადგურება	მუშები მავნებლებს ანადგურებენ.
潇洒	ლაღი	მისი სიარული ძალიან ლაღი და ელეგანტურია.
销毁	განადგურება	საბაჟომ ყალბი საქონელი გაანადგურა.
小心翼翼	ძალიან ფრთხილად	მან ყუთი ძალიან ფრთხილად გახსნა.
效益	ეფექტიანობა	ახალმა მოწყობილობამ წარმოების ეფექტიანობა გაზარდა.
肖像	პორტრეტი	კედელზე მისი პორტრეტია დაკიდებული.
协会	ასოციაცია	ეს ასოციაცია ახალგაზრდა მეწარმეებს ეხმარება.
协商	მოლაპარაკება	ორივე მხარე მზად არის მოლაპარაკება გააგრძელოს.
协调	კოორდინაცია	პროექტის მენეჯერი რესურსების კოორდინაციაზეა პასუხისმგებელი.
协议	შეთანხმება	ორივე მხარემ თანამშრომლობის შეთანხმებას მოაწერა ხელი.
协助	დახმარება	მოხალისეები მოხუცებს გზის გადაკვეთაში დაეხმარნენ.
携带	ტარება	მგზავრებს საშიში ნივთების ტარება ეკრძალებათ.
屑	ნახერხი	მაგიდაზე ბევრი ხის ნახერხია.
泄露	გაჟონვა	თანამშრომლებს მომხმარებლის ინფორმაციის გაჟონვა ეკრძალებათ.
泄气	გულგატეხა	მარცხის შემდეგ გულს ნუ გაიტეხ.
谢绝	თავაზიანად უარყოფა	სასტუმრო გარედან მოტანილ საკვებს თავაზიანად უარყოფს.
心得	შეძენილი გამოცდილება	მან სწავლისას მიღებული გამოცდილება გაგვიზიარა.
心甘情愿	სრული სურვილით	ის დასახმარებლად სრული სურვილით დარჩა.
心灵	სული	მუსიკამ მისი სული დაამშვიდა.
心态	განწყობა	დადებითი განწყობის შენარჩუნება მნიშვნელოვანია.
心疼	შებრალება	დედას დაშავებული ბავშვი შეებრალა.
心血	დიდი ძალისხმევა	ამ წიგნში ავტორის დიდი ძალისხმევაა ჩადებული.
心眼儿	წვრილმანობა	ის ცოტა წვრილმანობს.
新陈代谢	მეტაბოლიზმი	ვარჯიში მეტაბოლიზმს აჩქარებს.
新郎	სიძე	სიძე კართან სტუმრებს ხვდებოდა.
新娘	პატარძალი	პატარძალს თეთრი საქორწინო კაბა ეცვა.
新颖	ახლებური	ეს დიზაინი ძალიან ახლებურია.
欣慰	კმაყოფილება	ბავშვის წინსვლამ მას კმაყოფილება მოჰგვარა.
欣欣向荣	აყვავებული	პატარა ქალაქის ტურიზმი აყვავებულია.
薪水	ხელფასი	მისი ხელფასი ოჯახის შესანახად საკმარისია.
辛勤	შრომისმოყვარე	გლეხები გულმოდგინედ ზრდიან მოსავალს.
信赖	ნდობა	მომხმარებლები ამ კომპანიას ძალიან ენდობიან.
信念	რწმენა	მტკიცე რწმენა მას მხარს უჭერდა.
信仰	მრწამსი	ის სხვადასხვა მრწამსს პატივს სცემს.
信誉	რეპუტაცია	კომპანიამ თავისი რეპუტაცია უნდა დაიცვას.
兴高采烈	აღფრთოვანებული	ბავშვები აღფრთოვანებულები შევარდნენ საკლასო ოთახში.
兴隆	აყვავებული	ამ ძველ მაღაზიას აყვავებული ბიზნესი აქვს.
兴旺	წარმატებული	საბაზრო ეკონომიკა სულ უფრო წარმატებული ხდება.
腥	თევზის სუნიანი	ამ თევზს ცოტა თევზის სუნი აქვს.
刑事	სისხლის სამართლის	პოლიცია სისხლის სამართლის საქმეს იძიებს.
形态	ფორმა	მცენარის ფორმა გარემოსთან ერთად იცვლება.
行政	ადმინისტრაციული	ადმინისტრაციული განყოფილება განაცხადებს ამუშავებს.
兴致勃勃	დიდი ინტერესით	ყველა გეგმას დიდი ინტერესით განიხილავდა.
性感	სექსუალური	ეს საღამოს კაბა ძალიან სექსუალურად გამოიყურება.
性命	სიცოცხლე	ექიმმა მისი სიცოცხლე გადაარჩინა.
性能	წარმადობა	ამ კომპიუტერს კარგი წარმადობა აქვს.
凶恶	მრისხანე	ეს ძაღლი ძალიან მრისხანედ გამოიყურება.
凶手	მკვლელი	პოლიციამ ბოლოს მკვლელი დაიჭირა.
汹涌	ბობოქარი	ბობოქარი ტალღები ნაპირს ეხეთქებოდა.
胸怀	ფართო ხედვა	მას ფართო ხედვა აქვს.
胸膛	მკერდი	ჯარისკაცმა მკერდი გამართა.
雄厚	ძლიერი	კომპანიას ძლიერი ფინანსური რესურსები აქვს.
雄伟	დიდებული	ეს ხიდი ძალიან დიდებულია.
修复	აღდგენა	ინჟინრები სისტემას აღადგენენ.
修建	აშენება	მთავრობა ახალი აეროპორტის აშენებას გეგმავს.
修养	აღზრდილობა	კარგი აღზრდილობა დეტალებში ჩანს.
羞耻	სირცხვილი	ტყუილის შემდეგ მას სირცხვილი იგრძნო.
嗅觉	ყნოსვა	ძაღლის ყნოსვა ძალიან მგრძნობიარეა.
绣	ქარგვა	ბებიას ყვავილების ქარგვა შეუძლია.
虚假	ყალბი	ვებგვერდმა ყალბი ინფორმაცია გამოაქვეყნა.
虚荣	ამპარტავნება	ამპარტავნებამ მას ზედმეტი ფული დაახარჯვინა.
虚伪	ფარისევლური	მას ფარისევლური თავაზიანობა არ უყვარს.
需求	მოთხოვნა	ბაზრის მოთხოვნა იზრდება.
须知	ინსტრუქცია	გთხოვთ, ჯერ რეგისტრაციის ინსტრუქცია წაიკითხოთ.
许可	ნებართვა	ნებართვის გარეშე შესვლა არ შეიძლება.
序言	წინასიტყვაობა	ავტორი წინასიტყვაობაში ფონს ხსნის.
畜牧	მეცხოველეობა	ველები მეცხოველეობის განვითარებისთვის შესაფერისია.
酗酒	გადაჭარბებული სმა	ხანგრძლივი გადაჭარბებული სმა ჯანმრთელობას აზიანებს.
喧哗	ხმაური	ბიბლიოთეკაში ხმაური აკრძალულია.
宣誓	ფიცის დადება	ახალმა წევრებმა შეხვედრაზე ფიცი დადეს.
宣扬	პროპაგანდა	სკოლა პატიოსნებასა და სანდოობას ავრცელებს.
悬挂	დაკიდება	კედელზე ერთი ნახატია დაკიდებული.
悬念	ინტრიგა	ფილმის დასასრული ინტრიგას ტოვებს.
悬殊	დიდი სხვაობა	ორ გუნდს შორის ძალების დიდი სხვაობაა.
悬崖峭壁	ციცაბო კლდეები	მთის გზის გვერდით ციცაბო კლდეებია.
旋律	მელოდია	ამ სიმღერას ლამაზი მელოდია აქვს.
旋转	ბრუნვა	ქარის წისქვილი ქარში ბრუნავს.
选拔	შერჩევა	სკოლა სპორტსმენებს არჩევს.
选举	არჩევნები	სოფელში არჩევნები ჩატარდა.
选手	მონაწილე	ამ მონაწილემ სტაბილურად იასპარეზა.
炫耀	ტრაბახი	მას ყოველთვის სიმდიდრით ტრაბახი უყვარს.
削	შემცირება	კომპანიამ ზოგი ხარჯი შეამცირა.
削弱	შესუსტება	დაღლილობა განსჯის უნარს ასუსტებს.
学说	თეორია	ამ თეორიას დიდი გავლენა აქვს.
学位	აკადემიური ხარისხი	მან მაგისტრის ხარისხი მიიღო.
雪上加霜	სირთულის დამძიმება	სამსახურის დაკარგვამ და ავადმყოფობამ მდგომარეობა კიდევ უფრო დაამძიმა.
血压	არტერიული წნევა	ექიმმა მას არტერიული წნევის კონტროლი შეახსენა.
熏陶	გავლენა	მას ბავშვობიდან მუსიკის გავლენა ჰქონდა.
寻觅	ძიება	ისინი ყველგან შესაფერის საცხოვრებელს ეძებდნენ.
巡逻	პატრულირება	პოლიცია ღამით ქუჩებში პატრულირებს.
循环	ცირკულაცია	წყალი სისტემაში ცირკულირებს.
循序渐进	ნაბიჯ-ნაბიჯ წინსვლა	ენის სწავლა ნაბიჯ-ნაბიჯ უნდა წარიმართოს.
压迫	ჩაგვრა	ძველი სისტემა უბრალო ხალხს ჩაგრავდა.
压岁钱	საახალწლო ფული	ბავშვმა საახალწლო ფული მიიღო.
压缩	შეკუმშვა	პროგრამას სურათის ზომის შეკუმშვა შეუძლია.
压抑	დათრგუნვა	ის შინაგანი ბრაზის დათრგუნვას ცდილობდა.
压榨	გამოწურვა	მანქანა შაქრის ლერწმის წვენს წურავს.
压制	დათრგუნვა	წამალს ტკივილის დათრგუნვა შეუძლია.
鸦雀无声	სრული სიჩუმე	მასწავლებლის შემოსვლის შემდეგ კლასში სრული სიჩუმე ჩამოვარდა.
亚军	მეორე ადგილი	მან შეჯიბრში მეორე ადგილი აიღო.
淹没	დატბორვა	წყალდიდობამ დაბლობი სოფელი დატბორა.
烟花爆竹	ფოიერვერკები და პეტარდები	დღესასწაულის დროს ფოიერვერკები და პეტარდები აკრძალულია.
严峻	მძიმე	დასაქმების მდგომარეობა კვლავ მძიმეა.
严寒	ძლიერი ყინვა	ძლიერი ყინვა ტრანსპორტზე მოქმედებს.
严禁	მკაცრად აკრძალვა	აქ მოწევა მკაცრად აკრძალულია.
严厉	მკაცრი	მასწავლებელმა მას მკაცრად უსაყვედურა.
严密	მკაცრი	საწყობში მკაცრი მეთვალყურეობაა.
岩石	კლდე	ზღვისპირა კლდეები ძალიან მყარია.
延期	გადადება	შეხვედრა მომავალ კვირამდე გადაიდო.
延伸	გაგრძელება	გზა ჩრდილოეთისკენ გრძელდება.
延续	გაგრძელება	ეს ტრადიცია ასი წელია გრძელდება.
沿海	სანაპირო	სანაპირო ქალაქებში ვაჭრობა განვითარებულია.
炎热	ცხელი	ცხელი ამინდი ადამიანს ღლის.
言论	გამონათქვამი	საზოგადოება მის გამონათქვამებს აკვირდება.
掩盖	დაფარვა	ის შეცდომის დაფარვას ცდილობდა.
掩护	დაფარვა	თანაგუნდელები უკან დახევის დაფარვაზე იყვნენ პასუხისმგებელი.
掩饰	დამალვა	ის ნერვიულობის დამალვას ცდილობდა.
演变	განვითარება	ქალაქის სტრუქტურა მუდმივად ვითარდება.
演习	წვრთნა	სკოლამ სახანძრო წვრთნა ჩაატარა.
演绎	დედუქცია	მასწავლებელმა ეს თეორემა დედუქციით გამოიყვანა.
演奏	შესრულება	ორკესტრი კლასიკურ მუსიკას ასრულებს.
眼光	ხედვა	მას ინვესტიციებში კარგი ხედვა აქვს.
眼色	თვალით ნიშანი	მან კოლეგას თვალით ნიშანი მისცა.
眼神	მზერა	მისი მზერა ძალიან მტკიცე იყო.
厌恶	ზიზღი	მას მოტყუების საქციელი ეზიზღება.
验收	მიღება-შემოწმება	სამუშაოს დასრულების შემდეგ მიღება-შემოწმებაა საჭირო.
验证	შემოწმება	ექსპერიმენტმა ჰიპოთეზა შეამოწმა.
氧气	ჟანგბადი	პაციენტს ჟანგბადის ჩასუნთქვა სჭირდება.
样品	ნიმუში	კლიენტმა პროდუქტის ნიმუშები მიიღო.
摇摆	რხევა	პატარა ნავი ქარსა და ტალღებში ირხეოდა.
摇滚	როკი	ახალგაზრდებს როკ მუსიკა უყვართ.
谣言	ჭორი	დაუდასტურებელი ჭორები არ გაავრცელო.
遥控	დისტანციური მართვა	მან ტელეფონით კონდიციონერი დისტანციურად მართა.
遥远	შორეული	ის სოფელი ქალაქიდან ძალიან შორსაა.
耀眼	თვალისმომჭრელი	მზის სინათლე თვალისმომჭრელი იყო.
要点	მთავარი პუნქტი	გთხოვთ, შეხვედრის მთავარი პუნქტები ჩაიწეროთ.
要命	უკიდურესად	ეს მთის გზა უკიდურესად სახიფათოა.
要素	ელემენტი	ნდობა თანამშრომლობის მნიშვნელოვანი ელემენტია.
野蛮	სასტიკი	ის სასტიკ სამართალდამცავ მოქმედებას ეწინააღმდეგება.
野心	ამბიცია	მისი პოლიტიკური ამბიცია აშკარაა.
液体	სითხე	ამ სითხეს ფერი არ აქვს.
一流	პირველი კლასის	ამ საავადმყოფოს პირველი კლასის აღჭურვილობა აქვს.
一如既往	როგორც ყოველთვის	ის როგორც ყოველთვის მხარს გვიჭერს.
依旧	კვლავ	წვიმა შეწყდა, მაგრამ ქუჩა კვლავ სველი იყო.
依据	საფუძველი	განაჩენი კანონს უნდა დაეფუძნოს.
依靠	დაყრდნობა	ისინი ცხოვრებისთვის სოფლის მეურნეობას ეყრდნობიან.
依赖	დამოკიდებულება	ბავშვები მშობლებზე ზედმეტად დამოკიდებულები არ უნდა იყვნენ.
依托	დაყრდნობა	პროექტი ადგილობრივ რესურსებზე დაყრდნობით ვითარდება.
衣裳	ტანსაცმელი	მან სუფთა ტანსაცმელი ჩაიცვა.
一度	ერთხანს	კომპანია ერთხანს გაკოტრების წინაშე იდგა.
一贯	მუდმივად	ის ყოველთვის ეწინააღმდეგებოდა ფლანგვას.
一目了然	ერთი შეხედვით ნათელი	ცხრილის შინაარსი ერთი შეხედვით ნათელია.
一向	ყოველთვის	ის ყოველთვის პუნქტუალურია.
仪器	ხელსაწყო	ლაბორატორიამ ახალი ხელსაწყოები იყიდა.
仪式	ცერემონია	დამთავრების ცერემონია ხვალ გაიმართება.
疑惑	დაბნეულობა	სტუდენტი პასუხმა დააბნია.
遗产	მემკვიდრეობა	ეს ძველი ქალაქი კულტურული მემკვიდრეობაა.
遗传	მემკვიდრეობით გადაცემა	ეს დაავადება შეიძლება მემკვიდრეობით გადაეცეს.
遗留	დატოვებული	ისტორიიდან დარჩენილი პრობლემები უნდა მოგვარდეს.
遗失	დაკარგვა	მგზავრმა პასპორტი დაკარგა.
以便	იმისთვის რომ	გთხოვთ, ტელეფონის ნომერი დატოვოთ, რომ დაგიკავშირდეთ.
以免	თავიდან ასაცილებლად	ადრე გავიდეთ, დაგვიანების თავიდან ასაცილებლად.
以往	წარსული	წარსული გამოცდილება გასათვალისწინებელია.
以至	თუნდაც	მასშტაბი უბნამდე და თუნდაც მთელ ქალაქამდე გაფართოვდა.
以致	რის შედეგადაც	ძლიერი წვიმა გაგრძელდა, რის შედეგადაც გზები ჩაიკეტა.
一帆风顺	იოლად წარმართვა	ბიზნესის დაწყება ყოველთვის იოლად ვერ წარიმართება.
一举两得	ერთი მოქმედებით ორი სარგებელი	ველოსიპედით სამსახურში სიარული ერთი მოქმედებით ორ სარგებელს იძლევა.
一丝不苟	ზედმიწევნითი	ინჟინერმა გაყვანილობა ზედმიწევნით შეამოწმა.
亦	ასევე	ის ასევე დაეთანხმა ამ გეგმას.
异常	ანომალია	სისტემაში ანომალიური მდგომარეობა გაჩნდა.
意料	მოლოდინი	შედეგი სრულიად მოულოდნელი იყო.
意识	გაცნობიერება	მან თანდათან პრობლემის სერიოზულობა გააცნობიერა.
意图	განზრახვა	პოლიციამ მისი განზრახვა ამოიცნო.
意味着	ნიშნავს	დუმილი თანხმობას არ ნიშნავს.
意向	განზრახვა	ორივე მხარემ თანამშრომლობის განზრახვა გამოხატა.
意志	ნება	სირთულეები ადამიანის ნებას გამოცდის.
毅力	მტკიცე ნებისყოფა	წარმატებას ხანგრძლივი მტკიცე ნებისყოფა სჭირდება.
毅然	მტკიცედ	მან კომპანია მტკიცედ დატოვა.
翼	ფრთა	თვითმფრინავის ფრთა შემოწმდა.
阴谋	შეთქმულება	მათ ეს შეთქმულება ამხილეს.
音响	აკუსტიკა	მისაღებ ოთახს კარგი აკუსტიკა აქვს.
引导	წარმართვა	მასწავლებელი მოსწავლეებს ფიქრისკენ წარმართავდა.
引擎	ძრავა	მანქანის ძრავა მოულოდნელად ჩაქრა.
引用	ციტირება	ნაშრომში ბევრი მასალაა ციტირებული.
隐蔽	დამალვა	ჯარისკაცები ტყეში დაიმალნენ.
隐患	ფარული საფრთხე	ძველ სადენებში ფარული უსაფრთხოების საფრთხეა.
隐瞒	დამალვა	მან სიმართლე არ დამალა.
隐私	კონფიდენციალურობა	კომპანიამ მომხმარებლის კონფიდენციალურობა უნდა დაიცვას.
隐约	ბუნდოვნად	შორიდან სიმღერა ბუნდოვნად ისმოდა.
饮食	კვება	ჯანსაღი კვება გამოჯანმრთელებას ეხმარება.
婴儿	ჩვილი	ჩვილს მშვიდად სძინავს.
英明	ბრძენი	ხელმძღვანელმა ბრძენი გადაწყვეტილება მიიღო.
英勇	მამაცი	მეხანძრემ ბავშვი მამაცურად გადაარჩინა.
盈利	მოგება	კომპანიამ წელს მოგების მიღება დაიწყო.
迎面	პირდაპირ	ცივი ქარი პირდაპირ სახეში გვიბერავდა.
应酬	სოციალური ვალდებულება	მას დღეს საღამოს ბევრი სოციალური ვალდებულება აქვს.
应邀	მოწვევით	ექსპერტი ფორუმში მოწვევით მონაწილეობდა.
庸俗	ვულგარული	ამ რეკლამის შინაარსი ძალიან ვულგარულია.
拥护	მხარდაჭერა	ყველა ახალ პოლიტიკას უჭერს მხარს.
拥有	ფლობა	მას მდიდარი გამოცდილება აქვს.
勇于	გაბედვა	ახალგაზრდებმა ცდა უნდა გაბედონ.
永恒	მარადიული	სიყვარული მარადიულად უცვლელი არ არის.
涌现	გამოჩენა	ყველგან შესანიშნავი მასწავლებლები ჩნდებიან.
踊跃	ხალისით	მოსახლეები ღონისძიებაში მონაწილეობის მისაღებად ხალისით დარეგისტრირდნენ.
用户	მომხმარებელი	მომხმარებლებს პაროლის შეცვლა შეუძლიათ.
优胜劣汰	უკეთესის გადარჩენა	ბაზრის კონკურენცია უკეთესის გადარჩენას ასახავს.
优先	პრიორიტეტი	ხანდაზმულებს მომსახურება პრიორიტეტულად გაეწევათ.
优异	შესანიშნავი	მან შესანიშნავი შედეგები მიიღო.
优越	უპირატესი	ამ ადგილს უპირატესი მდებარეობა აქვს.
忧郁	მელანქოლიური	მისი გამომეტყველება მელანქოლიურად ჩანდა.
油腻	ცხიმიანი	ეს კერძი ძალიან ცხიმიანია.
油漆	საღებავი	მუშები კარს საღებავს უსვამენ.
犹如	ვით	ტბის ზედაპირი სარკესავით იყო.
有条不紊	მწყობრად	შეხვედრა მწყობრად მიმდინარეობდა.
幼稚	ბავშვური	ეს იდეა ცოტა ბავშვურია.
诱惑	ცდუნება	რეკლამა სამომხმარებლო ცდუნებებით არის სავსე.
愚蠢	სულელური	ეს გადაწყვეტილება ძალიან სულელურია.
愚昧	უმეცარი	უმეცარი შეხედულებები წინსვლას აფერხებს.
渔民	მეთევზე	მეთევზეები გამთენიისას ზღვაში სათევზაოდ გადიან.
舆论	საზოგადოებრივი აზრი	საზოგადოებრივ აზრს საქმეზე დიდი გავლენა აქვს.
与日俱增	დღითიდღე ზრდა	ტურისტების რაოდენობა დღითიდღე იზრდება.
宇宙	სამყარო	ადამიანი სამყაროს შესწავლას განაგრძობს.
羽绒服	ბუმბულის ქურთუკი	ზამთარში ბუმბულის ქურთუკის ჩაცმა საჭიროა.
寓言	იგავი	ეს იგავი ძალიან საგანმანათლებლოა.
愈	გამოჯანმრთელება	მდგომარეობა სულ უფრო უმჯობესდება.
欲望	სურვილი	მან ყიდვის სურვილი გააკონტროლა.
熨	დაუთოება	მან პერანგი გლუვად დააუთოვა.
玉	ნეფრიტი	ამ ნეფრიტის ფერი რბილი და თბილია.
预料	მოლოდინი	მოვლენების განვითარებამ მოლოდინს გადააჭარბა.
预期	მოსალოდნელი	გაყიდვები მოსალოდნელზე დაბალი იყო.
预算	ბიუჯეტი	პროექტის ბიუჯეტი შესაცვლელია.
预先	წინასწარ	გთხოვთ, მასალები წინასწარ მოამზადოთ.
预言	წინასწარმეტყველება	მისი წინასწარმეტყველება არ ახდა.
预兆	ნიშანი	ტკივილი შეიძლება დაავადების ნიშანი იყოს.
冤枉	უსამართლოდ დადანაშაულება	უდანაშაულო ადამიანს უსამართლოდ ნუ დაადანაშაულებ.
元首	სახელმწიფოს მეთაური	ორი ქვეყნის სახელმწიფოს მეთაურებმა მოლაპარაკება გამართეს.
元素	ელემენტი	ჟანგბადი ქიმიური ელემენტია.
元宵节	ლამპიონების დღესასწაული	ლამპიონების დღესასწაულზე ადამიანები ფერად ლამპიონებს ათვალიერებენ.
