hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
4686:燃料	燃料	燃料	ඉන්ධන	මෙම වාහනය පිරිසිදු ඉන්ධන භාවිත කරයි.	எரிபொருள்	இந்த வாகனம் சுத்தமான எரிபொருளைப் பயன்படுத்துகிறது.
4688:热点	热点	热点	උණුසුම් මාතෘකාව; අවධානය යොමු වූ ස්ථානය	පරිසර ආරක්ෂාව අද සාකච්ඡාවේ උණුසුම් මාතෘකාවයි.	சூடான தலைப்பு; கவன மையம்	சுற்றுச்சூழல் பாதுகாப்பு இன்றைய விவாதத்தின் சூடான தலைப்பாகும்.
4689:热度	热度	热度	ජනප්‍රියත්වය; උෂ්ණ මට්ටම	මෙම නාට්‍යයේ ජනප්‍රියත්වය ඉතා ඉහළය.	பிரபல நிலை; வெப்ப அளவு	இந்த தொடரின் பிரபல நிலை மிகவும் உயர்ந்தது.
4691:热水器	热水器	热水器	උණු වතුර යන්ත්‍රය	නානකාමරයේ උණු වතුර යන්ත්‍රය කැඩී ඇත.	நீர் வெப்பிப்பான்	குளியலறையில் உள்ள நீர் வெப்பிப்பான் பழுதாகிவிட்டது.
4692:热线	热线	热线	උදව් දුරකථන සේවාව	පාරිභෝගික සේවා උදව් දුරකථන සේවාව පැය විසි හතරක් විවෘතය.	உதவி அழைப்பு எண்	வாடிக்கையாளர் சேவை உதவி அழைப்பு எண் இருபத்திநான்கு மணி நேரமும் திறந்திருக்கும்.
4693:热议	热议	热议	උණුසුම් ලෙස සාකච්ඡා කරයි	මෙම කාරණය අන්තර්ජාලයේ උණුසුම් සාකච්ඡාවක් ඇති කළේය.	சூடாக விவாதி	இந்த விஷயம் இணையத்தில் சூடான விவாதத்தை எழுப்பியது.
4694:人工智能	人工智能	人工智能	කෘතිම බුද්ධිය	කෘතිම බුද්ධිය බොහෝ කර්මාන්ත වෙනස් කරමින් සිටී.	செயற்கை நுண்ணறிவு	செயற்கை நுண்ணறிவு பல துறைகளை மாற்றி வருகிறது.
4696:人均	人均	人均	පුද්ගලයෙකුට සාමාන්‍යයෙන්	මෙම නගරයේ පුද්ගලයෙකුට සාමාන්‍ය ආදායම ඉහළ ගොස් ඇත.	ஒருவருக்கு சராசரி	இந்த நகரத்தில் ஒருவருக்கு சராசரி வருமானம் உயர்ந்துள்ளது.
4697:人山人海	人山人海	人山人海	අති විශාල ජනකායක්	උත්සව දිනයේ චතුරශ්‍රය අති විශාල ජනකායකින් පිරී තිබුණි.	பெரும் கூட்டம்	திருநாள் நாளில் சதுக்கம் பெரும் கூட்டமாக இருந்தது.
4701:人行道	人行道	人行道	පදික වේදිකාව	පදචාරීන් පදික වේදිකාවේ ගමන් කළ යුතුය.	நடைபாதை	நடந்து செல்லுபவர்கள் நடைபாதையில் நடக்க வேண்டும்.
4703:认错	认错	认错	වැරැද්ද පිළිගනී; සමාව ඉල්ලයි	ඔහු ස්වේච්ඡාවෙන් වැරැද්ද පිළිගෙන සමාව ඉල්ලුවේය.	தவறை ஒப்புக்கொள்; மன்னிப்பு கேள்	அவர் தன்னாகவே தவறை ஒப்புக்கொண்டு மன்னிப்பு கேட்டார்.
4706:认同	认同	认同	එකඟ වේ; පිළිගනී	මම ඔබේ අදහසට එකඟ වෙමි.	ஒத்துக்கொள்; ஏற்றுக்கொள்	நான் உங்கள் கருத்தை ஒத்துக்கொள்கிறேன்.
4707:认知	认知	认知	අවබෝධය; තේරුම් ගනී	අපි මෙම ගැටලුව නැවත තේරුම් ගත යුතුය.	அறிவுணர்வு; புரிந்து கொள்	இந்த பிரச்சினையை நாம் மீண்டும் புரிந்துகொள்ள வேண்டும்.
4709:日后	日后	日后	අනාගතයේ; පසුව	අනාගතයේ අවස්ථාවක් තිබුණොත් නැවත හමුවෙමු.	பின்னர்; எதிர்காலத்தில்	பின்னர் வாய்ப்பு இருந்தால் மீண்டும் சந்திப்போம்.
4710:日前	日前	日前	පසුගිය දිනවල; මෑතකදී	සමාගම පසුගිය දිනවල නිවේදනයක් නිකුත් කළේය.	சமீபத்தில்; சில நாட்களுக்கு முன்	நிறுவனம் சில நாட்களுக்கு முன் அறிவிப்பை வெளியிட்டது.
4711:日夜	日夜	日夜	දින රෑ	කම්කරුවෝ දින රෑ මාර්ගය හදිසියේ අලුත්වැඩියා කළහ.	இரவும் பகலும்	தொழிலாளர்கள் இரவும் பகலும் சாலையை அவசரமாக பழுது பார்த்தனர்.
4713:融合	融合	融合	මිශ්‍ර වී එක් වේ; ඒකාබද්ධ වේ	සම්ප්‍රදායික සංස්කෘතිය සහ නවීන සැලසුම එකට මිශ්‍ර වේ.	ஒன்றிணை; கலந்துவிடு	பாரம்பரிய பண்பாடும் நவீன வடிவமைப்பும் ஒன்றிணைகின்றன.
4715:容量	容量	容量	ධාරිතාව	මෙම දෘඪ තැටියේ ධාරිතාව ඉතා විශාලය.	கொள்ளளவு	இந்த வன் தட்டின் கொள்ளளவு மிகவும் பெரியது.
4716:融入	融入	融入	එකට ගැලපෙයි; ඇතුළට එක් වේ	නව සේවකයා ඉක්මනින් කණ්ඩායමට ගැලපුණේය.	கலந்து இணை; உட்புகு	புதிய ஊழியர் விரைவாக அணியில் கலந்து இணைந்தார்.
4718:柔软	柔软	柔软	මෘදු	මෙම තුවාය ඉතා මෘදුය.	மென்மையான	இந்த துண்டு மிகவும் மென்மையானது.
4719:入境	入境	入境	රටට ඇතුළු වේ	සංචාරකයන් රටට ඇතුළු වන විට විදේශ ගමන් බලපත්‍රය පෙන්විය යුතුය.	நாட்டில் நுழை	பயணிகள் நாட்டில் நுழையும்போது கடவுச்சீட்டை காட்ட வேண்டும்.
4720:入门	入门	入门	ආරම්භක මට්ටම; ආරම්භ කරයි	මෙම පොත චීන භාෂා ආරම්භක මට්ටමට සුදුසුය.	தொடக்கநிலை; ஆரம்பிக்க	இந்த புத்தகம் சீன மொழி தொடக்கநிலைக்கு ஏற்றது.
4721:入选	入选	入选	තේරී පත් වේ	ඇගේ කෘතිය ප්‍රදර්ශනයට තේරී පත් විය.	தேர்வாகு	அவளின் படைப்பு கண்காட்சிக்கு தேர்வானது.
4723:撒	撒	撒	ඉසියි; විසුරුවයි	සූපවේදියා සුප් මත ලූනු කැබලි ඉසීය.	தூவு; சிதறு	சமையல்காரர் சூப்பின் மேல் நறுக்கிய வெங்காயத்தாளை தூவினார்.
4724:塞	塞	塞	ඔබයි; තදින් දමයි	ඔහු ඇඳුම් ගමන් මල්ලට තදින් දැමුවේය.	திணி; அடை	அவர் ஆடைகளை பெட்டிக்குள் திணித்தார்.
4725:赛事	赛事	赛事	තරග ඉසව්ව; ක්‍රීඩා තරගය	මෙම තරග ඉසව්ව නරඹන්නන් බොහෝ ආකර්ෂණය කළේය.	போட்டி நிகழ்வு; விளையாட்டு போட்டி	இந்த போட்டி நிகழ்வு பல பார்வையாளர்களை ஈர்த்தது.
4726:散	散	散	විසිරෙයි; විසිරුවයි	කඩදාසි බිම පුරා විසිරී ගියේය.	சிதறு; பரவி விடு	காகிதங்கள் தரை முழுவதும் சிதறின.
4728:散	散	散	විසිරී යයි; වෙන්ව යයි	රැස්වීම අවසන් වූ පසු සියලු දෙනා විසිරී ගියහ.	கலைந்து செல்; பிரிந்து செல்	கூட்டம் முடிந்த பிறகு அனைவரும் கலைந்து சென்றனர்.
4732:扫描	扫描	扫描	ස්කෑන් කරයි	කරුණාකර ගෙවීමට ද්විමාන කේතය ස්කෑන් කරන්න.	ஸ்கேன் செய்	கட்டணம் செலுத்த தயவுசெய்து இருமுறை குறியீட்டை ஸ்கேன் செய்யுங்கள்.
4735:鲨鱼	鲨鱼	鲨鱼	මෝරා	මුහුදේ මෝරෙකු සිටී.	சுறா	கடலில் ஒரு சுறா உள்ளது.
4737:山顶	山顶	山顶	කඳු මුදුන	අපි අවසානයේ කඳු මුදුනට නැග ගත්තෙමු.	மலை உச்சி	நாங்கள் இறுதியாக மலை உச்சியை ஏறினோம்.
4738:山峰	山峰	山峰	කඳු ශිඛරය	දුර ඇති කඳු ශිඛරය හිමෙන් වැසී ඇත.	மலைச் சிகரம்	தூரத்தில் உள்ள மலைச் சிகரம் பனியால் மூடப்பட்டுள்ளது.
4739:山坡	山坡	山坡	කඳු බෑවුම	බැටළුවෝ කඳු බෑවුමේ තණකොළ කති.	மலை சரிவு	ஆடுகள் மலை சரிவில் புல் மேய்கின்றன.
4740:闪	闪	闪	දැල්වෙයි; ඉක්මනින් වළකයි	අහසේ ආලෝකයක් දැල්වුණි.	மின்னு; தப்பித்து விலகு	வானத்தில் ஒரு ஒளி மின்னியது.
4742:扇	扇	扇	දොරක් හෝ ජනේලයක් සඳහා මිනුම් පදය	ඔහු ජනේලයක් විවෘත කළේය.	கதவு அல்லது சாளர எண்ணுச் சொல்	அவர் ஒரு சாளரத்தைத் திறந்தார்.
4744:伤口	伤口	伤口	තුවාලය	තුවාලයට දිනපතා ඖෂධ මාරු කළ යුතුය.	காயம்	காயத்திற்கு தினமும் மருந்துக் கட்டு மாற்ற வேண்டும்.
4745:伤亡	伤亡	伤亡	තුවාල හා මරණ	අනතුරෙන් කිහිප දෙනෙකුට තුවාල හා මරණ සිදු විය.	உயிரிழப்பும் காயமும்	விபத்து பலருக்கு உயிரிழப்பும் காயமும் ஏற்படுத்தியது.
4746:伤员	伤员	伤员	තුවාල ලැබූ පුද්ගලයා	වෛද්‍ය කාර්ය මණ්ඩලය තුවාල ලැබූවන්ට ප්‍රතිකාර කරමින් සිටිති.	காயமடைந்தவர்	மருத்துவப் பணியாளர்கள் காயமடைந்தவர்களை சிகிச்சை செய்கிறார்கள்.
4750:上市	上市	上市	වෙළඳපොළට නිකුත් වේ; පොදු වෙළඳපොළට යයි	මෙම නව මෝටර් රථ මාදිලිය ලබන මාසයේ වෙළඳපොළට නිකුත් වේ.	சந்தைக்கு வரு; பொது பங்காக வரு	இந்த புதிய கார் மாடல் அடுத்த மாதம் சந்தைக்கு வரும்.
4751:上述	上述	上述	ඉහත සඳහන්	ඉහත සඳහන් ගැටලු හැකි ඉක්මනින් විසඳිය යුතුය.	மேற்கூறிய	மேற்கூறிய பிரச்சினைகள் விரைவாக தீர்க்கப்பட வேண்டும்.
4752:上台	上台	上台	වේදිකාවට නැගෙයි; බලයට පැමිණෙයි	නළුවා වේදිකාවට නැගීමෙන් පසු ප්‍රේක්ෂකයෝ අත්පොළසන් දුන්හ.	மேடைக்கு ஏறு; ஆட்சிக்கு வரு	நடிகர் மேடைக்கு ஏறிய பிறகு பார்வையாளர்கள் கைதட்டினர்.
4753:上旬	上旬	上旬	මාසයේ මුල් දින දහය	රැස්වීම ජුනි මාසයේ මුල් දින දහයට සැලසුම් කර ඇත.	மாதத்தின் முதல் பத்து நாட்கள்	கூட்டம் ஜூன் மாதத்தின் முதல் பத்து நாட்களில் திட்டமிடப்பட்டுள்ளது.
4754:少儿	少儿	少儿	දරුවන්; ළමයින්	මෙම වැඩසටහන දරුවන්ට නැරඹීමට සුදුසුය.	குழந்தைகள்	இந்த நிகழ்ச்சி குழந்தைகள் பார்க்க ஏற்றது.
4756:社	社	社	සංගමය; සමාජය	ඔහු පාසලේ සාහිත්‍ය සංගමයට එක් විය.	கழகம்; சமூகம்	அவர் பள்ளியின் இலக்கிய கழகத்தில் சேர்ந்தார்.
4757:射	射	射	විදියි; ඉලක්කයට වෙඩි තබයි	ක්‍රීඩකයා ඉලක්කයට නිවැරදිව විද්දේය.	எய்து; சுடு	வீரர் இலக்கை துல்லியமாக எய்தினார்.
4760:摄像	摄像	摄像	වීඩියෝ පටිගත කරයි	කාර්ය මණ්ඩලය වීඩියෝ පටිගත කරමින් සිටිති.	காணொளி பதிவு செய்	பணியாளர்கள் காணொளி பதிவு செய்து கொண்டிருக்கிறார்கள்.
4762:摄像头	摄像头	摄像头	කැමරාව	දොරටුව අසල කැමරාවක් ස්ථාපනය කර ඇත.	கேமரா	வாயிலில் ஒரு கேமரா பொருத்தப்பட்டுள்ளது.
4763:身心	身心	身心	ශරීරය හා මනස	ව්‍යායාම ශරීරය හා මනසේ සෞඛ්‍යයට ප්‍රයෝජනවත්ය.	உடலும் மனமும்	உடற்பயிற்சி உடலும் மனமும் ஆரோக்கியமாக இருக்க உதவும்.
4764:深夜	深夜	深夜	රාත්‍රියේ අගභාගය	රාත්‍රියේ අගභාගයේ වීදිය ඉතා නිහඬය.	இரவு ஆழம்; நள்ளிரவு	இரவு ஆழத்தில் தெரு மிகவும் அமைதியாக இருக்கும்.
4765:神	神	神	දෙවියන්; ආත්මය	පැරණි මිනිසුන් කඳු තුළ ආත්මයන් ඇතැයි විශ්වාස කළහ.	கடவுள்; ஆவி	பழங்கால மக்கள் மலைகளில் ஆவிகள் உள்ளன என்று நம்பினர்.
4770:生成	生成	生成	නිපදවයි; ජනනය කරයි	පද්ධතිය වාර්තාව ස්වයංක්‍රීයව ජනනය කරනු ඇත.	உருவாக்கு; உற்பத்தி செய்	அமைப்பு அறிக்கையை தானாக உருவாக்கும்.
4772:生命力	生命力	生命力	ජීව ශක්තිය	මෙම ශාකයට ශක්තිමත් ජීව ශක්තියක් ඇත.	உயிர்ச்சக்தி	இந்த செடிக்கு வலுவான உயிர்ச்சக்தி உள்ளது.
4774:升学	升学	升学	ඉහළ අධ්‍යාපන මට්ටමකට යයි	සිසුන් බොහෝ දෙනා ඉහළ පාසලකට යාමට සූදානම් වෙති.	மேல்படிப்புக்கு செல்	பல மாணவர்கள் மேல்படிப்புக்கு செல்லத் தயாராகிறார்கள்.
4775:剩余	剩余	剩余	ඉතිරි	ඉතිරි ටිකට්පත් දැන් බොහෝ නැත.	மீதமுள்ள	மீதமுள்ள டிக்கெட்டுகள் அதிகமாக இல்லை.
4776:诗词	诗词	诗词	සම්භාව්‍ය කවි	සීයා පැරණි සම්භාව්‍ය කවි කියවීමට කැමතිය.	பாரம்பரியக் கவிதை	தாத்தா பழைய பாரம்பரியக் கவிதைகளைப் படிக்க விரும்புகிறார்.
4777:湿度	湿度	湿度	ආර්ද්‍රතාව	අද වාතයේ ආර්ද්‍රතාව ඉහළය.	ஈரப்பதம்	இன்று காற்றின் ஈரப்பதம் அதிகமாக உள்ளது.
4778:师父	师父	师父	ගුරුතුමා; කුසලතා උපදේශකයා	ඔහු තම ගුරුතුමාගෙන් ලී වැඩ ඉගෙන ගත්තේය.	ஆசான்; திறமை வழிகாட்டி	அவர் ஆசானிடமிருந்து மர வேலை கற்றார்.
4779:诗歌	诗歌	诗歌	කවිය; කාව්‍යය	මෙම කවිය උපන් ගම සිහිවීමේ හැඟීම ප්‍රකාශ කරයි.	கவிதை; பாடல்	இந்த கவிதை தாய்நாட்டை நினைக்கும் உணர்வை வெளிப்படுத்துகிறது.
4781:识	识	识	හඳුනයි; අකුරු දනී	ඔහු බොහෝ අකුරු දන්නේ නැත.	அறி; எழுத்தறி	அவருக்கு பல எழுத்துகள் தெரியாது.
4789:实时	实时	实时	සජීවී වේලාවේ; තත්කාලීන	පද්ධතිය දත්ත තත්කාලීනව යාවත්කාලීන කරයි.	நேரடி நேர; நிகழ்நேர	அமைப்பு தரவை நிகழ்நேரத்தில் புதுப்பிக்கிறது.
4790:时速	时速	时速	පැයකට වේගය	මෙම වාහනයේ පැයකට වේගය කිලෝමීටර් සියයක් ඉක්මවයි.	மணி வேகம்	இந்த வாகனத்தின் மணி வேகம் நூறு கிலோமீட்டரை மீறுகிறது.
4792:食欲	食欲	食欲	කෑම රුචිය	අසනීප වූ පසු ඔහුට කෑම රුචිය නොතිබුණි.	உணவாசை	நோயுற்ற பிறகு அவருக்கு உணவாசை இல்லை.
4795:使劲	使劲	使劲	බලය යොදයි	කරුණාකර බලය යොදා දොර තල්ලු කර විවෘත කරන්න.	வலிமையாக செய்; பலம் பயன்படுத்து	தயவுசெய்து பலமாக தள்ளி கதவைத் திறக்குங்கள்.
4797:适度	适度	适度	මධ්‍යස්ථ; සුදුසු ප්‍රමාණයේ	මධ්‍යස්ථ ව්‍යායාම සෞඛ්‍යයට උපකාරී වේ.	அளவான; மிதமான	மிதமான உடற்பயிற்சி ஆரோக்கியத்திற்கு உதவும்.
4800:事后	事后	事后	සිද්ධියෙන් පසු; පසුව	සිද්ධියෙන් පසු ඔහු හේතුව පැහැදිලි කළේය.	பின்னர்; நிகழ்ச்சிக்குப் பிறகு	பின்னர் அவர் காரணத்தை விளக்கினார்.
4801:视觉	视觉	视觉	දෘෂ්ටි; දෘශ්‍ය හැඟීම	මෙම චිත්‍රපටයේ දෘශ්‍ය ප්‍රතිඵල ඉතා හොඳය.	காட்சி உணர்வு; பார்வை	இந்த திரைப்படத்தின் காட்சி விளைவுகள் மிகவும் நல்லவை.
4809:收购	收购	收购	අත්පත් කර ගනී; මිලදී ගනී	මෙම සමාගම කුඩා ව්‍යාපාරයක් අත්පත් කර ගත්තේය.	கையகப்படுத்து; வாங்கு	இந்த நிறுவனம் ஒரு சிறிய நிறுவனத்தை கையகப்படுத்தியது.
4810:收取	收取	收取	අය කරයි; එකතු කරයි	පාසල ලියාපදිංචි ගාස්තුව අය නොකරයි.	வசூலிக்க; பெற	பள்ளி பதிவு கட்டணம் வசூலிக்காது.
4812:手臂	手臂	手臂	අත	ඔහුගේ අත තුවාල විය.	கை	அவரின் கை காயமடைந்தது.
4817:受灾	受灾	受灾	ආපදාවට ලක් වේ	ආපදාවට ලක් වූ ප්‍රදේශයට ද්‍රව්‍යමය සහාය අවශ්‍යය.	பேரிடரால் பாதிக்கப்படு	பேரிடரால் பாதிக்கப்பட்ட பகுதிக்கு பொருள் உதவி தேவை.
4818:输出	输出	输出	ප්‍රතිදානය කරයි; පිටතට යවයි	පරිගණකය දත්ත ප්‍රතිදානය කරමින් සිටී.	வெளியீடு செய்	கணினி தரவை வெளியீடு செய்து கொண்டிருக்கிறது.
4819:书画	书画	书画	අක්ෂර කලාව සහ චිත්‍ර	ප්‍රදර්ශන ශාලාවේ අක්ෂර කලාව සහ චිත්‍ර කෘති බොහෝ ඇත.	எழுத்தழகும் ஓவியமும்	காட்சியகத்தில் எழுத்தழகும் ஓவியமும் பல உள்ளன.
4822:输送	输送	输送	ප්‍රවාහනය කරයි; ගෙන යයි	නල මාර්ගය ජලය ගමට ගෙන යයි.	கொண்டு செலுத்து; கடத்து	குழாய் தண்ணீரை கிராமத்திற்கு கொண்டு செலுத்துகிறது.
4823:书写	书写	书写	ලියයි	කරුණාකර පිළිතුරු සැලකිල්ලෙන් ලියන්න.	எழுது	தயவுசெய்து பதில்களை கவனமாக எழுதுங்கள்.
4824:属	属	属	අයත් වේ	මෙම පොත පාසලට අයත් වේ.	சொந்தமாக இரு; சேர்ந்தது	இந்த புத்தகம் பள்ளிக்குச் சொந்தமானது.
4825:薯片	薯片	薯片	අර්තාපල් චිප්ස්	දරුවෝ අර්තාපල් චිප්ස් කන්න කැමතිය.	உருளைக்கிழங்கு சிப்ஸ்	குழந்தைகள் உருளைக்கிழங்கு சிப்ஸ் சாப்பிட விரும்புகிறார்கள்.
4828:数目	数目	数目	ගණන; ප්‍රමාණය	ලියාපදිංචි වූ ගණන පසුගිය වසරට වඩා වැඩිය.	எண்ணிக்கை; அளவு	பதிவு எண்ணிக்கை கடந்த ஆண்டைவிட அதிகமாக உள்ளது.
4829:数字化	数字化	数字化	ඩිජිටල්කරණය කරයි	රෝහල වෛද්‍ය වාර්තා ඩිජිටල්කරණය ඉදිරියට ගෙන යමින් සිටී.	டிஜிட்டலாக்கு	மருத்துவமனை மருத்துவ பதிவுகளை டிஜிட்டலாக்க முன்னெடுத்து வருகிறது.
4832:率先	率先	率先	පෙරමුණ ගනී	මෙම සමාගම නව නිෂ්පාදනයක් නිකුත් කිරීමට පෙරමුණ ගත්තේය.	முன்னெடு; முதலில் செய்	இந்த நிறுவனம் புதிய தயாரிப்பை முதலில் அறிமுகப்படுத்தியது.
4833:水稻	水稻	水稻	වී	දකුණේ වී පුළුල් ලෙස වගා කෙරේ.	நெல்	தெற்கில் நெல் பரவலாக பயிரிடப்படுகிறது.
4834:水库	水库	水库	ජලාශය	ජලාශයේ ජල මට්ටම ඉහළ ගොස් ඇත.	நீர்த்தேக்கம்	நீர்த்தேக்கத்தின் நீர்மட்டம் உயர்ந்துள்ளது.
4835:水流	水流	水流	ජල ධාරාව	වැස්සෙන් පසු ජල ධාරාව වේගවත් විය.	நீரோட்டம்	மழைக்குப் பிறகு நீரோட்டம் வேகமானது.
4836:水面	水面	水面	ජල මතුපිට	චන්ද්‍රාලෝකය ජල මතුපිටට වැටුණි.	நீர்மேற்பரப்பு	நிலவொளி நீர்மேற்பரப்பில் படர்ந்தது.
4839:思路	思路	思路	සිතීමේ මාර්ගය; අදහස් ගලායාම	ඔහුගේ අදහස් ගලායාම ඉතා පැහැදිලිය.	சிந்தனை ஓட்டம்	அவருடைய சிந்தனை ஓட்டம் மிகவும் தெளிவாக உள்ளது.
4842:松	松	松	ලිහිල්; ලිහිල් කරයි	සපත්තුවේ ලේස් ලිහිල් වී ඇත.	தளர்ந்த; தளர்த்து	காலணிக் கயிறு தளர்ந்துவிட்டது.
4844:搜集	搜集	搜集	එකතු කරයි; සම්භාර කරයි	ඇය බොහෝ තොරතුරු එකතු කළාය.	சேகரி	அவள் பல தகவல்களைச் சேகரித்தாள்.
4847:算了	算了	算了	ඇති; අතහරිමු	බොහෝ රෑ වී ඇත, අදට එය අතහරිමු.	விடு; பரவாயில்லை	மிகவும் தாமதமாகிவிட்டது, இன்று இதை விட்டுவிடலாம்.
4848:算是	算是	算是	ලෙස සැලකේ	මෙම අත්දැකීම පාඩමක් ලෙස සැලකිය හැක.	என்று கருதப்படு	இந்த அனுபவத்தை ஒரு பாடமாகக் கருதலாம்.
4849:虽	虽	虽	වුවත්	වැසි වැටුණත්, තරගය තවමත් දිගටම පැවැත්විණි.	என்றாலும்	மழை பெய்தாலும் போட்டி தொடர்ந்தது.
4850:岁数	岁数	岁数	වයස	ඔහු වයසින් වැඩි නමුත් ශරීර සෞඛ්‍යය හොඳය.	வயது	அவருக்கு வயது அதிகமானாலும் உடல்நலம் நன்றாக உள்ளது.
4853:损伤	损伤	损伤	හානි කරයි; හානිය	දිගු වේලාවක් තිරය බැලීම ඇස්වලට හානි කළ හැක.	சேதப்படுத்து; காயம்	நீண்ட நேரம் திரையைப் பார்ப்பது கண்களுக்கு சேதம் செய்யலாம்.
4858:台球	台球	台球	බිලියඩ්	ඔවුහු සති අන්තයේ බිලියඩ් ක්‍රීඩා කිරීමට යති.	பில்லியர்ட்ஸ்	அவர்கள் வார இறுதியில் பில்லியர்ட்ஸ் விளையாடச் செல்கிறார்கள்.
4860:太阳能	太阳能	太阳能	සූර්ය බලය	වහලය මත සූර්ය පැනල් සවි කර තිබුණි.	சூரிய ஆற்றல்	கூரையில் சூரிய ஆற்றல் பலகைகள் பொருத்தப்பட்டன.
4861:谈论	谈论	谈论	සාකච්ඡා කරයි	හැමෝම ගමන් සැලැස්ම සාකච්ඡා කරමින් සිටිති.	விவாதி; பேசிப் பரிசீலி	எல்லோரும் பயணத் திட்டத்தைப் பற்றி விவாதிக்கிறார்கள்.
4866:汤圆	汤圆	汤圆	තංයුවාන්; ඇලෙන බත් පිටි ගුලි	ලන්තෑරුම් උත්සවයේදී අපි තංයුවාන් කන්නෙමු.	தாங்யுவான்; ஒட்டும் அரிசி உருண்டை	விளக்கு திருவிழாவில் நாங்கள் தாங்யுவான் சாப்பிடுகிறோம்.
4867:糖果	糖果	糖果	කැන්ඩි; රසකැවිලි	දරුවා රසකැවිලි මිතුරන්ට බෙදා දුන්නේය.	மிட்டாய்	குழந்தை மிட்டாய்களை நண்பர்களுடன் பகிர்ந்தது.
4871:逃跑	逃跑	逃跑	පලා යයි	සොරයා පොලිසිය දැක පලා ගියේය.	தப்பி ஓடு	திருடன் காவலரை பார்த்ததும் தப்பி ஓடினான்.
4874:套餐	套餐	套餐	සෙට් ආහාරය	මෙම සෙට් ආහාරයට බීමක් ඇතුළත් වේ.	கூட்டு உணவு	இந்த கூட்டு உணவில் ஒரு பானம் சேர்க்கப்பட்டுள்ளது.
4875:特	特	特	හරිම; ඉතා	මෙම කඩයේ නූඩ්ල්ස් හරිම රසයි.	மிகவும்; குறிப்பாக	இந்த கடையின் நூடுல்ஸ் மிகவும் சுவையாக இருக்கின்றன.
4877:特地	特地	特地	විශේෂයෙන්ම	ඔහු මාව ගන්න විශේෂයෙන්ම ගුවන් තොටුපළට ආවේය.	குறிப்பாக; வேண்டுமென்றே	அவர் என்னை அழைத்துச் செல்ல குறிப்பாக விமான நிலையத்துக்கு வந்தார்.
4879:特性	特性	特性	ලක්ෂණය; ගුණාංගය	මෙම ද්‍රව්‍යයට ජලයට ඔරොත්තු දෙන ලක්ෂණ ඇත.	தன்மை; பண்பு	இந்த பொருளுக்கு நீர்தாங்கும் தன்மைகள் உள்ளன.
4882:提取	提取	提取	උපුටා ගනී; ලබා ගනී	ඔහු වාර්තාවෙන් ප්‍රධාන දත්ත උපුටා ගත්තේය.	எடு; பிரித்தெடு	அவர் அறிக்கையிலிருந்து முக்கிய தரவுகளைப் பிரித்தெடுத்தார்.
4884:体操	体操	体操	ජිම්නාස්ටික්	ඇය කුඩා කාලයේ සිට ජිම්නාස්ටික් පුහුණු වී ඇත.	ஜிம்னாஸ்டிக்ஸ்	அவள் சிறு வயதிலிருந்து ஜிம்னாஸ்டிக்ஸ் பயிற்சி செய்கிறாள்.
4887:添	添	添	එකතු කරයි; තව දමයි	කරුණාකර මට වතුර ටිකක් තව දමන්න.	சேர்; மேலும் ஊற்று	தயவுசெய்து எனக்கு கொஞ்சம் தண்ணீர் மேலும் ஊற்றுங்கள்.
4889:添加	添加	添加	එකතු කරයි	මෘදුකාංගයට නව විශේෂාංග එකතු කර ඇත.	சேர்; கூடுதல் சேர்க்கை செய்	மென்பொருளில் புதிய அம்சங்கள் சேர்க்கப்பட்டன.
4890:天然	天然	天然	ස්වාභාවික	මෙහි ස්වාභාවික උණු දිය උල්පත් ඇත.	இயற்கையான	இங்கே இயற்கையான சூடுநீர் ஊற்றுகள் உள்ளன.
4893:天下	天下	天下	ලෝකය; සියලු දේ	ලෝකයේ නොමිලේ දිවා ආහාරයක් නැත.	உலகம்; அனைத்துலகம்	உலகத்தில் இலவச மதிய உணவு இல்லை.
4895:田	田	田	කෙත	සීයා කෙතේ එළවළු වගා කරයි.	வயல்	தாத்தா வயலில் காய்கறி வளர்க்கிறார்.
4898:跳水	跳水	跳水	දිය පැනීම	චීන කණ්ඩායම දිය පැනීමේ ඉසව්වල ශක්තිමත්ය.	டைவிங்; தண்ணீரில் பாய்தல்	சீன அணி டைவிங் போட்டிகளில் வலிமையானது.
4899:贴近	贴近	贴近	සමීප වේ; ළං වේ	මෙම චිත්‍රපටය ජීවිතයට ඉතා සමීපය.	நெருக்கமாக இரு	இந்த படம் வாழ்க்கைக்கு மிகவும் நெருக்கமாக உள்ளது.
4900:听话	听话	听话	කීකරු	මෙම දරුවා ඉතා කීකරුය.	கீழ்ப்படியும்	இந்த குழந்தை மிகவும் கீழ்ப்படிதலானது.
4901:听觉	听觉	听觉	ශ්‍රවණය	ශ්‍රවණයට හානි වීම සන්නිවේදනයට බලපායි.	கேள்வித்திறன்	கேள்வித்திறன் பாதிப்பு தொடர்பாடலை பாதிக்கலாம்.
4902:听取	听取	听取	අසා ගනී; සැලකිල්ලෙන් අසයි	නායකයා හැමෝගේම අදහස් සැලකිල්ලෙන් අසා ගත්තේය.	கேட்டு ஏற்று	தலைவர் அனைவரின் கருத்துகளையும் கவனமாகக் கேட்டார்.
