simplified	JA	example_JA
完备	完備した	この資料一式は非常に完備しています。
完毕	終了する	会議はすでに終了しました。
玩弄	もてあそぶ	他人の感情をもてあそんではいけません。
玩意儿	もの	これは何の新しいものですか。
顽固	頑固な	彼の態度は非常に頑固です。
顽强	粘り強い	負傷者は非常に粘り強さを見せました。
惋惜	残念に思う	皆は失敗を残念に思いました。
挽回	取り戻す	彼は会社の損失を取り戻そうと努力しました。
挽救	救う	医師は患者の命を救うことに成功しました。
万分	非常に	あなたの助けに非常に感謝しています。
往常	いつも	今日はいつもより暑いです。
往事	昔の出来事	老人はよく昔の出来事を思い出します。
妄想	妄想する	彼は一夜で大金持ちになることを妄想しています。
危机	危機	会社は深刻な危機に直面しています。
威风	威厳がある	将軍は馬に乗っていてとても威厳がありました。
威力	威力	この武器は威力が大きいです。
威望	威望	彼は村で大きな威望があります。
威信	威信	指導者は政府の威信を守らなければなりません。
微不足道	取るに足りない	この程度の損失は取るに足りません。
微观	ミクロの	この授業はミクロ経済学を紹介します。
为难	困らせる	これ以上ウェイターを困らせないでください。
为期	期間がある	研修期間は三か月です。
唯独	ただ一人	皆は到着しましたが、ただ一人彼だけが来ませんでした。
维持	維持する	警察は現場の秩序を維持しました。
维护	守る	私たちは合法的な権益を守らなければなりません。
维生素	ビタミン	果物には豊富なビタミンが含まれています。
违背	反する	この決定は契約の精神に反しています。
伪造	偽造する	誰かが彼の署名を偽造しました。
委托	委託する	顧客は弁護士に案件処理を委託しました。
委员	委員	各委員が意見を述べました。
卫星	衛星	衛星は予定の軌道に入りました。
喂	餌をやる	子どもは子猫に餌をやっています。
慰问	見舞う	指導者は病院へ負傷者を見舞いに行きました。
未免	少し度が過ぎる	この要求は少し度が過ぎます。
畏惧	恐れる	彼は困難を決して恐れません。
蔚蓝	紺碧の	空は紺碧の色を見せていました。
温带	温帯	この植物は温帯気候に適しています。
温和	穏健な	彼の政策立場は比較的穏健です。
文凭	学歴証書	この仕事には大学の学歴証書が必要です。
文物	文化財	博物館は貴重な文化財を展示しました。
文献	文献	論文は大量の文献を引用しました。
文雅	上品な	彼女の振る舞いは上品です。
文艺	文学芸術	この都市には文学芸術の雰囲気が濃厚です。
问世	世に出る	このスマートフォン機種はまもなく世に出ます。
窝	巣	木の上に鳥の巣があります。
乌黑	真っ黒な	彼女には真っ黒な長い髪があります。
污蔑	中傷する	彼は競争相手を中傷したことを否定しました。
诬陷	陥れる	証拠は彼が人に陥れられたことを示しています。
无比	非常に	知らせを聞いて、彼は非常に興奮しました。
无偿	無償の	ボランティアは無償サービスを提供しています。
无耻	恥知らずな	このような詐欺行為は非常に恥知らずです。
无动于衷	無関心な	批判を前にして、彼は無関心でした。
无非	要するに	彼がそうしたのは要するにお金を節約したかっただけです。
无辜	無実の	裁判所は彼が無実だと認定しました。
无精打采	元気がない	彼は今日は元気がないように見えます。
无赖	ならず者	村人はそのならず者と付き合いたがりません。
无理取闹	理由もなく騒ぐ	ここで理由もなく騒がないでください。
无能为力	どうすることもできない	洪水を前に、村人はどうすることもできませんでした。
无穷无尽	果てしない	砂漠は果てしなく見えました。
无微不至	至れり尽くせり	看護師は患者を至れり尽くせりに世話しました。
无忧无虑	何の心配もない	子どもたちは草地で何の心配もなく遊びました。
无知	無知	無知は学習を拒む理由にはなりません。
侮辱	侮辱する	彼の言葉は相手を侮辱しました。
武器	武器	これらの武器は一括して保管されています。
武侠	武侠	彼は子どもの頃から武侠小説を読むのが好きです。
武装	武装	国境地域では武装巡回が強化されました。
舞蹈	舞踊	この舞踊は民族的特色が強いです。
务必	必ず	必ず時間どおりに到着してください。
物美价廉	品質が良く安い	この店の商品は品質が良く安いです。
物业	不動産管理	不動産管理会社は団地の修理を担当しています。
物资	物資	救援物資はすでに被災地に届きました。
误差	誤差	測定結果にはわずかな誤差があります。
误解	誤解	双方は話し合いで誤解を解消しました。
夕阳	夕日	夕日が空を金色に染めました。
昔日	昔の	昔の小さな村は都市になりました。
溪	小川	小川が山間を流れています。
熄灭	消す	ろうそくを消してください。
牺牲	犠牲	彼らは人を救うために犠牲を払いました。
膝盖	膝	彼の膝はけがをしました。
习俗	習俗	春節には多くの伝統的な習俗があります。
媳妇	妻	彼の妻は病院で働いています。
袭击	襲う	暴風雨が沿海都市を襲いました。
喜闻乐见	喜ばれる	このような番組は観客に喜ばれています。
喜悦	喜び	彼女の顔に喜びの笑みが浮かびました。
系列	シリーズ	会社は新製品シリーズを発売しました。
细菌	細菌	高温は細菌を殺すことができます。
细胞	細胞	人体は無数の細胞から成っています。
细致	細かい	彼女の観察は非常に細かいです。
峡谷	峡谷	川は深い峡谷を通り抜けています。
狭隘	狭量な	このような狭量な見方は変える必要があります。
狭窄	狭い	この小道は非常に狭いです。
霞	夕焼け雲	夕焼け雲が空を赤く染めました。
下属	部下	マネージャーは部下の意見を真剣に聞きました。
先进	先進的な	工場は先進的な設備を採用しました。
先前	以前の	以前の計画はすでに変更されました。
掀起	巻き起こす	この本は議論の熱潮を巻き起こしました。
纤维	繊維	この布には天然繊維が含まれています。
鲜明	鮮明な	彼の立場は非常に鮮明です。
嫌	嫌がる	彼女は部屋が狭すぎると嫌がっています。
嫌疑	嫌疑	この男性には重大な嫌疑があります。
弦	弦	ギターの弦が一本切れました。
衔接	つながる	二つの授業内容はよくつながっています。
贤惠	賢く家庭的な	彼女は賢く家庭的で有能だと見なされています。
闲话	陰口	人の陰口を後ろで言わないでください。
显著	顕著な	治療効果は非常に顕著です。
宪法	憲法	憲法は公民の基本的権利を保障します。
现场	現場	記者はすでに事故現場に到着しました。
现成	既製の	台所には既製の食事があります。
现状	現状	私たちは業界の現状を理解する必要があります。
线索	手がかり	警察は新しい手がかりを見つけました。
陷害	陥れる	彼は誰かが自分を陥れたと主張しました。
陷阱	わな	猟師は一つのわなを仕掛けました。
陷入	陥る	会社は資金難に陥りました。
馅儿	具	この肉まんの具はとても良い香りがします。
乡镇	郷鎮	郷鎮の学校条件は改善されつつあります。
相差	差がある	二つの地域の気温は十度差があります。
相等	等しい	二つの三角形の面積は等しいです。
相辅相成	互いに補い合う	理論と実践は互いに補い合います。
相应	相応の	会社は相応の措置を取ります。
镶嵌	はめ込む	指輪には宝石が一つはめ込まれています。
响亮	よく響く	彼の答える声はよく響きました。
响应	応じる	多くの人が環境保護の提案に応じました。
想方设法	あらゆる方法を考える	彼らはコストを下げるためにあらゆる方法を考えました。
向导	ガイド	地元のガイドが私たちを山へ連れて行きました。
向来	ずっと	彼はずっと信用を重視しています。
向往	憧れる	彼女は静かな生活に憧れています。
巷	路地	古い路地に多くの小さな店が開きました。
相声	相声	祖父は伝統的な相声を聞くのが好きです。
消除	取り除く	コミュニケーションは誤解を取り除くことができます。
消毒	消毒する	医者は傷口を消毒しました。
消防	消防	消防隊員はすぐに現場へ到着しました。
消耗	消耗する	長旅は多くの体力を消耗します。
消灭	駆除する	作業員は害虫を駆除しています。
潇洒	しゃれた	彼の歩き方はとてもしゃれています。
销毁	廃棄する	税関は偽造品を廃棄しました。
小心翼翼	慎重に	彼女は慎重に箱を開けました。
效益	効率	新しい設備は生産効率を高めました。
肖像	肖像	壁には彼の肖像が掛かっています。
协会	協会	この協会は若い起業家を支援しています。
协商	協議する	双方は協議を続ける意向です。
协调	調整する	プロジェクトマネージャーは資源の調整を担当しています。
协议	協定	双方は協力協定に署名しました。
协助	支援する	ボランティアは老人が道路を渡るのを支援しました。
携带	携帯する	乗客は危険物を携帯してはいけません。
屑	くず	机の上には木くずがたくさんあります。
泄露	漏らす	従業員は顧客情報を漏らしてはいけません。
泄气	気落ちする	失敗した後も気落ちしてはいけません。
谢绝	丁重に断る	ホテルは持ち込み食品を丁重に断っています。
心得	心得	彼女は学習の心得を共有しました。
心甘情愿	喜んで	彼は喜んで残って手伝いました。
心灵	心	音楽は彼女の心を慰めました。
心态	心構え	前向きな心構えを保つことは重要です。
心疼	心を痛める	母親はけがをした子どもに心を痛めました。
心血	心血	この本には著者の心血が注がれています。
心眼儿	心が狭い	彼は少し心が狭いです。
新陈代谢	新陳代謝	運動は新陳代謝を促進できます。
新郎	新郎	新郎は入口で客を迎えました。
新娘	新婦	新婦は白いウェディングドレスを着ていました。
新颖	斬新な	このデザインは非常に斬新です。
欣慰	安堵する	子どもの進歩を見て、彼女は安堵しました。
欣欣向荣	盛んに発展する	町の観光業は盛んに発展しています。
薪水	給料	彼の給料は家族を養うのに十分です。
辛勤	勤勉な	農民は勤勉に作物を育てています。
信赖	信頼する	顧客はこの会社を非常に信頼しています。
信念	信念	固い信念が彼を支えていました。
信仰	信仰	彼女は異なる信仰を尊重しています。
信誉	信用	企業は信用を守らなければなりません。
兴高采烈	上機嫌で	子どもたちは上機嫌で教室に駆け込みました。
兴隆	繁盛する	この老舗は商売が繁盛しています。
兴旺	盛んになる	市場経済はますます盛んになっています。
腥	生臭い	この魚は少し生臭いです。
刑事	刑事の	警察は刑事事件を調査しています。
形态	形態	植物の形態は環境に応じて変わります。
行政	行政	行政部門が申請を処理します。
兴致勃勃	興味津々で	皆は興味津々で計画を話し合いました。
性感	セクシーな	このイブニングドレスはとてもセクシーに見えます。
性命	命	医者は彼の命を救いました。
性能	性能	このコンピューターは性能が良いです。
凶恶	凶悪な	この犬はとても凶悪に見えます。
凶手	犯人	警察はついに犯人を捕まえました。
汹涌	激しく波立つ	海の波が激しく岸を打っていました。
胸怀	度量	彼には広い度量があります。
胸膛	胸	兵士は胸を張りました。
雄厚	豊富な	会社は豊富な資金を持っています。
雄伟	雄大な	この大橋は非常に雄大です。
修复	修復する	技術者はシステムを修復しています。
修建	建設する	政府は新しい空港を建設する計画です。
修养	教養	良い教養は細部に表れます。
羞耻	恥	彼は嘘をついた後、恥を感じました。
嗅觉	嗅覚	犬の嗅覚は非常に鋭いです。
绣	刺繍する	祖母は花を刺繍できます。
虚假	虚偽の	ウェブサイトは虚偽の情報を掲載しました。
虚荣	虚栄心	虚栄心のせいで彼はお金を使いすぎました。
虚伪	偽善的な	彼女は偽善的な社交辞令が嫌いです。
需求	需要	市場の需要は増加しています。
须知	注意事項	まず申し込みの注意事項を読んでください。
许可	許可	許可がなければ入れません。
序言	序言	著者は序言で背景を説明しています。
畜牧	畜牧	草原は畜牧業の発展に適しています。
酗酒	酒に溺れる	長期に酒に溺れると健康を損ないます。
喧哗	騒ぐ	図書館で騒ぐことは禁止されています。
宣誓	宣誓する	新しいメンバーは会議で宣誓しました。
宣扬	宣揚する	学校は誠実と信用を宣揚しています。
悬挂	掛かる	壁に一枚の絵が掛かっています。
悬念	サスペンス	映画の結末はサスペンスを残しています。
悬殊	大きな差がある	両チームの実力差は大きいです。
悬崖峭壁	断崖絶壁	山道のそばは断崖絶壁です。
旋律	旋律	この歌の旋律は美しいです。
旋转	回転する	風車が風の中で回転しています。
选拔	選抜する	学校は選手を選抜しています。
选举	選挙	村で選挙が行われました。
选手	選手	この選手は安定した成績を見せました。
炫耀	見せびらかす	彼はいつも富を見せびらかしたがります。
削	削る	会社はいくつかの支出を削りました。
削弱	弱める	疲労は判断力を弱めます。
学说	学説	この学説は大きな影響を持っています。
学位	学位	彼女は修士の学位を取得しました。
雪上加霜	追い打ちをかける	失業してさらに病気になるとは、本当に追い打ちでした。
血压	血圧	医者は彼に血圧を管理するよう注意しました。
熏陶	感化	彼女は幼い頃から音楽の感化を受けました。
寻觅	探し求める	彼らは各地で適した住宅を探し求めました。
巡逻	巡回する	警察は夜に街を巡回します。
循环	循環する	水はシステム内で循環します。
循序渐进	段階的に進む	言語学習は段階的に進むべきです。
压迫	抑圧する	古い制度は普通の民衆を抑圧しました。
压岁钱	お年玉	子どもはお年玉を受け取りました。
压缩	圧縮する	ソフトは画像サイズを圧縮できます。
压抑	抑える	彼は心の怒りを必死に抑えました。
压榨	搾る	機械はサトウキビの汁を搾っています。
压制	抑える	薬は痛みを抑えることができます。
鸦雀无声	しんと静まり返る	先生が入ってくると教室はしんと静まり返りました。
亚军	準優勝	彼女は試合で準優勝しました。
淹没	水没させる	洪水は低地の村を水没させました。
烟花爆竹	花火と爆竹	祝日期間中は花火と爆竹が禁止されています。
严峻	厳しい	雇用情勢は依然として厳しいです。
严寒	厳寒	厳寒の天気は交通に影響します。
严禁	厳禁する	ここでは喫煙を厳禁しています。
严厉	厳しい	先生は彼を厳しく批判しました。
严密	厳密な	倉庫には厳密な監視があります。
岩石	岩石	海辺の岩石はとても硬いです。
延期	延期する	会議は来週に延期されました。
延伸	延びる	道路は北へ延びています。
延续	続く	この伝統は百年続いています。
沿海	沿海の	沿海都市は貿易が発達しています。
炎热	暑い	暑い天気は人を疲れさせます。
言论	発言	世間は彼の発言に注目しています。
掩盖	隠す	彼は過ちを隠そうとしました。
掩护	援護する	チームメートは撤退の援護を担当しました。
掩饰	隠す	彼女は緊張を隠そうと努力しました。
演变	変化する	都市の構造は絶えず変化しています。
演习	演習	学校は消防演習を行いました。
演绎	演繹する	先生はこの定理を演繹しました。
演奏	演奏する	楽団はクラシック音楽を演奏しています。
眼光	眼識	彼の投資の眼識はとても良いです。
眼色	目配せ	彼女は同僚に目配せしました。
眼神	目つき	彼の目つきはとても固い決意を示していました。
厌恶	嫌悪する	彼は欺く行為を嫌悪しています。
验收	検収する	工事完了後には検収が必要です。
验证	検証する	実験は仮説を検証しました。
氧气	酸素	患者は酸素を吸う必要があります。
样品	サンプル	顧客は製品サンプルを受け取りました。
摇摆	揺れる	小舟は風波の中で揺れていました。
摇滚	ロック	若者はロック音楽が好きです。
谣言	うわさ	確認されていないうわさを広めないでください。
遥控	遠隔操作する	彼は携帯電話でエアコンを遠隔操作しました。
遥远	遠い	その村は都市からとても遠いです。
耀眼	まぶしい	日差しが人をとてもまぶしく照らしました。
要点	要点	会議の要点を記録してください。
要命	ひどく	この山道はひどく危険です。
要素	要素	信頼は協力の重要な要素です。
野蛮	野蛮な	彼は野蛮な法執行に反対しています。
野心	野心	彼の政治的野心は明らかです。
液体	液体	この液体には色がありません。
一流	一流の	この病院の設備は一流です。
一如既往	いつも通り	彼はいつも通り私たちを支持しています。
依旧	依然として	雨は止みましたが、道は依然として濡れています。
依据	根拠	判決は法律を根拠にしなければなりません。
依靠	頼る	彼らは農業に頼って生活しています。
依赖	依存する	子どもは親に過度に依存してはいけません。
依托	よりどころにする	プロジェクトは地元資源をよりどころにして発展しています。
衣裳	服	彼女は清潔な服に着替えました。
一度	一時	会社は一時破産に直面しました。
一贯	一貫して	彼は一貫して浪費に反対しています。
一目了然	一目瞭然	表の内容は一目瞭然です。
一向	ずっと	彼女はずっと時間を守ります。
仪器	機器	実験室は新しい機器を購入しました。
仪式	式典	卒業式典は明日行われます。
疑惑	疑問	学生は答えに疑問を感じました。
遗产	遺産	この古都は文化遺産です。
遗传	遺伝する	この病気は遺伝する可能性があります。
遗留	残された	歴史に残された問題は解決する必要があります。
遗失	紛失する	旅行者はパスポートを紛失しました。
以便	できるように	連絡できるように電話番号を残してください。
以免	避けるために	遅刻を避けるため、早めに出発してください。
以往	過去の	過去の経験は参考に値します。
以至	さらには	範囲はコミュニティ、さらには全市へ拡大しました。
以致	その結果	大雨が続き、その結果道路が寸断されました。
一帆风顺	順風満帆	起業がいつも順風満帆とは限りません。
一举两得	一石二鳥	自転車で通勤すれば一石二鳥です。
一丝不苟	少しもおろそかにしない	技術者は少しもおろそかにせず配線を点検しました。
亦	もまた	彼もまたこの案に同意しました。
异常	異常	システムに異常な状況が発生しました。
意料	予想	結果は完全に予想外でした。
意识	意識する	彼は問題の深刻さを次第に意識しました。
意图	意図	警察は彼の意図を見抜きました。
意味着	意味する	沈黙は同意を意味しません。
意向	意向	双方は協力の意向を表明しました。
意志	意志	困難は人の意志を試します。
毅力	根気	成功には長期的な根気が必要です。
毅然	毅然と	彼女は毅然として会社を去りました。
翼	翼	飛行機の翼が点検されました。
阴谋	陰謀	彼らはこの陰謀を暴露しました。
音响	音響	居間の音響効果はとても良いです。
引导	導く	先生は学生が考えるよう導きました。
引擎	エンジン	車のエンジンが突然止まりました。
引用	引用する	論文は大量の資料を引用しました。
隐蔽	隠れる	兵士は林の中に隠れました。
隐患	隠れた危険	古い電線には安全上の隠れた危険があります。
隐瞒	隠す	彼は真相を隠しませんでした。
隐私	プライバシー	会社はユーザーのプライバシーを守らなければなりません。
隐约	かすかに	遠くから歌声がかすかに聞こえてきました。
饮食	食事	健康的な食事は回復に役立ちます。
婴儿	乳児	乳児は静かに眠っています。
英明	賢明な	指導者は賢明な決定を下しました。
英勇	勇敢な	消防士は勇敢に子どもを救出しました。
盈利	利益を上げる	会社は今年から利益を上げ始めました。
迎面	正面から	冷たい風が正面から吹いてきました。
应酬	付き合い	彼は今夜多くの付き合いがあります。
应邀	招かれて	専門家は招かれてフォーラムに参加しました。
庸俗	俗悪な	この広告の内容はとても俗悪です。
拥护	支持する	皆は新しい政策を支持しています。
拥有	持つ	彼は豊富な経験を持っています。
勇于	勇んで	若者は勇んで試すべきです。
永恒	永遠の	愛は永遠に変わらないものではありません。
涌现	次々に現れる	各地で優秀な教師が次々に現れています。
踊跃	積極的に	住民は積極的に活動へ申し込みました。
用户	ユーザー	ユーザーはパスワードを変更できます。
优胜劣汰	優勝劣敗	市場競争は優勝劣敗を反映しています。
优先	優先	高齢者は優先して手続きできます。
优异	優秀な	彼女は優秀な成績を収めました。
优越	優れた	ここは地理的位置が優れています。
忧郁	憂鬱な	彼の表情は憂鬱に見えました。
油腻	脂っこい	この料理は脂っこすぎます。
油漆	ペンキ	作業員はドアにペンキを塗っています。
犹如	まるで	湖面はまるで鏡のようです。
有条不紊	整然と	会議は整然と進みました。
幼稚	幼稚な	この考えは少し幼稚です。
诱惑	誘惑	広告は消費の誘惑に満ちています。
愚蠢	愚かな	この決定は非常に愚かです。
愚昧	無知な	無知な考えは進歩を妨げます。
渔民	漁民	漁民は早朝に海へ出て魚を捕ります。
舆论	世論	世論は事件に大きな影響を与えます。
与日俱增	日増しに増える	観光客の数は日増しに増えています。
宇宙	宇宙	人類は絶えず宇宙を探査しています。
羽绒服	ダウンジャケット	冬にはダウンジャケットを着る必要があります。
寓言	寓話	この寓話はとても教育的です。
愈	ますます	病状はますます良くなっています。
欲望	欲望	彼は買い物への欲望を抑えました。
熨	アイロンをかける	彼女はシャツにアイロンをかけて平らにしました。
玉	玉	この玉は色が温かみを帯びています。
预料	予想	事態の進展は予想を超えました。
预期	予期	売上は予期を下回りました。
预算	予算	プロジェクト予算は調整が必要です。
预先	あらかじめ	資料をあらかじめ準備してください。
预言	予言	彼の予言は実現しませんでした。
预兆	兆候	痛みは病気の兆候かもしれません。
冤枉	濡れ衣を着せる	無実の人に濡れ衣を着せてはいけません。
元首	元首	両国の元首が会談を行いました。
元素	元素	酸素は化学元素の一つです。
元宵节	元宵節	元宵節には人々が灯籠を楽しみます。
原告	原告	原告は新しい証拠を提出しました。
原理	原理	先生は機械の原理を説明しました。
原始	原始の	彼らは原始記録を保存しました。
原先	もともとの	もともとの計画はすでに変わりました。
园林	庭園	蘇州の庭園は非常に有名です。
圆满	円満な	会議は円満な成功を収めました。
源泉	源	実践は知識の源です。
缘故	理由	彼は健康上の理由で辞職しました。
约束	制約する	制度は従業員の行動を制約します。
乐谱	楽譜	彼女は楽譜を真剣に読みました。
岳母	義母	彼は週末に義母を訪ねました。
孕育	育む	土壌は新しい命を育みます。
蕴藏	秘める	山地には豊富な鉱産資源が秘められています。
运算	演算	学生は数学の演算を練習します。
运行	稼働する	システムは安定して稼働しています。
酝酿	練る	双方は新しい案を練っています。
杂技	雑技	子どもたちは雑技の演技を見るのが好きです。
杂交	交雑	科学者は交雑稲を研究しています。
砸	砕ける	コップが床に落ちて砕けました。
咋	どうして	あなたはどうしてまだ戻ってこないのですか。
栽培	栽培する	庭師はたくさんの花を栽培しました。
灾难	災難	災難の後、都市は再建を始めました。
宰	屠る	祭りの時、村人は羊を屠ります。
再接再厉	さらに努力を続ける	受賞後、チームはさらに努力を続けました。
在意	気にする	彼女は他人の見方をとても気にします。
攒	貯める	彼はパソコンを買うためにお金を貯めています。
暂且	ひとまず	この問題はひとまず置いておきましょう。
赞叹	感嘆する	観客は俳優の演技に感嘆しました。
赞助	スポンサーになる	企業はこの試合のスポンサーになりました。
糟蹋	無駄にする	これらの新鮮な食べ物を無駄にしないでください。
遭受	被る	農地は深刻な干ばつ被害を被りました。
遭殃	災いを受ける	橋が崩れ、近くの住民が災いを受けました。
遭遇	遭遇する	彼らは途中で吹雪に遭遇しました。
噪音	騒音	工事の騒音は休息に影響します。
造型	デザイン	この車のデザインはとても独特です。
责怪	責める	子どもを一方的に責めないでください。
贼	泥棒	警察はその泥棒を捕まえました。
增添	加える	花は部屋に色彩を加えました。
赠送	贈る	店は小さな贈り物を贈っています。
扎	刺す	看護師は彼に注射を一本打ちました。
扎实	しっかりした	彼の文法の基礎はしっかりしています。
渣	かす	カップの底にコーヒーのかすが残りました。
眨	瞬きする	彼女は目を瞬きしました。
诈骗	詐欺	警察は通信詐欺事件を解決しました。
摘要	要旨	論文の要旨はとても明確に書かれています。
债券	債券	投資家は政府債券を購入します。
沾光	おかげをこうむる	私も友人のおかげをこうむりました。
瞻仰	拝観する	観光客は英雄記念碑を拝観しました。
展示	展示する	会社は最新製品を展示しました。
展望	展望する	報告書は未来の傾向を展望しています。
展现	表す	作品は農村生活を表しています。
崭新	真新しい	彼は真新しい自転車を買いました。
斩钉截铁	きっぱりと	彼女はきっぱりと断りました。
占据	占める	広告がページ全体を占めました。
占领	占領する	軍隊は山口を占領しました。
战斗	戦闘	戦闘は三時間続きました。
战略	戦略	会社は発展戦略を調整しました。
战术	戦術	コーチは試合の戦術を変えました。
战役	戦役	この戦役は情勢を変えました。
章程	規約	協会は新しい規約を採択しました。
帐篷	テント	彼らは湖のそばにテントを張りました。
障碍	障害	言語の障害はコミュニケーションに影響します。
招标	入札を募集する	工事プロジェクトは公開入札を募集しました。
招收	募集する	学校は今年新入生を募集します。
朝气蓬勃	活気に満ちた	若いチームは活気に満ちています。
着迷	夢中になる	子どもは天文学に夢中です。
沼泽	沼地	探検隊は沼地を通り抜けました。
照样	いつも通り	雨が降っても、訓練はいつも通り行われました。
照耀	照らす	日光が広場を照らしています。
折腾	いじり回す	この古いパソコンをこれ以上いじり回さないでください。
遮挡	遮る	枝が窓を遮っています。
折	折る	彼は紙を飛行機に折りました。
折磨	苦しめる	長期の不眠が彼女を苦しめています。
侦探	探偵	探偵は重要な手がかりを見つけました。
斟酌	よく考える	言葉遣いを慎重によく考えてください。
珍贵	貴重な	これらの写真は非常に貴重です。
珍稀	希少な	希少な野生動物を保護します。
珍珠	真珠	彼女は真珠のイヤリングをつけています。
真理	真理	実践は真理を検証します。
真相	真相	記者は真相を突き止めようと努力しました。
真挚	心からの	彼女は心からの感謝を伝えました。
枕头	枕	この枕は高すぎます。
振奋	奮い立たせる	良い知らせが皆を奮い立たせました。
振兴	振興する	政府は農村振興を進めています。
镇定	冷静な	危機の時にも彼は冷静さを保ちました。
镇静	落ち着く	看護師は患者に落ち着いているように言いました。
阵地	陣地	兵士たちは陣地を守り抜きました。
阵容	布陣	チームは先発の布陣を発表しました。
震撼	衝撃的な	この映画は非常に衝撃的です。
震惊	驚かせる	そのニュースは全国を驚かせました。
争端	紛争	双方は国境紛争を解決しようとしました。
争夺	奪い合う	二つの会社が市場シェアを奪い合っています。
争气	期待に応える	彼は家族の期待に応えようと一生懸命勉強しています。
争先恐后	先を争う	観光客は先を争ってバスに乗り込みました。
争议	論争	この決定は論争を引き起こしました。
征服	征服する	登山家はその高峰を征服しました。
征收	徴収する	政府は法律に従って税金を徴収します。
挣扎	もがく	小鳥は網の中でもがいていました。
正月	旧暦の正月	旧暦の正月には親戚同士で新年のあいさつをします。
蒸发	蒸発する	水分はすぐに蒸発しました。
整顿	立て直す	会社は管理体制の立て直しを始めました。
政策	政策	新しい政策は小規模企業を支援します。
政权	政権	戦争は現地の政権を変えました。
正当	正当な	彼は正当な要求を出しました。
正负	正負	計器は正負の誤差を示しています。
正规	正規の	その子どもは正規の学校に入って学びました。
正经	まじめな	彼はようやくまじめに話し始めました。
正气	正義の気風	社会には正義の気風を広める必要があります。
正义	正義	弁護士は正義のために弁護しました。
正宗	本場の	この店は本場の四川料理を出しています。
症状	症状	発熱はよくある症状です。
证实	証明する	調査は彼の発言を証明しました。
证书	証明書	彼女は専門の証明書を取得しました。
郑重	厳粛な	彼は責任を負うと厳粛に約束しました。
之际	に際して	春節を迎えるに際して、皆とても忙しいです。
支撑	支える	柱が屋根を支えています。
支出	支出	家計の支出が明らかに増えました。
支流	支流	この川は長江の支流です。
支配	支配する	感情が判断を支配してはいけません。
支援	支援する	各地の医師が支援に駆けつけました。
支柱	支柱	製造業は地域経済の支柱です。
枝	枝	彼女は花の枝を一本折りました。
知觉	意識	負傷者は次第に意識を取り戻しました。
知足常乐	足るを知れば常に楽しい	老人はよく足るを知れば常に楽しいと言います。
脂肪	脂肪	ナッツには健康的な脂肪が含まれています。
侄子	甥	私の甥は今年小学校に入りました。
值班	当直する	看護師は今夜当直です。
执行	執行する	裁判所は判決を執行しました。
执着	こだわり	彼は理想に強いこだわりを持っています。
殖民地	植民地	この島はかつて植民地でした。
直播	ライブ配信	試合は今夜インターネットでライブ配信されます。
直径	直径	この円の直径は十センチです。
职能	職能	部門の職能を改めて分ける必要があります。
职位	職位	彼女は管理職の職位に応募しました。
职务	職務	彼の職務はプロジェクト主管です。
指标	指標	販売指標はすでに達成されました。
指定	指定する	先生は彼を指名して質問に答えさせました。
指甲	爪	彼女は爪を短く切りました。
指令	指令	コンピューターは新しい指令を受け取りました。
指南针	方位磁針	登山者は方位磁針を持って行きました。
指示	指示	マネージャーは明確な指示を出しました。
指望	当てにする	他人が代わりに終わらせてくれると当てにしないでください。
指责	非難する	世論は企業が環境を汚染したことを非難しました。
制裁	制裁	国際社会は経済制裁を実施しました。
制服	制服	警備員は濃紺の制服を着ていました。
制约	制約する	資金不足が発展を制約しています。
制止	制止する	警察は衝突をすぐに制止しました。
志气	志	若者は志を持つべきです。
智力	知力	ゲームは知力を鍛えることができます。
智能	スマート	スマート機器はますます普及しています。
智商	知能指数	知能指数がすべてを決めるわけではありません。
治安	治安	地域の治安は明らかに改善しました。
治理	治理	政府は河川の治理を強化しました。
滞留	足止めされる	大雪のため乗客は空港で足止めされました。
致辞	あいさつを述べる	校長は式典であいさつを述べました。
致力	力を注ぐ	チームは技術革新に力を注いでいます。
致使	引き起こす	管理上のミスがプロジェクトの延期を引き起こしました。
中断	中断する	豪雨により通信が中断しました。
中立	中立	その国は中立の立場を保っています。
中央	中央	噴水は広場の中央にあります。
忠诚	忠誠	社員は会社に忠誠心を持っています。
忠实	忠実な	彼はこの新聞の忠実な読者です。
终点	終点	終点はすぐ前にあります。
终究	結局	問題は結局解決されるでしょう。
终身	生涯	彼は生涯教育に携わることを決めました。
终止	終了する	契約は来月末に終了します。
衷心	心から	ご助力に心から感謝します。
种子	種	農民は新しい種をまきました。
种族	人種	法律は人種差別を禁じています。
肿瘤	腫瘍	医師は良性の腫瘍を見つけました。
众所周知	周知のとおり	周知のとおり、水は重要です。
种植	栽培する	ここはブドウの栽培に適しています。
重心	重点	仕事の重点はサービスへ移りました。
周边	周辺	学校周辺の交通は混雑しています。
周密	綿密な	彼らは綿密な計画を立てました。
周年	周年	会社は創立十周年を祝いました。
周期	周期	製品の更新周期は短くなりました。
周折	紆余曲折	手続きを進める中で多くの紆余曲折がありました。
周转	資金繰り	会社は資金繰りに苦労しています。
州	州	彼はアメリカのカリフォルニア州に住んでいます。
粥	お粥	患者は朝にお粥を食べました。
舟	小舟	小舟はゆっくり岸辺に近づきました。
昼夜	昼夜	作業員は昼夜を問わず道路を緊急修理しました。
