simplified	NL	example_NL
屏障	de barriere	Het bos is een belangrijke barriere tegen wind
平凡	gewoon	Hij werkte jarenlang in een gewone functie
平面	het vlak	De ontwerper tekende de plattegrond van het huis
平坦	vlak	Deze weg is heel vlak
平行	parallel	Deze twee lijnen lopen parallel aan elkaar
平庸	middelmatig	Hij wil geen middelmatig leven leiden
平原	de vlakte	De trein reed door een uitgestrekte vlakte
评估	beoordelen	Deskundigen beoordelen de risico's van het project
评论	reageren	Lezers kunnen onder het artikel reageren
坡	de helling	De auto reed langzaam de helling op
泼	spatten	Spat het water niet op de vloer
颇	tamelijk	Dit resultaat is tamelijk verrassend
破例	een uitzondering maken	De manager maakte voor hem een uitzondering en keurde de aanvraag goed
迫不及待	niet kunnen wachten	De kinderen konden niet wachten om de cadeaus te openen
迫害	vervolgen	In de geschiedenis zijn veel mensen vervolgd
魄力	daadkracht	Leiders hebben daadkracht nodig om beslissingen te nemen
扑	zich werpen	Het kind wierp zich ineens in de armen van zijn moeder
铺	leggen	De arbeiders leggen een nieuw tapijt
普及	wijdverbreid raken	Internet is in steden al wijdverbreid geraakt
朴实	eenvoudig	Zijn taal is eenvoudig en oprecht
朴素	sober	Zij houdt van een sobere levensstijl
瀑布	de waterval	Toeristen stonden naast de waterval foto's te maken
凄凉	verlaten	Het bergdorp zag er in de winter verlaten uit
期望	de verwachting	Ouders hebben hoge verwachtingen van hun kinderen
期限	de termijn	De inschrijvingstermijn is deze vrijdag
欺负	pesten	Grote kinderen mogen kleine kinderen niet pesten
欺骗	bedriegen	De valse advertentie bedroog consumenten
奇妙	wonderlijk	De natuur heeft veel wonderlijke verschijnselen
旗袍	de qipao	Zij droeg een rode qipao naar het avondfeest
旗帜	de vlag	Op het plein wapperden heldere vlaggen
歧视	discrimineren	De wet verbiedt elke vorm van discriminatie
齐全	compleet	Deze winkel heeft een compleet assortiment gereedschap
齐心协力	samen de schouders eronder zetten	Iedereen zette samen de schouders eronder en voltooide de taak
乞丐	de bedelaar	Er zat een oude bedelaar langs de weg
企图	proberen	Hij probeerde de werkelijke situatie te verbergen
启程	vertrekken	De delegatie vertrekt morgenochtend vroeg
启蒙	de eerste vorming	Dit boek is geschikt als eerste leesvorming voor kinderen
启事	de kennisgeving	Bij de schoolpoort hing een vacaturekennisgeving
启示	de les	Deze mislukking gaf ons een belangrijke les
岂有此理	absurd	Deze kosten zijn echt absurd
起草	opstellen	De advocaat stelt het contract op
起初	aanvankelijk	Aanvankelijk geloofde hij dit nieuws niet
起伏	op en neer gaan	De bergweg gaat met het terrein op en neer
起哄	rumoer maken	Leerlingen moeten geen rumoer maken in de klas
起码	minstens	Je had mij minstens vooraf moeten informeren
起源	ontstaan	Dit feest is in de oudheid ontstaan
器材	de uitrusting	Het laboratorium heeft nieuwe lesuitrusting nodig
器官	het orgaan	Het hart is een belangrijk orgaan van het menselijk lichaam
气概	de geest	Dit gedicht toont heldhaftige geest
气功	qigong	Opa beoefent elke ochtend qigong
气魄	imposant	Deze brug heeft een imposante uitstraling
气色	de gelaatskleur	Na het uitrusten zag zijn gelaatskleur er veel beter uit
气势	het momentum	Het team had vanaf het begin sterk momentum
气味	de geur	In de keuken hing de geur van geroosterd brood
气象	het weer	Het weer op dit plateau verandert snel
气压	de luchtdruk	Lagere luchtdruk kan regen brengen
气质	het temperament	Zij heeft een rustig temperament
迄今为止	tot nu toe	Tot nu toe verloopt het experiment soepel
掐	plukken	Zij plukte een kleine bloem
恰当	passend	Je antwoord is heel passend
恰到好处	precies goed	De zoetheid van dit gerecht is precies goed
恰巧	toevallig	Toen ik op het station aankwam begon het toevallig te regenen
洽谈	bespreken	Beide partijen bespreken de details van de samenwerking
千方百计	met alle mogelijke middelen	Zij zochten met alle mogelijke middelen naar een oplossing
牵	aan de hand nemen	Moeder nam het kind aan de hand bij het oversteken
牵扯	betrekken	Deze zaak betrekt veel afdelingen
牵制	in bedwang houden	De verdediging van de tegenstander hield de aanval in bedwang
签署	ondertekenen	De twee bedrijven ondertekenden een overeenkomst
谦逊	bescheiden	Na zijn succes bleef hij bescheiden
迁就	toegeven	Ouders kunnen niet altijd aan kinderen toegeven
迁徙	migreren	Trekvogels migreren elk jaar met de seizoenen
前景	het vooruitzicht	Deze sector heeft goede vooruitzichten
前提	de voorwaarde	Vertrouwen is de voorwaarde voor samenwerking
潜力	het potentieel	Deze student heeft groot potentieel
潜水	duiken	Zij gingen naar zee om te leren duiken
潜移默化	ongemerkt beinvloeden	De gezinsomgeving kan kinderen ongemerkt beinvloeden
谴责	veroordelen	De internationale gemeenschap veroordeelde het geweld
抢劫	beroven	De politie pakte de verdachte die de bank had beroofd
强制	verplichten	De nieuwe regel verplicht bestuurders een veiligheidsgordel te dragen
强迫	dwingen	Dwing kinderen niet dingen te doen die ze niet leuk vinden
抢救	redden	Artsen zijn bezig de gewonde arbeider te redden
桥梁	de brug	Taal is een brug voor culturele uitwisseling
窍门	de truc	Er zijn enkele trucs om uitspraak te leren
翘	omhoog zetten	Hij zette een voet omhoog op de stoel
切实	praktisch uitvoerbaar	Wij hebben een praktisch uitvoerbaar plan nodig
锲而不舍	volhardend	Hij onderzocht dit probleem volhardend
亲密	nauw	Zij onderhouden al lange tijd een nauwe relatie
亲热	hartelijk	De oude man begroette de gasten hartelijk
侵犯	schenden	Dit gedrag schond de persoonlijke privacy
侵略	de invasie	Het volk verzet zich tegen elke vorm van invasie
钦佩	bewonderen	Ik bewonder haar moed zeer
勤俭	ijverig en zuinig	Oma beheerde haar hele leven het huishouden ijverig en zuinig
勤劳	ijverig	IJverige mensen kunnen altijd kansen scheppen
倾听	aandachtig luisteren	De docent luisterde aandachtig naar de mening van de studenten
倾向	neigen	Jonge consumenten neigen naar online winkelen
倾斜	hellen	Na de zware regen begon de muur te hellen
清澈	helder	De beek in de bergen is heel helder
清晨	de vroege ochtend	De lucht in de vroege ochtend is bijzonder fris
清除	verwijderen	Arbeiders verwijderden de sneeuw van de weg
清洁	schoon	Ziekenhuizen moeten de omgeving schoon houden
清理	opruimen	In het weekend ruimden wij het magazijn op
清晰	duidelijk	Deze foto is heel duidelijk
清醒	alert	Na het drinken van koffie werd hij veel alerter
清真	halal	In de buurt is een halal restaurant
情报	de inlichtingen	De verslaggever kreeg belangrijke inlichtingen
情节	de plot	De plot van de roman is erg spannend
情理	de redelijkheid	Zijn verzoek is niet redelijk
情形	de situatie	De situatie ter plaatse was complexer dan gedacht
晴朗	helder	De lucht is vandaag bijzonder helder
请柬	de uitnodigingskaart	Zij stuurden huwelijksuitnodigingen naar familie en vrienden
请教	raad vragen	Ik wil u graag om raad vragen over een kwestie
请示	instructies vragen	Deze zaak moet eerst voor instructies aan de leiding worden voorgelegd
请帖	de uitnodiging	Op tafel lag een verjaardagsuitnodiging
丘陵	de heuvels	Dit gebied heeft veel heuvels
区分	onderscheiden	Het kind kan links en rechts al onderscheiden
区域	het gebied	In dit gebied is parkeren verboden
屈服	toegeven	Hij gaf niet toe aan de druk
曲折	ingewikkeld	Zij maakten ingewikkelde onderhandelingen door
驱逐	verdrijven	De politie verdreef de relschoppers
渠道	het kanaal	Het bedrijf verkoopt producten via een nieuw kanaal
取缔	verbieden	De overheid verbood de illegale markt
曲子	de melodie	De melodie van dit muziekstuk is mooi
趣味	het plezier	Dit spel heeft veel plezier
圈套	de val	Hij viel bijna in de val van de oplichter
全局	het geheel	Leiders moeten het belang van het geheel overwegen
全力以赴	alles op alles zetten	Wij zullen alles op alles zetten om de taak te voltooien
拳头	de vuist	Hij balde zijn vuist en bereidde zich voor op de wedstrijd
权衡	afwegen	Wij moeten kosten en effect afwegen
权威	de autoriteit	Deze professor is een autoriteit op dit gebied
犬	de hond	Dit type hond is geschikt om het huis te bewaken
缺口	de opening	Er zit een kleine opening in de muur
缺席	afwezig zijn	Hij was wegens ziekte afwezig bij de vergadering
缺陷	het gebrek	Dit ontwerp heeft een duidelijk gebrek
瘸	mank	Zijn linkerbeen is een beetje mank
确保	zorgen dat	Zorg ervoor dat de deur op slot is
确立	vaststellen	Het bedrijf stelde nieuwe ontwikkelingsdoelen vast
确切	precies	Ik weet de precieze tijd niet
确信	zeker zijn	Ik ben er zeker van dat hij op tijd aankomt
群众	de massa	De massa steunt het nieuwe beleid
染	verven	Zij verfde haar haar zwart
嚷	schreeuwen	Schreeuw niet hard in de gang
让步	de toegeving	Beide partijen deden enkele toegevingen
饶恕	vergeven	Uiteindelijk koos zij ervoor de ander te vergeven
扰乱	verstoren	Het lawaai verstoorde de orde in de klas
惹祸	problemen veroorzaken	Onvoorzichtige grappen kunnen gemakkelijk problemen veroorzaken
热泪盈眶	ogen vol tranen hebben	Toen zij het goede nieuws hoorde stonden haar ogen vol tranen
热门	populair	Kunstmatige intelligentie is een populair onderwerp
人道	humanitair	De reddingsactie weerspiegelde een humanitaire geest
人格	de waardigheid	Anderen beledigen schaadt hun persoonlijke waardigheid
人工	kunstmatig	Deze rivier is kunstmatig gegraven
人家	andere mensen	Vergelijk jezelf niet altijd met andere mensen
人间	de mensenwereld	De lente vult de mensenwereld met levenskracht
人士	de persoon	Personen uit alle kringen namen deel aan het forum
人为	menselijk veroorzaakt	Dit ongeluk werd door menselijke factoren veroorzaakt
人性	de menselijke natuur	Deze film bespreekt de menselijke natuur
人质	de gijzelaar	De politie redde de gijzelaar met succes
仁慈	goedhartig	Deze arts is erg goedhartig tegenover patienten
忍耐	het geduld	In een lange rij wachten vereist wat geduld
忍受	verdragen	Ik kan het lawaai hier niet verdragen
任命	benoemen	Het bestuur benoemde haar tot manager
任性	eigenwijs	Een te eigenwijs kind kan in zijn ontwikkeling worden belemmerd
任意	willekeurig	Wijzig de gegevens alstublieft niet willekeurig
任重道远	een zware taak met een lange weg	De hervorming van het onderwijs is een zware taak met een lange weg
认定	vaststellen	De politie stelde vast dat dit een ongeluk was
认可	goedkeuren	Zijn plan kreeg ieders goedkeuring
仍旧	nog steeds	Na vele jaren woonde hij nog steeds hier
日新月异	razendsnel veranderen	Technologie verandert razendsnel
日益	steeds meer	Milieuproblemen worden steeds ernstiger
容貌	het uiterlijk	De jaren veranderden zijn uiterlijk
容纳	plaats bieden aan	Deze hal biedt plaats aan vijfhonderd mensen
容器	de houder	Giet de vloeistof alstublieft in een glazen houder
容忍	tolereren	Het bedrijf kan fraude niet tolereren
溶解	oplossen	Zout lost op in water
荣幸	vereerd	Ik ben vereerd dat ik aan de vergadering mag deelnemen
荣誉	de eer	Deze medaille vertegenwoordigt de hoogste eer
融化	smeltend doen verdwijnen	Zonlicht liet ijs en sneeuw langzaam smelten
融洽	harmonisch	De relaties tussen collega's zijn heel harmonisch
揉	wrijven	Moeder wreef zachtjes over mijn schouders
柔和	zacht	Het licht is zacht en niet fel
儒家	het confucianisme	Het confucianisme beinvloedde de Oost-Aziatische cultuur
弱点	het zwakke punt	Onzorgvuldigheid is zijn belangrijkste zwakke punt
若干	enkele	De vergadering deed enkele voorstellen
撒谎	liegen	Kinderen moeten niet liegen
散文	het proza	Zij leest graag modern proza
散布	verspreiden	Iemand verspreidde online geruchten
散发	afgeven	De tuin gaf een frisse geur af
丧失	verliezen	Hij verloor zijn vertrouwen niet
骚扰	lastigvallen	Val andere passagiers alstublieft niet lastig
嫂子	de schoonzus	Het eten van mijn schoonzus is heerlijk
刹车	remmen	De bestuurder remde plotseling
啥	wat	Wat zei je net
筛选	filteren	Het systeem filtert cv's automatisch
山脉	het gebergte	Dit gebergte is heel lang
闪烁	flikkeren	De lichten in de verte bleven flikkeren
擅长	goed zijn in	Hij is goed in het oplossen van complexe problemen
擅自	zonder toestemming	Werknemers mogen hun post niet zonder toestemming verlaten
伤脑筋	lastig	Dit probleem is echt lastig
商标	het handelsmerk	Het bedrijf registreerde een nieuw handelsmerk
上级	de meerdere	Hij rapporteerde de situatie aan zijn meerdere
上进	ambitieus zijn	Zij is altijd ambitieus geweest om zich te verbeteren
上任	in functie treden	De nieuwe manager treedt volgende week in functie
上瘾	verslaafd raken	Veel mensen raken verslaafd aan korte video's
上游	de bovenloop	De vervuiling komt uit de bovenloop van de rivier
尚且	zelfs	Zelfs volwassenen maken fouten
捎	meebrengen	Breng alstublieft een bericht voor mij over
梢	de boomtop	De vogel zat in de boomtop
哨	de wachtpost	Bij de poort staat een wachtpost
奢侈	luxueus	Zulke uitgaven zijn te luxueus
舌头	de tong	Hij verbrandde zijn tong
摄氏度	graden Celsius	De temperatuur is vandaag dertig graden Celsius
涉及	betrekking hebben op	Het rapport heeft betrekking op meerdere afdelingen
社区	de gemeenschap	De gemeenschap organiseerde een gezondheidslezing
设立	instellen	De school stelde een beurs in
设想	het idee	Dit idee moet nog worden besproken
设置	instellen	Stel het wachtwoord alstublieft opnieuw in
呻吟	kreunen	De patient kreunde zachtjes
深奥	diepsinnig	De inhoud van dit boek is erg diepsinnig
深沉	diep	Zijn stem was laag en diep
深情厚谊	diepe vriendschap	De volkeren van de twee landen vormden een diepe vriendschap
申报	aangeven	Reizigers moeten goederen eerlijk aangeven
绅士	de heer	Hij gedraagt zich als een heer
神经	de zenuw	Stress kan het zenuwstelsel beinvloeden
神奇	magisch	Het landschap hier is heel magisch
神气	stralend	Hij zag er vandaag bijzonder stralend uit
神圣	heilig	Dit is een heilige plicht
神态	de uitdrukking	Haar uitdrukking was heel kalm
神仙	de onsterfelijke	Volgens de legende wonen er onsterfelijken in de bergen
审查	beoordelen	Het platform beoordeelt gepubliceerde inhoud
审理	behandelen	De rechtbank behandelt deze zaak
审美	de smaak	Zijn smaak is heel eigen
审判	het proces	Het openbare proces trok aandacht van de media
慎重	voorzichtig	Dit besluit moet voorzichtig worden genomen
渗透	doordringen	Regenwater drong langzaam in de bodem door
声明	de verklaring	Het bedrijf gaf een officiele verklaring uit
声势	de uitstraling	Deze publiciteitscampagne had veel uitstraling
声誉	de reputatie	Productkwaliteit beinvloedt de reputatie van het merk
牲畜	het vee	De herders dreven het vee terug naar de weide
生存	overleven	Wilde dieren hebben ruimte nodig om te overleven
生机	de levenskracht	Lenteregen vult het land met levenskracht
生理	fysiologisch	Slaap beinvloedt de fysiologische toestand van een mens
生疏	roestig	Na jaren zonder oefening was zijn pianospel wat roestig
生态	de ecologie	Bosbescherming hangt samen met ecologisch evenwicht
生物	het organisme	In de oceaan leven veel bijzondere organismen
生效	van kracht worden	De nieuwe regeling wordt morgen officieel van kracht
生肖	het Chinese sterrenbeeld	Wat is jouw Chinese sterrenbeeld
生锈	roesten	De fietsketting is al geroest
生育	de vruchtbaarheid	Het ziekenhuis biedt vruchtbaarheidsadvies aan
省会	de provinciehoofdstad	Chengdu is al lang de hoofdstad van de provincie Sichuan
盛产	veel produceren	Deze plek produceert veel hoogwaardige thee
盛开	in volle bloei staan	De kersenbloesems in het park staan in volle bloei
盛情	de gastvrijheid	Wij danken de gastheer voor zijn warme gastvrijheid
盛行	populair zijn	Deze stijl was ooit erg populair
胜负	de uitkomst	De laatste minuut van de wedstrijd besliste de uitkomst
失事	verongelukken	De oorzaak van het vliegtuigongeluk wordt nog onderzocht
失误	de fout	Een kleine fout veroorzaakte vertraging van het project
失踪	vermist	De politie zoekt naar het vermiste kind
尸体	het lichaam	Het reddingsteam vond het lichaam van het slachtoffer
师范	lerarenopleiding	Zij studeerde af aan een lerarenuniversiteit
施加	uitoefenen	Ouders moeten niet te veel druk uitoefenen
施展	ontplooien	Hij kreeg eindelijk de kans zijn talent te ontplooien
十足	volledig	Hij heeft volledig vertrouwen in de uitkomst
实惠	voordelig	De prijzen in deze winkel zijn heel voordelig
实力	de kracht	De algemene kracht van het team is groot
实施	uitvoeren	De overheid begon het nieuwe plan uit te voeren
实事求是	feitelijk en realistisch	Onderzoek moet feitelijk en realistisch zijn
实行	toepassen	Het bedrijf past een flexibel werkrooster toe
实质	de kern	De kern van het probleem is niet veranderd
拾	oppakken	Hij bukte om de sleutel van de grond op te pakken
时常	vaak	Opa vertelt vaak over zijn jeugd
时而	nu en dan	Het weer is nu eens zonnig en dan weer bewolkt
时光	de tijd	Mooie tijden voelen altijd kort
时机	het moment	Nu is geen goed moment voor onderhandelingen
时事	de actualiteit	Studenten bespreken elke week internationale actualiteit
石油	de aardolie	De aardolieprijzen stegen opnieuw
识别	herkennen	Het systeem kan verschillende gezichten herkennen
使命	de missie	Milieubescherming is een gezamenlijke missie
世代	generatie op generatie	Dit ambacht is in de familie van generatie op generatie doorgegeven
事故	het ongeluk	Bij dit ongeluk vielen geen slachtoffers
事迹	de daden	Zijn heldhaftige daden werden wijd verspreid
事件	het incident	Dit incident trok maatschappelijke aandacht
事态	de situatie	De overheid probeert de ontwikkeling van de situatie te beheersen
事务	de zaken	Zij is verantwoordelijk voor de dagelijkse zaken van het bedrijf
事项	de punten	Controleer alstublieft de belangrijke punten in het contract
事业	de loopbaan	Hij beschouwt onderwijs als zijn levenslange loopbaan
势必	onvermijdelijk	Stijgende kosten zullen onvermijdelijk de prijzen beinvloeden
势力	de invloed	De lokale zakelijke invloed is sterk
是非	het geruzie	Hij wil niet betrokken raken bij kantoorgeruzie
示范	de demonstratie	De docent gaf eerst een demonstratie
示威	de demonstratie	In het centrum vond een vreedzame demonstratie plaats
示意	een teken geven	De manager gaf iedereen een teken om stil te zijn
视力	het gezichtsvermogen	Lang naar schermen kijken kan het gezichtsvermogen beinvloeden
视频	de video	Stuur mij alstublieft de video
视线	het zicht	Dichte mist blokkeerde het zicht van de bestuurder
视野	de horizon	Reizen kan iemands horizon verbreden
试图	proberen	Hij probeerde zijn besluit uit te leggen
试验	het experiment	De wetenschappers voerden veel experimenten uit
适宜	geschikt	Het klimaat hier is geschikt om te wonen
逝世	overlijden	Deze schrijver is vorig jaar overleden
释放	vrijlaten	De rechtbank besloot de verdachte vrij te laten
收藏	verzamelen	Hij verzamelde veel oude postzegels
收缩	krimpen	Koude lucht kan metaal laten krimpen
收益	de opbrengst	De beleggingsopbrengst was hoger dan verwacht
收音机	het radiotoestel	Oma luistert elke dag naar het radiotoestel
守护	beschermen	Artsen beschermen het leven van patienten
手法	de techniek	De filmtechniek van de regisseur is heel eigen
手势	het gebaar	Hij gebruikte een gebaar om instemming te tonen
手艺	de vaardigheid	De vaardigheid van deze vakman is heel goed
首饰	de sieraden	Zij droeg eenvoudige zilveren sieraden
首要	belangrijkste	Veiligheid is de belangrijkste taak
受罪	lijden	De patient leed veel na de operatie
授予	toekennen	De school kende hem een eredoctoraat toe
书法	de kalligrafie	Hij oefent al sinds zijn jeugd kalligrafie
书记	de partijsecretaris	De dorpspartijsecretaris leidde de vergadering
书籍	de boeken	De bibliotheek bezit een groot aantal boeken
书面	schriftelijk	Geef alstublieft schriftelijk bewijs
疏忽	de nalatigheid	Deze fout kwam voort uit nalatigheid op het werk
疏远	uit elkaar groeien	Het misverstand liet de twee mensen geleidelijk uit elkaar groeien
舒畅	ontspannen	Na de wandeling voelde ik mij ontspannen en blij
数额	het bedrag	Het bedrag van de schadevergoeding is nog niet vastgesteld
束	de bos	Zij kocht een bos verse bloemen
束缚	beperken	Traditionele ideeen beperkten zijn keuzes
树立	opbouwen	Het bedrijf moet een goed imago opbouwen
竖	rechtop zetten	Zet het bord alstublieft rechtop
耍	spelen met	Speel tijdens werktijd niet met je telefoon
衰老	verouderen	Beweging kan veroudering vertragen
衰退	de recessie	De economische recessie beinvloedde de werkgelegenheid
率领	leiden	De aanvoerder leidde het team vooruit
涮火锅	hotpot eten	In de winter eten mensen graag hotpot
双胞胎	de tweeling	Zij zijn een tweeling
爽快	rechtuit	Zij antwoordde heel rechtuit
水利	waterbeheer	Deze regio hecht veel waarde aan waterbeheerprojecten
水龙头	de kraan	De keukenkraan lekt
水泥	het cementmateriaal	De arbeiders brachten cementmateriaal naar de bouwplaats
瞬间	het ogenblik	De lichten gingen in een ogenblik allemaal uit
司法	gerechtelijk	Gerechtelijke onafhankelijkheid heeft institutionele bescherming nodig
司令	de commandant	De commandant gaf het bevel tot terugtrekking
思念	missen	Zij mist haar geboorteplaats vaak
思索	diep nadenken	Hij boog zijn hoofd en dacht lang diep na
思维	het denken	Deze training kan logisch denken verbeteren
斯文	beschaafd	Hij spreekt op een beschaafde en zachte manier
私自	zonder toestemming	Studenten mogen de school niet zonder toestemming verlaten
死亡	het overlijden	Het ongeluk veroorzaakte meerdere sterfgevallen
四肢	de ledematen	Voor het sporten moet je je ledematen bewegen
寺庙	de tempel	Op de berg staat een oude tempel
肆无忌惮	zonder scrupules	Hij brak de regels zonder scrupules
饲养	fokken	De boerderij fokt veel melkkoeien
耸	de schouders ophalen	Na het horen ervan haalde hij alleen zijn schouders op
艘	classifier voor schepen	In de haven lagen drie vrachtschepen
苏醒	bijkomen	De patient kwam eindelijk weer bij bewustzijn
俗话	het spreekwoord	Zoals het spreekwoord zegt oefening baart kunst
塑造	vormen	De omgeving kan iemands karakter vormen
素食	vegetarisch eten	Dit restaurant biedt vegetarisch eten aan
素质	de kwaliteit	Het servicepersoneel heeft een hoge kwaliteit
诉讼	de rechtszaak	Beide partijen besloten het via een rechtszaak op te lossen
算数	zijn woord houden	Wat je hebt gezegd moet je nakomen
随即	direct	Na afloop van de vergadering vertrok hij direct
随意	naar believen	Wijzig de instellingen alstublieft niet naar believen
岁月	de jaren	De voorbijgaande jaren veranderden zijn uiterlijk
隧道	de tunnel	De trein reed door een lange tunnel
损坏	beschadigen	De zware regen beschadigde de weg
索取	aanvragen	Klanten kunnen gratis monsters aanvragen
索性	gewoon	De regen was te hevig dus gingen wij gewoon niet naar buiten
塌	instorten	Het dak van het oude huis stortte in
踏实	gerust	Na het afronden van de taak voelde ik mij gerust
塔	de toren	In het stadscentrum staat een hoge toren
台风	de tyfoon	De tyfoon zal naar verwachting morgen aan land komen
太空	de ruimte	De mensheid verkent al lang de ruimte
泰斗	de grootmeester	Hij is een grootmeester in de taalkunde
摊	de kraam	Zij zette op de markt een fruitkraam op
瘫痪	de verlamming	Het verkeersongeval liet zijn onderlichaam verlamd achter
贪婪	de hebzucht	Hebzucht kan iemand ruineren
贪污	de corruptie	De ambtenaar werd wegens corruptie onderzocht
弹性	de elasticiteit	Dit materiaal heeft veel elasticiteit
坦白	bekennen	Hij bekende uiteindelijk de waarheid
叹气	zuchten	Toen hij het resultaat hoorde kon hij niet anders dan zuchten
探测	detecteren	De apparatuur kan grondwater detecteren
探索	verkennen	Wetenschappers blijven het heelal verkennen
探讨	bespreken	Deskundigen bespraken het hervormingsplan
探望	bezoeken	In het weekend ging ik naar het ziekenhuis om een vriend te bezoeken
倘若	als	Als het regent wordt het evenement uitgesteld
掏	tevoorschijn halen	Hij haalde de sleutel uit zijn zak tevoorschijn
滔滔不绝	aan een stuk door praten	Zodra hij over geschiedenis praat, praat hij aan een stuk door
淘汰	uitgeschakeld worden	Dit team werd vroeg uitgeschakeld
陶瓷	keramiek	Jingdezhen is beroemd om keramiek
陶醉	betoverd zijn	Het publiek was betoverd door de muziek
讨好	in de gunst komen	Hij wil niet opzettelijk bij zijn baas in de gunst komen
特长	de sterke vaardigheid	Schilderen is haar sterke vaardigheid
特定	specifiek	Dien de aanvraag binnen de specifieke tijd in
特意	speciaal	Ik ben speciaal gekomen om je te bedanken
提拔	promoveren	Het bedrijf promoveerde haar tot afdelingshoofd
提炼	extraheren	De fabriek extraheert metaal uit erts
提示	vragen om	Het systeem vraagt om een wachtwoord
提议	voorstellen	Zij stelde voor de bespreking morgen voort te zetten
题材	het onderwerp	Het onderwerp van deze film is vernieuwend
体裁	het genre	Romans en gedichten zijn verschillende genres
体积	het volume	Deze doos heeft een groot volume
体谅	begrip tonen	Toon alstublieft begrip voor zijn moeilijkheden
体面	fatsoenlijk	Hij wil een fatsoenlijke baan vinden
体系	het systeem	Het bedrijf bouwde een volledig opleidingssysteem
天才	het genie	Dit kind wordt gezien als een muzikaal genie
天赋	de aanleg	Zij heeft aanleg voor talen leren
天伦之乐	familiegeluk	De oudere geniet van familiegeluk
天然气	het aardgas	Stadsbewoners gebruiken aardgas om te koken
天生	van nature	Hij is van nature erg optimistisch
天堂	het paradijs	Deze plek lijkt op een paradijs op aarde
天文	de sterrenkunde	Hij houdt al sinds zijn jeugd van sterrenkunde
田径	atletiek	De school hield een atletiekwedstrijd
田野	het veld	De velden zijn in de lente helemaal groen
舔	likken	De puppy likte aan de hand van zijn eigenaar
挑剔	kieskeurig	Zij is erg kieskeurig met eten
条款	de bepaling	De bepalingen van het contract moeten zorgvuldig worden gelezen
条理	de ordening	Zijn toespraak was goed geordend
条约	het verdrag	De twee landen ondertekenden een vredesverdrag
调和	harmonieus	Deze twee kleuren harmonieren goed
调剂	afwisselen	Beweging kan een gespannen leven afwisselen
调节	regelen	Airconditioning kan de binnentemperatuur regelen
调解	bemiddelen	Medewerkers van de gemeenschap hielpen bij het bemiddelen in het geschil
调料	de smaakmaker	Er moet een beetje smaakmaker aan de soep worden toegevoegd
挑拨	ophitsen	Zaai geen onenigheid tussen collega's
挑衅	de provocatie	Deze uitspraak bevat duidelijke provocatie
跳跃	springen	De atleet sprong drie keer achter elkaar
亭子	het paviljoen	Bij het meer staat een klein paviljoen
停泊	aanmeren	De vissersboten liggen aangemeerd in de haven
停顿	de pauze	Hij hield tijdens het spreken even een pauze
停滞	stagneren	Het project stagneerde door gebrek aan geld
挺拔	rechtop en hoog	De dennen groeien hoog en rechtop
通货膨胀	de inflatie	Inflatie dreef de kosten van levensonderhoud omhoog
通缉	gezocht verklaren	De politie heeft deze verdachte gezocht verklaard
通俗	toegankelijk	De taal van dit boek is heel toegankelijk
通讯	de communicatie	Moderne communicatietechnologie ontwikkelt zich snel
通用	algemeen bruikbaar	Dit type oplader is vrij algemeen bruikbaar
同胞	de landgenoot	Ook landgenoten in het buitenland volgen de ontwikkeling van hun geboorteplaats
同志	de kameraad	De oudere kameraad deelde werkervaring
童话	het sprookje	Het kind luistert voor het slapengaan graag naar sprookjes
铜	het koper	Dit beeld is van koper gemaakt
统筹兼顾	alles samen afwegen	Stadsplanning moet alle belangen samen afwegen
统计	tellen	Wij moeten het aantal aanmeldingen tellen
统统	allemaal	Al deze oude documenten moeten allemaal worden gearchiveerd
统治	regeren	Deze dynastie regeerde driehonderd jaar
投机	speculeren	Hij verdiende geld door te speculeren
投票	stemmen	Bewoners nemen morgen deel aan de stemming
投诉	de klacht	De klant diende bij het platform een klacht in tegen de verkoper
投降	zich overgeven	Het vijandelijke leger koos er uiteindelijk voor zich over te geven
投掷	werpen	De atleet oefende met het werpen van de speer
透露	onthullen	Hij onthulde geen details van de vergadering
秃	kaal	Hij werd al op jonge leeftijd kaal
突破	de doorbraak	Het onderzoek behaalde een grote doorbraak
图案	het patroon	Het patroon op deze stof is erg mooi
徒弟	de leerling	De meester leert de leerling horloges repareren
涂抹	aanbrengen	Breng de zalf alstublieft rond de wond aan
途径	de weg	Internet is een belangrijke weg om informatie te verkrijgen
土壤	de bodem	Vruchtbare bodem is geschikt om groenten te verbouwen
团结	zich verenigen	Het team moet zich verenigen en samenwerken
团体	de groep	Deze groep organiseert regelmatig activiteiten
团圆	de hereniging	Het Lentefeest is een moment voor gezinshereniging
推测	vermoeden	Deskundigen vermoeden dat de prijzen verder zullen stijgen
推翻	omverwerpen	Het volk wierp het oude systeem omver
推理	de redenering	Deze roman zit vol redeneerscenes
推论	de gevolgtrekking	Deze gevolgtrekking heeft nog bewijs nodig
推销	verkopen	Hij is verantwoordelijk voor het verkopen van nieuwe producten
吞吞吐吐	stotteren	Hij stotterde bij het beantwoorden van de vraag
托运	inchecken	Reizigers kunnen bagage bij de balie inchecken
拖延	uitstellen	Stel de betalingstermijn niet langer uit
脱离	losstaan van	Theorie mag niet losstaan van de werkelijkheid
妥当	passend	Deze regeling is heel passend
妥善	goed	Bewaar belangrijke documenten alstublieft goed
