simplified	AZ	example_AZ
灵敏	həssas	Bu cihaz çox həssas reaksiya verir.
零星	dağınıq	Gecə səmasında dağınıq işıqlar vardı.
领会	anlamaq	O, müəllimin fikrini tez anladı.
领事馆	konsulluq	O, viza işləri üçün konsulluğa getdi.
领土	ərazi	Hər ölkə ərazi bütövlüyünə önəm verir.
领悟	dərk etmək	Uğursuzluqdan sonra o, məsuliyyəti dərk etdi.
领先	öndə olmaq	Onların texnologiyası hazırda rəqiblərdən öndədir.
领袖	lider	Bu lider xalq tərəfindən dərin hörmət görür.
溜	sivişib çıxmaq	Küçük qapı aralığından sivişib çıxdı.
流浪	sərgərdan gəzmək	O, gəncliyində hər yerdə sərgərdan gəzmişdi.
流露	üzə çıxmaq	Onun üzündə sevinc üzə çıxdı.
流氓	xuliqan	Polis küçədə bir neçə xuliqanı tutdu.
流通	tədavüldə olmaq	Bu valyuta bir vaxtlar yerli tədavüldə idi.
留恋	ayrılmaq istəməmək	Məzun olanda hamı məktəbdən ayrılmaq istəmirdi.
留念	xatirə saxlamaq	Biz məktəb qapısında xatirə üçün şəkil çəkdirdik.
留神	diqqətli olmaq	Yolu keçərkən mütləq diqqətli ol.
聋哑	kar-lal	Məktəb kar-lal uşaqlara yardım göstərir.
隆重	təntənəli	Konfrans akt zalında təntənəli keçirildi.
垄断	inhisar	İnhisar bazar rəqabətinə zərər verə bilər.
笼罩	bürümək	Qalın duman bütün kəndi bürüdü.
搂	qucaqlamaq	Ana uşağı yavaşca qucaqladı.
炉灶	soba	Mətbəxdəki sobanı təmizləmək lazımdır.
轮船	gəmi	Gəmi limandan yavaş-yavaş ayrıldı.
轮廓	kontur	Uzaqdakı dağ zirvələrinin konturu çox aydındır.
轮胎	təkər	Avtomobilin təkərlərini dəyişmək lazımdır.
论坛	forum	Mütəxəssislər forumda çıxış etdilər.
论证	sübut etmək	Hesabat fikri daha da sübut etməlidir.
啰唆	uzun-uzadı danışmaq	Uzun-uzadı danışma, birbaşa əsas məqamı de.
络绎不绝	aramsız gəlmək	Turistlər qədim şəhərə aramsız gəlirdilər.
落成	istifadəyə verilmək	Yeni idman zalı sabah rəsmi istifadəyə veriləcək.
落实	həyata keçirmək	İclas yeni siyasəti tez həyata keçirməyi tələb etdi.
屡次	dəfələrlə	O, hamıya təhlükəsizliyə diqqət etməyi dəfələrlə xatırlatdı.
履行	yerinə yetirmək	Hər iki tərəf müqavilə öhdəliklərini yerinə yetirməlidir.
掠夺	talan etmək	Müharibə resursların talan edilməsinə səbəb oldu.
嘛	axı	Bu iş çox sadədir axı.
麻痹	arxayınlaşmaq	Uzun müddət problemsiz gediş insanı asanlıqla arxayınlaşdırır.
麻木	keyimək	Soyuq onun barmaqlarını keyitdi.
麻醉	keyitmək	Əməliyyatdan əvvəl həkim xəstəni keyitdi.
码头	liman körpüsü	Yük gəmisi liman körpüsünün yanında dayandı.
蚂蚁	qarışqa	Qarışqalar yemək daşıyırlar.
埋伏	pusqu	Əsgərlər dərədə pusqu qurmuşdular.
埋没	kölgədə qalmaq	İstedadların kölgədə qalmasına imkan vermə.
埋葬	dəfn etmək	Kəndlilər qocanı yamacda dəfn etdilər.
脉搏	nəbz	Tibb bacısı onun nəbzini ölçür.
迈	addım atmaq	O, böyük addımlarla qapıya tərəf getdi.
埋怨	şikayət etmək	Həmişə başqalarından şikayət etmə.
慢性	xroniki	Xroniki xəstəliklər uzunmüddətli müalicə tələb edir.
漫长	çox uzun	Onlar çox uzun gözləmə yaşadılar.
漫画	komiks	Bu komiks gənclər arasında çox sevilir.
蔓延	yayılmaq	Alov sürətlə meşənin dərinliyinə yayıldı.
忙碌	məşğul	İlin sonu şirkətin ən məşğul vaxtıdır.
盲目	kor-koranə	İnvestisiya kor-koranə axına qoşulmamalıdır.
茫茫	ucsuz-bucaqsız	Qayıq ucsuz-bucaqsız dənizdə yoxa çıxdı.
茫然	çaşqın	İzahı eşidəndən sonra da o, çaşqın görünürdü.
冒充	özünü başqası kimi göstərmək	Kimsə özünü polis kimi göstərib pul aldadıb.
冒犯	incitmək	Sözlərim səni incitmək üçün deyildi.
茂盛	gur	Həyətdəki ağaclar çox gur böyüyür.
媒介	vasitə	İnternet vacib informasiya vasitəsidir.
枚	ədəd ölçü sözü	O, bir neçə xatirə sikkəsi toplamışdı.
美观	gözəl	Bu dizayn həm praktik, həm də gözəldir.
美满	xoşbəxt	Onlar xoşbəxt həyat yaşayırlar.
美妙	möhtəşəm	Konsert möhtəşəm təəssürat yaratdı.
萌芽	cücərmək	Yeni fikir cücərməyə başladı.
猛烈	şiddətli	Fırtına çox şiddətli gəldi.
眯	gözlərini qıymək	Günəş çox güclü idi, ona görə gözlərini qıydı.
弥补	əvəzini çıxmaq	Üzr istəmək zərərin əvəzini tam çıxara bilməz.
弥漫	yayılmaq	Gül ətri həyətdə yayıldı.
谜语	tapmaca	Uşaqlar tapmaca tapmağı sevirlər.
迷惑	çaşdırmaq	Mürəkkəb məlumatlar onu çaşdırdı.
迷人	valehedici	Dəniz kənarının gecə mənzərəsi çox valehedicidir.
迷信	xurafat	Elmi təhsil xurafatı azalda bilər.
密度	sıxlıq	Bu metalın sıxlığı çox yüksəkdir.
密封	bağlamaq	Açdıqdan sonra zəhmət olmasa, torbanı yenidən bağlayın.
棉花	pambıq	Fermerlər pambıq yığırlar.
免得	qarşısını almaq üçün	Gecikməyin qarşısını almaq üçün evdən tez çıx.
免疫	immunitet	Bu peyvənd immuniteti artıra bilər.
勉励	ruhlandırmaq	Müəllim şagirdləri davamlı oxumağa tez-tez ruhlandırır.
勉强	könülsüz	O, bu tənzimləməyə könülsüz razılaşdı.
面貌	görünüş	Şəhərin görünüşündə böyük dəyişiklik baş verib.
面子	nüfuz	O, hamının qarşısında nüfuzunu itirmək istəmirdi.
描绘	təsvir etmək	Roman kənd həyatını təsvir edir.
瞄准	nişan almaq	Atıcı hədəfi nişan aldı.
渺小	kiçik	İnsan təbiətin qarşısında çox kiçik görünür.
藐视	xor baxmaq	Biz heç bir rəqibə xor baxmamalıyıq.
灭亡	məhv olmaq	Bu sülalə sonda məhv olmağa doğru getdi.
蔑视	həqarət	Onun səsi həqarətlə dolu idi.
民间	xalq arasında	Xalq sənətini qorumaq lazımdır.
民主	demokratiya	İclas demokratik səsvermə üsulundan istifadə etdi.
敏捷	çevik	İdmançının hərəkətləri çox çevik idi.
敏锐	iti	Jurnalistə iti müşahidə qabiliyyəti lazımdır.
名次	yer	O, yarışda yaxşı yer qazandı.
名额	kvota	Bu layihədə cəmi on yer var.
名副其实	adına layiq	O, adına layiq bir mütəxəssisdir.
名誉	nüfuz	Bu hadisə şirkətin nüfuzuna zərər vurdu.
明明	açıq-aşkar	O, cavabı açıq-aşkar bilirdi, amma demək istəmədi.
明智	ağıllı	Qərarı təxirə salmaq ağıllı seçim idi.
命名	ad vermək	Alimlər yeni növə ad verdilər.
摸索	araşdırmaq	Komanda hələ də yeni üsulu araşdırır.
摩擦	sürtünmə	İki ölkə arasında ticarət sürtünməsi yarandı.
模范	nümunə	O, bütün məktəb şagirdləri üçün nümunədir.
模式	üsul	Bu biznes üsulu çox uğurludur.
模型	maket	Mühəndis körpü maketi hazırladı.
磨合	uyğunlaşmaq	Yeni komandanın uyğunlaşması üçün vaxt lazımdır.
膜	membran	Bu membran çirkləri süzə bilər.
魔鬼	şeytan	Hekayədəki şeytan çox hiyləgər idi.
魔术	sehrbazlıq	Uşaqlar sehrbazlıq tamaşasına baxmağı sevirlər.
抹杀	inkar etmək	Onun töhfəsini inkar etmək olmaz.
墨水儿	mürəkkəb	Qələmin içindəki mürəkkəb az qala qurtarıb.
莫名其妙	anlaşılmaz	Onun reaksiyası hamıya anlaşılmaz gəldi.
默默	səssizcə	O, səssizcə çox adama kömək etdi.
谋求	axtarmaq	Şirkət yeni inkişaf imkanları axtarır.
模样	görünüş	Onun indiki görünüşü çox dəyişib.
母语	ana dili	Uşaqlar kiçik yaşdan ana dilini öyrənirlər.
沐浴	bürünmək	Səhər kənd günəş işığına bürünmüşdü.
目睹	şahid olmaq	Çox adam bu qəzaya şahid oldu.
目光	baxış	Hamının baxışı səhnəyə yönəlmişdi.
拿手	ən yaxşı bacardığı	Qızardılmış balıq onun ən yaxşı bacardığı yeməkdir.
纳闷儿	təəccüblənmək	Mən onun niyə gecikdiyinə hələ də təəccüblənirdim.
耐用	davamlı	Bu ayaqqabı çox davamlıdır.
南辕北辙	məqsədə zidd getmək	Onun üsulu məqsədə tamamilə zidd gedir.
难得	nadir	Bu nadir bir fürsətdir.
难堪	utandırıcı	Bu sual onu utandırdı.
难能可贵	təqdirəlayiq	Təzyiq altında dürüst qalmaq xüsusilə təqdirəlayiqdir.
恼火	əsəbiləşmək	Avadanlıq yenə xarab oldu və o çox əsəbiləşdi.
内涵	məna	Bu sözün zəngin mədəni mənası var.
内幕	daxili sirr	Jurnalist hadisənin daxili sirrini araşdırmağa çalışdı.
内在	daxili	O, insanın daxili keyfiyyətlərinə daha çox dəyər verir.
能量	enerji	Bu səhər yeməyi mənə çox enerji verir.
拟定	tərtib etmək	Katib iclas gündəliyini tərtib edir.
逆行	əks istiqamətdə getmək	O maşın birtərəfli yolda əks istiqamətdə gedirdi.
年度	illik	Şirkət illik hesabatı dərc etdi.
捏	çimdikləmək	O, uşağın yanağını yüngülcə çimdiklədi.
凝固	bərkimək	Soyuduqdan sonra mum yavaş-yavaş bərkiyəcək.
凝聚	birləşdirmək	Ortaq məqsəd komandanın gücünü birləşdirə bilər.
凝视	diqqətlə baxmaq	O, uzaqdakı işıqlara diqqətlə baxırdı.
拧	çimdikləmək	O, əli ilə məni bir dəfə çimdiklədi.
宁肯	üstün tutmaq	O, uğursuz olmağı üstün tutar, amma prinsiplərindən vaz keçməz.
宁愿	üstün tutmaq	Mən avtobus gözləməkdənsə piyada getməyi üstün tuturam.
扭转	dəyişdirmək	Yeni siyasət zərərli vəziyyəti dəyişdirdi.
纽扣儿	düymə	Bu köynəyin bir düyməsi düşüb.
农历	ay təqvimi	Bahar bayramı ay təqviminə görə qeyd olunur.
浓厚	güclü	Onun tarixə güclü marağı var.
奴隶	qul	Qədim cəmiyyətdə quldarlıq sistemi mövcud idi.
挪	yerini dəyişmək	Zəhmət olmasa, stulu bir az kənara çək.
虐待	pis rəftar etmək	Qanun uşaqlara pis rəftar etməyi qadağan edir.
哦	ah	Ah, mən nəhayət başa düşdüm.
殴打	döymək	Polis yoldan keçəni döyən adamı həbs etdi.
偶像	kumir	O, həmin yazıçını öz kumiri sayır.
呕吐	qusmaq	O, xarab yemək yedikdən sonra qusmağa başladı.
趴	üzüstə uzanmaq	Balaca pişik pəncərə altlığında üzüstə uzanıb yatırdı.
徘徊	dolanmaq	O, qapının ağzında uzun müddət dolandı.
排斥	itələmək	Yeni material suyu itələyir.
排除	istisna etmək	Həkim əvvəlcə ciddi xəstəliyi istisna etdi.
排放	tullantı buraxmaq	Zavodlar işlənmiş qaz tullantısını azaltmalıdır.
排练	məşq etmək	Aktyorlar yeni proqramı məşq edirlər.
派别	qrup	Bu təşkilatın daxilində müxtəlif qruplar var.
派遣	göndərmək	Şirkət mühəndisləri sahəyə göndərdi.
攀登	dırmaşmaq	Onlar sabah qarlı dağa dırmaşmağı planlaşdırırlar.
盘旋	dövrə vurmaq	Təyyarə hava limanının üstündə dövrə vurdu.
判决	hökm	Məhkəmə bu gün hökmü elan etdi.
畔	sahil	Uşaqlar göl sahilində gəzirdilər.
庞大	nəhəng	Bu layihə nəhəng vəsait tələb edir.
抛弃	tərk etmək	O, öz arzusunu tərk etmək istəmir.
泡沫	köpük	Stəkanda çoxlu ağ köpük var.
培育	yetişdirmək	Məktəb şagirdlərin məsuliyyət hissini yetişdirməyə çalışır.
配备	təchiz etmək	Yeni maşın təhlükəsizlik sistemi ilə təchiz olunub.
配偶	həyat yoldaşı	Ərizə formasında həyat yoldaşı haqqında məlumat yazmaq lazımdır.
配套	tam təminat	Bu icmada xidmət obyektləri tam təmin olunub.
盆地	hövzə	Bu hövzə yayda çox isti olur.
烹饪	yemək bişirmək	Yemək bişirmək səbir və təcrübə tələb edir.
捧	iki əllə tutmaq	O, bir dəstə gülü iki əli ilə tutmuşdu.
劈	yarmaq	İşçi balta ilə odun yardı.
批发	topdan satmaq	Bu mağaza əsasən meyvəni topdan satır.
批判	tənqid etmək	Məqalə bu yanlış fikri tənqid etdi.
疲惫	tükənmiş	Uzun səfərdən sonra hamı tükənmişdi.
疲倦	yorğun	Davamlı iş onu yorğun hiss etdirdi.
皮革	dəri	Bu çanta dəridən hazırlanıb.
屁股	omba	Uşaq yıxılandan sonra ombası ağrıdı.
譬如	məsələn	Məsələn, əvvəlcə kiçik bir test edə bilərik.
偏差	sapma	Təcrübə nəticələrində açıq sapma var.
偏见	qərəz	Biz milli qərəzdən qaçmalıyıq.
偏僻	ucqar	Bu kəndin yeri çox ucqardır.
偏偏	tərslikdən	Mən nə qədər tələsirdimsə, maşın tərslikdən bir o qədər yavaş gedirdi.
片断	parça	Filmdə bir neçə maraqlı parça var.
片刻	bir an	Zəhmət olmasa, burada məni bir an gözlə.
漂浮	üzmək	Tökülmüş yarpaqlar suyun üzündə üzürdü.
飘扬	dalğalanmaq	Dövlət bayrağı küləkdə dalğalanırdı.
撇	kənara atmaq	O, köhnə planı kənara atdı.
拼搏	mübarizə aparmaq	Gənclər idealları uğrunda mübarizə aparmalıdırlar.
拼命	var gücü ilə	O, qabaqdakı dəstəyə çatmaq üçün var gücü ilə qaçdı.
贫乏	kasad	Bu məqalənin məzmunu nisbətən kasaddır.
贫困	yoxsulluq	Hökumət yoxsul ailələrə kömək edir.
频繁	tez-tez	Son vaxtlar burada yol qəzaları tez-tez baş verir.
频率	tezlik	Bu səsin tezliyi çox yüksəkdir.
品尝	dadmaq	Qonaqlar yerli yeməklərin dadına baxırlar.
品德	əxlaq	Məktəb şagirdlərin əxlaq tərbiyəsinə önəm verir.
品质	keyfiyyət	Bu şirkətin məhsul keyfiyyəti sabitdir.
品种	növ	Bazarda meyvə növləri çoxdur.
屏幕	ekran	Zəhmət olmasa, ekran parlaqlığını azalt.
屏障	sədd	Meşə küləyə qarşı vacib səddir.
平凡	adi	O, adi vəzifədə uzun illər işləyib.
平面	plan	Dizayner evin planını çəkdi.
平坦	hamar	Bu yol çox hamardır.
平行	paralel	Bu iki xətt bir-birinə paraleldir.
平庸	sıradan	O, sıradan bir həyat yaşamaqla razı deyil.
平原	düzənlik	Qatar geniş düzənlikdən keçdi.
评估	qiymətləndirmək	Mütəxəssislər layihə risklərini qiymətləndirirlər.
评论	şərh vermək	Oxucular məqalənin altında şərh verə bilərlər.
坡	yamac	Maşın yavaş-yavaş yamaca qalxdı.
泼	sıçratmaq	Suyu yerə sıçratma.
颇	xeyli	Bu nəticə xeyli təəccüb doğurur.
破例	istisna etmək	Menecer onun üçün istisna edib ərizəni təsdiqlədi.
迫不及待	səbirsiz	Uşaqlar hədiyyələri açmaq üçün səbirsiz idilər.
迫害	təqib etmək	Tarixdə çox adam təqibə məruz qalıb.
魄力	cəsarət	Liderlərə qərar vermək üçün cəsarət lazımdır.
扑	atılmaq	Uşaq birdən anasının qucağına atıldı.
铺	döşəmək	İşçilər yeni xalçanı döşəyirlər.
普及	yayılmaq	İnternet şəhərlərdə artıq geniş yayılıb.
朴实	sadə və səmimi	Onun dili sadə və səmimidir.
朴素	sadə	O, sadə həyat tərzini sevir.
瀑布	şəlalə	Turistlər şəlalənin yanında şəkil çəkdirdilər.
凄凉	kimsəsiz	Qışda dağ kəndi çox kimsəsiz görünürdü.
期望	gözlənti	Valideynlərin uşaqlarından böyük gözləntisi var.
期限	müddət	Qeydiyyat müddəti bu cümə günüdür.
欺负	incitmək	Böyük uşaqlar kiçik uşaqları incitməməlidir.
欺骗	aldatmaq	Yalan reklam istehlakçıları aldatdı.
奇妙	möcüzəli	Təbiətdə çoxlu möcüzəli hadisələr var.
旗袍	Çin üslublu don	O, qırmızı Çin üslublu don geyinib axşam ziyafətinə qatıldı.
旗帜	bayraq	Meydanda parlaq bayraqlar dalğalanırdı.
歧视	ayrı-seçkilik	Qanun ayrı-seçkiliyin hər formasını qadağan edir.
齐全	tam	Bu mağazada alətlər tam çeşiddədir.
齐心协力	birgə çalışmaq	Hamı birgə çalışaraq tapşırığı tamamladı.
乞丐	dilənçi	Yol kənarında yaşlı bir dilənçi oturmuşdu.
企图	cəhd etmək	O, həqiqi vəziyyəti gizlətməyə cəhd etdi.
启程	yola düşmək	Nümayəndə heyəti sabah səhər tezdən yola düşəcək.
启蒙	ilkin maarifləndirmə	Bu kitab uşaqların ilkin oxu təlimi üçün uyğundur.
启事	elan	Məktəbin qapısına işə qəbul elanı vurulmuşdu.
启示	ibrət	Bu uğursuzluq bizə vacib ibrət verdi.
岂有此理	ağlasığmaz	Bu cür ödəniş həqiqətən ağlasığmazdır.
起草	layihə hazırlamaq	Vəkil müqavilə layihəsini hazırlayır.
起初	əvvəlcə	Əvvəlcə o, bu xəbərə inanmırdı.
起伏	eniş-yoxuş	Dağ yolu relyefə görə eniş-yoxuş edir.
起哄	hay-küy salmaq	Şagirdlər dərsdə hay-küy salmamalıdırlar.
起码	ən azı	Sən ən azı mənə əvvəlcədən xəbər verməli idin.
起源	mənşə	Bu bayramın mənşəyi qədim dövrə gedib çıxır.
器材	avadanlıq	Laboratoriyaya yeni tədris avadanlığı lazımdır.
器官	orqan	Ürək insan bədəninin vacib orqanıdır.
气概	ruh	Bu şeir qəhrəmanlıq ruhunu göstərir.
气功	nəfəs məşqi	Babam hər səhər nəfəs məşqi edir.
气魄	əzəmət	Bu körpüdə böyük əzəmət var.
气色	üz rəngi	İstirahətdən sonra onun üz rəngi xeyli yaxşılaşdı.
气势	güc	Komanda oyunun əvvəlindən güclü idi.
气味	qoxu	Mətbəxdə qızarmış çörəyin qoxusu vardı.
气象	hava şəraiti	Burada yayla hava şəraiti tez dəyişir.
气压	hava təzyiqi	Hava təzyiqinin düşməsi yağış gətirə bilər.
气质	xasiyyət	Onun sakit bir xasiyyəti var.
迄今为止	indiyədək	İndiyədək təcrübə problemsiz irəliləyib.
掐	qoparmaq	O, kiçik bir çiçəyi qopardı.
恰当	uyğun	Sənin cavabın çox uyğundur.
恰到好处	tam yerində	Bu yeməyin şirinliyi tam yerindədir.
恰巧	təsadüfən	Mən stansiyaya çatanda təsadüfən yağış başladı.
洽谈	danışıqlar aparmaq	İki tərəf əməkdaşlıq detalları barədə danışıqlar aparır.
千方百计	hər vasitə ilə	Onlar həll yolu tapmaq üçün hər vasitə ilə çalışdılar.
牵	əlindən tutmaq	Ana yolu keçərkən uşağın əlindən tutdu.
牵扯	əlaqədar olmaq	Bu məsələ bir çox şöbə ilə əlaqədardır.
牵制	qarşısını almaq	Rəqibin müdafiəsi hücumun qarşısını aldı.
签署	imzalamaq	İki şirkət saziş imzaladı.
谦逊	təvazökar	O, uğur qazandıqdan sonra da təvazökar qaldı.
迁就	güzəştə getmək	Valideynlər həmişə uşaqlara güzəştə getməməlidirlər.
迁徙	köç etmək	Köçəri quşlar hər il mövsümə görə köç edirlər.
前景	perspektiv	Bu sahənin perspektivi yaxşıdır.
前提	ilkin şərt	Etibar əməkdaşlığın ilkin şərtidir.
潜力	potensial	Bu tələbənin böyük potensialı var.
潜水	suya dalmaq	Onlar dəniz kənarına suya dalmağı öyrənməyə getdilər.
潜移默化	hiss olunmadan təsir etmək	Ailə mühiti uşaqlara hiss olunmadan təsir edə bilər.
谴责	qınamaq	Beynəlxalq ictimaiyyət zorakılığı qınadı.
抢劫	qarət etmək	Polis bankı qarət edən şübhəlini tutdu.
强制	məcburi etmək	Yeni qayda sürücüləri təhlükəsizlik kəməri taxmağa məcburi edir.
强迫	məcbur etmək	Uşaqları sevmədikləri işi görməyə məcbur etmə.
抢救	xilas etmək	Həkimlər yaralı işçini xilas etməyə çalışırlar.
桥梁	körpü	Dil mədəni mübadilə üçün körpüdür.
窍门	fənd	Tələffüz öyrənməyin bəzi fəndləri var.
翘	qaldırmaq	O, bir ayağını stulun üstünə qaldırdı.
切实	real və praktik	Bizə real və praktik plan lazımdır.
锲而不舍	inadla davam etmək	O, bu problemi inadla araşdırdı.
亲密	yaxın	Onlar həmişə yaxın münasibət saxlayıblar.
亲热	səmimi	Yaşlı adam qonaqları səmimi qarşıladı.
侵犯	pozmaq	Bu davranış şəxsi məxfiliyi pozdu.
侵略	işğal	Xalq işğalın hər formasına qarşı çıxır.
钦佩	heyran olmaq	Mən onun cəsarətinə çox heyranam.
勤俭	çalışqan və qənaətcil	Nənəm ömrü boyu evi çalışqan və qənaətcil idarə edib.
勤劳	zəhmətkeş	Zəhmətkeş insanlar həmişə imkan yarada bilirlər.
倾听	diqqətlə dinləmək	Müəllim şagirdlərin fikirlərini diqqətlə dinlədi.
倾向	meyl	Gənc istehlakçılar internetdən alış-verişə meyl edirlər.
倾斜	əyilmək	Güclü yağışdan sonra divar əyilməyə başladı.
清澈	duru	Dağdakı çayın suyu çox durudur.
清晨	səhər tezdən	Səhər tezdən hava xüsusilə təmiz olur.
清除	təmizləmək	İşçilər yoldakı qarı təmizlədilər.
清洁	təmiz	Xəstəxana mühiti təmiz saxlamalıdır.
清理	səliqəyə salmaq	Həftəsonu biz anbarı səliqəyə saldıq.
清晰	aydın	Bu foto çox aydındır.
清醒	ayıq	Qəhvə içəndən sonra o, xeyli ayıq oldu.
清真	halal	Yaxınlıqda bir halal restoran var.
情报	kəşfiyyat məlumatı	Jurnalist vacib kəşfiyyat məlumatı əldə etdi.
情节	süjet	Romanın süjeti çox gərgindir.
情理	məntiq	Onun tələbi məntiqə uyğun deyil.
情形	vəziyyət	Yerdəki vəziyyət təsəvvür ediləndən daha mürəkkəb idi.
晴朗	günəşli	Bu gün səma xüsusilə günəşlidir.
请柬	dəvətnamə	Onlar qohumlara və dostlara toy dəvətnaməsi göndərdilər.
请教	məsləhət almaq	Sizdən bir məsələ barədə məsləhət almaq istəyirəm.
请示	göstəriş istəmək	Bu məsələ üçün əvvəlcə rəhbərlikdən göstəriş istəmək lazımdır.
请帖	dəvətnamə	Masanın üstündə bir ad günü dəvətnaməsi vardı.
丘陵	təpəlik	Bu bölgədə təpəliklər çoxdur.
区分	ayırd etmək	Uşaq artıq sağı soldan ayırd edə bilir.
区域	bölgə	Bu bölgədə maşın saxlamaq qadağandır.
屈服	təslim olmaq	O, təzyiqə təslim olmadı.
曲折	mürəkkəb	Onlar mürəkkəb danışıqlardan keçdilər.
驱逐	qovmaq	Polis qarışıqlıq salan adamları qovdu.
渠道	kanal	Şirkət məhsulları yeni kanal vasitəsilə satır.
取缔	qadağan etmək	Hökumət qanunsuz bazarı qadağan etdi.
曲子	melodiya	Bu melodiyanın ahəngi çox gözəldir.
趣味	maraq	Bu oyun çox maraqlıdır.
圈套	tələ	O, az qala fırıldaqçının tələsinə düşəcəkdi.
全局	ümumi vəziyyət	Rəhbərlər ümumi maraqları nəzərə almalıdırlar.
全力以赴	bütün gücü ilə çalışmaq	Biz tapşırığı tamamlamaq üçün bütün gücümüzlə çalışacağıq.
拳头	yumruq	O, yumruğunu sıxıb yarışa hazırlaşdı.
权衡	ölçüb-biçmək	Biz xərclə nəticəni ölçüb-biçməliyik.
权威	nüfuzlu şəxs	Bu professor həmin sahədə nüfuzlu şəxsdir.
犬	it	Bu it növü evi qorumaq üçün uyğundur.
缺口	boşluq	Divarda kiçik bir boşluq var.
缺席	iştirak etməmək	O, xəstəlik səbəbi ilə iclasda iştirak etmədi.
缺陷	qüsur	Bu dizaynda açıq qüsur var.
瘸	axsaq	Onun sol ayağı bir az axsaqdır.
确保	təmin etmək	Zəhmət olmasa, qapının bağlı olduğuna əmin ol.
确立	qurmaq	Şirkət yeni inkişaf məqsədləri qurdu.
确切	dəqiq	Mən dəqiq vaxtı bilmirəm.
确信	əmin olmaq	Mən onun vaxtında gələcəyinə əminəm.
群众	xalq	Xalq yeni siyasəti dəstəkləyir.
染	boyamaq	O, saçını qara rəngə boyadı.
嚷	qışqırmaq	Dəhlizdə ucadan qışqırma.
让步	güzəşt	Hər iki tərəf bir qədər güzəşt etdi.
饶恕	bağışlamaq	O, sonunda qarşı tərəfi bağışlamağı seçdi.
扰乱	pozmaq	Səs-küy dərsin nizamını pozdu.
惹祸	bəla açmaq	Düşünmədən zarafat etmək asanlıqla bəla aça bilər.
热泪盈眶	gözləri yaşla dolmaq	Xoş xəbəri eşidəndə onun gözləri yaşla doldu.
热门	populyar	Süni intellekt populyar mövzudur.
人道	insani	Xilasetmə əməliyyatı insani ruhu göstərdi.
人格	şəxsiyyət	Başqalarını təhqir etmək şəxsiyyət ləyaqətinə zərər verir.
人工	süni	Bu çay süni şəkildə qazılıb.
人家	başqaları	Özünü həmişə başqaları ilə müqayisə etmə.
人间	insan aləmi	Bahar insan aləmini canlılıqla doldurur.
人士	şəxslər	Müxtəlif sahələrdən şəxslər müzakirəyə qatıldılar.
人为	insan amili	Bu qəza insan amili səbəbindən baş verdi.
人性	insan təbiəti	Bu film insan təbiətini müzakirə edir.
人质	girov	Polis girovu uğurla xilas etdi.
仁慈	mərhəmətli	Bu həkim xəstələrə qarşı çox mərhəmətlidir.
忍耐	səbir	Uzun növbədə gözləmək bir az səbir tələb edir.
忍受	dözmək	Mən buradakı səs-küyə dözə bilmirəm.
任命	təyin etmək	Direktorlar şurası onu menecer təyin etdi.
任性	inadkar	Uşağın çox inadkar olması böyüməyə təsir edə bilər.
任意	özbaşına	Zəhmət olmasa, məlumatları özbaşına dəyişmə.
任重道远	uzun və ağır vəzifə	Təhsil islahatı uzun və ağır vəzifədir.
认定	müəyyən etmək	Polis bunun bir qəza olduğunu müəyyən etdi.
认可	qəbul etmək	Onun planı hamı tərəfindən qəbul edildi.
仍旧	hələ də	İllər sonra o, hələ də burada yaşayırdı.
日新月异	sürətlə dəyişmək	Texnologiya günbəgün sürətlə dəyişir.
日益	getdikcə	Ekoloji problemlər getdikcə ciddiləşir.
容貌	görünüş	İllər onun görünüşünü dəyişdi.
容纳	yerləşdirmək	Bu zal beş yüz nəfəri yerləşdirə bilər.
容器	qab	Zəhmət olmasa, mayeni şüşə qaba tök.
容忍	dözmək	Şirkət fırıldaqçılığa dözə bilməz.
溶解	həll olmaq	Duz suda həll olur.
荣幸	şərəf duymaq	İclasda iştirak etməkdən şərəf duyuram.
荣誉	şərəf	Bu medal ən yüksək şərəfi təmsil edir.
融化	ərimək	Günəş işığı buz və qarı yavaş-yavaş əritdi.
融洽	mehriban	İş yoldaşları arasında münasibətlər çox mehribandır.
揉	ovuşdurmaq	Anam çiyinlərimi yavaşca ovuşdurdu.
柔和	yumşaq	İşıq yumşaqdır və gözü qamaşdırmır.
儒家	konfutsiçilik	Konfutsiçilik düşüncəsi Şərqi Asiya mədəniyyətinə təsir edib.
弱点	zəif cəhət	Diqqətsizlik onun əsas zəif cəhətidir.
若干	bir neçə	İclas bir neçə təklif irəli sürdü.
撒谎	yalan danışmaq	Uşaqlar yalan danışmamalıdırlar.
散文	nəsr	O, müasir nəsr oxumağı sevir.
散布	yaymaq	İnternetdə kimsə şayiə yayır.
散发	yaymaq	Bağdan təmiz ətir yayılırdı.
丧失	itirmək	O, inamını itirmədi.
骚扰	narahat etmək	Zəhmət olmasa, digər sərnişinləri narahat etmə.
嫂子	qardaş arvadı	Qardaşımın arvadının bişirdiyi yemək çox dadlıdır.
刹车	əyləc basmaq	Sürücü qəfil əyləc basdı.
啥	nə	Sən bayaq nə dedin?
筛选	seçmək	Sistem CV-ləri avtomatik seçəcək.
山脉	dağ silsiləsi	Bu dağ silsiləsi çox uzundur.
闪烁	yanıb-sönmək	Uzaqdakı işıqlar dayanmadan yanıb-sönürdü.
