simplified	MY	example_MY
隐私	ကိုယ်ရေးကိုယ်တာ	ကုမ္ပဏီသည် အသုံးပြုသူများ၏ ကိုယ်ရေးကိုယ်တာကို ကာကွယ်ရမည်။
隐约	မရှင်းမလင်း; ဝိုးတဝါး	အဝေးမှ တေးသံကို မရှင်းမလင်း ကြားရသည်။
饮食	အစားအသောက်; စားသောက်မှု	ကျန်းမာသော အစားအသောက်သည် ခန္ဓာကိုယ်အတွက် အရေးကြီးသည်။
婴儿	မွေးကင်းစကလေး	မွေးကင်းစကလေးသည် အချိန်ကြာကြာ အိပ်စက်ရန် လိုအပ်သည်။
英明	ပညာရှိတော်သော	ခေါင်းဆောင်၏ ပညာရှိတော်သော ဆုံးဖြတ်ချက်ကြောင့် အဖွဲ့သည် အန္တရာယ်ကို ရှောင်နိုင်ခဲ့သည်။
英勇	ရဲရင့်သော	မီးသတ်သမားများသည် ရဲရင့်စွာ မီးထဲသို့ ဝင်ရောက်ခဲ့ကြသည်။
盈利	အမြတ်ရသည်	ကုမ္ပဏီသည် ယခုနှစ်တွင် ပထမဆုံးအကြိမ် အမြတ်ရခဲ့သည်။
迎面	မျက်နှာချင်းဆိုင်; တည့်တည့်	လေပြင်းသည် မျက်နှာချင်းဆိုင် တိုက်လာသောကြောင့် လမ်းလျှောက်ရခက်သည်။
应酬	လူမှုရေးတွေ့ဆုံဆက်ဆံမှု	မန်နေဂျာသည် လုပ်ငန်းဆိုင်ရာ လူမှုရေးတွေ့ဆုံဆက်ဆံမှုများ မကြာခဏ လုပ်ရသည်။
应邀	ဖိတ်ကြားခံရ၍	ပညာရှင်သည် ဖိတ်ကြားခံရ၍ ဆွေးနွေးပွဲတွင် မိန့်ခွန်းပြောခဲ့သည်။
庸俗	ရိုင်းစိုင်းသိမ်ဖျင်းသော	အလွန်ရိုင်းစိုင်းသိမ်ဖျင်းသော ဟာသများကို ပရိသတ်များ မနှစ်သက်ကြပါ။
拥护	ထောက်ခံအားပေးသည်	ပြည်သူများသည် ပညာရေးပြုပြင်ပြောင်းလဲမှုကို ထောက်ခံအားပေးကြသည်။
拥有	ပိုင်ဆိုင်သည်	ကုမ္ပဏီသည် နည်းပညာမူပိုင်ခွင့်များစွာ ပိုင်ဆိုင်သည်။
勇于	ရဲရဲဝံ့ဝံ့ လုပ်သည်	လူငယ်များသည် မိမိအမှားကို ရဲရဲဝံ့ဝံ့ ဝန်ခံသင့်သည်။
永恒	ထာဝရ	မိခင်၏ မေတ္တာသည် ထာဝရတည်မြဲသော အရာတစ်ခုဖြစ်သည်။
涌现	အများအပြား ပေါ်ထွက်လာသည်	နည်းပညာနယ်ပယ်တွင် စီးပွားရေးလုပ်ငန်းအသစ်များ အများအပြား ပေါ်ထွက်လာသည်။
踊跃	တက်ကြွစွာ ပါဝင်သော	ကျောင်းသားများသည် စေတနာ့ဝန်ထမ်းလှုပ်ရှားမှုတွင် တက်ကြွစွာ ပါဝင်ကြသည်။
用户	အသုံးပြုသူ	စနစ်သည် အသုံးပြုသူအတွေ့အကြုံကို ပိုမိုကောင်းမွန်စေရန် ဒီဇိုင်းဆွဲထားသည်။
优胜劣汰	ကောင်းသူကျန်၍ ညံ့သူဖယ်ရှားခံရခြင်း	ပြိုင်ဆိုင်မှုပြင်းထန်သော ဈေးကွက်တွင် ကောင်းသူကျန်၍ ညံ့သူဖယ်ရှားခံရခြင်း ဖြစ်တတ်သည်။
优先	ဦးစားပေးသည်	အရေးပေါ်လူနာများကို ဆေးရုံတွင် ဦးစားပေး ကုသသည်။
优异	ထူးချွန်သော	သူမသည် စာမေးပွဲတွင် ထူးချွန်သော ရလဒ် ရရှိခဲ့သည်။
优越	သာလွန်သော	ဤနေရာသည် သယ်ယူပို့ဆောင်ရေးအရ သာလွန်သော အခြေအနေရှိသည်။
忧郁	ဝမ်းနည်းညှိုးငယ်သော	မိုးရွာသောနေ့တွင် သူ၏ စိတ်သည် ဝမ်းနည်းညှိုးငယ်နေသည်။
油腻	အဆီများသော	အဆီများသော အစားအစာကို အလွန်အကျွံ မစားသင့်ပါ။
油漆	ဆေးသုတ်သည်; ဆေးသုတ်ပစ္စည်း	အလုပ်သမားများသည် နံရံကို အဖြူရောင်ဖြင့် ဆေးသုတ်နေကြသည်။
犹如	ကဲ့သို့	ညအချိန်တွင် မြို့မီးများသည် ကြယ်များကဲ့သို့ တောက်ပနေသည်။
有条不紊	စနစ်တကျ ငြိမ်ငြိမ်သက်သက်	အရေးပေါ်အခြေအနေတွင် ဆရာဝန်များသည် စနစ်တကျ ငြိမ်ငြိမ်သက်သက် လုပ်ဆောင်ခဲ့ကြသည်။
幼稚	ကလေးဆန်သော; မရင့်ကျက်သော	သူ၏ အတွေးအမြင်သည် အနည်းငယ် ကလေးဆန်နေသေးသည်။
诱惑	ဆွဲဆောင်လှည့်ဖြားသည်; ဆွဲဆောင်မှု	လျှော့စျေးကြီးများသည် ဝယ်သူများကို အလွန် ဆွဲဆောင်နိုင်သည်။
愚蠢	မိုက်မဲသော	ဤဆုံးဖြတ်ချက်သည် အလွန် မိုက်မဲသည်။
愚昧	အသိပညာမဲ့သော; မိုက်မဲသော	အသိပညာမဲ့ အယူအဆများသည် တိုးတက်မှုကို တားဆီးသည်။
渔民	တံငါသည်	တံငါသည်များသည် မနက်စောစော ပင်လယ်သို့ ထွက်၍ ငါးဖမ်းကြသည်။
舆论	အများပြည်သူအမြင်	အများပြည်သူအမြင်သည် အမှုအပေါ် အလွန်ကြီးမားသော သက်ရောက်မှုရှိသည်။
与日俱增	နေ့စဉ်တိုးပွားလာသည်	ခရီးသွားဧည့်သည်အရေအတွက်သည် နေ့စဉ်တိုးပွားလာသည်။
宇宙	စကြဝဠာ	လူသားများသည် စကြဝဠာကို အဆက်မပြတ် စူးစမ်းလေ့လာနေကြသည်။
羽绒服	ငှက်မွေးအနွေးအင်္ကျီ	ဆောင်းရာသီတွင် ငှက်မွေးအနွေးအင်္ကျီ ဝတ်ရန် လိုအပ်သည်။
寓言	သင်ခန်းစာပုံပြင်	ဤသင်ခန်းစာပုံပြင်သည် ပညာပေးအဓိပ္ပာယ် အလွန်ရှိသည်။
愈	ပို၍	ရောဂါအခြေအနေသည် ပို၍ ပို၍ ကောင်းလာသည်။
欲望	ဆန္ဒ; လိုချင်စိတ်	သူသည် ဈေးဝယ်လိုချင်စိတ်ကို ထိန်းချုပ်နိုင်ခဲ့သည်။
熨	မီးပူတိုက်သည်	သူမသည် ရှပ်အင်္ကျီကို ပြန့်အောင် မီးပူတိုက်ခဲ့သည်။
玉	ကျောက်စိမ်း	ဤကျောက်စိမ်းတုံး၏ အရောင်သည် နူးညံ့တောက်ပသည်။
预料	ကြိုတင်ခန့်မှန်းသည်; မျှော်မှန်းချက်	အခြေအနေတိုးတက်မှုသည် မျှော်မှန်းချက်ထက် ကျော်လွန်သွားသည်။
预期	မျှော်မှန်းချက်; မျှော်လင့်ထားသည်	ရောင်းအားသည် မျှော်မှန်းချက်ထက် နိမ့်ကျခဲ့သည်။
预算	ဘတ်ဂျက်; ခန့်မှန်းအသုံးစရိတ်	စီမံကိန်းဘတ်ဂျက်ကို ပြင်ဆင်ရန် လိုအပ်သည်။
预先	ကြိုတင်	ကျေးဇူးပြု၍ ပစ္စည်းများကို ကြိုတင်ပြင်ဆင်ပါ။
预言	ကြိုဟောချက်; ကြိုဟောသည်	သူ၏ ကြိုဟောချက်သည် အကောင်အထည်မပေါ်ခဲ့ပါ။
预兆	နိမိတ်လက္ခဏာ	နာကျင်မှုသည် ရောဂါ၏ နိမိတ်လက္ခဏာ ဖြစ်နိုင်သည်။
冤枉	မဟုတ်မမှန်စွပ်စွဲသည်; မတရားနစ်နာသည်	အပြစ်မရှိသူကို မဟုတ်မမှန် မစွပ်စွဲပါနှင့်။
元首	နိုင်ငံခေါင်းဆောင်	နှစ်နိုင်ငံခေါင်းဆောင်များသည် တွေ့ဆုံဆွေးနွေးပွဲ ကျင်းပခဲ့ကြသည်။
元素	ဒြပ်စင်	အောက်ဆီဂျင်သည် ဓာတုဒြပ်စင်တစ်မျိုး ဖြစ်သည်။
元宵节	မီးပုံးပွဲတော်	မီးပုံးပွဲတော်တွင် လူများသည် မီးပုံးများကို ကြည့်ရှုကြသည်။
原告	တရားလို	တရားလိုသည် သက်သေအထောက်အထားအသစ်ကို တင်ပြခဲ့သည်။
原理	အခြေခံသဘောတရား	ဆရာသည် စက်၏ အခြေခံသဘောတရားကို ရှင်းပြခဲ့သည်။
原始	မူလ; ရှေးဦး	သူတို့သည် မူလမှတ်တမ်းများကို ထိန်းသိမ်းထားခဲ့သည်။
原先	အရင်က; မူလက	မူလအစီအစဉ်သည် ပြောင်းလဲသွားပြီ။
园林	ဥယျာဉ်မြေ	ဆူကျိုးဥယျာဉ်မြေများသည် အလွန် ကျော်ကြားသည်။
圆满	ပြည့်စုံအောင်မြင်သော	အစည်းအဝေးသည် ပြည့်စုံအောင်မြင်မှု ရရှိခဲ့သည်။
源泉	အရင်းအမြစ်	လက်တွေ့လုပ်ဆောင်မှုသည် အသိပညာ၏ အရင်းအမြစ်ဖြစ်သည်။
缘故	အကြောင်းရင်း	သူသည် ကျန်းမာရေးအကြောင်းရင်းကြောင့် အလုပ်မှ နုတ်ထွက်ခဲ့သည်။
约束	ထိန်းချုပ်သည်; ကန့်သတ်သည်	စနစ်သည် ဝန်ထမ်းများ၏ အပြုအမူကို ထိန်းချုပ်သည်။
乐谱	တေးဂီတစာရွက်	သူမသည် တေးဂီတစာရွက်ကို ဂရုတစိုက် ဖတ်နေသည်။
岳母	ယောက္ခမအမေ	သူသည် စနေ၊ တနင်္ဂနွေတွင် ယောက္ခမအမေကို သွားတွေ့သည်။
孕育	ပေါက်ဖွားစေသည်; ပျိုးထောင်သည်	မြေဆီလွှာသည် အသက်သစ်ကို ပေါက်ဖွားစေသည်။
蕴藏	ဖုံးကွယ်သိုမှီးထားသည်; ကြွယ်ဝစွာရှိသည်	တောင်တန်းဒေသတွင် သတ္တုသယံဇာတများ ကြွယ်ဝစွာရှိသည်။
运算	တွက်ချက်မှု	ကျောင်းသားများသည် သင်္ချာတွက်ချက်မှုများကို လေ့ကျင့်ကြသည်။
运行	လည်ပတ်သည်	စနစ်သည် တည်ငြိမ်စွာ လည်ပတ်နေသည်။
酝酿	စီစဉ်ပြင်ဆင်နေသည်; အစီအစဉ်ချနေသည်	နှစ်ဖက်စလုံးသည် အစီအစဉ်အသစ်ကို စီစဉ်ပြင်ဆင်နေကြသည်။
杂技	ကစားကွက်အနုပညာ	ကလေးများသည် ကစားကွက်အနုပညာပြပွဲကို ကြည့်ရတာ နှစ်သက်ကြသည်။
杂交	မျိုးစပ်	သိပ္ပံပညာရှင်များသည် မျိုးစပ်ဆန်ကို လေ့လာနေကြသည်။
砸	ပစ်ချိုးသည်; ထိမှန်ကွဲသည်	ခွက်သည် ကြမ်းပြင်ပေါ်သို့ ထိမှန်ကွဲသွားသည်။
咋	ဘယ်လို; ဘာလို့	မင်း ဘာလို့ အခုထိ ပြန်မလာသေးတာလဲ။
栽培	စိုက်ပျိုးသည်; ပျိုးထောင်သည်	ဥယျာဉ်မှူးသည် ပန်းများစွာကို စိုက်ပျိုးခဲ့သည်။
灾难	ဘေးအန္တရာယ်; ကပ်ဘေး	ကပ်ဘေးပြီးနောက် မြို့သည် ပြန်လည်တည်ဆောက်မှု စတင်ခဲ့သည်။
宰	သတ်သည်	ပွဲနေ့တွင် ရွာသားများသည် သိုးကို သတ်ကြသည်။
再接再厉	ဆက်လက်ကြိုးစားသည်	ဆုရပြီးနောက် အသင်းသည် ဆက်လက်ကြိုးစားခဲ့သည်။
在意	ဂရုစိုက်သည်; အလေးထားသည်	သူမသည် အခြားသူများ၏ အမြင်ကို အလွန် အလေးထားသည်။
攒	စုဆောင်းသည်	သူသည် ကွန်ပျူတာဝယ်ရန် ငွေစုဆောင်းနေသည်။
暂且	ယာယီအားဖြင့်; ခဏထား	ဤပြဿနာကို ယာယီအားဖြင့် ခဏထားကြစို့။
赞叹	ချီးကျူးအံ့ဩသည်	ပရိသတ်များသည် သရုပ်ဆောင်၏ ဖျော်ဖြေမှုကို ချီးကျူးအံ့ဩခဲ့ကြသည်။
赞助	ထောက်ပံ့ကူညီသည်	ကုမ္ပဏီသည် ဤပြိုင်ပွဲကို ထောက်ပံ့ကူညီခဲ့သည်။
糟蹋	ဖြုန်းတီးဖျက်ဆီးသည်	ဤလတ်ဆတ်သော အစားအစာများကို မဖြုန်းတီးပါနှင့်။
遭受	ခံစားရသည်; ကြုံတွေ့ခံရသည်	လယ်မြေများသည် ပြင်းထန်သော မိုးခေါင်ဘေးကို ခံစားခဲ့ရသည်။
遭殃	ဒုက္ခရောက်သည်	တံတားပြိုကျသဖြင့် အနီးအနားနေထိုင်သူများ ဒုက္ခရောက်ခဲ့ကြသည်။
遭遇	ကြုံတွေ့သည်	သူတို့သည် လမ်းတွင် နှင်းမုန်တိုင်းကို ကြုံတွေ့ခဲ့ကြသည်။
噪音	ဆူညံသံ	ဆောက်လုပ်ရေးဆူညံသံသည် အနားယူမှုကို ထိခိုက်စေသည်။
造型	ပုံစံဒီဇိုင်း	ဤကား၏ ပုံစံဒီဇိုင်းသည် အလွန် ထူးခြားသည်။
责怪	အပြစ်တင်သည်	ကလေးကို တစ်ဖက်သတ် အပြစ်မတင်ပါနှင့်။
贼	သူခိုး	ရဲများသည် ထိုသူခိုးကို ဖမ်းမိခဲ့သည်။
增添	တိုးထည့်သည်; ပိုမိုဖြည့်စွက်သည်	ပန်းများသည် အခန်းထဲသို့ အရောင်အသွေးကို ပိုမိုဖြည့်စွက်ပေးသည်။
赠送	လက်ဆောင်ပေးသည်	ဆိုင်သည် လက်ဆောင်ပစ္စည်းလေးများကို ပေးသည်။
扎	ထိုးသည်	သူနာပြုသည် သူ့ကို ဆေးထိုးပေးခဲ့သည်။
扎实	ခိုင်မာသော	သူ၏ သဒ္ဒါအခြေခံသည် အလွန် ခိုင်မာသည်။
渣	အကြွင်းအကျန်; အနည်	ခွက်အောက်ခြေတွင် ကော်ဖီအနည် ကျန်ခဲ့သည်။
眨	မျက်တောင်ခတ်သည်	သူမသည် မျက်တောင် နှစ်ခါခတ်လိုက်သည်။
诈骗	လိမ်လည်မှု; လိမ်လည်သည်	ရဲတပ်ဖွဲ့သည် ဆက်သွယ်ရေးလိမ်လည်မှုအမှုကို ဖော်ထုတ်ခဲ့သည်။
摘要	အကျဉ်းချုပ်	စာတမ်းအကျဉ်းချုပ်ကို အလွန်ရှင်းလင်းစွာ ရေးထားသည်။
债券	ကြွေးစာချုပ်	ရင်းနှီးမြှုပ်နှံသူများသည် အစိုးရကြွေးစာချုပ်များကို ဝယ်ယူကြသည်။
沾光	အကျိုးခံစားရသည်; အခွင့်အရေးရသည်	ကျွန်တော်လည်း မိတ်ဆွေကြောင့် အကျိုးခံစားခွင့် ရခဲ့သည်။
瞻仰	ဂါရဝပြုကြည့်ရှုသည်	ခရီးသွားများသည် သူရဲကောင်းအထိမ်းအမှတ်တိုင်ကို ဂါရဝပြုကြည့်ရှုကြသည်။
展示	ပြသသည်	ကုမ္ပဏီသည် နောက်ဆုံးပေါ် ထုတ်ကုန်များကို ပြသခဲ့သည်။
展望	အနာဂတ်ကို မျှော်မှန်းသည်; အလားအလာ	အစီရင်ခံစာသည် အနာဂတ်လမ်းကြောင်းများကို မျှော်မှန်းထားသည်။
展现	ဖော်ပြပြသသည်	လက်ရာသည် ကျေးလက်ဘဝကို ဖော်ပြပြသထားသည်။
崭新	အသစ်စက်စက်သော	သူသည် အသစ်စက်စက် စက်ဘီးတစ်စီး ဝယ်ခဲ့သည်။
斩钉截铁	ပြတ်ပြတ်သားသား	သူမသည် ပြတ်ပြတ်သားသား ငြင်းပယ်ခဲ့သည်။
占据	နေရာယူထားသည်	ကြော်ငြာသည် စာမျက်နှာတစ်ခုလုံးကို နေရာယူထားသည်။
占领	သိမ်းပိုက်သည်	တပ်မတော်သည် တောင်ကြားလမ်းဝကို သိမ်းပိုက်ခဲ့သည်။
战斗	တိုက်ပွဲ; တိုက်ခိုက်သည်	တိုက်ပွဲသည် သုံးနာရီ ကြာမြင့်ခဲ့သည်။
战略	မဟာဗျူဟာ	ကုမ္ပဏီသည် ဖွံ့ဖြိုးရေးမဟာဗျူဟာကို ပြင်ဆင်ခဲ့သည်။
战术	နည်းဗျူဟာ	နည်းပြသည် ပြိုင်ပွဲနည်းဗျူဟာကို ပြောင်းလဲခဲ့သည်။
战役	စစ်ဆင်ရေး; တိုက်ပွဲကြီး	ဤစစ်ဆင်ရေးသည် အခြေအနေကို ပြောင်းလဲစေခဲ့သည်။
章程	စည်းမျဉ်းစာတမ်း	အသင်းသည် စည်းမျဉ်းစာတမ်းအသစ်ကို အတည်ပြုခဲ့သည်။
帐篷	တဲ	သူတို့သည် ကန်ဘေးတွင် တဲထိုးခဲ့ကြသည်။
障碍	အတားအဆီး	ဘာသာစကားအတားအဆီးသည် ဆက်သွယ်ရေးကို ထိခိုက်စေသည်။
招标	တင်ဒါခေါ်သည်	အင်ဂျင်နီယာစီမံကိန်းသည် ပွင့်လင်းစွာ တင်ဒါခေါ်ခဲ့သည်။
招收	လက်ခံခေါ်ယူသည်	ကျောင်းသည် ယခုနှစ်တွင် ကျောင်းသားသစ်များကို လက်ခံခေါ်ယူသည်။
朝气蓬勃	တက်ကြွလန်းဆန်းသော	လူငယ်အသင်းသည် တက်ကြွလန်းဆန်းနေသည်။
着迷	စွဲလမ်းသည်	ကလေးသည် နက္ခတ္တဗေဒကို အလွန် စွဲလမ်းနေသည်။
沼泽	စိမ့်မြေ; ရွှံ့နွံမြေ	စူးစမ်းလေ့လာရေးအဖွဲ့သည် စိမ့်မြေကို ဖြတ်သန်းခဲ့သည်။
照样	မူလအတိုင်း; အရင်အတိုင်း	မိုးရွာသော်လည်း လေ့ကျင့်မှုသည် အရင်အတိုင်း ဆက်လုပ်သည်။
照耀	အလင်းရောင်ထွန်းလင်းသည်	နေရောင်ခြည်သည် ရင်ပြင်ပေါ်တွင် ထွန်းလင်းနေသည်။
折腾	အလုပ်ရှုပ်စေသည်; ဟိုဟိုဒီဒီလုပ်သည်	ဤကွန်ပျူတာဟောင်းကို ထပ်မံ ဟိုဟိုဒီဒီ မလုပ်ပါနှင့်။
遮挡	ကာကွယ်ပိတ်ဆို့သည်	သစ်ကိုင်းများသည် ပြတင်းပေါက်ကို ပိတ်ဆို့ထားသည်။
折	ခေါက်သည်	သူသည် စက္ကူကို လေယာဉ်ပုံစံ ခေါက်ခဲ့သည်။
折磨	နှိပ်စက်ညှဉ်းပန်းသည်	ရေရှည် အိပ်မပျော်ခြင်းသည် သူမကို နှိပ်စက်ညှဉ်းပန်းနေသည်။
侦探	စုံထောက်	စုံထောက်သည် အရေးကြီးသော သဲလွန်စကို တွေ့ရှိခဲ့သည်။
斟酌	သေချာစဉ်းစားသည်	ကျေးဇူးပြု၍ စကားလုံးအသုံးအနှုန်းကို သေချာစဉ်းစားပါ။
珍贵	တန်ဖိုးကြီးသော; အဖိုးတန်သော	ဤဓာတ်ပုံများသည် အလွန် အဖိုးတန်သည်။
珍稀	ရှားပါးတန်ဖိုးရှိသော	ရှားပါးတန်ဖိုးရှိသော တောရိုင်းတိရစ္ဆာန်များကို ကာကွယ်ပါ။
珍珠	ပုလဲ	သူမသည် ပုလဲနားကပ် ဝတ်ထားသည်။
真理	အမှန်တရား	လက်တွေ့လုပ်ဆောင်မှုသည် အမှန်တရားကို စစ်ဆေးသည်။
真相	အမှန်အခြေအနေ	သတင်းထောက်သည် အမှန်အခြေအနေကို သိရှိရန် ကြိုးစားခဲ့သည်။
真挚	ရိုးသားလေးနက်သော	သူမသည် ရိုးသားလေးနက်သော ကျေးဇူးတင်စကားကို ဖော်ပြခဲ့သည်။
枕头	ခေါင်းအုံး	ဤခေါင်းအုံးသည် မြင့်လွန်းသည်။
振奋	စိတ်တက်ကြွစေသည်	သတင်းကောင်းသည် လူတိုင်းကို စိတ်တက်ကြွစေခဲ့သည်။
振兴	ပြန်လည်ဖွံ့ဖြိုးစေသည်	အစိုးရသည် ကျေးလက်ပြန်လည်ဖွံ့ဖြိုးရေးကို တွန်းအားပေးနေသည်။
镇定	တည်ငြိမ်အေးဆေးသော	အရေးပေါ်အချိန်တွင် သူသည် တည်ငြိမ်အေးဆေးစွာ နေခဲ့သည်။
镇静	စိတ်ငြိမ်သက်သော	သူနာပြုသည် လူနာကို စိတ်ငြိမ်သက်စွာ နေစေခဲ့သည်။
阵地	ခံစစ်နေရာ	စစ်သားများသည် ခံစစ်နေရာကို ထိန်းသိမ်းထားခဲ့ကြသည်။
阵容	အဖွဲ့အစီအစဉ်; လူစာရင်း	ဘောလုံးအသင်းသည် ပထမဆုံးထွက်ကစားမည့် လူစာရင်းကို ကြေညာခဲ့သည်။
震撼	အလွန်ထိခိုက်လှုပ်ရှားစေသည်	ဤရုပ်ရှင်သည် အလွန် ထိခိုက်လှုပ်ရှားစေသည်။
震惊	တုန်လှုပ်အံ့အားသင့်စေသည်	သတင်းသည် တစ်နိုင်ငံလုံးကို တုန်လှုပ်အံ့အားသင့်စေခဲ့သည်။
争端	အငြင်းပွားမှု	နှစ်ဖက်စလုံးသည် နယ်စပ်အငြင်းပွားမှုကို ဖြေရှင်းရန် ကြိုးစားနေကြသည်။
争夺	ယှဉ်ပြိုင်လုယူသည်	ကုမ္ပဏီနှစ်ခုသည် ဈေးကွက်ဝေစုကို ယှဉ်ပြိုင်လုယူနေကြသည်။
争气	ဂုဏ်ယူစေသည်; မျက်နှာမငယ်စေသည်	သူသည် မိသားစုအတွက် ဂုဏ်ယူစေရန် ကြိုးစားလေ့လာခဲ့သည်။
争先恐后	အလုအယက်ရှေ့တက်သည်	ခရီးသွားများသည် ကားပေါ်တက်ရန် အလုအယက်ရှေ့တက်ကြသည်။
争议	အငြင်းပွားဖွယ်ရာ	ဤဆုံးဖြတ်ချက်သည် အငြင်းပွားဖွယ်ရာ ဖြစ်စေခဲ့သည်။
征服	အောင်နိုင်သည်; သိမ်းပိုက်အောင်မြင်သည်	တောင်တက်သမားများသည် မြင့်မားသော တောင်ထိပ်ကို အောင်နိုင်ခဲ့ကြသည်။
征收	ကောက်ခံသည်	အစိုးရသည် ဥပဒေအရ အခွန်ကို ကောက်ခံသည်။
挣扎	ရုန်းကန်သည်	ငှက်ကလေးသည် ပိုက်ကွန်ထဲတွင် ရုန်းကန်နေသည်။
正月	လပြည့်နှစ်၏ ပထမလ	လပြည့်နှစ်၏ ပထမလတွင် ဆွေမျိုးများသည် အပြန်အလှန် နှစ်သစ်ကူးနှုတ်ဆက်ကြသည်။
蒸发	အငွေ့ပျံသည်	ရေဓာတ်သည် အလွန်မြန်စွာ အငွေ့ပျံသွားသည်။
整顿	ပြုပြင်စည်းရုံးသည်	ကုမ္ပဏီသည် စီမံခန့်ခွဲမှုကို ပြုပြင်စည်းရုံးမှု စတင်ခဲ့သည်။
政策	မူဝါဒ	မူဝါဒအသစ်သည် အသေးစားလုပ်ငန်းများကို ထောက်ပံ့ပေးသည်။
政权	နိုင်ငံရေးအာဏာ	စစ်ပွဲသည် ဒေသခံနိုင်ငံရေးအာဏာကို ပြောင်းလဲစေခဲ့သည်။
正当	တရားမျှတသော; သင့်လျော်သော	သူသည် တရားမျှတသော တောင်းဆိုချက်ကို တင်ပြခဲ့သည်။
正负	အပေါင်းအနှုတ်	တိုင်းတာစက်သည် အပေါင်းအနှုတ်အမှားကို ပြသသည်။
正规	စနစ်တကျ တရားဝင်သော	ကလေးသည် စနစ်တကျ တရားဝင်သော ကျောင်းတွင် သင်ယူခဲ့သည်။
正经	လေးနက်သော; တည်ကြည်သော	သူ၏ စကားပြောပုံသည် နောက်ဆုံးတွင် လေးနက်လာသည်။
正气	တရားမှန်စိတ်ဓာတ်	လူ့အဖွဲ့အစည်းသည် တရားမှန်စိတ်ဓာတ်ကို မြှင့်တင်ရန် လိုအပ်သည်။
正义	တရားမျှတမှု	ရှေ့နေသည် တရားမျှတမှုအတွက် ကာကွယ်ပြောဆိုခဲ့သည်။
正宗	မူရင်းစစ်စစ်သော	ဤဆိုင်သည် မူရင်းစစ်စစ် စီချွမ်ဟင်းလျာများကို ရောင်းသည်။
症状	ရောဂါလက္ခဏာ	ဖျားနာခြင်းသည် တွေ့ရများသော ရောဂါလက္ခဏာဖြစ်သည်။
证实	အတည်ပြုသည်	စုံစမ်းစစ်ဆေးမှုသည် သူ၏ ပြောဆိုချက်ကို အတည်ပြုခဲ့သည်။
证书	လက်မှတ်	သူမသည် ပညာရပ်ဆိုင်ရာ လက်မှတ်ကို ရရှိခဲ့သည်။
郑重	လေးလေးနက်နက်	သူသည် တာဝန်ယူမည်ဟု လေးလေးနက်နက် ကတိပေးခဲ့သည်။
之际	အချိန်အခါတွင်	နွေဦးပွဲတော် နီးကပ်လာချိန်အခါတွင် လူတိုင်း အလုပ်များနေသည်။
支撑	ထောက်ထားသည်	တိုင်များသည် ခေါင်မိုးကို ထောက်ထားသည်။
支出	အသုံးစရိတ်	မိသားစုအသုံးစရိတ်သည် သိသိသာသာ တိုးလာသည်။
支流	မြစ်ခွဲ	ဤမြစ်သည် ယန်စီမြစ်၏ မြစ်ခွဲဖြစ်သည်။
支配	လွှမ်းမိုးထိန်းချုပ်သည်	စိတ်ခံစားချက်များသည် ဆုံးဖြတ်ချက်ကို မလွှမ်းမိုးသင့်ပါ။
支援	ထောက်ပံ့ကူညီသည်	ဒေသအသီးသီးမှ ဆရာဝန်များသည် ကူညီထောက်ပံ့ရန် ရောက်လာကြသည်။
支柱	အဓိကတိုင်; မဏ္ဍိုင်	ထုတ်လုပ်ရေးလုပ်ငန်းသည် ဒေသခံစီးပွားရေး၏ မဏ္ဍိုင်ဖြစ်သည်။
枝	ကိုင်း; ပန်းတစ်ခက်	သူမသည် ပန်းတစ်ခက်ကို ချိုးယူခဲ့သည်။
知觉	သတိ; ခံစားသိမြင်မှု	ဒဏ်ရာရသူသည် တဖြည်းဖြည်း သတိပြန်ရလာသည်။
知足常乐	ရောင့်ရဲတတ်သူ အမြဲပျော်ရွှင်သည်	အဘိုးအိုသည် ရောင့်ရဲတတ်သူ အမြဲပျော်ရွှင်သည်ဟု မကြာခဏ ပြောသည်။
脂肪	အဆီဓာတ်	အခွံမာသီးများတွင် ကျန်းမာသော အဆီဓာတ် ပါဝင်သည်။
侄子	တူယောက်ျားလေး	ကျွန်တော်၏ တူယောက်ျားလေးသည် ယခုနှစ် မူလတန်းကျောင်း တက်နေသည်။
值班	တာဝန်ကျသည်	သူနာပြုသည် ဒီည တာဝန်ကျသည်။
执行	အကောင်အထည်ဖော်သည်; ဆောင်ရွက်သည်	တရားရုံးသည် စီရင်ချက်ကို အကောင်အထည်ဖော်ခဲ့သည်။
执着	စွဲမြဲသော; လက်မလျှော့သော	သူသည် မိမိ၏ စံပြအပေါ် အလွန် စွဲမြဲသည်။
殖民地	ကိုလိုနီနယ်မြေ	ဤကျွန်းသည် တစ်ချိန်က ကိုလိုနီနယ်မြေ ဖြစ်ခဲ့သည်။
直播	တိုက်ရိုက်ထုတ်လွှင့်သည်	ပြိုင်ပွဲကို ဒီည အွန်လိုင်းတွင် တိုက်ရိုက်ထုတ်လွှင့်မည်။
直径	အချင်း	ဤစက်ဝိုင်း၏ အချင်းသည် ဆယ်စင်တီမီတာ ဖြစ်သည်။
职能	တာဝန်လုပ်ဆောင်ချက်	ဌာန၏ တာဝန်လုပ်ဆောင်ချက်များကို ပြန်လည်ခွဲခြားရန် လိုအပ်သည်။
职位	ရာထူး	သူမသည် စီမံခန့်ခွဲရေးရာထူးကို လျှောက်ထားခဲ့သည်။
