simplified	SW	example_SW
扣	kufunga	Tafadhali funga mkanda wako wa usalama.
哭泣	kulia	Msichana alijificha kwenye kona na kulia.
枯萎	kunyauka	Ukosefu wa maji ulisababisha maua kunyauka.
枯燥	kuchosha	Kazi hii inachosha kidogo.
苦尽甘来	mateso kuisha na raha kuanza	Baada ya miaka ya kuvumilia, mateso hatimaye yaligeuka kuwa furaha.
苦涩	chungu na kikavu	Chai hii ya dawa ina ladha chungu na kikavu.
挎	kubeba mkononi	Alitoka akiwa amebeba mfuko wa kitambaa mkononi.
跨	kuvuka kwa hatua	Alivuka mtaro kwa hatua na kuendelea mbele.
快活	furaha	Watoto walicheza kwa furaha kwenye nyasi.
宽敞	pana	Darasa hili ni angavu na pana.
宽容	uvumilivu	Jamii inahitaji uelewa na uvumilivu zaidi.
款待	kukaribisha kwa ukarimu	Mwenyeji aliwakaribisha wageni kwa ukarimu.
款式	mtindo	Vazi hili lina mtindo mpya sana.
筐	kikapu	Alibeba kikapu cha tufaha kwenda nyumbani.
况且	zaidi ya hayo	Njia ni ndefu, zaidi ya hayo giza linaingia.
旷课	kuruka darasa	Wanafunzi wanaoruka darasa bila sababu wataandikwa.
框架	mfumo	Ripoti inahitaji kuweka mfumo wake kwanza.
矿产	madini	Eneo hili lina utajiri wa rasilimali za madini.
亏待	kutendea vibaya	Kampuni haitawatendea vibaya wafanyakazi wanaofanya kazi kwa makini.
亏损	hasara	Kiwanda kilipata hasara kubwa mwaka huu.
捆绑	kufunga kwa kamba	Tafadhali funga masanduku haya vizuri kwa kamba.
扩充	kupanua	Shule inapanga kupanua mkusanyiko wa maktaba.
扩散	kuenea	Uvumi ulienea haraka mtandaoni.
扩张	upanuzi; kupanuka	Kampuni inapanua biashara yake kwa tahadhari.
啦	partikeli ya mwisho wa sentensi	Usijali, kila kitu kitakuwa bora.
喇叭	honi; kipaza sauti	Honi ya gari ililia ghafla.
蜡烛	mshumaa	Mishumaa iliwekwa juu ya keki ya siku ya kuzaliwa.
来历	chimbuko; historia	Chimbuko la masalio haya ya kitamaduni haliko wazi.
来源	chanzo	Habari lazima ionyeshe chanzo cha taarifa.
栏目	kipengele; safu	Kipengele hiki cha kipindi hurushwa mara moja kwa wiki.
懒惰	uvivu	Uvivu unaweza kuathiri matokeo ya kujifunza.
狼狈	hali ya taabu	Baada ya mvua, alilowa kabisa na kuonekana katika hali ya taabu.
狼吞虎咽	kula kwa pupa	Alikuwa na njaa sana na alikula chakula kwa pupa.
捞	kutoa majini; kuvua	Mvuvi alivuta wavu kutoka mtoni.
唠叨	kunung'unika	Mama hunung'unika kila mara kuhusu mambo madogo.
牢固	imara	Muundo wa daraja hili ni imara sana.
牢骚	malalamiko	Amejaa malalamiko lakini hataki kubadilika.
乐趣	raha; furaha	Kusoma humletea raha nyingi.
乐意	kuwa tayari	Niko tayari kukusaidia kurekebisha wasifu wako.
雷达	rada	Rada iligundua ndege kwa mbali.
类似	fanana	Matatizo yanayofanana yamewahi kutokea.
冷酷	katili; asiyejali	Toni yake ilisikika baridi na isiyojali.
冷落	kupuuzwa	Mfanyakazi mpya alihisi kupuuzwa.
冷却	kupoa	Mashine inahitaji kupoa kabla ya kutengenezwa.
愣	kupigwa butwaa	Aliposikia habari hiyo, alipigwa butwaa.
黎明	alfajiri	Alfajiri ilipofika, jiji lilianza kuamka taratibu.
理睬	kujali; kuzingatia	Alikuwa na hasira na hakumjali yeyote.
理所当然	kuona kuwa ni haki	Usione msaada wa wengine kuwa ni haki yako tu.
理直气壮	kuwa na haki na kujiamini	Akiwa na ushahidi wa kutosha, alizungumza kwa kujiamini kabisa.
理智	busara; akili	Unapaswa kubaki na busara unapokabiliwa na mgogoro.
礼节	adabu; taratibu za heshima	Tamaduni tofauti zina taratibu tofauti za heshima.
礼尚往来	kubadilishana heshima	Majirani huthamini kubadilishana heshima na wema.
里程碑	hatua muhimu	Mafanikio haya ni hatua muhimu kwa mradi.
例外	isipokuwa	Kila mtu lazima ahudhurie, hakuna isipokuwa.
利害	faida na hasara; maslahi	Jambo hili linahusu maslahi ya pande zote mbili.
力求	kujitahidi	Tunajitahidi kupunguza makosa hadi kiwango cha chini.
力所能及	kadiri ya uwezo	Tafadhali fanya kile kilicho kadiri ya uwezo wako.
力争	kujitahidi kufanikisha	Timu inajitahidi kukamilisha kazi kabla ya muda.
历代	vizazi vilivyopita	Wasomi wa vizazi vilivyopita wamechunguza suala hili.
历来	siku zote	Jiji hili siku zote limethamini elimu.
立场	msimamo	Alieleza msimamo wake katika mkutano.
立方	mchemraba; ujazo	Tanki hili la maji lina ujazo wa mita tatu za ujazo.
立交桥	daraja la juu	Daraja hili la juu lilipunguza msongamano wa magari.
立体	ya pande tatu	Mchoro huu una athari kubwa ya pande tatu.
立足	kujikita	Biashara zinapaswa kujikita katika soko la ndani.
粒	punje; chembe	Kuna punje chache za wali mezani.
廉洁	uadilifu; mwadilifu	Maafisa wa umma lazima wabaki waadilifu na safi.
联欢	mkutano wa pamoja	Wanafunzi wenzake waliandaa sherehe ya pamoja ya mwaka mpya.
联络	mawasiliano; kuwasiliana	Tafadhali wasiliana na mteja haraka iwezekanavyo.
联盟	muungano	Nchi kadhaa ziliunda muungano wa biashara.
联想	kukumbusha	Picha hii inanikumbusha utoto wangu.
连年	miaka mfululizo	Eneo hili limekumbwa na mafuriko kwa miaka mfululizo.
连锁	mnyororo; mfululizo	Kampuni hii inaendesha maduka makubwa ya mnyororo.
连同	pamoja na	Tafadhali tuma ankara pamoja na mkataba.
良心	dhamiri	Mtu anapaswa kuishi bila kuiasi dhamiri yake.
晾	kuanika	Alianika nguo zikauke kwenye roshani.
谅解	uelewa	Natumaini unaweza kuelewa matatizo yetu.
辽阔	pana sana	Nyanda hizo ni pana sana na zinaenea mbali zaidi ya macho.
列举	kuorodhesha	Mwalimu aliorodhesha mifano mitatu.
临床	kimatibabu	Dawa hii iko katika majaribio ya kimatibabu.
淋	kulowesha; kulowana	Usilowane na mvua kwa muda mrefu sana.
吝啬	bahili	Yeye si bahili kamwe kwa marafiki zake.
伶俐	mwerevu; mwepesi wa akili	Msichana huyu mdogo ni mwerevu na mwepesi wa akili.
凌晨	saa za alfajiri	Ndege inaondoka saa tatu za alfajiri.
灵感	msukumo wa ubunifu	Muziki ulimpa msukumo wa ubunifu.
灵魂	roho	Uhuru ndio roho ya kazi hii.
灵敏	nyeti; huitikia haraka	Kifaa hiki huitikia kwa unyeti mkubwa.
零星	hapa na pale	Kulikuwa na taa za hapa na pale angani usiku.
领会	kuelewa; kung'amua	Alielewa haraka maana ya mwalimu.
领事馆	ubalozi mdogo	Alikwenda ubalozi mdogo kushughulikia visa yake.
领土	eneo la taifa	Kila nchi huthamini ukamilifu wa eneo lake la taifa.
领悟	kutambua; kuelewa	Baada ya kushindwa, alielewa maana ya wajibu.
领先	kuongoza; kuwa mbele	Teknolojia yao kwa sasa iko mbele ya wenzao.
领袖	kiongozi	Kiongozi huyu anaheshimiwa sana na watu.
溜	kutoroka kimya; kuteleza	Mbwa mdogo alitoroka kimya kupitia ufa wa mlango.
流浪	kutangatanga	Alipokuwa kijana aliwahi kutangatanga kutoka sehemu moja hadi nyingine.
流露	kuonyesha	Furaha ilionekana usoni mwake.
流氓	muhuni; jambazi	Polisi waliwakamata wahuni kadhaa wa mitaani.
流通	kuzunguka; kusambaa	Sarafu hii iliwahi kuzunguka katika eneo hilo.
留恋	kutamani kubaki	Walipohitimu, kila mtu alitamani kubaki chuoni.
留念	kuweka kama kumbukumbu	Tulipiga picha langoni mwa shule kama kumbukumbu.
留神	kuwa makini	Lazima uwe makini unapovuka barabara.
聋哑	kiziwi-bubu	Shule inatoa msaada kwa watoto viziwi-bubu.
隆重	rasmi na kubwa	Mkutano ulifanyika rasmi na kwa hadhi kubwa katika ukumbi.
垄断	ukiritimba; kuhodhi soko	Ukiritimba unaweza kudhuru ushindani wa soko.
笼罩	kufunika	Ukungu mzito ulifunika kijiji kizima.
搂	kukumbatia	Mama alimkumbatia mtoto kwa upole.
炉灶	jiko	Jiko la jikoni linahitaji kusafishwa.
轮船	meli	Meli iliondoka bandarini polepole.
轮廓	umbo la nje	Umbo la nje la vilele vya milima ya mbali linaonekana wazi sana.
轮胎	tairi	Matairi ya gari yanahitaji kubadilishwa.
论坛	jukwaa la majadiliano	Wataalamu walitoa hotuba kwenye jukwaa la majadiliano.
论证	kuthibitisha hoja	Ripoti inahitaji kuthibitisha hoja yake zaidi.
啰唆	kuwa na maneno mengi	Acha kuwa na maneno mengi, nenda moja kwa moja kwenye hoja.
络绎不绝	mfululizo usiokatika	Wageni walikuja katika mji wa kale kwa mfululizo usiokatika.
落成	kukamilika kwa ujenzi	Uwanja mpya wa mazoezi utakamilika rasmi kesho.
落实	kutekeleza	Mkutano ulitaka sera mpya itekelezwe haraka.
屡次	mara kwa mara	Aliwakumbusha wote mara kwa mara kuzingatia usalama.
履行	kutimiza	Pande zote mbili lazima zitimize wajibu wa mkataba.
掠夺	kupora	Vita vilisababisha kuporwa kwa rasilimali.
嘛	partikeli ya kusisitiza	Jambo hili ni rahisi, hata hivyo.
麻痹	kupooza; kulegea	Mafanikio laini ya muda mrefu yanaweza kuwafanya watu walegee.
麻木	kufa ganzi; kutojali	Baridi ilifanya vidole vyake vife ganzi.
麻醉	ganzi	Kabla ya upasuaji, daktari alimpa mgonjwa ganzi.
码头	gati	Meli ya mizigo ilitia nanga kando ya gati.
蚂蚁	siafu; mchwa	Siafu wanabeba chakula.
埋伏	kuvizia	Wanajeshi walijificha kuvizia bondeni.
埋没	kufichika	Usiwaache watu wenye vipaji wafichike bila kutambuliwa.
埋葬	kuzika	Wanakijiji walimzika mzee kwenye mteremko wa mlima.
脉搏	mapigo ya moyo	Muuguzi anapima mapigo yake ya moyo.
迈	kupiga hatua	Alipiga hatua kuelekea mlangoni.
埋怨	kulalamikia	Usiwalalamikie wengine kila mara.
慢性	sugu	Magonjwa sugu yanahitaji matibabu ya muda mrefu.
漫长	ndefu sana	Walipitia kusubiri kwa muda mrefu sana.
漫画	katuni ya kusoma	Katuni hii ya kusoma inapendwa sana na vijana.
蔓延	kuenea	Moto ulienea haraka ndani ya msitu.
忙碌	shughuli nyingi	Mwisho wa mwaka ndio wakati wa shughuli nyingi zaidi kwa kampuni.
盲目	bila mwelekeo; kipofu	Uwekezaji haupaswi kufuata mitindo kipofu.
茫茫	pana isiyo na mwisho	Boti ilitoweka katika bahari pana isiyo na mwisho.
茫然	kutojua la kufanya	Baada ya kusikia maelezo, bado alionekana kutojua la kufanya.
冒充	kujifanya mtu mwingine	Mtu alijifanya polisi ili kuwadanganya watu pesa.
冒犯	kukwaza	Maneno yangu hayakukusudiwa kukukwaza.
茂盛	kustawi	Miti uani inastawi vizuri.
媒介	kiungo cha mawasiliano	Intaneti ni kiungo muhimu cha taarifa.
枚	kihesabio cha vitu vidogo	Alikusanya sarafu kadhaa za kumbukumbu.
美观	ya kupendeza	Muundo huu ni wa vitendo na wa kupendeza.
美满	furaha na ukamilifu	Wanaishi maisha ya furaha na ukamilifu.
美妙	ajabu; nzuri sana	Tamasha lilileta uzoefu mzuri sana.
萌芽	chipuko; kuanza	Wazo jipya lilianza kuchipuka.
猛烈	kali	Dhoruba ilikuja kwa ukali sana.
眯	kufinya macho	Jua lilikuwa kali sana, hivyo alifinya macho.
弥补	kufidia	Samahani haiwezi kufidia hasara kikamilifu.
弥漫	kujaa hewani	Harufu ya maua ilijaa uani.
谜语	kitendawili	Watoto hupenda kutegua vitendawili.
迷惑	kuchanganya	Data tata ilimfanya ahisi kuchanganyikiwa.
迷人	ya kuvutia	Mandhari ya usiku kando ya bahari inavutia sana.
迷信	ushirikina	Elimu ya sayansi inaweza kupunguza ushirikina.
密度	msongamano	Metali hii ina msongamano mkubwa.
密封	kufunga kwa muhuri	Baada ya kufungua, tafadhali funga mfuko tena kwa muhuri.
棉花	pamba	Wakulima wanachuma pamba.
免得	ili kuepuka	Ondoka mapema ili kuepuka kuchelewa.
免疫	kinga	Chanjo hii inaweza kuongeza kinga.
勉励	kuhimiza	Mwalimu mara nyingi huwahimiza wanafunzi waendelee kusoma.
勉强	kwa shingo upande	Alikubali mpango huu kwa shingo upande.
面貌	mwonekano	Mwonekano wa jiji umebadilika sana.
面子	heshima mbele ya watu	Hakutaka kupoteza heshima mbele ya watu.
描绘	kueleza; kuchora kwa maneno	Riwaya inaeleza maisha ya vijijini.
瞄准	kulenga	Mpiga risasi alilenga shabaha.
渺小	mdogo sana	Watu huonekana wadogo sana mbele ya maumbile.
藐视	kudharau	Hatupaswi kumdharau mpinzani yeyote.
灭亡	kuangamia	Nasaba hii hatimaye ilielekea kuangamia.
蔑视	dharau	Toni yake ilikuwa imejaa dharau.
民间	ya watu; ya jadi	Sanaa ya jadi ya watu inahitaji kulindwa.
民主	demokrasia	Mkutano ulitumia upigaji kura wa kidemokrasia.
敏捷	mwepesi	Mienendo ya mwanariadha huyu ni myepesi sana.
敏锐	makini na mkali	Waandishi wa habari wanahitaji uwezo mkali wa uchunguzi.
名次	nafasi katika orodha	Alipata nafasi nzuri katika shindano.
名额	nafasi zilizopangwa	Mpango huu una nafasi kumi tu.
名副其实	si kwa jina tu	Yeye ni mtaalamu wa kweli, si kwa jina tu.
名誉	sifa; heshima	Jambo hili liliharibu sifa ya kampuni.
明明	dhahiri	Alijua jibu dhahiri lakini alikataa kulisema.
明智	busara	Kuahirisha uamuzi kulikuwa chaguo la busara.
命名	kupa jina	Wanasayansi walikipa jina kiumbe kipya.
摸索	kutafuta kwa majaribio	Timu bado inatafuta mbinu mpya kwa majaribio.
摩擦	msuguano	Msuguano wa kibiashara ulitokea kati ya nchi hizo mbili.
模范	mfano wa kuigwa	Yeye ni mfano wa kuigwa kwa wanafunzi wote shuleni.
模式	mtindo; mfumo	Mfumo huu wa biashara umefanikiwa sana.
模型	mfano	Mhandisi alitengeneza mfano wa daraja.
磨合	kuzoeana	Timu mpya inahitaji muda wa kuzoeana.
膜	utando	Utando huu unaweza kuchuja uchafu.
魔鬼	shetani	Shetani katika hadithi hiyo ni mjanja sana.
魔术	uchawi wa jukwaani	Watoto hupenda kutazama maonyesho ya uchawi wa jukwaani.
抹杀	kufuta mchango	Mchango wake hauwezi kufutwa.
墨水儿	wino	Wino kwenye kalamu karibu umeisha.
莫名其妙	kushangaza bila kueleweka	Mwitikio wake uliwafanya watu wahisi kushangaa bila kuelewa.
默默	kimya kimya	Aliwasaidia watu wengi kimya kimya.
谋求	kutafuta kwa juhudi	Biashara inatafuta fursa mpya za maendeleo.
模样	mwonekano	Mwonekano wake sasa umebadilika sana.
母语	lugha ya mama	Watoto hujifunza lugha ya mama tangu utotoni.
沐浴	kuoga; kuzama katika	Kijiji cha asubuhi kilizama katika mwanga wa jua.
目睹	kushuhudia	Watu wengi walishuhudia ajali hiyo.
目光	macho; mtazamo	Macho ya kila mtu yalielekezwa jukwaani.
拿手	ustadi maalumu	Samaki wa kukaanga kwa mchuzi ni chakula chake cha ustadi.
纳闷儿	kushangaa	Niliendelea kushangaa kwa nini alichelewa.
耐用	kudumu	Viatu hivi vinadumu sana.
南辕北辙	kwenda kinyume na lengo	Njia yake inaenda kinyume na lengo.
难得	adimu	Hii ni fursa adimu.
难堪	kuaibisha	Swali hili lilimwaibisha.
难能可贵	la kupongezwa kwa nadra	Kubaki mwaminifu chini ya shinikizo ni jambo la kupongezwa sana.
恼火	kukasirika	Vifaa viliharibika tena, naye alikasirika sana.
内涵	maana ya ndani	Neno hili lina maana nyingi za kitamaduni za ndani.
内幕	hadithi ya ndani	Mwandishi alijaribu kuchunguza hadithi ya ndani ya tukio hilo.
内在	ya ndani	Anathamini zaidi sifa za ndani za mtu.
能量	nishati	Kifungua kinywa hiki hunipa nishati nyingi.
拟定	kuandaa rasimu	Katibu anaandaa rasimu ya ajenda ya mkutano.
逆行	kwenda kinyume na njia	Gari hilo lilikuwa linaenda kinyume na njia kwenye barabara ya upande mmoja.
年度	mwaka	Kampuni ilichapisha ripoti yake ya mwaka.
捏	kubinya	Alimbinya mtoto shavuni kwa upole.
凝固	kuganda	Baada ya kupoa, nta itaganda polepole.
凝聚	kuunganisha	Lengo la pamoja linaweza kuunganisha nguvu ya timu.
凝视	kutazama kwa makini	Alitazama kwa makini taa za mbali.
拧	kubinya	Alinibinya mara moja kwa mkono.
宁肯	afadhali	Afadhali ashindwe kuliko kuacha kanuni zake.
宁愿	afadhali	Ningependa kutembea kuliko kusubiri basi.
扭转	kubadilisha mwelekeo	Sera mpya ilibadilisha hali ya kupata hasara.
纽扣儿	kifungo	Shati hili limepoteza kifungo.
农历	kalenda ya mwezi wa Kichina	Sikukuu ya Mwaka Mpya wa Kichina husherehekewa kwa kalenda ya mwezi.
浓厚	hamu kubwa	Ana hamu kubwa ya historia.
奴隶	mtumwa	Utumwa ulikuwepo katika jamii ya kale.
挪	kusogeza	Tafadhali sogeza kiti kidogo pembeni.
虐待	kutendea ukatili	Sheria inapiga marufuku kuwatendea watoto ukatili.
哦	kumbe	Kumbe, sasa nimeelewa.
殴打	kumpiga	Polisi walimkamata mtu aliyempiga mpita njia.
偶像	mtu wa kuigwa	Anamwona mwandishi huyo kama mtu wa kuigwa.
呕吐	kutapika	Alianza kutapika baada ya kula chakula kilichoharibika.
趴	kulala kifudifudi	Paka mdogo alilala kifudifudi dirishani.
徘徊	kusitasita; kuzungukazunguka	Alizungukazunguka mlangoni kwa muda mrefu.
排斥	kukataa; kusukuma mbali	Nyenzo mpya inasukuma unyevu mbali.
排除	kuondoa	Daktari kwanza aliondoa uwezekano wa ugonjwa mbaya.
排放	utoaji wa moshi	Viwanda lazima vipunguze utoaji wa moshi.
排练	kufanya mazoezi ya onyesho	Waigizaji wanafanya mazoezi ya kipindi kipya.
派别	kundi; mrengo	Kuna mirengo tofauti ndani ya shirika hili.
派遣	kutuma	Kampuni ilituma wahandisi kwenye eneo hilo.
攀登	kupanda	Wanapanga kupanda mlima wenye theluji kesho.
盘旋	kuzunguka	Ndege ilizunguka juu ya uwanja wa ndege.
判决	hukumu	Mahakama ilitangaza hukumu leo.
畔	ukingo	Watoto walitembea kando ya ziwa.
庞大	kubwa sana	Mradi huu unahitaji fedha nyingi sana.
抛弃	kuacha	Hataki kuacha ndoto yake.
泡沫	povu; kiputo	Kuna povu jeupe nyingi ndani ya kikombe.
培育	kukuza; kulea	Shule inajitahidi kukuza hisia ya wajibu kwa wanafunzi.
配备	kuandaa; kupatia	Gari jipya limeandaliwa mfumo wa usalama.
配偶	mwenzi wa ndoa	Fomu ya maombi inahitaji taarifa za mwenzi wa ndoa.
配套	vifaa vinavyokamilishana	Jumuiya hii ina vifaa vinavyokamilishana kikamilifu.
盆地	bonde	Bonde hili huwa na joto sana wakati wa kiangazi.
烹饪	upishi	Upishi unahitaji subira na uzoefu.
捧	kushika kwa mikono miwili	Alishika shada la maua kwa mikono miwili.
劈	kupasua	Mfanyakazi alipasua kuni kwa shoka.
批发	kuuza kwa jumla	Duka hili huuza matunda kwa jumla hasa.
批判	kukosoa	Makala ilikosoa mtazamo huu potovu.
疲惫	kuchoka sana	Kila mtu alichoka sana baada ya safari ndefu.
疲倦	kuchoka	Kazi ya mfululizo ilimfanya ajisikie kuchoka.
皮革	ngozi	Mfuko huu umetengenezwa kwa ngozi.
屁股	makalio	Makalio ya mtoto yalimuuma baada ya kuanguka.
譬如	kwa mfano	Kwa mfano, tunaweza kufanya jaribio dogo kwanza.
偏差	mkengeuko	Kuna mkengeuko dhahiri katika matokeo ya jaribio.
偏见	ubaguzi; chuki	Tunapaswa kuepuka ubaguzi wa kikabila.
偏僻	mbali na mji	Kijiji hiki kiko mahali pa mbali sana na mji.
偏偏	kwa bahati mbaya	Kadiri nilivyokuwa na haraka, ndivyo gari lilivyokwenda polepole kwa bahati mbaya.
片断	kipande	Kuna vipande kadhaa vizuri katika filamu.
片刻	muda mfupi	Tafadhali nisubiri hapa kwa muda mfupi.
漂浮	kuelea	Majani yaliyoanguka yalielea juu ya maji.
飘扬	kupepea	Bendera ya taifa ilipepea kwenye upepo.
撇	kutupa pembeni	Alitupa mpango wa zamani pembeni.
拼搏	kujituma	Vijana wanapaswa kujituma kwa ajili ya ndoto zao.
拼命	kwa nguvu zote	Alifukuza timu iliyokuwa mbele kwa nguvu zote.
贫乏	ukosefu; hafifu	Maudhui ya makala hii ni hafifu kiasi.
贫困	umaskini	Serikali inasaidia familia maskini.
频繁	mara kwa mara	Ajali za barabarani zimekuwa za mara kwa mara hapa hivi karibuni.
频率	marudio	Marudio ya sauti hii ni ya juu sana.
品尝	kuonja	Wageni wanaonja chakula cha eneo hilo.
品德	tabia njema	Shule inathamini elimu ya tabia njema kwa wanafunzi.
品质	ubora	Ubora wa bidhaa za kampuni hii ni thabiti.
品种	aina	Kuna aina nyingi za matunda sokoni.
屏幕	skrini	Tafadhali punguza mwangaza wa skrini.
屏障	kizuizi cha kinga	Msitu ni kizuizi muhimu dhidi ya upepo.
平凡	ya kawaida	Alifanya kazi kwa miaka mingi katika nafasi ya kawaida.
平面	ramani ya sakafu; tambarare	Msanifu alichora ramani ya sakafu ya nyumba.
平坦	tambarare	Barabara hii ni tambarare sana.
平行	sambamba	Mistari hii miwili iko sambamba.
平庸	wastani	Hatosheki kuishi maisha ya wastani.
平原	uwanda	Treni ilipita katika uwanda mpana.
评估	kutathmini	Wataalamu wanatathmini hatari za mradi.
评论	kutoa maoni	Wasomaji wanaweza kutoa maoni chini ya makala.
坡	mteremko	Gari lilipanda mteremko polepole.
泼	kumwaga	Usimwage maji sakafuni.
颇	kiasi cha kushangaza	Matokeo haya yanashangaza kiasi.
破例	kufanya ubaguzi	Meneja alifanya ubaguzi na kuidhinisha ombi lake.
迫不及待	kutoweza kusubiri	Watoto hawakuweza kusubiri kufungua zawadi.
迫害	kutesa; mateso	Watu wengi waliteswa katika historia.
魄力	ujasiri	Viongozi wanahitaji ujasiri wa kufanya maamuzi.
扑	kurukia	Mtoto alirukia ghafla mikononi mwa mama yake.
铺	kutandaza	Wafanyakazi wanatandaza zulia jipya.
普及	kuenea	Intaneti tayari imeenea mijini.
朴实	rahisi na ya kweli	Lugha yake ni rahisi na ya kweli.
朴素	rahisi bila mapambo	Anapenda mtindo wa maisha rahisi bila mapambo.
瀑布	maporomoko ya maji	Watalii walisimama kando ya maporomoko ya maji wakipiga picha.
凄凉	ya ukiwa	Kijiji cha mlimani kilionekana cha ukiwa sana wakati wa baridi.
期望	matarajio	Wazazi wana matarajio makubwa kwa watoto wao.
期限	mwisho wa muda	Mwisho wa muda wa kujiandikisha ni Ijumaa hii.
欺负	kuonea	Watoto wakubwa hawapaswi kuwaonea watoto wadogo.
欺骗	kudanganya	Tangazo la uongo liliwadanganya watumiaji.
奇妙	ya ajabu	Maumbile yana matukio mengi ya ajabu.
旗袍	nguo ya qipao	Alivaa qipao nyekundu kwenda kwenye sherehe ya jioni.
旗帜	bendera	Bendera angavu zilikuwa zikipepea uwanjani.
歧视	ubaguzi; kubagua	Sheria inapiga marufuku aina yoyote ya ubaguzi.
齐全	kamili	Duka hili lina zana kamili za kila aina.
齐心协力	kushirikiana kwa moyo mmoja	Kila mtu alishirikiana kwa moyo mmoja kukamilisha kazi.
乞丐	mwombaji	Mwombaji mzee alikuwa amekaa kando ya barabara.
企图	jaribio; kujaribu	Alijaribu kuficha hali halisi.
启程	kuanza safari	Ujumbe utaanza safari mapema kesho asubuhi.
启蒙	elimu ya awali	Kitabu hiki kinafaa kwa usomaji wa awali wa watoto.
启事	tangazo	Tangazo la ajira lilibandikwa langoni mwa shule.
启示	funzo	Kushindwa huku kulitupa funzo muhimu.
岂有此理	upuuzi kabisa	Aina hii ya ada ni upuuzi kabisa.
起草	kuandaa rasimu	Wakili anaandaa rasimu ya mkataba.
起初	mwanzoni	Mwanzoni hakuiamini habari hiyo.
起伏	kupanda na kushuka	Barabara ya mlimani hupanda na kushuka kulingana na ardhi.
起哄	kufanya fujo	Wanafunzi hawapaswi kufanya fujo darasani.
起码	angalau	Angalau unapaswa kunijulisha mapema.
起源	chimbuko	Sikukuu hii ina chimbuko lake katika nyakati za kale.
器材	vifaa	Maabara inahitaji vifaa vipya vya kufundishia.
器官	kiungo	Moyo ni kiungo muhimu cha mwili wa binadamu.
气概	roho ya kishujaa	Shairi hili linaonyesha roho ya kishujaa.
气功	mazoezi ya qigong	Babu hufanya mazoezi ya qigong kila asubuhi.
气魄	haiba yenye nguvu	Daraja hili lina haiba yenye nguvu.
气色	rangi ya uso	Baada ya kupumzika, rangi ya uso wake ilionekana nzuri zaidi.
气势	msukumo; nguvu	Timu ilikuwa na msukumo mkubwa tangu mwanzo.
气味	harufu	Kulikuwa na harufu ya mkate uliokaangwa jikoni.
气象	hali ya hewa	Hali ya hewa ya nyanda za juu hapa hubadilika haraka.
气压	shinikizo la hewa	Kushuka kwa shinikizo la hewa kunaweza kuleta mvua.
气质	haiba; tabia ya ndani	Ana haiba tulivu.
迄今为止	hadi sasa	Hadi sasa, jaribio limeendelea vizuri.
掐	kuchuma; kubinya	Alichuma ua dogo.
恰当	mwafaka	Jibu lako ni mwafaka sana.
恰到好处	sawa kabisa	Utamu wa chakula hiki uko sawa kabisa.
恰巧	kwa bahati	Ilitokea kwa bahati kwamba mvua ilinyesha nilipofika kituoni.
洽谈	kujadiliana	Pande hizo mbili zinajadili maelezo ya ushirikiano.
千方百计	kwa kila njia	Walijaribu kwa kila njia kupata suluhisho.
牵	kushika mkono; kuvuta	Mama alimshika mtoto mkono wakati wa kuvuka barabara.
牵扯	kuhusisha	Jambo hili linahusisha idara nyingi.
牵制	kudhibiti	Ulinzi wa mpinzani ulidhibiti mashambulizi.
签署	kutia saini	Kampuni hizo mbili zilitia saini makubaliano.
谦逊	unyenyekevu	Alibaki mnyenyekevu baada ya kufanikiwa.
迁就	kukubali kupisha	Wazazi hawawezi kuwapisha watoto kila mara.
迁徙	kuhama	Ndege wahamaji huhama kulingana na majira kila mwaka.
前景	mustakabali	Sekta hii ina mustakabali mzuri.
前提	sharti la awali	Uaminifu ni sharti la awali la ushirikiano.
潜力	uwezo fiche	Mwanafunzi huyu ana uwezo fiche mkubwa.
潜水	kuzamia	Walikwenda ufukweni kujifunza kuzamia.
潜移默化	ushawishi usioonekana	Mazingira ya familia yanaweza kuwaathiri watoto bila kuonekana.
谴责	kulaani	Jumuiya ya kimataifa ililaani vurugu hizo.
抢劫	kupora	Polisi walimkamata mtuhumiwa aliyepora benki.
强制	kulazimisha	Sheria mpya inawalazimisha madereva kufunga mikanda ya usalama.
强迫	kulazimisha	Usiwalazimishe watoto kufanya mambo wasiyoyapenda.
抢救	uokoaji	Madaktari wanamuokoa mfanyakazi aliyejeruhiwa.
桥梁	daraja	Lugha ni daraja la kubadilishana utamaduni.
窍门	mbinu	Kuna mbinu kadhaa za kujifunza matamshi.
翘	kuinua	Aliinua mguu mmoja juu ya kiti.
切实	halisi na tekelezeka	Tunahitaji mpango halisi na unaotekelezeka.
锲而不舍	uvumilivu usiokata tamaa	Alichunguza tatizo hili kwa uvumilivu usiokata tamaa.
亲密	ukaribu	Wamedumisha uhusiano wa karibu siku zote.
亲热	ukarimu; joto la upendo	Mzee aliwakaribisha wageni kwa joto la upendo.
侵犯	kukiuka	Tabia hii ilikiuka faragha ya mtu binafsi.
侵略	uvamizi	Watu wanapinga aina yoyote ya uvamizi.
钦佩	kustaajabia; kuheshimu sana	Ninauheshimu sana ujasiri wake.
勤俭	bidii na uwekevu	Bibi aliendesha nyumba kwa bidii na uwekevu maisha yake yote.
勤劳	mwenye bidii	Watu wenye bidii wanaweza daima kuunda fursa.
倾听	kusikiliza kwa makini	Mwalimu alisikiliza maoni ya wanafunzi kwa makini.
