simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
区别	разлика; разликовати	Има ли разлике између ова два материјала?	razlika; razlikovati	Ali je med tema dvema materialoma kakšna razlika?	skirtumas; atskirti	Ar yra skirtumas tarp šių dviejų medžiagų?	atšķirība; atšķirt	Vai starp šiem diviem materiāliem ir kāda atšķirība?
取	узети; подићи	Идем у банку да подигнем новац.	vzeti; dvigniti	Grem v banko dvignit denar.	paimti; išsiimti	Einu į banką išsiimti pinigų.	paņemt; izņemt	Es eju uz banku izņemt naudu.
全部	све; целина	Музика је моје све.	vse; celota	Glasba je moje vse.	viskas; visa	Muzika yra visas mano pasaulis.	viss; kopums	Mūzika man ir viss.
缺点	мана; недостатак	Човек не треба да пореди своје мане са туђим врлинама.	pomanjkljivost; slabost	Človek ne sme primerjati svojih pomanjkljivosti s prednostmi drugih.	trūkumas	Žmogus neturėtų lyginti savo trūkumų su kitų privalumais.	trūkums	Cilvēkam nevajadzētu salīdzināt savus trūkumus ar citu priekšrocībām.
缺少	недостајати; мањкати	Погледај шта још недостаје, одмах ћу то купити.	manjkati; primanjkovati	Poglej, kaj še manjka, takoj bom šel to kupit.	trūkti	Pažiūrėk, ko dar trūksta, dabar pat nueisiu nupirkti.	trūkt; pietrūkt	Paskaties, kā vēl trūkst, es tūlīt iešu nopirkt.
却	али; ипак	Имам много тога да кажем, али кад се унервозим, не могу да изговорим.	vendar; pa	Imam veliko povedati, vendar ko postanem živčen, ne morem ničesar izreči.	tačiau; vis dėlto	Turiu daug ką pasakyti, tačiau susinervinęs negaliu to ištarti.	tomēr; bet	Man ir daudz ko teikt, bet, kad satraucos, nevaru to pateikt.
确实	заиста; стварно	Овај метод је заиста добар.	res; zares	Ta metoda je res dobra.	iš tiesų; tikrai	Šis būdas iš tiesų geras.	patiešām; tiešām	Šī metode patiešām ir laba.
然而	међутим; ипак	Провео сам много времена читајући ову књигу, али је још нисам завршио.	vendar; toda	Veliko časa sem porabil za branje te knjige, vendar je še nisem dokončal.	tačiau; vis dėlto	Daug laiko praleidau skaitydamas šią knygą, tačiau jos dar nebaigiau.	tomēr; taču	Es pavadīju daudz laika, lasot šo grāmatu, tomēr vēl neesmu to pabeidzis.
热闹	жив; живахан	На улици је веома живо.	živahen	Na ulici je zelo živahno.	gyvas; šurmulingas	Gatvėje labai gyva.	rosīgs; dzīvīgs	Uz ielas ir ļoti rosīgi.
任何	било који	Мама ме разуме боље од било кога.	kateri koli; kakršen koli	Mama me razume bolje kot kdorkoli.	bet koks; bet kuris	Mama mane supranta geriau nei bet kas.	jebkurš; jebkāds	Mamma mani saprot labāk nekā jebkurš cits.
任务	задатак	Задатак је завршен осамдесет одсто.	naloga	Opravljenih je osemdeset odstotkov naloge.	užduotis	Atlikta aštuoniasdešimt procentų užduoties.	uzdevums	Uzdevums ir izpildīts par astoņdesmit procentiem.
扔	бацити	Молим те, баци смеће у канту за смеће.	vreči; odvreči	Prosim, vrzi smeti v koš za smeti.	mesti; išmesti	Prašau išmesti šiukšles į šiukšliadėžę.	mest; izmest	Lūdzu, izmet atkritumus atkritumu tvertnē.
仍然	још увек	Данас је још увек лепо време.	še vedno	Danes je še vedno lepo vreme.	vis dar	Šiandien vis dar geras oras.	joprojām	Šodien joprojām ir labs laiks.
日记	дневник	Ћерка је стекла навику да сваки дан пише дневник.	dnevnik	Hči si je pridobila navado, da vsak dan piše dnevnik.	dienoraštis	Dukra įgijo įprotį kasdien rašyti dienoraštį.	dienasgrāmata	Meitai ir izveidojies ieradums katru dienu rakstīt dienasgrāmatu.
入口	улаз	Чекам те на улазу у зграду.	vhod	Čakam te pri vhodu v stavbo.	įėjimas	Laukiu tavęs prie pastato įėjimo.	ieeja	Es tevi gaidu pie ēkas ieejas.
散步	шетати; прошетати се	Док сам шетао, штене ме је све време пратило.	sprehoditi se	Med sprehodom mi je kužek ves čas sledil.	pasivaikščioti	Kai vaikščiojau, šuniukas visą laiką sekė paskui mane.	pastaigāties	Kad es pastaigājos, kucēns visu laiku man sekoja.
森林	шума	Ова шума је веома велика.	gozd	Ta gozd je zelo velik.	miškas	Šis miškas labai didelis.	mežs	Šis mežs ir ļoti liels.
沙发	софа	Молим вас, седите мало на софи, а ја ћу вам сипати шољу чаја.	kavč	Prosimo, sedite malo na kavč, jaz pa vam bom nalil skodelico čaja.	sofa	Prašome trumpai pasėdėti ant sofos, o aš jums įpilsiu puodelį arbatos.	dīvāns	Lūdzu, apsēdieties uz brīdi uz dīvāna, es jums ieliešu tasi tējas.
伤心	тужан; растужити се	Када сам чуо ту вест, био сам веома тужан.	žalosten	Ko sem slišal to novico, sem bil zelo žalosten.	liūdnas; nusiminti	Išgirdęs šią naujieną, labai nuliūdau.	skumjš; noskumt	Pēc šīs ziņas dzirdēšanas man bija ļoti skumji.
商量	посаветовати се; разговарати	Дошао си баш на време, хајде да се посаветујемо.	pogovoriti se; posvetovati se	Prišel si ravno prav, pogovoriva se.	pasitarti; aptarti	Atėjai kaip tik laiku, pasitarkime.	apspriest; aprunāties	Tu atnāci tieši laikā, apspriedīsimies.
稍微	мало; помало	И мало немара може довести до грешке.	malo; nekoliko	Že malo malomarnosti lahko povzroči napako.	truputį	Net truputis neatidumo gali sukelti klaidą.	nedaudz	Pat neliela paviršība var izraisīt kļūdu.
勺子	кашика	Извините, испала ми је кашика на под.	žlica	Oprostite, žlica mi je padla na tla.	šaukštas	Atsiprašau, numečiau šaukštą ant grindų.	karote	Atvainojiet, man karote nokrita uz grīdas.
社会	друштво	Сви су веома забринути због ових друштвених проблема.	družba	Vsi so zelo zaskrbljeni zaradi teh družbenih težav.	visuomenė	Visiems labai rūpi šios visuomenės problemos.	sabiedrība	Visiem ļoti rūp šīs sabiedrības problēmas.
深	дубок	Међу нама постоји дубоко пријатељство.	globok	Med nami je globoko prijateljstvo.	gilus	Tarp mūsų yra gili draugystė.	dziļš	Starp mums ir dziļa draudzība.
申请	поднети захтев; пријава	Поднео сам банци захтев за кредитну картицу.	zaprositi; prošnja	Pri banki sem zaprosil za kreditno kartico.	pateikti paraišką; prašymas	Bankui pateikiau prašymą dėl kreditinės kortelės.	pieteikties; pieteikums	Es bankā pieteicos kredītkartei.
甚至	чак	Сви су се тако добро забавили да су чак заборавили на време.	celo	Vsi so se tako zabavali, da so celo pozabili na čas.	net	Visi taip linksminosi, kad net pamiršo laiką.	pat	Visi tik jautri izklaidējās, ka pat aizmirsa laiku.
生活	живот; живети	У животу се увек наиђе на неке бриге.	življenje; živeti	V življenju vedno naletimo na kakšne skrbi.	gyvenimas; gyventi	Gyvenime visada pasitaiko rūpesčių.	dzīve; dzīvot	Dzīvē vienmēr gadās kādas raizes.
生命	живот	Он сматра уметност важнијом од сопственог живота.	življenje	Umetnost se mu zdi pomembnejša od lastnega življenja.	gyvybė	Jis meną laiko svarbesniu už savo gyvybę.	dzīvība	Viņš mākslu uzskata par svarīgāku nekā paša dzīvību.
生意	посао; трговина	Његов посао постаје све већи.	posel; trgovina	Njegov posel postaja vse večji.	verslas; prekyba	Jo verslas vis plečiasi.	bizness; tirdzniecība	Viņa bizness kļūst arvien lielāks.
省	покрајина; провинција	Долазим из провинције Шандунг.	provinca	Prihajam iz province Šandong.	provincija	Esu iš Šandongo provincijos.	province	Es nāku no Šaņdunas provinces.
剩	остати; преостати	Остале су само две јабуке.	ostati; preostati	Ostali sta samo dve jabolki.	likti	Liko tik du obuoliai.	palikt; atlikt	Palikuši tikai divi āboli.
失败	неуспех; не успети	Иако сам доживео много неуспеха, никада не одустајем.	neuspeh; spodleteti	Čeprav sem doživel veliko neuspehov, nikoli ne obupam.	nesėkmė; nepavykti	Nors patyriau daug nesėkmių, niekada nepasiduodu.	neveiksme; neizdoties	Lai gan esmu piedzīvojis daudzas neveiksmes, es nekad nepadodos.
失望	разочаран; разочарати се	Веома сам разочаран у њега.	razočaran	Nad njim sem zelo razočaran.	nusivylęs	Esu juo labai nusivylęs.	vīlies	Es esmu viņā ļoti vīlies.
师傅	мајстор; уважено обраћање	Мајсторе, извините, како да стигнем до биоскопа?	mojster; spoštljiv nagovor	Oprostite, kako pridem do kina?	meistras; pagarbus kreipinys	Atsiprašau, kaip nueiti iki kino teatro?	meistars; pieklājīga uzruna	Atvainojiet, kā nokļūt līdz kinoteātrim?
十分	веома; изузетно	Она све ради веома пажљиво.	zelo; izredno	Stvari dela zelo natančno.	labai; itin	Ji viską daro labai kruopščiai.	ļoti; ārkārtīgi	Viņa visu dara ļoti rūpīgi.
实际	стварни; практичан	Он је практичним примером објаснио овај проблем.	dejanski; praktičen	To težavo je pojasnil s praktičnim primerom.	tikras; praktinis	Jis šią problemą paaiškino praktiniu pavyzdžiu.	faktisks; praktisks	Viņš izskaidroja šo problēmu ar praktisku piemēru.
实在	заиста; стварно	Стварно сам превише уморан.	res; zares	Res sem preveč utrujen.	tikrai; iš tiesų	Aš tikrai esu labai pavargęs.	tiešām; patiešām	Es tiešām esmu ļoti noguris.
使	учинити; изазвати	Његове речи су ме веома дирнуле.	povzročiti; narediti	Njegove besede so me zelo ganile.	priversti; sukelti	Jo žodžiai mane labai sujaudino.	likt; izraisīt	Viņa vārdi mani ļoti aizkustināja.
使用	користити; употребљавати	Кинези обично користе штапиће када једу.	uporabljati	Kitajci pri jedi navadno uporabljajo palčke.	naudoti	Kinai valgydami paprastai naudoja lazdeles.	lietot	Ķīnieši ēdot parasti lieto irbulīšus.
世纪	век	Сада је двадесет први век.	stoletje	Zdaj je enaindvajseto stoletje.	amžius	Dabar yra dvidešimt pirmasis amžius.	gadsimts	Tagad ir divdesmit pirmais gadsimts.
是否	да ли	Још ми није сасвим јасно да ли он може да дође.	ali	Še nisem povsem prepričan, ali lahko pride.	ar	Man dar nelabai aišku, ar jis gali ateiti.	vai	Man vēl nav īsti skaidrs, vai viņš var nākt.
适合	одговарати; пристајати	Зелена одећа ми баш и не пристаје.	ustrezati; pristajati	Zelena oblačila mi ne pristajajo najbolje.	tikti	Žali drabužiai man nelabai tinka.	derēt; piestāvēt	Zaļas drēbes man īsti nepiestāv.
适应	прилагодити се; навикнути се	Можеш ли да се прилагодиш клими на северу?	prilagoditi se; navaditi se	Se lahko navadiš na severno podnebje?	prisitaikyti	Ar gali prisitaikyti prie šiaurės klimato?	pielāgoties; pierast	Vai vari pierast pie ziemeļu klimata?
收	примити; сакупити	Примио сам твоје писмо.	prejeti; dobiti	Prejel sem tvoje pismo.	gauti	Gavau tavo laišką.	saņemt	Es saņēmu tavu vēstuli.
收入	приход	Његов приход је већи него раније.	prihodek	Njegov prihodek je višji kot prej.	pajamos	Jo pajamos didesnės nei anksčiau.	ienākumi	Viņa ienākumi ir lielāki nekā agrāk.
收拾	спремити; паковати	Пакујем пртљаг.	pospraviti; pakirati	Pakiram prtljago.	susitvarkyti; krautis	Aš kraunuosi bagažą.	sakārtot; kravāt	Es kravāju bagāžu.
首都	главни град	Главни град Кине је Пекинг.	prestolnica	Prestolnica Kitajske je Peking.	sostinė	Kinijos sostinė yra Pekinas.	galvaspilsēta	Ķīnas galvaspilsēta ir Pekina.
首先	најпре; пре свега	Најпре треба добро да се одмориш, па онда можеш добро да радиш.	najpre; predvsem	Najpre se moraš dobro spočiti, potem lahko dobro delaš.	pirmiausia	Pirmiausia reikia gerai pailsėti, tada galima gerai dirbti.	vispirms	Vispirms labi jāatpūšas, tad var labi strādāt.
受不了	не подносити; не моћи издржати	Време је превише вруће, не могу да издржим.	ne prenesti	Vreme je prevroče, ne morem več zdržati.	neištverti	Oras per karštas, negaliu ištverti.	nevarēt izturēt	Laiks ir pārāk karsts, es nevaru izturēt.
受到	добити; бити прихваћен	Његов роман је добро прихваћен код читалаца.	prejeti; biti deležen	Njegov roman so bralci dobro sprejeli.	sulaukti; gauti	Jo romanas sulaukė skaitytojų palankumo.	saņemt; tikt uzņemtam	Viņa romānu lasītāji uzņēma ļoti labi.
售货员	продавац	Радим као продавац у тржном центру.	prodajalec	Delam kot prodajalec v nakupovalnem središču.	pardavėjas	Dirbu pardavėju prekybos centre.	pārdevējs	Es strādāju par pārdevēju tirdzniecības centrā.
输	изгубити	Ову утакмицу смо изгубили.	izgubiti	To tekmo smo izgubili.	pralaimėti	Šias varžybas pralaimėjome.	zaudēt	Mēs zaudējām šo spēli.
熟悉	познавати; бити упознат	Све њих добро познајем.	poznati; biti seznanjen	Vse njih dobro poznam.	gerai pažinti	Aš juos visus gerai pažįstu.	labi zināt; būt pazīstamam	Es viņus visus labi pazīstu.
数量	количина; број	Број пријављених људи је велики.	količina; število	Število prijavljenih je veliko.	kiekis; skaičius	Užsiregistravusių žmonių skaičius didelis.	daudzums; skaits	Pieteikušos cilvēku skaits ir liels.
数字	број; цифра	Молим вас, јасно напишите бројеве.	številka; število	Prosimo, številke napišite jasno.	skaičius; skaitmuo	Prašome aiškiai parašyti skaičius.	cipars; skaitlis	Lūdzu, skaidri uzrakstiet skaitļus.
帅	згодан; леп	Данас је веома лепо обучен.	čeden; lep	Danes je zelo lepo oblečen.	išvaizdus; gražus	Šiandien jis labai gražiai apsirengęs.	izskatīgs	Viņš šodien ir ļoti glīti ģērbies.
顺便	успут	На путу с посла кући успут сам купио мало поврћа.	spotoma; mimogrede	Na poti iz službe sem spotoma kupil nekaj zelenjave.	pakeliui	Pakeliui iš darbo namo nusipirkau daržovių.	pa ceļam; starp citu	Pa ceļam no darba uz mājām es nopirku dārzeņus.
顺利	глатко; успешно	Такмичење је прошло веома глатко.	gladko; uspešno	Tekma je potekala zelo gladko.	sklandžiai	Varžybos vyko labai sklandžiai.	gludi; sekmīgi	Sacensības noritēja ļoti gludi.
顺序	редослед	Молим вас, немојте помешати редослед.	vrstni red	Prosimo, ne pomešajte vrstnega reda.	eilės tvarka	Prašome nesupainioti eilės tvarkos.	secība	Lūdzu, nesajauciet secību.
说明	објаснити; објашњење	Свима је објаснио разлог за ову ствар.	pojasniti; razlaga	Vsem je pojasnil razlog za to zadevo.	paaiškinti; paaiškinimas	Jis visiems paaiškino šio dalyko priežastį.	paskaidrot; paskaidrojums	Viņš visiem paskaidroja šīs lietas iemeslu.
硕士	мастер студије; мастер диплома	На универзитету студирам мастер студије.	magistrski študij; magisterij	Na univerzi študiram na magistrskem študiju.	magistrantūra; magistro laipsnis	Universitete studijuoju magistrantūroje.	maģistra grāds; maģistrantūra	Universitātē studēju maģistrantūrā.
死	умрети; мртав	Ово дрво је већ мртво.	umreti; mrtev	To drevo je že mrtvo.	mirti; negyvas	Šis medis jau negyvas.	nomirt; miris	Šis koks jau ir miris.
塑料袋	пластична кеса	Ради заштите животне средине, молим вас, не користите пластичне кесе.	plastična vrečka	Zaradi varovanja okolja prosimo, ne uporabljajte plastičnih vrečk.	plastikinis maišelis	Siekdami saugoti aplinką, prašome nenaudoti plastikinių maišelių.	plastmasas maisiņš	Lai aizsargātu vidi, lūdzu, nelietojiet plastmasas maisiņus.
速度	брзина	Он стварно брзо трчи!	hitrost	Res hitro teče!	greitis	Jis bėga tikrai greitai!	ātrums	Viņš tiešām ātri skrien!
酸	кисео	Грожђе које си купио је помало кисело.	kisel	Grozdje, ki si ga kupil, je malo kislo.	rūgštus	Vynuogės, kurias nusipirkai, šiek tiek rūgščios.	skābs	Tevis nopirktās vīnogas ir mazliet skābas.
随便	слободно; како желиш	Слободно седите где желите.	poljubno; kakor želiš	Prosim, sedite, kjer želite.	kaip nori; laisvai	Prašome sėstis, kur norite.	kā vēlies; brīvi	Lūdzu, sēdieties, kur vēlaties.
随着	са; како	Са развојем економије, живот људи се много побољшао.	z; ob	Z razvojem gospodarstva se je življenje ljudi močno izboljšalo.	su; kartu su	Su ekonomikos raida žmonių gyvenimas labai pagerėjo.	līdz ar; ar	Līdz ar ekonomikas attīstību cilvēku dzīve ir ļoti uzlabojusies.
孙子	унук	Деда веома воли свог унука.	vnuk	Dedek ima svojega vnuka zelo rad.	anūkas	Senelis labai myli savo anūką.	mazdēls	Vectēvs ļoti mīl savu mazdēlu.
所有	сви; све	Сви мисле да он није у праву.	vsi; vsak	Vsi mislijo, da nima prav.	visi; kiekvienas	Visi mano, kad jis neteisus.	visi; katrs	Visi domā, ka viņam nav taisnība.
台	класификатор за машине и уређаје	Овај рачунар је ново купљен.	klasifikator za stroje in naprave	Ta računalnik je bil kupljen pred kratkim.	klasifikatorius mašinoms ir įrenginiams	Šis kompiuteris neseniai nupirktas.	klasifikators mašīnām un ierīcēm	Šis dators ir nesen nopirkts.
抬	подићи; носити	Они су однели школску клупу у учионицу.	dvigniti; nesti	Šolsko klop so odnesli v učilnico.	pakelti; nešti	Jie nunešė suolą į klasę.	pacelt; nest	Viņi ienesa solu klasē.
态度	став; однос	Конобар има веома добар однос према гостима.	odnos; stališče	Strežnik ima zelo dober odnos do gostov.	požiūris; elgesys	Padavėjas labai gerai elgiasi su klientais.	attieksme	Apkalpotājam ir ļoti laba attieksme pret klientiem.
弹钢琴	свирати клавир	Почео сам да учим да свирам клавир са четири године.	igrati klavir	Klavir sem se začel učiti igrati pri štirih letih.	groti pianinu	Būdamas ketverių pradėjau mokytis groti pianinu.	spēlēt klavieres	Es sāku mācīties spēlēt klavieres četru gadu vecumā.
谈	разговарати; причати	Желим да разговарам с тобом о још једној ствари.	pogovarjati se; klepetati	S teboj se želim pogovoriti še o eni stvari.	kalbėtis; aptarti	Noriu su tavimi pasikalbėti apie dar vieną dalyką.	runāt; sarunāties	Es gribu ar tevi parunāt par vēl vienu lietu.
汤	супа; чорба	Супа није слана, додајмо још мало соли.	juha	Juha ni slana, dodajmo še malo soli.	sriuba	Sriuba nesūri, įdėkime dar truputį druskos.	zupa	Zupa nav sāļa, pieliksim vēl mazliet sāls.
糖	шећер; бомбона	Хоћу да поједем једну бомбону.	sladkor; bonbon	Rad bi pojedel bonbon.	cukrus; saldainis	Noriu suvalgyti saldainį.	cukurs; konfekte	Es gribu apēst konfekti.
躺	лећи; лежати	Легла је на кревет и заспала.	ležati; uleči se	Ulegla se je na posteljo in zaspala.	gulėti; atsigulti	Ji atsigulė ant lovos ir užmigo.	gulēt; apgulties	Viņa apgūlās gultā un aizmiga.
趟	пут; одлазак	Прошлог месеца сам једном отишао у Пекинг.	pot; obisk	Prejšnji mesec sem šel enkrat v Peking.	kelionės kartas; apsilankymas	Praėjusį mėnesį kartą nuvykau į Pekiną.	reize; brauciens	Pagājušajā mēnesī es vienreiz aizbraucu uz Pekinu.
讨论	дискутовати; разговарати	Хајде да одржимо састанак и поразговарамо о томе.	razpravljati; pogovoriti se	Imamo sestanek in se o tem pogovorimo.	diskutuoti; aptarti	Susirinkime ir tai aptarkime.	apspriest; diskutēt	Sarīkosim sapulci un to apspriedīsim.
讨厌	не волети; досадан	Ово време је стварно досадно.	ne marati; nadležen	To vreme je res nadležno.	nemėgti; erzinantis	Šis oras tikrai erzinantis.	nepatikt; kaitinošs	Šis laiks tiešām ir kaitinošs.
特点	особина; карактеристика	Особина овог ресторана је да је храна веома свежа.	značilnost	Značilnost te restavracije je, da je hrana zelo sveža.	ypatybė; bruožas	Šio restorano ypatybė yra labai šviežias maistas.	īpašība; raksturīga iezīme	Šī restorāna īpašība ir ļoti svaigs ēdiens.
提	подићи; понети	Молим вас, подигните ову торбу.	dvigniti; nesti	Prosim, dvignite to torbo.	pakelti; paimti	Prašome pakelti šį krepšį.	pacelt; nest	Lūdzu, paceliet šo somu.
提供	обезбедити; пружити	Библиотека свима пружа тихо окружење за читање.	zagotoviti; nuditi	Knjižnica vsem zagotavlja tiho okolje za branje.	suteikti; aprūpinti	Biblioteka visiems suteikia ramią skaitymo aplinką.	nodrošināt; sniegt	Bibliotēka visiem nodrošina klusu lasīšanas vidi.
提前	унапред; пре рока	Завршили смо задатак пре рока.	vnaprej; predčasno	Nalogo smo končali predčasno.	iš anksto; anksčiau laiko	Užduotį atlikome anksčiau laiko.	iepriekš; pirms termiņa	Mēs pabeidzām uzdevumu pirms termiņa.
提醒	подсетити	Већ сам га подсетио, али је ипак заборавио.	opomniti; spomniti	Že sem ga opomnil, vendar je vseeno pozabil.	priminti	Jau jam priminiau, bet jis vis tiek pamiršo.	atgādināt	Es viņam jau atgādināju, bet viņš tomēr aizmirsa.
填空	попунити празнину	Ово је питање са попуњавањем празнине.	dopolniti praznino	To je naloga za dopolnjevanje praznine.	įrašyti į tuščią vietą	Tai klausimas, kuriame reikia įrašyti praleistą žodį.	aizpildīt tukšo vietu	Šis ir uzdevums ar tukšās vietas aizpildīšanu.
条件	услов; критеријум	Она веома добро испуњава наше услове за запошљавање.	pogoj; merilo	Zelo dobro ustreza našim pogojem za zaposlitev.	sąlyga; kriterijus	Ji labai gerai atitinka mūsų įdarbinimo kriterijus.	nosacījums; kritērijs	Viņa ļoti labi atbilst mūsu pieņemšanas kritērijiem.
停	стати; зауставити се	Ауто се зауставио.	ustaviti se	Avto se je ustavil.	sustoti	Automobilis sustojo.	apstāties	Automašīna apstājās.
挺	прилично; баш	Ова књига је прилично добра.	kar; precej	Ta knjiga je kar dobra.	gana; visai	Ši knyga visai gera.	diezgan; tīri	Šī grāmata ir diezgan laba.
通过	проћи; положити	Већ сам положио испит.	opraviti; skozi	Izpit sem že opravil.	išlaikyti; pereiti	Aš jau išlaikiau egzaminą.	nokārtot; caur	Es jau nokārtoju eksāmenu.
通知	обавестити; обавештење	Молим вас, обавестите све да дођу на састанак.	obvestiti; obvestilo	Prosimo, obvestite vse, naj pridejo na sestanek.	pranešti; pranešimas	Prašome pranešti visiems, kad ateitų į susirinkimą.	paziņot; paziņojums	Lūdzu, paziņojiet visiem, lai nāk uz sapulci.
同情	саосећати; саосећање	Веома саосећам с њим.	sočustvovati; sočutje	Zelo sočustvujem z njim.	užjausti; užuojauta	Aš jį labai užjaučiu.	just līdzi; līdzjūtība	Es viņam ļoti jūtu līdzi.
同时	истовремено	Он слуша музику и истовремено ради домаћи задатак.	hkrati; istočasno	Posluša glasbo in hkrati dela domačo nalogo.	tuo pačiu metu; kartu	Jis klausosi muzikos ir tuo pačiu metu daro namų darbus.	vienlaikus	Viņš klausās mūziku un vienlaikus pilda mājasdarbus.
推	гурнути; гурати	Ауто ми се покварио, можете ли да ми помогнете да га погурам?	potisniti; poriniti	Avto se mi je pokvaril, mi ga lahko pomagate poriniti?	stumti	Mano automobilis sugedo, ar galėtumėte padėti jį pastumti?	stumt	Man mašīna salūza, vai varat palīdzēt to pastumt?
推迟	одложити; померити	Време полетања авиона одложено је за двадесет минута.	preložiti; odložiti	Čas odhoda letala je bil prestavljen za dvajset minut.	atidėti; pavėlinti	Lėktuvo išvykimo laikas atidėtas dvidešimčia minučių.	atlikt; aizkavēt	Lidmašīnas izlidošanas laiks tika atlikts par divdesmit minūtēm.
脱	скинути	У соби је топло, скини капут.	sleči	V sobi je toplo, sleci plašč.	nusivilkti	Kambaryje šilta, nusivilk paltą.	novilkt	Istabā ir silti, novelc mēteli.
袜子	чарапе	Опрао сам чарапе.	nogavice	Nogavice sem opral.	kojinės	Išskalbiau kojines.	zeķes	Es izmazgāju zeķes.
完全	потпуно	Твоја процена је потпуно тачна.	popolnoma	Tvoja presoja je popolnoma pravilna.	visiškai	Tavo sprendimas visiškai teisingas.	pilnīgi	Tavs spriedums ir pilnīgi pareizs.
往往	често	Недељом често иде у парк у шетњу.	pogosto	Ob nedeljah gre pogosto na sprehod v park.	dažnai	Sekmadieniais jis dažnai eina pasivaikščioti į parką.	bieži	Svētdienās viņš bieži dodas pastaigā uz parku.
网球	тенис	Тек недавно сам почео да учим да играм тенис.	tenis	Šele pred kratkim sem se začel učiti igrati tenis.	tenisas	Tik neseniai pradėjau mokytis žaisti tenisą.	teniss	Es tikai nesen sāku mācīties spēlēt tenisu.
网站	сајт; интернет страница	На овом сајту има много материјала на кинеском.	spletna stran	Na tej spletni strani je veliko gradiva v kitajščini.	svetainė	Šioje svetainėje yra daug medžiagos kinų kalba.	tīmekļa vietne	Šajā tīmekļa vietnē ir daudz materiālu ķīniešu valodā.
危险	опасност; опасан	Пењати се сам на планину ноћу веома је опасно.	nevarnost; nevaren	Ponoči je nevarno sam plezati na goro.	pavojus; pavojingas	Naktį vienam kopti į kalną pavojinga.	briesmas; bīstams	Naktī vienam kāpt kalnā ir bīstami.
卫生间	тоалет; купатило	Извините, где је тоалет?	stranišče; kopalnica	Oprostite, kje je stranišče?	tualetas; vonios kambarys	Atsiprašau, kur yra tualetas?	tualete; vannasistaba	Atvainojiet, kur ir tualete?
味道	укус	Пуњена пецива у овом ресторану имају веома добар укус.	okus	Žemljice v tej restavraciji so zelo okusne.	skonis	Šio restorano bandelių skonis labai geras.	garša	Šī restorāna maizītēm ir ļoti laba garša.
温度	температура	Када дође зима, температура је све нижа.	temperatura	Ko pride zima, je temperatura vse nižja.	temperatūra	Atėjus žiemai temperatūra vis žemesnė.	temperatūra	Iestājoties ziemai, temperatūra kļūst arvien zemāka.
文章	чланак; есеј	Најважнији део чланка је трећи пасус.	članek; spis	Najpomembnejši del članka je tretji odstavek.	straipsnis; rašinys	Svarbiausia straipsnio dalis yra trečia pastraipa.	raksts; eseja	Svarīgākā raksta daļa ir trešā rindkopa.
污染	загађење	Загађење животне средине сада постаје све озбиљније.	onesnaženje	Onesnaženje okolja je zdaj vse resnejše.	tarša	Aplinkos tarša dabar darosi vis rimtesnė.	piesārņojums	Vides piesārņojums tagad kļūst arvien nopietnāks.
无	без; нема	Његове речи су без основа.	brez; ni	Njegove besede so brez podlage.	be; nėra	Jo žodžiai nepagrįsti.	bez; nav	Viņa vārdi ir bez pamata.
无聊	досадан; досађивати се	Ова емисија је помало досадна.	dolgočasen; dolgčas	Ta oddaja je malo dolgočasna.	nuobodus; nuobodžiauti	Ši laida šiek tiek nuobodi.	garlaicīgs; garlaikoties	Šis raidījums ir mazliet garlaicīgs.
无论	без обзира; ма како	Ма како да објасним, он не разуме.	ne glede na; kakor koli	Ne glede na to, kako razložim, ne razume.	nesvarbu kaip; kad ir kaip	Kad ir kaip aiškinu, jis nesupranta.	lai kā; neatkarīgi no	Lai kā es skaidrotu, viņš nesaprot.
误会	погрешно разумети; неспоразум	Извини, погрешно сам те разумео.	narobe razumeti; nesporazum	Oprosti, narobe sem te razumel.	neteisingai suprasti; nesusipratimas	Atsiprašau, neteisingai tave supratau.	pārprast; pārpratums	Atvaino, es tevi pārpratu.
吸引	привући	Овај филм је веома привлачан.	privlačiti	Ta film je zelo privlačen.	traukti; patraukti	Šis filmas labai įtraukiantis.	piesaistīt	Šī filma ir ļoti saistoša.
西红柿	парадајз	Купио сам неколико парадајза.	paradižnik	Kupil sem nekaj paradižnikov.	pomidoras	Nusipirkau kelis pomidorus.	tomāts	Es nopirku dažus tomātus.
咸	слан	Стављено је превише соли, јело је помало слано.	slan	Dodali smo preveč soli, jed je malo slana.	sūrus	Įdėta per daug druskos, patiekalas šiek tiek sūrus.	sāļš	Ir pielikts pārāk daudz sāls, ēdiens ir mazliet sāļš.
现金	готовина	Немам много готовине код себе, али продавница прима картице.	gotovina	Pri sebi nimam veliko gotovine, vendar trgovina sprejema kartice.	grynieji	Su savimi neturiu daug grynųjų, bet parduotuvė priima korteles.	skaidra nauda	Man līdzi nav daudz skaidras naudas, bet veikalā var maksāt ar karti.
羡慕	завидети; дивити се	Завидим му што има добар посао.	zavidati; občudovati	Zavidam mu, ker ima dobro službo.	pavydėti; žavėtis	Pavydžiu jam, kad turi gerą darbą.	apskaust; apbrīnot	Es viņu apskaužu par to, ka viņam ir labs darbs.
