simplified	VI	example_VI
啰唆	dài dòng	Đừng dài dòng nữa, nói thẳng vào trọng điểm.
络绎不绝	liên tục không ngớt	Du khách liên tục không ngớt đến thành cổ.
落成	khánh thành	Nhà thi đấu mới sẽ chính thức khánh thành vào ngày mai.
落实	thực hiện	Cuộc họp yêu cầu nhanh chóng thực hiện chính sách mới.
屡次	nhiều lần	Anh ấy nhiều lần nhắc mọi người chú ý an toàn.
履行	thực hiện	Hai bên phải thực hiện nghĩa vụ hợp đồng.
掠夺	cướp đoạt	Chiến tranh gây ra việc cướp đoạt tài nguyên.
嘛	mà	Việc này đơn giản mà.
麻痹	tê liệt	Thuận lợi lâu dài dễ khiến người ta chủ quan.
麻木	tê	Cái lạnh làm ngón tay anh ấy tê.
麻醉	gây mê	Trước ca phẫu thuật, bác sĩ gây mê cho bệnh nhân.
码头	bến tàu	Tàu chở hàng cập bên bến tàu.
蚂蚁	kiến	Kiến đang vận chuyển thức ăn.
埋伏	mai phục	Binh lính mai phục trong thung lũng.
埋没	vùi lấp	Đừng để nhân tài bị vùi lấp.
埋葬	chôn cất	Dân làng chôn cất cụ già trên sườn núi.
脉搏	mạch	Y tá đang đo mạch của anh ấy.
迈	bước	Anh ấy sải bước về phía cửa.
埋怨	oán trách	Đừng lúc nào cũng oán trách người khác.
慢性	mạn tính	Bệnh mạn tính cần điều trị lâu dài.
漫长	dài đằng đẵng	Họ đã trải qua sự chờ đợi dài đằng đẵng.
漫画	truyện tranh	Quyển truyện tranh này rất được giới trẻ yêu thích.
蔓延	lan rộng	Ngọn lửa nhanh chóng lan sâu vào rừng.
忙碌	bận rộn	Cuối năm là thời điểm công ty bận rộn nhất.
盲目	mù quáng	Đầu tư không thể mù quáng chạy theo xu hướng.
茫茫	mênh mông	Con thuyền biến mất giữa biển cả mênh mông.
茫然	ngơ ngác	Nghe xong phần giải thích, anh ấy vẫn ngơ ngác.
冒充	giả mạo	Có người giả mạo cảnh sát để lừa tiền.
冒犯	xúc phạm	Lời tôi nói không có ý xúc phạm bạn.
茂盛	sum suê	Cây cối trong sân mọc rất sum suê.
媒介	phương tiện	Internet là phương tiện thông tin quan trọng.
枚	chiếc	Anh ấy sưu tầm vài chiếc đồng xu kỷ niệm.
美观	đẹp mắt	Thiết kế này vừa thực dụng vừa đẹp mắt.
美满	viên mãn	Họ sống một cuộc sống viên mãn.
美妙	tuyệt vời	Buổi hòa nhạc mang lại trải nghiệm tuyệt vời.
萌芽	nảy mầm	Ý tưởng mới bắt đầu nảy mầm.
猛烈	dữ dội	Cơn bão đến rất dữ dội.
眯	nheo	Mặt trời quá gắt nên anh ấy nheo mắt.
弥补	bù đắp	Lời xin lỗi không thể hoàn toàn bù đắp tổn thất.
弥漫	tràn ngập	Hương hoa tràn ngập trong sân.
谜语	câu đố	Trẻ em thích đoán câu đố.
迷惑	bối rối	Dữ liệu phức tạp khiến anh ấy cảm thấy bối rối.
迷人	quyến rũ	Cảnh đêm bên bờ biển rất quyến rũ.
迷信	mê tín	Giáo dục khoa học có thể giảm mê tín.
密度	mật độ	Kim loại này có mật độ rất cao.
密封	niêm kín	Sau khi mở, vui lòng niêm kín lại túi.
棉花	bông	Nông dân đang hái bông.
免得	kẻo	Ra khỏi nhà sớm kẻo đến muộn.
免疫	miễn dịch	Vắc xin này có thể nâng cao khả năng miễn dịch.
勉励	khích lệ	Giáo viên thường khích lệ học sinh kiên trì học tập.
勉强	miễn cưỡng	Anh ấy miễn cưỡng đồng ý với sự sắp xếp này.
面貌	diện mạo	Diện mạo thành phố đã thay đổi rất lớn.
面子	thể diện	Anh ấy không muốn mất thể diện trước đám đông.
描绘	miêu tả	Tiểu thuyết miêu tả cuộc sống nông thôn.
瞄准	nhắm	Xạ thủ nhắm vào mục tiêu.
渺小	nhỏ bé	Con người trông rất nhỏ bé trước thiên nhiên.
藐视	coi thường	Chúng ta không thể coi thường bất kỳ đối thủ nào.
灭亡	diệt vong	Vương triều này cuối cùng đi đến diệt vong.
蔑视	khinh miệt	Giọng điệu của anh ấy đầy khinh miệt.
民间	dân gian	Nghệ thuật dân gian cần được bảo vệ.
民主	dân chủ	Cuộc họp áp dụng hình thức bỏ phiếu dân chủ.
敏捷	nhanh nhẹn	Động tác của vận động viên rất nhanh nhẹn.
敏锐	sắc bén	Phóng viên cần năng lực quan sát sắc bén.
名次	thứ hạng	Cô ấy đạt thứ hạng tốt trong cuộc thi.
名额	suất	Chương trình này chỉ có mười suất.
名副其实	danh xứng với thực	Anh ấy là chuyên gia danh xứng với thực.
名誉	danh tiếng	Việc này làm tổn hại danh tiếng của công ty.
明明	rõ ràng	Anh ấy rõ ràng biết đáp án nhưng không chịu nói.
明智	sáng suốt	Hoãn quyết định là lựa chọn sáng suốt.
命名	đặt tên	Các nhà khoa học đặt tên cho loài mới.
摸索	mày mò	Đội vẫn đang mày mò phương pháp mới.
摩擦	xung đột	Xung đột thương mại xuất hiện giữa hai nước.
模范	tấm gương	Anh ấy là tấm gương cho toàn bộ học sinh trong trường.
模式	mô hình	Mô hình kinh doanh này rất thành công.
模型	mô hình	Kỹ sư đã làm mô hình cây cầu.
磨合	làm quen	Đội mới cần thời gian làm quen với nhau.
膜	màng	Loại màng này có thể lọc tạp chất.
魔鬼	ma quỷ	Ma quỷ trong câu chuyện rất xảo quyệt.
魔术	ảo thuật	Trẻ em thích xem biểu diễn ảo thuật.
抹杀	xóa bỏ	Không thể xóa bỏ đóng góp của anh ấy.
墨水儿	mực	Mực trong bút máy sắp hết.
莫名其妙	khó hiểu	Phản ứng của anh ấy khiến người ta thấy khó hiểu.
默默	lặng lẽ	Cô ấy lặng lẽ giúp đỡ rất nhiều người.
谋求	tìm kiếm	Doanh nghiệp đang tìm kiếm cơ hội phát triển mới.
模样	dáng vẻ	Dáng vẻ của anh ấy bây giờ thay đổi rất nhiều.
母语	tiếng mẹ đẻ	Trẻ em học tiếng mẹ đẻ từ nhỏ.
沐浴	tắm mình	Ngôi làng buổi sáng tắm mình trong ánh nắng.
目睹	chứng kiến	Nhiều người đã chứng kiến vụ tai nạn này.
目光	ánh mắt	Ánh mắt của mọi người đều tập trung trên sân khấu.
拿手	sở trường	Cá kho là món sở trường của anh ấy.
纳闷儿	thắc mắc	Tôi vẫn thắc mắc vì sao anh ấy đến muộn.
耐用	bền	Đôi giày này rất bền.
南辕北辙	trái ngược mục tiêu	Cách làm của anh ấy trái ngược mục tiêu.
难得	hiếm có	Đây là một cơ hội hiếm có.
难堪	xấu hổ	Câu hỏi này khiến anh ấy rất xấu hổ.
难能可贵	đáng quý	Giữ được sự trung thực dưới áp lực là điều đáng quý.
恼火	bực mình	Thiết bị lại hỏng nên anh ấy rất bực mình.
内涵	nội hàm	Từ này có nội hàm văn hóa phong phú.
内幕	nội tình	Phóng viên cố gắng điều tra nội tình sự kiện.
内在	nội tại	Anh ấy coi trọng phẩm chất nội tại của con người hơn.
能量	năng lượng	Bữa sáng này cho tôi nhiều năng lượng.
拟定	soạn thảo	Thư ký đang soạn thảo chương trình cuộc họp.
逆行	đi ngược chiều	Chiếc xe đó đi ngược chiều trên đường một chiều.
年度	năm	Công ty công bố báo cáo năm.
捏	véo	Cô ấy nhẹ nhàng véo má đứa trẻ.
凝固	đông đặc	Sau khi nguội, sáp sẽ từ từ đông đặc.
凝聚	gắn kết	Mục tiêu chung có thể gắn kết sức mạnh của đội.
凝视	nhìn chăm chú	Anh ấy nhìn chăm chú vào ánh đèn ở xa.
拧	véo	Anh ấy dùng tay véo tôi một cái.
宁肯	thà	Cô ấy thà thất bại chứ không muốn từ bỏ nguyên tắc.
宁愿	thà	Tôi thà đi bộ còn hơn chờ xe.
扭转	đảo ngược	Chính sách mới đã đảo ngược tình trạng thua lỗ.
纽扣儿	cúc áo	Chiếc áo sơ mi này rơi mất một chiếc cúc áo.
农历	âm lịch	Tết được tổ chức theo ngày âm lịch.
浓厚	sâu sắc	Anh ấy có hứng thú sâu sắc với lịch sử.
奴隶	nô lệ	Xã hội cổ đại tồn tại chế độ nô lệ.
挪	dịch	Vui lòng dịch ghế sang bên cạnh một chút.
虐待	ngược đãi	Pháp luật cấm ngược đãi trẻ em.
哦	ồ	Ồ, cuối cùng tôi cũng hiểu rồi.
殴打	đánh đập	Cảnh sát bắt người đã đánh đập người qua đường.
偶像	thần tượng	Cô ấy xem nhà văn đó là thần tượng.
呕吐	nôn	Anh ấy bắt đầu nôn sau khi ăn đồ hỏng.
趴	nằm sấp	Chú mèo con nằm sấp trên bệ cửa sổ ngủ.
徘徊	lảng vảng	Anh ấy lảng vảng ở cửa rất lâu.
排斥	đẩy lùi	Vật liệu mới sẽ đẩy lùi độ ẩm.
排除	loại trừ	Bác sĩ trước tiên loại trừ bệnh nghiêm trọng.
排放	thải	Các nhà máy phải giảm khí thải.
排练	tập dượt	Các diễn viên đang tập dượt chương trình mới.
派别	phái	Trong tổ chức này có các phái khác nhau.
派遣	phái	Công ty phái kỹ sư đến hiện trường.
攀登	leo	Họ dự định leo núi tuyết vào ngày mai.
盘旋	lượn	Máy bay lượn trên không phận sân bay.
判决	phán quyết	Tòa án hôm nay công bố phán quyết.
畔	bờ	Trẻ em đi dạo bên bờ hồ.
庞大	to lớn	Dự án này cần nguồn vốn to lớn.
抛弃	từ bỏ	Anh ấy không muốn từ bỏ ước mơ của mình.
泡沫	bọt	Trong cốc có rất nhiều bọt trắng.
培育	bồi dưỡng	Trường nỗ lực bồi dưỡng tinh thần trách nhiệm của học sinh.
配备	trang bị	Xe mới được trang bị hệ thống an toàn.
配偶	vợ chồng	Đơn đăng ký cần điền thông tin vợ chồng.
配套	đồng bộ	Khu dân cư có cơ sở hạ tầng đồng bộ hoàn chỉnh.
盆地	bồn địa	Bồn địa này mùa hè rất nóng.
烹饪	nấu nướng	Nấu nướng cần kiên nhẫn và kinh nghiệm.
捧	cầm bằng hai tay	Cô ấy cầm bó hoa bằng hai tay.
劈	chẻ	Công nhân dùng rìu chẻ củi.
批发	bán buôn	Cửa hàng này chủ yếu bán buôn trái cây.
批判	phê phán	Bài viết phê phán quan điểm sai lầm này.
疲惫	mệt mỏi	Sau chuyến đi dài, mọi người đều rất mệt mỏi.
疲倦	mệt	Làm việc liên tục khiến anh ấy cảm thấy mệt.
皮革	da	Chiếc túi này làm bằng da.
屁股	mông	Sau khi ngã, đứa trẻ bị đau mông.
譬如	chẳng hạn	Chẳng hạn, chúng ta có thể làm một bài kiểm tra nhỏ trước.
偏差	sai lệch	Kết quả thí nghiệm có sai lệch rõ ràng.
偏见	định kiến	Chúng ta nên tránh định kiến dân tộc.
偏僻	hẻo lánh	Ngôi làng này nằm ở vị trí rất hẻo lánh.
偏偏	lại cứ	Tôi càng sốt ruột, xe lại cứ càng chậm.
片断	đoạn	Trong phim có vài đoạn rất hay.
片刻	chốc lát	Vui lòng đợi tôi ở đây chốc lát.
漂浮	nổi	Lá rụng nổi trên mặt nước.
飘扬	bay phấp phới	Quốc kỳ bay phấp phới trong gió.
撇	gạt	Anh ấy gạt kế hoạch cũ sang một bên.
拼搏	phấn đấu	Người trẻ nên phấn đấu vì lý tưởng.
拼命	dốc sức	Anh ấy dốc sức đuổi theo đội phía trước.
贫乏	nghèo nàn	Nội dung bài viết này khá nghèo nàn.
贫困	nghèo khó	Chính phủ giúp đỡ các gia đình nghèo khó.
频繁	thường xuyên	Gần đây tai nạn giao thông ở đây xảy ra thường xuyên.
频率	tần số	Âm thanh này có tần số rất cao.
品尝	nếm	Khách đang nếm món ăn địa phương.
品德	phẩm đức	Trường coi trọng giáo dục phẩm đức cho học sinh.
品质	chất lượng	Chất lượng sản phẩm của công ty này ổn định.
品种	chủng loại	Ở chợ có rất nhiều chủng loại trái cây.
屏幕	màn hình	Vui lòng giảm độ sáng màn hình.
屏障	hàng rào	Rừng là hàng rào quan trọng chống gió.
平凡	bình thường	Anh ấy làm việc nhiều năm ở vị trí bình thường.
平面	mặt phẳng	Nhà thiết kế vẽ bản vẽ mặt bằng của căn nhà.
平坦	bằng phẳng	Con đường này rất bằng phẳng.
平行	song song	Hai đường này song song với nhau.
平庸	tầm thường	Anh ấy không cam lòng sống cuộc đời tầm thường.
平原	đồng bằng	Tàu hỏa đi qua đồng bằng rộng lớn.
评估	đánh giá	Chuyên gia đang đánh giá rủi ro của dự án.
评论	bình luận	Độc giả có thể bình luận bên dưới bài viết.
坡	dốc	Chiếc xe từ từ chạy lên dốc.
泼	tạt	Đừng tạt nước xuống sàn.
颇	khá	Kết quả này khá bất ngờ.
破例	phá lệ	Giám đốc phá lệ phê duyệt đơn của anh ấy.
迫不及待	nóng lòng	Trẻ em nóng lòng mở quà.
迫害	bức hại	Trong lịch sử, nhiều người từng chịu bức hại.
魄力	quyết đoán	Lãnh đạo cần sự quyết đoán trong quyết sách.
扑	lao vào	Đứa trẻ bỗng lao vào lòng mẹ.
铺	trải	Công nhân đang trải thảm mới.
普及	phổ cập	Internet đã được phổ cập ở thành phố.
朴实	mộc mạc	Ngôn ngữ của anh ấy mộc mạc mà chân thành.
朴素	giản dị	Cô ấy thích lối sống giản dị.
瀑布	thác nước	Du khách đứng bên thác nước chụp ảnh.
凄凉	hiu quạnh	Ngôi làng miền núi mùa đông trông rất hiu quạnh.
期望	kỳ vọng	Cha mẹ có kỳ vọng rất cao với con cái.
期限	thời hạn	Thời hạn đăng ký là thứ Sáu tuần này.
欺负	bắt nạt	Trẻ lớn không nên bắt nạt trẻ nhỏ.
欺骗	lừa dối	Quảng cáo giả đã lừa dối người tiêu dùng.
奇妙	kỳ diệu	Thiên nhiên có nhiều hiện tượng kỳ diệu.
旗袍	xường xám	Cô ấy mặc xường xám đỏ tham dự buổi tiệc tối.
旗帜	lá cờ	Những lá cờ rực rỡ bay trên quảng trường.
歧视	phân biệt đối xử	Pháp luật cấm mọi hình thức phân biệt đối xử.
齐全	đầy đủ	Cửa hàng này có dụng cụ rất đầy đủ.
齐心协力	đồng lòng hợp sức	Mọi người đồng lòng hợp sức hoàn thành nhiệm vụ.
乞丐	ăn xin	Bên đường có một ông ăn xin già đang ngồi.
企图	cố gắng	Anh ấy cố gắng che giấu tình hình thật.
启程	lên đường	Đoàn đại biểu sẽ lên đường vào sáng sớm mai.
启蒙	khai sáng	Quyển sách này phù hợp để trẻ em đọc khai sáng.
启事	thông báo	Ở cổng trường dán thông báo tuyển dụng.
启示	bài học	Thất bại lần này cho chúng tôi một bài học quan trọng.
岂有此理	vô lý hết sức	Loại phí này thật vô lý hết sức.
起草	soạn thảo	Luật sư đang soạn thảo hợp đồng.
起初	lúc đầu	Lúc đầu, anh ấy không tin tin này.
起伏	nhấp nhô	Đường núi nhấp nhô theo địa thế.
起哄	làm ồn	Các bạn học đừng làm ồn trong lớp.
起码	ít nhất	Ít nhất bạn nên báo trước cho tôi.
起源	bắt nguồn	Lễ hội này bắt nguồn từ thời cổ đại.
器材	thiết bị	Phòng thí nghiệm cần thiết bị giảng dạy mới.
器官	cơ quan	Tim là cơ quan quan trọng của cơ thể người.
气概	khí phách	Bài thơ này thể hiện khí phách anh hùng.
气功	khí công	Ông nội tập khí công mỗi sáng.
气魄	khí thế	Cây cầu lớn này rất có khí thế.
气色	sắc mặt	Sau khi nghỉ ngơi, sắc mặt anh ấy tốt hơn nhiều.
气势	khí thế	Đội bóng vừa vào trận đã có khí thế rất mạnh.
气味	mùi	Trong bếp có mùi bánh mì nướng.
气象	khí tượng	Khí tượng cao nguyên ở đây thay đổi rất nhanh.
气压	áp suất khí	Áp suất khí giảm có thể mang theo mưa.
气质	khí chất	Cô ấy có một khí chất yên tĩnh.
迄今为止	cho đến nay	Cho đến nay, thí nghiệm tiến triển thuận lợi.
掐	ngắt	Cô ấy ngắt một bông hoa nhỏ.
恰当	thích hợp	Câu trả lời của bạn rất thích hợp.
恰到好处	vừa đúng	Độ ngọt của món này vừa đúng.
恰巧	tình cờ	Khi tôi đến ga thì tình cờ trời mưa.
洽谈	đàm phán	Hai bên đang đàm phán chi tiết hợp tác.
千方百计	trăm phương ngàn kế	Họ dùng trăm phương ngàn kế để tìm giải pháp.
牵	dắt	Mẹ dắt tay đứa trẻ qua đường.
牵扯	liên quan	Việc này liên quan đến nhiều bộ phận.
牵制	kiềm chế	Phòng thủ của đối phương đã kiềm chế đợt tấn công.
签署	ký kết	Hai công ty đã ký kết thỏa thuận.
谦逊	khiêm tốn	Sau khi thành công, anh ấy vẫn rất khiêm tốn.
迁就	chiều theo	Cha mẹ không thể lúc nào cũng chiều theo con cái.
迁徙	di cư	Chim di cư mỗi năm theo mùa.
前景	triển vọng	Ngành này có triển vọng rất tốt.
前提	tiền đề	Niềm tin là tiền đề của hợp tác.
潜力	tiềm năng	Học sinh này có tiềm năng rất lớn.
潜水	lặn	Họ đến bờ biển học lặn.
潜移默化	ảnh hưởng âm thầm	Môi trường gia đình có thể ảnh hưởng âm thầm đến trẻ.
谴责	lên án	Cộng đồng quốc tế lên án hành vi bạo lực.
抢劫	cướp	Cảnh sát bắt được nghi phạm cướp ngân hàng.
强制	bắt buộc	Quy định mới bắt buộc tài xế thắt dây an toàn.
强迫	ép buộc	Đừng ép buộc trẻ làm việc chúng không thích.
抢救	cứu chữa	Bác sĩ đang cứu chữa công nhân bị thương.
桥梁	cầu nối	Ngôn ngữ là cầu nối giao lưu văn hóa.
窍门	mẹo	Học phát âm có một số mẹo.
翘	gác	Anh ấy gác một chân lên ghế.
切实	thiết thực	Chúng ta cần kế hoạch thiết thực và khả thi.
锲而不舍	kiên trì	Anh ấy kiên trì nghiên cứu vấn đề này.
亲密	thân mật	Họ luôn duy trì quan hệ thân mật.
亲热	niềm nở	Người già niềm nở chào khách.
侵犯	xâm phạm	Hành vi này xâm phạm quyền riêng tư cá nhân.
侵略	xâm lược	Nhân dân phản đối mọi hình thức xâm lược.
钦佩	khâm phục	Tôi rất khâm phục lòng dũng cảm của cô ấy.
勤俭	cần kiệm	Bà nội cả đời cần kiệm quản lý gia đình.
勤劳	chăm chỉ	Người chăm chỉ luôn có thể tạo ra cơ hội.
倾听	lắng nghe	Giáo viên nghiêm túc lắng nghe ý kiến học sinh.
倾向	có xu hướng	Người tiêu dùng trẻ có xu hướng mua sắm trực tuyến.
倾斜	nghiêng	Sau trận mưa lớn, bức tường bắt đầu nghiêng.
清澈	trong vắt	Dòng suối trong núi rất trong vắt.
清晨	sáng sớm	Không khí sáng sớm đặc biệt trong lành.
清除	dọn sạch	Công nhân dọn sạch tuyết trên đường.
清洁	sạch	Bệnh viện phải giữ môi trường sạch.
清理	dọn dẹp	Cuối tuần chúng tôi dọn dẹp nhà kho.
清晰	rõ nét	Bức ảnh này rất rõ nét.
清醒	tỉnh táo	Sau khi uống cà phê, anh ấy tỉnh táo hơn nhiều.
清真	halal	Gần đây có một nhà hàng halal.
情报	tình báo	Phóng viên thu được tình báo quan trọng.
情节	tình tiết	Tình tiết của tiểu thuyết rất căng thẳng.
情理	lẽ thường	Yêu cầu của anh ấy không hợp lẽ thường.
情形	tình hình	Tình hình tại hiện trường phức tạp hơn tưởng tượng.
晴朗	quang đãng	Bầu trời hôm nay đặc biệt quang đãng.
请柬	thiệp mời	Họ gửi thiệp mời đám cưới cho người thân và bạn bè.
请教	thỉnh giáo	Tôi muốn thỉnh giáo ông một vấn đề.
请示	xin chỉ thị	Việc này cần xin chỉ thị lãnh đạo trước.
请帖	thiệp mời	Trên bàn đặt một tấm thiệp mời sinh nhật.
丘陵	đồi núi	Khu vực này có nhiều đồi núi.
区分	phân biệt	Đứa trẻ đã có thể phân biệt trái phải.
区域	khu vực	Khu vực này cấm đỗ xe.
屈服	khuất phục	Anh ấy không khuất phục trước áp lực.
曲折	khúc chiết	Họ đã trải qua cuộc đàm phán khúc chiết.
驱逐	trục xuất	Cảnh sát trục xuất những người gây rối.
渠道	kênh	Công ty bán sản phẩm qua kênh mới.
取缔	cấm	Chính phủ cấm khu chợ bất hợp pháp.
曲子	bản nhạc	Giai điệu của bản nhạc này rất hay.
趣味	thú vị	Trò chơi này rất thú vị.
圈套	cạm bẫy	Anh ấy suýt rơi vào cạm bẫy của kẻ lừa đảo.
全局	toàn cục	Lãnh đạo phải cân nhắc lợi ích toàn cục.
全力以赴	dốc toàn lực	Chúng tôi sẽ dốc toàn lực hoàn thành nhiệm vụ.
拳头	nắm đấm	Anh ấy nắm chặt nắm đấm chuẩn bị thi đấu.
权衡	cân nhắc	Chúng ta cần cân nhắc chi phí và hiệu quả.
权威	quyền uy	Giáo sư này là quyền uy trong lĩnh vực đó.
犬	chó	Loài chó này thích hợp để trông nhà.
缺口	khe hở	Trên tường có một khe hở nhỏ.
缺席	vắng mặt	Anh ấy vắng mặt trong cuộc họp vì bệnh.
缺陷	khiếm khuyết	Thiết kế này có khiếm khuyết rõ ràng.
瘸	què	Chân trái của anh ấy hơi què.
确保	đảm bảo	Vui lòng đảm bảo cửa đã khóa.
确立	xác lập	Công ty xác lập mục tiêu phát triển mới.
确切	chính xác	Tôi không biết thời gian chính xác.
确信	tin chắc	Tôi tin chắc anh ấy sẽ đến đúng giờ.
群众	quần chúng	Quần chúng rất ủng hộ chính sách mới.
染	nhuộm	Cô ấy nhuộm tóc thành màu đen.
嚷	la	Đừng la lớn trong hành lang.
让步	nhượng bộ	Hai bên đều đưa ra một số nhượng bộ.
饶恕	tha thứ	Cuối cùng cô ấy chọn tha thứ cho đối phương.
扰乱	gây rối	Tiếng ồn gây rối trật tự lớp học.
惹祸	gây họa	Đùa giỡn bừa bãi dễ gây họa.
热泪盈眶	nước mắt lưng tròng	Nghe tin tốt, cô ấy nước mắt lưng tròng.
热门	nóng	Trí tuệ nhân tạo là chủ đề nóng.
人道	nhân đạo	Hành động cứu trợ thể hiện tinh thần nhân đạo.
人格	nhân cách	Sỉ nhục người khác sẽ làm tổn hại phẩm giá nhân cách.
人工	nhân tạo	Con sông này được đào nhân tạo.
人家	người khác	Đừng lúc nào cũng so sánh mình với người khác.
人间	nhân gian	Mùa xuân khiến nhân gian tràn đầy sức sống.
人士	nhân sĩ	Nhân sĩ các giới đã tham gia buổi tọa đàm.
人为	do con người	Tai nạn lần này do nguyên nhân con người gây ra.
人性	nhân tính	Bộ phim này bàn về nhân tính.
人质	con tin	Cảnh sát đã giải cứu con tin thành công.
仁慈	nhân từ	Vị bác sĩ này rất nhân từ với bệnh nhân.
忍耐	nhẫn nại	Xếp hàng dài cần một chút nhẫn nại.
忍受	chịu đựng	Tôi không thể chịu đựng tiếng ồn ở đây.
任命	bổ nhiệm	Hội đồng quản trị bổ nhiệm cô ấy làm giám đốc.
任性	bướng bỉnh	Trẻ quá bướng bỉnh sẽ ảnh hưởng đến sự trưởng thành.
任意	tùy tiện	Vui lòng đừng tùy tiện sửa dữ liệu.
任重道远	nhiệm nặng đường xa	Cải cách giáo dục còn nhiệm nặng đường xa.
认定	xác định	Cảnh sát xác định đây là một vụ tai nạn.
认可	công nhận	Phương án của anh ấy được mọi người công nhận.
仍旧	vẫn	Nhiều năm sau, anh ấy vẫn sống ở đây.
日新月异	đổi mới từng ngày	Khoa học kỹ thuật đang phát triển đổi mới từng ngày.
日益	ngày càng	Vấn đề môi trường ngày càng nghiêm trọng.
容貌	dung mạo	Năm tháng đã thay đổi dung mạo của anh ấy.
容纳	chứa	Hội trường này có thể chứa năm trăm người.
容器	bình chứa	Vui lòng đổ chất lỏng vào bình chứa thủy tinh.
容忍	dung thứ	Công ty không thể dung thứ hành vi gian lận.
溶解	hòa tan	Muối sẽ hòa tan trong nước.
荣幸	vinh hạnh	Tôi rất vinh hạnh được tham dự cuộc họp.
荣誉	vinh dự	Huy chương này đại diện cho vinh dự cao nhất.
融化	tan chảy	Ánh nắng làm băng tuyết từ từ tan chảy.
融洽	hòa hợp	Quan hệ giữa đồng nghiệp rất hòa hợp.
揉	xoa	Mẹ nhẹ nhàng xoa vai tôi.
柔和	dịu	Ánh đèn dịu và không chói mắt.
儒家	Nho gia	Tư tưởng Nho gia ảnh hưởng đến văn hóa Đông Á.
弱点	điểm yếu	Sự cẩu thả là điểm yếu chính của anh ấy.
若干	một số	Cuộc họp đưa ra một số đề xuất.
撒谎	nói dối	Trẻ em không nên nói dối.
散文	tản văn	Cô ấy thích đọc tản văn hiện đại.
散布	lan truyền	Có người lan truyền tin đồn trên mạng.
散发	tỏa ra	Trong vườn tỏa ra hương thơm thanh khiết.
丧失	mất	Anh ấy không mất niềm tin.
骚扰	quấy rối	Vui lòng đừng quấy rối hành khách khác.
嫂子	chị dâu	Đồ ăn chị dâu nấu rất ngon.
刹车	phanh	Tài xế đột ngột phanh xe.
啥	gì	Bạn vừa nói gì?
筛选	sàng lọc	Hệ thống sẽ tự động sàng lọc hồ sơ.
山脉	dãy núi	Dãy núi này rất dài.
闪烁	lấp lánh	Ánh đèn ở xa liên tục lấp lánh.
擅长	giỏi	Anh ấy giỏi xử lý vấn đề phức tạp.
擅自	tự ý	Nhân viên không được tự ý rời vị trí.
伤脑筋	đau đầu	Vấn đề này thật đau đầu.
商标	nhãn hiệu	Công ty đã đăng ký nhãn hiệu mới.
上级	cấp trên	Anh ấy báo cáo tình hình với cấp trên.
上进	cầu tiến	Cô ấy luôn rất cầu tiến.
上任	nhậm chức	Giám đốc mới sẽ nhậm chức vào tuần tới.
上瘾	nghiện	Nhiều người nghiện video ngắn.
上游	thượng nguồn	Ô nhiễm đến từ thượng nguồn con sông.
尚且	còn	Người lớn còn có thể mắc lỗi.
捎	chuyển giúp	Vui lòng chuyển giúp tôi một lời nhắn.
梢	ngọn	Cánh chim đậu trên ngọn cây.
哨	lính gác	Ở cổng có một lính gác.
奢侈	xa xỉ	Kiểu tiêu dùng này quá xa xỉ.
舌头	lưỡi	Anh ấy bị bỏng lưỡi.
摄氏度	độ C	Nhiệt độ hôm nay là ba mươi độ C.
涉及	liên quan	Báo cáo liên quan đến nhiều bộ phận.
社区	cộng đồng	Cộng đồng tổ chức buổi giảng về sức khỏe.
设立	thành lập	Trường đã thành lập học bổng.
设想	ý tưởng	Ý tưởng này vẫn cần thảo luận.
设置	thiết lập	Vui lòng thiết lập lại mật khẩu.
呻吟	rên	Bệnh nhân rên khẽ.
深奥	sâu xa	Nội dung quyển sách này rất sâu xa.
深沉	trầm	Giọng anh ấy thấp và trầm.
深情厚谊	tình hữu nghị sâu đậm	Nhân dân hai nước đã kết nên tình hữu nghị sâu đậm.
申报	khai báo	Hành khách cần khai báo đồ vật trung thực.
绅士	quý ông	Anh ấy cư xử như một quý ông.
神经	thần kinh	Áp lực có thể ảnh hưởng đến hệ thần kinh.
神奇	thần kỳ	Phong cảnh ở đây rất thần kỳ.
神气	oai phong	Hôm nay anh ấy trông đặc biệt oai phong.
神圣	thiêng liêng	Đây là một trách nhiệm thiêng liêng.
神态	vẻ mặt	Vẻ mặt của cô ấy rất bình tĩnh.
神仙	thần tiên	Truyền thuyết nói rằng trên núi có thần tiên sinh sống.
审查	xem xét	Nền tảng sẽ xem xét nội dung được đăng.
审理	xét xử	Tòa án đang xét xử vụ án này.
审美	thẩm mỹ	Gu thẩm mỹ của anh ấy rất độc đáo.
审判	xét xử	Cuộc xét xử công khai thu hút sự chú ý của truyền thông.
慎重	thận trọng	Quyết định này phải thật thận trọng.
渗透	thấm	Nước mưa từ từ thấm vào đất.
声明	tuyên bố	Công ty đã đưa ra tuyên bố chính thức.
声势	thanh thế	Chiến dịch tuyên truyền lần này có thanh thế rất lớn.
声誉	danh tiếng	Chất lượng sản phẩm ảnh hưởng đến danh tiếng thương hiệu.
牲畜	gia súc	Người chăn nuôi lùa gia súc về đồng cỏ.
生存	sinh tồn	Động vật hoang dã cần không gian sinh tồn.
生机	sức sống	Mưa xuân khiến mặt đất tràn đầy sức sống.
