simplified	VI	example_VI
专心	chuyên tâm; tập trung	Khi lên lớp phải tập trung nghe giảng.
转变	chuyển biến; thay đổi	Thái độ của anh ấy đã có sự chuyển biến.
转告	chuyển lời; nhắn lại	Xin hãy nhắn lại với anh ấy rằng ngày mai có cuộc họp.
装	cho vào; giả vờ	Xin hãy cho sách vào túi.
装饰	trang trí	Họ dùng hoa trang trí phòng.
装修	cải tạo; trang trí nội thất	Ngôi nhà mới đang được cải tạo.
撞	đâm; va chạm	Hai chiếc xe đã va chạm ở ngã tư.
状况	tình trạng; tình hình	Tình trạng hiện nay tương đối ổn định.
状态	trạng thái; tình trạng	Hôm nay trạng thái của anh ấy rất tốt.
追	đuổi theo	Đứa trẻ đuổi theo chú chó con ở phía sau.
追求	theo đuổi	Anh ấy luôn theo đuổi ước mơ của mình.
咨询	tư vấn; hỏi ý kiến	Bạn có thể hỏi ý kiến bác sĩ chuyên khoa.
姿势	tư thế	Xin hãy giữ tư thế đúng.
资格	tư cách; điều kiện	Anh ấy có tư cách tham gia cuộc thi.
资金	vốn; nguồn vốn	Dự án cần thêm vốn.
资料	tài liệu; dữ liệu	Xin hãy gửi tài liệu cho tôi.
资源	tài nguyên	Nước là một tài nguyên thiên nhiên quan trọng.
紫	màu tím	Cô ấy thích màu tím.
字母	chữ cái	Tiếng Anh có hai mươi sáu chữ cái.
字幕	phụ đề	Bộ phim này có phụ đề tiếng Trung.
自从	từ khi	Từ sau khi tốt nghiệp, anh ấy rất ít khi quay lại.
自动	tự động	Cánh cửa này sẽ tự động mở.
自豪	tự hào	Tôi cảm thấy tự hào về sự tiến bộ của mình.
自觉	tự giác	Anh ấy đã tự giác hoàn thành bài tập.
自私	ích kỷ	Làm người không thể quá ích kỷ.
自由	tự do	Mỗi người đều trân trọng tự do.
自愿	tự nguyện	Họ tự nguyện tham gia hoạt động.
综合	tổng hợp; kết hợp	Chúng ta cần xem xét tổng hợp các yếu tố.
总裁	tổng giám đốc; CEO	Hôm nay tổng giám đốc đã phát biểu.
总共	tổng cộng	Chuyến du lịch này tổng cộng tốn ba nghìn nhân dân tệ.
总理	thủ tướng	Thủ tướng đã tham dự cuộc họp.
总算	cuối cùng cũng	Vấn đề cuối cùng cũng được giải quyết.
总统	tổng thống	Tổng thống đã có bài phát biểu trên truyền hình.
总之	tóm lại	Tóm lại, chúng ta phải hoàn thành đúng hạn.
组	nhóm	Giáo viên chia chúng tôi thành ba nhóm.
组成	cấu thành; tạo thành	Nước được cấu thành từ hydro và oxy.
组合	sự kết hợp; tổ hợp	Sự kết hợp màu sắc này rất đẹp.
组织	tổ chức	Nhà trường đã tổ chức một chuyến đi.
阻止	ngăn chặn	Cảnh sát đã ngăn chặn hành vi nguy hiểm.
最初	ban đầu	Lúc đầu tôi không hiểu lắm.
醉	say	Anh ấy uống nhiều quá, hơi say.
尊敬	tôn trọng; kính trọng	Học sinh đều rất kính trọng giáo viên.
遵守	tuân thủ	Chúng ta phải tuân thủ luật giao thông.
作品	tác phẩm	Bức tranh này là tác phẩm của anh ấy.
作为	với tư cách là	Với tư cách là giáo viên, anh ấy rất kiên nhẫn.
作文	bài văn	Giáo viên yêu cầu chúng tôi viết một bài văn.
