simplified	DE	example_DE
理直气壮	mit gutem Recht selbstbewusst	Bei ausreichenden Beweisen sprach er sehr selbstbewusst.
理智	Vernunft	Bei Konflikten sollte man die Vernunft bewahren.
礼节	Etikette	Verschiedene Kulturen haben unterschiedliche Etikette.
礼尚往来	Gefälligkeit mit Gefälligkeit erwidern	Unter Nachbarn legt man Wert auf gegenseitige Höflichkeit.
里程碑	Meilenstein	Dieser Erfolg ist ein Meilenstein des Projekts.
例外	Ausnahme	Alle müssen teilnehmen, ohne Ausnahme.
利害	Interessen; Vor- und Nachteile	Das betrifft die Interessen beider Seiten.
力求	sich bemühen	Wir bemühen uns, Fehler auf ein Minimum zu reduzieren.
力所能及	im Rahmen der eigenen Möglichkeiten	Bitte tun Sie, was in Ihren Möglichkeiten liegt.
力争	sich nach Kräften bemühen	Das Team bemüht sich, die Aufgabe früher abzuschließen.
历代	frühere Generationen	Gelehrte früherer Generationen haben dieses Problem untersucht.
历来	seit jeher	Diese Stadt legt seit jeher Wert auf Bildung.
立场	Standpunkt	Er machte in der Sitzung seinen Standpunkt deutlich.
立方	Kubik	Dieser Wassertank hat ein Fassungsvermögen von drei Kubikmetern.
立交桥	Überführung	Diese Überführung entlastete den Verkehrsstau.
立体	dreidimensional	Dieses Bild hat eine starke dreidimensionale Wirkung.
立足	sich stützen auf; Fuß fassen	Unternehmen sollten sich auf dem lokalen Markt etablieren.
粒	Korn	Auf dem Tisch liegen ein paar Reiskörner.
廉洁	unbestechlich	Beamte müssen unbestechlich bleiben.
联欢	Zusammenkunft; Feier	Die Klassenkameraden veranstalteten eine Neujahrsfeier.
联络	Kontakt aufnehmen	Bitte nehmen Sie so schnell wie möglich Kontakt mit dem Kunden auf.
联盟	Bündnis	Mehrere Länder bildeten ein Handelsbündnis.
联想	assoziieren	Dieses Foto erinnert mich an meine Kindheit.
连年	jahr für Jahr	Diese Region leidet seit Jahren unter Überschwemmungen.
连锁	Kette	Dieses Unternehmen betreibt Supermarktketten.
连同	zusammen mit	Bitte senden Sie die Rechnung zusammen mit dem Vertrag.
良心	Gewissen	Man sollte so leben, dass man sein Gewissen nicht verrät.
晾	an der Luft trocknen	Sie hängte die Kleidung auf dem Balkon zum Trocknen auf.
谅解	Verständnis	Ich hoffe, du kannst unsere Schwierigkeiten verstehen.
辽阔	weit; ausgedehnt	Die Steppe ist so weit, dass man ihr Ende nicht sieht.
列举	auflisten	Der Lehrer nannte drei Beispiele.
临床	klinisch	Dieses Medikament befindet sich in klinischen Studien.
淋	durchnässen	Bleib nicht zu lange im Regen und lass dich nicht durchnässen.
吝啬	geizig	Gegenüber Freunden ist er nie geizig.
伶俐	klug; aufgeweckt	Dieses kleine Mädchen ist klug und aufgeweckt.
凌晨	früher Morgen	Das Flugzeug startet um drei Uhr früh.
灵感	Inspiration	Musik gab ihm kreative Inspiration.
灵魂	Seele	Freiheit ist die Seele dieses Werks.
灵敏	empfindlich; reaktionsschnell	Dieses Gerät reagiert sehr empfindlich.
零星	vereinzelt	Am Nachthimmel waren vereinzelte Lichter.
领会	begreifen	Er begriff schnell, was der Lehrer meinte.
领事馆	Konsulat	Er ging zum Konsulat, um sein Visum zu erledigen.
领土	Territorium	Jedes Land legt Wert auf territoriale Integrität.
领悟	erkennen; verstehen	Nach dem Scheitern erkannte er seine Verantwortung.
领先	führend sein	Ihre Technologie ist derzeit der Konkurrenz voraus.
领袖	Anführer; Führer	Dieser Anführer wird vom Volk sehr respektiert.
溜	herausschlüpfen	Der kleine Hund schlüpfte durch den Türspalt hinaus.
流浪	umherziehen	In seiner Jugend zog er einmal überall umher.
流露	zum Ausdruck kommen	Auf ihrem Gesicht zeigte sich Freude.
流氓	Ganove; Rowdy	Die Polizei fasste mehrere Straßenrowdys.
流通	zirkulieren	Diese Währung war früher vor Ort im Umlauf.
留恋	ungern verlassen	Beim Abschluss fühlten sich alle dem Campus verbunden.
留念	als Andenken behalten	Wir machten am Schultor Fotos als Andenken.
留神	aufpassen	Beim Überqueren der Straße musst du unbedingt aufpassen.
聋哑	taubstumm	Die Schule bietet taubstummen Kindern Hilfe an.
隆重	feierlich	Die Konferenz wurde feierlich in der Aula abgehalten.
垄断	monopolisieren	Ein Monopol kann dem Wettbewerb auf dem Markt schaden.
笼罩	einhüllen	Dichter Nebel hüllte das ganze Dorf ein.
搂	umarmen	Die Mutter umarmte das Kind sanft.
炉灶	Herd	Der Herd in der Küche muss gereinigt werden.
轮船	Schiff	Das Schiff verließ langsam den Hafen.
轮廓	Umriss	Die Umrisse der fernen Berge sind sehr klar.
轮胎	Reifen	Die Autoreifen müssen ersetzt werden.
论坛	Forum	Experten hielten auf dem Forum Vorträge.
论证	belegen; argumentieren	Der Bericht muss seine Argumente weiter belegen.
啰唆	weitschweifig sein	Sei nicht so weitschweifig, komm direkt zum Punkt.
络绎不绝	in endlosem Strom	Besucher kamen in endlosem Strom in die alte Stadt.
落成	fertiggestellt werden	Die neue Sporthalle wird morgen offiziell fertiggestellt.
落实	umsetzen	Die Sitzung verlangte, die neue Politik rasch umzusetzen.
屡次	wiederholt	Er erinnerte alle wiederholt daran, auf Sicherheit zu achten.
履行	erfüllen	Beide Seiten müssen ihre Vertragspflichten erfüllen.
掠夺	plündern	Der Krieg führte zur Plünderung von Ressourcen.
嘛	Modalpartikel	Das ist doch ganz einfach.
麻痹	Lähmung; Nachlässigkeit	Lang anhaltender Erfolg macht Menschen leicht nachlässig.
麻木	taub; abgestumpft	Die Kälte machte seine Finger taub.
麻醉	Betäubung	Vor der Operation betäubte der Arzt den Patienten.
码头	Pier; Kai	Das Frachtschiff legte am Kai an.
蚂蚁	Ameise	Die Ameisen tragen Nahrung.
埋伏	Hinterhalt	Die Soldaten lagen im Tal im Hinterhalt.
埋没	übersehen; begraben lassen	Lass talentierte Menschen nicht übersehen werden.
埋葬	begraben	Die Dorfbewohner begruben den alten Mann am Hang.
脉搏	Puls	Die Krankenschwester misst seinen Puls.
迈	einen Schritt machen	Er machte große Schritte zur Tür.
埋怨	sich beklagen	Beschwere dich nicht immer über andere.
慢性	chronisch	Chronische Krankheiten brauchen langfristige Behandlung.
漫长	sehr lang	Sie erlebten eine lange Wartezeit.
漫画	Comic	Dieser Comic ist bei jungen Leuten sehr beliebt.
蔓延	sich ausbreiten	Das Feuer breitete sich schnell tief in den Wald aus.
忙碌	beschäftigt	Das Jahresende ist die geschäftigste Zeit des Unternehmens.
盲目	blind; ziellos	Beim Investieren sollte man Trends nicht blind folgen.
茫茫	endlos; grenzenlos	Das Boot verschwand im endlosen Meer.
茫然	ratlos	Nach der Erklärung schaute er immer noch ratlos.
冒充	sich ausgeben als	Jemand gab sich als Polizist aus, um Geld zu erschwindeln.
冒犯	beleidigen	Meine Worte sollten dich nicht beleidigen.
茂盛	üppig	Die Bäume im Hof wachsen sehr üppig.
媒介	Medium	Das Internet ist ein wichtiges Informationsmedium.
枚	Zähleinheitswort für Münzen und Medaillen	Er sammelt mehrere Gedenkmünzen.
美观	ästhetisch	Dieses Design ist praktisch und ästhetisch.
美满	glücklich und erfüllt	Sie führen ein glückliches und erfülltes Leben.
美妙	wunderbar	Das Konzert brachte ein wunderbares Erlebnis.
萌芽	keimen; entstehen	Eine neue Idee begann zu entstehen.
猛烈	heftig	Der Sturm kam sehr heftig.
眯	die Augen zusammenkneifen	Die Sonne war zu stark, also kniff er die Augen zusammen.
弥补	wiedergutmachen	Eine Entschuldigung kann den Verlust nicht vollständig wiedergutmachen.
弥漫	erfüllen; durchdringen	Der Duft der Blumen erfüllte den Hof.
谜语	Rätsel	Kinder lösen gern Rätsel.
迷惑	verwirren	Die komplizierten Daten verwirrten ihn.
迷人	bezaubernd	Die nächtliche Aussicht am Meer ist sehr bezaubernd.
迷信	Aberglaube	Wissenschaftliche Bildung kann Aberglauben verringern.
密度	Dichte	Dieses Metall hat eine hohe Dichte.
密封	versiegeln	Nach dem Öffnen bitte den Beutel wieder verschließen.
棉花	Baumwolle	Die Bauern pflücken Baumwolle.
免得	damit nicht	Geh früher los, damit du nicht zu spät kommst.
免疫	Immunität	Dieser Impfstoff kann die Immunität stärken.
勉励	ermutigen	Der Lehrer ermutigt die Schüler oft, weiterzulernen.
勉强	widerwillig; mit Mühe	Er stimmte dieser Regelung widerwillig zu.
面貌	Erscheinungsbild	Das Erscheinungsbild der Stadt hat sich stark verändert.
面子	Gesicht; Ansehen	Er wollte vor allen nicht das Gesicht verlieren.
描绘	schildern; darstellen	Der Roman schildert das Landleben.
瞄准	zielen	Der Schütze zielte auf das Ziel.
渺小	winzig	Vor der Natur wirkt der Mensch sehr klein.
藐视	verachten	Wir dürfen keinen Gegner verachten.
灭亡	untergehen	Diese Dynastie ging schließlich unter.
蔑视	Verachtung	Sein Ton war voller Verachtung.
民间	volkstümlich; aus dem Volk	Volkskunst muss geschützt werden.
民主	Demokratie	Die Sitzung nutzte eine demokratische Abstimmung.
敏捷	beweglich; flink	Die Bewegungen des Sportlers sind sehr flink.
敏锐	scharf; sensibel	Journalisten brauchen eine scharfe Beobachtungsgabe.
名次	Platzierung	Sie erreichte im Wettbewerb eine gute Platzierung.
名额	Platz; Quote	Dieses Programm hat nur zehn Plätze.
名副其实	wirklich; seinem Namen gerecht	Er ist ein wirklicher Experte.
名誉	Ruf; Ansehen	Diese Sache beschädigte den Ruf des Unternehmens.
明明	offensichtlich	Er wusste offensichtlich die Antwort, wollte sie aber nicht sagen.
明智	weise; vernünftig	Die Entscheidung zu verschieben war eine weise Wahl.
命名	benennen	Wissenschaftler benannten die neue Art.
摸索	erkunden; herumprobieren	Das Team erkundet noch neue Methoden.
摩擦	Reibung	Zwischen den beiden Ländern kam es zu Handelsreibungen.
模范	Vorbild	Er ist ein Vorbild für alle Schüler der Schule.
模式	Modell; Methode	Dieses Geschäftsmodell ist sehr erfolgreich.
模型	Modell	Der Ingenieur baute ein Brückenmodell.
磨合	sich einspielen	Das neue Team braucht Zeit, um sich einzuspielen.
膜	Membran	Diese Membran kann Verunreinigungen filtern.
魔鬼	Teufel	Der Teufel in der Geschichte ist sehr listig.
魔术	Zauberei	Kinder sehen gern Zaubervorführungen.
抹杀	auslöschen	Sein Beitrag kann nicht ausgelöscht werden.
墨水儿	Tinte	Die Tinte im Füller ist fast aufgebraucht.
莫名其妙	rätselhaft	Seine Reaktion machte die Leute ratlos.
默默	still; schweigend	Sie half vielen Menschen still.
谋求	anstreben	Das Unternehmen strebt neue Entwicklungsmöglichkeiten an.
模样	Aussehen	Sein jetziges Aussehen hat sich stark verändert.
母语	Muttersprache	Kinder lernen von klein auf ihre Muttersprache.
沐浴	baden; gebadet sein	Das Dorf am Morgen war in Sonnenlicht gebadet.
目睹	mit eigenen Augen sehen	Viele Menschen sahen diesen Unfall mit eigenen Augen.
目光	Blick	Alle Blicke richteten sich auf die Bühne.
拿手	Spezialität	Geschmorter Fisch ist seine Spezialität.
纳闷儿	sich wundern	Ich wunderte mich die ganze Zeit, warum er zu spät kam.
耐用	langlebig	Dieses Paar Schuhe ist sehr langlebig.
南辕北辙	das Gegenteil vom Ziel bewirken	Seine Vorgehensweise läuft dem Ziel völlig zuwider.
难得	selten; kostbar	Das ist eine seltene Gelegenheit.
难堪	peinlich	Diese Frage war ihm sehr peinlich.
难能可贵	besonders anerkennenswert	Unter Druck ehrlich zu bleiben ist besonders anerkennenswert.
恼火	verärgert	Das Gerät ging wieder kaputt, und er war sehr verärgert.
内涵	Konnotation; innerer Gehalt	Dieses Wort hat reiche kulturelle Konnotationen.
内幕	Hintergrundgeschichte	Der Reporter versuchte, die Hintergründe des Vorfalls zu untersuchen.
内在	innerlich; intrinsisch	Er legt mehr Wert auf die inneren Eigenschaften eines Menschen.
能量	Energie	Dieses Frühstück gibt mir viel Energie.
拟定	entwerfen	Die Sekretärin entwirft gerade die Tagesordnung der Sitzung.
逆行	in falscher Richtung fahren	Das Auto fuhr auf der Einbahnstraße in die falsche Richtung.
年度	Jahres-	Das Unternehmen veröffentlichte den Jahresbericht.
捏	kneifen	Sie kniff dem Kind sanft in die Wange.
凝固	erstarren; fest werden	Nach dem Abkühlen wird das Wachs langsam fest.
凝聚	bündeln; vereinen	Ein gemeinsames Ziel kann die Kraft des Teams bündeln.
凝视	starren; fest ansehen	Er starrte auf die Lichter in der Ferne.
拧	kneifen; wringen	Er kniff mich einmal mit der Hand.
宁肯	lieber	Sie würde lieber scheitern, als ihre Prinzipien aufzugeben.
宁愿	lieber	Ich gehe lieber zu Fuß, als auf den Bus zu warten.
扭转	umkehren	Die neue Politik kehrte die Verlustsituation um.
纽扣儿	Knopf	Diesem Hemd ist ein Knopf abgefallen.
农历	Mondkalender	Das Frühlingsfest wird nach dem Mondkalender gefeiert.
浓厚	stark ausgeprägt	Er hat ein starkes Interesse an Geschichte.
奴隶	Sklave	In der antiken Gesellschaft gab es Sklaverei.
挪	bewegen; verschieben	Bitte schieben Sie den Stuhl etwas zur Seite.
虐待	misshandeln	Das Gesetz verbietet die Misshandlung von Kindern.
哦	oh	Oh, jetzt verstehe ich endlich.
殴打	verprügeln	Die Polizei verhaftete die Person, die einen Passanten verprügelt hatte.
偶像	Idol	Sie betrachtet diesen Schriftsteller als ihr Idol.
呕吐	erbrechen	Nachdem er verdorbenes Essen gegessen hatte, begann er sich zu erbrechen.
趴	auf dem Bauch liegen	Das Kätzchen lag schlafend auf dem Fensterbrett.
徘徊	hin und her gehen; zögern	Er verweilte lange am Eingang.
排斥	abstoßen; ausschließen	Das neue Material stößt Feuchtigkeit ab.
排除	ausschließen	Der Arzt schloss zunächst schwere Krankheiten aus.
排放	Ausstoß; Emission	Fabriken müssen die Abgasemissionen verringern.
排练	proben	Die Schauspieler proben ein neues Programm.
派别	Fraktion	Innerhalb dieser Organisation gibt es verschiedene Fraktionen.
派遣	entsenden	Das Unternehmen entsandte Ingenieure zum Standort.
攀登	besteigen	Sie planen, morgen den schneebedeckten Berg zu besteigen.
盘旋	kreisen	Das Flugzeug kreiste über dem Flughafen.
判决	Urteil	Das Gericht verkündete heute das Urteil.
畔	Ufer	Die Kinder gingen am Seeufer spazieren.
庞大	riesig	Dieses Projekt braucht enorme Mittel.
抛弃	aufgeben; verlassen	Er will seinen Traum nicht aufgeben.
泡沫	Schaum; Blase	Im Becher ist viel weißer Schaum.
培育	fördern; heranziehen	Die Schule bemüht sich, das Verantwortungsbewusstsein der Schüler zu fördern.
配备	ausstatten	Das neue Auto ist mit einem Sicherheitssystem ausgestattet.
配偶	Ehepartner	Im Antragsformular müssen Angaben zum Ehepartner gemacht werden.
配套	begleitend; vollständig ausgestattet	Die Wohnanlage hat vollständige unterstützende Einrichtungen.
盆地	Becken	Dieses Becken ist im Sommer sehr heiß.
烹饪	Kochen	Kochen erfordert Geduld und Erfahrung.
捧	in beiden Händen halten	Sie hielt einen Blumenstrauß in beiden Händen.
劈	spalten	Der Arbeiter spaltete Brennholz mit einer Axt.
批发	Großhandel	Dieses Geschäft handelt hauptsächlich mit Obst im Großhandel.
批判	kritisieren	Der Artikel kritisierte diese falsche Ansicht.
疲惫	erschöpft	Nach der langen Reise waren alle erschöpft.
疲倦	müde	Ununterbrochene Arbeit machte ihn müde.
皮革	Leder	Diese Tasche ist aus Leder.
屁股	Hintern	Nach dem Sturz tat dem Kind der Hintern weh.
譬如	zum Beispiel	Zum Beispiel können wir zuerst einen kleinen Test machen.
偏差	Abweichung	Die Versuchsergebnisse weisen eine deutliche Abweichung auf.
偏见	Vorurteil	Wir sollten ethnische Vorurteile vermeiden.
偏僻	abgelegen	Dieses Dorf liegt sehr abgelegen.
偏偏	ausgerechnet	Je nervöser ich wurde, desto langsamer fuhr ausgerechnet das Auto.
片断	Ausschnitt	Im Film gibt es mehrere wunderbare Ausschnitte.
片刻	einen Augenblick	Bitte warten Sie hier einen Augenblick auf mich.
漂浮	schwimmen; treiben	Gefallene Blätter trieben auf der Wasseroberfläche.
飘扬	wehen	Die Nationalflagge wehte im Wind.
撇	beiseitewerfen	Er warf den alten Plan beiseite.
拼搏	kämpfen; sich anstrengen	Junge Menschen sollten für ihre Ideale kämpfen.
拼命	mit aller Kraft	Er jagte der vorderen Gruppe mit aller Kraft nach.
贫乏	arm; dürftig	Der Inhalt dieses Artikels ist ziemlich dürftig.
贫困	Armut; arm	Die Regierung hilft armen Familien.
频繁	häufig	In letzter Zeit sind Verkehrsunfälle hier häufig.
频率	Frequenz	Die Frequenz dieses Tons ist sehr hoch.
品尝	kosten; probieren	Die Gäste probieren lokale Spezialitäten.
品德	moralische Haltung	Die Schule legt Wert auf die moralische Erziehung der Schüler.
品质	Qualität	Die Produktqualität dieses Unternehmens ist stabil.
品种	Sorte; Art	Auf dem Markt gibt es viele Obstsorten.
屏幕	Bildschirm	Bitte verringern Sie die Bildschirmhelligkeit.
屏障	Barriere; Schutzwall	Der Wald ist eine wichtige Barriere gegen Wind.
平凡	gewöhnlich	Er arbeitete viele Jahre auf einer gewöhnlichen Stelle.
平面	Ebene; Grundriss	Der Designer zeichnete den Grundriss des Hauses.
平坦	eben	Diese Straße ist sehr eben.
平行	parallel	Diese beiden Linien verlaufen parallel zueinander.
平庸	mittelmäßig	Er will kein mittelmäßiges Leben führen.
平原	Ebene	Der Zug fuhr durch eine weite Ebene.
评估	bewerten	Experten bewerten gerade die Projektrisiken.
评论	kommentieren	Leser können unter dem Artikel kommentieren.
坡	Hang	Das Auto fuhr langsam den Hang hinauf.
泼	verschütten; spritzen	Verschütte das Wasser nicht auf den Boden.
颇	ziemlich	Dieses Ergebnis ist ziemlich überraschend.
破例	eine Ausnahme machen	Der Manager machte für ihn eine Ausnahme und genehmigte den Antrag.
迫不及待	es kaum erwarten können	Die Kinder konnten es kaum erwarten, die Geschenke zu öffnen.
迫害	Verfolgung	In der Geschichte litten viele Menschen unter Verfolgung.
魄力	Entschlossenheit	Führungskräfte brauchen Entschlossenheit bei Entscheidungen.
扑	sich stürzen	Das Kind stürzte sich plötzlich in die Arme seiner Mutter.
铺	verlegen; ausbreiten	Die Arbeiter verlegen gerade einen neuen Teppich.
普及	verbreitet sein	Das Internet ist in Städten bereits weit verbreitet.
朴实	schlicht; aufrichtig	Seine Sprache ist schlicht und aufrichtig.
朴素	einfach; schlicht	Sie mag einen einfachen Lebensstil.
瀑布	Wasserfall	Touristen standen neben dem Wasserfall und machten Fotos.
凄凉	trostlos	Das Bergdorf wirkte im Winter sehr trostlos.
期望	Erwartung	Eltern haben hohe Erwartungen an ihre Kinder.
期限	Frist	Die Anmeldefrist ist dieser Freitag.
欺负	schikanieren	Ältere Kinder sollten jüngere Kinder nicht schikanieren.
欺骗	täuschen	Die falsche Werbung täuschte die Verbraucher.
奇妙	wunderbar	In der Natur gibt es viele wunderbare Phänomene.
旗袍	Qipao	Sie trug ein rotes Qipao zur Abendveranstaltung.
旗帜	Fahne; Banner	Auf dem Platz wehten leuchtende Fahnen.
歧视	Diskriminierung	Das Gesetz verbietet jede Form von Diskriminierung.
齐全	vollständig	Dieses Geschäft hat ein vollständiges Werkzeugsortiment.
齐心协力	gemeinsam anpacken	Alle arbeiteten zusammen und erledigten die Aufgabe.
乞丐	Bettler	Am Straßenrand saß ein alter Bettler.
企图	Versuch	Er versuchte, die wahre Situation zu verbergen.
启程	aufbrechen	Die Delegation bricht morgen früh auf.
启蒙	frühe Bildung; Einführung	Dieses Buch eignet sich als Einstiegslektüre für Kinder.
启事	Bekanntmachung	Am Schultor hing eine Stellenanzeige.
启示	Lehre; Erkenntnis	Dieses Scheitern gab uns eine wichtige Lehre.
岂有此理	absurd	Diese Gebühr ist wirklich absurd.
起草	entwerfen	Der Anwalt entwirft gerade den Vertrag.
起初	anfangs	Anfangs glaubte er diese Nachricht nicht.
起伏	auf und ab gehen	Die Bergstraße steigt und fällt mit dem Gelände.
起哄	Unruhe stiften	Schüler sollten im Unterricht keine Unruhe stiften.
起码	mindestens	Du hättest mich mindestens vorher informieren sollen.
起源	Ursprung	Dieses Fest hat seinen Ursprung in der Antike.
器材	Ausrüstung	Das Labor braucht neue Unterrichtsausrüstung.
器官	Organ	Das Herz ist ein wichtiges Organ des menschlichen Körpers.
气概	Geist; Haltung	Dieses Gedicht zeigt heldenhaften Geist.
气功	Qigong	Der Großvater übt jeden Morgen Qigong.
气魄	imposante Ausstrahlung	Diese Brücke hat eine imposante Ausstrahlung.
气色	Gesichtsfarbe	Nach der Ruhepause sah seine Gesichtsfarbe viel besser aus.
气势	Schwung; Dynamik	Die Mannschaft hatte gleich zu Beginn starke Dynamik.
气味	Geruch	In der Küche roch es nach Toast.
气象	Wetter; Meteorologie	Das Wetter auf diesem Hochplateau ändert sich schnell.
气压	Luftdruck	Fallender Luftdruck kann Regen bringen.
气质	Temperament	Sie hat ein ruhiges Temperament.
迄今为止	bis jetzt	Bis jetzt verläuft das Experiment reibungslos.
掐	pflücken; kneifen	Sie pflückte eine kleine Blume.
恰当	angemessen	Deine Antwort ist sehr angemessen.
恰到好处	genau richtig	Die Süße dieses Gerichts ist genau richtig.
恰巧	zufällig	Als ich am Bahnhof ankam, regnete es zufällig.
洽谈	besprechen	Beide Seiten besprechen gerade die Details der Zusammenarbeit.
千方百计	mit allen Mitteln	Sie suchten mit allen Mitteln nach einer Lösung.
牵	ziehen; an der Hand führen	Die Mutter hielt das Kind beim Überqueren der Straße an der Hand.
牵扯	betreffen; verwickeln	Diese Sache betrifft viele Abteilungen.
牵制	binden; einschränken	Die Verteidigung des Gegners band den Angriff.
签署	unterzeichnen	Die beiden Unternehmen unterzeichneten eine Vereinbarung.
谦逊	bescheiden	Nach seinem Erfolg blieb er weiterhin bescheiden.
迁就	nachgeben; sich anpassen	Eltern können Kindern nicht immer nachgeben.
迁徙	wandern; migrieren	Zugvögel wandern jedes Jahr mit den Jahreszeiten.
前景	Aussichten	Diese Branche hat gute Aussichten.
前提	Voraussetzung	Vertrauen ist die Voraussetzung für Zusammenarbeit.
潜力	Potenzial	Dieser Schüler hat großes Potenzial.
潜水	tauchen	Sie gingen ans Meer, um Tauchen zu lernen.
潜移默化	unmerklich beeinflussen	Das familiäre Umfeld kann Kinder unmerklich beeinflussen.
谴责	verurteilen	Die internationale Gemeinschaft verurteilte die Gewalt.
抢劫	rauben	Die Polizei fasste den Verdächtigen, der die Bank ausgeraubt hatte.
强制	zwingen; erzwingen	Die neue Regel zwingt Fahrer, den Sicherheitsgurt anzulegen.
强迫	zwingen	Zwinge Kinder nicht, Dinge zu tun, die sie nicht mögen.
抢救	retten	Ärzte retten gerade den verletzten Arbeiter.
桥梁	Brücke	Sprache ist eine Brücke für kulturellen Austausch.
窍门	Trick; Kniff	Beim Lernen der Aussprache gibt es einige Tricks.
翘	hochlegen	Er legte einen Fuß auf den Stuhl hoch.
切实	praktisch; realistisch	Wir brauchen einen praktischen und realistischen Plan.
锲而不舍	beharrlich bleiben	Er erforschte dieses Problem beharrlich.
亲密	eng; vertraut	Sie pflegen seit Langem eine enge Beziehung.
亲热	herzlich; warmherzig	Der alte Mann begrüßte die Gäste herzlich.
侵犯	verletzen; eingreifen	Dieses Verhalten verletzte die persönliche Privatsphäre.
侵略	Invasion	Das Volk lehnt jede Form von Invasion ab.
钦佩	bewundern	Ich bewundere ihren Mut sehr.
勤俭	fleißig und sparsam	Die Großmutter führte ihr ganzes Leben den Haushalt fleißig und sparsam.
勤劳	fleißig	Fleißige Menschen können immer Chancen schaffen.
倾听	aufmerksam zuhören	Der Lehrer hörte den Meinungen der Schüler aufmerksam zu.
倾向	Tendenz	Junge Verbraucher neigen zum Einkaufen im Internet.
倾斜	sich neigen	Nach dem Starkregen begann die Mauer sich zu neigen.
清澈	klar	Der Bach in den Bergen ist sehr klar.
清晨	früher Morgen	Die Luft am frühen Morgen ist besonders frisch.
清除	beseitigen	Die Arbeiter beseitigten den Schnee auf der Straße.
清洁	sauber	Krankenhäuser müssen die Umgebung sauber halten.
清理	aufräumen; bereinigen	Am Wochenende räumten wir das Lager auf.
清晰	klar	Dieses Foto ist sehr klar.
清醒	wach; klar im Kopf	Nach dem Kaffee war er viel wacher.
清真	halal; muslimisch	In der Nähe gibt es ein Halal-Restaurant.
情报	Information; Nachrichtendienst	Der Reporter erhielt wichtige Informationen.
情节	Handlung	Die Handlung des Romans ist sehr spannend.
情理	Vernunft	Seine Forderung ist unvernünftig.
情形	Situation	Die Situation vor Ort war komplexer als gedacht.
晴朗	heiter; klar	Der Himmel ist heute besonders klar.
请柬	Einladungskarte	Sie schickten Hochzeitseinladungen an Verwandte und Freunde.
请教	sich beraten lassen	Ich möchte Sie zu einer Frage um Rat bitten.
请示	um Anweisung bitten	Diese Sache muss zuerst der Leitung zur Anweisung gemeldet werden.
请帖	Einladungskarte	Auf dem Tisch lag eine Geburtstagseinladung.
丘陵	Hügelland	Diese Gegend hat viele Hügel.
区分	unterscheiden	Das Kind kann schon links und rechts unterscheiden.
区域	Gebiet	In diesem Gebiet ist Parken verboten.
屈服	nachgeben	Er gab dem Druck nicht nach.
曲折	kompliziert; gewunden	Sie durchliefen komplizierte Verhandlungen.
驱逐	vertreiben	Die Polizei vertrieb die Unruhestifter.
渠道	Kanal; Vertriebsweg	Das Unternehmen verkauft Produkte über neue Kanäle.
取缔	verbieten	Die Regierung verbot den illegalen Markt.
曲子	Melodie	Die Melodie dieses Stücks ist schön.
趣味	Interesse; Spaß	Dieses Spiel macht viel Spaß.
圈套	Falle	Er wäre fast in die Falle des Betrügers geraten.
全局	Gesamtlage	Führungskräfte müssen die Gesamtinteressen berücksichtigen.
全力以赴	alles daransetzen	Wir werden alles daransetzen, die Aufgabe zu erfüllen.
拳头	Faust	Er ballte die Faust und bereitete sich auf den Wettkampf vor.
权衡	abwägen	Wir müssen Kosten und Wirkung abwägen.
权威	Autorität	Dieser Professor ist eine Autorität auf diesem Gebiet.
犬	Hund	Diese Hunderasse eignet sich als Wachhund.
缺口	Lücke	In der Wand ist eine kleine Lücke.
缺席	abwesend	Er fehlte krankheitsbedingt bei der Sitzung.
缺陷	Mangel	Dieses Design hat einen offensichtlichen Mangel.
瘸	hinken	Sein linkes Bein hinkt ein wenig.
确保	sicherstellen	Bitte stellen Sie sicher, dass die Tür abgeschlossen ist.
确立	festlegen	Das Unternehmen legte neue Entwicklungsziele fest.
确切	genau	Ich kenne die genaue Uhrzeit nicht.
确信	sicher sein	Ich bin sicher, dass er pünktlich ankommen wird.
群众	Massen; Bevölkerung	Die Bevölkerung unterstützt die neue Politik sehr.
染	färben	Sie färbte ihre Haare schwarz.
嚷	schreien	Schrei nicht laut im Flur.
让步	Zugeständnis	Beide Seiten machten einige Zugeständnisse.
饶恕	verzeihen	Sie entschied sich schließlich, der anderen Person zu verzeihen.
扰乱	stören	Der Lärm störte die Ordnung im Unterricht.
惹祸	Ärger verursachen	Achtlose Witze können leicht Ärger verursachen.
热泪盈眶	Tränen in den Augen haben	Als sie die gute Nachricht hörte, standen ihr Tränen in den Augen.
热门	beliebt; angesagt	Künstliche Intelligenz ist ein beliebtes Thema.
人道	humanitär	Die Rettungsaktion zeigte humanitären Geist.
人格	Persönlichkeit; Würde	Andere zu beleidigen verletzt ihre persönliche Würde.
人工	künstlich	Dieser Fluss wurde künstlich ausgehoben.
人家	andere Leute	Vergleiche dich nicht immer mit anderen Leuten.
人间	Menschenwelt	Der Frühling erfüllt die Menschenwelt mit Leben.
人士	Person; Vertreter	Vertreter aus allen Kreisen nahmen am Gespräch teil.
人为	menschengemacht	Dieser Unfall wurde durch menschliche Faktoren verursacht.
人性	Menschlichkeit; menschliche Natur	Dieser Film behandelt die menschliche Natur.
人质	Geisel	Die Polizei rettete die Geisel erfolgreich.
仁慈	gütig	Dieser Arzt ist sehr gütig zu den Patienten.
忍耐	Geduld	In einer langen Schlange zu warten erfordert etwas Geduld.
