simplified	HY	example_HY
效率	արդյունավետություն	Այսպես անելը կարող է բարձրացնել արդյունավետությունը։
歇	հանգստանալ; դադար առնել	Եկեք նախ մի քիչ հանգստանանք։
斜	թեք	Այս ճանապարհը մի քիչ թեք է։
写作	գրել; գրավոր աշխատանք	Գրելը երկարատև վարժանք է պահանջում։
心理	հոգեբանական; հոգեվիճակ	Քննությունից առաջ պետք է կարգավորել հոգեվիճակը։
心脏	սիրտ	Սրտի առողջությունը շատ կարևոր է։
欣赏	հիանալ; գնահատել	Մենք հիացանք գեղեցիկ տեսարանով։
信号	ազդանշան	Այստեղ հեռախոսի ազդանշանը լավ չէ։
信任	վստահել; վստահություն	Ընկերների միջև վստահություն է պետք։
形成	ձևավորվել	Լավ սովորությունները դանդաղ են ձևավորվում։
形容	նկարագրել	Ես չգիտեմ՝ ինչպես նկարագրել այս զգացումը։
形势	իրավիճակ; դրություն	Ներկայիս իրավիճակը բավականին բարդ է։
形式	ձև; ձևաչափ	Ժողովը կարող է անցկացվել առցանց ձևաչափով։
形象	կերպար; իմիջ	Նրա հանրային կերպարը շատ լավն է։
形状	ձև; տեսք	Այս տուփի ձևը շատ առանձնահատուկ է։
行动	գործողություն; գործել	Մենք պետք է անմիջապես գործենք։
行人	հետիոտն	Ճանապարհն անցնելիս պետք է ուշադրություն դարձնել հետիոտներին։
行为	վարք; պահվածք	Այսպիսի վարքը անքաղաքավարի է։
幸亏	բարեբախտաբար	Բարեբախտաբար, դու ինձ հիշեցրիր։
幸运	բախտավոր; հաջողակ	Նա բախտավոր էր և աշխատանք գտավ։
性质	բնույթ; հատկություն	Այս խնդրի բնույթը շատ լուրջ է։
兄弟	եղբայրներ	Երկու եղբայրները լավ հարաբերություններ ունեն։
胸	կուրծք	Նա կրծքում մի քիչ ծանրություն է զգում։
休闲	հանգիստ; ժամանց	Շաբաթավերջը հանգստի լավ ժամանակ է։
修改	փոփոխել; խմբագրել	Խնդրում եմ, խմբագրիր այս հոդվածը։
虚心	համեստ; բաց մտքով	Պետք է համեստորեն լսենք կարծիքները։
叙述	պատմել; շարադրել	Նա հստակ պատմեց, թե ինչ էր եղել։
宣布	հայտարարել	Դպրոցը հայտարարեց նոր կանոնները։
宣传	տարածել; քարոզել	Նրանք տարածում են շրջակա միջավայրի մասին գիտելիքներ։
学历	կրթական աստիճան; կրթություն	Այս աշխատանքը պահանջում է բակալավրի աստիճան։
学术	ակադեմիական; գիտական	Այս ժողովում քննարկվում են գիտական հարցեր։
学问	գիտելիք; ուսումնառություն	Նա շատ գիտելիք ունի։
血	արյուն	Նրա ձեռքից մի քիչ արյուն եկավ։
寻找	փնտրել	Մենք նոր միջոց ենք փնտրում։
询问	հարցնել; հարցում անել	Նա ուսուցչին հարցրեց քննության ժամի մասին։
训练	մարզվել; մարզում	Մարզիկը ամեն օր շարունակում է մարզվել։
迅速	արագ; շտապ	Լուրը արագ տարածվեց։
押金	գրավ; կանխավճար	Տուն վարձելիս պետք է գրավ վճարել։
牙齿	ատամներ	Խնդրում եմ, ամեն օր լավ խնամիր ատամներդ։
严肃	լուրջ; խիստ	Ուսուցչի դեմքի արտահայտությունը շատ լուրջ էր։
延长	երկարաձգել	Ժողովը կես ժամով երկարաձգվեց։
演讲	ելույթ; բանախոսություն	Նա պատրաստվում է վաղվա ելույթին։
宴会	խնջույք; հանդիսավոր ընթրիք	Նրանք մասնակցեցին մի խնջույքի։
阳台	պատշգամբ	Պատշգամբում մի քանի ծաղկաման կա։
痒	քոր գալ; քոր	Թևս մի քիչ քոր է գալիս։
样式	ոճ; ձև	Այս ոճը շատ սիրված է։
腰	իրան; մեջք	Երկար նստելուց մեջքը կարող է ցավել։
摇	թափահարել; ճոճել	Քամին ճյուղերը այս ու այն կողմ էր թափահարում։
咬	կծել	Այս շունը մարդկանց չի կծում։
要不	թե չէ; կամ էլ	Ավելի լավ է վաղը նորից գնանք։
业务	գործարար գործունեություն; գործեր	Ընկերության գործերը գնալով շատանում են։
业余	ազատ ժամանակի; սիրողական	Նա ազատ ժամանակ լուսանկարչություն է սովորում։
夜	գիշեր	Գիշերը փողոցում շատ հանգիստ է։
依然	դեռ; առաջվա պես	Նա դեռ ապրում է Պեկինում։
一辈子	ամբողջ կյանք	Նա ամբողջ կյանքում սիրել է երաժշտությունը։
一旦	հենց որ; մի անգամ որ	Հենց որոշես, պետք է շարունակես։
一律	բոլորը; առանց բացառության	Ժողովի ժամանակ բոլոր հեռախոսները պետք է անջատված լինեն։
一再	կրկին ու կրկին; բազմիցս	Նա բազմիցս հիշեցրեց մեզ անվտանգությանը ուշադրություն դարձնել։
一致	միաձայն; համընկնող	Բոլորի կարծիքները լիովին համընկնում են։
疑问	հարց; կասկած	Ես այս պատասխանի վերաբերյալ հարց ունեմ։
移动	տեղափոխել; շարժել	Խնդրում եմ, սեղանը մի քիչ տեղափոխիր։
移民	գաղթել; ներգաղթյալ	Նրանք ծրագրում են արտասահման տեղափոխվել։
遗憾	ափսոսանք; ափսոսալ	Շատ եմ ափսոսում, որ չկարողացա քեզ տեսնել։
乙	երկրորդ; Բ կողմ	Պայմանագրում Բ կողմը պատասխանատու է վճարման համար։
以及	ինչպես նաև; և	Ես գիրք, ինչպես նաև գրենական պիտույքներ գնեցի։
以来	ի վեր; սկսած	Ավարտելուց ի վեր նա միշտ Պեկինում է աշխատում։
义务	պարտականություն	Շրջակա միջավայրը պաշտպանելը յուրաքանչյուրի պարտականությունն է։
亿	հարյուր միլիոն; շատ մեծ թիվ	Այս երկրում ավելի քան մեկ միլիարդ բնակիչ կա։
意外	անսպասելի; պատահար	Այս անգամ ուշանալը լիովին անսպասելի էր։
意义	իմաստ; նշանակություն	Այս միջոցառումը շատ իմաստալից է։
议论	քննարկել; մեկնաբանել	Բոլորը քննարկում են այս գործը։
因而	հետևաբար; ուստի	Նա ջանասիրաբար է սովորում, ուստի գնահատականները լավ են։
因素	գործոն	Եղանակը կարևոր գործոն է։
银	արծաթ; արծաթագույն	Նա արծաթե ապարանջան է կրում։
印刷	տպագրել; տպագրություն	Այս գիրքը շատ պարզ է տպագրված։
英俊	գեղեցկադեմ	Նա շատ գեղեցկադեմ է։
英雄	հերոս	Հրշեջները իսկական հերոսներ են։
营养	սնուցում; սննդարարություն	Նախաճաշը պետք է բավական սննդարար լինի։
营业	աշխատել; առևտուր անել	Այս խանութը ժամը իննին է սկսում աշխատել։
迎接	դիմավորել	Մենք գնացինք օդանավակայան հյուրերին դիմավորելու։
影子	ստվեր	Փողոցի լույսի տակ նրա ստվերն է։
应付	գլուխ հանել; գործ ունենալ	Նա կարող է գլուխ հանել այս խնդրից։
应用	կիրառել; կիրառություն	Այս մեթոդը կարելի է կիրառել ուսուցման մեջ։
硬	կարծր; կոշտ	Այս աթոռը չափազանց կոշտ է։
硬件	սարքակազմ	Այս համակարգչի սարքակազմը վատը չէ։
拥抱	գրկել	Երեխան վազեց և գրկեց մայրիկին։
拥挤	մարդաշատ; խցկված	Առավոտյան պիկ ժամին մետրոն շատ մարդաշատ է։
勇气	քաջություն	Նա քաջություն ունի ընդունելու իր սխալը։
用功	ջանասիրաբար սովորել	Նա շատ ջանասիրաբար է սովորում։
用途	կիրառություն; գործածություն	Այս նյութը լայն կիրառություն ունի։
优惠	զեղչ; արտոնություն	Այս խանութում այսօր զեղչ կա։
优美	գեղեցիկ; նրբագեղ	Այստեղի միջավայրը շատ գեղեցիկ է։
优势	առավելություն	Նրա առավելությունը հարուստ փորձն է։
悠久	երկարատև; հինավուրց	Չինաստանը երկար պատմություն ունի։
油炸	յուղի մեջ տապակել	Ես հազվադեպ եմ յուղի մեջ տապակված ուտելիք ուտում։
游览	շրջել; տեսարժան վայրեր այցելել	Վաղը մենք կշրջենք Արգելված քաղաքում։
犹豫	տատանվել	Նա մի քիչ տատանվեց, հետո պատասխանեց։
有利	նպաստավոր; օգտակար	Այս պայմանը մեզ համար նպաստավոր է։
幼儿园	մանկապարտեզ	Երեխան հաջորդ տարի մանկապարտեզ է գնալու։
娱乐	ժամանց; զվարճանք	Ֆիլմ դիտելը ժամանցի մի տեսակ է։
与其	քան թե; ավելի լավ է	Բողոքելու փոխարեն ավելի լավ է գործել։
语气	խոսքի տոն; ձայնի երանգ	Նրա խոսքի տոնը շատ մեղմ է։
玉米	եգիպտացորեն	Ընթրիքին եգիպտացորենի ապուր կա։
预报	կանխատեսում	Եղանակի կանխատեսումն ասում է, որ վաղը անձրև է լինելու։
预订	ամրագրել	Ես արդեն հյուրանոց եմ ամրագրել։
预防	կանխել; նախազգուշանալ	Ձեռքերը հաճախ լվանալը կարող է կանխել մրսածությունը։
元旦	Նոր տարվա օր	Նոր տարվա օրը մենք մեկ օր հանգստանում ենք։
原料	հումք	Հացի հիմնական հումքը ալյուրն է։
原则	սկզբունք	Մարդը պետք է սկզբունքներ ունենա։
员工	աշխատակից	Ընկերությունում երեք հարյուր աշխատակից կա։
圆	կլոր; շրջան	Լուսինը մեծ ու կլոր է։
愿望	ցանկություն; երազանք	Նրա ցանկությունը աշխարհով մեկ ճանապարհորդելն է։
乐器	երաժշտական գործիք	Նա կարողանում է մի քանի երաժշտական գործիք նվագել։
晕	գլխապտույտ ունենալ	Նավ նստելիս մի քիչ գլխապտույտ եմ ունենում։
运气	բախտ	Այսօր բախտս լավ է։
运输	փոխադրում	Այս ապրանքները երկաթուղային փոխադրում են պահանջում։
运用	կիրառել; գործադրել	Խնդրում եմ, այս բառերը ճկունորեն կիրառեք։
灾害	աղետ	Ջրհեղեղը բնական աղետի տեսակ է։
再三	կրկին ու կրկին; բազմիցս	Ուսուցիչը բազմիցս հիշեցրեց մեզ կրկնել դասը։
在乎	կարևորել; մտահոգվել	Նա շատ է կարևորում ընկերների կարծիքը։
在于	կայանալ; լինել մեջ	Հաջողությունը համառության մեջ է։
赞成	համաձայն լինել; հավանություն տալ	Ես համաձայն եմ քո առաջարկին։
赞美	գովել; փառաբանել	Բոլորը գովեցին նրա քաջությունը։
糟糕	վատ; սարսափելի	Այսօրվա եղանակը իսկապես վատ է։
造成	առաջացնել; պատճառ դառնալ	Հորդ անձրևը խցանում առաջացրեց։
则	ապա; ուրեմն	Եթե ջանք գործադրես, առաջընթաց կլինի։
责备	մեղադրել; հանդիմանել	Ուսուցիչը նրան չմեղադրեց։
摘	քաղել; պոկել	Նա այգում մի ծաղիկ քաղեց։
窄	նեղ	Այս ճանապարհը չափազանց նեղ է։
粘贴	փակցնել	Խնդրում եմ, լուսանկարը այստեղ փակցրու։
展开	սկսվել; ծավալվել	Քննարկումը արագ սկսվեց։
展览	ցուցահանդես; ցուցադրել	Թանգարանում նոր ցուցահանդես կա։
占	զբաղեցնել	Այս սեղանը շատ տեղ է զբաղեցնում։
战争	պատերազմ	Պատերազմը մարդկանց տառապանք է բերում։
掌握	տիրապետել; յուրացնել	Նա արդեն տիրապետում է հիմնական քերականությանը։
涨	բարձրանալ	Վերջերս վարձը նորից բարձրացել է։
长辈	մեծեր; ավագ սերունդ	Նոր տարվա ժամանակ պետք է բարևել մեծերին։
账户	հաշիվ	Խնդրում եմ, ստուգիր քո բանկային հաշիվը։
招待	ընդունել; հյուրասիրել	Տանտերը ջերմորեն ընդունեց հյուրերին։
着火	հրդեհ բռնկվել; այրվել	Խոհանոցում հանկարծ հրդեհ բռնկվեց։
着凉	մրսել	Ցուրտ է, մի՛ մրսիր։
召开	անցկացնել; գումարել	Դպրոցը վաղը ժողով է անցկացնելու։
照常	սովորականի պես	Խանութը վաղը սովորականի պես կաշխատի։
哲学	փիլիսոփայություն	Համալսարանում նա փիլիսոփայություն էր սովորում։
珍惜	գնահատել; փայփայել	Մենք պետք է գնահատենք ժամանակը։
真实	իրական; ճշմարիտ	Այս պատմությունը իրական է։
针对	ուղղված լինել; նպատակաուղղված	Այս առաջարկը ուղղված է նոր ուսանողներին։
诊断	ախտորոշում; ախտորոշել	Բժիշկը արագ ախտորոշում տվեց։
振动	թրթռալ; թրթռում	Հեռախոսը սեղանի վրա թրթռում է։
阵	ալիք; պոռթկում	Դրսում մի կարճ անձրև եկավ։
争论	վիճել; բանավիճել	Նրանք երկար վիճեցին այս հարցի շուրջ։
争取	ձգտել; պայքարել	Մենք պետք է ձգտենք ավելի շատ հնարավորությունների։
征求	կարծիք հարցնել; հայցել	Ուսուցիչը բոլորի կարծիքը հարցրեց։
挣	ազատվել; վաստակել	Փոքրիկ թռչունը ազատվեց պարանից։
睁	աչքերը բացել	Խնդրում եմ, աչքերդ մի քիչ ավելի լայն բացիր։
整个	ամբողջ	Ամբողջ քաղաքը շատ հանգիստ է։
整齐	կոկիկ; կարգավորված	Գրքերը շատ կոկիկ են դրված։
整体	ամբողջություն; ընդհանուր	Մենք պետք է հաշվի առնենք ընդհանուր ազդեցությունը։
政府	կառավարություն	Կառավարությունը նոր ծանուցում հրապարակեց։
政治	քաղաքականություն	Նա շատ է հետաքրքրվում քաղաքականությամբ։
正	ճիշտ; ուղիղ	Այս պատասխանը ճիշտ է։
证件	փաստաթուղթ; անձը հաստատող փաստաթուղթ	Խնդրում եմ, ցույց տվեք ձեր փաստաթուղթը։
证据	ապացույց	Ոստիկանությունը նոր ապացույց գտավ։
支	հատ; հենել	Սեղանի վրա մի գրիչ կա։
支票	չեկ	Նա չեկով վճարեց։
执照	լիցենզիա; թույլտվություն	Մեքենա վարելու համար վարորդական իրավունք է պետք։
直	ուղիղ	Այս ճանապարհով ուղիղ առաջ գնա։
指导	ուղղորդել; ղեկավարել	Ուսուցիչը մեզ ուղղորդեց հոդվածը գրելիս։
指挥	ղեկավարել; հրամանատարել	Նա պատասխանատու է այս գործողությունը ղեկավարելու համար։
制定	մշակել; սահմանել	Ընկերությունը նոր ծրագիր մշակեց։
制度	համակարգ; կանոնակարգ	Դպրոցում խիստ կանոնակարգ կա։
制造	արտադրել	Այս գործարանը մեքենաներ է արտադրում։
制作	պատրաստել	Նա ծննդյան տորթ է պատրաստում։
志愿者	կամավոր	Շատ կամավորներ մասնակցեցին միջոցառմանը։
智慧	իմաստություն	Այս տարեց մարդը մեծ իմաստություն ունի։
治疗	բուժել; բուժում	Բժիշկը բուժում է հիվանդին։
秩序	կարգ	Խնդրում ենք, պահպանեք կարգը։
至今	մինչ օրս	Այս խնդիրը մինչ օրս չի լուծվել։
至于	ինչ վերաբերում է	Ինչ վերաբերում է ծախսերին, վաղը կքննարկենք։
中介	միջնորդ; գործակալություն	Նա բնակարանը վարձեց գործակալության միջոցով։
中心	կենտրոն	Հիվանդանոցը քաղաքի կենտրոնում է։
中旬	ամսվա կես	Ժողովը նշանակված է մայիսի կեսերին։
种类	տեսակ	Այստեղ մրգերի տեսակները շատ են։
重大	կարևոր; խոշոր	Սա կարևոր որոշում է։
重量	քաշ	Այս ճամպրուկի քաշը որքան է։
周到	հոգատար; ուշադիր	Նրա ծառայությունը շատ ուշադիր է։
猪	խոզ	Ֆերմայում շատ խոզեր են պահում։
竹子	բամբուկ	Պանդաները սիրում են բամբուկ ուտել։
逐步	աստիճանաբար; քայլ առ քայլ	Ծրագիրը աստիճանաբար կիրականացվի։
逐渐	աստիճանաբար	Եղանակը աստիճանաբար ցրտեց։
主持	վարել; նախագահել	Նա վարում է այսօրվա ժողովը։
主动	նախաձեռնող; սեփական նախաձեռնությամբ	Նա սեփական նախաձեռնությամբ օգնեց համադասարանցուն։
主观	սուբյեկտիվ	Այս գնահատականը մի քիչ սուբյեկտիվ է։
主人	տանտեր; հյուրընկալող	Տանտերը մեզ ջերմորեն ընդունեց։
主任	տնօրեն; ղեկավար	Տնօրենը գրասենյակում է։
主题	թեմա	Այսօրվա քննարկման թեման շրջակա միջավայրի պաշտպանությունն է։
主席	նախագահ	Նախագահը հայտարարեց ժողովի սկիզբը։
主张	պնդել; կողմ լինել	Նա պնդում է, որ նախ լուծենք երթևեկության խնդիրը։
煮	եփել; խաշել	Մայրիկը արիշտա է եփում։
注册	գրանցվել	Նոր օգտատերերը նախ պետք է գրանցվեն։
祝福	բարեմաղթանք; օրհնություն	Ընկերները բարեմաղթանքներ ուղարկեցին։
抓	բռնել	Երեխան բռնեց մայրիկի ձեռքը։
抓紧	ժամանակը ճիշտ օգտագործել; ամուր բռնել	Մենք պետք է ժամանակը ճիշտ օգտագործենք։
专家	մասնագետ; փորձագետ	Փորձագետը առաջարկներ ներկայացրեց։
专心	կենտրոնանալ	Դասի ժամանակ պետք է ուշադիր լսել։
转变	փոփոխություն; փոխվել	Նրա վերաբերմունքը փոխվեց։
转告	փոխանցել; հայտնել	Խնդրում եմ, նրան փոխանցիր, որ վաղը ժողով կա։
装	դնել; տեղավորել	Խնդրում եմ, գրքերը պայուսակի մեջ դիր։
装饰	զարդարել	Նրանք սենյակը ծաղիկներով զարդարեցին։
装修	վերանորոգել; հարդարել	Նոր տունը վերանորոգվում է։
撞	բախվել; հարվածել	Երկու մեքենա բախվեցին խաչմերուկում։
状况	վիճակ; իրավիճակ	Ներկայիս վիճակը համեմատաբար կայուն է։
状态	վիճակ	Նա այսօր շատ լավ վիճակում է։
追	հետապնդել; հետևից վազել	Երեխան հետևից վազում է փոքրիկ շան հետևից։
追求	ձգտել; հետապնդել	Նա միշտ ձգտել է իր երազանքին։
咨询	խորհրդակցել; խորհուրդ հարցնել	Դու կարող ես խորհրդակցել մասնագետ բժշկի հետ։
姿势	դիրք; կեցվածք	Խնդրում եմ, ճիշտ կեցվածք պահեք։
资格	որակավորում; իրավունք	Նա մրցույթին մասնակցելու իրավունք ունի։
资金	միջոցներ; ֆինանսավորում	Նախագծին ավելի շատ ֆինանսավորում է պետք։
资料	նյութեր; տվյալներ	Խնդրում եմ, նյութերը ուղարկիր ինձ։
资源	ռեսուրսներ; պաշարներ	Ջուրը կարևոր բնական ռեսուրս է։
紫	մանուշակագույն	Նա սիրում է մանուշակագույնը։
字母	տառ	Անգլերենում քսանվեց տառ կա։
字幕	ենթագրեր	Այս ֆիլմը չինարեն ենթագրեր ունի։
自从	ի վեր; սկսած	Ավարտելուց ի վեր նա հազվադեպ է վերադառնում։
自动	ավտոմատ; ինքնաբերաբար	Այս դուռը ինքնաբերաբար բացվում է։
自豪	հպարտ	Ես հպարտ եմ իմ առաջընթացով։
自觉	գիտակցաբար; սեփական նախաձեռնությամբ	Նա սեփական նախաձեռնությամբ ավարտեց տնային աշխատանքը։
自私	եսասեր	Մարդը չպետք է չափազանց եսասեր լինի։
自由	ազատություն; ազատ	Յուրաքանչյուր մարդ գնահատում է ազատությունը։
自愿	կամավոր; սեփական կամքով	Նրանք կամավոր մասնակցեցին միջոցառմանը։
综合	համադրել; միավորել	Մենք պետք է համադրենք տարբեր գործոնները։
总裁	գլխավոր տնօրեն	Գլխավոր տնօրենն այսօր ելույթ ունեցավ։
总共	ընդհանուր առմամբ	Այս ճանապարհորդությունը ընդհանուր առմամբ երեք հազար յուան արժեցավ։
总理	վարչապետ	Վարչապետը մասնակցեց ժողովին։
总算	վերջապես; ի վերջո	Խնդիրը վերջապես լուծվեց։
总统	նախագահ	Նախագահը հեռուստատեսային ելույթ ունեցավ։
总之	մի խոսքով	Մի խոսքով, մենք պետք է ժամանակին ավարտենք։
组	խումբ	Ուսուցիչը մեզ բաժանեց երեք խմբի։
组成	կազմվել; բաղկացած լինել	Ջուրը բաղկացած է ջրածնից և թթվածնից։
组合	համադրություն	Այս գույների համադրությունը գեղեցիկ է։
组织	կազմակերպել; կազմակերպություն	Դպրոցը մի ճամփորդություն կազմակերպեց։
阻止	կանխել; կանգնեցնել	Ոստիկանությունը կանգնեցրեց վտանգավոր վարքը։
最初	սկզբում; սկզբնական	Սկզբում ես այնքան էլ չէի հասկանում։
醉	հարբած	Նա շատ խմեց և մի քիչ հարբած է։
尊敬	հարգել	Ուսանողները բոլորը հարգում են ուսուցչին։
遵守	պահպանել; հետևել	Մենք պետք է պահպանենք երթևեկության կանոնները։
作品	ստեղծագործություն; աշխատանք	Այս նկարը նրա ստեղծագործությունն է։
作为	որպես	Որպես ուսուցիչ՝ նա շատ համբերատար է։
作文	շարադրություն գրել; շարադրություն	Ուսուցիչը մեզ հանձնարարեց շարադրություն գրել։
