simplified	NO	example_NO
驱逐	utvise; fordrive	Politiet utviste bråkmakerne
渠道	en kanal	Selskapet selger produkter gjennom en ny kanal
取缔	forby; stenge	Myndighetene forbød det ulovlige markedet
曲子	en melodi	Melodien i denne sangen er vakker
趣味	interesse; moro	Dette spillet er svært interessant
圈套	en felle	Han holdt nesten på å gå i svindlerens felle
全局	helheten; den samlede situasjonen	Ledere må ta hensyn til helhetens interesser
全力以赴	gjøre sitt ytterste	Vi vil gjøre vårt ytterste for å fullføre oppgaven
拳头	en knyttneve	Han knyttet neven og gjorde seg klar til kampen
权衡	veie opp; vurdere	Vi må veie kostnad og effekt opp mot hverandre
权威	en autoritet; autoritativ	Denne professoren er en autoritet på feltet
犬	en hund	Denne hundetypen egner seg til å vokte et hjem
缺口	en åpning; et hakk	Det er en liten åpning i muren
缺席	fravær; være fraværende	Han var fraværende fra møtet på grunn av sykdom
缺陷	en feil; en mangel	Dette designet har en åpenbar mangel
瘸	halt	Venstrebeinet hans er litt halt
确保	sikre; sørge for	Sørg for at døren er låst
确立	etablere; fastsette	Selskapet fastsatte nye utviklingsmål
确切	nøyaktig; bestemt	Jeg vet ikke det nøyaktige tidspunktet
确信	være sikker; overbevist	Jeg er sikker på at han kommer presist
群众	massene; folk flest	Folk flest støtter den nye politikken
染	farge; bli smittet	Hun farget håret svart
嚷	rope; skrike	Ikke rop høyt i korridoren
让步	gi etter; et kompromiss	Begge sider gjorde noen innrømmelser
饶恕	tilgi	Hun valgte til slutt å tilgi den andre personen
扰乱	forstyrre	Støyen forstyrret roen i klassen
惹祸	skape trøbbel	Uforsiktige vitser kan lett skape trøbbel
热泪盈眶	få tårer i øynene	Da hun hørte den gode nyheten, fikk hun tårer i øynene
热门	populær; ettertraktet	Kunstig intelligens er et populært tema
人道	humanitær; humanitet	Redningsaksjonen viste humanitær ånd
人格	personlighet; verdighet	Å fornærme andre skader personlig verdighet
人工	kunstig; manuelt	Denne elven ble gravd ut kunstig
人家	andre; andre mennesker	Ikke sammenlign deg alltid med andre mennesker
人间	menneskeverdenen	Våren fyller menneskeverdenen med livskraft
人士	person; samfunnsaktør	Folk fra alle miljøer deltok på forumet
人为	menneskeskapt; kunstig	Denne ulykken skyldtes menneskelige faktorer
人性	menneskenatur	Denne filmen drøfter menneskenaturen
人质	et gissel	Politiet reddet gisselet med hell
仁慈	vennlig; barmhjertig	Denne legen er svært vennlig mot pasienter
忍耐	tålmodighet; holde ut	Å vente i en lang kø krever litt tålmodighet
忍受	tåle; utholde	Jeg tåler ikke støyen her
任命	utnevne	Styret utnevnte henne til leder
任性	egenrådig; viljesterk	Et barn som er for egenrådig, kan påvirke utviklingen sin
任意	vilkårlig; etter eget ønske	Ikke endre dataene vilkårlig
任重道远	tungt ansvar og lang vei	Utdanningsreformen har tungt ansvar og lang vei igjen
认定	fastslå; anse	Politiet fastslo at dette var en ulykke
认可	godkjenne; anerkjennelse	Planen hans fikk alles godkjenning
仍旧	fortsatt; fremdeles	Mange år senere bodde han fortsatt her
日新月异	utvikle seg raskt	Teknologien utvikler seg raskt dag for dag
日益	stadig; mer og mer	Miljøproblemene blir stadig mer alvorlige
容貌	utseende	Årene forandret utseendet hans
容纳	romme; ha plass til	Denne salen har plass til fem hundre mennesker
容器	en beholder	Hell væsken i en glassbeholder
容忍	tolerere	Selskapet kan ikke tolerere svindel
溶解	oppløse; løse seg opp	Salt løser seg opp i vann
荣幸	beæret	Jeg er beæret over å delta på møtet
荣誉	en ære; heder	Denne medaljen representerer den høyeste æren
融化	smelte	Sollyset smeltet isen og snøen langsomt
融洽	harmonisk; godt forhold	Forholdet mellom kollegene er svært harmonisk
揉	gni; massere	Mamma gned skuldrene mine forsiktig
柔和	myk; mild	Lyset er mykt og ikke blendende
儒家	konfucianisme	Konfuciansk tenkning påvirket østasiatisk kultur
弱点	en svakhet	Uforsiktighet er hans største svakhet
若干	noen; et visst antall	Møtet la fram flere forslag
撒谎	lyve	Barn bør ikke lyve
散文	prosa; et essay	Hun liker å lese moderne prosa
散布	spre	Noen spredte rykter på nettet
散发	utdele; avgi	Hagen avgir en frisk duft
丧失	miste	Han mistet ikke selvtilliten
骚扰	plage; trakassere	Ikke trakasser andre passasjerer
嫂子	en svigerinne	Min svigerinnes matlaging er deilig
刹车	bremse	Sjåføren bremset plutselig
啥	hva	Hva sa du nettopp
筛选	filtrere; sile	Systemet filtrerer CV-er automatisk
山脉	en fjellkjede	Denne fjellkjeden er svært lang
闪烁	blinke; flimre	Lysene i det fjerne fortsatte å blinke
擅长	være flink til	Han er flink til å håndtere komplekse problemer
擅自	uten tillatelse	Ansatte får ikke forlate postene sine uten tillatelse
伤脑筋	plagsom; vanskelig	Dette problemet er virkelig plagsomt
商标	et varemerke	Selskapet registrerte et nytt varemerke
上级	overordnede	Han rapporterte situasjonen til sine overordnede
上进	ambisiøs; ønske framgang	Hun har alltid vært motivert til å forbedre seg
上任	tiltre	Den nye lederen tiltrer neste uke
上瘾	bli avhengig	Mange blir avhengige av korte videoer
上游	øvre løp; oppstrøms	Forurensningen kommer fra elvens øvre løp
尚且	til og med	Til og med voksne kan gjøre feil
捎	ta med; bringe	Vær så snill å gi en beskjed for meg
梢	en tretopp; en spiss	Fuglen satte seg i tretoppen
哨	en fløyte; en vakt	Det står en vakt ved porten
奢侈	luksuriøs; overdådig	Denne typen forbruk er altfor overdådig
舌头	en tunge	Han brente tungen
摄氏度	grad celsius	Temperaturen i dag er tretti grader celsius
涉及	involvere; berøre	Rapporten involverer flere avdelinger
社区	et lokalsamfunn	Lokalsamfunnet arrangerte et helseforedrag
设立	opprette; etablere	Skolen opprettet et stipend
设想	forestille seg; en idé	Denne ideen trenger fortsatt diskusjon
设置	stille inn; sette opp	Tilbakestill passordet
呻吟	stønne	Pasienten stønnet lavt
深奥	dyp; vanskelig	Innholdet i denne boken er svært dypt
深沉	dyp; lav	Stemmen hans var lav og dyp
深情厚谊	dypt vennskap	Folkene i de to landene knyttet et dypt vennskap
申报	oppgi; deklarere	Passasjerer må oppgi gjenstander sannferdig
绅士	en gentleman	Han oppfører seg som en gentleman
神经	en nerve	Stress kan påvirke nervesystemet
神奇	magisk; underfull	Landskapet her er svært magisk
神气	energisk; stolt	Han så spesielt energisk ut i dag
神圣	hellig	Dette er en hellig plikt
神态	uttrykk; holdning	Uttrykket hennes var svært rolig
神仙	en udødelig; en ånd	Legenden sier at udødelige bor i fjellene
审查	gjennomgå; sensurere	Plattformen gjennomgår publisert innhold
审理	behandle i retten	Retten behandler denne saken
审美	estetisk sans	Den estetiske smaken hans er svært særpreget
审判	en rettssak; dømme	Den åpne rettssaken tiltrakk seg medienes oppmerksomhet
慎重	forsiktig; omtenksom	Denne beslutningen må tas med omhu
渗透	trenge inn; infiltrere	Regnvannet trengte langsomt ned i jorden
声明	en erklæring	Selskapet utstedte en offisiell erklæring
声势	driv; kraft	Denne reklamekampanjen har sterk kraft
声誉	et omdømme	Produktkvaliteten påvirker merkevarens omdømme
牲畜	husdyr	Gjeterne drev husdyrene tilbake til beitet
生存	overleve	Ville dyr trenger plass for å overleve
生机	livskraft	Vårregnet fyller jorden med livskraft
生理	fysiologi	Søvn påvirker en persons fysiologiske tilstand
生疏	uvant; rusten	Etter mange år uten øving er pianospillet hans litt rustent
生态	økologi	Skogvern henger sammen med økologisk balanse
生物	en organisme; et levende vesen	Det finnes mange uvanlige organismer i havet
生效	tre i kraft	Den nye forskriften trer offisielt i kraft i morgen
生肖	kinesisk dyretegn	Hvilket kinesisk dyretegn har du
生锈	ruste	Sykkelkjeden har allerede rustet
生育	føde; fruktbarhet	Sykehuset tilbyr rådgivning om fruktbarhet
省会	en provinshovedstad	Chengdu har lenge vært hovedstaden i Sichuan-provinsen
盛产	produsere i store mengder	Dette stedet produserer te av høy kvalitet i store mengder
盛开	stå i full blomst	Kirsebærblomstene i parken står i full blomst
盛情	varm gjestfrihet	Vi takker verten for den varme gjestfriheten
盛行	være utbredt	Denne stilen var en gang svært utbredt
胜负	utfall; seier eller nederlag	Kampens siste minutt avgjorde utfallet
失事	havarere; ha en ulykke	Årsaken til flyhavariet er fortsatt under etterforskning
失误	en feil	En liten feil gjorde at prosjektet ble forsinket
失踪	savnet	Politiet leter etter det savnede barnet
尸体	et lik	Redningsteamet fant offerets kropp
师范	lærerutdanning	Hun ble uteksaminert fra et læreruniversitet
施加	utøve; påføre	Foreldre bør ikke legge for stort press på barna
施展	utfolde; ta i bruk	Han fikk endelig en sjanse til å bruke talentet sitt
十足	fullstendig; helt	Han er helt trygg på resultatet
实惠	rimelig; fordelaktig	Prisene i denne butikken er svært rimelige
实力	styrke	Lagets samlede styrke er svært stor
实施	gjennomføre	Regjeringen begynte å gjennomføre den nye planen
实事求是	søke sannhet fra fakta	Forskning bør søke sannhet fra fakta
实行	praktisere; iverksette	Selskapet praktiserer en fleksibel arbeidsordning
实质	essens; substans	Essensen i problemet har ikke endret seg
拾	plukke opp	Han bøyde seg ned for å plukke opp nøkkelen på bakken
时常	ofte	Bestefar snakker ofte om ting fra ungdommen sin
时而	av og til	Været er av og til solrikt og av og til overskyet
时光	tid; gode dager	Gode tider føles alltid korte
时机	anledning; tidspunkt	Nå er ikke et godt tidspunkt for forhandlinger
时事	aktuelle saker	Studentene diskuterer internasjonale aktuelle saker hver uke
石油	olje; petroleum	Oljeprisene steg igjen
识别	gjenkjenne; skille	Systemet kan gjenkjenne ulike ansikter
使命	et oppdrag; en misjon	Å beskytte miljøet er et felles oppdrag
世代	generasjoner	Dette håndverket har gått i arv i familien i generasjoner
事故	en ulykke	Denne ulykken førte ikke til personskader
事迹	gjerninger; bedrifter	Hans heltemodige gjerninger spredte seg vidt
事件	en hendelse	Denne hendelsen tiltrakk offentlig oppmerksomhet
事态	situasjon	Myndighetene kontrollerer utviklingen i situasjonen
事务	saker; arbeid	Hun har ansvar for selskapets daglige saker
事项	punkt; sak	Bekreft de viktige punktene i kontrakten
事业	karriere; livsverk	Han behandler utdanning som sin livslange karriere
势必	uunngåelig; være nødt til	Økende kostnader vil uunngåelig påvirke prisene
势力	makt; innflytelse	Den lokale næringslivsinnflytelsen er sterk
是非	rett og galt; strid	Han vil ikke bli involvert i kontorstrider
示范	demonstrere; en demonstrasjon	Læreren ga først en demonstrasjon
示威	demonstrere; demonstrasjon	En fredelig demonstrasjon fant sted i sentrum
示意	signalisere; antyde	Lederen signaliserte at alle skulle være stille
视力	syn	Lang tids skjermbruk kan påvirke synet
视频	en video	Send meg videoen
视线	siktlinje	Den tette tåken blokkerte sjåførens sikt
视野	horisont; synsfelt	Reiser kan utvide ens horisont
试图	prøve; forsøke	Han prøvde å forklare beslutningen sin
试验	et eksperiment; en test	Forskerne gjennomførte mange eksperimenter
适宜	passende; egnet	Klimaet her er egnet for å bo
逝世	gå bort	Denne forfatteren gikk bort i fjor
释放	løslate; frigjøre	Retten besluttet å løslate den tiltalte
收藏	samle; en samling	Han samlet mange gamle frimerker
收缩	krympe; trekke seg sammen	Kald luft kan få metall til å trekke seg sammen
收益	avkastning; inntekt	Investeringsavkastningen var høyere enn ventet
收音机	en radio	Bestemor hører på radio hver dag
守护	vokte; beskytte	Leger beskytter pasientenes liv
手法	teknikk	Regissørens filmteknikk er svært særpreget
手势	en gest	Han brukte en gest for å vise enighet
手艺	håndverk; ferdighet	Denne håndverkerens ferdighet er svært god
首饰	smykker	Hun bar enkle sølvsmykker
首要	viktigst; førsteprioritet	Sikkerhet er førsteprioritet
受罪	lide	Pasienten led mye etter operasjonen
授予	tildele	Skolen tildelte ham en æresgrad
书法	kalligrafi	Han har øvd på kalligrafi siden barndommen
书记	en sekretær; partisekretær	Landsbyens partisekretær ledet møtet
书籍	bøker	Biblioteket har et stort antall bøker
书面	skriftlig	Gi skriftlig dokumentasjon
疏忽	forsømmelse; overse	Denne feilen skyldtes forsømmelse på jobben
疏远	gli fra hverandre	Misforståelsen fikk de to til gradvis å gli fra hverandre
舒畅	avslappet og glad	Etter gåturen følte jeg meg avslappet og glad
数额	beløp	Erstatningsbeløpet er ennå ikke fastsatt
束	binde; en bunt	Hun kjøpte en blomsterbukett
束缚	begrense; binde	Tradisjonelle ideer begrenset valgene hans
树立	etablere; bygge opp	Selskapet må bygge opp et godt omdømme
竖	reise opp; loddrett	Sett skiltet loddrett
耍	leke med	Ikke lek med telefonen i arbeidstiden
衰老	eldes	Trening kan bremse aldring
衰退	tilbakegang; avta	Den økonomiske nedgangen påvirket sysselsettingen
率领	lede	Kapteinen ledet laget fremover
涮火锅	spise kinesisk fondue	Om vinteren liker alle å spise kinesisk fondue
双胞胎	tvillinger	De er et tvillingpar
爽快	rett fram; frisk	Hun svarte svært rett fram
水利	vannforvaltning; vannanlegg	Denne regionen legger vekt på utbygging av vannanlegg
水龙头	en vannkran	Vannkranen på kjøkkenet lekker
水泥	sement	Arbeiderne fraktet sement til byggeplassen
瞬间	et øyeblikk	Lysene sluknet alle på et øyeblikk
司法	rettsvesen; juridisk	Et uavhengig rettsvesen krever institusjonelt vern
司令	en kommandant	Kommandanten ga ordre om retrett
思念	savne	Hun savner ofte hjembyen sin
思索	gruble; tenke dypt	Han senket hodet og grublet lenge
思维	tenkning	Denne treningen kan forbedre logisk tenkning
斯文	dannet; kultivert	Han snakker på en dannet og mild måte
私自	uten tillatelse; i hemmelighet	Elever får ikke forlate skolen uten tillatelse
死亡	død	Ulykken førte til flere dødsfall
四肢	lemmer	Før trening bør du bevege lemmene
寺庙	et tempel	Det ligger et gammelt tempel på fjellet
肆无忌惮	hemningsløs	Han brøt reglene helt hemningsløst
饲养	oppdrette; holde	Gården holder mange melkekyr
耸	trekke på skuldrene	Etter å ha hørt det trakk han bare på skuldrene
艘	skipsklassifikator	Det ligger tre lasteskip i havnen
苏醒	komme til bevissthet	Pasienten kom endelig til bevissthet
俗话	et ordtak	Som ordtaket sier, øvelse gjør mester
塑造	forme	Miljøet kan forme en persons karakter
素食	vegetarmat	Denne restauranten tilbyr vegetarmat
素质	kvalitet; egenskaper	Servicepersonalet holder høy kvalitet
诉讼	et søksmål	Begge parter bestemte seg for å løse det gjennom et søksmål
算数	holde ord	Du bør holde ord
随即	straks	Etter at møtet var slutt, dro han straks
随意	vilkårlig; etter eget ønske	Ikke endre innstillingene vilkårlig
岁月	årene; tidens gang	Årene forandret utseendet hans
隧道	en tunnel	Toget passerte gjennom en lang tunnel
损坏	skade	Det kraftige regnet skadet veien
索取	be om; kreve	Kunder kan be om gratis prøver
索性	like godt; rett og slett	Regnet var for kraftig, så vi gikk rett og slett ikke ut
塌	kollapse	Taket på det gamle huset kollapset
踏实	rolig; jordnær	Etter å ha fullført oppgaven følte jeg meg rolig
塔	et tårn	Det står et høyt tårn i sentrum
台风	en tyfon	Tyfonen ventes å treffe land i morgen
太空	verdensrommet	Menneskeheten har alltid utforsket verdensrommet
泰斗	en ledende autoritet	Han er en ledende autoritet innen lingvistikk
摊	en bod; spre ut	Hun satte opp en fruktbod på markedet
瘫痪	lammelse	Trafikkulykken gjorde underkroppen hans lam
贪婪	grådighet	Grådighet kan ødelegge et menneske
贪污	korrupsjon	Tjenestemannen ble etterforsket for korrupsjon
弹性	elastisitet; fleksibilitet	Dette materialet er svært elastisk
坦白	innrømme; ærlig	Han innrømmet til slutt sannheten
叹气	sukke	Da han hørte resultatet, kunne han ikke la være å sukke
探测	påvise; måle	Utstyret kan påvise grunnvann
探索	utforske	Forskere fortsetter å utforske universet
探讨	drøfte	Eksperter drøftet reformplanen
探望	besøke	I helgen dro jeg til sykehuset for å besøke en venn
倘若	hvis	Hvis det regner, blir arrangementet utsatt
掏	ta fram; fiske opp	Han tok nøkkelen opp av lommen
滔滔不绝	snakke uavbrutt	Når han først snakker om historie, snakker han uavbrutt
淘汰	eliminere	Dette laget ble eliminert tidlig
陶瓷	keramikk	Jingdezhen er berømt for keramikk
陶醉	bli bergtatt	Publikum ble bergtatt av musikken
讨好	innynde seg	Han vil ikke med vilje innynde seg hos sjefen
特长	en spesialferdighet	Maling er spesialferdigheten hennes
特定	bestemt; spesifikk	Send inn søknaden innen den bestemte fristen
特意	spesielt; med vilje	Jeg kom spesielt for å takke deg
提拔	forfremme	Selskapet forfremmet henne til avdelingsleder
提炼	utvinne; raffinere	Fabrikken utvinner metall fra malm
提示	minne om; gi hint	Systemet minner deg om å skrive inn passord
提议	foreslå; et forslag	Hun foreslo å fortsette diskusjonen i morgen
题材	emne; tema	Temaet i denne filmen er friskt
体裁	sjanger	Romaner og dikt er ulike sjangre
体积	volum	Denne esken har stort volum
体谅	vise forståelse	Vis forståelse for vanskelighetene hans
体面	respektabel; verdighet	Han vil finne en respektabel jobb
体系	et system	Selskapet bygde et komplett opplæringssystem
天才	et geni	Dette barnet regnes som et musikalsk geni
天赋	talent; medfødt evne	Hun har talent for å lære språk
天伦之乐	familielykke	Den eldre personen nyter familielykken
天然气	naturgass	Byboere bruker naturgass til matlaging
天生	medfødt; naturlig	Han er naturlig optimistisk
天堂	paradis	Dette stedet er som et paradis på jorden
天文	astronomi	Han har likt astronomi siden barndommen
田径	friidrett	Skolen holdt en friidrettskonkurranse
田野	åker; mark	Markene er helt grønne om våren
舔	slikke	Valpen slikket eierens hånd
挑剔	kresen	Hun er svært kresen når det gjelder mat
条款	en klausul	Kontraktsklausulene må leses nøye
条理	orden; struktur	Talen hans var svært godt strukturert
条约	en traktat	De to landene undertegnet en fredstraktat
调和	harmonisere	Disse to fargene harmonerer godt
调剂	balansere	Trening kan balansere et stressende liv
调节	regulere	Klimaanlegg kan regulere innetemperaturen
调解	mekle	Ansatte i lokalsamfunnet hjalp til med å mekle i konflikten
调料	krydder; smakstilsetning	Det må tilsettes litt krydder i suppen
挑拨	så splid	Ikke så splid blant kolleger
挑衅	provosere; provokasjon	Denne typen ytring inneholder tydelig provokasjon
跳跃	hoppe	Utøveren hoppet tre ganger på rad
亭子	en paviljong	Det står en liten paviljong ved innsjøen
停泊	ligge fortøyd	Fiskebåtene ligger fortøyd i havnen
停顿	en pause	Han tok en kort pause mens han snakket
停滞	stoppe opp; stagnere	Prosjektet stoppet opp på grunn av for lite midler
挺拔	høy og rank	Furutrærne vokser høye og ranke
通货膨胀	inflasjon	Inflasjonen drev levekostnadene opp
通缉	etterlyse	Politiet etterlyser denne mistenkte
通俗	lettfattelig; folkelig	Språket i denne boken er svært lettfattelig
通讯	kommunikasjon	Moderne kommunikasjonsteknologi utvikler seg raskt
通用	universell; felles	Denne typen lader er relativt universell
同胞	landsmann; landskvinne	Landsmenn i utlandet bryr seg også om hjembyens utvikling
同志	en kamerat	Den eldre kameraten delte arbeidserfaring
童话	et eventyr	Barnet liker å høre eventyr før leggetid
铜	kobber	Denne statuen er laget av kobber
统筹兼顾	samordne og ta hensyn til helheten	Byplanlegging bør samordne og ta hensyn til alle interesser
统计	telle; statistikk	Vi må telle antallet registreringer
统统	alt sammen	Alle disse gamle dokumentene må arkiveres
统治	regjere; styre	Dette dynastiet regjerte i tre hundre år
投机	spekulasjon; opportunistisk	Han tjente en sum penger gjennom spekulasjon
投票	stemme; avstemning	Innbyggerne skal delta i avstemningen i morgen
投诉	klage	Kunden klaget på forhandleren til plattformen
投降	overgi seg	Fiendehæren valgte til slutt å overgi seg
投掷	kaste	Utøveren trente på å kaste spyd
透露	avsløre; røpe	Han avslørte ikke detaljene fra møtet
秃	skallet	Han ble skallet i ung alder
突破	et gjennombrudd	Forskningen oppnådde et stort gjennombrudd
图案	mønster	Mønsteret på dette stoffet er svært vakkert
徒弟	en lærling	Mesteren lærer lærlingen å reparere klokker
涂抹	smøre; påføre	Smør salven rundt såret
途径	en kanal; vei	Internett er en viktig kanal for å skaffe informasjon
土壤	jord	Fruktbar jord egner seg til å dyrke grønnsaker
团结	forene seg; stå samlet	Laget må stå samlet og samarbeide
团体	en gruppe; organisasjon	Denne gruppen arrangerer jevnlig aktiviteter
团圆	gjenforening	Vårfesten er en tid for familiegjenforening
推测	anta; spekulere	Eksperter antar at prisene vil fortsette å stige
推翻	styrte	Folket styrtet det gamle systemet
推理	resonnement	Denne romanen er full av resonnement og mysterier
推论	en slutning	Denne slutningen trenger fortsatt bevis som støtte
推销	markedsføre; selge	Han har ansvar for å markedsføre det nye produktet
吞吞吐吐	stamme fram; nøle	Han stammet fram svaret på spørsmålet
托运	sjekke inn bagasje	Passasjerer kan sjekke inn bagasje ved skranken
拖延	forsinke; utsette	Ikke utsett betalingstidspunktet lenger
脱离	løsrive seg fra; skille fra	Teori kan ikke skilles fra virkeligheten
妥当	passende; ordentlig	Denne ordningen er svært passende
妥善	forsvarlig; ordentlig	Ta godt vare på viktige dokumenter
妥协	kompromiss; inngå kompromiss	De to sidene inngikk til slutt et kompromiss
椭圆	ellipse; oval	Jordens bane ligger nær en ellipse
唾弃	forkaste; forakte	Samfunnet forkaster denne typen svindel
哇	å; oi	Å, denne broen er virkelig storslått
挖掘	grave ut	Arkeologteamet graver ut en gammel grav
娃娃	en dukke	Den lille jenta holder en dukke
瓦解	kollapse; gå i oppløsning	Interne konflikter fikk alliansen til å kollapse
歪曲	forvrenge	Rapporter bør ikke forvrenge fakta
外表	utseende	Ikke døm folk bare etter utseendet
外行	lekperson; amatør	Jeg er en fullstendig lekperson når det gjelder jus
外界	omverdenen	Selskapet svarer sjelden på kritikk fra omverdenen
外向	utadvendt	Hun har en utadvendt personlighet og mange venner
丸	en pille	Legen skrev ut flere piller til ham
完备	fullstendig	Dette settet med materialer er svært fullstendig
完毕	avsluttet	Møtet er allerede avsluttet
玩弄	leke med; manipulere	Ikke lek med andres følelser
玩意儿	en ting; leketøy	Hva er denne nye tingen
顽固	sta	Holdningen hans er svært sta
顽强	seig; utholdende	Den skadde viste stor utholdenhet
惋惜	beklage; synes synd	Alle syntes det var synd med nederlaget
挽回	gjenvinne; redde	Han arbeidet hardt for å gjenvinne selskapets tap
挽救	redde	Legen reddet pasientens liv
万分	ytterst; svært	Jeg er ytterst takknemlig for hjelpen din
往常	som vanlig	I dag er det varmere enn vanlig
往事	fortiden; tidligere hendelser	Den eldre personen minnes ofte fortiden
妄想	drømme forgjeves	Han drømmer forgjeves om å bli rik over natten
危机	en krise	Selskapet står overfor en alvorlig krise
威风	imponerende; myndig	Generalen så myndig ut på hesteryggen
威力	kraft; slagkraft	Denne typen våpen har stor slagkraft
威望	prestisje	Han har stor prestisje i landsbyen
威信	troverdighet; autoritet	Ledere må opprettholde regjeringens troverdighet
微不足道	ubetydelig	Dette lille tapet er ubetydelig
微观	mikro-; mikroskopisk	Dette kurset innfører mikroøkonomi
为难	gjøre det vanskelig	Ikke gjør det vanskelig for servitøren
为期	vare	Opplæringen varer i tre måneder
唯独	bare; unntatt	Alle kom unntatt ham
维持	opprettholde	Politiet opprettholdt orden på stedet
维护	beskytte; ivareta	Vi må beskytte våre lovlige rettigheter og interesser
维生素	et vitamin	Frukt inneholder rikelig med vitaminer
违背	bryte; stride mot	Denne beslutningen strider mot kontraktens ånd
伪造	forfalske	Noen forfalsket underskriften hans
委托	betro; engasjere	Klienten engasjerte en advokat til å håndtere saken
委员	et komitemedlem	Hvert komitemedlem uttrykte en mening
卫星	en satellitt	Satellitten gikk inn i den planlagte banen
喂	mate	Barnet mater kattungen
慰问	uttrykke sympati	Lederne dro til sykehuset for å uttrykke sympati med de sårede
未免	litt for	Dette kravet er litt for høyt
畏惧	frykte	Han frykter aldri vanskeligheter
蔚蓝	asurblå	Himmelen hadde en asurblå farge
温带	temperert sone	Denne planten passer i et temperert klima
温和	moderat	Den politiske linjen hans er relativt moderat
文凭	et vitnemål	Denne jobben krever universitetsvitnemål
文物	kulturminne	Museet viste fram verdifulle kulturminner
文献	litteratur; dokumentasjon	Artikkelen siterte mye litteratur
文雅	elegant; dannet	Hun oppfører seg elegant
文艺	litteratur og kunst	Denne byen har en sterk kunst- og kulturatmosfære
问世	komme ut	Denne telefonmodellen er i ferd med å komme ut
窝	et rede	Det er et fuglerede i treet
乌黑	kullsvart	Hun har langt kullsvart hår
污蔑	baktale	Han nektet for å ha baktalt konkurrenten
诬陷	ramme; falskt anklage	Bevisene viser at han ble rammet av falske anklager
无比	ytterst; uten sidestykke	Da han hørte nyheten, ble han ytterst begeistret
无偿	gratis; vederlagsfri	Frivillige tilbyr tjenester gratis
无耻	skamløs	Denne typen juks er svært skamløs
无动于衷	likegyldig	Stilt overfor kritikken forble han likegyldig
无非	ikke annet enn	Han gjorde dette ikke annet enn for å spare penger
无辜	uskyldig	Retten slo fast at han var uskyldig
无精打采	slapp; motløs	Han ser slapp ut i dag
无赖	en kjeltring	Landsbyboerne vil ikke ha noe med den kjeltringen å gjøre
无理取闹	lage bråk uten grunn	Ikke lag bråk her uten grunn
无能为力	maktesløs	Stilt overfor flommen var landsbyboerne maktesløse
无穷无尽	endeløs	Ørkenen så endeløs ut
无微不至	omsorgsfull til minste detalj	Sykepleieren tok seg av pasienten på alle måter
无忧无虑	bekymringsløs	Barna lekte bekymringsløst på gresset
无知	uvitenhet	Uvitenhet er ikke en grunn til å nekte å lære
侮辱	fornærme; ydmyke	Ordene hans fornærmet den andre personen
武器	et våpen	Disse våpnene oppbevares samlet
武侠	kampsporthelter	Han har likt å lese kampsportromaner siden barndommen
武装	bevæpning; væpne	Grenseområdet styrket væpnede patruljer
舞蹈	dans	Denne dansen har sterke etniske særtrekk
务必	absolutt; sørge for	Sørg for å komme presis
物美价廉	god og rimelig	Varene i denne butikken er gode og rimelige
物业	eiendomsforvaltning	Eiendomsforvaltningen har ansvar for reparasjoner i boligområdet
物资	forsyninger	Nødforsyningene er allerede levert til katastrofeområdet
误差	feilmargin	Det er en liten feilmargin i måleresultatet
误解	misforståelse	De to sidene ryddet opp i misforståelsen gjennom kommunikasjon
夕阳	solnedgang	Solnedgangen farget himmelen gyllen
昔日	tidligere; i gamle dager	Landsbyen fra gamle dager ble en by
溪	en bekk	En liten bekk renner gjennom fjellene
熄灭	slukkes; slukke	Slukk stearinlyset
牺牲	ofre seg; offer	De gjorde et offer for å redde andre
膝盖	et kne	Kneet hans ble skadet
习俗	skikk; tradisjon	Vårfesten har mange tradisjonelle skikker
媳妇	kone; svigerdatter	Konen hans arbeider på sykehuset
袭击	angripe; angrep	Stormen rammet kystbyen
喜闻乐见	populær og kjærkommen	Denne typen program er elsket av publikum
喜悦	glede	Et gledelig smil viste seg i ansiktet hennes
系列	en serie	Selskapet lanserte en serie nye produkter
细菌	bakterier	Høye temperaturer kan drepe bakterier
细胞	en celle	Menneskekroppen består av utallige celler
细致	nøyaktig; detaljert	Observasjonen hennes er svært nøyaktig
峡谷	en kløft	Elven går gjennom en dyp kløft
狭隘	trangsynt	Dette trangsynte synet må endres
狭窄	smal	Denne stien er svært smal
霞	kveldsglød	Kveldsgløden farget himmelen rød
下属	underordnet	Lederen lyttet nøye til meningene til de underordnede
先进	avansert	Fabrikken tok i bruk avansert utstyr
先前	tidligere	Den tidligere planen er allerede endret
掀起	utløse; løfte	Denne boken utløste en bølge av diskusjon
纤维	en fiber	Dette stoffet inneholder naturlige fibre
鲜明	tydelig; klar	Holdningen hans er svært tydelig
嫌	mislike; synes	Hun synes rommet er for lite
嫌疑	mistanke	Denne mannen er under sterk mistanke
弦	en streng	En streng på gitaren røk
衔接	koble sammen	Innholdet i de to kursene henger godt sammen
贤惠	dydig; dyktig	Hun regnes som dydig og dyktig
闲话	sladder	Ikke sladre om andre bak ryggen deres
显著	betydelig	Behandlingseffekten er svært betydelig
宪法	grunnlov	Grunnloven garanterer borgernes grunnleggende rettigheter
现场	åsted; stedet	Reporterne har allerede kommet til ulykkesstedet
现成	ferdiglaget	Det finnes ferdiglaget mat på kjøkkenet
现状	nåværende situasjon	Vi må forstå den nåværende situasjonen i bransjen
