simplified	LV	example_LV
勉励	iedrošināt	Skolotājs bieži iedrošina skolēnus turpināt mācīties.
勉强	negribīgi	Viņš negribīgi piekrita šim plānam.
面貌	izskats	Pilsētas izskats ir ļoti mainījies.
面子	reputācija	Viņš negribēja publiski zaudēt reputāciju.
描绘	attēlot	Romāns attēlo lauku dzīvi.
瞄准	mērķēt	Šāvējs mērķēja uz mērķi.
渺小	niecīgs	Cilvēks dabas priekšā šķiet ļoti niecīgs.
藐视	noniecināt	Mēs nedrīkstam noniecināt nevienu pretinieku.
灭亡	bojāeja	Šī dinastija galu galā nonāca līdz bojāejai.
蔑视	nicinājums	Viņa tonī bija pilns nicinājums.
民间	tautas	Tautas māksla ir jāaizsargā.
民主	demokrātija	Sanāksmē izmantoja demokrātisku balsošanu.
敏捷	veikls	Sportista kustības ir ļoti veiklas.
敏锐	ass	Žurnālistiem vajadzīga asa novērošanas spēja.
名次	vieta reitingā	Viņa sacensībās ieguva labu vietu.
名额	kvota	Šajā programmā ir tikai desmit vietas.
名副其实	patiess	Viņš ir patiess eksperts gan vārdos, gan darbos.
名誉	reputācija	Šī lieta kaitēja uzņēmuma reputācijai.
明明	acīmredzami	Viņš acīmredzami zināja atbildi, bet atteicās to teikt.
明智	gudrs	Lēmuma atlikšana bija gudra izvēle.
命名	nosaukt	Zinātnieki nosauca jauno sugu.
摸索	meklēt	Komanda joprojām meklē jaunu metodi.
摩擦	berze	Starp abām valstīm radās tirdzniecības berze.
模范	paraugs	Viņš ir paraugs visiem skolas skolēniem.
模式	modelis	Šis biznesa modelis ir ļoti veiksmīgs.
模型	modelis	Inženieris izgatavoja tilta modeli.
磨合	pieslīpēties	Jaunajai komandai vajag laiku, lai pieslīpētos.
膜	membrāna	Šī membrāna var filtrēt piemaisījumus.
魔鬼	velns	Stāsta velns bija ļoti viltīgs.
魔术	burvju māksla	Bērniem patīk skatīties burvju mākslas priekšnesumus.
抹杀	izdzēst	Viņa ieguldījumu nevar izdzēst.
墨水儿	tinte	Pildspalvā tinte gandrīz beigusies.
莫名其妙	neizprotams	Viņa reakcija cilvēkiem šķita neizprotama.
默默	klusām	Viņa klusām palīdzēja daudziem cilvēkiem.
谋求	tiekties pēc	Uzņēmums tiecas pēc jaunām attīstības iespējām.
模样	izskats	Viņa pašreizējais izskats ir ļoti mainījies.
母语	dzimtā valoda	Bērni no mazotnes mācās dzimto valodu.
沐浴	peldēties	Rīta ciems peldējās saules gaismā.
目睹	pieredzēt	Daudzi cilvēki pieredzēja šo negadījumu.
目光	skatiens	Visu skatieni bija pievērsti skatuvei.
拿手	specialitāte	Sautēta zivs ir viņa specialitāte.
纳闷儿	brīnīties	Es visu laiku brīnījos, kāpēc viņš kavējās.
耐用	izturīgs	Šis apavu pāris ir ļoti izturīgs.
南辕北辙	iet pretēji mērķim	Viņa pieeja iet pretēji mērķim.
难得	rets	Šī ir reta iespēja.
难堪	apkaunojošs	Šis jautājums viņam bija ļoti apkaunojošs.
难能可贵	īpaši vērtīgs	Godīguma saglabāšana spiediena apstākļos ir īpaši vērtīga.
恼火	aizkaitināts	Iekārta atkal salūza, un viņš bija ļoti aizkaitināts.
内涵	nozīmes dziļums	Šim vārdam ir bagāts kultūras nozīmes dziļums.
内幕	aizkulises	Žurnālists mēģināja izmeklēt notikuma aizkulises.
内在	iekšējs	Viņš vairāk vērtē cilvēka iekšējās īpašības.
能量	enerģija	Šīs brokastis man dod daudz enerģijas.
拟定	sagatavot	Sekretārs gatavo sanāksmes darba kārtību.
逆行	braukt pretējā virzienā	Tā automašīna brauca pretējā virzienā pa vienvirziena ielu.
年度	gada	Uzņēmums publicēja gada pārskatu.
捏	saspiest	Viņa viegli saspieda bērna vaigu.
凝固	sacietēt	Pēc atdzišanas vasks lēnām sacietēs.
凝聚	saliedēt	Kopīgs mērķis var saliedēt komandas spēku.
凝视	raudzīties	Viņš raudzījās tālajās gaismās.
拧	iekniebt	Viņš man ar roku vienreiz ieknieba.
宁肯	labāk	Viņa labāk ciestu neveiksmi nekā atteiktos no principiem.
宁愿	drīzāk	Es drīzāk iešu kājām, nekā gaidīšu autobusu.
扭转	apvērst	Jaunā politika apvērsa zaudējumu situāciju.
纽扣儿	poga	Šim kreklam nokrita viena poga.
农历	Mēness kalendārs	Pavasara svētkus svin pēc Mēness kalendāra datuma.
浓厚	spēcīgs	Viņam ir spēcīga interese par vēsturi.
奴隶	vergs	Senajā sabiedrībā pastāvēja verdzības sistēma.
挪	pārbīdīt	Lūdzu, pārbīdi krēslu mazliet sānis.
虐待	ļaunprātīgi izturēties	Likums aizliedz ļaunprātīgi izturēties pret bērniem.
哦	ak	Ak, es beidzot sapratu.
殴打	piekaut	Policija arestēja cilvēku, kurš piekāva garāmgājēju.
偶像	elks	Viņa šo rakstnieku uzskata par savu elku.
呕吐	vemt	Viņš sāka vemt pēc sabojāta ēdiena apēšanas.
趴	gulēt uz vēdera	Kaķēns gulēja uz vēdera uz palodzes.
徘徊	klaiņot	Viņš ilgi klaiņoja pie durvīm.
排斥	atgrūst	Jaunais materiāls atgrūž mitrumu.
排除	izslēgt	Ārsts vispirms izslēdza smagu slimību.
排放	emisija	Rūpnīcām jāsamazina izplūdes gāzu emisijas.
排练	mēģināt	Aktieri mēģina jauno programmu.
派别	frakcija	Šajā organizācijā ir dažādas frakcijas.
派遣	nosūtīt	Uzņēmums nosūtīja inženierus uz objektu.
攀登	kāpt	Viņi plāno rīt kāpt sniegotajā kalnā.
盘旋	riņķot	Lidmašīna riņķoja virs lidostas.
判决	spriedums	Tiesa šodien paziņoja spriedumu.
畔	krasts	Bērni pastaigājās ezera krastā.
庞大	milzīgs	Šim projektam vajadzīgi milzīgi līdzekļi.
抛弃	pamest	Viņš nevēlas pamest savu sapni.
泡沫	putas	Krūzē ir daudz baltu putu.
培育	audzināt	Skola cenšas audzināt skolēnu atbildības sajūtu.
配备	aprīkot	Jaunā automašīna ir aprīkota ar drošības sistēmu.
配偶	laulātais	Pieteikuma veidlapā jānorāda laulātā informācija.
配套	papildinošs	Kopienai ir pilnīgas papildinošās ērtības.
盆地	ieplaka	Šajā ieplakā vasarā ir ļoti karsts.
烹饪	ēdiena gatavošana	Ēdiena gatavošanai vajadzīga pacietība un pieredze.
捧	turēt abās rokās	Viņa abās rokās turēja ziedu pušķi.
劈	skaldīt	Strādnieks ar cirvi skaldīja malku.
批发	vairumtirdzniecība	Šis veikals galvenokārt nodarbojas ar augļu vairumtirdzniecību.
批判	kritizēt	Raksts kritizēja šo kļūdaino uzskatu.
疲惫	pārguris	Pēc garā ceļojuma visi bija pārguruši.
疲倦	noguris	Nepārtraukts darbs lika viņam justies nogurušam.
皮革	āda	Šī soma ir izgatavota no ādas.
屁股	pēcpuse	Pēc kritiena bērnam sāpēja pēcpuse.
譬如	piemēram	Piemēram, mēs vispirms varam veikt nelielu testu.
偏差	novirze	Eksperimenta rezultātos ir acīmredzama novirze.
偏见	aizspriedums	Mums jāizvairās no etniskiem aizspriedumiem.
偏僻	attāls	Šis ciems atrodas ļoti attālā vietā.
偏偏	tieši pretēji	Jo vairāk es steidzos, jo automašīna tieši pretēji brauca lēnāk.
片断	fragments	Filmā ir vairāki lieliski fragmenti.
片刻	mirklis	Lūdzu, pagaidi mani šeit mirkli.
漂浮	peldēt	Nokritušās lapas peldēja pa ūdens virsmu.
飘扬	plīvot	Valsts karogs plīvoja vējā.
撇	nomest malā	Viņš nometa veco plānu malā.
拼搏	cīnīties	Jauniešiem jācīnās par saviem ideāliem.
拼命	visiem spēkiem	Viņš visiem spēkiem dzinās pakaļ priekšējai komandai.
贫乏	nabadzīgs	Šī raksta saturs ir diezgan nabadzīgs.
贫困	trūcīgs	Valdība palīdz trūcīgām ģimenēm.
频繁	biežs	Pēdējā laikā šeit bieži notiek satiksmes negadījumi.
频率	frekvence	Šai skaņai ir augsta frekvence.
品尝	nogaršot	Viesi nogaršo vietējos ēdienus.
品德	raksturs	Skola augstu vērtē skolēnu rakstura audzināšanu.
品质	kvalitāte	Šī uzņēmuma produktu kvalitāte ir stabila.
品种	šķirne	Tirgū ir daudz augļu šķirņu.
屏幕	ekrāns	Lūdzu, samazini ekrāna spilgtumu.
屏障	barjera	Mežs ir svarīga barjera pret vēju.
平凡	parasts	Viņš daudzus gadus strādāja parastā amatā.
平面	plāns	Dizainers uzzīmēja mājas plānu.
平坦	līdzens	Šis ceļš ir ļoti līdzens.
平行	paralēls	Šīs divas līnijas ir savstarpēji paralēlas.
平庸	viduvējs	Viņš negrib samierināties ar viduvēju dzīvi.
平原	līdzenums	Vilciens šķērsoja plašu līdzenumu.
评估	novērtēt	Eksperti novērtē projekta riskus.
评论	komentēt	Lasītāji var komentēt zem raksta.
坡	nogāze	Automašīna lēnām uzbrauca nogāzē.
泼	šļakstīt	Nešļaksti ūdeni uz grīdas.
颇	diezgan	Šis rezultāts ir diezgan pārsteidzošs.
破例	izdarīt izņēmumu	Vadītājs viņa dēļ izdarīja izņēmumu un apstiprināja pieteikumu.
迫不及待	nevarēt sagaidīt	Bērni nevarēja sagaidīt, kad atvērs dāvanas.
迫害	vajāšana	Vēsturē daudzi cilvēki cieta vajāšanu.
魄力	drosme	Vadītājiem vajadzīga drosme pieņemt lēmumus.
扑	mesties	Bērns pēkšņi metās mātes apskāvienos.
铺	klāt	Strādnieki klāj jaunu paklāju.
普及	kļūt plaši izplatītam	Internets pilsētās jau ir kļuvis plaši izplatīts.
朴实	vienkāršs	Viņa valoda ir vienkārša un patiesa.
朴素	vienkāršs	Viņai patīk vienkāršs dzīvesveids.
瀑布	ūdenskritums	Tūristi stāvēja pie ūdenskrituma un fotografēja.
凄凉	drūms	Ziemā kalnu ciems izskatījās drūms.
期望	cerības	Vecākiem ir lielas cerības uz bērniem.
期限	termiņš	Reģistrācijas termiņš ir šī piektdiena.
欺负	apcelt	Vecākajiem bērniem nevajadzētu apcelt mazākos.
欺骗	maldināt	Viltus reklāma maldināja patērētājus.
奇妙	brīnišķīgs	Dabā ir daudz brīnišķīgu parādību.
旗袍	qipao kleita	Viņa uz vakaru uzvilka sarkanu qipao kleitu.
旗帜	karogs	Laukumā plīvoja koši karogi.
歧视	diskriminācija	Likums aizliedz jebkāda veida diskrimināciju.
齐全	pilns	Šajā veikalā ir pilns instrumentu klāsts.
齐心协力	kopīgiem spēkiem	Visi kopīgiem spēkiem pabeidza uzdevumu.
乞丐	ubags	Ceļmalā sēdēja vecs ubags.
企图	mēģināt	Viņš mēģināja noslēpt patieso situāciju.
启程	doties ceļā	Delegācija rīt agri no rīta dosies ceļā.
启蒙	ievadizglītība	Šī grāmata ir piemērota bērnu ievadlasīšanai.
启事	paziņojums	Pie skolas vārtiem bija pielikts darbā pieņemšanas paziņojums.
启示	atziņa	Šī neveiksme mums deva svarīgu atziņu.
岂有此理	absurds	Šāda maksa tiešām ir absurds.
起草	izstrādāt melnrakstu	Advokāts izstrādā līguma melnrakstu.
起初	sākumā	Sākumā viņš neticēja šai ziņai.
起伏	pacēlumi un kritumi	Kalnu ceļš seko reljefa pacēlumiem un kritumiem.
起哄	sacelt troksni	Skolēniem nevajadzētu klasē sacelt troksni.
起码	vismaz	Tev vismaz vajadzēja mani iepriekš informēt.
起源	celties	Šie svētki cēlušies senatnē.
器材	aprīkojums	Laboratorijai vajadzīgs jauns mācību aprīkojums.
器官	orgāns	Sirds ir svarīgs cilvēka ķermeņa orgāns.
气概	gars	Šis dzejolis parāda varonīgu garu.
气功	ciguns	Vectēvs katru rītu praktizē cigunu.
气魄	vērienīgums	Šim tiltam ir liels vērienīgums.
气色	sejas krāsa	Pēc atpūtas viņa sejas krāsa izskatījās daudz labāka.
气势	spars	Komandai jau no spēles sākuma bija spēcīgs spars.
气味	smarža	Virtuvē bija grauzdētas maizes smarža.
气象	laikapstākļi	Šajā plato laikapstākļi mainās ļoti ātri.
气压	gaisa spiediens	Gaisa spiediena krišanās var atnest lietu.
气质	temperaments	Viņai ir mierīgs temperaments.
迄今为止	līdz šim	Līdz šim eksperiments norit veiksmīgi.
掐	noplūkt	Viņa noplūca mazu ziedu.
恰当	piemērots	Tava atbilde ir ļoti piemērota.
恰到好处	tieši pareizs	Šī ēdiena saldums ir tieši pareizs.
恰巧	nejauši	Kad ierados stacijā, nejauši sāka līt.
洽谈	apspriest	Abas puses apspriež sadarbības detaļas.
千方百计	visiem iespējamiem līdzekļiem	Viņi visiem iespējamiem līdzekļiem meklēja risinājumu.
牵	vest aiz rokas	Māte veda bērnu aiz rokas pāri ceļam.
牵扯	iesaistīt	Šī lieta iesaista daudzus departamentus.
牵制	ierobežot	Pretinieka aizsardzība ierobežoja uzbrukumu.
签署	parakstīt	Abi uzņēmumi parakstīja līgumu.
谦逊	pazemīgs	Pēc panākumiem viņš joprojām palika pazemīgs.
迁就	piekāpties	Vecāki nevar vienmēr piekāpties bērniem.
迁徙	migrēt	Gājputni katru gadu migrē atbilstoši gadalaikiem.
前景	perspektīvas	Šai nozarei ir labas perspektīvas.
前提	priekšnoteikums	Uzticēšanās ir sadarbības priekšnoteikums.
潜力	potenciāls	Šim skolēnam ir liels potenciāls.
潜水	nirt	Viņi devās uz jūrmalu mācīties nirt.
潜移默化	nemanāmi ietekmēt	Ģimenes vide var nemanāmi ietekmēt bērnus.
谴责	nosodīt	Starptautiskā sabiedrība nosodīja vardarbību.
抢劫	aplaupīt	Policija notvēra aizdomās turēto, kurš aplaupīja banku.
强制	piespiest	Jaunais noteikums piespiež autovadītājus piesprādzēties.
强迫	piespiest	Nepiespied bērnus darīt lietas, kas viņiem nepatīk.
抢救	glābt	Ārsti glābj ievainoto strādnieku.
桥梁	tilts	Valoda ir tilts kultūras apmaiņai.
窍门	paņēmiens	Izrunas apguvei ir daži paņēmieni.
翘	pacelt	Viņš pacēla vienu kāju uz krēsla.
切实	praktisks	Mums vajadzīgs praktisks un īstenojams plāns.
锲而不舍	neatlaidība	Viņš ar neatlaidību pētīja šo jautājumu.
亲密	tuvs	Viņi vienmēr ir saglabājuši tuvas attiecības.
亲热	sirsnīgs	Vecais cilvēks sirsnīgi sveicināja viesus.
侵犯	pārkāpt	Šāda rīcība pārkāpa personas privātumu.
侵略	iebrukums	Tauta iebilst pret jebkāda veida iebrukumu.
钦佩	apbrīnot	Es ļoti apbrīnoju viņas drosmi.
勤俭	čakls un taupīgs	Vecmāmiņa visu mūžu čakli un taupīgi vadīja saimniecību.
勤劳	čakls	Čakli cilvēki vienmēr spēj radīt iespējas.
倾听	uzmanīgi klausīties	Skolotājs uzmanīgi klausījās skolēnu viedokļos.
倾向	sliekties	Jaunie patērētāji sliecas iepirkties internetā.
倾斜	sasvērties	Pēc stiprā lietus siena sāka sasvērties.
清澈	dzidrs	Kalnu strauts ir ļoti dzidrs.
清晨	agrs rīts	Agrā rītā gaiss ir īpaši svaigs.
清除	notīrīt	Strādnieki notīrīja sniegu no ceļa.
清洁	tīrs	Slimnīcām jāuztur tīra vide.
清理	sakopt	Nedēļas nogalē mēs sakopām noliktavu.
清晰	skaidrs	Šis fotoattēls ir ļoti skaidrs.
清醒	možs	Pēc kafijas izdzeršanas viņš kļuva daudz možāks.
清真	halal	Tuvumā ir halal restorāns.
情报	izlūkinformācija	Žurnālists ieguva svarīgu izlūkinformāciju.
情节	sižets	Romāna sižets ir ļoti saspringts.
情理	saprāts	Viņa prasība neatbilst saprātam.
情形	situācija	Situācija uz vietas bija sarežģītāka, nekā gaidīts.
晴朗	skaidrs	Šodien debesis ir īpaši skaidras.
请柬	ielūgums	Viņi radiem un draugiem nosūtīja kāzu ielūgumus.
请教	lūgt padomu	Es gribētu lūgt jums padomu par vienu jautājumu.
请示	lūgt norādījumus	Par šo lietu vispirms jālūdz vadītāja norādījumi.
请帖	ielūgums	Uz galda bija dzimšanas dienas ielūgums.
丘陵	pauguri	Šajā apgabalā ir daudz pauguru.
区分	atšķirt	Bērns jau spēj atšķirt labo un kreiso pusi.
区域	zona	Šajā zonā stāvēt aizliegts.
屈服	pakļauties	Viņš nepakļāvās spiedienam.
曲折	sarežģīts	Viņi piedzīvoja sarežģītas sarunas.
驱逐	izraidīt	Policija izraidīja nekārtību cēlājus.
渠道	kanāls	Uzņēmums pārdod produktus pa jaunu kanālu.
取缔	aizliegt	Valdība aizliedza nelegālo tirgu.
曲子	melodija	Šīs melodijas skanējums ir ļoti skaists.
趣味	interese	Šī spēle ir ļoti interesanta.
圈套	lamatas	Viņš gandrīz iekrita krāpnieka lamatās.
全局	kopaina	Vadītājiem jāņem vērā kopējās intereses.
全力以赴	pielikt visus spēkus	Mēs pieliksim visus spēkus, lai pabeigtu uzdevumu.
拳头	dūre	Viņš savilka dūri un gatavojās sacensībām.
权衡	izsvērt	Mums jāizsver izmaksas un rezultāts.
权威	autoritāte	Šis profesors ir autoritāte šajā jomā.
犬	suns	Šāda veida suns ir piemērots mājas sargāšanai.
缺口	plaisa	Sienā ir maza plaisa.
缺席	nebūt klāt	Slimības dēļ viņš nebija klāt sanāksmē.
缺陷	trūkums	Šim dizainam ir acīmredzams trūkums.
瘸	klibs	Viņa kreisā kāja ir mazliet kliba.
确保	nodrošināt	Lūdzu, pārliecinies, ka durvis ir aizslēgtas.
确立	izveidot	Uzņēmums izveidoja jaunus attīstības mērķus.
确切	precīzs	Es nezinu precīzu laiku.
确信	būt pārliecinātam	Es esmu pārliecināts, ka viņš ieradīsies laikā.
群众	tauta	Tauta atbalsta jauno politiku.
染	krāsot	Viņa nokrāsoja matus melnus.
嚷	kliegt	Nekliedz skaļi gaitenī.
让步	piekāpšanās	Abas puses izdarīja dažas piekāpšanās.
饶恕	piedot	Viņa beigās izvēlējās piedot otram cilvēkam.
扰乱	traucēt	Troksnis traucēja kārtību klasē.
惹祸	iekulties nepatikšanās	Neapdomīgi joki var viegli ievest nepatikšanās.
热泪盈眶	acis pilnas asaru	Izdzirdot labās ziņas, viņas acis piepildījās ar asarām.
热门	populārs	Mākslīgais intelekts ir populārs temats.
人道	humāns	Glābšanas operācija atspoguļoja humānu garu.
人格	personība	Citu apvainošana aizskar personas cieņu.
人工	mākslīgs	Šī upe tika izrakta mākslīgi.
人家	citi cilvēki	Nesalīdzini sevi visu laiku ar citiem cilvēkiem.
人间	cilvēku pasaule	Pavasaris piepilda cilvēku pasauli ar dzīvīgumu.
人士	persona	Forumā piedalījās personas no dažādām aprindām.
人为	cilvēka izraisīts	Šo negadījumu izraisīja cilvēka faktori.
人性	cilvēka daba	Šī filma apspriež cilvēka dabu.
人质	ķīlnieks	Policija veiksmīgi izglāba ķīlnieku.
仁慈	žēlsirdīgs	Šis ārsts ir ļoti žēlsirdīgs pret pacientiem.
忍耐	pacietība	Gaidīšanai garā rindā vajag mazliet pacietības.
忍受	paciest	Es nevaru paciest šejienes troksni.
任命	iecelt	Valde iecēla viņu par vadītāju.
任性	ietiepīgs	Pārāk ietiepīgs bērns var kavēt savu attīstību.
任意	patvaļīgi	Lūdzu, nemaini datus patvaļīgi.
任重道远	atbildība ir smaga un ceļš garš	Izglītības reforma nes smagu atbildību, un ceļš vēl ir garš.
认定	noteikt	Policija noteica, ka tas bija negadījums.
认可	atzinība	Viņa plāns ieguva visu atzinību.
仍旧	joprojām	Pēc daudziem gadiem viņš joprojām dzīvoja šeit.
日新月异	strauji mainīties	Tehnoloģijas strauji mainās ar katru dienu.
日益	arvien vairāk	Vides problēmas kļūst arvien nopietnākas.
容貌	izskats	Gadi mainīja viņa izskatu.
容纳	uzņemt	Šī zāle var uzņemt piecsimt cilvēku.
容器	trauks	Lūdzu, ielej šķidrumu stikla traukā.
容忍	panest	Uzņēmums nevar panest krāpšanu.
溶解	izšķīst	Sāls izšķīst ūdenī.
荣幸	pagodināts	Esmu pagodināts piedalīties sanāksmē.
荣誉	gods	Šī medaļa simbolizē augstāko godu.
融化	izkust	Saules gaisma lēnām izkausēja ledu un sniegu.
融洽	harmonisks	Attiecības starp kolēģiem ir ļoti harmoniskas.
揉	berzēt	Mamma maigi berzēja manus plecus.
柔和	maigs	Gaisma ir maiga un neapžilbina.
儒家	konfūcisms	Konfūcisma domas ietekmēja Austrumāzijas kultūru.
弱点	vājā vieta	Neuzmanība ir viņa galvenā vājā vieta.
若干	vairāki	Sanāksmē tika izteikti vairāki priekšlikumi.
撒谎	melot	Bērniem nevajadzētu melot.
散文	proza	Viņai patīk lasīt moderno prozu.
散布	izplatīt	Internetā kāds izplatīja baumas.
散发	izdalīt	Dārzs izdalīja svaigu aromātu.
丧失	zaudēt	Viņš nezaudēja pārliecību.
骚扰	traucēt	Lūdzu, netraucē citus pasažierus.
嫂子	vecākā brāļa sieva	Vecākā brāļa sievas gatavotais ēdiens ir garšīgs.
刹车	bremzēt	Autovadītājs pēkšņi bremzēja.
啥	kas	Ko tu tikko teici?
筛选	filtrēt	Sistēma automātiski filtrēs CV.
山脉	kalnu grēda	Šī kalnu grēda ir ļoti gara.
闪烁	mirgot	Tālās gaismas nepārtraukti mirgoja.
擅长	būt labam	Viņš labi prot risināt sarežģītas problēmas.
擅自	bez atļaujas	Darbinieki nedrīkst bez atļaujas pamest savu posteni.
伤脑筋	sagādāt galvassāpes	Šī problēma tiešām sagādā galvassāpes.
商标	preču zīme	Uzņēmums reģistrēja jaunu preču zīmi.
上级	priekšniecība	Viņš ziņoja priekšniecībai par situāciju.
上进	tiekties uz izaugsmi	Viņa vienmēr tiecas uz izaugsmi.
上任	stāties amatā	Jaunais vadītājs nākamnedēļ stāsies amatā.
上瘾	kļūt atkarīgam	Daudzi cilvēki kļūst atkarīgi no īsiem video.
上游	augštece	Piesārņojums nāk no upes augšteces.
尚且	pat	Pēc kļūdām nav pasargāti pat pieaugušie.
捎	nodot	Lūdzu, nodod ziņu manā vietā.
梢	koka galotne	Putns apstājās koka galotnē.
哨	sardze	Pie vārtiem ir viens sardzes kareivis.
奢侈	grezns	Šādi tēriņi ir pārāk grezni.
舌头	mēle	Viņš applaucēja mēli.
摄氏度	grādi pēc Celsija	Šodien temperatūra ir trīsdesmit grādi pēc Celsija.
涉及	iesaistīt	Ziņojums iesaista vairākas nodaļas.
社区	kopiena	Kopiena organizēja veselības lekciju.
设立	izveidot	Skola izveidoja stipendiju.
设想	iecere	Šī iecere vēl jāapspriež.
设置	iestatīt	Lūdzu, atiestati paroli.
呻吟	vaidēt	Pacients klusi vaidēja.
深奥	dziļš	Šīs grāmatas saturs ir ļoti dziļš.
深沉	zems	Viņa balss bija zema un dziļa.
深情厚谊	dziļa draudzība	Abu valstu tautas izveidoja dziļu draudzību.
申报	deklarēt	Pasažieriem godīgi jādeklarē mantas.
绅士	džentlmenis	Viņš uzvedas kā džentlmenis.
神经	nervs	Stress var ietekmēt nervu sistēmu.
神奇	brīnumains	Šejienes ainava ir ļoti brīnumaina.
神气	spirgts	Šodien viņš izskatījās īpaši spirgts.
神圣	svēts	Tas ir svēts pienākums.
神态	izteiksme	Viņas izteiksme bija ļoti mierīga.
神仙	nemirstīgais	Leģenda vēsta, ka kalnos dzīvo nemirstīgie.
审查	pārbaudīt	Platforma pārbauda publicēto saturu.
审理	izskatīt	Tiesa izskata šo lietu.
审美	estētiskā gaume	Viņa estētiskā gaume ir ļoti savdabīga.
审判	tiesas process	Atklātais tiesas process piesaistīja mediju uzmanību.
慎重	piesardzīgs	Šis lēmums jāpieņem piesardzīgi.
渗透	iesūkties	Lietus ūdens lēnām iesūcās augsnē.
声明	paziņojums	Uzņēmums izdeva oficiālu paziņojumu.
声势	vērienīgums	Šai reklāmas kampaņai ir liels vērienīgums.
声誉	reputācija	Produkta kvalitāte ietekmē zīmola reputāciju.
牲畜	mājlopi	Gani aizdzina mājlopus atpakaļ uz ganībām.
生存	izdzīvot	Savvaļas dzīvniekiem vajadzīga telpa izdzīvošanai.
生机	dzīvīgums	Pavasara lietus piepilda zemi ar dzīvīgumu.
生理	fizioloģija	Miegs ietekmē cilvēka fizioloģisko stāvokli.
生疏	ierūsējis	Pēc daudziem gadiem bez treniņa viņa klavierspēle bija mazliet ierūsējusi.
生态	ekoloģija	Mežu aizsardzība ir saistīta ar ekoloģisko līdzsvaru.
生物	organisms	Okeānā ir daudz neparastu organismu.
生效	stāties spēkā	Jaunais noteikums rīt oficiāli stāsies spēkā.
生肖	ķīniešu zodiaka zīme	Kāda ir tava ķīniešu zodiaka zīme?
生锈	rūsēt	Velosipēda ķēde jau ir sarūsējusi.
生育	auglība	Slimnīca sniedz auglības konsultāciju pakalpojumus.
省会	provinces galvaspilsēta	Čendu kopš seniem laikiem ir Sičuaņas provinces galvaspilsēta.
盛产	ražot bagātīgi	Šajā vietā bagātīgi ražo augstas kvalitātes tēju.
盛开	pilnos ziedos	Parkā ķiršu ziedi ir pilnos ziedos.
盛情	sirsnīga viesmīlība	Mēs pateicamies saimniekam par sirsnīgo viesmīlību.
盛行	būt populāram	Šis stils kādu laiku bija ļoti populārs.
胜负	uzvara vai zaudējums	Spēles pēdējā minūte noteica uzvaru vai zaudējumu.
失事	ciest avārijā	Lidmašīnas avārijas cēlonis joprojām tiek izmeklēts.
失误	kļūda	Viena maza kļūda aizkavēja projektu.
失踪	pazudis	Policija meklē pazudušo bērnu.
尸体	līķis	Glābšanas komanda atrada bojāgājušā līķi.
师范	pedagoģiskais	Viņa absolvēja pedagoģisko universitāti.
施加	izdarīt	Vecākiem nevajadzētu izdarīt pārāk lielu spiedienu.
施展	likt lietā	Viņam beidzot bija iespēja likt lietā savu talantu.
十足	pilnīgs	Viņš ir pilnīgi pārliecināts par rezultātu.
实惠	izdevīgs	Cenas šajā veikalā ir ļoti izdevīgas.
实力	spēks	Komandas kopējais spēks ir ļoti liels.
实施	īstenot	Valdība sāka īstenot jauno plānu.
实事求是	balstīties faktos	Pētījumos jābalstās faktos.
实行	praktizēt	Uzņēmums praktizē elastīgu darba sistēmu.
实质	būtība	Problēmas būtība nav mainījusies.
拾	pacelt	Viņš pieliecās un pacēla no zemes atslēgu.
时常	bieži	Vectēvs bieži stāsta par jaunības laiku.
时而	brīžiem	Laiks brīžiem ir saulains, brīžiem apmācies.
时光	laiks	Labs laiks vienmēr šķiet īss.
时机	izdevīgs brīdis	Tagad nav izdevīgs brīdis sarunām.
时事	aktuālie notikumi	Skolēni katru nedēļu apspriež starptautiskos aktuālos notikumus.
石油	nafta	Naftas cenas atkal pieauga.
识别	atpazīt	Sistēma spēj atpazīt dažādas sejas.
使命	misija	Vides aizsardzība ir kopīga misija.
世代	paaudzēm	Šis amats ģimenē tiek nodots paaudzēm.
事故	negadījums	Šajā negadījumā nebija cietušo.
事迹	varoņdarbi	Viņa varoņdarbi plaši izplatījās.
事件	incidents	Šis incidents piesaistīja sabiedrības uzmanību.
事态	situācija	Valdība kontrolē situācijas attīstību.
事务	lietas	Viņa atbild par uzņēmuma ikdienas lietām.
事项	punkts	Lūdzu, apstiprini svarīgos līguma punktus.
事业	karjera	Viņš izglītību uzskata par savu mūža karjeru.
势必	neizbēgami	Izmaksu pieaugums neizbēgami ietekmēs cenas.
势力	ietekme	Vietējā biznesa ietekme ir spēcīga.
是非	strīdi	Viņš negrib iesaistīties biroja strīdos.
示范	parādīt	Skolotājs vispirms parādīja piemēru.
示威	demonstrācija	Pilsētas centrā notika mierīga demonstrācija.
示意	dot zīmi	Vadītājs deva zīmi visiem klusēt.
视力	redze	Ilgstoša skatīšanās ekrānā var ietekmēt redzi.
视频	video	Lūdzu, atsūti man video.
视线	redzamība	Bieza migla aizsedza autovadītāja redzamību.
视野	redzesloks	Ceļošana var paplašināt redzesloku.
试图	mēģināt	Viņš mēģināja izskaidrot savu lēmumu.
试验	eksperiments	Zinātnieki veica daudzus eksperimentus.
适宜	piemērots	Šejienes klimats ir piemērots dzīvošanai.
