simplified	TH	example_TH	MS	example_MS	ID	example_ID
实际	จริง; ปฏิบัติจริง	เขาใช้ตัวอย่างจริงมาอธิบายปัญหานี้	sebenar; praktikal	Dia menggunakan contoh sebenar untuk menjelaskan masalah ini.	nyata; praktis	Dia menggunakan contoh nyata untuk menjelaskan masalah ini.
实在	จริง ๆ; แท้จริง	ฉันเหนื่อยมากจริง ๆ	benar-benar; sebenarnya	Saya benar-benar terlalu letih.	benar-benar; sungguh	Saya benar-benar terlalu lelah.
使	ทำให้; ใช้	คำพูดของเขาทำให้ฉันซาบซึ้งมาก	membuat; menyebabkan	Kata-katanya membuat saya sangat terharu.	membuat; menyebabkan	Kata-katanya membuat saya sangat terharu.
使用	ใช้	คนจีนโดยทั่วไปใช้ตะเกียบกินข้าว	menggunakan	Orang Cina biasanya menggunakan penyepit untuk makan.	menggunakan	Orang Tionghoa umumnya menggunakan sumpit saat makan.
世纪	ศตวรรษ	ตอนนี้เป็นศตวรรษที่ยี่สิบเอ็ดแล้ว	abad	Sekarang sudah abad ke-21.	abad	Sekarang sudah abad ke-21.
是否	หรือไม่; ว่า...หรือไม่	เขาจะมาได้หรือไม่ ฉันยังไม่ค่อยแน่ใจ	sama ada; apakah	Saya masih belum begitu jelas sama ada dia boleh datang.	apakah; atau tidak	Apakah dia bisa datang, saya masih belum terlalu jelas.
适合	เหมาะกับ; พอดีกับ	เสื้อผ้าสีเขียวไม่ค่อยเหมาะกับฉัน	sesuai; cocok	Pakaian hijau tidak begitu sesuai untuk saya.	cocok; sesuai	Pakaian hijau tidak terlalu cocok untuk saya.
适应	ปรับตัวให้เข้ากับ	คุณปรับตัวเข้ากับภูมิอากาศทางเหนือได้ไหม?	menyesuaikan diri	Bolehkah kamu menyesuaikan diri dengan iklim di utara?	beradaptasi	Apakah kamu bisa beradaptasi dengan iklim utara?
收	รับ; เก็บ	ฉันได้รับจดหมายของคุณแล้ว	menerima; mengumpul	Saya sudah menerima surat kamu.	menerima; mengumpulkan	Saya sudah menerima suratmu.
收入	รายได้	รายได้ของเขาสูงกว่าเมื่อก่อน	pendapatan	Pendapatannya lebih tinggi daripada dahulu.	pendapatan	Pendapatannya lebih tinggi daripada sebelumnya.
收拾	เก็บ; จัด	ฉันกำลังจัดกระเป๋าเดินทางอยู่	mengemas; menyusun	Saya sedang mengemas bagasi.	merapikan; mengemas	Saya sedang mengemas koper.
首都	เมืองหลวง	เมืองหลวงของจีนคือปักกิ่ง	ibu negara	Ibu negara China ialah Beijing.	ibu kota	Ibu kota Tiongkok adalah Beijing.
首先	ก่อนอื่น; อันดับแรก	ก่อนอื่นต้องพักผ่อนให้ดี แล้วจึงจะทำงานได้ดี	pertama sekali; mula-mula	Pertama sekali, perlu berehat dengan baik, barulah dapat bekerja dengan baik.	pertama-tama; mula-mula	Pertama-tama harus beristirahat dengan baik, lalu baru bisa bekerja dengan baik.
受不了	ทนไม่ไหว	อากาศร้อนเกินไป ฉันทนไม่ไหว	tidak tahan	Cuaca terlalu panas, saya tidak tahan.	tidak tahan	Cuacanya terlalu panas, saya tidak tahan.
受到	ได้รับ; ถูก	นิยายของเขาได้รับความนิยมจากผู้อ่าน	menerima; mendapat	Novelnya mendapat sambutan daripada pembaca.	menerima; mendapatkan	Novelnya mendapat sambutan baik dari pembaca.
售货员	พนักงานขาย	ฉันทำงานเป็นพนักงานขายในห้างสรรพสินค้า	jurujual	Saya bekerja sebagai jurujual di pusat beli-belah.	pramuniaga; penjual	Saya bekerja sebagai pramuniaga di pusat perbelanjaan.
输	แพ้; ขนส่ง	การแข่งขันครั้งนี้ พวกเราแพ้	kalah; mengangkut	Dalam pertandingan kali ini, kami kalah.	kalah; mengangkut	Pada pertandingan kali ini, kami kalah.
熟悉	คุ้นเคย; รู้จักดี	ฉันคุ้นเคยกับพวกเขาทุกคน	biasa; kenal baik	Saya sangat kenal dengan mereka semua.	akrab; mengenal baik	Saya sangat akrab dengan mereka.
数量	จำนวน; ปริมาณ	จำนวนคนสมัครมีมาก	bilangan; jumlah	Bilangan orang yang mendaftar sangat banyak.	jumlah; kuantitas	Jumlah orang yang mendaftar sangat banyak.
数字	ตัวเลข	กรุณาเขียนตัวเลขให้ชัดเจน	nombor; angka	Sila tulis nombor dengan jelas.	angka; nomor	Tolong tulis angkanya dengan jelas.
帅	หล่อ; เท่	วันนี้เขาแต่งตัวเท่มาก	kacak; bergaya	Dia berpakaian sangat bergaya hari ini.	tampan; keren	Hari ini dia berpakaian sangat keren.
顺便	ถือโอกาส; แวะทำ	ระหว่างทางกลับจากเลิกงาน ฉันแวะซื้อผักมานิดหน่อย	sambil; sekali jalan	Dalam perjalanan pulang dari kerja, saya membeli sedikit sayur sekali jalan.	sekalian; sambil	Di perjalanan pulang kerja, saya sekalian membeli beberapa sayur.
顺利	ราบรื่น	การแข่งขันดำเนินไปอย่างราบรื่น	lancar	Pertandingan berlangsung dengan lancar.	lancar	Pertandingan berjalan dengan lancar.
顺序	ลำดับ	กรุณาอย่าทำลำดับสับสน	urutan	Sila jangan kacau urutan.	urutan	Tolong jangan mengacaukan urutannya.
说明	อธิบาย; คำอธิบาย	เขาอธิบายสาเหตุของเรื่องนี้ให้ทุกคนฟัง	menjelaskan; penjelasan	Dia menjelaskan sebab perkara ini kepada semua orang.	menjelaskan; penjelasan	Dia menjelaskan alasan hal ini kepada semua orang.
硕士	ปริญญาโท	ฉันกำลังเรียนปริญญาโทที่มหาวิทยาลัย	ijazah sarjana	Saya sedang belajar ijazah sarjana di universiti.	gelar magister	Saya sedang menempuh studi magister di universitas.
死	ตาย; เสียชีวิต	ต้นไม้ต้นนี้ตายแล้ว	mati	Pokok ini sudah mati.	mati	Pohon ini sudah mati.
塑料袋	ถุงพลาสติก	เพื่อปกป้องสิ่งแวดล้อม กรุณาอย่าใช้ถุงพลาสติก	beg plastik	Untuk melindungi alam sekitar, sila jangan gunakan beg plastik.	kantong plastik	Untuk melindungi lingkungan, jangan gunakan kantong plastik.
速度	ความเร็ว	เขาวิ่งเร็วจริง ๆ	kelajuan	Kelajuan larinya sungguh cepat!	kecepatan	Kecepatan larinya benar-benar cepat!
酸	เปรี้ยว	องุ่นที่คุณซื้อเปรี้ยวนิดหน่อย	masam	Anggur yang kamu beli agak masam.	asam	Anggur yang kamu beli agak asam.
随便	ตามสบาย; แล้วแต่	ทุกคนเชิญนั่งตามสบาย	sesuka hati; bebas	Semua orang silakan duduk di mana-mana sahaja.	sembarangan; sesuka hati	Silakan duduk di mana saja.
随着	ตาม; พร้อมกับ	ตามการพัฒนาเศรษฐกิจ ชีวิตของผู้คนดีขึ้นมาก	seiring dengan; mengikuti	Seiring dengan perkembangan ekonomi, kehidupan orang ramai banyak meningkat.	seiring dengan; mengikuti	Seiring perkembangan ekonomi, kehidupan orang-orang banyak meningkat.
孙子	หลานชาย	คุณปู่ชอบหลานชายของตัวเองมาก	cucu lelaki	Datuk sangat menyayangi cucu lelakinya.	cucu laki-laki	Kakek sangat menyukai cucu laki-lakinya.
所有	ทั้งหมด; ทุก	ทุกคนล้วนคิดว่าเขาผิด	semua	Semua orang berpendapat bahawa dia yang salah.	semua	Semua orang menganggap dia salah.
台	ลักษณนามสำหรับเครื่องจักร	คอมพิวเตอร์เครื่องนี้เพิ่งซื้อมา	penjodoh bilangan untuk mesin	Komputer ini baru dibeli.	kata ukur untuk mesin	Komputer ini baru dibeli.
抬	ยก; หาม	พวกเขายกโต๊ะเรียนเข้าไปในห้องเรียน	mengangkat; mengusung	Mereka mengangkat meja belajar ke dalam bilik darjah.	mengangkat; membawa bersama	Mereka mengangkat meja belajar ke dalam kelas.
态度	ท่าที; ทัศนคติ	พนักงานบริการมีท่าทีต่อลูกค้าดีมาก	sikap	Sikap pekerja perkhidmatan terhadap pelanggan sangat baik.	sikap	Sikap pelayan terhadap pelanggan sangat baik.
弹钢琴	เล่นเปียโน	ฉันเริ่มเรียนเล่นเปียโนตอนอายุสี่ขวบ	bermain piano	Saya mula belajar bermain piano ketika berumur empat tahun.	bermain piano	Saya mulai belajar bermain piano saat berusia empat tahun.
谈	คุย; พูดคุย	ฉันยังอยากคุยกับคุณเรื่องอีกเรื่องหนึ่ง	berbual; berbincang	Saya juga mahu berbincang dengan kamu tentang satu perkara lain.	berbicara; berdiskusi	Saya juga ingin berbicara denganmu tentang satu hal lain.
汤	ซุป; น้ำแกง	ซุปไม่เค็ม ใส่เกลือเพิ่มอีกหน่อยเถอะ	sup	Sup ini tidak masin, tambah sedikit garam lagi.	sup	Sup ini kurang asin, tambahkan sedikit garam lagi.
糖	น้ำตาล; ลูกอม	ฉันอยากกินลูกอมหนึ่งเม็ด	gula; gula-gula	Saya mahu makan seketul gula-gula.	gula; permen	Saya ingin makan sepotong permen.
躺	นอนเอน; นอนลง	เธอนอนอยู่บนเตียงแล้วหลับไป	berbaring	Dia berbaring di atas katil lalu tertidur.	berbaring	Dia berbaring di tempat tidur lalu tertidur.
趟	เที่ยว; รอบ	เดือนที่แล้วฉันไปปักกิ่งมาหนึ่งเที่ยว	kali perjalanan	Bulan lalu saya pergi ke Beijing sekali.	kali perjalanan	Bulan lalu saya pergi ke Beijing sekali.
讨论	อภิปราย; หารือ	พวกเราประชุมหารือกันหน่อยเถอะ	berbincang; membincangkan	Mari kita bermesyuarat dan bincangkan hal ini.	berdiskusi; membahas	Ayo rapat dan membahasnya.
讨厌	น่ารำคาญ; ไม่ชอบ	อากาศแบบนี้น่ารำคาญจริง ๆ	menjengkelkan; tidak suka	Cuaca ini benar-benar menjengkelkan.	menyebalkan; tidak suka	Cuaca ini benar-benar menyebalkan.
特点	ลักษณะเด่น; คุณลักษณะ	ลักษณะเด่นของร้านอาหารนี้คืออาหารสดมาก	ciri; keistimewaan	Keistimewaan restoran ini ialah hidangannya sangat segar.	ciri khas; fitur	Ciri khas restoran ini adalah makanannya sangat segar.
提	ยก; หิ้ว	กรุณายกกระเป๋าใบนี้ขึ้น	menjunjung; mengangkat	Sila angkat beg ini.	mengangkat; menjinjing	Tolong angkat tas ini.
提供	จัดหา; ให้	ห้องสมุดจัดสภาพแวดล้อมการอ่านที่เงียบสงบให้ทุกคน	menyediakan	Perpustakaan menyediakan suasana membaca yang tenang untuk semua orang.	menyediakan	Perpustakaan menyediakan lingkungan membaca yang tenang untuk semua orang.
提前	ล่วงหน้า; ก่อนกำหนด	พวกเราทำภารกิจเสร็จก่อนกำหนด	lebih awal; awal	Kami menyelesaikan tugas lebih awal.	lebih awal; sebelum waktunya	Kami menyelesaikan tugas lebih awal.
提醒	เตือน; ย้ำเตือน	ฉันเตือนเขาแล้ว แต่เขาก็ยังลืม	mengingatkan	Saya sudah mengingatkannya, tetapi dia masih lupa.	mengingatkan	Saya sudah mengingatkannya, tetapi dia tetap lupa.
填空	เติมคำในช่องว่าง	นี่คือโจทย์เติมคำในช่องว่าง	isi tempat kosong	Ini soalan isi tempat kosong.	mengisi bagian kosong	Ini adalah soal mengisi bagian kosong.
条件	เงื่อนไข; สภาพ	เธอตรงกับเงื่อนไขการรับสมัครของเรามาก	syarat; keadaan	Dia sangat memenuhi syarat pengambilan kami.	syarat; kondisi	Dia sangat memenuhi kriteria perekrutan kami.
停	หยุด; จอด	รถหยุดลง	berhenti; parkir	Kereta itu berhenti.	berhenti; parkir	Mobil itu berhenti.
挺	ค่อนข้าง; มากทีเดียว	หนังสือเล่มนี้อ่านสนุกทีเดียว	agak; cukup	Buku ini cukup menarik.	cukup; lumayan	Buku ini cukup bagus.
通过	ผ่าน; โดยผ่าน	ฉันสอบผ่านแล้ว	lulus; melalui	Saya sudah lulus peperiksaan.	lulus; melalui	Saya sudah lulus ujian.
通知	แจ้ง; ประกาศ	กรุณาแจ้งทุกคนมาประชุม	memberitahu; notis	Sila beritahu semua orang supaya datang bermesyuarat.	memberi tahu; pemberitahuan	Tolong beri tahu semua orang untuk datang rapat.
同情	เห็นใจ; ความเห็นใจ	ฉันเห็นใจเขามาก	bersimpati; simpati	Saya sangat bersimpati dengannya.	bersimpati; simpati	Saya sangat bersimpati kepadanya.
同时	ในเวลาเดียวกัน; พร้อมกัน	เขาฟังเพลงไปด้วย และทำการบ้านไปพร้อมกัน	pada masa yang sama	Dia mendengar muzik sambil membuat kerja rumah pada masa yang sama.	pada saat yang sama	Dia mendengarkan musik sambil mengerjakan PR.
推	ผลัก; เข็น	รถของฉันเสีย ช่วยเข็นให้หน่อยได้ไหม?	menolak	Kereta saya rosak, boleh tolong tolakkan?	mendorong	Mobil saya rusak, bisakah tolong dorong?
推迟	เลื่อนออกไป	เวลาเครื่องบินขึ้นเลื่อนออกไปยี่สิบนาที	menangguhkan; menunda	Masa pesawat berlepas ditangguhkan dua puluh minit.	menunda	Waktu keberangkatan pesawat ditunda dua puluh menit.
脱	ถอด	ห้องอุ่นมาก ถอดเสื้อโค้ตเถอะ	menanggalkan; membuka	Bilik ini sangat hangat, tanggalkan kot itu.	melepas	Ruangan ini hangat, lepaskan mantelmu.
袜子	ถุงเท้า	ฉันซักถุงเท้าสะอาดแล้ว	stoking	Saya sudah mencuci stoking sampai bersih.	kaus kaki	Saya sudah mencuci kaus kaki sampai bersih.
完全	ทั้งหมด; อย่างสมบูรณ์	การตัดสินของคุณถูกต้องทั้งหมด	sepenuhnya; lengkap	Pertimbangan kamu sepenuhnya betul.	sepenuhnya; lengkap	Penilaianmu sepenuhnya benar.
往往	มักจะ; บ่อย ๆ	วันอาทิตย์เขามักจะไปเดินเล่นที่สวนสาธารณะ	selalunya; sering	Pada hari Ahad, dia selalunya pergi berjalan-jalan di taman.	sering; biasanya	Pada hari Minggu, dia sering pergi jalan-jalan di taman.
网球	เทนนิส	ฉันเพิ่งเริ่มเรียนเล่นเทนนิสเมื่อไม่นานมานี้	tenis	Saya baru-baru ini mula belajar bermain tenis.	tenis	Saya baru-baru ini mulai belajar bermain tenis.
网站	เว็บไซต์	บนเว็บไซต์นี้มีข้อมูลภาษาจีนมากมาย	laman web	Ada banyak bahan bahasa Cina di laman web ini.	situs web	Di situs web ini ada banyak materi bahasa Mandarin.
危险	อันตราย	ปีนเขาคนเดียวตอนกลางคืนอันตรายมาก	bahaya; berbahaya	Mendaki gunung seorang diri pada waktu malam sangat berbahaya.	bahaya; berbahaya	Mendaki gunung sendirian pada malam hari sangat berbahaya.
卫生间	ห้องน้ำ	ขอโทษครับ ห้องน้ำอยู่ที่ไหน?	tandas; bilik air	Tumpang tanya, tandas di mana?	kamar mandi; toilet	Permisi, toilet ada di mana?
味道	รสชาติ; กลิ่น	ซาลาเปาของร้านอาหารนี้รสชาติดีมาก	rasa; bau	Pau di restoran ini rasanya sangat sedap.	rasa; bau	Bakpao di restoran ini rasanya sangat enak.
温度	อุณหภูมิ	เข้าสู่ฤดูหนาวแล้ว อุณหภูมิต่ำลงเรื่อย ๆ	suhu	Memasuki musim sejuk, suhu semakin rendah.	suhu	Memasuki musim dingin, suhu semakin rendah.
文章	บทความ; เรียงความ	ส่วนที่สำคัญที่สุดของบทความคือย่อหน้าที่สาม	artikel; karangan	Bahagian paling penting dalam artikel itu ialah perenggan ketiga.	artikel; esai	Bagian paling penting dari artikel itu adalah paragraf ketiga.
污染	มลพิษ; การปนเปื้อน	ตอนนี้มลพิษสิ่งแวดล้อมรุนแรงขึ้นเรื่อย ๆ	pencemaran	Pencemaran alam sekitar kini semakin serius.	polusi; pencemaran	Sekarang polusi lingkungan semakin serius.
无	ไม่มี; ขาด	คำพูดของเขาไม่มีหลักฐาน	tanpa; tiada	Kata-katanya tidak berasas.	tanpa; tidak ada	Kata-katanya tidak berdasar.
无聊	น่าเบื่อ; เบื่อ	รายการนี้น่าเบื่อนิดหน่อย	bosan; membosankan	Program ini agak membosankan.	bosan; membosankan	Acara ini agak membosankan.
无论	ไม่ว่า; ไม่ว่าจะ	ไม่ว่าฉันอธิบายอย่างไร เขาก็ไม่เข้าใจ	tidak kira; walau apa pun	Tidak kira bagaimana saya menjelaskan, dia tetap tidak faham.	tidak peduli; bagaimanapun	Bagaimanapun saya menjelaskannya, dia tetap tidak mengerti.
误会	เข้าใจผิด; ความเข้าใจผิด	ขอโทษ ฉันเข้าใจคุณผิด	salah faham	Maaf, saya salah faham terhadap kamu.	salah paham	Maaf, saya salah paham tentang kamu.
吸引	ดึงดูด	ภาพยนตร์เรื่องนี้น่าดึงดูดมาก	menarik	Film ini sangat menarik.	menarik	Film ini sangat menarik.
西红柿	มะเขือเทศ	ฉันซื้อมะเขือเทศมาบางส่วน	tomato	Saya membeli beberapa tomato.	tomat	Saya membeli beberapa tomat.
咸	เค็ม	ใส่เกลือมากไป อาหารเค็มนิดหน่อย	masin	Garam terlalu banyak, hidangan agak masin.	asin	Garamnya terlalu banyak, masakannya agak asin.
现金	เงินสด	ฉันพกเงินสดไม่มาก แต่ร้านค้ารับบัตรเงินสด	tunai	Wang tunai yang saya bawa tidak banyak, tetapi kedai boleh menerima kad.	tunai	Uang tunai yang saya bawa tidak banyak, tetapi toko menerima kartu.
羡慕	อิจฉา; ชื่นชม	ฉันอิจฉาเขาที่มีงานดี ๆ หนึ่งงาน	iri hati; mengagumi	Saya iri hati dia mempunyai kerja yang baik.	iri; kagum	Saya iri dia punya pekerjaan yang bagus.
相反	ตรงกันข้าม	สิ่งที่คุณพูดตรงกันข้ามกับที่ฉันเข้าใจพอดี	sebaliknya; bertentangan	Apa yang kamu katakan tepat bertentangan dengan pemahaman saya.	sebaliknya; bertentangan	Apa yang kamu katakan justru berlawanan dengan pemahaman saya.
相同	เหมือนกัน; เดียวกัน	จักรยานของคุณเหมือนกับของฉันทุกอย่าง	sama; serupa	Basikal kamu sepenuhnya sama dengan basikal saya.	sama; identik	Sepedamu persis sama dengan sepeda saya.
香	หอม; กลิ่นดี	อาหารที่คุณทำหอมจริง ๆ	wangi; harum	Masakan yang kamu buat sungguh wangi!	harum; wangi	Masakanmu harum sekali!
详细	ละเอียด	แผนที่เธอทำละเอียดมาก	terperinci	Pelan yang dia buat sangat terperinci.	terperinci	Rencana yang dia buat sangat terperinci.
响	ดัง; ส่งเสียง	ฟังสิ โทรศัพท์ดังหรือเปล่า?	berbunyi; berbunyi kuat	Dengar, adakah telefon berbunyi?	berbunyi; berdering	Dengar, apakah teleponnya berdering?
橡皮	ยางลบ	คุณให้ฉันยืมยางลบใช้หน่อยได้ไหม?	pemadam	Boleh saya pinjam pemadam kamu sebentar?	penghapus	Boleh saya pinjam penghapusmu sebentar?
消息	ข่าว; ข้อมูล	ข่าวนี้น่าตื่นเต้นจริง ๆ	berita; maklumat	Berita ini benar-benar mengujakan.	kabar; informasi	Kabar ini benar-benar menggugah semangat.
小吃	ของกินเล่น; อาหารว่าง	มาปักกิ่งต้องลองของกินเล่นปักกิ่งสักหน่อย	makanan ringan; snek	Apabila datang ke Beijing, mesti cuba snek Beijing.	camilan; jajanan	Kalau datang ke Beijing, harus mencoba jajanan Beijing.
小伙子	ชายหนุ่ม; หนุ่ม	ชายหนุ่มคนนั้นกระตือรือร้นมาก	pemuda	Lelaki muda itu sangat bersemangat.	pemuda	Anak muda itu sangat antusias.
小说	นิยาย; เรื่องแต่ง	ฉันกำลังอ่านนิยายเล่มนี้	novel; fiksyen	Saya sedang membaca novel ini.	novel; fiksi	Saya sedang membaca novel ini.
效果	ผล; ประสิทธิผล	ยาแก้หวัดชนิดนี้ได้ผลดีมาก	kesan; hasil	Ubat selesema jenis ini sangat berkesan.	efek; hasil	Obat flu jenis ini sangat manjur.
笑话	เรื่องตลก; หัวเราะเยาะ	กรุณาอย่าหัวเราะเยาะคนอื่น	jenaka; mentertawakan	Sila jangan mentertawakan orang lain.	lelucon; menertawakan	Tolong jangan menertawakan orang lain.
心情	อารมณ์; สภาพจิตใจ	อารมณ์ของเขาดีขึ้นแล้ว	perasaan; suasana hati	Perasaannya sudah menjadi lebih baik.	suasana hati	Suasana hatinya membaik.
辛苦	เหนื่อยยาก; ลำบาก	งานของพ่อเหนื่อยมาก	susah; memenatkan	Kerja ayah sangat memenatkan.	berat; melelahkan	Pekerjaan ayah sangat melelahkan.
信封	ซองจดหมาย	เขาเอาจดหมายที่เขียนเสร็จแล้วใส่ลงในซองจดหมาย	sampul surat	Dia memasukkan surat yang sudah ditulis ke dalam sampul surat.	amplop	Dia memasukkan surat yang sudah ditulis ke dalam amplop.
信息	ข้อมูล; ข่าวสาร	กรุณาส่งข้อมูลติดต่อของคุณให้ฉัน	maklumat	Sila hantar maklumat hubungan kamu kepada saya.	informasi	Tolong kirimkan informasi kontakmu kepada saya.
信心	ความมั่นใจ; ความเชื่อมั่น	เรามั่นใจในตัวคุณมาก คุณต้องทำได้แน่นอน	keyakinan; kepercayaan	Kami sangat yakin terhadap kamu. Kamu pasti boleh melakukannya.	keyakinan; kepercayaan	Kami sangat yakin padamu. Kamu pasti bisa melakukannya.
兴奋	ตื่นเต้น; ความตื่นเต้น	เด็ก ๆ กระโดดขึ้นด้วยความตื่นเต้นเมื่อได้ยินว่าจะไปทัศนศึกษาฤดูใบไม้ผลิ	teruja; keterujaan	Kanak-kanak melompat kegembiraan apabila mendengar mereka akan pergi berkelah musim bunga.	bersemangat; kegembiraan	Anak-anak melompat kegirangan saat mendengar mereka akan pergi wisata musim semi.
行	ได้; โอเค	แบบนี้ได้ไหม?	boleh; baik	Begini bolehkah?	boleh; oke	Begini boleh?
醒	ตื่น; รู้สึกตัว	ฉันตื่นตอนหกโมงเช้า	bangun; sedar	Saya terjaga pada pukul enam pagi.	bangun; tersadar	Saya bangun jam enam pagi.
幸福	ความสุข; มีความสุข	เงินซื้อความสุขไม่ได้	kebahagiaan; bahagia	Wang tidak dapat membeli kebahagiaan.	kebahagiaan; bahagia	Uang tidak bisa membeli kebahagiaan.
性别	เพศ; เพศสภาพ	กรุณากรอกเพศในบรรทัดที่สองของแบบฟอร์ม	jantina; seks	Sila isi jantina pada baris kedua borang.	jenis kelamin; gender	Silakan isi jenis kelamin pada baris kedua formulir.
性格	บุคลิก; นิสัย	ภรรยาของฉันนิสัยดีมากและไม่เคยอารมณ์เสีย	keperibadian; sifat	Isteri saya berperibadi sangat baik dan tidak pernah naik marah.	kepribadian; watak	Istri saya berkepribadian sangat baik dan tidak pernah marah.
修理	ซ่อม; บำรุงรักษา	หลังซ่อมแล้ว คอมพิวเตอร์ของฉันก็กลับมาทำงานได้ปกติอีกครั้ง	membaiki; menyelenggara	Selepas dibaiki, komputer saya boleh berfungsi seperti biasa semula.	memperbaiki; servis	Setelah diperbaiki, komputer saya bisa bekerja normal lagi.
许多	มากมาย; หลาย	บนถนนมีถังขยะมากมาย	banyak; ramai	Ada banyak tong sampah di jalan.	banyak; sejumlah besar	Ada banyak tempat sampah di jalan.
学期	ภาคเรียน; เทอม	เทอมนี้ฉันเลือกเรียนหลายวิชา รวมถึงศิลปะ ประวัติศาสตร์ และเศรษฐศาสตร์	semester; penggal	Semester ini saya mengambil banyak kursus, termasuk seni, sejarah dan ekonomi.	semester	Semester ini saya mengambil banyak mata kuliah, termasuk seni, sejarah, dan ekonomi.
呀	อ๊ะ; อ้าว	อ๊ะ หิมะตกแล้ว!	ah; wah	Ah, salji turun!	wah; ah	Wah, turun salju!
压力	ความกดดัน; แรงกดดัน	ช่วงนี้เขากดดันจากงานมาก	tekanan	Belakangan ini dia mengalami tekanan kerja yang besar.	tekanan	Belakangan ini dia mengalami tekanan besar di pekerjaan.
牙膏	ยาสีฟัน	ยาสีฟันหมดแล้ว พรุ่งนี้ไปซื้อกันเถอะ	ubat gigi	Ubat gigi sudah habis, mari beli esok.	pasta gigi	Pasta gigi sudah habis, besok kita beli.
亚洲	เอเชีย	จีนเป็นประเทศในเอเชีย	Asia	China ialah negara Asia.	Asia	Tiongkok adalah negara Asia.
严格	เข้มงวด	ครูเข้มงวดกับพวกเรามาก	ketat; tegas	Guru sangat tegas terhadap kami.	ketat; tegas	Guru sangat ketat terhadap kami.
严重	ร้ายแรง; หนัก	อาการป่วยของเขารุนแรงมาก	serius; teruk	Penyakitnya sangat serius.	serius; parah	Penyakitnya sangat serius.
盐	เกลือ	ใส่เกลือมากไป อาหารเค็มนิดหน่อย	garam	Garam terlalu banyak, hidangan agak masin.	garam	Garamnya terlalu banyak, masakannya agak asin.
研究	วิจัย; การศึกษา	เขากำลังศึกษาวิจัยปัญหานี้	menyelidik; kajian	Dia sedang mengkaji masalah ini.	meneliti; penelitian	Dia sedang meneliti masalah ini.
演出	แสดง; การแสดง	การแสดงครั้งแรก เขาตื่นเต้นมาก	persembahan; membuat persembahan	Pada persembahan pertama, dia sangat gementar.	pertunjukan; tampil	Pada pertunjukan pertama, dia sangat gugup.
演员	นักแสดง	เขาเป็นนักแสดงที่มีชื่อเสียง	pelakon	Dia seorang pelakon terkenal.	aktor; aktris	Dia adalah aktor terkenal.
眼镜	แว่นตา	เขาสวมแว่นตาสีดำอยู่	cermin mata	Dia memakai sepasang cermin mata hitam.	kacamata	Dia memakai sepasang kacamata hitam.
阳光	แสงแดด	แสงแดดส่องเข้ามาในห้องจากทางหน้าต่าง	cahaya matahari	Cahaya matahari masuk ke dalam bilik melalui tingkap.	sinar matahari	Sinar matahari masuk ke kamar melalui jendela.
养成	สร้างนิสัย; ปลูกฝัง	ฉันสร้างนิสัยนี้มาตั้งแต่เด็ก	membentuk; memupuk	Saya telah membentuk tabiat ini sejak kecil.	membentuk; menumbuhkan	Saya membentuk kebiasaan ini sejak kecil.
样子	รูปร่างหน้าตา; ลักษณะ	แบบของเสื้อผ้าชิ้นนี้ดูดีมาก	rupa; gaya	Gaya pakaian ini sangat bagus.	penampilan; model	Model pakaian ini sangat bagus.
邀请	เชิญ; คำเชิญ	เขาปฏิเสธคำเชิญของทุกคน	menjemput; jemputan	Dia menolak jemputan semua orang.	mengundang; undangan	Dia menolak undangan semua orang.
要是	ถ้า; หาก	ถ้าคุณมาก่อน ก็รอฉันสักหน่อย	jika; sekiranya	Jika kamu datang dahulu, tunggu saya sebentar.	kalau; jika	Kalau kamu datang lebih dulu, tunggu saya sebentar.
钥匙	กุญแจ	วันนี้ฉันลืมเอากุญแจมา	kunci	Hari ini saya terlupa membawa kunci.	kunci	Hari ini saya lupa membawa kunci.
也许	บางที; อาจจะ	เขาอาจจะไม่มาแล้ว	mungkin	Dia mungkin tidak akan datang.	mungkin; barangkali	Barangkali dia tidak akan datang.
叶子	ใบไม้	ฤดูใบไม้ผลิมาถึงแล้ว ต้นไม้เล็ก ๆ แตกใบใหม่	daun	Musim bunga sudah tiba, pokok kecil mengeluarkan daun baru.	daun	Musim semi telah tiba, pohon kecil menumbuhkan daun baru.
页	หน้า	กรุณาเปิดไปหน้าที่สิบ	halaman	Sila buka halaman sepuluh.	halaman	Silakan buka halaman sepuluh.
一切	ทุกอย่าง	ทุกเรื่องในบ้าน แม่เป็นคนรับผิดชอบ	segala-galanya; semua	Ibu bertanggungjawab atas segala urusan di rumah.	segala sesuatu; semua	Ibu bertanggung jawab atas semua urusan di rumah.
以	ใช้เป็น; โดยอาศัย	กรุณาใช้ประโยคนี้เป็นตัวอย่าง	dengan; menggunakan	Sila ambil ayat ini sebagai contoh.	dengan; memakai	Silakan gunakan kalimat ini sebagai contoh.
以为	คิดว่า; เข้าใจว่า	ฉันคิดว่าคุณไปแล้ว	menyangka; berfikir	Saya sangka kamu sudah pergi.	mengira; berpikir	Saya kira kamu sudah pergi.
意见	ความคิดเห็น; ข้อเสนอแนะ	ความคิดเห็นของคุณฉันรับทั้งหมด	pendapat; cadangan	Saya menerima semua pendapat kamu.	pendapat; saran	Saya menerima semua pendapatmu.
艺术	ศิลปะ	ฉันสนใจศิลปะมาก	seni	Saya sangat berminat terhadap seni.	seni	Saya sangat tertarik pada seni.
