simplified	TE	example_TE	KN	example_KN	ML	example_ML
亚洲	ఆసియా	చైనా ఒక ఆసియా దేశం.	ಏಷ್ಯಾ	ಚೀನಾ ಒಂದು ಏಷ್ಯಾದ ದೇಶ.	ഏഷ്യ	ചൈന ഒരു ഏഷ്യൻ രാജ്യമാണ്.
严格	కఠినమైన	గురువు మా మీద పెట్టే అవసరాలు చాలా కఠినంగా ఉన్నాయి.	ಕಠಿಣ; ಕಟ್ಟುನಿಟ್ಟಾದ	ಗುರುಗಳು ನಮ್ಮ ಮೇಲಿನ ನಿರೀಕ್ಷೆಗಳಲ್ಲಿ ತುಂಬಾ ಕಟ್ಟುನಿಟ್ಟಾಗಿದ್ದಾರೆ.	കർശനമായ	അധ്യാപകൻ ഞങ്ങളോട് വളരെ കർശനമാണ്.
严重	తీవ్రమైన	అతని అనారోగ్యం తీవ్రమైంది.	ಗಂಭೀರ; ತೀವ್ರ	ಅವನ ರೋಗ ಗಂಭೀರವಾಗಿದೆ.	ഗുരുതരമായ; തീവ്രമായ	അവന്റെ രോഗം ഗുരുതരമാണ്.
盐	ఉప్పు	ఉప్పు ఎక్కువ వేసారు, వంటకం కొంచెం ఉప్పుగా ఉంది.	ಉಪ್ಪು	ಉಪ್ಪು ಹೆಚ್ಚು ಹಾಕಲಾಗಿದೆ, ಊಟ ಸ್ವಲ್ಪ ಉಪ್ಪಾಗಿದೆ.	ഉപ്പ്	ഉപ്പ് അധികമായി, വിഭവം അല്പം ഉപ്പാണ്.
研究	పరిశోధించడం; పరిశోధన	అతను ఈ సమస్యపై పరిశోధిస్తున్నాడు.	ಸಂಶೋಧಿಸುವುದು; ಸಂಶೋಧನೆ	ಅವನು ಈ ಸಮಸ್ಯೆಯನ್ನು ಸಂಶೋಧಿಸುತ್ತಿದ್ದಾನೆ.	ഗവേഷിക്കുക; ഗവേഷണം	അവൻ ഈ പ്രശ്നത്തെക്കുറിച്ച് ഗവേഷണം നടത്തുന്നു.
演出	ప్రదర్శన; ప్రదర్శించడం	మొదటి ప్రదర్శనలో అతను చాలా టెన్షన్‌గా ఉన్నాడు.	ಪ್ರದರ್ಶನ; ಪ್ರದರ್ಶಿಸುವುದು	ಮೊದಲ ಪ್ರದರ್ಶನದಲ್ಲಿ ಅವನು ತುಂಬಾ ನರ್ವಸ್ ಆಗಿದ್ದ.	പ്രകടനം; അവതരിപ്പിക്കുക	ആദ്യ പ്രകടനത്തിൽ അവൻ വളരെ ഉത്കണ്ഠയിലായിരുന്നു.
演员	నటుడు; ప్రదర్శకుడు	అతను ఒక ప్రసిద్ధ నటుడు.	ನಟ; ಕಲಾವಿದ	ಅವನು ಒಬ್ಬ ಪ್ರಸಿದ್ಧ ನಟ.	നടൻ; കലാകാരൻ	അവൻ പ്രശസ്തനായ നടനാണ്.
眼镜	కళ్లజోడు	అతను ఒక నల్ల కళ్లజోడు ధరించాడు.	ಕನ್ನಡಕ	ಅವನು ಒಂದು ಕಪ್ಪು ಕನ್ನಡಕ ಧರಿಸಿದ್ದಾನೆ.	കണ്ണാടി	അവൻ ഒരു കറുത്ത കണ്ണാടി ധരിച്ചിരിക്കുന്നു.
阳光	సూర్యకాంతి	సూర్యకాంతి కిటికీ నుంచి గదిలోకి వచ్చింది.	ಸೂರ್ಯನ ಬೆಳಕು	ಸೂರ್ಯನ ಬೆಳಕು ಕಿಟಕಿಯಿಂದ ಕೊಠಡಿಗೆ ಬಂತು.	സൂര്യപ്രകാശം	സൂര്യപ്രകാശം ജനലിലൂടെ മുറിയിലേക്ക് വന്നു.
养成	అలవాటు పెంపొందించడం	నేను చిన్నప్పటి నుంచే ఈ అలవాటు పెంచుకున్నాను.	ಅಭ್ಯಾಸ ಬೆಳೆಸುವುದು	ನಾನು ಚಿಕ್ಕಂದಿನಿಂದಲೇ ಈ ಅಭ್ಯಾಸ ಬೆಳೆಸಿಕೊಂಡಿದ್ದೇನೆ.	ശീലം വളർത്തുക	ഞാൻ ചെറുപ്പം മുതൽ ഈ ശീലം വളർത്തിയെടുത്തു.
样子	రూపం; తీరు	ఈ దుస్తుల రూపం చాలా బాగుంది.	ರೂಪ; ಶೈಲಿ	ಈ ಬಟ್ಟೆಯ ರೂಪ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.	രൂപം; ശൈലി	ഈ വസ്ത്രത്തിന്റെ രൂപം വളരെ നല്ലതാണ്.
邀请	ఆహ్వానించడం; ఆహ్వానం	అతను అందరి ఆహ్వానాన్ని తిరస్కరించాడు.	ಆಹ್ವಾನಿಸುವುದು; ಆಹ್ವಾನ	ಅವನು ಎಲ್ಲರ ಆಹ್ವಾನವನ್ನು ನಿರಾಕರಿಸಿದನು.	ക്ഷണിക്കുക; ക്ഷണം	അവൻ എല്ലാവരുടെയും ക്ഷണം നിരസിച്ചു.
要是	అయితే	నువ్వు ముందుగా వస్తే, కాసేపు నన్ను వేచి ఉండు.	ಯಾದರೆ; ಇದ್ದರೆ	ನೀನು ಮೊದಲು ಬಂದರೆ, ಸ್ವಲ್ಪ ನನ್ನನ್ನು ಕಾಯು.	എങ്കിൽ	നീ ആദ്യം വന്നാൽ, കുറച്ച് നേരം എന്നെ കാത്തിരിക്കുക.
钥匙	తాళం చెవి	ఈ రోజు తాళం చెవి తీసుకురావడం మర్చిపోయాను.	ಚಾವಿ	ಇಂದು ಚಾವಿ ತರಲು ಮರೆತಿದ್ದೇನೆ.	താക്കോൽ	ഇന്ന് താക്കോൽ കൊണ്ടുവരാൻ ഞാൻ മറന്നു.
也许	బహుశా; కావచ్చు	అతను బహుశా రాడు.	ಬಹುಶಃ; ಇರಬಹುದು	ಅವನು ಬಹುಶಃ ಬರುವುದಿಲ್ಲ.	ബഹുശാ; ഉണ്ടാകാം	അവൻ ബഹുശാ വരില്ല.
叶子	ఆకు	వసంతం వచ్చింది, చిన్న చెట్లకు కొత్త ఆకులు వచ్చాయి.	ಎಲೆ	ವಸಂತ ಬಂದಿದೆ, ಚಿಕ್ಕ ಮರಗಳಿಗೆ ಹೊಸ ಎಲೆಗಳು ಬಂದಿವೆ.	ഇല	വസന്തം വന്നു, ചെറുമരങ്ങളിൽ പുതിയ ഇലകൾ മുളച്ചു.
页	పేజీ	దయచేసి పదో పేజీకి తిప్పండి.	ಪುಟ	ದಯವಿಟ್ಟು ಹತ್ತನೇ ಪುಟಕ್ಕೆ ತಿರುಗಿ.	പേജ്	ദയവായി പത്താം പേജിലേക്ക് തിരിക്കൂ.
一切	అన్నీ; సమస్తం	ఇంటిలోని అన్ని విషయాలకు అమ్మే బాధ్యత వహిస్తుంది.	ಎಲ್ಲವೂ; ಸಮಸ್ತ	ಮನೆಯಲ್ಲಿ ಎಲ್ಲ ಕೆಲಸಗಳಿಗೂ ಅಮ್ಮವೇ ಜವಾಬ್ದಾರಿ.	എല്ലാം; സമസ്തം	വീട്ടിലെ എല്ലാകാര്യങ്ങൾക്കും അമ്മയാണ് ഉത്തരവാദി.
以	గా తీసుకోవడం; ఆధారంగా	దయచేసి ఈ వాక్యాన్ని ఉదాహరణగా తీసుకోండి.	ಆಗಿ ತೆಗೆದುಕೊಳ್ಳುವುದು; ಆಧಾರವಾಗಿ	ದಯವಿಟ್ಟು ಈ ವಾಕ್ಯವನ್ನು ಉದಾಹರಣೆಯಾಗಿ ತೆಗೆದುಕೊಳ್ಳಿ.	ആയി എടുക്കുക; അടിസ്ഥാനമാക്കുക	ദയവായി ഈ വാക്യം ഉദാഹരണമായി എടുക്കൂ.
以为	అనుకోవడం; నమ్మడం	నువ్వు ఇప్పటికే వెళ్లిపోయావని నేను అనుకున్నాను.	ಅಂದುಕೊಳ್ಳುವುದು; ನಂಬುವುದು	ನೀನು ಈಗಾಗಲೇ ಹೋಗಿದ್ದೀಯೆಂದು ನಾನು ಅಂದುಕೊಂಡೆ.	കരുതുക; വിശ്വസിക്കുക	നീ ഇതിനകം പോയെന്ന് ഞാൻ കരുതി.
意见	అభిప్రాయం; సూచన	నీ అభిప్రాయాలన్నింటినీ నేను అంగీకరిస్తాను.	ಅಭಿಪ್ರಾಯ; ಸಲಹೆ	ನಿನ್ನ ಎಲ್ಲ ಅಭಿಪ್ರಾಯಗಳನ್ನು ನಾನು ಒಪ್ಪುತ್ತೇನೆ.	അഭിപ്രായം; നിർദേശം	നിന്റെ എല്ലാ അഭിപ്രായങ്ങളും ഞാൻ അംഗീകരിക്കുന്നു.
艺术	కళ	నాకు కళపై చాలా ఆసక్తి ఉంది.	ಕಲೆ	ನನಗೆ ಕಲೆಯಲ್ಲಿ ತುಂಬಾ ಆಸಕ್ತಿ ಇದೆ.	കല	എനിക്ക് കലയോട് വളരെ താൽപ്പര്യമുണ്ട്.
因此	అందువల్ల; కాబట్టి	అతనికి అనారోగ్యం వచ్చింది, అందువల్ల తరగతికి రాలేదు.	ಆದ್ದರಿಂದ; ಅದರ ಫಲವಾಗಿ	ಅವನು ಅಸ್ವಸ್ಥನಾಗಿದ್ದ, ಆದ್ದರಿಂದ ತರಗತಿಗೆ ಬರಲಿಲ್ಲ.	അതുകൊണ്ട്; അതിനാൽ	അവന് അസുഖമായി, അതുകൊണ്ട് ക്ലാസിലേക്ക് വന്നില്ല.
引起	కలిగించడం; కారణమవడం	ఈ విషయం అందరిలో అసంతృప్తి కలిగించింది.	ಉಂಟುಮಾಡುವುದು; ಕಾರಣವಾಗುವುದು	ಈ ವಿಷಯ ಎಲ್ಲರ ಅಸಮಾಧಾನಕ್ಕೆ ಕಾರಣವಾಯಿತು.	ഉണ്ടാക്കുക; കാരണമാകുക	ഈ കാര്യം എല്ലാവരിലും അസന്തോഷം ഉണ്ടാക്കി.
印象	ముద్ర; అభిప్రాయం	అతను నాపై చాలా మంచి ముద్ర వేశాడు.	ಅಭಿಪ್ರಾಯ; ಮುದ್ರೆ	ಅವನು ನನ್ನ ಮೇಲೆ ತುಂಬಾ ಒಳ್ಳೆಯ ಅಭಿಪ್ರಾಯ ಬಿಟ್ಟನು.	മുദ്ര; സ്വാധീനം	അവൻ എന്നിൽ വളരെ നല്ല മുദ്ര പതിപ്പിച്ചു.
赢	గెలవడం	నిన్నటి ఫుట్‌బాల్ మ్యాచ్‌లో ఎవరు గెలిచారు?	ಗೆಲ್ಲುವುದು	ನಿನ್ನೆ ನಡೆದ ಫುಟ್‌ಬಾಲ್ ಪಂದ್ಯದಲ್ಲಿ ಯಾರು ಗೆದ್ದರು?	ജയിക്കുക	ഇന്നലെ നടന്ന ഫുട്ബോൾ മത്സരത്തിൽ ആര് ജയിച്ചു?
应聘	ఉద్యోగానికి దరఖాస్తు చేయడం	ఆమె ఈ ఉద్యోగానికి దరఖాస్తు చేయాలనుకుంటుంది.	ಕೆಲಸಕ್ಕೆ ಅರ್ಜಿ ಹಾಕುವುದು	ಅವಳು ಈ ಕೆಲಸಕ್ಕೆ ಅರ್ಜಿ ಹಾಕಲು ಬಯಸುತ್ತಾಳೆ.	ജോലിക്ക് അപേക്ഷിക്കുക	അവൾ ഈ ജോലിക്ക് അപേക്ഷിക്കാൻ ആഗ്രഹിക്കുന്നു.
勇敢	ధైర్యమైన	అన్నయ్య చాలా ధైర్యమైన మనిషి.	ಧೈರ್ಯಶಾಲಿ	ಅಣ್ಣ ತುಂಬಾ ಧೈರ್ಯಶಾಲಿ ವ್ಯಕ್ತಿ.	ധൈര്യശാലിയായ	എന്റെ ചേട്ടൻ വളരെ ധൈര്യശാലിയാണ്.
永远	ఎప్పటికీ; శాశ్వతంగా	నువ్వు నాకు చేసిన సహాయాన్ని నేను ఎప్పటికీ మర్చిపోను.	ಎಂದಿಗೂ; ಸದಾಕಾಲ	ನೀನು ನನಗೆ ಮಾಡಿದ ಸಹಾಯವನ್ನು ನಾನು ಎಂದಿಗೂ ಮರೆಯುವುದಿಲ್ಲ.	എന്നേക്കും; ഒരിക്കലും	നീ എനിക്ക് ചെയ്ത സഹായം ഞാൻ ഒരിക്കലും മറക്കില്ല.
优点	గుణం; బలం	మనిషి తన లోపాలను ఇతరుల గుణాలతో పోల్చకూడదు.	ಗುಣ; ಬಲವಾದ ಅಂಶ	ಮನುಷ್ಯನು ತನ್ನ ದೋಷಗಳನ್ನು ಇತರರ ಗುಣಗಳೊಂದಿಗೆ ಹೋಲಿಸಬಾರದು.	ഗുണം; ശക്തി	ഒരാൾ സ്വന്തം കുറവുകളെ മറ്റുള്ളവരുടെ ഗുണങ്ങളുമായി താരതമ്യം ചെയ്യരുത്.
优秀	అత్యుత్తమమైన; అద్భుతమైన	అతను చాలా అద్భుతమైన డాక్టర్.	ಅತ್ಯುತ್ತಮ; ಶ್ರೇಷ್ಠ	ಅವನು ಅತ್ಯುತ್ತಮ ವೈದ್ಯ.	മികവുറ്റ; ഉത്തമമായ	അവൻ വളരെ മികവുറ്റ ഡോക്ടറാണ്.
幽默	హాస్యభరితమైన; హాస్యం	లీ ప్రొఫెసర్ మాటలు చాలా హాస్యభరితంగా ఉంటాయి.	ಹಾಸ್ಯಭರಿತ; ಹಾಸ್ಯ	ಲಿ ಪ್ರಾಧ್ಯಾಪಕರು ತುಂಬಾ ಹಾಸ್ಯಭರಿತವಾಗಿ ಮಾತನಾಡುತ್ತಾರೆ.	ഹാസ്യപരമായ; ഹാസ്യം	ലി പ്രൊഫസർ വളരെ ഹാസ്യത്തോടെ സംസാരിക്കുന്നു.
尤其	ప్రత్యేకంగా; ముఖ్యంగా	అతనికి చిత్రాలు గీయడం ఇష్టం, ముఖ్యంగా చైనీస్ చిత్రాలు.	ವಿಶೇಷವಾಗಿ; ಮುಖ್ಯವಾಗಿ	ಅವನಿಗೆ ಚಿತ್ರ ಬಿಡಿಸುವುದು ಇಷ್ಟ, ವಿಶೇಷವಾಗಿ ಚೀನೀ ಚಿತ್ರ ಬಿಡಿಸುವುದು.	പ്രത്യേകിച്ച്; പ്രധാനമായി	അവന് ചിത്രരചന ഇഷ്ടമാണ്, പ്രത്യേകിച്ച് ചൈനീസ് ചിത്രങ്ങൾ വരയ്ക്കുന്നത്.
由	చేత; ద్వారా	ఈ కార్యక్రమాన్ని మేమే నిర్వహిస్తాము.	ಮೂಲಕ; ಇಂದ	ಈ ಕಾರ್ಯಕ್ರಮವನ್ನು ನಾವು ಆಯೋಜಿಸುತ್ತೇವೆ.	കൊണ്ട്; വഴി	ഈ പരിപാടി ഞങ്ങളാണ് സംഘടിപ്പിക്കുന്നത്.
由于	కారణంగా; వల్ల	వర్షం కారణంగా మ్యాచ్ వాయిదా పడింది.	ಕಾರಣದಿಂದ; ಕಾರಣವಾಗಿ	ಮಳೆಯ ಕಾರಣದಿಂದ ಪಂದ್ಯ ಮುಂದೂಡಲಾಯಿತು.	കാരണം; മൂലം	മഴ കാരണം മത്സരം മാറ്റിവെച്ചു.
邮局	తపాలా కార్యాలయం	తపాలా కార్యాలయం ఉదయం తొమ్మిది గంటలకు తెరుస్తుంది.	ಅಂಚೆ ಕಚೇರಿ	ಅಂಚೆ ಕಚೇರಿ ಬೆಳಿಗ್ಗೆ ಒಂಬತ್ತು ಗಂಟೆಗೆ ತೆರೆದಿಡುತ್ತದೆ.	തപാൽ ഓഫീസ്	തപാൽ ഓഫീസ് രാവിലെ ഒൻപത് മണിക്ക് തുറക്കും.
友好	స్నేహపూర్వకమైన	నా ఇంటి యజమాని చాలా స్నేహపూర్వకంగా ఉంటారు, తరచూ నాకు సహాయం చేస్తారు.	ಸ್ನೇಹಪರ	ನನ್ನ ಮನೆ ಮಾಲೀಕರು ತುಂಬಾ ಸ್ನೇಹಪರರು, ಆಗಾಗ ನನಗೆ ಸಹಾಯ ಮಾಡುತ್ತಾರೆ.	സൗഹൃദപരമായ	എന്റെ വീട്ടുടമ വളരെ സൗഹൃദപരനാണ്, പലപ്പോഴും എന്നെ സഹായിക്കുന്നു.
友谊	స్నేహం	మన మధ్య చాలా గాఢమైన స్నేహం ఉంది.	ಸ್ನೇಹ	ನಮ್ಮ ನಡುವೆ ತುಂಬಾ ಗಾಢ ಸ್ನೇಹವಿದೆ.	സൗഹൃദം	ഞങ്ങള്ക്കിടയിൽ വളരെ ഗാഢമായ സൗഹൃദമുണ്ട്.
有趣	ఆసక్తికరమైన	ఇది నిజంగా ఆసక్తికరమైన కల!	ಆಸಕ್ತಿಕರ	ಇದು ನಿಜವಾಗಿಯೂ ಆಸಕ್ತಿಕರ ಕನಸು!	രസകരമായ	ഇത് ശരിക്കും രസകരമായൊരു സ്വപ്നമാണ്!
于是	అందుకే; కాబట్టి	అతనిని అడగాల్సిన విషయం ఉంది, అందుకే అతనికి ఫోన్ చేశాను.	ಆದ್ದರಿಂದ; ಹೀಗಾಗಿ	ಅವನನ್ನು ಏನೋ ಕೇಳಬೇಕಿತ್ತು, ಆದ್ದರಿಂದ ಅವನಿಗೆ ಫೋನ್ ಮಾಡಿದೆ.	അതുകൊണ്ട്; അങ്ങനെ	അവനോട് എന്തോ ചോദിക്കാനുണ്ടായിരുന്നു, അതുകൊണ്ട് ഞാൻ അവനെ വിളിച്ചു.
愉快	ఆనందకరమైన; సంతోషకరమైన	నీకు ఆనందకరమైన వారాంతం కావాలి!	ಆನಂದಕರ; ಸಂತೋಷದ	ನಿನಗೆ ಸಂತೋಷದ ವಾರಾಂತ್ಯವಾಗಲಿ!	സന്തോഷകരമായ; ആനന്ദകരമായ	നിനക്ക് നല്ലൊരു വാരാന്ത്യം ആശംസിക്കുന്നു!
与	తో	అతనికి చాలా ఆత్మవిశ్వాసం ఉంది, ఇతరులతో పోటీ పడటం ఇష్టం.	ಜೊತೆಗೆ; ಜೊತೆ	ಅವನಿಗೆ ತುಂಬಾ ಆತ್ಮವಿಶ್ವಾಸವಿದೆ, ಇತರರೊಂದಿಗೆ ಸ್ಪರ್ಧಿಸಲು ಇಷ್ಟ.	കൂടെ; ഒപ്പം	അവൻ വളരെ ആത്മവിശ്വാസമുള്ളവനാണ്, മറ്റുള്ളവരോട് മത്സരിക്കാൻ ഇഷ്ടപ്പെടുന്നു.
羽毛球	బ్యాడ్మింటన్	నువ్వు తరచుగా బ్యాడ్మింటన్ ఆడుతావా?	ಬ್ಯಾಡ್ಮಿಂಟನ್	ನೀನು ಆಗಾಗ ಬ್ಯಾಡ್ಮಿಂಟನ್ ಆಡುತ್ತೀಯಾ?	ബാഡ്മിന്റൺ	നീ പതിവായി ബാഡ്മിന്റൺ കളിക്കാറുണ്ടോ?
语法	వ్యాకరణం	నేను కొన్ని ప్రాథమిక వ్యాకరణ జ్ఞానం నేర్చుకున్నాను.	ವ್ಯಾಕರಣ	ನಾನು ಕೆಲವು ಮೂಲಭೂತ ವ್ಯಾಕರಣ ಜ್ಞಾನ ಕಲಿತಿದ್ದೇನೆ.	വ്യാകരണം	ഞാൻ കുറച്ച് അടിസ്ഥാന വ്യാകരണജ്ഞാനം പഠിച്ചു.
语言	భాష	ఒక భాష నేర్చుకోవడానికి దాని వ్యాకరణంపై కొంత అవగాహన అవసరం.	ಭಾಷೆ	ಒಂದು ಭಾಷೆ ಕಲಿಯಲು ಅದರ ವ್ಯಾಕರಣದ ಬಗ್ಗೆ ಸ್ವಲ್ಪ ಅರಿವು ಬೇಕು.	ഭാഷ	ഒരു ഭാഷ പഠിക്കാൻ അതിന്റെ വ്യാകരണത്തെക്കുറിച്ച് കുറച്ച് അറിവ് വേണം.
预习	ముందుగా పాఠం సిద్ధం కావడం	దయచేసి అందరూ పాఠ్యాన్ని బాగా ముందుగా చదివి సిద్ధం అవ్వండి.	ಮುಂಚಿತವಾಗಿ ಪಾಠ ಓದುವುದು	ದಯವಿಟ್ಟು ಎಲ್ಲರೂ ಪಾಠವನ್ನು ಚೆನ್ನಾಗಿ ಮುಂಚಿತವಾಗಿ ಓದಿ ಸಿದ್ಧರಾಗಿ.	മുൻകൂട്ടി പാഠം പഠിക്കുക	ദയവായി എല്ലാവരും പാഠഭാഗം നന്നായി മുൻകൂട്ടി വായിച്ച് തയ്യാറാകൂ.
原来	మునుపటి; అసలు	నేను ఇంకా మునుపటి చోటే ఉంటున్నాను.	ಹಳೆಯ; ಮೂಲ	ನಾನು ಇನ್ನೂ ಹಳೆಯ ಸ್ಥಳದಲ್ಲೇ ವಾಸಿಸುತ್ತಿದ್ದೇನೆ.	പഴയ; ആദിമമായ	ഞാൻ ഇനിയും പഴയ സ്ഥലത്താണ് താമസിക്കുന്നത്.
原谅	క్షమించడం	నేను ఇప్పుడే చెప్పిన మాటలను దయచేసి క్షమించండి.	ಕ್ಷಮಿಸುವುದು	ನಾನು ಈಗ ತಾನೆ ಹೇಳಿದ ಮಾತುಗಳನ್ನು ದಯವಿಟ್ಟು ಕ್ಷಮಿಸಿ.	ക്ഷമിക്കുക	ഞാൻ ഇപ്പോൾ പറഞ്ഞ വാക്കുകൾ ദയവായി ക്ഷമിക്കൂ.
原因	కారణం	అతను కారణాన్ని చాలా స్పష్టంగా వివరించాడు.	ಕಾರಣ	ಅವನು ಕಾರಣವನ್ನು ತುಂಬಾ ಸ್ಪಷ್ಟವಾಗಿ ವಿವರಿಸಿದನು.	കാരണം	അവൻ കാരണം വളരെ വ്യക്തമായി വിശദീകരിച്ചു.
约会	డేట్; అపాయింట్‌మెంట్	ఆమె చిన్న లీతో డేటింగ్ ప్రారంభించింది.	ಭೇಟಿ; ಡೇಟ್	ಅವಳು ಚಿಕ್ಕ ಲಿಯೊಂದಿಗೆ ಡೇಟ್ ಮಾಡಲು ಆರಂಭಿಸಿದಳು.	കൂടിക്കാഴ്ച; ഡേറ്റ്	അവൾ ചെറിയ ലിയുമായി കൂടിക്കാഴ്ച തുടങ്ങി.
阅读	చదవడం	నేను ఈ నవల చదువుతున్నాను.	ಓದುವುದು	ನಾನು ಈ ಕಾದಂಬರಿಯನ್ನು ಓದುತ್ತಿದ್ದೇನೆ.	വായിക്കുക; വായന	ഞാൻ ഈ നോവൽ വായിച്ചുകൊണ്ടിരിക്കുകയാണ്.
云	మేఘం	ఆకాశంలో మేఘాలు క్రమంగా ఎక్కువవుతున్నాయి.	ಮೋಡ	ಆಕಾಶದಲ್ಲಿನ ಮೋಡಗಳು ಕ್ರಮೇಣ ಹೆಚ್ಚಾಗುತ್ತಿವೆ.	മേഘം	ആകാശത്തിലെ മേഘങ്ങൾ ക്രമേണ കൂടുന്നു.
允许	అనుమతించడం	దయచేసి నేను నా పరిచయం చేసుకోవడానికి అనుమతించండి.	ಅನುಮತಿಸುವುದು	ದಯವಿಟ್ಟು ನನಗೆ ಸ್ವಯಂ ಪರಿಚಯ ಮಾಡಿಕೊಳ್ಳಲು ಅವಕಾಶ ನೀಡಿ.	അനുവദിക്കുക	ദയവായി എന്നെ സ്വയം പരിചയപ്പെടുത്താൻ അനുവദിക്കൂ.
杂志	పత్రిక; మేగజైన్	ఈ పత్రికలోని వ్యాసాలు అన్నీ బాగా రాయబడ్డాయి.	ಮಾಸಪತ್ರಿಕೆ; ಪತ್ರಿಕೆ	ಈ ಮಾಸಪತ್ರಿಕೆಯಲ್ಲಿನ ಲೇಖನಗಳು ಎಲ್ಲವೂ ಚೆನ್ನಾಗಿ ಬರೆಯಲ್ಪಟ್ಟಿವೆ.	മാസിക	ഈ മാസികയിലെ ലേഖനങ്ങൾ എല്ലാം നന്നായി എഴുതിയവയാണ്.
咱们	మనము; మనం	ఈ నెల మన జీవన ఖర్చులు ఎంత?	ನಾವು; ನಮ್ಮವರು	ಈ ತಿಂಗಳ ನಮ್ಮ ಜೀವನ ವೆಚ್ಚ ಎಷ್ಟು?	നാം; നമ്മൾ	ഈ മാസത്തെ നമ്മുടെ ജീവിതച്ചെലവ് എത്രയാണ്?
暂时	తాత్కాలికంగా	అతను కారును తాత్కాలికంగా రహదారి పక్కన ఆపాడు.	ತಾತ್ಕಾಲಿಕವಾಗಿ	ಅವನು ಕಾರನ್ನು ತಾತ್ಕಾಲಿಕವಾಗಿ ರಸ್ತೆಯ ಬದಿಯಲ್ಲಿ ನಿಲ್ಲಿಸಿದನು.	താൽക്കാലികമായി	അവൻ കാർ താൽക്കാലികമായി വഴിയരികിൽ നിർത്തി.
脏	మురికిగా ఉన్న	నేను జాగ్రత్త లేకుండా బట్టలు మురికిగా చేసేశాను.	ಕಳೆಗುಂದಿದ; ಅಸುದ್ಧ	ನಾನು ಅಜಾಗರೂಕತೆಯಿಂದ ಬಟ್ಟೆಗಳನ್ನು ಅಸುದ್ಧಗೊಳಿಸಿದೆ.	അഴുക്കായ	ഞാൻ അബദ്ധത്തിൽ വസ്ത്രം അഴുക്കാക്കി.
责任	బాధ్యత; కర్తవ్యం	ఈ విషయంలో మన అందరికీ బాధ్యత ఉంది.	ಜವಾಬ್ದಾರಿ; ಕರ್ತವ್ಯ	ಈ ವಿಷಯದಲ್ಲಿ ನಮ್ಮೆಲ್ಲರಿಗೂ ಜವಾಬ್ದಾರಿ ಇದೆ.	ഉത്തരവാദിത്തം; കടമ	ഈ കാര്യത്തിൽ നമുക്കെല്ലാവർക്കും ഉത്തരവാദിത്തമുണ്ട്.
增加	పెరగడం; పెంచడం	ఈ సంవత్సరం విద్యార్థుల సంఖ్య పెరిగింది.	ಹೆಚ್ಚಾಗುವುದು; ಹೆಚ್ಚಿಸುವುದು	ಈ ವರ್ಷ ವಿದ್ಯಾರ್ಥಿಗಳ ಸಂಖ್ಯೆ ಹೆಚ್ಚಾಗಿದೆ.	കൂടുക; വർധിപ്പിക്കുക	ഈ വർഷം വിദ്യാർത്ഥികളുടെ എണ്ണം വർധിച്ചു.
占线	ఫోన్ బిజీగా ఉండడం	నేను వరుసగా ఎన్నోసార్లు ఫోన్ చేశాను, అతని ఫోన్ అంతా బిజీగా ఉంది.	ಫೋನ್ ಬ್ಯುಸಿ ಇರುವುದು	ನಾನು ಹಲವಾರು ಬಾರಿ ಕರೆ ಮಾಡಿದೆ, ಅವನ ಫೋನ್ ಎಲ್ಲ ಸಲವೂ ಬ್ಯುಸಿ ಇತ್ತು.	ഫോൺ തിരക്കിലാണ്	ഞാൻ പല തവണ വിളിച്ചു, അവന്റെ ഫോൺ എല്ലായ്പ്പോഴും തിരക്കിലായിരുന്നു.
招聘	నియామకం; ఉద్యోగుల్ని తీసుకోవడం	కంపెనీ కొత్త ఉద్యోగులను నియమిస్తోంది.	ನೇಮಕಾತಿ; ನೇಮಿಸುವುದು	ಕಂಪನಿ ಹೊಸ ಉದ್ಯೋಗಿಗಳನ್ನು ನೇಮಿಸುತ್ತಿದೆ.	നിയമനം; ജോലിക്കെടുക്കുക	കമ്പനി പുതിയ ജീവനക്കാരെ നിയമിക്കുന്നു.
照	ప్రకారం; అనుసరించడం	ఈ ప్రణాళిక ప్రకారం చేయండి.	ಪ್ರಕಾರ; ಅನುಸರಿಸುವುದು	ಈ ಯೋಜನೆಯ ಪ್ರಕಾರ ಮಾಡಿ.	പ്രകാരം; പിന്തുടരുക	ഈ പദ്ധതിപ്രകാരം ചെയ്യൂ.
真正	నిజమైన; అసలైన	నిజమైన స్నేహితుడు నువ్వు కష్టంలో ఉన్నప్పుడు సహాయం చేస్తాడు.	ನಿಜವಾದ; ಸತ್ಯವಾದ	ನಿಜವಾದ ಸ್ನೇಹಿತನು ನೀನು ಕಷ್ಟದಲ್ಲಿ ಇದ್ದಾಗ ಸಹಾಯ ಮಾಡುತ್ತಾನೆ.	യഥാർത്ഥമായ; ശരിയായ	യഥാർത്ഥ സുഹൃത്ത് ബുദ്ധിമുട്ടിൽ നിന്നെ സഹായിക്കും.
