simplified	TL	example_TL
领先	nangunguna	Kasalukuyang nangunguna sa kaparehong larangan ang kanilang teknolohiya.
领袖	pinuno	Lubos na iginagalang ng mga tao ang pinunong ito.
溜	makawala	Nakawala ang tuta sa siwang ng pinto.
流浪	gumala	Noong bata pa siya, minsan siyang gumala sa iba't ibang lugar.
流露	maipakita	Nakikita sa mukha niya ang saya.
流氓	istambay	Nahuli ng pulisya ang ilang istambay sa kalye.
流通	umiral	Dating umiral sa lokalidad ang perang ito.
留恋	manghinayang umalis	Nang magtapos, nanghinayang umalis ang lahat sa campus.
留念	alaala	Nagpa-picture kami sa gate ng paaralan bilang alaala.
留神	mag-ingat	Dapat talagang mag-ingat kapag tumatawid ng kalsada.
聋哑	bingi at pipi	Nagbibigay ng tulong ang paaralan sa mga batang bingi at pipi.
隆重	marangal	Marangal na idinaos ang kumperensya sa auditorium.
垄断	monopolyo	Maaaring makasama sa kompetisyon sa merkado ang monopolyo.
笼罩	balutin	Binalot ng makapal na hamog ang buong nayon.
搂	yakapin	Dahan-dahang niyakap ng ina ang bata.
炉灶	kalan	Kailangang linisin ang kalan sa kusina.
轮船	barko	Dahan-dahang umalis ang barko sa daungan.
轮廓	balangkas	Napakalinaw ng balangkas ng malalayong tuktok ng bundok.
轮胎	gulong	Kailangang palitan ang mga gulong ng kotse.
论坛	forum	Nagbigay ng talumpati ang mga eksperto sa forum.
论证	patunay	Kailangan pang palakasin ng ulat ang patunay para sa argumento nito.
啰唆	madaldal	Huwag nang madaldal, sabihin mo agad ang punto.
络绎不绝	walang patid	Walang patid na dumating ang mga turista sa sinaunang lungsod.
落成	makompleto	Opisyal na makokompleto bukas ang bagong gymnasium.
落实	ipatupad	Hiniling ng pulong na agad ipatupad ang bagong patakaran.
屡次	paulit-ulit	Paulit-ulit niyang pinaalalahanan ang lahat na mag-ingat.
履行	tuparin	Dapat tuparin ng dalawang panig ang obligasyon sa kontrata.
掠夺	pandarambong	Nagdulot ang digmaan ng pandarambong sa mga yaman.
嘛	naman	Simple naman ang bagay na ito.
麻痹	kampante	Ang matagal na maayos na takbo ay madaling magpakampante sa tao.
麻木	manhid	Pinamanhid ng lamig ang kanyang mga daliri.
麻醉	anesthesia	Bago ang operasyon, binigyan ng anesthesia ng doktor ang pasyente.
码头	pier	Dumaong ang cargo ship sa tabi ng pier.
蚂蚁	langgam	Nagdadala ng pagkain ang mga langgam.
埋伏	tambang	Nagtambang ang mga sundalo sa lambak.
埋没	maibaon	Huwag hayaang maibaon at hindi mapansin ang talento.
埋葬	ilibing	Inilibing ng mga taganayon ang matanda sa gilid ng bundok.
脉搏	pulso	Sinusukat ng nars ang kanyang pulso.
迈	humakbang	Humakbang siya nang malaki patungo sa pintuan.
埋怨	sisihin	Huwag laging sisihin ang iba.
慢性	talamak	Kailangan ng pangmatagalang gamutan ang talamak na sakit.
漫长	napakahaba	Dumaan sila sa napakahabang paghihintay.
漫画	komiks	Sikat na sikat sa kabataan ang komiks na ito.
蔓延	kumalat	Mabilis kumalat ang apoy papasok sa kagubatan.
忙碌	abala	Pinakaabala ang katapusan ng taon sa kumpanya.
盲目	bulag-bulagan	Hindi dapat bulag-bulag na sumunod sa uso ang pamumuhunan.
茫茫	napakalawak	Naglaho ang bangka sa napakalawak na dagat.
茫然	blangko	Matapos marinig ang paliwanag, blangko pa rin ang mukha niya.
冒充	magpanggap	May nagpanggap na pulis para manloko ng pera.
冒犯	makasakit	Hindi ko sinadyang makasakit sa sinabi ko.
茂盛	malago	Malago ang paglaki ng mga puno sa bakuran.
媒介	medium	Mahalagang medium ng impormasyon ang internet.
枚	piraso	Nangolekta siya ng ilang pirasong commemorative coin.
美观	maganda	Praktikal at maganda ang disenyong ito.
美满	masaya	Mayroon silang masaya at buo na buhay.
美妙	kahanga-hanga	Nagdala ng kahanga-hangang karanasan ang konsiyerto.
萌芽	usbong	Nagsimulang umusbong ang bagong ideya.
猛烈	marahas	Marahas ang dating ng bagyo.
眯	pumikit nang bahagya	Masyadong malakas ang araw kaya pumikit siya nang bahagya.
弥补	punan	Hindi ganap na mapupunan ng paghingi ng tawad ang pinsala.
弥漫	umalingasaw	Umalingasaw sa bakuran ang bango ng mga bulaklak.
谜语	bugtong	Mahilig manghula ng bugtong ang mga bata.
迷惑	malito	Nalito siya sa komplikadong datos.
迷人	kaakit-akit	Napakaakit-akit ng tanawin sa tabing-dagat sa gabi.
迷信	pamahiin	Maaaring bawasan ng edukasyong siyentipiko ang pamahiin.
密度	densidad	Mataas ang densidad ng metal na ito.
密封	selyuhan	Paki selyuhan ulit ang bag pagkatapos buksan.
棉花	bulak	Kumukuha ng bulak ang mga magsasaka.
免得	para hindi	Umalis nang mas maaga para hindi mahuli.
免疫	imyunidad	Kayang pataasin ng bakunang ito ang imyunidad.
勉励	hikayatin	Madalas hikayatin ng guro ang mga estudyante na magpatuloy sa pag-aaral.
勉强	napilitan	Napilitan siyang pumayag sa kaayusang ito.
面貌	anyo	Malaki ang nagbago sa anyo ng lungsod.
面子	mukha	Ayaw niyang mapahiya sa harap ng publiko.
描绘	ilarawan	Inilarawan ng nobela ang buhay sa kanayunan.
瞄准	tutukan	Tinutukan ng tagabaril ang target.
渺小	maliit	Mukhang napakaliit ng tao sa harap ng kalikasan.
藐视	maliitin	Hindi natin dapat maliitin ang kahit sinong kalaban.
灭亡	pagbagsak	Sa huli, tumungo sa pagbagsak ang dinastiyang ito.
蔑视	panghahamak	Puno ng panghahamak ang tono niya.
民间	bayan	Kailangang protektahan ang sining-bayan.
民主	demokrasya	Gumamit ang pulong ng demokratikong pagboto.
敏捷	mabilis	Napakamabilis ng galaw ng atleta.
敏锐	matalas	Kailangan ng reporter ng matalas na obserbasyon.
名次	ranggo	Nakakuha siya ng magandang ranggo sa paligsahan.
名额	slot	Sampung slot lang ang mayroon sa programang ito.
名副其实	tunay	Tunay siyang eksperto, hindi sa pangalan lang.
名誉	reputasyon	Nasira ng bagay na ito ang reputasyon ng kumpanya.
明明	malinaw	Malinaw na alam niya ang sagot pero ayaw niyang sabihin.
明智	matalino	Matalinong pagpili ang pagpapaliban ng desisyon.
命名	pangalanan	Pinangalanan ng mga siyentipiko ang bagong species.
摸索	saliksikin	Sinasaliksik pa rin ng koponan ang bagong paraan.
摩擦	alitan sa kalakalan	Nagkaroon ng alitan sa kalakalan sa pagitan ng dalawang bansa.
模范	huwaran	Huwaran siya ng lahat ng estudyante sa paaralan.
模式	modelo	Matagumpay ang modelong pangnegosyong ito.
模型	modelo	Gumawa ang engineer ng modelo ng tulay.
磨合	mag-adjust	Kailangan ng bagong koponan ng panahon para mag-adjust sa isa't isa.
膜	lamad	Kayang salain ng lamad na ito ang mga dumi.
魔鬼	demonyo	Napakatuso ng demonyo sa kuwento.
魔术	mahika	Mahilig manood ng palabas ng mahika ang mga bata.
抹杀	burahin	Hindi maaaring burahin ang kanyang ambag.
墨水儿	tinta	Paubos na ang tinta sa fountain pen.
莫名其妙	hindi maintindihan	Hindi maintindihan ng mga tao ang reaksyon niya.
默默	tahimik	Tahimik niyang tinulungan ang maraming tao.
谋求	hanapin	Naghahanap ang negosyo ng bagong pagkakataon sa pag-unlad.
模样	anyo	Malaki na ang nagbago sa anyo niya ngayon.
母语	katutubong wika	Natututo ang mga bata ng katutubong wika mula pagkabata.
沐浴	maligo sa	Naliligo sa sikat ng araw ang nayon sa umaga.
目睹	masaksihan	Maraming tao ang nakasaksi sa aksidenteng ito.
目光	tingin	Nakatutok sa entablado ang tingin ng lahat.
拿手	specialty	Nasa specialty niya ang braised fish.
纳闷儿	magtaka	Patuloy akong nagtataka kung bakit siya nahuli.
耐用	matibay	Matibay ang pares ng sapatos na ito.
南辕北辙	salungat sa layunin	Salungat sa layunin ang paraan niya.
难得	bihira	Bihirang pagkakataon ito.
难堪	napahiya	Napahiya siya sa tanong na ito.
难能可贵	kapuri-puri	Kapuri-puri ang manatiling tapat sa ilalim ng pressure.
恼火	mainis	Nasira na naman ang kagamitan kaya nainis siya.
内涵	diwa	May mayamang diwang pangkultura ang salitang ito.
内幕	kuwento sa likod	Sinubukan ng reporter na imbestigahan ang kuwento sa likod ng insidente.
内在	panloob	Mas pinahahalagahan niya ang panloob na katangian ng tao.
能量	enerhiya	Nagbigay sa akin ng maraming enerhiya ang almusal na ito.
拟定	balangkasin	Binabalangkas ng sekretarya ang agenda ng pulong.
逆行	sumalungat sa direksyon	Sumalangat sa direksyon ang kotseng iyon sa one-way street.
年度	taunan	Inilathala ng kumpanya ang taunang ulat.
捏	pisilin	Bahagya niyang pinisil ang pisngi ng bata.
凝固	tumigas	Matapos lumamig, unti-unting titigas ang wax.
凝聚	pagbuklurin	Kayang pagbuklurin ng iisang layunin ang lakas ng koponan.
凝视	tumitig	Tumitig siya sa mga ilaw sa malayo.
拧	pisilin	Pinisil niya ako minsan gamit ang kamay.
宁肯	mas gugustuhin	Mas gugustuhin niyang mabigo kaysa talikuran ang prinsipyo.
宁愿	mas gusto	Mas gusto kong maglakad kaysa maghintay ng bus.
扭转	baligtarin	Binaligtad ng bagong patakaran ang sitwasyon ng pagkalugi.
纽扣儿	butones	Nalaglag ang isang butones ng kamisetang ito.
农历	kalendaryong lunar	Ipinagdiriwang ang Spring Festival ayon sa kalendaryong lunar.
浓厚	malakas	Matindi ang kanyang interes sa kasaysayan.
奴隶	alipin	May sistemang alipin sa sinaunang lipunan.
挪	iusog	Paki iusog nang kaunti sa gilid ang upuan.
虐待	abusuhin	Ipinagbabawal ng batas ang pag-abuso sa mga bata.
哦	oh	Oh, sa wakas naintindihan ko na.
殴打	bugbugin	Inaresto ng pulisya ang taong bumugbog sa dumaraan.
偶像	idolo	Itinuturing niyang idolo ang manunulat na iyon.
呕吐	sumuka	Nagsimula siyang sumuka matapos kumain ng sirang pagkain.
趴	dumapa	Nakadapa ang kuting sa pasimano ng bintana habang natutulog.
徘徊	magpaikot-ikot	Matagal siyang nagpaikot-ikot sa pintuan.
排斥	itaboy	Itinataboy ng bagong materyal ang halumigmig.
排除	alisin	Inalis muna ng doktor ang posibilidad ng malubhang sakit.
排放	emisyon	Kailangang bawasan ng mga pabrika ang emisyon ng usok.
排练	mag-ensayo	Nag-eensayo ang mga aktor para sa bagong programa.
派别	paksyon	May iba't ibang paksyon sa loob ng organisasyong ito.
派遣	ipadala	Nagpadala ang kumpanya ng mga engineer sa site.
攀登	akyatin	Plano nilang akyatin bukas ang bundok na may niyebe.
盘旋	umikot	Umikot ang eroplano sa ibabaw ng paliparan.
判决	hatol	Inanunsyo ng korte ang hatol ngayon.
畔	tabing-lawa	Naglakad ang mga bata sa tabing-lawa.
庞大	napakalaki	Kailangan ng napakalaking pondo ang proyektong ito.
抛弃	iwan	Ayaw niyang iwan ang kanyang pangarap.
泡沫	bula	Maraming puting bula sa tasa.
培育	linangin	Nagsisikap ang paaralan na linangin ang pananagutan ng mga estudyante.
配备	nilagyan	Nilagyan ng safety system ang bagong kotse.
配偶	asawa	Kailangang ilagay sa application form ang impormasyon ng asawa.
配套	kumpletong pasilidad	May kumpletong pasilidad ang komunidad.
盆地	basin	Napakainit ng basin na ito sa tag-araw.
烹饪	pagluluto	Kailangan ng pasensya at karanasan sa pagluluto.
捧	hawakan sa dalawang kamay	Hawak niya sa dalawang kamay ang isang bungkos ng sariwang bulaklak.
劈	tibagin	Tinitibag ng manggagawa ang kahoy na panggatong gamit ang palakol.
批发	wholesale	Pangunahing nagwo-wholesale ng prutas ang tindahang ito.
批判	punahin	Pinuna ng artikulo ang maling pananaw na ito.
疲惫	pagod	Pagod ang lahat matapos ang mahabang biyahe.
疲倦	mapagod	Napagod siya dahil sa tuloy-tuloy na trabaho.
皮革	katad	Gawa sa katad ang bag na ito.
屁股	puwit	Masakit ang puwit ng bata matapos madapa.
譬如	halimbawa	Halimbawa, maaari muna tayong gumawa ng maliit na test.
偏差	paglihis	May malinaw na paglihis sa resulta ng eksperimento.
偏见	pagtatangi	Dapat nating iwasan ang etnikong pagtatangi.
偏僻	liblib	Napakaliblib ng lokasyon ng nayong ito.
偏偏	sakto namang	Habang lalo akong nagmamadali, sakto namang lalong bumagal ang kotse.
片断	bahagi	May ilang magagandang bahagi sa pelikula.
片刻	sandali	Paki hintayin mo ako rito sandali.
漂浮	lumutang	Lumutang sa ibabaw ng tubig ang mga nalaglag na dahon.
飘扬	wumagayway	Wumagayway sa hangin ang pambansang watawat.
撇	isantabi	Isinantabi niya ang lumang plano.
拼搏	magsikap	Dapat magsikap ang kabataan para sa kanilang mithiin.
拼命	buong lakas	Buong lakas niyang hinabol ang koponan sa unahan.
贫乏	kulang	Medyo kulang ang nilalaman ng artikulong ito.
贫困	mahirap	Tinutulungan ng pamahalaan ang mahihirap na pamilya.
频繁	madalas	Madalas ang aksidente sa trapiko rito kamakailan.
频率	prikwensiya; dalas	Mataas ang prikwensiya ng tunog na ito.
品尝	tikman	Tinitikman ng mga bisita ang lokal na pagkain.
品德	moralidad	Pinahahalagahan ng paaralan ang edukasyon sa moralidad ng mga estudyante.
品质	kalidad	Matatag ang kalidad ng produkto ng kumpanyang ito.
品种	uri	Maraming uri ng prutas sa palengke.
屏幕	iskrin	Paki babaan ang liwanag ng iskrin.
屏障	harang	Mahalagang harang laban sa hangin ang kagubatan.
平凡	karaniwan	Maraming taon siyang nagtrabaho sa karaniwang posisyon.
平面	plano	Gumuhit ang designer ng plano ng bahay.
平坦	patag	Napapatag ng kalsadang ito.
平行	parallel	Parallel sa isa't isa ang dalawang linyang ito.
平庸	karaniwan	Ayaw niyang mamuhay nang karaniwan lang.
平原	kapatagan	Dumaan ang tren sa malawak na kapatagan.
评估	tasahin	Tinatasa ng mga eksperto ang panganib ng proyekto.
评论	magkomento	Maaaring magkomento ang mga mambabasa sa ilalim ng artikulo.
坡	dalisdis	Dahan-dahang umakyat ang kotse sa dalisdis.
泼	itapon	Huwag itapon ang tubig sa sahig.
颇	medyo	Medyo nakakagulat ang resultang ito.
破例	gumawa ng eksepsyon	Gumawa ng eksepsyon ang manager at inaprubahan ang aplikasyon niya.
迫不及待	hindi makapaghintay	Hindi makapaghintay ang mga bata na buksan ang mga regalo.
迫害	usigin	Maraming tao ang inuusig sa kasaysayan.
魄力	tapang	Kailangan ng pinuno ang tapang sa pagdedesisyon.
扑	sumugod	Biglang sumugod ang bata sa yakap ng kanyang ina.
铺	ilatag	Inilalatag ng mga manggagawa ang bagong carpet.
普及	laganap	Laganap na ang internet sa mga lungsod.
朴实	payak	Payak at tapat ang kanyang pananalita.
朴素	simple	Gusto niya ang simpleng pamumuhay.
瀑布	talon	Nagpa-picture ang mga turista sa tabi ng talon.
凄凉	mapanglaw	Mukhang mapanglaw ang baryo sa bundok sa taglamig.
期望	inaasahan	Mataas ang inaasahan ng mga magulang sa kanilang anak.
期限	deadline	Biyernes ngayong linggo ang deadline ng pagpaparehistro.
欺负	mang-api	Hindi dapat mang-api ng maliliit na bata ang mas matatanda.
欺骗	linlangin	Nalinlang ng pekeng advertisement ang mga consumer.
奇妙	kahanga-hanga	Maraming kahanga-hangang penomena sa kalikasan.
旗袍	qipao	Suot niya ang pulang qipao sa party.
旗帜	watawat	May makukulay na watawat na wumawagayway sa plaza.
歧视	diskriminasyon	Ipinagbabawal ng batas ang anumang uri ng diskriminasyon.
齐全	kumpleto	Kumpleto ang mga kasangkapan sa tindahang ito.
齐心协力	magtulungan	Nagtulungan ang lahat para matapos ang gawain.
乞丐	pulubi	May isang matandang pulubi na nakaupo sa gilid ng daan.
企图	tangkain	Tinangka niyang itago ang tunay na kalagayan.
启程	umalis sa biyahe	Aalis sa biyahe ang delegasyon bukas ng madaling-araw.
启蒙	panimulang pagkatuto	Ang aklat na ito ay angkop para sa panimulang pagbasa ng mga bata.
启事	anunsyo	May nakapaskil na anunsyo ng hiring sa gate ng paaralan.
启示	aral	Nagbigay sa amin ng mahalagang aral ang kabiguang ito.
岂有此理	kalokohan	Talagang kalokohan ang ganitong singil.
起草	bumalangkas	Binabalangkas ng abogado ang kontrata.
起初	noong una	Noong una, hindi siya naniwala sa balitang ito.
起伏	taas-baba	May taas-baba ang daang bundok ayon sa lupain.
起哄	manggulo	Huwag manggulo ang mga estudyante sa klase.
起码	kahit man lang	Kahit man lang dapat mo akong abisuhan nang maaga.
起源	nagmulan	Nagmulan ang pistang ito noong sinaunang panahon.
器材	kagamitan	Kailangan ng laboratoryo ng bagong kagamitang panturo.
器官	organo	Mahalagang organo ng katawan ng tao ang puso.
气概	diwa	Ipinapakita ng tulang ito ang diwang bayani.
气功	qigong	Nagpa-practice ng qigong ang lolo tuwing umaga.
气魄	dating	May kahanga-hangang dating ang tulay na ito.
气色	kulay ng mukha	Matapos magpahinga, mas maganda ang kulay ng mukha niya.
气势	momentum	Malakas ang momentum ng koponan mula sa simula.
气味	amoy	May amoy ng toasted bread sa kusina.
气象	panahon	Mabilis magbago ang panahon sa talampas na ito.
气压	presyon ng hangin	Maaaring magdala ng ulan ang pagbaba ng presyon ng hangin.
气质	temperamento	May tahimik siyang temperamento.
迄今为止	sa ngayon	Sa ngayon, maayos ang progreso ng eksperimento.
掐	pitasin	Pumitas siya ng isang maliit na bulaklak.
恰当	angkop	Angkop na angkop ang sagot mo.
恰到好处	tamang-tama	Tamang-tama ang tamis ng pagkaing ito.
恰巧	nagkataon	Nagkataong umulan pagdating ko sa istasyon.
洽谈	talakayin	Tinatalakay ng dalawang panig ang detalye ng kooperasyon.
千方百计	gawin ang lahat	Ginawa nila ang lahat para humanap ng solusyon.
牵	akayin	Inakayan ng ina ang bata habang tumatawid ng kalsada.
牵扯	masangkot	Maraming departamento ang nasasangkot sa bagay na ito.
牵制	pigilin	Pinigilan ng depensa ng kalaban ang pag-atake.
签署	pumirma	Pumirma ng kasunduan ang dalawang kumpanya.
谦逊	mapagpakumbaba	Mapagpakumbaba pa rin siya matapos magtagumpay.
迁就	pagbigyan	Hindi puwedeng palaging pagbigyan ng magulang ang bata.
迁徙	mangibang-lugar	Taun-taong nangingibang-lugar ang mga migratory bird ayon sa panahon.
前景	prospect	Maganda ang prospect ng industriyang ito.
前提	batayan	Tiwala ang batayan ng kooperasyon.
潜力	potensyal	May malaking potensyal ang estudyanteng ito.
潜水	diving	Pumunta sila sa tabing-dagat para matuto ng diving.
潜移默化	di-namamalayang impluwensiya	Di-namamalayang naiimpluwensiyahan ng kapaligiran ng pamilya ang bata.
谴责	kondenahin	Kinondena ng internasyonal na komunidad ang karahasan.
抢劫	magnakaw	Nahuli ng pulisya ang suspek na nagnakaw sa bangko.
强制	ipatupad	Pinipilit ng bagong tuntunin ang mga driver na magsuot ng seat belt.
强迫	pilitin	Huwag pilitin ang bata na gawin ang ayaw niya.
抢救	iligtas	Inililigtas ng mga doktor ang sugatang manggagawa.
桥梁	tulay	Ang wika ay tulay ng palitan ng kultura.
窍门	diskarte	May ilang diskarte sa pag-aaral ng bigkas.
翘	itaas	Itinaas niya ang isang paa sa upuan.
切实	praktikal	Kailangan natin ng praktikal at maisasagawang plano.
锲而不舍	magpursige	Nagpursige siyang pag-aralan ang problemang ito.
亲密	malapit	Palagi nilang pinananatili ang malapit na relasyon.
亲热	mainit	Mainit na sinalubong ng matanda ang mga bisita.
侵犯	labagin	Lumabag sa personal privacy ang ganitong kilos.
侵略	pagsalakay	Tinututulan ng mga tao ang anumang uri ng pagsalakay.
钦佩	humanga	Hangang-hanga ako sa kanyang tapang.
勤俭	masipag at matipid	Buong buhay na masipag at matipid na pinamahalaan ng lola ang bahay.
勤劳	masipag	Ang masisipag na tao ay laging nakakalikha ng pagkakataon.
倾听	makinig nang mabuti	Masusing nakinig ang guro sa opinyon ng mga estudyante.
倾向	hilig	May hilig ang mga batang consumer na mamili online.
倾斜	tumagilid	Matapos ang malakas na ulan, nagsimulang tumagilid ang pader.
清澈	malinaw	Napakalinis at malinaw ng batis sa bundok.
清晨	umaga	Napakasariwa ng hangin sa umaga.
清除	alisin	Inalis ng mga manggagawa ang niyebe sa kalsada.
清洁	malinis	Kailangang panatilihing malinis ng ospital ang kapaligiran.
清理	linisin	Nilinisan namin ang bodega noong weekend.
清晰	malinaw	Napakalinaw ng larawang ito.
清醒	alerto	Matapos uminom ng kape, mas naging alerto siya.
清真	halal	May halal na restawran sa malapit.
情报	impormasyon	Nakakuha ang reporter ng mahalagang impormasyon.
情节	plot	Napakaigting ng plot ng nobela.
情理	katwiran	Hindi makatwiran ang kahilingan niya.
情形	sitwasyon	Mas komplikado kaysa inaasahan ang sitwasyon sa lugar.
晴朗	maaliwalas	Napakamaaliwalas ng langit ngayon.
请柬	imbitasyon	Nagpadala sila ng imbitasyon sa kasal sa mga kamag-anak at kaibigan.
请教	kumonsulta	Gusto kong kumonsulta sa inyo tungkol sa isang tanong.
请示	humingi ng tagubilin	Kailangang humingi muna ng tagubilin sa lider tungkol dito.
请帖	imbitasyon	May isang birthday invitation card sa mesa.
丘陵	burol	Maraming burol sa lugar na ito.
区分	makilala	Nakikilala na ng bata ang kanan at kaliwa.
区域	lugar	Bawal pumarada sa lugar na ito.
屈服	sumuko	Hindi siya sumuko sa pressure.
曲折	masalimuot	Dumaan sila sa masalimuot na negosasyon.
驱逐	palayasin	Pinalayas ng pulisya ang mga manggugulo.
渠道	channel	Nagbebenta ang kumpanya ng produkto sa bagong channel.
取缔	ipagbawal	Ipinagbawal ng pamahalaan ang ilegal na pamilihan.
曲子	tugtugin	Maganda ang melodiya ng tugtuging ito.
趣味	interesante	Interesante ang larong ito.
圈套	bitag	Muntik na siyang mahulog sa bitag ng manloloko.
全局	kabuuang kalagayan	Dapat isaalang-alang ng lider ang interes ng kabuuang kalagayan.
全力以赴	buong lakas	Gagawin namin nang buong lakas ang gawain.
拳头	kamao	Ikinuyom niya ang kamao at naghanda sa laban.
权衡	timbangin	Kailangan nating timbangin ang gastos at epekto.
权威	awtoridad	Ang propesor na ito ay awtoridad sa larangang iyon.
犬	aso	Ang ganitong uri ng aso ay angkop sa pagbabantay ng bahay.
缺口	puwang	May maliit na puwang sa pader.
缺席	pagliban	Lumiban siya sa pulong dahil sa sakit.
缺陷	depekto	May malinaw na depekto ang disenyong ito.
瘸	pilay	Medyo pilay ang kaliwa niyang binti.
确保	tiyakin	Pakitiyak na nakasara na nang maayos ang pinto.
确立	itaguyod	Itinaguyod ng kumpanya ang mga bagong layunin sa pag-unlad.
确切	eksakto	Hindi ko alam ang eksaktong oras.
确信	sigurado	Sigurado akong darating siya sa oras.
群众	masa	Malakas ang suporta ng masa sa bagong patakaran.
染	kulayan	Kinulayan niya ng itim ang buhok niya.
嚷	sumigaw	Huwag sumigaw nang malakas sa pasilyo.
让步	konsesyon	Gumawa ng ilang konsesyon ang dalawang panig.
饶恕	patawarin	Sa huli, pinili niyang patawarin ang kabilang panig.
扰乱	guluhin	Ginulo ng ingay ang kaayusan ng klase.
惹祸	magdulot ng gulo	Ang pabirong walang ingat ay madaling magdulot ng gulo.
热泪盈眶	mapuno ng luha	Nang marinig ang magandang balita, napuno ng luha ang kanyang mga mata.
热门	popular	Popular na paksa ang artificial intelligence.
人道	makatao	Ipinakita ng operasyon ng pagsagip ang makataong diwa.
人格	dignidad	Ang pang-iinsulto sa iba ay nakakasira sa dignidad ng tao.
人工	artipisyal	Artipisyal na hinukay ang ilog na ito.
人家	ibang tao	Huwag mong laging ikumpara ang sarili mo sa ibang tao.
人间	mundo ng tao	Pinupuno ng tagsibol ng sigla ang mundo ng tao.
人士	mga tao	Dumalo sa forum ang mga tao mula sa iba't ibang sektor.
人为	gawa ng tao	Ang aksidenteng ito ay sanhi ng gawa ng tao.
人性	kalikasan ng tao	Tinatalakay ng pelikulang ito ang kalikasan ng tao.
人质	bihag	Matagumpay na nailigtas ng pulisya ang bihag.
仁慈	maawain	Maawain ang doktor na ito sa mga pasyente.
忍耐	pasensya	Kailangan ng kaunting pasensya sa mahabang pila.
忍受	tiisin	Hindi ko kayang tiisin ang ingay dito.
任命	italaga	Itinalaga siya ng lupon bilang manager.
任性	kapritsoso	Makakaapekto sa paglaki ang pagiging sobrang kapritsoso ng bata.
任意	basta-basta	Huwag basta-bastang baguhin ang datos.
任重道远	mabigat ang tungkulin	Mabigat ang tungkulin at mahaba pa ang daan ng reporma sa edukasyon.
认定	tukuyin	Tinukoy ng pulisya na aksidente ito.
认可	pagkilala	Nakatanggap ng pagkilala mula sa lahat ang kanyang plano.
仍旧	pa rin	Pagkalipas ng maraming taon, doon pa rin siya nakatira.
日新月异	mabilis umunlad	Mabilis umunlad ang teknolohiya araw-araw.
日益	lalong	Lalong lumalala ang mga suliranin sa kapaligiran.
容貌	anyo	Binago ng mga taon ang kanyang anyo.
容纳	maglaman	Kayang maglaman ng limang daang tao ang bulwagang ito.
容器	lalagyan	Pakibuhos ang likido sa salaming lalagyan.
容忍	tiisin	Hindi maaaring tiisin ng kumpanya ang pandaraya.
溶解	matunaw	Matutunaw ang asin sa tubig.
荣幸	karangalan	Isang karangalan para sa akin ang dumalo sa pulong.
荣誉	dangal	Kumakatawan ang medalyang ito sa pinakamataas na dangal.
融化	matunaw	Unti-unting pinatunaw ng sikat ng araw ang yelo at niyebe.
融洽	maayos	Maayos ang relasyon ng mga kasamahan sa trabaho.
揉	himasin	Banayad na hinimas ni Nanay ang mga balikat ko.
柔和	malambot	Malambot ang ilaw at hindi masakit sa mata.
儒家	Kumpusyanismo; kaisipang Kumpusyano	Nakaimpluwensya ang kaisipang Kumpusyano sa kultura ng Silangang Asya.
弱点	kahinaan	Ang kawalang-ingat ang pangunahing kahinaan niya.
若干	ilang	Nagharap ang pulong ng ilang mungkahi.
撒谎	magsinungaling	Hindi dapat magsinungaling ang mga bata.
散文	prosa	Mahilig siyang magbasa ng makabagong prosa.
散布	magkalat	May nagkalat ng tsismis sa internet.
散发	maglabas	Naglalabas ng sariwang bango ang hardin.
丧失	mawala	Hindi nawala ang kanyang tiwala sa sarili.
骚扰	mang-abala	Huwag mang-abala sa ibang pasahero.
嫂子	hipag	Masarap magluto ang hipag ko.
刹车	magpreno	Biglang nagpreno ang drayber.
啥	ano	Tinanong niya kung ano ang sinabi mo kanina.
筛选	salain	Awtomatikong sasalain ng sistema ang mga resume.
山脉	hanay ng bundok	Napakahaba ng hanay ng bundok na ito.
闪烁	kumikislap	Patuloy na kumikislap ang mga ilaw sa malayo.
擅长	mahusay sa	Mahusay siya sa pagharap sa mahihirap na problema.
擅自	walang pahintulot	Hindi maaaring umalis sa puwesto ang empleyado nang walang pahintulot.
伤脑筋	nakakasakit ng ulo	Nakakasakit talaga ng ulo ang problemang ito.
商标	trademark	Nagparehistro ang kumpanya ng bagong trademark.
上级	nakatataas	Inulat niya ang sitwasyon sa nakatataas.
上进	pursigido	Lagi siyang pursigidong umunlad.
上任	manungkulan	Manunungkulan ang bagong manager sa susunod na linggo.
上瘾	malulong	Maraming tao ang nalululong sa maiikling video.
上游	itaas ng ilog	Nagmumula ang polusyon sa itaas ng ilog.
尚且	kahit	Kahit matatanda ay nagkakamali.
捎	magpasa	Pakipasa ang mensahe para sa akin.
梢	dulo ng sanga	Dumapo ang ibon sa dulo ng sanga.
哨	sentri	May isang sentri sa tarangkahan.
奢侈	maluho	Masyadong maluho ang ganitong paggastos.
舌头	dila	Napaso ang kanyang dila.
摄氏度	Celsius	Tatlumpung digri Celsius ang temperatura ngayon.
涉及	masangkot	Kinasasangkutan ng ulat ang ilang departamento.
社区	komunidad	Nag-organisa ang komunidad ng lecture tungkol sa kalusugan.
设立	magtatag	Nagtatag ang paaralan ng scholarship.
设想	ideya	Kailangan pang talakayin ang ideyang ito.
设置	i-set	Paki-set muli ang password.
呻吟	dumaing	Mahinang dumaing ang pasyente.
深奥	malalim	Napakalalim ng nilalaman ng librong ito.
