simplified	TR	example_TR	SW	example_SW	PT-BR	example_PT-BR
危险	tehlike; tehlikeli	Gece tek başına dağa tırmanmak çok tehlikeli.	hatari	Kupanda mlima peke yako usiku ni hatari.	o perigo; perigoso	Subir uma montanha sozinho à noite é perigoso.
卫生间	tuvalet; banyo	Affedersiniz, tuvalet nerede?	choo; bafu	Samahani, choo kiko wapi?	o banheiro	Com licença, onde fica o banheiro?
味道	tat; lezzet	Bu restoranın baozi'lerinin tadı çok iyi.	ladha	Mandazi ya mgahawa huu yana ladha nzuri sana.	o sabor	Os pãezinhos deste restaurante têm um sabor muito bom.
温度	sıcaklık	Kışa girince sıcaklık gittikçe düşüyor.	joto	Tukiingia majira ya baridi, joto linazidi kushuka.	a temperatura	No inverno, a temperatura fica cada vez mais baixa.
文章	makale; yazı	Makalenin en kritik kısmı üçüncü paragraftır.	makala	Sehemu muhimu zaidi ya makala ni aya ya tatu.	o artigo; o ensaio	A parte mais importante do artigo é o terceiro parágrafo.
污染	kirlilik; kirlenme	Çevre kirliliği artık gittikçe ciddileşiyor.	uchafuzi	Uchafuzi wa mazingira sasa unazidi kuwa mbaya.	a poluição	A poluição ambiental está ficando cada vez mais grave.
无	yok; -sız	Onun sözleri dayanaksız.	bila; hakuna	Maneno yake hayana msingi.	sem; nenhum	As palavras dele são sem fundamento.
无聊	sıkıcı; sıkılmış	Bu program biraz sıkıcı.	kuchosha; kuchoka	Kipindi hiki kinachosha kidogo.	chato; entediado	Este programa é um pouco chato.
无论	ne olursa olsun; her nasıl	Ne kadar açıklasam da o anlamıyor.	bila kujali; hata iweje	Bila kujali ninavyoeleza, haelewi.	não importa; independentemente de	Não importa como eu explique, ele não entende.
误会	yanlış anlamak; yanlış anlama	Özür dilerim, seni yanlış anladım.	kutoelewana; kuelewa vibaya	Samahani, nilikuelewa vibaya.	entender mal; o mal-entendido	Desculpe, entendi você mal.
吸引	çekmek; cezbetmek	Bu film çok ilgi çekici.	kuvutia	Filamu hii inavutia sana.	atrair	Este filme é muito envolvente.
西红柿	domates	Biraz domates aldım.	nyanya	Nimenunua nyanya kadhaa.	o tomate	Comprei alguns tomates.
咸	tuzlu	Tuzu fazla koymuşsun, yemekler biraz tuzlu.	chumvi nyingi	Umeweka chumvi nyingi, chakula kina chumvi kidogo.	salgado	Tem sal demais, os pratos estão um pouco salgados.
现金	nakit	Yanımda fazla nakit yok ama mağazada kartla ödeme yapılabiliyor.	fedha taslimu	Sina fedha taslimu nyingi, lakini duka linakubali kadi.	o dinheiro em espécie	Não tenho muito dinheiro em espécie comigo, mas a loja aceita cartão.
羡慕	imrenmek; kıskanmak	Onun iyi bir işi olmasına imreniyorum.	kuonea wivu; kuvutiwa	Ninamwonea wivu kwa kuwa na kazi nzuri.	invejar; admirar	Invejo ele por ter um bom emprego.
相反	tersi; zıt	Söylediğin, benim anladığımın tam tersi.	kinyume	Ulichosema ni kinyume kabisa cha ninavyoelewa.	o oposto; contrário	O que você disse é o oposto do que eu entendo.
相同	aynı; özdeş	Senin bisikletin benimkiyle tamamen aynı.	sawa; kufanana	Baiskeli yako ni sawa kabisa na yangu.	igual; idêntico	Sua bicicleta é exatamente igual à minha.
香	güzel kokulu; iştah açıcı	Yaptığın yemek ne güzel kokuyor!	kunukia; tamu	Chakula ulichopika kinanukia vizuri sana!	perfumado; cheiroso	A comida que você fez cheira muito bem!
详细	ayrıntılı; detaylı	Onun yaptığı plan çok ayrıntılı.	ya kina; kwa undani	Mpango alioufanya ni wa kina sana.	detalhado	O plano que ela fez é muito detalhado.
响	ses çıkarmak; çalmak	Dinle, telefon çaldı mı?	kutoa sauti; kulia	Sikiliza, je, simu imelia?	soar; tocar	Escute, o telefone tocou?
橡皮	silgi	Silgini bir anlığına ödünç alabilir miyim?	kifutio	Je, unaweza kuniazima kifutio chako kidogo?	a borracha	Posso pegar sua borracha emprestada por um momento?
消息	haber; bilgi	Bu haber gerçekten heyecan verici.	habari	Habari hii inasisimua kweli.	a notícia; a informação	Esta notícia é realmente empolgante.
小吃	atıştırmalık; küçük yiyecek	Pekin'e gelince mutlaka Pekin atıştırmalıklarını tatmalısın.	vitafunwa	Ukija Beijing lazima ujaribu vitafunwa vya Beijing.	o lanche; o petisco	Quando vier a Pequim, você precisa experimentar os petiscos de Pequim.
小伙子	genç adam	O genç adam çok sıcakkanlı.	kijana	Yule kijana ana moyo wa ukarimu sana.	o rapaz; o jovem	Aquele rapaz é muito caloroso.
小说	roman; kurgu	Bu romanı okuyorum.	riwaya	Ninasoma riwaya hii.	o romance; a ficção	Estou lendo este romance.
效果	etki; sonuç	Bu soğuk algınlığı ilacının etkisi çok iyi.	athari; matokeo	Dawa hii ya mafua ina athari nzuri sana.	o efeito; o resultado	Este remédio para resfriado funciona muito bem.
笑话	şaka; alay etmek	Lütfen başkalarıyla alay etmeyin.	utani; kucheka mtu	Tafadhali usiwacheke wengine.	a piada; rir de	Por favor, não ria dos outros.
心情	ruh hali	Onun ruh hali düzeldi.	hali ya moyo	Hali yake ya moyo imekuwa nzuri.	o humor; o estado de espírito	O humor dele melhorou.
辛苦	zor; yorucu	Babamın işi çok yorucu.	ngumu; kuchosha	Kazi ya baba ni ngumu sana.	duro; cansativo	O trabalho do papai é muito duro.
信封	zarf	Yazdığı mektubu zarfın içine koydu.	bahasha	Aliweka barua aliyoandika ndani ya bahasha.	o envelope	Ele colocou a carta escrita no envelope.
信息	bilgi; mesaj	Lütfen iletişim bilgilerini bana gönder.	taarifa; ujumbe	Tafadhali nitumie taarifa zako za mawasiliano.	a informação; a mensagem	Por favor, envie-me suas informações de contato.
信心	güven; özgüven	Sana çok güveniyoruz, kesinlikle başarabilirsin.	kujiamini; imani	Tunakuamini sana, bila shaka unaweza kufanya hivyo.	a confiança	Temos muita confiança em você. Você com certeza consegue.
兴奋	heyecanlı; heyecan	Çocuklar bahar gezisine gideceklerini duyunca heyecanla zıpladılar.	kusisimka; msisimko	Watoto waliposikia kuwa wataenda matembezi ya masika, waliruka kwa msisimko.	animado; a empolgação	As crianças pularam animadas quando souberam que fariam um passeio de primavera.
行	tamam; uygun	Böyle olur mu?	sawa; kukubalika	Je, hivi ni sawa?	ok; certo	Assim está ok?
醒	uyanmak; uyanık olmak	Sabah saat altıda uyandım.	kuamka	Niliamka saa kumi na mbili asubuhi.	acordar	Acordei às seis da manhã.
幸福	mutluluk; mutlu	Para mutluluğu satın alamaz.	furaha	Pesa haziwezi kununua furaha.	a felicidade; feliz	Dinheiro não compra felicidade.
性别	cinsiyet	Lütfen formun ikinci satırına cinsiyeti yazın.	jinsia	Tafadhali jaza jinsia kwenye mstari wa pili wa fomu.	o gênero; o sexo	Por favor, preencha o gênero na segunda linha do formulário.
性格	kişilik; karakter	Eşimin kişiliği çok iyidir, hiç öfkelenmez.	tabia	Mke wangu ana tabia nzuri sana na hakasiriki kamwe.	a personalidade; o caráter	Minha esposa tem uma personalidade muito boa e nunca perde a calma.
修理	tamir etmek; onarmak	Tamirden sonra bilgisayarım yine normal çalışabiliyor.	kukarabati; kutengeneza	Baada ya kukarabatiwa, kompyuta yangu inaweza kufanya kazi kawaida tena.	consertar; reparar	Depois do conserto, meu computador voltou a funcionar normalmente.
许多	birçok; pek çok	Sokakta birçok çöp kutusu var.	nyingi	Kuna mapipa mengi ya taka barabarani.	muitos; muitos de	Há muitas lixeiras na rua.
学期	dönem; sömestr	Bu dönem sanat, tarih ve ekonomi dahil birçok ders seçtim.	muhula	Muhula huu nilichagua masomo mengi, ikiwemo sanaa, historia na uchumi.	o semestre; o período	Neste semestre escolhi muitos cursos, incluindo arte, história e economia.
呀	a; şaşırma parçacığı	A, kar yağıyor!	aa; kiashiria cha mshangao	Aa, theluji inanyesha!	ah; partícula de surpresa	Ah, está nevando!
压力	baskı; stres	Son zamanlarda iş baskısı çok büyük.	shinikizo	Hivi karibuni ana shinikizo kubwa la kazi.	a pressão	Ele tem estado sob muita pressão no trabalho recentemente.
牙膏	diş macunu	Diş macunu bitti, yarın alalım.	dawa ya meno	Dawa ya meno imeisha, tuinunue kesho.	a pasta de dente	A pasta de dente acabou, vamos comprar amanhã.
亚洲	Asya	Çin bir Asya ülkesidir.	Asia	China ni nchi ya Asia.	a Ásia	A China é um país asiático.
严格	katı; sıkı	Öğretmen bizden çok sıkı taleplerde bulunuyor.	mkali; wa kanuni	Mwalimu ana masharti makali sana kwetu.	rigoroso; estrito	O professor é muito rigoroso conosco.
严重	ciddi; ağır	Onun hastalığı çok ciddi.	mbaya; kali	Ugonjwa wake ni mbaya sana.	grave; sério	A doença dele é grave.
盐	tuz	Tuzu fazla koymuşsun, yemekler biraz tuzlu.	chumvi	Umeweka chumvi nyingi, chakula kina chumvi kidogo.	o sal	Tem sal demais, os pratos estão um pouco salgados.
研究	araştırmak; araştırma	O bu sorunu araştırıyor.	kutafiti; utafiti	Anatafiti tatizo hili.	pesquisar; a pesquisa	Ele está pesquisando este problema.
演出	gösteri yapmak; gösteri	İlk gösterisinde çok gergindi.	onyesho; kutumbuiza	Alikuwa na wasiwasi katika onyesho lake la kwanza.	apresentar-se; a apresentação	Ele estava nervoso na primeira apresentação.
演员	oyuncu; sanatçı	O ünlü bir oyuncu.	mwigizaji	Yeye ni mwigizaji maarufu.	o ator; a atriz	Ele é um ator famoso.
眼镜	gözlük	O bir çift siyah gözlük takıyor.	miwani	Amevaa miwani myeusi.	os óculos	Ele está usando um par de óculos pretos.
阳光	güneş ışığı	Güneş ışığı pencereden odaya girdi.	mwanga wa jua	Mwanga wa jua uliingia chumbani kupitia dirisha.	a luz do sol	A luz do sol entrou no quarto pela janela.
养成	oluşturmak; alışkanlık edinmek	Bu alışkanlığı küçüklüğümden beri edindim.	kujenga; kuzoea	Nimejenga tabia hii tangu nilipokuwa mdogo.	formar; desenvolver um hábito	Desenvolvi este hábito desde pequeno.
样子	görünüş; tarz	Bu giysinin görünüşü oldukça iyi.	muonekano; mtindo	Muonekano wa vazi hili ni mzuri sana.	a aparência; o estilo	Esta roupa tem uma aparência muito boa.
邀请	davet etmek; davet	O, herkesin davetini reddetti.	kualika; mwaliko	Alikataa mwaliko wa kila mtu.	convidar; o convite	Ele recusou o convite de todos.
要是	eğer	Eğer önce gelirsen beni biraz bekle.	ikiwa	Ikiwa utafika kwanza, nisubiri kidogo.	se	Se você chegar primeiro, espere um pouco por mim.
钥匙	anahtar	Bugün anahtarı getirmeyi unuttum.	ufunguo	Leo nimesahau kuleta ufunguo.	a chave	Hoje esqueci de trazer a chave.
也许	belki	O belki gelmeyebilir.	labda	Labda hatakuja.	talvez	Talvez ele não venha.
叶子	yaprak	Bahar geldi, küçük ağaçlarda yeni yapraklar çıktı.	jani	Machipuko yamefika, miti midogo imetoa majani mapya.	a folha	A primavera chegou, e as árvores jovens ganharam folhas novas.
页	sayfa	Lütfen onuncu sayfaya çevirin.	ukurasa	Tafadhali fungua ukurasa wa kumi.	a página	Por favor, vire para a página dez.
一切	her şey; tamamı	Evdeki her şeyden annem sorumlu.	kila kitu	Mama ndiye anayewajibika kwa kila kitu nyumbani.	tudo	Mamãe é responsável por tudo em casa.
以	olarak almak; kullanmak	Lütfen bu cümleyi örnek olarak alın.	kuchukua kama	Tafadhali chukua sentensi hii kama mfano.	tomar como; usar como	Por favor, tome esta frase como exemplo.
以为	sanmak; düşünmek	Senin çoktan gittiğini sandım.	kudhani	Nilidhani tayari umeondoka.	achar; pensar	Achei que você já tinha ido embora.
意见	görüş; öneri	Tüm görüşlerini kabul ediyorum.	maoni; pendekezo	Ninakubali maoni yako yote.	a opinião; a sugestão	Aceito todas as suas opiniões.
艺术	sanat	Sanata çok ilgi duyuyorum.	sanaa	Ninapenda sana sanaa.	a arte	Tenho muito interesse por arte.
因此	bu nedenle; sonuç olarak	O hastaydı, bu yüzden derse gelmedi.	kwa hiyo; hivyo	Alikuwa mgonjwa, kwa hiyo hakuja darasani.	portanto; por isso	Ele estava doente, por isso não veio à aula.
引起	neden olmak; yol açmak	Bu olay herkeste hoşnutsuzluk yarattı.	kusababisha	Jambo hili lilisababisha kutoridhika kwa kila mtu.	causar; provocar	Este assunto deixou todos insatisfeitos.
印象	izlenim	O bende çok iyi bir izlenim bıraktı.	hisia; taswira	Aliniachia taswira nzuri sana.	a impressão	Ele causou uma ótima impressão em mim.
赢	kazanmak	Dünkü futbol maçını kim kazandı?	kushinda	Nani alishinda mechi ya mpira wa miguu jana?	vencer; ganhar	Quem ganhou a partida de futebol ontem?
应聘	işe başvurmak	O bu işe başvurmak istiyor.	kuomba kazi	Anataka kuomba kazi hii.	candidatar-se a um emprego	Ela quer se candidatar a este emprego.
勇敢	cesur	Ağabeyim çok cesur bir insandır.	shujaa; jasiri	Kaka yangu ni mtu jasiri sana.	corajoso; bravo	Meu irmão é uma pessoa muito corajosa.
永远	sonsuza dek; asla	Senin bana yardımını asla unutmayacağım.	milele	Sitasahau kamwe msaada wako kwangu.	para sempre; nunca	Nunca esquecerei sua ajuda para mim.
优点	iyi yön; avantaj	İnsan kendi kusurlarını başkalarının iyi yönleriyle karşılaştırmamalı.	faida; ubora	Mtu hapaswi kulinganisha kasoro zake na ubora wa wengine.	a qualidade; a vantagem	Não se deve comparar os próprios defeitos com as qualidades dos outros.
优秀	mükemmel; seçkin	O çok mükemmel bir doktor.	bora; hodari	Yeye ni daktari bora sana.	excelente; destacado	Ele é um excelente médico.
幽默	esprili; mizah	Profesör Li çok esprili konuşur.	mcheshi; ucheshi	Profesa Li huzungumza kwa ucheshi sana.	humorístico; o humor	O professor Li fala com muito senso de humor.
尤其	özellikle	O resim yapmayı, özellikle Çin resmi yapmayı sever.	hasa	Anapenda kuchora, hasa kuchora uchoraji wa Kichina.	especialmente; particularmente	Ele gosta de pintar, especialmente pintura chinesa.
由	tarafından	Bu etkinliği biz düzenliyoruz.	na; kwa	Tukio hili linaandaliwa na sisi.	por	Este evento é organizado por nós.
由于	yüzünden; nedeniyle	Yağmur nedeniyle maç ertelendi.	kwa sababu ya	Kwa sababu ya mvua, mechi iliahirishwa.	devido a; por causa de	Por causa da chuva, a partida foi adiada.
邮局	postane	Postane sabah dokuzda açılır.	posta	Posta hufunguliwa saa tatu asubuhi.	o correio; a agência dos correios	O correio abre às nove da manhã.
友好	dostça; arkadaş canlısı	Ev sahibim çok arkadaş canlısı ve sık sık bana yardım eder.	rafiki; mwenye urafiki	Mwenye nyumba wangu ni rafiki sana na hunisaidia mara nyingi.	amigável	Meu senhorio é muito amigável e me ajuda com frequência.
友谊	dostluk; arkadaşlık	Aramızda derin bir dostluk var.	urafiki	Kuna urafiki wa kina kati yetu.	a amizade	Há uma amizade profunda entre nós.
有趣	ilginç	Bu gerçekten ilginç bir rüya!	ya kuvutia	Hii kweli ni ndoto ya kuvutia!	interessante	Este é realmente um sonho interessante!
于是	bu yüzden; böylece	Ona soracak bir şeyim vardı, bu yüzden onu aradım.	hivyo; basi	Nilitaka kumuuliza jambo, hivyo nikampigia simu.	então; por isso	Eu queria perguntar algo a ele, então liguei para ele.
愉快	keyifli; mutlu	İyi hafta sonları!	furaha	Nakutakia mwisho mwema wa wiki!	agradável; feliz	Tenha um bom fim de semana!
与	ile	O çok özgüvenli ve insanlarla rekabet etmeyi sever.	na	Ana kujiamini sana na anapenda kushindana na wengine.	com	Ele é muito confiante e gosta de competir com os outros.
羽毛球	badminton	Sık sık badminton oynar mısın?	badminton	Je, unacheza badminton mara kwa mara?	o badminton	Você joga badminton com frequência?
语法	dil bilgisi	Bazı temel dil bilgisi bilgileri öğrendim.	sarufi	Nimejifunza maarifa ya msingi ya sarufi.	a gramática	Aprendi alguns conhecimentos básicos de gramática.
语言	dil	Bir dil öğrenmek, onun dil bilgisi hakkında biraz anlayış gerektirir.	lugha	Kujifunza lugha kunahitaji kuelewa sarufi yake kidogo.	a língua; o idioma	Aprender um idioma exige algum entendimento de sua gramática.
预习	derse hazırlanmak; ön çalışma yapmak	Lütfen herkes metni dikkatlice önceden çalışsın.	kujiandaa kabla ya somo	Tafadhali jiandaeni vizuri kwa kusoma matini kabla ya somo.	preparar a lição; estudar antes	Por favor, estudem o texto com cuidado antes da aula.
原来	asıl; eskisi gibi	Ben hâlâ eskisiyle aynı yerde oturuyorum.	ya awali; kama zamani	Bado ninaishi mahali pale pale pa awali.	original; igual a antes	Ainda moro no mesmo lugar de antes.
原谅	affetmek	Az önce söylediğim sözleri lütfen affet.	kusamehe	Tafadhali nisamehe kwa maneno niliyosema punde tu.	perdoar	Por favor, perdoe o que acabei de dizer.
原因	neden; sebep	Sebebi çok açık açıkladı.	sababu	Alieleza sababu kwa uwazi sana.	a razão; a causa	Ele explicou o motivo com muita clareza.
约会	randevu; flört	O, Xiao Li ile çıkmaya başladı.	miadi; uchumba	Alianza kutoka kimapenzi na Xiao Li.	o encontro; o compromisso	Ela começou a sair com Xiao Li.
阅读	okumak; okuma	Bu romanı okuyorum.	kusoma	Ninasoma riwaya hii.	ler; a leitura	Estou lendo este romance.
云	bulut	Gökyüzündeki bulutlar gittikçe çoğalıyor.	wingu	Mawingu angani yanazidi kuwa mengi.	a nuvem	Há cada vez mais nuvens no céu.
允许	izin vermek	Lütfen kendimi tanıtmama izin verin.	kuruhusu	Tafadhali niruhusu nijitambulishe.	permitir; deixar	Por favor, permita que eu me apresente.
杂志	dergi	Bu dergideki makalelerin hepsi iyi yazılmış.	jarida	Makala katika jarida hili zimeandikwa vizuri.	a revista	Os artigos desta revista são bem escritos.
咱们	biz; bizi	Bu ayki yaşam giderlerimiz ne kadar?	sisi	Gharama zetu za maisha mwezi huu ni kiasi gani?	nós	Quanto são nossas despesas de vida este mês?
暂时	geçici olarak; şimdilik	O arabayı geçici olarak yol kenarına park etti.	kwa muda	Aliegesha gari kwa muda kando ya barabara.	temporariamente; por enquanto	Ele estacionou o carro temporariamente na beira da estrada.
脏	kirli; kirletmek	Kazara kıyafetimi kirlettim.	chafu; kuchafua	Kwa bahati mbaya nilichafua nguo zangu.	sujo; sujar	Sujei minha roupa sem querer.
责任	sorumluluk; görev	Bu meselede hepimizin sorumluluğu var.	wajibu; jukumu	Sote tuna wajibu katika jambo hili.	a responsabilidade; o dever	Todos nós somos responsáveis por este assunto.
增加	artırmak; artmak	Bu yıl öğrenci sayısı arttı.	kuongeza; kuongezeka	Idadi ya wanafunzi imeongezeka mwaka huu.	aumentar	O número de alunos aumentou este ano.
占线	meşgul hat	Arka arkaya birkaç kez aradım, telefonu hep meşguldü.	simu kuwa bize	Nilipiga simu mara kadhaa mfululizo, simu yake ilikuwa bize.	linha ocupada	Liguei várias vezes seguidas, e a linha dele estava ocupada.
招聘	işe almak; işe alım	Şirket yeni çalışanlar işe alıyor.	kuajiri; ajira	Kampuni inaajiri wafanyakazi wapya.	recrutar; contratação	A empresa está contratando novos funcionários.
照	göre; uymak	Bu plana göre yap.	kulingana na; kufuata	Fanya kulingana na mpango huu.	seguir; de acordo com	Siga este plano.
真正	gerçek	Gerçek bir arkadaş, zorlukla karşılaştığında sana yardım eder.	wa kweli	Rafiki wa kweli atakusaidia unapokutana na matatizo.	verdadeiro; real	Um verdadeiro amigo ajuda quando você encontra dificuldades.
整理	toparlamak; düzenlemek	Lütfen masanın üzerindeki kitapları düzenle.	kupanga; kutayarisha	Tafadhali panga vitabu vilivyo mezani.	arrumar; organizar	Por favor, arrume os livros sobre a mesa.
正常	normal	Tamirden sonra bilgisayarım yine normal çalışabiliyor.	kawaida	Baada ya kukarabatiwa, kompyuta yangu inaweza kufanya kazi kawaida tena.	normal	Depois do conserto, meu computador voltou a funcionar normalmente.
正好	tam; tam olarak	Söylediğin, benim anladığımın tam tersi.	hasa	Ulichosema ni kinyume kabisa cha ninavyoelewa.	exatamente; bem	O que você disse é exatamente o oposto do que eu entendo.
正确	doğru	Yargın tamamen doğru.	sahihi	Hukumu yako ni sahihi kabisa.	correto	Seu julgamento está completamente correto.
正式	resmi	Şimdi maç resmen başlıyor.	rasmi	Sasa mechi inaanza rasmi.	formal; oficial	Agora o jogo começa oficialmente.
证明	kanıtlamak; kanıt	Gerçekler onun haklı olduğunu kanıtlıyor.	kuthibitisha; uthibitisho	Ukweli unathibitisha kuwa yuko sahihi.	provar; a prova	Os fatos provam que ele está certo.
之	-nin; biri	Bu, Çin kültürünün bir parçasıdır.	ya; mojawapo	Hii ni mojawapo ya sehemu za utamaduni wa China.	de; um de	Esta é uma parte da cultura chinesa.
支持	desteklemek	İkimiz birbirimizi desteklemeliyiz.	kuunga mkono; kusaidia	Sisi wawili tunapaswa kusaidiana.	apoiar	Nós dois devemos apoiar um ao outro.
知识	bilgi	Okumada çok bilgi edindim.	maarifa	Nimepata maarifa mengi kupitia kusoma.	o conhecimento	Adquiri muito conhecimento com a leitura.
值得	değer olmak; hak etmek	Bu roman okumaya değer.	kustahili; kuwa na thamani	Riwaya hii inastahili kusomwa.	valer a pena; merecer	Este romance vale a pena ler.
植物	bitki	Bu tür bitkinin çok güneş ışığına ihtiyacı var.	mmea	Aina hii ya mmea inahitaji mwanga mwingi wa jua.	a planta	Este tipo de planta precisa de muita luz do sol.
直接	doğrudan; direkt	İşten sonra doğrudan eve gitti.	moja kwa moja	Baada ya kazi, alienda nyumbani moja kwa moja.	direto; diretamente	Depois do trabalho, ele foi direto para casa.
职业	meslek	İdealindeki meslek nedir?	kazi; taaluma	Kazi yako ya ndoto ni ipi?	a profissão	Qual é a sua carreira ideal?
只好	mecbur kalmak	Yağmur çok şiddetliydi, evde kalmak zorunda kaldık.	kulazimika	Mvua ilikuwa kubwa sana, tukalazimika kubaki nyumbani.	não ter escolha senão	A chuva estava tão forte que tivemos que ficar em casa.
只要	yeter ki; olduğu sürece	Yeter ki çalış, bu işi kesinlikle iyi yapabilirsin.	mradi	Mradi ujitahidi, hakika utaweza kufanya jambo hili vizuri.	desde que	Desde que você se esforce, conseguirá fazer isso bem.
指	göstermek; işaret etmek	Hatamı gösterdiğin için teşekkür ederim.	kuonyesha; kuelekeza	Asante kwa kunionyesha kosa langu.	apontar; indicar	Obrigado por apontar meu erro.
至少	en az	Bu bina en az yüz metre yüksekliğinde.	angalau	Jengo hili lina urefu wa angalau mita mia moja.	pelo menos	Este prédio tem pelo menos cem metros de altura.
质量	kalite	Bu ayakkabıların kalitesi çok iyi.	ubora	Ubora wa viatu hivi ni mzuri sana.	a qualidade	A qualidade destes sapatos é muito boa.
重	ağır	Bu kutu çok ağır.	nzito	Sanduku hili ni zito sana.	pesado	Esta caixa é muito pesada.
重点	ana nokta; odak	Az önce söylediği şey sorunun asıl noktasıdır.	kiini; jambo kuu	Alichosema punde tu ndicho kiini cha tatizo.	o ponto principal; o foco	O que ele acabou de dizer é o ponto principal do problema.
重视	değer vermek; önemsemek	Anne babalar çocuklarının eğitimine çok önem verir.	kuthamini; kuzingatia	Wazazi huthamini sana elimu ya watoto.	valorizar; dar importância	Os pais dão muita importância à educação dos filhos.
周围	çevre; etraf	Okulun etrafında birçok mağaza var.	karibu; mazingira	Kuna maduka mengi karibu na shule.	ao redor; os arredores	Há muitas lojas ao redor da escola.
主意	fikir; plan	İyi bir fikrin varsa söyle, dinleyelim.	wazo; mpango	Kama una wazo zuri, liseme tusikie.	a ideia; o plano	Se você tem alguma boa ideia, diga para ouvirmos.
祝贺	tebrik etmek; tebrikler	İyi sonuçlar aldığınız için tebrikler.	kupongeza; pongezi	Hongera kwa kupata matokeo mazuri.	parabenizar; parabéns	Parabéns pelos bons resultados.
著名	ünlü	O ünlü bir oyuncu.	maarufu	Yeye ni mwigizaji maarufu.	famoso; conhecido	Ele é um ator famoso.
专门	özellikle; özel olarak	Özellikle seni görmeye geldim.	mahususi; hasa	Nimekuja mahsusi kukuona.	especialmente; especificamente	Vim especificamente para ver você.
专业	ana dal; uzmanlık alanı	Üniversitede hukuk alanında okuyorum.	taaluma; fani	Ninasoma taaluma ya sheria chuo kikuu.	a especialização; o curso	Estou estudando direito na universidade.
转	dönmek	Öndeki ilk kavşaktan sola dön, hastaneyi göreceksin.	kugeuka	Geuka kushoto kwenye makutano ya kwanza mbele, utaiona hospitali.	virar	Vire à esquerda no primeiro cruzamento à frente e você verá o hospital.
赚	kazanmak; kâr etmek	O iş yaparak epey para kazandı.	kupata faida; kuchuma	Alipata pesa nyingi katika biashara.	ganhar; lucrar	Ele ganhou bastante dinheiro nos negócios.
准确	doğru; kesin	Cevabın çok doğru.	sahihi kabisa	Jibu lako ni sahihi sana.	preciso; exato	Sua resposta é muito precisa.
准时	zamanında; dakik	Toplantı zamanında başladı.	kwa wakati	Mkutano ulianza kwa wakati.	no horário; pontual	A reunião começou no horário.
仔细	dikkatli	O işleri son derece dikkatli yapar.	makini	Anafanya mambo kwa uangalifu sana.	cuidadoso; atento	Ela faz as coisas com muito cuidado.
自然	doğa; doğal	Doğal çevreyi korumamız gerekiyor.	asili; wa asili	Tunahitaji kulinda mazingira ya asili.	a natureza; natural	Precisamos proteger o ambiente natural.
自信	özgüven	O çok özgüvenli ve insanlarla rekabet etmeyi sever.	kujiamini	Ana kujiamini sana na anapenda kushindana na wengine.	a autoconfiança	Ele é muito confiante e gosta de competir com os outros.
总结	özetlemek; özet	Lütfen başarılı deneyiminizi bizim için özetleyin.	kufupisha; muhtasari	Tafadhali tufupishie uzoefu wako wa mafanikio.	resumir; o resumo	Por favor, resuma para nós sua experiência de sucesso.
租	kiralamak	Şirkete yakın bir ev kiraladım.	kukodisha	Nimekodisha nyumba karibu na kampuni.	alugar	Aluguei uma casa perto da empresa.
最好	en iyi	O benim en iyi arkadaşım.	bora zaidi	Yeye ni rafiki yangu bora zaidi.	melhor	Ela é minha melhor amiga.
尊重	saygı duymak; saygı	Dürüst insanlar saygımızı hak eder.	kuheshimu; heshima	Watu waaminifu wanastahili heshima yetu.	respeitar; o respeito	Pessoas honestas merecem nosso respeito.
左右	yaklaşık	O kırk yaşlarında görünüyor.	takriban	Anaonekana kuwa na takriban miaka arobaini.	aproximadamente; por volta de	Ele parece ter cerca de quarenta anos.
作家	yazar	Bu yazarın romanını okudun mu?	mwandishi	Je, umesoma riwaya ya mwandishi huyu?	o escritor; a escritora	Você leu o romance deste escritor?
作用	etki; işlev	Bu soğuk algınlığı ilacı bende pek işe yaramıyor.	athari; kazi	Dawa hii ya mafua haina athari kubwa kwangu.	o efeito; a função	Este remédio para resfriado não faz muito efeito em mim.
作者	yazar	Bu kitabın yazarı çok ünlü.	mwandishi	Mwandishi wa kitabu hiki ni maarufu sana.	o autor; a autora	O autor deste livro é muito famoso.
座	bina ve köprüler için ölçü sözcüğü	Nehrin üzerinde küçük bir köprü var.	kipimio cha majengo na madaraja	Kuna daraja dogo juu ya mto.	classificador para edifícios e pontes	Há uma pequena ponte sobre o rio.
座位	koltuk; oturacak yer	O, yerini yaşlı bir adama verdi.	kiti	Alimwachia mzee mmoja kiti chake.	o assento	Ele cedeu seu assento a um idoso.
