simplified	TE	example_TE
谈判	చర్చలు జరపడం	రెండు పక్షాలు చర్చలు జరుపుతున్నాయి.
坦率	స్పష్టంగా	అతను తన ఆలోచనలను స్పష్టంగా చెప్పాడు.
烫	వేడిగా	ఈ టీ కప్పు చాలా వేడిగా ఉంది.
桃	పీచ్ పండు	చెట్టుపై చాలా పీచ్ పండ్లు పండాయి.
淘气	అల్లరి చేసే	ఈ పిల్లవాడు కొంచెం అల్లరి చేసే వాడు.
逃	పారిపోవడం	కుక్కపిల్ల యార్డు నుండి పారిపోయింది.
逃避	తప్పించుకోవడం	బాధ్యత నుండి తప్పించుకోకండి.
讨价还价	బేరం చేయడం	షాపింగ్‌లో అతనికి బేరం చేయడం ఇష్టం.
套	సెట్	అతను కొత్త దుస్తుల సెట్ కొనుగోలు చేశాడు.
特色	ప్రత్యేకత	ఈ రెస్టారెంట్‌కు స్థానిక ప్రత్యేకతలు ఉన్నాయి.
特殊	ప్రత్యేకమైన	ఈ రోజు ప్రత్యేకమైన రోజు.
特征	లక్షణం	ఈ రకమైన జంతువుకు స్పష్టమైన లక్షణాలు ఉన్నాయి.
疼爱	అత్యంత ప్రేమించడం	తాతయ్య అమ్మమ్మలు పిల్లవాడిని అత్యంత ప్రేమిస్తారు.
提倡	ప్రోత్సహించడం	పాఠశాల నీరు ఆదా చేయడాన్ని ప్రోత్సహిస్తుంది.
提纲	రూపరేఖ	వ్యాసం రాయడానికి ముందు రూపరేఖ తయారు చేయండి.
提问	ప్రశ్న అడగడం	విద్యార్థులు ఎప్పుడైనా ప్రశ్నలు అడగవచ్చు.
题目	ప్రశ్న	ఈ ప్రశ్న అంత కష్టం కాదు.
体会	అర్థం చేసుకోవడం	ప్రయాణం ద్వారా నాకు కొత్త అర్థం కలిగింది.
体贴	ఆప్యాయంగా చూసుకునే	అతను తన కుటుంబాన్ని చాలా ఆప్యాయంగా చూసుకుంటాడు.
体现	ప్రతిబింబించడం	ఈ విషయం జట్టు ఆత్మను ప్రతిబింబిస్తుంది.
体验	అనుభవించడం	నేను స్థానిక జీవితాన్ని అనుభవించాలనుకుంటున్నాను.
天空	ఆకాశం	ఈ రోజు ఆకాశం చాలా నీలంగా ఉంది.
天真	అమాయకమైన	పిల్లవాడి ఆలోచన చాలా అమాయకంగా ఉంది.
调皮	అల్లరి చేసే	ఆ పిల్లి చాలా అల్లరి చేస్తుంది.
调整	సర్దుబాటు చేయడం	మనం ప్రణాళికను సర్దుబాటు చేయాలి.
挑战	సవాలు	ఇది ఒక పెద్ద సవాలు.
通常	సాధారణంగా	అతను సాధారణంగా ఏడు గంటలకు లేస్తాడు.
统一	ఏకీకరించడం	అందరి అభిప్రాయాలను ఏకీకరించాలి.
痛苦	బాధ	స్నేహితుడిని కోల్పోవడం అతనికి చాలా బాధ కలిగించింది.
痛快	సంతోషంగా	ఈ రోజు మేము నిజంగా చాలా సంతోషంగా గడిపాము.
偷	దొంగిలించడం	ఇతరుల వస్తువులను దొంగిలించవద్దు.
投入	మనసుపెట్టి	అతను పనిలో చాలా మనసుపెట్టి పనిచేస్తాడు.
投资	పెట్టుబడి పెట్టడం	వాళ్లు కొత్త ప్రాజెక్టులో పెట్టుబడి పెట్టారు.
透明	పారదర్శకమైన	ఈ కప్పు పారదర్శకంగా ఉంది.
突出	స్పష్టంగా కనిపించే	అతని బలాలు చాలా స్పష్టంగా కనిపిస్తాయి.
土地	భూమి	ఈ భూమి చాలా సారవంతంగా ఉంది.
土豆	బంగాళాదుంప	నేను కొన్ని బంగాళాదుంపలు కొనుగోలు చేశాను.
兔子	కుందేలు	పిల్లవాడు ఒక కుందేలును పెంచుతున్నాడు.
吐	వాంతి చేయడం	అతనికి బాగాలేదు, వాంతి చేయాలనిపిస్తోంది.
团	బృందం	మేము పర్యటన బృందంలో చేరాము.
推辞	నిరాకరించడం	అతను స్నేహితుడి ఆహ్వానాన్ని నిరాకరించాడు.
推广	ప్రచారం చేయడం	కంపెనీ కొత్త ఉత్పత్తిని ప్రచారం చేస్తోంది.
推荐	సిఫారసు చేయడం	ఉపాధ్యాయుడు ఈ పుస్తకాన్ని సిఫారసు చేశాడు.
退	వెనక్కి తగ్గడం	దయచేసి ఒక అడుగు వెనక్కి తగ్గండి.
退步	వెనుకబడడం	అభ్యాసం చేయకపోతే నీ స్థాయి వెనుకబడుతుంది.
退休	పదవీ విరమణ	అతను వచ్చే సంవత్సరం పదవీ విరమణ చేస్తాడు.
歪	వంకరగా	ఈ చిత్రం వంకరగా వేలాడుతోంది.
外公	తాతయ్య	నా తాతయ్యకు ఈ సంవత్సరం ఎనభై ఏళ్లు.
外交	దౌత్యం	అతను అంతర్జాతీయ సంబంధాలు మరియు దౌత్యం చదువుతున్నాడు.
完美	పరిపూర్ణమైన	ఈ ప్రణాళిక పరిపూర్ణమైనది కాదు.
完善	మెరుగుపరచడం	మనం సేవా ప్రక్రియను మెరుగుపరచాలి.
完整	పూర్తి	దయచేసి నాకు పూర్తి నివేదిక ఇవ్వండి.
玩具	బొమ్మ	పిల్లవాడు బొమ్మలను పెట్టెలో పెట్టాడు.
万一	ఒకవేళ	ఒకవేళ వర్షం పడితే, మేము మరో రోజు వెళ్తాము.
王子	రాజకుమారుడు	కథలోని రాజకుమారుడు చాలా ధైర్యవంతుడు.
往返	వచ్చి వెళ్లడం	ఈ టికెట్ అదే రోజు వచ్చి వెళ్లడానికి అనుమతిస్తుంది.
网络	ఇంటర్నెట్	ఇక్కడ ఇంటర్నెట్ కనెక్షన్ చాలా స్థిరంగా ఉంది.
危害	హాని చేయడం	పొగతాగడం ఆరోగ్యానికి హాని చేస్తుంది.
威胁	బెదిరించడం	కాలుష్యం నదిని బెదిరిస్తోంది.
微笑	నవ్వు	ఆమె నన్ను చూసి నవ్వింది.
唯一	ఏకైక	ఇది ఏకైక మార్గం.
围巾	మఫ్లర్	శీతాకాలంలో అతను మఫ్లర్ ధరిస్తాడు.
围绕	చుట్టూ కేంద్రీకరించడం	చర్చ ఈ సమస్య చుట్టూ కేంద్రీకరించింది.
维修	మరమ్మత్తు	లిఫ్ట్ మరమ్మత్తులో ఉంది.
违反	ఉల్లంఘించడం	ఇలా చేయడం నియమాలను ఉల్లంఘిస్తుంది.
伟大	గొప్ప	ఇది ఒక గొప్ప ఆవిష్కరణ.
委屈	అన్యాయం జరిగినట్టు అనిపించడం	ఆమెకు చాలా అన్యాయం జరిగినట్టు అనిపించింది.
尾巴	తోక	కుక్కపిల్ల తన తోకను ఊపింది.
位于	ఉండటం	పాఠశాల నగర కేంద్రంలో ఉంది.
位置	స్థానం	ఈ స్థానం చాలా నిశ్శబ్దంగా ఉంది.
未必	అవసరం లేదు	అతను చెప్పింది తప్పనిసరిగా నిజం కావాల్సిన అవసరం లేదు.
未来	భవిష్యత్తు	మనం భవిష్యత్తు కోసం సిద్ధం కావాలి.
胃	కడుపు	నా కడుపు కొంచెం అసౌకర్యంగా ఉంది.
胃口	ఆకలి	ఈ రోజు అతనికి మంచి ఆకలి ఉంది.
温暖	వెచ్చని	వసంతకాలపు సూర్యకాంతి చాలా వెచ్చగా ఉంది.
温柔	మృదువుగా	ఆమె చాలా మృదువుగా మాట్లాడుతుంది.
文件	పత్రం	దయచేసి పత్రాన్ని నాకు పంపండి.
文具	స్టేషనరీ	స్కూల్ బ్యాగ్‌లో చాలా స్టేషనరీ ఉంది.
文明	సభ్యమైన	క్యూలో నిలబడటం సభ్యమైన ప్రవర్తన.
文学	సాహిత్యం	ఆమెకు చైనా సాహిత్యం ఇష్టం.
文字	లిఖిత అక్షరాలు	ఈ లిఖిత అక్షరాలు చదవడానికి కష్టంగా ఉన్నాయి.
闻	వాసన చూడడం	నాకు పూల సువాసన వచ్చింది.
吻	ముద్దు పెట్టడం	తల్లి పిల్లవాడి ముఖంపై ముద్దు పెట్టింది.
稳定	స్థిరమైన	ధరలు స్థిరంగా ఉన్నాయి.
问候	శుభాకాంక్షలు పంపడం	దయచేసి మీ కుటుంబానికి నా శుభాకాంక్షలు చెప్పండి.
卧室	పడకగది	పడకగదిలో ఒక పెద్ద మంచం ఉంది.
握手	చేయి కలపడం	వాళ్లు కలిసినప్పుడు చేయి కలిపారు.
屋子	గది	గదిలో వెచ్చగా ఉంది.
无奈	చేయలేక	అతను చేయలేక తల ఊపాడు.
无数	లెక్కలేనన్ని	రాత్రి ఆకాశంలో లెక్కలేనన్ని నక్షత్రాలు ఉన్నాయి.
无所谓	పర్వాలేదు	నీకు ఏమి తినాలనిపించినా పర్వాలేదు.
武术	యుద్ధకళలు	అతను చిన్నప్పటి నుంచే యుద్ధకళలు నేర్చుకున్నాడు.
勿	చేయవద్దు	దయచేసి ఇక్కడ పొగతాగవద్దు.
物理	భౌతిక శాస్త్రం	భౌతిక శాస్త్ర తరగతి చాలా ఆసక్తికరంగా ఉంది.
物质	పదార్థం	నీరు ఒక ముఖ్యమైన పదార్థం.
雾	మంచు పొగ	ఉదయం దట్టమైన మంచు పొగ ఉంది.
吸取	పాఠం నేర్చుకోవడం	మనం ఈ పాఠం నుండి నేర్చుకోవాలి.
吸收	పీల్చుకోవడం	మొక్కలు నీటిని పీల్చుకుంటాయి.
戏剧	నాటకం	అతనికి సంప్రదాయ నాటకాలు చూడడం ఇష్టం.
系	విభాగం	ఆమె చైనీస్ విభాగంలో చదువుతుంది.
系统	వ్యవస్థ	ఈ వ్యవస్థ స్థిరంగా నడుస్తుంది.
细节	వివరాలు	దయచేసి ఈ వివరాలపై దృష్టి పెట్టండి.
瞎	అంధంగా	అంధంగా ఊహించవద్దు; ముందుగా సామగ్రిని చూడండి.
下载	డౌన్‌లోడ్ చేయడం	నేను ఈ సాఫ్ట్‌వేర్‌ను డౌన్‌లోడ్ చేశాను.
吓	భయపెట్టడం	అకస్మాత్తుగా వచ్చిన శబ్దం నన్ను భయపెట్టింది.
夏令营	వేసవి శిబిరం	పిల్లవాడు చైనీస్ వేసవి శిబిరంలో పాల్గొన్నాడు.
鲜艳	ప్రకాశవంతమైన రంగు	ఈ స్కర్టు రంగు చాలా ప్రకాశవంతంగా ఉంది.
显得	కనిపించడం	ఈ దుస్తులు అతన్ని చాలా యువకుడిగా కనిపింపజేస్తాయి.
显然	స్పష్టంగా	స్పష్టంగా అతనికి ఫలితం ఇప్పటికే తెలుసు.
显示	చూపించడం	స్క్రీన్ తప్పు సమయాన్ని చూపిస్తోంది.
县	కౌంటీ	ఈ కౌంటీలో చాలా టీ తోటలు ఉన్నాయి.
现代	ఆధునిక	ఆధునిక జీవితం ఇంటర్నెట్ లేకుండా ఉండదు.
现实	వాస్తవం	మనం వాస్తవాన్ని ఎదుర్కోవాలి.
现象	ఘటన	ఈ ఘటన చాలా సాధారణం.
限制	పరిమితం చేయడం	ఇక్కడ వాహనాల ప్రవేశం పరిమితం చేయబడింది.
相处	కలిసి మెలసి ఉండడం	వాళ్లు చాలా బాగా కలిసి మెలసి ఉంటారు.
相当	చాలా	ఈ పుస్తకం చాలా ఆసక్తికరంగా ఉంది.
相对	సాపేక్షంగా	ఇక్కడ ధరలు సాపేక్షంగా చవకగా ఉన్నాయి.
相关	సంబంధిత	దయచేసి సంబంధిత సామగ్రిని ఇవ్వండి.
相似	సమానమైన	ఈ రెండు అక్షరాల అర్థాలు చాలా సమానంగా ఉన్నాయి.
香肠	సాసేజ్	అల్పాహారానికి గుడ్లు మరియు సాసేజ్ ఉన్నాయి.
享受	ఆనందించడం	వాళ్లు సెలవును ఆనందిస్తున్నారు.
想念	గుర్తు రావడం	నాకు నా కుటుంబం చాలా గుర్తుకొస్తోంది.
想象	ఊహించడం	అలాంటి జీవితాన్ని నేను ఊహించలేను.
象棋	చైనీస్ చెస్	తాతయ్యకు చైనీస్ చెస్ ఆడడం ఇష్టం.
象征	ప్రతీక	తెలుపు తరచుగా పవిత్రతకు ప్రతీకగా ఉంటుంది.
项	పని అంశం	ఈ పని అంశం చాలా ముఖ్యమైనది.
项链	హారం	ఆమె వెండి హారం ధరించింది.
项目	ప్రాజెక్టు	ఈ ప్రాజెక్టుకు మూడు నెలలు అవసరం.
消费	ఖర్చు	సెలవుల్లో ఖర్చు పెరిగింది.
消化	జీర్ణం	భోజనం తర్వాత నడక జీర్ణానికి సహాయపడుతుంది.
消极	ప్రతికూల	సమస్యలను ప్రతికూల వైఖరితో చూడకండి.
消失	కనుమరుగవడం	సూర్యుడు మెల్లగా కొండ వెనుక కనుమరుగయ్యాడు.
销售	అమ్మడం	ఈ కంపెనీ ఎలక్ట్రానిక్ ఉత్పత్తులు అమ్ముతుంది.
小麦	గోధుమ	ఉత్తర ప్రాంతంలో చాలా గోధుమలు పండిస్తారు.
小气	పిసినారి	అంత పిసినారిగా ఉండకండి.
孝顺	తల్లిదండ్రులను గౌరవించే	అతను తల్లిదండ్రులను చాలా గౌరవిస్తాడు.
效率	సామర్థ్యం	ఈ విధంగా చేయడం సామర్థ్యాన్ని పెంచగలదు.
歇	విశ్రాంతి తీసుకోవడం	ముందుగా కొద్దిసేపు విశ్రాంతి తీసుకుందాం.
斜	వంపుగా	ఈ రహదారి కొంచెం వంపుగా ఉంది.
写作	రచన	రచనకు దీర్ఘకాలిక అభ్యాసం అవసరం.
心理	మానసిక	పరీక్షకు ముందు నీ మానసిక స్థితిని సర్దుకోవాలి.
心脏	గుండె	గుండె ఆరోగ్యం చాలా ముఖ్యమైనది.
欣赏	ఆస్వాదించడం	మేము అందమైన దృశ్యాన్ని ఆస్వాదించాము.
信号	సిగ్నల్	ఇక్కడ మొబైల్ ఫోన్ సిగ్నల్ బలహీనంగా ఉంది.
信任	నమ్మకం	స్నేహితుల మధ్య నమ్మకం అవసరం.
形成	రూపుదిద్దుకోవడం	మంచి అలవాట్లు క్రమంగా రూపుదిద్దుకోవాలి.
形容	వర్ణించడం	ఈ భావాన్ని ఎలా వర్ణించాలో నాకు తెలియదు.
形势	పరిస్థితి	ప్రస్తుత పరిస్థితి సాపేక్షంగా సంక్లిష్టంగా ఉంది.
形式	రూపం	సమావేశం ఆన్‌లైన్ రూపంలో జరగవచ్చు.
形象	ప్రతిమ	అతని ప్రజా ప్రతిమ చాలా మంచిది.
形状	ఆకారం	ఈ పెట్టె ఆకారం చాలా ప్రత్యేకంగా ఉంది.
行动	చర్య	మనం వెంటనే చర్య తీసుకోవాలి.
行人	పాదచారి	రోడ్డు దాటేటప్పుడు పాదచారులపై దృష్టి పెట్టండి.
行为	ప్రవర్తన	ఈ రకమైన ప్రవర్తన మర్యాదపూర్వకమైనది కాదు.
幸亏	అదృష్టవశాత్తూ	అదృష్టవశాత్తూ నువ్వు నాకు గుర్తుచేశావు.
幸运	అదృష్టవంతుడు	ఉద్యోగం దొరకడం అతనికి అదృష్టం.
性质	స్వభావం	ఈ సమస్య స్వభావం చాలా తీవ్రమైనది.
兄弟	సోదరులు	ఆ ఇద్దరు సోదరుల సంబంధం మంచిది.
胸	ఛాతీ	అతనికి ఛాతీలో కొంచెం బిగుతుగా ఉంది.
休闲	విశ్రాంతి	వారాంతం విశ్రాంతికి మంచి సమయం.
修改	సవరించడం	దయచేసి ఈ వ్యాసాన్ని సవరించండి.
虚心	వినయంగా	మనం అభిప్రాయాలను వినయంగా వినాలి.
叙述	వివరించడం	ఏం జరిగిందో అతను స్పష్టంగా వివరించాడు.
宣布	ప్రకటించడం	పాఠశాల కొత్త నియమాలను ప్రకటించింది.
宣传	ప్రచారం చేయడం	వాళ్లు పర్యావరణ పరిరక్షణ జ్ఞానాన్ని ప్రచారం చేస్తున్నారు.
学历	విద్యార్హత	ఈ ఉద్యోగానికి డిగ్రీ విద్యార్హత అవసరం.
学术	విద్యాసంబంధిత	ఈ సమావేశం విద్యాసంబంధిత విషయాలను చర్చిస్తుంది.
学问	జ్ఞానం	అతనికి చాలా జ్ఞానం ఉంది.
血	రక్తం	అతని చేతి నుంచి కొంచెం రక్తం వచ్చింది.
寻找	వెతకడం	మేము కొత్త పద్ధతిని వెతుకుతున్నాము.
询问	విచారించడం	అతను ఉపాధ్యాయుడిని పరీక్ష సమయం గురించి విచారించాడు.
训练	శిక్షణ	క్రీడాకారుడు ప్రతిరోజూ శిక్షణ తీసుకుంటాడు.
迅速	వేగంగా	వార్త వేగంగా వ్యాపించింది.
押金	డిపాజిట్	ఇల్లు అద్దెకు తీసుకోవడానికి డిపాజిట్ చెల్లించాలి.
牙齿	పళ్లు	ప్రతిరోజూ నీ పళ్లను బాగా చూసుకోండి.
严肃	గంభీరమైన	ఉపాధ్యాయుడి ముఖభావం చాలా గంభీరంగా ఉంది.
延长	పొడిగించడం	సమావేశం అరగంట పొడిగించబడింది.
演讲	ప్రసంగం	అతను రేపటి ప్రసంగాన్ని సిద్ధం చేస్తున్నాడు.
宴会	విందు	వాళ్లు ఒక విందులో పాల్గొన్నారు.
阳台	బాల్కనీ	బాల్కనీలో కొన్ని పూల కుండీలు ఉన్నాయి.
痒	దురద	నా చేతికి కొంచెం దురదగా ఉంది.
样式	శైలి	ఈ శైలి చాలా ప్రజాదరణ పొందింది.
腰	నడుము	చాలా సేపు కూర్చుంటే నడుము నొప్పి రావచ్చు.
摇	ఊపడం	గాలి కొమ్మలను అటూ ఇటూ ఊపింది.
咬	కరవడం	ఈ కుక్క మనుషులను కరవదు.
要不	అయితే	అయితే మనం రేపు మళ్లీ వెళ్దామా?
业务	వ్యాపారం	కంపెనీ వ్యాపారం పెరుగుతోంది.
业余	ఖాళీ సమయంలో	అతను ఖాళీ సమయంలో ఫోటోగ్రఫీ నేర్చుకుంటాడు.
夜	రాత్రి	రాత్రి వీధి చాలా నిశ్శబ్దంగా ఉంటుంది.
依然	ఇప్పటికీ	అతను ఇప్పటికీ బీజింగ్‌లోనే ఉంటాడు.
一辈子	జీవితాంతం	ఆమె జీవితాంతం సంగీతాన్ని ప్రేమించింది.
一旦	ఒకసారి	ఒకసారి నిర్ణయిస్తే, పట్టుదలగా కొనసాగాలి.
一律	అందరూ	సమావేశంలో అందరూ ఫోన్లు ఆఫ్ చేయాలి.
一再	మళ్లీ మళ్లీ	అతను భద్రతపై దృష్టి పెట్టమని మమ్మల్ని మళ్లీ మళ్లీ గుర్తుచేశాడు.
一致	ఏకీభవించిన	అందరి అభిప్రాయాలు పూర్తిగా ఏకీభవించాయి.
疑问	సందేహం	ఈ సమాధానం గురించి నాకు ఒక సందేహం ఉంది.
移动	కదిలించడం	దయచేసి బల్లను కొంచెం కదిలించండి.
移民	వలస వెళ్లడం	వాళ్లు విదేశాలకు వలస వెళ్లాలని యోచిస్తున్నారు.
遗憾	విచారం	నిన్ను చూడలేకపోవడం నాకు విచారంగా ఉంది.
乙	రెండవ పక్షం	ఒప్పందంలో రెండవ పక్షం చెల్లింపుకు బాధ్యత వహిస్తుంది.
以及	మరియు	నేను పుస్తకాలు మరియు స్టేషనరీ కొన్నాను.
以来	నుంచి	పట్టా పొందినప్పటి నుంచి అతను బీజింగ్‌లో పని చేస్తున్నాడు.
义务	బాధ్యత	పర్యావరణాన్ని రక్షించడం అందరి బాధ్యత.
亿	వంద మిలియన్	ఈ దేశ జనాభా ఒక బిలియన్ కంటే ఎక్కువ.
意外	అనుకోని	ఈసారి ఆలస్యం కావడం పూర్తిగా అనుకోని విషయం.
意义	ప్రాముఖ్యత	ఈ కార్యక్రమానికి చాలా ప్రాముఖ్యత ఉంది.
议论	చర్చించడం	అందరూ ఈ విషయం గురించి చర్చిస్తున్నారు.
因而	అందువల్ల	అతను కష్టపడి చదువుతాడు, అందువల్ల అతని మార్కులు బాగుంటాయి.
因素	కారకం	వాతావరణం ఒక ముఖ్యమైన కారకం.
银	వెండి	ఆమె వెండి కంకణం ధరించింది.
印刷	ముద్రించడం	ఈ పుస్తకం చాలా స్పష్టంగా ముద్రించబడింది.
英俊	అందమైన	అతను చాలా అందంగా ఉన్నాడు.
英雄	వీరుడు	అగ్నిమాపక సిబ్బంది నిజమైన వీరులు.
营养	పోషణ	అల్పాహారంలో సరిపడా పోషణ ఉండాలి.
营业	వ్యాపారం ప్రారంభించడం	ఈ దుకాణం తొమ్మిది గంటలకు వ్యాపారం ప్రారంభిస్తుంది.
迎接	స్వాగతించడం	అతిథులను స్వాగతించడానికి మేము విమానాశ్రయానికి వెళ్లాము.
影子	నీడ	వీధి దీపం కింద అతని నీడ ఉంది.
应付	ఎదుర్కోవడం	అతను ఈ సమస్యను ఎదుర్కోగలడు.
应用	అన్వయించడం	ఈ పద్ధతిని బోధనలో అన్వయించవచ్చు.
硬	గట్టిగా	ఈ కుర్చీ చాలా గట్టిగా ఉంది.
硬件	హార్డ్‌వేర్	ఈ కంప్యూటర్ హార్డ్‌వేర్ మంచిది.
拥抱	కౌగిలించుకోవడం	పిల్లవాడు అమ్మను కౌగిలించుకోవడానికి పరుగెత్తుకొచ్చాడు.
拥挤	రద్దీగా	ఉదయం రష్ అవర్‌లో మెట్రో చాలా రద్దీగా ఉంటుంది.
勇气	ధైర్యం	తన తప్పును ఒప్పుకునే ధైర్యం అతనికి ఉంది.
用功	శ్రద్ధగా చదవడం	ఆమె చాలా శ్రద్ధగా చదువుతుంది.
用途	ఉపయోగం	ఈ పదార్థానికి చాలా ఉపయోగాలు ఉన్నాయి.
优惠	రాయితీ	ఈ దుకాణంలో ఈ రోజు రాయితీ ఉంది.
优美	అందమైన	ఇక్కడి వాతావరణం చాలా అందంగా ఉంది.
优势	ప్రయోజనం	అతని ప్రయోజనం సమృద్ధమైన అనుభవం.
悠久	దీర్ఘమైన	చైనాకు దీర్ఘమైన చరిత్ర ఉంది.
油炸	నూనెలో వేయించడం	నేను నూనెలో వేయించిన ఆహారం అరుదుగా తింటాను.
游览	సందర్శించడం	మేము రేపు నిషిద్ధ నగరాన్ని సందర్శిస్తాము.
犹豫	సందేహించడం	సమాధానం చెప్పేముందు అతను కొద్దిసేపు సందేహించాడు.
有利	అనుకూలమైన	ఈ పరిస్థితి మనకు అనుకూలంగా ఉంది.
幼儿园	కిండర్‌గార్టెన్	పిల్లవాడు వచ్చే సంవత్సరం కిండర్‌గార్టెన్‌కు వెళ్తాడు.
娱乐	వినోదం	సినిమాలు చూడటం ఒక రకమైన వినోదం.
与其	కంటే	ఫిర్యాదు చేయడం కంటే చర్య తీసుకోవడం మంచిది.
语气	మాటల స్వరం	అతని మాటల స్వరం చాలా మృదువుగా ఉంది.
玉米	మొక్కజొన్న	రాత్రి భోజనానికి మొక్కజొన్న సూప్ ఉంది.
预报	అంచనా	వాతావరణ అంచనా ప్రకారం రేపు వర్షం పడుతుంది.
预订	ముందుగా బుక్ చేయడం	నేను ఇప్పటికే హోటల్‌ను ముందుగా బుక్ చేశాను.
预防	నిరోధించడం	తరచూ చేతులు కడగడం జలుబును నిరోధించగలదు.
元旦	నూతన సంవత్సర దినం	నూతన సంవత్సర దినాన మాకు ఒక రోజు సెలవు ఉంటుంది.
原料	ముడి పదార్థం	రొట్టెకు ప్రధాన ముడి పదార్థం పిండి.
原则	సూత్రం	మనిషికి సూత్రాలు ఉండాలి.
员工	ఉద్యోగి	కంపెనీలో మూడు వందల మంది ఉద్యోగులు ఉన్నారు.
圆	గుండ్రంగా	చంద్రుడు పెద్దగా గుండ్రంగా ఉంది.
愿望	కోరిక	ప్రపంచం చుట్టూ ప్రయాణించడం అతని కోరిక.
乐器	వాద్యపరికరం	ఆమె అనేక వాద్యపరికరాలు వాయించగలదు.
晕	తల తిరగడం	పడవలో వెళ్తే నాకు కొంచెం తల తిరుగుతుంది.
运气	అదృష్టం	ఈ రోజు నా అదృష్టం బాగుంది.
运输	రవాణా	ఈ సరుకులకు రైల్వే రవాణా అవసరం.
运用	ఉపయోగించడం	దయచేసి ఈ పదాలను అనువుగా ఉపయోగించండి.
灾害	విపత్తు	వరద ఒక రకమైన ప్రకృతి విపత్తు.
再三	మళ్లీ మళ్లీ	ఉపాధ్యాయుడు పునశ్చరణ చేయమని మమ్మల్ని మళ్లీ మళ్లీ గుర్తుచేశాడు.
在乎	పట్టించుకోవడం	అతను స్నేహితుల అభిప్రాయాలను చాలా పట్టించుకుంటాడు.
在于	లో ఉండటం	విజయం పట్టుదలలో ఉంటుంది.
赞成	అంగీకరించడం	నీ సూచనతో నేను అంగీకరిస్తున్నాను.
赞美	ప్రశంసించడం	అందరూ ఆమె ధైర్యాన్ని ప్రశంసించారు.
糟糕	చాలా చెడు	ఈ రోజు వాతావరణం నిజంగా చాలా చెడ్డది.
造成	కారణం కావడం	భారీ వర్షం ట్రాఫిక్ జామ్‌కు కారణమైంది.
则	అయితే	కష్టపడి పనిచేస్తే పురోగతి ఉంటుంది.
责备	నిందించడం	ఉపాధ్యాయుడు అతన్ని నిందించలేదు.
摘	కోయడం	ఆమె తోటలో ఒక పువ్వు కోసింది.
窄	ఇరుకైన	ఈ రహదారి చాలా ఇరుకుగా ఉంది.
粘贴	అంటించడం	దయచేసి ఫోటోను ఇక్కడ అంటించండి.
展开	ప్రారంభించడం	చర్చ త్వరగా ప్రారంభమైంది.
展览	ప్రదర్శన	మ్యూజియంలో కొత్త ప్రదర్శన ఉంది.
占	ఆక్రమించడం	ఈ బల్ల స్థలాన్ని ఆక్రమిస్తోంది.
战争	యుద్ధం	యుద్ధం ప్రజలకు బాధను తెస్తుంది.
掌握	ప్రావీణ్యం పొందడం	అతను ఇప్పటికే ప్రాథమిక వ్యాకరణంలో ప్రావీణ్యం పొందాడు.
涨	పెరగడం	ఇటీవల అద్దె మళ్లీ పెరిగింది.
长辈	పెద్దలు	నూతన సంవత్సరంలో పెద్దలను అభివాదం చేయాలి.
账户	ఖాతా	దయచేసి మీ బ్యాంకు ఖాతాను తనిఖీ చేయండి.
招待	ఆతిథ్యం ఇవ్వడం	ఆతిథ్యుడు అతిథులకు ఆత్మీయంగా ఆతిథ్యం ఇచ్చాడు.
着火	మంటలు అంటుకోవడం	వంటగదికి అకస్మాత్తుగా మంటలు అంటుకున్నాయి.
着凉	జలుబు పట్టడం	చలిగా ఉంది, కాబట్టి జలుబు పట్టనివ్వకు.
召开	సమావేశం నిర్వహించడం	పాఠశాల రేపు సమావేశం నిర్వహిస్తుంది.
照常	ఎప్పటిలాగే	దుకాణం రేపు ఎప్పటిలాగే తెరుస్తుంది.
哲学	తత్వశాస్త్రం	అతను విశ్వవిద్యాలయంలో తత్వశాస్త్రం చదివాడు.
珍惜	విలువగా భావించడం	మనం సమయాన్ని విలువగా భావించాలి.
真实	నిజమైన	ఈ కథ నిజమైనది.
针对	లక్ష్యంగా	ఈ సూచన కొత్త విద్యార్థులను లక్ష్యంగా ఉంచింది.
诊断	నిర్ధారణ	వైద్యుడు త్వరగా నిర్ధారణ చేశాడు.
振动	కంపించడం	ఫోన్ బల్లపై కంపిస్తోంది.
阵	ఒక దఫా	బయట కొద్దిసేపు ఒక దఫా వాన పడింది.
争论	వాదించడం	వాళ్లు ఈ సమస్య గురించి చాలా సేపు వాదించారు.
争取	కోసం ప్రయత్నించడం	మనం మరిన్ని అవకాశాల కోసం ప్రయత్నించాలి.
征求	అభిప్రాయం కోరడం	ఉపాధ్యాయుడు అందరి అభిప్రాయాలు కోరాడు.
挣	విడిపోవడానికి తపించడం	పక్షి తాడు నుంచి విడిపోవడానికి తపించింది.
睁	కళ్లు తెరవడం	దయచేసి మీ కళ్లను కొంచెం పెద్దగా తెరవండి.
整个	మొత్తం	మొత్తం నగరం చాలా నిశ్శబ్దంగా ఉంది.
整齐	చక్కగా	పుస్తకాలు చాలా చక్కగా అమర్చబడ్డాయి.
整体	మొత్తం	మనం మొత్తం ప్రభావాన్ని పరిగణించాలి.
政府	ప్రభుత్వం	ప్రభుత్వం కొత్త ప్రకటన జారీ చేసింది.
政治	రాజకీయాలు	అతనికి రాజకీయాలపై చాలా ఆసక్తి ఉంది.
