simplified	HU	example_HU
配备	felszerelni	Az új autót biztonsági rendszerrel szerelték fel.
配偶	házastárs	A jelentkezési lapon ki kell tölteni a házastárs adatait.
配套	kiegészítő	A lakóközösség teljes kiegészítő létesítményekkel rendelkezik.
盆地	medence	Ebben a medencében nyáron nagyon meleg van.
烹饪	főzés	A főzés türelmet és tapasztalatot igényel.
捧	két kézzel tartani	Két kézzel tartott egy csokor virágot.
劈	hasítani	A munkás fejszével hasította a tűzifát.
批发	nagykereskedelem	Ez az üzlet főként gyümölccsel kereskedik nagyban.
批判	bírálni	A cikk bírálta ezt a téves nézetet.
疲惫	kimerült	A hosszú út után mindenki kimerült volt.
疲倦	fáradt	A folyamatos munka fáradttá tette.
皮革	bőr	Ez a táska bőrből készült.
屁股	fenék	A gyereknek fájt a feneke, miután elesett.
譬如	például	Például először végezhetünk egy kis tesztet.
偏差	eltérés	A kísérleti eredményekben nyilvánvaló eltérés van.
偏见	előítélet	Kerülnünk kell az etnikai előítéleteket.
偏僻	távoli	Ez a falu nagyon távoli helyen fekszik.
偏偏	éppen akkor	Minél jobban siettem, az autó éppen annál lassabban ment.
片断	részlet	A filmben több nagyszerű részlet van.
片刻	rövid pillanat	Kérlek, várj itt rám egy rövid pillanatot.
漂浮	lebegni	A lehullott levelek a víz felszínén lebegtek.
飘扬	lobogni	A nemzeti zászló lobogott a szélben.
撇	félretenni	Félretette a régi tervet.
拼搏	küzdeni	A fiataloknak küzdeniük kell az eszményeikért.
拼命	minden erejével	Minden erejével utol akarta érni az előtte haladó csapatot.
贫乏	szegényes	Ennek a cikknek a tartalma elég szegényes.
贫困	szegénység	A kormány segíti a szegény családokat.
频繁	gyakori	Mostanában itt gyakoriak a közlekedési balesetek.
频率	frekvencia	Ennek a hangnak magas a frekvenciája.
品尝	megkóstolni	A vendégek helyi ételeket kóstolnak.
品德	erkölcsi jellem	Az iskola nagyra tartja a diákok erkölcsi nevelését.
品质	minőség	Ennek a vállalatnak a termékminősége stabil.
品种	fajta	A piacon sokféle gyümölcsfajta van.
屏幕	képernyő	Kérjük, csökkentse a képernyő fényerejét.
屏障	akadály	Az erdő fontos szélvédő akadály.
平凡	hétköznapi	Sok éven át hétköznapi munkakörben dolgozott.
平面	alaprajz	A tervező megrajzolta a ház alaprajzát.
平坦	sík	Ez az út nagyon sík.
平行	párhuzamos	Ez a két vonal párhuzamos egymással.
平庸	középszerű	Nem akar középszerű életet élni.
平原	síkság	A vonat széles síkságon haladt át.
评估	értékelni	A szakértők a projekt kockázatait értékelik.
评论	hozzászólni	Az olvasók hozzászólhatnak a cikk alatt.
坡	lejtő	Az autó lassan felhajtott a lejtőre.
泼	kilocsolni	Ne locsold a vizet a földre.
颇	meglehetősen	Ez az eredmény meglehetősen váratlan.
破例	kivételt tenni	A vezető kivételt tett, és jóváhagyta a kérelmét.
迫不及待	türelmetlenül	A gyerekek türelmetlenül nyitották ki az ajándékokat.
迫害	üldözés	A történelem során sok ember szenvedett üldözést.
魄力	határozottság	A vezetőknek döntési határozottságra van szükségük.
扑	belevetni magát	A gyerek hirtelen az anyja karjába vetette magát.
铺	lefektetni	A munkások új szőnyeget fektetnek le.
普及	elterjedni	Az internet már elterjedt a városokban.
朴实	egyszerű	A nyelvezete egyszerű és őszinte.
朴素	egyszerű	Az egyszerű életmódot szereti.
瀑布	vízesés	A turisták a vízesés mellett fényképezkedtek.
凄凉	kietlen	A hegyi falu télen nagyon kietlennek tűnt.
期望	elvárás	A szülőknek magas elvárásaik vannak a gyerekeikkel szemben.
期限	határidő	A jelentkezési határidő ezen a pénteken van.
欺负	bántani	A nagyobb gyerekeknek nem szabad bántaniuk a kisebbeket.
欺骗	becsapni	A hamis reklám becsapta a fogyasztókat.
奇妙	csodálatos	A természetben sok csodálatos jelenség van.
旗袍	csipao	Piros csipaót viselve vett részt az esti rendezvényen.
旗帜	zászló	A téren élénk színű zászlók lobogtak.
歧视	diszkrimináció	A törvény tiltja a diszkrimináció minden formáját.
齐全	teljes	Ebben az üzletben teljes a szerszámválaszték.
齐心协力	összefogva	Mindenki összefogva fejezte be a feladatot.
乞丐	koldus	Az út szélén egy idős koldus ült.
企图	megkísérelni	Megkísérelte eltitkolni a valódi helyzetet.
启程	útnak indulni	A küldöttség holnap kora reggel indul útnak.
启蒙	bevezető	Ez a könyv gyerekek bevezető olvasmányának alkalmas.
启事	hirdetmény	Az iskola kapujánál álláshirdetmény volt kiragasztva.
启示	tanulság	Ez a kudarc fontos tanulságot adott nekünk.
岂有此理	felháborító	Ez a díjfelszámítás igazán felháborító.
起草	megfogalmazni	Az ügyvéd éppen megfogalmazza a szerződést.
起初	kezdetben	Kezdetben nem hitt a hírnek.
起伏	hullámzás	A hegyi út a tereppel együtt hullámzik.
起哄	rendbontást csinálni	Diákok, ne csináljatok rendbontást az órán.
起码	legalább	Legalább előre értesítened kellett volna.
起源	eredni	Ez az ünnep az ókorból ered.
器材	felszerelés	A laboratóriumnak új oktatási felszerelésre van szüksége.
器官	szerv	A szív az emberi test fontos szerve.
气概	hősi szellem	Ez a vers hősi szellemet mutat.
气功	csikung	A nagyapa minden reggel csikungot gyakorol.
气魄	impozáns lendület	Ez a híd impozáns lendületet sugároz.
气色	arcszín	Pihenés után sokkal jobb lett az arcszíne.
气势	lendület	A csapat már a kezdéskor erős lendületet mutatott.
气味	szag	A konyhában pirítós szaga volt.
气象	időjárás	Itt a fennsíki időjárás gyorsan változik.
气压	légnyomás	A légnyomás csökkenése esőt hozhat.
气质	kisugárzás	Csendes kisugárzása van.
迄今为止	eddig	Eddig a kísérlet zökkenőmentesen haladt.
掐	leszakítani	Leszakított egy kis virágot.
恰当	megfelelő	A válaszod nagyon megfelelő.
恰到好处	pont megfelelő	Ennek az ételnek az édessége pont megfelelő.
恰巧	véletlenül	Amikor az állomásra értem, véletlenül esni kezdett.
洽谈	tárgyalni	A két fél az együttműködés részleteiről tárgyal.
千方百计	minden lehetséges módon	Minden lehetséges módon keresték a megoldást.
牵	kézen fogni	Az anya kézen fogta a gyereket az úttesten átkelve.
牵扯	érinteni	Ez az ügy sok osztályt érint.
牵制	korlátozni	Az ellenfél védelme korlátozta a támadást.
签署	aláírni	A két vállalat megállapodást írt alá.
谦逊	szerény	Sikere után is szerény maradt.
迁就	alkalmazkodni	A szülők nem alkalmazkodhatnak mindig a gyerekhez.
迁徙	vándorolni	A vándormadarak minden évben az évszakok szerint vándorolnak.
前景	kilátás	Ennek az iparágnak jók a kilátásai.
前提	előfeltétel	A bizalom az együttműködés előfeltétele.
潜力	potenciál	Ebben a diákban nagy potenciál van.
潜水	búvárkodni	A tengerpartra mentek búvárkodni tanulni.
潜移默化	észrevétlenül hatni	A családi környezet észrevétlenül hathat a gyerekekre.
谴责	elítélni	A nemzetközi közösség elítélte az erőszakot.
抢劫	kirabolni	A rendőrség elfogta a bankot kirabló gyanúsítottat.
强制	kötelezni	Az új szabály kötelezi a sofőröket a biztonsági öv használatára.
强迫	kényszeríteni	Ne kényszerítsd a gyereket olyasmire, amit nem szeret.
抢救	menteni	Az orvosok a sérült munkást mentik.
桥梁	híd	A nyelv híd a kulturális csere számára.
窍门	fogás	A kiejtés tanulásának vannak bizonyos fogásai.
翘	felemelni	Egyik lábát felemelte a székre.
切实	gyakorlatias	Gyakorlatias és megvalósítható tervre van szükségünk.
锲而不舍	kitartóan	Kitartóan kutatta ezt a problémát.
亲密	szoros	Mindig szoros kapcsolatot tartottak fenn.
亲热	melegen	Az idős ember melegen üdvözölte a vendégeket.
侵犯	megsérteni	Ez a viselkedés megsértette a személyes magánszférát.
侵略	agresszió	Az emberek ellenzik az agresszió minden formáját.
钦佩	csodálni	Nagyon csodálom a bátorságát.
勤俭	szorgalmas és takarékos	A nagymama egész életében szorgalmasan és takarékosan vezette a háztartást.
勤劳	szorgalmas	A szorgalmas emberek mindig tudnak lehetőségeket teremteni.
倾听	figyelmesen hallgatni	A tanár figyelmesen meghallgatta a diákok véleményét.
倾向	hajlamos	A fiatal fogyasztók hajlamosak online vásárolni.
倾斜	megdőlni	A nagy eső után a fal elkezdett megdőlni.
清澈	tiszta	A hegyi patak vize nagyon tiszta.
清晨	kora reggel	Kora reggel a levegő különösen friss.
清除	eltakarítani	A munkások eltakarították a havat az útról.
清洁	tiszta	A kórházaknak tisztán kell tartaniuk a környezetet.
清理	kitakarítani	Hétvégén kitakarítottuk a raktárt.
清晰	éles	Ez a fénykép nagyon éles.
清醒	éber	Kávé után sokkal éberebb lett.
清真	halal	A közelben van egy halal étterem.
情报	információ	A riporter fontos információhoz jutott.
情节	cselekmény	A regény cselekménye nagyon feszült.
情理	ésszerűség	A kérése nem ésszerű.
情形	helyzet	A helyszíni helyzet bonyolultabb volt, mint képzeltük.
晴朗	derült	Ma az ég különösen derült.
请柬	meghívó	Esküvői meghívókat küldtek a rokonoknak és barátoknak.
请教	tanácsot kérni	Szeretnék tanácsot kérni öntől egy kérdésben.
请示	utasítást kérni	Ezt az ügyet előbb jelenteni kell a vezetőnek utasításért.
请帖	meghívó	Az asztalon egy születésnapi meghívó volt.
丘陵	dombvidék	Ezen a területen sok a dombvidék.
区分	megkülönböztetni	A gyerek már meg tudja különböztetni a bal és jobb oldalt.
区域	terület	Ezen a területen tilos parkolni.
屈服	engedni	Nem engedett a nyomásnak.
曲折	bonyolult	Bonyolult tárgyalásokon mentek keresztül.
驱逐	kiutasítani	A rendőrség kiutasította a rendbontókat.
渠道	csatorna	A vállalat új csatornán keresztül értékesíti a termékeit.
取缔	betiltani	A kormány betiltotta az illegális piacot.
曲子	dallam	Ennek a dallamnak nagyon szép a melódiája.
趣味	érdekesség	Ez a játék nagyon érdekes.
圈套	csapda	Majdnem beleesett a csaló csapdájába.
全局	egész helyzet	A vezetőknek az egész helyzet érdekeit kell figyelembe venniük.
全力以赴	minden erejével	Minden erőnkkel befejezzük a feladatot.
拳头	ököl	Ökölbe szorította a kezét, és felkészült a versenyre.
权衡	mérlegelni	Mérlegelnünk kell a költséget és a hatást.
权威	tekintély	Ez a professzor tekintély a szakterületen.
犬	kutya	Ez a kutyafajta alkalmas házőrzésre.
缺口	rés	A falon van egy kis rés.
缺席	hiányzás	Betegség miatt hiányzott az ülésről.
缺陷	hiba	Ennek a tervnek nyilvánvaló hibája van.
瘸	sánta	A bal lába kissé sánta.
确保	biztosítani	Kérjük, győződjön meg róla, hogy az ajtó be van zárva.
确立	létrehozni	A vállalat új fejlődési célokat határozott meg.
确切	pontos	Nem tudom a pontos időt.
确信	biztos benne	Biztos vagyok benne, hogy időben megérkezik.
群众	tömegek	A tömegek támogatják az új politikát.
染	festeni	Feketére festette a haját.
嚷	kiabálni	Ne kiabálj hangosan a folyosón.
让步	engedmény	Mindkét fél tett néhány engedményt.
饶恕	megbocsátani	Végül úgy döntött, megbocsát a másik félnek.
扰乱	megzavarni	A zaj megzavarta az óra rendjét.
惹祸	bajt okozni	A felelőtlen viccelődés könnyen bajt okozhat.
热泪盈眶	könnybe lábad a szeme	A jó hír hallatán könnybe lábadt a szeme.
热门	népszerű	A mesterséges intelligencia népszerű téma.
人道	humanitárius	A mentőakció humanitárius szellemet tükrözött.
人格	méltóság	Mások sértegetése sérti a személyes méltóságot.
人工	mesterséges	Ezt a folyót mesterségesen ásták ki.
人家	mások	Ne hasonlítsd magad mindig másokhoz.
人间	emberi világ	A tavasz élettel tölti meg az emberi világot.
人士	személyiség	Különböző körökből érkező személyiségek vettek részt a fórumon.
人为	emberi eredetű	Ezt a balesetet emberi tényezők okozták.
人性	emberi természet	Ez a film az emberi természetről szól.
人质	túsz	A rendőrség sikeresen kiszabadította a túszt.
仁慈	jóságos	Ez az orvos nagyon jóságos a betegekkel.
忍耐	türelem	Hosszú sorban várni némi türelmet igényel.
忍受	elviselni	Nem tudom elviselni az itteni zajt.
任命	kinevezni	Az igazgatótanács őt nevezte ki vezetőnek.
任性	önfejű	Ha egy gyerek túl önfejű, az hatással lehet a fejlődésére.
任意	önkényesen	Kérjük, ne módosítsa önkényesen az adatokat.
任重道远	nagy felelősség és hosszú út	Az oktatási reform nagy felelősség és hosszú út.
认定	megállapítani	A rendőrség megállapította, hogy ez baleset volt.
认可	elismerés	A tervét mindenki elismerte.
仍旧	továbbra is	Sok év után is továbbra is itt lakott.
日新月异	rohamosan fejlődik	A technológia rohamosan fejlődik.
日益	egyre inkább	A környezeti problémák egyre súlyosabbak.
容貌	külső	Az évek megváltoztatták a külsejét.
容纳	befogad	Ez a csarnok ötszáz embert tud befogadni.
容器	edény	Kérjük, öntse a folyadékot üvegedénybe.
容忍	tűrni	A vállalat nem tűri a csalást.
溶解	feloldódni	A só feloldódik a vízben.
荣幸	megtiszteltetés	Megtiszteltetés számomra részt venni az ülésen.
荣誉	becsület	Ez az érem a legmagasabb becsületet jelképezi.
融化	elolvadni	A napfény lassan elolvasztotta a jeget és a havat.
融洽	harmonikus	A kollégák kapcsolata nagyon harmonikus.
揉	dörzsölni	Anya finoman megdörzsölte a vállamat.
柔和	lágy	A fény lágy, nem vakító.
儒家	konfucianizmus	A konfuciánus gondolkodás hatott a kelet-ázsiai kultúrára.
弱点	gyenge pont	A figyelmetlenség a fő gyenge pontja.
若干	néhány	Az értekezlet néhány javaslatot tett.
撒谎	hazudni	A gyerekeknek nem szabad hazudniuk.
散文	próza	Szeret modern prózát olvasni.
散布	terjeszteni	Valaki pletykákat terjesztett az interneten.
散发	árasztani	A kert friss illatot árasztott.
丧失	elveszíteni	Nem veszítette el az önbizalmát.
骚扰	zaklatni	Kérjük, ne zaklassa a többi utast.
嫂子	sógornő	A sógornőm főztje nagyon finom.
刹车	fékezni	A sofőr hirtelen fékezett.
啥	mi	Mit mondtál az előbb?
筛选	szűrni	A rendszer automatikusan szűri az önéletrajzokat.
山脉	hegység	Ez a hegység nagyon hosszú.
闪烁	villogni	A távoli fények folyamatosan villogtak.
擅长	jó valamiben	Jó az összetett problémák kezelésében.
擅自	engedély nélkül	Az alkalmazottak nem hagyhatják el engedély nélkül a posztjukat.
伤脑筋	fejtörést okozó	Ez a probléma igazán fejtörést okoz.
商标	védjegy	A vállalat új védjegyet jegyeztetett be.
上级	felettes	Jelentette a helyzetet a feletteseinek.
上进	törekvő	Mindig nagyon törekvő volt.
上任	hivatalba lépni	Az új vezető jövő héten lép hivatalba.
上瘾	függővé válni	Sokan függővé válnak a rövid videóktól.
上游	felső folyás	A szennyezés a folyó felső folyásából származik.
尚且	még	Még a felnőttek is hibázhatnak.
捎	átadni valamit valakinek	Kérlek, adj át nekem egy üzenetet.
梢	fa csúcsa	A madár a fa csúcsán pihent meg.
哨	őrszem	A kapunál egy őrszem áll.
奢侈	fényűző	Az ilyen fogyasztás túl fényűző.
舌头	nyelv	Megégette a nyelvét.
摄氏度	Celsius-fok	Ma harminc Celsius-fok van.
涉及	érint	A jelentés több osztályt érint.
社区	közösség	A közösség egészségügyi előadást szervezett.
设立	létrehozni	Az iskola ösztöndíjat hozott létre.
设想	elgondolás	Ezt az elgondolást még meg kell vitatni.
设置	beállítani	Kérjük, állítsa be újra a jelszót.
呻吟	nyögni	A beteg halkan nyögött.
深奥	mélyenszántó	Ennek a könyvnek a tartalma nagyon mélyenszántó.
深沉	mély	A hangja alacsony és mély volt.
深情厚谊	mély barátság	A két ország népei mély barátságot kötöttek.
申报	bejelenteni	Az utasoknak őszintén be kell jelenteniük a tárgyaikat.
绅士	úriember	Úgy viselkedik, mint egy úriember.
神经	ideg	A stressz hatással lehet az idegrendszerre.
神奇	varázslatos	Az itteni táj nagyon varázslatos.
神气	lelkes	Ma különösen lelkesnek tűnt.
神圣	szent	Ez szent kötelesség.
神态	arckifejezés	Az arckifejezése nagyon nyugodt volt.
神仙	halhatatlan	A legenda szerint halhatatlanok élnek a hegyekben.
审查	felülvizsgálni	A platform felülvizsgálja a közzétett tartalmat.
审理	tárgyalni	A bíróság éppen tárgyalja ezt az ügyet.
审美	esztétikai ízlés	Az esztétikai ízlése nagyon egyedi.
审判	per	A nyilvános per felkeltette a média figyelmét.
慎重	óvatos	Ezt a döntést óvatosan kell meghozni.
渗透	beszivárogni	Az esővíz lassan beszivárgott a talajba.
声明	nyilatkozat	A vállalat hivatalos nyilatkozatot adott ki.
声势	lendület	Ez a reklámkampány nagy lendülettel zajlik.
声誉	hírnév	A termékminőség hat a márka hírnevére.
牲畜	haszonállat	A pásztorok visszaterelték a haszonállatokat a legelőre.
生存	túlélés	A vadállatoknak élettérre van szükségük a túléléshez.
生机	életerő	A tavaszi eső életerővel tölti meg a földet.
生理	fiziológiai	Az alvás hat az ember fiziológiai állapotára.
生疏	rozsdás	Több év gyakorlás nélkül a zongorázása kissé rozsdás lett.
生态	ökológia	Az erdővédelem az ökológiai egyensúlyhoz kapcsolódik.
生物	élőlény	Az óceánban sok különös élőlény van.
生效	hatályba lépni	Az új szabály holnap hivatalosan hatályba lép.
生肖	kínai állatövi jegy	Mi a kínai állatövi jegyed?
生锈	rozsdásodni	A kerékpárlánc már rozsdásodik.
生育	termékenység	A kórház termékenységi tanácsadást nyújt.
省会	tartományi székhely	Chengdu ősidők óta Szecsuán tartomány székhelye.
盛产	bőségesen terem	Itt bőségesen terem kiváló minőségű tea.
盛开	teljes virágzásban	A parkban a cseresznyevirágok teljes virágzásban vannak.
盛情	meleg vendégszeretet	Köszönjük a házigazda meleg vendégszeretetét.
盛行	divatban lenni	Ez a stílus egy időben nagyon divatos volt.
胜负	győzelem vagy vereség	A mérkőzés utolsó perce döntötte el a végeredményt.
失事	balesetet szenvedni	A repülőgép-baleset oka még vizsgálat alatt áll.
失误	hiba	Egy kis hiba miatt késett a projekt.
失踪	eltűnt	A rendőrség az eltűnt gyereket keresi.
尸体	holttest	A mentőcsapat megtalálta az áldozat holttestét.
师范	tanárképző	Tanárképző egyetemen végzett.
施加	gyakorolni	A szülőknek nem szabad túl nagy nyomást gyakorolniuk.
施展	kamatoztatni	Végre lehetőséget kapott a tehetsége kamatoztatására.
十足	teljes	Teljesen bízik az eredményben.
实惠	kedvező	Ennek az üzletnek az árai kedvezőek.
实力	erő	A csapat összereje nagyon erős.
实施	végrehajtani	A kormány elkezdte végrehajtani az új tervet.
实事求是	tényekből kiindulni	A kutatásban tényekből kell kiindulni.
实行	bevezetni	A vállalat rugalmas munkarendet vezetett be.
实质	lényeg	A probléma lényege nem változott.
拾	felvenni	Lehajolt, hogy felvegye a földön lévő kulcsot.
时常	gyakran	A nagyapa gyakran mesél fiatalkori dolgokról.
时而	időnként	Az idő időnként napos, időnként borús.
时光	idő	A szép idő mindig rövidnek tűnik.
时机	időzítés	Most nem jó időpont a tárgyalásra.
时事	aktuális ügyek	A diákok hetente megvitatják a nemzetközi aktuális ügyeket.
石油	kőolaj	A kőolaj ára ismét emelkedett.
识别	felismerni	A rendszer különböző arcokat tud felismerni.
使命	küldetés	A környezet védelme közös küldetés.
世代	nemzedék	Ezt a mesterséget nemzedékről nemzedékre adták tovább a családban.
事故	baleset	Ebben a balesetben nem volt személyi sérülés.
事迹	tett	Hősi tettei széles körben elterjedtek.
事件	esemény	Ez az esemény társadalmi figyelmet keltett.
事态	helyzet	A kormány irányítja a helyzet alakulását.
事务	ügyek	Ő felel a vállalat napi ügyeiért.
事项	tétel	Kérjük, erősítse meg a szerződés fontos tételeit.
事业	pálya	Az oktatást élethosszig tartó pályájának tekinti.
势必	elkerülhetetlenül	A költségek emelkedése elkerülhetetlenül hat az árakra.
势力	befolyás	A helyi üzleti befolyás erős.
是非	viszály	Nem akar belekeveredni az irodai viszályokba.
示范	bemutató	A tanár először bemutatót tartott.
示威	tüntetés	Békés tüntetés volt a belvárosban.
示意	jelezni	A vezető jelezte mindenkinek, hogy legyenek csendben.
视力	látás	A képernyő hosszan tartó nézése befolyásolhatja a látást.
视频	videó	Kérlek, küldd el nekem a videót.
视线	látóvonal	A sűrű köd eltakarta a sofőr látóvonalát.
视野	látókör	Az utazás tágíthatja az ember látókörét.
试图	megpróbálni	Megpróbálta megmagyarázni a döntését.
试验	kísérlet	A tudósok sok kísérletet végeztek.
适宜	alkalmas	Az itteni éghajlat alkalmas lakhatásra.
逝世	elhunyni	Ez az író tavaly hunyt el.
释放	szabadon engedni	A bíróság úgy döntött, szabadon engedi a vádlottat.
收藏	gyűjteni	Sok régi bélyeget gyűjtött.
收缩	összehúzódni	A hideg levegő hatására a fém összehúzódhat.
收益	hozam	A befektetés hozama magasabb volt a vártnál.
收音机	rádió	A nagymama minden nap rádiót hallgat.
守护	őrizni	Az orvosok a betegek életét őrzik.
手法	technika	A rendező forgatási technikája nagyon egyedi.
手势	gesztus	Gesztussal jelezte az egyetértését.
手艺	mesterségbeli tudás	Ennek a mesternek nagyon jó a mesterségbeli tudása.
首饰	ékszer	Egyszerű ezüst ékszert viselt.
首要	elsődleges	A biztonság az elsődleges feladat.
受罪	szenvedni	A beteg sokat szenvedett a műtét után.
授予	odaítélni	Az iskola tiszteletbeli diplomát ítélt oda neki.
书法	kalligráfia	Gyerekkora óta gyakorolja a kalligráfiát.
书记	titkár	A falusi párttitkár vezette az ülést.
书籍	könyvek	A könyvtár nagy mennyiségű könyvet őriz.
书面	írásbeli	Kérjük, adjon írásbeli igazolást.
疏忽	gondatlanság	Ez a hiba munkahelyi gondatlanságból ered.
疏远	eltávolodni	A félreértés miatt a két ember fokozatosan eltávolodott egymástól.
舒畅	felszabadult	Séta után felszabadultnak éreztem magam.
数额	összeg	A kártérítés összege még nincs meghatározva.
束	csokor	Egy csokor virágot vett.
束缚	korlátozni	A hagyományos nézetek korlátozták a választását.
树立	kialakítani	A vállalatnak jó imázst kell kialakítania.
竖	felállítani	Kérjük, állítsa fel a táblát.
耍	játszani	Ne játssz a telefonoddal munkaidőben.
衰老	öregedés	A testmozgás lassíthatja az öregedést.
衰退	visszaesés	A gazdasági visszaesés hatott a foglalkoztatásra.
率领	vezetni	A kapitány vezette előre a csapatot.
涮火锅	hot potot enni	Télen mindenki szeret hot potot enni.
双胞胎	ikrek	Ők ikrek.
爽快	őszinte és határozott	A válasza nagyon őszinte és határozott volt.
水利	vízgazdálkodás	Ez a térség nagy hangsúlyt fektet a vízgazdálkodási építkezésekre.
水龙头	csap	A konyhai csap csöpög.
水泥	cement	A munkások cementet vittek az építkezésre.
瞬间	pillanat	A fények egy pillanat alatt kialudtak.
司法	igazságszolgáltatás	Az igazságszolgáltatás függetlenségéhez intézményi garancia kell.
司令	parancsnok	A parancsnok visszavonulási parancsot adott ki.
思念	hiányol	Gyakran hiányolja a szülővárosát.
思索	elgondolkodni	Lehajtott fejjel sokáig gondolkodott.
思维	gondolkodás	Ez a gyakorlat javíthatja a logikus gondolkodást.
斯文	kulturált	Nagyon kulturáltan beszél.
私自	engedély nélkül	A diákok nem hagyhatják el engedély nélkül az iskolát.
死亡	halál	A baleset több halálesetet okozott.
四肢	végtagok	Edzés előtt meg kell mozgatni a végtagokat.
寺庙	templom	A hegyen van egy régi templom.
肆无忌惮	gátlástalanul	Gátlástalanul megszegte a szabályokat.
饲养	tenyészteni	A gazdaság sok tehenet tart.
耸	vállat vonni	Miután meghallgatta, csak vállat vont.
艘	hajók számlálószava	A kikötőben három teherhajó állt.
苏醒	magához térni	A beteg végre magához tért.
俗话	közmondás	A közmondás szerint gyakorlat teszi a mestert.
塑造	formálni	A környezet formálhatja az ember jellemét.
素食	vegetáriánus étel	Ez az étterem vegetáriánus ételeket kínál.
素质	minőség	A kiszolgáló személyzet minősége nagyon magas.
诉讼	per	A két fél úgy döntött, hogy per útján oldja meg az ügyet.
算数	érvényesnek számít	Amit mondtál, annak érvényesnek kell számítania.
随即	azonnal	Az értekezlet után azonnal távozott.
随意	tetszés szerint	Kérjük, ne módosítsa tetszés szerint a beállításokat.
岁月	évek múlása	Az évek múlása megváltoztatta a külsejét.
隧道	alagút	A vonat áthaladt a hosszú alagúton.
损坏	megrongálni	A heves eső megrongálta az utakat.
索取	kérni	Az ügyfelek ingyen kérhetnek mintát.
索性	egyszerűen	Annyira esett az eső, hogy egyszerűen nem mentünk ki.
塌	összeomlani	A régi ház teteje beomlott.
踏实	nyugodt	A feladat befejezése után nyugodtnak éreztem magam.
塔	torony	A város központjában egy magas torony áll.
台风	tájfun	A tájfun várhatóan holnap éri el a partot.
太空	világűr	Az emberiség régóta kutatja a világűrt.
泰斗	tekintély	Ő a nyelvészet nagy tekintélye.
摊	stand	A piacon gyümölcsstandot állított fel.
瘫痪	bénulás	A közlekedési baleset miatt lebénultak az alsó végtagjai.
贪婪	kapzsiság	A kapzsiság tönkretehet egy embert.
贪污	korrupció	A tisztviselőt korrupció miatt vizsgálták.
弹性	rugalmasság	Ez az anyag nagyon rugalmas.
坦白	bevallani	Végül bevallotta az igazságot.
叹气	sóhajtani	Az eredményt hallva nem tudta megállni, hogy ne sóhajtson.
探测	észlelni	A berendezés képes észlelni a talajvizet.
探索	feltárni	A tudósok tovább kutatják a világegyetemet.
探讨	megvitatni	A szakértők megvitatták a reformtervet.
探望	meglátogatni	Hétvégén elmentem a kórházba meglátogatni a barátomat.
倘若	ha	Ha esik az eső, az eseményt elhalasztják.
掏	elővenni	Elővette a kulcsot a zsebéből.
滔滔不绝	szünet nélkül beszél	Amint történelemről kezd beszélni, szünet nélkül beszél.
淘汰	kiesni	Ez a csapat korán kiesett.
陶瓷	kerámia	Csingtöcsen a kerámiáról híres.
陶醉	elbűvölve lenni	A közönség elbűvölve hallgatta a zenét.
讨好	kedvében járni	Nem akar szándékosan a felettese kedvében járni.
特长	erősség	A festés az ő erőssége.
特定	meghatározott	Kérjük, a meghatározott időn belül nyújtsa be a kérelmet.
特意	külön	Azért jöttem külön, hogy megköszönjem neked.
提拔	előléptetni	A vállalat osztályvezetővé léptette elő.
提炼	kivonni	A gyár fémet von ki az ércből.
提示	figyelmeztet	A rendszer figyelmeztet a jelszó megadására.
提议	javasolni	Azt javasolta, hogy holnap folytassuk a megbeszélést.
题材	téma	A film témája újszerű.
体裁	műfaj	A regény és a vers különböző műfaj.
体积	térfogat	Ennek a doboznak nagy a térfogata.
体谅	megértést tanúsítani	Kérlek, tanúsíts megértést a nehézségei iránt.
体面	tisztességes	Tisztességes munkát szeretne találni.
体系	rendszer	A vállalat teljes képzési rendszert épített ki.
天才	zseni	Ezt a gyereket zenei zseninek tartják.
天赋	tehetség	Tehetsége van a nyelvtanuláshoz.
天伦之乐	családi boldogság	Az idős ember élvezi a családi boldogságot.
天然气	földgáz	A városlakók földgázzal főznek.
天生	természeténél fogva	Természeténél fogva nagyon derűlátó.
天堂	paradicsom	Ez a hely olyan, mint a földi paradicsom.
天文	csillagászat	Gyerekkora óta szereti a csillagászatot.
田径	atlétika	Az iskola atlétikai versenyt rendezett.
田野	mező	A tavaszi mezők zöldellnek.
舔	nyalni	A kiskutya megnyalta a gazdája kezét.
挑剔	válogatós	Nagyon válogatós az ételekben.
条款	záradék	A szerződés záradékait gondosan el kell olvasni.
条理	rendezettség	A beszéde nagyon rendezett volt.
条约	szerződés	A két ország békeszerződést írt alá.
调和	harmonizál	Ez a két szín jól harmonizál.
调剂	kiegyensúlyozni	A sport kiegyensúlyozhatja a feszült életet.
调节	szabályozni	A légkondicionáló szabályozza a beltéri hőmérsékletet.
调解	közvetíteni	A közösségi dolgozók segítettek közvetíteni a két fél vitájában.
调料	fűszer	A levesbe egy kis fűszert kell tenni.
挑拨	viszályt szítani	Ne szíts viszályt a kollégák között.
挑衅	provokáció	Az ilyen kijelentés nyilvánvaló provokációt hordoz.
跳跃	ugrani	A sportoló egymás után háromszor ugrott.
亭子	pavilon	A tó mellett van egy kis pavilon.
停泊	kikötni	A halászhajók az öbölben kötöttek ki.
停顿	szünet	Beszéd közben egy pillanatra szünetet tartott.
