simplified	TR	example_TR
亏损	zarar; kayıp	Fabrika bu yıl ciddi zarar etti.
捆绑	bağlamak	Lütfen bu kutuları sağlamca bağlayın.
扩充	genişletmek	Okul kütüphane koleksiyonunu genişletmeyi planlıyor.
扩散	yayılmak	Söylenti internette hızla yayıldı.
扩张	genişleme; genişletmek	Şirket işini temkinli biçimde genişletiyor.
啦	cümle sonu ünlemi	Endişelenme, her şey düzelecek.
喇叭	korna; hoparlör	Araba kornası aniden çaldı.
蜡烛	mum	Doğum günü pastasının üzerine mumlar kondu.
来历	köken; geçmiş	Bu kültür eserinin kökeni belirsiz.
来源	kaynak	Haberler bilgi kaynağını belirtmelidir.
栏目	program bölümü; köşe	Bu program bölümü haftada bir yayımlanır.
懒惰	tembel	Tembellik öğrenme sonuçlarını etkileyebilir.
狼狈	perişan; zor durumda	Yağmurdan sonra sırılsıklam oldu ve çok perişan görünüyordu.
狼吞虎咽	yemeği hızla silip süpürmek	Çok açtı ve yemeğini hızla silip süpürdü.
捞	sudan çıkarmak; ağla toplamak	Balıkçı nehirden bir ağ çıkardı.
唠叨	dırdır etmek	Annem küçük şeyler hakkında hep dırdır eder.
牢固	sağlam; güvenli	Bu köprünün yapısı çok sağlamdır.
牢骚	şikâyet; yakınma	Sürekli şikâyet ediyor ama değişmek istemiyor.
乐趣	zevk; keyif	Okumak ona çok keyif verir.
乐意	memnuniyetle yapmak	Özgeçmişini düzeltmene memnuniyetle yardım ederim.
雷达	radar	Radar uzaktaki bir uçağı tespit etti.
类似	benzer	Daha önce benzer sorunlar yaşandı.
冷酷	soğuk; acımasız	Onun tonu çok soğuk geliyordu.
冷落	ihmal etmek; dışlanmış hissettirmek	Yeni çalışan kendini ihmal edilmiş hissetti.
冷却	soğumak; soğutmak	Makinenin tamirden önce soğuması gerekiyor.
愣	donakalmak	Haberi duyunca donakaldı.
黎明	şafak; tan vakti	Şafakta şehir yavaş yavaş uyandı.
理睬	aldırmak; ilgilenmek	Kızgındı ve kimseyle ilgilenmedi.
理所当然	doğal görmek; hakkıymış gibi görmek	Başkalarının yardımını doğal görme.
理直气壮	haklı ve kendinden emin	Yeterli kanıtla kendinden emin biçimde konuştu.
理智	akıl; mantık	Çatışma karşısında mantıklı kalmalısın.
礼节	görgü kuralı; nezaket	Farklı kültürlerin farklı görgü kuralları vardır.
礼尚往来	nezakete nezaketle karşılık vermek	Komşular nezakete nezaketle karşılık vermeye önem verir.
里程碑	dönüm noktası	Bu başarı proje için bir dönüm noktasıdır.
例外	istisna	Herkes katılmalı, istisna yok.
利害	çıkar; artı ve eksi yönler	Bu mesele iki tarafın çıkarlarını ilgilendiriyor.
力求	elinden geleni yapmak	Hataları en aza indirmek için elimizden geleni yapıyoruz.
力所能及	gücünün yettiği ölçüde	Lütfen gücünün yettiği kadarını yap.
力争	çaba göstermek; uğraşmak	Ekip görevi planlanandan önce bitirmek için çabalıyor.
历代	geçmiş kuşaklar; geçmiş hanedanlar	Geçmiş kuşakların bilginleri bu konuyu inceledi.
历来	her zaman; öteden beri	Bu şehir öteden beri eğitime önem verir.
立场	tutum; konum	Toplantıda kendi tutumunu açıkladı.
立方	küp; metreküp	Bu su deposunun kapasitesi üç metreküptür.
立交桥	üst geçit; katlı kavşak	Bu katlı kavşak trafik sıkışıklığını azalttı.
立体	üç boyutlu	Bu resmin güçlü bir üç boyutlu etkisi var.
立足	dayanmak; kök salmak	İşletmeler yerel pazara dayanmalıdır.
粒	tane	Masanın üzerinde birkaç pirinç tanesi var.
廉洁	dürüst; yolsuzluktan uzak	Kamu görevlileri dürüst ve temiz kalmalıdır.
联欢	birlikte eğlenmek; kutlama yapmak	Sınıf arkadaşları yılbaşı kutlaması yaptı.
联络	iletişime geçmek	Lütfen müşteriyle en kısa sürede iletişime geçin.
联盟	ittifak	Birkaç ülke bir ticaret ittifakı kurdu.
联想	çağrıştırmak	Bu fotoğraf bana çocukluğumu hatırlatıyor.
连年	ardışık yıllar boyunca	Bu bölge yıllardır art arda sel felaketi yaşadı.
连锁	zincir	Bu şirket zincir süpermarketler işletiyor.
连同	ile birlikte	Lütfen faturayı sözleşmeyle birlikte gönderin.
良心	vicdan	İnsan vicdanına ihanet etmeden yaşamalıdır.
晾	havada kurutmak	Kıyafetleri balkonda kurutmak için astı.
谅解	anlayış; hoşgörü	Umarım zorluklarımızı anlayabilirsiniz.
辽阔	geniş; uçsuz bucaksız	Bozkır uçsuz bucaksız uzanıyor.
列举	sıralamak; listelemek	Öğretmen üç örnek sıraladı.
临床	klinik	Bu ilaç klinik denemelerden geçiyor.
淋	ıslanmak; üzerine dökülmek	Yağmurda çok uzun süre ıslanma.
吝啬	cimri	Arkadaşlarına karşı asla cimri değildir.
伶俐	zeki; çevik zekâlı	Bu küçük kız zeki ve çevik zekâlıdır.
凌晨	sabahın erken saatleri	Uçak sabahın üçünde kalkıyor.
灵感	ilham	Müzik ona yaratıcı ilham verdi.
灵魂	ruh	Özgürlük bu eserin ruhudur.
灵敏	hassas; duyarlı	Bu cihaz çok hassas tepki verir.
零星	dağınık; parça parça	Gece gökyüzünde dağınık ışıklar vardı.
领会	kavramak; anlamak	Öğretmenin ne demek istediğini hızla kavradı.
领事馆	konsolosluk	Vize işlemleri için konsolosluğa gitti.
领土	toprak; ülke toprağı	Her ülke toprak bütünlüğüne önem verir.
领悟	kavramak; idrak etmek	Başarısızlığı yaşadıktan sonra sorumluluğu kavradı.
领先	önde olmak	Teknolojileri şu anda rakiplerinin önündedir.
领袖	lider	Bu lider halk tarafından derin saygı görür.
溜	kaymak; gizlice sıvışmak	Köpek yavrusu kapı aralığından sıvıştı.
流浪	başıboş dolaşmak; gezgin yaşamak	Gençken bir süre oradan oraya dolaştı.
流露	dışa vurmak; belli etmek	Sevinç yüzünden belli oluyordu.
流氓	serseri; haydut	Polis birkaç sokak serserisini yakaladı.
流通	dolaşımda olmak	Bu para birimi bir zamanlar yerelde dolaşımdaydı.
留恋	ayrılmaya kıyamamak	Mezun olurken herkes kampüsten ayrılmaya kıyamadı.
留念	anı olarak saklamak	Okul kapısında anı olarak fotoğraf çektirdik.
留神	dikkat etmek	Yoldan geçerken mutlaka dikkat etmelisin.
聋哑	sağır ve dilsiz	Okul sağır ve dilsiz çocuklara yardım sağlıyor.
隆重	görkemli; resmi	Konferans salonda görkemli bir törenle yapıldı.
垄断	tekelleştirmek; tekel	Tekel piyasa rekabetine zarar verebilir.
笼罩	kaplamak; sarmak	Yoğun sis bütün köyü kapladı.
搂	kucaklamak	Anne çocuğunu nazikçe kucakladı.
炉灶	ocak	Mutfaktaki ocağın temizlenmesi gerekiyor.
轮船	gemi	Gemi limandan yavaşça ayrıldı.
轮廓	kontur; siluet	Uzaktaki dağ zirvelerinin silueti çok net.
轮胎	lastik	Arabanın lastiklerinin değiştirilmesi gerekiyor.
论坛	forum	Uzmanlar forumda konuşmalar yaptı.
论证	kanıtlamak; gerekçelendirmek	Raporun kendi savını daha fazla gerekçelendirmesi gerekiyor.
啰唆	lafı uzatmak; gevezelik etmek	Lafı uzatmayı bırak ve doğrudan konuya gel.
络绎不绝	ardı arkası kesilmemek	Ziyaretçiler antik kente ardı arkası kesilmeden geldi.
落成	tamamlanmak; inşaatı bitmek	Yeni spor salonu yarın resmen tamamlanacak.
落实	uygulamak; hayata geçirmek	Toplantı yeni politikanın hızla uygulanmasını istedi.
屡次	defalarca; tekrar tekrar	Herkese güvenliğe dikkat etmelerini defalarca hatırlattı.
履行	yerine getirmek	İki taraf da sözleşme yükümlülüklerini yerine getirmelidir.
掠夺	yağmalamak	Savaş kaynakların yağmalanmasına yol açtı.
嘛	cümle sonu parçacığı	Sonuçta bu iş basit.
麻痹	uyuşma; rehavet	Uzun süreli sorunsuzluk insanı kolayca rehavete sürükler.
麻木	uyuşmuş; duyarsız	Soğuk parmaklarını uyuşturdu.
麻醉	anestezi; uyuşturmak	Ameliyattan önce doktor hastaya anestezi uyguladı.
码头	iskele; rıhtım	Yük gemisi rıhtımın yanına yanaştı.
蚂蚁	karınca	Karıncalar yiyecek taşıyor.
埋伏	pusu	Askerler vadide pusuya yattı.
埋没	göz ardı etmek; değerini fark etmemek	Yetenekli insanların göz ardı edilmesine izin verme.
埋葬	gömmek	Köylüler yaşlı adamı yamaca gömdü.
脉搏	nabız	Hemşire onun nabzını ölçüyor.
迈	adım atmak	Kapıya doğru büyük bir adım attı.
埋怨	şikâyet etmek; yakınmak	Başkalarından sürekli şikâyet etme.
慢性	kronik; yavaş etkili	Kronik hastalıklar uzun süreli tedavi gerektirir.
漫长	çok uzun; bitmek bilmeyen	Uzun bir bekleyişten geçtiler.
漫画	çizgi roman; karikatür	Bu çizgi roman gençler arasında çok popüler.
蔓延	yayılmak	Yangın hızla ormanın derinliklerine yayıldı.
忙碌	meşgul; yoğun	Yıl sonu şirketin en yoğun zamanıdır.
盲目	körü körüne; amaçsız	Yatırımda trendleri körü körüne takip etmemek gerekir.
茫茫	uçsuz bucaksız	Tekne uçsuz bucaksız denizde kayboldu.
茫然	şaşkın; ne yapacağını bilmez	Açıklamayı duyduktan sonra hâlâ boş boş bakıyordu.
冒充	kılığına girmek; kendini biri gibi tanıtmak	Biri polis kılığına girip insanları dolandırdı.
冒犯	gücendirmek; incitmek	Sözlerim seni incitmek için değildi.
茂盛	gür; bereketli	Avludaki ağaçlar gür biçimde büyüyor.
媒介	araç; mecra	İnternet önemli bir bilgi mecrasıdır.
枚	adet; tane	Birkaç hatıra parası biriktirdi.
美观	güzel görünümlü; estetik	Bu tasarım hem kullanışlı hem de estetiktir.
美满	mutlu; eksiksiz	Onlar mutlu ve dolu bir yaşam sürüyor.
美妙	harika; güzel	Konser harika bir deneyim sundu.
萌芽	filiz; başlangıç	Yeni bir fikir filizlenmeye başladı.
猛烈	şiddetli; sert	Fırtına çok şiddetli geldi.
眯	gözlerini kısmak	Güneş çok güçlüydü, bu yüzden gözlerini kıstı.
弥补	telafi etmek	Bir özür kaybı tamamen telafi edemez.
弥漫	havayı kaplamak	Çiçek kokusu avluyu kapladı.
谜语	bilmece	Çocuklar bilmece çözmeyi sever.
迷惑	kafasını karıştırmak	Karmaşık veriler onun kafasını karıştırdı.
迷人	büyüleyici; çekici	Deniz kenarındaki gece manzarası çok büyüleyici.
迷信	batıl inanç	Bilim eğitimi batıl inançları azaltabilir.
密度	yoğunluk	Bu metalin yoğunluğu yüksektir.
密封	mühürlemek; sıkıca kapatmak	Açtıktan sonra lütfen torbayı tekrar sıkıca kapatın.
棉花	pamuk	Çiftçiler pamuk topluyor.
免得	olmasın diye; kaçınmak için	Geç kalmamak için daha erken çık.
免疫	bağışıklık	Bu aşı bağışıklığı artırabilir.
勉励	teşvik etmek	Öğretmen öğrencileri çalışmaya devam etmeleri için sık sık teşvik eder.
勉强	istemeyerek; zorla	Bu düzenlemeyi istemeyerek kabul etti.
面貌	görünüm	Şehrin görünümü büyük ölçüde değişti.
面子	itibar; yüz	Herkesin önünde itibar kaybetmek istemedi.
描绘	tasvir etmek	Roman kırsal yaşamı tasvir ediyor.
瞄准	nişan almak	Atıcı hedefe nişan aldı.
渺小	küçük; önemsiz	İnsan doğanın karşısında çok küçük görünür.
藐视	küçümsemek	Hiçbir rakibi küçümsememeliyiz.
灭亡	yıkılmak; yok olmak	Bu hanedan sonunda yıkılışa sürüklendi.
蔑视	hor görmek; küçümsemek	Onun tonu küçümsemeyle doluydu.
民间	halk arasında; halkla ilgili	Halk sanatının korunması gerekir.
民主	demokrasi	Toplantıda demokratik oylama kullanıldı.
敏捷	çevik; hızlı	Sporcunun hareketleri çok çevikti.
敏锐	keskin; duyarlı	Gazetecilerin keskin gözlem yeteneğine ihtiyacı vardır.
名次	sıralama; derece	Yarışmada iyi bir derece elde etti.
名额	kontenjan	Bu programda yalnızca on kontenjan var.
名副其实	adı gibi gerçek; tam anlamıyla	O tam anlamıyla gerçek bir uzmandır.
名誉	itibar; şeref	Bu olay şirketin itibarına zarar verdi.
明明	açıkça; besbelli	Cevabı açıkça biliyordu ama söylemeyi reddetti.
明智	akıllıca; bilgece	Kararı ertelemek akıllıca bir seçimdi.
命名	ad vermek	Bilim insanları yeni türe ad verdi.
摸索	araştırmak; deneme yanılmayla bulmak	Ekip hâlâ yeni yöntemler araştırıyor.
摩擦	sürtüşme; sürtünme	İki ülke arasında ticari sürtüşme ortaya çıktı.
模范	örnek; model	O okulun bütün öğrencileri için bir örnektir.
模式	model; yöntem	Bu iş modeli çok başarılıdır.
模型	model	Mühendis bir köprü modeli yaptı.
磨合	uyum sağlamak	Yeni ekibin birbirine uyum sağlamak için zamana ihtiyacı var.
膜	zar; film	Bu zar yabancı maddeleri süzebilir.
魔鬼	şeytan	Hikâyedeki şeytan çok kurnazdır.
魔术	sihir; büyü gösterisi	Çocuklar sihir gösterilerini izlemeyi sever.
抹杀	silmek; yok saymak	Onun katkısı yok sayılamaz.
墨水儿	mürekkep	Kalemdeki mürekkep neredeyse bitti.
莫名其妙	anlaşılmaz; akıl sır ermez	Onun tepkisi insanları şaşkına çevirdi.
默默	sessizce	O sessizce birçok kişiye yardım etti.
谋求	aramak; peşinde olmak	İşletme yeni gelişme fırsatları arıyor.
模样	görünüş; hal	Onun görünüşü şimdi çok değişti.
母语	ana dil	Çocuklar ana dillerini küçük yaştan öğrenir.
沐浴	yıkanmak; içinde olmak	Sabah köy güneş ışığına bürünmüştü.
目睹	tanık olmak	Çok kişi kazaya tanık oldu.
目光	bakış; göz	Herkesin bakışları sahneye çevrildi.
拿手	usta olduğu; iyi bildiği	Soslu balık onun en iyi yaptığı yemektir.
纳闷儿	şaşırmak; anlam verememek	Neden geç kaldığını sürekli merak ettim.
耐用	dayanıklı	Bu ayakkabı çifti çok dayanıklıdır.
南辕北辙	amacın tersine hareket etmek	Onun yöntemi hedefle tamamen ters düşüyor.
难得	nadir; zor bulunan	Bu nadir bir fırsattır.
难堪	utandırıcı; zor katlanılır	Bu soru onu utandırdı.
难能可贵	takdire değer	Baskı altında dürüst kalmak özellikle takdire değerdir.
恼火	sinirlenmek; kızmak	Ekipman yine bozuldu ve o çok sinirlendi.
内涵	içerik; anlam	Bu kelimenin zengin kültürel çağrışımları var.
内幕	iç yüz; perde arkası	Gazeteci olayın perde arkasını araştırmaya çalıştı.
内在	içsel; öz	O bir insanın içsel niteliklerine daha çok değer verir.
能量	enerji	Bu kahvaltı bana çok enerji veriyor.
拟定	taslak hazırlamak; formüle etmek	Sekreter toplantı gündeminin taslağını hazırlıyor.
逆行	ters yönde gitmek	O araba tek yönlü sokakta ters yönde gidiyordu.
年度	yıllık; yıl	Şirket yıllık raporunu yayımladı.
捏	çimdiklemek; yoğurmak	Çocuğun yanağını nazikçe çimdikledi.
凝固	katılaşmak	Soğuduktan sonra balmumu yavaşça katılaşır.
凝聚	birleştirmek; yoğunlaştırmak	Ortak bir hedef ekibin gücünü birleştirebilir.
凝视	dik dik bakmak	Uzaktaki ışıklara dik dik baktı.
拧	çimdiklemek; sıkmak	Eliyle beni bir kez çimdikledi.
宁肯	tercih etmek; razı olmak	İlkelerinden vazgeçmektense başarısız olmayı tercih eder.
宁愿	tercih etmek	Otobüsü beklemektense yürümeyi tercih ederim.
扭转	tersine çevirmek	Yeni politika zarar durumunu tersine çevirdi.
纽扣儿	düğme	Bu gömleğin bir düğmesi koptu.
农历	ay takvimi; Çin geleneksel takvimi	Bahar Bayramı ay takvimine göre kutlanır.
浓厚	yoğun; güçlü ilgi duymak	Tarihe güçlü bir ilgisi var.
奴隶	köle	Eski toplumda kölelik vardı.
挪	yerini değiştirmek	Lütfen sandalyeyi biraz yana çek.
虐待	kötü davranmak; istismar etmek	Yasa çocuklara kötü davranmayı yasaklar.
哦	aa; oh	Aa, sonunda anladım.
殴打	dövmek	Polis yoldan geçen birini döven kişiyi tutukladı.
偶像	idol	O yazarı idolü olarak görüyor.
呕吐	kusmak	Bozuk yemek yedikten sonra kusmaya başladı.
趴	yüzüstü yatmak	Yavru kedi pencere kenarında yüzüstü yatıp uyuyordu.
徘徊	oyalanmak; gidip gelmek	Kapının önünde uzun süre oyalandı.
排斥	dışlamak; reddetmek	Yeni malzeme nemi iter.
排除	elemek; ihtimali dışlamak	Doktor önce ciddi hastalık ihtimalini dışladı.
排放	emisyon; salım	Fabrikalar egzoz salımlarını azaltmalıdır.
排练	prova yapmak	Oyuncular yeni programın provasını yapıyor.
派别	hizip; ekol	Bu örgütün içinde farklı hizipler var.
派遣	göndermek; sevk etmek	Şirket mühendisleri sahaya gönderdi.
攀登	tırmanmak	Yarın karlı dağa tırmanmayı planlıyorlar.
盘旋	dolanmak; daire çizmek	Uçak havaalanının üzerinde daire çizdi.
判决	karar; hüküm	Mahkeme bugün kararını açıkladı.
畔	kıyı	Çocuklar göl kıyısında yürüdü.
庞大	devasa; çok büyük	Bu proje devasa bir fon gerektiriyor.
抛弃	terk etmek; bırakmak	Hayalini terk etmek istemiyor.
泡沫	köpük; balon	Bardağın içinde çok beyaz köpük var.
培育	yetiştirmek; geliştirmek	Okul öğrencilerin sorumluluk bilincini geliştirmeye çalışıyor.
配备	donatmak; sağlamak	Yeni araba güvenlik sistemiyle donatılmıştır.
配偶	eş	Başvuru formunda eş bilgisi gerekiyor.
配套	tamamlayıcı; bütünlük oluşturan	Sitenin destek tesisleri eksiksizdir.
盆地	havza	Bu havza yazın çok sıcaktır.
烹饪	yemek pişirme; mutfak sanatı	Yemek pişirmek sabır ve deneyim gerektirir.
捧	iki elle tutmak	Bir buket çiçeği iki eliyle tuttu.
劈	yarmak; baltayla kesmek	İşçi baltayla odun yardı.
批发	toptan satış	Bu dükkân çoğunlukla meyveyi toptan satar.
批判	eleştirmek	Makale bu yanlış görüşü eleştirdi.
疲惫	bitkin; yorgun	Uzun yolculuktan sonra herkes bitkindi.
疲倦	yorgun	Sürekli çalışmak onu yordu.
皮革	deri	Bu çanta deriden yapılmıştır.
屁股	kalça	Çocuk düştükten sonra kalçası ağrıdı.
譬如	örneğin	Örneğin önce küçük bir test yapabiliriz.
偏差	sapma; yanlılık	Deney sonuçlarında belirgin bir sapma var.
偏见	önyargı	Etnik önyargıdan kaçınmalıyız.
偏僻	ücra; uzak	Bu köy çok ücra bir yerdedir.
偏偏	terslik bu ya	Ne kadar acele etsem araba o kadar yavaş gidiyordu.
片断	parça; kesit	Filmde birkaç harika kesit var.
片刻	bir an; kısa süre	Lütfen burada beni bir an bekleyin.
漂浮	yüzmek; süzülmek	Dökülen yapraklar suyun üzerinde yüzüyordu.
飘扬	dalgalanmak	Ulusal bayrak rüzgârda dalgalandı.
撇	bir kenara atmak	Eski planı bir kenara attı.
拼搏	mücadele etmek	Gençler idealleri için mücadele etmelidir.
拼命	var gücüyle yapmak	Öndeki ekibi var gücüyle takip etti.
贫乏	yetersiz; fakir	Bu makalenin içeriği oldukça yetersiz.
贫困	yoksul; yoksulluk	Hükümet yoksul ailelere yardım ediyor.
频繁	sık; sık sık	Son zamanlarda burada trafik kazaları sıklaştı.
频率	frekans	Bu sesin frekansı çok yüksektir.
品尝	tatmak	Konuklar yerel yemekleri tadıyor.
品德	ahlaki nitelik	Okul öğrencilerin ahlaki eğitimine önem verir.
品质	kalite	Bu şirketin ürün kalitesi istikrarlıdır.
品种	çeşit; tür	Pazarda birçok meyve çeşidi var.
屏幕	ekran	Lütfen ekran parlaklığını azaltın.
屏障	bariyer; koruyucu engel	Orman rüzgâra karşı önemli bir bariyerdir.
平凡	sıradan	Yıllarca sıradan bir görevde çalıştı.
平面	düzlem; plan	Tasarımcı evin kat planını çizdi.
平坦	düz; pürüzsüz	Bu yol çok düzdür.
平行	paralel	Bu iki çizgi birbirine paraleldir.
平庸	vasat	Vasat bir hayat yaşamaya razı değil.
平原	ova	Tren geniş bir ovadan geçti.
评估	değerlendirmek	Uzmanlar projenin risklerini değerlendiriyor.
评论	yorum yapmak	Okurlar makalenin altında yorum yapabilir.
坡	yokuş; eğim	Araba yokuşu yavaşça çıktı.
泼	sıçratmak; dökmek	Suyu yere sıçratma.
颇	oldukça	Bu sonuç oldukça şaşırtıcı.
破例	istisna yapmak	Müdür istisna yapıp başvurusunu onayladı.
迫不及待	sabırsızlanmak	Çocuklar hediyeleri açmak için sabırsızlandı.
迫害	zulmetmek	Tarihte birçok insan zulüm gördü.
魄力	cesaret; kararlılık	Liderlerin karar verme cesaretine ihtiyacı vardır.
扑	atılmak; üzerine kapanmak	Çocuk birden annesinin kollarına atıldı.
铺	sermek; döşemek	İşçiler yeni bir halı döşüyor.
普及	yaygınlaşmak; yaygın	İnternet şehirlerde artık yaygınlaştı.
朴实	sade; içten	Onun dili sade ve içtendir.
朴素	sade; gösterişsiz	O sade bir yaşam tarzını sever.
瀑布	şelale	Turistler şelalenin yanında fotoğraf çekti.
凄凉	ıssız; hüzünlü	Dağ köyü kışın çok ıssız görünüyordu.
期望	beklenti; umut	Ebeveynlerin çocukları için yüksek beklentileri vardır.
期限	süre sınırı; son tarih	Kayıt son tarihi bu cuma.
欺负	zorbalık yapmak	Büyük çocuklar küçük çocuklara zorbalık yapmamalı.
欺骗	kandırmak; aldatmak	Sahte reklam tüketicileri kandırdı.
奇妙	harika; olağanüstü	Doğada birçok harika olay vardır.
旗袍	çipao; Çin tarzı elbise	Akşam davetine kırmızı bir çipao giyerek katıldı.
旗帜	bayrak	Meydanda parlak bayraklar dalgalanıyordu.
歧视	ayrımcılık yapmak; ayrımcılık	Yasa her türlü ayrımcılığı yasaklar.
齐全	eksiksiz; tam	Bu dükkânda alet çeşitleri eksiksizdir.
齐心协力	el birliğiyle çalışmak	Herkes el birliğiyle çalışıp görevi tamamladı.
乞丐	dilenci	Yol kenarında yaşlı bir dilenci oturuyordu.
企图	girişim; niyet	Gerçek durumu saklamaya çalıştı.
启程	yola çıkmak	Heyet yarın sabah erken yola çıkacak.
启蒙	temel eğitim vermek; aydınlatmak	Bu kitap çocukların ilk okuması için uygundur.
启事	ilan; duyuru	Okul kapısına bir işe alım ilanı asıldı.
启示	ders; aydınlanma	Bu başarısızlık bize önemli bir ders verdi.
岂有此理	bu nasıl olur; saçma	Bu tür ücret gerçekten saçma.
起草	taslak hazırlamak	Avukat sözleşmenin taslağını hazırlıyor.
起初	başta; başlangıçta	Başta bu habere inanmadı.
起伏	iniş çıkış; dalgalanmak	Dağ yolu araziye göre inip çıkar.
起哄	gürültü çıkarmak; sataşmak	Öğrenciler sınıfta gürültü çıkarmamalı.
起码	en azından	En azından bana önceden haber vermelisin.
起源	köken; ortaya çıkmak	Bu bayramın kökeni eski zamanlara dayanır.
器材	ekipman	Laboratuvarın yeni öğretim ekipmanına ihtiyacı var.
器官	organ	Kalp insan vücudunun önemli bir organıdır.
气概	ruh; yiğitlik	Bu şiir kahramanca bir ruh gösteriyor.
气功	çigong	Dedem her sabah çigong çalışır.
气魄	ihtişam; cesaret	Bu köprünün heybetli bir tarzı var.
气色	yüz rengi; sağlık görünümü	Dinlendikten sonra yüz rengi çok daha iyi görünüyordu.
气势	güç; ivme	Takım baştan itibaren güçlü bir ivme yakaladı.
气味	koku	Mutfakta kızarmış ekmek kokusu vardı.
气象	meteoroloji; hava durumu	Burada platodaki hava hızla değişir.
气压	hava basıncı	Hava basıncındaki düşüş yağmur getirebilir.
气质	mizaç; kişilik	O sakin bir mizaca sahiptir.
迄今为止	şimdiye kadar	Şimdiye kadar deney sorunsuz ilerledi.
掐	koparmak; çimdiklemek	Küçük bir çiçek kopardı.
恰当	uygun; yerinde	Cevabın çok yerinde.
恰到好处	tam kıvamında; yerli yerinde	Bu yemeğin tatlılığı tam kıvamında.
恰巧	tam da; tesadüfen	İstasyona vardığımda tam da yağmur yağdı.
洽谈	görüşmek; müzakere etmek	İki taraf iş birliği ayrıntılarını görüşüyor.
千方百计	her yolu denemek	Çözüm bulmak için her yolu denediler.
牵	elinden tutmak; çekmek	Anne yoldan geçerken çocuğunun elinden tuttu.
牵扯	dahil etmek; ilgilendirmek	Bu mesele birçok departmanı ilgilendiriyor.
牵制	kısıtlamak; engellemek	Rakibin savunması hücumu kısıtladı.
签署	imzalamak	İki şirket bir anlaşma imzaladı.
谦逊	alçakgönüllü	Başardıktan sonra da alçakgönüllü kaldı.
迁就	uyum sağlamak; taviz vermek	Ebeveynler çocuklarına her zaman taviz veremez.
迁徙	göç etmek	Göçmen kuşlar her yıl mevsimlerle birlikte göç eder.
前景	gelecek görünümü; beklenti	Bu sektörün gelecek görünümü iyidir.
前提	ön koşul	Güven iş birliğinin ön koşuludur.
潜力	potansiyel	Bu öğrencinin büyük potansiyeli var.
潜水	dalmak	Deniz kenarına dalış öğrenmeye gittiler.
潜移默化	fark ettirmeden etkilemek	Aile ortamı çocukları fark ettirmeden etkileyebilir.
谴责	kınamak	Uluslararası toplum şiddeti kınadı.
抢劫	soymak; yağmalamak	Polis bankayı soyan şüpheliyi yakaladı.
强制	zorunlu kılmak; zorla uygulamak	Yeni kural sürücüleri emniyet kemeri takmaya zorunlu kılıyor.
强迫	zorlamak	Çocukları sevmedikleri şeyleri yapmaya zorlama.
抢救	kurtarmak; acil müdahale etmek	Doktorlar yaralı işçiyi kurtarmaya çalışıyor.
桥梁	köprü	Dil kültürel değişim için bir köprüdür.
窍门	püf noktası	Telaffuz öğrenmenin bazı püf noktaları vardır.
翘	kaldırmak	Bir ayağını sandalyenin üzerine kaldırdı.
切实	pratik; uygulanabilir	Pratik ve uygulanabilir bir plana ihtiyacımız var.
锲而不舍	azimle sürdürmek	Bu sorunu azimle inceledi.
亲密	yakın; samimi	Onlar her zaman yakın bir ilişki sürdürdü.
亲热	sıcak; içten	Yaşlı kişi konukları sıcak biçimde karşıladı.
侵犯	ihlal etmek	Bu davranış kişisel mahremiyeti ihlal etti.
侵略	istila; saldırganlık	Halk her türlü istilaya karşı çıkar.
钦佩	hayran olmak	Onun cesaretine çok hayranım.
勤俭	çalışkan ve tutumlu	Büyükannem hayatı boyunca evi çalışkan ve tutumlu yönetti.
勤劳	çalışkan	Çalışkan insanlar her zaman fırsatlar yaratabilir.
倾听	dikkatle dinlemek	Öğretmen öğrencilerin görüşlerini dikkatle dinledi.
倾向	eğilim	Genç tüketiciler çevrim içi alışverişe eğilimlidir.
倾斜	eğilmek; yana yatmak	Şiddetli yağmurdan sonra duvar eğilmeye başladı.
清澈	berrak	Dağlardaki dere çok berraktır.
清晨	sabah erken	Sabah erken hava özellikle ferah olur.
清除	temizlemek; ortadan kaldırmak	İşçiler yoldaki karı temizledi.
清洁	temiz	Hastaneler ortamı temiz tutmalıdır.
清理	düzenlemek; temizlemek	Hafta sonu depoyu temizleyip düzenledik.
清晰	net; açık	Bu fotoğraf çok net.
清醒	uyanık; aklı başında	Kahve içtikten sonra daha uyanık oldu.
清真	helal; İslami	Yakınlarda helal bir restoran var.
情报	istihbarat; bilgi	Gazeteci önemli istihbarat elde etti.
情节	olay örgüsü	Romanın olay örgüsü çok gergindir.
情理	mantık; akla uygunluk	Onun talebi akla uygun değil.
情形	durum; koşullar	Sahadaki durum beklenenden daha karmaşıktı.
晴朗	açık; güneşli	Bugün gökyüzü özellikle açık.
请柬	davet kartı	Akraba ve arkadaşlarına düğün davetiyesi gönderdiler.
请教	danışmak	Size bir soru danışmak istiyorum.
请示	talimat istemek	Bu konuyu önce lidere bildirip talimat istemek gerekir.
请帖	davet kartı	Masanın üzerinde bir doğum günü davetiyesi vardı.
丘陵	tepeler	Bu bölgede çok sayıda tepe vardır.
区分	ayırt etmek	Çocuk artık sağı soldan ayırt edebiliyor.
区域	bölge	Bu bölgede park etmek yasaktır.
屈服	boyun eğmek	Baskıya boyun eğmedi.
曲折	dolambaçlı; karmaşık	Karmaşık müzakerelerden geçtiler.
