simplified	KO	example_KO
难能可贵	귀중한	압박 속에서도 정직을 유지하는 것은 매우 귀중합니다.
恼火	화가 나다	장비가 또 고장 나서 그는 매우 화가 났습니다.
内涵	내포	이 단어에는 풍부한 문화적 내포가 있습니다.
内幕	내막	기자는 사건의 내막을 조사하려고 했습니다.
内在	내적인	그는 사람의 내적인 품성을 더 중시합니다.
能量	에너지	이 아침 식사는 나에게 많은 에너지를 줍니다.
拟定	작성하다	비서는 회의 일정을 작성하고 있습니다.
逆行	역주행하다	그 차는 일방통행 도로에서 역주행했습니다.
年度	연도	회사는 연례 보고서를 발표했습니다.
捏	꼬집다	그녀는 아이의 볼을 가볍게 꼬집었습니다.
凝固	굳다	식은 뒤에 밀랍은 천천히 굳습니다.
凝聚	결집하다	공동 목표는 팀의 힘을 결집할 수 있습니다.
凝视	응시하다	그는 먼 곳의 불빛을 응시했습니다.
拧	비틀다	그는 손으로 나를 한 번 꼬집었습니다.
宁肯	차라리	그녀는 차라리 실패할지언정 원칙을 포기하려 하지 않습니다.
宁愿	차라리	나는 차라리 걸어가고 버스를 기다리고 싶지 않습니다.
扭转	뒤집다	새 정책은 손실 국면을 뒤집었습니다.
纽扣儿	단추	이 셔츠는 단추 하나가 떨어졌습니다.
农历	음력	춘절은 음력 날짜에 따라 기념합니다.
浓厚	짙은	그는 역사에 짙은 흥미를 가지고 있습니다.
奴隶	노예	고대 사회에는 노예 제도가 존재했습니다.
挪	옮기다	의자를 옆으로 조금 옮겨 주세요.
虐待	학대하다	법은 아동 학대를 금지합니다.
哦	아	아, 이제야 이해했습니다.
殴打	때리다	경찰은 행인을 때린 사람을 체포했습니다.
偶像	우상	그녀는 그 작가를 우상으로 여깁니다.
呕吐	구토하다	그는 상한 음식을 먹은 뒤 구토하기 시작했습니다.
趴	엎드리다	새끼 고양이는 창틀 위에 엎드려 자고 있었습니다.
徘徊	배회하다	그는 문 앞에서 오래 배회했습니다.
排斥	배척하다	새 재료는 수분을 배척합니다.
排除	배제하다	의사는 먼저 심각한 질병을 배제했습니다.
排放	배출	공장은 폐가스 배출을 줄여야 합니다.
排练	리허설하다	배우들은 새 프로그램을 리허설하고 있습니다.
派别	파벌	이 조직 내부에는 서로 다른 파벌이 있습니다.
派遣	파견하다	회사는 엔지니어들을 현장에 파견했습니다.
攀登	등반하다	그들은 내일 설산을 등반할 계획입니다.
盘旋	선회하다	비행기는 공항 상공을 선회했습니다.
判决	판결	법원은 오늘 판결을 발표했습니다.
畔	가	아이들은 호숫가를 산책했습니다.
庞大	방대한	이 프로젝트에는 방대한 자금이 필요합니다.
抛弃	버리다	그는 자신의 꿈을 버리고 싶어 하지 않습니다.
泡沫	거품	컵 안에 흰 거품이 많이 있습니다.
培育	기르다	학교는 학생들의 책임감을 기르기 위해 노력합니다.
配备	갖추다	새 차에는 안전 시스템이 갖추어져 있습니다.
配偶	배우자	신청서에는 배우자 정보를 써야 합니다.
配套	부대의	지역사회에는 완비된 부대시설이 있습니다.
盆地	분지	이 분지는 여름에 매우 덥습니다.
烹饪	요리	요리에는 인내와 경험이 필요합니다.
捧	두 손으로 받치다	그녀는 두 손으로 꽃다발을 받치고 있었습니다.
劈	쪼개다	노동자는 도끼로 장작을 쪼갰습니다.
批发	도매하다	이 가게는 주로 과일을 도매합니다.
批判	비판하다	그 글은 이런 잘못된 관점을 비판했습니다.
疲惫	지친	장거리 여행 뒤 모두가 매우 지쳤습니다.
疲倦	피곤한	연속 근무는 그를 피곤하게 했습니다.
皮革	가죽	이 가방은 가죽으로 만들었습니다.
屁股	엉덩이	아이는 넘어진 뒤 엉덩이가 많이 아팠습니다.
譬如	예를 들면	예를 들면, 우리는 먼저 작은 테스트를 할 수 있습니다.
偏差	편차	실험 결과에는 뚜렷한 편차가 있습니다.
偏见	편견	우리는 민족적 편견을 피해야 합니다.
偏僻	외진	이 마을은 위치가 매우 외진 곳에 있습니다.
偏偏	하필	내가 조급할수록 차는 하필 더 느려졌습니다.
片断	단편	영화에는 몇 개의 멋진 단편이 있습니다.
片刻	잠깐	여기서 잠깐 저를 기다려 주세요.
漂浮	떠다니다	낙엽이 물 위에 떠다녔습니다.
飘扬	휘날리다	국기가 바람 속에서 휘날렸습니다.
撇	제쳐 두다	그는 낡은 계획을 한쪽에 제쳐 두었습니다.
拼搏	분투하다	젊은이는 이상을 위해 분투해야 합니다.
拼命	필사적으로	그는 앞의 대열을 필사적으로 쫓았습니다.
贫乏	빈약한	이 글의 내용은 비교적 빈약합니다.
贫困	빈곤한	정부는 빈곤한 가정을 돕습니다.
频繁	빈번한	최근 이곳에서는 교통사고가 매우 빈번합니다.
频率	주파수	이 소리의 주파수는 매우 높습니다.
品尝	맛보다	손님들은 현지 음식을 맛보고 있습니다.
品德	품성	학교는 학생들의 품성 교육을 중시합니다.
品质	품질	이 회사 제품의 품질은 안정적입니다.
品种	품종	시장에는 과일 품종이 많습니다.
屏幕	화면	화면 밝기를 낮춰 주세요.
屏障	장벽	숲은 바람을 막는 중요한 장벽입니다.
平凡	평범한	그는 평범한 직책에서 여러 해 일했습니다.
平面	평면	디자이너는 집의 평면도를 그렸습니다.
平坦	평탄한	이 길은 매우 평탄합니다.
平行	평행한	이 두 선은 서로 평행합니다.
平庸	평범한	그는 평범한 생활에 만족하지 않습니다.
平原	평원	기차는 넓은 평원을 지나갔습니다.
评估	평가하다	전문가들은 프로젝트 위험을 평가하고 있습니다.
评论	논평하다	독자들은 글 아래에 논평할 수 있습니다.
坡	비탈	자동차는 천천히 비탈길을 올라갔습니다.
泼	뿌리다	물을 바닥에 뿌리지 마세요.
颇	꽤	이 결과는 꽤 뜻밖입니다.
破例	예외를 두다	매니저는 그를 위해 예외를 두고 신청을 승인했습니다.
迫不及待	기다릴 수 없다	아이들은 기다릴 수 없어 선물을 열었습니다.
迫害	박해하다	역사상 많은 사람들이 박해를 당했습니다.
魄力	결단력	지도자는 의사 결정의 결단력이 필요합니다.
扑	달려들다	아이는 갑자기 엄마 품으로 달려들었습니다.
铺	깔다	노동자들이 새 카펫을 깔고 있습니다.
普及	보급되다	인터넷은 이미 도시에서 보급되었습니다.
朴实	소박한	그의 말은 소박하고 진실합니다.
朴素	검소한	그녀는 검소한 생활 방식을 좋아합니다.
瀑布	폭포	관광객들은 폭포 옆에 서서 사진을 찍었습니다.
凄凉	쓸쓸한	겨울의 산골 마을은 매우 쓸쓸해 보였습니다.
期望	기대	부모는 아이에게 높은 기대를 가지고 있습니다.
期限	기한	신청 기한은 이번 주 금요일입니다.
欺负	괴롭히다	큰 아이들은 작은 아이들을 괴롭혀서는 안 됩니다.
欺骗	속이다	허위 광고가 소비자를 속였습니다.
奇妙	기묘한	대자연에는 많은 기묘한 현상이 있습니다.
旗袍	치파오	그녀는 빨간 치파오를 입고 저녁 파티에 참석했습니다.
旗帜	깃발	광장에는 선명한 깃발들이 휘날리고 있었습니다.
歧视	차별하다	법은 어떤 형태의 차별도 금지합니다.
齐全	완비된	이 가게의 도구는 매우 완비되어 있습니다.
齐心协力	힘을 합치다	모두가 힘을 합쳐 임무를 완수했습니다.
乞丐	거지	길가에 늙은 거지가 앉아 있었습니다.
企图	시도하다	그는 실제 상황을 숨기려고 시도했습니다.
启程	출발하다	대표단은 내일 이른 아침 출발합니다.
启蒙	계몽하다	이 책은 어린이 입문 독서에 적합합니다.
启事	공고	학교 문 앞에 채용 공고가 붙어 있었습니다.
启示	시사점	이번 실패는 우리에게 중요한 시사점을 주었습니다.
岂有此理	말도 안 되다	이런 요금은 정말 말도 안 됩니다.
起草	초안을 작성하다	변호사는 계약서 초안을 작성하고 있습니다.
起初	처음에는	처음에는 그는 이 소식을 믿지 않았습니다.
起伏	오르내리다	산길은 지세에 따라 오르내립니다.
起哄	소란을 피우다	학생들은 수업 중에 소란을 피워서는 안 됩니다.
起码	최소한	최소한 당신은 미리 나에게 알려야 했습니다.
起源	기원하다	이 축제는 고대에서 기원했습니다.
器材	기자재	실험실에는 새 교육 기자재가 필요합니다.
器官	기관	심장은 인체의 중요한 기관입니다.
气概	기개	이 시는 영웅적 기개를 보여 줍니다.
气功	기공	할아버지는 매일 아침 기공을 연습합니다.
气魄	기백	이 대교는 매우 기백이 있습니다.
气色	안색	휴식 후 그의 안색이 훨씬 좋아졌습니다.
气势	기세	팀은 경기 시작부터 기세가 강했습니다.
气味	냄새	부엌에는 구운 빵 냄새가 났습니다.
气象	기상	이곳 고원의 기상은 빠르게 변합니다.
气压	기압	기압이 낮아지면 비가 올 수 있습니다.
气质	기질	그녀에게는 조용한 기질이 있습니다.
迄今为止	지금까지	지금까지 실험은 순조롭게 진행되었습니다.
掐	꺾다	그녀는 작은 꽃 한 송이를 꺾었습니다.
恰当	적절한	당신의 대답은 매우 적절합니다.
恰到好处	딱 알맞다	이 요리의 단맛은 딱 알맞습니다.
恰巧	마침	내가 역에 도착했을 때 마침 비가 내렸습니다.
洽谈	협의하다	양측은 협력 세부 사항을 협의하고 있습니다.
千方百计	온갖 방법을 다하다	그들은 해결책을 찾기 위해 온갖 방법을 다했습니다.
牵	잡아끌다	엄마는 아이의 손을 잡고 길을 건넜습니다.
牵扯	관련되다	이 일은 많은 부서와 관련됩니다.
牵制	견제하다	상대의 수비가 공격을 견제했습니다.
签署	서명하다	두 회사는 협의서에 서명했습니다.
谦逊	겸손한	그는 성공한 뒤에도 여전히 겸손했습니다.
迁就	맞춰 주다	부모는 항상 아이에게 맞춰 줄 수는 없습니다.
迁徙	이동하다	철새는 매년 계절에 따라 이동합니다.
前景	전망	이 업계의 전망은 좋습니다.
前提	전제	신뢰는 협력의 전제입니다.
潜力	잠재력	이 학생은 큰 잠재력을 가지고 있습니다.
潜水	잠수	그들은 바닷가에 가서 잠수를 배웠습니다.
潜移默化	은연중에 영향을 주다	가정 환경은 아이에게 은연중에 영향을 줄 수 있습니다.
谴责	규탄하다	국제 사회는 폭력 행위를 규탄했습니다.
抢劫	강도질하다	경찰은 은행을 턴 용의자를 붙잡았습니다.
强制	강제하다	새 규정은 운전자에게 안전벨트 착용을 강제합니다.
强迫	강요하다	아이가 싫어하는 일을 하도록 강요하지 마세요.
抢救	구조하다	의사들은 다친 노동자를 구조하고 있습니다.
桥梁	다리	언어는 문화 교류의 다리입니다.
窍门	요령	발음을 배우는 데는 몇 가지 요령이 있습니다.
翘	들다	그는 한쪽 발을 의자 위에 들어 올렸습니다.
切实	실질적인	우리는 실질적으로 실행 가능한 계획이 필요합니다.
锲而不舍	끈기 있게 계속하다	그는 이 문제를 끈기 있게 연구했습니다.
亲密	친밀한	그들은 줄곧 친밀한 관계를 유지했습니다.
亲热	다정한	노인은 손님들을 다정하게 맞이했습니다.
侵犯	침해하다	이런 행위는 개인 사생활을 침해했습니다.
侵略	침략	사람들은 어떤 형태의 침략에도 반대합니다.
钦佩	존경하다	나는 그녀의 용기를 매우 존경합니다.
勤俭	근면하고 검소한	할머니는 평생 근면하고 검소하게 살림을 꾸렸습니다.
勤劳	근면한	근면한 사람은 언제나 기회를 만들 수 있습니다.
倾听	귀 기울여 듣다	선생님은 학생들의 의견에 진지하게 귀 기울였습니다.
倾向	경향	젊은 소비자들은 온라인 쇼핑을 선호하는 경향이 있습니다.
倾斜	기울다	폭우가 내린 뒤 벽체가 기울기 시작했습니다.
清澈	맑은	산속의 시냇물은 매우 맑습니다.
清晨	이른 아침	이른 아침의 공기는 특히 신선합니다.
清除	제거하다	노동자들은 도로 위의 눈을 제거했습니다.
清洁	깨끗한	병원은 환경을 깨끗하게 유지해야 합니다.
清理	정리하다	주말에 우리는 창고를 정리했습니다.
清晰	선명한	이 사진은 매우 선명합니다.
清醒	정신이 맑은	커피를 마신 뒤 그는 훨씬 정신이 맑아졌습니다.
清真	할랄	근처에 할랄 식당이 하나 있습니다.
情报	정보	기자는 중요한 정보를 얻었습니다.
情节	줄거리	소설의 줄거리는 매우 긴박합니다.
情理	도리	그의 요구는 도리에 맞지 않습니다.
情形	상황	현장의 상황은 생각보다 복잡했습니다.
晴朗	맑은	오늘 하늘은 유난히 맑습니다.
请柬	초대장	그들은 친척과 친구들에게 결혼식 초대장을 보냈습니다.
请教	가르침을 구하다	저는 당신께 한 가지 문제에 대해 가르침을 구하고 싶습니다.
请示	지시를 요청하다	이 일은 먼저 상사에게 지시를 요청해야 합니다.
请帖	초대장	탁자 위에 생일 초대장이 한 장 놓여 있었습니다.
丘陵	구릉	이 지역에는 구릉이 많습니다.
区分	구분하다	아이는 이미 좌우를 구분할 수 있습니다.
区域	구역	이 구역은 주차가 금지되어 있습니다.
屈服	굴복하다	그는 압력에 굴복하지 않았습니다.
曲折	복잡한	그들은 복잡한 협상을 겪었습니다.
驱逐	추방하다	경찰은 소란을 피운 사람들을 추방했습니다.
渠道	경로	회사는 새로운 경로를 통해 제품을 판매합니다.
取缔	금지하다	정부는 불법 시장을 금지했습니다.
曲子	곡	이 곡의 선율은 매우 아름답습니다.
趣味	재미	이 게임은 매우 재미있습니다.
圈套	함정	그는 하마터면 사기꾼의 함정에 빠질 뻔했습니다.
全局	전체 국면	지도자는 전체 국면의 이익을 고려해야 합니다.
全力以赴	전력을 다하다	우리는 임무를 완수하기 위해 전력을 다할 것입니다.
拳头	주먹	그는 주먹을 꽉 쥐고 경기를 준비했습니다.
权衡	저울질하다	우리는 비용과 효과를 저울질해야 합니다.
权威	권위	이 교수는 해당 분야의 권위자입니다.
犬	개	이런 개는 집을 지키기에 적합합니다.
缺口	틈	벽에 작은 틈이 하나 있습니다.
缺席	결석	그는 병 때문에 회의에 결석했습니다.
缺陷	결함	이 설계에는 뚜렷한 결함이 있습니다.
瘸	다리를 절다	그의 왼쪽 다리는 조금 절뚝거립니다.
确保	확보하다	문이 이미 잠겼는지 확인해 주세요.
确立	확립하다	회사는 새로운 발전 목표를 확립했습니다.
确切	정확한	나는 정확한 시간을 모릅니다.
确信	확신하다	나는 그가 제시간에 도착할 것이라고 확신합니다.
群众	대중	대중은 새 정책을 매우 지지합니다.
染	염색하다	그녀는 머리를 검은색으로 염색했습니다.
嚷	소리치다	복도에서 크게 소리치지 마세요.
让步	양보	양측은 모두 약간의 양보를 했습니다.
饶恕	용서하다	그녀는 결국 상대방을 용서하기로 했습니다.
扰乱	어지럽히다	소음이 교실 질서를 어지럽혔습니다.
惹祸	화를 부르다	함부로 농담하면 쉽게 화를 부릅니다.
热泪盈眶	눈물이 글썽하다	좋은 소식을 듣고 그녀는 눈물이 글썽했습니다.
热门	인기 있는	인공지능은 인기 있는 주제입니다.
人道	인도주의	구조 활동은 인도주의 정신을 보여 주었습니다.
人格	인격	다른 사람을 모욕하면 인격의 존엄을 해칩니다.
人工	인공의	이 강은 인공으로 파낸 것입니다.
人家	남	항상 자신을 남과 비교하지 마세요.
人间	인간 세상	봄은 인간 세상을 생기로 가득 채웁니다.
人士	인사	각계 인사들이 좌담회에 참석했습니다.
人为	인위적인	이번 사고는 인위적인 원인으로 발생했습니다.
人性	인간성	이 영화는 인간성을 논의합니다.
人质	인질	경찰은 인질을 성공적으로 구출했습니다.
仁慈	자애로운	이 의사는 환자에게 매우 자애롭습니다.
忍耐	인내	긴 줄을 서려면 약간의 인내가 필요합니다.
忍受	참다	나는 이곳의 소음을 참을 수 없습니다.
任命	임명하다	이사회는 그녀를 매니저로 임명했습니다.
任性	제멋대로인	아이가 너무 제멋대로이면 성장에 영향을 줄 수 있습니다.
任意	임의로	데이터를 임의로 수정하지 마세요.
任重道远	갈 길이 멀고 책임이 무겁다	교육 개혁은 갈 길이 멀고 책임이 무겁습니다.
认定	인정하다	경찰은 이것을 사고로 인정했습니다.
认可	인정	그의 방안은 모두의 인정을 받았습니다.
仍旧	여전히	여러 해가 지난 뒤에도 그는 여전히 이곳에 살았습니다.
日新月异	나날이 새로워지다	과학기술은 나날이 새롭게 발전하고 있습니다.
日益	날로	환경 문제가 날로 심각해지고 있습니다.
容貌	외모	세월은 그의 외모를 바꾸었습니다.
容纳	수용하다	이 홀은 500명을 수용할 수 있습니다.
容器	용기	액체를 유리 용기에 부어 주세요.
容忍	용인하다	회사는 사기 행위를 용인할 수 없습니다.
溶解	녹다	소금은 물속에서 녹습니다.
荣幸	영광스럽다	회의에 참석할 수 있어 매우 영광입니다.
荣誉	영예	이 메달은 최고의 영예를 나타냅니다.
融化	녹다	햇빛이 얼음과 눈을 천천히 녹였습니다.
融洽	화목한	동료들 사이의 관계는 매우 화목합니다.
揉	문지르다	엄마는 내 어깨를 가볍게 문질렀습니다.
柔和	부드러운	불빛이 부드럽고 눈부시지 않습니다.
儒家	유가	유가 사상은 동아시아 문화에 영향을 주었습니다.
弱点	약점	부주의는 그의 주요 약점입니다.
若干	몇 가지	회의는 몇 가지 건의를 제시했습니다.
撒谎	거짓말하다	아이는 거짓말해서는 안 됩니다.
散文	산문	그녀는 현대 산문 읽기를 좋아합니다.
散布	퍼뜨리다	인터넷에서 누군가 소문을 퍼뜨렸습니다.
散发	내뿜다	정원에는 맑은 향기가 퍼지고 있습니다.
丧失	잃다	그는 자신감을 잃지 않았습니다.
骚扰	괴롭히다	다른 승객을 괴롭히지 마세요.
嫂子	형수	형수가 만든 밥은 매우 맛있습니다.
刹车	브레이크를 밟다	운전자가 갑자기 브레이크를 밟았습니다.
啥	뭐	방금 뭐라고 했어요?
筛选	선별하다	시스템이 이력서를 자동으로 선별합니다.
山脉	산맥	이 산맥은 매우 깁니다.
闪烁	깜박이다	멀리 있는 불빛이 계속 깜박였습니다.
擅长	잘하다	그는 복잡한 문제를 처리하는 데 능합니다.
擅自	무단으로	직원은 무단으로 자리를 떠날 수 없습니다.
伤脑筋	골치 아프다	이 문제는 정말 골치 아픕니다.
商标	상표	회사는 새 상표를 등록했습니다.
上级	상급자	그는 상급자에게 상황을 보고했습니다.
上进	향상심이 있다	그녀는 줄곧 향상심이 강했습니다.
上任	취임하다	새 매니저는 다음 주에 취임합니다.
上瘾	중독되다	많은 사람들이 짧은 영상에 중독됩니다.
上游	상류	오염은 강 상류에서 옵니다.
尚且	조차도	어른조차도 실수할 수 있습니다.
捎	전해 주다	저 대신 말을 좀 전해 주세요.
梢	끝	새가 나뭇가지 끝에 앉았습니다.
哨	초소	문 앞에 보초 한 명이 있습니다.
奢侈	사치스러운	이런 소비는 너무 사치스럽습니다.
舌头	혀	그는 혀를 데었습니다.
摄氏度	섭씨도	오늘 기온은 섭씨 30도입니다.
涉及	관련되다	보고서는 여러 부서와 관련됩니다.
社区	지역사회	지역사회는 건강 강좌를 조직했습니다.
设立	설립하다	학교는 장학금을 설립했습니다.
设想	구상	이 구상은 아직 논의가 필요합니다.
设置	설정하다	비밀번호를 다시 설정해 주세요.
呻吟	신음하다	환자는 낮은 소리로 신음했습니다.
深奥	심오한	이 책의 내용은 매우 심오합니다.
深沉	깊은	그의 목소리는 낮고 깊었습니다.
深情厚谊	깊은 우정	두 나라 국민은 깊은 우정을 맺었습니다.
申报	신고하다	여행객은 물품을 사실대로 신고해야 합니다.
绅士	신사	그는 신사처럼 행동합니다.
神经	신경	스트레스는 신경계에 영향을 줄 수 있습니다.
神奇	신기한	이곳의 풍경은 매우 신기합니다.
神气	의기양양한	그는 오늘 특히 의기양양해 보였습니다.
神圣	신성한	이것은 신성한 직책입니다.
神态	표정	그녀의 표정은 매우 차분했습니다.
神仙	신선	전설에 따르면 산속에 신선이 산다고 합니다.
审查	심사하다	플랫폼은 게시된 내용을 심사합니다.
审理	심리하다	법원은 이 사건을 심리하고 있습니다.
审美	미적 감각	그의 미적 감각은 매우 독특합니다.
审判	재판	공개 재판은 언론의 관심을 끌었습니다.
慎重	신중한	이 결정은 반드시 신중해야 합니다.
渗透	스며들다	빗물이 천천히 흙 속으로 스며들었습니다.
声明	성명	회사는 공식 성명을 발표했습니다.
声势	기세	이번 홍보 활동은 기세가 매우 큽니다.
声誉	명성	제품 품질은 브랜드 명성에 영향을 줍니다.
牲畜	가축	목축민들은 가축을 초원으로 몰고 돌아갔습니다.
生存	생존하다	야생동물은 생존 공간이 필요합니다.
生机	생기	봄비는 대지를 생기로 가득 채웁니다.
生理	생리	수면은 사람의 생리 상태에 영향을 줍니다.
生疏	서툴다	여러 해 동안 연습하지 않아 그의 피아노 연주는 좀 서툽니다.
生态	생태	산림 보호는 생태 균형과 관련됩니다.
生物	생물	바다에는 많은 기이한 생물이 있습니다.
生效	효력을 발생하다	새 규정은 내일 공식적으로 효력을 발생합니다.
生肖	띠	당신의 띠는 무엇인가요?
生锈	녹슬다	자전거 체인이 이미 녹슬었습니다.
生育	출산	병원은 출산 상담 서비스를 제공합니다.
省会	성도	청두는 예로부터 쓰촨성의 성도였습니다.
盛产	많이 생산하다	이곳은 품질 좋은 차를 많이 생산합니다.
盛开	활짝 피다	공원의 벚꽃이 활짝 피고 있습니다.
盛情	후한 정	우리는 주인의 후한 대접에 감사드립니다.
盛行	유행하다	이런 스타일은 한때 매우 유행했습니다.
胜负	승부	경기 마지막 1분이 승부를 결정했습니다.
失事	사고가 나다	비행기 사고 원인은 아직 조사 중입니다.
失误	실수	작은 실수 하나가 프로젝트 지연을 초래했습니다.
失踪	실종되다	경찰은 실종된 아이를 찾고 있습니다.
尸体	시신	구조대는 희생자의 시신을 발견했습니다.
师范	사범	그녀는 사범대학을 졸업했습니다.
施加	가하다	부모는 지나친 압력을 가해서는 안 됩니다.
施展	발휘하다	그는 마침내 재능을 발휘할 기회를 얻었습니다.
十足	충만한	그는 결과에 대해 자신감이 충만합니다.
实惠	실속 있다	이 가게의 가격은 매우 실속 있습니다.
实力	실력	팀의 전체 실력이 매우 강합니다.
实施	실시하다	정부는 새 방안을 실시하기 시작했습니다.
实事求是	사실에 근거해 진리를 찾다	연구는 사실에 근거해 진리를 찾아야 합니다.
实行	시행하다	회사는 탄력 근무제를 시행합니다.
实质	본질	문제의 본질은 변하지 않았습니다.
拾	줍다	그는 허리를 굽혀 땅에 떨어진 열쇠를 주웠습니다.
时常	자주	할아버지는 자주 젊었을 때의 일을 이야기합니다.
时而	때때로	날씨가 때때로 맑고 때때로 흐립니다.
时光	시간	아름다운 시간은 늘 짧게 느껴집니다.
时机	시기	지금은 협상하기에 좋은 시기가 아닙니다.
时事	시사	학생들은 매주 국제 시사를 토론합니다.
石油	석유	석유 가격이 다시 올랐습니다.
识别	식별하다	시스템은 서로 다른 얼굴을 식별할 수 있습니다.
使命	사명	환경 보호는 공동의 사명입니다.
世代	세대	이 기술은 집안에서 세대를 이어 전해졌습니다.
事故	사고	이번 사고에는 인명 피해가 없었습니다.
事迹	업적	그의 영웅적 업적은 널리 전해졌습니다.
事件	사건	이번 사건은 사회적 관심을 불러일으켰습니다.
事态	사태	정부는 사태의 발전을 통제하고 있습니다.
事务	사무	그녀는 회사의 일상 사무를 맡고 있습니다.
事项	사항	계약서의 중요한 사항을 확인해 주세요.
事业	사업	그는 교육을 평생의 사업으로 여깁니다.
势必	반드시	비용 상승은 반드시 가격에 영향을 줄 것입니다.
势力	세력	현지 상업 세력이 매우 강합니다.
是非	시비	그는 사무실 시비에 휘말리고 싶지 않습니다.
示范	시범	선생님이 먼저 한 번 시범을 보였습니다.
示威	시위	도심에서 평화 시위가 일어났습니다.
示意	신호하다	매니저는 모두에게 조용히 하라고 신호했습니다.
视力	시력	오랫동안 화면을 보면 시력에 영향을 줄 수 있습니다.
视频	동영상	동영상을 저에게 보내 주세요.
视线	시야	짙은 안개가 운전자의 시야를 가렸습니다.
视野	시야	여행은 시야를 넓힐 수 있습니다.
试图	시도하다	그는 자신의 결정을 설명하려고 시도했습니다.
试验	실험	과학자들은 여러 차례 실험을 진행했습니다.
适宜	적합한	이곳의 기후는 거주하기에 적합합니다.
逝世	세상을 떠나다	이 작가는 지난해 세상을 떠났습니다.
释放	석방하다	법원은 피고를 석방하기로 결정했습니다.
收藏	수집하다	그는 많은 오래된 우표를 수집했습니다.
收缩	수축하다	찬 공기는 금속을 수축시킬 수 있습니다.
收益	수익	투자 수익은 예상보다 높았습니다.
收音机	라디오	할머니는 매일 라디오를 듣습니다.
守护	지키다	의사들은 환자의 생명을 지킵니다.
手法	기법	감독의 촬영 기법은 매우 독특합니다.
手势	손짓	그는 손짓으로 동의를 표시했습니다.
手艺	솜씨	이 장인의 솜씨는 매우 좋습니다.
首饰	장신구	그녀는 간단한 은 장신구를 착용했습니다.
首要	가장 중요한	안전은 가장 중요한 임무입니다.
受罪	고생하다	환자는 수술 후 많이 고생했습니다.
授予	수여하다	학교는 그에게 명예 학위를 수여했습니다.
书法	서예	그는 어릴 때부터 서예를 연습했습니다.
书记	서기	마을 서기가 회의를 주재했습니다.
书籍	서적	도서관은 많은 서적을 소장하고 있습니다.
书面	서면	서면 증명을 제공해 주세요.
疏忽	소홀	이번 오류는 업무 소홀에서 비롯되었습니다.
疏远	멀어지다	오해로 두 사람은 점점 멀어졌습니다.
舒畅	상쾌하다	산책 후 기분이 매우 상쾌했습니다.
数额	금액	배상 금액은 아직 정해지지 않았습니다.
束	다발	그녀는 꽃 한 다발을 샀습니다.
束缚	속박하다	전통 관념이 그의 선택을 속박했습니다.
树立	세우다	회사는 좋은 이미지를 세워야 합니다.
竖	세우다	표지판을 세워 주세요.
耍	가지고 놀다	근무 시간에 휴대폰을 가지고 놀지 마세요.
衰老	노화	운동은 노화를 늦출 수 있습니다.
衰退	쇠퇴	경제 쇠퇴가 고용에 영향을 주었습니다.
率领	이끌다	대장은 대오를 이끌고 앞으로 나아갔습니다.
涮火锅	훠궈를 먹다	겨울에는 모두 훠궈 먹는 것을 좋아합니다.
双胞胎	쌍둥이	그들은 쌍둥이 한 쌍입니다.
爽快	시원시원한	그녀는 매우 시원시원하게 대답했습니다.
水利	수리	이 지역은 수리 시설 건설을 중시합니다.
水龙头	수도꼭지	부엌 수도꼭지에서 물이 샙니다.
水泥	시멘트	노동자들이 시멘트를 공사 현장으로 운반했습니다.
瞬间	순간	불이 한순간에 모두 꺼졌습니다.
司法	사법	사법 독립은 제도적 보장이 필요합니다.
司令	사령관	사령관은 철수 명령을 내렸습니다.
思念	그리워하다	그녀는 자주 고향을 그리워합니다.
思索	깊이 생각하다	그는 고개를 숙이고 오랫동안 깊이 생각했습니다.
思维	사고	이 훈련은 논리적 사고를 높일 수 있습니다.
斯文	점잖은	그는 말하는 태도가 매우 점잖습니다.
私自	제멋대로	학생은 제멋대로 학교를 떠날 수 없습니다.
死亡	사망	사고로 여러 명이 사망했습니다.
四肢	사지	운동하기 전에 사지를 움직여야 합니다.
寺庙	사원	산 위에 오래된 사원이 하나 있습니다.
肆无忌惮	거리낌 없는	그는 거리낌 없이 규칙을 파괴했습니다.
饲养	기르다	농장은 많은 젖소를 기릅니다.
耸	으쓱하다	그는 듣고 나서 그저 어깨를 으쓱했습니다.
艘	척	항구에는 화물선 세 척이 정박해 있습니다.
苏醒	의식을 되찾다	환자가 마침내 의식을 되찾았습니다.
俗话	속담	속담에 익숙해지면 능숙해진다고 합니다.
塑造	형성하다	환경은 사람의 성격을 형성할 수 있습니다.
素食	채식	이 식당은 채식을 제공합니다.
素质	소양	서비스 직원들의 소양이 매우 높습니다.
诉讼	소송	양측은 소송을 통해 해결하기로 결정했습니다.
算数	유효하다	네가 한 말은 지켜야 합니다.
随即	곧바로	회의가 끝난 뒤 그는 곧바로 떠났습니다.
随意	마음대로	설정을 마음대로 바꾸지 마세요.
岁月	세월	세월은 그의 외모를 바꾸었습니다.
隧道	터널	기차가 긴 터널을 지나갔습니다.
损坏	손상시키다	폭우가 도로를 손상시켰습니다.
索取	요청하다	고객은 무료로 샘플을 요청할 수 있습니다.
索性	아예	비가 너무 많이 와서 우리는 아예 외출하지 않았습니다.
塌	무너지다	낡은 집의 지붕이 무너졌습니다.
