simplified	TA	example_TA
削弱	பலவீனப்படுத்துதல்	சோர்வு தீர்மானிக்கும் திறனை பலவீனப்படுத்தும்.
学说	கோட்பாடு	இந்த கோட்பாட்டின் தாக்கம் பெரியது.
学位	பட்டம்	அவள் முதுநிலை பட்டம் பெற்றாள்.
雪上加霜	துன்பத்திற்கு மேலே துன்பம்	வேலை இழந்ததும் நோயுற்றதும் துன்பத்திற்கு மேலே துன்பமாகிவிட்டது.
血压	இரத்த அழுத்தம்	மருத்துவர் அவருக்கு இரத்த அழுத்தத்தை கட்டுப்படுத்த நினைவூட்டினார்.
熏陶	நல்ல தாக்கத்தில் வளர்தல்	அவள் சிறு வயதிலிருந்து இசையின் நல்ல தாக்கத்தில் வளர்ந்தாள்.
寻觅	தேடித்திரிதல்	அவர்கள் பொருத்தமான வீடுகளை எல்லா இடங்களிலும் தேடித்திரிந்தனர்.
巡逻	ரோந்து செல்லுதல்	காவலர்கள் இரவில் தெருவில் ரோந்து சென்றனர்.
循环	சுழற்சி	நீர் அமைப்பில் சுழற்சி செய்கிறது.
循序渐进	படிப்படியாக முன்னேறுதல்	மொழி கற்றல் படிப்படியாக முன்னேற வேண்டும்.
压迫	ஒடுக்குதல்	பழைய அமைப்பு சாதாரண மக்களை ஒடுக்கியது.
压岁钱	புத்தாண்டுப் பரிசுப் பணம்	குழந்தை புத்தாண்டுப் பரிசுப் பணம் பெற்றது.
压缩	சுருக்குதல்	மென்பொருள் படத்தின் அளவை சுருக்க முடியும்.
压抑	அடக்குதல்	அவர் உள்ளக் கோபத்தை அடக்க முயன்றார்.
压榨	பிழிந்தெடுத்தல்	இயந்திரம் கரும்புச் சாற்றை பிழிந்தெடுத்து கொண்டிருக்கிறது.
压制	அடக்கி கட்டுப்படுத்துதல்	மருந்து வலியை அடக்கி கட்டுப்படுத்த முடியும்.
鸦雀无声	முழு அமைதி	ஆசிரியர் உள்ளே வந்த பிறகு வகுப்பறை முழு அமைதியாகியது.
亚军	இரண்டாம் இடம் பெற்றவர்	அவள் போட்டியில் இரண்டாம் இடம் பெற்றார்.
淹没	மூழ்கடித்தல்	வெள்ளம் தாழ்வான கிராமத்தை மூழ்கடித்தது.
烟花爆竹	வாணவேடிக்கை மற்றும் பட்டாசுகள்	விழா காலத்தில் வாணவேடிக்கை மற்றும் பட்டாசுகள் வெடிப்பது தடைசெய்யப்பட்டுள்ளது.
严峻	கடுமையான	வேலைவாய்ப்பு நிலைமை இன்னும் கடுமையாக உள்ளது.
严寒	கடுங்குளிர்	கடுங்குளிர் காலநிலை போக்குவரத்தைக் பாதிக்கிறது.
严禁	கடுமையாகத் தடைசெய்யுதல்	இங்கே புகைபிடிப்பது கடுமையாகத் தடைசெய்யப்பட்டுள்ளது.
严厉	கடுமையான	ஆசிரியர் அவரை கடுமையாக விமர்சித்தார்.
严密	மிகக் கட்டுப்பாடான	கிடங்கில் மிகக் கட்டுப்பாடான கண்காணிப்பு உள்ளது.
岩石	பாறை	கடற்கரையோர பாறைகள் மிகவும் கடினமாக உள்ளன.
延期	ஒத்திவைத்தல்	கூட்டம் அடுத்த வாரத்துக்கு ஒத்திவைக்கப்பட்டது.
延伸	நீளுதல்	சாலை வடக்கே நீளுகிறது.
延续	தொடர்தல்	இந்த மரபு நூறு ஆண்டுகளாக தொடர்ந்து வருகிறது.
沿海	கடற்கரைப் பகுதி	கடற்கரை நகரங்களில் வணிகம் வளர்ச்சியடைந்துள்ளது.
炎热	கடும் வெப்பமான	கடும் வெப்பமான காலநிலை மனிதர்களை சோர்வடையச் செய்கிறது.
言论	கருத்துரை	பொதுமக்கள் அவரது கருத்துரைகளை கவனிக்கின்றனர்.
掩盖	மறைத்தல்	அவர் தவறை மறைக்க முயன்றார்.
掩护	மறைவளித்தல்	அணி நண்பர்கள் வெளியேறுவதற்கு மறைவளிப்பதற்கு பொறுப்பானவர்கள்.
掩饰	மறைத்துக் காட்டுதல்	அவள் பதட்டத்தை மறைத்துக் காட்ட முயன்றாள்.
演变	மாற்றம் அடைதல்	நகர அமைப்பு தொடர்ந்து மாற்றம் அடைகிறது.
演习	பயிற்சி ஒத்திகை	பள்ளி தீயணைப்பு பயிற்சி ஒத்திகை நடத்தியது.
演绎	விளக்கிக் காட்டுதல்	ஆசிரியர் இந்த கோட்பாட்டை விளக்கிக் காட்டினார்.
演奏	இசை வாசித்தல்	இசைக்குழு பாரம்பரிய இசையை வாசித்து கொண்டிருக்கிறது.
眼光	நோக்குப் பார்வை	அவரது முதலீட்டு நோக்குப் பார்வை நல்லது.
眼色	கண் சைகை	அவள் சக ஊழியருக்கு ஒரு கண் சைகை செய்தாள்.
眼神	கண்பார்வை	அவரது கண்பார்வை மிகவும் உறுதியானது.
厌恶	வெறுத்தல்	அவர் ஏமாற்று நடத்தையை வெறுக்கிறார்.
验收	சரிபார்த்து ஏற்றுக்கொள்ளுதல்	பணி முடிந்த பிறகு சரிபார்த்து ஏற்றுக்கொள்ள வேண்டும்.
验证	சரிபார்த்தல்	சோதனை கருதுகோளை சரிபார்த்தது.
氧气	ஆக்சிஜன்	நோயாளிக்கு ஆக்சிஜன் சுவாசிக்க வேண்டும்.
样品	மாதிரி பொருள்	வாடிக்கையாளர் தயாரிப்பு மாதிரி பொருளைப் பெற்றார்.
摇摆	ஆடுதல்	சிறிய படகு காற்று அலைகளில் ஆடியது.
摇滚	ராக் இசை	இளைஞர்கள் ராக் இசையை விரும்புகிறார்கள்.
谣言	வதந்தி	உறுதி செய்யப்படாத வதந்திகளைப் பரப்பாதீர்கள்.
遥控	தொலைவிலிருந்து கட்டுப்படுத்துதல்	அவர் கைப்பேசியால் குளிரூட்டியை தொலைவிலிருந்து கட்டுப்படுத்துகிறார்.
遥远	தொலைதூரமான	அந்த கிராமம் நகரத்திலிருந்து மிகவும் தொலைதூரமாக உள்ளது.
耀眼	கண் கூசும்	சூரியஒளி மனிதர்களுக்கு கண் கூசும் அளவு பிரகாசமாக இருந்தது.
要点	முக்கியப் புள்ளி	தயவுசெய்து கூட்டத்தின் முக்கியப் புள்ளிகளை பதிவு செய்யுங்கள்.
要命	உயிருக்கு ஆபத்தான அளவு	இந்த மலைப்பாதை உயிருக்கு ஆபத்தான அளவு அபாயகரமாக உள்ளது.
要素	அம்சம்	நம்பிக்கை ஒத்துழைப்பின் முக்கிய அம்சமாகும்.
野蛮	முரட்டுத்தனமான	அவர் முரட்டுத்தனமான சட்ட அமலாக்கத்துக்கு எதிராக உள்ளார்.
野心	பேராசைமிக்க லட்சியம்	அவரது அரசியல் பேராசைமிக்க லட்சியம் தெளிவாக தெரிகிறது.
液体	திரவம்	இந்த வகை திரவத்திற்கு நிறம் இல்லை.
一流	முதல் தரமான	இந்த மருத்துவமனையின் உபகரணங்கள் முதல் தரமானவை.
一如既往	முன்பைப் போலவே	அவர் முன்பைப் போலவே எங்களை ஆதரித்தார்.
依旧	இன்னும்	மழை நின்றாலும் தெரு இன்னும் ஈரமாக இருந்தது.
依据	அடிப்படையாகக் கொள்ளுதல்	தீர்ப்பு சட்டத்தை அடிப்படையாகக் கொள்ள வேண்டும்.
依靠	நம்பி வாழ்தல்	அவர்கள் விவசாயத்தை நம்பி வாழ்கிறார்கள்.
依赖	சார்ந்திருத்தல்	குழந்தைகள் பெற்றோர்மீது அளவுக்கு மீறி சார்ந்திருக்கக் கூடாது.
依托	ஆதாரமாகக் கொண்டு	திட்டம் உள்ளூர் வளங்களை ஆதாரமாகக் கொண்டு வளர்கிறது.
衣裳	உடைகள்	அவள் சுத்தமான உடைகள் அணிந்தாள்.
一度	ஒரு காலத்தில்	நிறுவனம் ஒரு காலத்தில் திவாலாகும் நிலையை எதிர்கொண்டது.
一贯	எப்போதும் ஒரேபோல்	அவர் எப்போதும் ஒரேபோல் வீண்செலவுக்கு எதிராக இருந்தார்.
一目了然	ஒரே பார்வையில் தெளிவாக	அட்டவணையின் உள்ளடக்கம் ஒரே பார்வையில் தெளிவாக உள்ளது.
一向	எப்போதுமே	அவள் எப்போதுமே நேரம் காக்கிறாள்.
仪器	கருவி	ஆய்வகம் புதிய கருவிகளை வாங்கியது.
仪式	விழா	பட்டமளிப்பு விழா நாளை நடைபெறும்.
疑惑	சந்தேகக் குழப்பம்	மாணவர் பதிலைப் பற்றி சந்தேகக் குழப்பம் அடைந்தார்.
遗产	பாரம்பரியச் சொத்து	இந்தப் பழைய நகரம் பண்பாட்டு பாரம்பரியச் சொத்து ஆகும்.
遗传	மரபாகப் பரவுதல்	இந்த நோய் மரபாகப் பரவக்கூடும்.
遗留	மீதமிருந்து வந்த	வரலாற்றில் மீதமிருந்து வந்த பிரச்சினைகள் தீர்க்கப்பட வேண்டும்.
遗失	இழத்தல்	பயணி தனது கடவுச்சீட்டை இழந்தார்.
以便	வசதிக்காக	தொடர்பு கொள்ள வசதிக்காக உங்கள் தொலைபேசி எண்ணை விட்டு செல்லுங்கள்.
以免	தவிர்க்கும்படி	தாமதத்தை தவிர்க்கும்படி சீக்கிரம் புறப்படுங்கள்.
以往	முந்தைய	முந்தைய அனுபவம் குறிப்பிடத்தக்கது.
以至	அதுவரை	வரம்பு சமூகப் பகுதி வரை, அதுவரை முழு நகரம் வரை விரிந்தது.
以致	இதனால்	மழை தொடர்ந்து பெய்தது, இதனால் சாலை துண்டிக்கப்பட்டது.
一帆风顺	எல்லாம் சீராக நடப்பது	தொழில் தொடக்கம் எப்போதும் எல்லாம் சீராக நடப்பதாக இருக்க முடியாது.
一举两得	ஒரே செயலில் இரண்டு பலன்	மிதிவண்டியில் வேலைக்கு செல்வதால் ஒரே செயலில் இரண்டு பலன் கிடைக்கும்.
一丝不苟	மிகத் துல்லியமாக	பொறியாளர் கம்பிகளை மிகத் துல்லியமாகச் சோதித்தார்.
亦	மேலும்	அவரும் மேலும் இந்தத் திட்டத்துக்கு ஒப்புக்கொண்டார்.
异常	சாதாரணமற்ற	அமைப்பில் சாதாரணமற்ற நிலை தோன்றியது.
意料	எதிர்பார்ப்பு	முடிவு முற்றிலும் எதிர்பார்ப்புக்கு புறம்பாக இருந்தது.
意识	உணர்தல்	அவர் படிப்படியாக பிரச்சினை கடுமையானது என்பதை உணர்ந்தார்.
意图	நோக்கம்	காவல்துறை அவரது நோக்கத்தை கண்டறிந்தது.
意味着	அர்த்தப்படுத்துதல்	மௌனம் ஒப்புதல் என்று அர்த்தப்படுத்தாது.
意向	விருப்ப நோக்கம்	இரு தரப்பும் ஒத்துழைப்பு விருப்ப நோக்கத்தை வெளிப்படுத்தின.
意志	மனவலிமை	சிரமங்கள் மனிதனின் மனவலிமையைச் சோதிக்கும்.
毅力	விடாமுயற்சி	வெற்றிக்கு நீண்டகால விடாமுயற்சி தேவை.
毅然	உறுதியாக	அவள் உறுதியாக நிறுவனத்தை விட்டு வெளியேறினாள்.
翼	இறகு	விமானத்தின் இறகு பரிசோதிக்கப்பட்டது.
阴谋	சதித்திட்டம்	அவர்கள் இந்த சதித்திட்டத்தை வெளிப்படுத்தினர்.
音响	ஒலிப்பரப்பு அமைப்பு	விருந்தறையின் ஒலிப்பரப்பு அமைப்பின் விளைவு நன்றாக உள்ளது.
引导	வழிநடத்துதல்	ஆசிரியர் மாணவர்களை சிந்திக்க வழிநடத்துகிறார்.
引擎	இயந்திரம்	காரின் இயந்திரம் திடீரென அணைந்தது.
引用	மேற்கோள் காட்டுதல்	ஆய்வுக் கட்டுரை பெருமளவு தகவல்களை மேற்கோள் காட்டியது.
隐蔽	மறைந்து இருத்தல்	சிப்பாய் காடுகளில் மறைந்து இருந்தார்.
隐患	மறைமுக அபாயம்	பழைய மின்கம்பிகளில் பாதுகாப்பு மறைமுக அபாயம் உள்ளது.
隐瞒	மறைத்தல்	அவர் உண்மையை மறைக்கவில்லை.
隐私	தனியுரிமை	நிறுவனம் பயனர்களின் தனியுரிமையை பாதுகாக்க வேண்டும்.
隐约	மங்கலாக	தொலைவில் இருந்து பாடல் குரல் மங்கலாக கேட்டது.
饮食	உணவுமுறை	ஆரோக்கியமான உணவுமுறை மீட்புக்கு உதவும்.
婴儿	குழந்தை	குழந்தை அமைதியாக தூங்கிக் கொண்டிருக்கிறது.
英明	ஞானமிக்க	தலைவர் ஞானமிக்க முடிவெடுத்தார்.
英勇	வீரமாக	தீயணைப்பாளர் குழந்தையை வீரமாக காப்பாற்றினார்.
盈利	லாபம் ஈட்டுதல்	நிறுவனம் இந்த ஆண்டிலிருந்து லாபம் ஈட்டத் தொடங்கியது.
迎面	எதிரே இருந்து	குளிர்காற்று எதிரே இருந்து வீசியது.
应酬	சமூக விருந்துபசாரம்	அவருக்கு இன்று இரவு பல சமூக விருந்துபசாரங்கள் உள்ளன.
应邀	அழைப்பின்படி	நிபுணர் அழைப்பின்படி கருத்தரங்கில் கலந்து கொண்டார்.
庸俗	மட்டமான	இந்த விளம்பரத்தின் உள்ளடக்கம் மிகவும் மட்டமானது.
拥护	ஆதரித்தல்	எல்லோரும் புதிய கொள்கையை ஆதரிக்கிறார்கள்.
拥有	உடையிருத்தல்	அவருக்கு நிறைந்த அனுபவம் உள்ளது.
勇于	துணிந்து செய்யுதல்	இளைஞர்கள் முயற்சி செய்ய துணிய வேண்டும்.
永恒	நிலையான	காதல் நிலையாக மாறாத ஒன்றல்ல.
涌现	தோன்றி வருதல்	பல இடங்களில் சிறந்த ஆசிரியர்கள் தோன்றி வருகிறார்கள்.
踊跃	உற்சாகமாக	குடியிருப்பாளர்கள் செயல்பாட்டில் பங்கேற்க உற்சாகமாக பதிவு செய்தனர்.
用户	பயனர்	பயனர் கடவுச்சொல்லை மாற்ற முடியும்.
优胜劣汰	சிறந்தவை நிலைத்து பலவீனவை நீங்குதல்	சந்தைப் போட்டி சிறந்தவை நிலைத்து பலவீனவை நீங்குவதை காட்டுகிறது.
优先	முன்னுரிமை	முதியவர்கள் முன்னுரிமையாக செயல்முறை செய்யலாம்.
优异	மிகச் சிறந்த	அவள் மிகச் சிறந்த மதிப்பெண்களைப் பெற்றாள்.
优越	சிறப்பான	இங்குள்ள புவியியல் இடம் சிறப்பானது.
忧郁	மனச்சோர்வான	அவரது முகபாவம் மனச்சோர்வாக தெரிகிறது.
油腻	எண்ணெய்ப்பசை நிறைந்த	இந்த உணவு மிகவும் எண்ணெய்ப்பசை நிறைந்தது.
油漆	வண்ணப்பூச்சு	தொழிலாளர்கள் கதவுக்கு வண்ணப்பூச்சு பூசிக் கொண்டிருக்கிறார்கள்.
犹如	போல	ஏரியின் மேற்பரப்பு கண்ணாடி போல உள்ளது.
有条不紊	ஒழுங்காக	கூட்டம் ஒழுங்காக நடைபெற்றது.
幼稚	முதிர்ச்சியற்ற	இந்த எண்ணம் கொஞ்சம் முதிர்ச்சியற்றது.
诱惑	கவர்ச்சி	விளம்பரம் நுகர்வு கவர்ச்சியால் நிரம்பியுள்ளது.
愚蠢	முட்டாள்தனமான	இந்த முடிவு மிகவும் முட்டாள்தனமானது.
愚昧	அறியாமையான	அறியாமையான கருத்துகள் முன்னேற்றத்தைத் தடுக்கும்.
渔民	மீனவர்	மீனவர்கள் அதிகாலையில் கடலுக்குச் சென்று மீன் பிடித்தனர்.
舆论	பொது கருத்து	பொது கருத்து வழக்கில் பெரிய தாக்கம் செலுத்துகிறது.
与日俱增	நாளுக்கு நாள் அதிகரித்தல்	சுற்றுலாப் பயணிகளின் எண்ணிக்கை நாளுக்கு நாள் அதிகரிக்கிறது.
宇宙	பிரபஞ்சம்	மனிதர்கள் தொடர்ந்து பிரபஞ்சத்தை ஆராய்கிறார்கள்.
羽绒服	இறகுப் பதுக்கப்பட்ட ஜாக்கெட்	குளிர்காலத்தில் இறகுப் பதுக்கப்பட்ட ஜாக்கெட் அணிய வேண்டும்.
寓言	உவமைக் கதை	இந்த உவமைக் கதை கல்வி அர்த்தமுள்ளது.
愈	மேலும் மேலும்	நோய்நிலை மேலும் மேலும் நல்லதாகிறது.
欲望	ஆசை	அவர் வாங்கும் ஆசையை கட்டுப்படுத்தினார்.
熨	இஸ்திரி செய்தல்	அவள் சட்டையைச் சமமாக இஸ்திரி செய்தாள்.
玉	பச்சைக்கல்	இந்தப் பச்சைக்கல்லின் நிறம் மென்மையாக உள்ளது.
预料	எதிர்பார்த்தல்	சம்பவ வளர்ச்சி எதிர்பார்த்ததை மீறியது.
预期	எதிர்பார்ப்பு	விற்பனைத் தொகை எதிர்பார்ப்பை விட குறைந்தது.
预算	பட்ஜெட்	திட்டப் பட்ஜெட்டைச் சரிசெய்ய வேண்டும்.
预先	முன்கூட்டியே	தயவுசெய்து பொருட்களை முன்கூட்டியே தயாரிக்கவும்.
预言	முன்னறிவிப்பு	அவரது முன்னறிவிப்பு நனவாகவில்லை.
预兆	அறிகுறி	வலி நோயின் அறிகுறியாக இருக்கலாம்.
冤枉	அநியாயமாக குற்றம் சாட்டுதல்	குற்றமற்றவரை அநியாயமாக குற்றம் சாட்டாதே.
元首	நாட்டுத் தலைவர்	இரு நாடுகளின் தலைவர்கள் பேச்சுவார்த்தை நடத்தினர்.
元素	தனிமம்	ஆக்சிஜன் ஒரு வேதியியல் தனிமம் ஆகும்.
元宵节	விளக்கு திருவிழா	விளக்கு திருவிழாவில் மக்கள் மலர் விளக்குகளை ரசிக்கிறார்கள்.
原告	வாதி	வாதி புதிய ஆதாரத்தைச் சமர்ப்பித்தார்.
原理	கொள்கை	ஆசிரியர் இயந்திரத்தின் கொள்கையை விளக்கினார்.
原始	மூலமான	அவர்கள் மூலமான பதிவுகளை பாதுகாத்தனர்.
原先	முதலில் இருந்த	முதலில் இருந்த திட்டம் ஏற்கனவே மாறிவிட்டது.
园林	தோட்டக் கலைப் பகுதி	சூழோவின் தோட்டக் கலைப் பகுதிகள் மிகவும் பிரபலமானவை.
圆满	முழுமையான வெற்றியான	கூட்டம் முழுமையான வெற்றியைப் பெற்றது.
源泉	மூலாதாரம்	நடைமுறை அறிவின் மூலாதாரம் ஆகும்.
缘故	காரணம்	அவர் உடல்நலக் காரணத்தால் ராஜினாமா செய்தார்.
约束	கட்டுப்படுத்துதல்	முறை ஊழியர்களின் நடத்தையை கட்டுப்படுத்துகிறது.
乐谱	இசைத்தாள்	அவள் இசைத்தாளை கவனமாகப் படித்தாள்.
岳母	மாமியார்	அவர் வார இறுதியில் மாமியாரைப் பார்க்கச் செல்கிறார்.
孕育	உருவாக்கி வளர்த்தல்	மண் புதிய உயிரை உருவாக்கி வளர்க்கிறது.
蕴藏	ஒளிந்திருந்து கொண்டிருத்தல்	மலைப்பகுதி வளமான கனிமங்களை ஒளிந்திருந்து கொண்டுள்ளது.
运算	கணக்கீடு	மாணவர்கள் கணிதக் கணக்கீட்டை பயிற்சி செய்கிறார்கள்.
运行	இயங்குதல்	அமைப்பு நிலையாக இயங்கிக் கொண்டிருக்கிறது.
酝酿	திட்டமிட்டு உருவாக்குதல்	இரு தரப்பும் புதிய திட்டத்தை திட்டமிட்டு உருவாக்கிக் கொண்டிருக்கின்றன.
杂技	சாகசக் கலை	குழந்தைகள் சாகசக் கலை நிகழ்ச்சியைப் பார்க்க விரும்புகிறார்கள்.
杂交	கலப்பினம் செய்தல்	விஞ்ஞானிகள் கலப்பின நெல் குறித்து ஆய்வு செய்கிறார்கள்.
砸	அடித்து உடைத்தல்	கோப்பை தரையில் விழுந்து உடைந்தது.
咋	எப்படி	நீ எப்படி இன்னும் திரும்பவில்லை?
栽培	பயிரிட்டு வளர்த்தல்	தோட்டக்காரர் பல மலர்களை பயிரிட்டு வளர்த்தார்.
灾难	பேரழிவு	பேரழிவுக்குப் பிறகு நகரம் மீண்டும் கட்டத் தொடங்கியது.
宰	அறுத்தல்	திருவிழா சமயத்தில் கிராமத்தினர் ஆடுகளை அறுத்தனர்.
再接再厉	மேலும் முயற்சி தொடர்தல்	விருது பெற்ற பிறகு அணி மேலும் முயற்சியைத் தொடர்ந்தது.
在意	கவலைப்படுதல்	அவள் பிறரின் கருத்துகளை மிகவும் கவலைப்படுகிறாள்.
攒	சேமித்தல்	அவர் கணினி வாங்க பணத்தைச் சேமிக்கிறார்.
暂且	தற்காலிகமாக	இந்தப் பிரச்சினையை தற்காலிகமாக ஒதுக்கிவைப்போம்.
赞叹	பாராட்டி வியத்தல்	பார்வையாளர்கள் நடிகரின் நடிப்பைப் பாராட்டி வியந்தனர்.
赞助	அனுசரணை அளித்தல்	நிறுவனம் இந்தப் போட்டிக்கு அனுசரணை அளித்தது.
糟蹋	வீணாக்குதல்	இந்தப் புதிய உணவுகளை வீணாக்காதே.
遭受	அனுபவித்தல்	வயல்கள் கடுமையான வறட்சியை அனுபவித்தன.
遭殃	பாதிப்புக்குள்ளாகுதல்	பாலம் இடிந்ததால் அருகிலுள்ள குடியிருப்பாளர்கள் பாதிப்புக்குள்ளானார்கள்.
遭遇	எதிர்கொள்ளுதல்	அவர்கள் வழியில் பனிப்புயலை எதிர்கொண்டனர்.
噪音	சத்தம்	கட்டுமான சத்தம் ஓய்வை பாதிக்கிறது.
造型	வடிவமைப்பு	இந்த காரின் வடிவமைப்பு மிகவும் தனித்துவமானது.
责怪	குற்றம் கூறுதல்	தயவுசெய்து குழந்தையை ஒரேபடி குற்றம் கூறாதீர்கள்.
贼	திருடன்	காவல்துறை அந்த திருடனைப் பிடித்தது.
增添	சேர்த்தல்	பூக்கள் அறைக்கு நிறத்தைச் சேர்க்கின்றன.
赠送	பரிசாக வழங்குதல்	கடை சிறிய பரிசுகளை வழங்குகிறது.
扎	ஊசி குத்துதல்	செவிலியர் அவருக்கு ஒரு ஊசி குத்தினார்.
扎实	உறுதியான	அவரது இலக்கண அடித்தளம் மிகவும் உறுதியானது.
渣	எச்சம்	கோப்பையின் அடியில் காபி எச்சம் இருந்தது.
眨	இமைத்தல்	அவள் கண்களை இமைத்தாள்.
诈骗	மோசடி	காவல்துறை தொலைத்தொடர்பு மோசடி வழக்கை உடைத்தது.
摘要	சுருக்கம்	ஆய்வுக் கட்டுரையின் சுருக்கம் தெளிவாக எழுதப்பட்டது.
债券	பத்திரம்	முதலீட்டாளர்கள் அரசு பத்திரங்களை வாங்கினர்.
沾光	பயன் அடைதல்	நண்பரால் நானும் பயன் அடைந்தேன்.
瞻仰	மரியாதையுடன் பார்வையிடுதல்	சுற்றுலாப் பயணிகள் வீரர் நினைவுச்சின்னத்தை மரியாதையுடன் பார்வையிட்டனர்.
展示	காட்சிப்படுத்துதல்	நிறுவனம் சமீபத்திய தயாரிப்புகளை காட்சிப்படுத்தியது.
展望	எதிர்நோக்கி மதிப்பிடுதல்	அறிக்கை எதிர்காலப் போக்கை எதிர்நோக்கி மதிப்பிட்டது.
展现	வெளிப்படுத்துதல்	படைப்பு கிராம வாழ்க்கையை வெளிப்படுத்தியது.
崭新	புத்தம் புதிய	அவர் புத்தம் புதிய மிதிவண்டி வாங்கினார்.
斩钉截铁	தெளிவாக உறுதியாக	அவள் தெளிவாக உறுதியாக மறுத்தாள்.
占据	ஆக்கிரமித்தல்	விளம்பரம் முழு பக்கத்தையும் ஆக்கிரமித்தது.
占领	கைப்பற்றுதல்	இராணுவம் மலைவாயிலை கைப்பற்றியது.
战斗	போர்	போர் மூன்று மணி நேரம் நீடித்தது.
战略	மூலோபாயம்	நிறுவனம் வளர்ச்சி மூலோபாயத்தைச் சரிசெய்தது.
战术	தந்திரம்	பயிற்சியாளர் போட்டித் தந்திரத்தை மாற்றினார்.
战役	போர் நடவடிக்கை	இந்தப் போர் நடவடிக்கை நிலைமையை மாற்றியது.
章程	சட்டவிதிகள்	சங்கம் புதிய சட்டவிதிகளை ஏற்றுக்கொண்டது.
帐篷	கூடாரம்	அவர்கள் ஏரிக்கரையில் கூடாரம் அமைத்தனர்.
障碍	தடை	மொழித் தடை தொடர்பாடலை பாதிக்கிறது.
招标	டெண்டர் அழைப்பு	பொறியியல் திட்டம் திறந்த டெண்டர் அழைப்பை வெளியிட்டது.
招收	சேர்த்துக்கொள்ளுதல்	பள்ளி இந்த ஆண்டு புதிய மாணவர்களை சேர்த்துக்கொள்கிறது.
朝气蓬勃	இளமையான உற்சாகம் நிறைந்த	இளைஞர் அணி இளமையான உற்சாகம் நிறைந்ததாக உள்ளது.
着迷	மயங்கிப் போதல்	குழந்தை வானியலில் மிகவும் மயங்கிப் போயுள்ளது.
沼泽	சதுப்பு நிலம்	ஆராய்ச்சி அணி சதுப்பு நிலத்தை கடந்தது.
照样	வழக்கம்போல்	மழை பெய்தாலும் பயிற்சி வழக்கம்போல் நடந்தது.
照耀	ஒளிர்த்தல்	சூரியஒளி வெளித்தளத்தை ஒளிர்த்தது.
折腾	அலைக்கழித்தல்	இந்தப் பழைய கணினியை இனி அலைக்கழிக்காதே.
遮挡	மறைத்தல்	மரக்கிளைகள் ஜன்னலை மறைத்தன.
折	மடித்தல்	அவர் காகிதத்தை விமானமாக மடித்தார்.
折磨	வேதனைப்படுத்துதல்	நீண்டகால தூக்கமின்மை அவளை வேதனைப்படுத்தியது.
侦探	துப்பறிவாளர்	துப்பறிவாளர் முக்கியத் துப்பைக் கண்டுபிடித்தார்.
斟酌	கவனமாக ஆராய்தல்	தயவுசெய்து சொற்களை கவனமாக ஆராயுங்கள்.
珍贵	மதிப்புமிக்க	இந்தப் புகைப்படங்கள் மிகவும் மதிப்புமிக்கவை.
珍稀	அரிய	அரிய காட்டு விலங்குகளை பாதுகாக்க வேண்டும்.
珍珠	முத்து	அவள் முத்து காதணிகளை அணிந்திருந்தாள்.
真理	உண்மைத் தத்துவம்	நடைமுறை உண்மைத் தத்துவத்தைச் சோதிக்கிறது.
真相	உண்மை நிலை	செய்தியாளர் உண்மை நிலையை கண்டறிய முயன்றார்.
真挚	உண்மையான	அவள் உண்மையான நன்றியை வெளிப்படுத்தினாள்.
枕头	தலையணை	இந்தத் தலையணை மிகவும் உயரமாக உள்ளது.
振奋	உற்சாகப்படுத்துதல்	நல்ல செய்தி அனைவரையும் உற்சாகப்படுத்தியது.
振兴	மீளுருவாக்கம் செய்தல்	அரசு கிராமப்புற மீளுருவாக்கத்தை முன்னெடுக்கிறது.
镇定	அமைதியாக இருத்தல்	ஆபத்தான நேரத்தில் அவர் அமைதியாக இருந்தார்.
镇静	அமைதி	செவிலியர் நோயாளியை அமைதியாக இருக்கச் செய்தார்.
阵地	பாதுகாப்பு நிலை	சிப்பாய்கள் பாதுகாப்பு நிலையை காத்தனர்.
阵容	அணி அமைப்பு	அணி தொடக்க அணி அமைப்பை அறிவித்தது.
震撼	அதிர்ச்சியூட்டும்	இந்தப் படம் மிகவும் அதிர்ச்சியூட்டுவதாக இருந்தது.
震惊	அதிர்ச்சி அடையச் செய்தல்	செய்தி நாடு முழுவதையும் அதிர்ச்சியடையச் செய்தது.
争端	தகராறு	இரு தரப்பும் எல்லைத் தகராறைத் தீர்க்க முயன்றன.
争夺	போட்டியிட்டு கைப்பற்றுதல்	இரு நிறுவனங்கள் சந்தைப் பங்குக்காக போட்டியிட்டன.
争气	பெருமை சேர்த்தல்	அவர் குடும்பத்துக்கு பெருமை சேர்க்க உழைத்துப் படித்தார்.
争先恐后	முந்திப் பாய்ந்து	சுற்றுலாப் பயணிகள் முந்திப் பாய்ந்து வண்டியில் ஏறினர்.
争议	சர்ச்சை	இந்த முடிவு சர்ச்சையை ஏற்படுத்தியது.
征服	வெல்லுதல்	மலை ஏறுபவர் உயர்ந்த சிகரத்தை வென்றார்.
征收	வசூலித்தல்	அரசு சட்டப்படி வரியை வசூலிக்கிறது.
挣扎	துடித்தல்	சிறு பறவை வலையில் துடித்தது.
正月	முதல் சந்திர மாதம்	முதல் சந்திர மாதத்தில் உறவினர்கள் ஒருவருக்கொருவர் புத்தாண்டு வாழ்த்து சொல்கிறார்கள்.
蒸发	ஆவியாகுதல்	நீர் விரைவாக ஆவியாகிவிட்டது.
