simplified	RU	example_RU
误差	погрешность; ошибка	В результатах измерения есть небольшая погрешность.
误解	недоразумение	Стороны устранили недоразумение через общение.
夕阳	закатное солнце	Закат окрасил небо в золотой цвет.
昔日	прежний; былой	Бывшая маленькая деревня стала городом.
溪	ручей	Ручей течет между горами.
熄灭	погасить	Пожалуйста, погасите свечу.
牺牲	жертва; пожертвовать	Они пожертвовали собой ради спасения людей.
膝盖	колено	Он повредил колено.
习俗	обычай	У Праздника Весны много традиционных обычаев.
媳妇	жена; невестка	Его жена работает в больнице.
袭击	атаковать; обрушиться	Буря обрушилась на прибрежный город.
喜闻乐见	любимый и популярный	Такую программу зрители любят смотреть.
喜悦	радость	На ее лице появилась радостная улыбка.
系列	серия	Компания выпустила серию новых продуктов.
细菌	бактерии	Высокая температура может убить бактерии.
细胞	клетка	Человеческое тело состоит из бесчисленных клеток.
细致	тщательный	Ее наблюдение было очень тщательным.
峡谷	ущелье; каньон	Река проходит через глубокое ущелье.
狭隘	узкий; ограниченный	Такую ограниченную точку зрения нужно менять.
狭窄	узкий	Эта тропинка очень узкая.
霞	заря; облака на закате	Вечерняя заря окрасила небо красным.
下属	подчиненный	Менеджер внимательно выслушал мнения подчиненных.
先进	передовой	Завод использует передовое оборудование.
先前	ранее; прежний	Прежний план уже изменился.
掀起	поднять; вызвать	Эта книга вызвала волну обсуждений.
纤维	волокно	Эта ткань содержит натуральные волокна.
鲜明	ясный; отчетливый	Его позиция очень четкая.
嫌	считать плохим; быть недовольным	Она считает комнату слишком маленькой.
嫌疑	подозрение	Этот мужчина находится под серьезным подозрением.
弦	струна	У гитары порвалась одна струна.
衔接	стыковать; связывать	Содержание двух курсов хорошо связано.
贤惠	добродетельная и умелая	Ее считают доброй и умелой хозяйкой.
闲话	сплетни	Не говори сплетни о людях за их спиной.
显著	заметный; значительный	Эффект лечения очень заметный.
宪法	конституция	Конституция защищает основные права граждан.
现场	место происшествия	Журналист уже прибыл на место аварии.
现成	готовый	На кухне есть готовая еда.
现状	текущее состояние	Нам нужно понять текущее состояние отрасли.
线索	зацепка; улика	Полиция обнаружила новую зацепку.
陷害	подставлять	Он утверждает, что кто-то его подставил.
陷阱	ловушка	Охотник поставил ловушку.
陷入	попасть; увязнуть	Компания попала в финансовые трудности.
馅儿	начинка	Начинка у этой булочки очень ароматная.
乡镇	поселки и волости	Условия в школах поселков улучшаются.
相差	отличаться на	Температура в двух местах отличается на десять градусов.
相等	равный	Площади двух треугольников равны.
相辅相成	дополнять друг друга	Теория и практика дополняют друг друга.
相应	соответствующий	Компания примет соответствующие меры.
镶嵌	инкрустировать; вставлять	В кольцо вставлен драгоценный камень.
响亮	звонкий; громкий	Его ответ прозвучал громко.
响应	откликаться	Многие люди откликнулись на экологическую инициативу.
想方设法	изыскать все способы	Они всеми способами стараются снизить расходы.
向导	проводник; гид	Местный проводник повел нас в горы.
向来	всегда; издавна	Он всегда ценил доверие.
向往	стремиться; мечтать	Она мечтает о спокойной жизни.
巷	переулок	В старом переулке открылось много маленьких магазинов.
相声	сяншэн; китайский комический диалог	Дедушка любит слушать традиционный сяншэн.
消除	устранять	Общение может устранить недоразумения.
消毒	дезинфицировать	Врач продезинфицировал рану.
消防	пожарная охрана	Пожарные быстро прибыли на место.
消耗	расходовать; истощать	Долгое путешествие расходует много сил.
消灭	уничтожать	Работники уничтожают вредителей.
潇洒	непринужденный; элегантный	Его походка очень элегантная.
销毁	уничтожать	Таможня уничтожила поддельные товары.
小心翼翼	крайне осторожно	Она очень осторожно открыла коробку.
效益	эффективность; выгода	Новое оборудование повысило производственную эффективность.
肖像	портрет	На стене висит его портрет.
协会	ассоциация	Эта ассоциация помогает молодым предпринимателям.
协商	совещаться; вести переговоры	Стороны готовы продолжать переговоры.
协调	координировать	Руководитель проекта отвечает за координацию ресурсов.
协议	соглашение	Стороны подписали соглашение о сотрудничестве.
协助	помогать; содействовать	Волонтеры помогли пожилому человеку перейти дорогу.
携带	нести с собой; провозить	Пассажирам нельзя провозить опасные предметы.
屑	крошки; стружка	На столе много древесной стружки.
泄露	разглашать; утечка	Сотрудникам нельзя разглашать информацию клиентов.
泄气	падать духом	После неудачи не падай духом.
谢绝	вежливо отказывать	Отель не принимает еду, принесенную снаружи.
心得	опыт; впечатления	Она поделилась опытом учебы.
心甘情愿	добровольно и охотно	Он охотно остался помогать.
心灵	душа	Музыка утешила ее душу.
心态	настрой; психология	Важно сохранять позитивный настрой.
心疼	жалеть; сердце болит	Мама жалеет раненого ребенка.
心血	усилия; труд души	Эта книга вобрала в себя труд автора.
心眼儿	характер; мелочность	Он немного мелочный.
新陈代谢	обмен веществ	Спорт способствует обмену веществ.
新郎	жених	Жених встречал гостей у входа.
新娘	невеста	Невеста была в белом свадебном платье.
新颖	новаторский; свежий	Этот дизайн очень свежий.
欣慰	быть утешенным; радоваться	Увидев успехи ребенка, она очень обрадовалась.
欣欣向荣	процветать	Туризм в маленьком городе процветает.
薪水	зарплата	Его зарплаты хватает на содержание семьи.
辛勤	усердный	Крестьяне усердно выращивают зерно.
信赖	доверять	Клиенты очень доверяют этой компании.
信念	убеждение; вера	Твердая вера поддерживала его.
信仰	вера; убеждения	Она уважает разные верования.
信誉	репутация; доверие	Предприятие должно поддерживать репутацию.
兴高采烈	радостный; воодушевленный	Дети радостно вбежали в класс.
兴隆	процветающий	У этого старого магазина дела идут хорошо.
兴旺	процветать	Рыночная экономика становится все более процветающей.
腥	рыбный запах	Эта рыба немного пахнет рыбой.
刑事	уголовный	Полиция расследует уголовное дело.
形态	форма; структура	Форма растений меняется в зависимости от среды.
行政	административный	Административный отдел обрабатывает заявки.
兴致勃勃	с большим интересом	Все с большим интересом обсуждали план.
性感	сексуальный	Это вечернее платье выглядит сексуально.
性命	жизнь	Врач спас ему жизнь.
性能	производительность; характеристики	У этого компьютера хорошая производительность.
凶恶	свирепый; злой	Эта собака выглядит свирепой.
凶手	убийца	Полиция наконец поймала убийцу.
汹涌	бурный	Морские волны бурно били о берег.
胸怀	душевная широта; кругозор	У него широкая душа.
胸膛	грудь	Солдат выпрямил грудь.
雄厚	мощный; солидный	Компания располагает солидным капиталом.
雄伟	величественный	Этот мост очень величественный.
修复	восстанавливать; ремонтировать	Инженер восстанавливает систему.
修建	строить	Правительство планирует построить новый аэропорт.
修养	воспитанность; культура	Хорошая воспитанность проявляется в деталях.
羞耻	стыд; позор	После лжи он почувствовал стыд.
嗅觉	обоняние	У собак очень острое обоняние.
绣	вышивать	Бабушка умеет вышивать цветы.
虚假	ложный; поддельный	Сайт опубликовал ложную информацию.
虚荣	тщеславие	Тщеславие заставило его тратить слишком много денег.
虚伪	лицемерный; фальшивый	Ей не нравятся лицемерные любезности.
需求	спрос; потребность	Рыночный спрос растет.
须知	важная информация; правила	Сначала прочитайте правила регистрации.
许可	разрешение	Без разрешения входить нельзя.
序言	предисловие	Автор объяснил фон в предисловии.
畜牧	животноводство	Степь подходит для развития животноводства.
酗酒	злоупотреблять алкоголем	Длительное злоупотребление алкоголем вредит здоровью.
喧哗	шуметь	В библиотеке запрещено шуметь.
宣誓	приносить клятву	Новые участники принесли клятву на собрании.
宣扬	пропагандировать; распространять	Школа пропагандирует честность и надежность.
悬挂	висеть; подвешивать	На стене висит картина.
悬念	интрига; напряженное ожидание	Финал фильма оставил интригу.
悬殊	резко различаться	Разница в силе двух команд очень велика.
悬崖峭壁	крутые скалы и обрывы	Рядом с горной дорогой были крутые обрывы.
旋律	мелодия	У этой песни красивая мелодия.
旋转	вращаться	Ветряная мельница вращается на ветру.
选拔	отбирать; проводить отбор	Школа отбирает спортсменов.
选举	выборы	В деревне прошли выборы.
选手	участник соревнования	Этот участник выступает стабильно.
炫耀	хвастаться	Он всегда любит хвастаться богатством.
削	сокращать; срезать	Компания сократила часть расходов.
削弱	ослаблять	Усталость ослабляет способность суждения.
学说	теория; учение	Это учение имеет большое влияние.
学位	ученая степень	Она получила степень магистра.
雪上加霜	усугублять беду	Потеря работы и болезнь стали новой бедой.
血压	кровяное давление	Врач напомнил ему контролировать давление.
熏陶	воспитывающее влияние	Она с детства находилась под влиянием музыки.
寻觅	искать	Они повсюду искали подходящее жилье.
巡逻	патрулировать	Полиция патрулирует улицы ночью.
循环	циркулировать; цикл	Вода циркулирует в системе.
循序渐进	постепенно, шаг за шагом	Изучать язык нужно постепенно.
压迫	угнетать	Старая система угнетала простых людей.
压岁钱	новогодние деньги детям	Ребенок получил новогодние деньги.
压缩	сжимать	Программа может сжимать размер изображений.
压抑	подавлять	Он старался подавить внутренний гнев.
压榨	выжимать; эксплуатировать	Машина выжимает сок из сахарного тростника.
压制	подавлять; сдерживать	Лекарство может сдерживать боль.
鸦雀无声	полная тишина	После входа учителя в классе стало совершенно тихо.
亚军	второе место; серебряный призер	Она заняла второе место в соревновании.
淹没	затопить; поглотить	Наводнение затопило низинные деревни.
烟花爆竹	фейерверки и петарды	Во время праздников запрещено запускать фейерверки и петарды.
严峻	серьезный; суровый	Ситуация с занятостью остается серьезной.
严寒	сильный холод	Сильный холод влияет на движение транспорта.
严禁	строго запрещать	Здесь строго запрещено курить.
严厉	строгий; суровый	Учитель строго его раскритиковал.
严密	строгий; плотный	На складе строгий контроль.
岩石	скала; камень	Скалы у моря очень твердые.
延期	отложить; перенести срок	Собрание перенесли на следующую неделю.
延伸	простираться; продлеваться	Дорога простирается на север.
延续	продолжаться; сохраняться	Эта традиция сохраняется уже сто лет.
沿海	прибрежный	В прибрежных городах развита торговля.
炎热	жаркий	Жаркая погода утомляет людей.
言论	высказывание; речь	Общественность следит за его высказываниями.
掩盖	скрывать; прикрывать	Он попытался скрыть ошибку.
掩护	прикрывать	Товарищи прикрывали отход.
掩饰	скрывать; маскировать	Она старалась скрыть волнение.
演变	развиваться; эволюционировать	Городская структура постоянно меняется.
演习	учения; тренировка	Школа провела пожарные учения.
演绎	выводить; демонстрировать	Учитель вывел эту теорему.
演奏	исполнять музыку	Оркестр исполняет классическую музыку.
眼光	взгляд; чутье	У него хорошее инвестиционное чутье.
眼色	сигнал глазами	Она подала коллеге знак глазами.
眼神	взгляд; выражение глаз	Его взгляд был очень твердым.
厌恶	ненавидеть; испытывать отвращение	Он ненавидит обман.
验收	принимать после проверки	После завершения работ нужна приемка.
验证	проверять; подтверждать	Эксперимент подтвердил гипотезу.
氧气	кислород	Пациенту нужно вдыхать кислород.
样品	образец	Клиент получил образец продукции.
摇摆	качать; колебаться	Лодка качалась на ветру и волнах.
摇滚	рок-музыка	Молодежи нравится рок-музыка.
谣言	слух	Не распространяй неподтвержденные слухи.
遥控	управлять дистанционно	Он управляет кондиционером с телефона.
遥远	далекий	Та деревня очень далеко от города.
耀眼	ослепительный	Солнечный свет был ослепительным.
要点	главные пункты	Пожалуйста, запишите основные пункты собрания.
要命	ужасно; смертельно	Эта горная дорога ужасно опасна.
要素	элемент; фактор	Доверие является важным фактором сотрудничества.
野蛮	варварский; грубый	Он выступает против грубого применения закона.
野心	амбиция; честолюбие	Его политические амбиции очевидны.
液体	жидкость	Эта жидкость бесцветна.
一流	первоклассный	У этой больницы первоклассное оборудование.
一如既往	как и прежде	Он, как и прежде, поддерживает нас.
依旧	по-прежнему	Дождь закончился, но улицы по-прежнему влажные.
依据	основание; опираться на	Приговор должен основываться на законе.
依靠	полагаться; зависеть от	Они живут за счет сельского хозяйства.
依赖	зависеть от	Дети не должны чрезмерно зависеть от родителей.
依托	опираться на	Проект развивается на основе местных ресурсов.
衣裳	одежда	Она переоделась в чистую одежду.
一度	одно время	Компания одно время стояла на грани банкротства.
一贯	последовательный; всегда	Он всегда выступал против расточительства.
一目了然	понятно с первого взгляда	Содержание таблицы понятно с первого взгляда.
一向	всегда; обычно	Она всегда пунктуальна.
仪器	прибор; инструмент	Лаборатория купила новые приборы.
仪式	церемония	Выпускная церемония состоится завтра.
疑惑	сомнение; недоумение	Ученик был озадачен ответом.
遗产	наследие; наследство	Этот древний город является культурным наследием.
遗传	наследоваться	Эта болезнь может наследоваться.
遗留	оставаться в наследство	Исторически оставшиеся проблемы нужно решить.
遗失	потерять	Пассажир потерял паспорт.
以便	чтобы; для того чтобы	Оставьте телефон, чтобы с вами связались.
以免	чтобы не	Выйди пораньше, чтобы не опоздать.
以往	прежний; прошлый	Прошлый опыт заслуживает внимания.
以至	вплоть до	Охват расширился до района, вплоть до всего города.
以致	так что; вследствие чего	Ливни не прекращались, так что дороги были перекрыты.
一帆风顺	идти гладко	В предпринимательстве не может всегда все идти гладко.
一举两得	одним действием достичь двух целей	Ездить на работу на велосипеде можно с двойной пользой.
一丝不苟	скрупулезный; без малейшей небрежности	Инженер скрупулезно проверял проводку.
亦	также	Он также согласился с этим планом.
异常	необычный; отклонение	В системе возникла необычная ситуация.
意料	ожидание; предположение	Результат оказался совершенно неожиданным.
意识	осознавать; сознание	Он постепенно осознал серьезность проблемы.
意图	намерение	Полиция разгадала его намерение.
意味着	означать	Молчание не означает согласия.
意向	намерение; склонность	Стороны выразили намерение сотрудничать.
意志	воля	Трудности проверяют волю человека.
毅力	упорство; сила воли	Успех требует долгого упорства.
毅然	решительно	Она решительно ушла из компании.
翼	крыло	Крыло самолета прошло проверку.
阴谋	заговор	Они раскрыли этот заговор.
音响	звук; аудиоаппаратура	В гостиной хороший звук.
引导	направлять; вести	Учитель направляет учеников к размышлению.
引擎	двигатель	Двигатель автомобиля внезапно заглох.
引用	цитировать; ссылаться	В статье процитировано много материалов.
隐蔽	скрываться; укрытый	Солдаты укрылись в лесу.
隐患	скрытая опасность	Старые провода создают угрозу безопасности.
隐瞒	скрывать	Он не скрывал правду.
隐私	частная жизнь; приватность	Компания должна защищать приватность пользователей.
隐约	смутно; едва заметно	Издалека смутно донеслось пение.
饮食	питание	Здоровое питание помогает восстановлению.
婴儿	младенец	Младенец тихо спит.
英明	мудрый; дальновидный	Руководитель принял мудрое решение.
英勇	героический; отважный	Пожарный героически спас ребенка.
盈利	получать прибыль	В этом году компания начала получать прибыль.
迎面	навстречу; в лицо	Холодный ветер дул в лицо.
应酬	деловые встречи; светские обязанности	У него сегодня вечером много деловых встреч.
应邀	по приглашению	Эксперт по приглашению участвует в форуме.
庸俗	пошлый; вульгарный	Содержание этой рекламы очень пошлое.
拥护	поддерживать	Все поддерживают новую политику.
拥有	обладать; иметь	У него богатый опыт.
勇于	смело решаться	Молодым людям нужно смело пробовать.
永恒	вечный	Любовь не всегда неизменна и вечна.
涌现	появляться в большом количестве	В разных местах появились отличные учителя.
踊跃	активно; с энтузиазмом	Жители активно записывались на мероприятие.
用户	пользователь	Пользователь может изменить пароль.
优胜劣汰	выживание сильнейших	Рыночная конкуренция отражает выживание сильнейших.
优先	приоритетный; в первую очередь	Пожилые люди могут обслуживаться в первую очередь.
优异	выдающийся; отличный	Она добилась отличных результатов.
优越	превосходный; выгодный	У этого места выгодное географическое положение.
忧郁	меланхоличный; подавленный	Его выражение лица выглядело подавленным.
油腻	жирный	Это блюдо слишком жирное.
油漆	краска; красить	Рабочие красят дверь.
犹如	словно; подобно	Поверхность озера словно зеркало.
有条不紊	упорядоченно; без суеты	Собрание проходило упорядоченно.
幼稚	детский; наивный	Эта идея немного наивная.
诱惑	искушение; соблазн	Реклама полна потребительских соблазнов.
愚蠢	глупый	Это решение очень глупое.
愚昧	невежественный	Невежественные взгляды мешают прогрессу.
渔民	рыбак	Рыбаки рано утром вышли в море ловить рыбу.
舆论	общественное мнение	Общественное мнение сильно влияет на дело.
与日俱增	расти с каждым днем	Число туристов растет с каждым днем.
宇宙	вселенная	Человечество постоянно исследует вселенную.
羽绒服	пуховик	Зимой нужно носить пуховик.
寓言	басня; притча	Эта притча имеет воспитательный смысл.
愈	все более; тем более	Состояние болезни становится все лучше.
欲望	желание; стремление	Он сдержал желание покупать.
熨	гладить утюгом	Она выгладила рубашку.
玉	нефрит; яшма	У этого нефрита мягкий цвет.
预料	предвидеть; ожидание	Развитие событий превысило ожидания.
预期	ожидание; прогноз	Продажи оказались ниже ожиданий.
预算	бюджет	Бюджет проекта нужно скорректировать.
预先	заранее	Пожалуйста, заранее подготовьте материалы.
预言	предсказание; предсказывать	Его предсказание не сбылось.
预兆	предвестник; признак	Боль может быть признаком болезни.
冤枉	несправедливо обвинять	Не обвиняй невиновного человека.
元首	глава государства	Главы двух государств провели переговоры.
元素	элемент	Кислород является химическим элементом.
元宵节	Праздник фонарей	На Праздник фонарей люди любуются фонарями.
原告	истец	Истец представил новые доказательства.
原理	принцип	Учитель объяснил принцип работы машины.
原始	первоначальный; исходный	Они сохранили исходные записи.
原先	изначально; прежде	Первоначальный план уже изменился.
园林	садово-парковое искусство; сад	Сады Сучжоу очень известны.
圆满	полный; успешный	Собрание завершилось полным успехом.
源泉	источник	Практика является источником знаний.
缘故	причина	Он уволился по состоянию здоровья.
约束	ограничивать; сдерживать	Система ограничивает поведение сотрудников.
乐谱	ноты	Она внимательно читала ноты.
岳母	теща	На выходных он поедет навестить тещу.
孕育	выращивать; зарождать	Почва рождает новую жизнь.
蕴藏	таить; содержать	Горный район содержит богатые полезные ископаемые.
运算	вычисление	Ученики тренируют математические вычисления.
运行	работать; функционировать	Система работает стабильно.
酝酿	обдумывать; вынашивать	Стороны готовят новый план.
杂技	акробатика	Дети любят смотреть акробатические представления.
杂交	гибридизация	Ученые изучают гибридный рис.
砸	разбить; ударить	Чашка упала на пол и разбилась.
咋	как; почему	Почему ты еще не вернулся?
栽培	выращивать; культивировать	Садовник вырастил много цветов.
灾难	бедствие; катастрофа	После бедствия город начал восстановление.
宰	резать скот	Во время праздника жители деревни режут баранов.
再接再厉	продолжать стараться	После награды команда продолжила стараться.
在意	придавать значение	Она очень придает значение мнению других.
攒	копить	Он копит деньги на компьютер.
暂且	пока; временно	Этот вопрос пока отложим.
赞叹	восхищаться	Зрители восхищались выступлением актера.
赞助	спонсировать	Компания спонсировала это соревнование.
糟蹋	портить; транжирить	Не порть эти свежие продукты.
遭受	подвергаться	Поля пострадали от сильной засухи.
遭殃	попасть в беду	Мост обрушился, и жители поблизости пострадали.
遭遇	столкнуться; встретить	По пути они попали в снежную бурю.
噪音	шум	Строительный шум мешает отдыхать.
造型	форма; дизайн	У этой машины очень необычный дизайн.
责怪	винить; упрекать	Пожалуйста, не вини ребенка во всем.
贼	вор	Полиция поймала того вора.
增添	добавлять	Цветы добавили комнате красок.
赠送	дарить; вручать	Магазин дарит небольшие подарки.
扎	колоть; втыкать	Медсестра сделала ему укол.
扎实	прочный; основательный	У него прочная грамматическая база.
渣	осадок; остатки	На дне чашки осталась кофейная гуща.
眨	моргать	Она моргнула глазами.
诈骗	мошенничество	Полиция раскрыла дело о телефонном мошенничестве.
摘要	аннотация; краткое изложение	Аннотация к статье написана очень ясно.
债券	облигация	Инвесторы покупают государственные облигации.
沾光	получить выгоду благодаря другим	Я тоже получил выгоду благодаря другу.
瞻仰	почтительно посещать	Туристы почтили памятник героям.
展示	показывать; демонстрировать	Компания демонстрирует новейшие продукты.
展望	перспектива; смотреть вперед	В отчете рассматриваются будущие тенденции.
展现	показывать; раскрывать	Произведение показывает сельскую жизнь.
崭新	совершенно новый	Он купил совершенно новый велосипед.
斩钉截铁	решительно; категорично	Она решительно отказалась.
占据	занимать	Реклама заняла всю страницу.
占领	занимать; захватывать	Армия заняла горный проход.
战斗	бой; сражение	Бой продолжался три часа.
战略	стратегия	Компания скорректировала стратегию развития.
战术	тактика	Тренер изменил тактику игры.
战役	кампания; сражение	Это сражение изменило ситуацию.
章程	устав	Ассоциация приняла новый устав.
帐篷	палатка	Они поставили палатку у озера.
障碍	препятствие; барьер	Языковой барьер влияет на общение.
招标	объявлять тендер	Строительный проект вынесли на открытый тендер.
招收	набирать; принимать	Школа в этом году набирает новых учеников.
朝气蓬勃	полный энергии	Молодежная команда полна энергии.
着迷	быть увлеченным	Ребенок очень увлечен астрономией.
沼泽	болото	Экспедиция прошла через болото.
照样	как обычно; все равно	Пошел дождь, но тренировка все равно продолжилась.
照耀	освещать; сиять	Солнце освещало площадь.
折腾	мучить; возиться	Не возись больше с этим старым компьютером.
遮挡	закрывать; заслонять	Ветки закрыли окно.
折	складывать; сгибать	Он сложил бумагу в самолетик.
折磨	мучить	Долгая бессонница мучила ее.
侦探	детектив	Детектив нашел ключевую улику.
斟酌	обдумывать; взвешивать	Пожалуйста, тщательно обдумайте формулировку.
珍贵	драгоценный; ценный	Эти фотографии очень ценные.
珍稀	редкий и ценный	Нужно защищать редких диких животных.
珍珠	жемчуг	Она носила жемчужные серьги.
真理	истина	Практика проверяет истину.
真相	правда; истина	Журналист старается выяснить правду.
真挚	искренний	Она выразила искреннюю благодарность.
枕头	подушка	Эта подушка слишком высокая.
振奋	воодушевлять	Хорошая новость всех воодушевила.
振兴	возрождать; развивать	Правительство продвигает возрождение деревни.
镇定	спокойствие; сохранять самообладание	В опасный момент он сохранял спокойствие.
镇静	спокойный; успокаивать	Медсестра попросила пациента сохранять спокойствие.
阵地	позиция; плацдарм	Солдаты удержали позицию.
阵容	состав; расстановка	Команда объявила стартовый состав.
震撼	потрясать	Этот фильм очень потрясающий.
震惊	шокировать	Новость потрясла всю страну.
争端	спор; конфликт	Стороны пытаются решить пограничный спор.
争夺	бороться за	Две компании борются за долю рынка.
争气	оправдывать ожидания	Он усердно учится, чтобы семья им гордилась.
争先恐后	наперегонки; толпой	Туристы наперегонки садились в автобус.
争议	спор; разногласие	Это решение вызвало спор.
征服	покорять	Альпинист покорил вершину.
征收	взимать; собирать	Правительство по закону взимает налоги.
挣扎	бороться; биться	Птица билась в сети.
正月	первый месяц лунного года	В первый месяц года родственники поздравляют друг друга.
蒸发	испаряться	Влага быстро испарилась.
整顿	упорядочивать; наводить порядок	Компания начала приводить управление в порядок.
政策	политика	Новая политика поддерживает малые предприятия.
政权	политическая власть; режим	Война изменила местную власть.
正当	законный; обоснованный	Он выдвинул обоснованное требование.
正负	плюс-минус	Прибор показывает погрешность плюс-минус.
正规	официальный; надлежащий	Ребенок поступил в обычную официальную школу.
正经	серьезный; приличный	Наконец он стал говорить серьезно.
正气	праведный дух; честность	Общество должно поддерживать честность.
正义	справедливость	Адвокат защищает справедливость.
正宗	подлинный; настоящий	В этом ресторане продают настоящую сычуаньскую кухню.
症状	симптом	Жар является распространенным симптомом.
证实	подтверждать	Расследование подтвердило его слова.
证书	сертификат	Она получила профессиональный сертификат.
郑重	торжественно; серьезно	Он серьезно пообещал взять ответственность.
之际	в момент; по случаю	Перед наступлением Праздника весны все очень заняты.
支撑	поддерживать; опора	Столбы поддерживают крышу.
支出	расходы	Семейные расходы заметно выросли.
支流	приток	Эта река является притоком Янцзы.
支配	управлять; господствовать	Эмоции не должны управлять суждением.
支援	поддерживать; помощь	Врачи из разных мест приехали на помощь.
支柱	опора; столп	Производство является опорой местной экономики.
枝	ветка; стебель	Она сорвала один цветочный стебель.
知觉	сознание; ощущение	Пострадавший постепенно пришел в сознание.
知足常乐	довольный всегда счастлив	Старик часто говорит, что довольный человек всегда счастлив.
