simplified	PL	example_PL
漂浮	unosić się	Liście unoszą się na powierzchni wody
飘扬	powiewać	Flaga narodowa powiewa na wietrze
撇	odłożyć na bok	Odłożył stary plan na bok
拼搏	walczyć	Młodzi ludzie powinni walczyć o swoje ideały
拼命	ze wszystkich sił	Gonił zespół przed sobą ze wszystkich sił
贫乏	ubogi	Treść tego artykułu jest dość uboga
贫困	ubóstwo	Rząd pomaga rodzinom żyjącym w ubóstwie
频繁	częsty	Ostatnio wypadki drogowe są tu bardzo częste
频率	częstotliwość	Częstotliwość tego dźwięku jest wysoka
品尝	spróbować	Goście próbują lokalnych przysmaków
品德	charakter moralny	Szkoła przywiązuje wagę do wychowania charakteru moralnego uczniów
品质	jakość	Jakość produktów tej firmy jest stabilna
品种	odmiana	Na rynku jest wiele odmian owoców
屏幕	ekran	Proszę zmniejszyć jasność ekranu
屏障	bariera ochronna	Las jest ważną barierą ochronną przed wiatrem
平凡	zwyczajny	Pracował przez wiele lat na zwyczajnym stanowisku
平面	plan	Projektant narysował plan domu
平坦	równy	Ta droga jest bardzo równa
平行	równoległy	Te dwie linie są równoległe
平庸	przeciętny	Nie chce prowadzić przeciętnego życia
平原	równina	Pociąg przejechał przez rozległą równinę
评估	oceniać	Eksperci oceniają ryzyko projektu
评论	komentować	Czytelnicy mogą komentować pod artykułem
坡	wzniesienie	Samochód powoli wjechał pod górę
泼	rozlać	Nie rozlej wody na podłogę
颇	dość	Ten wynik jest dość zaskakujący
破例	zrobić wyjątek	Kierownik zrobił dla niego wyjątek i zatwierdził wniosek
迫不及待	nie móc się doczekać	Dzieci nie mogły się doczekać otwarcia prezentów
迫害	prześladować	W historii wielu ludzi było prześladowanych
魄力	śmiałość	Przywódca potrzebuje śmiałości w decyzjach
扑	rzucić się	Dziecko nagle rzuciło się w ramiona matki
铺	układać	Robotnicy układają nowy dywan
普及	upowszechnić	Internet jest już upowszechniony w miastach
朴实	prosty	Jego język jest prosty i szczery
朴素	skromny	Lubi skromny styl życia
瀑布	wodospad	Turyści robili zdjęcia obok wodospadu
凄凉	posępny	Zimą górska wieś wygląda posępnie
期望	oczekiwanie	Rodzice mają wysokie oczekiwania wobec dziecka
期限	termin	Termin zapisów przypada na ten piątek
欺负	dokuczać	Starsze dzieci nie powinny dokuczać młodszym
欺骗	oszukiwać	Fałszywa reklama oszukała konsumentów
奇妙	niezwykły	Przyroda ma wiele niezwykłych zjawisk
旗袍	suknia qipao	Założyła czerwoną suknię qipao na wieczorne przyjęcie
旗帜	flaga	Na placu powiewały jaskrawe flagi
歧视	dyskryminować	Prawo zakazuje wszelkich form dyskryminacji
齐全	kompletny	W tym sklepie jest kompletny wybór narzędzi
齐心协力	wspólnymi siłami	Wszyscy wspólnymi siłami ukończyli zadanie
乞丐	żebrak	Przy drodze siedział stary żebrak
企图	próbować	Próbował ukryć prawdziwą sytuację
启程	wyruszyć	Delegacja wyruszy jutro wczesnym rankiem
启蒙	wprowadzenie	Ta książka nadaje się do wstępnej lektury dla dzieci
启事	ogłoszenie	Przy bramie szkoły wisiało ogłoszenie o naborze
启示	nauka	Ta porażka dała nam ważną naukę
岂有此理	absurdalny	Taka opłata jest naprawdę absurdalna
起草	sporządzać	Prawnik sporządza umowę
起初	na początku	Na początku nie wierzył w tę wiadomość
起伏	wznosić się i opadać	Górska droga wznosi się i opada wraz z terenem
起哄	robić zamieszanie	Uczniowie nie powinni robić zamieszania na lekcji
起码	przynajmniej	Przynajmniej powinieneś mnie wcześniej powiadomić
起源	pochodzić	To święto pochodzi ze starożytności
器材	sprzęt	Laboratorium potrzebuje nowego sprzętu dydaktycznego
器官	narząd	Serce jest ważnym narządem ludzkiego ciała
气概	duch	Ten wiersz pokazuje bohaterskiego ducha
气功	qigong	Dziadek codziennie rano ćwiczy qigong
气魄	rozmach	Ten most ma imponujący rozmach
气色	cera	Po odpoczynku jego cera wyglądała znacznie lepiej
气势	impet	Drużyna od początku miała silny impet
气味	zapach	W kuchni unosił się zapach tostów
气象	pogoda	Pogoda na tym płaskowyżu zmienia się bardzo szybko
气压	ciśnienie atmosferyczne	Spadek ciśnienia atmosferycznego może przynieść deszcz
气质	temperament	Ma spokojny temperament
迄今为止	dotychczas	Dotychczas eksperyment przebiegał sprawnie
掐	zerwać	Zerwała mały kwiatek
恰当	odpowiedni	Twoja odpowiedź jest bardzo odpowiednia
恰到好处	w sam raz	Słodycz tego dania jest w sam raz
恰巧	przypadkiem	Przypadkiem zaczęło padać, gdy dotarłem na stację
洽谈	omawiać	Obie strony omawiają szczegóły współpracy
千方百计	za wszelką cenę	Za wszelką cenę szukali rozwiązania
牵	prowadzić za rękę	Matka prowadziła dziecko za rękę przez ulicę
牵扯	dotyczyć	Ta sprawa dotyczy wielu działów
牵制	powstrzymywać	Obrona przeciwnika powstrzymała atak
签署	podpisać	Dwie firmy podpisały porozumienie
谦逊	skromny	Po sukcesie nadal był bardzo skromny
迁就	ustępować	Rodzice nie mogą zawsze ustępować dzieciom
迁徙	migrować	Ptaki wędrowne migrują co roku zgodnie z porami roku
前景	perspektywy	Ta branża ma dobre perspektywy
前提	warunek	Zaufanie jest warunkiem współpracy
潜力	potencjał	Ten uczeń ma duży potencjał
潜水	nurkowanie	Pojechali nad morze uczyć się nurkowania
潜移默化	niepostrzeżenie wpływać	Środowisko rodzinne może niepostrzeżenie wpływać na dzieci
谴责	potępić	Społeczność międzynarodowa potępiła przemoc
抢劫	obrabować	Policja złapała podejrzanego, który obrabował bank
强制	zmuszać	Nowe przepisy zmuszają kierowców do zapinania pasów
强迫	zmuszać	Nie zmuszaj dzieci do robienia rzeczy, których nie lubią
抢救	ratować	Lekarze ratują rannego robotnika
桥梁	pomost	Język jest pomostem wymiany kulturowej
窍门	sposób	Istnieje kilka sposobów na naukę wymowy
翘	unieść	Uniósł jedną stopę na krzesło
切实	praktyczny	Potrzebujemy praktycznego i wykonalnego planu
锲而不舍	wytrwale	Wytrwale badał ten problem
亲密	bliski	Zawsze utrzymywali bliską relację
亲热	serdeczny	Starszy człowiek serdecznie przywitał gości
侵犯	naruszać	Takie zachowanie narusza prywatność osobistą
侵略	agresja	Ludzie sprzeciwiają się wszelkim formom agresji
钦佩	podziwiać	Bardzo podziwiam jej odwagę
勤俭	pracowity i oszczędny	Babcia przez całe życie prowadziła dom pracowicie i oszczędnie
勤劳	pracowity	Pracowici ludzie zawsze potrafią tworzyć okazje
倾听	uważnie słuchać	Nauczyciel uważnie słuchał opinii uczniów
倾向	skłonność	Młodzi konsumenci mają skłonność do zakupów online
倾斜	przechylać się	Po ulewie ściana zaczęła się przechylać
清澈	przejrzysty	Górski strumień jest bardzo przejrzysty
清晨	wczesny ranek	Powietrze wczesnym rankiem jest szczególnie świeże
清除	usunąć	Robotnicy usunęli śnieg z drogi
清洁	czysty	Szpital musi utrzymywać czyste otoczenie
清理	uporządkować	W weekend uporządkowaliśmy magazyn
清晰	wyraźny	To zdjęcie jest bardzo wyraźne
清醒	przytomny	Po wypiciu kawy stał się znacznie bardziej przytomny
清真	halal	W pobliżu jest restauracja halal
情报	informacja wywiadowcza	Dziennikarz zdobył ważną informację wywiadowczą
情节	fabuła	Fabuła powieści jest bardzo napięta
情理	rozsądek	Jego żądanie jest sprzeczne z rozsądkiem
情形	sytuacja	Sytuacja na miejscu była bardziej złożona, niż oczekiwano
晴朗	pogodny	Dzisiejsze niebo jest wyjątkowo pogodne
请柬	zaproszenie	Wysłali rodzinie i znajomym zaproszenia ślubne
请教	zasięgnąć rady	Chciałbym zasięgnąć u pana rady w jednej sprawie
请示	poprosić o instrukcje	W tej sprawie trzeba najpierw poprosić przełożonego o instrukcje
请帖	zaproszenie	Na stole leżało zaproszenie urodzinowe
丘陵	wzgórza	W tej okolicy jest dużo wzgórz
区分	odróżniać	Dziecko potrafi już odróżniać lewą stronę od prawej
区域	obszar	Na tym obszarze parkowanie jest zabronione
屈服	ulec	Nie uległ presji
曲折	zawiły	Przeszli przez zawiłe negocjacje
驱逐	wypędzić	Policja wypędziła osoby wywołujące zamieszanie
渠道	kanał	Firma sprzedaje produkty przez nowy kanał
取缔	zakazać	Rząd zakazał nielegalnego targu
曲子	melodia	Melodia tego utworu jest piękna
趣味	interesujący	Ta gra jest bardzo interesująca
圈套	pułapka	Prawie wpadł w pułapkę oszusta
全局	całość	Przywódcy muszą brać pod uwagę interes całości
全力以赴	dołożyć wszelkich starań	Dołożymy wszelkich starań, aby ukończyć zadanie
拳头	pięść	Zacisnął pięść i przygotował się do meczu
权衡	rozważyć	Musimy rozważyć koszty i efekty
权威	autorytet	Ten profesor jest autorytetem w tej dziedzinie
犬	pies	Ten rodzaj psa nadaje się do pilnowania domu
缺口	szczelina	W ścianie jest mała szczelina
缺席	nieobecność	Był nieobecny na spotkaniu z powodu choroby
缺陷	wada	Ten projekt ma oczywistą wadę
瘸	kulawy	Jego lewa noga jest trochę kulawa
确保	upewnić się	Proszę upewnić się, że drzwi są zamknięte
确立	ustanowić	Firma ustanowiła nowe cele rozwoju
确切	dokładny	Nie znam dokładnego czasu
确信	być pewnym	Jestem pewien, że przybędzie na czas
群众	masy	Masy popierają nową politykę
染	farbować	Ufarbowała włosy na czarno
嚷	krzyczeć	Nie krzycz głośno na korytarzu
让步	ustępstwo	Obie strony poczyniły pewne ustępstwa
饶恕	przebaczyć	Ostatecznie wybrała przebaczenie drugiej osobie
扰乱	zakłócać	Hałas zakłócił porządek lekcji
惹祸	narobić kłopotów	Nieostrożne żarty łatwo mogą narobić kłopotów
热泪盈眶	mieć łzy w oczach	Na wieść o dobrych wiadomościach miała łzy w oczach
热门	popularny	Sztuczna inteligencja jest popularnym tematem
人道	humanitarny	Akcja ratunkowa odzwierciedlała ducha humanitarnego
人格	osobowość	Obrażanie innych rani godność osobistą
人工	sztuczny	Ta rzeka została wykopana sztucznie
人家	inni	Nie porównuj się ciągle z innymi
人间	świat ludzi	Wiosna wypełnia świat ludzi żywotnością
人士	osobistość	W forum wzięły udział osobistości z różnych środowisk
人为	ludzki	Ten wypadek był spowodowany czynnikami ludzkimi
人性	natura ludzka	Ten film omawia naturę ludzką
人质	zakładnik	Policja skutecznie uwolniła zakładnika
仁慈	życzliwy	Ten lekarz jest bardzo życzliwy dla pacjentów
忍耐	cierpliwość	Czekanie w długiej kolejce wymaga trochę cierpliwości
忍受	znosić	Nie mogę znosić tutejszego hałasu
任命	mianować	Rada mianowała ją kierowniczką
任性	samowolny	Zbyt samowolne dziecko może mieć trudności w rozwoju
任意	dowolnie	Proszę nie modyfikować danych dowolnie
任重道远	długa droga	Reforma edukacji ma przed sobą długą drogę
认定	ustalić	Policja ustaliła, że to był wypadek
认可	uznanie	Jego plan uzyskał uznanie wszystkich
仍旧	nadal	Po wielu latach nadal tu mieszkał
日新月异	zmieniać się błyskawicznie	Technologia zmienia się błyskawicznie z dnia na dzień
日益	coraz bardziej	Problemy środowiskowe stają się coraz poważniejsze
容貌	wygląd	Lata zmieniły jego wygląd
容纳	pomieścić	Ta sala może pomieścić pięćset osób
容器	naczynie	Proszę wlać płyn do szklanego naczynia
容忍	tolerować	Firma nie może tolerować oszustw
溶解	rozpuszczać	Sól rozpuszcza się w wodzie
荣幸	zaszczycony	Jestem zaszczycony, że mogę uczestniczyć w spotkaniu
荣誉	honor	Ten medal oznacza najwyższy honor
融化	topnieć	Słońce sprawiło, że lód i śnieg powoli topniały
融洽	harmonijny	Relacje między współpracownikami są bardzo harmonijne
揉	masować	Mama delikatnie masowała moje ramiona
柔和	łagodny	Światło jest łagodne i nie razi
儒家	konfucjanizm	Myśl konfucjańska wpłynęła na kulturę Azji Wschodniej
弱点	słabość	Niedbałość jest jego główną słabością
若干	kilka	Na spotkaniu przedstawiono kilka sugestii
撒谎	kłamać	Dzieci nie powinny kłamać
散文	proza	Lubi czytać współczesną prozę
散布	rozpowszechniać	Ktoś rozpowszechniał plotki w internecie
散发	wydzielać	W ogrodzie wydzielał się świeży zapach
丧失	utracić	Nie utracił wiary w siebie
骚扰	nękać	Proszę nie nękać innych pasażerów
嫂子	bratowa	Obiad mojej bratowej jest bardzo smaczny
刹车	hamować	Kierowca nagle zahamował
啥	co	Co przed chwilą powiedziałeś
筛选	filtrować	System automatycznie filtruje życiorysy
山脉	pasmo górskie	To pasmo górskie jest bardzo długie
闪烁	migotać	Światła w oddali wciąż migotały
擅长	być dobrym w	On jest dobry w rozwiązywaniu złożonych problemów
擅自	bez pozwolenia	Pracownicy nie mogą opuszczać stanowisk bez pozwolenia
伤脑筋	kłopotliwy	Ten problem jest naprawdę kłopotliwy
商标	znak towarowy	Firma zarejestrowała nowy znak towarowy
上级	przełożony	Zgłosił sytuację przełożonym
上进	ambitny	Ona zawsze była ambitna
上任	objąć stanowisko	Nowy kierownik obejmie stanowisko w przyszłym tygodniu
上瘾	uzależnić się	Wiele osób uzależnia się od krótkich filmów
上游	górny bieg	Zanieczyszczenie pochodzi z górnego biegu rzeki
尚且	nawet	Nawet dorośli popełniają błędy
捎	przekazać	Proszę przekazać mi wiadomość
梢	wierzchołek	Ptak usiadł na wierzchołku drzewa
哨	posterunek	Przy bramie stoi wartownik
奢侈	luksusowy	Takie wydatki są zbyt luksusowe
舌头	język	Oparzył sobie język
摄氏度	stopień Celsjusza	Dzisiejsza temperatura wynosi trzydzieści stopni Celsjusza
涉及	dotyczyć	Raport dotyczy kilku działów
社区	społeczność	Społeczność zorganizowała wykład o zdrowiu
设立	utworzyć	Szkoła utworzyła stypendium
设想	pomysł	Ten pomysł wymaga jeszcze omówienia
设置	ustawić	Proszę ponownie ustawić hasło
呻吟	jęczeć	Pacjent cicho jęczał
深奥	głęboki	Treść tej książki jest bardzo głęboka
深沉	głęboki	Jego głos był niski i głęboki
深情厚谊	głęboka przyjaźń	Narody obu krajów nawiązały głęboką przyjaźń
申报	zgłosić	Pasażerowie muszą zgodnie z prawdą zgłosić przedmioty
绅士	dżentelmen	Zachowuje się jak dżentelmen
神经	nerw	Stres może wpływać na układ nerwowy
神奇	magiczny	Krajobraz tutaj jest bardzo magiczny
神气	pełen energii	Dzisiaj wyglądał szczególnie pełen energii
神圣	święty	To jest święty obowiązek
神态	wyraz twarzy	Jej wyraz twarzy był bardzo spokojny
神仙	nieśmiertelny	Legenda mówi, że w górach mieszkają nieśmiertelni
审查	sprawdzać	Platforma sprawdza publikowane treści
审理	rozpatrywać	Sąd rozpatruje tę sprawę
审美	gust estetyczny	Jego gust estetyczny jest bardzo wyjątkowy
审判	proces	Publiczny proces przyciągnął uwagę mediów
慎重	ostrożny	Tę decyzję trzeba podjąć ostrożnie
渗透	przenikać	Woda deszczowa powoli przenikała do gleby
声明	oświadczenie	Firma wydała oficjalne oświadczenie
声势	rozmach	Ta kampania promocyjna ma duży rozmach
声誉	reputacja	Jakość produktu wpływa na reputację marki
牲畜	bydło	Pasterze pognali bydło z powrotem na pastwisko
生存	przetrwać	Dzikie zwierzęta potrzebują przestrzeni, aby przetrwać
生机	żywotność	Wiosenny deszcz wypełnia ziemię żywotnością
生理	fizjologiczny	Sen wpływa na stan fizjologiczny człowieka
生疏	wyjść z wprawy	Po latach bez ćwiczeń wyszedł trochę z wprawy w grze na pianinie
生态	ekologia	Ochrona lasów wiąże się z równowagą ekologiczną
生物	organizm	W oceanie żyje wiele niezwykłych organizmów
生效	wejść w życie	Nowe przepisy oficjalnie wejdą w życie jutro
生肖	znak zodiaku chińskiego	Jaki jest twój znak zodiaku chińskiego
生锈	rdzewieć	Łańcuch roweru już zardzewiał
生育	płodność	Szpital oferuje konsultacje dotyczące płodności
省会	stolica prowincji	Chengdu od dawna jest stolicą prowincji Syczuan
盛产	obfitować	Ten region obfituje w wysokiej jakości herbatę
盛开	kwitnąć	Wiśnie w parku właśnie kwitną
盛情	gościnność	Dziękujemy gospodarzowi za serdeczną gościnność
盛行	być popularnym	Ten styl był kiedyś bardzo popularny
胜负	wynik	Ostatnia minuta meczu zdecydowała o wyniku
失事	katastrofa	Przyczyna katastrofy samolotu jest nadal badana
失误	błąd	Mały błąd spowodował opóźnienie projektu
失踪	zaginiony	Policja szuka zaginionego dziecka
尸体	ciało	Ekipa ratunkowa znalazła ciało ofiary
师范	pedagogiczny	Ukończyła uniwersytet pedagogiczny
施加	wywierać	Rodzice nie powinni wywierać zbyt dużej presji
施展	wykorzystać	Wreszcie miał okazję wykorzystać swój talent
十足	pełny	Jest w pełni pewny wyniku
实惠	przystępny	Ceny w tym sklepie są bardzo przystępne
实力	siła	Ogólna siła drużyny jest bardzo duża
实施	wdrażać	Rząd zaczął wdrażać nowy plan
实事求是	realistyczny	W badaniach trzeba być realistycznym i opierać się na faktach
实行	stosować	Firma stosuje elastyczny system pracy
实质	istota	Istota problemu się nie zmieniła
拾	podnieść	Schylił się, aby podnieść klucz z ziemi
时常	często	Dziadek często opowiada o młodości
时而	od czasu do czasu	Pogoda jest od czasu do czasu słoneczna, a od czasu do czasu pochmurna
时光	czas	Dobre chwile zawsze wydają się krótkie
时机	moment	Teraz nie jest dobry moment na negocjacje
时事	sprawy bieżące	Uczniowie co tydzień omawiają międzynarodowe sprawy bieżące
石油	ropa	Ceny ropy znów wzrosły
识别	rozpoznawać	System potrafi rozpoznawać różne twarze
使命	misja	Ochrona środowiska jest wspólną misją
世代	pokolenie	To rzemiosło jest przekazywane w rodzinie z pokolenia na pokolenie
事故	wypadek	W tym wypadku nie było ofiar
事迹	czyn	Jego bohaterskie czyny szeroko się rozeszły
事件	incydent	Ten incydent przyciągnął uwagę społeczeństwa
事态	sytuacja	Rząd kontroluje rozwój sytuacji
事务	sprawy	Ona odpowiada za codzienne sprawy firmy
事项	punkt	Proszę potwierdzić ważne punkty w umowie
事业	kariera	Traktuje edukację jako karierę na całe życie
势必	nieuchronnie	Wzrost kosztów nieuchronnie wpłynie na ceny
势力	wpływy	Lokalne wpływy biznesowe są silne
是非	spór	Nie chce wplątać się w biurowe spory
示范	pokaz	Nauczyciel najpierw zrobił pokaz
示威	demonstracja	W centrum miasta odbyła się pokojowa demonstracja
示意	dać znak	Kierownik dał wszystkim znak, żeby byli cicho
视力	wzrok	Długie patrzenie na ekran może wpływać na wzrok
视频	wideo	Proszę wysłać mi wideo
视线	pole widzenia	Gęsta mgła zasłoniła kierowcy pole widzenia
视野	horyzont	Podróże mogą poszerzyć horyzonty
试图	próbować	Próbował wyjaśnić swoją decyzję
试验	eksperyment	Naukowcy przeprowadzili wiele eksperymentów
适宜	odpowiedni	Klimat tutaj jest odpowiedni do mieszkania
逝世	odejść	Ten pisarz odszedł w zeszłym roku
释放	uwolnić	Sąd postanowił uwolnić oskarżonego
收藏	kolekcjonować	Kolekcjonował wiele starych znaczków
收缩	kurczyć się	Zimne powietrze może powodować kurczenie się metalu
收益	zysk	Zyski z inwestycji były wyższe niż oczekiwano
收音机	odbiornik radiowy	Babcia codziennie słucha odbiornika radiowego
守护	chronić	Lekarze chronią życie pacjentów
手法	technika	Technika filmowania tego reżysera jest bardzo wyjątkowa
手势	gest	Użył gestu, aby wyrazić zgodę
手艺	umiejętność	Umiejętności tego rzemieślnika są bardzo dobre
首饰	biżuteria	Nosiła prostą srebrną biżuterię
首要	najważniejszy	Bezpieczeństwo jest najważniejszym zadaniem
受罪	cierpieć	Pacjent bardzo cierpiał po operacji
授予	przyznać	Szkoła przyznała mu tytuł honorowy
书法	kaligrafia	Od dzieciństwa ćwiczy kaligrafię
书记	sekretarz	Sekretarz wsi poprowadził spotkanie
书籍	książki	Biblioteka posiada dużą liczbę książek
书面	pisemny	Proszę przedstawić pisemny dowód
疏忽	zaniedbanie	Ten błąd wynikał z zaniedbania w pracy
疏远	oddalać się	Nieporozumienie sprawiło, że dwoje ludzi stopniowo się oddalało
舒畅	odprężony	Po spacerze poczułem się odprężony i szczęśliwy
数额	kwota	Kwota odszkodowania nie została jeszcze ustalona
束	pęk	Kupiła pęk świeżych kwiatów
束缚	ograniczać	Tradycyjne poglądy ograniczały jego wybór
树立	ustanowić	Firma musi ustanowić dobry wizerunek
竖	postawić pionowo	Proszę postawić tablicę pionowo
耍	bawić się	Nie baw się telefonem w czasie pracy
衰老	starzenie się	Ćwiczenia mogą spowolnić starzenie się
衰退	recesja	Recesja gospodarcza wpłynęła na zatrudnienie
率领	prowadzić	Kapitan prowadził drużynę naprzód
涮火锅	jeść hot pot	Zimą wszyscy lubią jeść hot pot
双胞胎	bliźnięta	Oni są parą bliźniąt
爽快	bezpośredni	Odpowiedziała bardzo bezpośrednio
水利	gospodarka wodna	Ten region przykłada wagę do budowy gospodarki wodnej
水龙头	kran	Kran w kuchni przecieka
水泥	spoiwo cementowe	Robotnicy przewieźli spoiwo cementowe na plac budowy
瞬间	chwila	Światła zgasły wszystkie w jednej chwili
司法	sądownictwo	Niezależność sądownictwa wymaga gwarancji systemowych
司令	dowódca	Dowódca wydał rozkaz odwrotu
思念	tęsknić	Ona często tęskni za rodzinnymi stronami
思索	rozmyślać	Spuścił głowę i długo rozmyślał
思维	myślenie	To ćwiczenie może poprawić logiczne myślenie
斯文	kulturalny	Mówi bardzo kulturalnie i łagodnie
私自	samowolnie	Uczniowie nie mogą samowolnie opuszczać szkoły
死亡	śmierć	Wypadek spowodował śmierć kilku osób
四肢	kończyny	Przed ćwiczeniami trzeba rozruszać kończyny
寺庙	świątynia	Na górze jest stara świątynia
肆无忌惮	bez skrupułów	Bez skrupułów łamał zasady
饲养	hodować	Farma hoduje wiele krów mlecznych
耸	wzruszyć ramionami	Po wysłuchaniu tylko wzruszył ramionami
艘	klasyfikator statków	W porcie cumują trzy statki towarowe
苏醒	odzyskać przytomność	Pacjent w końcu odzyskał przytomność
俗话	przysłowie	Przysłowie mówi, że ćwiczenie czyni mistrza
塑造	kształtować	Środowisko może kształtować charakter człowieka
素食	wegetariańskie jedzenie	Ta restauracja oferuje wegetariańskie jedzenie
素质	jakość	Personel obsługi jest wysokiej jakości
诉讼	pozew	Obie strony zdecydowały rozwiązać sprawę przez pozew
算数	dotrzymać słowa	Powinieneś dotrzymać tego, co powiedziałeś
随即	natychmiast	Po zakończeniu spotkania natychmiast wyszedł
随意	dowolnie	Proszę nie zmieniać ustawień dowolnie
岁月	upływ lat	Upływ lat zmienił jego wygląd
隧道	tunel	Pociąg przejechał przez długi tunel
损坏	uszkodzić	Ulewa uszkodziła drogę
索取	poprosić	Klienci mogą bezpłatnie poprosić o próbki
索性	po prostu	Deszcz był zbyt duży, więc po prostu nie wyszliśmy z domu
塌	zawalić się	Dach starego domu zawalił się
踏实	spokojny	Po ukończeniu zadania poczułem się spokojny
塔	wieża	W centrum miasta jest wysoka wieża
台风	tajfun	Tajfun ma dotrzeć do lądu jutro
太空	kosmos	Ludzkość zawsze badała kosmos
泰斗	wybitny autorytet	On jest wybitnym autorytetem w językoznawstwie
摊	stragan	Na rynku rozstawiła stragan z owocami
瘫痪	paraliż	Wypadek drogowy spowodował paraliż jego dolnych kończyn
贪婪	chciwość	Chciwość może zniszczyć człowieka
贪污	korupcja	Urzędnik był badany z powodu korupcji
弹性	elastyczność	Ten materiał ma dużą elastyczność
坦白	przyznać się	W końcu przyznał się do prawdy
叹气	westchnąć	Na wieść o wyniku nie mógł powstrzymać westchnienia
探测	wykrywać	Sprzęt może wykrywać wodę gruntową
探索	badać	Naukowcy dalej badają wszechświat
探讨	omawiać	Eksperci omówili plan reformy
探望	odwiedzić	W weekend poszedłem do szpitala odwiedzić przyjaciela
倘若	jeśli	Jeśli będzie padać, wydarzenie zostanie przełożone
掏	wyjąć	Wyjął klucz z kieszeni
滔滔不绝	mówić bez przerwy	Gdy zaczyna mówić o historii, mówi bez przerwy
淘汰	wyeliminować	Ta drużyna została wyeliminowana przed czasem
陶瓷	ceramika	Jingdezhen słynie z ceramiki
陶醉	zachwycić się	Publiczność zachwyciła się muzyką
讨好	podlizywać się	Nie chce celowo podlizywać się przełożonemu
特长	mocna strona	Malarstwo jest jej mocną stroną
特定	określony	Proszę złożyć wniosek w określonym czasie
特意	specjalnie	Przyszedłem specjalnie, żeby ci podziękować
提拔	awansować	Firma awansowała ją na kierownika działu
提炼	wydobywać	Fabryka wydobywa metal z rudy
提示	podpowiedzieć	System podpowie, aby wpisać hasło
提议	zaproponować	Zaproponowała kontynuowanie dyskusji jutro
题材	tematyka	Tematyka tego filmu jest świeża
体裁	gatunek	Powieści i wiersze to różne gatunki
体积	objętość	To pudełko ma dużą objętość
体谅	okazać zrozumienie	Proszę okazać zrozumienie dla jego trudności
体面	godny	Chce znaleźć godną pracę
体系	system	Firma zbudowała kompletny system szkoleń
天才	geniusz	To dziecko uważa się za geniusza muzycznego
天赋	talent	Ma talent do nauki języków
天伦之乐	rodzinne szczęście	Starszy człowiek cieszy się rodzinnym szczęściem
天然气	gaz ziemny	Mieszkańcy miasta używają gazu ziemnego do gotowania
天生	naturalnie	On jest naturalnie optymistyczny
天堂	raj	To miejsce jest jak raj na ziemi
天文	astronomia	Od dzieciństwa lubił astronomię
田径	lekkoatletyka	Szkoła zorganizowała zawody lekkoatletyczne
田野	pole	Wiosną pola są całe zielone
舔	lizać	Szczeniak polizał rękę właściciela
挑剔	wybredny	Ona jest bardzo wybredna w jedzeniu
条款	klauzula	Klauzule umowy trzeba przeczytać uważnie
条理	porządek	Jego wypowiedź była bardzo uporządkowana
条约	traktat	Dwa kraje podpisały traktat pokojowy
调和	harmonizować	Te dwa kolory dobrze ze sobą harmonizują
调剂	równoważyć	Ćwiczenia mogą równoważyć stresujące życie
调节	regulować	Klimatyzacja może regulować temperaturę w pomieszczeniu
调解	mediować	Pracownicy społeczności pomogli mediować w sporze między stronami
调料	przyprawa	Do zupy trzeba dodać trochę przyprawy
挑拨	podżegać	Nie podżegaj relacji między współpracownikami
挑衅	prowokacja	Tego rodzaju wypowiedź ma wyraźną prowokację
跳跃	skakać	Sportowiec skoczył trzy razy z rzędu
亭子	pawilon	Nad jeziorem jest mały pawilon
停泊	cumować	Łodzie rybackie cumują w zatoce
停顿	pauza	Zrobił krótką pauzę w trakcie mówienia
停滞	zastój	Projekt utknął z powodu braku środków
挺拔	prosty i wysoki	Sosny rosną wysokie i proste
通货膨胀	inflacja	Inflacja podniosła koszty życia
通缉	poszukiwany	Policja wpisała tego podejrzanego na listę poszukiwanych
通俗	przystępny	Język tej książki jest bardzo przystępny
通讯	łączność	Nowoczesna technologia łączności rozwija się szybko
通用	uniwersalny	Ten rodzaj ładowarki jest dość uniwersalny
同胞	rodak	Rodacy za granicą też interesują się rozwojem rodzinnych stron
同志	towarzysz	Starszy towarzysz podzielił się doświadczeniem w pracy
童话	baśń	Dziecko lubi słuchać baśni przed snem
铜	miedź	Ta rzeźba jest zrobiona z miedzi
统筹兼顾	koordynować całościowo	Planowanie miasta powinno całościowo koordynować interesy wszystkich stron
统计	liczyć	Musimy policzyć liczbę zapisów
统统	wszystkie	Te stare dokumenty wszystkie trzeba zarchiwizować
统治	rządzić	Ta dynastia rządziła przez trzysta lat
投机	spekulacja	Zarobił pewną sumę pieniędzy dzięki spekulacji
投票	głosowanie	Mieszkańcy jutro wezmą udział w głosowaniu
投诉	skarga	Klient złożył na platformie skargę na sprzedawcę
投降	poddać się	Wroga armia ostatecznie wybrała poddanie się
投掷	rzucać	Sportowiec ćwiczył rzucanie oszczepem
透露	ujawnić	Nie ujawnił szczegółów spotkania
秃	łysy	W młodym wieku wyłysiał
突破	przełom	Badania osiągnęły ważny przełom
图案	wzór	Wzór na tej tkaninie jest bardzo ładny
徒弟	uczeń	Mistrz uczy ucznia naprawy zegarków
涂抹	nakładać	Proszę nałożyć maść wokół rany
途径	droga	Internet jest ważną drogą zdobywania informacji
土壤	gleba	Żyzna gleba nadaje się do uprawy warzyw
团结	zjednoczyć się	Zespół musi zjednoczyć się i współpracować
