simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
穷	fattig	Selv om den gamle mand er meget fattig, lever han lykkeligt.	köyhä	Vaikka vanhus on hyvin köyhä, hän elää onnellisesti.	chudý	Ačkoli je ten stařec velmi chudý, žije šťastně.	chudobný	Hoci je ten starec veľmi chudobný, žije šťastne.
区别	en forskel; at skelne	Er der nogen forskel mellem disse to materialer?	ero; erottaa	Onko näiden kahden materiaalin välillä eroa?	rozdíl; rozlišit	Je mezi těmito dvěma materiály nějaký rozdíl?	rozdiel; rozlíšiť	Je medzi týmito dvoma materiálmi nejaký rozdiel?
取	at hæve; at tage	Jeg går i banken for at hæve penge.	nostaa; ottaa	Menen pankkiin nostamaan rahaa.	vybrat; vzít	Jdu do banky vybrat peníze.	vybrať; vziať	Idem do banky vybrať peniaze.
全部	alt; hele	Musik er alt for mig.	kaikki; koko	Musiikki on minulle kaikki.	všechno; celý	Hudba je pro mě všechno.	všetko; celý	Hudba je pre mňa všetko.
缺点	en mangel; en slab side	Man kan ikke sammenligne sine egne mangler med andres fordele.	puute; heikkous	Ihminen ei voi verrata omia puutteitaan muiden vahvuuksiin.	nedostatek; slabina	Člověk nemůže porovnávat své nedostatky s výhodami druhých.	nedostatok; slabina	Človek nemôže porovnávať svoje nedostatky s výhodami druhých.
缺少	at mangle; mangel	Se, hvad der stadig mangler, så køber jeg det nu.	puuttua; puute	Katso, mitä vielä puuttuu, niin ostan sen nyt.	chybět; nedostatek	Podívej se, co ještě chybí, já to hned koupím.	chýbať; nedostatok	Pozri sa, čo ešte chýba, hneď to kúpim.
却	men; dog	Jeg har meget at sige, men når jeg bliver nervøs, kan jeg ikke få det sagt.	mutta; kuitenkin	Minulla on paljon sanottavaa, mutta hermostuessani en saa sitä sanottua.	ale; však	Mám hodně co říct, ale když jsem nervózní, nedokážu to vyslovit.	ale; však	Mám veľa čo povedať, ale keď som nervózny, nedokážem to povedať.
确实	virkelig; faktisk	Denne metode er faktisk god.	todella; tosiaan	Tämä menetelmä on todella hyvä.	opravdu; skutečně	Tato metoda je opravdu dobrá.	naozaj; skutočne	Táto metóda je naozaj dobrá.
然而	dog; imidlertid	Jeg brugte meget tid på at læse denne bog, men jeg er stadig ikke færdig.	kuitenkin; silti	Käytin paljon aikaa tämän kirjan lukemiseen, mutta en silti ole saanut sitä loppuun.	avšak; nicméně	Strávil jsem hodně času čtením této knihy, ale stále jsem ji nedočetl.	avšak; predsa	Strávil som veľa času čítaním tejto knihy, ale stále som ju nedočítal.
热闹	livlig; travl	Gaden er meget livlig.	vilkas; eloisa	Katu on hyvin vilkas.	rušný; živý	Ulice je velmi rušná.	rušný; živý	Ulica je veľmi rušná.
任何	enhver; hvilken som helst	Mor forstår mig bedre end nogen anden.	mikä tahansa; kuka tahansa	Äiti ymmärtää minua paremmin kuin kukaan muu.	jakýkoli; kdokoli	Maminka mi rozumí lépe než kdokoli jiný.	akýkoľvek; ktokoľvek	Mama mi rozumie lepšie než ktokoľvek iný.
任务	en opgave	Opgaven er firs procent færdig.	tehtävä	Tehtävästä on valmiina kahdeksankymmentä prosenttia.	úkol	Úkol je hotový z osmdesáti procent.	úloha	Úloha je hotová na osemdesiat percent.
扔	at smide; at kaste	Smid venligst affaldet i skraldespanden.	heittää; heittää pois	Heitä roskat roskakoriin, ole hyvä.	hodit; vyhodit	Vyhoďte prosím odpadky do koše.	hodiť; vyhodiť	Vyhoďte, prosím, odpadky do koša.
仍然	stadig; endnu	Vejret er stadig godt i dag.	yhä; edelleen	Tänään on edelleen hyvä sää.	stále; pořád	Dnes je stále dobré počasí.	stále; ešte	Dnes je stále pekné počasie.
日记	en dagbog	Datteren har fået vanen med at skrive dagbog hver dag.	päiväkirja	Tytär on omaksunut tavan kirjoittaa päiväkirjaa joka päivä.	deník	Dcera si vytvořila zvyk psát si každý den deník.	denník	Dcéra si vytvorila zvyk písať si každý deň denník.
入口	en indgang	Jeg venter på dig ved bygningens indgang.	sisäänkäynti	Odotan sinua rakennuksen sisäänkäynnillä.	vchod	Čekám na tebe u vchodu do budovy.	vchod	Čakám ťa pri vchode do budovy.
散步	at gå en tur	Den lille hund fulgte hele tiden efter mig, da jeg gik tur.	käydä kävelyllä; kävellä	Pieni koira seurasi minua koko ajan, kun olin kävelyllä.	jít na procházku; procházet se	Když jsem šel na procházku, štěně mě pořád následovalo.	ísť na prechádzku; prechádzať sa	Keď som bol na prechádzke, šteniatko ma stále nasledovalo.
森林	en skov	Denne skov er meget stor.	metsä	Tämä metsä on hyvin suuri.	les	Tento les je velmi velký.	les	Tento les je veľmi veľký.
沙发	en sofa	Sæt Dem venligst i sofaen et øjeblik, så hælder jeg en kop te op til Dem.	sohva	Istukaa hetkeksi sohvalle, niin kaadan teille kupin teetä.	pohovka; gauč	Prosím, posaďte se na chvíli na pohovku, já vám naliju šálek čaje.	pohovka; gauč	Prosím, posaďte sa na chvíľu na pohovku, ja vám nalejem šálku čaju.
伤心	ked af det; sørge	Efter at have hørt nyheden blev jeg meget ked af det.	surullinen; olla surullinen	Kuultuani uutisen olin hyvin surullinen.	smutný; být zarmoucený	Po vyslechnutí té zprávy jsem byl velmi smutný.	smutný; byť zarmútený	Po vypočutí tej správy som bol veľmi smutný.
商量	at drøfte; at tale igennem	Du kom lige i rette øjeblik, lad os drøfte det.	keskustella; neuvotella	Tulit juuri sopivasti, keskustellaan siitä.	poradit se; prodiskutovat	Přišel jsi právě vhod, pojďme to probrat.	poradiť sa; prediskutovať	Prišiel si práve vhod, poďme to prebrať.
稍微	lidt; en smule	Bare en smule sjusk kan føre til fejl.	hieman; vähän	Pienikin huolimattomuus voi johtaa virheisiin.	trochu; maličko	I trocha nepozornosti může vést k chybám.	trochu; trocha	Aj trochu nepozornosti môže viesť k chybám.
勺子	en ske	Undskyld, jeg tabte skeen på gulvet.	lusikka	Anteeksi, pudotin lusikan lattialle.	lžíce; lžička	Promiňte, upustil jsem lžíci na zem.	lyžica; lyžička	Prepáčte, spadla mi lyžica na zem.
社会	et samfund	Alle er meget optagede af disse sociale problemer.	yhteiskunta	Kaikki ovat hyvin huolissaan näistä yhteiskunnallisista ongelmista.	společnost	Všichni se velmi zajímají o tyto společenské problémy.	spoločnosť	Všetci sa veľmi zaujímajú o tieto spoločenské problémy.
深	dyb; sen; indgående	Der er et dybt venskab mellem os.	syvä; myöhäinen	Meidän välillämme on syvä ystävyys.	hluboký; pozdní	Je mezi námi hluboké přátelství.	hlboký; neskorý	Je medzi nami hlboké priateľstvo.
申请	at ansøge om; en ansøgning	Jeg ansøgte banken om et kreditkort.	hakea; hakemus	Hain pankista luottokorttia.	požádat o; žádost	Požádal jsem banku o kreditní kartu.	požiadať o; žiadosť	Požiadal som banku o kreditnú kartu.
甚至	endda; sågar	Alle havde det så sjovt, at de endda glemte tiden.	jopa	Kaikilla oli niin hauskaa, että he jopa unohtivat ajan.	dokonce	Všichni se skvěle bavili a dokonce zapomněli na čas.	dokonca	Všetci sa výborne bavili a dokonca zabudli na čas.
生活	livet; at leve	I livet møder man altid nogle bekymringer.	elämä; elää	Elämässä kohtaa aina joitakin huolia.	život; žít	V životě se vždy objeví nějaké starosti.	život; žiť	V živote sa vždy objavia nejaké starosti.
生命	liv	Han betragtede kunst som vigtigere end sit eget liv.	elämä; henki	Hän piti taidetta omaa elämäänsä tärkeämpänä.	život	Považoval umění za důležitější než svůj vlastní život.	život	Považoval umenie za dôležitejšie než vlastný život.
生意	en forretning; handel	Hans forretning bliver større og større.	liiketoiminta; kauppa	Hänen liiketoimintansa kasvaa yhä suuremmaksi.	obchod; podnikání	Jeho podnikání je čím dál větší.	obchod; podnikanie	Jeho podnikanie je čoraz väčšie.
省	en provins	Jeg kommer fra provinsen Shandong.	maakunta; provinssi	Olen kotoisin Shandongin maakunnasta.	provincie	Pocházím z provincie Šan-tung.	provincia	Pochádzam z provincie Šan-tung.
剩	at være tilbage; at være tilovers	Der er kun to æbler tilbage.	olla jäljellä; jäädä yli	Vain kaksi omenaa on jäljellä.	zbývat; zůstat	Zbývají jen dvě jablka.	zostávať; ostať	Zostali už len dve jablká.
失败	at mislykkes; et nederlag	Selvom jeg har oplevet mange nederlag, giver jeg aldrig op.	epäonnistua; epäonnistuminen	Vaikka olen kokenut monia epäonnistumisia, en koskaan luovuta.	selhat; neúspěch	I když jsem zažil mnoho neúspěchů, nikdy se nevzdávám.	zlyhať; neúspech	Hoci som zažil veľa neúspechov, nikdy sa nevzdávam.
失望	skuffet; at miste håbet	Jeg er meget skuffet over ham.	pettynyt; menettää toivo	Olen hyvin pettynyt häneen.	zklamaný; ztratit naději	Jsem z něj velmi zklamaný.	sklamaný; stratiť nádej	Som z neho veľmi sklamaný.
师傅	en mester; en fagmand	Undskyld, hvordan kommer jeg til biografen?	mestari; kunnioittava puhuttelu	Anteeksi, miten pääsen elokuvateatteriin?	mistr; uctivé oslovení	Promiňte, jak se dostanu do kina?	majster; úctivé oslovenie	Prepáčte, ako sa dostanem do kina?
十分	meget; yderst	Hun gør tingene meget omhyggeligt.	hyvin; erittäin	Hän tekee asiat erittäin huolellisesti.	velmi; mimořádně	Dělá věci velmi pečlivě.	veľmi; mimoriadne	Robí veci veľmi starostlivo.
实际	faktisk; praktisk	Han brugte et praktisk eksempel til at forklare problemet.	todellinen; käytännöllinen	Hän käytti käytännöllistä esimerkkiä selittääkseen ongelman.	skutečný; praktický	Použil praktický příklad, aby tento problém vysvětlil.	skutočný; praktický	Použil praktický príklad, aby vysvetlil tento problém.
实在	virkelig; faktisk	Jeg er virkelig alt for træt.	todella; oikeasti	Olen todella liian väsynyt.	opravdu; ve skutečnosti	Jsem opravdu strašně unavený.	naozaj; v skutočnosti	Som naozaj veľmi unavený.
使	at få til; at gøre	Hans ord rørte mig meget.	saada aikaan; tehdä	Hänen sanansa liikuttivat minua paljon.	způsobit; přimět	Jeho slova mě velmi dojala.	spôsobiť; prinútiť	Jeho slová ma veľmi dojali.
使用	at bruge; at anvende	Kinesere bruger normalt spisepinde, når de spiser.	käyttää	Kiinalaiset käyttävät yleensä syömäpuikkoja syödessään.	používat; využívat	Číňané při jídle obvykle používají hůlky.	používať; využívať	Číňania pri jedle zvyčajne používajú paličky.
世纪	et århundrede	Nu er det det enogtyvende århundrede.	vuosisata	Nyt on 21. vuosisata.	století	Teď je 21. století.	storočie	Teraz je 21. storočie.
是否	om; hvorvidt	Jeg er endnu ikke helt sikker på, om han kan komme.	onko; -ko/-kö	En ole vielä aivan varma, voiko hän tulla.	zda; jestli	Ještě si nejsem úplně jistý, zda může přijít.	či; či áno alebo nie	Ešte si nie som celkom istý, či môže prísť.
适合	at passe til; at være egnet	Grønt tøj passer mig ikke rigtig.	sopia; olla sopiva	Vihreät vaatteet eivät oikein sovi minulle.	hodit se; vyhovovat	Zelené oblečení mi moc nesluší.	hodiť sa; vyhovovať	Zelené oblečenie mi veľmi nesvedčí.
适应	at vænne sig til; at tilpasse sig	Kan du vænne dig til klimaet i nord?	sopeutua; tottua	Voitko sopeutua pohjoisen ilmastoon?	přizpůsobit se; zvyknout si	Dokážeš se přizpůsobit severnímu klimatu?	prispôsobiť sa; zvyknúť si	Dokážeš si zvyknúť na severné podnebie?
收	at modtage; at tage imod	Jeg har modtaget dit brev.	saada; ottaa vastaan	Sain kirjeesi.	dostat; přijmout	Dostal jsem tvůj dopis.	dostať; prijať	Dostal som tvoj list.
收入	en indkomst	Hans indkomst er højere end før.	tulot; tulo	Hänen tulonsa ovat suuremmat kuin ennen.	příjem	Jeho příjem je vyšší než dříve.	príjem	Jeho príjem je vyšší než predtým.
收拾	at rydde op; at pakke	Jeg er ved at pakke min bagage.	siivota; pakata	Pakkaan matkatavaroitani.	uklidit; sbalit	Balím si zavazadla.	upratať; zbaliť	Balím si batožinu.
首都	en hovedstad	Kinas hovedstad er Beijing.	pääkaupunki	Kiinan pääkaupunki on Peking.	hlavní město	Hlavním městem Číny je Peking.	hlavné mesto	Hlavným mestom Číny je Peking.
首先	først; først og fremmest	Først skal man hvile godt, så kan man arbejde godt.	ensiksi; ennen kaikkea	Ensin pitää levätä hyvin, sitten voi tehdä hyvää työtä.	nejprve; především	Nejprve je třeba si dobře odpočinout, potom se dá dobře pracovat.	najprv; predovšetkým	Najprv si treba dobre oddýchnuť, potom sa dá dobre pracovať.
受不了	ikke kunne holde ud	Vejret er for varmt, jeg kan ikke holde det ud.	ei voi sietää; olla sietämätön	Sää on liian kuuma, en kestä sitä.	nevydržet; nesnesitelný	Je příliš horko, nevydržím to.	nevydržať; neznesiteľný	Je príliš horúco, nevydržím to.
受到	at modtage; at blive mødt med	Hans roman blev godt modtaget af læserne.	saada; tulla kohdelluksi	Hänen romaaninsa sai lukijoilta hyvän vastaanoton.	obdržet; setkat se s	Jeho román byl čtenáři dobře přijat.	dostať; stretnúť sa s	Jeho román bol čitateľmi dobre prijatý.
售货员	en sælger; en ekspedient	Jeg arbejder som ekspedient i et indkøbscenter.	myyjä	Työskentelen myyjänä ostoskeskuksessa.	prodavač; prodavačka	Pracuji jako prodavač v obchodním centru.	predavač; predavačka	Pracujem ako predavač v obchodnom centre.
输	at tabe	Vi tabte denne kamp.	hävitä	Hävisimme tämän ottelun.	prohrát	Tento zápas jsme prohráli.	prehrať	Tento zápas sme prehrali.
熟悉	at kende godt; at være fortrolig med	Jeg kender dem alle godt.	tuntea hyvin; olla tuttu	Tunnen heidät kaikki hyvin.	znát dobře; být obeznámený s	Všechny je dobře znám.	poznať dobre; byť oboznámený s	Všetkých ich dobre poznám.
数量	en mængde; et antal	Antallet af tilmeldte er stort.	määrä; lukumäärä	Ilmoittautuneiden määrä on suuri.	množství; počet	Počet přihlášených lidí je velký.	množstvo; počet	Počet prihlásených ľudí je veľký.
数字	et tal; et ciffer	Skriv venligst tallene tydeligt.	numero; luku	Kirjoita numerot selvästi.	číslo; číslice	Napište prosím čísla jasně.	číslo; číslica	Napíšte, prosím, čísla jasne.
帅	flot; smart	Han er klædt rigtig flot i dag.	komea; tyylikäs	Hän on pukeutunut tänään todella tyylikkäästi.	pohledný; stylový	Dnes je oblečený velmi stylově.	pekný; štýlový	Dnes je oblečený veľmi štýlovo.
顺便	i forbifarten; samtidig	På vej hjem fra arbejde købte jeg nogle grøntsager.	samalla; ohimennen	Kotimatkalla töistä ostin samalla vihanneksia.	při té příležitosti; cestou	Cestou z práce jsem koupil trochu zeleniny.	pri tej príležitosti; cestou	Cestou z práce som kúpil trochu zeleniny.
顺利	glat; uden problemer	Kampen forløb meget glat.	sujuvasti; ongelmitta	Ottelu sujui hyvin.	hladce; bez problémů	Zápas proběhl velmi hladce.	hladko; bez problémov	Zápas prebehol veľmi hladko.
顺序	en rækkefølge; orden	Lad venligst være med at rode rækkefølgen sammen.	järjestys	Älä sotke järjestystä.	pořadí; řád	Prosím, nepopleťte pořadí.	poradie; rád	Prosím, nepomiešajte poradie.
说明	at forklare; en forklaring	Han forklarede årsagen til denne sag for alle.	selittää; selitys	Hän selitti kaikille tämän asian syyn.	vysvětlit; vysvětlení	Vysvětlil všem důvod této věci.	vysvetliť; vysvetlenie	Vysvetlil všetkým dôvod tejto veci.
硕士	en kandidatgrad; en mastergrad	Jeg læser til kandidat på universitetet.	maisterintutkinto	Opiskelen yliopistossa maisterintutkintoa.	magisterský titul	Studuji na univerzitě magisterský obor.	magisterský titul	Študujem na univerzite magisterský odbor.
死	at dø; død	Dette træ er allerede dødt.	kuolla; kuollut	Tämä puu on jo kuollut.	zemřít; mrtvý	Tento strom už je mrtvý.	zomrieť; mŕtvy	Tento strom je už mŕtvy.
塑料袋	en plastikpose	For at beskytte miljøet, brug venligst ikke plastikposer.	muovipussi	Ympäristön suojelemiseksi älä käytä muovipusseja.	plastová taška	Kvůli ochraně životního prostředí prosím nepoužívejte plastové tašky.	plastová taška	Kvôli ochrane životného prostredia, prosím, nepoužívajte plastové tašky.
速度	hastighed; fart	Han løber virkelig hurtigt!	nopeus; vauhti	Hän juoksee todella nopeasti!	rychlost	Běhá opravdu rychle!	rýchlosť	Beží naozaj rýchlo!
酸	sur; syrlig	De druer, du købte, er lidt sure.	hapan	Ostamasi rypäleet ovat vähän happamia.	kyselý	Hrozny, které jsi koupil, jsou trochu kyselé.	kyslý	Hrozno, ktoré si kúpil, je trochu kyslé.
随便	som man vil; vilkårligt	Sæt jer venligst, hvor I vil.	miten vain; vapaasti	Istukaa, minne haluatte.	libovolně; jak chceš	Posaďte se prosím, kam chcete.	ľubovoľne; ako chceš	Posaďte sa, prosím, kam chcete.
随着	med; i takt med	Med økonomiens udvikling er folks liv blevet meget bedre.	mukana; myötä	Talouden kehityksen myötä ihmisten elämä on parantunut paljon.	s; spolu s	S rozvojem ekonomiky se život lidí výrazně zlepšil.	s; spolu s	S rozvojom ekonomiky sa život ľudí výrazne zlepšil.
孙子	et barnebarn; en sønnesøn	Bedstefar holder meget af sit barnebarn.	pojanpoika; lapsenlapsi	Isoisä pitää pojanpojastaan hyvin paljon.	vnuk	Dědeček má svého vnuka velmi rád.	vnuk	Dedko má svojho vnuka veľmi rád.
所有	alle; al	Alle mente, at han tog fejl.	kaikki; kaiken	Kaikki olivat sitä mieltä, että hän oli väärässä.	všichni; všechen	Všichni si mysleli, že se mýlil.	všetci; všetok	Všetci si mysleli, že sa mýlil.
台	klassifikator for maskiner	Denne computer er nykøbt.	luokittelusana koneille ja laitteille	Tämä tietokone on juuri ostettu.	kus pro stroje a zařízení	Tento počítač je nově koupený.	kus pre stroje a zariadenia	Tento počítač je novo kúpený.
抬	at løfte; at bære	De bar skrivebordet ind i klasseværelset.	nostaa; kantaa	He kantoivat pulpettipöydän luokkahuoneeseen.	zvednout; nést	Odnesli lavici do učebny.	zdvihnúť; niesť	Odniesli lavicu do triedy.
态度	en holdning; en attitude	Servicemedarbejderens holdning over for kunderne er meget god.	asenne; suhtautuminen	Palvelutyöntekijän asenne asiakkaita kohtaan on erittäin hyvä.	postoj; přístup	Obsluha má k zákazníkům velmi dobrý přístup.	postoj; prístup	Obsluha má k zákazníkom veľmi dobrý prístup.
弹钢琴	at spille klaver	Jeg begyndte at lære at spille klaver, da jeg var fire.	soittaa pianoa	Aloin opetella soittamaan pianoa nelivuotiaana.	hrát na klavír	Začal jsem se učit hrát na klavír, když mi byly čtyři roky.	hrať na klavíri	Začal som sa učiť hrať na klavíri, keď som mal štyri roky.
谈	at tale om; at snakke	Jeg vil også tale med dig om en anden ting.	keskustella; jutella	Haluan vielä puhua kanssasi toisesta asiasta.	mluvit; povídat si	Chci s tebou mluvit ještě o jedné věci.	hovoriť; rozprávať sa	Chcem sa s tebou porozprávať ešte o jednej veci.
汤	en suppe	Suppen er ikke salt, så lad os komme lidt mere salt i.	keitto	Keitto ei ole suolaista, joten lisätään vähän suolaa.	polévka	Polévka není slaná, tak do ní ještě přidejme trochu soli.	polievka	Polievka nie je slaná, tak do nej ešte pridajme trochu soli.
糖	sukker; slik	Jeg vil gerne spise et stykke slik.	sokeri; makeinen	Haluan syödä yhden makeisen.	cukr; sladkost	Chci si dát kousek sladkosti.	cukor; sladkosť	Chcem si dať kúsok sladkosti.
躺	at ligge ned	Hun faldt i søvn, mens hun lå i sengen.	maata; mennä makuulle	Hän nukahti sänkyyn.	ležet; lehnout si	Usnula v posteli.	ležať; ľahnúť si	Zaspala v posteli.
趟	en tur	Sidste måned tog jeg en tur til Beijing.	kerta; matka	Kävin Pekingissä kerran viime kuussa.	cesta; jednou	Minulý měsíc jsem jednou jel do Pekingu.	cesta; raz	Minulý mesiac som raz išiel do Pekingu.
讨论	at diskutere; at drøfte	Lad os holde et møde og drøfte det.	keskustella; pohtia	Pidetään kokous ja keskustellaan siitä.	diskutovat; probrat	Udělejme schůzi a proberme to.	diskutovať; prebrať	Urobme poradu a preberme to.
讨厌	at være irriterende; at ikke kunne lide	Dette vejr er virkelig irriterende.	inhota; ärsyttävä	Tämä sää on todella ärsyttävä.	nesnášet; protivný	Tohle počasí je opravdu protivné.	neznášať; nepríjemný	Toto počasie je naozaj nepríjemné.
特点	et særpræg; en egenskab	Det særlige ved denne restaurant er, at maden er frisk.	erityispiirre; ominaisuus	Tämän ravintolan erityispiirre on se, että ruoka on tuoretta.	rys; charakteristika	Charakteristickým rysem této restaurace je, že jídlo je čerstvé.	rys; charakteristika	Charakteristickým znakom tejto reštaurácie je, že jedlo je čerstvé.
提	at løfte; at tage op	Løft venligst denne taske op.	nostaa; ottaa käteen	Nosta tämä laukku, ole hyvä.	zvednout; vzít do ruky	Prosím, zvedněte tuto tašku.	zdvihnúť; vziať do ruky	Prosím, zdvihnite túto tašku.
提供	at tilbyde; at levere	Biblioteket giver alle et roligt læsemiljø.	tarjota; toimittaa	Kirjasto tarjoaa kaikille rauhallisen lukuympäristön.	poskytovat; nabídnout	Knihovna poskytla všem klidné prostředí ke čtení.	poskytovať; ponúknuť	Knižnica poskytla všetkým tiché prostredie na čítanie.
提前	på forhånd; før tid	Vi færdiggjorde opgaven før tid.	etuajassa; etukäteen	Saimme tehtävän valmiiksi etuajassa.	předem; dříve než plánováno	Úkol jsme dokončili před termínem.	vopred; skôr ako plánované	Úlohu sme dokončili pred termínom.
提醒	at minde om	Jeg har allerede mindet ham om det, men han glemte det alligevel.	muistuttaa	Olen jo muistuttanut häntä, mutta hän silti unohti.	připomenout	Už jsem mu to připomněl, ale stejně zapomněl.	pripomenúť	Už som mu to pripomenul, ale aj tak zabudol.
填空	at udfylde et tomt felt	Dette er et udfyldningsspørgsmål.	täyttää aukko	Tämä on aukkotehtävä.	doplnit do mezery	Tohle je úloha na doplnění mezery.	doplniť do medzery	Toto je úloha na doplnenie medzery.
条件	en betingelse; et kriterium	Hun opfylder vores ansættelseskriterier meget godt.	ehto; kriteeri	Hän täyttää rekrytointikriteerimme erittäin hyvin.	podmínka; kritérium	Velmi dobře splňuje naše náborová kritéria.	podmienka; kritérium	Veľmi dobre spĺňa naše náborové kritériá.
停	at stoppe	Bilen stoppede.	pysähtyä; pysäyttää	Auto pysähtyi.	zastavit	Auto zastavilo.	zastaviť	Auto zastavilo.
挺	ret; ganske	Denne bog er ret god.	aika; melko	Tämä kirja on aika hyvä.	docela; dost	Tahle kniha je docela dobrá.	celkom; dosť	Táto kniha je celkom dobrá.
通过	at bestå; gennem	Jeg har allerede bestået eksamen.	läpäistä; kautta	Olen jo läpäissyt kokeen.	projít; složit	Už jsem složil zkoušku.	prejsť; zložiť	Už som zložil skúšku.
通知	at meddele; en besked	Giv venligst alle besked om at komme til mødet.	ilmoittaa; ilmoitus	Ilmoita kaikille, että he tulevat kokoukseen.	informovat; oznámení	Prosím, informujte všechny, aby přišli na schůzi.	informovať; oznámenie	Prosím, informujte všetkých, aby prišli na poradu.
同情	at have medfølelse; sympati	Jeg føler stor medfølelse med ham.	tuntea myötätuntoa; myötätunto	Tunnen häntä kohtaan paljon myötätuntoa.	soucítit; soucit	Mám s ním velký soucit.	súcitiť; súcit	Veľmi s ním súcitím.
同时	samtidig; mens	Han lytter til musik, mens han laver lektier.	samaan aikaan; samalla	Hän kuuntelee musiikkia samalla kun tekee läksyjä.	současně; zároveň	Poslouchá hudbu a zároveň dělá domácí úkoly.	súčasne; zároveň	Počúva hudbu a zároveň si robí domáce úlohy.
推	at skubbe	Min bil er i stykker, vil du hjælpe mig med at skubbe den?	työntää	Autoni on rikki, voisitko työntää sitä puolestani?	tlačit	Moje auto je rozbité, mohl bys mi ho prosím pomoct tlačit?	tlačiť	Moje auto je pokazené, mohol by si mi ho, prosím, pomôcť tlačiť?
推迟	at udskyde; at forsinke	Flyets afgangstid blev forsinket med tyve minutter.	siirtää myöhemmäksi; viivästyttää	Lennon lähtöaikaa siirrettiin kaksikymmentä minuuttia myöhemmäksi.	odložit; zpozdit	Čas odletu letadla byl odložen o dvacet minut.	odložiť; oneskoriť	Čas odletu lietadla bol odložený o dvadsať minút.
脱	at tage af	Værelset er meget varmt, tag frakken af.	riisua	Huone on lämmin, riisu takki.	svléknout; sundat	Pokoj je teplý, sundej si kabát.	vyzliecť; dať dole	Izba je teplá, vyzleč si kabát.
袜子	sokker	Jeg vaskede sokkerne rene.	sukat	Pesin sukkani puhtaiksi.	ponožky	Vypral jsem ponožky dočista.	ponožky	Vypral som ponožky dočista.
完全	helt; fuldstændig	Din vurdering er fuldstændig korrekt.	täysin; kokonaan	Arviosi on täysin oikea.	úplně; zcela	Tvůj úsudek je zcela správný.	úplne; celkom	Tvoj úsudok je úplne správny.
往往	ofte	Om søndagen går han ofte en tur i parken.	usein	Sunnuntaisin hän käy usein kävelyllä puistossa.	často	V neděli často chodí na procházku do parku.	často	V nedeľu často chodí na prechádzku do parku.
网球	tennis	Jeg er først for nylig begyndt at lære at spille tennis.	tennis	Aloin vasta hiljattain opetella pelaamaan tennistä.	tenis	Teprve nedávno jsem se začal učit hrát tenis.	tenis	Len nedávno som sa začal učiť hrať tenis.
网站	et websted; en hjemmeside	Der er mange kinesiske materialer på dette websted.	verkkosivusto; nettisivu	Tällä verkkosivustolla on paljon kiinankielistä materiaalia.	webová stránka	Na této webové stránce je mnoho čínských materiálů.	webová stránka	Na tejto webovej stránke je veľa čínskych materiálov.
危险	farlig; fare	Det er farligt at bestige et bjerg alene om aftenen.	vaarallinen; vaara	Vuorelle kiipeäminen yksin illalla on vaarallista.	nebezpečný; nebezpečí	Lézt večer sám na horu je nebezpečné.	nebezpečný; nebezpečenstvo	Ísť večer sám na horu je nebezpečné.
卫生间	et toilet; et badeværelse	Undskyld, hvor er toilettet?	wc; kylpyhuone	Anteeksi, missä on wc?	toaleta; koupelna	Promiňte, kde je toaleta?	toaleta; kúpeľňa	Prepáčte, kde je toaleta?
味道	smagen; en smag	Bollerne på denne restaurant smager virkelig godt.	maku	Tämän ravintolan höyrysämpylät maistuvat todella hyviltä.	chuť	Knédlíčky v této restauraci chutnají velmi dobře.	chuť	Buchty v tejto reštaurácii chutia veľmi dobre.
温度	en temperatur	Når vinteren kommer, bliver temperaturen lavere og lavere.	lämpötila	Talven tullessa lämpötila laskee yhä alemmas.	teplota	S příchodem zimy je teplota čím dál nižší.	teplota	S príchodom zimy je teplota čoraz nižšia.
文章	en artikel; et essay	Den vigtigste del af artiklen er tredje afsnit.	artikkeli; kirjoitus	Artikkelin tärkein osa on kolmas kappale.	článek; esej	Nejdůležitější část článku je třetí odstavec.	článok; esej	Najdôležitejšia časť článku je tretí odsek.
污染	forurening	Miljøforureningen bliver nu mere og mere alvorlig.	saastuminen; saaste	Ympäristön saastuminen pahenee nykyään yhä enemmän.	znečištění	Znečištění životního prostředí je teď čím dál vážnější.	znečistenie	Znečistenie životného prostredia je teraz čoraz vážnejšie.
无	uden; ingen	Hans ord er uden grundlag.	ilman; ei	Hänen sanansa ovat perusteettomia.	bez; žádný	Jeho slova jsou bez základu.	bez; žiadny	Jeho slová sú bez základu.
无聊	kedelig; at kede sig	Dette program er lidt kedeligt.	tylsä; ikävystynyt	Tämä ohjelma on vähän tylsä.	nudný; znuděný	Tento pořad je trochu nudný.	nudný; znudený	Tento program je trochu nudný.
无论	uanset; ligegyldigt hvordan	Uanset hvordan jeg forklarer det, forstår han det ikke.	riippumatta; vaikka miten	Vaikka miten selitän, hän ei ymmärrä.	bez ohledu na; ať už	Ať to vysvětluji jakkoli, nechápe to.	bez ohľadu na; nech už	Nech to vysvetľujem akokoľvek, nechápe to.
误会	at misforstå; en misforståelse	Undskyld, jeg misforstod dig.	ymmärtää väärin; väärinkäsitys	Anteeksi, ymmärsin sinut väärin.	špatně pochopit; nedorozumění	Promiň, špatně jsem tě pochopil.	zle pochopiť; nedorozumenie	Prepáč, zle som ťa pochopil.
