simplified	TA	example_TA
温暖	வெப்பமான	வசந்த கால சூரியஒளி மிகவும் வெப்பமாக உள்ளது.
温柔	மென்மையான	அவள் மிகவும் மென்மையாகப் பேசுகிறாள்.
文件	ஆவணம்	தயவு செய்து ஆவணத்தை எனக்கு அனுப்புங்கள்.
文具	எழுதுபொருட்கள்	பள்ளிப்பையில் நிறைய எழுதுபொருட்கள் உள்ளன.
文明	நாகரிகமான	வரிசையில் நிற்பது நாகரிகமான நடத்தை.
文学	இலக்கியம்	அவளுக்கு சீன இலக்கியம் பிடிக்கும்.
文字	எழுத்து	இந்த எழுத்துகளைப் படிக்க கடினமாக உள்ளது.
闻	மணம் அறிதல்	நான் மலரின் மணத்தை உணர்ந்தேன்.
吻	முத்தமிடுதல்	அம்மா குழந்தையின் கன்னத்தில் முத்தமிட்டாள்.
稳定	நிலையான	விலைகள் நிலையாக உள்ளன.
问候	வாழ்த்து தெரிவிதல்	தயவு செய்து உங்கள் குடும்பத்தினருக்கு என் வாழ்த்துகளைத் தெரிவியுங்கள்.
卧室	படுக்கையறை	படுக்கையறையில் ஒரு பெரிய படுக்கை உள்ளது.
握手	கைகுலுக்குதல்	அவர்கள் சந்தித்தபோது கைகுலுக்கினர்.
屋子	அறை	அறைக்குள் வெப்பமாக உள்ளது.
无奈	இயலாமையுடன்	அவர் இயலாமையுடன் தலையசைத்தார்.
无数	எண்ணற்ற	இரவு வானில் எண்ணற்ற நட்சத்திரங்கள் உள்ளன.
无所谓	பரவாயில்லை	நீ என்ன சாப்பிட விரும்பினாலும் பரவாயில்லை.
武术	தற்காப்புக் கலை	அவர் சிறு வயதிலிருந்தே தற்காப்புக் கலை கற்றுள்ளார்.
勿	செய்யாதீர்	தயவு செய்து இங்கே புகைபிடிக்காதீர்.
物理	இயற்பியல்	இயற்பியல் வகுப்பு மிகவும் சுவாரஸ்யமாக உள்ளது.
物质	பொருள்	நீர் ஒரு முக்கியமான பொருள்.
雾	மூடுபனி	காலையில் கடுமையான மூடுபனி இருந்தது.
吸取	பாடம் கற்றுக்கொள்ளுதல்	நாம் இந்த பாடத்திலிருந்து கற்றுக்கொள்ள வேண்டும்.
吸收	உறிஞ்சுதல்	செடிகள் நீரை உறிஞ்சுகின்றன.
戏剧	நாடகம்	அவர் பாரம்பரிய நாடகம் பார்க்க விரும்புகிறார்.
系	துறை	அவள் சீன மொழித் துறையில் படிக்கிறாள்.
系统	அமைப்பு	இந்த அமைப்பு நிலையாக இயங்குகிறது.
细节	விவரங்கள்	தயவு செய்து இந்த விவரங்களுக்கு கவனம் செலுத்துங்கள்.
瞎	கண்மூடித்தனமாக	கண்மூடித்தனமாக ஊகிக்காதே; முதலில் பொருட்களைப் பாருங்கள்.
下载	பதிவிறக்குதல்	நான் இந்த மென்பொருளை பதிவிறக்கம் செய்தேன்.
吓	பயமுறுத்துதல்	திடீர் சத்தம் என்னை பயமுறுத்தியது.
夏令营	கோடை முகாம்	குழந்தை சீன மொழி கோடை முகாமில் கலந்து கொண்டது.
鲜艳	ஒளிரும் நிறமுள்ள	இந்த பாவாடையின் நிறம் மிகவும் ஒளிர்வானது.
显得	தோன்றச் செய்தல்	இந்த ஆடை அவரை மிகவும் இளமையாகத் தோன்றச் செய்கிறது.
显然	வெளிப்படையாக	வெளிப்படையாக, அவர் ஏற்கனவே முடிவை அறிந்திருக்கிறார்.
显示	காட்டுதல்	திரை தவறான நேரத்தை காட்டுகிறது.
县	மாவட்டம்	இந்த மாவட்டத்தில் பல தேயிலைத் தோட்டங்கள் உள்ளன.
现代	நவீன	நவீன வாழ்க்கையை இணையத்திலிருந்து பிரிக்க முடியாது.
现实	யதார்த்தம்	நாம் யதார்த்தத்தை எதிர்கொள்ள வேண்டும்.
现象	நிகழ்வு	இந்த நிகழ்வு மிகவும் பொதுவானது.
限制	கட்டுப்படுத்துதல்	இங்கே வாகன நுழைவு கட்டுப்படுத்தப்பட்டுள்ளது.
相处	ஒத்துப் பழகுதல்	அவர்கள் மிகவும் நன்றாக ஒத்துப் பழகுகிறார்கள்.
相当	மிகவும்	இந்த புத்தகம் மிகவும் சுவாரஸ்யமானது.
相对	ஒப்பீட்டளவில்	இங்குள்ள விலைகள் ஒப்பீட்டளவில் மலிவானவை.
相关	தொடர்புடைய	தயவு செய்து தொடர்புடைய பொருட்களை வழங்குங்கள்.
相似	ஒத்த	இந்த இரண்டு எழுத்துகளின் அர்த்தங்கள் மிகவும் ஒத்தவை.
香肠	சாசேஜ்	காலை உணவிற்கு முட்டையும் சாசேஜும் உள்ளன.
享受	ரசித்தல்	அவர்கள் விடுமுறையை ரசிக்கிறார்கள்.
想念	நினைத்துக் கவலைப்படுதல்	எனக்கு என் குடும்பம் மிகவும் நினைவில் வருகிறது.
想象	கற்பனை செய்தல்	அப்படிப்பட்ட வாழ்க்கையை நான் கற்பனை செய்ய முடியாது.
象棋	சீன சதுரங்கம்	தாத்தாவுக்கு சீன சதுரங்கம் விளையாடுவது பிடிக்கும்.
象征	குறியீடு	வெள்ளை நிறம் பெரும்பாலும் தூய்மையை குறிக்கிறது.
项	பணி	இந்த பணி மிகவும் முக்கியமானது.
项链	மாலை	அவள் வெள்ளி மாலை அணிந்திருக்கிறாள்.
项目	திட்டம்	இந்த திட்டத்திற்கு மூன்று மாதங்கள் தேவை.
消费	நுகர்வு	விடுமுறைக் காலத்தில் நுகர்வு அதிகரித்தது.
消化	செரிமானம்	உணவுக்குப் பிறகு நடப்பது செரிமானத்திற்கு உதவும்.
消极	எதிர்மறையான	பிரச்சினைகளை எதிர்மறையான மனப்பாங்குடன் பார்க்காதே.
消失	மறைதல்	சூரியன் மலைக்குப் பின்னால் மெதுவாக மறைந்தது.
销售	விற்பனை செய்தல்	இந்த நிறுவனம் மின்னணு பொருட்களை விற்பனை செய்கிறது.
小麦	கோதுமை	வடக்கில் நிறைய கோதுமை பயிரிடப்படுகிறது.
小气	கஞ்சத்தனமான	இவ்வளவு கஞ்சத்தனமாக இருக்காதே.
孝顺	பெற்றோர்க்கு பணிவான	அவர் பெற்றோரிடம் மிகவும் பணிவாக இருக்கிறார்.
效率	திறன்	இவ்வாறு செய்வது திறனை மேம்படுத்தும்.
歇	ஓய்வெடுத்தல்	முதலில் நாம் சிறிது நேரம் ஓய்வெடுப்போம்.
斜	சாய்ந்த	இந்த சாலை கொஞ்சம் சாய்ந்துள்ளது.
写作	எழுத்துப்பணி	எழுத்துப்பணிக்கு நீண்டகாலப் பயிற்சி தேவை.
心理	மனநிலை	தேர்வுக்கு முன் உங்கள் மனநிலையை சரிசெய்ய வேண்டும்.
心脏	இதயம்	இதய ஆரோக்கியம் மிகவும் முக்கியமானது.
欣赏	ரசித்தல்	நாங்கள் அழகான காட்சியை ரசித்தோம்.
信号	சிக்னல்	இங்கே கைப்பேசி சிக்னல் மோசமாக உள்ளது.
信任	நம்பிக்கை	நண்பர்களுக்கிடையே நம்பிக்கை தேவை.
形成	உருவாகுதல்	நல்ல பழக்கங்கள் மெதுவாக உருவாக வேண்டும்.
形容	விவரித்தல்	இந்த உணர்வை எப்படி விவரிப்பது என்று எனக்கு தெரியவில்லை.
形势	நிலைமை	தற்போதைய நிலைமை ஒப்பீட்டளவில் சிக்கலானது.
形式	வடிவம்	கூட்டம் இணைய வடிவில் நடக்கலாம்.
形象	பிம்பம்	அவரது பொது பிம்பம் மிகவும் நல்லது.
形状	வடிவம்	இந்த பெட்டியின் வடிவம் மிகவும் சிறப்பு வாய்ந்தது.
行动	நடவடிக்கை	நாம் உடனடியாக நடவடிக்கை எடுக்க வேண்டும்.
行人	பாதசாரி	சாலையை கடக்கும்போது பாதசாரிகளை கவனியுங்கள்.
行为	நடத்தை	இந்த வகை நடத்தை மரியாதையற்றது.
幸亏	அதிர்ஷ்டவசமாக	அதிர்ஷ்டவசமாக, நீ எனக்கு நினைவூட்டினாய்.
幸运	அதிர்ஷ்டமான	வேலை கிடைத்தது அவருக்கு அதிர்ஷ்டமாக இருந்தது.
性质	தன்மை	இந்த பிரச்சினையின் தன்மை மிகவும் கடுமையானது.
兄弟	சகோதரர்கள்	இரு சகோதரர்களுக்கும் நல்ல உறவு உள்ளது.
胸	மார்பு	அவருக்கு மார்பில் கொஞ்சம் இறுக்கமாக உள்ளது.
休闲	ஓய்வு	வார இறுதி ஓய்வுக்கு நல்ல நேரம்.
修改	திருத்துதல்	தயவு செய்து இந்த கட்டுரையை திருத்துங்கள்.
虚心	தாழ்மையான	நாம் தாழ்மையாக கருத்துகளை கேட்க வேண்டும்.
叙述	விவரித்துச் சொல்லுதல்	அவர் நடந்ததை தெளிவாக விவரித்துச் சொன்னார்.
宣布	அறிவித்தல்	பள்ளி புதிய விதிகளை அறிவித்தது.
宣传	பிரசாரம் செய்தல்	அவர்கள் சுற்றுச்சூழல் பாதுகாப்பு அறிவை பிரசாரம் செய்கிறார்கள்.
学历	கல்வித் தகுதி	இந்த வேலைக்கு இளங்கலை கல்வித் தகுதி தேவை.
学术	கல்விசார்	இந்த கூட்டம் கல்விசார் பிரச்சினைகளை விவாதிக்கிறது.
学问	அறிவு	அவருக்கு மிகுந்த அறிவு உள்ளது.
血	ரத்தம்	அவரது கையில் கொஞ்சம் ரத்தம் வந்தது.
寻找	தேடுதல்	நாம் புதிய முறையைத் தேடுகிறோம்.
询问	விசாரித்தல்	அவர் தேர்வு நேரத்தை ஆசிரியரிடம் விசாரித்தார்.
训练	பயிற்சி	விளையாட்டு வீரர் தினமும் பயிற்சி செய்கிறார்.
迅速	விரைவான	செய்தி விரைவாகப் பரவியது.
押金	வைப்புத்தொகை	இடம் வாடகைக்கு எடுக்க வைப்புத்தொகை செலுத்த வேண்டும்.
牙齿	பற்கள்	தயவு செய்து தினமும் உங்கள் பற்களை நன்றாக பராமரியுங்கள்.
严肃	கடுமையான	ஆசிரியரின் முகபாவனை மிகவும் கடுமையாக உள்ளது.
延长	நீட்டித்தல்	கூட்டம் அரை மணி நேரம் நீட்டிக்கப்பட்டது.
演讲	உரை	அவர் நாளைய உரைக்குத் தயாராகிறார்.
宴会	விருந்து	அவர்கள் ஒரு விருந்தில் கலந்து கொண்டனர்.
阳台	பால்கனி	பால்கனியில் சில மலர் தொட்டிகள் உள்ளன.
痒	அரிப்பு	என் கையில் கொஞ்சம் அரிப்பு உள்ளது.
样式	பாணி	இந்த பாணி மிகவும் பிரபலமாக உள்ளது.
腰	இடுப்பு	நீண்ட நேரம் உட்கார்ந்தால் இடுப்பு வலிக்கலாம்.
摇	அசைத்தல்	காற்று கிளைகளை முன்னும் பின்னும் அசைத்தது.
咬	கடித்தல்	இந்த நாய் மனிதர்களை கடிக்காது.
要不	இல்லையெனில்	நாம் நாளை மீண்டும் போகலாமா?
业务	வணிகச் செயல்பாடு	நிறுவனத்தின் வணிகச் செயல்பாடு வளர்ந்து வருகிறது.
业余	ஓய்வு நேரத்தில்	அவர் ஓய்வு நேரத்தில் புகைப்படக்கலை கற்கிறார்.
夜	இரவு	இரவில் தெரு மிகவும் அமைதியாக உள்ளது.
依然	இன்னும்	அவர் இன்னும் பெய்ஜிங்கில் வசிக்கிறார்.
一辈子	வாழ்நாள் முழுவதும்	அவள் வாழ்நாள் முழுவதும் இசையை நேசித்தாள்.
一旦	ஒருமுறை	ஒருமுறை முடிவு செய்தால் தொடர்ந்து முயற்சிக்க வேண்டும்.
一律	அனைத்தும் ஒரேபோல்	கூட்டத்தின் போது தொலைபேசிகள் அனைத்தும் அணைக்கப்பட வேண்டும்.
一再	மீண்டும் மீண்டும்	பாதுகாப்பில் கவனம் செலுத்துமாறு அவர் எங்களை மீண்டும் மீண்டும் நினைவூட்டினார்.
一致	ஒற்றுமையான	அனைவரின் கருத்துகளும் முற்றிலும் ஒற்றுமையாக உள்ளன.
疑问	சந்தேகம்	இந்த பதிலைப் பற்றி எனக்கு ஒரு சந்தேகம் உள்ளது.
移动	நகர்த்துதல்	தயவு செய்து மேசையை கொஞ்சம் நகர்த்துங்கள்.
移民	குடியேறுதல்	அவர்கள் வெளிநாட்டில் குடியேற திட்டமிட்டுள்ளனர்.
遗憾	வருத்தம்	உன்னை பார்க்க முடியாதது எனக்கு வருத்தமாக உள்ளது.
乙	இரண்டாம் தரப்பு	ஒப்பந்தத்தில் இரண்டாம் தரப்பு பணம் செலுத்துவதற்கு பொறுப்பு.
以及	மற்றும்	நான் புத்தகங்களையும் எழுதுபொருட்களையும் வாங்கினேன்.
以来	முதல்	பட்டம் பெற்றதிலிருந்து அவர் பெய்ஜிங்கில் வேலை செய்து வருகிறார்.
义务	கடமை	சுற்றுச்சூழலை பாதுகாப்பது அனைவரின் கடமை.
亿	நூறு மில்லியன்	இந்த நாட்டின் மக்கள் தொகை ஒரு பில்லியனைத் தாண்டுகிறது.
意外	எதிர்பாராத	இந்த முறை தாமதமானது முற்றிலும் எதிர்பாராதது.
意义	அர்த்தம்	இந்த நிகழ்வுக்கு மிகுந்த அர்த்தம் உள்ளது.
议论	விவாதித்தல்	அனைவரும் இந்த விஷயத்தை விவாதிக்கிறார்கள்.
因而	ஆகையால்	அவர் கடினமாகப் படிக்கிறார், ஆகையால் மதிப்பெண்கள் நல்லவை.
因素	காரணி	வானிலை ஒரு முக்கியமான காரணி.
银	வெள்ளி	அவள் வெள்ளி வளையல் அணிந்திருக்கிறாள்.
印刷	அச்சிடுதல்	இந்த புத்தகம் மிகவும் தெளிவாக அச்சிடப்பட்டுள்ளது.
英俊	அழகான	அவர் மிகவும் அழகானவர்.
英雄	வீரன்	தீயணைப்பு வீரர்கள் உண்மையான வீரர்கள்.
营养	ஊட்டச்சத்து	காலை உணவில் போதுமான ஊட்டச்சத்து இருக்க வேண்டும்.
营业	வணிகம் தொடங்குதல்	இந்த கடை ஒன்பது மணிக்கு வணிகம் தொடங்குகிறது.
迎接	வரவேற்றல்	விருந்தினர்களை வரவேற்க நாங்கள் விமான நிலையத்திற்குச் சென்றோம்.
影子	நிழல்	அவரது நிழல் தெருவிளக்கின் கீழ் உள்ளது.
应付	சமாளித்தல்	அவர் இந்த பிரச்சினையை சமாளிக்க முடியும்.
应用	பயன்படுத்துதல்	இந்த முறையை கற்பித்தலில் பயன்படுத்தலாம்.
硬	கடினமான	இந்த நாற்காலி மிகவும் கடினமாக உள்ளது.
硬件	வன்பொருள்	இந்த கணினியின் வன்பொருள் நன்றாக உள்ளது.
拥抱	அணைத்துக் கொள்ளுதல்	குழந்தை அம்மாவை அணைத்துக் கொள்ள ஓடிவந்தது.
拥挤	நெரிசலான	காலை உச்சநேரத்தில் மெட்ரோ மிகவும் நெரிசலாக இருக்கும்.
勇气	தைரியம்	தன் தவறை ஒப்புக்கொள்ள அவருக்கு தைரியம் உள்ளது.
用功	முயற்சியுடன் படித்தல்	அவள் மிகவும் முயற்சியுடன் படிக்கிறாள்.
用途	பயன்பாடு	இந்த பொருளுக்கு பல பயன்பாடுகள் உள்ளன.
优惠	தள்ளுபடி	இந்த கடையில் இன்று தள்ளுபடி உள்ளது.
优美	அழகிய	இங்குள்ள சூழல் மிகவும் அழகியது.
优势	நன்மை	அவரது நன்மை மிகுந்த அனுபவம்.
悠久	நீண்டகாலமான	சீனாவுக்கு நீண்டகாலமான வரலாறு உள்ளது.
油炸	எண்ணெயில் பொரித்தல்	நான் எண்ணெயில் பொரித்த உணவை அரிதாகவே சாப்பிடுவேன்.
游览	சுற்றிப் பார்தல்	நாங்கள் நாளை தடைசெய்யப்பட்ட நகரத்தை சுற்றிப் பார்ப்போம்.
犹豫	தயங்குதல்	பதில் அளிப்பதற்கு முன் அவர் சிறிது நேரம் தயங்கினார்.
有利	சாதகமான	இந்த நிபந்தனை எங்களுக்கு சாதகமானது.
幼儿园	மழலையர் பள்ளி	குழந்தை அடுத்த ஆண்டு மழலையர் பள்ளிக்கு செல்லும்.
娱乐	பொழுதுபோக்கு	திரைப்படம் பார்ப்பது ஒரு வகை பொழுதுபோக்கு.
与其	விட	புலம்புவதைக் காட்டிலும் நடவடிக்கை எடுப்பது நல்லது.
语气	பேச்சுத் தொனி	அவரது பேச்சுத் தொனி மிகவும் மென்மையானது.
玉米	சோளம்	இரவு உணவிற்கு சோள சூப் உள்ளது.
预报	முன்னறிவிப்பு	நாளை மழை பெய்யும் என்று வானிலை முன்னறிவிப்பு கூறுகிறது.
预订	முன்பதிவு செய்தல்	நான் ஏற்கனவே விடுதியை முன்பதிவு செய்துள்ளேன்.
预防	தடுப்பது	அடிக்கடி கைகளை கழுவுவது சளியைத் தடுக்கும்.
元旦	புத்தாண்டு நாள்	புத்தாண்டு நாளில் எங்களுக்கு ஒரு நாள் விடுமுறை.
原料	மூலப்பொருள்	ரொட்டியின் முக்கிய மூலப்பொருள் மாவு.
原则	கொள்கை	ஒருவருக்கு கொள்கைகள் இருக்க வேண்டும்.
员工	பணியாளர்	நிறுவனத்தில் மூன்றுநூறு பணியாளர்கள் உள்ளனர்.
圆	வட்டமான	நிலா பெரியதாகவும் வட்டமாகவும் உள்ளது.
愿望	விருப்பம்	உலகம் முழுவதும் பயணம் செய்வதே அவரது விருப்பம்.
乐器	இசைக்கருவி	அவளால் பல இசைக்கருவிகளை வாசிக்க முடியும்.
晕	தலைசுற்றல்	படகில் செல்லும்போது எனக்கு கொஞ்சம் தலைசுற்றுகிறது.
运气	அதிர்ஷ்டம்	இன்று என் அதிர்ஷ்டம் நல்லது.
运输	போக்குவரத்து	இந்த சரக்குகளுக்கு ரயில் போக்குவரத்து தேவை.
运用	பயன்படுத்துதல்	தயவு செய்து இந்த சொற்களை நெகிழ்வாகப் பயன்படுத்துங்கள்.
灾害	பேரழிவு	வெள்ளம் ஒரு வகை இயற்கை பேரழிவு.
再三	மீண்டும் மீண்டும்	ஆசிரியர் மீண்டும் மீண்டும் மறுபார்வை செய்ய நினைவூட்டினார்.
在乎	கவலைப்படுதல்	அவர் நண்பர்களின் கருத்துகளை மிகவும் கவலைப்படுகிறார்.
在于	சார்ந்துள்ளது	வெற்றி விடாமுயற்சியில்தான் சார்ந்துள்ளது.
赞成	ஒப்புதல்	உங்கள் பரிந்துரைக்கு நான் ஒப்புக்கொள்கிறேன்.
赞美	பாராட்டுதல்	அவளுடைய தைரியத்தை அனைவரும் பாராட்டினர்.
糟糕	மோசமான	இன்றைய வானிலை உண்மையிலேயே மோசமாக உள்ளது.
造成	ஏற்படுத்துதல்	கனமழை போக்குவரத்து நெரிசலை ஏற்படுத்தியது.
则	அப்படியானால்	ஒருவர் கடினமாக உழைத்தால், முன்னேற்றம் இருக்கும்.
责备	குற்றம் சொல்வது	ஆசிரியர் அவரை குற்றம் சொல்லவில்லை.
摘	பறித்தல்	அவள் தோட்டத்தில் ஒரு மலரைப் பறித்தாள்.
窄	குறுகிய	இந்த சாலை மிகவும் குறுகியது.
粘贴	ஒட்டுதல்	தயவு செய்து புகைப்படத்தை இங்கே ஒட்டுங்கள்.
展开	தொடங்குதல்	விவாதம் விரைவாகத் தொடங்கியது.
展览	கண்காட்சி	அருங்காட்சியகத்தில் புதிய கண்காட்சி உள்ளது.
占	இடம் பிடித்தல்	இந்த மேசை இடம் பிடிக்கிறது.
战争	போர்	போர் மக்களுக்கு துன்பத்தை தருகிறது.
掌握	கைத்தேர்தல்	அவர் ஏற்கனவே அடிப்படை இலக்கணத்தில் கைத்தேர்ந்துள்ளார்.
涨	உயர்தல்	சமீபத்தில் வாடகை மீண்டும் உயர்ந்துள்ளது.
长辈	மூத்தோர்	புத்தாண்டில் மூத்தோருக்கு வாழ்த்து சொல்ல வேண்டும்.
账户	கணக்கு	தயவு செய்து உங்கள் வங்கி கணக்கைச் சரிபாருங்கள்.
招待	விருந்தோம்புதல்	வீட்டையாளர் விருந்தினர்களை அன்புடன் விருந்தோம்பினார்.
着火	தீப்பற்றுதல்	சமையலறையில் திடீரென தீப்பற்றியது.
着凉	சளி பிடித்தல்	குளிராக உள்ளது, சளி பிடிக்காதபடி பார்த்துக்கொள்ளுங்கள்.
召开	கூட்டம் நடத்துதல்	பள்ளி நாளை கூட்டம் நடத்தும்.
照常	வழக்கம்போல்	கடை நாளை வழக்கம்போல் திறக்கும்.
哲学	தத்துவம்	அவர் பல்கலைக்கழகத்தில் தத்துவம் படித்தார்.
珍惜	மதித்துப் பாதுகாத்தல்	நாம் நேரத்தை மதித்துப் பாதுகாக்க வேண்டும்.
真实	உண்மையான	இந்த கதை உண்மையானது.
针对	நோக்கமாகக் கொண்ட	இந்த பரிந்துரை புதிய மாணவர்களை நோக்கமாகக் கொண்டது.
诊断	நோயறிதல்	மருத்துவர் விரைவாக நோயறிதல் செய்தார்.
振动	அதிர்வு	தொலைபேசி மேசையின் மீது அதிர்கிறது.
阵	சிறு மழை	வெளியில் சிறு மழை பெய்தது.
争论	விவாதித்தல்	அவர்கள் இந்த பிரச்சினையை நீண்ட நேரம் விவாதித்தனர்.
争取	முயன்று பெறுதல்	நாம் மேலும் வாய்ப்புகளை முயன்று பெற வேண்டும்.
征求	கருத்து கேட்குதல்	ஆசிரியர் அனைவரிடமும் கருத்து கேட்டார்.
挣	விடுபடப் போராடுதல்	பறவை கயிற்றிலிருந்து விடுபடப் போராடியது.
睁	கண் திறத்தல்	தயவு செய்து கண்களை கொஞ்சம் பெரிதாகத் திறக்கவும்.
整个	முழு	முழு நகரமும் மிகவும் அமைதியாக உள்ளது.
整齐	ஒழுங்கான	புத்தகங்கள் மிகவும் ஒழுங்காக அடுக்கப்பட்டுள்ளன.
整体	மொத்த	நாம் மொத்த விளைவை கருத்தில் கொள்ள வேண்டும்.
政府	அரசு	அரசு புதிய அறிவிப்பை வெளியிட்டது.
政治	அரசியல்	அவருக்கு அரசியலில் அதிக ஆர்வம் உள்ளது.
正	சரி	இந்த பதில் சரியானது.
证件	அடையாள ஆவணம்	தயவு செய்து உங்கள் அடையாள ஆவணத்தை காட்டுங்கள்.
证据	ஆதாரம்	காவல்துறை புதிய ஆதாரத்தை கண்டுபிடித்தது.
支	நீளமான பொருட்களுக்கான எண்ணுச்சொல்	மேசையின் மீது ஒரு பேனா உள்ளது.
支票	காசோலை	அவர் காசோலையால் பணம் செலுத்தினார்.
执照	உரிமம்	வாகனம் ஓட்ட ஓட்டுநர் உரிமம் தேவை.
直	நேராக	இந்த சாலையில் நேராக முன்னே செல்லுங்கள்.
指导	வழிகாட்டுதல்	ஆசிரியர் ஆய்வுக்கட்டுரை எழுத எங்களுக்கு வழிகாட்டினார்.
指挥	வழிநடத்துதல்	இந்த நடவடிக்கையை வழிநடத்துவது அவரது பொறுப்பு.
制定	உருவாக்குதல்	நிறுவனம் புதிய திட்டத்தை உருவாக்கியது.
制度	அமைப்பு முறை	பள்ளியில் கடுமையான அமைப்பு முறை உள்ளது.
制造	உற்பத்தி செய்தல்	இந்த தொழிற்சாலை இயந்திரங்களை உற்பத்தி செய்கிறது.
制作	செய்தல்	அவள் பிறந்தநாள் கேக் செய்கிறாள்.
志愿者	தன்னார்வலர்	பல தன்னார்வலர்கள் நிகழ்ச்சியில் சேர்ந்தனர்.
智慧	ஞானம்	இந்த முதியவருக்கு மிகுந்த ஞானம் உள்ளது.
治疗	சிகிச்சை அளித்தல்	மருத்துவர் நோயாளிக்கு சிகிச்சை அளிக்கிறார்.
秩序	ஒழுங்கு	தயவு செய்து ஒழுங்கை காக்கவும்.
至今	இதுவரை	இந்த பிரச்சினை இதுவரை தீர்க்கப்படவில்லை.
至于	பொறுத்தவரை	செலவைப் பொறுத்தவரை, அதை நாளை விவாதிப்போம்.
中介	முகவர் நிறுவனம்	அவர் முகவர் நிறுவனம் மூலம் குடியிருப்பை வாடகைக்கு எடுத்தார்.
中心	மையம்	மருத்துவமனை நகர மையத்தில் உள்ளது.
中旬	மாத நடுப்பகுதி	கூட்டம் மே மாத நடுப்பகுதிக்கு திட்டமிடப்பட்டுள்ளது.
种类	வகை	இங்கே பல வகை பழங்கள் உள்ளன.
重大	முக்கியமான	இது ஒரு முக்கியமான முடிவு.
重量	எடை	இந்த பெட்டியின் எடை எவ்வளவு?
周到	கவனமான	அவரது சேவை மிகவும் கவனமானது.
猪	பன்றி	பண்ணையில் பல பன்றிகள் உள்ளன.
竹子	மூங்கில்	பாண்டாக்களுக்கு மூங்கில் சாப்பிடுவது பிடிக்கும்.
逐步	படிப்படியாக	திட்டம் படிப்படியாக செயல்படுத்தப்படும்.
逐渐	மெல்ல மெல்ல	வானிலை மெல்ல மெல்ல குளிர்ந்தது.
主持	நடத்துதல்	இன்றைய கூட்டத்தை அவள் நடத்துகிறாள்.
主动	முன்வந்து	அவர் முன்வந்து வகுப்புத்தோழருக்கு உதவினார்.
主观	தனிப்பட்ட பார்வையுள்ள	இந்த மதிப்பீடு கொஞ்சம் தனிப்பட்ட பார்வையுள்ளது.
主人	வீட்டையாளர்	வீட்டையாளர் எங்களை அன்புடன் வரவேற்றார்.
主任	இயக்குநர்	இயக்குநர் அலுவலகத்தில் இருக்கிறார்.
主题	தலைப்பு	இன்றைய விவாதத்தின் தலைப்பு சுற்றுச்சூழல் பாதுகாப்பு.
主席	தலைவர்	தலைவர் கூட்டம் தொடங்குவதாக அறிவித்தார்.
主张	வலியுறுத்துதல்	போக்குவரத்து பிரச்சினையை முதலில் தீர்க்க வேண்டும் என்று அவர் வலியுறுத்துகிறார்.
煮	சமைத்தல்	அம்மா நூடுல்ஸ் சமைக்கிறார்.
注册	பதிவு செய்தல்	புதிய பயனர்கள் முதலில் பதிவு செய்ய வேண்டும்.
祝福	வாழ்த்து	நண்பர்கள் வாழ்த்துகளை அனுப்பினர்.
抓	பிடித்தல்	குழந்தை அம்மாவின் கையைப் பிடித்தது.
抓紧	நன்றாகப் பயன்படுத்துதல்	நாம் நேரத்தை நன்றாகப் பயன்படுத்த வேண்டும்.
专家	நிபுணர்	நிபுணர் பரிந்துரைகள் அளித்தார்.
专心	கவனமாக	வகுப்பில் நீங்கள் கவனமாகக் கேட்க வேண்டும்.
转变	மாறுதல்	அவரது மனப்பாங்கு மாறியது.
转告	செய்தி தெரிவித்தல்	நாளை கூட்டம் இருப்பதாக தயவு செய்து அவரிடம் தெரிவியுங்கள்.
装	உள்ளே வைப்பது	தயவு செய்து புத்தகங்களை பையில் வையுங்கள்.
装饰	அலங்கரித்தல்	அவர்கள் அறையை மலர்களால் அலங்கரித்தனர்.
装修	புதுப்பித்தல்	புதிய வீடு புதுப்பிக்கப்படுகிறது.
撞	மோதுதல்	சந்திப்பில் இரண்டு கார்கள் மோதின.
状况	நிலைமை	தற்போதைய நிலைமை ஒப்பீட்டளவில் நிலையாக உள்ளது.
状态	நிலை	அவர் இன்று நல்ல நிலையில் இருக்கிறார்.
追	துரத்துதல்	குழந்தை நாய்க்குட்டியை பின்னால் இருந்து துரத்துகிறது.
追求	பின்தொடர்ந்து அடைய முயற்சித்தல்	அவர் எப்போதும் தனது கனவை அடைய முயன்றுள்ளார்.
咨询	ஆலோசனை கேட்குதல்	நீங்கள் தொழில்முறை மருத்துவரிடம் ஆலோசனை கேட்கலாம்.
姿势	உடல் நிலை	தயவு செய்து சரியான உடல் நிலையை வைத்திருங்கள்.
资格	தகுதி	போட்டியில் கலந்து கொள்ள அவருக்கு தகுதி உள்ளது.
资金	நிதி	திட்டத்திற்கு மேலும் நிதி தேவை.
资料	பொருட்கள்	தயவு செய்து பொருட்களை எனக்கு அனுப்புங்கள்.
资源	வளம்	நீர் ஒரு முக்கியமான இயற்கை வளம்.
紫	ஊதா	அவளுக்கு ஊதா நிறம் பிடிக்கும்.
字母	எழுத்து	ஆங்கிலத்தில் இருபத்தாறு எழுத்துகள் உள்ளன.
字幕	வரிகள்	இந்த திரைப்படத்தில் சீன வரிகள் உள்ளன.
自从	முதல்	பட்டம் பெற்றதிலிருந்து அவர் அரிதாகவே திரும்பி வருகிறார்.
