simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
仍然	még mindig; továbbra is	Ma még mindig jó az idő.	încă; totuși	Astăzi vremea este încă bună.	все още; продължавам да	Днес времето все още е хубаво.	još uvijek; i dalje	Danas je još uvijek lijepo vrijeme.
日记	napló	A lányom rászokott arra, hogy mindennap naplót írjon.	jurnal	Fiica mea și-a format obiceiul de a scrie jurnal în fiecare zi.	дневник	Дъщеря ми си създаде навик всеки ден да пише дневник.	dnevnik	Kći je stekla naviku pisati dnevnik svaki dan.
入口	bejárat	Az épület bejáratánál várlak.	o intrare	Te aștept la intrarea clădirii.	вход	Ще те чакам на входа на сградата.	ulaz	Čekam te na ulazu u zgradu.
散步	sétálni; sétát tenni	Séta közben a kiskutya végig mögöttem jött.	a se plimba	Cățelul m-a urmat tot timpul în timpul plimbării.	разхождам се	Докато се разхождах, кученцето вървеше все след мен.	šetati; prošetati se	Tijekom šetnje štene me stalno pratilo.
森林	erdő	Ez az erdő nagyon nagy.	pădure	Această pădure este foarte mare.	гора	Тази гора е много голяма.	šuma	Ova je šuma vrlo velika.
沙发	kanapé	Kérem, üljön le egy kicsit a kanapéra, én töltök önnek egy csésze teát.	o canapea	Vă rog să stați puțin pe canapea, eu vă torn o ceașcă de ceai.	диван	Моля, седнете за малко на дивана, аз ще ви налея чаша чай.	kauč	Molim vas, sjednite malo na kauč, ja ću vam natočiti šalicu čaja.
伤心	szomorú; megsértett	A hír hallatán nagyon szomorú lettem.	a fi trist; a fi rănit	După ce am auzit vestea, am fost foarte trist.	тъжен; наранен	След като чух тази новина, много се натъжих.	tužan; povrijeđen	Nakon što sam čuo vijest, bio sam vrlo tužan.
商量	megbeszélni; tanácskozni	Épp jókor jöttél, beszéljük meg.	a discuta; a se consulta	Ai venit la fix, hai să discutăm.	обсъждам; съветвам се	Дойде точно навреме, нека го обсъдим.	raspraviti; dogovoriti se	Došao si baš na vrijeme, hajdemo to raspraviti.
稍微	egy kicsit	Egy kis figyelmetlenség is hibához vezethet.	puțin; un pic	Puțină neatenție poate duce la greșeli.	малко; леко	Дори малко невнимание може да доведе до грешки.	malo; donekle	Malo nepažnje može dovesti do pogrešaka.
勺子	kanál	Elnézést, leejtettem a kanalat a földre.	o lingură	Îmi pare rău, am scăpat lingura pe jos.	лъжица	Извинявайте, изпуснах лъжицата на земята.	žlica	Oprostite, ispustio sam žlicu na pod.
社会	társadalom	Ezek a társadalmi problémák mindenkit nagyon foglalkoztatnak.	societate	Toată lumea este foarte preocupată de aceste probleme sociale.	общество	Всички са много загрижени за тези обществени проблеми.	društvo	Svi su vrlo zabrinuti zbog ovih društvenih problema.
深	mély; késői; alapos	Nagyon mély barátság van közöttünk.	adânc; profund	Între noi există o prietenie profundă.	дълбок; късен	Между нас има дълбоко приятелство.	dubok; kasan	Među nama postoji duboko prijateljstvo.
申请	jelentkezni; kérvényezni; kérelem	Hitelkártyát igényeltem a banknál.	a solicita; cerere	Am solicitat un card de credit la bancă.	кандидатствам; заявление	Подадох заявление в банката за кредитна карта.	podnijeti zahtjev; prijava	Podnio sam zahtjev za kreditnu karticu u banci.
甚至	sőt; olyannyira, hogy	Mindenki nagyon jól szórakozott, sőt az időről is megfeledkezett.	chiar; până și	Toată lumea s-a distrat atât de bine încât a uitat chiar și de timp.	дори; чак до там, че	Всички се забавляваха много и дори забравиха времето.	čak; štoviše	Svi su se jako dobro zabavili i čak zaboravili na vrijeme.
生活	élet; élni	Az életben mindig találkozunk valamilyen gonddal.	viață; a trăi	În viață întâlnim mereu unele griji.	живот; живея	В живота винаги се срещат някакви тревоги.	život; živjeti	U životu se uvijek susretnu neke brige.
生命	élet	A művészetet a saját életénél is fontosabbnak tartotta.	viață	El considera arta mai importantă decât propria viață.	живот	Той смяташе изкуството за по-важно от собствения си живот.	život	Umjetnost je smatrao važnijom od vlastitog života.
生意	üzlet; vállalkozás	Az üzlete egyre nagyobb lett.	afacere; comerț	Afacerea lui devine tot mai mare.	бизнес; търговия	Бизнесът му става все по-голям.	posao; trgovina	Njegov posao postaje sve veći.
省	tartomány	Shandong tartományból származom.	provincie	Eu vin din provincia Shandong.	провинция	Аз съм от провинция Шандун.	pokrajina	Dolazim iz pokrajine Shandong.
剩	maradni; megmaradni	Csak két alma maradt.	a rămâne	Au mai rămas doar două mere.	оставам; остава	Останаха само две ябълки.	ostati	Preostale su samo dvije jabuke.
失败	kudarc; elbukni	Bár sok kudarcot éltem át, soha nem adom fel.	eșec; a eșua	Deși am trecut prin multe eșecuri, nu renunț niciodată.	провал; провалям се	Въпреки че преживях много провали, никога не се отказвам.	neuspjeh; ne uspjeti	Iako sam doživio mnogo neuspjeha, nikada ne odustajem.
失望	csalódott; elveszíteni a reményt	Nagyon csalódott vagyok benne.	dezamăgit; a-și pierde speranța	Sunt foarte dezamăgit de el.	разочарован; губя надежда	Много съм разочарован от него.	razočaran; izgubiti nadu	Jako sam razočaran njime.
师傅	mester; megszólítás	Mester, merre kell menni a mozihoz?	maestru; domnule	Mă scuzați, cum ajung la cinema?	майстор; уважително обръщение	Извинете, майсторе, как да стигна до киното?	majstor; gospodine	Majstore, kako mogu doći do kina?
十分	nagyon; rendkívül	Nagyon gondosan dolgozik.	foarte; extrem de	Ea face lucrurile foarte atent.	много; извънредно	Тя върши нещата много внимателно.	vrlo; iznimno	Ona radi stvari vrlo pažljivo.
实际	valós; gyakorlati	Egy gyakorlati példával magyarázta el ezt a problémát.	real; practic	A folosit un exemplu practic ca să explice această problemă.	реален; практически	Той използва практически пример, за да обясни този проблем.	stvaran; praktičan	Upotrijebio je praktičan primjer da objasni ovaj problem.
实在	valóban; tényleg	Tényleg nagyon fáradt vagyok.	într-adevăr; chiar	Sunt chiar foarte obosit.	наистина; действително	Наистина съм много уморен.	stvarno; zaista	Stvarno sam jako umoran.
使	okozni; tenni	A szavai nagyon meghatottak.	a face; a cauza	Cuvintele lui m-au emoționat foarte mult.	карам; причинявам	Думите му много ме трогнаха.	učiniti; izazvati	Njegove su me riječi jako dirnule.
使用	használni; alkalmazni	A kínaiak általában pálcikát használnak evéshez.	a folosi; a utiliza	Chinezii folosesc de obicei bețișoare când mănâncă.	използвам; употребявам	Китайците обикновено използват клечки за хранене.	koristiti; upotrebljavati	Kinezi uglavnom koriste štapiće za jelo.
世纪	évszázad	Most már a huszonegyedik század van.	secol	Acum este secolul douăzeci și unu.	век	Сега вече е двадесет и първи век.	stoljeće	Sada je dvadeset i prvo stoljeće.
是否	vajon; hogy vajon	Még nem vagyok biztos benne, hogy el tud-e jönni.	dacă; oare	Nu sunt încă prea sigur dacă poate veni.	дали	Още не съм много сигурен дали той може да дойде.	hoće li; je li	Još nisam sasvim siguran može li doći.
适合	megfelelni; illeni valakinek	A zöld ruha nem igazán áll jól nekem.	a se potrivi; a fi potrivit	Hainele verzi nu mi se potrivesc prea bine.	подхождам; подходящ съм	Зелените дрехи не ми подхождат особено.	pristajati; odgovarati	Zelena odjeća mi baš ne pristaje.
适应	alkalmazkodni; hozzászokni	Hozzá tudsz szokni az északi éghajlathoz?	a se adapta; a se obișnui	Te poți adapta la clima din nord?	приспособявам се; свиквам	Можеш ли да се приспособиш към северния климат?	prilagoditi se; naviknuti se	Možeš li se prilagoditi sjevernoj klimi?
收	kapni; elfogadni; összegyűjteni	Megkaptam a leveledet.	a primi; a accepta; a colecta	Am primit scrisoarea ta.	получавам; приемам; събирам	Получих писмото ти.	primiti; prihvatiti; skupiti	Primio sam tvoje pismo.
收入	jövedelem	A jövedelme magasabb, mint korábban.	venit	Venitul lui este mai mare decât înainte.	доход; приходи	Доходът му е по-висок от преди.	prihod	Njegov je prihod veći nego prije.
收拾	rendet rakni; összepakolni	Éppen a csomagomat pakolom.	a strânge; a face ordine	Îmi fac bagajele.	подреждам; събирам багажа	Събирам си багажа.	pospremiti; spakirati	Spremam svoju prtljagu.
首都	főváros	Kína fővárosa Peking.	capitală	Capitala Chinei este Beijing.	столица	Столицата на Китай е Пекин.	glavni grad	Glavni grad Kine je Peking.
首先	először; mindenekelőtt	Először jól kell pihenni, csak aztán lehet jól dolgozni.	mai întâi; în primul rând	Mai întâi trebuie să te odihnești bine, apoi poți lucra bine.	първо; преди всичко	Първо трябва добре да си починеш, после можеш добре да работиш.	prvo; prije svega	Prvo se treba dobro odmoriti, a zatim se može dobro raditi.
受不了	elviselhetetlen; nem bírni	Túl meleg van, nem bírom.	de nesuportat; a nu suporta	Vremea este prea caldă, nu o suport.	непоносим; не издържам	Времето е твърде горещо, не издържам.	nepodnošljiv; ne moći podnijeti	Vrijeme je prevruće, ne mogu izdržati.
受到	kapni; valamiben részesülni	A regényét jól fogadták az olvasók.	a primi; a fi supus	Romanul lui a fost bine primit de cititori.	получавам; подложен съм на	Романът му беше добре приет от читателите.	dobiti; biti izložen	Njegov je roman dobro prihvaćen među čitateljima.
售货员	eladó	Egy bevásárlóközpontban dolgozom eladóként.	vânzător; vânzătoare	Lucrez ca vânzător într-un mall.	продавач; продавачка	Работя като продавач в търговски център.	prodavač	Radim kao prodavač u trgovačkom centru.
输	veszíteni; kikapni	Ezt a meccset elvesztettük.	a pierde	Am pierdut acest meci.	губя; загубвам	Загубихме този мач.	izgubiti	Izgubili smo ovu utakmicu.
熟悉	ismerős; jól ismerni	Mindnyájukkal nagyon jól ismerjük egymást.	familiar; a cunoaște bine	Îi cunosc foarte bine pe toți.	познат; добре познавам	Много добре ги познавам.	poznat; dobro poznavati	Sve ih dobro poznajem.
数量	mennyiség; szám	A jelentkezők száma nagy.	cantitate; număr	Numărul persoanelor înscrise este mare.	количество; брой	Броят на записалите се е голям.	količina; broj	Broj prijavljenih ljudi je velik.
数字	számjegy; szám	Kérem, írja le világosan a számokat.	număr; cifră	Vă rog să scrieți clar numerele.	цифра; число	Моля, напишете числата ясно.	brojka; broj	Molim vas, jasno napišite brojeve.
帅	jóképű; elegáns	Ma nagyon elegánsan van felöltözve.	frumos; arătos	Astăzi este îmbrăcat foarte arătos.	красив; елегантен	Днес той е облечен много елегантно.	zgodan; elegantan	Danas je vrlo zgodno odjeven.
顺便	mellesleg; út közben	Munka után hazafelé menet vettem néhány zöldséget.	în treacăt; cu ocazia aceasta	În drum spre casă de la serviciu, am cumpărat câteva legume.	между другото; пътьом	На път за вкъщи от работа купих малко зеленчуци.	usput; uzgred	Na putu kući s posla usput sam kupio malo povrća.
顺利	simán; zökkenőmentesen	A mérkőzés simán zajlott.	lin; fără probleme	Meciul a decurs fără probleme.	гладко; успешно	Мачът протече гладко.	glatko; uspješno	Utakmica je prošla glatko.
顺序	sorrend	Kérem, ne keverje össze a sorrendet.	ordine; succesiune	Vă rog să nu încurcați ordinea.	ред; последователност	Моля, не обърквайте реда.	redoslijed; poredak	Molim vas, nemojte pobrkati redoslijed.
说明	elmagyarázni; magyarázat	Elmagyarázta mindenkinek ennek az ügynek az okát.	a explica; explicație	Le-a explicat tuturor motivul acestui lucru.	обяснявам; обяснение	Той обясни на всички причината за това.	objasniti; objašnjenje	Svima je objasnio razlog za to.
硕士	mesterképzés; mesterdiploma	Az egyetemen mesterképzésen tanulok.	master; diplomă de master	Studiez la masterat la universitate.	магистърска степен	Уча магистратура в университета.	magisterij	Studiram na magisteriju na sveučilištu.
死	meghalni; halott	Ez a fa már elpusztult.	a muri; mort	Acest copac este deja mort.	умирам; мъртъв	Това дърво вече е мъртво.	umrijeti; mrtav	Ovo je stablo već mrtvo.
塑料袋	műanyag zacskó	A környezet védelme érdekében kérjük, ne használjon műanyag zacskót.	pungă de plastic	Pentru a proteja mediul, vă rugăm să nu folosiți pungi de plastic.	пластмасова торбичка	За да опазим околната среда, моля, не използвайте пластмасови торбички.	plastična vrećica	Radi zaštite okoliša, molimo nemojte koristiti plastične vrećice.
速度	sebesség	Nagyon gyorsan fut!	viteză	El aleargă foarte repede!	скорост	Той тича наистина бързо!	brzina	On trči jako brzo!
酸	savanyú	A szőlő, amit vettél, egy kicsit savanyú.	acru	Strugurii pe care i-ai cumpărat sunt puțin acri.	кисел	Гроздето, което купи, е малко кисело.	kiseo	Grožđe koje si kupio malo je kiselo.
随便	tetszés szerint; akárhogyan	Kérem, üljetek le, ahová szeretnétek.	după plac; oricum	Vă rog să vă așezați unde doriți.	както желая; произволно	Моля, седнете където искате.	kako želiš; proizvoljno	Molim vas, sjednite gdje god želite.
随着	-val együtt; ahogy	A gazdaság fejlődésével az emberek élete sokat javult.	odată cu; pe măsură ce	Odată cu dezvoltarea economiei, viața oamenilor s-a îmbunătățit mult.	с; заедно с; с развитието на	С развитието на икономиката животът на хората значително се подобри.	s; kako	Uz razvoj gospodarstva, život ljudi se znatno poboljšao.
孙子	unoka; fiúunoka	A nagypapa nagyon szereti az unokáját.	nepot	Bunicul își iubește foarte mult nepotul.	внук	Дядо много обича своя внук.	unuk	Djed jako voli svog unuka.
所有	összes; minden	Mindenki azt gondolta, hogy ő téved.	toți; toate	Toți au crezut că el a greșit.	всички; целият	Всички смятаха, че той не е прав.	svi; sav	Svi su mislili da on nije u pravu.
台	számlálószó gépekre és eszközökre	Ezt a számítógépet most vették.	clasificator pentru aparate	Acest computer a fost cumpărat recent.	класификатор за машини и устройства	Този компютър е купен наскоро.	klasifikator za uređaje	Ovo je računalo nedavno kupljeno.
抬	felemelni; vinni	Bevitték a padot az osztályterembe.	a ridica; a căra	Au cărat banca în sala de clasă.	вдигам; нося	Те занесоха чина в класната стая.	podići; nositi	Odnijeli su klupu u učionicu.
态度	hozzáállás; viselkedés	Az eladó nagyon kedves a vásárlókhoz.	atitudine; manieră	Atitudinea angajatului față de clienți este foarte bună.	отношение; поведение	Отношението на служителя към клиентите е много добро.	stav; odnos	Stav djelatnika prema kupcima vrlo je dobar.
弹钢琴	zongorázni	Négyéves koromban kezdtem zongorázni tanulni.	a cânta la pian	Am început să învăț să cânt la pian la patru ani.	свиря на пиано	Започнах да се уча да свиря на пиано, когато бях на четири.	svirati klavir	Počeo sam učiti svirati klavir kad sam imao četiri godine.
谈	beszélgetni; megbeszélni	Még egy másik dologról is szeretnék beszélni veled.	a discuta; a conversa	Vreau să mai vorbesc cu tine despre încă un lucru.	разговарям; обсъждам	Искам да говоря с теб и за още нещо.	razgovarati; raspraviti	Želim razgovarati s tobom o još jednoj stvari.
汤	leves; húsleves	A leves nem sós, tegyünk még bele egy kis sót.	supă; zeamă	Supa nu este sărată, să mai punem puțină sare.	супа; бульон	Супата не е солена, нека добавим още малко сол.	juha; temeljac	Juha nije slana, dodajmo još malo soli.
糖	cukor; cukorka	Szeretnék enni egy cukorkát.	zahăr; bomboană	Vreau să mănânc o bomboană.	захар; бонбон	Искам да изям един бонбон.	šećer; bombon	Želim pojesti bombon.
躺	lefeküdni; feküdni	Az ágyon fekve elaludt.	a se întinde; a sta culcată	S-a întins pe pat și a adormit.	лягам; лежа	Тя легна на леглото и заспа.	leći; ležati	Legla je na krevet i zaspala.
趟	út; alkalom (utazásnál)	Múlt hónapban elmentem egyszer Pekingbe.	drum; dată pentru călătorii	Luna trecută am fost o dată la Beijing.	път; класификатор за пътувания	Миналия месец ходих веднъж до Пекин.	putovanje; put	Prošlog mjeseca otišao sam jednom u Peking.
讨论	megbeszélni; megvitatni	Tartsunk értekezletet, és beszéljük meg.	a discuta; dezbatere	Hai să ținem o ședință ca să discutăm.	обсъждам; дискутирам	Нека проведем среща и да го обсъдим.	raspraviti; diskutirati	Hajdemo održati sastanak i raspraviti o tome.
讨厌	utálni; idegesítő	Ez az időjárás igazán idegesítő.	a nu suporta; enervant	Vremea aceasta este chiar enervantă.	не харесвам; досаден	Това време е наистина досадно.	ne voljeti; dosadan	Ovo vrijeme je stvarno dosadno.
特点	jellemző; sajátosság	Ennek az étteremnek az a sajátossága, hogy az étel nagyon friss.	caracteristică; trăsătură	Caracteristica acestui restaurant este că mâncarea este foarte proaspătă.	особеност; характеристика	Особеността на този ресторант е, че храната е много прясна.	značajka; osobina	Značajka ovog restorana je da je hrana vrlo svježa.
提	felemelni; felvenni	Kérem, emelje fel ezt a táskát.	a ridica; a lua	Vă rog să ridicați această geantă.	вдигам; вземам	Моля, вдигнете тази чанта.	podignuti; uzeti	Molim vas, podignite ovu torbu.
提供	biztosítani; nyújtani	A könyvtár csendes olvasási környezetet biztosít mindenkinek.	a oferi; a furniza	Biblioteca oferă tuturor un mediu liniștit pentru lectură.	предоставям; осигурявам	Библиотеката осигурява на всички тиха среда за четене.	pružiti; osigurati	Knjižnica svima pruža mirno okruženje za čitanje.
提前	előre; határidő előtt	Határidő előtt befejeztük a feladatot.	în avans; înainte de termen	Am finalizat sarcina înainte de termen.	предварително; предсрочно	Завършихме задачата предсрочно.	unaprijed; prije roka	Zadatak smo dovršili prije roka.
提醒	emlékeztetni	Már emlékeztettem, de mégis elfelejtette.	a aminti; a reaminti	I-am amintit deja, dar tot a uitat.	напомням	Вече му напомних, но той пак забрави.	podsjetiti	Već sam ga podsjetio, ali je ipak zaboravio.
填空	kitölteni az üres helyet; kiegészíteni	Ez egy kitöltős feladat.	a completa un spațiu liber	Aceasta este o întrebare de completat spațiul liber.	попълвам празно място	Това е задача за попълване на празно място.	popuniti prazninu	Ovo je zadatak za popunjavanje praznine.
条件	feltétel; kritérium	Nagyon jól megfelel a felvételi feltételeinknek.	condiție; criteriu	Se potrivește foarte bine criteriilor noastre de recrutare.	условие; критерий	Тя много добре отговаря на условията ни за наемане.	uvjet; kriterij	Ona vrlo dobro ispunjava naše uvjete za zapošljavanje.
停	megállni; megállítani	Az autó megállt.	a se opri; a opri	Mașina s-a oprit.	спирам	Колата спря.	stati; zaustaviti se	Auto se zaustavio.
挺	elég; meglehetősen	Ez a könyv elég jó.	destul de; chiar	Cartea aceasta este destul de bună.	доста; сравнително	Тази книга е доста хубава.	prilično; dosta	Ova je knjiga prilično dobra.
通过	átmenni; sikeresen teljesíteni	Már letettem a vizsgát.	a trece; prin	Am trecut deja examenul.	преминавам; издържам	Вече издържах изпита.	proći; kroz	Položio sam ispit.
通知	értesíteni; értesítés	Kérem, értesítsen mindenkit, hogy jöjjön az értekezletre.	a anunța; notificare	Vă rog să-i anunțați pe toți să vină la ședință.	уведомявам; известие	Моля, уведомете всички да дойдат на срещата.	obavijestiti; obavijest	Molim vas, obavijestite sve da dođu na sastanak.
同情	együttérezni; együttérzés	Nagyon együttérzek vele.	a simpatiza; compasiune	Îmi este foarte milă de el.	съчувствам; съчувствие	Много му съчувствам.	suosjećati; suosjećanje	Jako suosjećam s njim.
同时	ugyanakkor; miközben	Zenehallgatás közben házi feladatot ír.	în același timp; în timp ce	Ascultă muzică și, în același timp, își face temele.	едновременно; докато	Той слуша музика и едновременно пише домашното си.	istodobno; dok	Istodobno sluša glazbu i piše domaću zadaću.
推	tolni	Elromlott az autóm, segítenél megtolni?	a împinge	Mașina mea s-a stricat, mă puteți ajuta să o împing?	бутам	Колата ми се развали, може ли да ми помогнете да я бутна?	gurati	Auto mi se pokvario, možete li mi pomoći da ga poguram?
推迟	elhalasztani; késleltetni	A repülő indulását húsz perccel elhalasztották.	a amâna; a întârzia	Ora de decolare a avionului a fost amânată cu douăzeci de minute.	отлагам; забавям	Часът на излитане на самолета беше отложен с двадесет минути.	odgoditi; odložiti	Vrijeme polijetanja aviona odgođeno je za dvadeset minuta.
脱	levenni	A szobában jó meleg van, vedd le a kabátodat.	a scoate	În cameră este cald, scoate-ți paltonul.	събличам; свалям	В стаята е топло, свали си палтото.	skinuti	Soba je topla, skini kaput.
袜子	zokni; harisnya	Tisztára mostam a zoknimat.	șosete; ciorapi	Mi-am spălat șosetele.	чорапи	Изпрах чорапите си.	čarape	Oprao sam čarape.
完全	teljesen; egészen	Az ítéleted teljesen helyes.	complet; total	Judecata ta este complet corectă.	напълно; изцяло	Преценката ти е напълно правилна.	potpuno; sasvim	Tvoja je prosudba potpuno točna.
往往	gyakran; rendszerint	Vasárnaponként gyakran megy a parkba sétálni.	adesea; de obicei	Duminica merge adesea la plimbare în parc.	често; обикновено	В неделя той често ходи да се разхожда в парка.	često; obično	Nedjeljom često ide u park u šetnju.
网球	tenisz	Csak nemrég kezdtem teniszezni tanulni.	tenis	Abia recent am început să învăț să joc tenis.	тенис	Едва наскоро започнах да се уча да играя тенис.	tenis	Tek sam nedavno počeo učiti igrati tenis.
网站	weboldal; honlap	Ezen a weboldalon sok kínai nyelvű anyag van.	site; pagină web	Pe acest site sunt multe materiale în chineză.	уебсайт; сайт	На този сайт има много материали на китайски.	mrežna stranica	Na ovoj mrežnoj stranici ima mnogo materijala na kineskom.
危险	veszély; veszélyes	Este egyedül hegyet mászni veszélyes.	pericol; periculos	A urca muntele singur seara este periculos.	опасност; опасен	Да се катериш сам в планината вечер е опасно.	opasnost; opasan	Opasno je noću sam planinariti.
卫生间	mosdó; vécé	Elnézést, hol van a mosdó?	toaletă; baie	Scuzați-mă, unde este toaleta?	тоалетна; баня	Извинете, къде е тоалетната?	toalet; kupaonica	Oprostite, gdje je toalet?
味道	íz; illat	Ennek az étteremnek a töltött zsemléi nagyon finomak.	gust; aromă	Chiflele umplute de la acest restaurant au un gust foarte bun.	вкус; аромат	Кнедлите в този ресторант са много вкусни.	okus; miris	Peciva iz ovog restorana imaju vrlo dobar okus.
温度	hőmérséklet	A tél beköszöntével a hőmérséklet egyre alacsonyabb.	temperatură	Odată cu intrarea în iarnă, temperatura scade tot mai mult.	температура	С настъпването на зимата температурата става все по-ниска.	temperatura	Ulaskom u zimu temperatura je sve niža.
文章	cikk; esszé	A cikk legfontosabb része a harmadik bekezdés.	articol; eseu	Cea mai importantă parte a articolului este al treilea paragraf.	статия; есе	Най-важната част на статията е третият абзац.	članak; esej	Najvažniji dio članka je treći odlomak.
污染	szennyezés; fertőzés	A környezetszennyezés most egyre súlyosabb.	poluare; contaminare	Poluarea mediului devine acum tot mai gravă.	замърсяване	Замърсяването на околната среда става все по-сериозно.	onečišćenje	Zagađenje okoliša sada postaje sve ozbiljnije.
无	nincs; -talan/-telen; nélkül	A szavai alaptalanok.	fără; lipsit de	Cuvintele lui sunt nefondate.	без; няма	Думите му са без основание.	bez; nema	Njegove su riječi neutemeljene.
无聊	unalmas; unatkozó	Ez a műsor egy kicsit unalmas.	plictisitor; plictisit	Această emisiune este puțin plictisitoare.	скучен; отегчен	Тази програма е малко скучна.	dosadan; dosađivati se	Ovaj je program pomalo dosadan.
无论	bárhogy; függetlenül attól	Bárhogy magyarázom, nem érti.	indiferent; oricum	Indiferent cum explic, el nu înțelege.	независимо; без значение	Както и да обяснявам, той не разбира.	bez obzira; ma kako	Kako god objašnjavam, on ne razumije.
误会	félreérteni; félreértés	Bocsánat, félreértettelek.	a înțelege greșit; neînțelegere	Îmi pare rău, te-am înțeles greșit.	погрешно разбирам; недоразумение	Извинявай, разбрах те погрешно.	krivo razumjeti; nesporazum	Oprosti, krivo sam te razumio.
吸引	vonzani	Ez a film nagyon magával ragadó.	a atrage	Acest film este foarte captivant.	привличам	Този филм е много увлекателен.	privući	Ovaj je film vrlo privlačan.
西红柿	paradicsom	Vettem néhány paradicsomot.	roșie	Am cumpărat câteva roșii.	домат	Купих няколко домата.	rajčica	Kupio sam nekoliko rajčica.
咸	sós	Túl sok só került bele, az étel egy kicsit sós.	sărat	A fost pusă prea multă sare, mâncarea este puțin sărată.	солен	Сложена е твърде много сол, ястието е малко солено.	slan	Stavljeno je previše soli, jelo je malo slano.
现金	készpénz	Nincs nálam túl sok készpénz, de az üzlet elfogad kártyát.	numerar; bani gheață	Nu am prea mult numerar la mine, dar în magazin se poate plăti cu cardul.	пари в брой	Не нося много пари в брой, но магазинът приема карти.	gotovina	Nemam mnogo gotovine kod sebe, ali trgovina prima kartice.
羡慕	irigyelni; csodálni	Irigylem, hogy jó munkája van.	a invidia; a admira	Îl invidiez pentru că are un loc de muncă bun.	завиждам; възхищавам се	Завиждам му, че има добра работа.	zavidjeti; diviti se	Zavidim mu što ima dobar posao.
相反	ellentétes; ellenkező	Amit mondasz, éppen az ellenkezője annak, ahogy én értem.	opus; contrar	Ceea ce spui este exact opusul a ceea ce înțeleg eu.	обратен; противоположен	Това, което казваш, е точно обратното на това, което разбирам.	suprotan	Ono što kažeš upravo je suprotno od onoga što ja razumijem.
相同	azonos; ugyanolyan	A biciklid teljesen ugyanolyan, mint az enyém.	identic; la fel	Bicicleta ta este exact la fel ca a mea.	еднакъв; същият	Твоят велосипед е напълно същият като моя.	isti; jednak	Tvoj je bicikl potpuno isti kao moj.
香	illatos; finom illatú	Az étel, amit főztél, nagyon jó illatú!	parfumat; mirositor	Mâncarea pe care ai gătit-o miroase foarte bine!	ароматен; ухаещ	Ястието, което приготви, ухае чудесно!	mirisan; ukusan	Jelo koje si skuhao divno miriše!
详细	részletes; részletesen	A terv, amelyet készített, nagyon részletes.	detaliat; în detaliu	Planul pe care l-a făcut este foarte detaliat.	подробен; подробно	Планът, който тя направи, е много подробен.	detaljan; podrobno	Plan koji je napravila vrlo je detaljan.
响	csengeni; hangot adni	Figyelj, nem csörgött a telefon?	a suna; a răsuna	Ascultă, oare a sunat telefonul?	звъня; звуча	Слушай, телефонът звънна ли?	zvoniti; odzvanjati	Slušaj, je li zazvonio telefon?
橡皮	radír	Kölcsönadnád egy pillanatra a radírodat?	o radieră	Pot să împrumut radiera ta pentru o clipă?	гума за триене	Може ли да ми дадеш гумичката си за малко?	gumica	Mogu li posuditi tvoju gumicu na trenutak?
消息	hír; információ	Ez a hír igazán izgalmas.	veste; informație	Această veste este cu adevărat emoționantă.	новина; информация	Тази новина е наистина вълнуваща.	vijest; informacija	Ova je vijest stvarno uzbudljiva.
小吃	harapnivaló; falat	Ha Pekingbe jössz, mindenképpen kóstold meg a pekingi harapnivalókat.	gustare	Când vii la Beijing, trebuie neapărat să guști gustările locale.	лека закуска; улична храна	Когато дойдеш в Пекин, непременно трябва да опиташ местните закуски.	zalogaj; grickalica	Kad dođeš u Peking, svakako moraš probati pekinške zalogaje.
小伙子	fiatalember; srác	Az a fiatalember nagyon lelkes.	tânăr; flăcău	Acel tânăr este foarte entuziast.	младеж; момък	Онзи младеж е много сърдечен.	mladić	Onaj je mladić vrlo srdačan.
小说	regény; próza	Éppen ezt a regényt olvasom.	roman; ficțiune	Citesc acest roman.	роман; художествена проза	В момента чета този роман.	roman; proza	Trenutačno čitam ovaj roman.
效果	hatás; eredmény	Ez a megfázás elleni gyógyszer nagyon hatásos.	efect; rezultat	Acest medicament pentru răceală are un efect foarte bun.	ефект; резултат	Това лекарство за настинка има много добър ефект.	učinak; rezultat	Ovaj lijek protiv prehlade ima vrlo dobar učinak.
笑话	vicc; kinevetni	Kérlek, ne nevess ki másokat.	glumă; a râde de	Vă rog să nu râdeți de alții.	шега; присмивам се	Моля, не се присмивайте на другите.	šala; ismijavati	Molim vas, nemojte se rugati drugima.
心情	hangulat	Javult a hangulata.	dispoziție	Dispoziția lui s-a îmbunătățit.	настроение	Настроението му се подобри.	raspoloženje	Raspoloženje mu se popravilo.
辛苦	nehéz; fárasztó	Apa munkája nagyon fárasztó.	greu; obositor	Munca tatălui este foarte grea.	тежък; изморителен	Работата на татко е много тежка.	težak; naporan	Tatin posao je vrlo naporan.
信封	boríték	A megírt levelet betette a borítékba.	plic	A pus scrisoarea scrisă în plic.	плик	Той сложи написаното писмо в плика.	omotnica	Stavio je napisano pismo u omotnicu.
信息	információ; üzenet	Kérem, küldje el nekem az elérhetőségeit.	informație; mesaj	Vă rog să-mi trimiteți informațiile dumneavoastră de contact.	информация; съобщение	Моля, изпратете ми информацията си за контакт.	informacija; poruka	Molim vas, pošaljite mi svoje kontaktne podatke.
