simplified	MS	example_MS
畔	tepi tasik	Kanak-kanak berjalan-jalan di tepi tasik
庞大	sangat besar	Projek ini memerlukan dana yang sangat besar
抛弃	meninggalkan	Dia tidak mahu meninggalkan impiannya
泡沫	buih	Ada banyak buih putih di dalam cawan
培育	memupuk	Sekolah berusaha memupuk rasa tanggungjawab pelajar
配备	dilengkapi	Kereta baharu itu dilengkapi sistem keselamatan
配偶	pasangan	Borang permohonan perlu mengisi maklumat pasangan
配套	kemudahan sokongan	Komuniti ini mempunyai kemudahan sokongan yang lengkap
盆地	lembangan	Lembangan ini sangat panas pada musim panas
烹饪	masakan	Memasak memerlukan kesabaran dan pengalaman
捧	memegang dengan dua tangan	Dia memegang sejambak bunga dengan dua tangan
劈	membelah	Pekerja membelah kayu api dengan kapak
批发	borong	Kedai ini terutamanya memborong buah-buahan
批判	mengkritik	Artikel itu mengkritik pandangan yang salah ini
疲惫	keletihan	Selepas perjalanan jauh, semua orang sangat keletihan
疲倦	letih	Kerja berterusan membuatnya berasa letih
皮革	kulit	Beg ini dibuat daripada kulit
屁股	punggung	Selepas jatuh, punggung kanak-kanak itu sakit
譬如	contohnya	Contohnya, kita boleh buat ujian kecil dahulu
偏差	sisihan	Keputusan eksperimen mempunyai sisihan yang jelas
偏见	prasangka	Kita harus mengelakkan prasangka etnik
偏僻	terpencil	Kampung ini terletak sangat terpencil
偏偏	malangnya	Semakin saya cemas, malangnya kereta semakin perlahan
片断	petikan	Dalam filem itu ada beberapa petikan yang menarik
片刻	seketika	Sila tunggu saya di sini seketika
漂浮	terapung	Daun gugur terapung di permukaan air
飘扬	berkibar	Bendera negara berkibar ditiup angin
撇	mengetepikan	Dia mengetepikan rancangan lama itu
拼搏	berjuang	Orang muda perlu berjuang untuk cita-cita
拼命	sedaya upaya	Dia mengejar pasukan di depan sedaya upaya
贫乏	kekurangan	Isi artikel ini agak kekurangan
贫困	kemiskinan	Kerajaan membantu keluarga miskin
频繁	kerap	Kemalangan lalu lintas kerap berlaku di sini baru-baru ini
频率	frekuensi	Bunyi ini mempunyai frekuensi yang tinggi
品尝	merasai	Tetamu sedang merasai makanan tempatan
品德	akhlak	Sekolah mementingkan pendidikan akhlak pelajar
品质	kualiti	Kualiti produk syarikat ini stabil
品种	varieti	Di pasar ada banyak varieti buah-buahan
屏幕	skrin	Sila rendahkan kecerahan skrin
屏障	penghalang	Hutan ialah penghalang penting terhadap angin
平凡	biasa	Dia bekerja bertahun-tahun di jawatan biasa
平面	pelan	Pereka melukis pelan rumah
平坦	rata	Jalan ini sangat rata
平行	selari	Dua garisan ini saling selari
平庸	biasa-biasa	Dia tidak rela menjalani hidup yang biasa-biasa
平原	dataran luas	Kereta api melalui dataran luas
评估	menilai	Pakar sedang menilai risiko projek
评论	mengulas	Pembaca boleh mengulas di bawah artikel
坡	cerun	Kereta perlahan-lahan menaiki cerun
泼	menyimbah	Jangan simbah air ke lantai
颇	agak	Keputusan ini agak mengejutkan
破例	membuat pengecualian	Pengurus membuat pengecualian dan meluluskan permohonannya
迫不及待	tidak sabar	Kanak-kanak tidak sabar membuka hadiah
迫害	menindas	Dalam sejarah, ramai orang pernah mengalami penindasan
魄力	keberanian	Pemimpin memerlukan keberanian membuat keputusan
扑	menerpa	Anak itu tiba-tiba menerpa ke pelukan ibunya
铺	menghampar	Pekerja sedang menghampar permaidani baharu
普及	meluas	Internet sudah meluas di bandar
朴实	sederhana	Bahasanya sederhana dan ikhlas
朴素	sederhana	Dia suka gaya hidup yang sederhana
瀑布	air terjun	Pelancong berdiri di tepi air terjun untuk mengambil gambar
凄凉	sunyi muram	Kampung gunung pada musim sejuk kelihatan sunyi muram
期望	harapan	Ibu bapa mempunyai harapan yang tinggi terhadap anak
期限	tarikh akhir	Tarikh akhir pendaftaran ialah Jumaat ini
欺负	membuli	Kanak-kanak besar tidak patut membuli kanak-kanak kecil
欺骗	menipu	Iklan palsu menipu pengguna
奇妙	menakjubkan	Alam semula jadi mempunyai banyak fenomena menakjubkan
旗袍	qipao	Dia memakai qipao merah untuk menghadiri majlis malam
旗帜	bendera	Bendera yang terang berkibar di dataran
歧视	diskriminasi	Undang-undang melarang sebarang bentuk diskriminasi
齐全	lengkap	Kedai ini mempunyai alat yang lengkap
齐心协力	bekerjasama	Semua orang bekerjasama menyelesaikan tugas
乞丐	pengemis	Seorang pengemis tua duduk di tepi jalan
企图	percubaan	Dia cuba menyembunyikan keadaan sebenar
启程	berangkat	Rombongan itu berangkat awal pagi esok
启蒙	pendidikan awal	Buku ini sesuai untuk bacaan pendidikan awal kanak-kanak
启事	notis	Notis pengambilan pekerja ditampal di pintu sekolah
启示	pengajaran	Kegagalan ini memberi kami pengajaran penting
岂有此理	tidak masuk akal	Yuran seperti ini benar-benar tidak masuk akal
起草	merangka	Peguam sedang merangka kontrak
起初	pada mulanya	Pada mulanya, dia tidak percaya berita itu
起伏	naik turun	Jalan gunung naik turun mengikut bentuk muka bumi
起哄	membuat kecoh	Pelajar jangan membuat kecoh di dalam kelas
起码	sekurang-kurangnya	Kamu sekurang-kurangnya patut memberitahu saya lebih awal
起源	berasal	Perayaan ini berasal dari zaman kuno
器材	peralatan	Makmal memerlukan peralatan pengajaran baharu
器官	organ	Jantung ialah organ penting tubuh manusia
气概	semangat	Sajak ini menunjukkan semangat wira
气功	qigong	Datuk berlatih qigong setiap pagi
气魄	gaya megah	Jambatan ini mempunyai gaya yang megah
气色	seri wajah	Selepas berehat, seri wajahnya jauh lebih baik
气势	momentum	Pasukan itu mempunyai momentum kuat sejak awal
气味	bau	Di dapur ada bau roti bakar
气象	cuaca	Cuaca dataran tinggi di sini berubah dengan cepat
气压	tekanan udara	Tekanan udara yang menurun mungkin membawa hujan
气质	perwatakan	Dia mempunyai perwatakan yang tenang
迄今为止	setakat ini	Setakat ini, eksperimen berjalan lancar
掐	memetik	Dia memetik sekuntum bunga kecil
恰当	sesuai	Jawapan kamu sangat sesuai
恰到好处	tepat pada tempatnya	Kemanisan hidangan ini tepat pada tempatnya
恰巧	kebetulan	Kebetulan hujan turun ketika saya tiba di stesen
洽谈	berbincang	Kedua-dua pihak sedang berbincang tentang butiran kerjasama
千方百计	sedaya upaya	Mereka sedaya upaya mencari penyelesaian
牵	memimpin tangan	Ibu memimpin tangan anak ketika melintas jalan
牵扯	melibatkan	Perkara ini melibatkan banyak jabatan
牵制	mengekang	Pertahanan lawan mengekang serangan
签署	menandatangani	Dua syarikat menandatangani perjanjian
谦逊	rendah hati	Selepas berjaya, dia tetap rendah hati
迁就	mengalah	Ibu bapa tidak boleh selalu mengalah kepada anak
迁徙	berpindah	Burung hijrah berpindah mengikut musim setiap tahun
前景	prospek	Industri ini mempunyai prospek yang baik
前提	prasyarat	Kepercayaan ialah prasyarat kerjasama
潜力	potensi	Pelajar ini mempunyai potensi besar
潜水	menyelam	Mereka pergi ke tepi laut untuk belajar menyelam
潜移默化	mempengaruhi secara halus	Persekitaran keluarga boleh mempengaruhi anak secara halus
谴责	mengecam	Masyarakat antarabangsa mengecam keganasan itu
抢劫	merompak	Polis menangkap suspek yang merompak bank
强制	mewajibkan	Peraturan baharu mewajibkan pemandu memakai tali pinggang keselamatan
强迫	memaksa	Jangan memaksa anak melakukan perkara yang tidak disukai
抢救	menyelamat	Doktor sedang menyelamatkan pekerja yang cedera
桥梁	jambatan	Bahasa ialah jambatan pertukaran budaya
窍门	petua	Belajar sebutan ada beberapa petua
翘	mengangkat	Dia mengangkat sebelah kaki ke atas kerusi
切实	praktikal	Kita memerlukan rancangan yang praktikal dan boleh dilaksanakan
锲而不舍	tabah	Dia mengkaji masalah ini dengan tabah
亲密	rapat	Mereka sentiasa mengekalkan hubungan yang rapat
亲热	mesra	Orang tua itu menyambut tetamu dengan mesra
侵犯	melanggar	Perbuatan ini melanggar privasi peribadi
侵略	pencerobohan	Rakyat menentang sebarang bentuk pencerobohan
钦佩	mengagumi	Saya sangat mengagumi keberaniannya
勤俭	rajin dan berjimat	Nenek mengurus rumah tangga dengan rajin dan berjimat sepanjang hidupnya
勤劳	rajin	Orang yang rajin sentiasa dapat mencipta peluang
倾听	mendengar dengan teliti	Guru mendengar pendapat pelajar dengan teliti
倾向	cenderung	Pengguna muda cenderung membeli-belah dalam talian
倾斜	condong	Selepas hujan lebat, dinding mula condong
清澈	jernih	Air sungai kecil di gunung sangat jernih
清晨	awal pagi	Udara awal pagi sangat segar
清除	membersihkan	Pekerja membersihkan salji di atas jalan
清洁	bersih	Hospital mesti mengekalkan persekitaran yang bersih
清理	mengemas	Pada hujung minggu kami mengemas gudang
清晰	jelas	Foto ini sangat jelas
清醒	sedar	Selepas minum kopi, dia menjadi lebih sedar
清真	halal	Di dekat sini ada sebuah restoran halal
情报	maklumat risikan	Wartawan memperoleh maklumat risikan penting
情节	plot	Plot novel itu sangat tegang
情理	akal	Permintaannya tidak masuk akal
情形	keadaan	Keadaan di tempat kejadian lebih rumit daripada sangkaan
晴朗	cerah	Langit hari ini sangat cerah
请柬	kad jemputan	Mereka menghantar kad jemputan perkahwinan kepada saudara-mara dan rakan
请教	meminta nasihat	Saya ingin meminta nasihat anda tentang satu soalan
请示	meminta arahan	Perkara ini perlu meminta arahan pemimpin terlebih dahulu
请帖	kad jemputan	Di atas meja ada sekeping kad jemputan hari jadi
丘陵	bukit	Kawasan ini mempunyai banyak bukit
区分	membezakan	Kanak-kanak itu sudah boleh membezakan kiri dan kanan
区域	kawasan	Kawasan ini melarang parkir
屈服	tunduk	Dia tidak tunduk kepada tekanan
曲折	berliku-liku	Mereka melalui rundingan yang berliku-liku
驱逐	mengusir	Polis mengusir orang yang membuat kacau
渠道	saluran	Syarikat menjual produk melalui saluran baharu
取缔	mengharamkan	Kerajaan mengharamkan pasar haram itu
曲子	lagu	Melodi lagu ini sangat indah
趣味	menarik	Permainan ini sangat menarik
圈套	perangkap	Dia hampir jatuh ke dalam perangkap penipu
全局	keseluruhan	Pemimpin mesti mempertimbangkan kepentingan keseluruhan
全力以赴	berusaha sepenuhnya	Kami akan berusaha sepenuhnya menyelesaikan tugas
拳头	penumbuk	Dia menggenggam penumbuk dan bersiap untuk pertandingan
权衡	menimbang	Kita perlu menimbang kos dan kesannya
权威	autoriti	Profesor ini ialah autoriti dalam bidang tersebut
犬	anjing	Jenis anjing ini sesuai untuk menjaga rumah
缺口	celah	Ada satu celah kecil pada dinding
缺席	tidak hadir	Dia tidak hadir dalam mesyuarat kerana sakit
缺陷	kecacatan	Reka bentuk ini mempunyai kecacatan yang jelas
瘸	tempang	Kaki kirinya agak tempang
确保	memastikan	Sila pastikan pintu sudah dikunci
确立	menetapkan	Syarikat menetapkan matlamat pembangunan baharu
确切	tepat	Saya tidak tahu masa yang tepat
确信	yakin	Saya yakin dia akan tiba tepat pada waktunya
群众	orang ramai	Orang ramai sangat menyokong dasar baharu itu
染	mewarnakan	Dia mewarnakan rambutnya menjadi hitam
嚷	menjerit	Jangan menjerit kuat-kuat di koridor
让步	konsesi	Kedua-dua pihak membuat beberapa konsesi
饶恕	memaafkan	Akhirnya dia memilih untuk memaafkan pihak itu
扰乱	mengganggu	Bunyi bising mengganggu ketertiban kelas
惹祸	mengundang masalah	Bergurau sembarangan mudah mengundang masalah
热泪盈眶	mata bergenang air mata	Apabila mendengar berita baik itu, matanya bergenang air mata
热门	popular	Kecerdasan buatan ialah topik yang popular
人道	perikemanusiaan	Operasi bantuan itu mencerminkan semangat perikemanusiaan
人格	maruah peribadi	Menghina orang lain akan mencederakan maruah peribadi
人工	buatan	Sungai ini digali secara buatan
人家	orang lain	Jangan selalu membandingkan diri sendiri dengan orang lain
人间	dunia manusia	Musim bunga memenuhi dunia manusia dengan daya hidup
人士	tokoh	Tokoh dari pelbagai kalangan menghadiri forum itu
人为	faktor manusia	Kemalangan ini disebabkan oleh faktor manusia
人性	sifat manusia	Filem ini membincangkan sifat manusia
人质	tebusan	Polis berjaya menyelamatkan tebusan
仁慈	baik hati	Doktor ini sangat baik hati terhadap pesakit
忍耐	kesabaran	Beratur panjang memerlukan sedikit kesabaran
忍受	menahan	Saya tidak dapat menahan bunyi bising di sini
任命	melantik	Lembaga pengarah melantiknya sebagai pengurus
任性	degil	Anak yang terlalu degil boleh menjejaskan perkembangan
任意	sewenang-wenangnya	Tolong jangan mengubah data sewenang-wenangnya
任重道远	tanggungjawab berat dan jalan masih panjang	Pembaharuan pendidikan memikul tanggungjawab berat dan jalannya masih panjang
认定	menentukan	Polis menentukan bahawa ini ialah satu kemalangan
认可	pengiktirafan	Rancangannya mendapat pengiktirafan semua orang
仍旧	masih	Bertahun-tahun kemudian, dia masih tinggal di sini
日新月异	berkembang pesat	Teknologi berkembang pesat dari hari ke hari
日益	semakin	Masalah alam sekitar semakin serius
容貌	rupa	Masa telah mengubah rupanya
容纳	menampung	Dewan ini boleh menampung lima ratus orang
容器	bekas	Sila tuangkan cecair itu ke dalam bekas kaca
容忍	bertolak ansur	Syarikat tidak boleh bertolak ansur dengan penipuan
溶解	larut	Garam akan larut dalam air
荣幸	berbesar hati	Saya berbesar hati dapat menghadiri mesyuarat
荣誉	penghormatan	Pingat ini mewakili penghormatan tertinggi
融化	mencair	Cahaya matahari membuat ais dan salji perlahan-lahan mencair
融洽	harmoni	Hubungan antara rakan sekerja sangat harmoni
揉	mengurut	Ibu mengurut bahu saya dengan perlahan
柔和	lembut	Cahaya lampu itu lembut dan tidak menyilaukan
儒家	Konfusianisme	Pemikiran Konfusianisme mempengaruhi budaya Asia Timur
弱点	kelemahan	Cuai ialah kelemahan utamanya
若干	beberapa	Mesyuarat itu mengemukakan beberapa cadangan
撒谎	berbohong	Kanak-kanak tidak sepatutnya berbohong
散文	prosa	Dia suka membaca prosa moden
散布	menyebarkan	Ada orang menyebarkan khabar angin di internet
散发	mengeluarkan	Taman itu mengeluarkan bau harum yang segar
丧失	kehilangan	Dia tidak kehilangan keyakinan
骚扰	mengganggu	Sila jangan mengganggu penumpang lain
嫂子	kakak ipar	Masakan kakak ipar saya sangat sedap
刹车	menekan brek	Pemandu itu tiba-tiba menekan brek
啥	apa	Apa yang kamu katakan tadi
筛选	menapis	Sistem akan menapis resume secara automatik
山脉	banjaran gunung	Banjaran gunung ini sangat panjang
闪烁	berkelip	Lampu di kejauhan terus berkelip
擅长	mahir	Dia mahir menangani masalah yang rumit
擅自	tanpa izin	Pekerja tidak boleh meninggalkan tempat kerja tanpa izin
伤脑筋	memeningkan kepala	Masalah ini benar-benar memeningkan kepala
商标	tanda dagangan	Syarikat mendaftarkan tanda dagangan baharu
上级	atasan	Dia melaporkan keadaan itu kepada atasannya
上进	berusaha maju	Dia sentiasa berusaha maju
上任	memegang jawatan	Pengurus baharu akan memegang jawatan minggu depan
上瘾	ketagih	Ramai orang ketagih video pendek
上游	hulu	Pencemaran itu datang dari hulu sungai
尚且	malah	Orang dewasa malah boleh membuat kesilapan
捎	menyampaikan	Tolong sampaikan pesanan untuk saya
梢	hujung dahan	Burung itu hinggap di hujung dahan
哨	pengawal	Ada seorang pengawal di pintu masuk
奢侈	mewah	Perbelanjaan seperti ini terlalu mewah
舌头	lidah	Dia melecurkan lidahnya
摄氏度	darjah Celsius	Suhu hari ini ialah tiga puluh darjah Celsius
涉及	melibatkan	Laporan itu melibatkan beberapa jabatan
社区	komuniti	Komuniti itu menganjurkan ceramah kesihatan
设立	menubuhkan	Sekolah menubuhkan biasiswa
设想	gagasan	Gagasan ini masih perlu dibincangkan
设置	menetapkan	Sila tetapkan semula kata laluan
呻吟	mengerang	Pesakit itu mengerang perlahan
深奥	mendalam	Kandungan buku ini sangat mendalam
深沉	dalam	Suaranya rendah dan dalam
深情厚谊	persahabatan yang mendalam	Rakyat kedua-dua negara menjalin persahabatan yang mendalam
申报	mengisytiharkan	Penumpang perlu mengisytiharkan barang dengan jujur
绅士	lelaki budiman	Tingkah lakunya seperti seorang lelaki budiman
神经	saraf	Tekanan boleh menjejaskan sistem saraf
神奇	ajaib	Pemandangan di sini sangat ajaib
神气	bersemangat	Hari ini dia kelihatan sangat bersemangat
神圣	suci	Ini ialah tanggungjawab yang suci
神态	air muka	Air mukanya sangat tenang
神仙	dewa	Lagenda mengatakan ada dewa tinggal di gunung itu
审查	menyemak	Platform akan menyemak kandungan yang diterbitkan
审理	membicarakan	Mahkamah sedang membicarakan kes ini
审美	cita rasa estetik	Cita rasa estetiknya sangat tersendiri
审判	perbicaraan	Perbicaraan terbuka itu menarik perhatian media
慎重	berhati-hati	Keputusan ini mesti dibuat dengan berhati-hati
渗透	meresap	Air hujan perlahan-lahan meresap ke dalam tanah
声明	kenyataan	Syarikat mengeluarkan kenyataan rasmi
声势	momentum	Kempen publisiti kali ini mempunyai momentum yang kuat
声誉	reputasi	Kualiti produk mempengaruhi reputasi jenama
牲畜	ternakan	Penggembala membawa ternakan kembali ke padang rumput
生存	bertahan hidup	Haiwan liar memerlukan ruang untuk bertahan hidup
生机	daya hidup	Hujan musim bunga memenuhi bumi dengan daya hidup
生理	fisiologi	Tidur mempengaruhi keadaan fisiologi seseorang
生疏	kurang mahir	Setelah bertahun-tahun tidak berlatih, permainan pianonya agak kurang mahir
生态	ekologi	Perlindungan hutan berkaitan dengan keseimbangan ekologi
生物	organisma	Di lautan ada banyak organisma yang pelik
生效	berkuat kuasa	Peraturan baharu itu berkuat kuasa secara rasmi esok
生肖	zodiak Cina	Apakah zodiak Cina kamu
生锈	berkarat	Rantai basikal itu sudah berkarat
生育	kesuburan	Hospital menyediakan perkhidmatan rundingan kesuburan
省会	ibu negeri wilayah	Chengdu sejak dahulu ialah ibu negeri wilayah Sichuan
盛产	menghasilkan dengan banyak	Tempat ini menghasilkan teh berkualiti tinggi dengan banyak
盛开	mekar	Bunga sakura di taman sedang mekar
盛情	layanan mesra	Kami berterima kasih atas layanan mesra tuan rumah
盛行	popular	Gaya ini pernah sangat popular
胜负	keputusan menang kalah	Minit terakhir perlawanan menentukan keputusan menang kalah
失事	kemalangan	Punca kemalangan pesawat itu masih disiasat
失误	kesilapan	Satu kesilapan kecil menyebabkan projek tertunda
失踪	hilang	Polis sedang mencari kanak-kanak yang hilang itu
尸体	mayat	Pasukan penyelamat menemukan mayat mangsa
师范	pendidikan guru	Dia lulus dari universiti pendidikan guru
施加	memberikan	Ibu bapa tidak sepatutnya memberikan tekanan yang terlalu besar
施展	memanfaatkan	Akhirnya dia mendapat peluang untuk memanfaatkan bakatnya
十足	penuh	Dia penuh keyakinan terhadap keputusan itu
实惠	berpatutan	Harga di kedai ini sangat berpatutan
实力	kekuatan	Kekuatan keseluruhan pasukan itu sangat kuat
实施	melaksanakan	Kerajaan mula melaksanakan rancangan baharu
实事求是	berdasarkan fakta	Penyelidikan harus berdasarkan fakta
实行	mengamalkan	Syarikat mengamalkan sistem kerja fleksibel
实质	inti	Inti masalah itu tidak berubah
拾	mengutip	Dia membongkok untuk mengutip kunci di tanah
时常	sering	Datuk sering bercerita tentang masa mudanya
时而	kadang-kadang	Cuaca kadang-kadang cerah, kadang-kadang mendung
时光	masa	Masa yang indah selalu terasa singkat
时机	masa yang sesuai	Sekarang bukan masa yang sesuai untuk berunding
时事	hal ehwal semasa	Pelajar membincangkan hal ehwal semasa antarabangsa setiap minggu
石油	petroleum	Harga petroleum naik lagi
识别	mengenal pasti	Sistem dapat mengenal pasti wajah yang berbeza
使命	misi	Melindungi alam sekitar ialah misi bersama
世代	turun-temurun	Kemahiran ini diwariskan turun-temurun dalam keluarga
事故	kemalangan	Kemalangan ini tidak menyebabkan korban atau kecederaan
事迹	jasa	Jasa kepahlawanannya tersebar luas
事件	insiden	Insiden ini menarik perhatian masyarakat
事态	keadaan	Kerajaan sedang mengawal perkembangan keadaan
事务	urusan	Dia bertanggungjawab atas urusan harian syarikat
事项	perkara	Sila sahkan perkara penting dalam kontrak
事业	kerjaya	Dia menganggap pendidikan sebagai kerjaya sepanjang hayatnya
势必	pasti	Kenaikan kos pasti mempengaruhi harga
势力	pengaruh	Pengaruh perniagaan tempatan sangat kuat
是非	pertikaian	Dia tidak mahu terlibat dalam pertikaian pejabat
示范	demonstrasi	Guru terlebih dahulu memberikan demonstrasi
示威	demonstrasi	Satu demonstrasi aman berlaku di pusat bandar
示意	memberi isyarat	Pengurus memberi isyarat supaya semua orang diam
视力	penglihatan	Melihat skrin terlalu lama boleh menjejaskan penglihatan
视频	video	Sila hantar video itu kepada saya
视线	garis penglihatan	Kabut tebal menghalang garis penglihatan pemandu
视野	wawasan	Melancong dapat meluaskan wawasan
试图	mencuba	Dia mencuba menjelaskan keputusannya
试验	eksperimen	Para saintis menjalankan banyak eksperimen
适宜	sesuai	Iklim di sini sesuai untuk didiami
逝世	meninggal dunia	Penulis ini meninggal dunia tahun lalu
释放	membebaskan	Mahkamah memutuskan untuk membebaskan tertuduh
收藏	mengumpul	Dia mengumpul banyak setem lama
收缩	mengecut	Udara sejuk boleh menyebabkan logam mengecut
收益	pulangan	Pulangan pelaburan lebih tinggi daripada jangkaan
收音机	radio	Nenek mendengar radio setiap hari
守护	menjaga	Doktor menjaga nyawa pesakit
手法	teknik	Teknik penggambaran pengarah itu sangat tersendiri
手势	gerak isyarat	Dia menggunakan gerak isyarat untuk menyatakan persetujuan
手艺	kemahiran tangan	Kemahiran tangan tukang ini sangat baik
首饰	barang kemas	Dia memakai barang kemas perak yang sederhana
首要	paling utama	Keselamatan ialah tugas paling utama
受罪	menderita	Pesakit itu banyak menderita selepas pembedahan
授予	menganugerahkan	Sekolah menganugerahkan ijazah kehormat kepadanya
书法	kaligrafi	Dia berlatih kaligrafi sejak kecil
书记	setiausaha parti	Setiausaha parti kampung mempengerusikan mesyuarat itu
书籍	buku	Perpustakaan menyimpan sejumlah besar buku
书面	bertulis	Sila berikan bukti bertulis
疏忽	kecuaian	Kesilapan ini berpunca daripada kecuaian kerja
疏远	menjadi renggang	Salah faham membuat kedua-dua orang itu beransur-ansur menjadi renggang
舒畅	lega	Selepas berjalan-jalan, perasaan saya sangat lega
数额	jumlah	Jumlah pampasan belum ditentukan
束	seikat	Dia membeli seikat bunga segar
束缚	membatasi	Pandangan tradisional membatasi pilihannya
树立	membina	Syarikat perlu membina imej yang baik
竖	menegakkan	Sila tegakkan papan tanda itu
耍	bermain	Jangan bermain telefon semasa waktu kerja
衰老	penuaan	Senaman boleh memperlahankan penuaan
衰退	kemelesetan	Kemelesetan ekonomi menjejaskan pekerjaan
率领	memimpin	Ketua pasukan memimpin pasukan bergerak ke depan
涮火锅	makan hot pot	Pada musim sejuk semua orang suka makan hot pot
双胞胎	kembar	Mereka ialah sepasang kembar
爽快	terus terang	Dia menjawab dengan sangat terus terang
水利	pengairan	Daerah ini mementingkan pembinaan pengairan
水龙头	paip air	Paip air dapur bocor
水泥	simen	Pekerja membawa simen ke tapak bina
瞬间	sekelip mata	Lampu semuanya padam dalam sekelip mata
司法	kehakiman	Kebebasan kehakiman memerlukan jaminan institusi
司令	komander	Komander mengeluarkan arahan berundur
思念	merindui	Dia sering merindui kampung halamannya
思索	merenung	Dia menundukkan kepala dan merenung lama
思维	pemikiran	Latihan ini dapat meningkatkan pemikiran logik
斯文	sopan	Dia bercakap dengan sangat sopan
私自	tanpa izin	Pelajar tidak boleh meninggalkan sekolah tanpa izin
死亡	kematian	Kemalangan itu menyebabkan beberapa kematian
四肢	anggota badan	Sebelum bersenam, kamu perlu menggerakkan anggota badan
寺庙	kuil	Di atas gunung ada sebuah kuil lama
肆无忌惮	sewenang-wenangnya	Dia melanggar peraturan sewenang-wenangnya
饲养	menternak	Ladang itu menternak banyak lembu tenusu
耸	mengangkat bahu	Setelah mendengarnya, dia hanya mengangkat bahu
艘	penjodoh bilangan kapal	Di pelabuhan ada tiga kapal kargo berlabuh
苏醒	sedar semula	Pesakit itu akhirnya sedar semula
俗话	peribahasa	Peribahasa mengatakan, alah bisa tegal biasa
塑造	membentuk	Persekitaran boleh membentuk watak seseorang
素食	makanan vegetarian	Restoran ini menyediakan makanan vegetarian
素质	kualiti	Kakitangan perkhidmatan itu berkualiti tinggi
诉讼	saman	Kedua-dua pihak memutuskan untuk menyelesaikannya melalui saman
算数	menepati kata	Kata-kata yang sudah kamu ucapkan mesti ditepati
随即	segera	Selepas mesyuarat tamat, dia segera pergi
随意	sesuka hati	Sila jangan mengubah tetapan sesuka hati
岁月	masa yang berlalu	Masa yang berlalu mengubah rupanya
隧道	terowong	Kereta api melalui terowong yang panjang
损坏	merosakkan	Hujan lebat merosakkan jalan raya
索取	meminta	Pelanggan boleh meminta sampel secara percuma
索性	terus sahaja	Hujan terlalu lebat, jadi kami terus sahaja tidak keluar
塌	runtuh	Bumbung rumah lama itu runtuh
踏实	tenang	Selepas menyelesaikan tugas, hati saya terasa sangat tenang
塔	menara	Di pusat bandar ada sebuah menara tinggi
台风	taufan	Taufan dijangka mendarat esok
太空	angkasa lepas	Manusia sentiasa meneroka angkasa lepas
泰斗	tokoh terkemuka	Dia ialah tokoh terkemuka dalam bidang linguistik
摊	gerai	Dia membuka sebuah gerai buah di pasar
瘫痪	lumpuh	Kemalangan jalan raya menyebabkan anggota bawahnya lumpuh
贪婪	tamak	Sifat tamak boleh menghancurkan seseorang
贪污	rasuah	Pegawai itu disiasat kerana rasuah
弹性	keanjalan	Bahan ini sangat anjal
坦白	mengaku	Akhirnya dia mengaku kebenaran itu
叹气	mengeluh	Apabila mendengar keputusan itu, dia tidak dapat menahan diri daripada mengeluh
探测	mengesan	Peralatan itu boleh mengesan air bawah tanah
探索	meneroka	Para saintis terus meneroka alam semesta
探讨	membincangkan	Pakar membincangkan rancangan pembaharuan
探望	menziarahi	Pada hujung minggu saya pergi ke hospital untuk menziarahi kawan
倘若	jika	Jika hujan, aktiviti itu akan ditangguhkan
掏	mengeluarkan	Dia mengeluarkan kunci dari poketnya
滔滔不绝	bercakap tanpa henti	Apabila bercakap tentang sejarah, dia bercakap tanpa henti
淘汰	tersingkir	Pasukan ini tersingkir lebih awal
陶瓷	seramik	Jingdezhen terkenal dengan seramik
陶醉	terpesona	Penonton terpesona oleh muzik itu
讨好	mengambil hati	Dia tidak mahu sengaja mengambil hati atasannya
特长	kemahiran istimewa	Melukis ialah kemahiran istimewanya
特定	tertentu	Sila serahkan permohonan dalam masa tertentu
特意	sengaja	Saya sengaja datang untuk mengucapkan terima kasih kepada kamu
提拔	menaikkan pangkat	Syarikat menaikkan pangkatnya menjadi penyelia jabatan
提炼	mengekstrak	Kilang mengekstrak logam daripada bijih
提示	mengarahkan	Sistem akan mengarahkan supaya memasukkan kata laluan
提议	mencadangkan	Dia mencadangkan supaya perbincangan diteruskan esok
题材	tema	Tema filem ini segar
体裁	genre	Novel dan puisi ialah genre yang berbeza
体积	isi padu	Kotak ini mempunyai isi padu yang besar
体谅	memahami	Tolong fahami kesukarannya
体面	terhormat	Dia mahu mencari pekerjaan yang terhormat
体系	sistem	Syarikat membina sistem latihan yang lengkap
天才	genius	Kanak-kanak ini dianggap genius muzik
天赋	bakat	Dia mempunyai bakat mempelajari bahasa
天伦之乐	kebahagiaan keluarga	Orang tua itu menikmati kebahagiaan keluarga
天然气	gas asli	Penduduk bandar menggunakan gas asli untuk memasak
天生	semula jadi	Dia semula jadi sangat optimis
天堂	syurga	Tempat ini seperti syurga di dunia
天文	astronomi	Sejak kecil dia suka astronomi
田径	olahraga	Sekolah mengadakan pertandingan olahraga
田野	ladang	Ladang pada musim bunga semuanya hijau
舔	menjilat	Anak anjing itu menjilat tangan tuannya
挑剔	cerewet	Dia sangat cerewet tentang makanan
条款	klausa	Klausa kontrak perlu dibaca dengan teliti
条理	teratur	Ucapannya sangat teratur
条约	perjanjian	Kedua-dua negara menandatangani perjanjian damai
调和	serasi	Dua warna ini sangat serasi
