simplified	KN	example_KN
位于	ಸ್ಥಿತವಾಗಿರುವುದು	ಶಾಲೆ ನಗರದ ಕೇಂದ್ರದಲ್ಲಿ ಇದೆ.
位置	ಸ್ಥಳ; ಸ್ಥಾನ	ಈ ಸ್ಥಳ ತುಂಬಾ ಶಾಂತವಾಗಿದೆ.
未必	ಅಗತ್ಯವಿಲ್ಲ; ಅನಿವಾರ್ಯವಲ್ಲ	ಅವನು ಹೇಳಿದ್ದು ಅಗತ್ಯವಿಲ್ಲದೆ ಸತ್ಯವಾಗಿರಬೇಕೆಂದಿಲ್ಲ.
未来	ಭವಿಷ್ಯ	ನಾವು ಭವಿಷ್ಯಕ್ಕಾಗಿ ಸಿದ್ಧರಾಗಬೇಕು.
胃	ಹೊಟ್ಟೆ	ನನ್ನ ಹೊಟ್ಟೆ ಸ್ವಲ್ಪ ಅಸ್ವಸ್ಥವಾಗಿದೆ.
胃口	ಆಹಾರಾಸಕ್ತಿ	ಇಂದು ಅವನ ಆಹಾರಾಸಕ್ತಿ ಚೆನ್ನಾಗಿದೆ.
温暖	ಬೆಚ್ಚಗಿನ	ವಸಂತದ ಸೂರ್ಯಕಿರಣ ತುಂಬಾ ಬೆಚ್ಚಗಿದೆ.
温柔	ಮೃದುವಾದ; ಸೌಮ್ಯ	ಅವಳು ತುಂಬಾ ಸೌಮ್ಯವಾಗಿ ಮಾತನಾಡುತ್ತಾಳೆ.
文件	ದಾಖಲೆ; ಕಡತ	ದಯವಿಟ್ಟು ಆ ಕಡತವನ್ನು ನನಗೆ ಕಳುಹಿಸಿ.
文具	ಲೇಖನ ಸಾಮಗ್ರಿ	ಶಾಲೆಚೀಲದಲ್ಲಿ ಅನೇಕ ಲೇಖನ ಸಾಮಗ್ರಿಗಳಿವೆ.
文明	ಸಂಸ್ಕೃತ; ನಾಗರಿಕ	ಸಾಲಿನಲ್ಲಿ ನಿಲ್ಲುವುದು ನಾಗರಿಕ ವರ್ತನೆ.
文学	ಸಾಹಿತ್ಯ	ಅವಳಿಗೆ ಚೀನಿ ಸಾಹಿತ್ಯ ಇಷ್ಟ.
文字	ಲಿಪಿ; ಬರಹ	ಈ ಬರಹದ ಅಕ್ಷರಗಳನ್ನು ಓದಲು ಕಷ್ಟ.
闻	ವಾಸನೆ ನೋಡುವುದು; ಕೇಳುವುದು	ನಾನು ಹೂವಿನ ಸುಗಂಧವನ್ನು ಅನುಭವಿಸಿದೆ.
吻	ಮುತ್ತು ಕೊಡುವುದು	ತಾಯಿ ಮಗುವಿನ ಮುಖಕ್ಕೆ ಮುತ್ತಿಟ್ಟಳು.
稳定	ಸ್ಥಿರ	ಬೆಲೆಗಳು ಸ್ಥಿರವಾಗಿವೆ.
问候	ವಂದನೆ ಕಳುಹಿಸುವುದು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಕುಟುಂಬಕ್ಕೆ ನನ್ನ ವಂದನೆಗಳನ್ನು ತಿಳಿಸಿ.
卧室	ಮಲಗುವ ಕೋಣೆ	ಮಲಗುವ ಕೋಣೆಯಲ್ಲಿ ಒಂದು ದೊಡ್ಡ ಹಾಸಿಗೆ ಇದೆ.
握手	ಕೈಕುಲುಕುವುದು	ಅವರು ಭೇಟಿಯಾದಾಗ ಕೈಕುಲುಕಿದರು.
屋子	ಮನೆ; ಕೊಠಡಿ	ಕೊಠಡಿಯಲ್ಲಿ ಚೆನ್ನಾಗಿ ಬಿಸಿಯಾಗಿತ್ತು.
无奈	ಅಸಹಾಯಕ; ಬೇರೆ ದಾರಿ ಇಲ್ಲದ	ಅವನು ಅಸಹಾಯಕವಾಗಿ ತಲೆ ಆಡಿಸಿದನು.
无数	ಅಸಂಖ್ಯಾತ	ರಾತ್ರಿ ಆಕಾಶದಲ್ಲಿ ಅಸಂಖ್ಯಾತ ನಕ್ಷತ್ರಗಳಿವೆ.
无所谓	ಪರವಾಗಿಲ್ಲ; ಮುಖ್ಯವಲ್ಲ	ನೀವು ಏನು ತಿನ್ನಲು ಬಯಸುತ್ತೀರಿ ಎಂಬುದು ಪರವಾಗಿಲ್ಲ.
武术	ಯುದ್ಧಕಲೆ	ಅವನು ಬಾಲ್ಯದಿಂದಲೇ ಯುದ್ಧಕಲೆ ಕಲಿಯುತ್ತಿದ್ದಾನೆ.
勿	ಮಾಡಬೇಡಿ; ಬೇಡ	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಧೂಮಪಾನ ಮಾಡಬೇಡಿ.
物理	ಭೌತಶಾಸ್ತ್ರ	ಭೌತಶಾಸ್ತ್ರದ ತರಗತಿ ತುಂಬಾ ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ.
物质	ಪದಾರ್ಥ; ವಸ್ತು	ನೀರು ಒಂದು ಮುಖ್ಯ ಪದಾರ್ಥ.
雾	ಮಂಜು	ಬೆಳಿಗ್ಗೆ ದಟ್ಟ ಮಂಜು ಇತ್ತು.
吸取	ಪಾಠ ಕಲಿಯುವುದು; ಹೀರಿಕೊಳ್ಳುವುದು	ನಾವು ಈ ಪಾಠದಿಂದ ಕಲಿಯಬೇಕು.
吸收	ಹೀರಿಕೊಳ್ಳುವುದು; ಅವಶೋಷಿಸುವುದು	ಸಸ್ಯಗಳು ನೀರನ್ನು ಹೀರಿಕೊಳ್ಳುತ್ತವೆ.
戏剧	ನಾಟಕ; ರಂಗಭೂಮಿ	ಅವನಿಗೆ ಪರಂಪರೆಯ ನಾಟಕಗಳನ್ನು ನೋಡುವುದು ಇಷ್ಟ.
系	ವಿಭಾಗ; ಸಂಬಂಧ	ಅವಳು ಚೀನಿ ವಿಭಾಗದಲ್ಲಿ ಓದುತ್ತಾಳೆ.
系统	ವ್ಯವಸ್ಥೆ	ಈ ವ್ಯವಸ್ಥೆ ಸ್ಥಿರವಾಗಿ ನಡೆಯುತ್ತದೆ.
细节	ವಿವರಗಳು	ದಯವಿಟ್ಟು ಈ ವಿವರಗಳ ಕಡೆ ಗಮನ ಕೊಡಿ.
瞎	ಕುರುಡಾಗಿ; ಅರ್ಥವಿಲ್ಲದೆ	ಕುರುಡಾಗಿ ಊಹಿಸಬೇಡಿ; ಮೊದಲು ಸಾಮಗ್ರಿಯನ್ನು ನೋಡಿ.
下载	ಡೌನ್‌ಲೋಡ್ ಮಾಡುವುದು	ನಾನು ಈ ಸಾಫ್ಟ್‌ವೇರ್ ಅನ್ನು ಡೌನ್‌ಲೋಡ್ ಮಾಡಿದೆ.
吓	ಹೆದರಿಸುವುದು	ಆಕಸ್ಮಿಕ ಶಬ್ದ ನನ್ನನ್ನು ಹೆದರಿಸಿತು.
夏令营	ಬೇಸಿಗೆ ಶಿಬಿರ	ಮಗು ಚೀನಿ ಬೇಸಿಗೆ ಶಿಬಿರದಲ್ಲಿ ಭಾಗವಹಿಸಿತು.
鲜艳	ಗಾಢಬಣ್ಣದ; ಕಂಗೊಳಿಸುವ	ಈ ಸ್ಕರ್ಟ್‌ನ ಬಣ್ಣ ತುಂಬಾ ಕಂಗೊಳಿಸುತ್ತದೆ.
显得	ಕಾಣಿಸುವುದು	ಈ ಬಟ್ಟೆ ಅವನನ್ನು ತುಂಬಾ ಯುವಕನಂತೆ ಕಾಣಿಸುತ್ತದೆ.
显然	ಸ್ಪಷ್ಟವಾಗಿ	ಸ್ಪಷ್ಟವಾಗಿ ಅವನಿಗೆ ಫಲಿತಾಂಶ ಈಗಾಗಲೇ ಗೊತ್ತಿದೆ.
显示	ತೋರಿಸುವುದು; ಪ್ರದರ್ಶಿಸುವುದು	ಪರದೆ ತಪ್ಪಾದ ಸಮಯವನ್ನು ತೋರಿಸುತ್ತಿದೆ.
县	ಜಿಲ್ಲೆ; ಕೌಂಟಿ	ಈ ಜಿಲ್ಲೆಯಲ್ಲಿ ಅನೇಕ ಚಹಾ ತೋಟಗಳಿವೆ.
现代	ಆಧುನಿಕ	ಆಧುನಿಕ ಜೀವನವನ್ನು ಇಂಟರ್ನೆಟ್‌ನಿಂದ ಬೇರ್ಪಡಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
现实	ವಾಸ್ತವ	ನಾವು ವಾಸ್ತವವನ್ನು ಎದುರಿಸಬೇಕು.
现象	ವಿದ್ಯಮಾನ	ಈ ವಿದ್ಯಮಾನ ಬಹಳ ಸಾಮಾನ್ಯವಾಗಿದೆ.
限制	ನಿರ್ಬಂಧಿಸುವುದು; ಮಿತಿ ಹಾಕುವುದು	ಇಲ್ಲಿ ವಾಹನ ಪ್ರವೇಶಕ್ಕೆ ನಿರ್ಬಂಧವಿದೆ.
相处	ಹೊಂದಿಕೊಂಡು ಇರುವುದು	ಅವರು ಒಬ್ಬರೊಂದಿಗೆ ಒಬ್ಬರು ತುಂಬಾ ಚೆನ್ನಾಗಿ ಹೊಂದಿಕೊಳ್ಳುತ್ತಾರೆ.
相当	ಸಾಕಷ್ಟು; ಬಹಳ	ಈ ಪುಸ್ತಕ ಸಾಕಷ್ಟು ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ.
相对	ತುಲನಾತ್ಮಕವಾಗಿ; ಸಂಬಂಧಿತವಾಗಿ	ಇಲ್ಲಿನ ಬೆಲೆಗಳು ತುಲನಾತ್ಮಕವಾಗಿ ಕಡಿಮೆ.
相关	ಸಂಬಂಧಿತ	ದಯವಿಟ್ಟು ಸಂಬಂಧಿತ ದಾಖಲೆಗಳನ್ನು ನೀಡಿ.
相似	ಹೋಲುವ; ಸಮಾನ	ಈ ಎರಡು ಅಕ್ಷರಗಳ ಅರ್ಥಗಳು ತುಂಬಾ ಹೋಲುತ್ತವೆ.
香肠	ಸಾಸೇಜ್	ಬೆಳಗಿನ ಉಪಾಹಾರಕ್ಕೆ ಮೊಟ್ಟೆ ಮತ್ತು ಸಾಸೇಜ್ ಇದೆ.
享受	ಆನಂದಿಸುವುದು	ಅವರು ರಜೆಯನ್ನು ಆನಂದಿಸುತ್ತಿದ್ದಾರೆ.
想念	ನೆನಸುವುದು; ಕಾಣಲು ಹಂಬಲಿಸುವುದು	ನನಗೆ ನನ್ನ ಕುಟುಂಬ ಬಹಳ ನೆನಪಾಗುತ್ತದೆ.
想象	ಕಲ್ಪಿಸುವುದು	ಆ ರೀತಿಯ ಜೀವನವನ್ನು ನಾನು ಕಲ್ಪಿಸಿಕೊಳ್ಳಲಾರೆ.
象棋	ಚೀನಿ ಚದುರಂಗ	ತಾತನಿಗೆ ಚೀನಿ ಚದುರಂಗ ಆಡುವುದು ಇಷ್ಟ.
象征	ಸಂಕೇತ; ಪ್ರತೀಕ	ಬಿಳಿ ಬಣ್ಣವು ಅನೇಕ ಬಾರಿ ಶುದ್ಧತೆಯ ಸಂಕೇತವಾಗಿರುತ್ತದೆ.
项	ಅಂಶ; ವಿಷಯ	ಈ ಕೆಲಸದ ಅಂಶ ತುಂಬಾ ಮುಖ್ಯ.
项链	ಹಾರ; ಸರ	ಅವಳು ಬೆಳ್ಳಿಯ ಹಾರ ಧರಿಸಿದ್ದಾಳೆ.
项目	ಯೋಜನೆ; ಅಂಶ	ಈ ಯೋಜನೆಗೆ ಮೂರು ತಿಂಗಳು ಬೇಕು.
消费	ಬಳಕೆ; ಖರ್ಚು	ರಜಾದಿನಗಳಲ್ಲಿ ಬಳಕೆ ಹೆಚ್ಚಾಯಿತು.
消化	ಜೀರ್ಣ; ಜೀರ್ಣಿಸುವುದು	ಊಟದ ನಂತರ ನಡೆಯುವುದು ಜೀರ್ಣಕ್ಕೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.
消极	ನಕಾರಾತ್ಮಕ	ಸಮಸ್ಯೆಗಳನ್ನು ನಕಾರಾತ್ಮಕ ಮನೋಭಾವದಿಂದ ನೋಡಬೇಡಿ.
消失	ಕಣ್ಮರೆಯಾಗುವುದು	ಸೂರ್ಯನು ಬೆಟ್ಟದ ಹಿಂದೆ ನಿಧಾನವಾಗಿ ಕಣ್ಮರೆಯಾಯಿತು.
销售	ಮಾರಾಟ ಮಾಡುವುದು	ಈ ಕಂಪನಿ ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಉತ್ಪನ್ನಗಳನ್ನು ಮಾರುತ್ತದೆ.
小麦	ಗೋಧಿ	ಉತ್ತರ ಭಾಗದಲ್ಲಿ ಬಹಳಷ್ಟು ಗೋಧಿ ಬೆಳೆಸುತ್ತಾರೆ.
小气	ಜಿಪುಣ; ಸಣ್ಣ ಮನಸ್ಸಿನ	ಇಷ್ಟು ಜಿಪುಣತನ ತೋರಬೇಡಿ.
孝顺	ತಂದೆತಾಯಿಗಳನ್ನು ಗೌರವಿಸುವ	ಅವನು ತಂದೆತಾಯಿಗಳನ್ನು ಬಹಳ ಗೌರವಿಸುತ್ತಾನೆ.
效率	ಕಾರ್ಯಕ್ಷಮತೆ; ದಕ್ಷತೆ	ಈ ರೀತಿಯಲ್ಲಿ ಮಾಡಿದರೆ ಕಾರ್ಯಕ್ಷಮತೆ ಹೆಚ್ಚುತ್ತದೆ.
歇	ವಿಶ್ರಾಂತಿ ಪಡೆಯುವುದು	ಮೊದಲು ಸ್ವಲ್ಪ ವಿಶ್ರಾಂತಿ ಪಡೆಯೋಣ.
斜	ಓರೆಯಾದ	ಈ ರಸ್ತೆ ಸ್ವಲ್ಪ ಓರೆಯಾಗಿದೆ.
写作	ಬರವಣಿಗೆ	ಬರವಣಿಗೆಗೆ ದೀರ್ಘಕಾಲದ ಅಭ್ಯಾಸ ಬೇಕು.
心理	ಮನೋವೈಜ್ಞಾನಿಕ; ಮನಸ್ಥಿತಿ	ಪರೀಕ್ಷೆಗೆ ಮೊದಲು ನಿಮ್ಮ ಮನಸ್ಥಿತಿಯನ್ನು ಸರಿಪಡಿಸಬೇಕು.
心脏	ಹೃದಯ	ಹೃದಯದ ಆರೋಗ್ಯ ಬಹಳ ಮುಖ್ಯ.
欣赏	ಮೆಚ್ಚುವುದು; ಆಸ್ವಾದಿಸುವುದು	ನಾವು ಸುಂದರ ದೃಶ್ಯವನ್ನು ಆಸ್ವಾದಿಸಿದೆವು.
信号	ಸಂಕೇತ; ಸಿಗ್ನಲ್	ಇಲ್ಲಿ ಮೊಬೈಲ್ ಸಂಕೇತ ದುರ್ಬಲವಾಗಿದೆ.
信任	ನಂಬಿಕೆ; ನಂಬುವುದು	ಸ್ನೇಹಿತರ ನಡುವೆ ನಂಬಿಕೆ ಬೇಕು.
形成	ರೂಪುಗೊಳ್ಳುವುದು	ಒಳ್ಳೆಯ ಅಭ್ಯಾಸಗಳು ನಿಧಾನವಾಗಿ ರೂಪುಗೊಳ್ಳಬೇಕು.
形容	ವರ್ಣಿಸುವುದು; ವಿವರಿಸುವುದು	ಈ ಭಾವನೆಯನ್ನು ಹೇಗೆ ವರ್ಣಿಸಬೇಕು ಎಂದು ನನಗೆ ತಿಳಿಯದು.
形势	ಪರಿಸ್ಥಿತಿ	ಪ್ರಸ್ತುತ ಪರಿಸ್ಥಿತಿ ತುಸು ಸಂಕೀರ್ಣವಾಗಿದೆ.
形式	ರೂಪ; ವಿಧಾನ	ಸಭೆಯನ್ನು ಆನ್‌ಲೈನ್ ರೂಪದಲ್ಲಿ ನಡೆಸಬಹುದು.
形象	ಚಿತ್ರಣ; ಭಾವಚಿತ್ರ	ಅವನ ಸಾರ್ವಜನಿಕ ಚಿತ್ರಣ ತುಂಬಾ ಒಳ್ಳೆಯದು.
形状	ಆಕಾರ	ಈ ಪೆಟ್ಟಿಗೆಯ ಆಕಾರ ತುಂಬಾ ವಿಶೇಷವಾಗಿದೆ.
行动	ಕ್ರಮ; ಕಾರ್ಯಾಚರಣೆ	ನಾವು ತಕ್ಷಣ ಕ್ರಮ ಕೈಗೊಳ್ಳಬೇಕು.
行人	ಪಾದಚಾರಿ	ರಸ್ತೆ ದಾಟುವಾಗ ಪಾದಚಾರಿಗಳ ಕಡೆ ಗಮನ ಕೊಡಿ.
行为	ವರ್ತನೆ	ಈ ರೀತಿಯ ವರ್ತನೆ ಅಸಭ್ಯವಾಗಿದೆ.
幸亏	ಅದೃಷ್ಟವಶಾತ್	ಅದೃಷ್ಟವಶಾತ್ ನೀವು ನನಗೆ ನೆನಪಿಸಿದಿರಿ.
幸运	ಅದೃಷ್ಟವಂತ; ಅದೃಷ್ಟ	ಅವನಿಗೆ ಕೆಲಸ ಸಿಕ್ಕಿದ್ದು ಅದೃಷ್ಟ.
性质	ಸ್ವಭಾವ; ಲಕ್ಷಣ	ಈ ಸಮಸ್ಯೆಯ ಸ್ವಭಾವ ತುಂಬಾ ಗಂಭೀರವಾಗಿದೆ.
兄弟	ಸಹೋದರರು	ಆ ಇಬ್ಬರು ಸಹೋದರರ ಸಂಬಂಧ ಚೆನ್ನಾಗಿದೆ.
胸	ಎದೆ	ಅವನ ಎದೆಯಲ್ಲಿ ಸ್ವಲ್ಪ ಬಿಗಿತವಾಗಿದೆ.
休闲	ವಿರಾಮ; ವಿಶ್ರಾಂತಿ	ವಾರಾಂತ್ಯವು ವಿರಾಮಕ್ಕೆ ಒಳ್ಳೆಯ ಸಮಯ.
修改	ತಿದ್ದುಪಡಿ ಮಾಡುವುದು	ದಯವಿಟ್ಟು ಈ ಲೇಖನವನ್ನು ತಿದ್ದುಪಡಿ ಮಾಡಿ.
虚心	ವಿನಯಶೀಲ; ಮುಕ್ತಮನಸ್ಸಿನ	ನಾವು ಮುಕ್ತಮನಸ್ಸಿನಿಂದ ಅಭಿಪ್ರಾಯಗಳನ್ನು ಕೇಳಬೇಕು.
叙述	ನಿರೂಪಿಸುವುದು; ವಿವರಿಸುವುದು	ಅವನು ನಡೆದದ್ದನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ನಿರೂಪಿಸಿದನು.
宣布	ಘೋಷಿಸುವುದು	ಶಾಲೆ ಹೊಸ ನಿಯಮಗಳನ್ನು ಘೋಷಿಸಿತು.
宣传	ಪ್ರಚಾರ ಮಾಡುವುದು; ತಿಳಿಸುವುದು	ಅವರು ಪರಿಸರ ಸಂರಕ್ಷಣೆಯ ಜ್ಞಾನವನ್ನು ಪ್ರಚಾರ ಮಾಡುತ್ತಿದ್ದಾರೆ.
学历	ವಿದ್ಯಾರ್ಹತೆ	ಈ ಕೆಲಸಕ್ಕೆ ಪದವಿ ವಿದ್ಯಾರ್ಹತೆ ಬೇಕು.
学术	ಶೈಕ್ಷಣಿಕ	ಈ ಸಭೆ ಶೈಕ್ಷಣಿಕ ವಿಚಾರಗಳನ್ನು ಚರ್ಚಿಸುತ್ತದೆ.
学问	ಜ್ಞಾನ; ಪಾಂಡಿತ್ಯ	ಅವನಿಗೆ ಬಹಳ ಜ್ಞಾನವಿದೆ.
血	ರಕ್ತ	ಅವನ ಕೈಯಿಂದ ಸ್ವಲ್ಪ ರಕ್ತ ಬಂತು.
寻找	ಹುಡುಕುವುದು	ನಾವು ಹೊಸ ವಿಧಾನವನ್ನು ಹುಡುಕುತ್ತಿದ್ದೇವೆ.
询问	ವಿಚಾರಿಸುವುದು	ಅವನು ಶಿಕ್ಷಕರನ್ನು ಪರೀಕ್ಷೆಯ ಸಮಯದ ಬಗ್ಗೆ ವಿಚಾರಿಸಿದನು.
训练	ತರಬೇತಿ; ತರಬೇತಿ ನೀಡುವುದು	ಕ್ರೀಡಾಪಟು ಪ್ರತಿದಿನ ತರಬೇತಿ ಪಡೆಯುತ್ತಾನೆ.
迅速	ವೇಗವಾದ; ತ್ವರಿತ	ಸುದ್ದಿ ವೇಗವಾಗಿ ಹರಡಿತು.
押金	ಠೇವಣಿ	ಮನೆ ಬಾಡಿಗೆಗೆ ಪಡೆಯಲು ಠೇವಣಿ ಕೊಡಬೇಕು.
牙齿	ಹಲ್ಲುಗಳು	ಪ್ರತಿದಿನ ನಿಮ್ಮ ಹಲ್ಲುಗಳನ್ನು ಚೆನ್ನಾಗಿ ನೋಡಿಕೊಳ್ಳಿ.
严肃	ಗಂಭೀರ	ಶಿಕ್ಷಕರ ಮುಖಭಾವ ತುಂಬಾ ಗಂಭೀರವಾಗಿತ್ತು.
延长	ವಿಸ್ತರಿಸುವುದು; ದೀರ್ಘಗೊಳಿಸುವುದು	ಸಭೆಯನ್ನು ಅರ್ಧ ಗಂಟೆ ವಿಸ್ತರಿಸಲಾಯಿತು.
演讲	ಭಾಷಣ	ಅವನು ನಾಳೆಯ ಭಾಷಣಕ್ಕೆ ಸಿದ್ಧತೆ ಮಾಡುತ್ತಿದ್ದಾನೆ.
宴会	ಔತಣಕೂಟ	ಅವರು ಒಂದು ಔತಣಕೂಟದಲ್ಲಿ ಭಾಗವಹಿಸಿದರು.
阳台	ಬಾಲ್ಕನಿ	ಬಾಲ್ಕನಿಯಲ್ಲಿ ಕೆಲವು ಹೂವಿನ ಕುಂಡಿಗಳಿವೆ.
痒	ತುರಿಕೆ; ತುರಿಸುವುದು	ನನ್ನ ಕೈಗೆ ಸ್ವಲ್ಪ ತುರಿಕೆ ಆಗುತ್ತಿದೆ.
样式	ಶೈಲಿ; ಮಾದರಿ	ಈ ಶೈಲಿ ತುಂಬಾ ಜನಪ್ರಿಯವಾಗಿದೆ.
腰	ಸೊಂಟ; ಕೆಳ ಬೆನ್ನು	ಬಹಳ ಹೊತ್ತು ಕುಳಿತರೆ ಸೊಂಟ ನೋಯಬಹುದು.
摇	ಅಲುಗಿಸುವುದು; ತೂಗುವುದು	ಗಾಳಿ ಕೊಂಬೆಗಳನ್ನು ಮುಂದೆ ಹಿಂದೆ ಅಲುಗಿಸಿತು.
咬	ಕಚ್ಚುವುದು	ಈ ನಾಯಿ ಜನರನ್ನು ಕಚ್ಚುವುದಿಲ್ಲ.
要不	ಇಲ್ಲದಿದ್ದರೆ; ಅಥವಾ	ಇಲ್ಲದಿದ್ದರೆ ನಾಳೆ ಮತ್ತೆ ಹೋಗೋಣವೇ?
业务	ವ್ಯವಹಾರ; ವೃತ್ತಿಪರ ಕೆಲಸ	ಕಂಪನಿಯ ವ್ಯವಹಾರ ಬೆಳೆಯುತ್ತಿದೆ.
业余	ವಿರಾಮಕಾಲದ; ಕೆಲಸದ ಹೊರಗಿನ	ಅವನು ವಿರಾಮ ಸಮಯದಲ್ಲಿ ಛಾಯಾಗ್ರಹಣ ಕಲಿಯುತ್ತಾನೆ.
夜	ರಾತ್ರಿ	ರಾತ್ರಿ ರಸ್ತೆ ತುಂಬಾ ಶಾಂತವಾಗಿರುತ್ತದೆ.
依然	ಇನ್ನೂ; ಹಾಗೆಯೇ	ಅವನು ಇನ್ನೂ ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ವಾಸಿಸುತ್ತಾನೆ.
一辈子	ಜೀವಮಾನವಿಡೀ	ಅವಳು ಜೀವನಪೂರ್ತಿ ಸಂಗೀತವನ್ನು ಪ್ರೀತಿಸಿದಳು.
一旦	ಒಮ್ಮೆ; ಆಗಿದರೆ	ಒಮ್ಮೆ ನಿರ್ಧರಿಸಿದರೆ ಅದನ್ನು ಮುಂದುವರಿಸಬೇಕು.
一律	ಎಲ್ಲವೂ; ಒಂದೇ ರೀತಿಯಾಗಿ	ಸಭೆಯ ಸಮಯದಲ್ಲಿ ಎಲ್ಲಾ ಫೋನ್‌ಗಳನ್ನು ಆರಿಸಬೇಕು.
一再	ಮತ್ತೆ ಮತ್ತೆ	ಸುರಕ್ಷತೆಯ ಕಡೆ ಗಮನ ಕೊಡಲು ಅವನು ನಮಗೆ ಮತ್ತೆ ಮತ್ತೆ ನೆನಪಿಸಿದನು.
一致	ಒಂದೇ ರೀತಿಯ; ಒಪ್ಪಿಗೆಯ	ಎಲ್ಲರ ಅಭಿಪ್ರಾಯಗಳು ಸಂಪೂರ್ಣವಾಗಿ ಒಂದೇ ರೀತಿಯಾಗಿವೆ.
疑问	ಸಂದೇಹ; ಪ್ರಶ್ನೆ	ಈ ಉತ್ತರದ ಬಗ್ಗೆ ನನಗೆ ಒಂದು ಸಂದೇಹವಿದೆ.
移动	ಸರಿಸುವುದು; ಚಲನೆ	ದಯವಿಟ್ಟು ಮೇಜನ್ನು ಸ್ವಲ್ಪ ಸರಿಸಿ.
移民	ವಲಸೆ ಹೋಗುವುದು; ವಲಸಿಗ	ಅವರು ವಿದೇಶಕ್ಕೆ ವಲಸೆ ಹೋಗಲು ಯೋಜಿಸಿದ್ದಾರೆ.
遗憾	ವಿಷಾದ; ಬೇಸರ	ನಿಮ್ಮನ್ನು ನೋಡಲಾಗದಿದ್ದಕ್ಕೆ ನನಗೆ ವಿಷಾದ.
乙	ಎರಡನೇ ಗುರುತು; ಎರಡನೇ ಪಕ್ಷ	ಒಪ್ಪಂದದಲ್ಲಿ ಎರಡನೇ ಪಕ್ಷ ಪಾವತಿಯ ಹೊಣೆ ಹೊರುತ್ತದೆ.
以及	ಹಾಗೂ; ಜೊತೆಗೆ	ನಾನು ಪುಸ್ತಕಗಳ ಜೊತೆಗೆ ಲೇಖನ ಸಾಮಗ್ರಿಯನ್ನೂ ಕೊಂಡೆ.
以来	ಇಂದಿನಿಂದ; ನಂತರದಿಂದ	ಪದವಿ ಪಡೆದ ನಂತರದಿಂದ ಅವನು ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾನೆ.
义务	ಕರ್ತವ್ಯ; ಬಾಧ್ಯತೆ	ಪರಿಸರವನ್ನು ರಕ್ಷಿಸುವುದು ಪ್ರತಿಯೊಬ್ಬರ ಕರ್ತವ್ಯ.
亿	ನೂರು ಮಿಲಿಯನ್; ಕೋಟಿ ಪ್ರಮಾಣ	ಈ ದೇಶದ ಜನಸಂಖ್ಯೆ ನೂರು ಕೋಟಿಗಿಂತ ಹೆಚ್ಚು.
意外	ಅನಿರೀಕ್ಷಿತ; ಅಪಘಾತ	ಈ ಬಾರಿ ತಡವಾದುದು ಸಂಪೂರ್ಣವಾಗಿ ಅನಿರೀಕ್ಷಿತವಾಗಿತ್ತು.
意义	ಅರ್ಥ; ಮಹತ್ವ	ಈ ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ತುಂಬಾ ಮಹತ್ವವಿದೆ.
议论	ಚರ್ಚಿಸುವುದು; ಅಭಿಪ್ರಾಯ ಹೇಳುವುದು	ಎಲ್ಲರೂ ಈ ವಿಷಯವನ್ನು ಚರ್ಚಿಸುತ್ತಿದ್ದಾರೆ.
因而	ಆದ್ದರಿಂದ; ಪರಿಣಾಮವಾಗಿ	ಅವನು ಪರಿಶ್ರಮದಿಂದ ಓದುತ್ತಾನೆ, ಆದ್ದರಿಂದ ಅವನ ಅಂಕಗಳು ಚೆನ್ನಾಗಿವೆ.
因素	ಕಾರಕ; ಅಂಶ	ಹವಾಮಾನ ಒಂದು ಮುಖ್ಯ ಕಾರಕ.
银	ಬೆಳ್ಳಿ	ಅವಳು ಬೆಳ್ಳಿಯ ಕಂಗಣ ಧರಿಸಿದ್ದಾಳೆ.
印刷	ಮುದ್ರಿಸುವುದು; ಮುದ್ರಣ	ಈ ಪುಸ್ತಕದ ಮುದ್ರಣ ತುಂಬಾ ಸ್ಪಷ್ಟವಾಗಿದೆ.
英俊	ಸುಂದರ; ಆಕರ್ಷಕ	ಅವನು ತುಂಬಾ ಆಕರ್ಷಕನಾಗಿದ್ದಾನೆ.
英雄	ವೀರ; ನಾಯಕ	ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ನಿಜವಾದ ವೀರರು.
营养	ಪೌಷ್ಟಿಕತೆ	ಬೆಳಗಿನ ಉಪಾಹಾರದಲ್ಲಿ ಸಾಕಷ್ಟು ಪೌಷ್ಟಿಕತೆ ಇರಬೇಕು.
营业	ವ್ಯವಹಾರ ನಡೆಸುವುದು	ಈ ಅಂಗಡಿ ಒಂಬತ್ತು ಗಂಟೆಗೆ ವ್ಯವಹಾರ ಆರಂಭಿಸುತ್ತದೆ.
