simplified	SI	example_SI
摔倒	වැටීම	ඇය පාරේ වැටුණාය.
甩	සොලවා දැමීම	ඔහු අත්වල තිබූ වතුර සොලවා දැමුවේය.
双方	දෙපාර්ශවය	දෙපාර්ශවයම මේ යෝජනාවට එකඟ විය.
税	බදු	දේවල් මිලදී ගන්නා විට බදු ගෙවිය යුතුය.
说不定	සමහරවිට	සමහරවිට හෙට හිම වැටේ.
说服	ඒත්තු ගැන්වීම	ඔහු අවසානයේ දෙමාපියන්ට ඒත්තු ගැන්වීය.
丝绸	සේද	මේ මෆ්ලරය සේදෙන් සාදා ඇත.
丝毫	කිසි තරම්වත්	ඔහු තම අදහස කිසි තරම්වත් වෙනස් කළේ නැත.
思考	සිතා බැලීම	කරුණාකර මේ ප්‍රශ්නය ගැන ගැඹුරින් සිතා බලන්න.
思想	චින්තනය	ඔහුගේ චින්තනය ඉතා විවෘතය.
撕	ඉරා දැමීම	කරුණාකර මේ කඩදාසි කැබැල්ල ඉරා දමන්න එපා.
私人	පෞද්ගලික	මෙය මගේ පෞද්ගලික අවකාශයයි.
似乎	පෙනෙන්නේ	ඔහු එතරම් සතුටු නැති බව පෙනේ.
搜索	සෙවීම	මම අන්තර්ජාලයේ ද්‍රව්‍ය සෙව්වෙමි.
宿舍	නේවාසිකාගාරය	සිසුන් පාසලේ නේවාසිකාගාරයේ ජීවත් වෙති.
随身	තමන් ළඟ රැගෙන යන	කරුණාකර ගමන් බලපත්‍රය තමන් ළඟ තබාගන්න.
随时	ඕනෑම වේලාවක	ඔබට ඕනෑම වේලාවක මට දුරකථනයෙන් කතා කළ හැක.
随手	යන ගමන්ම	පිටව යන විට කරුණාකර යන ගමන්ම දොර වසන්න.
碎	කැබලිවීම	කෝප්පය බිමට වැටී කැබලි විය.
损失	අලාභය	මේ අනතුරෙන් විශාල අලාභයක් සිදු විය.
缩短	කෙටි කිරීම	නව මාර්ගය ගමන කෙටි කළේය.
所	ආයතන ගණන් කරන පදය	මේ පාසල ඉතා ප්‍රසිද්ධය.
锁	අගුලු දැමීම	පිටතට යාමට පෙර කරුණාකර දොර හොඳින් අගුලු දමන්න.
台阶	පඩිපෙළ	මහලු පුද්ගලයා සෙමින් පඩිපෙළ ඉහළට නැග්ගේය.
太极拳	තායි චී ව්‍යායාමය	උද්‍යානයේ කිහිප දෙනෙක් තායි චී ව්‍යායාම කරති.
太太	මහත්මිය	වං මහත්මිය ආහාර පිසමින් සිටී.
谈判	සාකච්ඡා කිරීම	දෙපාර්ශවය සාකච්ඡා කරමින් සිටිති.
坦率	අවංක	ඔහු තම අදහස් අවංකව පැවසුවේය.
烫	ඉතා උණුසුම්	මේ තේ කෝප්පය ඉතා උණුසුම්ය.
桃	පීච්	ගසේ පීච් බොහෝ පලදා ඇත.
淘气	දඟ	මේ දරුවා ටිකක් දඟය.
逃	පලා යාම	කුඩා බල්ලා මිදුලෙන් පලා ගියේය.
逃避	මඟහැරීම	වගකීම මඟහරින්න එපා.
讨价还价	මිල කේවල් කිරීම	දේවල් මිලදී ගන්නා විට ඔහු මිල කේවල් කිරීමට කැමතියි.
套	කට්ටලය	ඔහු නව ඇඳුම් කට්ටලයක් මිලදී ගත්තේය.
特色	විශේෂ ලක්ෂණය	මේ ආපන ශාලාවට ප්‍රදේශීය විශේෂ ලක්ෂණ ඇත.
特殊	විශේෂ	අද විශේෂ දිනයකි.
特征	ලක්ෂණය	මේ සත්ත්ව වර්ගයට පැහැදිලි ලක්ෂණ ඇත.
疼爱	ආදරයෙන් රැකබලා ගැනීම	සීයා සහ ආච්චි දරුවා ආදරයෙන් රැකබලා ගනිති.
提倡	ප්‍රවර්ධනය කිරීම	පාසල ජලය ඉතිරි කිරීම ප්‍රවර්ධනය කරයි.
提纲	දළ සැලැස්ම	ලිපියක් ලිවීමට පෙර දළ සැලැස්මක් සකස් කරන්න.
提问	ප්‍රශ්න ඇසීම	සිසුන්ට ඕනෑම වේලාවක ප්‍රශ්න ඇසිය හැක.
题目	ප්‍රශ්නය	මේ ප්‍රශ්නය එතරම් අමාරු නැත.
体会	අවබෝධය	සංචාරය හරහා මට නව අවබෝධයක් ලැබුණි.
体贴	සැලකිලිමත්	ඔහු තම පවුලට ඉතා සැලකිලිමත්ය.
体现	පෙන්වීම	මේ සිද්ධිය කණ්ඩායම් ආත්මය පෙන්වයි.
体验	අත්විඳීම	මට දේශීය ජීවිතය අත්විඳීමට අවශ්‍යය.
天空	අහස	අද අහස ඉතා නිල්ය.
天真	අහිංසක	දරුවාගේ අදහස ඉතා අහිංසකය.
调皮	දඟකාර	ඒ පූසා ඉතා දඟකාරය.
调整	සකස් කිරීම	අපට සැලැස්ම සකස් කළ යුතුය.
挑战	අභියෝගය	මෙය විශාල අභියෝගයකි.
通常	සාමාන්‍යයෙන්	ඔහු සාමාන්‍යයෙන් හතට නැගිටියි.
统一	එකඟ කිරීම	හැමෝගේම අදහස් එකඟ කළ යුතුය.
痛苦	වේදනාව	මිතුරෙකු අහිමි වීම ඔහුට මහත් වේදනාවක් විය.
痛快	ඉතා සතුටින්	අද අපි ඇත්තෙන්ම ඉතා සතුටින් විනෝද වුණෙමු.
偷	සොරකම් කිරීම	අන් අයගේ දේවල් සොරකම් කරන්න එපා.
投入	සම්පූර්ණ අවධානයෙන් නිරත වීම	ඔහු සම්පූර්ණ අවධානයෙන් වැඩ කරයි.
投资	ආයෝජනය කිරීම	ඔවුන් නව ව්‍යාපෘතියකට ආයෝජනය කළහ.
透明	පාරදෘශ්‍ය	මේ කෝප්පය පාරදෘශ්‍යය.
突出	කැපී පෙනෙන	ඔහුගේ වාසි ඉතා කැපී පෙනේ.
土地	භූමිය	මේ භූමි කොටස ඉතා සාරවත්ය.
土豆	අර්තාපල්	මම අර්තාපල් කිහිපයක් මිලදී ගත්තෙමි.
兔子	හාවා	දරුවා හාවෙකු ඇති කරයි.
吐	වමනය කිරීම	ඔහුට අසනීපයි, වමනය එනවා වගේ දැනේ.
团	කණ්ඩායම	අපි සංචාරක කණ්ඩායමකට එක් වුණෙමු.
推辞	ප්‍රතික්ෂේප කිරීම	ඔහු මිතුරාගේ ආරාධනය ප්‍රතික්ෂේප කළේය.
推广	ප්‍රවර්ධනය කිරීම	සමාගම නව නිෂ්පාදනය ප්‍රවර්ධනය කරමින් සිටී.
推荐	නිර්දේශ කිරීම	ගුරුවරයා මේ පොත නිර්දේශ කළේය.
退	පසුබැසීම	කරුණාකර එක් පියවරක් පසුබසින්න.
退步	පසුබෑම	පුහුණු නොවුණොත් මට්ටම පසුබසිනු ඇත.
退休	විශ්‍රාම ගැනීම	ඔහු ලබන වසරේ විශ්‍රාම යාමට නියමිතය.
歪	ඇල වූ	මේ චිත්‍රය ඇලට එල්ලා ඇත.
外公	මවගේ පියා	මගේ මවගේ පියාට මේ වසරේ වයස අසූවකි.
外交	රාජ්‍යතාන්ත්‍රික කටයුතු	ඔහු ජාත්‍යන්තර සබඳතා සහ රාජ්‍යතාන්ත්‍රික කටයුතු ඉගෙන ගනී.
完美	පරිපූර්ණ	මේ සැලැස්ම පරිපූර්ණ නොවේ.
完善	වැඩිදියුණු කිරීම	අපට සේවා ක්‍රියාවලිය වැඩිදියුණු කළ යුතුය.
完整	සම්පූර්ණ	කරුණාකර මට සම්පූර්ණ වාර්තාවක් දෙන්න.
玩具	සෙල්ලම් බඩු	දරුවා සෙල්ලම් බඩු පෙට්ටියට දැමුවේය.
万一	බැරි වෙලාවත්	බැරි වෙලාවත් වැස්සොත් අපි වෙනත් දවසක යමු.
王子	කුමාරයා	කතාවේ කුමාරයා ඉතා නිර්භීතය.
往返	යාම සහ ආපසු ඒම	මේ ටිකට්පතෙන් එදිනම යාම සහ ආපසු ඒම කළ හැක.
网络	අන්තර්ජාල සම්බන්ධතාව	මෙහි අන්තර්ජාල සම්බන්ධතාව ඉතා ස්ථාවරය.
危害	හානි කිරීම	දුම්පානය සෞඛ්‍යයට හානි කරයි.
威胁	තර්ජනය කිරීම	දූෂණය ගඟට තර්ජනය කරමින් පවතී.
微笑	මඳ සිනහව	ඇය මට මඳ සිනහවක් පෑවාය.
唯一	එකම	මෙය එකම ක්‍රමයයි.
围巾	මෆ්ලරය	ශීත ඍතුවේ ඔහු මෆ්ලරයක් පැළඳ සිටී.
围绕	වටා කේන්ද්‍රගත වීම	සාකච්ඡාව මේ ප්‍රශ්නය වටා කේන්ද්‍රගත විය.
维修	අලුත්වැඩියා කිරීම	ලිෆ්ට් යන්ත්‍රය අලුත්වැඩියා කරමින් පවතී.
违反	උල්ලංඝනය කිරීම	මෙලෙස කිරීම නීති උල්ලංඝනය කරයි.
伟大	විශිෂ්ට	මෙය විශිෂ්ට සොයාගැනීමකි.
委屈	අසාධාරණයට ලක් වූ හැඟීම	ඇයට තමන් අසාධාරණයට ලක් වූ බව දැනුණි.
尾巴	වලිගය	කුඩා බල්ලා වලිගය සොලවමින් සිටියේය.
位于	පිහිටා තිබීම	පාසල නගර මධ්‍යයේ පිහිටා ඇත.
位置	ස්ථානය	මේ ස්ථානය ඉතා නිහඬය.
未必	අනිවාර්යයෙන්ම නොවේ	ඔහු කී දෙය අනිවාර්යයෙන්ම ඇත්ත නොවිය හැක.
未来	අනාගතය	අපි අනාගතය සඳහා සූදානම් විය යුතුය.
胃	ආමාශය	මගේ ආමාශය ටිකක් අපහසුය.
胃口	ආහාර රුචිය	ඔහුට අද හොඳ ආහාර රුචියක් ඇත.
温暖	උණුසුම්	වසන්තයේ හිරු එළිය ඉතා උණුසුම්ය.
温柔	මෘදු	ඇය ඉතා මෘදු ලෙස කතා කරයි.
文件	ලේඛනය	කරුණාකර ලේඛනය මට එවන්න.
文具	ලිපිද්‍රව්‍ය	පාසල් බෑගයේ ලිපිද්‍රව්‍ය බොහෝ ඇත.
文明	ශිෂ්ට	පෝලිමේ සිටීම ශිෂ්ට හැසිරීමකි.
文学	සාහිත්‍යය	ඇය චීන සාහිත්‍යයට කැමතියි.
文字	ලිඛිත අකුරු	මේ ලිඛිත අකුරු කියවීමට අමාරුය.
闻	සුවඳ දැනීම	මට මල් සුවඳක් දැනුණි.
吻	සිප ගැනීම	අම්මා දරුවාගේ මුහුණ සිප ගත්තාය.
稳定	ස්ථාවර	මිල ගණන් ස්ථාවරව පවතී.
问候	සුබ පැතීම	කරුණාකර ඔබේ පවුලට මගේ සුබ පැතුම් කියන්න.
卧室	නිදන කාමරය	නිදන කාමරයේ විශාල ඇඳක් ඇත.
握手	අතට අත දීම	හමුවූ විට ඔවුන් අතට අත දුන්හ.
屋子	කාමරය	කාමරය තුළ ඉතා උණුසුම්ය.
无奈	කරගත දෙයක් නැතිව	ඔහු කරගත දෙයක් නැතිව හිස සෙලවීය.
无数	අසංඛ්‍ය	රාත්‍රී අහසේ අසංඛ්‍ය තරු ඇත.
无所谓	ප්‍රශ්නයක් නැත	ඔබට කන්න අවශ්‍ය දේ කුමක් වුවත් ප්‍රශ්නයක් නැත.
武术	සටන් කලාව	ඔහු කුඩා කාලයේ සිට සටන් කලාව ඉගෙනගෙන ඇත.
勿	එපා	කරුණාකර මෙහි දුම්පානය කරන්න එපා.
物理	භෞතික විද්‍යාව	භෞතික විද්‍යා පාඩම ඉතා රසවත්ය.
物质	ද්‍රව්‍යය	ජලය වැදගත් ද්‍රව්‍යයකි.
雾	මීදුම	උදෑසන ඝන මීදුමක් තිබුණි.
吸取	පාඩමක් ඉගෙන ගැනීම	අපි මේ පාඩමෙන් ඉගෙන ගත යුතුය.
吸收	අවශෝෂණය කිරීම	ශාක ජලය අවශෝෂණය කරයි.
戏剧	නාට්‍යය	ඔහු සාම්ප්‍රදායික නාට්‍ය බැලීමට කැමතියි.
系	අධ්‍යයන අංශය	ඇය චීන අධ්‍යයන අංශයේ ඉගෙන ගනී.
系统	පද්ධතිය	මේ පද්ධතිය ස්ථාවරව ක්‍රියා කරයි.
细节	විස්තර	කරුණාකර මේ විස්තර ගැන අවධානය යොමු කරන්න.
瞎	අන්ධ ලෙස	අන්ධ ලෙස අනුමාන කරන්න එපා, මුලින් ද්‍රව්‍ය බලන්න.
下载	බාගත කිරීම	මම මේ මෘදුකාංගය බාගත කළෙමි.
吓	බිය ගැන්වීම	හදිසි ශබ්දය මාව බිය ගැන්වීය.
夏令营	ගිම්හාන කඳවුර	දරුවා චීන ගිම්හාන කඳවුරකට සහභාගී විය.
鲜艳	දීප්තිමත් වර්ණ ඇති	මේ සායේ වර්ණය ඉතා දීප්තිමත්ය.
显得	පෙනෙන්නට කිරීම	මේ ඇඳුම ඔහුව තරුණ ලෙස පෙනෙන්නට කරයි.
显然	පැහැදිලිවම	පැහැදිලිවම ඔහු දැනටමත් ප්‍රතිඵලය දන්නවා.
显示	පෙන්වීම	තිරය වැරදි වේලාව පෙන්වයි.
县	කවුන්ටිය	මේ කවුන්ටියේ තේ වතු බොහෝ ඇත.
现代	නවීන	නවීන ජීවිතය අන්තර්ජාලයෙන් වෙන් කළ නොහැක.
现实	යථාර්ථය	අපි යථාර්ථයට මුහුණ දිය යුතුය.
现象	සංසිද්ධිය	මේ සංසිද්ධිය ඉතා සාමාන්‍යය.
限制	සීමා කිරීම	මෙහි වාහන ඇතුළුවීම සීමා කර ඇත.
相处	එකට හොඳින් සිටීම	ඔවුන් එකට ඉතා හොඳින් සිටිති.
相当	තරමක්	මේ පොත තරමක් රසවත්ය.
相对	සාපේක්ෂව	මෙහි මිල ගණන් සාපේක්ෂව අඩුය.
相关	අදාළ	කරුණාකර අදාළ ද්‍රව්‍ය සපයන්න.
相似	සමාන	මේ අකුරු දෙකේ අර්ථ ඉතා සමානයි.
香肠	සොසේජ්	උදෑසන ආහාරයට බිත්තර සහ සොසේජ් ඇත.
享受	රස විඳීම	ඔවුන් නිවාඩුව රස විඳිමින් සිටිති.
想念	මතක් වී වැළපීම	මට පවුල ඉතා මතක් වේ.
想象	කල්පනා කිරීම	මට ඒ වගේ ජීවිතයක් කල්පනා කළ නොහැක.
象棋	චීන චෙස්	සීයා චීන චෙස් ක්‍රීඩා කිරීමට කැමතියි.
象征	සංකේත කිරීම	සුදු පැහැය බොහෝ විට පවිත්‍රතාව සංකේත කරයි.
项	කාර්ය අයිතමය	මේ කාර්යය ඉතා වැදගත්ය.
项链	මාලය	ඇය රිදී මාලයක් පැළඳ සිටී.
项目	ව්‍යාපෘතිය	මේ ව්‍යාපෘතියට මාස තුනක් අවශ්‍යය.
消费	පරිභෝජනය	උත්සව කාලය තුළ පරිභෝජනය වැඩි විය.
消化	ජීර්ණය	ආහාරයෙන් පසු ඇවිදීම ජීර්ණයට උපකාරී වේ.
消极	ඍණාත්මක	ප්‍රශ්න ඍණාත්මක ආකල්පයකින් බලන්න එපා.
消失	අතුරුදහන් වීම	සූර්යයා සෙමින් කඳු පිටුපස අතුරුදහන් විය.
销售	විකිණීම	මේ සමාගම ඉලෙක්ට්‍රොනික නිෂ්පාදන විකුණයි.
小麦	තිරිඟු	උතුරේ තිරිඟු බොහෝ වගා කර ඇත.
小气	මසුරු	මේ තරම් මසුරු වෙන්න එපා.
孝顺	මව්පියන්ට භක්තිමත්	ඔහු මව්පියන්ට ඉතා භක්තිමත්ය.
效率	කාර්යක්ෂමතාව	මෙලෙස කිරීමෙන් කාර්යක්ෂමතාව වැඩි කළ හැක.
歇	විවේක ගැනීම	අපි මුලින් ටිකක් විවේක ගනිමු.
斜	ඇල	මේ පාර ටිකක් ඇලය.
写作	ලිවීම	ලිවීමට දිගුකාලීන පුහුණුව අවශ්‍යය.
心理	මානසික තත්ත්වය	විභාගයට පෙර මානසික තත්ත්වය සකස් කළ යුතුය.
心脏	හෘදය	හෘද සෞඛ්‍යය ඉතා වැදගත්ය.
欣赏	අගය කර රස විඳීම	අපි අලංකාර දර්ශනය අගය කර රස වින්දෙමු.
信号	සංඥාව	මෙහි ජංගම දුරකථන සංඥාව හොඳ නැත.
信任	විශ්වාසය	මිතුරන් අතර විශ්වාසය අවශ්‍යය.
形成	ගොඩනැගීම	හොඳ පුරුදු සෙමින් ගොඩනැගිය යුතුය.
形容	විස්තර කිරීම	මේ හැඟීම කෙසේ විස්තර කළ යුතුදැයි මට නොදනී.
形势	තත්ත්වය	වත්මන් තත්ත්වය සාපේක්ෂව සංකීර්ණය.
形式	ආකාරය	රැස්වීම මාර්ගගත ආකාරයෙන් පැවැත්විය හැක.
形象	ප්‍රතිරූපය	ඔහුගේ මහජන ප්‍රතිරූපය ඉතා හොඳය.
形状	හැඩය	මේ පෙට්ටියේ හැඩය ඉතා විශේෂය.
行动	ක්‍රියා කිරීම	අපි වහාම ක්‍රියා කළ යුතුය.
行人	පදිකයා	පාර හරහා යන විට පදිකයන් ගැන අවධානය යොමු කරන්න.
行为	හැසිරීම	මේ ආකාරයේ හැසිරීම ආචාරශීලී නොවේ.
幸亏	වාසනාවට	වාසනාවට ඔබ මට මතක් කළා.
幸运	වාසනාවන්ත	ඔහු වාසනාවන්ත ලෙස රැකියාවක් සොයා ගත්තේය.
性质	ස්වභාවය	මේ ප්‍රශ්නයේ ස්වභාවය ඉතා බරපතළය.
兄弟	සහෝදරයන්	ඒ සහෝදරයන් දෙදෙනාගේ සම්බන්ධතාව ඉතා හොඳය.
胸	පපුව	ඔහුට පපුව ටිකක් තද බව දැනේ.
休闲	විවේකය	සති අන්තය විවේකයට හොඳ කාලයකි.
修改	සංශෝධනය කිරීම	කරුණාකර මේ ලිපිය සංශෝධනය කරන්න.
虚心	විවෘත මනසින්	අපි අදහස් විවෘත මනසින් ඇසිය යුතුය.
叙述	විස්තර කර කීම	ඔහු සිදුවීම පැහැදිලිව විස්තර කර කීවේය.
宣布	නිවේදනය කිරීම	පාසල නව නීති නිවේදනය කළේය.
宣传	ප්‍රචාරය කිරීම	ඔවුන් පරිසර ආරක්ෂණ දැනුම ප්‍රචාරය කරමින් සිටිති.
学历	අධ්‍යාපන සුදුසුකම	මේ රැකියාවට උපාධි අධ්‍යාපන සුදුසුකමක් අවශ්‍යය.
学术	ශාස්ත්‍රීය	මේ රැස්වීම ශාස්ත්‍රීය ප්‍රශ්න සාකච්ඡා කරයි.
学问	දැනුම	ඔහු ඉතා දැනුමැති පුද්ගලයෙකි.
血	ලේ	ඔහුගේ අතින් ටිකක් ලේ ගලා ගියේය.
寻找	සොයා යාම	අපි නව ක්‍රමයක් සොයා යමින් සිටිමු.
询问	විමසීම	ඔහු ගුරුවරයාගෙන් විභාග වේලාව විමසුවේය.
训练	පුහුණුව	ක්‍රීඩකයා දිනපතා පුහුණුව දිගටම කරයි.
迅速	වේගයෙන්	පුවත වේගයෙන් පැතිර ගියේය.
押金	තැන්පතු මුදල	නිවසක් කුලියට ගැනීමට තැන්පතු මුදලක් ගෙවිය යුතුය.
牙齿	දත්	කරුණාකර සෑම දිනකම දත් හොඳින් ආරක්ෂා කරන්න.
严肃	ගම්භීර	ගුරුවරයාගේ මුහුණේ පෙනුම ඉතා ගම්භීරය.
延长	දිගු කිරීම	රැස්වීම පැය භාගයකින් දිගු විය.
演讲	කථාව	ඔහු හෙට කථාවට සූදානම් වෙමින් සිටී.
宴会	භෝජන සංග්‍රහය	ඔවුන් භෝජන සංග්‍රහයකට සහභාගී වූහ.
阳台	බැල්කනිය	බැල්කනියේ මල් පෝච්චි කිහිපයක් ඇත.
痒	කැසීම	මගේ අත ටිකක් කැසෙයි.
样式	ශෛලිය	මේ ශෛලිය ඉතා ජනප්‍රියය.
腰	පහළ පිට	දිගු වේලාවක් වාඩි වී සිටියොත් පහළ පිට රිදෙන්න පුළුවන්.
摇	සෙලවීම	සුළඟ අතු එහා මෙහා සෙලවීය.
咬	සපා කෑම	මේ බල්ලා මිනිසුන් සපා කන්නේ නැත.
要不	එහෙම නම්	එහෙම නම් අපි හෙට නැවත යමුද?
业务	ව්‍යාපාර කටයුතු	සමාගමේ ව්‍යාපාර කටයුතු තව තවත් වැඩි වේ.
业余	විවේක කාලයේ	ඔහු විවේක කාලයේ ඡායාරූපකරණය ඉගෙන ගනී.
夜	රාත්‍රිය	රාත්‍රියේ වීදිය ඉතා නිහඬය.
依然	තවමත්	ඔහු තවමත් බෙයිජිංහි ජීවත් වේ.
一辈子	ජීවිත කාලය පුරා	ඇය ජීවිත කාලය පුරා සංගීතයට ආදරය කළාය.
一旦	වරක්	වරක් තීරණය කළ පසු, එය අඛණ්ඩව කරගෙන යා යුතුය.
一律	සියල්ලම එකසේ	රැස්වීම අතරතුර දුරකථන සියල්ලම එකසේ වසා දැමිය යුතුය.
一再	නැවත නැවත	ඔහු ආරක්ෂාව ගැන අවධානය යොමු කරන්නැයි අපට නැවත නැවත මතක් කළේය.
一致	එකඟ	හැමෝගේම අදහස් සම්පූර්ණයෙන් එකඟය.
疑问	සැක ප්‍රශ්නය	මේ පිළිතුර ගැන මට සැක ප්‍රශ්නයක් ඇත.
移动	ගෙන යාම	කරුණාකර මේ මේසය ටිකක් ගෙන යන්න.
移民	විදේශගත වී පදිංචි වීම	ඔවුන් විදේශගත වී පදිංචි වීමට සැලසුම් කරති.
遗憾	කනගාටුව	ඔබව හමුවීමට නොහැකි වූ නිසා මට කනගාටුයි.
乙	දෙවන පාර්ශවය	ගිවිසුමේ දෙවන පාර්ශවය ගෙවීම සඳහා වගකිව යුතුය.
以及	සහ	මම පොත් සහ ලිපිද්‍රව්‍ය මිලදී ගත්තෙමි.
以来	සිට	උපාධිය ලබාගත් දින සිට ඔහු බෙයිජිංහි වැඩ කරමින් සිටී.
义务	වගකීම	පරිසරය ආරක්ෂා කිරීම සෑම කෙනෙකුගේම වගකීමකි.
亿	බිලියනය	මේ රටේ ජනගහනය බිලියනයකට වැඩිය.
意外	අනපේක්ෂිත	මේ වතාවේ ප්‍රමාද වීම සම්පූර්ණයෙන්ම අනපේක්ෂිත දෙයක් විය.
意义	අර්ථවත් බව	මේ ක්‍රියාකාරකම ඉතා අර්ථවත්ය.
议论	සාකච්ඡා කිරීම	හැමෝම මේ කාරණය සාකච්ඡා කරමින් සිටිති.
因而	ඒ නිසා	ඔහු මහන්සි වී ඉගෙන ගනී, ඒ නිසා ඔහුගේ ලකුණු හොඳය.
因素	සාධකය	කාලගුණය වැදගත් සාධකයකි.
银	රිදී	ඇය රිදී අත්කඩයක් පැළඳ සිටී.
印刷	මුද්‍රණය කිරීම	මේ පොත ඉතා පැහැදිලිව මුද්‍රණය කර ඇත.
英俊	කඩවසම්	ඔහු ඉතා කඩවසම්ය.
英雄	වීරයා	ගිනි නිවන භටයෝ සැබෑ වීරයෝය.
营养	පෝෂණය	උදෑසන ආහාරයේ ප්‍රමාණවත් පෝෂණය තිබිය යුතුය.
营业	ව්‍යාපාරය ආරම්භ කිරීම	මේ වෙළඳසැල නවයට ව්‍යාපාරය ආරම්භ කරයි.
迎接	පිළිගැනීම	අපි අමුත්තන් පිළිගැනීමට ගුවන්තොටුපළට ගියෙමු.
影子	සෙවණැල්ල	මාර්ග ආලෝකය යට ඔහුගේ සෙවණැල්ල තිබේ.
应付	කළමනාකරණය කිරීම	ඔහුට මේ ප්‍රශ්නය කළමනාකරණය කළ හැක.
应用	යෙදවීම	මේ ක්‍රමය ඉගැන්වීමට යෙදවිය හැක.
硬	දෘඩ	මේ පුටුව ඉතා දෘඩය.
硬件	දෘඩාංග	මේ පරිගණකයේ දෘඩාංග හොඳය.
拥抱	වැළඳ ගැනීම	දරුවා දුවගෙන ගොස් අම්මා වැළඳ ගත්තේය.
拥挤	තදබදය	උදෑසන කාර්යබහුල වේලාවේ භූගත දුම්රිය ඉතා තදබදය.
勇气	ධෛර්යය	තම වැරැද්ද පිළිගැනීමට ඔහුට ධෛර්යය ඇත.
用功	මහන්සි වී ඉගෙන ගැනීම	ඇය ඉතා මහන්සි වී ඉගෙන ගනී.
用途	භාවිතය	මේ ද්‍රව්‍යයට භාවිත බොහෝ ඇත.
优惠	වට්ටම	මේ වෙළඳසැලේ අද වට්ටමක් ඇත.
优美	අලංකාර	මෙහි පරිසරය ඉතා අලංකාරය.
优势	වාසිය	ඔහුගේ වාසිය වන්නේ අත්දැකීම් බහුල වීමය.
悠久	දිගු ඉතිහාසයක් ඇති	චීනයට දිගු ඉතිහාසයක් ඇත.
油炸	තෙලේ බැදීම	මම තෙලේ බැදූ ආහාර ඉතා කලාතුරකින් කමි.
游览	සංචාරය කිරීම	අපි හෙට තහනම් නගරය සංචාරය කරමු.
犹豫	පසුබට වීම	ඔහු ටික වේලාවක් පසුබට වී පසුව පිළිතුරු දුන්නේය.
有利	වාසිදායක	මේ කොන්දේසිය අපට වාසිදායකය.
幼儿园	පෙර පාසල	දරුවා ලබන වසරේ පෙර පාසලට යයි.
娱乐	විනෝදාස්වාදය	චිත්‍රපට බැලීම විනෝදාස්වාදයකි.
与其	කරනවාට වඩා	පැමිණිලි කරනවාට වඩා ක්‍රියා කිරීම හොඳය.
语气	කතා ස්වරය	ඔහුගේ කතා ස්වරය ඉතා මෘදුය.
玉米	බඩ ඉරිඟු	රාත්‍රී ආහාරයට බඩ ඉරිඟු සුප් ඇත.
预报	අනාවැකිය	කාලගුණ අනාවැකිය හෙට වැසි ඇති බව කියයි.
预订	කලින් වෙන් කිරීම	මම හෝටලය දැනටමත් කලින් වෙන් කර ඇත.
预防	වැළැක්වීම	නිතර අත් සේදීම සෙම්ප්‍රතිශ්‍යාව වැළැක්විය හැක.
元旦	නව වසරේ පළමු දිනය	නව වසරේ පළමු දිනයේ අපට දිනක් නිවාඩු ඇත.
原料	අමු ද්‍රව්‍ය	පාන්වල ප්‍රධාන අමු ද්‍රව්‍යය පිටි වේ.
原则	ප්‍රතිපත්තිය	මිනිසෙකුට ප්‍රතිපත්ති තිබිය යුතුය.
员工	සේවකයා	සමාගමට සේවකයන් තුන්සිය දෙනෙක් සිටිති.
圆	වටකුරු	චන්ද්‍රයා විශාලත් වටකුරුත්ය.
愿望	ප්‍රාර්ථනය	ඔහුගේ ප්‍රාර්ථනය ලෝකය වටා සංචාරය කිරීමයි.
乐器	සංගීත භාණ්ඩය	ඇයට සංගීත භාණ්ඩ කිහිපයක් වාදනය කළ හැක.
晕	කරකැවිල්ල	නැවෙන් යන විට මට ටිකක් කරකැවිල්ල දැනේ.
运气	වාසනාව	අද මගේ වාසනාව හොඳය.
运输	ප්‍රවාහනය	මේ භාණ්ඩවලට දුම්රිය ප්‍රවාහනය අවශ්‍යය.
运用	භාවිතයට ගැනීම	කරුණාකර මේ වචන නම්‍යශීලීව භාවිතයට ගන්න.
灾害	ආපදා	ගංවතුර ස්වභාවික ආපදාවකි.
再三	නැවත නැවත	ගුරුවරයා අපට නැවත නැවත පාඩම් නැවත බැලීමට මතක් කළේය.
在乎	වැදගත් කොට සැලකීම	ඔහු මිතුරන්ගේ අදහස් ඉතා වැදගත් කොට සලකයි.
在于	රඳා පවතී	සාර්ථකත්වය අඛණ්ඩ උත්සාහය මත රඳා පවතී.
赞成	එකඟ වීම	මම ඔබේ යෝජනාවට එකඟ වෙමි.
赞美	ප්‍රශංසා කිරීම	හැමෝම ඇගේ ධෛර්යය ප්‍රශංසා කළහ.
糟糕	නරක	අද කාලගුණය ඇත්තටම නරකය.
造成	හේතු වීම	දැඩි වැස්ස මාර්ග තදබදයට හේතු විය.
则	එවිට	මහන්සි වුවහොත් එවිට ප්‍රගතියක් ලැබේ.
责备	දෝෂාරෝපණය කිරීම	ගුරුවරයා ඔහුට දෝෂාරෝපණය කළේ නැත.
摘	නෙළීම	ඇය උයනේ මලක් නෙළුවාය.
窄	පටු	මේ පාර ඉතා පටුය.
粘贴	අලවීම	කරුණාකර ඡායාරූපය මෙහි අලවන්න.
展开	ආරම්භ වීම	සාකච්ඡාව ඉක්මනින් ආරම්භ විය.
