simplified	LT	example_LT
内在	vidinis	Jis labiau vertina žmogaus vidines savybes.
能量	energija	Šie pusryčiai man suteikia daug energijos.
拟定	parengti	Sekretorė rengia susitikimo darbotvarkę.
逆行	važiuoti prieš kryptį	Tas automobilis važiavo prieš eismo kryptį vienpusėje gatvėje.
年度	metinis	Įmonė paskelbė metinę ataskaitą.
捏	gnybti	Ji švelniai gnybtelėjo vaikui į skruostą.
凝固	sustingti	Atvėsęs vaškas pamažu sustings.
凝聚	sutelkti	Bendras tikslas gali sutelkti komandos jėgas.
凝视	įdėmiai žiūrėti	Jis įdėmiai žiūrėjo į tolumoje esančias šviesas.
拧	žnybti	Jis ranka kartą mane sužnybė.
宁肯	verčiau	Ji verčiau patirtų nesėkmę, negu atsisakytų principų.
宁愿	verčiau	Aš verčiau eisiu pėsčiomis, negu lauksiu autobuso.
扭转	pakeisti	Nauja politika pakeitė nuostolingą padėtį.
纽扣儿	saga	Šie marškiniai pametė sagą.
农历	mėnulio kalendorius	Pavasario šventė švenčiama pagal mėnulio kalendorių.
浓厚	stiprus	Jis turi stiprų susidomėjimą istorija.
奴隶	vergas	Senovės visuomenėje egzistavo vergovė.
挪	pastumti	Prašome šiek tiek pastumti kėdę į šoną.
虐待	skriausti	Įstatymas draudžia skriausti vaikus.
哦	o	O, pagaliau supratau.
殴打	sumusti	Policija sulaikė žmogų, kuris sumušė praeivį.
偶像	stabas	Ji laiko tą rašytoją savo stabu.
呕吐	vemti	Suvalgęs sugedusio maisto jis pradėjo vemti.
趴	gulėti kniūbsčias	Kačiukas gulėjo kniūbsčias ant palangės ir miegojo.
徘徊	vaikščioti pirmyn atgal	Jis ilgai vaikščiojo pirmyn atgal prie durų.
排斥	atstumti	Nauja medžiaga atstumia drėgmę.
排除	atmesti	Gydytojas pirmiausia atmetė rimtą ligą.
排放	išmetimas	Gamyklos turi mažinti išmetamųjų dujų kiekį.
排练	repetuoti	Aktoriai repetuoja naują programą.
派别	frakcija	Šioje organizacijoje yra skirtingų frakcijų.
派遣	siųsti	Įmonė išsiuntė inžinierius į objektą.
攀登	kopti	Jie rytoj planuoja kopti į snieguotą kalną.
盘旋	sukti ratus	Lėktuvas suko ratus virš oro uosto.
判决	nuosprendis	Teismas šiandien paskelbė nuosprendį.
畔	pakrantė	Vaikai vaikščiojo ežero pakrante.
庞大	milžiniškas	Šiam projektui reikia milžiniškų lėšų.
抛弃	atsisakyti	Jis nenori atsisakyti savo svajonės.
泡沫	putos	Puodelyje yra daug baltų putų.
培育	ugdyti	Mokykla stengiasi ugdyti mokinių atsakomybės jausmą.
配备	aprūpinti	Naujas automobilis aprūpintas saugos sistema.
配偶	sutuoktinis	Paraiškos formoje reikia sutuoktinio informacijos.
配套	pilnas komplektas	Bendruomenė turi pilną pagalbinių paslaugų komplektą.
盆地	baseinas	Šiame baseine vasarą labai karšta.
烹饪	kulinarija	Kulinarijai reikia kantrybės ir patirties.
捧	laikyti abiem rankomis	Ji abiem rankomis laikė gėlių puokštę.
劈	skaldyti	Darbininkas kirviu skaldė malkas.
批发	didmeninė prekyba	Ši parduotuvė daugiausia verčiasi didmenine vaisių prekyba.
批判	kritikuoti	Straipsnis kritikavo šį klaidingą požiūrį.
疲惫	išsekęs	Po ilgos kelionės visi buvo išsekę.
疲倦	pavargęs	Nuolatinis darbas privertė jį jaustis pavargusį.
皮革	oda	Šis krepšys pagamintas iš odos.
屁股	užpakalis	Parkritus vaikui skaudėjo užpakalį.
譬如	pavyzdžiui	Pavyzdžiui, pirmiausia galime atlikti mažą bandymą.
偏差	nuokrypis	Eksperimento rezultatuose yra akivaizdus nuokrypis.
偏见	išankstinis nusistatymas	Turėtume vengti etninio išankstinio nusistatymo.
偏僻	atokus	Šis kaimas yra labai atokioje vietoje.
偏偏	kaip tyčia	Kuo labiau skubėjau, tuo lėčiau kaip tyčia važiavo automobilis.
片断	fragmentas	Filme yra keli puikūs fragmentai.
片刻	akimirka	Prašome palaukti čia manęs akimirką.
漂浮	plūduriuoti	Nukritę lapai plūduriavo ant vandens.
飘扬	plevėsuoti	Nacionalinė vėliava plevėsavo vėjyje.
撇	numesti	Jis numetė seną planą į šalį.
拼搏	kovoti	Jauni žmonės turėtų kovoti dėl savo idealų.
拼命	iš visų jėgų	Jis iš visų jėgų vijosi priekyje esančią komandą.
贫乏	skurdus	Šio straipsnio turinys gana skurdus.
贫困	skurdus	Vyriausybė padeda skurdžioms šeimoms.
频繁	dažnas	Pastaruoju metu čia dažni eismo įvykiai.
频率	dažnis	Šio garso dažnis labai aukštas.
品尝	ragauti	Svečiai ragauja vietinį maistą.
品德	moralė	Mokykla vertina mokinių moralinį ugdymą.
品质	kokybė	Šios įmonės produktų kokybė stabili.
品种	veislė	Turguje yra daug vaisių veislių.
屏幕	ekranas	Prašome sumažinti ekrano ryškumą.
屏障	barjeras	Miškas yra svarbus barjeras nuo vėjo.
平凡	paprastas	Jis daug metų dirbo paprastose pareigose.
平面	planas	Dizaineris nupiešė namo planą.
平坦	lygus	Šis kelias labai lygus.
平行	lygiagretus	Šios dvi linijos yra lygiagrečios viena kitai.
平庸	vidutiniškas	Jis nenori gyventi vidutiniško gyvenimo.
平原	lyguma	Traukinys važiavo per plačią lygumą.
评估	vertinti	Ekspertai vertina projekto riziką.
评论	komentuoti	Skaitytojai gali komentuoti po straipsniu.
坡	šlaitas	Automobilis lėtai kilo šlaitu.
泼	aptaškyti	Neaptaškykite vandeniu grindų.
颇	gana	Šis rezultatas gana netikėtas.
破例	padaryti išimtį	Vadovas padarė išimtį ir patvirtino jo paraišką.
迫不及待	nekantriai	Vaikai nekantriai laukė, kada galės atidaryti dovanas.
迫害	persekiojimas	Istorijoje daug žmonių patyrė persekiojimą.
魄力	drąsa	Vadovams reikia drąsos priimti sprendimus.
扑	pulti	Vaikas staiga puolė mamai į glėbį.
铺	tiesti	Darbininkai tiesia naują kilimą.
普及	paplisti	Internetas miestuose jau plačiai paplitęs.
朴实	paprastas	Jo kalba paprasta ir nuoširdi.
朴素	kuklus	Ji mėgsta kuklų gyvenimo būdą.
瀑布	krioklys	Turistai stovėjo prie krioklio ir fotografavosi.
凄凉	nykus	Žiemą kalnų kaimas atrodė labai nykus.
期望	lūkestis	Tėvai turi didelių lūkesčių savo vaikams.
期限	terminas	Registracijos terminas yra šį penktadienį.
欺负	skriausti	Vyresni vaikai neturėtų skriausti jaunesnių.
欺骗	apgauti	Klaidinga reklama apgavo vartotojus.
奇妙	nuostabus	Gamtoje yra daug nuostabių reiškinių.
旗袍	qipao	Ji vilkėjo raudoną qipao ir dalyvavo vakare.
旗帜	vėliava	Aikštėje plevėsavo ryškios vėliavos.
歧视	diskriminacija	Įstatymas draudžia bet kokią diskriminacijos formą.
齐全	pilnas	Šioje parduotuvėje įrankių asortimentas labai pilnas.
齐心协力	vienytis	Visi susivienijo ir užbaigė užduotį.
乞丐	elgeta	Kelio pakraštyje sėdėjo senas elgeta.
企图	mėginti	Jis mėgino nuslėpti tikrąją padėtį.
启程	išvykti	Delegacija išvyks rytoj anksti ryte.
启蒙	pradinis ugdymas	Ši knyga tinka vaikų pradiniam skaitymo ugdymui.
启事	skelbimas	Prie mokyklos vartų buvo priklijuotas darbo skelbimas.
启示	pamoka	Ši nesėkmė mums davė svarbią pamoką.
岂有此理	absurdas	Toks mokestis yra tikras absurdas.
起草	rengti	Advokatas rengia sutartį.
起初	iš pradžių	Iš pradžių jis netikėjo šia žinia.
起伏	banguoti	Kalnų kelias banguoja pagal reljefą.
起哄	kelti triukšmą	Mokiniai neturėtų kelti triukšmo per pamoką.
起码	bent jau	Tu bent jau turėjai mane įspėti iš anksto.
起源	kilmė	Šios šventės kilmė siekia senovę.
器材	įranga	Laboratorijai reikia naujos mokymo įrangos.
器官	organas	Širdis yra svarbus žmogaus kūno organas.
气概	dvasia	Šis eilėraštis parodo herojišką dvasią.
气功	čigongas	Senelis kiekvieną rytą praktikuoja čigongą.
气魄	užmojis	Šis tiltas turi didelį užmojį.
气色	veido spalva	Pailsėjus jo veido spalva gerokai pagerėjo.
气势	veržlumas	Komanda nuo pat pradžių rodė stiprų veržlumą.
气味	kvapas	Virtuvėje buvo keptos duonos kvapas.
气象	meteorologija	Šiame plokščiakalnyje meteorologinės sąlygos greitai keičiasi.
气压	oro slėgis	Sumažėjęs oro slėgis gali atnešti lietų.
气质	temperamentas	Ji turi ramų temperamentą.
迄今为止	iki šiol	Iki šiol eksperimentas vyksta sklandžiai.
掐	skinti	Ji nuskynė mažą gėlę.
恰当	tinkamas	Tavo atsakymas labai tinkamas.
恰到好处	kaip tik	Šio patiekalo saldumas yra kaip tik.
恰巧	kaip tik	Man atvykus į stotį, kaip tik pradėjo lyti.
洽谈	derėtis	Abi šalys derasi dėl bendradarbiavimo detalių.
千方百计	visais būdais	Jie visais būdais ieško sprendimo.
牵	vesti	Mama vedė vaiką per kelią už rankos.
牵扯	įtraukti	Šis reikalas įtraukia daug skyrių.
牵制	varžyti	Priešininkų gynyba varžė puolimą.
签署	pasirašyti	Dvi įmonės pasirašė susitarimą.
谦逊	nuolankus	Pasiekęs sėkmę jis vis tiek liko nuolankus.
迁就	nuolaidžiauti	Tėvai negali visada nuolaidžiauti vaikui.
迁徙	migruoti	Migruojantys paukščiai kasmet juda pagal sezonus.
前景	perspektyva	Šios pramonės šakos perspektyva gera.
前提	prielaida	Pasitikėjimas yra bendradarbiavimo prielaida.
潜力	potencialas	Šis mokinys turi didelį potencialą.
潜水	nardyti	Jie išvyko prie jūros mokytis nardyti.
潜移默化	nepastebimai veikti	Šeimos aplinka nepastebimai veikia vaikus.
谴责	pasmerkti	Tarptautinė bendruomenė pasmerkė smurtą.
抢劫	apiplėšti	Policija sugavo banką apiplėšusį įtariamąjį.
强制	priverstinis	Naujos taisyklės priverstinai įpareigoja vairuotojus segėti saugos diržą.
强迫	versti	Neverskite vaikų daryti to, kas jiems nepatinka.
抢救	gelbėti	Gydytojai gelbsti sužeistą darbininką.
桥梁	tiltas	Kalba yra kultūrinių mainų tiltas.
窍门	gudrybė	Tariant garsus yra keletas gudrybių.
翘	užkelti	Jis užkėlė vieną koją ant kėdės.
切实	realus	Mums reikia realaus ir įgyvendinamo plano.
锲而不舍	atkakliai	Jis atkakliai tyrinėjo šią problemą.
亲密	artimas	Jie visada palaikė artimus santykius.
亲热	šiltas	Senolis šiltai pasitiko svečius.
侵犯	pažeisti	Toks elgesys pažeidžia asmens privatumą.
侵略	agresija	Žmonės priešinasi bet kokiai agresijos formai.
钦佩	žavėtis	Aš labai žaviuosi jos drąsa.
勤俭	darbštus ir taupus	Senelė visą gyvenimą darbščiai ir taupiai tvarkė namus.
勤劳	darbštus	Darbštūs žmonės visada gali susikurti galimybių.
倾听	įdėmiai klausytis	Mokytojas įdėmiai klausėsi mokinių nuomonių.
倾向	polinkis	Jauni vartotojai turi polinkį pirkti internetu.
倾斜	pasvirti	Po smarkaus lietaus siena pradėjo svirti.
清澈	skaidrus	Kalnų upelio vanduo labai skaidrus.
清晨	ankstyvas rytas	Ankstyvo ryto oras ypač gaivus.
清除	pašalinti	Darbininkai pašalino nuo kelio sniegą.
清洁	švarus	Ligoninė turi palaikyti švarią aplinką.
清理	tvarkyti	Savaitgalį sutvarkėme sandėlį.
清晰	aiškus	Ši nuotrauka labai aiški.
清醒	blaivus	Išgėręs kavos jis tapo daug žvalesnis.
清真	halal	Netoliese yra halal restoranas.
情报	informacija	Žurnalistas gavo svarbios informacijos.
情节	siužetas	Romano siužetas labai įtemptas.
情理	protas	Jo reikalavimas neatitinka proto.
情形	padėtis	Vietoje padėtis buvo sudėtingesnė, nei įsivaizdavome.
晴朗	giedras	Šiandien dangus ypač giedras.
请柬	kvietimas	Jie išsiuntė giminėms ir draugams vestuvių kvietimus.
请教	pasikonsultuoti	Norėčiau su jumis pasikonsultuoti vienu klausimu.
请示	prašyti nurodymų	Dėl šio reikalo pirmiausia reikia prašyti vadovo nurodymų.
请帖	kvietimas	Ant stalo gulėjo gimtadienio kvietimas.
丘陵	kalvos	Šioje vietovėje daug kalvų.
区分	atskirti	Vaikas jau moka atskirti kairę ir dešinę.
区域	teritorija	Šioje teritorijoje draudžiama statyti automobilį.
屈服	pasiduoti	Jis nepasidavė spaudimui.
曲折	vingiuotas	Jie patyrė sudėtingas derybas.
驱逐	išvaryti	Policija išvarė triukšmadarius.
渠道	kanalas	Įmonė parduoda produktus per naują kanalą.
取缔	uždrausti	Vyriausybė uždraudė nelegalią rinką.
曲子	melodija	Šios melodijos skambesys labai gražus.
趣味	įdomumas	Šis žaidimas turi daug įdomumo.
圈套	spąstai	Jis vos nepakliuvo į sukčių spąstus.
全局	bendras vaizdas	Vadovai turi atsižvelgti į bendro vaizdo interesus.
全力以赴	dėti visas pastangas	Mes dėsime visas pastangas, kad užbaigtume užduotį.
拳头	kumštis	Jis sugniaužė kumštį ir ruošėsi varžyboms.
权衡	pasverti	Mums reikia pasverti išlaidas ir poveikį.
权威	autoritetas	Šis profesorius yra tos srities autoritetas.
犬	šuo	Šios veislės šuo tinka saugoti namus.
缺口	plyšys	Sienoje yra mažas plyšys.
缺席	nedalyvavimas	Jis dėl ligos nedalyvavo susitikime.
缺陷	trūkumas	Šiame projekte yra akivaizdus trūkumas.
瘸	šlubuojantis	Jo kairė koja šiek tiek šlubuoja.
确保	užtikrinti	Prašome užtikrinti, kad durys jau užrakintos.
确立	įtvirtinti	Įmonė įtvirtino naujus plėtros tikslus.
确切	tikslus	Nežinau tikslaus laiko.
确信	būti tikram	Esu tikras, kad jis atvyks laiku.
群众	visuomenė	Visuomenė labai palaiko naują politiką.
染	dažyti	Ji nusidažė plaukus juodai.
嚷	šaukti	Nešaukite garsiai koridoriuje.
让步	nuolaida	Abi šalys padarė tam tikrų nuolaidų.
饶恕	atleisti	Galiausiai ji pasirinko atleisti kitai pusei.
扰乱	sutrikdyti	Triukšmas sutrikdė pamokos tvarką.
惹祸	pridaryti bėdų	Neatsargūs juokai lengvai gali pridaryti bėdų.
热泪盈眶	akys prisipildė ašarų	Išgirdusi gerą žinią, ji susijaudino ir jos akys prisipildė ašarų.
热门	populiarus	Dirbtinis intelektas yra populiari tema.
人道	humanitarinis	Gelbėjimo veiksmai parodė humanitarinę dvasią.
人格	orumas	Kitų įžeidinėjimas žeidžia žmogaus orumą.
人工	dirbtinis	Ši upė buvo iškasta dirbtiniu būdu.
人家	kiti	Nelygink savęs visada su kitais.
人间	žmonių pasaulis	Pavasaris pripildo žmonių pasaulį gyvybės.
人士	atstovai	Į pasitarimą atvyko įvairių sričių atstovai.
人为	žmogaus sukeltas	Ši avarija įvyko dėl žmogaus sukeltų priežasčių.
人性	žmogaus prigimtis	Šis filmas aptaria žmogaus prigimtį.
人质	įkaitas	Policija sėkmingai išlaisvino įkaitą.
仁慈	geranoriškas	Šis gydytojas labai geranoriškas pacientams.
忍耐	kantrybė	Ilgoje eilėje reikia šiek tiek kantrybės.
忍受	pakęsti	Negaliu pakęsti čia esančio triukšmo.
任命	paskirti	Valdyba paskyrė ją vadove.
任性	savavališkas	Per daug savavališkas vaikas gali sunkiau augti.
任意	savavališkai	Prašome savavališkai nekeisti duomenų.
任重道远	ilgas kelias	Švietimo reformos laukia ilgas kelias.
认定	nustatyti	Policija nustatė, kad tai buvo nelaimingas atsitikimas.
认可	pritarimas	Jo planas sulaukė visų pritarimo.
仍旧	vis dar	Po daugelio metų jis vis dar gyvena čia.
日新月异	sparčiai keistis	Technologijos sparčiai keičiasi.
日益	vis labiau	Aplinkos problemos darosi vis rimtesnės.
容貌	išvaizda	Metai pakeitė jo išvaizdą.
容纳	talpinti	Ši salė gali talpinti penkis šimtus žmonių.
容器	indas	Prašome supilti skystį į stiklinį indą.
容忍	toleruoti	Įmonė negali toleruoti sukčiavimo.
溶解	tirpti	Druska tirpsta vandenyje.
荣幸	garbė	Man garbė dalyvauti susitikime.
荣誉	garbė	Šis medalis reiškia aukščiausią garbę.
融化	tirpti	Saulė leido sniegui ir ledui pamažu tirpti.
融洽	darnus	Kolegų santykiai labai darnūs.
揉	masažuoti	Mama švelniai masažavo man pečius.
柔和	švelnus	Šviesa švelni ir neakina.
儒家	konfucianizmas	Konfucianizmas paveikė Rytų Azijos kultūrą.
弱点	silpnoji vieta	Neatidumas yra jo pagrindinė silpnoji vieta.
若干	keletas	Susitikime buvo pateikta keletas pasiūlymų.
撒谎	meluoti	Vaikai neturėtų meluoti.
散文	proza	Ji mėgsta skaityti šiuolaikinę prozą.
散布	skleisti	Internete kai kas skleidžia gandus.
散发	skleisti	Sode sklido gaivus kvapas.
丧失	prarasti	Jis neprarado pasitikėjimo.
骚扰	priekabiauti	Prašome netrukdyti kitiems keleiviams.
嫂子	brolienė	Brolienės pagamintas maistas labai skanus.
刹车	stabdyti	Vairuotojas staiga stabdė.
啥	kas	Ką tu ką tik sakei?
筛选	atrinkti	Sistema automatiškai atrinks gyvenimo aprašymus.
山脉	kalnynas	Šis kalnynas labai ilgas.
闪烁	mirgėti	Tolumoje žiburiai nuolat mirgėjo.
擅长	gerai mokėti	Jis gerai moka spręsti sudėtingas problemas.
擅自	savavališkai	Darbuotojai negali savavališkai palikti darbo vietos.
伤脑筋	sudėtingas	Ši problema tikrai sudėtinga.
商标	prekės ženklas	Įmonė užregistravo naują prekės ženklą.
上级	vyresnybė	Jis pranešė apie padėtį vyresnybei.
上进	siekti pažangos	Ji visada siekia pažangos.
上任	pradėti eiti pareigas	Naujasis vadovas pradės eiti pareigas kitą savaitę.
上瘾	priklausomas	Daug žmonių tampa priklausomi nuo trumpų vaizdo įrašų.
上游	aukštupys	Tarša atkeliauja iš upės aukštupio.
尚且	netgi	Netgi suaugusieji daro klaidų.
捎	perduoti	Prašome perduoti man žinutę.
梢	viršūnė	Paukštis nutūpė ant medžio viršūnės.
哨	sargybinis	Prie vartų stovėjo vienas sargybinis.
奢侈	prabangus	Toks vartojimas per daug prabangus.
舌头	liežuvis	Jis nusidegino liežuvį.
摄氏度	Celsijaus laipsnis	Šiandien temperatūra yra trisdešimt Celsijaus laipsnių.
涉及	apimti	Ataskaita apima kelis skyrius.
社区	bendruomenė	Bendruomenė surengė sveikatos paskaitą.
设立	įsteigti	Mokykla įsteigė stipendiją.
设想	sumanymas	Šį sumanymą dar reikia aptarti.
设置	nustatyti	Prašome iš naujo nustatyti slaptažodį.
呻吟	dejuoti	Pacientas tyliai dejavo.
深奥	gilus	Šios knygos turinys labai gilus.
深沉	gilus	Jo balsas žemas ir gilus.
深情厚谊	gili draugystė	Abiejų šalių žmones sieja gili draugystė.
申报	deklaruoti	Keleiviai turi sąžiningai deklaruoti daiktus.
绅士	džentelmenas	Jo elgesys kaip džentelmeno.
神经	nervas	Stresas gali paveikti nervų sistemą.
神奇	stebuklingas	Šios vietos peizažas labai stebuklingas.
神气	žvalus	Šiandien jis atrodo ypač žvalus.
神圣	šventas	Tai šventa pareiga.
神态	laikysena	Jos laikysena buvo labai rami.
神仙	nemirtingasis	Pasakojama, kad kalnuose gyvena nemirtingasis.
审查	tikrinti	Platforma tikrins skelbiamą turinį.
审理	nagrinėti	Teismas nagrinėja šią bylą.
审美	estetinis skonis	Jo estetinis skonis labai savitas.
审判	teismo procesas	Viešas teismo procesas patraukė žiniasklaidos dėmesį.
慎重	atsargus	Šį sprendimą reikia priimti atsargiai.
渗透	prasiskverbti	Lietaus vanduo pamažu prasiskverbia į dirvožemį.
声明	pareiškimas	Įmonė paskelbė oficialų pareiškimą.
声势	užmojis	Šios reklamos kampanijos užmojis labai didelis.
声誉	reputacija	Produkto kokybė veikia prekės ženklo reputaciją.
牲畜	gyvuliai	Piemenys parvarė gyvulius į ganyklą.
生存	išgyventi	Laukiniams gyvūnams reikia erdvės išgyventi.
生机	gyvybingumas	Pavasario lietus pripildė žemę gyvybingumo.
生理	fiziologija	Miegas veikia žmogaus fiziologinę būklę.
生疏	primirštas	Daug metų nesimokius, jo grojimas fortepijonu tapo šiek tiek primirštas.
生态	ekologija	Miškų apsauga susijusi su ekologine pusiausvyra.
生物	gyvas organizmas	Jūroje yra daug keistų gyvų organizmų.
生效	įsigalioti	Naujos taisyklės oficialiai įsigalios rytoj.
生肖	kinų zodiako ženklas	Koks tavo kinų zodiako ženklas?
生锈	rūdyti	Dviračio grandinė jau surūdijo.
生育	gimdymas	Ligoninė teikia gimdymo konsultacijų paslaugas.
省会	provincijos sostinė	Čengdu nuo senovės yra Sičuano provincijos sostinė.
盛产	gausiai auginti	Ši vietovė gausiai augina aukštos kokybės arbatą.
盛开	žydėti	Parko sakuros dabar žydi.
盛情	nuoširdus svetingumas	Dėkojame šeimininkams už nuoširdų svetingumą.
盛行	vyrauti	Šis stilius kurį laiką buvo labai paplitęs.
胜负	pergalė ar pralaimėjimas	Rungtynių paskutinė minutė nulėmė pergalę ar pralaimėjimą.
失事	patirti avariją	Lėktuvo avarijos priežastis vis dar tiriama.
失误	klaida	Viena maža klaida pavėlino projektą.
失踪	dingęs	Policija ieško dingusio vaiko.
尸体	kūnas	Gelbėtojai rado žuvusiojo kūną.
师范	pedagoginis	Ji baigė pedagoginį universitetą.
施加	daryti spaudimą	Tėvai neturėtų daryti per didelio spaudimo.
施展	panaudoti	Jis pagaliau gavo progą panaudoti savo talentą.
十足	visiškas	Jis visiškai pasitiki rezultatu.
实惠	gera vertė	Šios parduotuvės kainos suteikia pirkėjams gerą vertę.
实力	pajėgumas	Komandos bendras pajėgumas labai stiprus.
实施	įgyvendinti	Vyriausybė pradėjo įgyvendinti naują planą.
实事求是	remtis faktais	Tyrimuose reikia remtis faktais.
实行	taikyti	Įmonė taiko lankstų darbo grafiką.
实质	esmė	Problemos esmė nepasikeitė.
拾	pakelti	Jis pasilenkė ir pakėlė nuo žemės raktą.
时常	dažnai	Senelis dažnai pasakoja apie jaunystės laikus.
时而	kartais	Orai kartais saulėti, kartais apniukę.
时光	laikas	Gražus laikas visada atrodo trumpas.
时机	proga	Dabar nėra gera proga deryboms.
时事	aktualijos	Mokiniai kas savaitę aptaria tarptautines aktualijas.
石油	nafta	Naftos kainos vėl pakilo.
识别	atpažinti	Sistema gali atpažinti skirtingus veidus.
使命	misija	Aplinkos apsauga yra bendra misija.
世代	kartos	Šis amatas šeimoje perduodamas iš kartos į kartą.
事故	avarija	Per šią avariją žmonės nenukentėjo.
事迹	žygdarbiai	Jo didvyriški žygdarbiai plačiai paplito.
事件	įvykis	Šis įvykis patraukė visuomenės dėmesį.
事态	padėtis	Vyriausybė kontroliuoja padėties raidą.
事务	reikalai	Ji atsakinga už kasdienius įmonės reikalus.
事项	punktas	Prašome patvirtinti svarbius sutarties punktus.
事业	veikla	Jis švietimą laiko viso gyvenimo veikla.
势必	neišvengiamai	Išlaidų augimas neišvengiamai paveiks kainas.
势力	įtaka	Vietos verslo įtaka labai stipri.
是非	teisumas ir neteisumas	Jis nenori įsivelti į biuro ginčus.
示范	pademonstruoti	Mokytojas pirmiausia vieną kartą pademonstravo.
示威	demonstracija	Miesto centre įvyko taiki demonstracija.
示意	duoti ženklą	Vadovas davė ženklą visiems nutilti.
视力	regėjimas	Ilgas žiūrėjimas į ekraną gali paveikti regėjimą.
视频	vaizdo įrašas	Prašome atsiųsti man vaizdo įrašą.
视线	regėjimo linija	Tirštas rūkas užstojo vairuotojo regėjimo liniją.
视野	akiratis	Kelionės gali praplėsti akiratį.
试图	mėginti	Jis mėgino paaiškinti savo sprendimą.
试验	bandymas	Mokslininkai atliko daug bandymų.
适宜	tinkamas	Šios vietos klimatas tinkamas gyventi.
逝世	mirti	Šis rašytojas mirė pernai.
释放	paleisti	Teismas nusprendė paleisti kaltinamąjį.
收藏	kolekcionuoti	Jis kolekcionuoja daug senų pašto ženklų.
收缩	trauktis	Šaltas oras priverčia metalą trauktis.
收益	pelnas	Investicijų pelnas buvo didesnis nei tikėtasi.
收音机	radijas	Močiutė kasdien klauso radijo.
守护	saugoti	Gydytojai saugo pacientų gyvybes.
手法	metodas	Režisieriaus filmavimo metodas labai savitas.
手势	gestas	Jis gestu parodė sutikimą.
手艺	amatas	Šio meistro amatas labai geras.
首饰	papuošalai	Ji dėvėjo paprastus sidabrinius papuošalus.
首要	svarbiausias	Saugumas yra svarbiausia užduotis.
受罪	kentėti	Po operacijos pacientas labai kentėjo.
授予	suteikti	Mokykla suteikė jam garbės laipsnį.
书法	kaligrafija	Jis nuo vaikystės mokėsi kaligrafijos.
书记	sekretorius	Kaimo sekretorius vedė susitikimą.
书籍	knygos	Biblioteka saugo daug knygų.
书面	rašytinis	Prašome pateikti rašytinį įrodymą.
疏忽	aplaidumas	Ši klaida kilo dėl darbo aplaidumo.
疏远	nutolti	Nesusipratimas privertė du žmones pamažu nutolti.
舒畅	gera nuotaika	Po pasivaikščiojimo nuotaika buvo labai gera.
数额	suma	Kompensacijos suma dar nenustatyta.
束	ryšulys	Ji nusipirko puokštę gėlių.
束缚	varžyti	Tradicinės pažiūros varžė jo pasirinkimą.
树立	sukurti	Įmonė turi sukurti gerą įvaizdį.
竖	pastatyti	Prašome pastatyti ženklą vertikaliai.
耍	žaisti	Nežaisk telefonu darbo metu.
衰老	senėjimas	Sportas gali sulėtinti senėjimą.
衰退	nuosmukis	Ekonomikos nuosmukis paveikė užimtumą.
率领	vadovauti	Kapitonas vadovavo komandai į priekį.
涮火锅	valgyti kinišką karštą puodą	Žiemą visi mėgsta valgyti kinišką karštą puodą.
双胞胎	dvyniai	Jie yra dvyniai.
爽快	atviras	Ji atsakė labai atvirai.
水利	vandentvarka	Šis regionas daug dėmesio skiria vandentvarkos statybai.
水龙头	čiaupas	Virtuvės čiaupas praleidžia vandenį.
水泥	cementas	Darbininkai nugabeno cementą į statybvietę.
瞬间	akimirka	Šviesos akimirksniu visos užgeso.
司法	teisingumas	Teisingumo nepriklausomumui reikia institucinės apsaugos.
司令	vadas	Vadas davė įsakymą trauktis.
思念	ilgėtis	Ji dažnai ilgisi gimtinės.
思索	apmąstyti	Jis ilgai nuleidęs galvą apmąstė.
思维	mąstymas	Šios pratybos gali pagerinti loginį mąstymą.
斯文	kultūringas	Jis kalba labai kultūringai.
私自	savavališkai	Mokiniai negali savavališkai palikti mokyklos.
死亡	mirtis	Avarija sukėlė kelių žmonių mirtį.
四肢	galūnės	Prieš sportą reikia išjudinti galūnes.
寺庙	šventykla	Ant kalno yra sena šventykla.
肆无忌惮	be jokių skrupulų	Jis be jokių skrupulų laužė taisykles.
饲养	auginti	Ūkis augina daug melžiamų karvių.
耸	gūžtelėti	Išklausęs jis tik gūžtelėjo pečiais.
艘	laivų skaitiklis	Uoste stovėjo trys krovininiai laivai.
苏醒	atgauti sąmonę	Pacientas pagaliau atgavo sąmonę.
俗话	posakis	Kaip sakoma posakyje, praktika veda į meistriškumą.
塑造	formuoti	Aplinka formuoja žmogaus charakterį.
素食	vegetariškas maistas	Šis restoranas siūlo vegetarišką maistą.
素质	kokybė	Aptarnaujančių darbuotojų kokybė labai aukšta.
诉讼	ieškinys	Abi šalys nusprendė spręsti ginčą per ieškinį.
算数	laikytis žodžio	Turi laikytis savo pasakyto žodžio.
随即	nedelsiant	Pasibaigus susitikimui, jis nedelsiant išėjo.
随意	savo nuožiūra	Prašome nekeisti nustatymų savo nuožiūra.
岁月	metai	Metai pakeitė jo išvaizdą.
隧道	tunelis	Traukinys pravažiavo ilgą tunelį.
损坏	sugadinti	Liūtis sugadino kelią.
索取	prašyti	Klientai gali nemokamai paprašyti pavyzdžių.
索性	tiesiog	Lietus buvo per stiprus, tad mes tiesiog neišėjome.
塌	griūti	Seno namo stogas sugriuvo.
踏实	ramus	Atlikęs užduotį jaučiausi ramus.
塔	bokštas	Miesto centre yra aukštas bokštas.
