simplified	KK	example_KK
向导	жолбасшы	Жергілікті жолбасшы бізді тауға алып кірді.
向来	әрдайым	Ол әрдайым сенімділікке мән береді.
向往	аңсау	Ол тыныш өмірді аңсайды.
巷	тар көше	Ескі тар көшеде көп шағын дүкен ашылды.
相声	қалжың диалог	Атам дәстүрлі қалжың диалог тыңдағанды ұнатады.
消除	жою	Қарым-қатынас түсінбеушілікті жоя алады.
消毒	залалсыздандыру	Дәрігер жараны залалсыздандырды.
消防	өрт сөндіру	Өрт сөндірушілер оқиға орнына тез жетті.
消耗	жұмсау	Ұзақ сапар көп күш жұмсайды.
消灭	жою	Қызметкерлер зиянкестерді жойып жатыр.
潇洒	еркін	Оның жүрісі еркін әрі сәнді.
销毁	жою	Кеден жалған тауарларды жойды.
小心翼翼	өте сақ	Ол қорапты өте сақ ашты.
效益	тиімділік	Жаңа жабдық өндіріс тиімділігін арттырды.
肖像	портрет	Қабырғада оның портреті ілулі тұр.
协会	қауымдастық	Бұл қауымдастық жас кәсіпкерлерге көмектеседі.
协商	келісу	Екі тарап келісуді жалғастыруға дайын.
协调	үйлестіру	Жоба менеджері ресурстарды үйлестіруге жауапты.
协议	келісім	Екі тарап ынтымақтастық келісіміне қол қойды.
协助	көмектесу	Еріктілер қарттарға жолдан өтуге көмектесті.
携带	алып жүру	Жолаушылар қауіпті заттарды алып жүре алмайды.
屑	үгінді	Үстелде ағаш үгіндісі көп.
泄露	жария ету	Қызметкерлер клиент ақпаратын жария етпеуі керек.
泄气	жігері түсу	Сәтсіздіктен кейін жігеріңді түсірме.
谢绝	сыпайы бас тарту	Қонақүй сырттан әкелінген тағамнан сыпайы бас тартады.
心得	түйген ой	Ол оқудан түйген ойын бөлісті.
心甘情愿	шын көңілмен	Ол көмектесу үшін шын көңілмен қалып қойды.
心灵	жан	Музыка оның жанын жұбатты.
心态	ойлау күйі	Жағымды ойлау күйін сақтау маңызды.
心疼	жаны ашу	Анасы жараланған баласына жаны ашыды.
心血	еңбек	Бұл кітапқа автордың көп еңбегі сіңген.
心眼儿	көңілі тар	Ол сәл көңілі тар адам.
新陈代谢	зат алмасу	Жаттығу зат алмасуды жеделдетеді.
新郎	күйеу жігіт	Күйеу жігіт есік алдында қонақтарды қарсы алды.
新娘	қалыңдық	Қалыңдық ақ той көйлегін киді.
新颖	тың	Бұл дизайн өте тың.
欣慰	көңілі жайлану	Баласының алға басқанын көріп, оның көңілі жайланды.
欣欣向荣	гүлдену	Шағын қаланың туризмі гүлденіп келеді.
薪水	жалақы	Оның жалақысы отбасын асырауға жетеді.
辛勤	еңбекқор	Диқан егінді еңбекқорлықпен өсіреді.
信赖	сенім арту	Клиенттер бұл компанияға қатты сенім артады.
信念	сенім	Берік сенім оны қолдап тұрды.
信仰	наным	Ол әртүрлі нанымдарды құрметтейді.
信誉	бедел	Кәсіпорын өз беделін қорғауы керек.
兴高采烈	қуанышты	Балалар сыныпқа қуанышты жүгіріп кірді.
兴隆	өркендеген	Бұл ескі дүкеннің саудасы өркендеген.
兴旺	гүлдену	Нарық экономикасы барған сайын гүлденіп келеді.
腥	балық иісті	Бұл балық сәл балық иісті.
刑事	қылмыстық	Полиция қылмыстық істі тергеп жатыр.
形态	пішін	Өсімдіктің пішіні ортаға қарай өзгереді.
行政	әкімшілік	Әкімшілік бөлім өтініштерді өңдейді.
兴致勃勃	қызыға	Барлығы жоспарды қызыға талқылады.
性感	сексуалды	Бұл кешкі көйлек өте сексуалды көрінеді.
性命	өмір	Дәрігер оның өмірін құтқарды.
性能	өнімділік	Бұл компьютердің өнімділігі жақсы.
凶恶	жауыз	Бұл ит жауыз болып көрінеді.
凶手	қылмыскер	Полиция ақыры қылмыскерді ұстады.
汹涌	буырқанған	Буырқанған толқындар жағалауды соқты.
胸怀	кең пейіл	Оның кең пейілі бар.
胸膛	кеуде	Сарбаз кеудесін тіктеді.
雄厚	қуатты	Компанияның қаржы ресурсы қуатты.
雄伟	зәулім	Бұл көпір өте зәулім.
修复	қалпына келтіру	Инженерлер жүйені қалпына келтіріп жатыр.
修建	салу	Үкімет жаңа әуежай салуды жоспарлап отыр.
修养	тәрбие	Жақсы тәрбие ұсақ нәрседен көрінеді.
羞耻	ұят	Өтірік айтқаннан кейін ол ұялды.
嗅觉	иіс сезу	Иттің иіс сезуі өте сезімтал.
绣	кестелеу	Әжем гүл кестелей алады.
虚假	жалған	Сайт жалған ақпарат жариялады.
虚荣	даңғойлық	Даңғойлық оны шамадан тыс ақша жұмсауға итермеледі.
虚伪	екіжүзді	Ол екіжүзді сыпайылықты ұнатпайды.
需求	сұраныс	Нарық сұранысы өсіп жатыр.
须知	нұсқаулық	Алдымен тіркелу нұсқаулығын оқыңыз.
许可	рұқсат	Рұқсатсыз кіруге болмайды.
序言	алғысөз	Автор алғысөзде жағдайдың мән-жайын түсіндірді.
畜牧	мал шаруашылығы	Дала мал шаруашылығын дамытуға қолайлы.
酗酒	маскүнемдік	Ұзақ маскүнемдік денсаулыққа зиян келтіреді.
喧哗	шулау	Кітапханада шулауға тыйым салынған.
宣誓	ант беру	Жаңа мүшелер жиналыста ант берді.
宣扬	насихаттау	Мектеп адалдық пен сенімді насихаттайды.
悬挂	іліну	Қабырғада бір сурет ілулі тұр.
悬念	күмәнді түйін	Фильмнің соңы күмәнді түйін қалдырды.
悬殊	үлкен алшақтық	Екі команданың күші арасында үлкен алшақтық бар.
悬崖峭壁	тік жартастар	Тау жолының жанында тік жартастар тұр.
旋律	әуен	Бұл әннің әуені әдемі.
旋转	айналу	Жел диірмені желде айналып тұр.
选拔	іріктеу	Мектеп спортшыларды іріктеп жатыр.
选举	сайлау	Ауылда сайлау өтті.
选手	қатысушы	Бұл қатысушы тұрақты өнер көрсетті.
炫耀	мақтану	Ол байлығымен мақтанғанды ұнатады.
削	қысқарту	Компания кейбір шығындарды қысқартты.
削弱	әлсірету	Шаршау пайымдау қабілетін әлсіретеді.
学说	теория	Бұл теорияның ықпалы үлкен.
学位	ғылыми дәреже	Ол магистр дәрежесін алды.
雪上加霜	қиындыққа қиындық қосу	Жұмыстан айырылып, кейін ауыруы қиындыққа қиындық қосты.
血压	қан қысымы	Дәрігер оған қан қысымын бақылауды ескертті.
熏陶	ықпал	Ол бала кезінен музыка ықпалында өсті.
寻觅	іздеу	Олар қолайлы үйді әр жерден іздеді.
巡逻	патрульдеу	Полиция түнде көшелерді патрульдейді.
循环	айналу	Су жүйе ішінде айналады.
循序渐进	біртіндеп	Тіл үйрену біртіндеп жүруі керек.
压迫	қанау	Ескі жүйе қарапайым халықты қанады.
压岁钱	жаңа жылдық сыйақы	Бала жаңа жылдық сыйақы алды.
压缩	сығу	Бағдарлама сурет көлемін сыға алады.
压抑	басу	Ол ішкі ашуын басуға тырысты.
压榨	сығу	Машина қант қамысының шырынын сығып жатыр.
压制	басу	Дәрі ауырсынуды баса алады.
鸦雀无声	жым-жырт	Мұғалім кірген соң сынып жым-жырт болды.
亚军	екінші орын	Ол жарыста екінші орын алды.
淹没	су басу	Тасқын төмендегі ауылды су басты.
烟花爆竹	отшашу мен шартылдақ	Мереке кезінде отшашу мен шартылдақ атуға тыйым салынған.
严峻	ауыр	Жұмыспен қамту жағдайы әлі ауыр.
严寒	қақаған суық	Қақаған суық көлік қозғалысына әсер етті.
严禁	қатаң тыйым	Бұл жерде темекі шегуге қатаң тыйым салынған.
严厉	қатаң	Мұғалім оны қатаң сынға алды.
严密	мықты	Қоймада мықты бақылау бар.
岩石	жартас	Теңіз жағасындағы жартас өте қатты.
延期	кейінге қалдыру	Жиналыс келесі аптаға кейінге қалдырылды.
延伸	созылу	Жол солтүстікке қарай созылады.
延续	жалғасу	Бұл дәстүр жүз жыл бойы жалғасып келеді.
沿海	жағалаулық	Жағалаулық қалаларда сауда дамыған.
炎热	ыстық	Ыстық ауа райы адамды шаршатады.
言论	пікір	Жұрт оның пікіріне назар аударды.
掩盖	жасыру	Ол қатесін жасыруға тырысты.
掩护	қорғап жабу	Командаластар шегінуді қорғап жабуға жауапты болды.
掩饰	бүркемелеу	Ол қобалжуын бүркемелеуге тырысты.
演变	өзгеру	Қаланың құрылымы үздіксіз өзгеріп келеді.
演习	жаттығу	Мектепте өртке қарсы жаттығу өтті.
演绎	шығарып дәлелдеу	Мұғалім бұл теореманы шығарып дәлелдеді.
演奏	орындау	Оркестр классикалық музыка орындап жатыр.
眼光	көзқарас	Оның инвестициялық көзқарасы жақсы.
眼色	көзбен белгі	Ол әріптесіне көзбен белгі берді.
眼神	жанар	Оның жанары өте нық көрінді.
厌恶	жек көру	Ол алдау әрекетін жек көреді.
验收	қабылдап тексеру	Жоба аяқталғаннан кейін қабылдап тексеру керек.
验证	тексеріп дәлелдеу	Тәжірибе болжамды тексеріп дәлелдеді.
氧气	оттегі	Науқасқа оттегі жұту керек.
样品	үлгі	Клиент өнім үлгілерін алды.
摇摆	тербелу	Кішкентай қайық жел мен толқында тербелді.
摇滚	рок музыка	Жастар рок музыканы ұнатады.
谣言	қауесет	Расталмаған қауесетті таратпа.
遥控	қашықтан басқару	Ол телефон арқылы кондиционерді қашықтан басқарды.
遥远	алыс	Ол ауыл қаладан өте алыс.
耀眼	көз шағылыстырарлық	Күн сәулесі көз шағылыстырарлық болды.
要点	негізгі тармақ	Жиналыстың негізгі тармақтарын жазып алыңыз.
要命	аса	Бұл тау жолы аса қауіпті.
要素	негізгі фактор	Сенім ынтымақтастықтың маңызды негізгі факторы.
野蛮	қатал	Ол қатал құқық қолдануға қарсы.
野心	өршіл мақсат	Оның саяси өршіл мақсаты айқын.
液体	сұйықтық	Бұл сұйықтықтың түсі жоқ.
一流	бірінші дәрежелі	Бұл аурухананың жабдығы бірінші дәрежелі.
一如既往	әдеттегідей	Ол бізді әдеттегідей қолдайды.
依旧	әлі де	Жаңбыр тоқтады, бірақ көше әлі де дымқыл.
依据	негіз	Үкім заңға негізделуі керек.
依靠	сүйену	Олар күнкөріс үшін ауыл шаруашылығына сүйенеді.
依赖	тәуелді болу	Балалар ата-анасына тым тәуелді болмауы керек.
依托	арқа сүйеу	Жоба жергілікті ресурстарға арқа сүйеп дамиды.
衣裳	киім	Ол таза киімін ауыстырып киді.
一度	бір кезде	Компания бір кезде банкроттыққа тап болған.
一贯	дәйекті	Ол ысырапқа дәйекті түрде қарсы.
一目了然	бір қарағанда анық	Кесте мазмұны бір қарағанда анық.
一向	әрдайым	Ол әрдайым уақытында келеді.
仪器	құрал	Зертхана жаңа құрал сатып алды.
仪式	рәсім	Бітіру рәсімі ертең өтеді.
疑惑	күдік	Оқушы жауапқа күдікпен қарады.
遗产	мұра	Бұл көне қала мәдени мұра.
遗传	тұқым қуалау	Бұл ауру тұқым қуалауы мүмкін.
遗留	қалған	Тарихтан қалған мәселелерді шешу керек.
遗失	жоғалту	Жолаушы паспортын жоғалтып алды.
以便	үшін	Байланысу үшін телефон нөміріңізді қалдырыңыз.
以免	болмас үшін	Кешікпес үшін ертерек шық.
以往	бұрынғы	Бұрынғы тәжірибені ескеруге болады.
以至	тіпті	Ауқым қауымдастыққа, тіпті бүкіл қалаға дейін кеңейді.
以致	салдарынан	Нөсер тоқтамады, соның салдарынан жолдар жабылды.
一帆风顺	кедергісіз	Кәсіп бастау әрдайым кедергісіз бола бермейді.
一举两得	екі мақсатқа бірдей жету	Жұмысқа велосипедпен бару екі мақсатқа бірдей жеткізеді.
一丝不苟	өте мұқият	Инженер сымдарды өте мұқият тексерді.
亦	да	Ол да бұл жоспарға келісті.
异常	қалыптан тыс	Жүйеде қалыптан тыс жағдай пайда болды.
意料	күту	Нәтиже күтпеген жерден шықты.
意识	сезіну	Ол мәселенің ауыр екенін біртіндеп сезінді.
意图	ниет	Полиция оның ниетін байқап қойды.
意味着	білдіру	Үнсіздік келісімді білдірмейді.
意向	ниет	Екі тарап ынтымақтастық ниетін білдірді.
意志	ерік	Қиындық адамның еркін сынайды.
毅力	табандылық	Табысқа ұзақ табандылық қажет.
毅然	батыл	Ол компаниядан батыл кетіп қалды.
翼	қанат	Ұшақтың қанаты тексерілді.
阴谋	қастандық	Олар бұл қастандықты әшкереледі.
音响	дыбыс жүйесі	Қонақ бөлмедегі дыбыс жүйесі жақсы.
引导	бағыттау	Мұғалім оқушыларды ойлануға бағыттады.
引擎	қозғалтқыш	Көліктің қозғалтқышы кенет өшті.
引用	дәйектеу	Мақала көптеген материалды дәйектеді.
隐蔽	жасырыну	Сарбаздар орманда жасырынды.
隐患	жасырын қауіп	Ескі сымдарда жасырын қауіп бар.
隐瞒	жасыру	Ол шындықты жасырған жоқ.
隐私	жеке құпия	Компания пайдаланушының жеке құпиясын қорғауы керек.
隐约	еміс-еміс	Алыстан ән дауысы еміс-еміс естілді.
饮食	тамақтану	Дұрыс тамақтану сауығуға көмектеседі.
婴儿	нәресте	Нәресте тыныш ұйықтап жатыр.
英明	дана	Басшы дана шешім қабылдады.
英勇	ерлікпен	Өрт сөндіруші баланы ерлікпен құтқарды.
盈利	пайда табу	Компания биыл пайда таба бастады.
迎面	қарсы алдынан	Суық жел қарсы алдымыздан соқты.
应酬	іскерлік басқосу	Оның бүгін кешке көп іскерлік басқосуы бар.
应邀	шақырумен	Маман форумға шақырумен қатысты.
庸俗	арзанқол	Бұл жарнаманың мазмұны өте арзанқол.
拥护	қолдау	Барлығы жаңа саясатты қолдайды.
拥有	иелену	Оның мол тәжірибесі бар.
勇于	батыл болу	Жастар сынап көруге батыл болуы керек.
永恒	мәңгі	Махаббат мәңгі өзгермейтін нәрсе емес.
涌现	көптеп шығу	Әр жерде үздік мұғалімдер көптеп шығып жатыр.
踊跃	белсенді	Тұрғындар іс-шараға белсенді тіркелді.
用户	пайдаланушы	Пайдаланушылар құпиясөзін өзгерте алады.
优胜劣汰	мықтының озып, әлсіздің ығысуы	Нарық бәсекесі мықтының озып, әлсіздің ығысуын көрсетеді.
优先	басымдық	Қарт адамдарға алдымен қызмет көрсетуге болады.
优异	үздік	Ол үздік нәтижеге жетті.
优越	артықшылықты	Бұл жердің географиялық орны артықшылықты.
忧郁	мұңлы	Оның жүзі мұңлы көрінді.
油腻	майлы	Бұл тағам тым майлы.
油漆	бояу	Жұмысшылар есікке бояу жағып жатыр.
犹如	сияқты	Көл беті айна сияқты.
有条不紊	рет-ретімен	Жиналыс рет-ретімен өтті.
幼稚	аңғал	Бұл ой сәл аңғал.
诱惑	азғыру	Жарнама тұтынушылық азғыруға толы.
愚蠢	ақымақ	Бұл шешім өте ақымақ.
愚昧	надан	Надан көзқарастар ілгерілеуге кедергі болады.
渔民	балықшы	Балықшылар таңсәріде теңізге балық аулауға шығады.
舆论	қоғамдық пікір	Қоғамдық пікір бұл іске қатты әсер етті.
与日俱增	күн санап арту	Туристер саны күн санап артып келеді.
宇宙	ғалам	Адамзат ғаламды үздіксіз зерттеп келеді.
羽绒服	мамық күрте	Қыста мамық күрте кию керек.
寓言	мысал әңгіме	Бұл мысал әңгіме тәрбиелік мәнге ие.
愈	жақсара түсу	Ауруының жағдайы күннен-күнге жақсара түсті.
欲望	қалау	Ол сатып алу қалауын тежеді.
熨	үтіктеу	Ол жейдені тегіс етіп үтіктеді.
玉	нефрит	Бұл нефриттің түсі жұмсақ.
预料	күту	Оқиғаның дамуы күткеннен асып түсті.
预期	күтілім	Сату көлемі күтілімнен төмен болды.
预算	бюджет	Жоба бюджетін түзету керек.
预先	алдын ала	Материалдарды алдын ала дайындаңыз.
预言	болжам	Оның болжамы орындалмады.
预兆	белгі	Ауырсыну аурудың белгісі болуы мүмкін.
冤枉	жазықсызды кінәлау	Жазықсыз адамды кінәлама.
元首	мемлекет басшысы	Екі елдің мемлекет басшылары келіссөз өткізді.
元素	элемент	Оттегі химиялық элемент.
元宵节	Шамдар мерекесі	Шамдар мерекесінде адамдар шамдарды тамашалайды.
原告	талапкер	Талапкер жаңа дәлел ұсынды.
原理	қағида	Мұғалім машинаның жұмыс қағидасын түсіндірді.
原始	бастапқы	Олар бастапқы жазбаларды сақтап қалды.
原先	бастапқы	Бастапқы жоспар өзгеріп кетті.
园林	бақ	Сучжоу бақтары өте әйгілі.
圆满	сәтті	Жиналыс толық сәтті аяқталды.
源泉	қайнар көз	Тәжірибе білімнің қайнар көзі.
缘故	себеп	Ол денсаулығына байланысты қызметінен кетті.
约束	шектеу	Жүйе қызметкерлердің мінез-құлқын шектейді.
乐谱	нота	Ол нотаны мұқият оқыды.
岳母	ене	Ол демалыста енесіне барды.
孕育	нәр беру	Топырақ жаңа тіршілікке нәр береді.
蕴藏	қамту	Таулы аймақта мол кен байлығы бар.
运算	амал	Оқушылар математикалық амалдарды жаттықты.
运行	жұмыс істеу	Жүйе тұрақты жұмыс істеп тұр.
酝酿	ойластыру	Екі тарап жаңа жоспарды ойластырып жатыр.
杂技	акробатика	Балалар акробатика қойылымын көргенді ұнатады.
杂交	будан	Ғалымдар будан күрішті зерттейді.
砸	шағылу	Кесе жерге түсіп шағылды.
咋	қалай	Сен қалай әлі қайтпадың?
栽培	өсіру	Бағбан көп гүл өсірді.
灾难	апат	Апаттан кейін қала қайта салына бастады.
宰	сою	Мереке кезінде ауыл тұрғындары қой сояды.
再接再厉	күшін жалғастыру	Марапат алғаннан кейін команда күшін жалғастырды.
在意	мән беру	Ол басқалардың пікіріне қатты мән береді.
攒	жинау	Ол компьютер алу үшін ақша жинап жүр.
暂且	әзірге	Бұл мәселені әзірге қоя тұрайық.
赞叹	тамсану	Көрермендер актердің ойынына тамсанды.
赞助	демеушілік ету	Кәсіпорын бұл жарысқа демеушілік етті.
糟蹋	ысырап ету	Бұл жаңа тағамдарды ысырап етпе.
遭受	зардап шегу	Егістік қатты құрғақшылықтан зардап шекті.
遭殃	жапа шегу	Көпір құлаған соң жақын тұрғындар жапа шекті.
遭遇	тап болу	Олар жолда боранға тап болды.
噪音	шу	Құрылыс шуы демалуға кедергі жасайды.
造型	пішін	Бұл көліктің пішіні ерекше.
责怪	кінәлау	Баланы орынсыз кінәлай бермеңіз.
贼	ұры	Полиция әлгі ұрыны ұстады.
增添	қосу	Гүлдер бөлмеге түс қосты.
赠送	сыйға беру	Дүкен шағын сыйлықтар береді.
扎	ине салу	Мейіргер оған бір ине салды.
扎实	берік	Оның грамматика негізі берік.
渣	қалдық	Кесе түбінде кофе қалдығы қалды.
眨	көзді жыпылықтату	Ол көзін жыпылықтатты.
诈骗	алаяқтық	Полиция телефон алаяқтығы ісін ашты.
摘要	түйіндеме	Мақаланың түйіндемесі анық жазылған.
债券	облигация	Инвесторлар мемлекеттік облигация сатып алады.
沾光	пайдасын көру	Мен де досымның арқасында пайдасын көрдім.
瞻仰	тағзым ету	Туристер батырлар ескерткішіне тағзым етті.
展示	көрсету	Компания ең жаңа өнімін көрсетті.
展望	болашақты шолу	Есеп болашақ үрдістерді шолды.
展现	көрсету	Шығарма ауыл өмірін көрсетті.
崭新	жап-жаңа	Ол жап-жаңа велосипед сатып алды.
斩钉截铁	кесімді түрде	Ол кесімді түрде бас тартты.
占据	алып тұру	Жарнама бүкіл бетті алып тұр.
占领	басып алу	Әскер тау асуын басып алды.
战斗	шайқас	Шайқас үш сағатқа созылды.
战略	стратегия	Компания даму стратегиясын өзгертті.
战术	тактика	Бапкер ойын тактикасын өзгертті.
战役	әскери науқан	Бұл әскери науқан жағдайды өзгертті.
章程	жарғы	Қауымдастық жаңа жарғы қабылдады.
帐篷	шатыр	Олар көл жағасына шатыр тікті.
障碍	кедергі	Тіл кедергісі қарым-қатынасқа әсер етеді.
招标	тендер жариялау	Құрылыс жобасы ашық тендер жариялады.
招收	қабылдау	Мектеп биыл жаңа оқушыларды қабылдайды.
朝气蓬勃	жігерлі	Жас команда өте жігерлі.
着迷	қызығу	Бала астрономияға қатты қызығады.
沼泽	батпақ	Экспедиция батпақтан өтті.
照样	әдеттегідей	Жаңбыр жауды, бірақ жаттығу әдеттегідей өтті.
照耀	жарқырау	Күн сәулесі алаңға жарқырап түсті.
折腾	әуре қылу	Бұл ескі компьютерді енді әуре қылма.
遮挡	көлегейлеу	Бұтақтар терезені көлегейледі.
折	бүктеу	Ол қағазды ұшақ етіп бүктеді.
折磨	азаптау	Ұзақ ұйқысыздық оны азаптады.
侦探	ізкесуші	Ізкесуші маңызды із тапты.
斟酌	ойластыру	Сөзді мұқият ойластырыңыз.
珍贵	құнды	Бұл суреттер өте құнды.
珍稀	сирек	Сирек жабайы жануарларды қорғау керек.
珍珠	маржан	Ол маржан сырға тағып жүр.
真理	ақиқат	Тәжірибе ақиқатты тексереді.
真相	шындық	Тілші шындықты анықтауға тырысты.
真挚	шын жүректен	Ол шын жүректен алғыс айтты.
枕头	жастық	Бұл жастық тым биік.
振奋	рухтандыру	Жақсы хабар бәрін рухтандырды.
振兴	жандандыру	Үкімет ауылды жандандыруды ілгерілетеді.
镇定	сабырлы	Қауіпті сәтте ол сабырлы қалды.
镇静	тыныш	Мейіргер науқасқа тыныш болуды айтты.
阵地	бекініс	Сарбаздар бекіністі сақтап қалды.
阵容	құрам	Команда бастапқы құрамын жариялады.
震撼	әсерлі	Бұл фильм өте әсерлі.
震惊	есеңгірету	Хабар бүкіл елді есеңгіретті.
争端	дау	Екі тарап шекара дауын шешуге тырысты.
争夺	таласу	Екі компания нарық үлесіне таласып жатыр.
争气	үмітті ақтау	Ол отбасылық үмітті ақтау үшін көп оқиды.
争先恐后	жанталаса	Туристер автобусқа жанталаса мінді.
争议	дау	Бұл шешім дау тудырды.
征服	бағындыру	Альпинист биік шыңды бағындырды.
征收	өндіріп алу	Үкімет салықты заң бойынша өндіріп алады.
挣扎	жанталасу	Құс торда жанталасты.
正月	ай күнтізбесінің бірінші айы	Ай күнтізбесінің бірінші айында туыстар бір-бірін құттықтайды.
蒸发	булану	Ылғал тез буланып кетті.
整顿	ретке келтіру	Компания басқаруды ретке келтіре бастады.
政策	саясат	Жаңа саясат шағын кәсіпорындарды қолдайды.
政权	билік	Соғыс жергілікті билікті өзгертті.
正当	заңды	Ол заңды талап қойды.
正负	оң және теріс	Құрал оң және теріс қателікті көрсетеді.
正规	ресми	Бала ресми мектепке оқуға түсті.
正经	байыпты	Ол ақыры байыпты сөйлей бастады.
正气	әділ рух	Қоғам әділ рухты дәріптеуі керек.
正义	әділет	Заңгер әділетті қорғады.
正宗	түпнұсқа	Бұл мейрамхана түпнұсқа сычуань тағамын сатады.
症状	белгі	Қызу көтерілуі жиі кездесетін белгі.
证实	растау	Тергеу оның сөзін растады.
证书	сертификат	Ол кәсіби сертификат алды.
郑重	салмақты	Ол жауапты боламын деп салмақты уәде берді.
之际	кезінде	Көктем мерекесі жақындаған кезде бәрі қарбалас болады.
支撑	тіреу	Бағандар шатырды тіреп тұр.
支出	шығын	Отбасының шығыны айқын өсті.
支流	саласы	Бұл өзен Янцзының саласы.
支配	билеу	Сезім пайымды билемеуі керек.
支援	қолдау көрсету	Әр жерден дәрігерлер қолдау көрсетуге келді.
支柱	тірек	Өндіріс жергілікті экономиканың тірегі.
枝	бұтақ	Ол бір гүл бұтағын үзіп алды.
知觉	ес	Жаралы адам біртіндеп есін жиды.
知足常乐	қанағат ету	Қарт кісі қанағат еткен адам бақытты дейді.
脂肪	май	Жаңғақтың құрамында пайдалы май бар.
侄子	інімнің ұлы	Інімнің ұлы биыл бастауыш мектепке барды.
值班	кезекшілік ету	Мейіргер бүгін түнде кезекшілік етеді.
执行	орындау	Сот үкімді орындады.
执着	табандылық	Ол арманына өте табанды.
殖民地	отар	Бұл арал бір кезде отар болған.
直播	тікелей эфир	Матч бүгін кешке интернетте тікелей эфирде көрсетіледі.
直径	диаметр	Бұл шеңбердің диаметрі он сантиметр.
职能	міндет	Бөлімнің міндеттері қайта бөлінуі керек.
职位	лауазым	Ол басқару лауазымына өтініш берді.
职务	қызмет	Оның қызметі жоба жетекшісі.
指标	көрсеткіш	Сату көрсеткіші орындалды.
指定	тағайындау	Мұғалім оны сұраққа жауап беруге тағайындады.
指甲	тырнақ	Ол тырнағын қысқа қылып қиды.
指令	нұсқау	Компьютер жаңа нұсқау алды.
指南针	компас	Альпинист компас алып шықты.
指示	нұсқау	Менеджер нақты нұсқау берді.
指望	үміт арту	Жұмысты сенің орнына басқа біреу бітіреді деп үміт артпа.
指责	айыптау	Жұрт кәсіпорынды қоршаған ортаны ластағаны үшін айыптады.
制裁	санкция	Халықаралық қоғамдастық экономикалық санкция енгізді.
制服	форма	Күзетші қою көк форма киген.
制约	шектеу	Қаржы тапшылығы дамуды шектейді.
制止	тоқтату	Полиция қақтығысты дер кезінде тоқтатты.
志气	жігер	Жастарда жігер болуы керек.
智力	зият	Ойындар зиятты жаттықтыра алады.
智能	ақылды	Ақылды құрылғылар барған сайын кең таралып жатыр.
智商	зият көрсеткіші	Зият көрсеткіші бәрін шешпейді.
治安	қоғамдық қауіпсіздік	Қауымдастықтағы қоғамдық қауіпсіздік айқын жақсарды.
治理	басқару	Үкімет өзендерді басқаруды күшейтті.
滞留	тұрып қалу	Қалың қар салдарынан жолаушылар әуежайда тұрып қалды.
致辞	сөз сөйлеу	Директор рәсімде сөз сөйледі.
致力	күш салу	Команда технологиялық жаңалыққа күш салады.
致使	себеп болу	Басқару қатесі жобаның кешігуіне себеп болды.
中断	үзілу	Нөсер байланыс үзілуіне себеп болды.
中立	бейтарап	Бұл ел бейтарап ұстаным сақтайды.
中央	орталық	Субұрқақ алаңның ортасында орналасқан.
忠诚	адал	Қызметкерлер компанияға адал.
忠实	тұрақты	Ол осы газеттің тұрақты оқырманы.
终点	мәре	Мәре алда тұр.
终究	ақыры	Мәселе ақыры шешіледі.
终身	өмір бойы	Ол өмір бойы білім саласында жұмыс істеуге шешім қабылдады.
终止	тоқтатылу	Келісімшарт келесі айдың соңында тоқтатылады.
衷心	шын жүректен	Көмегің үшін шын жүректен алғыс айтамын.
种子	тұқым	Диқан жаңа тұқым септі.
种族	нәсіл	Заң нәсілдік кемсітуге тыйым салады.
肿瘤	ісік	Дәрігер қатерсіз ісік тапты.
众所周知	бәріне белгілі	Бәріне белгілі, су өте маңызды.
种植	өсіру	Бұл жер жүзім өсіруге қолайлы.
重心	негізгі назар	Жұмыстың негізгі назары қызмет көрсетуге ауысты.
周边	маңы	Мектеп маңында көлік кептелісі көп.
周密	жан-жақты	Олар жан-жақты жоспар жасады.
周年	жылдық	Компания құрылғанына он жыл толуын атап өтті.
周期	цикл	Өнімді жаңарту циклі қысқарды.
周折	әуре-сарсаң	Құжат рәсімдеу көп әуре-сарсаң болды.
周转	айналым	Компанияның қаржы айналымы қиындады.
州	штат	Ол АҚШ-тың Калифорния штатында тұрады.
粥	ботқа	Науқас таңертең ботқа ішті.
舟	қайық	Шағын қайық баяу жағаға жақындады.
昼夜	күн-түн	Жұмысшылар жолды күн-түн жөндеді.
皱纹	әжім	Әжемнің бетінде көп әжім бар.
株	түп	Аулаға үш түп ағаш отырғызылды.
诸位	баршаңыз	Бүгін келген баршаңызға рақмет.
逐年	жыл сайын	Пайдалану шығыны жыл сайын өсіп келеді.
主办	ұйымдастыру	Мектеп өнер фестивалін ұйымдастырды.
主导	айқындау	Нарық сұранысы өнім дизайнын айқындайды.
主管	жауапты басшы	Жауапты басшы бюджетті бекітеді.
主流	негізгі ағым	Экология идеясы негізгі ағымға айналды.
主权	егемендік	Ел егемендігі құрметтелуі керек.
主义	идеология	Ол әртүрлі саяси идеологияларды зерттейді.
嘱咐	тапсыру	Анасы оған қолшатыр алуды қайта-қайта тапсырды.
拄	таяну	Қарт кісі таяққа таянып жүреді.
住宅	тұрғын үй	Бұл ауданның көбі тұрғын үй.
助理	көмекші	Көмекші жиналыс материалдарын реттеді.
助手	көмекші	Робот зертханадағы көмекші.
注射	дәрі егу	Дәрігер науқасқа дәрі егді.
