simplified	CS	example_CS
染	barvit	Obarvila si vlasy načerno
嚷	křičet	Nekřičte nahlas na chodbě
让步	ústupky	Obě strany udělaly určité ústupky
饶恕	odpustit	Nakonec se rozhodla tomu člověku odpustit
扰乱	narušit	Hluk narušil pořádek ve třídě
惹祸	způsobit potíže	Neopatrné žerty mohou snadno způsobit potíže
热泪盈眶	oči plné slz	Když slyšela dobrou zprávu, měla oči plné slz
热门	populární	Umělá inteligence je populární téma
人道	humanitární	Záchranná akce odrážela humanitárního ducha
人格	důstojnost	Urážení druhých poškozuje osobní důstojnost
人工	umělý	Tato řeka byla vykopána uměle
人家	ostatní	Nesrovnávej se pořád s ostatními
人间	lidský svět	Jaro naplňuje lidský svět životem
人士	osobnost	Fóra se zúčastnily osobnosti ze všech kruhů
人为	lidský	Tato nehoda byla způsobena lidským faktorem
人性	lidská povaha	Tento film pojednává o lidské povaze
人质	rukojmí	Policie rukojmí úspěšně zachránila
仁慈	laskavý	Tento lékař je k pacientům velmi laskavý
忍耐	trpělivost	Čekání v dlouhé frontě vyžaduje určitou trpělivost
忍受	snášet	Nemohu snášet zdejší hluk
任命	jmenovat	Správní rada ji jmenovala manažerkou
任性	svéhlavý	Příliš svéhlavé dítě může ovlivnit svůj vývoj
任意	libovolně	Prosím neměňte data libovolně
任重道远	mít před sebou těžký úkol	Reforma školství má před sebou těžký a dlouhodobý úkol
认定	určit	Policie určila, že šlo o nehodu
认可	uznání	Jeho plán získal uznání všech
仍旧	stále	Po mnoha letech stále žil tady
日新月异	rychle se měnit	Technologie se den za dnem rychle mění
日益	čím dál více	Environmentální problémy jsou čím dál vážnější
容貌	vzhled	Roky změnily jeho vzhled
容纳	pojmout	Tento sál pojme pět set lidí
容器	nádoba	Prosím nalijte tekutinu do skleněné nádoby
容忍	tolerovat	Firma nemůže tolerovat podvody
溶解	rozpustit	Sůl se rozpouští ve vodě
荣幸	být poctěn	Jsem poctěn, že se mohu zúčastnit schůzky
荣誉	čest	Tato medaile představuje nejvyšší čest
融化	roztát	Sluneční světlo pomalu rozpustilo led a sníh
融洽	harmonický	Vztahy mezi kolegy jsou velmi harmonické
揉	masírovat	Maminka mi jemně masírovala ramena
柔和	měkký	Světlo je měkké a neoslňuje
儒家	konfucianismus	Konfuciánské myšlení ovlivnilo východoasijskou kulturu
弱点	slabina	Neopatrnost je jeho hlavní slabina
若干	několik	Schůze předložila několik návrhů
撒谎	lhát	Děti by neměly lhát
散文	próza	Ráda čte moderní prózu
散布	šířit	Někdo šířil na internetu fámy
散发	vydávat	Zahrada vydává svěží vůni
丧失	ztratit	Neztratil sebevědomí
骚扰	obtěžovat	Prosím neobtěžujte ostatní cestující
嫂子	švagrová	Moje švagrová vaří výborně
刹车	brzdit	Řidič náhle zabrzdil
啥	co	Co jsi právě řekl
筛选	filtrovat	Systém automaticky filtruje životopisy
山脉	pohoří	Toto pohoří je velmi dlouhé
闪烁	blikat	Světla v dálce stále blikala
擅长	být dobrý v	Je dobrý ve zvládání složitých problémů
擅自	bez povolení	Zaměstnanci nesmějí bez povolení opouštět svá místa
伤脑筋	problematický	Tento problém je opravdu problematický
商标	ochranná známka	Firma zaregistrovala novou ochrannou známku
上级	nadřízení	Oznámil situaci nadřízeným
上进	snažit se zlepšovat	Vždy se snažila zlepšovat
上任	nastoupit do funkce	Nový manažer nastoupí do funkce příští týden
上瘾	stát se závislým	Mnoho lidí se stává závislými na krátkých videích
上游	horní tok	Znečištění pochází z horního toku řeky
尚且	dokonce	Dokonce i dospělí mohou dělat chyby
捎	vyřídit	Prosím vyřiďte za mě vzkaz
梢	špička větve	Pták se zastavil na špičce stromu
哨	hlídka	U brány stojí hlídka
奢侈	marnotratný	Takové výdaje jsou příliš marnotratné
舌头	jazyk	Popálil si jazyk
摄氏度	stupeň Celsia	Dnešní teplota je třicet stupňů Celsia
涉及	týkat se	Zpráva se týká několika oddělení
社区	komunita	Komunita uspořádala zdravotní přednášku
设立	zřídit	Škola zřídila stipendium
设想	představa	Tato představa ještě potřebuje diskusi
设置	nastavit	Prosím znovu nastavte heslo
呻吟	sténat	Pacient tiše sténal
深奥	hluboký	Obsah této knihy je velmi hluboký
深沉	hluboký	Jeho hlas byl tichý a hluboký
深情厚谊	hluboké přátelství	Lidé obou zemí vytvořili hluboké přátelství
申报	deklarovat	Cestující musí pravdivě deklarovat předměty
绅士	džentlmen	Chová se jako džentlmen
神经	nerv	Stres může ovlivnit nervový systém
神奇	zázračný	Zdejší scenérie je velmi zázračná
神气	energický	Dnes vypadal obzvlášť energicky
神圣	posvátný	Je to posvátná povinnost
神态	výraz	Její výraz byl velmi klidný
神仙	nesmrtelný	Legenda říká, že v horách žijí nesmrtelní
审查	přezkoumat	Platforma přezkoumává zveřejněný obsah
审理	projednávat	Soud tento případ projednává
审美	vkus	Jeho estetický vkus je velmi osobitý
审判	soudní proces	Veřejný soudní proces přitáhl pozornost médií
慎重	opatrný	Toto rozhodnutí musí být učiněno opatrně
渗透	proniknout	Dešťová voda pomalu pronikla do půdy
声明	prohlášení	Firma vydala oficiální prohlášení
声势	hybnost	Tato propagační kampaň má silnou hybnost
声誉	pověst	Kvalita výrobků ovlivňuje pověst značky
牲畜	hospodářská zvířata	Pastevci zahnali hospodářská zvířata zpět na pastvinu
生存	přežít	Divoká zvířata potřebují prostor k přežití
生机	životní síla	Jarní déšť naplňuje zemi životní silou
生理	fyziologie	Spánek ovlivňuje fyziologický stav člověka
生疏	vyjít ze cviku	Po letech bez cvičení trochu vyšel ze cviku ve hře na klavír
生态	ekologie	Ochrana lesů souvisí s ekologickou rovnováhou
生物	organismus	V oceánu je mnoho neobvyklých organismů
生效	vstoupit v platnost	Nové nařízení oficiálně vstoupí v platnost zítra
生肖	čínské znamení	Jaké je tvoje čínské znamení
生锈	zrezivět	Řetěz kola už zrezivěl
生育	porodnost	Nemocnice poskytuje poradenské služby v oblasti porodnosti
省会	hlavní město provincie	Čcheng-tu je dlouho hlavním městem provincie S'-čchuan
盛产	hojně produkovat	Toto místo hojně produkuje kvalitní čaj
盛开	plně kvést	Třešňové květy v parku jsou v plném květu
盛情	vřelá pohostinnost	Děkujeme hostiteli za vřelou pohostinnost
盛行	být rozšířený	Tento styl byl kdysi velmi rozšířený
胜负	výsledek	Poslední minuta zápasu rozhodla o výsledku
失事	nehoda	Příčina letecké nehody se stále vyšetřuje
失误	chyba	Malá chyba způsobila zpoždění projektu
失踪	pohřešovaný	Policie hledá pohřešované dítě
尸体	tělo	Záchranný tým našel tělo oběti
师范	pedagogický	Vystudovala pedagogickou univerzitu
施加	vyvíjet	Rodiče by neměli vyvíjet nadměrný tlak
施展	uplatnit	Konečně měl příležitost uplatnit svůj talent
十足	naprostý	Je si výsledkem naprosto jistý
实惠	výhodný	Ceny v tomto obchodě jsou velmi výhodné
实力	síla	Celková síla týmu je velmi velká
实施	zavést	Vláda začala zavádět nový plán
实事求是	hledat pravdu ve faktech	Výzkum by měl hledat pravdu ve faktech
实行	uplatňovat	Firma uplatňuje pružný pracovní systém
实质	podstata	Podstata problému se nezměnila
拾	sebrat	Sehnul se, aby ze země sebral klíč
时常	často	Dědeček často mluví o věcech ze svého mládí
时而	chvílemi	Počasí je chvílemi slunečné a chvílemi zatažené
时光	čas	Dobré časy se vždy zdají krátké
时机	příležitost	Teď není vhodná příležitost k jednání
时事	aktuální události	Studenti každý týden diskutují o mezinárodních aktuálních událostech
石油	ropa	Ceny ropy znovu vzrostly
识别	rozpoznat	Systém dokáže rozpoznat různé obličeje
使命	poslání	Ochrana životního prostředí je společné poslání
世代	generace	Toto řemeslo se v rodině předává po generace
事故	nehoda	Tato nehoda nezpůsobila žádné oběti
事迹	činy	Jeho hrdinské činy se široce rozšířily
事件	událost	Tato událost přitáhla pozornost veřejnosti
事态	situace	Vláda kontroluje vývoj situace
事务	záležitosti	Má na starosti každodenní záležitosti firmy
事项	body	Prosím potvrďte důležité body ve smlouvě
事业	kariéra	Vzdělávání považuje za svou celoživotní kariéru
势必	nevyhnutelně	Rostoucí náklady nevyhnutelně ovlivní ceny
势力	vliv	Vliv místních podnikatelů je silný
是非	spory	Nechce se zaplést do kancelářských sporů
示范	ukázka	Učitel nejprve provedl ukázku
示威	demonstrace	V centru města proběhla pokojná demonstrace
示意	naznačit	Manažer všem naznačil, aby byli zticha
视力	zrak	Dlouhé sledování obrazovek může ovlivnit zrak
视频	video	Prosím pošlete mi to video
视线	výhled	Hustá mlha blokovala řidičův výhled
视野	obzory	Cestování může rozšířit obzory
试图	pokusit se	Pokusil se vysvětlit své rozhodnutí
试验	pokus	Vědci provedli mnoho pokusů
适宜	vhodný	Zdejší klima je vhodné k životu
逝世	zemřít	Tento spisovatel loni zemřel
释放	propustit	Soud rozhodl propustit obžalovaného
收藏	sbírat	Sbíral mnoho starých známek
收缩	stáhnout se	Studený vzduch může způsobit, že se kov stáhne
收益	výnos	Výnos z investice byl vyšší, než se čekalo
收音机	rádio	Babička poslouchá rádio každý den
守护	chránit	Lékaři chrání životy pacientů
手法	technika	Režisérova filmová technika je velmi osobitá
手势	gesto	Gestem vyjádřil souhlas
手艺	řemeslná zručnost	Řemeslníkova zručnost je velmi dobrá
首饰	šperky	Měla jednoduché stříbrné šperky
首要	nejdůležitější	Bezpečnost je nejdůležitější priorita
受罪	trpět	Pacient po operaci hodně trpěl
授予	udělit	Škola mu udělila čestný titul
书法	kaligrafie	Kaligrafii cvičí od dětství
书记	tajemník	Schůzi řídil vesnický stranický tajemník
书籍	knihy	Knihovna uchovává velké množství knih
书面	písemný	Prosím poskytněte písemný doklad
疏忽	nedbalost	Tato chyba vznikla z nedbalosti v práci
疏远	odcizit se	Nedorozumění způsobilo, že se ti dva postupně odcizili
舒畅	uvolněný	Po procházce jsem se cítil velmi uvolněně a šťastně
数额	částka	Výše odškodnění ještě nebyla určena
束	kytice	Koupila kytici květin
束缚	omezovat	Tradiční představy omezovaly jeho volby
树立	vytvořit	Firma si potřebuje vytvořit dobrý obraz
竖	postavit vzpřímeně	Prosím postavte ceduli vzpřímeně
耍	hrát si	Nehrajte si s telefonem během pracovní doby
衰老	stárnutí	Cvičení může zpomalit stárnutí
衰退	úpadek	Hospodářský úpadek ovlivnil zaměstnanost
率领	vést	Kapitán vedl tým vpřed
涮火锅	jíst hot pot	V zimě všichni rádi jedí hot pot
双胞胎	dvojčata	Jsou to dvojčata
爽快	přímočarý	Odpověděla velmi přímočaře
水利	vodohospodářství	Tento region si cení vodohospodářské výstavby
水龙头	kohoutek	Kuchyňský kohoutek teče
水泥	cement	Dělníci dopravili cement na staveniště
瞬间	okamžik	Světla v okamžiku zhasla
司法	justice	Nezávislost justice vyžaduje institucionální ochranu
司令	velitel	Velitel vydal rozkaz k ústupu
思念	stýskat se	Často se jí stýská po rodném městě
思索	přemýšlet	Sklonil hlavu a dlouho přemýšlel
思维	myšlení	Tento trénink může zlepšit logické myšlení
斯文	kultivovaný	Mluví kultivovaně a jemně
私自	bez povolení	Studenti nesmějí bez povolení opustit školu
死亡	smrt	Nehoda způsobila několik úmrtí
四肢	končetiny	Před cvičením byste měli rozhýbat končetiny
寺庙	chrám	Na hoře je starý chrám
肆无忌惮	bez skrupulí	Porušil pravidla bez jakýchkoli skrupulí
饲养	chovat	Farma chová mnoho dojnic
耸	pokrčit	Po vyslechnutí jen pokrčil rameny
艘	loď	V přístavu kotví tři nákladní lodě
苏醒	probrat se	Pacient se konečně probral
俗话	přísloví	Jak říká přísloví, cvik dělá mistra
塑造	formovat	Prostředí může formovat charakter člověka
素食	vegetariánské jídlo	Tato restaurace nabízí vegetariánské jídlo
素质	kvalita	Obsluhující personál má vysokou kvalitu
诉讼	žaloba	Obě strany se rozhodly vyřešit to žalobou
算数	platit za slovo	Měl bys držet slovo
随即	okamžitě	Po skončení schůze okamžitě odešel
随意	libovolně	Prosím neměňte nastavení libovolně
岁月	roky	Ubíhající roky změnily jeho vzhled
隧道	tunel	Vlak projel dlouhým tunelem
损坏	poškodit	Silný déšť poškodil silnici
索取	vyžádat si	Zákazníci si mohou zdarma vyžádat vzorky
索性	prostě	Déšť byl příliš silný, tak jsme prostě nešli ven
塌	zhroutit se	Střecha starého domu se zhroutila
踏实	klidný	Po dokončení úkolu jsem se cítil klidně
塔	věž	V centru města stojí vysoká věž
台风	tajfun	Očekává se, že tajfun zítra dorazí na pevninu
太空	vesmír	Lidstvo vždy zkoumalo vesmír
泰斗	velká autorita	Je velkou autoritou v lingvistice
摊	stánek	Na trhu si postavila stánek s ovocem
瘫痪	ochrnutí	Dopravní nehoda mu způsobila ochrnutí dolních končetin
贪婪	chamtivost	Chamtivost může člověka zničit
贪污	korupce	Úředník byl vyšetřován kvůli korupci
弹性	pružnost	Tento materiál má velkou pružnost
坦白	přiznat se	Nakonec se přiznal k pravdě
叹气	povzdechnout si	Když uslyšel výsledek, nemohl si nepovzdechnout
探测	detekovat	Zařízení dokáže detekovat podzemní vodu
探索	zkoumat	Vědci nadále zkoumají vesmír
探讨	projednat	Odborníci projednali plán reformy
探望	navštívit	O víkendu jsem šel do nemocnice navštívit přítele
倘若	pokud	Pokud bude pršet, akce se odloží
掏	vytáhnout	Vytáhl klíč z kapsy
滔滔不绝	mluvit bez přestání	Jakmile začne mluvit o historii, mluví bez přestání
淘汰	vyřadit	Tento tým byl brzy vyřazen
陶瓷	keramika	Ťing-te-čen je známý keramikou
陶醉	být okouzlen	Publikum bylo hudbou okouzleno
讨好	podbízet se	Nechce se záměrně podbízet šéfovi
特长	silná stránka	Malování je její silná stránka
特定	určený	Prosím podejte žádost v určeném čase
特意	schválně	Přišel jsem schválně, abych vám poděkoval
提拔	povýšit	Firma ji povýšila na vedoucí oddělení
提炼	extrahovat	Továrna extrahuje kov z rudy
提示	vyzvat	Systém vás vyzve k zadání hesla
提议	navrhnout	Navrhla pokračovat v diskusi zítra
题材	téma	Téma tohoto filmu je svěží
体裁	žánr	Romány a básně jsou různé žánry
体积	objem	Tato krabice má velký objem
体谅	mít pochopení	Prosím mějte pochopení pro jeho potíže
体面	důstojný	Chce si najít důstojnou práci
体系	systém	Firma vybudovala kompletní školicí systém
天才	génius	Toto dítě je považováno za hudebního génia
天赋	nadání	Má nadání na učení jazyků
天伦之乐	rodinné štěstí	Starý člověk si užívá rodinné štěstí
天然气	zemní plyn	Obyvatelé města používají k vaření zemní plyn
天生	od přírody	Je od přírody optimistický
天堂	ráj	Toto místo je jako ráj na zemi
天文	astronomie	Astronomii má rád od dětství
田径	atletika	Škola uspořádala atletickou soutěž
田野	pole	Jarní pole jsou celá zelená
舔	lízat	Štěně olízlo ruku svého majitele
挑剔	vybíravý	Je velmi vybíravá v jídle
条款	ustanovení	Ustanovení smlouvy je třeba pečlivě přečíst
条理	uspořádanost	Jeho projev byl velmi uspořádaný
条约	smlouva	Obě země podepsaly mírovou smlouvu
调和	ladit	Tyto dvě barvy spolu dobře ladí
调剂	vyvážit	Cvičení může vyvážit stresující život
调节	regulovat	Klimatizace může regulovat vnitřní teplotu
调解	zprostředkovat	Pracovníci komunity pomohli zprostředkovat spor mezi oběma stranami
调料	koření	Do polévky je třeba přidat trochu koření
挑拨	podněcovat rozkol	Nepodněcujte rozkol mezi kolegy
挑衅	provokace	Taková poznámka nese zjevnou provokaci
跳跃	skákat	Sportovec skočil třikrát za sebou
亭子	altán	U jezera je malý altán
停泊	kotvit	Rybářské lodě kotví v přístavu
停顿	pauza	Při řeči udělal krátkou pauzu
停滞	uvíznout	Projekt uvázl kvůli nedostatku prostředků
挺拔	vysoký a vzpřímený	Borovice rostou vysoké a vzpřímené
通货膨胀	inflace	Inflace zvýšila životní náklady
通缉	hledaný	Policie zařadila tohoto podezřelého mezi hledané osoby
通俗	srozumitelný	Jazyk této knihy je velmi srozumitelný
通讯	komunikace	Moderní komunikační technologie se rychle rozvíjejí
通用	univerzální	Tento druh nabíječky je poměrně univerzální
同胞	krajané	Krajané v zahraničí se také zajímají o rozvoj rodného kraje
同志	soudruh	Starší soudruh se podělil o pracovní zkušenosti
童话	pohádka	Dítě rádo před spaním poslouchá pohádky
铜	měď	Tato socha je z mědi
统筹兼顾	zohlednit celek	Městské plánování by mělo koordinovat a zohlednit všechny zájmy
统计	spočítat	Musíme spočítat počet registrací
统统	všechny	Všechny tyto staré dokumenty je třeba archivovat
统治	vládnout	Tato dynastie vládla tři sta let
投机	spekulace	Vydělal peníze spekulací
投票	hlasovat	Obyvatelé se zítra zúčastní hlasování
投诉	stížnost	Zákazník podal na platformě stížnost na obchodníka
投降	vzdát se	Nepřátelská armáda se nakonec rozhodla vzdát
投掷	házet	Sportovec trénoval hod oštěpem
透露	prozradit	Neprozradil podrobnosti schůzky
秃	plešatý	V mladém věku olysěl
突破	průlom	Výzkum dosáhl významného průlomu
图案	vzor	Vzor na této látce je velmi krásný
徒弟	učeň	Mistr učí učně opravovat hodinky
涂抹	nanést	Prosím naneste mast kolem rány
途径	cesta	Internet je důležitá cesta k získávání informací
土壤	půda	Úrodná půda je vhodná pro pěstování zeleniny
团结	sjednotit se	Tým se musí sjednotit a spolupracovat
团体	skupina	Tato skupina pravidelně pořádá aktivity
团圆	shledání	Svátek jara je časem rodinného shledání
推测	odhadovat	Odborníci odhadují, že ceny budou dále růst
推翻	svrhnout	Lidé svrhli starý systém
推理	dedukce	Tento román je plný deduktivních zápletek
推论	závěr	Tento závěr ještě potřebuje oporu v důkazech
推销	propagovat	Má na starosti propagaci nového výrobku
吞吞吐吐	koktat	Při odpovědi koktal a uhýbal
托运	odbavit	Cestující si mohou odbavit zavazadla u přepážky
拖延	odkládat	Už neodkládejte termín platby
脱离	oddělit	Teorie se nemůže oddělit od reality
妥当	vhodný	Toto uspořádání je velmi vhodné
妥善	řádně	Prosím řádně uschovejte důležité dokumenty
妥协	kompromis	Obě strany nakonec dosáhly kompromisu
椭圆	elipsa	Oběžná dráha Země se blíží elipse
唾弃	zavrhovat	Společnost zavrhuje tento druh podvodu
哇	páni	Páni, tento most je opravdu velkolepý
挖掘	vykopávat	Archeologický tým vykopává starověkou hrobku
娃娃	panenka	Malá holčička drží panenku
瓦解	rozpadnout se	Vnitřní konflikty způsobily rozpad aliance
歪曲	překrucovat	Zprávy by neměly překrucovat fakta
外表	vzhled	Nesuďte lidi jen podle vzhledu
外行	laik	V právu jsem úplný laik
外界	vnější svět	Firma jen zřídka reaguje na kritiku zvenčí
外向	extrovertní	Má extrovertní povahu a mnoho přátel
丸	pilulka	Lékař mu předepsal několik pilulek
完备	úplný	Tento soubor materiálů je velmi úplný
完毕	skončit	Schůze už skončila
玩弄	zahrávat si	Nezahrávej si s city druhých
玩意儿	věc	Co je to za novou věc
顽固	tvrdohlavý	Jeho postoj je velmi tvrdohlavý
顽强	houževnatý	Zraněný projevil velkou houževnatost
惋惜	litovat	Všichni litovali toho neúspěchu
挽回	získat zpět	Usilovně pracoval, aby získal zpět ztráty firmy
挽救	zachránit	Lékař úspěšně zachránil pacientův život
万分	nesmírně	Jsem vám nesmírně vděčný za pomoc
往常	obvykle	Dnes je větší horko než obvykle
往事	minulost	Starý člověk často vzpomíná na minulost
妄想	marně snít	Marně sní o tom, že přes noc zbohatne
危机	krize	Firma čelí vážné krizi
威风	impozantní	Generál vypadal na koni impozantně
威力	síla	Tento druh zbraně má velkou sílu
威望	prestiž	Ve vesnici má velkou prestiž
威信	důvěryhodnost	Vedoucí musí udržovat důvěryhodnost vlády
微不足道	bezvýznamný	Tato malá ztráta je bezvýznamná
微观	mikroekonomie	Tento kurz představuje mikroekonomii
为难	ztěžovat	Přestaňte ztěžovat situaci číšníkovi
为期	trvat	Školení trvá tři měsíce
唯独	pouze	Přišli všichni kromě něj
维持	udržovat	Policie udržovala pořádek na místě
维护	hájit	Musíme hájit svá zákonná práva a zájmy
维生素	vitamin	Ovoce obsahuje hojné vitaminy
违背	porušit	Toto rozhodnutí porušuje ducha smlouvy
伪造	padělat	Někdo padělal jeho podpis
委托	pověřit	Klient pověřil advokáta vyřízením případu
委员	člen výboru	Každý člen výboru vyjádřil názor
卫星	družice	Družice vstoupila na plánovanou oběžnou dráhu
喂	krmit	Dítě krmí koťátko
慰问	vyjádřit účast	Vedoucí šli do nemocnice vyjádřit účast zraněným
未免	trochu příliš	Tento požadavek je trochu příliš vysoký
畏惧	obávat se	Nikdy se neobává potíží
蔚蓝	azurový	Obloha měla azurovou barvu
温带	mírné pásmo	Tato rostlina je vhodná pro mírné pásmo
温和	umírněný	Jeho politický postoj je poměrně umírněný
文凭	diplom	Tato práce vyžaduje vysokoškolský diplom
文物	kulturní památky	Muzeum vystavilo vzácné kulturní památky
文献	literatura	Článek citoval velké množství literatury
文雅	elegantní	Chová se elegantně
文艺	umění a literatura	Toto město má silnou kulturně-uměleckou atmosféru
问世	vyjít	Tento model telefonu brzy vyjde
窝	hnízdo	Na stromě je ptačí hnízdo
乌黑	uhlíkově černý	Má uhlíkově černé dlouhé vlasy
污蔑	pomluva	Popřel, že by pomlouval konkurenta
诬陷	křivě obvinit	Důkazy ukazují, že byl křivě obviněn
无比	nesmírně	Když slyšel tu zprávu, cítil se nesmírně vzrušený
无偿	bezplatný	Dobrovolníci poskytují služby bezplatně
无耻	hanebný	Takové podvodné chování je velmi hanebné
无动于衷	lhostejný	Tváří v tvář kritice zůstal lhostejný
无非	nic jiného než	Udělal to jen kvůli tomu, aby ušetřil peníze
无辜	nevinný	Soud rozhodl, že je nevinný
无精打采	bez života	Dnes vypadá bez života
无赖	darebák	Vesničané nechtějí s tím darebákem jednat
无理取闹	dělat bezdůvodné potíže	Prosím nedělejte tady bezdůvodné potíže
无能为力	bezmocný	Tváří v tvář povodni byli vesničané bezmocní
无穷无尽	nekonečný	Poušť vypadala nekonečně
无微不至	pečlivý	Zdravotní sestra se o pacienta pečlivě starala
无忧无虑	bezstarostný	Děti si bezstarostně hrály na trávě
无知	nevědomost	Nevědomost není důvodem odmítat učení
侮辱	urazit	Jeho slova urazila druhého člověka
武器	zbraň	Tyto zbraně jsou uloženy ve společné správě
武侠	bojové romány	Od dětství rád čte romány o bojových hrdinech
武装	ozbrojený	Pohraniční oblast posílila ozbrojené hlídky
舞蹈	tanec	Tento tanec má výrazné etnické rysy
务必	bezpodmínečně	Prosím dorazte bezpodmínečně včas
物美价廉	kvalitní a levný	Zboží v tomto obchodě je kvalitní a levné
物业	správa nemovitosti	Správa nemovitosti odpovídá za opravy v obytné čtvrti
物资	materiální zásoby	Humanitární zásoby už byly dopraveny do postižené oblasti
误差	odchylka	Ve výsledku měření je malá odchylka
误解	nedorozumění	Obě strany si komunikací vyjasnily nedorozumění
夕阳	západ slunce	Západ slunce obarvil oblohu dozlatova
昔日	kdysi	Kdysi bývalá vesnice se stala městem
溪	potok	Horami protéká malý potok
熄灭	uhasit	Prosím uhaste svíčku
牺牲	obětovat se	Obětovali se, aby zachránili druhé
膝盖	koleno	Zranil si koleno
习俗	zvyk	Svátek jara má mnoho tradičních zvyků
媳妇	manželka	Jeho manželka pracuje v nemocnici
袭击	zasáhnout	Bouře zasáhla pobřežní město
喜闻乐见	oblíbený	Tento druh pořadu je mezi diváky oblíbený
喜悦	radostný	Na tváři se jí objevil radostný úsměv
系列	série	Firma uvedla sérii nových výrobků
细菌	bakterie	Vysoká teplota může zabít bakterie
细胞	buňka	Lidské tělo se skládá z nesčetných buněk
细致	pečlivý	Její pozorování je velmi pečlivé
峡谷	kaňon	Řeka protéká hlubokým kaňonem
狭隘	úzkoprsý	Tento úzkoprsý názor se musí změnit
狭窄	úzký	Tato cesta je velmi úzká
霞	večerní záře	Večerní záře zbarvila oblohu do červena
下属	podřízený	Manažer pozorně vyslechl názory podřízených
先进	pokročilý	Továrna přijala pokročilé vybavení
先前	dřívější	Dřívější plán se už změnil
掀起	vyvolat	Tato kniha vyvolala vlnu diskuse
纤维	vlákno	Tato látka obsahuje přírodní vlákno
鲜明	jasný	Jeho stanovisko je velmi jasné
嫌	nelíbit se	Nelíbí se jí, že je pokoj příliš malý
嫌疑	podezření	Tento muž je silně podezřelý
弦	struna	Jedna struna kytary praskla
衔接	navazovat	Obsah obou kurzů na sebe velmi dobře navazuje
贤惠	ctnostný	Je považována za ctnostnou a schopnou
闲话	drby	Nemluvte za zády druhých drby
显著	výrazný	Léčebný účinek je velmi výrazný
宪法	ústava	Ústava zaručuje základní práva občanů
现场	místo události	Reportéři už dorazili na místo nehody
现成	hotový	V kuchyni je hotové jídlo
现状	současný stav	Musíme pochopit současný stav odvětví
线索	stopa	Policie našla novou stopu
陷害	nastrčit vinu	Tvrdil, že mu někdo nastrčil vinu
陷阱	past	Lovec nastražil past
陷入	upadnout	Firma upadla do finančních potíží
馅儿	náplň	Náplň tohoto baozi krásně voní
乡镇	městys	Podmínky ve školách v městysech se zlepšují
相差	lišit se	Teploty obou míst se liší o deset stupňů
相等	rovný	Oba trojúhelníky mají rovné plochy
相辅相成	vzájemně se doplňovat	Teorie a praxe se vzájemně doplňují
相应	odpovídající	Firma přijme odpovídající opatření
镶嵌	vsadit	Do prstenu je vsazen drahokam
响亮	znělý	Jeho odpověď byla znělá a jasná
响应	reagovat	Mnoho lidí reagovalo na ekologickou iniciativu
想方设法	všemožně se snažit	Všemožně se snažili snížit náklady
向导	průvodce	Místní průvodce nás zavedl do hor
向来	vždycky	Vždycky si cenil důvěryhodnosti
向往	toužit	Touží po klidném životě
巷	ulička	Ve staré uličce se otevřelo mnoho malých obchodů
相声	siang-šeng	Dědeček rád poslouchá tradiční siang-šeng
消除	odstranit	Komunikace může odstranit nedorozumění
消毒	vydezinfikovat	Lékař vydezinfikoval ránu
消防	hasičský	Hasiči rychle dorazili na místo
消耗	spotřebovat	Cesta na dlouhou vzdálenost spotřebuje hodně fyzické energie
消灭	zlikvidovat	Pracovníci likvidují škůdce
潇洒	nenucený	Způsob, jakým chodí, je velmi nenucený a stylový
销毁	zničit	Celníci zničili padělané zboží
小心翼翼	velmi opatrně	Otevřela krabici velmi opatrně
效益	účinnost	Nové vybavení zlepšilo výrobní účinnost
肖像	portrét	Jeho portrét visí na zdi
协会	asociace	Tato asociace pomáhá mladým podnikatelům
协商	jednání	Obě strany jsou ochotny pokračovat v jednáních
协调	koordinovat	Projektový manažer odpovídá za koordinaci zdrojů
协议	dohoda	Obě strany podepsaly dohodu o spolupráci
协助	pomáhat	Dobrovolníci pomáhali starým lidem přejít silnici
携带	nést	Cestující nesmějí nést nebezpečné zboží
屑	třísky	Na stole je mnoho dřevěných třísek
泄露	uniknout	Zaměstnanci nesmějí prozradit informace o zákaznících
泄气	ztrácet odvahu	Po neúspěchu neztrácej odvahu
谢绝	zdvořile odmítnout	Hotel zdvořile odmítá jídlo zvenčí
心得	poznatek	Podělila se o poznatky ze studia
心甘情愿	dobrovolně	Zůstal pomáhat zcela dobrovolně
心灵	duše	Hudba utěšila její duši
心态	nastavení mysli	Je důležité udržovat pozitivní nastavení mysli
心疼	být líto	Matce bylo líto zraněného dítěte
心血	úsilí	Tato kniha obsahuje autorovo pečlivé úsilí
心眼儿	malichernost	Je trochu malicherný
新陈代谢	metabolismus	Cvičení může podpořit metabolismus
新郎	ženich	Ženich vítal hosty u dveří
新娘	nevěsta	Nevěsta měla bílé svatební šaty
新颖	originální	Tento návrh je velmi originální
欣慰	potěšený	Když viděla pokrok dítěte, byla potěšena
欣欣向荣	prosperovat	Cestovní ruch ve městě prosperuje
薪水	plat	Jeho plat stačí na uživení rodiny
辛勤	pilný	Zemědělci pilně pěstují plodiny
信赖	důvěřovat	Zákazníci této firmě velmi důvěřují
信念	přesvědčení	Pevné přesvědčení ho podporovalo
信仰	víra	Respektuje různé víry
信誉	pověst	Firma musí chránit svou pověst
兴高采烈	nadšený	Děti nadšeně vběhly do třídy
