simplified	UZ	example_UZ	KK	example_KK	AZ	example_AZ
顺便	yo'l-yo'lakay; fursatdan foydalanib	Ishdan qaytayotib, yo'l-yo'lakay biroz sabzavot oldim.	жолай; реті келгенде	Жұмыстан қайтар жолда жолай біраз көкөніс алдым.	yeri gəlmişkən; yolüstü	İşdən qayıdarkən yolüstü bir az tərəvəz aldım.
顺利	muvaffaqiyatli; silliq	O'yin juda ravon o'tdi.	сәтті; кедергісіз	Ойын өте сәтті өтті.	uğurlu; rəvan	Oyun çox rəvan keçdi.
顺序	tartib; ketma-ketlik	Iltimos, tartibni chalkashtirib yubormang.	рет; тәртіп	Ретін шатастырмаңыз.	sıra; ardıcıllıq	Zəhmət olmasa, sıranı qarışdırmayın.
说明	tushuntirmoq; izoh	U bu ishning sababini hammaga tushuntirib berdi.	түсіндіру; түсініктеме	Ол бұл істің себебін бәріне түсіндіріп берді.	izah etmək; izah	O bu işin səbəbini hamıya izah etdi.
硕士	magistr darajasi	Men universitetda magistraturada o'qiyman.	магистр дәрежесі	Мен университетте магистратурада оқимын.	magistr dərəcəsi	Mən universitetdə magistratura oxuyuram.
死	o'lmoq; o'lik	Bu daraxt allaqachon qurib o'lgan.	өлу; өлі	Бұл ағаш өліп қалған.	ölmək; ölü	Bu ağac artıq ölüb.
塑料袋	polietilen paket	Atrof-muhitni himoya qilish uchun polietilen paket ishlatmang.	пластик пакет	Қоршаған ортаны қорғау үшін пластик пакет қолданбаңыз.	plastik torba	Ətraf mühiti qorumaq üçün plastik torbalardan istifadə etməyin.
速度	tezlik	Uning yugurish tezligi juda yuqori!	жылдамдық	Оның жүгіру жылдамдығы өте жоғары!	sürət	Onun qaçış sürəti çox yüksəkdir!
酸	nordon	Siz olgan uzum biroz nordon.	қышқыл	Сатып алған жүзіміңіз аздап қышқыл.	turş	Aldığınız üzüm bir az turşdur.
随便	xohlagancha; istagancha	Hamma xohlagan joyiga o'tirsin.	қалағандай; еркін	Бәріңіз қалаған жерге отырыңыздар.	istədiyi kimi; sərbəst	Hamı istədiyi yerdə otursun.
随着	bilan birga; sari	Iqtisodiyot rivojlanishi bilan odamlarning hayoti ancha yaxshilandi.	...мен бірге; сайын	Экономиканың дамуымен адамдардың өмірі айтарлықтай жақсарды.	ilə birlikdə; artdıqca	İqtisadiyyat inkişaf etdikcə insanların həyatı xeyli yaxşılaşıb.
孙子	nevara	Bobosi o'z nevarasini juda yaxshi ko'radi.	немере	Атасы немересін өте жақсы көреді.	nəvə	Baba nəvəsini çox sevir.
所有	barcha; hamma	Hamma odamlar uni noto'g'ri deb o'yladi.	барлық; бәрі	Барлық адамдар оныкі дұрыс емес деп ойлады.	bütün; hamı	Hamı onun haqsız olduğunu düşündü.
台	mashina va qurilmalar uchun hisob so'zi	Bu kompyuter yangi sotib olingan.	құрылғыға арналған санау сөзі	Бұл компьютер жаңадан сатып алынған.	cihazlar üçün say sözü	Bu kompüter yeni alınıb.
抬	ko'tarmoq; tashimoq	Ular partani sinfxonaga ko'tarib olib kirishdi.	көтеру; тасу	Олар партаны сыныпқа көтеріп апарды.	qaldırmaq; daşımaq	Onlar partanı sinif otağına daşıdılar.
态度	munosabat; muomala	Xizmat xodimining mijozlarga munosabati juda yaxshi.	көзқарас; қарым-қатынас	Қызметкердің клиенттерге қарым-қатынасы өте жақсы.	münasibət; rəftar	Xidmətçinin müştərilərə münasibəti çox yaxşıdır.
弹钢琴	pianino chalmoq	Men to'rt yoshimdan pianino chalishni o'rgana boshlaganman.	пианино ойнау	Мен төрт жасымнан пианино ойнауды үйрене бастадым.	piano çalmaq	Mən dörd yaşımda piano çalmağı öyrənməyə başladım.
谈	gaplashmoq; muhokama qilmoq	Men siz bilan yana boshqa bir ish haqida gaplashmoqchiman.	сөйлесу; талқылау	Мен сенімен тағы басқа бір іс туралы сөйлескім келеді.	danışmaq; müzakirə etmək	Mən səninlə başqa bir məsələ haqqında da danışmaq istəyirəm.
汤	sho'rva	Sho'rva sho'r emas, yana biroz tuz solaylik.	сорпа	Сорпа тұзды емес, тағы біраз тұз салайық.	şorba	Şorba duzlu deyil, bir az da duz əlavə edək.
糖	shakar; konfet	Men bir dona konfet yegim kelyapti.	қант; кәмпит	Мен бір кәмпит жегім келеді.	şəkər; konfet	Mən bir konfet yemək istəyirəm.
躺	yotmoq	U karavotda yotib uxlab qoldi.	жату	Ол төсекте жатып ұйықтап қалды.	uzanmaq	O yataqda uzanıb yuxuya getdi.
趟	borib kelish uchun hisob so'zi	O'tgan oy Pekinga bir marta borib keldim.	сапар санау сөзі	Өткен айда Бейжіңге бір рет барып келдім.	səfər üçün say sözü	Keçən ay Pekinə bir dəfə gedib gəldim.
讨论	muhokama qilmoq	Keling, yig'ilish o'tkazib buni muhokama qilaylik.	талқылау	Жиналыс өткізіп, талқылайық.	müzakirə etmək	Gəlin iclas keçirib bunu müzakirə edək.
讨厌	yoqtirmaslik; bezor qiladigan	Bu ob-havo juda bezor qilyapti.	ұнатпау; жалықтыратын	Бұл ауа райы шынымен жалықтырады.	zəhləsi getmək; bezdirici	Bu hava həqiqətən bezdiricidir.
特点	xususiyat; belgi	Bu restoranning xususiyati taomlari juda yangi bo'lishidir.	ерекшелік; сипат	Бұл мейрамхананың ерекшелігі - тамағы өте жаңа.	xüsusiyyət; əlamət	Bu restoranın xüsusiyyəti yeməklərinin çox təzə olmasıdır.
提	ko'tarmoq; qo'lda ko'tarib olmoq	Iltimos, bu sumkani ko'taring.	көтеру; қолға алу	Мына сөмкені көтеріңіз.	qaldırmaq; götürmək	Zəhmət olmasa, bu çantanı qaldırın.
提供	ta'minlamoq; taqdim etmoq	Kutubxona hammaga tinch o'qish muhitini taqdim etadi.	ұсыну; қамтамасыз ету	Кітапхана бәріне тыныш оқу ортасын ұсынады.	təmin etmək; təqdim etmək	Kitabxana hamı üçün sakit oxu mühiti təmin edir.
提前	oldindan; muddatidan oldin	Biz vazifani muddatidan oldin bajardik.	алдын ала; мерзімінен бұрын	Біз тапсырманы мерзімінен бұрын аяқтадық.	əvvəlcədən; vaxtından əvvəl	Biz tapşırığı vaxtından əvvəl tamamladıq.
提醒	eslatmoq	Men unga eslatgan edim, lekin u baribir unutdi.	ескерту; еске салу	Мен оған ескерткен едім, бірақ ол бәрібір ұмытып қалды.	xatırlatmaq	Mən ona xatırlatmışdım, amma o yenə unutdu.
填空	bo'sh joyni to'ldirmoq	Bu bo'sh joyni to'ldirish savoli.	бос орынды толтыру	Бұл бос орынды толтыру сұрағы.	boşluğu doldurmaq	Bu boşluğu doldurma sualıdır.
条件	shart; mezon	U bizning ishga olish shartlarimizga juda mos keladi.	шарт; талап	Ол біздің жұмысқа қабылдау шарттарымызға өте сай келеді.	şərt; meyar	O bizim işə qəbul meyarlarımıza çox yaxşı uyğun gəlir.
停	to'xtamoq	Mashina to'xtadi.	тоқтау	Көлік тоқтады.	dayanmaq	Avtomobil dayandı.
挺	ancha; juda	Bu kitob ancha qiziqarli.	едәуір; өте	Бұл кітап едәуір қызық.	xeyli; olduqca	Bu kitab olduqca maraqlıdır.
通过	o'tmoq; orqali	Men imtihondan allaqachon o'tdim.	өту; арқылы	Мен емтиханнан өтіп қойдым.	keçmək; vasitəsilə	Mən imtahandan artıq keçmişəm.
通知	xabar bermoq; bildirishnoma	Iltimos, hammaga yig'ilishga kelishni xabar qiling.	хабарлау; хабарлама	Барлығына жиналысқа келуді хабарлаңыз.	xəbər vermək; bildiriş	Zəhmət olmasa, hamıya iclasa gəlməyi xəbər verin.
同情	hamdard bo'lmoq; hamdardlik	Men unga juda hamdardman.	жанашыр болу; жанашырлық	Мен оған қатты жанашырмын.	rəğbət bəsləmək; mərhəmət	Mən ona çox rəğbət bəsləyirəm.
同时	bir vaqtning o'zida; shu bilan birga	U musiqa tinglab, shu bilan birga uy vazifasini yozadi.	бір уақытта; сонымен бірге	Ол музыка тыңдап, сонымен бірге үй тапсырмасын жазады.	eyni zamanda; həmçinin	O musiqi dinləyərək eyni zamanda ev tapşırığını yazır.
推	itarmoq	Mashinam buzildi, uni itarishga yordam bera olasizmi?	итеру	Көлігім бұзылды, итеруге көмектесесіз бе?	itələmək	Maşınım xarab olub, onu itələməyə kömək edə bilərsinizmi?
推迟	kechiktirmoq; qoldirmoq	Samolyotning uchish vaqti yigirma daqiqaga kechiktirildi.	кейінге қалдыру; кешіктіру	Ұшақтың ұшу уақыты жиырма минутқа кешіктірілді.	təxirə salmaq; gecikdirmək	Təyyarənin qalxma vaxtı iyirmi dəqiqə gecikdirildi.
脱	yechmoq	Xona juda iliq, paltoni yeching.	шешу	Бөлме өте жылы, пальтоңызды шешіңіз.	çıxarmaq	Otaq çox istidir, paltonu çıxarın.
袜子	paypoq	Men paypoqlarimni toza qilib yuvdim.	шұлық	Мен шұлықтарымды жуып тазаладым.	corab	Mən corablarımı təmiz yudum.
完全	butunlay; to'liq	Sizning hukmingiz butunlay to'g'ri.	толық; мүлде	Сіздің пайымыңыз толық дұрыс.	tamamilə; bütövlükdə	Sizin mühakiməniz tamamilə doğrudur.
往往	ko'pincha; tez-tez	Yakshanba kunlari u ko'pincha parkga sayr qilgani boradi.	көбінесе; жиі	Жексенбі күндері ол көбінесе саябаққа серуендеуге барады.	adətən; çox vaxt	Bazar günləri o çox vaxt parkda gəzməyə gedir.
网球	tennis	Men yaqindagina tennis o'ynashni o'rgana boshladim.	теннис	Мен жақында ғана теннис ойнауды үйрене бастадым.	tennis	Mən yalnız bu yaxınlarda tennis oynamağı öyrənməyə başlamışam.
网站	veb-sayt	Bu veb-saytda ko'p xitoycha materiallar bor.	веб-сайт	Бұл веб-сайтта көп қытайша материал бар.	veb-sayt	Bu veb-saytda çoxlu çincə material var.
危险	xavf; xavfli	Kechasi yolg'iz toqqa chiqish juda xavfli.	қауіп; қауіпті	Кешке жалғыз тауға шығу өте қауіпті.	təhlükə; təhlükəli	Gecə tək dağa çıxmaq çox təhlükəlidir.
卫生间	hojatxona; yuvinish xonasi	Kechirasiz, hojatxona qayerda?	дәретхана	Кешіріңіз, дәретхана қайда?	tualet; sanitar otaq	Bağışlayın, tualet haradadır?
味道	ta'm; maza	Bu restoranning baozilari juda mazali.	дәм; иіс	Бұл мейрамхананың баоцзысының дәмі өте жақсы.	dad; ləzzət	Bu restoranın baozilərinin dadı çox yaxşıdır.
温度	harorat	Qish kirishi bilan harorat tobora pasaymoqda.	температура	Қыс кірген сайын температура төмендеп барады.	temperatur	Qışa girəndə temperatur getdikcə aşağı düşür.
文章	maqola; insho	Maqolaning eng muhim qismi uchinchi xatboshidir.	мақала; шығарма	Мақаланың ең маңызды бөлігі үшінші абзац.	məqalə; esse	Məqalənin ən əsas hissəsi üçüncü abzasdır.
污染	ifloslanish; bulg'anish	Hozir atrof-muhit ifloslanishi tobora jiddiylashmoqda.	ластану	Қазір қоршаған ортаның ластануы барған сайын ауырлап барады.	çirklənmə	İndi ətraf mühitin çirklənməsi getdikcə ciddiləşir.
无	yo'q; ...siz	Uning gaplari asossiz.	жоқ; -сыз	Оның сөзі негізсіз.	yox; -sız	Onun sözləri əsassızdır.
无聊	zerikarli; zerikkan	Bu dastur biroz zerikarli.	қызықсыз; зерігу	Бұл бағдарлама аздап қызықсыз.	darıxdırıcı; darıxmış	Bu proqram bir az darıxdırıcıdır.
无论	qanday bo'lmasin; qat'i nazar	Qanday tushuntirsam ham, u tushunmaydi.	қалай болса да; қарамастан	Мен қалай түсіндірсем де, ол түсінбейді.	nə olursa olsun; asılı olmayaraq	Nə qədər izah etsəm də, o başa düşmür.
误会	noto'g'ri tushunmoq; tushunmovchilik	Kechirasiz, men sizni noto'g'ri tushundim.	қате түсіну; түсінбестік	Кешіріңіз, мен сізді қате түсіндім.	səhv başa düşmək; anlaşılmazlıq	Bağışlayın, mən sizi səhv başa düşdüm.
吸引	jalb qilmoq	Bu film odamni juda jalb qiladi.	тарту; қызықтыру	Бұл фильм адамды қатты қызықтырады.	cəlb etmək	Bu film insanı çox cəlb edir.
西红柿	pomidor	Men bir nechta pomidor sotib oldim.	қызанақ	Мен біраз қызанақ сатып алдым.	pomidor	Mən bir neçə pomidor aldım.
咸	sho'r	Tuz ko'p solingan, ovqat biroz sho'r.	тұзды	Тұз көп салыныпты, тамақ аздап тұзды.	duzlu	Duz çox tökülüb, yemək bir az duzludur.
现金	naqd pul	Men olib yurgan naqd pul ko'p emas, lekin do'kon karta qabul qiladi.	қолма-қол ақша	Менде қолма-қол ақша көп емес, бірақ дүкен карта қабылдайды.	nağd pul	Üstümdə çox nağd pul yoxdur, amma mağaza kart qəbul edir.
羡慕	havas qilmoq; hasad qilmoq	Uning yaxshi ishi borligiga havas qilaman.	қызығу; қызғану	Оның жақсы жұмысы бар екеніне қызығамын.	həsəd aparmaq; qibtə etmək	Onun yaxşı işi olduğuna qibtə edirəm.
相反	aksincha; qarama-qarshi	Siz aytgan narsa men tushunganimning aynan aksi.	керісінше; қарама-қарсы	Сен айтқан нәрсе мен түсінгеннің дәл керісінше.	əks; zidd	Sənin dediyin mənim başa düşdüyümün tam əksidir.
相同	bir xil; aynan o'xshash	Sizning velosipedingiz menikiga butunlay bir xil.	бірдей; ұқсас	Сенің велосипедің менікімен толық бірдей.	eyni; oxşar	Sənin velosipedin mənimki ilə tam eynidir.
香	xushbo'y; mazali hidli	Siz qilgan ovqat juda xushbo'y!	хош иісті; дәмді	Сен жасаған тамақ қандай хош иісті!	ətirli; xoş qoxulu	Bişirdiyin yemək çox ətirlidir!
详细	batafsil; mufassal	U tuzgan reja juda batafsil.	егжей-тегжейлі; толық	Ол жасаған жоспар өте егжей-тегжейлі.	ətraflı; detallı	Onun hazırladığı plan çox ətraflıdır.
响	jaranglamoq; ovoz chiqarmoq	Eshiting, telefon jiringladimi?	дыбыс шығару; шырылдау	Тыңдашы, телефон шырылдады ма?	səslənmək; zəng çalmaq	Qulaq as, telefon zəng çaldı?
橡皮	o'chirg'ich	O'chirg'ichingizni bir lahzaga qarzga bera olasizmi?	өшіргіш	Өшіргішіңді бір сәтке бере аласың ба?	pozanca	Pozancanı bir anlıq mənə verə bilərsən?
消息	xabar; yangilik	Bu xabar haqiqatan ham hayajonli.	хабар; жаңалық	Бұл хабар шынымен жүректі толқытады.	xəbər; məlumat	Bu xəbər həqiqətən həyəcanlandırıcıdır.
小吃	yengil tamaddi; gazak	Pekinga kelganda Pekin gazaklarini albatta tatib ko'ring.	тіскебасар; жеңіл тағам	Бейжіңге келгенде Бейжіңнің тіскебасарын міндетті түрде татып көріңіз.	qəlyanaltı; yüngül yemək	Pekinə gələndə Pekin qəlyanaltılarını mütləq dadın.
小伙子	yigit; yosh yigit	Anavi yigit juda samimiy.	жігіт; жас жігіт	Анау жігіт өте жылы жүзді.	oğlan; gənc oğlan	O gənc oğlan çox mehribandır.
小说	roman; badiiy asar	Men bu romanni o'qiyapman.	роман; көркем шығарма	Мен бұл романды оқып жатырмын.	roman; bədii əsər	Mən bu romanı oxuyuram.
效果	ta'sir; natija	Bu shamollash dorisining ta'siri juda yaxshi.	әсер; нәтиже	Бұл суық тиюге арналған дәрінің әсері өте жақсы.	təsir; nəticə	Bu soyuqdəymə dərmanının təsiri çox yaxşıdır.
笑话	hazil; ustidan kulmoq	Iltimos, boshqalarning ustidan kulmang.	әзіл; мазақтау	Басқаларды мазақтамаңыз.	zarafat; lağ etmək	Zəhmət olmasa, başqalarına lağ etməyin.
心情	kayfiyat	Uning kayfiyati yaxshilandi.	көңіл күй	Оның көңіл күйі жақсарды.	əhval	Onun əhvalı yaxşılaşdı.
辛苦	og'ir; mashaqqatli	Dadamning ishi juda og'ir.	ауыр; қиын	Әкемнің жұмысы өте ауыр.	ağır; zəhmətli	Atamın işi çox ağırdır.
信封	konvert	U yozib bo'lgan xatni konvertga soldi.	конверт	Ол жазып болған хатты конвертке салды.	zərf	O yazdığı məktubu zərfə qoydu.
信息	ma'lumot; xabar	Iltimos, aloqa ma'lumotlaringizni menga yuboring.	ақпарат; хабар	Байланыс ақпаратыңды маған жібер.	məlumat; xəbər	Zəhmət olmasa, əlaqə məlumatlarını mənə göndər.
信心	ishonch	Biz sizga juda ishonamiz, siz albatta uddalaysiz.	сенім	Біз саған қатты сенеміз, сен міндетті түрде істей аласың.	inam	Biz sənə çox inanırıq, sən mütləq bacaracaqsan.
兴奋	hayajonlangan; hayajon	Bolalar bahorgi sayrga borishini eshitib, hayajondan sakrab yuborishdi.	қуанышты; толқу	Балалар көктемгі серуенге баратынын естіп, қуанып секірді.	həyəcanlı; həyəcan	Uşaqlar yaz gəzintisinə gedəcəklərini eşidəndə həyəcanla tullandılar.
行	bo'ladi; mayli	Shunday bo'ladimi?	болады; жарайды	Осылай бола ма?	olar; yaxşıdır	Belə olar?
醒	uyg'onmoq	Men ertalab soat oltidayoq uyg'ondim.	ояну	Мен таңертең сағат алтыда ояндым.	oyanmaq	Mən səhər saat altıda oyandım.
幸福	baxt; baxtli	Pul baxtni sotib ola olmaydi.	бақыт; бақытты	Ақша бақыт сатып ала алмайды.	xoşbəxtlik; xoşbəxt	Pul xoşbəxtliyi ala bilməz.
性别	jins	Iltimos, shaklning ikkinchi qatoriga jinsingizni yozing.	жыныс	Форманың екінші жолына жынысыңызды жазыңыз.	cins	Zəhmət olmasa, formanın ikinci sətrində cinsinizi yazın.
性格	xarakter; fe'l-atvor	Xotinimning xarakteri juda yaxshi, hech qachon jahli chiqmaydi.	мінез; сипат	Әйелімнің мінезі өте жақсы, ешқашан ашуланбайды.	xasiyyət; xarakter	Həyat yoldaşımın xasiyyəti çox yaxşıdır, heç vaxt əsəbiləşmir.
修理	ta'mirlamoq	Ta'mirdan keyin kompyuterim yana normal ishlay boshladi.	жөндеу	Жөндегеннен кейін компьютерім қайтадан қалыпты жұмыс істей алды.	təmir etmək	Təmirdən sonra kompüterim yenə normal işləyə bildi.
许多	ko'p	Ko'chada ko'p axlat qutilari bor.	көп	Көшеде көп қоқыс жәшігі бар.	çoxlu	Küçədə çoxlu zibil qutusu var.
学期	semestr; o'quv davri	Bu semestrda men san'at, tarix va iqtisodiyot kabi ko'p kurs tanladim.	семестр; оқу мерзімі	Бұл семестрде мен өнер, тарих және экономика сияқты көп курс таңдадым.	semestr; tədris dövrü	Bu semestr incəsənət, tarix və iqtisadiyyat daxil olmaqla çoxlu dərs götürdüm.
呀	voy; a	Voy, qor yog'yapti!	ой; а	Ой, қар жауып тұр!	ay; a	Ay, qar yağır!
压力	bosim	So'nggi paytlarda uning ish bosimi katta.	қысым	Соңғы кезде оның жұмыстағы қысымы үлкен.	təzyiq	Son vaxtlar onun iş təzyiqi çoxdur.
牙膏	tish pastasi	Tish pastasi tugadi, ertaga sotib olaylik.	тіс пастасы	Тіс пастасы бітті, ертең сатып алайық.	diş pastası	Diş pastası bitib, sabah alaq.
亚洲	Osiyo	Xitoy Osiyo davlati.	Азия	Қытай - Азия мемлекеті.	Asiya	Çin Asiya ölkəsidir.
严格	qattiqqo'l; qat'iy	O'qituvchi bizdan juda qattiq talab qiladi.	қатаң; қатал	Мұғалімнің бізге талабы өте қатаң.	ciddi; sərt	Müəllim bizə qarşı çox sərtdir.
严重	jiddiy; og'ir	Uning kasali jiddiy.	ауыр; маңызды	Оның ауруы ауыр.	ciddi; ağır	Onun xəstəliyi ciddidir.
盐	tuz	Tuz ko'p solingan, ovqat biroz sho'r.	тұз	Тұз көп салыныпты, тамақ аздап тұзды.	duz	Duz çox tökülüb, yemək bir az duzludur.
研究	tadqiq qilmoq; tadqiqot	U bu masalani tadqiq qilyapti.	зерттеу	Ол бұл мәселені зерттеп жатыр.	araşdırmaq; tədqiqat	O bu məsələni araşdırır.
演出	tomosha; sahnaga chiqish	Birinchi chiqishida u juda asabiy edi.	қойылым; өнер көрсету	Алғашқы қойылымында ол қатты қобалжыды.	tamaşa; çıxış	İlk çıxışında o çox həyəcanlı idi.
演员	aktyor; ijrochi	U mashhur aktyor.	әртіс; актер	Ол әйгілі актер.	aktyor; ifaçı	O məşhur aktyordur.
眼镜	ko'zoynak	U qora ko'zoynak taqqan.	көзілдірік	Ол қара көзілдірік тағып жүр.	eynək	O qara eynək taxıb.
阳光	quyosh nuri	Quyosh nuri derazadan xonaga kirdi.	күн сәулесі	Күн сәулесі терезеден бөлмеге кірді.	günəş işığı	Günəş işığı pəncərədən otağa daxil oldu.
养成	shakllantirmoq; odat hosil qilmoq	Men bolaligimdan shu odatni shakllantirganman.	қалыптастыру; дағдылану	Мен кішкентайымнан осы әдетті қалыптастырдым.	formalaşdırmaq; vərdiş etmək	Mən uşaqlıqdan bu vərdişi formalaşdırmışam.
样子	ko'rinish; uslub	Bu kiyimning ko'rinishi juda yaxshi.	түр; үлгі	Бұл киімнің түрі өте жақсы.	görünüş; forma	Bu paltarın görünüşü çox yaxşıdır.
邀请	taklif qilmoq; taklif	U hammaning taklifini rad etdi.	шақыру; шақырту	Ол бәрінің шақыруынан бас тартты.	dəvət etmək; dəvət	O hamının dəvətini rədd etdi.
要是	agar	Agar siz oldin kelsangiz, meni biroz kuting.	егер	Егер сен бірінші келсең, мені біраз күт.	əgər	Əgər əvvəl gəlsən, məni bir az gözlə.
钥匙	kalit	Men bugun kalitni olib kelishni unutdim.	кілт	Мен бүгін кілтімді алып келуді ұмытып кеттім.	açar	Mən bu gün açarı gətirməyi unutdum.
也许	balki; ehtimol	U balki kelmaydi.	мүмкін; бәлкім	Ол мүмкін келмейді.	bəlkə; ola bilsin	O bəlkə gəlməyəcək.
叶子	barg	Bahor keldi, kichik daraxtlarda yangi barglar chiqdi.	жапырақ	Көктем келді, жас ағаштарда жаңа жапырақтар шықты.	yarpaq	Yaz gəldi, balaca ağaclarda yeni yarpaqlar çıxdı.
页	sahifa	Iltimos, o'ninchi sahifaga o'ting.	бет	Оныншы бетке ашыңыз.	səhifə	Zəhmət olmasa, onuncu səhifəyə keçin.
一切	hamma narsa; barchasi	Uydagi hamma ishlar uchun onam javobgar.	бәрі; барлық нәрсе	Үйдегі барлық іске анам жауапты.	hər şey	Evdəki hər şeyə anam cavabdehdir.
以	sifatida olmoq; asos qilib olmoq	Iltimos, bu gapni misol sifatida oling.	ретінде алу; негіз ету	Мына сөйлемді мысал ретінде алыңыз.	kimi götürmək; əsas etmək	Zəhmət olmasa, bu cümləni nümunə kimi götürün.
以为	o'ylamoq; deb bilmoq	Men siz allaqachon ketdingiz deb o'ylagandim.	ойлау; деп санау	Мен сені кетіп қалды деп ойладым.	düşünmək; zənn etmək	Mən sənin artıq getdiyini düşünürdüm.
意见	fikr; taklif	Fikrlaringizning hammasini qabul qilaman.	пікір; ұсыныс	Сіздің пікірлеріңіздің бәрін қабылдаймын.	fikir; təklif	Fikirlərinizin hamısını qəbul edirəm.
艺术	san'at	Men san'atga juda qiziqaman.	өнер	Мен өнерге өте қызығамын.	incəsənət	Mən incəsənətlə çox maraqlanıram.
因此	shuning uchun; natijada	U kasal edi, shuning uchun darsga kelmadi.	сондықтан; сол себепті	Ол ауырды, сондықтан сабаққа келмеді.	buna görə; nəticədə	O xəstə idi, buna görə dərsə gəlmədi.
引起	keltirib chiqarmoq; sabab bo'lmoq	Bu ish hammaning noroziligiga sabab bo'ldi.	тудыру; себеп болу	Бұл іс бәрінің наразылығын тудырды.	səbəb olmaq; doğurmaq	Bu məsələ hamının narazılığına səbəb oldu.
印象	taassurot	U menda juda yaxshi taassurot qoldirdi.	әсер	Ол маған өте жақсы әсер қалдырды.	təəssürat	O məndə çox yaxşı təəssürat yaratdı.
赢	yutmoq	Kecha futbol o'yinida kim yutdi?	ұту	Кеше футбол матчында кім ұтты?	udmaq	Dünənki futbol oyununda kim uddu?
应聘	ishga ariza bermoq	U bu ishga ariza bermoqchi.	жұмысқа өтініш беру	Ол бұл жұмысқа өтініш бергісі келеді.	işə müraciət etmək	O bu işə müraciət etmək istəyir.
勇敢	jasur; botir	Akam juda jasur odam.	батыл; ержүрек	Ағам өте батыл адам.	cəsur; igid	Qardaşım çox cəsur insandır.
永远	abadiy; doim	Sizning yordamingizni hech qachon unutmayman.	мәңгі; әрқашан	Сенің маған көмегіңді мәңгі ұмытпаймын.	əbədi; həmişə	Sənin mənə köməyini heç vaxt unutmayacağam.
优点	afzallik; kuchli tomon	Odam o'z kamchiligini boshqalarning afzalligi bilan solishtirmasligi kerak.	артықшылық; жақсы жақ	Адам өз кемшілігін басқалардың артықшылығымен салыстырмауы керек.	üstünlük; yaxşı cəhət	İnsan öz çatışmazlığını başqalarının üstünlükləri ilə müqayisə etməməlidir.
优秀	a'lo; juda yaxshi	U juda yaxshi shifokor.	үздік; тамаша	Ол өте үздік дәрігер.	əla; üstün	O çox yaxşı həkimdir.
幽默	hazilkash; yumorli	Li professor juda hazilkash gapiradi.	әзілқой; юморлы	Ли профессор өте әзілқой сөйлейді.	yumorlu; zarafatcıl	Professor Li çox yumorlu danışır.
尤其	ayniqsa; xususan	U rasm chizishni yoqtiradi, ayniqsa xitoy milliy rasmlarini.	әсіресе	Ол сурет салуды жақсы көреді, әсіресе қытай ұлттық суретін.	xüsusilə	O rəsm çəkməyi sevir, xüsusilə Çin rəsmini.
由	tomonidan	Bu tadbirni biz tashkil qilamiz.	тарапынан; арқылы	Бұл іс-шараны біз ұйымдастырамыз.	tərəfindən	Bu tədbiri biz təşkil edirik.
由于	sababli; tufayli	Yomg'ir sababli o'yin kechiktirildi.	себебінен; байланысты	Жаңбыр себебінен жарыс кейінге қалдырылды.	səbəbindən; üzündən	Yağış səbəbindən oyun təxirə salındı.
邮局	pochta bo'limi	Pochta bo'limi ertalab soat to'qqizda ochiladi.	пошта бөлімшесі	Пошта бөлімшесі таңертең сағат тоғызда ашылады.	poçt şöbəsi	Poçt şöbəsi səhər saat doqquzda açılır.
友好	do'stona	Uy egam juda do'stona, menga tez-tez yordam beradi.	достық; жылы	Үй ием өте мейірімді, маған жиі көмектеседі.	mehriban; dostyana	Ev sahibim çox mehribandır, mənə tez-tez kömək edir.
友谊	do'stlik	Oramizda juda chuqur do'stlik bor.	достық	Арамызда өте терең достық бар.	dostluq	Aramızda çox dərin dostluq var.
有趣	qiziq	Bu haqiqatan ham qiziq tush!	қызық	Бұл шынымен қызық түс!	maraqlı	Bu həqiqətən maraqlı yuxudur!
于是	shunday qilib; shu sababli	Undan so'ramoqchi bo'lgan ishim bor edi, shuning uchun unga telefon qildim.	сөйтіп; сондықтан	Одан сұрайтын ісім бар еді, сондықтан оған телефон соқтым.	beləliklə; ona görə	Ondan soruşmaq istədiyim bir şey var idi, ona görə ona zəng etdim.
愉快	yoqimli; xursand	Dam olish kuningiz yoqimli o'tsin!	қуанышты; жағымды	Демалыс күніңіз жағымды өтсін!	xoş; sevincli	Həftəsonunuz xoş keçsin!
与	bilan	U juda o'ziga ishongan va boshqalar bilan raqobatlashishni yoqtiradi.	мен; бірге	Ол өзіне өте сенімді және басқалармен бәсекелескенді ұнатады.	ilə	O çox özünə güvənir və başqaları ilə rəqabət aparmağı sevir.
羽毛球	badminton	Siz tez-tez badminton o'ynaysizmi?	бадминтон	Сен жиі бадминтон ойнайсың ба?	badminton	Sən tez-tez badminton oynayırsan?
语法	grammatika	Men ba'zi asosiy grammatika bilimlarini o'rgandim.	грамматика	Мен кейбір негізгі грамматика білімін үйрендім.	qrammatika	Mən bəzi əsas qrammatika biliklərini öyrəndim.
语言	til	Bir tilni o'rganish uchun uning grammatikasi haqida biroz tushuncha kerak.	тіл	Бір тілді үйрену үшін оның грамматикасын біраз түсіну керек.	dil	Bir dili öyrənmək üçün onun qrammatikası haqqında bir az anlayış lazımdır.
