simplified	PT	example_PT
拳头	punho	Ele cerrou o punho e preparou-se para a competição.
权衡	ponderar	Precisamos de ponderar o custo e o efeito.
权威	autoridade	Este professor é uma autoridade na área.
犬	cão	Este tipo de cão é adequado para guardar uma casa.
缺口	brecha	Há uma pequena brecha na parede.
缺席	ausência	Ele faltou à reunião por estar doente.
缺陷	defeito	Este design tem um defeito evidente.
瘸	coxo	A perna esquerda dele é um pouco coxa.
确保	garantir	Por favor, garante que a porta está trancada.
确立	estabelecer	A empresa estabeleceu novos objetivos de desenvolvimento.
确切	exato	Não sei a hora exata.
确信	ter a certeza	Tenho a certeza de que ele chegará a horas.
群众	massas	As massas apoiam muito a nova política.
染	pintar	Ela pintou o cabelo de preto.
嚷	gritar	Não grites alto no corredor.
让步	concessão	Ambas as partes fizeram algumas concessões.
饶恕	perdoar	Ela acabou por escolher perdoar a outra pessoa.
扰乱	perturbar	O ruído perturbou a ordem da aula.
惹祸	causar problemas	Brincadeiras descuidadas podem facilmente causar problemas.
热泪盈眶	com lágrimas nos olhos	Ao ouvir a boa notícia, ela ficou com lágrimas nos olhos.
热门	popular	A inteligência artificial é um tema popular.
人道	humanitário	A ação de salvamento refletiu espírito humanitário.
人格	dignidade	Insultar os outros fere a dignidade pessoal.
人工	artificial	Este rio foi escavado artificialmente.
人家	os outros	Não te compares sempre com os outros.
人间	mundo humano	A primavera enche o mundo humano de vitalidade.
人士	pessoa	Pessoas de todos os setores participaram no fórum.
人为	humano	Este acidente foi causado por fatores humanos.
人性	natureza humana	Este filme discute a natureza humana.
人质	refém	A polícia resgatou o refém com sucesso.
仁慈	bondoso	Este médico é muito bondoso com os doentes.
忍耐	paciência	Esperar numa fila longa exige alguma paciência.
忍受	suportar	Não consigo suportar o barulho daqui.
任命	nomear	O conselho nomeou-a gerente.
任性	caprichoso	Uma criança demasiado caprichosa pode ser afetada no crescimento.
任意	arbitrário	Por favor, não modifiques os dados de forma arbitrária.
任重道远	longo caminho	A reforma da educação tem grandes responsabilidades e um longo caminho pela frente.
认定	determinar	A polícia determinou que isto foi um acidente.
认可	aprovação	O plano dele recebeu a aprovação de todos.
仍旧	ainda	Muitos anos depois, ele ainda morava aqui.
日新月异	mudar rapidamente	A tecnologia muda rapidamente de dia para dia.
日益	cada vez mais	Os problemas ambientais estão cada vez mais graves.
容貌	aparência	Os anos mudaram a aparência dele.
容纳	comportar	Este salão comporta quinhentas pessoas.
容器	recipiente	Por favor, despeja o líquido num recipiente de vidro.
容忍	tolerar	A empresa não pode tolerar fraude.
溶解	dissolver	O sal dissolve-se na água.
荣幸	honrado	Sinto-me honrado por participar na reunião.
荣誉	honra	Esta medalha representa a maior honra.
融化	derreter	A luz do sol fez o gelo e a neve derreterem lentamente.
融洽	harmonioso	As relações entre colegas são muito harmoniosas.
揉	esfregar	A mãe esfregou-me suavemente os ombros.
柔和	suave	A luz é suave e não encandeia.
儒家	confucionismo	O pensamento confucionista influenciou a cultura da Ásia Oriental.
弱点	ponto fraco	O descuido é o principal ponto fraco dele.
若干	vários	A reunião apresentou várias sugestões.
撒谎	mentir	As crianças não devem mentir.
散文	prosa	Ela gosta de ler prosa moderna.
散布	espalhar	Alguém espalhou boatos na Internet.
散发	exalar	O jardim exalava uma fragrância fresca.
丧失	perder	Ele não perdeu a confiança.
骚扰	assediar	Por favor, não assedies outros passageiros.
嫂子	cunhada	A comida feita pela minha cunhada é deliciosa.
刹车	travar	O motorista travou de repente.
啥	o quê	O que disseste agora?
筛选	filtrar	O sistema vai filtrar currículos automaticamente.
山脉	cordilheira	Esta cordilheira é muito longa.
闪烁	piscar	As luzes ao longe piscavam continuamente.
擅长	ser bom em	Ele é bom a lidar com problemas complexos.
擅自	sem autorização	Os funcionários não podem sair do posto sem autorização.
伤脑筋	complicado	Este problema é mesmo complicado.
商标	marca registada	A empresa registou uma nova marca.
上级	superior	Ele comunicou a situação ao superior.
上进	ambicioso	Ela sempre foi ambiciosa para melhorar.
上任	tomar posse	O novo gerente toma posse na próxima semana.
上瘾	viciar-se	Muitas pessoas ficam viciadas em vídeos curtos.
上游	curso superior	A poluição vem do curso superior do rio.
尚且	até	Até os adultos cometem erros.
捎	levar	Por favor, leva uma mensagem por mim.
梢	copa	A ave pousou na copa da árvore.
哨	sentinela	Há uma sentinela à porta.
奢侈	luxuoso	Este tipo de consumo é demasiado luxuoso.
舌头	língua	Ele queimou a língua.
摄氏度	graus Celsius	A temperatura de hoje é de trinta graus Celsius.
涉及	envolver	O relatório envolve vários departamentos.
社区	comunidade	A comunidade organizou uma palestra sobre saúde.
设立	criar	A escola criou uma bolsa de estudo.
设想	ideia	Esta ideia ainda precisa de discussão.
设置	configurar	Por favor, configura novamente a palavra-passe.
呻吟	gemer	O doente gemia baixinho.
深奥	profundo	O conteúdo deste livro é muito profundo.
深沉	grave	A voz dele era baixa e grave.
深情厚谊	amizade profunda	Os povos dos dois países formaram uma amizade profunda.
申报	declarar	Os passageiros precisam de declarar os objetos com honestidade.
绅士	cavalheiro	Ele comporta-se como um cavalheiro.
神经	nervo	O stress pode afetar o sistema nervoso.
神奇	mágico	A paisagem daqui é muito mágica.
神气	cheio de energia	Hoje ele parecia especialmente cheio de energia.
神圣	sagrado	Esta é uma responsabilidade sagrada.
神态	expressão	A expressão dela era muito calma.
神仙	imortal taoista	Diz a lenda que há imortais a viver nas montanhas.
审查	rever	A plataforma revê o conteúdo publicado.
审理	julgar	O tribunal está a julgar este caso.
审美	gosto estético	O gosto estético dele é muito distinto.
审判	julgamento	O julgamento público atraiu a atenção dos meios de comunicação.
慎重	cuidadoso	Esta decisão deve ser tomada com cuidado.
渗透	infiltrar-se	A água da chuva infiltrou-se lentamente no solo.
声明	declaração	A empresa emitiu uma declaração oficial.
声势	ímpeto	Esta campanha de divulgação tem grande ímpeto.
声誉	reputação	A qualidade do produto afeta a reputação da marca.
牲畜	gado	Os pastores levaram o gado de volta ao pasto.
生存	sobreviver	Os animais selvagens precisam de espaço para sobreviver.
生机	vitalidade	A chuva de primavera enche a terra de vitalidade.
生理	fisiologia	O sono afeta o estado fisiológico das pessoas.
生疏	enferrujado	Depois de anos sem praticar, o piano dele ficou um pouco enferrujado.
生态	ecologia	A proteção das florestas está ligada ao equilíbrio ecológico.
生物	organismo	Há muitos organismos estranhos no oceano.
生效	entrar em vigor	O novo regulamento entra oficialmente em vigor amanhã.
生肖	signo do zodíaco chinês	Qual é o teu signo do zodíaco chinês?
生锈	enferrujar	A corrente da bicicleta já enferrujou.
生育	fertilidade	O hospital oferece serviços de consulta de fertilidade.
省会	capital provincial	Chengdu é desde há muito a capital provincial de Sichuan.
盛产	produzir em abundância	Este lugar produz chá de alta qualidade em abundância.
盛开	florir	As cerejeiras do parque estão a florir.
盛情	generosidade	Agradecemos ao anfitrião a sua generosa hospitalidade.
盛行	estar em voga	Este estilo esteve muito em voga durante algum tempo.
胜负	resultado	O último minuto do jogo decidiu o resultado.
失事	acidente	A causa do acidente aéreo ainda está sob investigação.
失误	erro	Um pequeno erro causou o adiamento do projeto.
失踪	desaparecido	A polícia está à procura da criança desaparecida.
尸体	cadáver	A equipa de resgate encontrou o cadáver da vítima.
师范	formação de professores	Ela formou-se numa universidade de formação de professores.
施加	exercer	Os pais não devem exercer pressão excessiva.
施展	pôr em prática	Finalmente ele teve oportunidade de pôr o talento em prática.
十足	total	Ele está totalmente confiante no resultado.
实惠	acessível	Os preços desta loja são muito acessíveis.
实力	força	A força global da equipa é muito grande.
实施	implementar	O governo começou a implementar o novo plano.
实事求是	procurar a verdade nos factos	Na investigação é preciso procurar a verdade nos factos.
实行	praticar	A empresa pratica um regime de trabalho flexível.
实质	essência	A essência do problema não mudou.
拾	apanhar	Ele baixou-se para apanhar a chave do chão.
时常	frequentemente	O avô fala frequentemente de coisas da juventude.
时而	por vezes	O tempo está por vezes limpo e por vezes nublado.
时光	tempo	Os bons tempos parecem sempre curtos.
时机	momento	Agora não é um bom momento para negociações.
时事	atualidade	Os alunos discutem atualidade internacional todas as semanas.
石油	petróleo	Os preços do petróleo voltaram a subir.
识别	reconhecer	O sistema consegue reconhecer rostos diferentes.
使命	missão	Proteger o ambiente é uma missão comum.
世代	gerações	Este ofício foi transmitido por gerações na família.
事故	acidente	Este acidente não causou vítimas.
事迹	feito	Os feitos heroicos dele espalharam-se amplamente.
事件	incidente	Este incidente atraiu atenção social.
事态	situação	O governo está a controlar o desenvolvimento da situação.
事务	assuntos	Ela é responsável pelos assuntos diários da empresa.
事项	item	Por favor, confirma os itens importantes do contrato.
事业	carreira	Ele trata a educação como a carreira de toda a vida.
势必	inevitavelmente	O aumento dos custos afetará inevitavelmente os preços.
势力	influência	A influência comercial local é muito forte.
是非	disputas	Ele não quer envolver-se em disputas de escritório.
示范	demonstração	O professor fez primeiro uma demonstração.
示威	manifestação	Houve uma manifestação pacífica no centro da cidade.
示意	sinalizar	O gerente sinalizou a todos que fizessem silêncio.
视力	visão	Olhar para ecrãs durante muito tempo pode afetar a visão.
视频	vídeo	Por favor, envia-me o vídeo.
视线	linha de visão	O nevoeiro denso bloqueou a linha de visão do condutor.
视野	horizontes	Viajar pode alargar os horizontes.
试图	tentar	Ele tentou explicar a sua decisão.
试验	experiência	Os cientistas realizaram muitas experiências.
适宜	adequado	O clima aqui é adequado para viver.
逝世	falecer	Este escritor faleceu no ano passado.
释放	libertar	O tribunal decidiu libertar o réu.
收藏	colecionar	Ele colecionou muitos selos antigos.
收缩	contrair	O ar frio pode fazer o metal contrair.
收益	rendimento	O rendimento do investimento foi superior ao esperado.
收音机	rádio	A avó ouve rádio todos os dias.
守护	proteger	Os médicos protegem a vida dos doentes.
手法	técnica	A técnica de filmagem do realizador é muito distinta.
手势	gesto	Ele usou um gesto para mostrar concordância.
手艺	ofício	Este mestre tem muito bom ofício.
首饰	joias	Ela usava joias simples de prata.
首要	principal	A segurança é a tarefa principal.
受罪	sofrer	O doente sofreu muito depois da operação.
授予	conceder	A escola concedeu-lhe um grau honorário.
书法	caligrafia	Ele pratica caligrafia desde pequeno.
书记	secretário	O secretário da aldeia presidiu à reunião.
书籍	livros	A biblioteca guarda uma grande quantidade de livros.
书面	escrito	Por favor, apresenta uma prova por escrito.
疏忽	negligência	Este erro resultou de negligência no trabalho.
疏远	afastar-se	O mal-entendido fez as duas pessoas afastarem-se gradualmente.
舒畅	relaxado	Depois do passeio, senti-me muito relaxado e bem-disposto.
数额	montante	O montante da compensação ainda não foi determinado.
束	ramo	Ela comprou um ramo de flores.
束缚	restringir	As ideias tradicionais restringiram as escolhas dele.
树立	estabelecer	A empresa precisa de estabelecer uma boa imagem.
竖	pôr de pé	Por favor, põe a placa de pé.
耍	brincar	Não brinques com o telemóvel durante o horário de trabalho.
衰老	envelhecimento	O exercício pode abrandar o envelhecimento.
衰退	recessão	A recessão económica afetou o emprego.
率领	liderar	O capitão liderou a equipa para a frente.
涮火锅	comer hot pot	No inverno, todos gostam de comer hot pot.
双胞胎	gémeos	Eles são um par de gémeos.
爽快	direto	Ela respondeu de forma muito direta.
水利	recursos hídricos	Esta região valoriza a construção de obras de recursos hídricos.
水龙头	torneira	A torneira da cozinha está a pingar.
水泥	cimento	Os trabalhadores levaram cimento para a obra.
瞬间	instante	As luzes apagaram-se todas num instante.
司法	justiça	A independência da justiça precisa de garantias institucionais.
司令	comandante	O comandante deu a ordem de retirada.
思念	ter saudades	Ela tem muitas vezes saudades da terra natal.
思索	ponderar	Ele baixou a cabeça e ponderou durante muito tempo.
思维	pensamento	Este treino pode melhorar o pensamento lógico.
斯文	refinado	Ele fala de forma refinada e gentil.
私自	sem autorização	Os alunos não podem sair da escola sem autorização.
死亡	morte	O acidente causou várias mortes.
四肢	membros	Antes de fazer exercício, deves mexer os membros.
寺庙	templo	Há um templo antigo na montanha.
肆无忌惮	sem escrúpulos	Ele quebrou as regras sem quaisquer escrúpulos.
饲养	criar	A quinta cria muitas vacas leiteiras.
耸	encolher os ombros	Depois de ouvir, ele apenas encolheu os ombros.
艘	classificador de navios	Há três navios de carga atracados no porto.
苏醒	recuperar a consciência	O doente finalmente recuperou a consciência.
俗话	ditado	Como diz o ditado, a prática leva à perfeição.
塑造	moldar	O ambiente pode moldar o caráter de uma pessoa.
素食	comida vegetariana	Este restaurante oferece comida vegetariana.
素质	qualidade	A qualidade do pessoal de serviço é muito alta.
诉讼	processo judicial	As duas partes decidiram resolver o caso por processo judicial.
算数	contar	Aquilo que disseste tem de contar.
随即	imediatamente	Depois da reunião terminar, ele saiu imediatamente.
随意	à vontade	Por favor, não alteres as definições à vontade.
岁月	anos	Os anos mudaram a aparência dele.
隧道	túnel	O comboio passou por um túnel comprido.
损坏	danificar	A chuva forte danificou a estrada.
索取	pedir	Os clientes podem pedir amostras gratuitamente.
索性	simplesmente	A chuva era demasiado forte, por isso simplesmente não saímos.
塌	desabar	O telhado da casa velha desabou.
踏实	tranquilo	Depois de concluir a tarefa, senti-me tranquilo.
塔	torre	Há uma torre alta no centro da cidade.
台风	tufão	Prevê-se que o tufão chegue a terra amanhã.
太空	espaço	A humanidade sempre explorou o espaço.
泰斗	autoridade de referência	Ele é uma autoridade de referência na linguística.
摊	banca	Ela montou uma banca de fruta no mercado.
瘫痪	paralisia	O acidente de viação deixou-lhe os membros inferiores paralisados.
贪婪	ganância	A ganância pode arruinar uma pessoa.
贪污	corrupção	O funcionário foi investigado por corrupção.
弹性	elasticidade	Este material tem muita elasticidade.
坦白	confessar	Ele finalmente confessou a verdade.
叹气	suspirar	Ao ouvir o resultado, ele não conseguiu evitar suspirar.
探测	detetar	O equipamento consegue detetar água subterrânea.
探索	explorar	Os cientistas continuam a explorar o universo.
探讨	discutir	Os especialistas discutiram o plano de reforma.
探望	visitar	No fim de semana fui ao hospital visitar um amigo.
倘若	se	Se chover, o evento será adiado.
掏	tirar	Ele tirou a chave do bolso.
滔滔不绝	sem parar	Quando fala de história, ele fala sem parar.
淘汰	eliminar	Esta equipa foi eliminada cedo.
陶瓷	cerâmica	Jingdezhen é famosa pela cerâmica.
陶醉	encantar-se	O público ficou encantado com a música.
讨好	agradar	Ela não quer agradar deliberadamente ao chefe.
特长	talento especial	A pintura é o talento especial dela.
特定	específico	Por favor, submete o pedido dentro do prazo específico.
特意	de propósito	Vim de propósito agradecer-te.
提拔	promover	A empresa promoveu-a a chefe de departamento.
提炼	extrair	A fábrica extrai metal do minério.
提示	indicar	O sistema vai indicar que introduzas a palavra-passe.
提议	propor	Ela propôs continuar a discussão amanhã.
题材	tema	O tema deste filme é inovador.
体裁	género	O romance e a poesia são géneros diferentes.
体积	volume	Esta caixa tem um volume grande.
体谅	compreender	Por favor, compreende as dificuldades dele.
体面	respeitável	Ele quer encontrar um emprego respeitável.
体系	sistema	A empresa criou um sistema completo de formação.
天才	génio	Esta criança é considerada um génio musical.
天赋	dom	Ela tem dom para aprender línguas.
天伦之乐	felicidade familiar	O idoso desfruta da felicidade familiar.
天然气	gás natural	Os residentes da cidade usam gás natural para cozinhar.
天生	naturalmente	Ele é naturalmente otimista.
天堂	paraíso	Este lugar parece um paraíso na terra.
天文	astronomia	Ele gosta de astronomia desde pequeno.
田径	atletismo	A escola realizou uma competição de atletismo.
田野	campos	Os campos na primavera estão todos verdes.
舔	lamber	O cachorro lambeu a mão do dono.
挑剔	exigente	Ela é muito exigente com a comida.
条款	cláusula	As cláusulas do contrato precisam de ser lidas com atenção.
条理	organização	O discurso dele foi muito bem organizado.
条约	tratado	Os dois países assinaram um tratado de paz.
调和	harmonizar	Estas duas cores harmonizam bem.
调剂	equilibrar	O exercício pode equilibrar uma vida stressante.
调节	regular	O ar condicionado pode regular a temperatura interior.
调解	mediar	O pessoal da comunidade ajudou a mediar a disputa entre as duas partes.
调料	tempero	É preciso acrescentar um pouco de tempero à sopa.
挑拨	semear discórdia	Não semeies discórdia entre colegas.
挑衅	provocação	Este tipo de comentário tem uma provocação evidente.
跳跃	saltar	O atleta saltou três vezes seguidas.
亭子	pavilhão	Há um pequeno pavilhão junto ao lago.
停泊	estar ancorado	Os barcos de pesca estão ancorados no porto.
停顿	pausa	Ele fez uma breve pausa enquanto falava.
停滞	estagnar	O projeto estagnou por falta de fundos.
挺拔	alto e direito	Os pinheiros crescem altos e direitos.
通货膨胀	inflação	A inflação aumentou o custo de vida.
通缉	procurar oficialmente	A polícia está procurando oficialmente este suspeito.
通俗	acessível	A linguagem deste livro é muito acessível.
通讯	comunicações	As tecnologias modernas de comunicação estão se desenvolvendo rapidamente.
通用	universal	Este tipo de carregador é relativamente universal.
同胞	compatriota	Os compatriotas no exterior também se importam com o desenvolvimento da terra natal.
同志	camarada	O camarada mais experiente compartilhou sua experiência de trabalho.
童话	conto de fadas	A criança gosta de ouvir contos de fadas antes de dormir.
铜	cobre	Esta estátua é feita de cobre.
统筹兼顾	coordenar considerando tudo	O planejamento urbano deve coordenar e considerar os interesses de todos os lados.
统计	contar	Precisamos contar o número de inscrições.
统统	todos	Todos estes documentos antigos precisam ser arquivados.
统治	governar	Esta dinastia governou durante trezentos anos.
投机	especulação	Ele ganhou uma boa quantia por meio de especulação.
投票	votar	Os moradores vão votar amanhã.
投诉	reclamação	O cliente apresentou uma reclamação contra o comerciante na plataforma.
投降	render-se	O exército inimigo acabou se rendendo.
投掷	arremessar	O atleta treinou arremessar o dardo.
透露	revelar	Ele não revelou os detalhes da reunião.
秃	calvo	Ele ficou calvo ainda jovem.
突破	avanço	A pesquisa alcançou um avanço importante.
图案	estampa	A estampa deste tecido é muito bonita.
徒弟	aprendiz	O mestre está ensinando o aprendiz a consertar relógios.
涂抹	aplicar	Aplique a pomada ao redor da ferida.
途径	meio	A internet é um meio importante para obter informações.
土壤	solo	O solo fértil é adequado para plantar legumes.
团结	unir	A equipe precisa se unir e cooperar.
团体	grupo	Este grupo organiza atividades regularmente.
团圆	reunião	O Festival da Primavera é uma época de reunião familiar.
推测	supor	Os especialistas supõem que os preços ainda vão subir.
推翻	derrubar	O povo derrubou o antigo sistema.
推理	raciocínio	Este romance está cheio de tramas de raciocínio.
推论	inferência	Esta inferência ainda precisa de apoio em evidências.
推销	promover vendas	Ele é responsável por promover as vendas do novo produto.
吞吞吐吐	gaguejar	Ele gaguejou ao responder à pergunta.
托运	despachar	Os passageiros podem despachar a bagagem no balcão.
拖延	adiar	Não adie mais o prazo de pagamento.
脱离	separar-se	A teoria não pode se separar da realidade.
妥当	adequado	Este arranjo é muito adequado.
妥善	devidamente	Guarde devidamente os documentos importantes.
妥协	compromisso	As duas partes finalmente chegaram a um compromisso.
椭圆	elipse	A órbita da Terra é próxima de uma elipse.
唾弃	repudiar	A sociedade repudia esse tipo de fraude.
哇	uau	Uau, esta ponte é realmente impressionante!
挖掘	escavar	A equipe de arqueologia está escavando uma tumba antiga.
娃娃	boneca	A menina está segurando uma boneca.
瓦解	desintegrar-se	Conflitos internos fizeram a aliança se desintegrar.
歪曲	distorcer	As reportagens não devem distorcer os fatos.
外表	aparência	Não julgue as pessoas apenas pela aparência.
外行	leigo	Sou totalmente leigo em direito.
外界	mundo exterior	A empresa raramente responde às críticas do mundo exterior.
外向	extrovertido	Ela tem uma personalidade extrovertida e muitos amigos.
丸	pílula	O médico receitou algumas pílulas para ele.
完备	completo	Este conjunto de materiais é muito completo.
完毕	terminar	A reunião já terminou.
玩弄	brincar com	Não brinque com os sentimentos dos outros.
玩意儿	coisa	Que coisa nova é esta?
顽固	obstinado	A atitude dele é muito obstinada.
顽强	tenaz	O ferido demonstrou grande tenacidade.
惋惜	lamentar	Todos lamentaram o fracasso.
挽回	recuperar	Ele se esforçou para recuperar as perdas da empresa.
挽救	salvar	O médico conseguiu salvar a vida do paciente.
万分	extremamente	Sou extremamente grato pela sua ajuda.
往常	habitual	Hoje está mais quente do que o habitual.
往事	acontecimentos passados	O idoso costuma recordar acontecimentos passados.
妄想	sonhar em vão	Ele sonha em vão ficar rico da noite para o dia.
危机	crise	A empresa está enfrentando uma crise grave.
威风	imponente	O general parecia imponente montado no cavalo.
威力	poder	Este tipo de arma tem grande poder.
威望	prestígio	Ele tem muito prestígio na aldeia.
威信	credibilidade	Os líderes precisam manter a credibilidade do governo.
微不足道	insignificante	Esta pequena perda é insignificante.
微观	micro	Este curso apresenta microeconomia.
为难	dificultar	Não dificulte mais as coisas para o garçom.
为期	durar	O treinamento dura três meses.
唯独	exceto	Todos chegaram, exceto ele.
维持	manter	A polícia manteve a ordem no local.
维护	proteger	Devemos proteger nossos direitos e interesses legais.
维生素	vitamina	As frutas contêm vitaminas em abundância.
违背	violar	Esta decisão viola o espírito do contrato.
伪造	forjar	Alguém forjou a assinatura dele.
委托	encarregar	O cliente encarregou um advogado de cuidar do caso.
委员	membro do comitê	Cada membro do comitê expressou sua opinião.
卫星	satélite	O satélite entrou na órbita planejada.
喂	alimentar	A criança está alimentando o gatinho.
慰问	consolar	Os líderes foram ao hospital consolar os feridos.
未免	excessivo	Esta exigência é um pouco excessiva.
畏惧	temer	Ele nunca teme dificuldades.
蔚蓝	azul-celeste	O céu mostrou uma cor azul-celeste.
温带	zona temperada	Esta planta é adequada ao clima da zona temperada.
温和	moderado	A posição política dele é relativamente moderada.
文凭	diploma	Este trabalho exige diploma universitário.
文物	relíquia cultural	O museu exibiu relíquias culturais preciosas.
文献	literatura	O artigo citou uma grande quantidade de literatura.
文雅	elegante	Ela se comporta de forma elegante.
文艺	literatura e arte	Esta cidade tem uma forte atmosfera de literatura e arte.
问世	ser lançado	Este modelo de celular está prestes a ser lançado.
窝	ninho	Há um ninho na árvore.
乌黑	negro brilhante	Ela tem cabelos longos e negros brilhantes.
污蔑	caluniar	Ele negou ter caluniado o concorrente.
诬陷	incriminar	As evidências mostram que ele foi incriminado.
无比	extremamente	Ao ouvir a notícia, ele ficou extremamente emocionado.
无偿	gratuito	Os voluntários oferecem serviços gratuitos.
无耻	desavergonhado	Este tipo de fraude é muito desavergonhado.
无动于衷	indiferente	Diante das críticas, ele permaneceu indiferente.
无非	nada mais que	Ele fez isso nada mais que para economizar dinheiro.
无辜	inocente	O tribunal determinou que ele era inocente.
无精打采	abatido	Hoje ele parece abatido.
无赖	canalha	Os moradores não querem lidar com aquele canalha.
无理取闹	criar confusão sem motivo	Por favor, não crie confusão sem motivo aqui.
无能为力	impotente	Diante da enchente, os moradores ficaram impotentes.
无穷无尽	sem fim	O deserto parecia sem fim.
无微不至	meticuloso	A enfermeira cuidou do paciente de forma meticulosa.
无忧无虑	despreocupado	As crianças brincavam despreocupadas no gramado.
无知	ignorância	A ignorância não é motivo para recusar aprender.
侮辱	insultar	As palavras dele insultaram a outra pessoa.
武器	arma	Estas armas ficam guardadas sob controle unificado.
武侠	romance de artes marciais	Ele gosta de ler romances de artes marciais desde pequeno.
武装	armado	A região de fronteira reforçou as patrulhas armadas.
舞蹈	dança	Esta dança tem fortes características étnicas.
务必	certifique-se de	Por favor, certifique-se de chegar no horário.
物美价廉	bom e barato	Os produtos desta loja são bons e baratos.
物业	administração do condomínio	A administração do condomínio é responsável pelos reparos na comunidade residencial.
物资	suprimentos	Os suprimentos de socorro já foram entregues à área afetada.
误差	erro	Há um leve erro no resultado da medição.
误解	malentendido	As duas partes eliminaram o mal-entendido por meio da comunicação.
夕阳	sol poente	O sol poente tingiu o céu de dourado.
昔日	de antigamente	A pequena aldeia de antigamente virou uma cidade.
溪	riacho	Um pequeno riacho corre pelas montanhas.
熄灭	apagar	Por favor, apague a vela.
牺牲	sacrifício	Eles fizeram um sacrifício para salvar pessoas.
膝盖	joelho	O joelho dele se machucou.
习俗	costume	O Festival da Primavera tem muitos costumes tradicionais.
媳妇	esposa	A esposa dele trabalha no hospital.
袭击	atacar	A tempestade atingiu a cidade costeira.
喜闻乐见	muito apreciado	Este tipo de programa é muito apreciado pelo público.
喜悦	alegria	Um sorriso de alegria apareceu no rosto dela.
系列	série	A empresa lançou uma série de novos produtos.
细菌	bactéria	Altas temperaturas podem matar bactérias.
细胞	célula	O corpo humano é composto de incontáveis células.
细致	minucioso	A observação dela é muito minuciosa.
峡谷	cânion	O rio passa por um cânion profundo.
狭隘	estreito	Esta visão estreita precisa mudar.
狭窄	estreito	Este caminho é muito estreito.
霞	clarão do entardecer	O clarão do entardecer avermelhou o céu.
下属	subordinado	O gerente ouviu atentamente as opiniões dos subordinados.
先进	avançado	A fábrica adotou equipamentos avançados.
先前	anterior	O plano anterior já mudou.
掀起	desencadear	Este livro desencadeou uma onda de discussão.
纤维	fibra	Este tecido contém fibras naturais.
鲜明	claro	A posição dele é muito clara.
嫌	não gostar	Ela não gosta de o quarto ser pequeno demais.
嫌疑	suspeita	Este homem está sob forte suspeita.
弦	corda	Uma corda da guitarra arrebentou.
衔接	conectar	Os conteúdos dos dois cursos se conectam muito bem.
贤惠	virtuoso	Ela é considerada virtuosa e capaz.
闲话	fofoca	Não faça fofoca sobre os outros pelas costas.
显著	significativo	O efeito do tratamento é muito significativo.
宪法	constituição	A constituição garante os direitos básicos dos cidadãos.
现场	local	Os repórteres já chegaram ao local do acidente.
现成	pronto	Há comida pronta na cozinha.
现状	situação atual	Precisamos entender a situação atual do setor.
线索	pista	A polícia encontrou uma nova pista.
陷害	armar contra	Ele afirmou que alguém armou contra ele.
陷阱	armadilha	O caçador preparou uma armadilha.
陷入	cair em	A empresa caiu em dificuldades financeiras.
馅儿	recheio	O recheio deste baozi é muito aromático.
乡镇	município rural	As condições das escolas dos municípios rurais estão melhorando.
相差	diferir	As temperaturas dos dois lugares diferem em dez graus.
相等	igual	As áreas dos dois triângulos são iguais.
相辅相成	complementar-se	A teoria e a prática se complementam.
相应	correspondente	A empresa tomará medidas correspondentes.
镶嵌	incrustar	Uma pedra preciosa está incrustada no anel.
响亮	sonoro	A resposta dele foi sonora e clara.
响应	responder	Muitas pessoas responderam à iniciativa ambiental.
想方设法	tentar de todas as maneiras	Eles tentaram de todas as maneiras reduzir custos.
向导	guia	Um guia local nos levou para as montanhas.
向来	sempre	Ele sempre valorizou a credibilidade.
向往	ansiar	Ela anseia por uma vida tranquila.
巷	beco	Muitas lojinhas abriram no beco antigo.
相声	xiangsheng	O avô gosta de ouvir xiangsheng tradicional.
消除	eliminar	A comunicação pode eliminar mal-entendidos.
消毒	desinfetar	O médico desinfetou a ferida.
消防	combate a incêndio	Os bombeiros chegaram rapidamente ao local.
消耗	consumir	Uma viagem longa consome muita energia física.
消灭	eliminar	Os trabalhadores estão eliminando pragas.
潇洒	descontraído	O jeito como ele anda é descontraído e elegante.
销毁	destruir	A alfândega destruiu produtos falsificados.
小心翼翼	cuidadosamente	Ela abriu a caixa cuidadosamente.
效益	eficiência	O novo equipamento melhorou a eficiência da produção.
肖像	retrato	O retrato dele está pendurado na parede.
协会	associação	Esta associação ajuda jovens empreendedores.
协商	consultar	As duas partes estão dispostas a continuar as consultas.
协调	coordenar	O gerente do projeto é responsável por coordenar os recursos.
协议	acordo	As duas partes assinaram um acordo de cooperação.
协助	auxiliar	Os voluntários auxiliaram os idosos a atravessar a rua.
携带	levar	Os passageiros não podem levar artigos perigosos.
屑	lascas	Há muitas lascas de madeira sobre a mesa.
泄露	vazar	Os funcionários não podem vazar informações dos clientes.
泄气	desanimar	Não desanime depois do fracasso.
谢绝	recusar educadamente	O hotel recusa educadamente alimentos de fora.
心得	aprendizado	Ela compartilhou seu aprendizado dos estudos.
心甘情愿	de boa vontade	Ele ficou para ajudar de boa vontade.
心灵	espírito	A música confortou o espírito dela.
心态	mentalidade	Manter uma mentalidade positiva é importante.
心疼	sentir pena	A mãe sentiu pena da criança ferida.
心血	esforço dedicado	Este livro reúne o esforço dedicado do autor.
心眼儿	mentalidade estreita	Ele é um pouco mesquinho.
新陈代谢	metabolismo	Exercícios podem estimular o metabolismo.
