hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
1624:入学	入学	入学	nastoupit do školy	Dítě nastoupí do školy letos v září.	nastúpiť do školy	Dieťa nastúpi do školy tento september.	iskolába lépni	A gyerek idén szeptemberben kezdi az iskolát.	a începe școala	Copilul va începe școala în septembrie anul acesta.	започвам училище	Детето ще започне училище през септември тази година.	krenuti u školu	Dijete ove godine u rujnu kreće u školu.
1625:入住	入住	入住	ubytovat se; nastěhovat se	Můžeme se ubytovat ve dvě odpoledne.	ubytovať sa; nasťahovať sa	Môžeme sa ubytovať o druhej popoludní.	bejelentkezni; beköltözni	Délután kettőkor bejelentkezhetünk.	a se caza; a se muta	Putem face cazarea la ora două după-amiaza.	настанявам се; нанасям се	Можем да се настаним в два следобед.	prijaviti se u smještaj; useliti se	Možemo se prijaviti u smještaj u dva poslijepodne.
1627:扫码	扫码	扫码	naskenovat kód	Před koupí lístku je třeba naskenovat kód.	naskenovať kód	Pred kúpou lístka treba naskenovať kód.	kódot beolvasni	Jegyvásárlás előtt be kell olvasni a kódot.	a scana un cod	Trebuie să scanezi codul înainte de a cumpăra biletul.	сканирам код	Преди да купиш билет, трябва да сканираш код.	skenirati kod	Prije kupnje karte treba skenirati kod.
1632:上门	上门	上门	domácí návštěva; přijít ke dveřím	Lékař může poskytnout službu doma.	domáca návšteva; prísť k dverám	Lekár môže poskytnúť službu doma.	házhoz menő; otthoni látogatás	Az orvos otthoni szolgáltatást tud nyújtani.	la domiciliu; din ușă în ușă	Medicul poate oferi serviciu la domiciliu.	домашно посещение; до вратата	Лекарят може да предостави услуга у дома.	kućni posjet; na vrata	Liječnik može pružiti uslugu kod kuće.
1633:稍	稍	稍	trochu; chvíli	Prosím, chvíli počkejte.	trochu; chvíľu	Prosím, chvíľu počkajte.	kissé; egy kicsit	Kérjük, várjon egy pillanatot.	puțin; o clipă	Vă rog să așteptați puțin.	малко; за момент	Моля, изчакайте малко.	malo; trenutak	Molimo pričekajte trenutak.
1635:少见	少见	少见	vzácný; zřídka viděný	Taková situace je poměrně vzácná.	zriedkavý; málo vídaný	Takáto situácia je pomerne zriedkavá.	ritka; ritkán látott	Ez a helyzet viszonylag ritka.	rar; rar întâlnit	Această situație este destul de rară.	рядък; рядко срещан	Тази ситуация е сравнително рядка.	rijedak; rijetko viđen	Ovakva je situacija prilično rijetka.
1636:少量	少量	少量	malé množství	Prosím, přidejte malé množství soli.	malé množstvo	Prosím, pridajte malé množstvo soli.	kis mennyiség	Kérjük, adjon hozzá kis mennyiségű sót.	cantitate mică	Vă rog să adăugați o cantitate mică de sare.	малко количество	Моля, добавете малко количество сол.	mala količina	Molimo dodajte malu količinu soli.
1637:少数	少数	少数	malý počet; menšina	Malý počet studentů volí cestu do školy pěšky.	malý počet; menšina	Malý počet študentov si vyberá cestu do školy pešo.	kis szám; kisebbség	Kevés diák választja, hogy gyalog megy iskolába.	număr mic; minoritate	Un număr mic de elevi aleg să meargă pe jos la școală.	малък брой; малцинство	Малък брой ученици избират да ходят пеша на училище.	mali broj; manjina	Mali broj učenika odabire ići pješice u školu.
1638:少年	少年	少年	dospívající; mladík	Tento dospívající rád hraje basketbal.	tínedžer; mladík	Tento tínedžer rád hrá basketbal.	tinédzser; ifjú	Ez a tinédzser szeret kosárlabdázni.	adolescent; tânăr	Acest adolescent joacă baschet cu plăcere.	тийнейджър; младеж	Този младеж обича да играе баскетбол.	tinejdžer; mladić	Ovaj tinejdžer voli igrati košarku.
1641:身	身	身	tělo; sada oblečení	Měl na sobě celý černý oděv.	telo; sada oblečenia	Mal na sebe celý čierny odev.	test; teljes öltözet	Teljesen fekete ruhát viselt.	corp; set de haine	A purtat o ținută complet neagră.	тяло; комплект дрехи	Той беше облечен изцяло в черно.	tijelo; komplet odjeće	Nosio je potpuno crnu odjeću.
1643:身份证	身份证	身份证	občanský průkaz	Při žádosti o kartu je potřeba občanský průkaz.	občiansky preukaz	Pri vybavovaní karty je potrebný občiansky preukaz.	személyi igazolvány	A kártya igényléséhez személyi igazolvány kell.	carte de identitate	La solicitarea cardului este necesară cartea de identitate.	лична карта	При издаване на карта е нужна лична карта.	osobna iskaznica	Pri izradi kartice potrebna je osobna iskaznica.
1646:生1	生1	生	porodit; růst	Včera porodila dceru.	porodiť; rásť	Včera porodila dcéru.	szülni; nőni	Tegnap kislánya született.	a naște; a crește	Ea a născut ieri o fiică.	раждам; раста	Вчера тя роди дъщеря.	roditi; rasti	Jučer je rodila kćer.
1647:生2	生2	生	syrový; nevařený	Tento kus masa je stále syrový.	surový; nevarený	Tento kus mäsa je stále surový.	nyers; főzetlen	Ez a húsdarab még nyers.	cru; negătit	Această bucată de carne este încă crudă.	суров; несготвен	Това парче месо още е сурово.	sirov; nekuhan	Ovaj komad mesa još je sirov.
1655:师生	师生	师生	učitelé a studenti	Akce se zúčastnili učitelé a studenti z celé školy.	učitelia a študenti	Na aktivite sa zúčastnili učitelia a študenti z celej školy.	tanárok és diákok	Az egész iskola tanárai és diákjai részt vettek a programon.	profesori și elevi	Toți profesorii și elevii școlii au participat la activitate.	учители и ученици	Учителите и учениците от цялото училище участваха в събитието.	nastavnici i učenici	Svi nastavnici i učenici škole sudjelovali su u aktivnosti.
1659:时间表	时间表	时间表	rozvrh; časový plán	Prosím, pošlete mi rozvrh.	rozvrh; časový plán	Prosím, pošlite mi rozvrh.	órarend; időbeosztás	Kérlek, küldd el nekem az órarendet.	orari; program	Te rog să-mi trimiți orarul.	разписание; график	Моля, изпрати ми разписанието.	raspored	Molim te, pošalji mi raspored.
1660:实际上	实际上	实际上	ve skutečnosti; vlastně	Ve skutečnosti znal odpověď už dávno.	v skutočnosti; vlastne	V skutočnosti poznal odpoveď už dávno.	valójában; ténylegesen	Valójában már rég tudta a választ.	de fapt; în realitate	De fapt, știa răspunsul de mult.	всъщност; на практика	Всъщност той отдавна знаеше отговора.	zapravo; u stvarnosti	Zapravo je odavno znao odgovor.
1661:食品	食品	食品	potravina; potravinový výrobek	Tento obchod prodává dovážené potraviny.	potravina; potravinový výrobok	Tento obchod predáva dovážané potraviny.	élelmiszer; élelmiszertermék	Ez az üzlet import élelmiszereket árul.	produs alimentar	Acest magazin vinde produse alimentare importate.	хранителен продукт	Този магазин продава вносни хранителни продукти.	prehrambeni proizvod	Ova trgovina prodaje uvozne prehrambene proizvode.
1662:食堂	食堂	食堂	jídelna; kantýna	V poledne jíme v jídelně.	jedáleň; kantína	Na obed jeme v jedálni.	menza; étkezde	Délben a menzán ebédelünk.	cantină; sală de mese	La prânz mâncăm la cantină.	столова; трапезария	На обяд ядем в столовата.	kantina; blagovaonica	U podne jedemo u kantini.
1665:十字路口	十字路口	十字路口	křižovatka	Na křižovatce zahněte doleva.	križovatka	Na križovatke odbočte doľava.	kereszteződés	A kereszteződésnél fordulj balra.	intersecție	La intersecție, virați la stânga.	кръстовище	На кръстовището завийте наляво.	raskrižje	Na raskrižju skrenite lijevo.
1667:使馆	使馆	使馆	velvyslanectví	Šel na velvyslanectví vyřídit vízum.	veľvyslanectvo	Išiel na veľvyslanectvo vybaviť vízum.	nagykövetség	A nagykövetségre ment vízumügyet intézni.	ambasadă	A mers la ambasadă să-și rezolve viza.	посолство	Той отиде в посолството да уреди визата си.	veleposlanstvo	Otišao je u veleposlanstvo srediti vizu.
1674:市区	市区	市区	centrum města; městská oblast	Doprava v centru města je velmi pohodlná.	centrum mesta; mestská oblasť	Doprava v centre mesta je veľmi pohodlná.	belváros; városi terület	A belváros közlekedése nagyon kényelmes.	zonă urbană; centru	Transportul în centrul orașului este foarte convenabil.	градска част; център	Транспортът в центъра е много удобен.	gradsko područje; središte	Promet u središtu grada vrlo je prikladan.
1675:试题	试题	试题	zkoušková otázka	Tato zkoušková otázka je trochu těžká.	skúšková otázka	Táto skúšková otázka je trochu ťažká.	vizsgakérdés	Ez a vizsgakérdés kissé nehéz.	întrebare de examen	Această întrebare de examen este puțin dificilă.	изпитен въпрос	Този изпитен въпрос е малко труден.	ispitno pitanje	Ovo ispitno pitanje je malo teško.
1677:收费	收费	收费	účtovat poplatek	Toto parkoviště účtuje poplatek po hodinách.	účtovať poplatok	Toto parkovisko účtuje poplatok podľa hodín.	díjat felszámítani	Ez a parkoló óradíjat számít fel.	a percepe o taxă	Această parcare percepe taxă pe oră.	таксувам	Този паркинг таксува на час.	naplaćivati	Ovo parkiralište naplaćuje po satu.
1680:收听	收听	收听	poslouchat vysílání	Vítejte u dnešního pořadu.	počúvať vysielanie	Vitajte pri dnešnom programe.	adást hallgatni	Üdvözöljük a mai műsorban.	a asculta o emisiune	Bun venit la programul de azi.	слушам предаване	Добре дошли в днешната програма.	slušati emisiju	Dobro došli u današnji program.
1685:售票员	售票员	售票员	prodejce lístků; pokladní	Prodejce lístků nám řekl čas posledního autobusu.	predajca lístkov; pokladník	Predajca lístkov nám povedal čas posledného autobusu.	jegyárus; pénztáros	A jegyárus megmondta az utolsó busz idejét.	vânzător de bilete; casier	Vânzătorul de bilete ne-a spus ora ultimului autobuz.	продавач на билети	Продавачът на билети ни каза часа на последния автобус.	prodavač karata	Prodavač karata rekao nam je vrijeme zadnjeg autobusa.
1688:熟	熟	熟	známý; uvařený	Tu cestu dobře znám.	známy; uvarený	Túto cestu veľmi dobre poznám.	ismerős; főtt	Ezt az utat nagyon jól ismerem.	familiar; gătit	Cunosc foarte bine acest drum.	познат; сготвен	Този път ми е много познат.	poznat; kuhan	Ovu cestu vrlo dobro poznajem.
1690:暑假	暑假	暑假	letní prázdniny	O letních prázdninách chci jet k moři.	letné prázdniny	Počas letných prázdnin chcem ísť k moru.	nyári szünet	A nyári szünetben a tengerpartra szeretnék menni.	vacanță de vară	În vacanța de vară vreau să merg la mare.	лятна ваканция	През лятната ваканция искам да отида на море.	ljetni praznici	Za ljetne praznike želim otići na more.
1693:树林	树林	树林	lesík; háj	Děti si hrají u okraje lesíka.	lesík; háj	Deti sa hrajú pri okraji lesíka.	erdőcske; liget	A gyerekek az erdő szélén játszanak.	pădurice; crâng	Copiii se joacă la marginea pădurii.	горичка; лес	Децата играят край гората.	šumarak; gaj	Djeca se igraju uz rub šumarka.
1699:说法	说法	说法	způsob vyjádření; vysvětlení	Tento způsob vyjádření není příliš přesný.	spôsob vyjadrenia; vysvetlenie	Tento spôsob vyjadrenia nie je veľmi presný.	kifejezésmód; magyarázat	Ez a megfogalmazás nem túl pontos.	mod de exprimare; explicație	Acest mod de a spune nu este foarte precis.	начин на изразяване; обяснение	Този начин на изразяване не е много точен.	način izražavanja; objašnjenje	Ovaj način izražavanja nije baš točan.
1701:说明书	说明书	说明书	návod k použití	Před použitím si prosím nejprve přečtěte návod.	návod na použitie	Pred použitím si prosím najprv prečítajte návod.	használati útmutató	Kérjük, használat előtt olvassa el az útmutatót.	instrucțiuni de folosire	Vă rog să citiți instrucțiunile înainte de utilizare.	инструкция за употреба	Моля, първо прочетете инструкцията преди употреба.	upute za uporabu	Molimo prvo pročitajte upute prije korištenja.
1705:塑料	塑料	塑料	plast; umělá hmota	Tato krabice je vyrobena z plastu.	plast; umelá hmota	Táto škatuľa je vyrobená z plastu.	műanyag	Ez a doboz műanyagból készült.	material plastic	Această cutie este făcută din material plastic.	пластмаса	Тази кутия е направена от пластмаса.	plastika	Ova je kutija napravljena od plastike.
1707:酸奶	酸奶	酸奶	jogurt	K snídani jsem vypil kelímek jogurtu.	jogurt	Na raňajky som vypil pohár jogurtu.	joghurt	Reggelire ittam egy pohár joghurtot.	iaurt	La micul dejun am băut un pahar de iaurt.	кисело мляко	На закуска изпих чаша кисело мляко.	jogurt	Za doručak sam popio čašu jogurta.
1708:算	算	算	počítat; považovat za	Tento příklad jsem spočítal špatně.	počítať; považovať za	Túto úlohu som vypočítal nesprávne.	számolni; valaminek számítani	Ezt a feladatot rosszul számoltam ki.	a calcula; a se socoti	Am calculat greșit această problemă.	смятам; брои се за	Сметнах тази задача грешно.	računati; smatrati	Ovaj sam zadatak krivo izračunao.
1711:孙女	孙女	孙女	vnučka	Babička často vypráví vnučce příběhy.	vnučka	Stará mama často rozpráva vnučke príbehy.	unoka lány; fiúági vagy lányági unoka	A nagymama gyakran mesél történeteket az unokájának.	nepoată	Bunica îi spune adesea povești nepoatei.	внучка	Бабата често разказва истории на внучката си.	unuka	Baka često priča priče svojoj unuci.
1716:抬头	抬头	抬头	zvednout hlavu; podívat se nahoru	Prosím, zvedněte hlavu a podívejte se na tabuli.	zdvihnúť hlavu; pozrieť sa hore	Prosím, zdvihnite hlavu a pozrite sa na tabuľu.	felemelni a fejet; felnézni	Kérlek, nézz fel a táblára.	a ridica capul; a privi în sus	Vă rog să ridicați capul și să priviți tabla.	вдигам глава; поглеждам нагоре	Моля, вдигнете глава и погледнете дъската.	podići glavu; pogledati gore	Molimo podignite glavu i pogledajte ploču.
1718:弹	弹	弹	hrát na strunný nebo klávesový nástroj	Umí hrát na klavír.	hrať na strunový alebo klávesový nástroj	Vie hrať na klavíri.	húros vagy billentyűs hangszeren játszani	Tud zongorázni.	a cânta la instrument cu clape sau coarde	Ea știe să cânte la pian.	свиря на струнен или клавишен инструмент	Тя може да свири на пиано.	svirati žičani ili klavijaturni instrument	Zna svirati klavir.
1727:提出	提出	提出	předložit; vznést	Předložil novou otázku.	predložiť; vzniesť	Predložil novú otázku.	felvetni; előterjeszteni	Felvetett egy új kérdést.	a propune; a ridica	A ridicat o nouă întrebare.	предлагам; повдигам	Той повдигна нов въпрос.	predložiti; pokrenuti	Pokrenuo je novo pitanje.
1728:提到	提到	提到	zmínit	Učitel v hodině zmínil tuto knihu.	spomenúť	Učiteľ na hodine spomenul túto knihu.	megemlíteni	A tanár az órán megemlítette ezt a könyvet.	a menționa	Profesorul a menționat această carte la oră.	споменавам	Учителят спомена тази книга в час.	spomenuti	Učitelj je na satu spomenuo ovu knjigu.
1732:体检	体检	体检	lékařská prohlídka	Firma každý rok zařizuje lékařskou prohlídku.	lekárska prehliadka	Firma každý rok organizuje lekársku prehliadku.	orvosi vizsgálat	A cég évente egyszer orvosi vizsgálatot szervez.	control medical	Compania organizează anual un control medical.	медицински преглед	Компанията всяка година организира медицински преглед.	liječnički pregled	Tvrtka svake godine organizira liječnički pregled.
1733:体温	体温	体温	tělesná teplota	Sestra právě měří tělesnou teplotu.	telesná teplota	Sestra práve meria telesnú teplotu.	testhőmérséklet	A nővér éppen testhőmérsékletet mér.	temperatura corpului	Asistenta măsoară temperatura corpului.	телесна температура	Медицинската сестра измерва телесната температура.	tjelesna temperatura	Medicinska sestra mjeri tjelesnu temperaturu.
1734:体重	体重	体重	tělesná hmotnost	Jeho tělesná hmotnost se zvýšila o dvě kila.	telesná hmotnosť	Jeho telesná hmotnosť sa zvýšila o dve kilá.	testsúly	A testsúlya két kilóval nőtt.	greutate corporală	Greutatea lui corporală a crescut cu două kilograme.	телесно тегло	Теглото му се увеличи с два килограма.	tjelesna težina	Tjelesna težina povećala mu se za dva kilograma.
1735:填写	填写	填写	vyplnit; doplnit	Prosím, vyplňte tuto přihlášku.	vyplniť; doplniť	Prosím, vyplňte túto prihlášku.	kitölteni; kiegészíteni	Kérjük, töltse ki ezt a jelentkezési lapot.	a completa	Vă rugăm să completați acest formular de înscriere.	попълвам	Моля, попълнете този формуляр за записване.	ispuniti	Molimo ispunite ovaj obrazac za prijavu.
1737:听力	听力	听力	poslechové porozumění; sluch	Jeho porozumění čínštině poslechem se rychle zlepšuje.	počúvanie s porozumením; sluch	Jeho počúvanie čínštiny s porozumením sa rýchlo zlepšuje.	hallás utáni értés; hallás	A kínai hallás utáni értése gyorsan fejlődik.	înțelegere auditivă; auz	Înțelegerea lui auditivă la chineză se îmbunătățește rapid.	слушане с разбиране; слух	Разбирането му на китайски при слушане се подобрява бързо.	slušanje s razumijevanjem; sluh	Njegovo razumijevanje kineskog slušanjem brzo napreduje.
1738:听众	听众	听众	posluchači; publikum	Dnes je posluchačů obzvlášť mnoho.	poslucháči; publikum	Dnes je poslucháčov obzvlášť veľa.	hallgatók; közönség	Ma különösen sok hallgató van.	ascultători; public	Azi sunt deosebit de mulți ascultători.	слушатели; публика	Днес слушателите са особено много.	slušatelji; publika	Danas ima posebno mnogo slušatelja.
1740:停车	停车	停车	parkovat; zastavit	Zde není dovoleno parkovat.	parkovať; zastaviť	Tu nie je dovolené parkovať.	parkolni; megállni	Itt nem szabad parkolni.	a parca; a opri	Parcarea nu este permisă aici.	паркирам; спирам	Тук не е позволено паркиране.	parkirati; zaustaviti se	Ovdje nije dopušteno parkiranje.
1741:停车场	停车场	停车场	parkoviště	Za obchodním centrem je parkoviště.	parkovisko	Za obchodným centrom je parkovisko.	parkoló	A bevásárlóközpont mögött van egy parkoló.	parcare	În spatele centrului comercial este o parcare.	паркинг	Зад търговския център има паркинг.	parkiralište	Iza trgovačkog centra nalazi se parkiralište.
1742:停止	停止	停止	přestat; zastavit se	Až přestane pršet, vyrazíme.	prestať; zastaviť sa	Keď prestane pršať, vyrazíme.	abbahagyni; megállni	Ha eláll az eső, elindulunk.	a se opri; a înceta	După ce ploaia se oprește, pornim.	спирам; прекратявам	След като дъждът спре, ще тръгнем.	prestati; zaustaviti se	Kad kiša prestane, krenut ćemo.
1743:通	通	通	procházet; být otevřený	Tato cesta je už otevřená.	prejsť; byť otvorený	Táto cesta je už otvorená.	átjárható; nyitva van	Ez az út már nyitva van.	a trece; a fi deschis	Acest drum este deja deschis.	минавам; отворен е	Този път вече е отворен.	prolaziti; biti otvoren	Ova je cesta već otvorena.
1746:童年	童年	童年	dětství	Své dětství jsem strávil na venkově.	detstvo	Svoje detstvo som strávil na vidieku.	gyermekkor	A gyermekkoromat vidéken töltöttem.	copilărie	Mi-am petrecut copilăria la țară.	детство	Прекарах детството си на село.	djetinjstvo	Djetinjstvo sam proveo na selu.
1748:同样	同样	同样	stejný; podobný	Také udělal stejnou chybu.	rovnaký; podobný	Tiež urobil rovnakú chybu.	ugyanolyan; azonos	Ő is ugyanazt a hibát követte el.	același; asemănător	A făcut și el aceeași greșeală.	същият; подобен	Той също направи същата грешка.	isti; sličan	I on je napravio istu pogrešku.
1749:桶	桶	桶	kbelík; sud	U dveří stojí kbelík s vodou.	vedro; sud	Pri dverách stojí vedro s vodou.	vödör; hordó	Az ajtónál van egy vödör víz.	găleată; butoi	Lângă ușă este o găleată cu apă.	кофа; бъчва	До вратата има кофа с вода.	kanta; bačva	Kraj vrata stoji kanta vode.
1750:痛	痛	痛	bolet; bolestivý	Trochu mě bolí ruka.	bolieť; bolestivý	Trochu ma bolí ruka.	fájni; fájdalmas	Kicsit fáj a kezem.	a durea; dureros	Mă doare puțin mâna.	боли; болезнен	Ръката ми малко ме боли.	boljeti; bolan	Ruka me malo boli.
1751:头痛	头痛	头痛	bolest hlavy	Včera v noci málo spal a dnes ho bolí hlava.	bolesť hlavy	Včera v noci spal málo a dnes ho bolí hlava.	fejfájás	Keveset aludt tegnap este, ma pedig fáj a feje.	durere de cap	A dormit puțin aseară și azi îl doare capul.	главоболие	Снощи спа малко и днес го боли глава.	glavobolja	Malo je spavao sinoć i danas ga boli glava.
1752:图	图	图	obrázek; graf; mapa	Prosím, podívejte se na obrázek v knize.	obrázok; graf; mapa	Prosím, pozrite sa na obrázok v knihe.	kép; ábra; térkép	Kérlek, nézd meg a könyvben lévő képet.	imagine; grafic; hartă	Vă rog să vă uitați la imaginea din carte.	изображение; диаграма; карта	Моля, погледнете изображението в книгата.	slika; grafikon; karta	Molimo pogledajte sliku u knjizi.
1753:图片	图片	图片	obrázek; fotografie	Tento obrázek je velmi jasný.	obrázok; fotografia	Tento obrázok je veľmi jasný.	kép; fotó	Ez a kép nagyon tiszta.	imagine; fotografie	Această imagine este foarte clară.	снимка; изображение	Това изображение е много ясно.	slika; fotografija	Ova je slika vrlo jasna.
1754:土	土	土	půda; zemina	Zemina v květináči je příliš suchá.	pôda; zemina	Zemina v kvetináči je príliš suchá.	föld; talaj	A virágcserép földje túl száraz.	pământ; sol	Pământul din ghiveci este prea uscat.	почва; земя	Почвата в саксията е твърде суха.	zemlja; tlo	Zemlja u loncu za cvijeće previše je suha.
1757:推出	推出	推出	uvést; představit	Firma uvedla nový produkt.	uviesť; predstaviť	Firma uviedla nový produkt.	bevezetni; piacra dobni	A cég új terméket vezetett be.	a lansa; a introduce	Compania a lansat un produs nou.	пускам; представям	Компанията пусна нов продукт.	lansirati; predstaviti	Tvrtka je predstavila novi proizvod.
1760:外出	外出	外出	vyjít ven; odejít z domu	Před víkendovým odchodem zavřete dveře a okna.	ísť von; odísť z domu	Pred víkendovým odchodom zavrite dvere a okná.	kimenni; elmenni otthonról	Hétvégi kimenetel előtt zárd be az ajtókat és ablakokat.	a ieși; a pleca de acasă	Înainte să ieși în weekend, închide ușile și ferestrele.	излизам навън	Преди да излезете през уикенда, затворете вратите и прозорците.	izaći; otići od kuće	Prije izlaska za vikend zatvorite vrata i prozore.
1761:外套	外套	外套	kabát; bunda	Je zima, nezapomeň si vzít bundu.	kabát; bunda	Je zima, nezabudni si obliecť bundu.	kabát; dzseki	Hideg van, ne felejts el kabátot venni.	haină; jachetă	Este frig, nu uita să porți o jachetă.	палто; яке	Студено е, не забравяй да облечеш яке.	kaput; jakna	Hladno je, ne zaboravi obući jaknu.
1763:晚安	晚安	晚安	dobrou noc	Před spaním maminka řekne dítěti dobrou noc.	dobrú noc	Pred spaním mama povie dieťaťu dobrú noc.	jó éjszakát	Lefekvés előtt az anya jó éjszakát mond a gyereknek.	noapte bună	Înainte de culcare, mama îi spune copilului noapte bună.	лека нощ	Преди сън майката казва на детето лека нощ.	laku noć	Prije spavanja majka djetetu kaže laku noć.
1764:晚餐	晚餐	晚餐	večeře	Dnešní večeře je velmi jednoduchá.	večera	Dnešná večera je veľmi jednoduchá.	vacsora	A ma esti vacsora nagyon egyszerű.	cină	Cina din seara aceasta este foarte simplă.	вечеря	Тази вечер вечерята е много проста.	večera	Večera večeras je vrlo jednostavna.
1765:网购	网购	网购	nakupovat přes internet	Ráda nakupuje oblečení přes internet.	nakupovať cez internet	Rada nakupuje oblečenie cez internet.	interneten vásárolni	Szeret ruhát vásárolni az interneten.	a cumpăra online	Îi place să cumpere haine pe internet.	пазарувам онлайн	Тя обича да купува дрехи онлайн.	kupovati putem interneta	Voli kupovati odjeću putem interneta.
1767:网页	网页	网页	webová stránka	Tato webová stránka se načítá velmi pomalu.	webová stránka	Táto webová stránka sa otvára veľmi pomaly.	weboldal	Ez a weboldal nagyon lassan nyílik meg.	pagină web	Această pagină web se deschide foarte încet.	уеб страница	Тази уеб страница се отваря много бавно.	web-stranica	Ova se web-stranica otvara vrlo sporo.
1768:网友	网友	网友	internetový přítel; uživatel internetu	Diskutuje s internetovými přáteli o metodách učení.	internetový priateľ; používateľ internetu	Diskutuje s internetovými priateľmi o metódach učenia.	internetes barát; netező	Internetes barátaival tanulási módszerekről beszélget.	prieten online; internaut	Discută metode de studiu cu prietenii de pe internet.	интернет приятел; потребител	Той обсъжда методи за учене с интернет приятели.	internetski prijatelj; korisnik interneta	S internetskim prijateljima raspravlja o metodama učenja.
1769:网址	网址	网址	internetová adresa	Prosím, pošlete mi internetovou adresu.	internetová adresa	Prosím, pošlite mi internetovú adresu.	webcím	Kérlek, küldd el nekem a webcímet.	adresă web	Te rog să-mi trimiți adresa web.	уеб адрес	Моля, изпрати ми уеб адреса.	web-adresa	Molim te, pošalji mi web-adresu.
1772:味	味	味	chuť; vůně	Toto jídlo má trochu pálivou chuť.	chuť; vôňa	Toto jedlo má trochu pikantnú chuť.	íz; szag	Ennek az ételnek kissé csípős íze van.	gust; aromă	Acest fel de mâncare are un gust puțin picant.	вкус; мирис	Това ястие има леко лютив вкус.	okus; miris	Ovo jelo ima malo ljut okus.
1774:卫生	卫生	卫生	hygiena; hygienický	Hygiena v restauraci je velmi důležitá.	hygiena; hygienický	Hygiena v reštaurácii je veľmi dôležitá.	higiénia; egészségügyi	Az éttermi higiénia nagyon fontos.	igienă; sanitar	Igiena într-un restaurant este foarte importantă.	хигиена; санитарен	Хигиената в ресторанта е много важна.	higijena; sanitaran	Higijena u restoranu vrlo je važna.
1782:无法	无法	无法	nemoci; nemít způsob	Déšť je příliš silný, takže nemůžeme vyjít.	nemôcť; nemať spôsob	Dážď je príliš silný, takže nemôžeme vyjsť.	nem tudni; nincs mód	Az eső túl erős, ezért nem tudunk kimenni.	a nu putea; fără posibilitate	Ploaia este prea puternică, așa că nu putem ieși.	не мога; няма начин	Дъждът е твърде силен, затова не можем да излезем.	ne moći; nemati načina	Kiša je prejaka pa ne možemo izaći.
1785:午餐	午餐	午餐	oběd	Jíme oběd ve dvanáct hodin.	obed	Obedujeme o dvanástej.	ebéd	Délben ebédelünk.	prânz	Mâncăm prânzul la ora douăsprezece.	обяд	Обядваме в дванадесет часа.	ručak	Ručamo u dvanaest sati.
1787:吸	吸	吸	vdechovat; sát	Prosím, nekuřte zde.	vdychovať; sať	Prosím, nefajčite tu.	belélegezni; szívni	Kérjük, ne dohányozzon itt.	a inhala; a suge	Vă rog să nu fumați aici.	вдишвам; смуча	Моля, не пушете тук.	udisati; sisati	Molimo ne pušite ovdje.
1788:西部	西部	西部	západní část	V západní Číně je mnoho vysokých hor.	západná časť	V západnej Číne je veľa vysokých hôr.	nyugati rész	Nyugat-Kínában sok magas hegy van.	partea de vest	În vestul Chinei sunt mulți munți înalți.	западна част	В западната част на Китай има много високи планини.	zapadni dio	U zapadnoj Kini ima mnogo visokih planina.
1791:细	细	细	tenký; jemný	Čára napsaná tímto perem je velmi tenká.	tenký; jemný	Čiara napísaná týmto perom je veľmi tenká.	vékony; finom	Ennek a tollnak a vonala nagyon vékony.	subțire; fin	Linia scrisă cu acest stilou este foarte fină.	тънък; фин	Линията от тази писалка е много тънка.	tanak; fin	Linija koju piše ova olovka vrlo je tanka.
1792:细心	细心	细心	pečlivý; pozorný	Pracuje velmi pečlivě.	starostlivý; pozorný	Pracuje veľmi starostlivo.	alapos; figyelmes	Nagyon alaposan dolgozik.	atent; grijuliu	Este foarte atentă în munca ei.	внимателен; грижлив	Тя работи много внимателно.	pažljiv; temeljit	Vrlo je pažljiva u poslu.
1793:下降	下降	下降	klesnout; snížit se	Teplota zítra klesne.	klesnúť; znížiť sa	Teplota zajtra klesne.	csökkenni; esni	A hőmérséklet holnap csökken.	a scădea; a coborî	Temperatura va scădea mâine.	спадам; намалявам	Температурата утре ще спадне.	pasti; smanjiti se	Temperatura će sutra pasti.
1794:鲜	鲜	鲜	čerstvý	Tato ryba je velmi čerstvá.	čerstvý	Táto ryba je veľmi čerstvá.	friss	Ez a hal nagyon friss.	proaspăt	Acest pește este foarte proaspăt.	пресен	Тази риба е много прясна.	svjež	Ova je riba vrlo svježa.
1795:鲜花	鲜花	鲜花	čerstvé květiny	Na stole je kytice čerstvých květin.	čerstvé kvety	Na stole je kytica čerstvých kvetov.	friss virágok	Az asztalon egy csokor friss virág van.	flori proaspete	Pe masă este un buchet de flori proaspete.	свежи цветя	На масата има букет свежи цветя.	svježe cvijeće	Na stolu je buket svježeg cvijeća.
1799:线上	线上	线上	přes internet; na síti	Tento kurz lze studovat přes internet.	cez internet; na sieti	Tento kurz sa dá študovať cez internet.	internetes; hálózaton	Ez a kurz interneten tanulható.	pe internet	Acest curs poate fi studiat pe internet.	онлайн; в интернет	Този курс може да се учи онлайн.	putem interneta; na mreži	Ovaj se tečaj može učiti putem interneta.
