simplified	KA	example_KA	HY	example_HY
学期	სემესტრი; სასწავლო პერიოდი	ამ სემესტრში ბევრი კურსი გავიარე, მათ შორის ხელოვნება, ისტორია და ეკონომიკა.	կիսամյակ; ուսումնական շրջան	Այս կիսամյակում շատ դասընթացներ եմ վերցրել, այդ թվում՝ արվեստ, պատմություն և տնտեսագիտություն։
呀	გაკვირვების ნაწილაკი	აჰ, თოვს!	զարմանք արտահայտող մասնիկ	Ա՜խ, ձյուն է գալիս։
压力	წნეხი; ზეწოლა	ბოლო დროს სამსახურში მას დიდი ზეწოლა აქვს.	ճնշում	Վերջերս նա աշխատանքում մեծ ճնշման տակ է։
牙膏	კბილის პასტა	კბილის პასტა გამითავდა, ხვალ ვიყიდოთ.	ատամի մածուկ	Ատամի մածուկը վերջացել է, վաղը գնենք։
亚洲	აზია	ჩინეთი აზიური ქვეყანაა.	Ասիա	Չինաստանը ասիական երկիր է։
严格	მკაცრი	მასწავლებელი ჩვენთან ძალიან მკაცრია.	խիստ	Ուսուցիչը մեզ հետ շատ խիստ է։
严重	სერიოზული; მძიმე	მისი ავადმყოფობა სერიოზულია.	լուրջ; ծանր	Նրա հիվանդությունը լուրջ է։
盐	მარილი	მარილი ზედმეტია, კერძები ცოტა მარილიანია.	աղ	Աղը շատ է, ուտեստները մի քիչ աղի են։
研究	კვლევა; შესწავლა	ის ამ პრობლემას იკვლევს.	ուսումնասիրել; հետազոտություն	Նա ուսումնասիրում է այս խնդիրը։
演出	წარმოდგენა; გამოსვლა	პირველი გამოსვლისას ის ნერვიულობდა.	ներկայացում; ելույթ	Առաջին ելույթի ժամանակ նա նյարդայնացած էր։
演员	მსახიობი; შემსრულებელი	ის ცნობილი მსახიობია.	դերասան; կատարող	Նա հայտնի դերասան է։
眼镜	სათვალე	მას შავი სათვალე უკეთია.	ակնոց	Նա սև ակնոց է կրում։
阳光	მზის სინათლე	მზის სინათლე ფანჯრიდან ოთახში შემოვიდა.	արևի լույս	Արևի լույսը պատուհանից մտավ սենյակ։
养成	ჩამოყალიბება; ჩვევის განვითარება	ეს ჩვევა ბავშვობიდან ჩამომიყალიბდა.	ձևավորել; սովորություն ձեռք բերել	Այս սովորությունը մանկուց եմ ձեռք բերել։
样子	გარეგნობა; იერი	ეს კაბა ძალიან ლამაზად გამოიყურება.	տեսք; ձև	Այս զգեստը շատ գեղեցիկ տեսք ունի։
邀请	მოწვევა	მან ყველას მოწვევაზე უარი თქვა.	հրավիրել; հրավեր	Նա մերժեց բոլորի հրավերը։
要是	თუ	თუ პირველი მოხვალთ, უბრალოდ დამელოდეთ.	եթե	Եթե առաջինը գաք, պարզապես ինձ սպասեք։
钥匙	გასაღები	დღეს გასაღების წამოღება დამავიწყდა.	բանալի	Այսօր մոռացա բանալին բերել։
也许	შესაძლოა; იქნებ	ის შესაძლოა არ მოვიდეს.	գուցե; հնարավոր է	Նա գուցե չգա։
叶子	ფოთოლი	გაზაფხული მოვიდა და პატარა ხეებს ახალი ფოთლები გამოეზარდათ.	տերև	Գարունը եկել է, և փոքր ծառերը նոր տերևներ ունեն։
页	გვერდი	გთხოვთ, მეათე გვერდზე გადაშალეთ.	էջ	Խնդրում եմ, բացեք տասներորդ էջը։
一切	ყველაფერი	ოჯახში ყველაფერზე დედაა პასუხისმგებელი.	ամեն ինչ; ամբողջը	Ընտանիքում ամեն ինչի համար մայրս է պատասխանատու։
以	გამოყენება როგორც; აღება როგორც	გთხოვთ, ეს წინადადება მაგალითად აიღეთ.	որպես վերցնել; օգտագործել որպես	Խնդրում եմ, այս նախադասությունը որպես օրինակ վերցրեք։
以为	ფიქრი; დაჯერება	მეგონა, რომ წახვედით.	կարծել; մտածել	Ես կարծում էի, որ դուք գնացել եք։
意见	აზრი; წინადადება	თქვენს ყველა აზრს ვიღებ.	կարծիք; առաջարկ	Ես ընդունում եմ ձեր բոլոր կարծիքները։
艺术	ხელოვნება	ხელოვნებით ძალიან ვარ დაინტერესებული.	արվեստ	Ես շատ եմ հետաքրքրվում արվեստով։
因此	ამიტომ; შედეგად	ის ავად იყო, ამიტომ გაკვეთილზე არ მოვიდა.	հետևաբար; դրա համար	Նա հիվանդ էր, ուստի դասի չեկավ։
引起	გამოწვევა; მიყვანა	ამ საქმემ ყველა გაანაწყენა.	առաջացնել; պատճառ դառնալ	Այս դեպքը բոլորին դժգոհեցրեց։
印象	შთაბეჭდილება	მან ჩემზე ძალიან კარგი შთაბეჭდილება დატოვა.	տպավորություն	Նա ինձ վրա շատ լավ տպավորություն թողեց։
赢	მოგება	გუშინ ფეხბურთის მატჩი ვინ მოიგო?	հաղթել	Երեկվա ֆուտբոլային խաղում ո՞վ հաղթեց։
应聘	სამსახურზე განაცხადის შეტანა	მას ამ სამუშაოზე განაცხადის შეტანა სურს.	աշխատանքի դիմել	Նա ուզում է դիմել այս աշխատանքին։
勇敢	მამაცი; გაბედული	ჩემი ძმა ძალიან მამაცი ადამიანია.	քաջ; համարձակ	Եղբայրս շատ քաջ մարդ է։
永远	სამუდამოდ; ყოველთვის	თქვენს დახმარებას არასდროს დავივიწყებ.	հավերժ; միշտ	Ես երբեք չեմ մոռանա ձեր օգնությունը։
优点	უპირატესობა; ძლიერი მხარე	ადამიანმა საკუთარი ნაკლოვანებები სხვის უპირატესობებს არ უნდა შეადაროს.	առավելություն; ուժեղ կողմ	Մարդը չպետք է իր թերությունները համեմատի ուրիշների առավելությունների հետ։
优秀	შესანიშნავი; გამორჩეული	ის შესანიშნავი ექიმია.	գերազանց; աչքի ընկնող	Նա գերազանց բժիշկ է։
幽默	იუმორისტული; იუმორი	პროფესორი ლი ძალიან იუმორით საუბრობს.	հումորային; հումոր	Պրոֆեսոր Լին մեծ հումորի զգացումով է խոսում։
尤其	განსაკუთრებით	მას ხატვა უყვარს, განსაკუთრებით ჩინური ფერწერა.	հատկապես	Նա սիրում է նկարչություն, հատկապես չինական նկարչություն։
由	მიერ	ეს ღონისძიება ჩვენ მიერ არის ორგანიზებული.	կողմից	Այս միջոցառումը մեր կողմից է կազմակերպվում։
由于	გამო; იმის გამო, რომ	წვიმის გამო თამაში გადაიდო.	պատճառով; շնորհիվ	Անձրևի պատճառով խաղը հետաձգվեց։
邮局	ფოსტა	ფოსტა დილით ცხრა საათზე იხსნება.	փոստատուն	Փոստատունը բացվում է առավոտյան ժամը իննին։
友好	მეგობრული	ჩემი ბინის მეპატრონე ძალიან მეგობრულია და ხშირად მეხმარება.	բարեկամական; ընկերասեր	Իմ տանտերը շատ ընկերասեր է և հաճախ օգնում է ինձ։
友谊	მეგობრობა	ჩვენს შორის ღრმა მეგობრობაა.	բարեկամություն; ընկերություն	Մեր միջև խոր բարեկամություն կա։
有趣	საინტერესო	ეს მართლაც საინტერესო სიზმარია!	հետաքրքիր	Սա իսկապես հետաքրքիր երազ է։
于是	ამიტომ; შემდეგ	რაღაცის კითხვა მინდოდა, ამიტომ დავურეკე.	ուստի; հետո	Ուզում էի նրան ինչ-որ բան հարցնել, ուստի զանգեցի։
愉快	სასიამოვნო; ბედნიერი	სასიამოვნო შაბათ-კვირას გისურვებთ!	հաճելի; ուրախ	Հաճելի հանգստյան օրեր։
与	თან; ერთად	ის ძალიან თავდაჯერებულია და სხვებთან კონკურენცია უყვარს.	հետ; և	Նա շատ ինքնավստահ է և սիրում է մրցել ուրիշների հետ։
羽毛球	ბადმინტონი	ხშირად თამაშობთ ბადმინტონს?	բադմինտոն	Դուք հաճախ բադմինտոն խաղո՞ւմ եք։
语法	გრამატიკა	რამდენიმე ძირითადი გრამატიკა ვისწავლე.	քերականություն	Ես որոշ հիմնական քերականություն եմ սովորել։
语言	ენა	ენის სწავლა მისი გრამატიკის გარკვეულ გაგებას მოითხოვს.	լեզու	Լեզու սովորելը պահանջում է նրա քերականության որոշակի ըմբռնում։
预习	წინასწარ მომზადება; გაკვეთილის წინასწარ წაკითხვა	გთხოვთ, ტექსტი ყურადღებით წინასწარ წაიკითხეთ.	նախապես պատրաստել դասը	Խնդրում եմ, տեքստը ուշադիր նախապես ուսումնասիրեք։
原来	თავდაპირველი; ისევ ძველებურად	მე კვლავ იმავე ადგილას ვცხოვრობ, როგორც ადრე.	նախկին; ինչպես առաջ	Ես դեռ ապրում եմ նույն տեղում, ինչ առաջ։
原谅	პატიება	გთხოვთ, მაპატიეთ ის, რაც ახლახან ვთქვი.	ներել	Խնդրում եմ, ներեք այն, ինչ հենց նոր ասացի։
原因	მიზეზი	მან მიზეზი ძალიან მკაფიოდ ახსნა.	պատճառ	Նա պատճառը շատ պարզ բացատրեց։
约会	პაემანი; შეხვედრა	მან სიაო ლისთან პაემნები დაიწყო.	ժամադրություն; հանդիպում	Նա սկսեց հանդիպել Սյաո Լիի հետ։
阅读	კითხვა	ამ რომანს ვკითხულობ.	ընթերցանություն; կարդալ	Ես այս վեպն եմ կարդում։
云	ღრუბელი	ცაში სულ უფრო მეტი ღრუბელია.	ամպ	Երկնքում ամպերը գնալով շատանում են։
允许	ნებართვა; დაშვება	გთხოვთ, ნება მომეცით თავი წარმოგიდგინოთ.	թույլ տալ; թույլատրել	Խնդրում եմ, թույլ տվեք ներկայանալ։
杂志	ჟურნალი	ამ ჟურნალის სტატიები კარგად არის დაწერილი.	ամսագիր	Այս ամսագրի հոդվածները լավ են գրված։
咱们	ჩვენ	ამ თვეში ჩვენი ცხოვრების ხარჯები რამდენია?	մենք; մեզ	Այս ամիս մեր կյանքի ծախսերը որքան են։
暂时	დროებით	მან მანქანა დროებით გზის პირას გააჩერა.	ժամանակավորապես; առայժմ	Նա մեքենան ժամանակավորապես կանգնեցրեց ճանապարհի եզրին։
脏	ბინძური	შემთხვევით ტანსაცმელი დავისვარე.	կեղտոտ	Ես պատահաբար հագուստս կեղտոտեցի։
责任	პასუხისმგებლობა; მოვალეობა	ამ საქმეზე ყველა ჩვენგანი პასუხისმგებელია.	պատասխանատվություն; պարտականություն	Մենք բոլորս պատասխանատու ենք այս հարցի համար։
增加	გაზრდა; მომატება	ამ წელს სტუდენტების რაოდენობა გაიზარდა.	ավելացնել; աճել	Այս տարի ուսանողների թիվը ավելացել է։
占线	დაკავებული ხაზი	რამდენჯერმე ზედიზედ დავურეკე, მაგრამ მისი ხაზი დაკავებული იყო.	զբաղված գիծ	Ես մի քանի անգամ անընդմեջ զանգեցի, և նրա հեռախոսը զբաղված էր։
招聘	დასაქმება; თანამშრომლების აყვანა	კომპანია ახალ თანამშრომლებს იღებს.	աշխատանքի ընդունել; հավաքագրում	Ընկերությունը նոր աշխատակիցներ է ընդունում։
照	მიხედვით; მიყოლა	ამ გეგმას მიჰყევით.	ըստ; հետևել	Հետևեք այս պլանին։
真正	ნამდვილი; რეალური	ნამდვილი მეგობარი სირთულეების დროს დაგეხმარებათ.	իսկական; իրական	Իսկական ընկերը դժվարության ժամանակ կօգնի ձեզ։
整理	დალაგება; მოწესრიგება	გთხოვთ, მაგიდაზე წიგნები დაალაგეთ.	կարգի բերել; դասավորել	Խնդրում եմ, սեղանի գրքերը կարգի բերեք։
正常	ნორმალური	შეკეთების შემდეგ ჩემი კომპიუტერი ისევ ნორმალურად მუშაობს.	նորմալ	Վերանորոգումից հետո համակարգիչս կրկին նորմալ է աշխատում։
正好	ზუსტად; სწორედ	თქვენი ნათქვამი იმის საპირისპიროა, რაც მე მესმის.	հենց; ճիշտ	Ձեր ասածը ճիշտ հակառակն է այն բանի, ինչ ես հասկանում եմ։
正确	სწორი	თქვენი შეფასება სრულიად სწორია.	ճիշտ	Ձեր դատողությունը ամբողջովին ճիշտ է։
正式	ოფიციალური; ფორმალური	ახლა თამაში ოფიციალურად იწყება.	պաշտոնական; ձևական	Հիմա խաղը պաշտոնապես սկսվում է։
证明	დამტკიცება; მტკიცებულება	ფაქტები ამტკიცებს, რომ ის მართალია.	ապացուցել; ապացույց	Փաստերը ապացուցում են, որ նա ճիշտ է։
之	ერთ-ერთი; -ის	ეს ჩინური კულტურის ერთ-ერთი ნაწილია.	մեկը; -ի	Սա չինական մշակույթի մի մասն է։
支持	მხარდაჭერა	ჩვენ ორმა ერთმანეთს უნდა დავუჭიროთ მხარი.	աջակցել	Մենք երկուսս պետք է աջակցենք իրար։
知识	ცოდნა	კითხვისას ბევრი ცოდნა მივიღე.	գիտելիք	Ընթերցանության ընթացքում շատ գիտելիք եմ ձեռք բերել։
值得	ღირს; დამსახურება	ეს რომანი წაკითხვად ღირს.	արժե; արժանի լինել	Այս վեպը արժե կարդալ։
植物	მცენარე	ამ სახის მცენარეს ბევრი მზის სინათლე სჭირდება.	բույս	Այս տեսակի բույսը շատ արևի լույսի կարիք ունի։
直接	პირდაპირი; პირდაპირ	სამსახურის შემდეგ ის პირდაპირ სახლში წავიდა.	ուղիղ; անմիջապես	Աշխատանքից հետո նա ուղիղ տուն գնաց։
职业	პროფესია; საქმიანობა	რა არის თქვენი იდეალური პროფესია?	մասնագիտություն; զբաղմունք	Ո՞րն է ձեր իդեալական մասնագիտությունը։
只好	სხვა გზა არ ჰქონდეს; იძულებული იყოს	წვიმა იმდენად ძლიერი იყო, რომ სახლში დარჩენა მოგვიწია.	ստիպված լինել; այլ ելք չունենալ	Անձրևը այնքան ուժեղ էր, որ ստիպված եղանք տանը մնալ։
只要	საკმარისია რომ; თუ მხოლოდ	თუ ბევრს იმუშავებთ, ამას კარგად შეძლებთ.	քանի դեռ; միայն թե	Քանի դեռ շատ աշխատեք, կկարողանաք սա լավ անել։
指	მითითება; ჩვენება	მადლობა, რომ ჩემი შეცდომა მიმითითეთ.	մատնացույց անել; ցույց տալ	Շնորհակալություն, որ մատնացույց արեցիք իմ սխալը։
至少	სულ მცირე; მინიმუმ	ეს შენობა სულ მცირე ასი მეტრის სიმაღლისაა.	առնվազն	Այս շենքը առնվազն հարյուր մետր բարձրություն ունի։
质量	ხარისხი	ამ ფეხსაცმლის ხარისხი ძალიან კარგია.	որակ	Այս կոշիկների որակը շատ լավ է։
重	მძიმე	ეს ყუთი ძალიან მძიმეა.	ծանր	Այս տուփը շատ ծանր է։
重点	მთავარი აზრი; აქცენტი	ის, რაც მან ახლახან თქვა, პრობლემის მთავარი საკითხია.	գլխավոր կետ; շեշտադրում	Այն, ինչ նա հենց նոր ասաց, խնդրի գլխավոր կետն է։
重视	მნიშვნელობის მინიჭება	მშობლები ბავშვების განათლებას დიდ მნიშვნელობას ანიჭებენ.	կարևորել	Ծնողները մեծ կարևորություն են տալիս երեխաների կրթությանը։
周围	გარშემო; გარემო	სკოლის გარშემო ბევრი მაღაზიაა.	շուրջը; շրջակայք	Դպրոցի շուրջ շատ խանութներ կան։
主意	იდეა; გეგმა	კარგი იდეები გაქვთ? მოვისმინოთ.	միտք; գաղափար	Լավ գաղափարներ ունե՞ք, եկեք լսենք։
祝贺	მილოცვა	გილოცავთ კარგ შედეგებს.	շնորհավորել; շնորհավորանք	Շնորհավորում եմ ձեր լավ արդյունքների համար։
著名	ცნობილი	ის ცნობილი მსახიობია.	հայտնի	Նա հայտնի դերասան է։
专门	სპეციალურად	სპეციალურად თქვენ სანახავად მოვედი.	հատուկ; մասնավորապես	Ես հատուկ եկել եմ ձեզ տեսնելու։
专业	სპეციალობა; სასწავლო სფერო	უნივერსიტეტში სამართალს ვსწავლობ.	մասնագիտություն; ուսումնական ոլորտ	Համալսարանում իրավունք եմ սովորում։
转	მობრუნება; შეხვევა	წინ პირველ გზაჯვარედინზე მარცხნივ შეუხვიეთ და საავადმყოფოს დაინახავთ.	շրջվել; թեքվել	Առաջին խաչմերուկում ձախ թեքվեք և կտեսնեք հիվանդանոցը։
赚	შოვნა; მოგების მიღება	მან ბიზნესით ბევრი ფული იშოვა.	վաստակել; շահույթ ստանալ	Նա բիզնեսով շատ գումար վաստակեց։
准确	ზუსტი	თქვენი პასუხი ძალიან ზუსტია.	ճշգրիտ; հստակ	Ձեր պատասխանը շատ ճշգրիտ է։
准时	დროულად; პუნქტუალური	შეხვედრა დროულად დაიწყო.	ժամանակին; ճշտապահ	Հանդիպումը ժամանակին սկսվեց։
仔细	ყურადღებიანი; ფრთხილი	ის საქმეებს ძალიან ყურადღებით აკეთებს.	ուշադիր; մանրակրկիտ	Նա գործերը շատ ուշադիր է անում։
自然	ბუნება; ბუნებრივი	ჩვენ ბუნებრივი გარემო უნდა დავიცვათ.	բնություն; բնական	Մենք պետք է պաշտպանենք բնական միջավայրը։
自信	თავდაჯერება	ის ძალიან თავდაჯერებულია და სხვებთან კონკურენცია უყვარს.	ինքնավստահություն	Նա շատ ինքնավստահ է և սիրում է մրցել ուրիշների հետ։
总结	შეჯამება; დასკვნა	გთხოვთ, თქვენი წარმატებული გამოცდილება შეგვიჯამეთ.	ամփոփել; ամփոփում	Խնդրում եմ, ամփոփեք ձեր հաջող փորձը մեզ համար։
租	ქირაობა	კომპანიის ახლოს სახლი ვიქირავე.	վարձել	Ես ընկերության մոտ տուն եմ վարձել։
最好	საუკეთესო	ის ჩემი საუკეთესო მეგობარია.	լավագույն	Նա իմ լավագույն ընկերն է։
尊重	პატივისცემა	პატიოსანი ადამიანები ჩვენს პატივისცემას იმსახურებენ.	հարգել; հարգանք	Ազնիվ մարդիկ արժանի են մեր հարգանքին։
左右	დაახლოებით	ის დაახლოებით ორმოცი წლის ჩანს.	մոտավորապես; շուրջ	Նա մոտ քառասուն տարեկան է թվում։
作家	მწერალი; ავტორი	ამ მწერლის რომანი წაგიკითხავთ?	գրող; հեղինակ	Այս գրողի վեպը կարդացե՞լ եք։
作用	ეფექტი; ფუნქცია	ეს გაციების წამალი ჩემზე არ მოქმედებს.	ազդեցություն; գործառույթ	Այս մրսածության դեղը ինձ վրա չի ազդում։
作者	ავტორი	ამ წიგნის ავტორი ძალიან ცნობილია.	հեղինակ	Այս գրքի հեղինակը շատ հայտնի է։
座	სათვლელი სიტყვა შენობებისა და ხიდებისთვის	მდინარეზე პატარა ხიდია.	հաշվիչ բառ շենքերի և կամուրջների համար	Գետի վրա փոքր կամուրջ կա։
座位	ადგილი; სავარძელი	მან თავისი ადგილი მოხუც კაცს დაუთმო.	նստատեղ; տեղ	Նա իր տեղը զիջեց մի ծեր մարդու։
