simplified	JA	example_JA	KO	example_KO	VI	example_VI
无论	〜にかかわらず	私がどのように説明しても、彼は理解しません。	어떻게 해도; 무론	제가 어떻게 설명해도 그는 이해하지 못해요.	bất luận; dù	Dù tôi giải thích thế nào, anh ấy cũng không hiểu.
误会	誤解する; 誤解	すみません、あなたを誤解しました。	오해하다; 오해	죄송해요, 제가 당신을 오해했어요.	hiểu lầm	Xin lỗi, tôi đã hiểu lầm bạn.
吸引	引きつける	この映画はとても人を引きつけます。	끌어당기다; 끌다	이 영화는 사람을 아주 끌어당겨요.	thu hút	Bộ phim này rất thu hút người xem.
西红柿	トマト	トマトをいくつか買いました。	토마토	저는 토마토를 좀 샀어요.	cà chua	Tôi đã mua một ít cà chua.
咸	しょっぱい	塩を入れすぎて、料理が少ししょっぱいです。	짜다	소금을 너무 많이 넣어서 음식이 조금 짜요.	mặn	Cho nhiều muối rồi, món ăn hơi mặn.
现金	現金	現金はあまり持っていませんが、その店はカードが使えます。	현금	저는 현금을 많이 가지고 있지 않지만, 그 가게는 카드 결제가 가능해요.	tiền mặt	Tôi mang không nhiều tiền mặt, nhưng cửa hàng có thể thanh toán bằng thẻ.
羡慕	うらやましい; うらやむ	彼がよい仕事を持っているのがとてもうらやましいです。	부러워하다	저는 그가 좋은 직업을 가진 것이 매우 부러워요.	ngưỡng mộ; ghen tị	Tôi rất ngưỡng mộ anh ấy vì có một công việc tốt.
相反	反対の; 逆	あなたの言ったことは、私の理解とちょうど反対です。	반대; 상반되다	당신이 말한 것은 제가 이해한 것과 정반대예요.	ngược lại	Điều bạn nói đúng là ngược lại với điều tôi hiểu.
相同	同じ	あなたの自転車は私のものとまったく同じです。	같다; 동일하다	당신의 자전거는 제 것과 완전히 같아요.	giống nhau	Xe đạp của bạn hoàn toàn giống xe của tôi.
香	よい香りがする; おいしそうな	あなたの作った料理は本当にいい香りです。	향기롭다; 맛있어 보이다	당신이 만든 음식은 정말 향기로워요!	thơm	Món bạn nấu thơm quá!
详细	詳しい	彼女が作った計画はとても詳しいです。	상세하다	그녀가 만든 계획은 아주 상세해요.	chi tiết	Kế hoạch cô ấy làm rất chi tiết.
响	鳴る; 音がする	聞いて、電話が鳴ったのではありませんか。	울리다; 소리가 나다	들어 봐요, 전화가 울린 것 아닌가요?	kêu; vang	Bạn nghe xem, có phải điện thoại reo không?
橡皮	消しゴム	消しゴムを少し貸してくれませんか。	지우개	지우개를 잠깐 빌려줄 수 있나요?	cục tẩy	Bạn có thể cho tôi mượn cục tẩy một chút không?
消息	知らせ; ニュース	この知らせは本当に人の心を動かします。	소식; 뉴스	이 소식은 정말 사람의 마음을 감동시켜요.	tin tức	Tin này thật sự làm người ta xúc động.
小吃	軽食; スナック	北京に来たら、必ず北京の軽食を味わってください。	간식; 먹거리	베이징에 오면 반드시 베이징 간식을 맛보세요.	đồ ăn vặt; món ăn nhẹ	Đến Bắc Kinh nhất định phải nếm thử món ăn vặt Bắc Kinh.
小伙子	若者; 青年	あの若者はとても親切で熱心です。	젊은이; 청년	저 젊은이는 아주 친절하고 열정적이에요.	chàng trai	Chàng trai kia rất nhiệt tình.
小说	小説	私はこの小説を読んでいます。	소설	저는 이 소설을 읽고 있어요.	tiểu thuyết	Tôi đang đọc quyển tiểu thuyết này.
效果	効果	この風邪薬はとてもよく効きます。	효과	이 감기약은 효과가 아주 좋아요.	hiệu quả	Loại thuốc cảm này có hiệu quả rất tốt.
笑话	冗談; 笑いものにする	他人を笑いものにしないでください。	농담; 비웃다	다른 사람을 비웃지 마세요.	chuyện cười; cười nhạo	Xin đừng cười nhạo người khác.
心情	気分; 気持ち	彼の気分はよくなりました。	기분; 마음	그의 기분이 좋아졌어요.	tâm trạng	Tâm trạng của anh ấy đã tốt lên.
辛苦	大変な; つらい	父の仕事はとても大変です。	고생스럽다; 힘들다	아빠의 일은 아주 힘들어요.	vất vả	Công việc của bố rất vất vả.
信封	封筒	彼は書き終えた手紙を封筒に入れました。	봉투	그는 다 쓴 편지를 봉투 안에 넣었어요.	phong bì	Anh ấy đặt bức thư đã viết xong vào phong bì.
信息	情報; メッセージ	あなたの連絡先情報を送ってください。	정보; 메시지	당신의 연락처 정보를 저에게 보내 주세요.	thông tin	Xin hãy gửi thông tin liên hệ của bạn cho tôi.
信心	自信; 信頼	私たちはあなたに自信を持っています。あなたなら必ずできます。	자신감; 신뢰	우리는 당신을 매우 믿어요. 당신은 반드시 할 수 있어요.	lòng tin; tự tin	Chúng tôi rất tin tưởng bạn, bạn nhất định làm được.
兴奋	興奮する; わくわくする	子どもたちは春の遠足に行くと聞いて、みんな興奮して跳び上がりました。	흥분하다; 신나다	아이들은 봄 소풍을 간다는 말을 듣고 모두 신나서 뛰어올랐어요.	hào hứng; phấn khích	Bọn trẻ nghe nói sẽ đi dã ngoại mùa xuân, đều nhảy lên vì phấn khích.
行	大丈夫; いける	こうで大丈夫ですか。	괜찮다; 되다	이렇게 해도 괜찮아요?	được; ổn	Như vậy được không?
醒	目が覚める	私は朝六時に目が覚めました。	깨다; 잠에서 깨다	저는 아침 여섯 시에 깼어요.	tỉnh; thức dậy	Tôi tỉnh dậy lúc sáu giờ sáng.
幸福	幸せ; 幸福	お金で幸せは買えません。	행복; 행복하다	돈으로는 행복을 살 수 없어요.	hạnh phúc	Tiền không mua được hạnh phúc.
性别	性別	フォームの二行目に性別を記入してください。	성별	양식의 두 번째 줄에 성별을 적어 주세요.	giới tính	Xin hãy điền giới tính vào dòng thứ hai của biểu mẫu.
性格	性格	私の妻は性格がとてもよく、決して怒りません。	성격	제 아내는 성격이 아주 좋아서 절대 화를 내지 않아요.	tính cách	Vợ tôi có tính cách rất tốt, chưa bao giờ nổi nóng.
修理	修理する	修理した後、私のコンピューターはまた正常に動くようになりました。	수리하다	수리한 뒤 제 컴퓨터는 다시 정상적으로 작동할 수 있게 되었어요.	sửa chữa	Sau khi sửa chữa, máy tính của tôi lại có thể hoạt động bình thường.
许多	たくさんの; 多くの	通りにはたくさんのごみ箱があります。	많은; 허다한	거리에는 쓰레기통이 많이 있어요.	nhiều	Trên phố có rất nhiều thùng rác.
学期	学期	今学期、私は芸術、歴史、経済を含む多くの授業を選びました。	학기	이번 학기에 저는 예술, 역사, 경제를 포함해 많은 과목을 선택했어요.	học kỳ	Học kỳ này tôi chọn rất nhiều môn, bao gồm nghệ thuật, lịch sử và kinh tế.
呀	あっ; 〜よ	あっ、雪が降っています。	야; 아	아, 눈이 와요!	ôi; à	Ôi, tuyết rơi rồi!
压力	プレッシャー; 圧力	彼は最近、仕事のプレッシャーがとても大きいです。	압력; 스트레스	그는 최근 업무 스트레스가 아주 커요.	áp lực	Gần đây anh ấy chịu áp lực công việc rất lớn.
牙膏	歯磨き粉	歯磨き粉を使い切りました。明日買いに行きましょう。	치약	치약을 다 썼으니 내일 사러 가요.	kem đánh răng	Kem đánh răng dùng hết rồi, ngày mai đi mua nhé.
亚洲	アジア	中国はアジアの国です。	아시아	중국은 아시아 국가예요.	châu Á	Trung Quốc là quốc gia châu Á.
严格	厳しい	先生は私たちへの要求がとても厳しいです。	엄격하다	선생님은 우리에 대한 요구가 아주 엄격해요.	nghiêm khắc	Thầy cô yêu cầu chúng tôi rất nghiêm khắc.
严重	深刻な; 重い	彼の病気は深刻です。	심각하다	그의 병은 아주 심각해요.	nghiêm trọng	Bệnh của anh ấy rất nghiêm trọng.
盐	塩	塩を入れすぎて、料理が少ししょっぱいです。	소금	소금을 너무 많이 넣어서 음식이 조금 짜요.	muối	Cho nhiều muối rồi, món ăn hơi mặn.
研究	研究する; 研究	彼はこの問題を研究しています。	연구하다; 연구	그는 이 문제를 연구하고 있어요.	nghiên cứu	Anh ấy đang nghiên cứu vấn đề này.
演出	公演; 出演する	初めての公演で、彼はとても緊張しました。	공연; 출연하다	첫 공연이라 그는 아주 긴장했어요.	biểu diễn	Lần đầu biểu diễn, anh ấy rất hồi hộp.
演员	俳優; 役者	彼は有名な俳優です。	배우	그는 유명한 배우예요.	diễn viên	Anh ấy là một diễn viên nổi tiếng.
眼镜	眼鏡	彼はこの黒い眼鏡をかけています。	안경	그는 이 검은 안경을 쓰고 있어요.	kính mắt	Anh ấy đeo cặp kính màu đen này.
阳光	日光; 太陽の光	日光が窓から部屋に入ってきました。	햇빛; 햇살	햇빛이 창문으로 방 안에 들어왔어요.	ánh nắng	Ánh nắng từ cửa sổ chiếu vào phòng.
养成	身につける; 養成する	私は小さい頃からこの習慣を身につけました。	기르다; 형성하다	저는 어릴 때부터 이 습관을 길렀어요.	hình thành; rèn luyện	Tôi đã hình thành thói quen này từ nhỏ.
样子	様子; 形	この服のデザインはなかなかいいです。	모양; 모습	이 옷의 모양은 꽤 괜찮아요.	dáng vẻ; kiểu dáng	Kiểu dáng của bộ quần áo này rất khá.
邀请	招待する; 招待	彼はみんなの招待を断りました。	초대하다; 초대	그는 모두의 초대를 거절했어요.	mời; lời mời	Anh ấy đã từ chối lời mời của mọi người.
要是	もし	もしあなたが先に来たら、少し私を待ってください。	만약; 만일	만약 당신이 먼저 오면 저를 잠깐 기다려 주세요.	nếu	Nếu bạn đến trước, hãy đợi tôi một chút.
钥匙	鍵	今日は鍵を持ってくるのを忘れました。	열쇠	저는 오늘 열쇠 가져오는 것을 잊었어요.	chìa khóa	Hôm nay tôi quên mang chìa khóa.
也许	たぶん; もしかすると	彼はたぶん来ないでしょう。	아마; 어쩌면	그는 아마 오지 않을 거예요.	có lẽ	Có lẽ anh ấy sẽ không đến.
叶子	葉	春が来て、小さな木に新しい葉が出ました。	잎; 나뭇잎	봄이 와서 작은 나무에 새 잎이 돋았어요.	lá cây	Mùa xuân đến, cây nhỏ mọc ra lá mới.
页	ページ	十ページを開いてください。	쪽; 페이지	10쪽을 펴 주세요.	trang	Xin hãy lật đến trang mười.
一切	すべて	家のすべてのことは母が担当しています。	모든 것; 일체	집안의 모든 일은 엄마가 책임져요.	mọi thứ; tất cả	Mọi việc trong nhà đều do mẹ phụ trách.
以	〜を〜として; 〜に基づいて	この文を例にしてください。	으로; 에 따라	이 문장을 예로 들어 주세요.	lấy làm; theo	Xin hãy lấy câu này làm ví dụ.
以为	〜と思う	あなたはもう行ったと思っていました。	라고 생각하다	저는 당신이 이미 간 줄 알았어요.	tưởng; cho rằng	Tôi tưởng bạn đã đi rồi.
意见	意見; 提案	あなたの意見はすべて受け入れます。	의견	당신의 의견을 저는 모두 받아들일게요.	ý kiến	Tôi chấp nhận tất cả ý kiến của bạn.
艺术	芸術	私は芸術にとても興味があります。	예술	저는 예술에 매우 관심이 있어요.	nghệ thuật	Tôi rất có hứng thú với nghệ thuật.
因此	そのため; したがって	彼は病気だったので、授業に来ませんでした。	따라서; 그래서	그는 아파서 그래서 수업에 오지 않았어요.	vì vậy; do đó	Anh ấy bị bệnh, vì vậy không đến lớp.
引起	引き起こす	この件はみんなの不満を引き起こしました。	일으키다; 야기하다	이 일은 모두의 불만을 일으켰어요.	gây ra	Việc này đã gây ra sự bất mãn của mọi người.
印象	印象	彼は私にとてもよい印象を残しました。	인상	그는 저에게 아주 좋은 인상을 남겼어요.	ấn tượng	Anh ấy để lại cho tôi ấn tượng rất tốt.
赢	勝つ	昨日のサッカーの試合は誰が勝ちましたか。	이기다	어제 축구 경기에서 누가 이겼어요?	thắng	Trận bóng đá hôm qua ai thắng?
应聘	応募する	彼女はこの仕事に応募したいです。	지원하다; 응모하다	그녀는 이 일자리에 지원하고 싶어 해요.	ứng tuyển	Cô ấy muốn ứng tuyển công việc này.
勇敢	勇敢な	兄はとても勇敢な人です。	용감하다	형은 아주 용감한 사람이에요.	dũng cảm	Anh trai là một người rất dũng cảm.
永远	永遠に	あなたが私を助けてくれたことを永遠に忘れません。	영원히	저는 당신이 저를 도와준 것을 영원히 잊지 않을 거예요.	mãi mãi	Tôi sẽ mãi mãi không quên sự giúp đỡ của bạn dành cho tôi.
优点	長所; 利点	人は自分の欠点を他人の長所と比べてはいけません。	장점	사람은 자신의 단점을 다른 사람의 장점과 비교해서는 안 돼요.	ưu điểm	Người ta không thể lấy khuyết điểm của mình so với ưu điểm của người khác.
优秀	優秀な	彼はとても優秀な医者です。	우수하다; 뛰어나다	그는 매우 우수한 의사예요.	ưu tú; xuất sắc	Anh ấy là một bác sĩ rất xuất sắc.
幽默	ユーモアがある	李教授の話し方はとてもユーモアがあります。	유머; 유머러스하다	리 교수님은 말씀이 아주 유머러스해요.	hài hước	Giáo sư Lý nói chuyện rất hài hước.
尤其	特に	彼は絵を描くのが好きで、特に中国画を描くのが好きです。	특히	그는 그림 그리기를 좋아하고, 특히 중국화를 그리는 것을 좋아해요.	đặc biệt là	Anh ấy thích vẽ tranh, đặc biệt là vẽ tranh Trung Quốc.
由	〜によって; 〜から	このイベントは私たちが主催します。	에 의해; 로부터	이 행사는 우리가 주최해요.	do; bởi	Hoạt động này do chúng tôi tổ chức.
由于	〜のため; 〜によって	雨のため、試合は延期されました。	때문에; 로 인해	비 때문에 경기가 연기됐어요.	do; vì	Do trời mưa, trận đấu bị hoãn.
邮局	郵便局	郵便局は朝九時に開きます。	우체국	우체국은 아침 9시에 문을 열어요.	bưu điện	Bưu điện mở cửa lúc chín giờ sáng.
友好	友好的な	私の大家さんは友好的で、よく助けてくれます。	우호적이다; 친절하다	제 집주인은 친절해서 자주 저를 도와줘요.	thân thiện	Chủ nhà của tôi rất thân thiện, thường giúp tôi.
友谊	友情	私たちの間には深い友情があります。	우정	우리 사이에는 깊은 우정이 있어요.	tình bạn	Giữa chúng tôi có tình bạn rất sâu sắc.
有趣	面白い	これは本当に面白い夢です。	재미있다	이건 정말 재미있는 꿈이에요!	thú vị	Đây thật sự là một giấc mơ thú vị!
于是	そこで; そのため	彼に聞きたいことがあったので、電話をかけました。	그래서; 이에	그에게 물어볼 일이 있어서 그래서 전화를 걸었어요.	thế là; vì vậy	Tôi có việc muốn hỏi anh ấy, thế là gọi điện cho anh ấy.
愉快	楽しい; 愉快な	楽しい週末をお過ごしください。	즐겁다; 유쾌하다	즐거운 주말 보내세요!	vui vẻ	Chúc bạn cuối tuần vui vẻ!
与	〜と; 〜および	彼は自信があり、人と競争するのが好きです。	와; 과	그는 자신감이 있고 다른 사람과 경쟁하는 것을 좋아해요.	với; và	Anh ấy rất tự tin và thích cạnh tranh với người khác.
羽毛球	バドミントン	あなたはよくバドミントンをしますか。	배드민턴	당신은 배드민턴을 자주 치나요?	cầu lông	Bạn có thường chơi cầu lông không?
语法	文法	私は基礎的な文法知識を少し学びました。	문법	저는 기초 문법 지식을 좀 배웠어요.	ngữ pháp	Tôi đã học một ít kiến thức ngữ pháp cơ bản.
语言	言語	一つの言語を学ぶには、その文法を少し理解する必要があります。	언어	한 언어를 배우려면 그 문법을 어느 정도 이해해야 해요.	ngôn ngữ	Học một ngôn ngữ cần có một chút hiểu biết về ngữ pháp của nó.
预习	予習する	みなさん、本文をしっかり予習してください。	예습하다	여러분, 본문을 잘 예습해 주세요.	chuẩn bị bài	Xin mọi người chuẩn bị bài khóa thật tốt.
原来	もとの; 以前の	私はまだ以前と同じ場所に住んでいます。	원래의; 예전의	저는 아직 예전과 같은 곳에 살아요.	ban đầu; trước đây	Tôi vẫn sống ở cùng chỗ như trước đây.
原谅	許す	さっき言ったことを許してください。	용서하다	제가 방금 한 말을 용서해 주세요.	tha thứ	Xin hãy tha thứ cho những lời tôi vừa nói.
原因	原因; 理由	彼は原因をとてもはっきり説明しました。	원인; 이유	그는 원인을 아주 분명하게 설명했어요.	nguyên nhân	Anh ấy giải thích nguyên nhân rất rõ ràng.
约会	デート; 約束	彼女は小李とデートし始めました。	데이트; 약속	그녀는 샤오리와 데이트하기 시작했어요.	cuộc hẹn; hẹn hò	Cô ấy bắt đầu hẹn hò với Tiểu Lý.
阅读	読む; 読書	私はこの小説を読んでいます。	읽기; 읽다	저는 이 소설을 읽고 있어요.	đọc; việc đọc	Tôi đang đọc quyển tiểu thuyết này.
云	雲	空の雲はますます多くなっています。	구름	하늘의 구름이 점점 많아지고 있어요.	mây	Mây trên trời ngày càng nhiều.
允许	許可する; 許す	自己紹介をさせてください。	허락하다; 허용하다	제가 자기소개를 하도록 허락해 주세요.	cho phép	Xin cho phép tôi tự giới thiệu.
杂志	雑誌	この雑誌の記事はどれもよく書けています。	잡지	이 잡지에 실린 글들은 모두 아주 잘 쓰였어요.	tạp chí	Các bài viết trên tạp chí này đều được viết rất hay.
咱们	私たち; こちら側の私たち	今月の私たちの生活費はいくらですか。	우리	우리 이번 달 생활비가 얼마예요?	chúng ta	Chi phí sinh hoạt tháng này của chúng ta là bao nhiêu?
暂时	一時的に; しばらく	彼は車を一時的に道端に停めました。	잠시; 일시적으로	그는 차를 잠시 길가에 세웠어요.	tạm thời	Anh ấy tạm thời đỗ xe bên đường.
脏	汚い	私はうっかり服を汚してしまいました。	더럽다	저는 실수로 옷을 더럽혔어요.	bẩn	Tôi không cẩn thận làm bẩn quần áo.
责任	責任	この件については、私たちみんなに責任があります。	책임	이 일에 대해 우리 모두에게 책임이 있어요.	trách nhiệm	Việc này, tất cả chúng ta đều có trách nhiệm.
增加	増える; 増加する	今年、学生の数が増えました。	증가하다; 늘다	올해 학생 수가 늘었어요.	tăng; tăng thêm	Năm nay số lượng học sinh đã tăng.
占线	話し中	何度も続けて電話しましたが、彼の電話はいつも話し中でした。	통화 중이다	제가 몇 번이나 연달아 전화했지만 그의 전화는 계속 통화 중이었어요.	máy bận	Tôi gọi liền mấy lần, điện thoại của anh ấy đều bận.
招聘	採用する; 募集する	会社は新しい社員を募集しています。	채용하다; 모집하다	회사가 새 직원을 채용하고 있어요.	tuyển dụng	Công ty đang tuyển nhân viên mới.
照	〜に従って; その通りにする	この計画に従ってやりましょう。	에 따라; 따르다	이 계획에 따라 하세요.	theo; làm theo	Hãy làm theo kế hoạch này.
真正	本当の; 真の	本当の友達は、あなたが困難に出会った時に助けてくれます。	진정한; 참된	진정한 친구는 당신이 어려움을 만났을 때 도와줘요.	thật sự; chân chính	Người bạn thật sự sẽ giúp bạn khi bạn gặp khó khăn.
整理	整理する; 片付ける	机の上の本を整理してください。	정리하다	책상 위의 책을 정리해 주세요.	sắp xếp; dọn dẹp	Xin hãy sắp xếp sách trên bàn một chút.
正常	正常な; 普通の	修理した後、私のコンピューターはまた正常に動くようになりました。	정상적이다	수리한 뒤 제 컴퓨터는 다시 정상적으로 작동할 수 있게 되었어요.	bình thường	Sau khi sửa chữa, máy tính của tôi lại có thể hoạt động bình thường.
正好	ちょうど; ちょうどよく	あなたの言ったことは、私の理解とちょうど反対です。	마침; 딱	당신이 말한 것은 제가 이해한 것과 딱 반대예요.	vừa đúng; đúng lúc	Điều bạn nói đúng là ngược lại với điều tôi hiểu.
正确	正しい	あなたの判断は完全に正しいです。	정확하다; 옳다	당신의 판단은 완전히 정확해요.	chính xác; đúng	Phán đoán của bạn hoàn toàn chính xác.
正式	正式な	今、試合が正式に始まります。	정식의; 공식적인	이제 경기가 공식적으로 시작됩니다.	chính thức	Bây giờ trận đấu chính thức bắt đầu.
证明	証明する; 証明	事実は彼が正しいことを証明しています。	증명하다; 증명	사실은 그가 옳다는 것을 증명해요.	chứng minh	Sự thật chứng minh anh ấy đúng.
之	〜の; その一つ	これは中国文化の一つです。	의; 그중 하나	이것은 중국 문화 중 하나예요.	chi; của	Đây là một trong những phần của văn hóa Trung Quốc.
支持	支持する	私たち二人は互いに支え合わなければなりません。	지지하다; 지원하다	우리 둘은 서로 지지해야 해요.	ủng hộ; hỗ trợ	Hai chúng ta phải ủng hộ lẫn nhau.
知识	知識	私は読書の中で多くの知識を得ました。	지식	저는 독서를 통해 많은 지식을 얻었어요.	kiến thức	Tôi đã thu được rất nhiều kiến thức trong khi đọc.
值得	価値がある; 値する	この小説は読んでみる価値があります。	가치가 있다; 만하다	이 소설은 읽어 볼 만해요.	đáng	Quyển tiểu thuyết này đáng đọc thử.
植物	植物	この種類の植物はたくさんの日光を必要とします。	식물	이런 식물은 많은 햇빛이 필요해요.	thực vật; cây	Loài thực vật này cần rất nhiều ánh nắng.
直接	直接	仕事の後、彼は直接家に帰りました。	직접	퇴근 후 그는 바로 집에 갔어요.	trực tiếp	Sau khi tan làm, anh ấy về thẳng nhà.
职业	職業	あなたの理想の職業は何ですか。	직업	당신이 생각하는 이상적인 직업은 무엇인가요?	nghề nghiệp	Nghề nghiệp lý tưởng của bạn là gì?
只好	仕方なく〜する	雨があまりに強かったので、私たちは家にいるしかありませんでした。	할 수 없이; 수밖에 없다	비가 너무 많이 와서 우리는 집에 있을 수밖에 없었어요.	đành phải	Mưa quá to, chúng tôi đành phải ở nhà.
只要	〜さえすれば	努力さえすれば、あなたは必ずこのことをうまくやれます。	하기만 하면	노력하기만 하면 당신은 반드시 이 일을 잘할 수 있어요.	chỉ cần	Chỉ cần cố gắng, bạn nhất định có thể làm tốt việc này.
指	指す; 指摘する	私の間違いを指摘してくれてありがとうございます。	가리키다; 지적하다	제 잘못을 지적해 줘서 고마워요.	chỉ; chỉ ra	Cảm ơn bạn đã chỉ ra lỗi của tôi.
至少	少なくとも	この建物は少なくとも百メートルの高さがあります。	적어도	이 건물은 적어도 100미터 높이예요.	ít nhất	Tòa nhà này cao ít nhất một trăm mét.
质量	品質	この靴は品質がとてもいいです。	품질	이 신발은 품질이 아주 좋아요.	chất lượng	Đôi giày này có chất lượng rất tốt.
重	重い	この箱はとても重いです。	무겁다	이 상자는 아주 무거워요.	nặng	Chiếc hộp này rất nặng.
重点	重点; 要点	彼がさっき言ったことこそ問題の重点です。	중점; 핵심	그가 방금 말한 것이야말로 문제의 핵심이에요.	trọng điểm; điểm chính	Điều anh ấy vừa nói mới là trọng điểm của vấn đề.
重视	重視する	親は子どもの教育をとても重視しています。	중시하다	부모는 아이의 교육을 매우 중시해요.	coi trọng	Bố mẹ rất coi trọng giáo dục của con cái.
周围	周り; 周辺	学校の周りにはたくさんの店があります。	주위; 주변	학교 주변에는 가게가 많이 있어요.	xung quanh	Xung quanh trường có rất nhiều cửa hàng.
主意	考え; アイデア	何かよい考えがあれば、言って聞かせてください。	아이디어; 생각	좋은 생각이 있으면 말해 봐요.	ý kiến; ý tưởng	Bạn có ý kiến hay gì thì nói ra nghe thử.
祝贺	祝う; お祝い	よい成績を取ったことをお祝いします。	축하하다	좋은 성적을 얻은 것을 축하해요.	chúc mừng	Chúc mừng các bạn đã đạt thành tích tốt.
著名	有名な	彼は有名な俳優です。	유명하다	그는 유명한 배우예요.	nổi tiếng	Anh ấy là một diễn viên nổi tiếng.
专门	わざわざ; 専門の	私はあなたに会うためにわざわざ来ました。	일부러; 전문적으로	저는 일부러 당신을 보러 왔어요.	chuyên; riêng	Tôi đến riêng để thăm bạn.
专业	専攻; 専門	私は大学で法律を専攻しています。	전공; 전문	저는 대학에서 법학을 전공하고 있어요.	chuyên ngành	Tôi học chuyên ngành luật ở đại học.
转	曲がる; 向きを変える	前の最初の交差点を左に曲がると、病院が見えます。	돌다; 전환하다	앞의 첫 번째 길목에서 왼쪽으로 돌면 병원을 볼 수 있어요.	rẽ; chuyển	Rẽ trái ở giao lộ đầu tiên phía trước, bạn sẽ thấy bệnh viện.
赚	稼ぐ; 利益を得る	彼は商売でかなりのお金を稼ぎました。	벌다	그는 장사를 해서 적지 않은 돈을 벌었어요.	kiếm; kiếm tiền	Anh ấy làm kinh doanh kiếm được không ít tiền.
准确	正確な	あなたの答えはとても正確です。	정확하다	당신의 답은 아주 정확해요.	chính xác	Đáp án của bạn rất chính xác.
准时	時間どおり	会議は時間どおりに始まりました。	제시간에; 정시에	회의가 정시에 시작됐어요.	đúng giờ	Cuộc họp bắt đầu đúng giờ.
仔细	注意深い; 丁寧な	彼女は物事をとても丁寧にします。	꼼꼼하다; 자세히	그녀는 일을 매우 꼼꼼하게 해요.	cẩn thận	Cô ấy làm việc rất cẩn thận.
自然	自然; 自然な	私たちは自然環境を守る必要があります。	자연; 자연스럽다	우리는 자연환경을 보호해야 해요.	tự nhiên	Chúng ta cần bảo vệ môi trường tự nhiên.
自信	自信	彼は自信があり、人と競争するのが好きです。	자신감	그는 자신감이 있고 다른 사람과 경쟁하는 것을 좋아해요.	tự tin	Anh ấy rất tự tin và thích cạnh tranh với người khác.
总结	まとめる; 総括する	あなたの成功経験を私たちにまとめてください。	총결하다; 요약하다	당신의 성공 경험을 우리에게 정리해 주세요.	tổng kết	Xin hãy tổng kết kinh nghiệm thành công của ngài cho chúng tôi.
租	借りる; 賃貸する	会社の近くで部屋を借りました。	빌리다; 임대하다	저는 회사 근처에 집을 빌렸어요.	thuê	Tôi thuê nhà gần công ty.
最好	一番よい; できれば	彼女は私の一番よい友達です。	가장 좋다; 하는 것이 좋다	그녀는 제 가장 좋은 친구예요.	tốt nhất	Cô ấy là người bạn tốt nhất của tôi.
尊重	尊重する	正直な人は私たちの尊重に値します。	존중하다	정직한 사람은 우리가 존중할 만해요.	tôn trọng	Người thành thật đáng được chúng ta tôn trọng.
左右	くらい; 左右	彼は四十歳くらいに見えます。	쯤; 좌우	그는 마흔 살쯤으로 보여요.	khoảng; trái phải	Anh ấy trông khoảng bốn mươi tuổi.
作家	作家	この作家の小説を読んだことがありますか。	작가	이 작가의 소설을 읽어 본 적이 있나요?	nhà văn	Bạn đã đọc tiểu thuyết của nhà văn này chưa?
作用	効果; 役割	この風邪薬は私にはあまり効果がありません。	효과; 역할	이 감기약은 저에게 별 효과가 없어요.	tác dụng	Loại thuốc cảm này không có tác dụng gì với tôi.
作者	作者; 著者	この本の作者はとても有名です。	저자; 작가	이 책의 저자는 아주 유명해요.	tác giả	Tác giả của quyển sách này rất nổi tiếng.
座	座; 建物などの量詞	川の上に小さな橋があります。	채; 좌	강 위에 작은 다리가 있어요.	tòa; chiếc	Trên sông có một cây cầu nhỏ.
座位	座席	彼は席を一人のお年寄りに譲りました。	좌석; 자리	그는 자리를 한 노인에게 양보했어요.	chỗ ngồi	Anh ấy nhường chỗ ngồi cho một cụ già.
