simplified	NE	example_NE	SI	example_SI	TA	example_TA
醒	बिउँझनु	म बिहान छ बजे नै बिउँझें.	අවදි වෙනවා	මම උදේ හයටම අවදි වුණෙමි.	விழித்தெழு	நான் காலை ஆறு மணிக்கே விழித்தேன்.
幸福	सुख; खुसी	पैसाले सुख किन्न सकिँदैन.	සතුට; සතුටු	මුදලින් සතුට මිලදී ගත නොහැක.	மகிழ்ச்சி	பணத்தால் மகிழ்ச்சியை வாங்க முடியாது.
性别	लिङ्ग	कृपया फारमको दोस्रो पङ्क्तिमा लिङ्ग भर्नुहोस्.	ලිංගභේදය	කරුණාකර ආකෘතියේ දෙවන පේළියේ ලිංගභේදය පුරවන්න.	பாலினம்	தயவுசெய்து படிவத்தின் இரண்டாவது வரியில் பாலினத்தை நிரப்புங்கள்.
性格	स्वभाव; चरित्र	मेरी श्रीमतीको स्वभाव धेरै राम्रो छ, कहिल्यै रिसाउँदिनन्.	පෞරුෂය; ස්වභාවය	මගේ බිරිඳගේ ස්වභාවය ඉතා හොඳය, ඇය කිසිදා කෝප නොවේ.	குணம்; தன்மை	என் மனைவியின் குணம் மிகவும் நல்லது, ஒருபோதும் கோபப்படமாட்டாள்.
修理	मर्मत गर्नु	मर्मत गरेपछि मेरो कम्प्युटर फेरि सामान्य रूपमा काम गर्न थाल्यो.	අලුත්වැඩියා කරනවා	අලුත්වැඩියාවෙන් පසු මගේ පරිගණකය නැවත සාමාන්‍ය ලෙස වැඩ කළේය.	பழுது பார்க்க	பழுது பார்த்த பிறகு என் கணினி மீண்டும் சாதாரணமாக வேலை செய்கிறது.
许多	धेरै	सडकमा धेरै फोहोर फाल्ने डब्बा छन्.	බොහෝ; ගොඩක්	වීදියේ බොහෝ කුණු බඳුන් ඇත.	நிறைய; பல	தெருவில் பல குப்பைத்தொட்டிகள் உள்ளன.
学期	शैक्षिक सत्र	यो शैक्षिक सत्रमा मैले कला, इतिहास र अर्थशास्त्रसहित धेरै पाठ्यक्रम लिएँ.	පාසල් වාරය	මෙම පාසල් වාරයේ මම කලා, ඉතිහාසය සහ ආර්ථිකය ඇතුළු බොහෝ පාඨමාලා තෝරාගත්තෙමි.	கல்விக்காலம்	இந்த கல்விக்காலத்தில் கலை, வரலாறு மற்றும் பொருளாதாரம் உட்பட பல பாடங்களை எடுத்தேன்.
呀	अरे; आश्चर्य जनाउने कण	अरे, हिउँ पर्‍यो!	අයියෝ; විස්මය පදය	අයියෝ, හිම වැටෙනවා!	ஆஹா; ஆச்சரியத் துகள்	ஆஹா, பனி பெய்கிறது!
压力	दबाब	उसलाई हालसालै कामको दबाब धेरै छ.	පීඩනය	ඔහුට මෑතකදී වැඩ පීඩනය ඉතා වැඩිය.	அழுத்தம்	அவனுக்கு சமீபத்தில் வேலையில் அதிக அழுத்தம் உள்ளது.
牙膏	दन्तमञ्जन	दन्तमञ्जन सकियो, भोलि किन्न जाऔं.	දන්ත මැදියම්	දන්ත මැදියම් අවසන් වී ඇත, හෙට මිලදී ගනිමු.	பற்பசை	பற்பசை முடிந்துவிட்டது, நாளை வாங்குவோம்.
亚洲	एसिया	चीन एसियाली देश हो.	ආසියාව	චීනය ආසියානු රටකි.	ஆசியா	சீனா ஒரு ஆசிய நாடு.
严格	कडा; कठोर	शिक्षक हामीप्रति धेरै कडा हुनुहुन्छ.	දැඩි; කർശන	ගුරුවරයා අප ගැන ඉතා දැඩිය.	கடுமையான	ஆசிரியர் எங்களிடம் மிகவும் கடுமையாக இருக்கிறார்.
严重	गम्भीर	उसको रोग धेरै गम्भीर छ.	බරපතළ; දරුණු	ඔහුගේ රෝගය ඉතා බරපතළය.	தீவிரமான; கடுமையான	அவனுடைய நோய் மிகவும் தீவிரமானது.
盐	नुन	नुन धेरै हालियो, तरकारी अलि नुनिलो छ.	ලුණු	ලුණු වැඩිපුර දමා ඇත, කෑම ටිකක් ලුණු රසයි.	உப்பு	உப்பு அதிகமாக போடப்பட்டுள்ளது, உணவு கொஞ்சம் உப்பாக உள்ளது.
研究	अनुसन्धान गर्नु; अनुसन्धान	ऊ यो समस्याबारे अनुसन्धान गरिरहेको छ.	පර්යේෂණ කරනවා; පර්යේෂණය	ඔහු මෙම ගැටලුව ගැන පර්යේෂණ කරමින් සිටී.	ஆராய்ச்சி செய்; ஆராய்ச்சி	அவன் இந்தப் பிரச்சினையை ஆராய்ச்சி செய்கிறான்.
演出	प्रस्तुति; प्रदर्शन गर्नु	पहिलो प्रस्तुति भएकाले ऊ धेरै नर्भस थियो.	රංගනය; රඟ දක්වනවා	පළමු රංගනයේදී ඔහු ඉතා කලබල විය.	நிகழ்ச்சி; நடிப்பு	முதல் நிகழ்ச்சிக்காக அவன் மிகவும் பதற்றமாக இருந்தான்.
演员	अभिनेता; कलाकार	ऊ प्रसिद्ध अभिनेता हो.	නළුවා; රංගන ශිල්පියා	ඔහු ප්‍රසිද්ධ රංගන ශිල්පියෙකි.	நடிகர்; கலைஞர்	அவன் பிரபலமான நடிகன்.
眼镜	चस्मा	उसले कालो चस्मा लगाएको छ.	කණ්ණාඩි	ඔහු කළු කණ්ණාඩි යුගලක් පැළඳ සිටී.	கண்ணாடி	அவன் கருப்பு கண்ணாடி அணிந்திருக்கிறான்.
阳光	घाम; सूर्यप्रकाश	झ्यालबाट घाम कोठाभित्र आयो.	හිරු එළිය	හිරු එළිය ජනේලයෙන් කාමරයට ඇතුළු විය.	சூரிய ஒளி	சூரிய ஒளி ஜன்னல் வழியாக அறைக்குள் வந்தது.
养成	बानी विकास गर्नु	मैले सानैदेखि यो बानी विकास गरेको छु.	පුරුද්දක් ඇති කරගන්නවා	මම කුඩා කාලයේ සිටම මෙම පුරුද්ද ඇති කරගෙන ඇත.	பழக்கம் வளர்த்து கொள்	நான் சிறு வயதிலிருந்தே இந்தப் பழக்கத்தை வளர்த்துள்ளேன்.
样子	रूप; शैली	यो लुगाको रूप निकै राम्रो छ.	පෙනුම; විලාසය	මෙම ඇඳුමේ පෙනුම ඉතා හොඳයි.	தோற்றம்; வடிவம்	இந்த ஆடையின் தோற்றம் மிகவும் நன்றாக உள்ளது.
邀请	निमन्त्रणा गर्नु; निमन्त्रणा	उसले सबैको निमन्त्रणा अस्वीकार गर्यो.	ආරාධනා කරනවා; ආරාධනය	ඔහු හැමෝගේම ආරාධනය ප්‍රතික්ෂේප කළේය.	அழை; அழைப்பு	அவன் அனைவரின் அழைப்பையும் மறுத்துவிட்டான்.
要是	यदि	तिमी पहिले आयौ भने, मलाई एकछिन पर्ख.	නම්; යদি	ඔබ මුලින් ආවොත්, මාව ටිකක් බලා සිටින්න.	என்றால்	நீ முதலில் வந்தால், என்னை கொஞ்சம் காத்திரு.
钥匙	चाबी	आज मैले चाबी ल्याउन बिर्सें.	යතුර	අද මම යතුර ගෙන ඒම අමතක කළෙමි.	சாவி	இன்று நான் சாவி கொண்டு வர மறந்துவிட்டேன்.
也许	सायद	ऊ सायद आउनेछैन.	සමහරවිට	ඔහු සමහරවිට එන්නේ නැත.	ஒருவேளை	அவன் ஒருவேளை வரமாட்டான்.
叶子	पात	वसन्त आयो, साना रूखमा नयाँ पात पलाए.	කොළය	වසන්තය පැමිණි අතර කුඩා ගස්වල නව කොළ හැදී ඇත.	இலை	வசந்தம் வந்தது, சிறிய மரங்களில் புதிய இலைகள் முளைத்தன.
页	पृष्ठ	कृपया दसौँ पृष्ठमा पल्टाउनुहोस्.	පිටුව	කරුණාකර දහවන පිටුවට පෙරළන්න.	பக்கம்	தயவுசெய்து பத்தாவது பக்கத்தைத் திறக்கவும்.
一切	सबै कुरा	घरका सबै कुरा आमाकै जिम्मा हो.	සියල්ල	ගෙදර සියලු දේවල් අම්මාගේ වගකීමයි.	எல்லாம்	வீட்டிலுள்ள எல்லாவற்றுக்கும் அம்மாதான் பொறுப்பு.
以	को रूपमा लिनु	कृपया यो वाक्यलाई उदाहरणको रूपमा लिनुहोस्.	ලෙස ගන්නවා	කරුණාකර මෙම වාක්‍යය උදාහරණයක් ලෙස ගන්න.	ஆக எடுத்துக்கொள்	தயவுசெய்து இந்த வாக்கியத்தை உதாரணமாக எடுத்துக்கொள்ளுங்கள்.
以为	सोच्नु; ठान्नु	मैले तिमी पहिले नै गइसकेको ठानेको थिएँ.	සිතනවා; කියා හිතනවා	ඔබ දැනටමත් ගොස් ඇතැයි මම සිතුවෙමි.	என்று நினை	நீ ஏற்கனவே சென்றுவிட்டாய் என்று நான் நினைத்தேன்.
意见	विचार; सुझाव	तिम्रा सबै विचार म स्वीकार गर्छु.	අදහස; යෝජනාව	ඔබේ සියලු අදහස් මම පිළිගනිමි.	கருத்து; ஆலோசனை	உன் எல்லா கருத்துகளையும் நான் ஏற்றுக்கொள்கிறேன்.
艺术	कला	म कलामा धेरै रुचि राख्छु.	කලාව	මට කලාව ගැන ඉතා උනන්දුවක් ඇත.	கலை	எனக்கு கலை மீது மிகுந்த ஆர்வம் உள்ளது.
因此	त्यसैले; फलस्वरूप	ऊ बिरामी थियो, त्यसैले कक्षामा आएन.	එබැවින්; ඒ නිසා	ඔහු අසනීප විය, එබැවින් පන්තියට ආවේ නැත.	ஆகையால்; அதனால்	அவன் நோயுற்றான், அதனால் வகுப்புக்கு வரவில்லை.
引起	उत्पन्न गर्नु; निम्त्याउनु	यो कुराले सबैको असन्तुष्टि उत्पन्न गर्यो.	ඇති කරනවා; හේතු වෙනවා	මෙම කාරණය හැමෝගේම අසතුට ඇති කළේය.	ஏற்படுத்து; காரணமாக இரு	இந்த விஷயம் அனைவரின் அதிருப்தியை ஏற்படுத்தியது.
印象	छाप; प्रभाव	उसले ममाथि धेरै राम्रो छाप छोड्यो.	හැඟීම; බලපෑම	ඔහු මට ඉතා හොඳ හැඟීමක් ලබා දුන්නේය.	பதிவு; தாக்கம்	அவன் எனக்கு மிகவும் நல்ல தாக்கத்தை ஏற்படுத்தினான்.
赢	जित्नु	हिजोको फुटबल खेलमा कसले जित्यो?	ජයගන්නවා	ඊයේ පාපන්දු තරගය කවුද ජයගත්තේ?	வெல்	நேற்றைய கால்பந்து போட்டியில் யார் வென்றார்?
应聘	जागिरका लागि आवेदन दिनु	उनी यो कामका लागि आवेदन दिन चाहन्छिन्.	රැකියාවකට අයදුම් කරනවා	ඇය මෙම රැකියාවට අයදුම් කිරීමට කැමතියි.	வேலைக்கு விண்ணப்பி	அவள் இந்த வேலைக்கு விண்ணப்பிக்க விரும்புகிறாள்.
勇敢	साहसी	दाइ धेरै साहसी मान्छे हुन्.	ධෛර්යවත්	අයියා ඉතා ධෛර්යවත් පුද්ගලයෙකි.	தைரியமான	அண்ணன் மிகவும் தைரியமான மனிதன்.
永远	सधैंभरि; कहिल्यै	तिमीले मलाई गरेको सहयोग म कहिल्यै बिर्सनेछैन.	සදහටම; කිසිදා	ඔබ මට කළ උපකාරය මම කිසිදා අමතක නොකරමි.	என்றும்; ஒருபோதும்	நீ எனக்கு செய்த உதவியை நான் ஒருபோதும் மறக்கமாட்டேன்.
优点	गुण; बलियो पक्ष	मानिसले आफ्ना कमजोरीलाई अरूका गुणसँग तुलना गर्नु हुँदैन.	ගුණය; වාසිය	මිනිසා තම අඩුපාඩු අන් අයගේ ගුණාංග සමඟ සසඳන්නට නොයුතුය.	நன்மை; சிறப்பு	ஒருவர் தன் குறைகளை மற்றவர்களின் சிறப்புகளுடன் ஒப்பிடக் கூடாது.
优秀	उत्कृष्ट	ऊ अत्यन्त उत्कृष्ट डाक्टर हो.	විශිෂ්ට	ඔහු ඉතා විශිෂ්ට වෛද්‍යවරයෙකි.	சிறந்த	அவன் மிகவும் சிறந்த மருத்துவர்.
幽默	हास्यपूर्ण; हास्य	प्राध्यापक ली धेरै हास्यपूर्ण रूपमा बोल्नुहुन्छ.	හාස්‍යජනක; හාස්‍යය	මහාචාර්ය ලී ඉතා හාස්‍යජනක ලෙස කතා කරයි.	நகைச்சுவையான; நகைச்சுவை	பேராசிரியர் லீ மிகவும் நகைச்சுவையாகப் பேசுகிறார்.
尤其	विशेष गरी	ऊ चित्र बनाउन मन पराउँछ, विशेष गरी चिनियाँ चित्र.	විශේෂයෙන්	ඔහු චිත්‍ර ඇඳීමට කැමතියි, විශේෂයෙන් චීන චිත්‍ර.	குறிப்பாக	அவன் ஓவியம் வரைவதை விரும்புகிறான், குறிப்பாக சீன ஓவியம்.
由	द्वारा	यो गतिविधि हामीले आयोजना गर्नेछौं.	විසින්	මෙම ක්‍රියාකාරකම අප විසින් සංවිධානය කරනු ලැබේ.	மூலம்; ஆல்	இந்த நிகழ்வை நாங்களே நடத்துகிறோம்.
由于	कारणले	पानी परेको कारण प्रतियोगिता सारियो.	නිසා; හේතුවෙන්	වැස්ස නිසා තරගය කල් දැමුණි.	காரணமாக	மழை காரணமாக போட்டி ஒத்திவைக்கப்பட்டது.
邮局	हुलाक कार्यालय	हुलाक कार्यालय बिहान नौ बजे खुल्छ.	තැපැල් කාර්යාලය	තැපැල් කාර්යාලය උදේ නවයට විවෘත වේ.	அஞ்சலகம்	அஞ்சலகம் காலை ஒன்பது மணிக்கு திறக்கும்.
友好	मित्रवत्	मेरो घरधनी धेरै मित्रवत् छन् र मलाई प्रायः मद्दत गर्छन्.	මිත්‍රශීලී	මගේ නිවාස හිමියා ඉතා මිත්‍රශීලී වන අතර නිතර මට උදව් කරයි.	நட்பான	என் வீட்டு உரிமையாளர் மிகவும் நட்பாக இருந்து அடிக்கடி எனக்கு உதவுகிறார்.
友谊	मित्रता	हामीबीच गहिरो मित्रता छ.	මිත්‍රත්වය	අප අතර ඉතා ගැඹුරු මිත්‍රත්වයක් ඇත.	நட்பு	எங்களுக்கிடையில் ஆழமான நட்பு உள்ளது.
有趣	रोचक	यो साँच्चै रोचक सपना हो!	රසවත්; සිත්ගන්නා	මෙය ඇත්තටම රසවත් සිහිනයකි!	சுவாரஸ்யமான	இது உண்மையிலேயே சுவாரஸ்யமான கனவு!
于是	त्यसैले	मलाई उसलाई केही सोध्न मन थियो, त्यसैले फोन गरें.	ඒ නිසා	මට ඔහුගෙන් යමක් අහන්න තිබුණා, ඒ නිසා ඔහුට දුරකථන ඇමතුමක් දුන්නෙමි.	ஆகவே; அதனால்	அவனிடம் ஒன்றைக் கேட்க விரும்பினேன், ஆகவே அவனை அழைத்தேன்.
愉快	रमाइलो; खुसी	तिम्रो सप्ताहन्त रमाइलो होस्!	ප්‍රීතිමත්; සතුටුදායක	ඔබේ සති අන්තය ප්‍රීතිමත් වේවා!	மகிழ்ச்சியான	உன் வார இறுதி மகிழ்ச்சியாக இருக்கட்டும்!
与	सँग	ऊ धेरै आत्मविश्वासी छ र अरूसँग प्रतिस्पर्धा गर्न मन पराउँछ.	සමඟ	ඔහු ඉතා විශ්වාසයෙන් සිටින අතර අන් අය සමඟ තරඟ කිරීමට කැමතියි.	உடன்	அவன் மிகவும் தன்னம்பிக்கை உடையவன், பிறருடன் போட்டியிட விரும்புகிறான்.
羽毛球	ब्याडमिन्टन	के तिमी प्रायः ब्याडमिन्टन खेल्छौ?	බැඩ්මින්ටන්	ඔබ නිතර බැඩ්මින්ටන් ක්‍රීඩා කරනවාද?	இறகுப்பந்து	நீ அடிக்கடி இறகுப்பந்து விளையாடுகிறாயா?
语法	व्याकरण	मैले केही आधारभूत व्याकरण ज्ञान सिकें.	ව්‍යාකරණ	මම මූලික ව්‍යාකරණ දැනුම ටිකක් ඉගෙන ගත්තෙමි.	இலக்கணம்	நான் சில அடிப்படை இலக்கண அறிவை கற்றேன்.
语言	भाषा	एउटा भाषा सिक्न त्यसको व्याकरणबारे केही बुझाइ चाहिन्छ.	භාෂාව	භාෂාවක් ඉගෙන ගැනීමට එහි ව්‍යාකරණය ගැන යම් අවබෝධයක් අවශ්‍යයි.	மொழி	ஒரு மொழியை கற்க அதன் இலக்கணம் பற்றி சில புரிதல் தேவை.
预习	पूर्वअध्ययन गर्नु	कृपया सबैले पाठ राम्रोसँग पूर्वअध्ययन गर्नुहोस्.	පාඩම කලින් කියවනවා	කරුණාකර හැමෝම පාඩම හොඳින් කලින් කියවා බලන්න.	முன்கூட்டிப் படி	தயவுசெய்து அனைவரும் பாடத்தை நன்றாக முன்கூட்டிப் படியுங்கள்.
原来	पहिलेको; उही	म अझै पहिलेको ठाउँमै बस्छु.	මුල්; පෙර තිබූ	මම තවමත් පෙර තිබූ තැනම ජීවත් වෙමි.	முந்தைய; அதேபோல	நான் இன்னும் முந்தைய இடத்திலேயே வசிக்கிறேன்.
原谅	माफ गर्नु	मैले भर्खर भनेका कुरा माफ गरिदिनुहोस्.	සමාව දෙනවා	මම දැන් කියූ දේවල් කරුණාකර සමාව දෙන්න.	மன்னி	நான் இப்போதுதான் சொன்னதை மன்னிக்கவும்.
原因	कारण	उसले कारण धेरै स्पष्टसँग व्याख्या गर्यो.	හේතුව	ඔහු හේතුව ඉතා පැහැදිලිව විස්තර කළේය.	காரணம்	அவன் காரணத்தை மிகவும் தெளிவாக விளக்கியான்.
约会	डेट; भेटघाट	उनी सियाओ लीसँग डेट गर्न थालिन्.	ආදර හමුව; හමුවීම	ඇය සියාඕ ලී සමඟ ආදර හමුවකට යාමට පටන් ගත්තාය.	சந்திப்பு; காதல் சந்திப்பு	அவள் சியாவோ லியுடன் காதல் சந்திப்புக்கு செல்லத் தொடங்கினாள்.
阅读	पढ्नु; पठन	म यो उपन्यास पढ्दै छु.	කියවනවා; කියවීම	මම මෙම නවකතාව කියවමින් සිටිමි.	வாசி; வாசிப்பு	நான் இந்த நாவலைப் படித்துக்கொண்டிருக்கிறேன்.
云	बादल	आकाशमा बादल झन् झन् बढ्दैछन्.	වලාකුළ	අහසේ වලාකුළු වඩ වඩාත් වැඩි වෙමින් පවතී.	மேகம்	வானத்தில் மேகங்கள் மேலும் மேலும் அதிகமாகின்றன.
允许	अनुमति दिनु	कृपया मलाई आफ्नो परिचय दिन अनुमति दिनुहोस्.	අවසර දෙනවා	කරුණාකර මට මා ගැන හඳුන්වා දීමට අවසර දෙන්න.	அனுமதி கொடு	தயவுசெய்து நான் என்னை அறிமுகப்படுத்த அனுமதியுங்கள்.
杂志	पत्रिका	यो पत्रिकाका लेखहरू सबै राम्रोसँग लेखिएका छन्.	සඟරාව	මෙම සඟරාවේ ලිපි සියල්ල හොඳින් ලියා ඇත.	இதழ்	இந்த இதழில் உள்ள கட்டுரைகள் அனைத்தும் நன்றாக எழுதப்பட்டுள்ளன.
咱们	हामी	यो महिनाको हाम्रो जीवन खर्च कति हो?	අපි	මේ මාසයේ අපේ ජීවන වියදම කොපමණද?	நாம்	இந்த மாதம் நம் வாழ்க்கைச் செலவு எவ்வளவு?
暂时	अस्थायी रूपमा	उसले गाडी अस्थायी रूपमा सडक छेउमा रोकेको छ.	තාවකාලිකව	ඔහු රථය තාවකාලිකව මාර්ගය අසල නවතා ඇත.	தற்காலிகமாக	அவன் காரை தற்காலிகமாக சாலை ஓரத்தில் நிறுத்தினான்.
脏	फोहोर	मैले असावधानीले लुगा फोहोर बनाएँ.	අපිරිසිදු	මම නොසැලකිලිමත්ව ඇඳුම අපිරිසිදු කළෙමි.	அழுக்கு	கவனக்குறைவாக நான் உடையை அழுக்காக்கினேன்.
责任	जिम्मेवारी; कर्तव्य	यो कुरामा हामी सबैको जिम्मेवारी छ.	වගකීම; යුතුකම	මෙම කාරණයට අපි හැමෝටම වගකීමක් ඇත.	பொறுப்பு; கடமை	இந்த விஷயத்தில் நமக்கெல்லாம் பொறுப்பு உள்ளது.
增加	बढाउनु; वृद्धि हुनु	यस वर्ष विद्यार्थीहरूको संख्या बढ्यो.	වැඩි කරනවා; වැඩි වෙනවා	මෙම වසරේ සිසුන්ගේ සංඛ්‍යාව වැඩි විය.	அதிகரி; கூட்ட	இந்த ஆண்டு மாணவர்களின் எண்ணிக்கை அதிகரித்தது.
占线	फोन व्यस्त हुनु	मैले लगातार केही पटक फोन गरें, तर उसको फोन सबै पटक व्यस्त थियो.	දුරකථනය කාර්යබහුලයි	මම අඛණ්ඩව කිහිප වරක් දුරකථන ඇමතුම් ගත්තත්, ඔහුගේ දුරකථනය සෑම වරම කාර්යබහුල විය.	தொலைபேசி இணைப்பு பிஸி	நான் பலமுறை அழைத்தேன், அவன் தொலைபேசி எல்லாம் பிஸியாக இருந்தது.
招聘	भर्ना गर्नु; भर्ती	कम्पनीले नयाँ कर्मचारी भर्ना गरिरहेको छ.	බඳවා ගන්නවා; බඳවා ගැනීම	සමාගම නව සේවකයන් බඳවා ගනිමින් සිටී.	பணியமர்த்து; ஆட்சேர்ப்பு	நிறுவனம் புதிய ஊழியர்களை பணியமர்த்துகிறது.
照	अनुसार; पछ्याउनु	यो योजनाअनुसार काम गर.	අනුව; අනුගමනය කරනවා	මෙම සැලැස්ම අනුව කරන්න.	படி; பின்பற்று	இந்தத் திட்டப்படி செய்.
真正	साँचो; वास्तविक	साँचो साथीले कठिनाइ भेट्दा मद्दत गर्छ.	සැබෑ; නියම	සැබෑ මිතුරා ඔබට අපහසුතා හමු වූ විට උදව් කරයි.	உண்மையான	உண்மையான நண்பன் சிரமங்களைச் சந்திக்கும் போது உதவுவான்.
整理	मिलाउनु; व्यवस्थित गर्नु	कृपया टेबलमाथिका किताबहरू मिलाइदिनुहोस्.	පිළිවෙලට කරනවා; සකස් කරනවා	කරුණාකර මේසය මත ඇති පොත් පිළිවෙලට කරන්න.	ஒழுங்குபடுத்து	தயவுசெய்து மேசையின் மேல் உள்ள புத்தகங்களை ஒழுங்குபடுத்து.
正常	सामान्य	मर्मत गरेपछि मेरो कम्प्युटर फेरि सामान्य रूपमा काम गर्न थाल्यो.	සාමාන්‍ය	අලුත්වැඩියාවෙන් පසු මගේ පරිගණකය නැවත සාමාන්‍ය ලෙස වැඩ කළේය.	சாதாரண	பழுது பார்த்த பிறகு என் கணினி மீண்டும் சாதாரணமாக வேலை செய்கிறது.
正好	ठीक; ठ्याक्कै	तिमीले भनेको कुरा मैले बुझेको कुराको ठीक विपरीत छ.	හරියටම; අහම්බෙන් හොඳට	ඔබ කියූ දේ මම තේරුම් ගත් දෙයට හරියටම විරුද්ධය.	சரியாக	நீ சொன்னது நான் புரிந்ததற்கு சரியாக எதிர்மாறானது.
正确	सही	तिम्रो आकलन पूर्ण रूपमा सही छ.	නිවැරදි	ඔබේ විනිශ්චය සම්පූර්ණයෙන්ම නිවැරදියි.	சரியான	உன் மதிப்பீடு முற்றிலும் சரியானது.
正式	औपचारिक; आधिकारिक	अब प्रतियोगिता औपचारिक रूपमा सुरु हुन्छ.	නිල; ഔපචාරික	දැන් තරගය නිල වශයෙන් ආරම්භ වේ.	அதிகாரப்பூர்வ; முறையான	இப்போது போட்டி அதிகாரப்பூர்வமாக தொடங்குகிறது.
证明	प्रमाणित गर्नु; प्रमाण	तथ्यले ऊ सही भएको प्रमाणित गर्यो.	සනාථ කරනවා; සාක්ෂිය	සත්‍ය කරුණු ඔහු නිවැරදි බව සනාථ කළේය.	நிரூபி; சான்று	உண்மைகள் அவன் சரி என்பதை நிரூபிக்கின்றன.
之	को; मध्ये एक	यो चिनियाँ संस्कृतिको एउटा भाग हो.	හි; එකක්	මෙය චීන සංස්කෘතියේ එක් කොටසකි.	இன்; ஒன்றில் ஒன்று	இது சீன பண்பாட்டின் ஒரு பகுதி.
支持	समर्थन गर्नु	हामी दुईजनाले आपसमा समर्थन गर्नुपर्छ.	සහාය දෙනවා	අපි දෙදෙනා එකිනෙකාට සහය විය යුතුය.	ஆதரி	நாம் இருவரும் ஒருவருக்கொருவர் ஆதரவு அளிக்க வேண்டும்.
知识	ज्ञान	मैले पढाइबाट धेरै ज्ञान प्राप्त गरेको छु.	දැනුම	මම කියවීමෙන් බොහෝ දැනුම ලබාගෙන ඇත.	அறிவு	நான் வாசிப்பில் நிறைய அறிவைப் பெற்றுள்ளேன்.
值得	लायक हुनु	यो उपन्यास पढ्न लायक छ.	වටිනවා	මෙම නවකතාව කියවීමට වටිනවා.	மதிப்பு உடைய; தகும்	இந்த நாவல் படிக்கத் தகுந்தது.
植物	बोटबिरुवा	यस प्रकारको बोटलाई धेरै घाम चाहिन्छ.	ශාකය	මෙම වර්ගයේ ශාකයට බොහෝ හිරු එළිය අවශ්‍යයි.	செடி; தாவரம்	இந்த வகை செடிக்கு நிறைய சூரிய ஒளி தேவை.
直接	सिधै; प्रत्यक्ष	कामपछि ऊ सिधै घर फर्कियो.	කෙලින්ම; සෘජු	වැඩෙන් පසු ඔහු කෙලින්ම ගෙදර ගියේය.	நேரடியாக; நேரான	வேலை முடிந்த பிறகு அவன் நேராக வீட்டுக்கு சென்றான்.
职业	पेशा	तिम्रो आदर्श पेशा के हो?	වෘත්තිය	ඔබගේ ආදර්ශ රැකියාව කුමක්ද?	தொழில்	உன் இலட்சியமான தொழில் என்ன?
只好	नचाहँदानचाहँदै गर्नुपर्नु	पानी धेरै ठूलो पर्‍यो, हामी घरमै बस्न बाध्य भयौं.	වෙන විකල්පයක් නැතුව	වැස්ස ඉතා දැඩි වූ නිසා අපට ගෙදරම රැඳී සිටිය යුතු විය.	வேறு வழியின்றி	மழை மிகவும் அதிகமாக பெய்ததால் நாம் வீட்டிலேயே இருக்க வேண்டியிருந்தது.
只要	जबसम्म; मात्र भए	मिहिनेत गर्यौ भने तिमी यो काम पक्कै राम्रोसँग गर्न सक्छौ.	ඇති තාක්; නම් පමණක්	ඔබ මහන්සි වුණොත් මෙම කාරණය නිසැකව හොඳින් කළ හැක.	இருந்தால் போதும்	நீ முயன்றால் இந்த விஷயத்தை நிச்சயம் நன்றாகச் செய்ய முடியும்.
指	औंल्याउनु; देखाउनु	मेरो गल्ती देखाइदिएकोमा धन्यवाद.	පෙන්වනවා; ඇඟිල්ල දිගු කරනවා	මගේ වැරැද්ද පෙන්වා දුන්නාට ස්තුතියි.	சுட்டிக்காட்டு	என் தவறைச் சுட்டிக்காட்டியதற்கு நன்றி.
至少	कम्तीमा	यो भवन कम्तीमा सय मिटर अग्लो छ.	අවම වශයෙන්	මෙම ගොඩනැගිල්ල අවම වශයෙන් මීටර් සියයක් උසයි.	குறைந்தது	இந்தக் கட்டிடம் குறைந்தது நூறு மீட்டர் உயரம் உள்ளது.
质量	गुणस्तर	यो जुत्ताको गुणस्तर धेरै राम्रो छ.	ගුණාත්මකභාවය	මෙම සපත්තු යුගලයේ ගුණාත්මකභාවය ඉතා හොඳයි.	தரம்	இந்த காலணிகளின் தரம் மிகவும் நல்லது.
重	गह्रौँ	यो बाकस धेरै गह्रौँ छ.	බර	මෙම පෙට්ටිය ඉතා බරයි.	கனமான	இந்தப் பெட்டி மிகவும் கனமாக உள்ளது.
重点	मुख्य बिन्दु; केन्द्र	उसले भर्खर भनेको कुरा नै समस्याको मुख्य बिन्दु हो.	ප්‍රධාන කරුණ; අවධානය	ඔහු දැන්ම කියූ දේම ගැටලුවේ ප්‍රධාන කරුණයි.	முக்கிய புள்ளி; கவனம்	அவன் இப்போதுதான் சொன்னதே பிரச்சினையின் முக்கிய புள்ளி.
重视	महत्त्व दिनु	अभिभावकहरू बालबालिकाको शिक्षालाई धेरै महत्त्व दिन्छन्.	වැදගත් ලෙස සලකනවා	දෙමාපියන් ළමයින්ගේ අධ්‍යාපනයට ඉතා වැදගත්කමක් දෙති.	முக்கியத்துவம் கொடு	பெற்றோர் குழந்தைகளின் கல்விக்கு மிகுந்த முக்கியத்துவம் கொடுக்கிறார்கள்.
周围	वरिपरि	विद्यालय वरिपरि धेरै पसल छन्.	අවට; වටපිටාව	පාසල අවට බොහෝ සාප්පු ඇත.	சுற்றிலும்	பள்ளி சுற்றிலும் பல கடைகள் உள்ளன.
