simplified	DA	example_DA
确保	sikre	Sørg venligst for at døren er låst
确立	fastlægge	Virksomheden fastlagde nye udviklingsmål
确切	præcis	Jeg kender ikke det præcise tidspunkt
确信	være sikker	Jeg er sikker på at han kommer til tiden
群众	folk	Folk støtter den nye politik
染	farve	Hun farvede sit hår sort
嚷	råbe	Råb ikke højt på gangen
让步	en indrømmelse	Begge sider gav nogle indrømmelser
饶恕	tilgive	Hun valgte til sidst at tilgive den anden part
扰乱	forstyrre	Støjen forstyrrede roen i klassen
惹祸	skabe problemer	Uforsigtige vittigheder kan let skabe problemer
热泪盈眶	få tårer i øjnene	Da hun hørte den gode nyhed fik hun tårer i øjnene
热门	populær	Kunstig intelligens er et populært emne
人道	humanitær	Redningsaktionen viste humanitær ånd
人格	værdighed	At fornærme andre skader personlig værdighed
人工	kunstig	Denne flod blev gravet kunstigt
人家	andre	Sammenlign ikke altid dig selv med andre
人间	menneskeverden	Foråret fylder menneskeverdenen med livskraft
人士	personer	Personer fra alle kredse deltog i forummet
人为	menneskeskabt	Denne ulykke skyldtes menneskelige faktorer
人性	menneskenatur	Denne film diskuterer menneskenatur
人质	et gidsel	Politiet reddede gidslet med succes
仁慈	venlig	Denne læge er meget venlig mod patienter
忍耐	tålmodighed	At stå i en lang kø kræver lidt tålmodighed
忍受	udholde	Jeg kan ikke udholde støjen her
任命	udnævne	Bestyrelsen udnævnte hende til leder
任性	egenrådig	Et barn der er for egenrådigt kan påvirke sin udvikling
任意	vilkårlig	Ændr venligst ikke data vilkårligt
任重道远	tungt ansvar og lang vej	Uddannelsesreformen har et tungt ansvar og en lang vej
认定	fastslå	Politiet fastslog at dette var en ulykke
认可	anerkendelse	Hans plan fik alles anerkendelse
仍旧	stadig	Mange år senere boede han stadig her
日新月异	udvikle sig hurtigt	Teknologien udvikler sig hurtigt dag for dag
日益	i stigende grad	Miljøproblemer bliver i stigende grad alvorlige
容貌	udseende	Årene ændrede hans udseende
容纳	rumme	Denne sal kan rumme fem hundrede mennesker
容器	en beholder	Hæld venligst væsken i en glasbeholder
容忍	tolerere	Virksomheden kan ikke tolerere svindel
溶解	opløses	Salt opløses i vand
荣幸	beæret	Jeg er beæret over at deltage i mødet
荣誉	ære	Denne medalje repræsenterer den højeste ære
融化	smelte	Sollyset fik isen og sneen til langsomt at smelte
融洽	harmonisk	Forholdet mellem kollegerne er meget harmonisk
揉	massere	Mor masserede blidt mine skuldre
柔和	blød	Lyset er blødt og ikke skarpt
儒家	konfucianisme	Konfuciansk tænkning påvirkede østasiatisk kultur
弱点	en svaghed	Skødesløshed er hans største svaghed
若干	flere	Mødet fremlagde flere forslag
撒谎	lyve	Børn bør ikke lyve
散文	prosa	Hun kan lide at læse moderne prosa
散布	spre	Nogen spredte rygter på nettet
散发	udstråle	Haven udstråler en frisk duft
丧失	miste	Han mistede ikke tilliden
骚扰	chikanere	Chikaner venligst ikke andre passagerer
嫂子	en svigerinde	Min svigerindes mad smager meget godt
刹车	bremse	Chaufføren bremsede pludseligt
啥	hvad	Hvad sagde du lige
筛选	filtrere	Systemet filtrerer automatisk CV'er
山脉	en bjergkæde	Denne bjergkæde er meget lang
闪烁	blinke	Lysene i det fjerne blev ved med at blinke
擅长	være god til	Han er god til at håndtere komplekse problemer
擅自	uden tilladelse	Medarbejdere må ikke forlade deres post uden tilladelse
伤脑筋	besværlig	Dette problem er virkelig besværligt
商标	et varemærke	Virksomheden registrerede et nyt varemærke
上级	overordnede	Han rapporterede situationen til sine overordnede
上进	motiveret	Hun har altid været motiveret for at blive bedre
上任	tiltræde	Den nye leder tiltræder i næste uge
上瘾	blive afhængig	Mange bliver afhængige af korte videoer
上游	øvre løb	Forureningen kommer fra flodens øvre løb
尚且	selv	Selv voksne kan begå fejl
捎	overbringe	Hjælp mig venligst med at overbringe en besked
梢	trætoppen	Fuglen sad i trætoppen
哨	en vagtpost	Der står en vagtpost ved porten
奢侈	luksuriøs	Den slags forbrug er alt for luksuriøst
舌头	en tunge	Han brændte sin tunge
摄氏度	grader celsius	Temperaturen i dag er tredive grader celsius
涉及	involvere	Rapporten involverer flere afdelinger
社区	et lokalsamfund	Lokalsamfundet organiserede et sundhedsforedrag
设立	oprette	Skolen oprettede et stipendium
设想	en idé	Denne idé skal stadig diskuteres
设置	indstille	Indstil venligst adgangskoden igen
呻吟	stønne	Patienten stønnede lavt
深奥	dybsindig	Indholdet i denne bog er meget dybsindigt
深沉	dyb	Hans stemme var lav og dyb
深情厚谊	dybt venskab	Folkene i de to lande knyttede et dybt venskab
申报	angive	Passagerer skal angive genstande sandfærdigt
绅士	en gentleman	Han opfører sig som en gentleman
神经	en nerve	Stress kan påvirke nervesystemet
神奇	magisk	Landskabet her er meget magisk
神气	energisk	Han så særlig energisk ud i dag
神圣	hellig	Dette er en hellig pligt
神态	udtryk	Hendes udtryk var meget roligt
神仙	en udødelig	Ifølge sagnet bor der udødelige i bjergene
审查	gennemgå	Platformen gennemgår offentliggjort indhold
审理	behandle i retten	Retten behandler denne sag
审美	æstetisk sans	Hans æstetiske sans er meget særpræget
审判	en retssag	Den offentlige retssag tiltrak mediernes opmærksomhed
慎重	forsigtig	Denne beslutning skal træffes forsigtigt
渗透	trænge ind	Regnvand trængte langsomt ned i jorden
声明	en erklæring	Virksomheden udsendte en officiel erklæring
声势	fremdrift	Denne reklamekampagne har stærk fremdrift
声誉	omdømme	Produktkvalitet påvirker brandets omdømme
牲畜	husdyr	Hyrderne drev husdyrene tilbage til græsmarken
生存	overleve	Vilde dyr har brug for plads til at overleve
生机	livskraft	Forårsregnen fylder jorden med livskraft
生理	fysiologi	Søvn påvirker menneskets fysiologiske tilstand
生疏	rusten	Efter mange år uden øvelse er hans klaverspil lidt rustent
生态	økologi	Skovbeskyttelse hænger sammen med økologisk balance
生物	en organisme	Der er mange usædvanlige organismer i havet
生效	træde i kraft	Den nye regel træder officielt i kraft i morgen
生肖	kinesisk dyretegn	Hvad er dit kinesiske dyretegn
生锈	ruste	Cykelkæden er allerede rustet
生育	fertilitet	Hospitalet tilbyder rådgivning om fertilitet
省会	en provinshovedstad	Chengdu har længe været Sichuans provinshovedstad
盛产	producere i store mængder	Dette sted producerer te af høj kvalitet i store mængder
盛开	stå i fuldt flor	Kirsebærblomsterne i parken står i fuldt flor
盛情	gæstfrihed	Vi takker værten for den varme gæstfrihed
盛行	være populær	Denne stil var engang meget populær
胜负	udfald	Kampens sidste minut afgjorde udfaldet
失事	forulykke	Årsagen til flyulykken er stadig under undersøgelse
失误	en fejl	En lille fejl forsinkede projektet
失踪	savnet	Politiet leder efter det savnede barn
尸体	et lig	Redningsholdet fandt offerets lig
师范	læreruddannelse	Hun dimitterede fra et læreruddannelsesuniversitet
施加	påføre	Forældre bør ikke påføre for stort pres
施展	udfolde	Han fik endelig mulighed for at udfolde sit talent
十足	fuld	Han har fuld tillid til resultatet
实惠	prisvenlig	Priserne i denne butik er meget prisvenlige
实力	styrke	Holdets samlede styrke er meget stor
实施	gennemføre	Regeringen begyndte at gennemføre den nye plan
实事求是	søge sandhed fra fakta	Forskning bør søge sandhed fra fakta
实行	praktisere	Virksomheden praktiserer en fleksibel arbejdsordning
实质	essens	Problemets essens har ikke ændret sig
拾	samle op	Han bøjede sig ned og samlede nøglen op fra jorden
时常	ofte	Bedstefar taler ofte om ting fra sin ungdom
时而	af og til	Vejret er af og til solrigt og af og til overskyet
时光	tid	Gode tider føles altid korte
时机	tidspunkt	Nu er ikke et godt tidspunkt for forhandlinger
时事	aktuelle begivenheder	Eleverne diskuterer internationale aktuelle begivenheder hver uge
石油	olie	Oliepriserne steg igen
识别	genkende	Systemet kan genkende forskellige ansigter
使命	en mission	At beskytte miljøet er en fælles mission
世代	generationer	Dette håndværk er blevet overleveret i familien gennem generationer
事故	en ulykke	Denne ulykke medførte ingen personskader
事迹	gerninger	Hans heltegerninger blev vidt udbredt
事件	en hændelse	Denne hændelse vakte offentlig opmærksomhed
事态	situation	Regeringen kontrollerer situationens udvikling
事务	anliggender	Hun har ansvar for virksomhedens daglige anliggender
事项	punkt	Bekræft venligst de vigtige punkter i kontrakten
事业	livsgerning	Han betragter uddannelse som sin livsgerning
势必	uundgåeligt	Stigende omkostninger vil uundgåeligt påvirke priserne
势力	indflydelse	Den lokale handelsindflydelse er stærk
是非	strid	Han vil ikke blandes ind i kontorets stridigheder
示范	demonstration	Læreren gav først en demonstration
示威	demonstration	Der fandt en fredelig demonstration sted i byens centrum
示意	signalere	Lederen signalerede at alle skulle være stille
视力	syn	At se på skærme i lang tid kan påvirke synet
视频	en video	Send mig venligst videoen
视线	sigt	Den tætte tåge blokerede chaufførens sigt
视野	horisont	Rejser kan udvide ens horisont
试图	forsøge	Han forsøgte at forklare sin beslutning
试验	et eksperiment	Forskerne udførte mange eksperimenter
适宜	egnet	Klimaet her er egnet til at bo i
逝世	gå bort	Denne forfatter gik bort sidste år
释放	løslade	Retten besluttede at løslade den tiltalte
收藏	samle	Han samlede mange gamle frimærker
收缩	trække sig sammen	Kold luft kan få metal til at trække sig sammen
收益	afkast	Investeringsafkastet var højere end forventet
收音机	en radio	Bedstemor lytter til radio hver dag
守护	beskytte	Læger beskytter patienters liv
手法	teknik	Instruktørens filmteknik er meget særpræget
手势	en gestus	Han brugte en gestus til at vise enighed
手艺	håndværk	Denne håndværkers færdigheder er meget gode
首饰	smykker	Hun bar enkle sølvsmykker
首要	vigtigste	Sikkerhed er den vigtigste opgave
受罪	lide	Patienten led meget efter operationen
授予	tildele	Skolen tildelte ham en æresgrad
书法	kalligrafi	Han har øvet kalligrafi siden barndommen
书记	en sekretær	Landsbyens partisekretær ledede mødet
书籍	bøger	Biblioteket rummer et stort antal bøger
书面	skriftlig	Giv venligst skriftlig dokumentation
疏忽	forsømmelse	Denne fejl skyldtes forsømmelse i arbejdet
疏远	gli fra hinanden	Misforståelsen fik de to personer til gradvist at glide fra hinanden
舒畅	afslappet	Efter gåturen følte jeg mig afslappet og glad
数额	beløb	Erstatningsbeløbet er endnu ikke fastsat
束	en buket	Hun købte en buket blomster
束缚	begrænse	Traditionelle ideer begrænsede hans valg
树立	opbygge	Virksomheden skal opbygge et godt image
竖	stille oprejst	Stil venligst skiltet oprejst
耍	lege med	Leg ikke med telefonen i arbejdstiden
衰老	ældes	Motion kan bremse aldring
衰退	tilbagegang	Den økonomiske tilbagegang påvirkede beskæftigelsen
率领	lede	Kaptajnen ledte holdet fremad
涮火锅	spise kinesisk fondue	Om vinteren kan alle lide at spise kinesisk fondue
双胞胎	tvilling	De er et par tvillinger
爽快	ligefrem	Hun svarede meget ligefremt
水利	vandforvaltning	Denne region lægger vægt på vandforvaltningsbyggeri
水龙头	en vandhane	Vandhanen i køkkenet lækker
水泥	cementpulver	Arbejderne transporterede cementpulver til byggepladsen
瞬间	et øjeblik	Lyset gik helt ud på et øjeblik
司法	retsvæsen	Retsvæsenets uafhængighed kræver institutionel beskyttelse
司令	en kommandant	Kommandanten udstedte en ordre om tilbagetrækning
思念	savne	Hun savner ofte sin hjemby
思索	gruble	Han bøjede hovedet og grublede længe
思维	tænkning	Denne træning kan forbedre logisk tænkning
斯文	dannet	Han taler på en dannet og mild måde
私自	uden tilladelse	Elever må ikke forlade skolen uden tilladelse
死亡	død	Ulykken forårsagede flere dødsfald
四肢	lemmer	Før motion bør man bevæge lemmerne
寺庙	et tempel	Der ligger et gammelt tempel på bjerget
肆无忌惮	hæmningsløs	Han brød reglerne hæmningsløst
饲养	opdrætte	Gården opdrætter mange malkekøer
耸	trække på skuldrene	Efter at have hørt det trak han bare på skuldrene
艘	skibsklassifikator	Der ligger tre fragtskibe i havnen
苏醒	komme til bevidsthed	Patienten kom endelig til bevidsthed
俗话	et ordsprog	Som ordsproget siger gør øvelse mester
塑造	forme	Miljøet kan forme en persons karakter
素食	vegetarmad	Denne restaurant tilbyder vegetarmad
素质	kvalitet	Servicepersonalet har høj kvalitet
诉讼	en retssag	Begge parter besluttede at løse det gennem en retssag
算数	holde ord	Du bør holde det du har sagt
随即	straks	Efter mødet sluttede gik han straks
随意	efter behag	Ændr venligst ikke indstillingerne efter behag
岁月	årene	Årene ændrede hans udseende
隧道	en tunnel	Toget kørte gennem en lang tunnel
损坏	beskadige	Den kraftige regn beskadigede vejen
索取	anmode om	Kunder kan gratis anmode om prøver
索性	simpelthen	Regnen var for kraftig så vi gik simpelthen ikke ud
塌	kollapse	Taget på det gamle hus kollapsede
踏实	rolig	Efter at have afsluttet opgaven følte jeg mig rolig
塔	et tårn	Der er et højt tårn i byens centrum
台风	en tyfon	Tyfonen forventes at gå i land i morgen
太空	verdensrummet	Mennesket har altid udforsket verdensrummet
泰斗	en førende autoritet	Han er en førende autoritet inden for lingvistik
摊	en bod	Hun satte en frugtbod op på markedet
瘫痪	lammelse	Trafikulykken lammede hans underkrop
贪婪	grådighed	Grådighed kan ødelægge et menneske
贪污	korruption	Embedsmanden blev undersøgt for korruption
弹性	elasticitet	Dette materiale er meget elastisk
坦白	indrømme	Han indrømmede til sidst sandheden
叹气	sukke	Da han hørte resultatet kunne han ikke lade være med at sukke
探测	detektere	Udstyret kan detektere grundvand
探索	udforske	Forskere fortsætter med at udforske universet
探讨	drøfte	Eksperter drøftede reformplanen
探望	besøge	I weekenden tog jeg på hospitalet for at besøge en ven
倘若	hvis	Hvis det regner bliver arrangementet udskudt
掏	tage frem	Han tog nøglen frem fra lommen
滔滔不绝	tale uafbrudt	Når han taler om historie taler han uafbrudt
淘汰	eliminere	Dette hold blev elimineret tidligt
陶瓷	keramik	Jingdezhen er berømt for keramik
陶醉	blive betaget	Publikum blev betaget af musikken
讨好	indynde sig	Han vil ikke bevidst indynde sig hos chefen
特长	en særlig færdighed	Maleri er hendes særlige færdighed
特定	bestemt	Indsend venligst ansøgningen inden for det bestemte tidsrum
特意	særligt	Jeg kom særligt for at takke dig
提拔	forfremme	Virksomheden forfremmede hende til afdelingsleder
提炼	udvinde	Fabrikken udvinder metal fra malm
提示	bede om	Systemet beder dig om at indtaste adgangskoden
提议	foreslå	Hun foreslog at fortsætte diskussionen i morgen
题材	emne	Denne films emne er nyt
体裁	genre	Romaner og digte er forskellige genrer
体积	volumen	Denne kasse har stort volumen
体谅	vise forståelse	Vis venligst forståelse for hans vanskeligheder
体面	respektabel	Han vil finde et respektabelt job
体系	et system	Virksomheden opbyggede et komplet træningssystem
天才	et geni	Dette barn betragtes som et musikalsk geni
天赋	talent	Hun har talent for at lære sprog
天伦之乐	familielykke	Den ældre person nyder familielykke
天然气	naturgas	Byboere bruger naturgas til madlavning
天生	naturligt	Han er naturligt optimistisk
天堂	paradis	Dette sted er som et paradis på jorden
天文	astronomi	Han har kunnet lide astronomi siden barndommen
田径	atletik	Skolen afholdt en atletikkonkurrence
田野	marker	Markerne er helt grønne om foråret
舔	slikke	Den lille hund slikkede sin ejers hånd
挑剔	kræsen	Hun er meget kræsen med mad
条款	en klausul	Kontraktens klausuler skal læses omhyggeligt
条理	struktur	Hans tale var meget velstruktureret
条约	en traktat	De to lande underskrev en fredstraktat
调和	harmonisere	Disse to farver harmonerer godt
调剂	balancere	Motion kan balancere et stressende liv
调节	regulere	Aircondition kan regulere indendørstemperaturen
调解	mægle	Lokalsamfundets medarbejdere hjalp med at mægle i konflikten
调料	krydderi	Der skal tilsættes lidt krydderi til suppen
挑拨	så splid	Så ikke splid mellem kolleger
挑衅	provokation	Denne udtalelse rummer tydelig provokation
跳跃	hoppe	Atleten hoppede tre gange i træk
亭子	en pavillon	Der er en lille pavillon ved søen
停泊	ligge fortøjet	Fiskerbådene ligger fortøjet i havnen
停顿	en pause	Han holdt en kort pause mens han talte
停滞	stagnere	Projektet stagnerede på grund af utilstrækkelige midler
挺拔	høj og rank	Fyrretræerne vokser høje og ranke
通货膨胀	pengeværdiforringelse	Pengeværdiforringelse pressede leveomkostningerne op
通缉	efterlyse	Politiet efterlyser denne mistænkte
通俗	lettilgængelig	Sproget i denne bog er meget lettilgængeligt
通讯	kommunikation	Moderne kommunikationsteknologi udvikler sig hurtigt
通用	almindeligt brugbar	Denne type oplader er forholdsvis almindeligt brugbar
同胞	en landsmand	Udlandsboende landsmænd bekymrer sig også om hjembyens udvikling
同志	en kammerat	Den ældre kammerat delte arbejdserfaring
童话	et eventyr	Barnet kan lide at høre eventyr før sengetid
铜	kobber	Denne statue er lavet af kobber
统筹兼顾	samordne helheden	Byplanlægning skal samordne helheden og tage hensyn til alle interesser
统计	tælle	Vi skal tælle antallet af tilmeldinger
统统	alle sammen	Alle disse gamle dokumenter skal arkiveres
统治	regere	Dette dynasti regerede i tre hundrede år
投机	spekulation	Han tjente en sum penge gennem spekulation
投票	stemme	Beboerne deltager i afstemningen i morgen
投诉	klage	Kunden klagede over forhandleren til platformen
投降	overgive sig	Fjendens hær valgte til sidst at overgive sig
投掷	kaste	Atleten øvede sig i at kaste spyd
透露	afsløre	Han afslørede ikke mødets detaljer
秃	skaldet	Han blev skaldet i en ung alder
突破	et gennembrud	Forskningen opnåede et stort gennembrud
图案	et mønster	Mønsteret på dette stof er meget smukt
徒弟	en lærling	Mesteren lærer lærlingen at reparere ure
涂抹	påføre	Påfør venligst salven omkring såret
途径	en vej	Internettet er en vigtig vej til at få information
土壤	jord	Frugtbar jord er velegnet til at dyrke grøntsager
团结	stå sammen	Holdet skal stå sammen og samarbejde
团体	en gruppe	Denne gruppe holder regelmæssigt aktiviteter
团圆	genforening	Forårsfesten er en tid for familiens genforening
推测	antage	Eksperter antager at priserne fortsat vil stige
推翻	vælte	Folket væltede det gamle system
推理	ræsonnement	Denne roman er fuld af ræsonnementsscener
推论	en slutning	Denne slutning kræver stadig beviser
推销	markedsføre	Han har ansvar for at markedsføre det nye produkt
吞吞吐吐	stamme frem	Han stammede frem da han besvarede spørgsmålet
托运	indchecke bagage	Passagerer kan indchecke bagage ved skranken
拖延	udskyde	Udskyd ikke betalingstidspunktet længere
脱离	adskille fra	Teori kan ikke adskilles fra virkeligheden
妥当	passende	Denne ordning er meget passende
妥善	forsvarligt	Opbevar venligst vigtige dokumenter forsvarligt
妥协	et kompromis	De to sider nåede til sidst et kompromis
椭圆	en ellipse	Jordens bane er tæt på en ellipse
唾弃	foragte	Samfundet foragter denne slags svindel
哇	wow	Wow denne bro er virkelig imponerende
挖掘	grave ud	Arkæologholdet graver en gammel grav ud
娃娃	en dukke	Den lille pige holder en dukke
瓦解	gå i opløsning	Interne konflikter fik alliancen til at gå i opløsning
歪曲	forvrænge	Rapporter bør ikke forvrænge fakta
外表	udseende	Døm ikke mennesker kun efter udseende
外行	en lægmand	Jeg er fuldstændig lægmand når det gælder jura
外界	omverdenen	Virksomheden svarer sjældent på kritik fra omverdenen
外向	udadvendt	Hun har en udadvendt personlighed og mange venner
丸	en pille	Lægen ordinerede ham flere piller
完备	fuldstændig	Dette materiale er meget fuldstændigt
完毕	afsluttet	Mødet er allerede afsluttet
玩弄	lege med	Leg ikke med andres følelser
玩意儿	en ting	Hvad er det for en ny ting
顽固	stædig	Hans holdning er meget stædig
顽强	udholdende	Den sårede person viste stor udholdenhed
惋惜	beklage	Alle beklagede nederlaget
挽回	genvinde	Han arbejdede hårdt på at genvinde virksomhedens tab
挽救	redde	Lægen reddede patientens liv med succes
万分	ytterst	Jeg er yderst taknemmelig for din hjælp
往常	som sædvanlig	I dag er varmere end som sædvanlig
往事	fortiden	Den ældre person mindes ofte fortiden
妄想	drømme forgæves	Han drømmer forgæves om at blive rig på en nat
危机	en krise	Virksomheden står over for en alvorlig krise
威风	imponerende	Generalen så imponerende ud til hest
威力	kraft	Denne type våben har stor kraft
威望	anseelse	Han har stor anseelse i landsbyen
威信	troværdighed	Ledere skal bevare regeringens troværdighed
微不足道	ubetydelig	Dette lille tab er ubetydeligt
微观	mikroøkonomi	Dette kursus introducerer mikroøkonomi
为难	gøre det svært	Gør det ikke længere svært for tjeneren
为期	vare	Kurset varer tre måneder
唯独	undtagen	Alle var ankommet undtagen ham
维持	opretholde	Politiet opretholdt ordenen på stedet
维护	beskytte	Vi skal beskytte vores lovlige rettigheder og interesser
维生素	et vitamin	Frugt indeholder rigelige vitaminer
违背	stride imod	Denne beslutning strider imod kontraktens ånd
伪造	forfalske	Nogen forfalskede hans underskrift
委托	betro	Klienten betroede en advokat at håndtere sagen
委员	et komitemedlem	Hvert komitemedlem gav sin mening til kende
卫星	en satellit	Satellitten gik ind i sin planlagte bane
喂	made	Barnet mader killingen
慰问	udtrykke medfølelse	Lederne tog på hospitalet for at udtrykke medfølelse med de sårede
未免	lidt for	Dette krav er lidt for højt
畏惧	frygte	Han frygter aldrig vanskeligheder
蔚蓝	azurblå	Himlen viste en azurblå farve
温带	tempereret zone	Denne plante passer til et tempereret klima
温和	moderat	Hans politiske standpunkt er forholdsvis moderat
文凭	et eksamensbevis	Dette job kræver et universitetsbevis
文物	kulturlevn	Museet udstillede værdifulde kulturlevn
文献	faglitteratur	Afhandlingen citerede en stor mængde faglitteratur
文雅	elegant	Hun opfører sig elegant
文艺	litteratur og kunst	Denne by har en stærk atmosfære af litteratur og kunst
问世	komme ud	Denne telefonmodel er ved at komme ud
窝	en rede	Der er en fuglerede i træet
乌黑	kulsort	Hun har langt kulsort hår
污蔑	bagtale	Han nægtede at have bagtalt sin konkurrent
诬陷	falsk anklage	Beviserne viser at han blev falsk anklaget
无比	ytterst	Da han hørte nyheden blev han yderst begejstret
无偿	gratis	Frivillige yder gratis service
无耻	skamløs	Denne slags bedrageri er meget skamløs
无动于衷	ligeglad	Over for kritikken forblev han ligeglad
无非	ikke andet end	Han gjorde det ikke andet end for at spare penge
无辜	uskyldig	Retten fastslog at han var uskyldig
无精打采	sløv	Han ser sløv ud i dag
无赖	en skurk	Landsbyboerne vil ikke have med den skurk at gøre
无理取闹	lave ballade uden grund	Lav venligst ikke ballade her uden grund
无能为力	magtesløs	Over for oversvømmelsen var landsbyboerne magtesløse
无穷无尽	endeløs	Ørkenen så endeløs ud
无微不至	omsorgsfuld til mindste detalje	Sygeplejersken tog sig omsorgsfuldt af patienten til mindste detalje
无忧无虑	bekymringsløs	Børnene legede bekymringsløst på græsset
无知	uvidenhed	Uvidenhed er ikke en grund til at nægte at lære
侮辱	fornærme	Hans ord fornærmede den anden person
武器	et våben	Disse våben opbevares samlet
武侠	kampsportfortælling	Han har siden barndommen kunnet lide at læse kampsportfortællinger
武装	bevæbning	Grænseområdet styrkede de bevæbnede patruljer
舞蹈	dans	Denne dans har stærke etniske kendetegn
务必	sørge for	Sørg venligst for at komme til tiden
物美价廉	god og billig	Varerne i denne butik er gode og billige
物业	ejendomsforvaltning	Ejendomsforvaltningen har ansvar for reparationer i boligområdet
物资	forsyninger	Nødhjælpsforsyninger er allerede leveret til katastrofeområdet
误差	fejlmargin	Der er en lille fejlmargin i måleresultatet
误解	misforståelse	De to parter fjernede misforståelsen gennem kommunikation
夕阳	den nedgående sol	Den nedgående sol farvede himlen gylden
昔日	tidligere	Tidligere tiders lille landsby blev til en by
溪	en bæk	En lille bæk løber gennem bjergene
熄灭	slukkes	Sluk venligst stearinlyset
牺牲	et offer	De bragte et offer for at redde andre
膝盖	et knæ	Hans knæ blev skadet
习俗	en skik	Forårsfesten har mange traditionelle skikke
媳妇	en kone	Hans kone arbejder på hospitalet
袭击	angribe	Stormen angreb kystbyen
喜闻乐见	elsket af publikum	Denne type program er elsket af publikum
喜悦	glæde	Et glædesfyldt smil viste sig på hendes ansigt
系列	en række	Virksomheden lancerede en række nye produkter
细菌	bakterier	Høj temperatur kan dræbe bakterier
细胞	en celle	Menneskekroppen består af utallige celler
细致	grundig	Hendes observation var meget grundig
峡谷	en kløft	Floden løber gennem en dyb kløft
狭隘	snæversynet	Denne snæversynede holdning skal ændres
狭窄	smal	Denne lille sti er meget smal
霞	aftenglød	Aftengløden farvede himlen rød
下属	en underordnet	Lederen lyttede omhyggeligt til underordnedes meninger
先进	avanceret	Fabrikken tog avanceret udstyr i brug
先前	tidligere	Den tidligere plan er allerede ændret
掀起	udløse	Denne bog udløste en bølge af diskussion
纤维	en fiber	Dette stof indeholder naturlige fibre
鲜明	klar	Hans standpunkt er meget klart
嫌	bryde sig om	Hun bryder sig ikke om at rummet er for lille
嫌疑	mistanke	Denne mand er under stærk mistanke
弦	en streng	En streng på guitaren knækkede
衔接	forbinde	Indholdet i de to kurser forbinder sig godt
贤惠	dydig	Hun anses for dydig og dygtig
闲话	sladder	Tal ikke sladder om andre bag deres ryg
显著	betydelig	Behandlingens effekt er meget betydelig
宪法	grundlov	Grundloven garanterer borgernes grundlæggende rettigheder
现场	åsted	Reporterne er allerede ankommet til ulykkesstedet
现成	færdiglavet	Der er færdiglavet mad i køkkenet
现状	nuværende situation	Vi skal forstå branchens nuværende situation
线索	et spor	Politiet fandt et nyt spor
陷害	falsk anklage	Han hævdede at nogen havde falsk anklaget ham
陷阱	en fælde	Jægeren satte en fælde
陷入	havne i	Virksomheden havnede i økonomiske vanskeligheder
馅儿	fyld	Fyldet i denne baozi dufter meget godt
乡镇	en landsbykommune	Forholdene på landsbyskoler bliver bedre
相差	adskille sig	Temperaturen de to steder adskiller sig med ti grader
相等	lige	De to trekanter har lige store arealer
相辅相成	udfylde hinanden	Teori og praksis udfylder hinanden
相应	tilsvarende	Virksomheden vil træffe tilsvarende foranstaltninger
镶嵌	indfatte	Der er indfattet en ædelsten i ringen
响亮	høj og klar	Hans svar lød højt og klart
响应	reagere på	Mange mennesker reagerede på miljøinitiativet
想方设法	prøve alle mulige måder	De prøvede alle mulige måder at reducere omkostningerne på
向导	en guide	En lokal guide førte os ind i bjergene
向来	altid	Han har altid lagt vægt på troværdighed
向往	længes efter	Hun længes efter et stille liv
巷	en gyde	Der er åbnet mange små butikker i den gamle gyde
相声	komisk dialog	Bedstefar kan lide at lytte til traditionel komisk dialog
消除	fjerne	Kommunikation kan fjerne misforståelser
消毒	desinficere	Lægen desinficerede såret
消防	brandvæsen	Brandfolkene ankom hurtigt til stedet
消耗	forbruge	Lange rejser forbruger meget fysisk energi
消灭	udrydde	Arbejderne er ved at udrydde skadedyr
潇洒	ubekymret elegant	Hans måde at gå på er meget ubekymret elegant
销毁	ødelægge	Toldvæsenet ødelagde de forfalskede varer
小心翼翼	meget forsigtig	Hun åbnede kassen meget forsigtigt
效益	udbytte	Det nye udstyr forbedrede produktionsudbyttet
肖像	et portræt	Hans portræt hænger på væggen
协会	en forening	Denne forening hjælper unge iværksættere
协商	forhandle	Begge sider er villige til at fortsætte forhandlingerne
协调	koordinere	Projektlederen har ansvar for at koordinere ressourcer
协议	en aftale	De to sider underskrev en samarbejdsaftale
协助	bistå	Frivillige bistod de ældre med at krydse vejen
携带	medbringe	Passagerer må ikke medbringe farligt gods
屑	spåner	Der er mange træspåner på bordet
泄露	lække	Medarbejdere må ikke lække kundeoplysninger
泄气	miste modet	Mist ikke modet efter et nederlag
谢绝	afslå høfligt	Hotellet afslår høfligt mad udefra
心得	lærdom	Hun delte sin lærdom fra studierne
心甘情愿	helt frivilligt	Han blev helt frivilligt for at hjælpe
心灵	sjæl	Musikken trøstede hendes sjæl
心态	indstilling	Det er vigtigt at bevare en positiv indstilling
心疼	have ondt af	Moren havde ondt af det sårede barn
心血	møje	Denne bog rummer forfatterens store møje
心眼儿	småsindet	Han er lidt småsindet
新陈代谢	stofskifte	Motion kan fremme stofskiftet
新郎	brudgom	Brudgommen tog imod gæsterne ved døren
新娘	brud	Bruden bar en hvid brudekjole
新颖	nyskabende	Dette design er meget nyskabende
欣慰	føle sig glad og lettet	Det gjorde hende glad og lettet at se barnets fremskridt
欣欣向荣	blomstrende	Turismen i byen er blomstrende
薪水	løn	Hans løn er nok til at forsørge familien
辛勤	flittig	Landmænd arbejder flittigt med at dyrke afgrøder
