simplified	ET	example_ET
期望	ootus	Vanematel on laste suhtes kõrged ootused.
期限	tähtaeg	Registreerimise tähtaeg on sel reedel.
欺负	kiusama	Suured lapsed ei peaks väiksemaid kiusama.
欺骗	petma	Võltsreklaam pettis tarbijaid.
奇妙	imeline	Looduses on palju imelisi nähtusi.
旗袍	qipao	Ta kandis õhtupeol punast qipaod.
旗帜	lipp	Väljakul lehvisid erksavärvilised lipud.
歧视	diskrimineerimine	Seadus keelab igasuguse diskrimineerimise.
齐全	täielik	Selles poes on tööriistade valik väga täielik.
齐心协力	ühiselt pingutama	Kõik pingutasid ühiselt ja täitsid ülesande.
乞丐	kerjus	Tee ääres istus vana kerjus.
企图	püüdma	Ta püüdis tegelikku olukorda varjata.
启程	teele asuma	Delegatsioon asub homme varahommikul teele.
启蒙	algõpetus	See raamat sobib laste algõpetuse lugemiseks.
启事	teade	Kooli väravale oli kleebitud töökuulutuse teade.
启示	õppetund	See ebaõnnestumine andis meile olulise õppetunni.
岂有此理	täiesti mõistusevastane	Selline tasu on täiesti mõistusevastane.
起草	koostama	Advokaat koostab parajasti lepingut.
起初	alguses	Alguses ei uskunud ta seda uudist.
起伏	tõusud ja langused	Mägitee kulgeb koos maastiku tõusude ja langustega.
起哄	lärmi tegema	Õpilased ei tohiks tunnis lärmi teha.
起码	vähemalt	Sa peaksid mind vähemalt ette teavitama.
起源	pärinema	See püha pärineb antiikajast.
器材	varustus	Labor vajab uut õppevarustust.
器官	elund	Süda on inimese keha tähtis elund.
气概	vaim	See luuletus väljendab kangelaslikku vaimu.
气功	qigong	Vanaisa harjutab igal hommikul qigongi.
气魄	suurejoonelisus	Sellel sillal on palju suurejoonelisust.
气色	jume	Pärast puhkust oli tema jume palju parem.
气势	hoog	Meeskond alustas mängu väga tugeva hooga.
气味	lõhn	Köögis oli röstitud leiva lõhn.
气象	ilmastik	Siinne kõrgmäestiku ilmastik muutub väga kiiresti.
气压	õhurõhk	Õhurõhu langus võib vihma tuua.
气质	olek	Tal on rahulik olek.
迄今为止	seni	Seni on katse kulgenud sujuvalt.
掐	noppima	Ta noppis ühe väikese lille.
恰当	sobiv	Sinu vastus oli väga sobiv.
恰到好处	täpselt paras	Selle roa magusus oli täpselt paras.
恰巧	juhtumisi	Jõudsin jaama just siis, kui juhtumisi hakkas vihma sadama.
洽谈	läbirääkimisi pidama	Mõlemad pooled peavad koostöö üksikasjade üle läbirääkimisi.
千方百计	kõiki võimalusi kasutama	Nad kasutasid kõiki võimalusi lahenduse leidmiseks.
牵	käest hoidma	Ema hoidis lapsel käest kinni ja viis ta üle tee.
牵扯	puudutama	See asi puudutab paljusid osakondi.
牵制	takistama	Vastase kaitse takistas rünnakut.
签署	allkirjastama	Kaks ettevõtet allkirjastasid lepingu.
谦逊	alandlik	Ta jäi ka pärast edu alandlikuks.
迁就	järele andma	Vanemad ei saa lastele alati järele anda.
迁徙	rändama	Rändlinnud rändavad igal aastal vastavalt aastaajale.
前景	väljavaade	Selle valdkonna väljavaade on väga hea.
前提	eeldus	Usaldus on koostöö eeldus.
潜力	potentsiaal	Sellel õpilasel on suur potentsiaal.
潜水	sukeldumine	Nad läksid mere äärde sukeldumist õppima.
潜移默化	märkamatult mõjutama	Kodune keskkond mõjutab last märkamatult.
谴责	hukka mõistma	Rahvusvaheline kogukond mõistis vägivalla hukka.
抢劫	rööv	Politsei tabas pangaröövi kahtlusaluse.
强制	kohustuslik	Uus määrus teeb turvavöö kinnitamise juhtidele kohustuslikuks.
强迫	sundima	Ära sunni last tegema asju, mis talle ei meeldi.
抢救	päästma	Arstid päästavad parajasti vigastatud töölist.
桥梁	sild	Keel on kultuurivahetuse sild.
窍门	nipp	Häälduse õppimisel on mõned nipid.
翘	tõstma	Ta tõstis ühe jala toolile.
切实	tegelik	Me vajame tegelikult teostatavat plaani.
锲而不舍	visalt	Ta uuris seda probleemi visalt.
亲密	lähedane	Nad on kogu aeg hoidnud lähedast suhet.
亲热	südamlik	Vana inimene tervitas külalisi südamlikult.
侵犯	rikkuma	Selline käitumine rikub isiku privaatsust.
侵略	agressioon	Rahvas on igasuguse agressiooni vastu.
钦佩	imetlema	Ma imetlen väga tema julgust.
勤俭	säästlik	Vanaema pidas kogu elu kodu säästlikult.
勤劳	töökas	Töökas inimene suudab alati võimalusi luua.
倾听	kuulama	Õpetaja kuulas õpilaste arvamusi tähelepanelikult.
倾向	kalduma	Noored tarbijad kalduvad veebis ostlema.
倾斜	viltu vajuma	Pärast paduvihma hakkas sein viltu vajuma.
清澈	selge	Mägioja vesi on väga selge.
清晨	varahommik	Varahommikune õhk on eriti värske.
清除	eemaldama	Töölised eemaldasid teelt lume.
清洁	puhas	Haigla peab hoidma keskkonna puhtana.
清理	korrastama	Nädalavahetusel korrastasime lao.
清晰	selge	See foto on väga selge.
清醒	erk	Pärast kohvi joomist oli ta palju erksam.
清真	halal	Läheduses on üks halal-restoran.
情报	teave	Ajakirjanik sai olulist teavet.
情节	süžee	Romaani süžee on väga pingeline.
情理	mõistlikkus	Tema nõudmine ei ole mõistlik.
情形	olukord	Kohapealne olukord oli kujutletust keerulisem.
晴朗	selge	Tänane taevas on erakordselt selge.
请柬	kutse	Nad saatsid sugulastele ja sõpradele pulmakutsed.
请教	nõu küsima	Tahaksin teilt ühe küsimuse kohta nõu küsida.
请示	luba küsima	Selle asja jaoks tuleb kõigepealt juhilt luba küsida.
请帖	kutse	Laual oli üks sünnipäevakutse.
丘陵	küngastik	Selles piirkonnas on palju küngastikku.
区分	eristama	Laps oskab juba vasakut ja paremat eristada.
区域	piirkond	Selles piirkonnas on parkimine keelatud.
屈服	alistuma	Ta ei alistunud survele.
曲折	keeruline	Nad läbisid keerulised läbirääkimised.
驱逐	välja ajama	Politsei ajas korrarikkujad välja.
渠道	kanal	Ettevõte müüb tooteid uue kanali kaudu.
取缔	keelustama	Valitsus keelustas ebaseadusliku turu.
曲子	viis	Selle viisi meloodia on väga kaunis.
趣味	huvitavus	See mäng pakub palju huvitavust.
圈套	lõks	Ta oleks peaaegu petturi lõksu langenud.
全局	tervikpilt	Juht peab arvestama tervikpildi huvidega.
全力以赴	kõigest väest	Me anname ülesande täitmiseks endast kõik.
拳头	rusikas	Ta surus rusika kokku ja valmistus võistluseks.
权衡	kaaluma	Peame kaaluma kulusid ja mõju.
权威	autoriteet	See professor on selle valdkonna autoriteet.
犬	koer	See koeratõug sobib kodu valvama.
缺口	auk	Seinas on väike auk.
缺席	puuduma	Ta puudus haiguse tõttu koosolekult.
缺陷	puudus	Selles disainis on selge puudus.
瘸	lonkama	Tema vasak jalg lonkab veidi.
确保	tagama	Palun taga, et uks oleks lukus.
确立	kehtestama	Ettevõte kehtestas uued arengueesmärgid.
确切	täpne	Ma ei tea täpset aega.
确信	kindel olema	Olen kindel, et ta jõuab õigel ajal.
群众	rahvahulk	Rahvas toetab uut poliitikat väga.
染	värvima	Ta värvis juuksed mustaks.
嚷	karjuma	Ära karju koridoris valjusti.
让步	järeleandmine	Mõlemad pooled tegid mõned järeleandmised.
饶恕	andeks andma	Lõpuks otsustas ta teisele poolele andeks anda.
扰乱	häirima	Müra häiris tunni korda.
惹祸	pahandust tekitama	Hooletu naljatamine võib kergesti pahandust tekitada.
热泪盈眶	silmad pisaraid täis	Head uudist kuuldes olid tal silmad pisaraid täis.
热门	populaarne	Tehisintellekt on populaarne teema.
人道	humaansus	Abioperatsioon väljendas humaansust.
人格	isiksus	Teiste solvamine kahjustab inimese väärikust.
人工	tehislik	See jõgi on tehislikult kaevatud.
人家	teised	Ära võrdle end kogu aeg teistega.
人间	inimmaailm	Kevad täidab inimmaailma elujõuga.
人士	inimene	Arutelul osalesid inimesed kõigist ringkondadest.
人为	inimtekkeline	See õnnetus oli põhjustatud inimtekkelistest põhjustest.
人性	inimloomus	See film arutleb inimloomuse üle.
人质	pantvang	Politsei vabastas pantvangi edukalt.
仁慈	heatahtlik	See arst on patsientide vastu väga heatahtlik.
忍耐	kannatlikkus	Pikas järjekorras seismine vajab veidi kannatlikkust.
忍受	taluma	Ma ei suuda siinset müra taluda.
任命	ametisse nimetama	Juhatus nimetas ta juhatajaks.
任性	jonnakas	Liiga jonnakas laps võib arengus raskusi kogeda.
任意	suvaliselt	Palun ära muuda andmeid suvaliselt.
任重道远	tee on pikk ja vastutus raske	Haridusreformi tee on pikk ja vastutus raske.
认定	tuvastama	Politsei tuvastas, et tegemist oli õnnetusega.
认可	tunnustus	Tema plaan sai kõigi tunnustuse.
仍旧	endiselt	Paljude aastate pärast elab ta endiselt siin.
日新月异	kiiresti muutuma	Tehnoloogia areneb ja muutub kiiresti.
日益	üha	Keskkonnaprobleemid muutuvad üha tõsisemaks.
容貌	välimus	Aastad muutsid tema välimust.
容纳	mahutama	See saal mahutab viissada inimest.
容器	anum	Palun vala vedelik klaasanumasse.
容忍	sallima	Ettevõte ei saa pettust sallida.
溶解	lahustuma	Sool lahustub vees.
荣幸	au	Mul on au koosolekul osaleda.
荣誉	au	See medal tähistab kõrgeimat au.
融化	sulama	Päikesevalgus pani lume ja jää aeglaselt sulama.
融洽	harmooniline	Kolleegide suhted on väga harmoonilised.
揉	mudima	Ema mudis mu õlgu õrnalt.
柔和	mahe	Valgus on mahe ega pimesta.
儒家	konfutsianism	Konfutsianism mõjutas Ida-Aasia kultuuri.
弱点	nõrkus	Hooletus on tema peamine nõrkus.
若干	mitu	Koosolekul esitati mitu ettepanekut.
撒谎	valetama	Laps ei tohiks valetada.
散文	essee	Talle meeldib lugeda kaasaegseid esseesid.
散布	levitama	Internetis levitas keegi kuulujutte.
散发	levitama	Aias levis õrn lõhn.
丧失	kaotama	Ta ei kaotanud enesekindlust.
骚扰	ahistama	Palun ära ahista teisi reisijaid.
嫂子	vennanaine	Vennanaise tehtud toit on väga maitsev.
刹车	pidurdama	Juht pidurdas äkki.
啥	mis	Mida sa just ütlesid?
筛选	sõeluma	Süsteem sõelub CV-d automaatselt.
山脉	mäestik	See mäestik on väga pikk.
闪烁	vilkuma	Kauged tuled vilkusid pidevalt.
擅长	osav olema	Ta on osav keeruliste probleemide lahendamisel.
擅自	omavoliliselt	Töötajad ei tohi omavoliliselt töökohalt lahkuda.
伤脑筋	peavalu valmistama	See probleem valmistab tõesti peavalu.
商标	kaubamärk	Ettevõte registreeris uue kaubamärgi.
上级	ülemus	Ta teatas olukorrast ülemusele.
上进	edasipüüdlik	Ta on alati olnud väga edasipüüdlik.
上任	ametisse astuma	Uus juht astub ametisse järgmisel nädalal.
上瘾	sõltuvusse jääma	Paljud inimesed jäävad lühivideotest sõltuvusse.
上游	ülemjooks	Reostus pärineb jõe ülemjooksult.
尚且	isegi	Täiskasvanudki teevad vigu.
捎	edasi andma	Palun anna mulle sõnum edasi.
梢	latv	Lind istus puu ladvas.
哨	valvur	Värava juures oli üks vahisõdur.
奢侈	luksuslik	Selline tarbimine on liiga luksuslik.
舌头	keel	Ta kõrvetas keele ära.
摄氏度	Celsiuse kraad	Täna on temperatuur kolmkümmend Celsiuse kraadi.
涉及	puudutama	Aruanne puudutab mitut osakonda.
社区	kogukond	Kogukond korraldas terviseloengu.
设立	asutama	Kool lõi stipendiumi.
设想	idee	Seda ideed tuleb veel arutada.
设置	seadistama	Palun seadista parool uuesti.
呻吟	oigama	Patsient oigas vaikselt.
深奥	sügavamõtteline	Selle raamatu sisu on väga sügavamõtteline.
深沉	sügav	Tema hääl oli madal ja sügav.
深情厚谊	sügav sõprus	Kahe riigi rahvad sõlmisid sügava sõpruse.
申报	deklareerima	Reisijad peavad esemed ausalt deklareerima.
绅士	džentelmen	Ta käitub nagu džentelmen.
神经	närv	Stress võib mõjutada närvisüsteemi.
神奇	imepärane	Siinne maastik on väga imepärane.
神气	uhke	Ta näeb täna eriti uhke välja.
神圣	püha	See on püha kohustus.
神态	ilme	Tema ilme oli väga rahulik.
神仙	surematu	Legendi järgi elavad mägedes surematud.
审查	läbi vaatama	Platvorm vaatab avaldatavat sisu läbi.
审理	menetlema	Kohus menetleb seda juhtumit.
审美	esteetiline maitse	Tema esteetiline maitse on väga omanäoline.
审判	kohtuprotsess	Avalik kohtuprotsess äratas meedia tähelepanu.
慎重	ettevaatlik	Seda otsust tuleb teha ettevaatlikult.
渗透	imbuma	Vihmavesi imbub aeglaselt mulda.
声明	avaldus	Ettevõte tegi ametliku avalduse.
声势	hoog	Selle kampaania hoog oli väga suur.
声誉	maine	Toote kvaliteet mõjutab kaubamärgi mainet.
牲畜	kariloomad	Karjused ajasid kariloomad tagasi karjamaale.
生存	ellujäämine	Metsloomad vajavad ellujäämiseks ruumi.
生机	elujõud	Kevadvihm täitis maa elujõuga.
生理	füsioloogiline	Uni mõjutab inimese füsioloogilist seisundit.
生疏	rooste läinud	Pärast aastaid harjutamata oli tema klaverimäng veidi rooste läinud.
生态	ökoloogia	Metsa kaitsmine on seotud ökoloogilise tasakaaluga.
生物	elusolend	Meres on palju kummalisi elusolendeid.
生效	jõustuma	Uus määrus jõustub ametlikult homme.
生肖	Hiina sodiaagimärk	Mis on sinu Hiina sodiaagimärk?
生锈	roostetama	Jalgratta kett on juba roostetanud.
生育	sünnitus	Haigla pakub sünnitusalast nõustamist.
省会	provintsi pealinn	Chengdu on juba ammustest aegadest Sichuani provintsi pealinn.
盛产	rikkalikult tootma	Siin toodetakse rikkalikult kvaliteetset teed.
盛开	õitsema	Pargis õitsevad kirsipuud.
盛情	südamlikkus	Täname võõrustajat südamliku vastuvõtu eest.
盛行	levinud olema	See stiil oli kunagi väga levinud.
胜负	võit või kaotus	Mängu viimased minutid otsustasid võidu või kaotuse.
失事	õnnetusse sattuma	Lennukiõnnetuse põhjust uuritakse endiselt.
失误	viga	Üks väike viga lükkas projekti edasi.
失踪	kaduma	Politsei otsib kadunud last.
尸体	surnukeha	Päästemeeskond leidis hukkunu surnukeha.
师范	õpetajakoolitus	Ta lõpetas õpetajakoolituse ülikooli.
施加	avaldama	Vanemad ei tohiks avaldada liiga suurt survet.
施展	rakendama	Lõpuks sai ta võimaluse oma annet rakendada.
十足	täielik	Ta oli tulemuses täiesti kindel.
实惠	soodne	Selle poe hinnad on väga soodsad.
实力	tugevus	Meeskonna üldine tugevus on suur.
实施	ellu viima	Valitsus hakkas uut plaani ellu viima.
实事求是	faktidest lähtuma	Uurimistöös tuleb faktidest lähtuda.
实行	rakendama	Ettevõte rakendab paindlikku töökorraldust.
实质	olemus	Probleemi olemus ei ole muutunud.
拾	üles korjama	Ta kummardus ja korjas maast võtme üles.
时常	sageli	Vanaisa räägib sageli oma nooruse lugusid.
时而	vahel	Ilm on vahel päikeseline, vahel pilvine.
时光	aeg	Ilus aeg on alati lühike.
时机	ajastus	Praegu ei ole läbirääkimisteks hea ajastus.
时事	päevasündmused	Õpilased arutavad igal nädalal rahvusvahelisi päevasündmusi.
石油	nafta	Nafta hind tõusis taas.
识别	tuvastama	Süsteem suudab eri nägusid tuvastada.
使命	missioon	Keskkonna kaitsmine on ühine missioon.
世代	põlvkondade kaupa	See käsitööoskus on peres põlvkondade kaupa edasi antud.
事故	õnnetus	Selles õnnetuses inimohvreid ei olnud.
事迹	tegu	Tema kangelasteod levisid laialt.
事件	sündmus	See sündmus äratas ühiskonnas tähelepanu.
事态	olukord	Valitsus kontrollib olukorra arengut.
事务	asjaajamine	Ta vastutab ettevõtte igapäevase asjaajamise eest.
事项	punkt	Palun kinnita lepingu olulised punktid.
事业	elutöö	Ta peab haridust oma elutööks.
势必	paratamatult	Kulude kasv mõjutab paratamatult hindu.
势力	mõjujõud	Kohalik ärieliit on väga mõjukas.
是非	tüli	Ta ei taha kontoritülidesse sattuda.
示范	eeskuju	Õpetaja tegi kõigepealt näidise ette.
示威	meeleavaldus	Linnakeskuses toimus rahumeelne meeleavaldus.
示意	märku andma	Juht andis kõigile märku vaikida.
视力	nägemine	Pikaajaline ekraani vaatamine mõjutab nägemist.
视频	video	Palun saada video mulle.
视线	vaateväli	Paks udu varjas juhi vaatevälja.
视野	silmaring	Reisimine võib silmaringi avardada.
试图	püüdma	Ta püüdis oma otsust selgitada.
试验	katse	Teadlased tegid mitu katset.
适宜	sobiv	Siinne kliima sobib elamiseks.
逝世	surema	See kirjanik suri eelmisel aastal.
释放	vabastama	Kohus otsustas süüdistatava vabastada.
收藏	koguma	Ta kogus palju vanu postmarke.
收缩	kokku tõmbuma	Külm õhk paneb metalli kokku tõmbuma.
收益	tulu	Investeeringu tulu oli oodatust suurem.
收音机	raadio	Vanaema kuulab iga päev raadiot.
守护	kaitsma	Arstid kaitsevad patsientide elu.
手法	võte	Režissööri filmimisvõte on väga omanäoline.
手势	žest	Ta näitas nõusolekut žestiga.
手艺	oskus	Selle meistri oskus on väga hea.
首饰	ehe	Ta kandis lihtsaid hõbeehteid.
首要	esmatähtis	Ohutus on esmatähtis ülesanne.
受罪	kannatama	Patsient kannatas pärast operatsiooni palju.
授予	omistama	Kool omistas talle aukraadi.
书法	kalligraafia	Ta harjutab kalligraafiat lapsest peale.
书记	sekretär	Külasekretär juhatas koosolekut.
书籍	raamatud	Raamatukogus on suur raamatute kogu.
书面	kirjalik	Palun esita kirjalik tõend.
疏忽	hooletus	See viga tulenes tööalasest hooletusest.
疏远	võõranduma	Arusaamatus muutis kaks inimest järk-järgult võõramaks.
舒畅	kerge	Pärast jalutuskäiku oli meel kerge.
数额	summa	Hüvitise summa ei ole veel kindlaks määratud.
束	kimp	Ta ostis kimbu lilli.
束缚	piirama	Traditsioonilised arusaamad piirasid tema valikuid.
树立	kujundama	Ettevõte peab kujundama hea maine.
竖	püsti panema	Palun pane silt püsti.
耍	mängima	Ära tööajal telefoniga mängi.
衰老	vananemine	Liikumine võib vananemist aeglustada.
衰退	langus	Majanduslangus mõjutas tööhõivet.
率领	juhtima	Kapten juhtis meeskonda edasi.
涮火锅	hot pot'i sööma	Talvel meeldib kõigile hot pot'i süüa.
双胞胎	kaksikud	Nad on kaksikud.
爽快	otsekohene	Ta vastas väga otsekoheselt.
水利	vee-ehitus	See piirkond pöörab vee-ehitusele suurt tähelepanu.
水龙头	veekraan	Köögi veekraan lekib.
水泥	tsement	Töölised viisid tsemendi ehitusplatsile.
瞬间	hetk	Tuled kustusid ühe hetkega.
司法	kohtusüsteem	Kohtusüsteemi sõltumatus vajab institutsioonilist tagatist.
司令	ülem	Ülem andis taganemiskäsu.
思念	igatsema	Ta igatseb sageli kodukanti.
思索	mõtisklema	Ta langetas pea ja mõtiskles kaua.
思维	mõtlemine	See treening parandab loogilist mõtlemist.
斯文	viisakas	Ta räägib väga viisakalt.
私自	omavoliliselt	Õpilased ei tohi omavoliliselt koolist lahkuda.
死亡	surm	Õnnetus põhjustas mitme inimese surma.
四肢	jäsemed	Enne sportimist tuleb jäsemeid liigutada.
寺庙	tempel	Mäel on vana tempel.
肆无忌惮	jultunult	Ta rikkus reegleid jultunult.
饲养	kasvatama	Farmis kasvatatakse palju piimalehmi.
耸	kehitama	Ta ainult kehitas pärast kuulamist õlgu.
艘	laevade loendussõna	Sadamas seisis kolm kaubalaeva.
苏醒	teadvusele tulema	Patsient tuli lõpuks teadvusele.
俗话	vanasõna	Vanasõna ütleb, et harjutamine teeb meistriks.
塑造	kujundama	Keskkond kujundab inimese iseloomu.
素食	taimetoit	See restoran pakub taimetoitu.
素质	tase	Teenindajate tase on väga kõrge.
诉讼	kohtuvaidlus	Mõlemad pooled otsustasid lahendada asja kohtuvaidluse kaudu.
算数	kehtima	Sinu öeldud sõnad peavad kehtima.
随即	seejärel	Koosoleku lõppedes lahkus ta seejärel.
随意	suvaliselt	Palun ära muuda seadeid suvaliselt.
岁月	aastad	Aastad muutsid tema välimust.
隧道	tunnel	Rong sõitis läbi pika tunneli.
损坏	kahjustama	Paduvihm kahjustas teid.
索取	küsima	Klient võib tasuta näidiseid küsida.
索性	parem juba	Vihm oli liiga tugev, seega jäime parem juba koju.
塌	sisse varisema	Vana maja katus varises sisse.
踏实	rahulik	Pärast ülesande täitmist oli mul süda rahulik.
塔	torn	Linna keskuses on kõrge torn.
台风	taifuun	Taifuun peaks homme maabuma.
太空	kosmos	Inimkond uurib alati kosmost.
泰斗	suur autoriteet	Ta on keeleteaduse suur autoriteet.
摊	lett	Ta pani turule puuviljaleti.
瘫痪	halvatus	Liiklusõnnetus põhjustas tal alakeha halvatuse.
贪婪	ahnus	Ahnus võib inimese hävitada.
贪污	korruptsioon	Ametnikku uuriti korruptsiooni tõttu.
弹性	elastsus	Sellel materjalil on hea elastsus.
坦白	üles tunnistama	Lõpuks tunnistas ta tõe üles.
叹气	ohkama	Tulemust kuuldes ei suutnud ta ohkamist tagasi hoida.
探测	tuvastama	Seade suudab põhjavett tuvastada.
探索	uurima	Teadlased jätkavad universumi uurimist.
探讨	arutama	Eksperdid arutasid reformikava.
探望	külastama	Nädalavahetusel lähen haiglasse sõpra külastama.
倘若	kui	Kui sajab vihma, lükatakse üritus edasi.
掏	välja võtma	Ta võttis taskust võtme välja.
滔滔不绝	lõputult rääkima	Kui ta ajaloost räägib, räägib ta lõputult.
淘汰	välja langema	See meeskond langes varakult välja.
陶瓷	keraamika	Jingdezhen on tuntud keraamika poolest.
陶醉	vaimustuses olema	Publik oli muusikast vaimustuses.
讨好	meeldida püüdma	Ta ei taha ülemusele meelega meeldida püüda.
特长	tugev külg	Joonistamine on tema tugev külg.
特定	kindel	Palun esita taotlus kindla aja jooksul.
特意	spetsiaalselt	Tulin spetsiaalselt sind tänama.
提拔	edutama	Ettevõte edutas ta osakonnajuhiks.
提炼	eraldama	Tehas eraldab maagist metalli.
提示	vihje	Süsteem annab vihje parooli sisestamiseks.
提议	ettepanek tegema	Ta tegi ettepaneku homme arutelu jätkata.
题材	teema	Selle filmi teema on uudne.
体裁	žanr	Romaan ja luule on erinevad žanrid.
体积	maht	Selle kasti maht on suur.
体谅	mõistma	Palun mõista tema raskusi.
体面	väärikas	Ta tahab leida väärika töö.
体系	süsteem	Ettevõte lõi täieliku koolitussüsteemi.
天才	geenius	Seda last peetakse muusikageeniuseks.
天赋	anne	Tal on keelte õppimiseks anne.
天伦之乐	pereõnn	Vana inimene naudib pereõnne.
天然气	maagaas	Linnaelanikud kasutavad toidu valmistamiseks maagaasi.
天生	sünnipäraselt	Ta on sünnipäraselt väga optimistlik.
天堂	paradiis	See koht on nagu paradiis maa peal.
天文	astronoomia	Talle meeldib lapsepõlvest saati astronoomia.
田径	kergejõustik	Kool korraldas kergejõustikuvõistluse.
田野	põld	Kevadine põld on üleni roheline.
舔	lakkuma	Väike koer lakkus omaniku kätt.
挑剔	pirtsakas	Ta on toidu suhtes väga pirtsakas.
条款	klausel	Lepingu klausleid tuleb hoolikalt lugeda.
条理	loogiline kord	Tema kõnes oli selge loogiline kord.
条约	leping	Kaks riiki allkirjastasid rahulepingu.
调和	harmooniline	Need kaks värvi on väga harmoonilised.
调剂	vaheldust pakkuma	Sport võib pingelisele elule vaheldust pakkuda.
调节	reguleerima	Konditsioneer saab sisetemperatuuri reguleerida.
调解	vahendama	Kogukonna töötajad aitasid poolte vaidlust vahendada.
调料	maitseaine	Suppi tuleb lisada veidi maitseainet.
挑拨	õhutama	Ära õhuta kolleegide vahelisi suhteid.
挑衅	provokatsioon	Selline kõne sisaldas selget provokatsiooni.
跳跃	hüppama	Sportlane hüppas kolm korda järjest.
亭子	paviljon	Järve ääres on väike paviljon.
停泊	ankrus olema	Kalapaat oli lahes ankrus.
停顿	paus	Ta tegi kõne keskel pausi.
停滞	seiskuma	Projekt seiskus rahapuuduse tõttu.
挺拔	sirge	Mänd kasvas kõrgeks ja sirgeks.
通货膨胀	inflatsioon	Inflatsioon tõstis elukulusid.
通缉	taga otsima	Politsei otsib seda kahtlusalust taga.
通俗	lihtne	Selle raamatu keel on väga lihtne.
通讯	side	Kaasaegne sidetehnoloogia areneb kiiresti.
通用	universaalne	See laadija on üsna universaalne.
同胞	kaasmaalane	Ka välismaal elavad kaasmaalased jälgivad kodukoha arengut.
同志	seltsimees	Vana seltsimees jagas töökogemust.
童话	muinasjutt	Lapsele meeldib enne und muinasjutte kuulata.
铜	vask	See skulptuur on tehtud vasest.
统筹兼顾	terviklikult arvestama	Linnaplaneerimisel tuleb eri poolte huve terviklikult arvestada.
统计	kokku lugema	Peame registreerunute arvu kokku lugema.
统统	kõik	Need vanad dokumendid tuleb kõik arhiveerida.
统治	valitsema	See dünastia valitses kolmsada aastat.
投机	spekulatsioon	Ta teenis spekulatsiooniga raha.
投票	hääletama	Elanikud osalevad homme hääletusel.
投诉	kaebus	Klient esitas platvormile müüja kohta kaebuse.
投降	alistuma	Vaenlase vägi otsustas lõpuks alistuda.
投掷	viskama	Sportlane harjutab oda viskamist.
透露	avaldama	Ta ei avaldanud koosoleku üksikasju.
秃	kiilas	Ta jäi juba noorena kiilaks.
突破	läbimurre	Uurimistöös saavutati suur läbimurre.
图案	muster	Selle kanga muster on väga ilus.
徒弟	õpipoiss	Meister õpetab õpipoisile kellaparandust.
涂抹	määrima	Palun määri salvi haava ümber.
途径	viis	Internet on oluline viis teabe saamiseks.
土壤	muld	Viljakas muld sobib köögiviljade kasvatamiseks.
团结	ühtne	Meeskond peab ühtselt koostööd tegema.
团体	ühendus	See ühendus korraldab regulaarselt üritusi.
团圆	taaskohtumine	Kevadpüha on pere taaskohtumise päev.
推测	oletama	Eksperdid oletavad, et hind tõuseb veel.
推翻	kukutama	Rahvas kukutas vana süsteemi.
推理	järeldamine	See romaan on täis detektiivseid järeldusi.
推论	järeldus	See järeldus vajab veel tõendeid.
推销	turustama	Ta vastutab uue toote turustamise eest.
吞吞吐吐	kõhklevalt rääkima	Ta vastas küsimusele kõhklevalt.
托运	pagasisse andma	Reisijad saavad leti juures pagasi ära anda.
拖延	edasi lükkama	Ära lükka maksetähtaega enam edasi.
脱离	irduma	Teooria ei tohi tegelikkusest irduda.
妥当	sobiv	See korraldus on väga sobiv.
妥善	korralikult	Palun hoia olulisi dokumente korralikult.
妥协	kompromiss	Mõlemad pooled jõudsid lõpuks kompromissini.
椭圆	ellips	Maa orbiit on ellipsi lähedane.
唾弃	põlastama	Ühiskond põlastab sellist pettust.
哇	vau	Vau, see sild on tõesti suurejooneline!
挖掘	välja kaevama	Arheoloogiarühm kaevab vana hauda välja.
娃娃	nukk	Väike tüdruk hoidis nukku süles.
瓦解	lagunema	Sisemised vastuolud panid liidu lagunema.
歪曲	moonutama	Aruanne ei tohiks fakte moonutada.
外表	välimus	Ära hinda inimest ainult välimuse järgi.
外行	võhik	Õiguse alal olen täiesti võhik.
外界	välismaailm	Ettevõte vastab väliskriitikale harva.
外向	ekstravertne	Ta on ekstravertne ja tal on palju sõpru.
丸	pill	Arst kirjutas talle mitu pilli.
完备	täielik	See materjalikogu on väga täielik.
完毕	lõppenud	Koosolek on juba lõppenud.
玩弄	mängima	Ära mängi teiste tunnetega.
玩意儿	asi	Mis uus asi see on?
顽固	jäik	Tema hoiak on väga jäik.
顽强	vapper	Haavatu käitus väga vapralt.
惋惜	kahetsema	Kõik kahetsesid ebaõnnestumist.
挽回	tagasi võitma	Ta püüdis ettevõtte kahju tagasi võita.
挽救	päästma	Arst päästis edukalt patsiendi elu.
万分	äärmiselt	Olen sinu abi eest äärmiselt tänulik.
往常	tavaliselt	Täna on kuumem kui tavaliselt.
往事	minevik	Vana inimene meenutab sageli minevikku.
妄想	luul	Tal oli luul, et saab üleöö rikkaks.
危机	kriis	Ettevõte seisab silmitsi tõsise kriisiga.
威风	mõjukas	Kindral nägi hobuse seljas väga mõjukas välja.
威力	jõud	Selle relva jõud on väga suur.
威望	autoriteet	Tal on külas suur autoriteet.
威信	usaldusväärsus	Juht peab hoidma valitsuse usaldusväärsust.
微不足道	tühine	See väike kahju on tühine.
