simplified	UZ	example_UZ
联欢	bayramona uchrashuv o'tkazmoq	Sinfdoshlar Yangi yil bayramona uchrashuvini o'tkazdi.
联络	aloqa qilmoq	Iltimos, mijoz bilan imkon qadar tez aloqa qiling.
联盟	ittifoq	Bir necha davlat savdo ittifoqi tuzdi.
联想	xayolga keltirmoq	Bu surat menga bolalikni xayolga keltirdi.
连年	ketma-ket yillar	Bu hudud ketma-ket yillar suv toshqinidan zarar ko'rdi.
连锁	tarmoq	Bu kompaniya tarmoq supermarketlarini boshqaradi.
连同	bilan birga	Iltimos, hisob-fakturani shartnoma bilan birga yuboring.
良心	vijdon	Inson vijdoniga qarshi bormay yashashi kerak.
晾	quritmoq	U kiyimlarni balkonga quritishga osdi.
谅解	tushunish	Umid qilamanki, qiyinchiliklarimizni tushunasiz.
辽阔	keng bepoyon	Dasht keng bepoyon, ko'z ilg'amas darajada cho'zilgan.
列举	sanab o'tmoq	O'qituvchi uchta misolni sanab o'tdi.
临床	klinik	Bu dori klinik sinovdan o'tmoqda.
淋	ivimoq	Yomg'irda juda uzoq ivib qolmang.
吝啬	xasis	U do'stlariga hech qachon xasislik qilmaydi.
伶俐	ziyrak	Bu kichkina qiz aqlli va ziyrak.
凌晨	tong sahar	Samolyot tong sahar uchda uchadi.
灵感	ilhom	Musiqa unga ijodiy ilhom berdi.
灵魂	ruh	Erkinlik bu asarning ruhidir.
灵敏	sezgir	Bu asbob juda sezgir javob beradi.
零星	tarqoq	Tungi osmonda tarqoq chiroqlar bor edi.
领会	anglamoq	U o'qituvchining ma'nosini tez angladi.
领事馆	konsullik	U viza rasmiylashtirish uchun konsullikka bordi.
领土	hudud	Har bir davlat hududiy yaxlitlikni qadrlaydi.
领悟	tushunib yetmoq	Muvaffaqiyatsizlikdan keyin u mas'uliyatni tushunib yetdi.
领先	oldinda bo'lmoq	Ularning texnologiyasi hozir tengdoshlaridan oldinda.
领袖	yetakchi	Bu yetakchini xalq chuqur hurmat qiladi.
溜	sirg'alib chiqmoq	Kuchuk eshik tirqishidan sirg'alib chiqib ketdi.
流浪	sargardon yurmoq	U yoshligida turli joylarda sargardon yurgan.
流露	namoyon bo'lmoq	Uning yuzida quvonch namoyon bo'ldi.
流氓	bezori	Politsiya bir necha ko'cha bezorilarini ushladi.
流通	muomalada bo'lmoq	Bu pul birligi bir vaqtlar mahalliy joyda muomalada bo'lgan.
留恋	ketgisi kelmaslik	Bitiruv paytida hamma kampusdan ketgisi kelmadi.
留念	esdalik uchun saqlamoq	Biz maktab darvozasi oldida esdalik uchun suratga tushdik.
留神	ehtiyot bo'lmoq	Yo'lni kesib o'tayotganda albatta ehtiyot bo'ling.
聋哑	kar-soqov	Maktab kar-soqov bolalarga yordam beradi.
隆重	tantanali	Anjuman zalda tantanali tarzda o'tkazildi.
垄断	monopoliya qilmoq	Monopoliya bozor raqobatiga zarar yetkazishi mumkin.
笼罩	qoplamoq	Qalin tuman butun qishloqni qopladi.
搂	quchoqlamoq	Ona bolani ohista quchoqladi.
炉灶	plita	Oshxonadagi plitani tozalash kerak.
轮船	kema	Kema portdan sekin uzoqlashdi.
轮廓	kontur	Uzoqdagi tog' cho'qqilarining konturi juda aniq.
轮胎	shina	Avtomobil shinalarini almashtirish kerak.
论坛	anjuman	Mutaxassislar anjumanda nutq so'zladi.
论证	dalillamoq	Hisobot fikrni yanada dalillashi kerak.
啰唆	ezmalanmoq	Ezmalanmang, to'g'ridan-to'g'ri asosiy gapni ayting.
络绎不绝	uzluksiz kelmoq	Sayyohlar qadimiy shaharga uzluksiz kelishdi.
落成	qurib bitkazilmoq	Yangi sport zali ertaga rasman qurib bitkaziladi.
落实	amalga oshirmoq	Yig'ilish yangi siyosatni tezroq amalga oshirishni talab qildi.
屡次	qayta-qayta	U hammaga xavfsizlikka e'tibor berishni qayta-qayta eslatdi.
履行	bajarmoq	Ikki tomon ham shartnoma majburiyatlarini bajarishi kerak.
掠夺	talon-toroj qilmoq	Urush resurslarning talon-toroj qilinishiga olib keldi.
嘛	ku, axir	Bu ish juda oddiy-ku.
麻痹	beparvo qilmoq	Uzoq davom etgan qulaylik odamni oson beparvo qiladi.
麻木	uvishgan	Sovuqdan uning barmoqlari uvishib qoldi.
麻醉	og'riqsizlantirmoq	Operatsiyadan oldin shifokor bemorni og'riqsizlantirdi.
码头	pristan	Yuk kemasi pristan yonida to'xtadi.
蚂蚁	chumoli	Chumolilar ovqat tashimoqda.
埋伏	pistirma	Askarlar vodiyda pistirmada yotdi.
埋没	ko'zdan pana qolmoq	Iqtidorli odamlar ko'zdan pana qolishiga yo'l qo'ymang.
埋葬	dafn qilmoq	Qishloq aholisi keksani adirga dafn qildi.
脉搏	tomir urishi	Hamshira uning tomir urishini o'lchamoqda.
迈	qadam tashlamoq	U katta qadamlar bilan eshik tomon yurdi.
埋怨	nolimoq	Doim boshqalardan noliyvermang.
慢性	surunkali	Surunkali kasalliklar uzoq davolanishni talab qiladi.
漫长	uzoq	Ular uzoq kutishni boshdan kechirdi.
漫画	komiks	Bu komiks yoshlar orasida juda mashhur.
蔓延	tarqalmoq	Olov tezda o'rmon ichkarisiga tarqaldi.
忙碌	band	Yil oxiri kompaniya uchun eng band davr.
盲目	ko'r-ko'rona	Sarmoya kiritishda oqimga ko'r-ko'rona ergashmaslik kerak.
茫茫	cheksiz	Kema cheksiz dengiz ichida g'oyib bo'ldi.
茫然	hang-mang	Tushuntirishni eshitgach ham, u hang-mang qarab turdi.
冒充	o'zini boshqa qilib ko'rsatmoq	Kimdir o'zini politsiyachi qilib ko'rsatib, odamlarni aldadi.
冒犯	xafa qilmoq	Gaplarim sizni xafa qilish uchun aytilmagan edi.
茂盛	serbarg	Hovlidagi daraxtlar juda serbarg o'smoqda.
媒介	vosita	Internet axborotning muhim vositasidir.
枚	dona	U bir necha dona esdalik tangasini yig'di.
美观	chiroyli	Bu dizayn ham amaliy, ham chiroyli.
美满	baxtli	Ular baxtli hayot kechirmoqda.
美妙	ajoyib	Konsert ajoyib tajriba berdi.
萌芽	kurtak otmoq	Yangi fikr kurtak ota boshladi.
猛烈	shiddatli	Bo'ron juda shiddatli keldi.
眯	ko'zini qisib qaramoq	Quyosh juda kuchli edi, shuning uchun u ko'zini qisdi.
弥补	o'rnini qoplamoq	Kechirim zarar o'rnini to'liq qoplay olmaydi.
弥漫	tarqalmoq	Gul hidi hovliga tarqaldi.
谜语	topishmoq	Bolalar topishmoq topishni yaxshi ko'radi.
迷惑	chalg'itmoq	Murakkab ma'lumotlar uni chalg'itdi.
迷人	maftunkor	Dengiz bo'yidagi tungi manzara juda maftunkor.
迷信	xurofot	Ilmiy ta'lim xurofotni kamaytirishi mumkin.
密度	zichlik	Bu metallning zichligi yuqori.
密封	muhrlab yopmoq	Ochgandan keyin paketni qayta muhrlab yoping.
棉花	paxta	Dehqonlar paxta termoqda.
免得	shunday qilinki	Yana erta chiqing, shunday qilinki kechikmang.
免疫	immunitet	Bu vaksina immunitetni oshirishi mumkin.
勉励	ruhlantirmoq	O'qituvchi talabalarni o'qishni davom ettirishga tez-tez ruhlantiradi.
勉强	istamay	U bu kelishuvga istamay rozi bo'ldi.
面貌	qiyofa	Shahar qiyofasi katta o'zgarishga uchradi.
面子	obro'	U odamlar oldida obro'sini yo'qotishni istamadi.
描绘	tasvirlamoq	Roman qishloq hayotini tasvirlaydi.
瞄准	mo'ljalga olmoq	Otuvchi nishonni mo'ljalga oldi.
渺小	juda kichik	Inson tabiat oldida juda kichik ko'rinadi.
藐视	mensimaslik	Biz hech bir raqibni mensimasligimiz kerak.
灭亡	halokatga uchramoq	Bu sulola oxir-oqibat halokatga yuz tutdi.
蔑视	nafrat bilan mensimaslik	Uning ohangi nafrat bilan mensimaslikka to'la edi.
民间	xalqona	Xalqona san'atni himoya qilish kerak.
民主	demokratiya	Yig'ilishda demokratik ovoz berish usuli qo'llandi.
敏捷	chaqqon	Sportchining harakatlari juda chaqqon.
敏锐	o'tkir	Jurnalistlarga o'tkir kuzatuvchanlik kerak.
名次	o'rin	U musobaqada yaxshi o'rin oldi.
名额	kvota	Bu dasturda faqat o'nta joy bor.
名副其实	haqiqiy	U nomiga ham, ishiga ham mos haqiqiy mutaxassis.
名誉	obro'	Bu voqea kompaniyaning obro'siga zarar yetkazdi.
明明	aniq	U javobni aniq bilardi, lekin aytishni xohlamadi.
明智	oqilona	Qarorni kechiktirish oqilona tanlov edi.
命名	nom bermoq	Olimlar yangi turga nom berdi.
摸索	izlanmoq	Jamoa hali ham yangi usullarni izlamoqda.
摩擦	ishqalanish	Ikki davlat o'rtasida savdo ishqalanishi paydo bo'ldi.
模范	namuna	U butun maktab o'quvchilari uchun namuna.
模式	andoza	Bu biznes andozasi juda muvaffaqiyatli.
模型	maket	Muhandis ko'prik maketini yasadi.
磨合	moslashmoq	Yangi jamoaga bir-biriga moslashish uchun vaqt kerak.
膜	parda	Bu parda aralashmalarni filtrlashi mumkin.
魔鬼	shayton	Hikoyadagi shayton juda ayyor edi.
魔术	sehr	Bolalar sehr tomoshalarini ko'rishni yoqtiradi.
抹杀	yo'qqa chiqarmoq	Uning hissasini yo'qqa chiqarib bo'lmaydi.
墨水儿	siyoh	Ruchkadagi siyoh tugay deb qoldi.
莫名其妙	tushunarsiz	Uning munosabati odamlarga tushunarsiz tuyuldi.
默默	jimgina	U jimgina ko'p odamlarga yordam berdi.
谋求	izlamoq	Korxona yangi rivojlanish imkoniyatlarini izlamoqda.
模样	ko'rinish	Uning hozirgi ko'rinishi juda o'zgargan.
母语	ona tili	Bolalar kichikligidan ona tilini o'rganadi.
沐浴	cho'milmoq	Tongdagi qishloq quyosh nuriga cho'mildi.
目睹	o'z ko'zi bilan ko'rmoq	Ko'p odamlar bu hodisani o'z ko'zi bilan ko'rdi.
目光	nigoh	Hammaning nigohi sahnaga qaratildi.
拿手	ustasi bo'lmoq	Qizartirib pishirilgan baliq uning ustasi bo'lgan taom.
纳闷儿	hayron bo'lmoq	Men uning nega kechikkaniga doim hayron bo'ldim.
耐用	chidamli	Bu tufli juda chidamli.
南辕北辙	maqsadga teskari yo'l tutmoq	Uning usuli maqsadga teskari yo'l tutadi.
难得	noyob	Bu noyob imkoniyat.
难堪	uyaltirmoq	Bu savol uni juda uyaltirdi.
难能可贵	juda qadrli	Bosim ostida halol qolish juda qadrli.
恼火	jahli chiqmoq	Uskuna yana buzildi va uning jahli chiqdi.
内涵	ichki mazmun	Bu so'z boy madaniy ichki mazmunga ega.
内幕	ichki sir	Jurnalist voqeaning ichki sirini tekshirishga urindi.
内在	ichki	U insonning ichki sifatlarini ko'proq qadrlaydi.
能量	quvvat	Bu nonushta menga ko'p quvvat beradi.
拟定	loyiha tuzmoq	Kotiba yig'ilish kun tartibi loyihasini tuzmoqda.
逆行	teskari yo'nalishda yurmoq	U mashina bir tomonlama yo'lda teskari yo'nalishda yurdi.
年度	yillik	Kompaniya yillik hisobotni e'lon qildi.
捏	chimchilamoq	U bolaning yuzini ohista chimchilab qo'ydi.
凝固	qotmoq	Sovigandan keyin mum sekin qotadi.
凝聚	birlashtirmoq	Umumiy maqsad jamoa kuchini birlashtira oladi.
凝视	tikilib qaramoq	U uzoqdagi chiroqlarga tikilib qaradi.
拧	chimchilamoq	U qo'li bilan meni bir chimchilab oldi.
宁肯	afzal ko'rmoq	U mag'lub bo'lishni afzal ko'radi, lekin tamoyillaridan voz kechmaydi.
宁愿	ma'qul ko'rmoq	Men avtobus kutgandan ko'ra piyoda yurishni ma'qul ko'raman.
扭转	o'zgartirib yubormoq	Yangi siyosat zararli vaziyatni o'zgartirib yubordi.
纽扣儿	tugma	Bu ko'ylakdan bitta tugma tushib qolgan.
农历	oy taqvimi	Bahor bayrami oy taqvimi bo'yicha nishonlanadi.
浓厚	kuchli	U tarixga kuchli qiziqadi.
奴隶	qul	Qadimgi jamiyatda qullik tizimi mavjud edi.
挪	surmoq	Iltimos, stulni yon tomonga biroz suring.
虐待	zo'ravonlik qilmoq	Qonun bolalarga zo'ravonlik qilishni taqiqlaydi.
哦	ha, tushunarli	Ha, nihoyat tushundim.
殴打	kaltaklamoq	Politsiya yo'lovchini kaltaklagan odamni hibsga oldi.
偶像	kumir	U o'sha yozuvchini o'z kumiri deb biladi.
呕吐	qayt qilmoq	U buzilgan ovqat yegach qayt qila boshladi.
趴	qorni bilan yotmoq	Mushukcha deraza tokchasida qorni bilan yotib uxlayapti.
徘徊	ikkilanib yurmoq	U eshik oldida uzoq vaqt ikkilanib yurdi.
排斥	rad etmoq	Yangi material namlikni rad etadi.
排除	istisno qilmoq	Shifokor avval og'ir kasallikni istisno qildi.
排放	chiqarish	Zavodlar chiqindi gaz chiqarishni kamaytirishi kerak.
排练	repetitsiya qilmoq	Aktyorlar yangi dastur uchun repetitsiya qilmoqda.
派别	guruh	Bu tashkilot ichida turli guruhlar bor.
派遣	yubormoq	Kompaniya muhandislarni joyiga yubordi.
攀登	ko'tarilmoq	Ular ertaga qorli tog'ga ko'tarilishni rejalashtirishdi.
盘旋	aylanib uchmoq	Samolyot aeroport ustida aylanib uchdi.
判决	hukm	Sud bugun hukmni e'lon qildi.
畔	sohil	Bolalar ko'l sohilida sayr qildi.
庞大	ulkan	Bu loyiha ulkan mablag' talab qiladi.
抛弃	tashlab ketmoq	U o'z orzusini tashlab ketishni istamaydi.
泡沫	ko'pik	Stakanda ko'p oq ko'pik bor.
培育	tarbiyalamoq	Maktab o'quvchilarda mas'uliyat hissini tarbiyalashga intiladi.
配备	jihozlamoq	Yangi mashina xavfsizlik tizimi bilan jihozlangan.
配偶	turmush o'rtog'i	Ariza shaklida turmush o'rtog'i haqidagi ma'lumot kerak.
配套	mos to'plam	Jamiyatda to'liq mos infratuzilma bor.
盆地	botiq havza	Bu botiq havza yozda juda issiq bo'ladi.
烹饪	taom pishirish	Taom pishirish sabr va tajriba talab qiladi.
捧	ikki qo'lda tutmoq	U bir dasta gulni ikki qo'lida tutib turdi.
劈	yorib tashlamoq	Ishchi bolta bilan o'tinni yordi.
批发	ulgurji sotmoq	Bu do'kon asosan mevalarni ulgurji sotadi.
批判	tanqid qilmoq	Maqola bu noto'g'ri qarashni tanqid qildi.
疲惫	holdan toygan	Uzoq safardan keyin hamma holdan toygan edi.
疲倦	charchoq	Uzluksiz ish uni charchatdi.
皮革	charm	Bu sumka charmdan qilingan.
屁股	dumba	Bola yiqilgandan keyin dumbasi og'ridi.
譬如	masalan	Masalan, avval kichik sinov o'tkazishimiz mumkin.
偏差	og'ish	Tajriba natijalarida aniq og'ish bor.
偏见	xurofiy qarash	Biz milliy xurofiy qarashlardan qochishimiz kerak.
偏僻	olis	Bu qishloq juda olis joyda joylashgan.
偏偏	aynan shunday bo'lib qoldi	Men qanchalik shoshilsam, mashina aynan shunday sekinlashdi.
片断	parcha	Filmda bir nechta ajoyib parchalar bor.
片刻	bir lahza	Iltimos, meni shu yerda bir lahza kuting.
漂浮	suzib yurmoq	To'kilgan barglar suv yuzida suzib yurdi.
飘扬	hilpiramoq	Davlat bayrog'i shamolda hilpiradi.
撇	chetga surmoq	U eski rejani chetga surib qo'ydi.
拼搏	jon-jahdi bilan kurashmoq	Yoshlar orzulari uchun jon-jahdi bilan kurashishi kerak.
拼命	bor kuchi bilan	U oldindagi jamoani bor kuchi bilan quvdi.
贫乏	kambag'al mazmunli	Bu maqolaning mazmuni nisbatan kambag'al.
贫困	kambag'allik	Hukumat kambag'al oilalarga yordam beradi.
频繁	tez-tez	So'nggi paytda bu yerda yo'l hodisalari tez-tez bo'lmoqda.
频率	chastota	Bu tovushning chastotasi yuqori.
品尝	tatib ko'rmoq	Mehmonlar mahalliy taomlarni tatib ko'rmoqda.
品德	axloqiy fazilat	Maktab o'quvchilarning axloqiy tarbiyasiga ahamiyat beradi.
品质	sifat	Bu kompaniyaning mahsulot sifati barqaror.
品种	nav	Bozorda mevalarning ko'p navi bor.
屏幕	ekran	Iltimos, ekran yorqinligini pasaytiring.
屏障	to'siq	O'rmon shamolga qarshi muhim to'siqdir.
平凡	oddiy	U oddiy lavozimda ko'p yil ishladi.
平面	tekis reja	Dizayner uyning tekis rejasini chizdi.
平坦	tekis	Bu yo'l juda tekis.
平行	parallel	Bu ikki chiziq bir-biriga parallel.
平庸	o'rtamiyona	U o'rtamiyona hayot kechirishga rozi emas.
平原	tekislik	Poyezd keng tekislikdan o'tdi.
评估	baholamoq	Mutaxassislar loyiha xavfini baholamoqda.
评论	izoh bermoq	O'quvchilar maqola ostida izoh berishi mumkin.
坡	qiyalik	Mashina qiyalikka sekin ko'tarildi.
泼	sachratmoq	Suvni polga sachratmang.
颇	ancha	Bu natija ancha kutilmagan bo'ldi.
破例	istisno qilmoq	Menejer uning arizasini istisno tariqasida ma'qulladi.
迫不及待	sabr qilolmaslik	Bolalar sovg'alarni ochishga sabr qilolmadi.
迫害	ta'qib qilmoq	Tarixda ko'p odamlar ta'qibga uchragan.
魄力	qat'iyat	Rahbarlarga qaror qabul qilish qat'iyati kerak.
扑	otilmoq	Bola birdan onasining bag'riga otildi.
铺	to'shamoq	Ishchilar yangi gilamni to'shamoqda.
普及	keng tarqalmoq	Internet shaharlarda allaqachon keng tarqalgan.
朴实	sodda	Uning tili sodda va samimiy.
朴素	kamtarona	U kamtarona turmush tarzini yoqtiradi.
瀑布	sharshara	Sayyohlar sharshara yonida suratga tushdi.
凄凉	huvullagan	Qishdagi tog' qishlog'i juda huvullagan ko'rindi.
期望	umid	Ota-onaning farzanddan umidi katta.
期限	muddat	Ro'yxatdan o'tish muddati shu juma.
欺负	bezorilik qilmoq	Katta bolalar kichik bolalarga bezorilik qilmasligi kerak.
欺骗	aldamoq	Soxta reklama iste'molchilarni aldadi.
奇妙	ajoyib	Tabiatda ko'p ajoyib hodisalar bor.
旗袍	xitoycha qipao ko'ylak	U qizil xitoycha qipao ko'ylak kiyib bazmga bordi.
旗帜	bayroq	Maydonda yorqin bayroqlar hilpirab turardi.
歧视	kamsitish	Qonun har qanday kamsitishni taqiqlaydi.
齐全	to'liq	Bu do'konda asboblar to'liq.
齐心协力	birgalikda kuch sarflamoq	Hamma birgalikda kuch sarflab vazifani tugatdi.
乞丐	tilanchi	Yo'l chetida keksa tilanchi o'tirardi.
企图	urinmoq	U haqiqiy holatni yashirishga urindi.
启程	yo'lga chiqmoq	Delegatsiya ertaga tongda yo'lga chiqadi.
启蒙	boshlang'ich bilim berish	Bu kitob bolalarga boshlang'ich o'qish uchun mos.
启事	e'lon	Maktab darvozasida ishga qabul qilish e'loni osilgan edi.
启示	saboq	Bu muvaffaqiyatsizlik bizga muhim saboq berdi.
岂有此理	bema'nilik	Bunday to'lov haqiqatan bema'nilik.
起草	loyiha tayyorlamoq	Advokat shartnoma loyihasini tayyorlamoqda.
起初	dastlab	Dastlab u bu xabarga ishonmadi.
起伏	ko'tarilib-pasaymoq	Tog' yo'li relyef bilan birga ko'tarilib-pasayadi.
起哄	shovqin ko'tarmoq	O'quvchilar darsda shovqin ko'tarmasligi kerak.
起码	hech bo'lmasa	Siz hech bo'lmasa menga oldindan xabar berishingiz kerak edi.
起源	kelib chiqmoq	Bu bayram qadim zamondan kelib chiqqan.
器材	jihoz	Laboratoriyaga yangi o'quv jihozlari kerak.
器官	a'zo	Yurak inson tanasining muhim a'zosi.
气概	shijoat	Bu she'r qahramonlik shijoatini ko'rsatadi.
气功	qigong	Bobom har kuni ertalab qigong bilan shug'ullanadi.
气魄	salobat	Bu ko'prik juda salobatli.
气色	yuz rangi	Dam olgandan keyin uning yuz rangi ancha yaxshilandi.
气势	shiddat	Jamoa o'yin boshidan kuchli shiddat ko'rsatdi.
气味	hid	Oshxonada qovurilgan non hidi bor edi.
气象	ob-havo holati	Bu yerda platodagi ob-havo holati tez o'zgaradi.
气压	havo bosimi	Havo bosimining pasayishi yomg'ir olib kelishi mumkin.
气质	fe'l-atvor	Unda sokin fe'l-atvor bor.
迄今为止	hozirgacha	Hozirgacha tajriba muammosiz davom etdi.
掐	uzib olmoq	U kichkina gulni uzib oldi.
恰当	mos	Javobingiz juda mos.
恰到好处	ayni me'yorida	Bu taomning shirinligi ayni me'yorida.
恰巧	tasodifan	Men bekatga kelganimda tasodifan yomg'ir yog'di.
洽谈	muzokara qilmoq	Ikki tomon hamkorlik tafsilotlari bo'yicha muzokara qilmoqda.
千方百计	bor imkoniyat bilan	Ular yechim topish uchun bor imkoniyat bilan harakat qildi.
牵	yetaklamoq	Ona yo'lni kesib o'tayotganda bolaning qo'lidan yetakladi.
牵扯	aloqador bo'lmoq	Bu ish ko'p bo'limlarga aloqador.
牵制	jilovlamoq	Raqib himoyasi hujumni jilovladi.
签署	imzolamoq	Ikki kompaniya kelishuvni imzoladi.
谦逊	kamtar	U muvaffaqiyatdan keyin ham kamtar bo'lib qoldi.
迁就	yon bermoq	Ota-ona har doim bolaga yon bermasligi kerak.
迁徙	ko'chib yurmoq	Ko'chmanchi qushlar har yili faslga qarab ko'chib yuradi.
前景	istiqbol	Bu sohaning istiqboli yaxshi.
前提	shart	Ishonch hamkorlikning shartidir.
潜力	salohiyat	Bu o'quvchida katta salohiyat bor.
潜水	suvga sho'ng'imoq	Ular dengiz bo'yiga suvga sho'ng'ishni o'rganish uchun bordi.
潜移默化	sezdirmay ta'sir qilmoq	Oila muhiti bolalarga sezdirmay ta'sir qiladi.
谴责	qoralamoq	Xalqaro hamjamiyat zo'ravonlikni qoraladi.
抢劫	talonchilik qilmoq	Politsiya bankka talonchilik qilgan gumondorni ushladi.
强制	majburlamoq	Yangi qoida haydovchilarni xavfsizlik kamarini taqishga majbur qiladi.
强迫	majburlab qo'ymoq	Bolalarni yoqtirmagan ishini qilishga majburlab qo'ymang.
抢救	qutqarmoq	Shifokorlar jarohatlangan ishchini qutqarmoqda.
桥梁	ko'prik	Til madaniy almashinuv uchun ko'prikdir.
窍门	usul	Talaffuzni o'rganishning bir nechta usuli bor.
翘	ko'tarmoq	U bir oyog'ini stulga ko'tarib qo'ydi.
切实	amaliy	Bizga amaliy va bajariladigan reja kerak.
锲而不舍	qat'iyat bilan davom etmoq	U bu muammoni qat'iyat bilan o'rgandi.
亲密	yaqin	Ular doimo yaqin munosabatni saqlab kelgan.
亲热	samimiy	Keksa kishi mehmonlarni samimiy kutib oldi.
侵犯	buzmoq	Bu xatti-harakat shaxsiy daxlsizlikni buzdi.
侵略	bosqin	Xalq har qanday bosqinga qarshi.
钦佩	qoyil qolmoq	Men uning jasoratiga juda qoyil qolaman.
勤俭	mehnatkash va tejamkor	Buvim butun umr uy ishlarini mehnatkash va tejamkor boshqargan.
勤劳	mehnatsevar	Mehnatsevar odam doim imkoniyat yaratadi.
倾听	diqqat bilan tinglamoq	O'qituvchi o'quvchilarning fikrini diqqat bilan tingladi.
倾向	moyillik	Yosh iste'molchilarda internetdan xarid qilish moyilligi bor.
倾斜	qiyshaymoq	Kuchli yomg'irdan keyin devor qiyshayishni boshladi.
清澈	tiniq	Tog'dagi soy suvi juda tiniq.
清晨	erta tong	Erta tong havosi ayniqsa musaffo.
清除	tozalamoq	Ishchilar yo'ldagi qorni tozaladi.
清洁	toza	Kasalxona muhitni toza saqlashi kerak.
清理	tartibga keltirmoq	Dam olish kunida omborni tartibga keltirdik.
清晰	aniq	Bu surat juda aniq.
清醒	hushyor	Qahva ichgach, u ancha hushyor bo'ldi.
清真	halol	Yaqinda halol restoran bor.
情报	razvedka ma'lumoti	Jurnalist muhim razvedka ma'lumotini oldi.
情节	voqea rivoji	Romanning voqea rivoji juda tarang.
情理	aqlga sig'ish	Uning talabi aqlga sig'maydi.
情形	holat	Voqea joyidagi holat tasavvur qilingandan murakkabroq edi.
晴朗	musaffo	Bugun osmon ayniqsa musaffo.
请柬	taklifnoma	Ular qarindosh va do'stlarga to'y taklifnomasini yubordi.
请教	maslahat so'ramoq	Sizdan bir masala bo'yicha maslahat so'ramoqchiman.
请示	ko'rsatma so'ramoq	Bu ish bo'yicha avval rahbardan ko'rsatma so'rash kerak.
请帖	taklif qog'ozi	Stolda tug'ilgan kun taklif qog'ozi yotardi.
丘陵	tepaliklar	Bu hududda tepaliklar ko'p.
区分	farqlamoq	Bola allaqachon chap va o'ngni farqlay oladi.
区域	hudud	Bu hududda mashina qo'yish taqiqlangan.
屈服	bo'ysunmoq	U bosimga bo'ysunmadi.
曲折	murakkab	Ular murakkab muzokaralardan o'tdi.
驱逐	haydab chiqarmoq	Politsiya tartibsizlik qilganlarni haydab chiqardi.
渠道	kanal	Kompaniya mahsulotlarni yangi kanal orqali sotmoqda.
取缔	taqiqlamoq	Hukumat noqonuniy bozorni taqiqladi.
曲子	kuy	Bu kuyning ohangi juda yoqimli.
趣味	qiziqarlilik	Bu o'yinda qiziqarlilik bor.
圈套	tuzoq	U firibgarning tuzog'iga tushishiga oz qoldi.
全局	umumiy vaziyat	Rahbarlar umumiy manfaatni hisobga olishi kerak.
全力以赴	bor kuchini sarflamoq	Biz vazifani bajarish uchun bor kuchimizni sarflaymiz.
拳头	musht	U mushtini mahkam siqib, musobaqaga tayyorlandi.
权衡	taroziga solmoq	Biz xarajat va natijani taroziga solishimiz kerak.
权威	nufuzli mutaxassis	Bu professor shu sohada nufuzli mutaxassis.
犬	it	Bu turdagi it uy qo'riqlashga mos.
缺口	kemtik	Devorda kichik kemtik bor.
缺席	qatnashmaslik	U kasalligi sababli yig'ilishda qatnashmadi.
缺陷	nuqson	Bu dizaynda aniq nuqson bor.
瘸	cho'loq	Uning chap oyog'i biroz cho'loq.
确保	ishonch hosil qilmoq	Iltimos, eshik qulflanganiga ishonch hosil qiling.
确立	belgilamoq	Kompaniya yangi rivojlanish maqsadlarini belgiladi.
确切	aniq	Men aniq vaqtni bilmayman.
确信	ishonchi komil bo'lmoq	Men uning vaqtida kelishiga ishonchim komil.
群众	omma	Omma yangi siyosatni qo'llab-quvvatlamoqda.
染	bo'yamoq	U sochini qora rangga bo'yadi.
嚷	baqirmoq	Yo'lakda baland ovozda baqirmang.
让步	yon bosmoq	Ikki tomon ham biroz yon bosdi.
饶恕	kechirmoq	U oxir-oqibat qarshi tomonni kechirishni tanladi.
扰乱	buzmoq	Shovqin dars tartibini buzdi.
惹祸	baloga qolmoq	Ehtiyotsiz hazil qilish oson baloga qoldiradi.
热泪盈眶	ko'zlari yoshga to'lmoq	Yaxshi xabarni eshitib, uning ko'zlari yoshga to'ldi.
热门	ommabop	Sun'iy intellekt ommabop mavzu.
人道	insonparvarlik	Qutqaruv amaliyoti insonparvarlik ruhini ko'rsatdi.
人格	shaxsiy qadr-qimmat	Boshqalarni haqorat qilish shaxsiy qadr-qimmatga zarar yetkazadi.
人工	sun'iy	Bu daryo sun'iy ravishda qazilgan.
人家	boshqalar	O'zingizni doim boshqalar bilan solishtirmang.
人间	insonlar olami	Bahor insonlar olamini hayotga to'ldiradi.
人士	shaxs	Turli soha vakillari davra suhbatida qatnashdi.
人为	inson omiliga bog'liq	Bu hodisa inson omiliga bog'liq sababdan yuz berdi.
人性	inson tabiati	Bu film inson tabiatini muhokama qiladi.
人质	garovdagi odam	Politsiya garovdagi odamni muvaffaqiyatli qutqardi.
仁慈	mehri bor	Bu shifokor bemorlarga juda mehribon.
忍耐	sabr qilmoq	Uzun navbatda turish biroz sabr talab qiladi.
忍受	chidamoq	Men bu yerdagi shovqinga chiday olmayman.
任命	tayinlamoq	Direktorlar kengashi uni menejer etib tayinladi.
任性	o'zboshimcha	Bolaning juda o'zboshimcha bo'lishi o'sishga ta'sir qiladi.
任意	ixtiyoriy	Iltimos, ma'lumotlarni ixtiyoriy ravishda o'zgartirmang.
任重道远	mas'uliyati og'ir va yo'li uzoq	Ta'lim islohotining mas'uliyati og'ir va yo'li uzoq.
