simplified	DE	example_DE
主持	leiten; moderieren	Sie leitet die heutige Sitzung.
主动	von sich aus; aktiv	Er half seinem Mitschüler von sich aus.
主观	subjektiv	Diese Bewertung ist etwas subjektiv.
主人	der Gastgeber; der Besitzer	Der Gastgeber begrüßte uns herzlich.
主任	der Leiter; die Leiterin	Der Leiter ist gerade im Büro.
主题	das Thema	Das Thema der heutigen Diskussion ist Umweltschutz.
主席	der Vorsitzende; die Vorsitzende	Der Vorsitzende erklärte die Sitzung für eröffnet.
主张	befürworten; vertreten	Er befürwortet, zuerst das Verkehrsproblem zu lösen.
煮	kochen	Mama kocht gerade Nudeln.
注册	sich registrieren	Neue Nutzer müssen sich zuerst registrieren.
祝福	der Glückwunsch; die Segenswünsche	Freunde schickten ihre Glückwünsche.
抓	greifen; festhalten	Das Kind hielt die Hand der Mutter fest.
抓紧	die Zeit gut nutzen; fest greifen	Wir müssen die Zeit gut nutzen.
专家	der Experte; die Expertin	Der Experte machte Vorschläge.
专心	konzentriert; aufmerksam	Im Unterricht sollte man aufmerksam zuhören.
转变	die Veränderung; sich verändern	Seine Haltung hat sich verändert.
转告	ausrichten; weitergeben	Bitte richte ihm aus, dass morgen eine Sitzung stattfindet.
装	einpacken; hineinlegen	Bitte pack die Bücher in die Tasche.
装饰	dekorieren	Sie dekorierten das Zimmer mit Blumen.
装修	renovieren	Das neue Haus wird gerade renoviert.
撞	zusammenstoßen; anstoßen	An der Kreuzung stießen zwei Autos zusammen.
状况	die Lage; der Zustand	Die aktuelle Lage ist relativ stabil.
状态	der Zustand	Er ist heute in sehr guter Verfassung.
追	jagen; verfolgen	Das Kind läuft hinten dem kleinen Hund hinterher.
追求	verfolgen; anstreben	Er hat immer seinen Traum verfolgt.
咨询	um Rat fragen; sich beraten lassen	Du kannst einen Facharzt um Rat fragen.
姿势	die Haltung	Bitte behalte die richtige Haltung bei.
资格	die Qualifikation; die Berechtigung	Er ist berechtigt, am Wettbewerb teilzunehmen.
资金	die Mittel; das Kapital	Das Projekt braucht mehr Mittel.
资料	die Unterlagen; das Material	Bitte schick mir die Unterlagen.
资源	die Ressource	Wasser ist eine wichtige natürliche Ressource.
紫	lila; violett	Sie mag die Farbe Lila.
字母	der Buchstabe	Das Englische hat sechsundzwanzig Buchstaben.
字幕	der Untertitel	Dieser Film hat chinesische Untertitel.
自从	seit	Seit dem Abschluss kommt er nur selten zurück.
自动	automatisch	Diese Tür öffnet sich automatisch.
自豪	stolz sein	Ich bin stolz auf meinen Fortschritt.
自觉	von sich aus; bewusst	Er erledigte die Hausaufgaben von sich aus.
自私	egoistisch	Man sollte nicht zu egoistisch sein.
自由	die Freiheit	Jeder schätzt die Freiheit.
自愿	freiwillig	Sie nahmen freiwillig an der Veranstaltung teil.
综合	umfassend; integrieren	Wir müssen verschiedene Faktoren umfassend berücksichtigen.
总裁	der Vorstandsvorsitzende; der CEO	Der CEO hielt heute eine Rede.
总共	insgesamt	Diese Reise kostete insgesamt dreitausend Yuan.
总理	der Premierminister	Der Premierminister nahm an der Sitzung teil.
总算	endlich	Das Problem wurde endlich gelöst.
总统	der Präsident	Der Präsident hielt eine Fernsehansprache.
总之	kurz gesagt	Kurz gesagt, wir müssen pünktlich fertig werden.
组	die Gruppe	Der Lehrer teilte uns in drei Gruppen ein.
组成	bestehen aus; zusammensetzen	Wasser besteht aus Wasserstoff und Sauerstoff.
组合	die Kombination	Diese Farbkombination sieht gut aus.
组织	organisieren; die Organisation	Die Schule organisierte eine Reise.
阻止	verhindern; stoppen	Die Polizei stoppte das gefährliche Verhalten.
最初	anfangs; zunächst	Anfangs verstand ich es nicht besonders gut.
醉	betrunken	Er hat zu viel getrunken und ist etwas betrunken.
尊敬	respektieren	Die Schüler respektieren den Lehrer alle sehr.
遵守	einhalten; befolgen	Wir müssen die Verkehrsregeln einhalten.
作品	das Werk	Dieses Bild ist sein Werk.
作为	als	Als Lehrer ist er sehr geduldig.
作文	der Aufsatz	Der Lehrer bat uns, einen Aufsatz zu schreiben.
