simplified	HR	example_HR
盘旋	kružiti	Zrakoplov je kružio iznad zračne luke.
判决	presuda	Sud je danas objavio presudu.
畔	obala	Djeca su šetala uz obalu jezera.
庞大	ogroman	Ovaj projekt zahtijeva ogroman novac.
抛弃	napustiti	On ne želi napustiti svoj san.
泡沫	pjena	U šalici ima mnogo bijele pjene.
培育	odgajati	Škola se trudi odgajati osjećaj odgovornosti kod učenika.
配备	opremiti	Novi je automobil opremljen sigurnosnim sustavom.
配偶	supružnik	U obrascu za prijavu traže se podaci o supružniku.
配套	prateći	Naselje ima potpune prateće sadržaje.
盆地	kotlina	U ovoj je kotlini ljeti vrlo vruće.
烹饪	kuhanje	Kuhanje zahtijeva strpljenje i iskustvo.
捧	držati objema rukama	Ona je objema rukama držala buket cvijeća.
劈	sjeći	Radnik je sjekirom sjekao drva.
批发	veleprodaja	Ova trgovina uglavnom se bavi veleprodajom voća.
批判	kritizirati	Članak je kritizirao to pogrešno gledište.
疲惫	iscrpljen	Nakon dugog putovanja svi su bili iscrpljeni.
疲倦	umoran	Neprekidan rad učinio ga je umornim.
皮革	koža	Ova je torba izrađena od kože.
屁股	stražnjica	Dijete je nakon pada boljela stražnjica.
譬如	na primjer	Na primjer, prvo možemo napraviti mali test.
偏差	odstupanje	U rezultatima pokusa postoji očito odstupanje.
偏见	predrasuda	Trebali bismo izbjegavati etničke predrasude.
偏僻	zabačen	Ovo je selo na vrlo zabačenom mjestu.
偏偏	baš suprotno	Što sam bio tjeskobniji, auto je baš suprotno išao sve sporije.
片断	ulomak	U filmu ima nekoliko izvrsnih ulomaka.
片刻	trenutak	Molim te pričekaj me ovdje trenutak.
漂浮	plutati	Otpalo je lišće plutalo na vodi.
飘扬	vijoriti se	Nacionalna zastava vijorila se na vjetru.
撇	odbaciti	On je odbacio stari plan.
拼搏	boriti se	Mladi bi se trebali boriti za svoje ideale.
拼命	svom snagom	On je svom snagom jurio za ekipom ispred sebe.
贫乏	siromašan	Sadržaj ovog članka prilično je siromašan.
贫困	siromašan	Vlada pomaže siromašnim obiteljima.
频繁	čest	Prometne nesreće ovdje su u posljednje vrijeme česte.
频率	frekvencija	Frekvencija ovog zvuka vrlo je visoka.
品尝	kušati	Gosti kušaju lokalnu hranu.
品德	moralni karakter	Škola cijeni moralni odgoj učenika.
品质	kvaliteta	Kvaliteta proizvoda ove tvrtke stabilna je.
品种	sorta	Na tržnici ima mnogo sorti voća.
屏幕	zaslon	Molim te smanji svjetlinu zaslona.
屏障	prepreka	Šuma je važna prepreka protiv vjetra.
平凡	običan	On je mnogo godina radio na običnom položaju.
平面	tlocrt	Dizajner je nacrtao tlocrt kuće.
平坦	ravan	Ova je cesta vrlo ravna.
平行	paralelan	Ove su dvije crte međusobno paralelne.
平庸	osrednji	On se ne zadovoljava osrednjim životom.
平原	ravnica	Vlak je prošao kroz prostranu ravnicu.
评估	procijeniti	Stručnjaci procjenjuju rizike projekta.
评论	komentirati	Čitatelji mogu komentirati ispod članka.
坡	padina	Automobil se polako popeo uz padinu.
泼	proliti	Nemoj proliti vodu po podu.
颇	prilično	Ovaj je rezultat prilično iznenađujući.
破例	napraviti iznimku	Upravitelj je napravio iznimku i odobrio njegov zahtjev.
迫不及待	jedva čekati	Djeca su jedva čekala otvoriti poklone.
迫害	progoniti	Mnogi su ljudi u povijesti trpjeli progon.
魄力	odlučnost	Vođama je potrebna odlučnost za donošenje odluka.
扑	baciti se	Dijete se iznenada bacilo majci u naručje.
铺	prostrijeti	Radnici postavljaju novi tepih.
普及	proširiti se	Internet se već proširio u gradovima.
朴实	jednostavan	Njegov je jezik jednostavan i iskren.
朴素	skroman	Ona voli skroman način života.
瀑布	slap	Turisti su stajali kraj slapa i fotografirali se.
凄凉	pust	Planinsko selo zimi je izgledalo vrlo pusto.
期望	očekivanje	Roditelji imaju velika očekivanja od djece.
期限	rok	Rok za prijavu je ovaj petak.
欺负	maltretirati	Starija djeca ne bi smjela maltretirati mlađu djecu.
欺骗	prevariti	Lažna reklama prevarila je potrošače.
奇妙	čudesan	Priroda ima mnogo čudesnih pojava.
旗袍	qipao	Ona je odjenula crveni qipao za večernju zabavu.
旗帜	zastava	Na trgu su se vijorile jarke zastave.
歧视	diskriminirati	Zakon zabranjuje svaki oblik diskriminacije.
齐全	potpun	Ova trgovina ima potpun izbor alata.
齐心协力	zajednički raditi	Svi su zajednički radili kako bi završili zadatak.
乞丐	prosjak	Stari prosjak sjedio je uz cestu.
企图	pokušaj	Pokušao je sakriti stvarnu situaciju.
启程	krenuti na put	Izaslanstvo će krenuti rano sutra ujutro.
启蒙	uvodni	Ova je knjiga prikladna za dječje uvodno čitanje.
启事	obavijest	Na školskim vratima objavljena je obavijest o zapošljavanju.
启示	pouka	Taj nam je neuspjeh dao važnu pouku.
岂有此理	besmislen	Takva je naknada doista besmislena.
起草	sastaviti	Odvjetnik sastavlja ugovor.
起初	isprva	Isprva nije vjerovao toj vijesti.
起伏	usponi i padovi	Planinska cesta ima uspone i padove prema terenu.
起哄	praviti nered	Učenici ne bi trebali praviti nered na satu.
起码	barem	Barem bi me trebao unaprijed obavijestiti.
起源	podrijetlo	Ovaj festival potječe iz drevnih vremena.
器材	oprema	Laboratoriju treba nova nastavna oprema.
器官	organ	Srce je važan organ ljudskog tijela.
气概	duh	Ova pjesma pokazuje junački duh.
气功	qigong	Djed svako jutro vježba qigong.
气魄	impozantan stil	Ovaj most ima impozantan stil.
气色	ten	Nakon odmora ten mu je izgledao mnogo bolje.
气势	zamah	Ekipa je od početka imala snažan zamah.
气味	miris	U kuhinji se osjećao miris tosta.
气象	vrijeme	Vrijeme se ovdje na visoravni brzo mijenja.
气压	tlak zraka	Pad tlaka zraka može donijeti kišu.
气质	temperament	Ona ima miran temperament.
迄今为止	dosad	Dosad je pokus napredovao glatko.
掐	ubrati	Ona je ubrala mali cvijet.
恰当	prikladan	Tvoj je odgovor vrlo prikladan.
恰到好处	taman	Slatkoća ovog jela je taman.
恰巧	slučajno	Slučajno je počelo padati kad sam stigao na stanicu.
洽谈	razgovarati	Dvije strane razgovaraju o detaljima suradnje.
千方百计	svim mogućim sredstvima	Pokušali su svim mogućim sredstvima pronaći rješenje.
牵	voditi	Majka je vodila dijete za ruku dok su prelazili cestu.
牵扯	uključivati	Ovo pitanje uključuje mnoge odjele.
牵制	obuzdati	Protivnikova obrana obuzdala je napad.
签署	potpisati	Dvije su tvrtke potpisale sporazum.
谦逊	skroman	Nakon uspjeha ostao je skroman.
迁就	popustiti	Roditelji ne mogu uvijek popuštati djeci.
迁徙	seliti se	Ptice selice svake se godine sele s godišnjim dobima.
前景	izgledi	Ova industrija ima dobre izglede.
前提	preduvjet	Povjerenje je preduvjet za suradnju.
潜力	potencijal	Ovaj učenik ima velik potencijal.
潜水	roniti	Otišli su na more učiti roniti.
潜移默化	neprimjetan utjecaj	Obiteljsko okruženje može neprimjetno utjecati na djecu.
谴责	osuditi	Međunarodna zajednica osudila je nasilje.
抢劫	opljačkati	Policija je uhvatila osumnjičenog koji je opljačkao banku.
强制	prisiliti	Novo pravilo prisiljava vozače da vežu sigurnosni pojas.
强迫	prisiljavati	Nemoj prisiljavati djecu da rade stvari koje ne vole.
抢救	spašavati	Liječnici spašavaju ozlijeđenog radnika.
桥梁	most	Jezik je most za kulturnu razmjenu.
窍门	trik	Postoje neki trikovi za učenje izgovora.
翘	podići	Podigao je jednu nogu na stolicu.
切实	izvediv	Treba nam praktičan i izvediv plan.
锲而不舍	ustrajnost	On je s ustrajnošću proučavao taj problem.
亲密	blizak	Oni su uvijek održavali blizak odnos.
亲热	srdačno	Starac je srdačno pozdravio goste.
侵犯	povrijediti	Takvo je ponašanje povrijedilo osobnu privatnost.
侵略	invazija	Ljudi se protive svakom obliku invazije.
钦佩	diviti se	Jako se divim njezinoj hrabrosti.
勤俭	marljiv i štedljiv	Baka je cijeli život marljivo i štedljivo vodila kućanstvo.
勤劳	marljiv	Marljivi ljudi uvijek mogu stvoriti prilike.
倾听	pažljivo slušati	Učitelj je pažljivo slušao mišljenja učenika.
倾向	sklonost	Mladi potrošači skloni su kupovati na internetu.
倾斜	nagnuti se	Nakon jake kiše zid se počeo naginjati.
清澈	bistar	Potok u planinama vrlo je bistar.
清晨	rano jutro	Zrak u rano jutro posebno je svjež.
清除	ukloniti	Radnici su uklonili snijeg s ceste.
清洁	čist	Bolnice moraju održavati okoliš čistim.
清理	raščistiti	Preko vikenda smo raščistili skladište.
清晰	jasan	Ova je fotografija vrlo jasna.
清醒	bistar	Nakon kave postao je mnogo bistriji.
清真	halal	U blizini je halal restoran.
情报	obavještajni podatak	Novinar je dobio važan obavještajni podatak.
情节	radnja	Radnja romana vrlo je napeta.
情理	razum	Njegov je zahtjev nerazuman.
情形	situacija	Situacija na terenu bila je složenija nego što se očekivalo.
晴朗	vedar	Nebo je danas posebno vedro.
请柬	pozivnica	Poslali su svadbene pozivnice rodbini i prijateljima.
请教	posavjetovati se	Želio bih se posavjetovati s tobom o jednom pitanju.
请示	zatražiti upute	O ovoj stvari najprije treba zatražiti upute od voditelja.
请帖	pozivnica	Rođendanska pozivnica bila je na stolu.
丘陵	brežuljci	U ovom području ima mnogo brežuljaka.
区分	razlikovati	Dijete već može razlikovati lijevo od desnog.
区域	područje	Parkiranje je zabranjeno u ovom području.
屈服	popustiti	Nije popustio pritisku.
曲折	složen	Prošli su kroz složene pregovore.
驱逐	protjerati	Policija je protjerala izgrednike.
渠道	kanal	Tvrtka prodaje proizvode novim kanalom.
取缔	zabraniti	Vlada je zabranila ilegalnu tržnicu.
曲子	melodija	Melodija ove pjesme je lijepa.
趣味	zanimljiv	Ova je igra vrlo zanimljiva.
圈套	zamka	Gotovo je upao u prevarantovu zamku.
全局	cjelina	Vođe moraju razmatrati interese cjeline.
全力以赴	dati sve od sebe	Dat ćemo sve od sebe da završimo zadatak.
拳头	šaka	Stisnuo je šaku i pripremio se za meč.
权衡	odvagnuti	Moramo odvagnuti trošak i učinak.
权威	autoritet	Ovaj je profesor autoritet u tom području.
犬	pas	Ova vrsta psa prikladna je za čuvanje doma.
缺口	pukotina	U zidu postoji mala pukotina.
缺席	odsutnost	Zbog bolesti je bio odsutan sa sastanka.
缺陷	mana	Ovaj dizajn ima očitu manu.
瘸	hrom	Lijeva mu je noga malo hroma.
确保	osigurati	Molim te provjeri da su vrata zaključana.
确立	utvrditi	Tvrtka je utvrdila nove razvojne ciljeve.
确切	točan	Ne znam točno vrijeme.
确信	biti siguran	Siguran sam da će stići na vrijeme.
群众	mase	Mase podržavaju novu politiku.
染	obojiti	Ona je obojila kosu u crno.
嚷	vikati	Nemoj glasno vikati u hodniku.
让步	ustupak	Obje su strane napravile neke ustupke.
饶恕	oprostiti	Na kraju je odlučila oprostiti drugoj osobi.
扰乱	poremetiti	Buka je poremetila red u razredu.
惹祸	izazvati nevolju	Nepažljive šale lako mogu izazvati nevolju.
热泪盈眶	oči pune suza	Kad je čula dobre vijesti, oči su joj se napunile suzama.
热门	popularan	Umjetna inteligencija popularna je tema.
人道	humanitaran	Operacija spašavanja odražavala je humanitarni duh.
人格	dostojanstvo	Vrijeđanje drugih šteti osobnom dostojanstvu.
人工	umjetan	Ova je rijeka umjetno iskopana.
人家	drugi ljudi	Nemoj se stalno uspoređivati s drugim ljudima.
人间	ljudski svijet	Proljeće ispunjava ljudski svijet životnom snagom.
人士	osoba	Osobe iz svih krugova prisustvovale su forumu.
人为	ljudski uzrok	Ovu su nesreću izazvali ljudski čimbenici.
人性	ljudska priroda	Ovaj film govori o ljudskoj prirodi.
人质	talac	Policija je uspješno spasila taoca.
仁慈	dobrostiv	Ovaj je liječnik vrlo dobrostiv prema pacijentima.
忍耐	strpljenje	Čekanje u dugom redu zahtijeva malo strpljenja.
忍受	podnijeti	Ne mogu podnijeti buku ovdje.
任命	imenovati	Odbor ju je imenovao upraviteljicom.
任性	samovoljan	Pretjerana samovolja djeteta može utjecati na razvoj.
任意	proizvoljno	Molim te nemoj proizvoljno mijenjati podatke.
任重道远	dug i težak put	Reforma obrazovanja ima tešku odgovornost i dug put pred sobom.
认定	utvrditi	Policija je utvrdila da je ovo bila nesreća.
认可	odobrenje	Njegov je plan dobio svačije odobrenje.
仍旧	i dalje	Mnogo godina poslije i dalje je živio ovdje.
日新月异	brz razvoj	Tehnologija se iz dana u dan brzo razvija.
日益	sve više	Ekološki problemi postaju sve ozbiljniji.
容貌	izgled	Godine su promijenile njegov izgled.
容纳	primiti	Ova dvorana može primiti petsto ljudi.
容器	posuda	Molim te ulij tekućinu u staklenu posudu.
容忍	tolerirati	Tvrtka ne može tolerirati prijevaru.
溶解	otopiti	Sol se otapa u vodi.
荣幸	počašćen	Počašćen sam što prisustvujem sastanku.
荣誉	čast	Ova medalja predstavlja najvišu čast.
融化	otopiti	Sunčeva svjetlost polako je otopila led i snijeg.
融洽	skladan	Odnosi među kolegama vrlo su skladni.
揉	trljati	Mama mi je nježno trljala ramena.
柔和	blag	Svjetlo je blago i ne zasljepljuje.
儒家	konfucijanizam	Konfucijanska misao utjecala je na istočnoazijsku kulturu.
弱点	slabost	Nepažnja je njegova glavna slabost.
若干	nekoliko	Na sastanku je izneseno nekoliko prijedloga.
撒谎	lagati	Djeca ne bi smjela lagati.
散文	proza	Ona voli čitati modernu prozu.
散布	širiti	Netko je širio glasine na internetu.
散发	odašiljati	Vrt odašilje svjež miris.
丧失	izgubiti	Nije izgubio samopouzdanje.
骚扰	uznemiravati	Molim vas nemojte uznemiravati druge putnike.
嫂子	šogorica	Kuhanje moje šogorice je ukusno.
刹车	kočiti	Vozač je iznenada zakočio.
啥	što	Što si upravo rekao?
筛选	filtrirati	Sustav će automatski filtrirati životopise.
山脉	planinski lanac	Ovaj planinski lanac vrlo je dug.
闪烁	treperiti	Svjetla u daljini neprestano su treperila.
擅长	biti dobar u	On je dobar u rješavanju složenih problema.
擅自	bez dopuštenja	Zaposlenici ne smiju napuštati svoja mjesta bez dopuštenja.
伤脑筋	problematičan	Ovaj je problem doista problematičan.
商标	zaštitni znak	Tvrtka je registrirala novi zaštitni znak.
上级	nadređeni	On je prijavio situaciju nadređenima.
上进	ambiciozan za napredak	Ona je uvijek bila ambiciozna za napredak.
上任	stupiti na dužnost	Novi upravitelj stupit će na dužnost sljedeći tjedan.
上瘾	postati ovisan	Mnogi ljudi postaju ovisni o kratkim videozapisima.
上游	gornji tok	Onečišćenje dolazi iz gornjeg toka rijeke.
尚且	čak	Čak i odrasli mogu pogriješiti.
捎	prenijeti	Molim te prenesi mi poruku.
梢	vrh grane	Ptica je stala na vrh krošnje.
哨	stražar	Na vratima je stražar.
奢侈	raskošan	Takva je potrošnja previše raskošna.
舌头	jezik	Opekao je jezik.
摄氏度	stupanj Celzija	Današnja temperatura je trideset stupnjeva Celzija.
涉及	uključivati	Izvješće uključuje nekoliko odjela.
社区	zajednica	Zajednica je organizirala zdravstveno predavanje.
设立	osnovati	Škola je osnovala stipendiju.
设想	zamisliti	O toj ideji još treba raspraviti.
设置	postaviti	Molim te ponovno postavi lozinku.
呻吟	stenjati	Pacijent je tiho stenjao.
深奥	dubok	Sadržaj ove knjige vrlo je dubok.
深沉	dubok	Glas mu je bio tih i dubok.
深情厚谊	duboko prijateljstvo	Narodi dviju zemalja stvorili su duboko prijateljstvo.
申报	prijaviti	Putnici trebaju istinito prijaviti predmete.
绅士	gospodin	Ponaša se kao gospodin.
神经	živac	Stres može utjecati na živčani sustav.
神奇	čaroban	Krajolik ovdje vrlo je čaroban.
神气	poletan	Danas je izgledao posebno poletno.
神圣	svet	Ovo je sveta dužnost.
神态	izraz	Njezin je izraz bio vrlo miran.
神仙	besmrtnik	Legenda kaže da besmrtnici žive u planinama.
审查	pregledavati	Platforma pregledava objavljeni sadržaj.
审理	raspravljati	Sud raspravlja o ovom predmetu.
审美	estetski ukus	Njegov je estetski ukus vrlo osobit.
审判	suđenje	Javno suđenje privuklo je pažnju medija.
慎重	oprezan	Ovu odluku treba donijeti oprezno.
渗透	prodrijeti	Kišnica je polako prodrla u tlo.
声明	izjava	Tvrtka je objavila službenu izjavu.
声势	zamah	Ova promidžbena kampanja ima snažan zamah.
声誉	ugled	Kvaliteta proizvoda utječe na ugled marke.
牲畜	stoka	Stočari su otjerali stoku natrag na pašnjak.
生存	preživjeti	Divljim životinjama treba prostor za preživljavanje.
生机	vitalnost	Proljetna kiša ispunjava zemlju vitalnošću.
生理	fiziologija	San utječe na fiziološko stanje čovjeka.
生疏	zarđao	Nakon godina bez vježbe, njegovo sviranje klavira malo je zarđalo.
生态	ekologija	Zaštita šuma povezana je s ekološkom ravnotežom.
生物	organizam	U oceanu ima mnogo neobičnih organizama.
生效	stupiti na snagu	Novi propis službeno stupa na snagu sutra.
生肖	kineski horoskopski znak	Koji je tvoj kineski horoskopski znak?
生锈	zahrđati	Lanac bicikla već je zahrđao.
生育	plodnost	Bolnica pruža savjetovanje o plodnosti.
省会	glavni grad pokrajine	Chengdu je dugo glavni grad pokrajine Sichuan.
盛产	obilno proizvoditi	Ovo mjesto obilno proizvodi visokokvalitetan čaj.
盛开	biti u punom cvatu	Trešnje u parku su u punom cvatu.
盛情	srdačno gostoprimstvo	Zahvaljujemo domaćinu na srdačnom gostoprimstvu.
盛行	biti raširen	Taj je stil nekoć bio vrlo raširen.
胜负	ishod	Posljednja minuta utakmice odlučila je ishod.
失事	nesreća	Uzrok zrakoplovne nesreće još se istražuje.
失误	pogreška	Mala pogreška uzrokovala je kašnjenje projekta.
失踪	nestao	Policija traži nestalo dijete.
尸体	tijelo	Spasilački tim pronašao je tijelo žrtve.
师范	pedagoški	Ona je diplomirala na pedagoškom sveučilištu.
施加	vršiti	Roditelji ne bi trebali vršiti pretjeran pritisak.
施展	iskoristiti	Napokon je dobio priliku iskoristiti svoj talent.
十足	potpuno	On je potpuno uvjeren u rezultat.
实惠	povoljan	Cijene u ovoj trgovini vrlo su povoljne.
实力	snaga	Ukupna snaga ekipe vrlo je velika.
实施	provoditi	Vlada je počela provoditi novi plan.
实事求是	tražiti istinu iz činjenica	Istraživanje treba tražiti istinu iz činjenica.
实行	primjenjivati	Tvrtka primjenjuje fleksibilan radni sustav.
实质	bit	Bit problema nije se promijenila.
拾	pokupiti	Sagnuo se da pokupi ključ s tla.
时常	često	Djed često govori o stvarima iz svoje mladosti.
时而	povremeno	Vrijeme je povremeno sunčano, a povremeno oblačno.
时光	vrijeme	Lijepa vremena uvijek se čine kratkima.
时机	trenutak	Sada nije dobar trenutak za pregovore.
时事	aktualna zbivanja	Učenici svaki tjedan raspravljaju o međunarodnim aktualnim zbivanjima.
石油	nafta	Cijene nafte ponovno su porasle.
识别	prepoznati	Sustav može prepoznati različita lica.
使命	misija	Zaštita okoliša zajednička je misija.
世代	generacije	Ovaj se zanat u obitelji prenosi generacijama.
事故	nesreća	U ovoj nesreći nije bilo žrtava.
事迹	djela	Njegova junačka djela široko su se proširila.
事件	događaj	Ovaj je događaj privukao pozornost javnosti.
事态	situacija	Vlada kontrolira razvoj situacije.
事务	poslovi	Ona je odgovorna za svakodnevne poslove tvrtke.
事项	stavka	Molim te potvrdi važne stavke u ugovoru.
事业	karijera	On obrazovanje smatra svojom životnom karijerom.
势必	neizbježno	Rast troškova neizbježno će utjecati na cijene.
势力	utjecaj	Utjecaj lokalnog poslovnog kruga snažan je.
是非	spor	Ne želi se upletati u uredske sporove.
示范	pokazati	Učitelj je najprije pokazao primjer.
示威	prosvjed	U središtu grada održan je miran prosvjed.
示意	dati znak	Upravitelj je dao znak svima da budu tiho.
视力	vid	Dugo gledanje u ekrane može utjecati na vid.
视频	video	Molim te pošalji mi video.
视线	vidokrug	Gusta magla blokirala je vozačev vidokrug.
视野	obzor	Putovanje može proširiti čovjekove obzore.
试图	pokušati	Pokušao je objasniti svoju odluku.
试验	pokus	Znanstvenici su proveli mnogo pokusa.
适宜	prikladan	Klima je ovdje prikladna za život.
逝世	preminuti	Ovaj je pisac preminuo prošle godine.
释放	osloboditi	Sud je odlučio osloboditi optuženika.
收藏	sakupljati	Sakupio je mnogo starih poštanskih maraka.
收缩	stezati se	Hladan zrak može uzrokovati stezanje metala.
收益	prinos	Prinos ulaganja bio je veći od očekivanog.
收音机	radio	Baka svaki dan sluša radio.
守护	čuvati	Liječnici čuvaju živote pacijenata.
手法	tehnika	Redateljeva tehnika snimanja vrlo je osebujna.
手势	gesta	Gestom je pokazao slaganje.
手艺	vještina	Vještina ovog majstora vrlo je dobra.
首饰	nakit	Nosila je jednostavan srebrni nakit.
首要	najvažniji	Sigurnost je najvažniji prioritet.
受罪	patiti	Pacijent je mnogo patio nakon operacije.
授予	dodijeliti	Škola mu je dodijelila počasnu diplomu.
书法	kaligrafija	Od djetinjstva vježba kaligrafiju.
书记	tajnik	Seoski partijski tajnik predsjedao je sastankom.
书籍	knjige	Knjižnica ima velik broj knjiga.
书面	pismeni	Molim vas dostavite pismeni dokaz.
疏忽	nepažnja	Ova je pogreška nastala zbog nepažnje na poslu.
疏远	udaljiti se	Nesporazum je učinio da se njih dvoje postupno udalje.
舒畅	opušten	Nakon šetnje osjećao sam se vrlo opušteno i sretno.
数额	iznos	Iznos odštete još nije određen.
束	svežanj	Kupila je svežanj cvijeća.
束缚	ograničiti	Tradicionalne ideje ograničile su njegov izbor.
树立	uspostaviti	Tvrtka treba uspostaviti dobar imidž.
竖	uspravno	Molim te postavi znak uspravno.
耍	igrati se	Nemoj se igrati telefonom tijekom radnog vremena.
衰老	starenje	Vježbanje može usporiti starenje.
衰退	recesija	Ekonomska recesija utjecala je na zaposlenost.
率领	voditi	Kapetan je vodio ekipu naprijed.
涮火锅	jesti kineski vrući lonac	Zimi svi vole jesti kineski vrući lonac.
双胞胎	blizanci	Oni su par blizanaca.
爽快	otvoren	Ona je odgovorila vrlo otvoreno.
水利	vodoprivreda	Ova regija cijeni vodoprivrednu izgradnju.
水龙头	slavina	Slavina u kuhinji curi.
水泥	cement	Radnici su prevezli cement na gradilište.
瞬间	trenutak	Sva su se svjetla ugasila u trenutku.
司法	pravosuđe	Neovisnost pravosuđa zahtijeva institucionalnu zaštitu.
司令	zapovjednik	Zapovjednik je izdao naredbu za povlačenje.
思念	nedostajati	Često joj nedostaje rodni kraj.
思索	razmišljati	Spustio je glavu i dugo razmišljao.
思维	mišljenje	Ova obuka može poboljšati logičko mišljenje.
斯文	profinjen	Govori profinjeno i blago.
私自	bez dopuštenja	Učenici ne smiju napustiti školu bez dopuštenja.
死亡	smrt	Nesreća je uzrokovala nekoliko smrti.
四肢	udovi	Prije vježbanja treba razgibati udove.
寺庙	hram	Na planini postoji stari hram.
肆无忌惮	bez ikakvih obzira	Prekršio je pravila bez ikakvih obzira.
饲养	uzgajati	Farma uzgaja mnogo mliječnih krava.
耸	slegnuti ramenima	Kad je to čuo, samo je slegnuo ramenima.
艘	brod	U luci su usidrena tri teretna broda.
苏醒	doći svijesti	Pacijent je napokon došao svijesti.
俗话	poslovica	Kako kaže poslovica, vježba čini majstora.
塑造	oblikovati	Okruženje može oblikovati čovjekov karakter.
素食	vegetarijanska hrana	Ovaj restoran nudi vegetarijansku hranu.
素质	kvaliteta	Osoblje za usluge visoke je kvalitete.
诉讼	tužba	Obje su strane odlučile riješiti to tužbom.
算数	držati riječ	Trebao bi držati riječ.
随即	odmah	Nakon završetka sastanka odmah je otišao.
随意	proizvoljno	Molim vas nemojte proizvoljno mijenjati postavke.
岁月	godine	Prolazne godine promijenile su njegov izgled.
隧道	tunel	Vlak je prošao kroz dugi tunel.
损坏	oštetiti	Jaka kiša oštetila je cestu.
索取	zatražiti	Kupci mogu besplatno zatražiti uzorke.
索性	jednostavno	Kiša je bila prejaka, pa jednostavno nismo izašli.
塌	srušiti se	Krov stare kuće se srušio.
踏实	spokojan	Nakon što sam završio zadatak, osjećao sam se spokojno.
塔	toranj	U središtu grada nalazi se visok toranj.
台风	tajfun	Očekuje se da će tajfun sutra stići na kopno.
太空	svemir	Čovječanstvo je oduvijek istraživalo svemir.
泰斗	vodeći autoritet	On je vodeći autoritet u lingvistici.
摊	štand	Postavila je štand s voćem na tržnici.
瘫痪	paraliza	Prometna nesreća ostavila mu je donje udove paraliziranima.
贪婪	pohlepa	Pohlepa može uništiti čovjeka.
贪污	korupcija	Dužnosnik je bio pod istragom zbog korupcije.
弹性	elastičnost	Ovaj je materijal vrlo elastičan.
坦白	priznati	Na kraju je priznao istinu.
叹气	uzdahnuti	Kad je čuo rezultat, nije mogao ne uzdahnuti.
探测	otkriti	Oprema može otkriti podzemnu vodu.
探索	istraživati	Znanstvenici nastavljaju istraživati svemir.
探讨	raspraviti	Stručnjaci su raspravili plan reforme.
探望	posjetiti	Za vikend sam otišao u bolnicu posjetiti prijatelja.
倘若	ako	Ako bude kiše, događaj će biti odgođen.
掏	izvaditi	Izvadio je ključ iz džepa.
滔滔不绝	bez prestanka govoriti	Kad počne govoriti o povijesti, govori bez prestanka.
淘汰	eliminirati	Ova je ekipa rano eliminirana.
陶瓷	keramika	Jingdezhen je poznat po keramici.
陶醉	oduševljen	Publika je bila oduševljena glazbom.
讨好	ulizivati se	Ne želi se namjerno ulizivati šefu.
特长	posebna vještina	Slikanje je njezina posebna vještina.
特定	određen	Molim vas predajte prijavu u određenom roku.
特意	posebno	Došao sam posebno kako bih ti zahvalio.
提拔	unaprijediti	Tvrtka ju je unaprijedila u voditeljicu odjela.
提炼	izdvojiti	Tvornica izdvaja metal iz rude.
提示	zatražiti	Sustav će zatražiti da unesete lozinku.
提议	predložiti	Predložila je da nastavimo raspravu sutra.
题材	tema	Tema ovog filma je svježa.
体裁	žanr	Romani i pjesme različiti su žanrovi.
体积	obujam	Ova kutija ima velik obujam.
体谅	imati razumijevanja	Molim te imaj razumijevanja za njegove teškoće.
体面	ugledan	Želi pronaći ugledan posao.
体系	sustav	Tvrtka je izgradila cjelovit sustav obuke.
天才	genij	Ovo se dijete smatra glazbenim genijem.
天赋	dar	Ona ima dar za učenje jezika.
天伦之乐	obiteljska sreća	Starija osoba uživa u obiteljskoj sreći.
天然气	prirodni plin	Stanovnici grada koriste prirodni plin za kuhanje.
天生	prirodno	On je prirodno optimističan.
天堂	raj	Ovo mjesto je poput raja na zemlji.
天文	astronomija	Od djetinjstva voli astronomiju.
田径	atletika	Škola je održala atletsko natjecanje.
田野	polje	Polja su u proljeće sva zelena.
舔	lizati	Štene je lizalo vlasnikovu ruku.
挑剔	izbirljiv	Ona je vrlo izbirljiva oko hrane.
条款	klauzula	Klauzule ugovora treba pažljivo pročitati.
条理	organiziranost	Njegov je govor bio vrlo dobro organiziran.
条约	ugovor	Dvije zemlje potpisale su mirovni ugovor.
调和	uskladiti	Ove se dvije boje dobro usklađuju.
调剂	uravnotežiti	Vježbanje može uravnotežiti stresan život.
调节	regulirati	Klima-uređaj može regulirati unutarnju temperaturu.
调解	posredovati	Osoblje zajednice pomoglo je posredovati u sporu između dvije strane.
调料	začin	U juhu treba dodati malo začina.
挑拨	sijati razdor	Nemoj sijati razdor među kolegama.
挑衅	provokacija	Ovakva primjedba nosi očitu provokaciju.
跳跃	skočiti	Sportaš je skočio tri puta zaredom.
亭子	paviljon	Pokraj jezera nalazi se mali paviljon.
停泊	usidriti se	Ribarski brodovi usidreni su u luci.
停顿	pauza	Tijekom govora kratko je napravio pauzu.
停滞	zastoj	Projekt je zastao zbog nedostatka sredstava.
挺拔	uspravan	Borovi rastu visoko i uspravno.
通货膨胀	inflacija	Inflacija je povećala troškove života.
通缉	tjeralica	Policija je izdala tjeralicu za ovim osumnjičenikom.
通俗	pristupačan	Jezik ove knjige vrlo je pristupačan.
通讯	komunikacija	Moderna komunikacijska tehnologija brzo se razvija.
通用	univerzalan	Ova je vrsta punjača prilično univerzalna.
